Speaker 1:          00:02          Oh wait, you're listening.
Speaker 8:          19:35          Uh, yeah, it's a good question. Um, again, you're a camel mockers lizard man. I feel like when every technology is developed, then there, there is this danger of, uh, with our technology, you, um, you can create fake videos and so on, or I don't want to call it fake videos, but like to create video from audio. Right. But they are fake videos. Yeah. Yeah. But the way that I think about it is that like, scientists are doing their job in science, like inventing the technology and sign it off. And then we all need to like think about the next steps. Obviously. I mean, people shouldn't work on that. Um, and the answer is not clear. Maybe it's education. Maybe it's, um, every video should come up with some code now that this is, this is like authentic video or authentic attacks and you don't believe anything else. I mean, yeah, but like it maybe it was the timing more than anything, but I saw this video and it really felt like, oh my God, like America can't handle this right now. Like we're in a moment where we're, we're truth seems to be sort of a, an open disk. What is true is has become an open discussion and this seems to be adding fuel on the fire of sort of, uh, competing narratives in a way that I find

Speaker 2:          20:48          troubling. And I'm just curious that you don't,

Speaker 8:          20:53          um, a thing that I think that people, if people know the touch technology exists, then they will be more skeptical. My guess, I don't know. But if people know that fake news exists, if they know that fake texts exists, fake videos exist, fake photos exist, then everyone is more skeptical in what they read and see.

Speaker 2:          21:16          But like, Eh, a man in North Carolina, I think he was from North Carolina, believed from a fake print article that Hillary Clinton was running a sex ring out of a pizza parlor in DC, which is like insane. This man believed it and showed up with a gun. And if people are at a moment where they are willing to believe stories as ludicrous as that, like I don't expect them to wonder if this video is real or not.

Speaker 6:          21:43          [inaudible]

Speaker 8:          21:46          um, so whether you asking,

Speaker 2:          21:48          I'm asking, I'm asking, do you, are you afraid of the power of [inaudible]?

Speaker 8:          21:52          Yes. And if not, why? Just I'm just giving my, I don't know, just, uh, I'm answering your questions, but I'm a technologist. I'm a computer scientist, so I'm not really, because I know how to read and I know that because I know that this technology is reversible. I mean nobody. Well, there is not, not worried too much

Speaker 6:          22:30          [inaudible].

Speaker 2:          22:30          Have you seen these videos otherwise? I can text it, yeah. Okay. Yeah, and as we were feeling worried and more than that, surprised that the folks making these technologies weren't, we decided to do a third gut check. See if we were totally off base and get in touch with one of the guys who's on the front lines of this. Can you describe what was going through your head when you were watching bushes face? I can tell you exactly what I was thinking. I was thinking, how are we going to develop a forensic technique to detect this?

Speaker 2:          23:00          This is honey for reed. I am a professor of computer science at Dartmouth College. He started like a Sherlock Holmes of digital misdeeds, which means that it spends a lot of time sitting around looking at pictures and videos, trying to understand where has this come from? Has it been manipulated and should we trust it? He's been worked for all sorts of organizations. The AP, The Times Reuters who want to know if say a picture is fake or not, they often will ask me, you have to ugly when this just happened. Actually yesterday images came out of North Korea. Um, and every time images come out of these regimes where there's a history of photo manipulation, there are real concerns about this. So I was asked to determine if they'd been manipulated in some way and if so, how had they been manipulated and what, how the heck would you do that? Wow. Every time you manipulate data, you're going to leave something

Speaker 10:         23:46          behind. So let's say you do some funny business to a photo, you might create some noticeable distortion in the picture itself, but you also might distort the data. And we're in the business of basically finding those distortions in the data. For example, imagine he gets sent a photo, it's probably a Jpeg, jpeg, which now is 99% of the image formats that we see out there is what is called the lossy compression scheme. Just a fancy way to say that when a photo is taken and stored as a Jpeg, the camera, you know, just to save space throws a little bit of the data away. So for example, if I went out to the Dartmouth green right now took a picture of the grass, the camera isn't going to store all those millions of little variations of green hidden in the grass because that would be just a huge file.

Speaker 10:         24:32          It's going to save space by throwing some of those greens away. You just don't notice if it changes like a lot or a little bit less than that. It just grass as far as you can tell. Now here's how next trick. Every camera has a subtly different Palette of Greens that's going to keep and greens that's going to throw away. This varies tremendously from device to device. An iPhone compresses the image and much more so less Greens and a high end icon or a high on cannon, which would keep more of those variations of green. Now if you hold these two pictures side by side, you might not be able to tell the difference. But honey says, when you look at the underlying pixels, there are different recognizable patterns. If you take an image off of your iPhone, I should be able to go into that jpeg and look at the packaging and say, ah yes, this should have come out of an iPhone.

Speaker 10:         25:18          But if that image is uploaded to Facebook and then redownloaded or put into Photoshop and re saved, it will not look like jpeg consistent with an iPhone. So basically he can see at the level of the pixels or data whether the picture has been messed with in any way. Huh. And this is of course, just one of many different ways that honey can spot a fake. Yeah. Let me ask, if you could go up against the top 100 best counterfeiters, do you think you'd catch them 10% of the time? 50% of the time just to have kids? What's your sense? Um, I would say we could probably catch 75% of the fakes, but I would say that would take a long time to do this is not an easy task. And so, you know, the, the pace at which the media moves does not lend itself to careful forensic analysis of images.

Speaker 10:         26:07          Um, I'm always amazed that you get these emails, you're like, all right, you got 20 minutes and, um, you would need, you know, half a day, a day per image, still a very manual and a very human process. It's so are, is this video editing and this audio editing that's coming down the pipeline here? Yeah, I guess, should I be, should I be terrified? Um, yes, you should. Um, oh no. Did you really mean that? Yeah, I think it's, I think it's going to raise the fake news thing to a whole new level. I did see some artifacts by the way, and the videos, they are not perfect, but that's neither here nor there because the ability of technology to manipulate and alter reality is growing at a breakneck speed. Um, and the ability to disseminate that information is phenomenal. So I, I can't stop that by the way, because at the end of the day it's always going to be easier to create a fake but to detect a fake. Hmm.

Speaker 6:          27:06          [inaudible]

Speaker 10:         27:07          thank you very much. We're going to, Chad himself just handed me a cup of water, which shows none of you have gotten too big for your britches and that could be a serious problem. I would like to have seen Peter Jennings do that ever for this guy. My name is John Klein, Co founder and CEO of tap media. Before that, president of CNN, u s before that I was executive vice president of CBS News where I was executive in charge of 60 minutes, 48 hours and a bunch of other things and he's had to react to some serious evolutions in the media industry. Uh, he was manning the helm as social media exploded, as smartphones became ubiquitous. And consequently he had to deal with figuring out how and if to trust thousands of hours of video taken on these smart phones incented by viewers, what to broadcast and what not.

Speaker 10:         27:57          And so we wanted to know how someone in his position would think about these fake videos. So we sent him all of the different demos and videos we'd come across just to see what he thought. First thought was that this is the kind of thing that a James Bond villain would put to use or a the joker in Batman. Now we're an eighth grade girl who right. Wants to be most popular. Exactly. Yeah. You know, I mean, this is, there's so many ways to abuse this blows your mind. I mean, it, it goes to the very core of communication of any sort, whether it's television or radio or interpersonal. Um, it is what I'm seeing. True is what I'm hearing real, uh, in, in your, over the course of your career, you've seen multiple technological developments that have impacted the media in rather profound ways. Where is your terror level right now, or your fear level caused by this relative to all of the other sort of advancements that have occurred over, over your career? It's terrifying. And it, it hurdles us even faster toward that point where no one believes anything.

Speaker 2:          29:17          How do you have a democracy in a country where people can't trust anything that they see or read anymore? What, what we saw happen with the fake news during the election cycle was that, um, all the, the, it doesn't, it didn't even need to matter if anyone, you know, would rebuff it afterwards. This is nick built. And again, it would reach millions and millions of in me or seconds and, and you, and that was it. You've done it had done as j it's job. And I think that with this audio stuff and the video stuff that's gonna that's gonna come down, uh, on online in the next few years. Um, it's gonna do the same thing, but, but no one's going to know what's real and what's not.

Speaker 11:         29:59          I moved on her actually, you know, she was down in Palm Beach. I moved on her NFL.

Speaker 2:          30:03          And what's more, Nick says, if you think about the video that came out of Donald Trump from access Hollywood

Speaker 11:         30:09          automatically attracted to beautiful. I just started.

Speaker 2:          30:11          Um, the thing that was really interesting about that video

Speaker 11:         30:14          when you were started, they let you do it. You can do anything, whatever you want, grab by the,

Speaker 2:          30:18          you don't actually see Donald Trump until the very last second when he gets off the bus. How were you high? You only hear him make me a soapstone. I have a little hug with Donnelley and so if that technology existed today, I can guarantee you that Donald Trump would have responded by saying, oh, it's fake. It's fake news, fake audio. You can't see me. I didn't say that. And it would just be this video, his word against his

Speaker 6:          30:45          [inaudible].

Speaker 12:         30:46          Okay. Actually that's kind of like for me, that's sort of the real problem here. Like you create this, this possibility for like plausible deniability that's so broad. You know what I mean? It's like, you know, it's like the tobacco industry in the sixties and seventies I was just reading this great article by a, the writer Tim Harford about this in the sixties and seventies the tobacco industry led this very calculated effort to sort of push back against cancer science by, you know, just injecting a little bit of doubt here. A little bit of doubt there. Right. On the other hand, on the other hand, this and on the other hand that, and the idea was to create just enough wiggle room that nothing happens. They do that with climate change too. Exactly. And it's that little bit of doubt that creates paralysis. And is that what's going to happen that like there's going to be paralysis now writ large because now we're talking about the very things we see, the very things we hear

Speaker 6:          31:43          [inaudible]

Speaker 2:          31:43          but wait, but we don't you think that before we get completely carried away with the threat of this technology because, you know, maybe we should just find out literally where we are now. Yeah. We should give it a spin. Yeah. So at this moment, do you think making one of these eclipses is, is possible? I think it's entirely possible. Um, it just, I would be careful what it is.

Speaker 6:          32:11          [inaudible]

Speaker 12:         32:12          after the break, things get

Speaker 6:          32:15          fake. [inaudible]

Speaker 13:         32:30          how do you everyone, it's Angela calling from Dallas, Texas. Radiolab is supported in part by the outfit piece. Sloan Foundation, enhancing public understanding of science and technology in the modern world. More information aboutSloan@wwwdotsloan.org thanks. Radiolab.

Speaker 7:          32:56          Jad Robert Radiolab. So we're back. We're going to now fake something. We're going to build our own video from scratch. Fake words, fake faces, because we want to know like in use, how dangerous are these technologies really? Can they make a convincing fake? Are they as easy as advertised? So we will find out by giving the assignment as always to our long suffering. Simon Adler. So while I was in Seattle talking to during Gleaves, Dolby polite, not so subtly hinted that I would really like to, uh, to give vocal world. Let's say I had my hands on it somehow. What can I do with it? Well, right now, nothing, because we haven't shared it with them. At first, I just thought he didn't want me to be able to play around with it. But then I realized that, and I didn't even have a personal copy for myself, but yet. Oh, so it's not even on the premises here? No, it's still very much a contained to research.

Speaker 14:         33:52          Oh, but

Speaker 7:          33:55          hi. Hi there. Hey Matt. Oh yeah, yeah, I'm here. Great. Eventually I got in touch with this guy. So I'm Dr Matthew Elites. I'm the Chief Science Officer at Sarah Proc Limited, which is the vocal synthesis research company based in Edinburgh. Yeah. Okay. So I called you up because I was hoping that you could help me to make a video clip that has, I don't know, like George Bush or Barack Obama saying things that they have never said. Yep. That sounds great. That's it. He was just game. Yeah, no. See, the thing is, what his company does is not quite the same as Voco. What they do is like for a client, they'll create a voice that you can then just type in words or sentences and make that voice say whatever you want it to say. I feel sad. That's an interesting idea. They've, uh, created voices with a variety of accents. Great for you said last summer in a variety of languages. [inaudible]

Speaker 7:          34:50          and in their spare time when they're not making voices for clients, govern knowledge. What's N***a? I think they're building celebrity voices future and it just so happens they've got a Barack Obama and a George Bush bought. Yeah. How did did you create a George Bush robot? Well, a great thing about George Bush is that he was president of the United States for some time the morning, good morning, good morning, which means he had to give the weekly presidential address. We can go today. I received a great honor and the other great thing about the addresses, it's completely copyright free, so we were allowed to do anything we liked with that audio for the people of America, maybe things that they haven't envisaged that we're going to do with that. Real quick digression here just because it's absolutely fascinating, it looks like we're actually about to enter this really sticky gray area when it comes to ownership.

Speaker 7:          35:37          For example, in audiobook, if you record an audio book and you've signed over the rights to those audio files to the publisher, the publisher has the copyright. You, you don't own it. You do not own your own voice. Is that really true? Yeah. Anyway, back to Bush. So I took all those weekly addresses about six hours worth, which is a lot more tape than Volvo's 20 minutes. But what he did with it is pretty similar, right? You Fed them into this machine learning algorithm along with their transcripts. And then with the program we'll do a, it will take the text and it will analyze it in terms of the linguistics that will say this is the word social security, social, social is made up of the sound, sir. Oh, oh right. And so we'll cut those sounds out into lots of little tiny pieces. And it did that for all of the words in all of these addresses around 80,000 in total.

Speaker 7:          36:34          Put them all in this database with tons of info about what sound came before it, after, etc. And once that database is built, all that's left to do by typing some text. And then I push, go and try and find a set of little sounds which will join together really nicely. And then I pushed play and see how well they came out. So what we did was we found an old video of former presidents, George Bush and Barack Obama together, right? They're shaking hands, making generic statements. The exact clip isn't important, but we wondered could we turn that clip from a boring meet and greet to a scenario where Bush is telling Obama a joke. So we convinced a comedy writer Rachel Axler who works for the show veep to write as few jokes and then sent it off to Matt and this is what the computer spat out

Speaker 15:         37:26          and well it goes something like knock knock, who's there overall overall, I think it's something about the Oval Office. Probably. That was a a very good joke. Mr President, my wife Lori tells it better.

Speaker 7:          37:44          What the hell is that? Wait, what was that? That was terrible. That was like was it, I don't even get it. Hey, I don't understand that joke at all. And that's literally what the computer spit out. That is what the computer sped out. And truth be told, I don't think it's anywhere. It is not worthy of the negative response that you are getting. Terrible. Terrible. Let me show you another one.

Speaker 15:         38:07          So happy to be joining forces with this good man to put cortisone in your drinking water. What gets to help protect people's teeth so they don't get fillings? Isn't that fluoride? Oh shoot. I think I signed the wrong bill.

Speaker 7:          38:22          That's good. That's a legitimate, no, the robots are terrible. The joke is funny. Yeah, I like the joke, but the robots just massacred that joke, which is in itself kind of a joke. Well, I do think it, yeah, I'll let me get it. Well, I think the youtube are far more than you should be and you're far more critical than the average listener. However, Matt is so wrong about it. But anyway. Anyhow, Matt did tell me that conversations I getting people to s to talk back and forth to each other are still really difficult for a synthesizer to do.

Speaker 16:         38:50          But you know, conversational stuff is always difficult and in fact we're going to see, it's going to be a long time before we get really, really easy conversational synthesis. There's all sorts of barriers to that.

Speaker 7:          39:00          There's a human quality, uh, to a, to a conversation that, uh, that the synthesizers can't quite capture yet. But he also told us that, um, you know, if we add, once we add the video or if we add a video to this, uh, it will smooth out a lot of, a lot of the problems

Speaker 16:         39:14          when you have the faces as well speaking. People are not focusing in the audio and you can't hear that the areas in the same way.

Speaker 7:          39:21          So

Speaker 16:         39:26          hello?

Speaker 7:          39:26          Hey, is this Kyle? Oh yeah, great, great. I found these two Grad students. My name is Sinskey cyto. I am Tyler Shefsky from uh, the University of southern California USC. They also do a lot of facial reenactment research and agreed to help us. But, uh, making these visuals also turned out to be way harder than we thought. It turned out the clip we chose posed some serious challenges. Uh, there were too many side shots of Obama's face. Uh, the lighting was all wrong and, uh, eventually I got an email one late Sunday night saying, uh, it's not gonna work. Okay. So now I think I can draw a line here and I can point out that this, that we maybe got overexcited about this technology. It is not yet ready for true deceit. You have been fumbling and fumbling and fumbling here. I have with them fumble [inaudible] people. Okay. I find it interesting psychologically that Simon feels like it's a person who failure. I don't like to fail. You should. This is failure.

Speaker 12:         40:26          So, okay, just, just, uh, just on Simon's behalf, on the behalf of actually trying to answer the question, we felt like, okay, maybe, maybe we should try this one last time. Let's find a simpler Obama video and with the audio rather than like whole phrases. Let's just do a couple of word replacements here or there. By the way, the only reason we're using Obama is that he seems to be the cow. All of these technologies are built around it. In case we chose the video of Obama's last weekly address and we chose the audio from a talk he'd given in Chicago, uh, after he'd left off. What's, what's been going on in his speech. He sort of talks about what he's going to do next, how he's still gonna keep fighting for what he believes is right. Filled with idealism and absolutely certain that somehow I was going to change the world. But we thought, what if in an alternate reality he didn't want to keep fighting. What if he could at that moment see the divisions ahead? And he was just like, that's too much. I give up. No truth is we didn't think too hard about this because we didn't have much time. We just whipped it together, did a script based on words. Obama used with a few changes, send it off to the guys at USC.

Speaker 10:         41:32          Right. And I myself, uh, seeing this new script so that, uh, we can use that video of my face to pop a ties, a the former president. And, uh, when, when we got the final video back,

Speaker 12:         41:47          I have to say it was, I was expecting it to be horrible and where did it have a good laugh? But I, it went from like Laffy Keighley to, to, oh wait, this is creepy.

