Speaker 1:          00:01          Number two.
Speaker 2:          08:09          and were they threatening? Yeah,

Speaker 4:          08:11          some of them were, you know, [inaudible] that I would be punished accordingly when the train comes and it might come one day

Speaker 2:          08:22          the newspaper he founded got shut down after publishing one issue and he was planning for a while to fleet in Nairobi.

Speaker 4:          08:30          [inaudible]

Speaker 2:          08:30          leave his wife and kid behind and then maybe return grabbed them, apply for asylum in the United States.

Speaker 4:          08:36          You know, my mother and my older brother are visiting U U s Washington.

Speaker 2:          08:43          Oh, okay. Washington. Like a lot of Ethiopian cs actually got some relatives in the, in the states. Did they hear that? You asked the question to John Kerry.

Speaker 4:          08:52          Yeah, yeah, yeah, yeah, I've heard that. What did your mom say? She says, please don't do that. It smells good. It might be, you know, got to gating you things like that. You know, moms are like that then. Yeah, I like that. Yeah.

Speaker 5:          09:13          So one's [inaudible]. Yeah. [inaudible] Tony [inaudible] [inaudible] [inaudible].
