Speaker 1:          00:00:02       A,
Speaker 2:          00:06:32       It's just us. It looks like in order it looks like, it looks like, you know when somebody has like cankles you know that part of the leg where it just, you know, there's no shape to the calf. That's what the arm looks like and it's all fucking flabby and just these awful horrific fucking tattoos. I'm just shit. And you pick off a wall, somebody with the shakes just puts it on your fucking rms. So she comes over, by the way, when you go into a place like that, cause once I sit down, I'm not leaving. Just go with the grilled cheese. You get a grilled cheese sandwich and what can they do? You know what I mean? Fucking Nate ordered a Hamburg and I was just like, all right dude. You know, but if you get fucking a bola, I mean I don't want to hear your bitching about it or whatever.

Speaker 2:          00:07:19       We equal lie, whatever you get. And it was something with knee. So she comes over and she's just like, Hey, well, it was like one in the afternoon, the sun just fucking blaze into the windows. He's just like, Hey, welcome. We're going to be a waitress to this is evening, evening. And she caught herself saying evening and she just fucking plowed forward. Uh, you know, your guys' patch to third. Uh, then it was like, listen, it was like literally like listening to a cell phone going in and out. Right. And um, she brings the fucking orders over and she kept going, how, how's your meat? Which I've never heard anybody say that. I order a burger and the wings, I've got a little dangerous with the fucking wings. And I had the grilled cheese sandwich. I think it was just too much for a fucking blown out brain to try to remember what kind of protein we ordered.

Speaker 2:          00:08:08       So she just kept coming over and going as the inmate, she came over, she gave me the Burger, she gave Nate the fucking grilled cheese sandwich way to swing that fucking thing around. The chicken was fucking stone cold. And she says she started to like turn sideways when she fucked up the order and she was like almost trying to hide behind her own shoulder. She was like, ah, I'm sorry, I have the manager take it off and really apologize and she fucking disappears and comes back two seconds later, which was a big thing in Daytona ordering food that should have taken at least 15 minutes. And it returned in like two seconds. It was very disturbing because the first night when we saw those fucking old guys with the flabby arms pushing each other outside that fucking pizza parlor.

Speaker 4:          00:08:54       Um, well

Speaker 2:          00:08:55       let me, I'll take you through the whole fucking shit show. We went into this place that we thought was a Hooters, a fucking Hooters. And I'm like, I'm not eating it here. Any place that that is sort of in the sex industry. It's got one foot in the sex industry. I'm not ordering food. And so I went in there and got a beer and we walked in and the chicks didn't have holders, but they all had asses and they had shorts like up their ass. Like half their fucking ass was hanging out. And it was just, you know, it was a shit show. And we're trying to figure it out. We're like going, what the fuck? What the kind of fucking Hooters is holders finally admitting that hip hop went mainstream about 25 years ago and now they're focusing on ashes. And um, wasn't until the next day we walked out, we realized it wasn't a Hooters. It was some wings joint and a, I think they're going to put Hooters out of business cause I don't think people care about tidies anymore. You know what I mean? Plus you can have a nice rack and like your fucking ass could be as flat as a Goddamn fucking desk desktop. Right. You know what I mean? So then, then what do you guys, then you just gotta, you gotta get pair of tits, you know, what do you, what are you gonna do with that?

Speaker 2:          00:10:10       I love an ass. And you can't have a nice ass and be out of shape but just doesn't fucking work. That is the nucleus of the body. If that's fucking in shape, then everything else is fine. You could have a fucking pair of tits on. You get what I mean? And it could just be a shit show when you go south. You know what I mean? That's like a, you know guys, when they fucking, they, they keep lifting weights, you know, and they just keep trying to keep their chest out in front of their beer belly and they keep pushing the jeans down further and further. So they still have that 32 inch Jains you know, by the way, I think white people were the first one to wear saggy jeans. You know, I think we were the first ones to do it. And that was with the guys who just refuse to buy a 34 inch to 36 38 inch waist. They just kept pushing it down and letting their fucking stomach come out over the top. So anyways, she's like hiding behind her shoulder, going on inside the manager, take it out of there. So she fucking, uh, oh no, I know. I remember I was trying to see how quickly the food came. So the night before we went out, after we left the fucking, uh, the bar where these girls had to walk around with half of their fucking hazards hanging out. Um,

Speaker 2:          00:11:23       and now that I'm a dad, it was even worse. I just kept thinking, what if my daughter ends up working this for what? I wanted to meet the father of all these guys and be like, what did you do that had them end up here? So I don't do it. So my daughter doesn't end up here. So we go down the fucking street and uh, we go to this other fucking bar, do like they got a biker bar down there, cause you know, Daytona has that fucking crazy bike or we can some shit out here. And I'm just like, all right, I am not a biker and I'm not going to go in there and get fucking, you know, I don't know. A pool, cute fucking shoved in my year. I don't need this shit. Right. So we go to this other bar, it's sort of a sports bar.

Speaker 2:          00:11:59       We walk in, everything's cool. So I ordered some food, I go, let me get the, uh, what's, what's the raw tuna? It's not Shashimi as a tuna tar, tar, tar, tar. Is that what I ordered? You know, and, and you know this fucking sports bar. Why would you, why would you order raw fish in a place like that? It's fucking nuts. But I did and I ordered chips and salsa and I swear to gut, this woman walked into the kitchen. They had the in, in the outdoor, you know, the swinging doors. She walked in there and the Dolan permit [inaudible] and then she came walking right back out and with the fucking food, like to like disturbingly, like it came back so fucking fast. The look on my face, Nate was fucking crying, laughing. And, uh, all I can say about the food is you shouldn't have to chew raw tuna. It should be like butter, like melts in your mouth kind of thing. And I, and I was chewing this shit out of it.

Speaker 2:          00:12:59       So anyways, back to the fucking other places. You know, this is so stupid that I'm fucking shitting on the food there. When you're sitting in a fucking NASCAR that's been cut in half and they put a fucking booth in the middle of it, can you really complain about the food? Well, you know what, I have an hour to fill here. So I've gotten, um, so this poor woman who, you know, probably had some Shitty Dad, she ended up doing drugs, is trying to get our fucking order right. And you know, the guys walking around and the words moving on over and uh, this guy in the corner starts eating this burger dude. And I can't even tell the way he was fucking attacking this burger.

Speaker 2:          00:13:34       I was crying, laughing and I had to let you know I had to do like that, you know, you know when you're with somebody and you're the person you're laughing at kind of catches you looking at them and then you want your friend to look at them too. So you gotta do like that kind of that stretch thing where you look back. Fortunately it was a flat flat screen TV above his head and I just sort of like without even like I'm from toilet Christian, so I'm like just turn around and look at the today. You know, did like one of those things and dude, the way this guy would say he attacked this burger, like he, he lunged at it rather than like, it was almost like his, it was someone else was holding, it was the woman who was trying to steal a bite of somebody else's burger. That's the way this guy was eating.

Speaker 2:          00:14:16       Like his first bite into the Burger. He fucking lunged at, it's so hard. He hit himself in the face with like the lettuce that this big piece of like fucking Romaine lettuce hanging off to sell whatever the fuck it was. Iceberg lettuce. And when he lunged in at it, like it fucking hit him in one of his eyes and he had a stop and blink and then he just fucking, he came up higher and just lunged at it again. He was eating it like a, like a fucking Komodo Dragon, you know, they just sorta fucking lunge at something and just, just saw and rip away as he was a fucking animal and every, he would lunge at this thing. It was, I could not look at him and I was crying, laughing of course by three bites. He looked over and he caught me looking at him laughing and then I looked at Nate and I pointed at the menu like I was laughing like, oh my God, they have chicken fingers.

Speaker 2:          00:15:07       Isn't that hilarious? Like I was trying to somehow get away from it, but long story short, the grilled cheese was all right. The fucking wings were horrific. Even when they were actually heated up. They clearly made them hours ago, the way they came over fucking ice cold. And then they brought me some hot ones like three seconds later. And so the lady comes over and she picks up our check. She walks over the register in the, and in that short amount of time she already forgot where we were sitting. And then when she came back, you know, Nate picked up the check, she gave it back to me. It was just was fucking horrific man.

Speaker 4:          00:15:48       Um,

Speaker 2:          00:15:50       but other than that, they told the beach was beautiful. We did a show that, and I always would be like, what are you shitting on? Fuck it. They taught her, fuck, we can't because that's what I saw. I didn't know where to go. So anyways, I um, I played the, uh, I want to say PBT theater cause where I'm from, that's how you say Peabody, the Peabody theater. It's like when you need, when you're in New York, it's Carnegie Hall and when you're in Pittsburgh, it's Carnegie. All right. When you're in Massachusetts, it's, it's Peabody and everywhere else it's Peabody. So we played the Peabody theater. I had a great time, did an hour and 20 minutes, you know, all new shit, shit that got left off of other hours. Just had a great fucking time. The crowd was awesome, got a bunch of heckles, but they were all great. I liked, I liked that shit. I don't mind when people yell out.

Speaker 4:          00:16:40       Um,

Speaker 2:          00:16:41       you know, to a point I don't mind it. And I had a good time and I made a point of saying that, cause sometimes people in the crowd was sorry for all the fucking heckles. I enjoy it. I don't mind a lively drunk ass crowd. I'm a fucking drunk. Okay. And now that I've shit on everybody, you know that I met basically in a 12 hour period in Daytona.

Speaker 4:          00:17:02       Um,

Speaker 2:          00:17:04       let's talk about the, uh, we went to the race the next day and by the way, thank you to everybody who came out to the show. I mean it was such a big fucking event the next day. I mean they should have been three people in the crowd. So the fact that it was sold out was fucking amazing. So thank you to everybody. I will definitely be back. Um, but I will not be eating at that fucking place with the cars that are side in half.

Speaker 4:          00:17:25       Um,

Speaker 2:          00:17:26       so anyways, plowing ahead here. So the next day we go to the race and uh, we weren't really thinking that there's going to be 250,000 fucking people. That's like two and a half rose bowls all descending on the same fucking the same place. So all the locals are going like, Oh man, I'm just staying in tomorrow. That's gonna be a shit show, blah blah blah, blah blah. And when I had driven from the airport, you know, when you get off, what's so fucking cool when you get off at the airport, you can actually hear them racing. You know, I think there was a truck racist, some shit like that. I keep the land, you know, I didn't get into like fucking one in the morning at midnight actually. So the race was already overboard. Nick got there and you could hear him racing. You pull out, you can see the fucking day, Tony International fucking speedway, which is amazing, right? Legendary place. And as you drive and buy this, all these fucking people in RVs and all that hanging out, wait to go on the race and do these people do not fuck around the way they were doing it up. Like it's the way I wish we did it at the Rose Bowl. Like I've never seen so many like,

Speaker 5:          00:18:35       okay,

Speaker 2:          00:18:35       I mean legit like you could, you could like a rock star could tour in some of these fucking mobile homes, um, in the setups that they had and the fucking flat screen TVs, you know, on the outside with the generator and they had smokers going and everybody just having a great fucking time waiting for this race to happen. And evidently people who park on the infield can get there like something like a week or 10 days. They've just been in there as these guys are fucking driving around. Um, the track, you know, getting ready to go to the race and all that, you know, testing out their cars and shit. Um, qualifying for pole position or whatever the fuck it is that they're doing. These people are sitting there like to me though, that's that those a die hard fans, right? So we ended up calling a fucking Uber, um, the venue the night before hooked us up with this guy, this driver.

Speaker 2:          00:19:30       And um, he knew all these back ways to get there, which was a godsend. And he got us like right to where it says, um, Daytona International speedway and uh, Nate Barr got C's like hooked up with some of those NASCAR guys and they came by about 20 minutes later, picked us up in this little golf cart and just gave us the, the total VIP treatment. And this is the one thing I will say about NASCAR versus the NFL is the level of fan access to all these different do you can, you could walk right down onto pit row. We were sitting on the track before the race, like a couple hours before the race. They let you go up there. Everybody was like taking pictures at the finish line. And um, one thing I couldn't believe was how fucking small it is as far as the width of it. It's like these people will go three side-by-side, 200 miles an hour. They were out of their minds. Um, you got to be right down there on pit row. Um, I met Mario Andretti, got to shake his hand and uh, that was another thing too, like the, just the array of like famous people that were there. I guess the appeal of NASCAR was fucking nuts. Like you'd see Mario Andretti, which makes sense. Race car driver. I saw Gronkowski um, guy fee airy.

Speaker 2:          00:20:54       Uh, who else? There was some fucking model, this gorgeous model there. Kiano Reeves, LaDainian Tom Wilson. It was just fucked. It was like all over the fucking map and you'd see like, oh that guy, he's the senator of fucking, you know, whatever, South Carolina.

Speaker 4:          00:21:13       Um,

Speaker 2:          00:21:14       we got to go in and you know, we got to sit in on like the drivers meeting and all of that, which is really fucking interesting. I thought it was just going to be the drivers and like four of us, but it was this giant fucking room where they let this whole crowd go into is just sitting there talking to the drivers going, all right. Uh, you know, it's been a lot of, uh, trying to bump guys off the track into the fucking stands. You gotta stop doing that. I mean, I don't know what, I didn't even know what they was saying. I was kind of sitting behind the guy so I couldn't quite hear him. But, um, I mean, I can't imagine going into like a fucking any NFL game, but he got to hear the referees talking to the head coaches before the game. You know, the NFL is like the God Damn CIA. You can't get anywhere near anything. So, um, we ended up, uh, watching the race from the infield and uh, you know, I knew some people there. So you, at one point we were with, um, the people from Cisco brewery down on Nantucket. If you ever go to Nantucket, um, crazy good beer. And then they got the, this vodka, they had like this blueberry vodka and cranberry vodka that you're fucking ladies gonna love.

Speaker 4:          00:22:21       And, um,

Speaker 2:          00:22:22       we hung with them for awhile and then we also were at this other fucking place in, Ah, our view was absolutely insane. It was a bunch of fucking, I dunno, crashes and cautions. It's the fucking race took forever. But, um, I dunno. I can't, I still can't believe that I got to go, go to it. But thank you to everybody at NASCAR for hooking us up.

Speaker 4:          00:22:44       And, um,

Speaker 2:          00:22:46       I'm trying to remember who the fuck one was at. Kyle Bush cow Bush one. Right. I went there and I just routed for fucking Dale Earnhardt jr Jr. You know, it's been so long since I've watched NASCAR. I'm like, is Jeff Gordon still racing? It's like, Nah, he's retired. Like everybody I knew was gone. Like I, I watched it big time in the early fucking eighties, late seventies, early eighties when it was like Bobby Alanson, Cale Yarborough, Harry Gant, Richard Petty. I saw him when like his last Daytona 500. I'm like 81 or something, um, than Cale Yarborough won two years in a row. Then it was a bill Elliot era. And, um, I don't know. Somewhere around there, I was trying to get through college and I started doing standup and I kind of lost touch with it, but I, I still paid attention, um, right through, uh, the Dale Earnhardt years and, uh, I dunno, I haven't watched it in a minute, but it's fucking amazing dude.

Speaker 2:          00:23:37       The whole thing. It was just such an amazing experience and I'm a, I don't know, maybe I'll go to Talladega. Who knows? I think that one's in May. We'll see. But the big thing I was excited about was the fact that, uh, I was able to do like an hour and 20 minutes and not bore people shit that they'd already heard before. So, um, you know, that's like the big fear when you go back out on the road after you had a special commodities, you're like, all right, how do I fucking do a bunch of new shit without fucking these people over? Sorry, I'm adjusting the microphone here without fucking these people over. Um, and I'm still thinking that I was funny, especially after going on after Nate Barr. Gutsy. Who by the way is I'm one of like six people that got half hours on a, on Netflix. I think Netflix is trying to do like the HBO one night stands. So he was running his ready to tape special in front of me and that guy's one of the best joke writers I know and he fucking murdered. So I was relieved that I was able to, uh, go on after him and have a good time. So anyways, is it time? Yeah. How about a little bit of advertising here? Everybody? All right. Where are we?

Speaker 4:          00:24:43       Okay.

Speaker 2:          00:24:44       Wandering the fuck is this stuff. Never heard of this one. Wondery um, here's a podcast you should listen to. Wait a minute, I'm somebody else's podcast is advertising on my podcast. Yeah. Don't listen to my podcast. Listen to this one. All right. What? I remember this shit. This one's actually sounded cool. All right. Uh, secrets, crimes and audio tape. It's a podcast that has a different story every week. Uh, this week story is called, this is not a Banksy. It's about a guy who wakes up in the morning and realizes Banksy drew on his ass. Who the fuck is Banksy? He gets it tattooed and now people want to collect his ass. It doesn't go well. It was, it has high production values. It's funny. And Mario Lopez is the guest star. Go listen to it. All right. This is why I liked that podcast is because it sounds different and it also, the copy was nice and short. Is Banksy? Uh, he's an, he's an artist, right? I only know this because Nia is into all that shit. Let me, let me look this fucking up. So he drew on somebody's ass and then he had a tattooed

Speaker 4:          00:25:53       and now what?

Speaker 2:          00:25:56       Who the fuck is Banksy? Banksy is an anonymous English-based graffiti artists, political activists and film director. Weave is anonymous. How come they know who he is? Um, have on verified identity. Oh, there you go. There's satirically street art and subversive. Well then how the fuck did this guy know Banksy drew on his ass?

Speaker 4:          00:26:19       Okay,

Speaker 2:          00:26:20       man, he's got great work. I want to judge them on the two that are on his Wikipedia page. Oh, these are amazing. What a talented son of a bitch. He must be really shy.

Speaker 4:          00:26:33       Um,

Speaker 2:          00:26:34       so he does this in England. What if it's one of his, somebody from the royal family. And the reason why they don't say it is because, you know, graffiti is looked down upon by the, uh, the aristocrats, you know, stop drawing on our buildings. Um, maybe that's who it is. So I guess he drew on somebody's ass.

Speaker 5:          00:26:52       Okay.

Speaker 2:          00:26:53       Somebody who knows him well. Well, I'm surprised the, uh, the Illuminati doesn't kidnap that dude and his ass and it goes, tell me who the fuck Banksy is. Tell me who Banksy is or I'll fucking scalp your ass and that painting and then your ass won't work and it won't be worth shit. How about that? No Pun intended. All right. Dollar Shave club, everybody. There's no reason to use a cheap disposable razor or pay a ridiculously high price for some gimmicky thing that's got a laser pointer with 17 blades. Make the smarter choice and Join Dollar Shave Club before dollar shave club. It was either save money and get a painful shade from a disposable razor like the ones they did give away free at the gym, which felt like shaving with a piece of fucking glass or pay a fortune for the latest gimmicky shave breakthrough you don't need.

Speaker 2:          00:27:42       Like a laser chin detector is 17 more blades. Assam Shit. Dollar Shave Club is the best of both worlds. Eight premium shape at a disposable price. Get a close shave. I get a close, smooth shave every time. And you can't beat the convenience or the price of the club if you haven't tried dollar shave club yet, you're missing out. It's an amazing shape and an affordable price. There's no smarter choice in the market. And right now they're giving away a one month trial for any of their raises for a dollar with free shipping free. Um, and after that, it's just a few bucks a month. There's no longterm commitments, no hidden fees. You can cancel whenever you want. Get your $1 trial@dollarshaveclub.com slash bird that's dollar shave club.com/bar oh look who's back everybody. It's my favorite. It's old zip.

Speaker 5:          00:28:37       [inaudible]

Speaker 2:          00:28:38       right? Are you hiring well? Are Ya? Do you know where to post your job to find the best candidates? Posting your job in one place and it's not enough to find quality candidates. If you want to find the perfect car, you need to post your job on all the top job sites and God damn it. Now you can with ziprecruiter.com you can post your job at 2100 plus job sites, including social media networks like Facebook or the Twitter, all with a single click. Find candidates in any city or industry nationwide. Just post once and watch your qualified candidates roll in to all zip, easy to use interface, no juggling emails or calls to your office. Quickly screen candidates, rate them and hire the right person fast. Find out today why Zip Karuna has been used by fortune 100 companies and thousands of small and medium sized businesses.

Speaker 2:          00:29:35       And right now my listeners can post jobs on ZipRecruiter for free by going to ziprecruiter.com bar. That's ziprecruiter.com/bear one more time. Try It for free. Go to a zip pro.com/bar all right, is this the last one? Lastly, but not leastly up stamps.com they're always the headliner. You know, I used to have [inaudible] dot com anytime I have a host, a poster I need to mail out, you know I'm going to wear myself out meeting the meeting. The people out there with their bad tattoos and their sweaty hands, postage rates can have gone up again. That means trips to the post office are an even bigger hassle, man, it's so crowded, but thanks to stamps.com you don't gotta worry about that Shit. That's for the fucking peons. Not You. You better than that, right? You're in a sweet eating, a little surf and turf next to the fucking orange cont.

Speaker 2:          00:30:29       Just use stamps.com to automatically calculate and print the correct amount of postage for every letter or package you sent. stamps.com brings all the surfaces of the US Postal Service right to your fingertips. They'll send you a digital scale. Oh my God, it's beautiful. Automatically calculate exact postage stamps.com we'll even help you decide the best class that mail based on your needs. They give you postage discounts and that you can't get it to a post office, including 3 cents off every first class stamp. Right now, use my code burp. You are for this special offer, four week trial that includes postage and a digital scale at scale. Sorry, go to stance.com. Click on the microphone@thetopofthehomepageandtypeinburthatstampsdotcomentertuberandsignuptodaywithstamps.com you'll never a with stamps.com you'll never have to go to the post office again or listen to me read out loud again during this fucking podcast. All right, let me, let me a select all of this and then delete it so I can get to the fucking questions for this week.

Speaker 2:          00:31:29       Dollar Shave Club, which was the first one. The first one was the, uh, the Banksy. Banksy fucking tattooed my ass. Um, all right. Oh by the way, everybody, uh, I mentioned lately that uh, I'm, I'm going to be certain posts, some videos up to my youtube, my youtube page. Uh, I'm going to a bunch of videos from the Daytona 500. I'm going to have, um, at www.youtube.com/users/monday morning podcast. I'm going to give the fucking video to my guy this week. He's going to edit it and get the shit up there. Okay. I'll, I'll tweet about it when it gets up there. All right, so speaking of stamps, I bought some stamps today. I did not use stamps.com I was driving from a Daytona beach up here to Gainesville. And rather than going like the highway way, I, I took the longer route cause I want to see some shit.

Speaker 2:          00:32:21       Right? Like going by this fucking, my brother told me it's called folk art. I guess I drove by this woman's house. So this guy's house. Otherwise I thought it was a woman, but you don't have like a giant tyrannosaurus rex, a fucking bull, like kicking his legs up. Like all these things that you can put on your fucking lawn, I guess. I don't know what all this crazy stuff that, you know, you don't see that when you take 75 north, it's just going to be a bunch of Arby's. We got the meats. It's going to be the same fucking 10 chains and a god Damn Walmart. I've seen that a zillion times, but if he, if he take the old school, the, the fucking route 66 Jack Kerouac ways, it takes longer, but you see a bunch of cool shit. So I was fucking driving along there and uh, I came upon a post office and Lo and behold, I had a, I had a built that I need to pay and I didn't have a fucking stamp. So I fucking Poland and the locals that are in there and I'm listening to this guy tell this fucking hilarious story. Um, first of all, I love the pace of it too. I love the pace of a small town where I don't give a shit that this guy's telling his story. He's such a fucking character. I'm enjoying it. I'm already second in line cause there's nobody fucking there. Right. And he's telling his story about how somebody cut him off.

Speaker 5:          00:33:38       Yeah.

Speaker 2:          00:33:39       You know, and he's not driving too fast so than the woman behind the counter then tells her story about how she was doing 15, someone pulled out in front of her and her son and his son blew the horn and when they pulled up next to him at a red light, the guy fucking had had a pistol and he fucking just brought it up looking at him like, you know, pointing at the ceiling of his car. He just sort of brought it up like that. And then the guy's like, egos can't do that. Can't do that. I write that such a terrorist act that's branded should brandishing a weapon. And you start talking about brandishing a weapon. You can't do that. That'll make somebody want to, uh, you know, do some sort of self defense is what's up. It was saying, and I was just like, this is fucking crazy out here.

Speaker 2:          00:34:20       But actually I think that they said that, that, that happened up in a Charlotte or something like that. I guess the road rage is off the fucking chains. It's in Charlotte, North Carolina. That's what I love about a small town. I never would have heard that, you know, just fucking guy with his white uncle Jesse Beard, tell a story, brandishing a weapon. And I was just sitting there totally not even given a fuck that I was standing in line at the post office, completely enjoying this story and praying to God that this guy then took out his weapon cause I wanted, I wanted to see where this was going to go next. But you know, they didn't say anything like, oh I should've got his license plate and Blah Blah Blah Blah Blah. Um, I dunno think that's why I stay off the 75 north. Cause I never would have heard that. You know, if I'd stayed on the 75 north, I would have heard, you know, uh, can I get the fucking a, can I get a double cheeseburger with the bucket liberal blue? I don't wanna hear that shit. Oh, I know a lot of you guys are expecting me to talk about the Oscars, but I didn't watch them.

Speaker 2:          00:35:16       Okay. I don't watch award shows unless I'm home. If I'm home, then, uh, my wife's watching them and then I watch it with her because I like making fun of them while she watches them cause it makes her mad. She doesn't get mad mad, but she gets like upset. But uh, I heard about the, the big, the big fucking thing there in the end where a Warren Beatty came out and he's like a little wet are for the best picture. 2017 goes though La la land. And evidently the poor people from la La land went up. There were two speeches in before they realized that it was actually going to moonlight, starring Civil Sam Shepard and Bruce Willis, I believe. Um, I dunno what the fuck happened. All I know is once I heard that that happened, I didn't want to watch it. You know, I don't, I don't like watching people like that level of fucking awkwardness, you know?

Speaker 5:          00:36:10       Okay.

Speaker 2:          00:36:10       I just seen Warren Beatty be that fucking old. I just realized his last fucking name was what that fucking robot was saying on close, not close encounters. What was that? What does that stupid fucking shit? Buck Rogers where they had that little stupid fucking robot go. Yeah.

Speaker 6:          00:36:25       BDB BDB does he say baby baby, baby baby.

Speaker 2:          00:36:31       There was a stupid, like somebody came up, but somebody sitting in a fucking writers room and they're like, all right, star wars is all the rage. We gotta somehow make money off this. How are we going to do buck Rogers? That doesn't seem that bad. I mean it was around before star wars and one of the things we got to have like an r two d two and a c three Po and the network's like, well, we're not fucking ironman to actors. It's gonna be too expensive. Combined both characters and stick a fucking midget and that goddamn suit. All right. Sorry. All right, we'll see three pos. Kind of a fucking smart cut with an English accent. I would just have this thing be a moron. It just, yeah, it has a catch phrase. I don't know. What's the catch? What you fucking come up with it. And the writers are probably so pissed. All right, let's just come up with the dumbest shit we can possibly say and see what this fucking industry person says. I, he is a little fucking, he looks like a little kid, George Washington, but he's painted all silver and he's made out of metal. And before he talks, he walks around, he goes, yeah,

Speaker 6:          00:37:30       baby, baby, baby, baby.

Speaker 2:          00:37:33       You know, and then they just sat there and they kept the fucking straight face. And that's one of those moments in life, you know, when you throw it on the table, you know, you're looking at that person, they looking at you and it becomes one of those moments where whoever talks first loses and you just fucking wait it out. And then the fucking person goes, ah, yeah, go with that. And they're like, great, awesome. Well let's go do some cocaine. It's not fucking addicting, right? It's fucking the late seventies. Um, yeah. So I didn't, I didn't see, uh, I didn't see any of it.

