Speaker 1:          00:00:01       Do you need to wipe down what's with the jeans?

Speaker 2:          00:05:43       Well I don't care. I'm not, you know we both lacking not even on a fight. Instagram Shit. What's up with dad? I feel like that's a while away. It still Graham Hall. I see the Instagram, Checkmarx and they have like 400 followers thing. Boom. By the time they get around to doing that you like some other medium is going to be sucks. Life is terrible. Verifying is all about it. Huh? Ooh stupid. All right. Thank you to all our sponsors. Keeping our show alive and going. Keeping Blue Band seated right here. Camera's rolling. Are you ready to start the show genes already? There's so much. There's a lot to do. Hitler. Oh boy. Here we go.

Speaker 3:          00:06:24       I shit without them. Don't get me fucked up bitch. I'm still hurting shit and we'll fuck. Okay.

Speaker 4:          00:06:54       Christina,

Speaker 2:          00:07:34       Eric, when you make the sound and you like when I make this sound, was that Angela Johnson and then it sounds like her, her, her nail bed Kinda, she doesn't use that kind of do it like do it. You're the master of all acts. I can do any accent. Um, do this girl. Okay, here we go.

Speaker 4:          00:07:56       Cause people are stuck. Motto. No.

Speaker 2:          00:07:59       Oh No. Yeah, she has a lot of videos that she makes and just puts up and they always do. Who's that crazy people that sounded like you think I'm referring to big words. I just smashed these lunatics. They always do. They always go, I met the mentally ill not, I didn't know what color. I haven't seen this. I think you understand what color we're talking about here.

Speaker 3:          00:08:33       Bad.

Speaker 2:          00:08:36       I don't know which color she okay. I know she's probably crazy. Like they all are. They certainly are.

Speaker 4:          00:08:48       Yeah.

Speaker 2:          00:08:54       Ya now we are

Speaker 3:          00:08:56       now, um, Columbus, Columbus lady who you can't imagine what she looks like. I don't know. She could be Asian. She of course he's Asian. Oh, okay. Yes, of course. That's why maybe, well maybe you didn't hear the portion of the clip once she goes, that's what she's saying about her. Okay. That's my favorite job where I'm still cute. I might live a little bit more taking time to talk, but don't get me fucked up, bitch. I'm still heard shit and we'll fuck your, is that okay? You want to fuck with my mind? You want to fuck with my mind.

Speaker 2:          00:09:35       That's but mommy's accent. Yeah. Yeah. That's an Angela Johnson has perfected that. You do it. It's pretty good. Uh, that fan used to do that too. Oh, not really a stretch for him. He used to do it because he heard it a lot at home. Is he one of those, one of those? Damn Angela actually perfected an accident that's not native. Thank you. Yeah. Well she doesn't have the gift, but she's good at that one wrote asking you to do a Cajun accent one long day. I owe you lunch. I'll nail you wine long nail. Don't want to fuck with me, man. You want to fuck with me?

Speaker 2:          00:10:21       Ching Chong, Ching Chong. Yeah. That's a nice way to do it. Yeah. So she's saying, look, well I'm sorry. Camera's facing her. And she's like, don't get me fucked up. You know? And she goes, so I might look a little more, and she pulls Asian eyes already more. And she was, she goes, she goes like this with her own eyes and she goes, I might look a little Jane, but I will fuck. Don't get it twisted out. Fuck Yo at, I'm a hooded shit. That's what she says. I always forget the point of these videos. You get lost in them. Yeah. So wait, which her eyes are already what? And then she pulls this, she pulls her already Asian eyes. So she's Asian and she, she does this with her eyes and she says, I might look a little like that. I smell a new bit for you. Yeah. You got a new hour to build. Yeah, I do. What do you think I should say with that?

Speaker 2:          00:11:27       She doesn't say Ping Pong. You added. You're tagging for me. It, yeah. This girl has a lot of really good Asian clips. Actually. They're not even Asian. She's aging and she, uh, she makes a lot of videos where she actually, she seems like she is hood is shit. I don't know where she's from, but she acts like she's down. Usually the people making these videos are, what do you mean all videos? Not that bright. Now the ones that are like, I'm fucking this and that. You all know me, I'm going to do that. And you're like, all right. I actually think she, this girl is pretty self aware. Like, Hey Hitler. Like, yeah, she's like a hey Hitler vibe to her. She, she actually, you know, we gotta talk about that in a moment. Oh, most definitely. It's, yeah, it's way different than it grown. It's grown, it's grown. It's grown quite a bit. Um, where did this go? Oh No, no. Hood is, fuck, I'm fucking kill you. Like what's the point of these? What is the point? I'll kill a bitch. I cannot believe we didn't investigate that more Hitler. Yeah, but let me finish with this girl first. So my new favorite drop is this. Did I do it again? Oh, someone's been boning up on her accidents this week. Practicing a lot. Sounds like you're mocking or no, I'm doing it exactly like she's doing it does it sounds like you're kind of, no. No. Okay. So here's what I hear. Another clip of hers. Yeah. What does this genius have to offer and why are you insulting her like that? Sorry. You're right.

Speaker 5:          00:13:20       Oh, Anna bad. My Day because I make crazy as videos, but Chad bitch style, he is talking for free and go home and kiss your kids before you even brush your teeth. I say shit.

Speaker 2:          00:13:35       She does have a good point. That's a good point. I know. Fuck no, I stand corrected. Yeah. Now you feel stupid. So stupid. Foolish. So a bitches suck. She's saying you're, you're a horse sideboards. I'm making fun of her for making crazy videos. Like you're a bad mother. You're saying I was wild. But you hose are out there sucking dicks for free and you're fucking going home and kissing your kids. Brush you teeth. Wow. Snaps, snap, snap, uhmm pal. Feel that burn I think was interesting about these videos is like, who's who's antagonizing you? Like who's threatening you? I think people make these videos where they talk a lot of shit when they feel powerless in their lives. So it's, um, it's a form, it's an expression of rage in a way. It's like, it's like somebody hitting a heavy bag and beating the shit out of it.

Speaker 2:          00:14:33       That's a way of physically do it. So if you don't, if not doing it physically, you were doing it verbally. You're doing it to a camera to express maybe your rage and your lack of power. I'm sure no one gives a fuck about her. That's what my thinking is. What is your problem with it? I'm just saying, I think most people, people who are not thinking about you, you know what I'm saying? Right. You know what I'm saying? You know what I'm saying? I'm talking about people who make videos that go, if anyone wants to fuck with me, I'll fuck right. That's right. Yes. I don't mean to not like her. I like her. Yes. It just, I'm trying to understand where she's coming from. Yeah. Yeah. That's an awesome sound to make for the podcast. It's also a video now. I know, but I mean it's really cool for the audio quality to SIF to beverages, like the guy from TMZ.

Speaker 2:          00:15:20       Are you going to slurp like that? Yeah. Why do what I want when I want. I'll do the fuck I want and nobody can tell me what my mind. Okay, great. So is that good? Yeah, it was good. You do it now. Ching Chong Ching Cha Ching Chong do it like she does it. She does it. She does it. All right. Um, you want to feel me? You know me? No, I'm talking about, yeah. So you know what I'm saying? I'm talking about feeling what I'm saying. Long Time Mountain filling. I me who's that? That's half ounce. Oh, okay. But that's in a proper interview. Yeah. I'm saying, yeah, I'm, yeah, I'm, yeah, I'm, yeah, that's what he sounds like me. I'm yum. Yum, yum, yum. Yum. Yum. Yum. Yum. Yum. [inaudible]

Speaker 2:          00:16:22       there's a lot to get into. Yeah. The video by the way, if put up the video of it and, uh, we had a profile shot going. We're trying this now just to, um, really to get a feedback from the viewers. So this is going to be a different angle. You can tell us in the comments what you think. Tell us if you like this. Do you like the other video angle more? Yeah. How do you want to watch that? Yeah. How do you want to watch the show? Let's screen. Uh, so leave that up to the microphone. It's different. It's different. I see your book and I imagine it, I finally took a shit today, babe. I didn't shit yesterday, but I showed this morning and shit all night yesterday. That's not good. Yeah, it was okay though. I just, I came out normal.

Speaker 4:          00:17:06       Hmm.

Speaker 2:          00:17:08       That's not normal at all. What happened yesterday? Yeah. I just forgot to take a dumb, I don't know how that, how do you forget it's taking care of the kid, you know, we, you and I were taking care of him all day and my dad came over and then I just, the day rolled and I forgot. I just didn't have the urge to shit. I don't know. Yeah. But it's okay. I made up for it. You can stop worrying. I'm totally worried. Is Everything all right now? Everything's fine. Is Everything going to, it's okay. You can stop worrying. Are you going to make it? Yeah. How was it? It was normal. It was just normal. Like, I dunno, it was a clean break. There was nothing on the paper. Um, you know, when I feel like when our son shits, like he's had some fucking disasters in his diapers lately.

Speaker 2:          00:17:54       Like I feel like guilty just wiping it up and moving on with the diaper. I feel like we should, we should shut the shower, our son, you know what I mean? Shit. And then bay them. Yeah. Like he might get a bag the time, I know seven times a day. No, but there should be like a baby blue day that I can wash his asshole with. Can we pay them? We do enough. Yeah. Yeah. I'd like more like my instincts are to bathe him immediately after. Yeah. I mean if I shit the way he should and all over my balls and my butt cheeks, I might be like, you know, I'm gonna jump in the shower after this. Right? Yeah, that's what I'm saying. But we just use wipes and we know. Yeah. Let me wipe that shit up. He's got no hair. No. So you really are getting it off of his skin. Pretty Clean Shaven. What are you shaving her baby's hair off. I shave his legs and stuff. Yeah. I should have his legs in his chest. That's awesome. Peach fuzz on his arm. So I trim that. You cut it off. Good. I use clippers. Oh, you don't ever want to ask you when you breastfeed him, do you feel like going?

Speaker 6:          00:18:55       Yeah. Are you all on the graphic tee? You watch talk me dry. Thirsty.

Speaker 2:          00:19:29       Well, it's always though that gets me, oh, it's so gross. Yeah. That's why I say it Ellis, every time it's so weird that you did you, every time you get them you go like fast, come a little bit loud, sign to suck me dry. What is happening? You're really fired up. I like it. I get it. You think I'm saucy today? You're a spicy. Yeah, I see. Ooh, get sauce. Bearnaise yeah. Yeah. You're really fired at a German. It's so, it's, it minds me. My Dad's accent a little. I think that's why it's alarming to me. Yeah. What one your dad came over yesterday just chillin, Bro. Did you like that? Yeah, he came over wearing like five neon colors. Yeah. Did you notice it came out of Real player player? Like he had a bright neon orange jacket. Here's what's up. And then like some, uh, like yellow flare and his shoes, another color shirt and other colors, shorts and other colors, socks. Another color, glasses. Shades were yellow and he's like, yeah, I'm good. I'm getting at, I'm doing my thing. You feel me? Don't tell talking about I'm his feathers.

Speaker 7:          00:20:49       Right. He's at the helm. What? Mitch you, I'm saying? Yeah. You know what I'm saying? Mutual home. Good motherfucker right there. You know what I'm saying?

Speaker 2:          00:20:56       That's how you, that's how I hear what your dad, yeah. It's just how I know it's arts. Yeah. How many other brothers and sisters, what do you feel like? What do you feel like when, uh, when you, when your dad was spitting game yesterday? It's so funny now that I'm a mom. Like now that I'm a parent, it kind of doesn't affect me as much. It's like this weird thing happens where you forgive your parents for their personalities are like, now you're just crazy. Yeah, that's fine. Yeah. You think you've tried but he's got a great personality. No, he's awesome. But you know what I mean? My Dad's not like, um, like the all American Dad, you know, he's, he's got his own stuff happening. Very unconventional, I'd say. Yeah. But Fun. Right? It's totally fun. He's like Party Dad. He is party dad. He's probably dead.

Speaker 2:          00:21:41       I mean, that's what I feel like. Your dad sounds so weird. Did he talk like that? Yeah. Well he was spitting game yesterday. Yeah. Like plans, rolled takeovers kind of shit. I know he lives in a really good mood though. He loves being a Grandad. I think this is really changed him. Uh, he's really happy. He keeps talking about how good looking the is. You said it like 10 times when you left. Yeah. Doula. He was like, this is a good looking kid. That's why he's always like, some baby is so ugly. This baby is not ugly. He's a really good looking kid. Was, he's a big boy. Big. Then I go, yeah, thank God. You know, it's like he's, you know, it makes you feel more comfortable that he's getting sturdier and he's like, but also as a man, you want your book to be big.

Speaker 2:          00:22:22       And I go, yeah. He goes, yeah. I go, you know, I think we're going to put Alison to sporks when he's, when he's a boy and he goes as good idea. Maybe tennis. Tennis is good money. And Dennis, I go, what about soccer? Soccer's for poor people. I go down, we're not going to send them to Brazil in a favela to play. He's going to play, you know, in La. Yeah. Other kids? No, no, no suckers for poor people that is as good. There's money in 10. Yes. How about Marshall? And he's getting sponsored right away. Yeah. Like what? He's hungry. He's not going to make a living. Yeah, I go. What about martial arts now? No money. A martial arts. What is the money part? I guess just like people with money. Oh, I got it. Yeah. Yeah. Well then golf too, I guess.

Speaker 2:          00:23:06       Right? Which should sign him up for golf. So boring. Oh my God. What if that's his favorite sport? I thought about that. I mean, you never know. I remember when we were, um, probably like over 10 years ago, my buddy read was about to have his first kid and they knew it was a boy. He was Luby's excited, you know, go to baseball games and play baseball. And I think one of, one of the other guys, Casey or somebody goes, uh, what if he doesn't like baseball? And you'd like, you can see it hit him in the head. Like, I'm thinking about that. I was like, well what if he lives or what have you liked soccer? He goes, well, I'm not going to go to the games, but I still love him. Please not going to support

Speaker 8:          00:23:46       his kid. Hey, I got a soccer game today. I'll see you later. It's terrible. Yeah, he was. He was sold on that. Like I'm not going, I'm as too boring. What if our son is into something retarded that we don't like? Like what's the most boring thing to watch swimming, but that's fucking boring. No swimming I could watch cause it was a race. So race, race is always exciting. Uh, if he sucks at swimming, that would say, yeah, like if he was like always laughs, like swim. Yeah. But no, I don't, I think is when it's your kid, you don't really care. I mean I would, I would go watch them do anything. Don't care. I'd watch him take a shit. Yeah, we do watch and take shits. That's true all the time. All the time. We hold a mess. He's shitting. That's my shit's in our hand. I like, I kinda like it though. It's like he's doing something, you can't do anything wrong, kid, whatever you want to do. We support that.

Speaker 8:          00:24:39       Did Not say that I actually meant to hit this. I'm like, oh, but that button's right next to the others. Yeah, it is. I'm putting a little marker on it and then her priorities. There you go. There you go. There you go. Okay. All right. Um, okay. Thompson Cora. Oh, I got to tell people this real quick. Um, God blesses you, but also to anybody that bought the, what blesses you? Anybody that got the cane shirt. Um, I've gotten a number of messages. We would try and respond to everybody. It was a presale and the Presale, you know, you sell it up to a point and then they ship. So there's been a delay. And for people that didn't know, I apologize. And here's what we're doing to anybody that ordered a cane shirt, you're all getting an extra free item from our store. Um, and that's how you, what it is.

Speaker 8:          00:25:35       It's just going to come in there. Uh, but everybody, everybody that ordered ones would get a free extra item to make up for the fact that a lot of people didn't know it was a Presale, even though it says it on the order form. Um, additionally, next week we should have a new shirt and it will not be a presale. It'll be an, uh, shipping, uh, ship immediately order. Um, so hopefully we'll be ready to announce it next week. I'm not even announcing it until those are in stock. It won't be a Presale, but I'm just letting you know now if you got it, you're getting an extra free item to make up for any delay. We just wanted to point that out, okay. Okay. Okay. What's the free item? Is it, did you shave something, your pubic hair off his pubic hair? I was doing, I didn't want to tell anybody but his pubic hair. Yes. Do you think someone would pay a premium for Tom Cigarettes? Pubic hair? I would guess no. You been getting a lot of fan mail from gay dudes who are really into you pubic hair. Yeah, we read, I read that. I sent you that one. Did you go love it? I love Fan mail from your gay fans that are like

Speaker 2:          00:26:44       your gorgeous, my stoma. Okay. They're not saying I agree with that. I agree with you guys. My husband is gorgeous and yeah, there was one guy was like, please, if you, if you also, if you sell a show, please play a bear in the show. Yeah. Yeah. He's like, I'm angry. We would love for you to come do this private event for us. Oh, okay. Attitudes that are the dudes at the,

Speaker 9:          00:27:08       or the dude's there, dude. Yeah.

Speaker 2:          00:27:11       There's a lot of, there's a lot of fanfare from that. I don't mind it. No, you know what I'm saying? That I'm talking about that check or cash [inaudible] you feel me? I'm telling about that's what's up. What I'm saying. Hitler. You want to talk about Hillary first? I like to address it. I just feel like, uh, we, we did stumble it, you know what's interesting is that you and I fall in love with like the first part of clips. Yeah. And then we just completely forget to listen or pay attention. Yeah. Kind of like came in when we discovered, sorry, canine. Okay. We were just like enthralled with her. We didn't even realize she was giving an anal tutorial and, and how crazy she was. Huh? What is also amazing. Why is two gentlemen I may yeah, yeah, yeah. With lone penis. Oh, we just didn't know. We don't know it. Hey, Hitler's about. Yeah, we like a phrase and then we run with it like idiots and then it can be something horrible. Yeah. Um, so one of the, Oh, so amazing what is also amaze and I truly, that's what she says. Like she's convincing. I truly was satisfied. I says, I didn't think I could be. Sounds like Kay may one way ticket from Thailand. Sounds like you're kind of one Donald to talk.

Speaker 2:          00:28:34       I was 15 years old. I love when you do her. I come from Thailand to the gentleman part. Good man. I was with two gentlemen. Wait, can you play or do you, can you, you have it or I don't want to, um, yeah, that's a bit too is awesome. I May, I'm a gentleman with la Ha Babysat. Painted cause he did the, uh, that's the youtube safe version. Yeah. I liked that one better than on 60 plasma. It's a much more hardcore, but you ain't no mill Tommy. My, Oh, is that her? Is that key man? Oh No, it's just another cool chick tongue. My stick your tongue in my os. How?

Speaker 5:          00:29:23       Hi, I'm Kim Man. I am a model. Yeah. For more 60 plus melts now 63 years of age. Yeah. This is my second time around here. And surprisingly, I have an experience with two young gentlemen who have a really, really huge penis.

Speaker 8:          00:29:51       Oh God. I liked her. They to these tenets mutually satisfying that she said that like, I couldn't believe it. They truly satisfied. I'm sorry

Speaker 5:          00:30:03       with two gentlemen especially. What is amazing is, is that I was able to take really, really hard long penis into my vagina as well as, and there is solid.

Speaker 8:          00:30:28       Yeah. Her cadence is amazing. Yes. I love when people who don't speak English natively talk cause they do it so differently. So I'll sort of like the little stuff, like making something plural when it's not so funny. Jan Demands, they're not gentlemen sweety. Those are gentlemen you need to make. You need a mason gentleman's. Yeah, yeah. Real skew notion of gentleman's. Um, well back to Hitler when, Hey Hitler first came on the scene. Yeah. It's like we just get, sometimes it's just like a drop. We don't really look into it. We're just like, this is pretty funny. God. So we played that and then people were saying, I think you guys are not hearing this correctly. She's saying, hey Heather, hey hiller her Hemler or Hitler, Hitler, Hillary's right hand man. Let's not forget handler. He doesn't get as much attention. So then, um, we go, okay, that's, it's, it's, it's debatable. Right? So then last week, um, another audio clip came to our attention, right? A blue band pulls it, sends it.

Speaker 8:          00:31:56       So people are saying, that's Nicholas. Other people like myself think it's lit. Right. Um, and people were like, no, no, no. It's, it's know there's a debate. Well, what didn't occur to us until a few days ago was, well, let's look into these videos a little more. The videos on her page. This is a girl named Danny. Um, she has countless videos. I really don't know how many, I don't know if there's a way to tell when you get to there. Maybe there is. Um, let's see. How many videos did she have? Can you tell when you just hit this? I Dunno. Danny Blue Band. Blue Band.

Speaker 10:         00:32:43       I can't really, I can't tell grid. Does the grid tell you?

Speaker 2:          00:32:51       But it doesn't tell you how many though. Right? People, that's how many subscribers she has there anyways, it is a lot. It's a lot of videos were paging through it. I go out and just put up a ton of stuff. What's one of the first videos I see asking for Hitler's help? H I. T. L. E. R. Crazy Hitler asking for his help.

Speaker 11:         00:33:16       Hitler. It's me being me. I just,

Speaker 10:         00:33:26       yeah,

Speaker 2:          00:33:28       Danielle. Okay, so we know that the hills a problem we talked about before it. Yeah. A few videos later. The video is titled Asking for Hitler's help. Number two. Sure. So it's a second time. It's so weird.

Speaker 11:         00:33:44       Hey, Hiller is Nini? Yup. I have a really big problem right now and it has to deal with Malen Allen, new person. Oh Geez, lily. Hey is stuck and smelling Allen belly button and I'm a get him out, but I can't, so could you help me get him out? So

Speaker 2:          00:34:16       that was a fear of going to help with this. Hey, I don't have, okay, I'm having a really hard time getting him out and I got my belly button. Here's the thing too, is that there's only one Hitler, like after roller to most people stop naming their children, adults or Hillary as a surname. So this is the fewer she is, she, there's no other Hitler that, who else could help like that? I mean, obviously, I mean obviously I'm saying what else could help? Like even in the afterlife, he must have some power. They're probably evil powers and maybe that's why she's, she's uh, you know, back in the dark in the lower, yeah, yeah, yeah. I think she's, she's saying a Baltimore, you know, right. Yeah. Wow. Maybe. Yeah. She's interesting by the way. So her name is Danny. Yeah. And she refers to people that watch these videos and likewise. Dany JAKKS no, that's great branding. It is great branding. You know, she's on top of a branding game. This is called cause a video here called warning about a lesbian video. I don't know what this is about. Um, all right. I only put ads. Ruins isn't Louis Tomlinson. That's the guy from one direction. Is that right? I don't know. I'm not a fan because she has a lot of um hmm. Let's see.

Speaker 8:          00:35:38       Isn't English pop? So yeah, I remember of the, of the group one direction. Um, she has a lot of videos to him. Um, let me see. So to Hitler and then this guy from one direction, those are her two of blogging. She has some to Harry styles who I believe's another one direction guy. That's a really crazy Hitler. Um, yeah. Then she says, this is a video called telling Louis Tomlinson, I'm pregnant again. MMM. MMM. MMM. Okay. Okay. So you go through these and then it says singing happy birthday to an end. The title of the video. Big words. Yeah. Lips and it's on youtube titles on Youtube titled that way the word is totally spelled out, not like astericks or so. Yeah. Wow. So now there's, there's no debate. Um, it's not a very nice title, I think even for your dany acts. But here's the thing, much like, you know, she's just reading off with the person's name is, is that her fault that she's, she's just repeating what's given her big words. Yeah, I dunno man. I don't know. There's, there's so many videos, there's so many videos. Um, there's even one where she says something to Sophia Smith and she's like, Sophia Smith is bad. And then, and then the next week is called eating Sophia Smith Pussy. Really? Yeah. And she just looks the air. What the fuck this chick is whacked. Um, while she's off her meds. Big Time. Yeah. I don't know what's going on.

Speaker 8:          00:37:23       Hey Dany yaks

Speaker 12:         00:37:27       talk about a personal moments on 'em because it's really personal. But yeah, I just have to say to those like wanting to do, um, okay. I basically don't why being on? Because it's really uncomfortable for me on top. How to do annual SEC's annual. Yeah. Um, uh, why being on top? It's really uncomfortable for me. Plus I don't know how it is. Do Annual Sec's annual site? Maybe Hilary. I love being on the bottom just because oral sex there's a lot more comfortable cause oral sex. Sex is good for other people that I just like oral sex better.

Speaker 8:          00:38:38       What up? No, you're leaving that out all together.

Speaker 12:         00:38:41       I really don't usually talk about this stuff on you to just be cause there are like kids on youtube. Um, then

Speaker 8:          00:38:54       tell him all about annual section. Then the Hitler stuff is normal for you. Annual sex is um hmm. Interesting choices we're making. Yeah. I wonder if Heather can help you with the annual sex and the click. Yeah. Finding the click. Touch my click just lik that motherfucker right there. That's wrong with people. There's a video here called asking Simon Cowell to do me a favor. See, I don't know if this is reaching the people you're meeting this school.

Speaker 2:          00:39:21       I don't think it is. I think, no, I think nobody that you're targeting. Is that right?

Speaker 11:         00:39:27       Hey Simon, I know you're actually a one directions manager, but could you like do me favor like really quick? Um, yeah, you got it. I'm going to mail a gift to, to lily for Valentine's Day and if I do send a gift,

Speaker 8:          00:39:55       I dunno. I mean for her to think that Simon cow was going to get that, it's almost, it's almost less likely that Simon cow. We'll help you then Hitler will.

Speaker 2:          00:40:06       Yeah, I kind of agree. I don't understand why you think Simon's a harder target. No one's looking for Hiller. Yeah, everyone's out for Simon, so yeah, he really got an aim

Speaker 8:          00:40:16       a little lower. Yeah. I don't mean, I think you should start with maybe like a, like a mayor. The local dude. Yeah. Maybe somebody on the city council and then be like, Hey, will you help me get this guy out of a belly button that he's stuck in? Because Hitler and Simon callow are very busy guys. Hello? First of all, he's dead. Yeah. Um, he has a lot of evil things to do. We can't, but you can't bother and burden him with one direction questions.

Speaker 2:          00:40:49       But I, but oddly enough, I, I could see Hitler being like, I enjoy one direct, like I could see him liking the band on accent is very entertaining. It's five white guys. I don't even know if I realize this is nice,

Speaker 8:          00:41:07       but I don't really see what's there. What do you know their songs? No, I don't know their songs, but they're, I know they're immensely, oh, we can't play that on this show anyways. Uh, yeah, I'd say we should listen to them. Oh yeah. And there's one here. It's a nine second video. It says turning Justin Bieber back into a male. Hmm. I Dunno.

Speaker 11:         00:41:28       Back in to a male.

Speaker 8:          00:41:33       Is this for Hitler?

Speaker 2:          00:41:34       Hitler. Hitler request. It says it's a spell. Oh, she's doing what she does. She does spouse. Yeah. Yeah. Wow. It's a lot happening. You think if you had a kid that was like this, you may want to pay attention to the youtube videos. I'm interested about this right here because she has a video here. I'll talks about the ying Yang twins. Oh, I like those guys.

Speaker 12:         00:42:07       Yeah. Like, uh, trying to get you off and they're actually doing the dirty work. So Amalia, who's dirty work doing the dirty work? Mama Mia, like, yeah. Yeah. Like suggests she is, her world is Yang Yang twins, one direction. Hitler, you know, housing, right. Houses.

Speaker 2:          00:42:42       So this is, this is feeling very Shane leash. That was going to say that. And you know what's interesting, the common thread with all of these cooky shoes, you tubers. Yeah. Poor audio quality. You may never know how to produce a decent video. Shane Lea, same problem with the beeps and the yeah. And the um, and then the rappers, the fake rappers, the music beds always too high on their stuff. Yeah. Yeah, you're right. That's a sure sign of mental illness. Kind of do this for you real quick.

Speaker 13:         00:43:14       Sorry. Mid Show break now because I need to be in there. The Ah,

Speaker 8:          00:43:36       the little overkill. Little over done. Okay. So we solved the Hitler Nicholas Debate. Um, you know, a lot of times advertisers have asked, they go, how do you feel about, um, a pre produced, uh, advertisement? In other words, we just give you a file and you play it. And my feeling has always been no, I think, I think speaking directly to the audience with products that we actually, you know, use and endorse always works better. There's more of a connection. But there's this one ad that came in where it was pitched to us and I said, you know what? I think it'll still work for our audience even though it's not us reading the copy it's made and then we play it. Okay. And so this is the first time I'm playing it here on show.

Speaker 2:          00:44:32       Um, and you know, obviously if you guys don't like it, you know, I'll tell them and we'll read the copy, but I just thought, let's give it a whirl. So here's a, our mid show, um, ad

Speaker 4:          00:44:44       love, delicious homemade desserts, but recipes can be complicated and takes so long to make measuring for delicious desserts guarantee delicious scrumptious kids will devour this. Similar A, here's the cake mix, chips, marshmallows, chocolate cookies. Now here's one of my favorites, just syrup, sugar, cinnamon, and then just layer in some biscuits for fresh and warm. Sticky buns.

