Speaker 1:          00:00:13       Joe rogan experience podcast.
Speaker 4:          00:12:47       I was a kid, you know, it was 19 or 21 actually when I retired in between 18 and 21. We're all the really dangerous fights like national level fights. But you, you, you experienced these extreme fears and extreme highs and extreme lows. Like when you win, it's the greatest feeling in the world for these guys. Like you see guys that win like Johnny Hendrix, when he won the title drops down. He's just fucking. You see this rush of joy that goes through him that you and I are never going to experience. I've never experienced that in a taekwondo tournament because it was. It didn't mean as much. That's what these guys are doing is like this insane top of the mountain high. And so when you get to that top of the mountain high, the guys who have had those big wins, like Brendan's had some big wins.

Speaker 4:          00:13:38       He knocked out Mirko Cro cop who's like a legendary cancer. Mirko was legendary. I mean he's a. He was like one of the best kick boxers ever to enter into the glory days of pride. You know, when Mirko Mirko has like a head kick Kao highlight reel, that's like one of the greatest of all times. But if anything, the Mirko Cro, cop fight should prove my point to Brendan because if Mirko Cro cop and he fought back when Mirko Cro, cop one, the pride heavyweight Grand Prix, that would have been a completely fucking different fight. That was a different guy back then. It was just a different guy and everybody knows it. He fought Gonzaga in the UFC. He fought a 80 Sanchez first beat him and they fought Gonzaga and he got cro copped essentially. He got head kicked by Gonzaga, who's a very strong guy. Gonzaga's like, oh, he walks onto the stage like when they have to weigh in on Zaga sounds different than everybody else.

Speaker 4:          00:14:35       Sounds like it's made out of stone. Just a big, powerful fucking dude. Gonzaga is a beast. Gonzaga correct. One off the side of his head. And from then on, man, he just wasn't the same guy. I think those two fights, like in the UFC, he was never the same. His first two fights. He had some good fights in UFC. He was never the same as. He wasn't pride. You think a lot of fighters like stick it out longer than they should because there's no fallback. There's like, okay, I'm a fighter. I, I don't. I mean those guys have skills, but like I don't have any like me as a comic. If I ever decided I'm not going to be a comic, I have zero other skills. There's almost nothing that, that I know how to do. Yeah. I even said when I was trying to like make an analogy, I made a bad one.

Speaker 4:          00:15:21       I even said if I was a comedian, you know, and I was fucking terrible. I would want everybody to tell me that I should stop if there's something that happened to me and I wasn't funny anymore, but I'll still going onstage. I would want someone to come and tell me. That's a terrible analogy. Okay. I was just looking for something and after I said I was like, that's not good. Obviously being a comedian, it doesn't cause brain damage if you just suck at something, you know the difference between sucking at fighting and I shouldn't even use the term sucking. Being unsuccessful at fighting and being unsuccessful at like writing a book. If you write a book and it sucks, everybody goes through, your book sucks, but it doesn't, it doesn't give you a concussion, you know, and it doesn't give you concussions and training that you kind of try to ignore, you know, dudes land on your fucking head and training, you know, even in grappling guys collide, collide heads all the time and these are all, you know, these are all points against your brain.

Speaker 4:          00:16:18       Every one of them points against your brain. Every one of them points against your brain. Obviously comedy doesn't have that. If you think I suck, that's, I feel bad, but it doesn't hurt me. You know, he had been losing fights lately. Well, he had a real bad fight with her lawsky. It was like it was real clumsy and just look like both of them were just way out of sync and are all. Obviously it was super nervous because it was his first fight back in the UFC. And then our last, he subsequent performance, he fought big foot Silva and looked fucking great. Knocked him out in the first round and looked smooth, so like he got over his jitters for his second fight back because he had been out for eight years. Our last was the UFC heavyweight champ at one point. It's just Brendan looked super obvious like he was like telegraphing is shot.

Speaker 4:          00:17:05       I was worried about them and I'm also worried about him because he. Before that he got knocked out by Ben Rothwell and then he beat, what's his name? Lefarge Johnson, who's a beast of our Johnson's fucking scary. He's a vicious puncher. Beat Lavar by taking them down and just holding them down. That's basically how he won that fight and even kind of said like, Hey, I'm not standing with that fucking guy. Which is very intelligent of was a good win for them. Fought Matt Mitrione and condom and it darce choke and put them to sleep, which is a big one. That was huge. What I worry about is not those fights. What I worry about is a fights where we get hit with Ben Rothwell hit him. Ben Rothwell hit him with one left so I can just shut the lights out. His body dropped and Roth was on top of him dropping bombs know, and then he talked about it on the podcast.

Speaker 4:          00:17:50       He was saying that he actually got hurt before that in training sparring with Shane Carwyn. Shane Carwood apparently heard I'm really bad with a punch. So you have to factor in. How many times did he sparely Shane car when my mind starts going, hmm, you're probably spawn with Shane Carwyn once a week. At least. Shane car one is a mother fucker. You want to talk about a dude who's built for war. I've met a lot of like freak athletes in the UFC. Like John Jones, a freak athlete. Daniel cormier has world class wrestler. I met a lot of freaks, but

Speaker 5:          00:18:27       you know,

Speaker 4:          00:18:29       if you, if you think about like elite level fighters and elite elite level athletes, you know, there's, there's so many of them that are so fucking good that it becomes, you know, it becomes a matter of whether or not you want to be the kind of guy who loses five or six fights in a row or whether or not you want to take those five or six fights back now.

Speaker 5:          00:18:57       You know what I mean? Yeah. I want to.

Speaker 3:          00:19:01       I just think it. I think it's, it's scary that you're concerned with a friend because you work in the business and it's interesting to see where this new information comes in, how danger it is, how you can sit there and even be friends with anybody but

Speaker 4:          00:19:19       without. It can be friends with a man because you can take a certain amount of punches. Just gotTa know when to get out. Your friends got to know to let you out. What I was saying about freaks, man, Shane Carwyn, St Darwin has fists that I'm not shitting you. They look like. See that Marshall amp over there? That's like Shane Carlin's fist. They're the most ridiculous thing I've ever seen in my life. He had like four or five xl gloves, like it was always a big thing that brock lesnar had these giant fists until he fought Carwyn. Like Carlin actually had bigger fist and lesnar. I mean, you're talking about things that don't even make sense. It's like his. His body structure is so odd. He came into Jujitsu once. I was training at a mall Easton's place in Boulder, Colorado. It's the best Jujitsu in Colorado in a mall has this beautiful gym where everybody's rolling, we're in class and this guy walks in and I go, that's not even a fucking person.

Speaker 4:          00:20:13       Like, what is that? Right? This guys got like a gene, like a, like a pair of jeans on and a like a tee shirt. You probably, it's probably like a double xl, but he's built like a fucking superhero. Yeah. So then I realized it's Corwin. He don't realize how fucking big car when is until you see him out with regular people in a normal sort, almost like everybody else has just walking around their normal clothes and then this guy walks in and it doesn't even look like he's a fucking human. Yeah, I mean just go villa. And that guy was sparring with Brendan on a regular basis. He hits

Speaker 2:          00:20:48       he, he knocked Gabriel Gonzaga dead with a punch from like seven, eight inches away. Just just, just crank, boom. I mean, he was a destroyer and so shane was getting in sparring sessions on a regular basis with Brendan. So he's getting hit all the time. There's Shankar wins. Fists are on the right. And Brock Lesnar's are on the left. Yeah. What is that? He's a God damn gorilla. He's a goddamn shaved down white gorilla. He could hold that iphone plus that would have been a, he would have been a champion. You know, he had a few issues. One of them like back issues from um, all of his years of playing football. He had some serious like, like stingers and discs issues and stuff like that. Those guys are just colliding into each other, big giant dudes that size colliding into each other, but if he wasn't, if he just went straight to mma, wrestling and mma, I think that dude would have been a world champion.

Speaker 2:          00:21:46       He was athletic freak because she was so fucking strong, you know, it's just like he was one of those dudes like you couldn't let him hit you if he hit you. He fought Frank Mir and it was one of the most brutal beat downs I've ever seen in all my years because the way he did it, he muscled Frank Mir up against the cage, got him in like a collar tie or maybe a, maybe a tight overtook. I don't remember which one it was. And then he starts blasting them with left upper cut. It's just boom, boom, and you could see me or stock can't get out and can't take these shots. And he's just. He just sprinted at him, just sprint out on him with bombs and the mirror went down and they finished them off on the ground and that was a brutal, brutal knockout.

Speaker 2:          00:22:33       So Brendan was sparring with that guy on a regular basis. So it's not as fight. I only got hit, I got hit maybe twice in my life where like I thought I was done with like stars in that weird buzzing sound that happens. One was a, I've told this story before, Danny bonaduce and then the other was a Stephan Bonner. This was years and years ago. We were sparring for some reason or he was sparring with Stephan Bonner. He was at. I don't remember the thing. We were at Krav Maga. He was there, I think it was training for a movie or something and some of the guys, the stunt guys were so anyway, so we, we started sparring and then he gets into the sparring. So I'm thinking oh he's probably just wants to know how to fight. So I've been kind of bounced around. Next thing I know I just heard ringing and whatever. He kicked me in the thigh that not like to try to like we were sparring so he wasn't trying to full blast, you know, whatever is 30 percent is is my 150 percent with the 40 year olds I box, you know what I mean? So it was nothing to do with him, but that was the first time in everything was ringing and I'm like Oh God, that was once. It's too many look and imagine

Speaker 4:          00:23:46       that over 12 years and just not just those like football injuries to. Brendan also played football I believe college and high school and you know, he was a, he was a fucking, he still is a really good athlete and that's why he's become a good fighter. But the difference between a good fighter, I mean he's a very good fighter, but the difference between that and the top of the heap guys, there's a leak, there's a leap, but there's a bridge that you have to cross. Could you cross that bridge physically? You never. I mean he's only 30 years old if he became like super dedicated and went to a very strict Moitai camp. And learned like really wicked, wicked, stand up and didn't fight for it. But how do you feed yourself when you're doing that? You know when you're a pro athlete. That would be really.

Speaker 4:          00:24:27       If he did that though, if he just stopped only training and competing for fights and I know he works on a skills as well, but if you just completely dedicated himself to the scariest part, which is the kickboxing, that's the scariest shit. That's the shit that everybody should. If you're, if you're, if you're coming into it with nothing, that's a shit you should almost concentrate on the most because it's the most dangerous. If you don't have it good defensively. Like if you get submitted, it's bad. You know you can break your arm for sure. You can get choked out, but they can fix your fucking arm. You get too many knees to the head from a guy like alister over him. You know you don't. You don't want that. You know the fighting is all about mitigating damage. It's all about inflicting as much as you can, but mitigating as much as you can.

Speaker 4:          00:25:08       And one of the best ways to mitigate damage is technical proficiency and that's something that people don't think about. They want to think about strength and conditioning. They want to think about running up hills. The most important thing is technical proficiency. It's the most important thing by far. And there's some guys that unfortunately for them, they come into striking late in life, like some guys come into striking and they have a background long background of wrestling and so they're. They're not used to jumping forward and throwing combinations and footwork and drills and it's alien to them. For whatever reason, their body doesn't adapt to it. You see a lot with white wrestlers. Sorry, white guys. But it's true. There's a lot of white wrestlers that for whatever reason, there's just slow with their punches. There's some guys that excel like it. Jake ellenberger, obviously Johnny Hendricks, obviously those guys started out as amateur wrestlers, but learned along the way to blast power punches.

Speaker 4:          00:26:04       But some guys never do. You know, there's guys like Ben Astron who I think is one of the best hundred 70 pounders in the world. He's a wicked wrestler. But his stand up is just really to close the gap. It's just to close the gap and then he gets in on you and you're fucked. He's just too good. He just. His wrestling is so much better than everybody else's. He just, when he gets in on you, it's Foxville, right? So his thing is all just about getting it on you, but, but the, but starting out with a deficit in strikings, the most dangerous because if you're one of those guys that doesn't have that fast twitch body, like a tyron woodley body or Hector Lombard body, but you started off as a Grandpa, but you can pick up the strike and really quickly if you don't have that kind

Speaker 2:          00:26:43       of body and you don't have that kind of coaching and you know, have that kind of training and the gym with her going over technique with you with a fine tooth comb. It's a fucking dangerous aspect of fighting. It's the most dangerous aspect is the one thing that you don't want to suck out. The one thing that you don't want to fail at is striking. And if you fail at wrestling and you didn't just get taken down, you know, it's not good, but it's a little bit better than getting fucking wheel kicked in the head. I was good at striking. My problem was, is I stopped striking about five inches away from your face, so that's not good.

Speaker 2:          00:27:22       So I could never figure out how to get. That was my thing. I, I'd always throw everything and you can literally just stick your face out and I wouldn't hit you because I would never. I was afraid to always take that, you know. Then I'm like, what am I doing? I'm doing this. Well, we talked about it before when you were sparring in class. I was like, how far? Like you gotta be careful. You told me that somebody had grabbed your foot, you threw a kick that grab your foot, held onto it and knocked you out. Yep. And I was like, come on man, you can't be doing that kind of spark. I used to bring my box, he stuff on the road and then I go to a bar, you know, a boxing. I get a trainer for the day, this is back when I was.

Speaker 2:          00:28:00       I would wake up, but I. I would go and do that and then sure enough they'd always say, do you feel like sparring? Keep in mind, this was 10 years ago when I'm like, yeah, let's. And then with defined out your comedian or whatever. Then they just want to kill you. It's a better story for them to knock you off. Then too lightly spar just so people get their sweat on you. Right? Yeah. That's hilarious. So, so I stopped doing that. Some people are rude with them and they don't think it's a big deal to Knoxville me the fuck out. So rude. It's like, you know, it's fucking. You could really damaged someone's head and I know that's the point of fighting and in a way it makes me a hypocrite. I'm fully aware of that because I do enjoy fighting. I love watching it.

Speaker 2:          00:28:44       I'm not going to not watch it. I just. I'm a big fan of brandon as a human being and Brendan Schaub is a guy with options. He could do other things. Brendan can. He'd go on and people from your pod, like I only know him from the podcast. I didn't really even know him as a fighter, you know, they got money when he's a guest here. He was always super entertaining to me. He is always funny, dude. Yeah, yeah. He's a funny dude and he's a. he's a really good dude and I think a lot of people don't understand him because of some of the hype surrounding some of his fights. He would talk a lot of trash, like he talked about trust in this fight and people get mad at him for that and they think he's that guy, you know, they'd get mad at them for maybe over assessing his possibilities being a champion, but he's a fucking great dude.

Speaker 2:          00:29:32       He really is. He could do anything. He, the dedication that led him to go from football to mma, he could go from MMA to having like a super podcast and career, which is a real option now. I mean, even better and better. Where's the fucking John Hef Rancho. You know what? I had one for like a second. You and repad a show for me and her ipad to show and then stopped doing it and then I stopped for a long time and then I started one called the state. I'm in a and I was like, I'm going to talk about what, where I'm at physically and mentally that'll be that way. I've seen, you know, so I don't have to figure out. That's a good idea. And then. So I had like Martha Quinn on and I, you know, I had. Did you interview her after she got out of jail?

Speaker 2:          00:30:14       Martha Quinn, the MTV Vj. Thinking of Martha Stewart. Martha. So it started off really, really good. And then I think it's been, I think I'm up until a month and a half and I haven't recorded one. So mark don't know how to do it by myself. Like how bill does this podcast with just him? That's his art that I don't know. His new special. So good. It's really funny man. It's so him. It's like the, in my opinion, the best one as far as capturing him doing like a regular set. He so loose up there. That's where like I, I know I have three specials and I'm going to get ready to shoot my fourth. I haven't done a special yet that I would go, yeah, that's how I am. If you come and see me alive. Who's the closest for me? This last one's the closest. And you did it in Denver at the downtown or the comedy works downtown?

Speaker 2:          00:31:05       Yeah, the little one. There was 250 seats and stuff. I've recorded two cds there. It's the best. It's the best. It's one of the. I mean there's no the best club in the country because there's a few clubs like that, like there's helium and Portland. You know, there's a, there's the element, helium and Philly, that's another one. The comedy works. Original Room. It's like one of the all time great rooms. There's a bunch of those. There's a bunch of foam. That fucking place in Utah is really good. Man. Wiseguys. Oh yeah. Oh my goodness. Utah Salt Lake City is filled with really fucking cool people. That was weird. Like I figured we're going to go to Salt Lake City. Everyone's gonna have their fucking pants pulled up to the rib cage is going to be very weird. They're all gonna, have the straight and we met a few of them.

Speaker 2:          00:31:49       Like when I got there I met some lady in the elevator and it was talking about it on stage because you could tell just by how friendly she was and she was a mormon, like shoes. Either that or she was looking for Dick and she wasn't looking for deck, so she was a mormon. She was like a mom and we got in the elevator with her and she was just like, hello, where are you from? How's everybody? How's, how are you today? Right. There's this weird like as far as Cultco, Mormons are some of the coolest motherfuckers. They're like, Jen, they don't fuck with people. They're gen generally. Pretty friendly though. It's like a really good call. Yeah. I've met her many, many moons ago. Met a stripper who was Mormon, was the whole thing. Oh my goodness. Like that's a mess. And then she got kicked out of being Mormon.

Speaker 2:          00:32:36       Know that club that I worked at this year that I've ever been to Lexington, Lexington, off-broadway, Lexington, Kentucky. I used to do the Improv there, right. So this place I believe it's like, it's off Broadway. It's in like a strip mall, but the club's been there forever and it's one of those ones when you go and you see the head shots, but they're from dudes from the eighties, you know, you see all that. And then so in the place list lung shitty. So in my brain I'm like, oh, okay. It's give me one of those weeks every show. It took me till show to, to figure out why the audiences were so bad ass. They don't serve food or nothing. So it was when. So you're taking out the element of people eating steak and mashed potatoes. It's terrible. It was terrible for comedy, which is still really fun.

Speaker 2:          00:33:27       I never would have thought like great shows. Nobody healthily or nothing. I know it's, it's nice for people because they can get like a dinner and a show in at the same time. It's good for them, but like for the show itself, the overall performance, like sometimes you're, you're looking down at the crowd and they were literally looking sideways, like everybody's looking sideways and they're eating meals and you're doing standups like you're doing stand up in a restaurant and this. That's fucking weird, man. You are dinner, whatever. This past week I'm doing my stuff and I'm like, why did I lose half the room? And then you see two waitstaff with pieces of cake, but they had like 20 pieces. So they're passing out cake to everybody at a birthday party or something. Yeah, like the guy. But if you're going to eat cake, you're not gonna pay attention.

Speaker 2:          00:34:10       Anytime cake runs around is usually when the focus goes onto the cake no matter no matter what. So it was Kinda. That's the one benefit of doing a theater because you're doing a theater. They have a bar in the very back. You had to go through the doors to get to the bar and no, there's no way. Checks, no checks, no waitress. Get your booze for the show. Show generally starts about 15 minutes late. Give everybody a chance to get back their seat, their drinks, and then just sit down. Yeah. You know there's. There's something about comedy clubs though that's better. The setup is better. The low ceiling and the irony is the only way to make that setup work is you've got to make money and liquor and the only way to make money with liquor is you got to have waitresses to do it.

Speaker 2:          00:34:49       Theater, you kind of. It's like they're just very different. It probably depends on what side you're on. Like I do four to five clubs a year. Let's say. I would love to just do some theaters. I would love to blow into a town. Be there one night, shoot the Wad, take off the next day just because you just read today, age or whatever. When you go home, I going to kill five days in Dayton, Ohio. Then the following week, Toledo, are you shitting on Dayton and Toledo last order that I would like. What? Do you know what? I know what you mean. Well, that's one of the reasons why you should always like if you can take a friend on the road with you to open for you a giant and it changes the whole game to take a friend with her. You're having a good time. You know you and him are just the shit and laughing.

Speaker 2:          00:35:38       You can go to the movies. You can do all kinds of shit. Get to enter together. Side note, I mentioned kippah data because I'm obsessed with him. Why? He's obsessed with. Okay, I have to wait. I have to watch what I say because here's what I'm obsessed with. But he like, he's been. He goes after Internet trolls, I guess from what I'm, what I'm figuring out from other youtube videos he puts out, but he says people's names and phone numbers and he just goes and he does this whole thing going. You can come to my website and post something bad about me. Joe Rogan. Well I will tell you, don't use my name. You call them candies, but. But he has like, he has one video where he's talking about somebody pulls out a gun and he takes out all the bullets and then he kind of looks through the barrel wise talk. He's like, yeah, maybe scary. So that's why I'm obsessed with talking about that off the airflow hanging from a thread. Comedians, we tend to be fucked up. You think it happens when we get older? Like we're talking about like your instance, right? Like there's a lot of guys that just the older they get or is it just trauma somehow we get head trauma.

Speaker 2:          00:36:51       Well, I think as the older people get, you know, they're more likely to go crazy anyway. Yeah, right. So grandma and Grandpa weren't, they weren't the same as when they were ready to call it a, a life, you know, my grandfather before he died, it was, it was sad. It was just like he was barely there. You know, they uh, pupil people get real weird when they get old. Yeah. My, yeah, my grandma's 91 92. And you have to ask her the same questions. And then she started asking what my mom was doing. My mom passed away so I didn't like. Then I had to that conversation with her and then she got legitimately sad is if she just found out this information. I'm like, this, just this, this, uh, when they get Alzheimer's that's really spooky. Whether they really don't know where they are, they'll wake up like in the middle of doing things and not be sure where they are and they don't know people that they've known for years.

Speaker 2:          00:37:48       Getting old sucks the fat one dude, you know, luckily we'll be young forever to tie it into. What I was saying about Brendan is that all that shit is coming worse if you're dealing with head trauma, all the other shit that everybody else has to do with it was coming, you know, threefold. Hopefully not. Hopefully it gets out now. It'd be all right. There's a video of Terry Norris, somebody, uh, we were talking about on the podcast. Somebody put it up on the message board, I think it was or twitter, one of those. And I watched again Terry Norris when I was a kid. When I was like in my early twenties, Terry Martin Harris was the welterweight champion I believe, or 1:54, I forget which way, but God, Tammy was good woo. He had this

Speaker 4:          00:38:36       fucking lethal left hook man and. But he would get tagged a lot and fights. He would, he would fight guys and get hit. You get nailed. It happened a few times with him. He was a just a blood and guts super warrior boxer born with that, right? Like I don't know about that. I was talking to them. My point is that now he could barely talk. He can barely formed sentences. It's really hard to watch and you know, he was, he wasn't that old when you retired, you know, it wasn't like he was Bernard Hopkins fight and deep into his forties and then Bernard Hopkins because of his skills doesn't really get hit that much. So he's fine. He's 49 years old and he's fine.

Speaker 5:          00:39:19       Huh?

