Speaker 1:          00:00:00       Four three, two, one. Boom.
Speaker 2:          00:06:16       Yeah. Uh, in a, in Norway, Norwegian countries, they're very tall. The median height is like six feet, which is insane. Well, Iceland has a disproportionate number of strong men, competition winners. Those guys who were the strongest man in the world, you know, let's do this. Thrill barrels, cars hop. I love. Yeah, yeah, yeah. Those guys, a lot of those guys come from Iceland. Well the guy who plays the mountain, he who took strong commander in the world title, he's from Iceland. He for sure is he is fucking you. Like if you saw that guy coming over a hill on a horse with a sword, like, aw fuck, it's over day. Yeah, this is the day we stop existing it. We're done. This is day my clan gets wiped out. Or that thing where they to save to save lives. They'd be like, our champion fights your champion.

Speaker 2:          00:07:05       And then that person wins and then that guy comes out and you're like, ah, fuck. I was so good back in the, in the, in the knife Jim that we train in. But this guy, well that was the saddest part about game of thrones is the, that uh, the cocky bisexual Guy [inaudible] the Red Viper. He was ahead. I dude, I was broken up with my, my now wife and just was just back from a weekend on the road and was tongue over and was just like, oh, watch game of thrones. And I just tweeted like, ag, I'll watch the, I still have it. Don't tell him what happens, you know, blah, blah, blah. Just to, just to have some connection with the outside world in my one bedroom apartment. And I watch people like, don't watch it alone. I was like, well, and I watch it and it just ruined me because it's so fucked up.

Speaker 2:          00:07:49       He's screaming how you're raped his sister and he's crushing head. And I'm just like, aw man. The way he did it too, he just grabbed his head and killed him. Like you would kill a chipmunk or something. The worst death. And I've probably seen on screen and I've seen a lot of bad, horrible screaming deaths, you know, like it was worse than like the guy and saving private Ryan where he's like, wait, wait, wait, no, no one. The guys just stick a knife in there. It is right here. Oh God. Brutal. Yeah. It's also looks horrible. Yeah. Well I think it's, it's, it's, it's something you write in a fantasy novel. Like I don't know how someone could have hands that strong. He has hands up. Yeah, you're right. What am I saying? Just strongest man in the world. If anyone has handset strong, he's going through the eyeballs. You can pop ahead for sure. Eyeballs first to grip. Yeah. Tell you think you could do that to a baby. Oh, I thought, I mean you couldn't, but you could physically, right? Yes. You could. Moral diamond took over my bay or meth. You'll probably wait. What did I say?

Speaker 2:          00:08:54       I was to a friend of mine and she was telling me that her dad had been hospitalized and while her dad was hospitalized, he was in like this, uh, like a care home for older people. And I'm a guy who has schizophrenia, will freaked out and tried to eat him. Oh God. While he was there. Well, yeah. And then he said, fuck this, get me out of here. And he wound up dying at home. We want of dying at home rather than die in the hospital because a guy tried to eat him. Imagine like your last couple days of life or escaping a schizophrenia guy who got out of his room and tried to eat it. This is why I worked so hard all my life and raised a family and now I'm here. I mean, that's already your worst fears to be Sidai away from your loved ones just around strangers to be back at the first day of high school basically.

Speaker 2:          00:09:40       But you're old and everyone's old, but then someone's trying to kill you and eat you. We don't, we don't get rid of people like that quick enough. Like, you know, you get rid of bad dogs, dogs bite people. You put them dot. Yeah. Yeah. I should. I got to tell my mother that because she works with this group called the village, which creates a network in any given neighborhood where if you're young or you're old, you registered on Kourtney thing and basically, uh, this person can live out their final years in their home because they have a network of neighbors who check on them every couple of hours or call me, here's my cell. Like I have, I'm having a chest pain. Okay, cool. Let's just get you to the hospital. Cause it's like, I think people deserve to, you know, as long as you're not eating people that killing them, they can die in their homes.

Speaker 2:          00:10:25       Yeah. That's a, that's a concern that you really don't ever want to address until it's too late. Yeah. The, the, the concern of when and how do I go? Yeah. You know, I mean you have to accept that you're going to go and some people just have a really hard time with that. Sure. And even deep into their old age when they're just decrepit and they can't make it any more, they just can't handle the fact that it's all going to end. No, no. That's why you have to live your life to the fullest and not bite your tongue and just be yourself because I guess or just chill the fuck out and wait for the end. What do you do? One of the two, I don't know. What is the life to the fullest, right? If it's all temporary. Sure, absolutely. I mean there, there is that point where it's just like, well, is there any point to life?

Speaker 2:          00:11:11       I don't know. I've gone back and forth with trussell on this where I'm just like, Duncan, Duncan will fucking send you down a rabbit hole with that man. I don't know man. Yeah, the cosmic, he'll make some sense out of it. He will. He is the cosmic trickster without a doubt. I were bordain speaking of Dane, he was that he was saying, they were like, how would you like to go? And he was just like, I just want just one bullet in the back of my skull and you'll see a comment. Yeah. But meanwhile he did it himself and did it with a rope. Yeah. It's just, I was friends with them. I that would fuck me up. Fuck me up. I wasn't, and I was a fan of his since the first article came out in the New Yorker that he wrote, it fucks you up because you just go, I wish she called me. Yeah. I wish. Or I mean I would have to France,

Speaker 3:          00:11:54       no, I wouldn't of, oh, does it suck it up. Pussy. Right. Don't kill yourself in France. Yeah. But in back to America, she would have checked in. Yeah. Cause I mean, I know it's all about perspective. There are times where we've all come close to not necessarily putting a gun in. Our mouths were rope around her neck, but where you just feel like there's no point. Yeah, no, but someone can just come in. I say it like coming up in the, in the crew that I came up with in Chicago, you know, Canadian and Hannibal. Uh, and, and people like, we, we never let each other get away with shit where it's just like, yeah, you're saying that, but fuck you. Like you need those people in your life. I'll never forget. I went through a horrible breakup and I went, I was in my apartment for like a week, only leaving to wait tables and bartender.

Speaker 3:          00:12:34       And then I finally came to a show and Kinane is like, hey, look who pushed aside all the clumps of used Kleenex to be with us. Welcome back you fucking pussy. And I remember laughing so hard and it all went away. It all went away. It just cause you take yourself so seriously and it was never going to get better. And it's, I mean, I just think about despair as this demon that latches onto your back and it's your job to fuck it up, get it off you. You know what, what's your thing? Uh, destroyed the fight. The bitch in you conquer your inner bitlocker year you're going to pitch is, I usually, when I'm referring your inner pitch, I mean the inner bitch, it doesn't want you to work out well. That's, that's, that's the one I relate to the most where it's at.

Speaker 3:          00:13:14       I feel that every time I'm in a class, every time I'm in something like that, it's just like something and you're just like, I just want to sandbag it. Let me just sand. But just this time, well, I mean everybody has that. Yeah, I still have it, but I've got that motherfucker on lockdown. Good. Now I own him. Good. He's in there though. He's weak. He never goes away. Oh, he's always trying to tell you you don't, you can take the day off. Maybe your ankle sore, maybe. Maybe you're feeling a little sick, a little run down. You should, you know, take a take a you day. The dog looks tired. He doesn't even want to run. You know, it's not about you. You should take care of that dog. Dog does not want to run. My Dad said something brilliant on the, for my dad lately, like he's always been like a guy in no words.

Speaker 3:          00:13:53       You mentioned like hospice, living and stuff. My Dad used to do hospice and he, he would just, he was like, do I have to talk? And the guy's like, no, you can. They just mostly want to someone to listen. He's like, I can do that. And two would sit by dying people and just nod his head and stuff. And uh, but he never, he never talk about it. Where I'd be like, Dad, what are you doing today? He's like, I'm going to go hang out with bill. Like Dad, who the fuck is bill? I was this guy, he's dying. Like, Dad, you got to tell me more than this. So now we're kind of, he's opening up more, but long story long, he was like, you know, when you're waking up in the middle of the night and there's that voice in your head that is telling you you, you're, you're, you're useless and you're, you know, you haven't done enough with your life and things like that. He's like, I don't know if there is a devil, but if there is, that's him. And I was like, fuck. And it just blew my mind. Right. And it's like, dad, you're right. That voice that tells you to give up that voice that tells you like not to, not and not to, you know, to hate yourself and you know, don't think you're worthy. Well then it's such a weird pattern. Right. Because it doesn't have any real evolutionary benefit. What is the benefit

Speaker 2:          00:14:52       of self loathing and, and just sitting around feeling pity. Yeah. Yeah. They're, they're plenty people in situations that are going to kick the shit out of you in life anyway. Why? Why do it to yourself, but yeah, but there's something good about feeling very disappointed in yourself because then it makes you work harder and like you recognize or at least try to realize your potential better. You get more done and you feel better about yourself. Yeah, absolutely. Yeah. There's definitely something there is, you know, especially if you're, you're in competitive sports or something like that where you just, there's nothing you hate more than losing get because otherwise you won't work as hard. Yeah. But Jamie was talking about coby Brian, but what a psycho he was when he was planning. And they always say that about Michael Jordan. And of course Mike Tyson was like that.

Speaker 2:          00:15:37       Coby said he learned it from Michael. That's like what he passed on to stay on coby. Pass it on to Lebron. Yeah, they went on the Olympic team again. I heard Lebron spends one point $5 million a year on recovery because recovery just recovery. Cryo therapy massage. A million and a half every year. Yeah. Yeah. What a fucking stud. She's crying that guy so bad ass. He's like maximizing, everything was like a perfect example of someone was Maxima Freak. Genetics. Powerful. We'll intelligence. But then on top of that, maximizing everything, built a school has a good sense of humor about himself. Decent actor. You know, he was so funny and um, uh, was it? No, it wasn't wrecked. The Amy Schumer movie train wreck. It was, I was asked half. Right. Yeah. Did you ever see that hbo show where they're sitting around with them? You may shop. Yes. Yeah. He's fucking great in that.

Speaker 2:          00:16:37       And you get that insight. It's like, oh, that's why you're so good. You're hock and crazy. Like he was talking about his son playing and he's talking about his mom and like he's just his, his drive and you know, he doesn't, he doesn't let anything go. It's fascinating to me. People like that that are like extreme winters are there. There's such a rare person, you know, and it's, and it's rare that you could probably stand to be around them. Yeah. That's the thing. Especially like your, your kind of your, your tech billionaires or something like that. It's like, after a while you'd be like, you know, I'm going to go to the comedy store and, and uh, we're going to break each other's balls for a while because this is weird man. Right. Like Steve Jobs, like known by everyone as an extreme cont yeah, right.

Speaker 2:          00:17:20       He was just a con. There's no way around it. Yeah. Brutal. Do you remember that video? There's a video. It's a, he's demonstrating an apple product and he can't give this camera to work and he's pressing all these buttons. It doesn't work. And he throws it at the engineer with this like purse lips. Uh Huh. He's like, here you fix it. See if you can get it work. He just wants you fucking Loeser. I'm in front of a million pay pal and he can't, he can't lose his mind cause it's like that Japanese ethic of the person who loses temper first loses right. No matter who's right or wrong. I'm sure he loses his tempo privately. Oh, without a doubt. It is. Watch this. Right? It's like he can't get it to work.

Speaker 4:          00:17:58       My camera's not turn it on. What's that? I could slide it and let go. Angry. Not Turning on

Speaker 2:          00:18:15       please like this. Yeah, you fucking, he's fucking Turkey. He's this close to Rome. The Roman emperor. Throw him into boiling pit. You gotta think Jeff Bezos is like that too. Right? To be and just to be the richest man in all of the world's not real. He's not really the richest man in all the world. He's the richest man who has a publicly declared income. Ah, there's a big difference between him and really good guards. Yeah. Yeah. The oligarchs, probably a drug cartel. 100%. Well, not trashed hotels. I don't think they have that kind of money. But I think for sure, um, Saudi Arabian princes and Middle Eastern and income, right. They have trillions. Yeah, yeah, yeah. Right. Yeah. That's different. People don't talk about that and those guys don't talk about it either. They just go, they let Bill Gates take the rap. Sure. Meanwhile, they own like whole countries.

Speaker 2:          00:19:08       It's almost like how, uh, people, people that have people that I went to college with are ways around that their family, they came from money, they never showed it. Oh, of course. They always wore bummy clothes, you know, but like someone who was acting like they had money to have like a dunhill lighter or something, I'll roll acts or something fancy. But like, that's, that's, that's those countries basically like the kid with the scuffed up a gym shoes that you're like, man, I know Michael Milkens your dad, dude, I know he's your dad. Right? I was gonna play with this kid. And I was like, oh, really? Yeah. I think he, he was Kinda like, it's gotta be unnerving for him. He's a good guy. I don't know how much contact you have with his dad, but it was just like, uh, your dad's the junk bond king right now.

Speaker 2:          00:19:49       He's your dad. That junk bond, your dad, the whole reason why you're getting by so smoothly and the walls are so greased for you in this life as your dad was a human scumbag. Yeah. Full, full on with wealth. There's always a displacement. Someone's rich because other people are poor on some level. But that was the most direct correlation. Always the case like this. How about this? Like beyonce, is beyonce rich because someone's poor or is it beyonce? Rich cause she talented and she worked hard. No, listen, don't get me wrong. I don't think it's, it's, it's across the board like that, but I just think in turn a lot of ways. A lot of ways. Yeah. Not ever. No Way. Not every time. Right. But people love to say that. Yeah, of course. You know, like he, sure, okay. The Jennifer Lawrence fuck a bunch of people over or she just really good at actually, she's amazing.

Speaker 2:          00:20:31       Are you sure? No disparity of wealth is because someone's out there being evil or is she just really good? Right. And the thing that gets me is that they always dump on those people. Uh, the public figure. So people explore, especially biggest example or like, like sports figures were like, I mean, sure, you get that much for a fight. It's like, uh, are, do people want to watch you fight? You get that much, you should get fight. [inaudible] knocked off for $1 million. That's my favorite. He didn't say that. Oh, I'd fuck you get punched by Mike Tyson for $1 million. Yeah. First of all, you'd have to get in by enough people that want to pay to see you get, not just, you have to make it worth a million to see you lose your life. Quite frankly. Richard Lewis had that joke about his uncle. I remember when I was a kid and I'm watching the TV and like laughing till I cry, where he said, oh yeah, I think it was Tyson actually.

Speaker 2:          00:21:18       It was like, Yo, I'd fight him for a million. He's like, yeah, like anyone would paid 300 bucks a seat at Madison Square Garden to see an old Jewish guy get punched once in the face and cry. I laugh because it was so specific, like be crying. He'd be drooling. You wouldn't be able to lose half your intelligence see straight anymore. You're fucking skull would be broken. They'd have to bolt it back together again. You'd have to have everyone. I love hostage in like a warehouse to let him punch me once. Dude, when he was here the other day and I was just, I met him before. I met him once before, took picture with them, but every time you meet him you're like, yeah, okay, okay. This is really Mike Tyson. He's really here and I'm shaking hands with him. He gives me a hug. He's hugged like hugging a tree.

Speaker 2:          00:21:58       He's like, wow, oak tree. It's just like funk. Aha. He's just this beast of a man. Well, I remember watching those first fights. It was like watching you put a dog in a ring with a wolf every time. It was just like that. He would just run right through everybody to the point where you're like, oh, he's not from here. You know, kind of like those, those, those, those comic books were aliens. It's like they're on a planet that has way more gravity or something. Say just punched fish right through your chest. Yeah. Yeah. That was a superman, superman. But if that happened, what's fucked up about that? Like scientists must get crazy about that because if that happened you'd be like really sick. Like the, like when people go to space and they're in space for six months, like their body breaks down. Yeah.

Speaker 2:          00:22:40       You lose like years from your life really fucked up. It's not good. Commander Chris Hadfield on the podcast Belk. Cool. And he said that when he came back he literally couldn't stand, his equilibrium was so fucked up cause he had been in space for six months. Then when he came back, like it was a horribly throwing up. He like, he like, he couldn't see straight. Like when you'd stand, the world was all wobbly and shit. Like his equilibrium was completely gone. I mean, I think, you know, superhero movies are kind of fundamentally ridiculous and silly. I love comics. I grew up on them and stuff, but they never, they never take physics into account. And really it's always like you hit with a gamma ray, you get powers. It's like, why would it choose to give you powers? It would just melt you. Like, that's not how forces in the universe work.

Speaker 2:          00:23:25       They don't, you know, generally speaking mystically, you know, no, never gets enhanced in real life by like nuclear radiation. No, I don't think that's ever, ever happened. I the boat, the best theory would probably be like Godzilla. Like some monster was born of it that came out of the ocean. There was a time where vice went to Chernobyl and uh, this was back when vice was really vice, when Shane Smith was going on all these journey and shit. That was what was nuts. Yeah. Before vices, sort of vice, I mean, vice still does some great stuff, but vices just as huge multimedia corporation now and back then, uh, Shane went to Chernobyl and, uh, they were hunting like these radioactive wolves. Well, Mike is radioactive wolves and Chernobyl and like, you know, they're mutating. There's fish in the water that are enormous and they're fucking weird and you can never eat them.

Speaker 2:          00:24:17       They're like the fifth fishing near the plant in a simpsons like with three eyes. Right, exactly. Yeah. But the, but it's real. Like they really do have these animals that live in this highly radiated area and they've managed to survive by just guy mean that the level, the levels that we, that we have taken to get energy and affected our environment. We, you ever dropped San Diego? You know that ride when you drive down and you look to the right hand side. Oh look. Nuclear power plant. I could throw a rock and hit it from the highway. Like what in the fuck is that doing there? Yeah. So close to the water. Well I think it needs to be close to the water for cooling. Oh yeah. That's how they cool the reactor core. Okay. I think, notice I say that like I know what I'm talking about.

Speaker 2:          00:24:59       That makes sense. Yeah. There's a, there's a nuclear physicist right now. Nope. Well, that was the Fukushima thing. That's what's happening over there. They still don't have that thing under wraps. Well and debt that volunteer army of of Japanese people older than 70 that were like, I don't have long. I'll go work there. I'll go clean it up. They're all going back in time. They're all 39 you go there. It's like a Stephen King movie. Amazing. I do twice a 30 years old. They don't want to tell anybody. Oh, commission. I didn't know that the way to San Diego. Yeah, probably broke everybody around. It's dead. Yeah. Cause everyone was throwing rocks. It's like Joe Washes. Yeah. Yeah, but maybe they woke up and like 1980 and they go, hey guys, maybe this isn't a good place for a fucking nuclear power plants. Steam generators failed in 2013 Jesus steam generators.

Speaker 2:          00:25:43       There it goes. There it is. The fuck out of here with that. It's over. Meanwhile that's still there. Like the core is still there. They can't move it. It's currently in preparation to be decommissioned. Jeez. However long that takes g's ever that even that means man, go fishing around that fucking thing. Good luck. You'll catch a big fish though. I know. Weird. They'll have human hands, he'll talk to you. Don't eat what? But they talk with thoughts. Right? They just stare at you and to your mind Fukishima they were doing something where they dug this giant swimming pool and all around this giant swimming pool that they dug. They put like ice cores, they put like some sort of cooling element so they could freeze all the nuclear waste to it and insanely cold temperature didn't work. This is like a strategy that they were developing, but apparently it fell apart.

Speaker 2:          00:26:37       I don't know what the fuck to do. It's just you just don't, you can't do anything. I mean like they gotta do something. You got to keep trying to shoot it in a space. I Dunno. Then the aliens are going to get mad at us. Yeah. Well there already. Do you know, like I, I had a friend who I used to live with who was kind of new agey but also conspiracy theory ish and he would, he was convinced that our planet was the Mo, the off limits zone for the entire universe where every other plan it was much more advanced and they were just like, don't go down there. All they do is fight and blow things up and they're, and they don't share with each other and stuff. It's just don't, that's why no aliens come. So all that, when people do stuff like that, I always feel like they're anthropomorphizing like the idea that their life would be anything like our life is a bunch of characteristic.

Speaker 2:          00:27:23       Agree with you more? Yeah. I mean there's a bunch of care. This is a bunch of things that have to be in place for us to get to the point where we're going to war with each other that are people that are over there and right. There is no war in the ocean. Ever noticed that? No, exactly. Yeah, it was an ocean wars. They don't, they don't have and there, you know, they just eat each other. Yeah. And there's normal, there's parts of the ocean we can't reach and there's, who knows if there's a, there's a, there's a whole other civilization down there, you know. That's why we like really bond with mammals only because fish don't do a goddamn thing for their kids yet. Those dirty fuck cause they don't really have them like it's a trick. It's like nature's trick them into not being attached by the kids.

Speaker 2:          00:28:02       They blast some eggs down on the bottom of the floor and then the males come along and just on the egg. Sure I'm done here. I'll get out of there and they jet, that's it. And I leave like millions of kids. Yeah. The only ones that take care of them. And there's a few female fish that keep the babies in their mouth. You ever seen those? Yeah. And then they let him go like, and when the babies are in trouble, they hold them in their mouth and then like everybody gone good and they opened up and the babies get to swim around. Yeah. That's it. Once test fit in mom's mouth, you're fucking, which there's a bumper sticker for you. It's, but things that live in the ocean that we do love, like dolphins, take care of their young. Yup. Killer whales take care of the young.

Speaker 2:          00:28:40       Yeah. Right. It's really weird. You don't take care of your young, you can fuck yourself. It's kind of a mammalian trait. Yeah, yeah, yeah, yeah, but like you're saying, you can't, we always try to create a like on other planets is how does this, it does this smell like, yeah. Love that. You've found that right away. That is amazing. One is on the outside. Mom. Jesus. Yeah. Last door. Yeah. That's crazy. What kind of fish is that? Doesn't say. Wow. That's amazing. It's like it's smoking fish, right? Yeah. Like it's a hookah. I get soup. Dawson blowing out Swedish too. It looks like a group or something. It looks like something in the Bass family. Yeah, it's gorgeous fish. You mentioned the thing with feet and I'd watch the Blue Planet to the other day and there is not a fish apparently it's called like a toad of some kind, but it hangs out on the bottom and it has feet. It's, it looks like a fish that grew feet. It walks around. Yeah. That's not a fish. I don't believe so. It's actually a some sort of toad I think technically. Whoa. But yeah, and they look like human feet almost like how his toes and everything. It's amazing. One of the weirdest

Speaker 5:          00:29:42       things that I ever saw about the ocean was there was a theory that was going around a few years ago that I, I don't know if this is legit or not, go google, that they think that it's entirely possible that octopus Octopi may have come from eggs that were frozen and landed here from an asteroid. There was speculation that there was something about the way, yeah. The way that they pro, you know, the DNA and rna of, of octopus are so different than every other animal in the fossil record that it's almost that there, there was a consideration that they might have actually been an alien species because you know the term, you know what Panspermia means. Panspermia is a theory that is pretty widely accepted in the scientific community that some life is transferred through asteroidal collisions. So like that, say if a, a chunk of rock slams into our planet and knocks a chunk of rock loose in that chunk has dna on it and uh, the amino acids and all the building blocks for life, that bacteria, whatever it is, things that, some things, you know, little things can survive in space like tardigrades little life forms can to survive in space that they slam into a planet eventually.

Speaker 5:          00:30:55       And then when they do that, that life is transferred onto that new planet science news. Holy Shit. The buses came to earth from space as frozen eggs millions of years ago. Okay. But this is like the, the express, I was trying, I read it a little bit. Yeah. But that's, that's the most feasible version of aliens coming here. Yes. We tend to think of it as it lands and they're like a space man who looks like George Clooney steps out, but he has like [inaudible] or something. It's like, hi, I'm, I'm here to share with our, our planet all, all tuna or whatever and he speaks English and all this shit. Like it's, it's on a, on a biological level that we almost can't comprehend. You could go back to that James please. I'm really good. It says that the extraordinary claims made in a report entitled the case of Cambrian Explosion, terrestrial or cosmic, which costed by a group of 33 scientists and published in the Pr, uh, progress in biophysics and molecular biology journal.

Speaker 5:          00:31:47       And the paper suggest that the explanation for the sudden flourishing of life during the Cambrian era, often referred to as the Cambrian explosion lies in the stars as a result of earth being bombarded by clouds of organic molecules. Wow. I think that's also the theory of how water got on earth. They came from thinking came from comments cause when you see comments, comments are all water and I think like millions of years of us can hammered by comments. Huh? Like you know when you see the trails of comments, that's literally ice D and debris coming off of that comment. I didn't know that. Yeah. Literally the more you know, the more you know, been in a comment, but they think that about mushrooms as well. They think that spores can survive in a vacuum. So if something like, say if some spores were attached to a rover and we shot off to move to

Speaker 2:          00:32:40       the moon or something like that and it got there somehow or another, if there was the right conditions for that thing to grow, that they could actually survive the trip and then grow on the moon or on Mars or anywhere where it be water and sunlight and atmosphere, like invasion of the body snatchers, we'll spores or even weirder, right? Because spores create mushrooms and mushrooms actually breathed oxygen and you breathe out carbon dioxide. They say they're, they're closer to an animal than the art of vegetables. Yeah. That's uh, that's, I've thought about that when I've, when I've eaten magic mushrooms a lot. Right. It's like I basically just ate an animal. Well, you also feel like it's taking like it's alive inside of you communicating with you. Right. Don't you feel like that? Like it's not as simple as I'm getting high. No, I smoke weed. I feel like I'm getting high when I eat mushrooms.

Speaker 2:          00:33:28       I feel like I'm entering into the thought process of an alien creature. Oh yeah. Yeah. You, you put on like a space suit on the inside in a way and you're, you're evolving a certain way if only for like seven or eight hours or something. Yeah. Do you ever micro dose now? I have friends that do that and Ron White's big into that. Oh, Izzy, every day you laugh. Found my sale. But good kind of medicine. Oh my God. Ron. Ron White kills me, man. I could just pick their most random name you could have, but I'm just like, that makes perfect sense. He's beautiful. He's, he's a real comedian. In that he's always a mess. He's beautiful. He's always hilarious. Yes. Relationships are always full chaos. Chaos. He's always drunk. He's always a peach. He's always the nicest, nicest. He's never had any attitude with any comedian ever.

Speaker 2:          00:34:20       And always just, he's, he's, he's like, he's like America is wise. Crack and drunk uncle. Yeah, but not racist. No, no, he's beautiful. Yeah. I love that guy. Me Too. Me Too. I, it was almost like, you know, there are certain, uh, mystical gateways and, and signs you see that are like, oh, hey, things are going to be okay. I saw the magic monkey in the tree. I landed in Las Vegas with my wife and she loves vegas and we went to the cab line and just standing there as ron white smoking a cigar as if the city put him. They're like, he's waiting for them. Albany, which is their people, which they should, you know, that they should just make a ron white hologram as you drive into the city where he's there all the time. [inaudible]. He's there all the time during, um, the Rodeo, if you're in there, you're in town for the Rodeo.

Speaker 2:          00:35:04       Ron White's at the Mirage. That's usually match. My wife's birthday's in, uh, in early December and that's always on the Rodeo is that clubs. Awesome. Do you ever do work? The Mirage you ever go there? Uh, I've, I opened for tosh there. Yeah. The Terry fator theater. Yes. That's a bad ass place. That's like a perfect, perfect size theater for comedy. Yeah. It's like a thousand seats. Not too big, but it's all like right in front of you. Yep. I used to work the place where they do the uh, um, the car theater where they do the Cirque de Solei. Oh yeah. But it's too cavernous. Yeah. Like you, you actually cost me money to work at the Mirage and I'd rather do that cause then it's fun. Yeah. That would be one was just too big. That's what people don't think about in terms of, I think like we only think about that.

