Speaker 1:          00:00:06       The yes
Speaker 3:          00:06:07       Especially when you look at experience too. So what worked for you in your second fight when you were 20 is maybe not the same approach you have to take when you're 30. I just, I just got back from New York. I was in there the last three days and I was with one of my guys, Dennis Bermudez and we had this conversation and when I first started working with him, we had to take a very different approach the week of, and especially even, you know, the hour before the fight because the way that he got ramped up for a fight is very different than some other people that I've worked with. What we had to realize. And I remember he called me right after, um, one of his recent fights, uh, maybe four or five fights go and he's like, I'm freaking out because I didn't freak out in the cages time when really I was like, what?

Speaker 3:          00:06:45       And he's like, you know, I'm usually really freaked out in the cage and this is what drives my performance. But this time I was really calm and collected. I saw everything and I'm, I'm nervous that I'm not nervous enough. So I had to get him in with, with my good friend Lenny. Where's the Moses sports psychologist who works a lot of combat sport athletes and say, okay, we need to get you in a place of optimal arousal because if you're under aroused, it's a problem, but if you're over aroused, that's a problem as well. So we had to change the tactics a little bit between everything from his walk down to the week of before the queuing, the things that we say to him to make sure he's in an optimal state. Every other athletic worked. Like all those approaches are completely different. We can't have the same thing.

Speaker 3:          00:07:21       How do you train a guide to do is walk down all this. There's a lot we can do really? Oh yeah. And I'm not sports psychologist so I don't go too much. You know what they do? Absolutely everything from breathing drills right to the queuing, the words you use. So for example, in the back, if you're a Dennis Bermudez five years ago, you know Ryan Parsons would have to say like real vile, horrible shit. Like rip his fucking head off. I want you to bring it back into place. Like murder him, rip him to shreds. That works for some guys, for dentists at that point, at that point. Not Anymore. Right now it's a little bit different approach and Ryan and can tell you the details of what he does now, but some guys that can you tell some other people that backstage they're gonna be like, what?

Speaker 3:          00:08:03       Like don't don't say that. Just like telling me what to focus on. Remind me my keys in my timing. And so the guys that are two ramped up there, very specific breathing drills, for example, we can have them do as they're walking down the cage as they're in the cage a, especially if they're the first one down or the second one down. So if their first down, sometimes that's a 10 minute delay between when they're standing in the cage and when they actually start throwing. Right? If you're not taking advantage of that time or if that time is getting taken advantage of you, that can have a real problem with your energy and especially if you get a guy who is really savvy, like a connor or John Jones who takes their time coming down and they mess with you, they do different things on the way down. That really influences what's going on with the guy in the cage, especially if they're less experienced or maybe attend to the underdog or other things like that. So that can all be we be messed with. Now a guy like Dennis Bermudez is a good example, right? You, you're

Speaker 2:          00:08:56       working with him. He's obviously a world class fighter, but he always seems to fall just short on these big fights. Yeah, there is. You know, this is where it's outside of my expertise. I'm a muscle physiologist, not a psychologist. Right. But with his last performance against Aaron Elca, who is a really tough guy. Very awkward. Really just blood and guts type fighter, but that was a good matchup for very good fight. Good matchup. Skill-Wise, it should on paper. Just so many good matchup, favorite dentist and a lot of ways where there's no way to beat around that. I feel like two things are happening in that fight. One, I feel like Darren Elkins is getting better for sure. And he was super motivated and energized by his performance over Merseyside backtick, which is an amazing comeback. That's incredible. Crazy. Yeah. So, but a lot of people felt like he was the favorite.

Speaker 2:          00:09:46       That Dennis was the favorite going into that fight. Yeah. On paper. Clearly he was, um, from a lot of vantage points, but it's really difficult. Um, you know, without telling too much, uh, Dennis story for him it was quite funny what happens with the game plan sometimes and what happens when they get in there, even with the seasoned guy like Denis and I don't know if a part of that was because it was in New York and Dennis his hometown, or if that was because of pat who was good friend, fought right before and want to really crazy fight and the fight before, if you saw that you just don't know what goes in. And then, you know, sometimes like in the middle of a fight, you're like the fights over and like, I don't even know why we did that. Just we got into this weird rhythm thing and we started doing this and that was, I don't know what happened and that the rhythm can kind of take over the fight.

Speaker 2:          00:10:29       And Darren fought an amazing fight. He did exactly what he needed to do. Um, but it was just the, from my perspective as a scientist, I one, I try to stay away from those things. It's not my job, but it's, it's fun. And this is what makes it exciting for me. It's why I work with these folks is because you can have the perfect camp physically and sometimes you win, sometimes you lose. And so then you go back to the drawing board and you go, well, do we throw everything out? Do we try something different? Was it though? Is it psychological? Is it physical? That's the thing to think about physically. Fantastic. What was the physical game plan like you planned on? You must have planned on knowing how Darren fights a super high paced in your face type of fight that that part's not a problem for dentists.

Speaker 2:          00:11:11       He doesn't really get tired and the vast majority is fights, but it looked a little bit like he was getting tired and this fight again, he can say that, but from the feedback and from what we saw, like he was like, no, he just maybe had a hard time focusing. Honestly, I didn't ask them very specifically, uh, what was going on there. I kind of give them a few weeks to kind of get through that stuff before we start going back. Right. What's watched the tape? Let's go through it. Went through. So I want to be careful not offending him or, or his direct current, just like that. Um, but yeah, I mean from my vantage it was like this was not, this is not what we were looking for. He should have just been more active, particularly in the second round, which is what really got them in the east on the third round. Once you kind of got into it dot Dennis in our eyes,

Speaker 3:          00:11:54       lease was pretty dominated that round, or at least clearly ahead were one and two were not so good for him. Um, but yeah, I just potentially a focus potentially a lot of things. Uh, he wasn't nothing. He physically that happened to him in the fight that he was. He like, oh, I didn't prepare for this. We didn't think was gonna happen. This is throwing me off. He was just like, I just, I just didn't go in the second round. So it's a weird job you have because you're kind of relying on someone else to pull the trigger. You're relying on someone else to make the moves and you could train them all you want. You can get them in incredible shape, but then, you know, ready go. They're on autopilot. They're doing their own thing. Especially me, because I'm not the guy who's in practice all day everyday with them.

Speaker 3:          00:12:36       Like I'm not the Nickerson, I'm not seeing them 12 hours a week. I'm out there. I'm just like, like Dennis, I won't even see all camps sometimes because he's in New York and I'm in and a in La and so it's like, so what do you, do you give them a protocol, do you give them a schedule? So my role, depending on which fighter I'm with, is completely different. So sometimes it's one phone call, the beginning of camp. Sometimes it's just like, hey, this came up when you think we should do. How do we go about this? Sometimes it's a text three times a day everyday for the whole camp. Sometimes it's phone calls. I get, I try to do like, this is not my full time job. My full time job is to research muscle physiology. I work with MMA fighters and combat sport athletes is because I love it rarely.

Speaker 3:          00:13:17       So it's almost like a side job. A side hobby, yeah. Yeah. If you want to think of it that way because you know, I have my full time living. I've got multiple labs to run. Like this is what I do is publish research, right? I take biopsies of people like hundreds, tens of thousands of muscle fibers at this point in my life and when I can help, if I think I can, I will, but I try not to. I don't work with general public. I our lab is different. I'll put it this way. Most labs that do the type of muscle research we do are focused on disease prevention or treatment. Right? So how do we fight cancer? How do we get people back? I'm one of the few that actually do this on the other end of the spectrum, which is, well, let's study optimization like how do we thrive?

Speaker 3:          00:13:57       How do we not just get to 80 years old, but how do we kick ass at 80 years old and becoming from a performance background that I have a, my athletic background. It just makes so much sense. I didn't come from martial arts background at all, like I didn't do anything until much later in life, but I. Once I started paying attention to mma, I was like, there's something energetically, physiologically far different about the demands of this sport and it's really exciting and it's a really complex problem to solve. So I just started helping out, chipping in and then once you get help a couple of people and they're like, this is fantastic, et cetera. Kind of the ball gets rolling. So right now basically what I do is think of it like concierge service if you will. Like I don't, I'm not like, you can't email me for training program.

Speaker 3:          00:14:40       Like I don't have an online website. You can buy stuff from right here. Like if somebody's like, hey, I know a friend who could really need this or something. Maybe. So do you coach people for Diet as well? Do you do go through everything with them? Depending on what they need. And how do you. Like, how do you decide like what a person needs? Like I say, if you know, Darren Elkins came to you that he might be very different than Jon Jones. Like how do you, how do you decide what a person needs? So it's depends on if they're local or not. A blood work is the easy one, but the vast majority of what I do is a lot of conversation. So I spend a lot of time on phone calls and skype with them saying basically walk me through what have you done, where are you at, how do you think I can help?

Speaker 3:          00:15:18       The number one thing I do then is say, okay, do you have who else on your team does this? Who's helping you? Let's get on a call with them. Not so that I can tell them what to do, but just let me know what your world was like and then I'll see if I can add some advice and maybe we'll try this. I can help you track things. I can tell you with my experience about I've seen this happen before or I know someone that's happened before. Um, this is what happened with the best example was, do you remember last summer at the Rio Olympics when that Helen Miraculous won the gold medal, the first American ever female to win gold and wrestling? No, I wasn't paying attention. Oh Joe, go read the article in sports illustrated that she wrote afterwards. She beat, um, you know, I think you Shita was her name, but she was a three time defending gold medalist and a 15 times straight world title.

Speaker 3:          00:16:04       It was just like rulon gardner when he beat a Carolyn, but the female version. So Helen went down there. It was crazy. He was down two to one with like 30 seconds to go in the semi finals, came back and won. She was down a point to you. Is She in the finals? Ends up, ends up upsetting her first American to ever win gold. Well, I worked with Helen for about a year on straight nutrition because she had to cut a whole bunch of extra weight for the first time and the whole wrestling community was like, you'll never get down to 53 kilos, like don't do it. You have to go up. Because what happened was resting. This is really weird thing where world championships is a different weight classes. Then the Olympics, so she was a world champion at 55 kilos and either had to go up to 58 kilos for the Olympics, which had a three time defending gold medalist and a 15 times straight world champion or go down to f 2:53 kilos to, to wrestle somebody who also had that 15 times cert world title.

Speaker 3:          00:16:59       So pounds wise, that's like a five or six pounds. Six pounds. Yeah, roughly. It's not a big deal, but when you're already like scraping to get there. And so she had to make the decision to go up or go down. And what happened was she had an nutritionist, Eric rebel, who you may know Eric, he works at Barnett. He's been around Josh, big huge dude wrestler, but eric was her nutritionist and Eric reached out to me because he's right down where we're at and where Helen was down here and he was basically like, I know what I'm doing obviously, but like let's get as big a team as possible that make the right decisions as possible. So that's how I like to work. Uh, so when a new person reaches out to me, I go like, well, who else do you have on board? Don't fire them. I don't want anybody to get fired. Let's all put our heads together because with MMA specifically, they're not making any income. Uh, Olympic wrestlers of the same thing. She makes like 15 grand a year or something like he's. So, it's what

Speaker 2:          00:17:50       you have to understand when you're coaching them. Like it's not team Dr Andy, like it's team Helen and all of us have to be focused on her and it doesn't matter if anyone knows what I do with her or not or anybody. I don't care if you get the credit, another nutritionist gets the credit. If you want to actually help these professional athletes, you have to let your ego go completely out the door and say, why throw people out? Let's take every information I have about everything you've ever done and come together with solutions. And if somebody else has an idea that you don't like, that's up to you to figure it out and give it to the athlete. Okay. So what'd you find out with her? Like what was the, what was the issue and how'd you get her to lose the extra? So actually it was like a year of issues.

Speaker 2:          00:18:27       It was, yeah, I mean, yeah, like every day, every week, every month something else came up. So it was like, we tackle this problem and then we had another problem. Iron was a huge one for her iron deficiency and we had, she was basically almost flat lined on her iron, looked anemic and we had to come in and go, okay, well we're going to add this. But she was also traveling to Mongolia. She was going internationally. So she kept getting sick. Mongolia, yeah, for tournaments, because you had to qualify the spot. Dan and she's cutting. She's had imagined wrestling. A Mongolian shake is terrifying. They all moving here at world champions. Not that terrifying. They're hardcore though. This kid shit out of me. So she had to put her on. Um, we had to basically play a game of saying if we give you the things that keep you from not being sick, that's also the stuff that actually harms iron absorption cheap.

Speaker 2:          00:19:15       You. The things like vitamin C for examined seed to keep you from getting sick, right? So that can help you as you're talking about while she's dehydrating, so you're saying anytime, so if you're going to go travel internationally for a long time, you can take a big bolus of vitamin C and it may help you from getting sick from getting cold. Does that really affected better than probiotics? To heal probiotics that. We're on that too, but the point was if you're going to go on like a two week thing to eastern Europe, I'm going to give you every advantage possible that not probably get a cold right, but when wouldn't you do that on a regular basis? Like why would you accentuate the Diet, a traveling trip and give it some stuff that. I mean wouldn't you want that boost everywhere? So the probiotics are basically a no brainer all the time, but I mean you don't see and everything else.

Speaker 2:          00:19:56       Yeah, but you have to be careful because anytime you go with a vitamin specifically, you're going to have potential toxicity and vitamin C, absolutely. Really? What, what? What's the toxicity rate of vitamin C like? It's not gonna actually. Well, put it this way at generally, anytime you're getting a vitamin from a food source, you're probably nowhere near toxicity level, so natural consumption of food. You're not going to be in a problem, but you start taking three, five, six grams of vitamin C at a time, you're potentially going to have problems and it's a whole host and what makes it really complicated is there's interaction with other vitamins and minerals, so the iron, for example, if you give them with vitamin C, it's gonna help absorption, but zinc is going to do the opposite and so if you do these other combinations, you're going to potentially have problems or you're potentially safe, and so we say the campus, what does that mean? Do you mean zinc doesn't help vitamin C absorption or it doesn't help iron absorption?

Speaker 3:          00:20:48       Iron. Zinc actually messes up your iron absorption. Anytime you have an a, b, vitamin or mineral, you have potential either co absorption or you have a confliction, so you've got to cut things off. How does zinc conflict with iron? I don't know the chemistry behind it. That's weird. Yeah, the have a lot of that and you look up basically vitamin A, vitamin D, vitamin K and magnesium, vitamin K with bone absorption, so you have to make sure that it. Like say if you're eating one at breakfast, you don't. Another one at launches at Howard. If you get it from food, you're basically safe. Like we don't really. This is stuff we don't worry about it. Even if you supplement like during your lunch or during your breakfast. Yeah, this is what the general answer is. Don't supplement with vitamins and minerals unless you have a very specific reason.

Speaker 3:          00:21:28       And we did that for the vast majority of camp, but she was continually getting sick because of a variety of reasons. Some that I probably shouldn't say, but so we're like, okay, fine. We addressed that and then it was like, okay, now you're super anemic, so let's get away from that. But what we did basically is get iron back to a decent level as soon as possible and then go off of everything and go right back to food. How are you failing? And that one, she was so low on iron as soon as we got her to decent level, like within days it was just like tears of joy if like I feel so much better. I'm not, I'm not sleeping all the time, but it was continued with the hard part with her was getting her down and then you would be shocked. But the food was like in Rio, like what?

Speaker 3:          00:22:09       They told me. Oh yeah, at the Olympics. Oh my God. Like they told them you'd have a c, D and then we get down there and she called me the first day and she's like, they have nothing. We've got McDonald's, we've got popcorn and cookies. Like there's nothing down here. Wow. She's like five Olympic, horrible. I mean the basketball players probably had something but like he's a wrestler. She didn't have anything. So they had better food for the more prominent sports probably probably because they probably brought their own chefs. Yeah. Oh, okay. Right. So He's dealing with the team and then she had to be shipped out of Rio to some other city two hours away or an hour away or something. And she's like, there's no grocery store here. I can't even walk to the store to get any, anything decent. So we had real problems.

Speaker 3:          00:22:51       She was, I'm about to do a opening ceremonies and we had a plan for food. Like basically we're going hour by hour, how do you feel like where are we at these types of things. And she wanted to do opening ceremonies and she called me. She's like, I want to do opening ceremonies. Like, fine, cool, no problem. This is what I want you to eat. And whatever it was. And with the next. And she's like, I'm right next to Michael Phelps. I'm in the front, like I don't want to get out of line. I don't want to go back out and neat because I don't to lose my spot next to Philips in the front. I'm like, okay, fine. Well she was supposed to eat whatever vegetable and food and fat source we had. I don't remember. But she's like, all they have is cookies and popcorn.

Speaker 3:          00:23:26       He's like, I guess I'll just start. And we actually, that was one time we didn't do. We didn't want to do that because she was at a problem where she was so calorically underserved for so long. She or her body would crash quite often, so we had to keep her nutrients really, really, really high or vitamins and minerals to keep her at a low calorie count, but her body not freaking out, so she was like, what do I do not eat? And we had to actually go to the popcorn because of the good fat and the butter that it had to keep her from not feeling terrible to get it surprised go to for popcorn for nutrition at the Olympia and she was there for like six hours. They're supposed to be there for like an hour and go into. It was a shit show. That's the most now.

Speaker 3:          00:24:03       What about other athletes? Like, I mean forget about this specific requirements or someone who has to lose a ton of way. Yeah. Now when you, when you deal with most athletes, like what, what, what kind of like a strength and conditioning protocols do you have the mom? What kind of recovery protocols like are using Cryo therapy or sauna? Like what kind of stuff we're using. So all of that is, again, I think at the problem is thinking that there's one answer there. I don't have any athletes that I'm like, this is what we do. Hey, this is our method. This is that. I think a generally a terrible approach is combination of where that who they with what have they done, what's their past history, what do they like, were they not like what do we really need to get? So I try to identify what's compromising their performance and let's pick the best solution for that issue.

Speaker 3:          00:24:45       So you show up and you're like, your problem is agility. Your footwork, you're just too slow in your feet or we're gonna have a different approach. Your training. Then when someone says you're getting out stretch, you're getting out strength here. Like someone's pushing you around too much. I don't need to rebuild your feet. I don't need to improve your maximum speed because you're already the fastest and the division. Maybe your strength is your issue. So do you do a bunch of tests on them when they come to you and then you tried it? What kind of tests do you do? So we have an entire center for sport performance. We've got six or eight laboratories in it with a whole host of equipment. The thing we put the mask on them, make them run field to Max. Yeah. Yeah. If we need to do so, we can actually measure the amount of oxygen and carbon dioxide coming in and out of the body, which allows us to get a number called the vo two Max, which is the maximum amount of oxygen that you bring in and exhale.

Speaker 3:          00:25:30       So it tells us basically year your maximum cardiovascular capacity and it's pseudo important for mma. So the average person's like at 40, 45, just to give you some context, that number, anyone past about 60, if you continue to go up, it's not going really make you fight any better. So that's one of the things that we did or we found doing all the research on the MMA folks is if a point of diminishing return come around 60. So if you show up and you're a jake ellenberger and you're at 52 and I can get you to 58, then that's going to help your performance a lot, but when you show up in your pack comments and you're 66 and I get you to 69, that's not gonna make you fight any better. That's not your problem. What makes you lose in a fight is other things that you need to spend that precious training time on.

Speaker 3:          00:26:13       So when you get a guy or a girl and you have them in your studio and you start work, like what's like the first thing you do with them? So it would honestly, the first thing would be, well what did the manager or why do they reach out to me the. Because usually when they come to me it's problem fixing. They don't come to me with like, hey, at one seven fights in Roseville. Fantastic. Right? Usually it's, it's, this is going on. I'm losing because of this reason. That's gotta be frustrating though because you'll, when someone's losing the problem is like a slippery slope. It's hard to catch yourself. Oh yeah, yeah, well it's, it's the game to have, like sometimes they just want another answer which is just not good enough. That's a rough answer. I'm not gonna tell them that I'm not coat, but I'm like, okay, so we'll all watch the fights of course talk to their team.

Speaker 3:          00:26:55       So I'll give you a specific, ample examples. So they come to me and go, hey, like, um, I don't think we're fast enough on the feet. This is a problem. Okay, well we've got force plates that are really, really sensitive measurement equipment built into the ground and we can have them do a variety of, of, of jumping test, moving test, lifting test force plates. How does it work? So it's a really expensive scale basically built into the ground and it measures it. Uh, there is big as your laptop or as big as the table. Oh, so it's fairly small. Oh, as big as the whole table? Yeah. They can, not ours, but we have one that's maybe the size of a small coffee table. Yeah. And then there's two of them back to back. Okay. So we can do your right foot on one, your left foot, another one, so we can test everything from not only your forest, which is like if I, if I measured your maximum dead lifts, I would know how strong your back and your hamstrings and your glutes.

Speaker 3:          00:27:48       But how do you produce that force is the big key. So a good example is years ago we had some fighters come in and one of them was clearly not fast enough, but he wouldn't believe it. So he was strong, but it took him a long time to produce that force. So to give you a number, let's say you could do, you could produce 100 newtons of force, right? Just making the number up. And I produced 100 newtons of force. But if it took you one second to get there and it took me a hundred seconds or half a second to get there in an MMA fight, I don't have one second. So you don't have 100 newtons of usable force in your sport? Know that. It's interesting. You just said he didn't believe it. So he didn't think he was slow. No, he thought the problems were other things.

Speaker 3:          00:28:30       What do they think the problems were? Who knows? Coaching like I'm not getting the right things start. Uh, you know, they had my walkout song wrong. So you told them your slow dude, that was my thing where I'm like, I don't think so. His coaching staff was like, we think this is a problem. Well let's put them on a force plate and let's see not only how much force you produced, because it's strength numbers were high squatted to lie dead to the law, but the time it took him to produce that force, what's called the rate of force development, uh, his peak velocity, the time it took him to get to that velocity. All that, when I compare it to him, to the other athletes and nfl players and stuff was just like off the charts bad. So it, what exercise do you do to measure that?

Speaker 3:          00:29:10       So now that's a great example. So when we have to individual athletes, they come in. So say one is the opposite to one of them is really, really, really good at producing fast quickly. And the other one takes a long time. So the one that doesn't produce fast or forced very quick, we would put them on a drill where we say, okay, the goal of your training is to maximize how quickly you produce for us. I don't care how heavy you get, but this is a reactive strength thing. This is a speed thing. So you're going to do a maybe little bit lighter squats, but you're going to explode. You're going to transition out of the bottom, you're going to bounce, you're gonna. Use Momentum. You gonna Swing, you're going to generate fast as possible. You're not going to go to maximal strength. The other guy, we get the opposite.

Speaker 3:          00:29:50       We would take the speed advantage away from him or her and say you need to be able to produce more strength without taking advantage of the speed. And it's basically comes down to using the muscle for force or the connective tissue for force. And that's really what we can tease out now, how much of speed and athletic performance is genetic and how much of it is what you've been doing and how much can you improve? Yeah, so that's, if we actually just completed a really cool study on monozygotic twins, monozygotic twins means you're the exact same DNA, so it's a sperm went in implant, the two implanted one egg, the egg split and you became identical. Right. And so we found two twins that were the exact same DNA, but one of them had been doing a like marathons and stuff for 35 years. The other hadn't done anything in 35 years.

Speaker 3:          00:30:40       So we had this exact question that's crazy. Identical DNA, one variable different, which is. Well that's a huge variable though. One is a super endurance athlete and the Ns one, the other one's a lazy bitch, something like that or maybe studies a lot. Yeah. Uh, something, uh, I think it was a truck driver. Wow, that's so weird. That's unusual. Isn't it? Like extremely unusual. Usually kind of share similar interests. If not, if there are differences, there are differences. Mild, uh, I kind of do this and you do a little bit more, but. So what were the differences in their body types? So we tested them for everything. A cardiovascular stuff, vo two Max strength, all these same tests that we do with the MMA fighters, muscle biopsies, fiber type, how much fast, how much slow twitch. Uh, all the ones in between. What we found was of course the endurance athlete had higher vo two Max, like no brainer you, you, you run a hundred miles a week for 30 years and your brother doesn't do anything.

Speaker 3:          00:31:38       You're going to have better cardiovascular system, blood pressure, cholesterol, all that crap better than the trained athletes. But the strength did not favor the athlete. The muscle quality didn't favor the athlete. The total amount of muscle didn't favor the athlete. The speed didn't favor with the athlete, really know and want to hear. The craziest part is the fiber type. The trained athlete and his quad was 90 percent slow twitch, 10 percent fast twitch, the untrained was 40 percent slow twitch, about 30 percent fast twitch, and then about 30 percent of some of the hybrids in between. Does that make sense to you? Because the guy was just constantly running work. Now what? That's really weird, that the muscle quality. Yep. Didn't favor the athlete. I think what it mean, what do you mean by muscle quality when you're saying that? So yeah, that's a good question.

Speaker 3:          00:32:32       You can take an ultrasound and you take an image of the muscle and it looks at it like a combination of how much administering muscular fat there is with the how much total muscle master is in the size and a bunch of different things. So you get this rough idea of quality. How's it not favor guys exercising constantly? Well, you have to be careful to only one subject or two, so we don't know, but the one implication could be that yes, endurance running and cycling is great for you. There's a clear health advantage of that, but if that's all you do for 30 years, that's probably not enough to save the muscle capacity. We know things that are that are actually going to predict mortality. Vo Two max leg strength is one of the most significant predictors of how long you live leg strength. Absolutely weird.

Speaker 3:          00:33:22       Well, sort of Tom Platz should live forever. Yeah, right. Some of these guys that squat 900 now obviously there's diminishing returns. $400. I take you to 4:15, you're not living at day longer, right, but think about it this way. What's the one of the big reasons why you go from living by yourself to an assisted living home can't walk. I can't walk, can't stand up, and the biggest one that they're actually starting to look at now is foot speed, foot speed. Why? Why? If you trip and you're about to fall and you can't put your foot out and catch yourself, you have to have the foot speed to get yourself out there, but these strength to stop yourself from falling. That makes sense. So balance and yet, well, it's east centric strength. The ability to block all those forces into the ground to catch your whole body mass from falling or the, wouldn't it be also your ability to manipulate your body like yoga?

Speaker 3:          00:34:15       Absolutely. To be able to control yourself in awkward positions at. The other thing they see is huge increases in general. Just physical activity. When you're stronger, so when you're really, really strong and you're 70, you're much more likely to go to an extra yoga class. I'll go and take the dog for an extra walk. I'll go grab the thing, but if I'm super weak and getting off the toilet is a maximum effort squat, I'm more likely to just keep in my chair. Just stand on the toilet. Yeah. Right. Wow. That's incredible that there wasn't any increase in muscle quality, so that. Well, that's also one very specific type of exercise. Endurance work. We're, this guy was a bodybuilder. Who knows, so that's exactly the point. When you. The first, I think the first question you asked when we started talking was, you know, what, what's the best type of workout?

Speaker 3:          00:35:00       What we will or what's the, um, the new age stuff, right? Hmm. Well, it goes back to I think every one of us would agree. If you want to be as healthy as possible, you need to do a variety of training. Yeah. It can't just be one modality. So if you've only done yoga your whole life, you're probably going to have strength problems, speech problems. If you've only run, if you've only lifted weights, if you've only exposed yourself to a few of these stimuli, you're probably in a real problem. What we've, what we've done recently actually has expanded that thinking. Um, so my friend Brian Mackenzie and I have a book that we just came out a couple of weeks ago on this whole idea called unplugged where we need to

Speaker 2:          00:35:38       expand past just lifting and running and think about what other physiological exposures do we need that are important for longevity. How well do we do when we're hungry? How about cold? How about thirsty hot? How well do we do? Yeah, meaning performance wise meaning everything. So like are you manipulating diet to make people perform better when they're cold? Like what are you doing? Every combination. So if you want to be able to sustain and perform as well as we can throughout life, we probably need to be able to handle a bunch of different challenges. You're talking about longevity now, not like necessarily athletic performance and will equal athletes. We would use this under that umbrella but very, very carefully. So for example, I would not recommend a extensive fasting in during the middle of a six week camp. Part of UFC fights. Like this is not at all we're saying, but this is something maybe we implement outside of camp.

