Speaker 1:          00:00:02       Five, four, three, two, one for sure. Live.
Speaker 2:          00:05:01       Why is that? I don't know because I've had some crazy shit happen lately. A dad passed away, a lot of comics have passed away, have friends with a ton of comedians that have. Freddy Soto was one of my good, good buddies. He's gone to. But Dude, I started comedy with passed away early on. So I, you and Freddy Soto past me, you know, got me sponsored at the comedy store and um, I was very close to him like me and Sebastian, whereas openers. And so I think that might have something to do with it. It's like I'm trying to get a lot of great stuff happening, but I feel like I distract myself with work, so I just keep busy as fuck a dude. Enjoy work. I love it. I love the satisfaction of um, I don't know, like making stuff and having people enjoy it. So you feel like, I mean, it seems like you love doing standup when I see her at the store and you're going up. Looks like you're having a great time, a great time hanging out with other comics. I love the comedy store. I love what the comedy store is. I love what it always has been. I love how it's had this resurgence. I love the fact that they don't let everybody in there.

Speaker 2:          00:06:14       Isn't that great? It is great. There's a lot of people that are trying to get in there and they're like, eh, we're good. Yeah. And there's a lot of comics that you think are great. Come. Mitzi had a weird thing like she didn't pass Louis, like, that's, that's crazy. And then there was gatekeeper Tommy there for a while who wouldn't pass, like was holding the torch for Mitzi and what her, you know, we needed a weird thing with black eyes, like the best dude. But then I'll just add a megan come in. I've been so polite.

Speaker 2:          00:06:47       But then I love the fact that like me and you get to hang out at that back bar like that. They made that for us was really fucking smart within the last two years they made this. If you guys don't know what we're talking about, the. They made this video room that was just a room in the back behind the kitchen. And he said, the comics love hanging out here. Let's create a special little backbar just for the comedians and their friends. And uh, we get to have conversations in there. And you had some weird thing somebody told me the other night when I was in there like, fucking some chick was in here taking pictures. She was filming. Oh yeah, you shouldn't be filming to Santinello. And I having a conversation. And Brian Red Band Carter filming. You can't do that. To do that, but if it's a private bar, yeah, like you're not even supposed to be back there unless you're a comic or a friend of a calmer.

Speaker 2:          00:07:36       Exactly. So, and that's great for us because, you know, none we light, I, I enjoy talking to people as much but sometimes just gets overwhelming. And then also I want to have a conversation with you or any of my friends are real one normal conversation where you can talk at length with somebody and you can't do that and it seems like you're getting interrupted nonstop. Just again, happy to. I'm still the type of guy after shows. I'll go out, say hello to everybody talk, you know, and uh, but when all my friends are around and that's one of the great parts about the comedy store. And again, the, another part about the comedy store is then you have to get past. He had to be a paid regular. Yeah. It is. Also, there's like, there's a bunch of hot spots there where you get stuck.

Speaker 2:          00:08:23       Like if you're trying to do your set and you're leaving the back bar and you're trying to get to the, oh, are you going through that hallway? You'll just get stuck by people with cameras. They just want to take pictures. They just wait. They just waiting like owls ready to swooped down and snatched a rabbit. They're just waiting, waiting, waiting, and there's al. Can I get a picture? Can I get a picture? And you're like, I got to do. I sat and like literally walk outside. Just real quiCk. Just real quick. Like walking to the staIrs. I've seen it. Yeah. It's like fucking crushed. It really is when it's at the comedy cellar in New York and the comedy store in los angeles

Speaker 3:          00:08:56       or the best comedy clubs in the country and if you're a comedy fan listening to this and you, you got to make the trip. They really do because it's words on tuesday night, wednesday night, thursday night. You're going to see an amazing show that could be in a stadium. Yeah. Oh yeah, for sure. Yeah. I mean some of the, the show someone, the lineups, like you guys have a show there next wednesday, all things comedy. You, bert kreischer, who else is on? No, I'm aCtually not even unexcIting. We go to Mexico. No, it's, it's burt and bill and then you know a couple other atc comics. the united see, but the last one we did. You did. And then sarah silverman was on it. It was so. It was used. Sera silverman, eddie pepitone like this great. Meg bearer was on that one. Yeah. Yeah. They're insane. Yeah, it was a.

Speaker 3:          00:09:43       It was. It's a great, great place to hang out and so I love that. I love doing standup and I love hanging out with my friends and that's a huge part. But you feel like you're distracting yourself with work. I brought something. You made a great point the other night because I, we were talking about having an assistant. You go, I don't want to be busy enough to have an assistant. I don't want to be that busy. When I get to assistant level in my car thinking about assistant, you take it down. Well, that's my manager. They came up to me and they said, we think you should get an assistant. I said, I'll, I'll definitely start doing less shit. I go, let's just stop doing whatever I'm doing that I'm doing too much, that I need an assistant to stop. And they're like, well, sometimes it's hard to get ahold of yoga.

Speaker 3:          00:10:25       Well that's on purpose. Like do you understand that? Like bill murrAy has a one 800 number. They. Because they. Yeah. If you want to get ahold of bill murray, you get the one 800 number and then maybe he'll call you back. really? Yep. So people leave messages on the one 800 number or something? Yeah. If you're. I mean if you're calling about him being in a major motion picture, that's how you get ahold of the filmer. Will bill murray apparently checked out of relationships a few years ago? We said no more relationships. I don't want a girlfriend. I don't want a wife. I'm done. He has a kid. I guess apparently it's got an older kid checked out and he moved to like North Carolina or South Carolina, lIke one of those fucking places and anthony bordain interviewed him on his show, you know, we had him on the show and he's like, what are you doing down here?

Speaker 3:          00:11:12       And he's like, I love it. It's great. Please call. nice. Yeah. And he also, for a while I was living in upstate New York, like up the hudson who would live up there. Same sort of deal. Just just I'm done like I'm just going to live in weird spots and I'm by myself. So that's another reason why I'm working my ass off is I want that I'm done, fuck you money and I want to be able to chill out. I got kids on the back end of this thing where they're almost out of the house. Like I'm looking forward to that where they're both going to be in college and trying to get these little fuckers ready for life to the point where they don't need to come back because you hear a lot of people who are living in their homes with their parents until they're 30 and later. What the fuck is that? Not acceptable. I'm

Speaker 2:          00:11:53       going to push you out the door now. Someone is 36. Not good. Yeah. What will they're making? Life is too good, I guess. Yeah, it's too easy. Yeah, there's no. I was listening to dr. Drew talk about this on a howard stern ramp up show and he was saying like, kids don't have grit. Grit, grit. Oh, associate. Dr drew with grit. Well, you're Just, you know, he knows about a hustle, hustle and he goes, my kids are coddled, but he thinks the only thing is the educational system pushing education, make somebody work their ass off if you don't have that inner drive. And the reason like getting with me, and this was world, so if I, I don't see a therapist, I probably should because they got a lot going on, but fucking my mom was cleaning houses and making $6 an hour. My dad, teamster, warehouse foreman and uh, they were poor growing up, lower middle class and then went to the school.

Speaker 2:          00:12:57       He sent me to school in san francisco with all these rich kids as well as in all these rich houses and houses in people who know san francisco is pacific heights is really nice and sold it now it's like fucking $12,000,000 houses. And that's where we were hanging out. Parents would have abandoned them on the weekends and we'd have run of these fucking houses. Just crazy. Like my buddy broke a $25,000 vase and sort of like, let's get the fuck outta here. We'll pay for it. And we were in all these. I was like smoking some guys, cubans on sitting in his chair. I'm a kid from the inner sunset district who shouldn't be all of these places. But I think that's what lit a fire under my aunts because I'm working for the. My mom eventually has this great rags to riches story where she was working at this company and then she became an account rep and then she became the head account rep.

Speaker 2:          00:13:49       Then she began to vice president. Then she bought the company and quadrupled the company in size. Wow. And that's where I went to work for her. Even though I wanted to be a standup comic, I go to work for her. I am firing people for living, which is a whole nother fucking thing. And Just say I really was forced into this very tough. My dad and my mom were very fucking brutal. Half mexican, half sicilian. That's an I am. And then my mom is sicilian, like just the youngest sister in a with all boys in the family. Just a brutal lady who's like, can't tell me how I tell you how many times she said like, fuck, I'm just fuck them. Like, okay, they're going to come know just a client given her shit. Like, nah, fuck them. And they don't appreciate me. Fuck you.

Speaker 2:          00:14:43       So was like that with us and then my dad, same thing, they found each other for a reason because they both have that attitude and so I was there and then I was supposed to be this eldest son taking over this family business. So when I met you in 1999, you came up to my apartment which was in telegraph. It was a nice fucking apartment and I'm like the opener with a great place. And I lived. I had a wet bar. Remember? Okay. Can spot. Yeah, we smoked pot and watch old. Oprah's oprah's whether she had big hair, huge hair, no work done at all. Just old oprah or just baked watching fucking old oprah. I hadn't even met, like I had just met my wife at that point. And so this is. Yes, it's 1999. And um, I was working a regular job so I would do shows on the weekend hosts the cops or the punchline and go right back to work.

Speaker 2:          00:15:36       And at one point I think I remember the world started to collide. Like I'm doing standup and I look out, everybody's laughing except like three dudes with their arms crossed. I'm like, oh shit. Fire those fucking. Yeah. All the time dudes that you fired were sitting in the audience said that you started to make it into standard. Like they go to see, you know, I don't think it happened and we found me, you know? Wow. They must've been fucking steaming. Yeah. Just like, fuck that guy. Everybody's laughing, having a good set and look at just one dude fucking scowling at me. So creepy was that didn't mind. Fuck you. Yeah. Yeah. Know what? I had such a good attitude at that point. I was like, hey fellas. Now it's a little weird. Huh? Did you talk about it? Yeah. Oh jesus. I definitely acknowledged them and said hello.

Speaker 2:          00:16:21       Like I knew their names and you didn't say like, hey, I fired either until I can to everybody in the entire room, which I probably would do now. Not experienced enough to handle it when I met you. How long had you been doing standup? A year. Oh wow, that's crazy. I just said a. My 19th anniversary was on a tuesday. Wow, that's crazy. First tuesday in may. When did my first set went up in front of like half homeless people in san francisco at cobb's? No, at this place called the luggage store, which was on market street. Wow. Tenderloin. Full tenderloin. Walked up. I worked with you the first time I did the old cops. Yeah. That place was great. We got matched up because it was tom sawyer used to like to like he would make matches of he really pr. I was. He would pride himself in creating lineups that people would.

Speaker 2:          00:17:16       People would go together and let me just tell you something. It worked once with you. That's it. All the other times were a fucking disaster where it's like, even when I was up there, because I'd find it, I'm like, hey, what's up? He's like, fuck, is this guy just totally. I can. Yeah, you put me with this fucking asshole. Oh yeah, yeah. He put me with some, you know, there's some people that you think have potential and then they just don't, you know, we've all, we met guys like that. I mean there's a few guys that I could use to come up with used to come. But I opened for you. It was maddie kirsch. Alright, sure. And then eddie

Speaker 3:          00:17:50       bravo fucking came on. Well he'd come to hang out. Ain't know what he was doing, any standup, but he was like a totally come to hang. And then um, I think it was down here that I met brian and then brian started going around. What's you there? Super early on? Yeah. That was when I was down in here in like 2004 and dunkin. But that was the new cops as once they started moving to the new spot in the old one. I think it was just mad. Yeah. Maddie kirsch. Yeah. Early days, like maddie curse stopped doing standup for a long time. I think he's done. I think he just completely stopped and he stopped. He started doing tv stuff. He stopped doing standup and then he went back to it again. But I never saw them, you know, I think he's done. Yeah, I don't think you can dick around with it.

Speaker 3:          00:18:33       I was with me and my buddies were watching tim allen come back and you know what I did? He was such a nice guy and he watched and he watched my sat and came up and said bunch of stuff afterwards. He was super cool to me and it was so rough watching the set. This was like, he made all these santa claus movies and he made all this shit and me and kevin christie sent and about the. I said, you know what, let's do something to this guy. And we wrote them nine pages of jokes and fucking just go here. You go. And handed them to him really? And he goes, thank you. Oh my god. And then we came back the next night and he did a bunch of this shit and got an applause break. And one of my wife felt so good.

Speaker 3:          00:19:14       So cool. That's. I saw him one night at the comedy store when he hadn't done standup in for ever. And he came back and he was doing a joke about his ferrari breaking down. A lot of people can relate to it and listen to them. Don't ever just don't do that. I don't care if it's about a ferrari breaking down. Don't tell everybody you have a $250,000 car. Well that's a big george carlin thing is that when he got. So we'll see an ied. People going to the post office for him. He's like, I can't do the post office, but now because I don't even go to the fucking post office and I can't talk about the bank because I never go to the bank for myself. I say like you got to do all your own shit and just stay relatable. It goes the other way too.

Speaker 3:          00:19:55       I was in New York and when I was out there in the comic goes up and he was like, he goes, you know what? He's doing angel dust. Like nobody knows. Nobody knows what you're doing. Fucking angel dust. What are you talking about? Talking about a niche audience. Yeah, totally. So you know, stand up like matt jumped out and it's like, I don't think you can jump out like it's one of those things when you're 10, but god damn you love it. Like dana gould jumped out for a long time and wrote for the simpsons came back. You can do it. But you know, arguably dana gould should have been a huge superstar as a stand up comedian using a san francisco guy who was like, I listened to. If you guys don't know that comic is, I mean again, go find it because so good. So many voices, so many characters. So smart stories. Like why met him in boston? 80 eight, holy shit. And he was already big then like he was a headliner then and I'm doing really well.

Speaker 2:          00:20:48       He was like rodney dangerfield, young comedian, special, big, right? Like he was a, he had a showtime special. I remember that. He had a showtime special before I moved to la because I remember watching it and it was really interesting was the way he did. It was like kind of unique to a shot. it was unique and it was good. It was really good and I was like, this guy is going to be giant and I figured it was going to be like from their hbo specials, from their giant theaters. From there, you know, he was going to go the Brian Regan route, you know, we're selling out all of these places, but it just married the, the woman who became ended up becoming the president of hbo. Done. Good.

Speaker 2:          00:21:27       OnLy I have another thing. One headshot per household. Yes, dude, if you see like two, I think tom segura and christina are the ones that can pull it off to the only ones. Yeah. I've not seen anyone else do this successfully and I'm still standing back like this on that one. Blow up. You got this. You got it. All right. Well there was a kid on the daily show that him and his wife audition for the daily show at the same time and he got it and she didn't. Oh yeah. In fun time in that house. Not good. Not good at all. If somebody starts becoming super popular and then the other person is like, oh, what do I do? Do I present that kirsch do like jump out now or find other work and that's also been a difficult thing with me. So back to what we were talking about and it's like, so now I leave this parent's family business and I come to la, I could have again, I could have been up there and miserable fucking with firing people nonstop and taking on other people's problems because that's what I did is like if you have a business or you work somewhere, we'd employ everybody working there.

Speaker 2:          00:22:37       So You didn't have to deal with any of the headaches. But then I got all the headaches so I've been chased like a. I had a guy who was a time when knees, like he sick this banner. He was working in a doctor's office, but on the weekends we found out he was pretending he was the doctor. Are you seeing patients? His own patients? But he was a physical therapy and uh, um, orthopedists office. So I go in there and I've been doing this awhile. And again, no, just been in so many awkward situations. Now I'm doing stand up and I'm even more awkward situations and I just go up and I go, hey twon, you know, jig is up. Go. Today's your last day. We found out what you're doing. He grabs me, puts me up against the wall, he gets one of those physical therapy sticks, you know, the big, like the pole that you stretch with behind your back and stuff.

Speaker 2:          00:23:29       And he has one of those cut In half and he sticks it right up to my throat and now I'm cool. And so I go, twan, I got you got two choices here. You're going to hit me with that stick and I'm going to call the cops and I'm going to charges. you're going to go to jail. Does that mean to be pissy? Hit me with that fucking stick. Or you can take the final check that's in my breast pocket right here and walk away. What's it going to be? and I'm held up against a wall by my throat with the fucking stick in my face. And so had some crazy situation. So what did you say to him? You said the jig is up. I know you're not a real doctor. Yeah. I go, hey, how you doing? You shouldn't be here right now know you're seeing response. No, this is not true. These, you know, like in july we spoke english. Yeah. She's a physical therapist bangiNg chicks to. I have no idea. I would like it to be that waY. Yeah. That's a better story if there's a way to heal you.

Speaker 2:          00:24:27       So I didn't rush it. Nurses running from me and just crazy stories like why would they try to do to you? Uh, well this russian nurse was in an allergist office and she was giving wrong doses to the kids and stuff of shots. Oh jeez. All my documentation like these yellow pads. I goes, there's um, who you can see, right? I'm 22 years old. you can see right here. Then she tries to grab it. Now it's a tug of war across a desk and I don't know what the fuck is going on. And um, she takes off and runs down a haLlway and I'm 22 and shit. I fucking run down the hAllway afterwards and she goes into a patient room and didn't. She locks the door and then I get the door open and assist somebody unlock and she's in there and she's talking to her husband on the phone. she goes through, there is a mum here who's telling me lies. He's telling me like

Speaker 4:          00:25:14       I didn't want them to you, these pregnant and the baby because of these moms like that. I'm going totally

Speaker 2:          00:25:24       freaking out. Oh my god. I had a tea to teach. A bunch of vietnamese people had to. Shit. There was one day I got a call, got a call from this guy. The issue. Well they were her mungs. Okay. You know her mom is like this. If you saw grand torino, that movie with clint eastwood, I think the h is silent, I think. Right? The a h, m o, u n g, and then there are people without a land. Yeah. And then they go. Came to san jose, California to working assembly plants. So they're in this cable assembly plant, a plant called cable co. That was a big client of ours and I got a call from this really cool guy, his name is chip, chip bronc, and he goes, well you got to get down here, you're not going to fucking believe it. And I got a situation and I go, what is it? And it goes better. you see going into the bathroom. Shit everywhere. What? Because they had never been used to toilets. So they were standing on the toilet seats. I found out that's what was going on. They all had fake names, like the names, food, cli, but you can call me keith.

Speaker 2:          00:26:34       Hey keith fluidly. Can you come here for a second? Can I start you about this shit everywhere. Like on the ground? Yeah, they were missing. So toilet seat is not meant to fucking hold you up. So they're waddling up there standing on the standing on the toilet. So they were just used to like shitting and shitting and holes. Oh my god, they're lucky, you know, in the woods or whatever. So, so lucky. Not lucky where they hold them forever. So yeah, just backed up his becomes a brick. Yeah. So, um, anyway, I gathered everybody around, I just appointed a bathroom monitor and oh my god, bathroom monitors. So I had one of the guys who was the supervisor, I had a clipboard, I put a lock on the bathroom door and then. so you become this corporate fixer. That's what I was doing and I always wanted to do standup comedy.

Speaker 2:          00:27:24       I love standup comedy. I grew up in the city which is listening to the comedians on the radio and all the great comics was to comics who lived on my block. And so I love lived on your block. Mike pritchard and michael. Me and two great comics. Mike pritchard, one the first san francisco comedy competition. And robin williams looked up to him. He was like robin williams. That was his idol and he was on my block. And you don't money hoffman. Yeah, money. Hoffman. I'll be eight years old on my bike and I'd ride down the block and money. Hoffman and mike pritchard used to put their tee shirts over their heads. You know how you can do with just the, the whole face pops out of the hole. And they used to pretend they were the California raisin guys. You guys are hilarious. This is amazing.

Speaker 2:          00:28:06       They lived on your block on my block. And I remember. Where's pritchard now? I think he's a motivational speaker. is still up in the bay area. Lead lives in marin. He came To the last night at cobb's comedy club in that little spot. Why you stopped doing standup? I just speaks. Wow. Weird. Yeah. So, um, well, you know, that's another tempting thing for me too is because I do a ton of corporate standup, I get you can get paid, you know, five figures to deep five figures to speak at 3:30 PM and do stand up at a thing and you know, if your standup career, like you're in a good, amazing spot because people come to see you. Like I'm still at the stage where I go out and 40 percent other people, they're come to cv and it's a weird cross section of people who love stand up or you know, heard me, you heard me on burt's podcasts or your podcast, you know, whaTever.

Speaker 2:          00:29:02       And then it's a weird cross section, a daily show people and then sitcom people and then, you know what I mean? It's like this weird crowd coming together. and then it's um, it's people like comedy. It said stan hope bit people. How many people came here to see me and, and when many people came here to see comedy. Yeah. And he's like, music isn't like that. And so for me to do a corporate gig and pay get paid double gazillion, you know, like a lot of money is fucking tempting to switch over to that side. So I could see why people do that. That's what jay leno did. You just get paid 250 grand and that's why he doesn't put out any content. Jay. Oh. Doesn't have the same act he has. No, he has no body of Work. Like he had a showtime special that he did that I saw in the nineties and I'm pretty sure other than his tonight show monologues, which of course has numerous.

Speaker 2:          00:29:54       I think that's the last stand up. Did he ever put out as far as like a, like a full act? Talk to him about it. yeah. He's kind of weird philosophy about it. I did random, randomly got a phone call to present him with his mark twain award at the kennedy center. Oh wow. It was me fucking seinfeld, jimmy fallon, seTh meyers. I'm like crazy people. It's, you know, wanda sykes and I had no business being there. Chelsea handler was doing whatever, just like an all stars and I'd never met him before and I think they just wanted to color it up, but I'm going to say yes because it's fucking kennedy center and super super cool. And I got there and I meet them for the first time and then my act was like, what are you doing? Like you have $250,000,000 or something like that.

Speaker 2:          00:30:50       And You still, every sunday you go to the comedy magic club, you don't turn over your act. You got separate comedy, money in tv, money in this car collection. I go, what, what do you like? Just chill out, man. Yeah. And uh, I, can you give me the fucking $4,000,000? You never see me again? And it goes sold from the balcony and then we had a long conversation about it afterwards, which was super weird and talked about that exact same thing that you just discussed is that he has an act that he wants to keep doing and if it never appears on tv, you've got to go see him to see it. But people get mad when they see him twice. Oh yeah. Like uh, he was in edmonton. He did the river cree and then he did it again a year later and he did the same act.

Speaker 2:          00:31:42       And uh, the people that were mad. Well that's just, I mean, for, for those old school guys, that's how you did it. I mean, it's not a no knock against him. That's how everybody did it. It can't skills guys and vaudeville, they build. Those guys would do the same act for 10 years. And it was also, you could do other people's asks. Yes. Right. Yeah, they just did. They have did that, you know, they will social media when the abbott and costello did who's on first on tv 20 other guys were pissed because they also did that exact same bit. Really? Yeah. And they're like, thanks a lot fellas. I could never fucking do that thing. And so who's on first? Wasn't an abbott and costello original. Was there 20 other duets doing that exact same fucking material? Wow. Yeah. So now let's complete jay leno courses carrying that.

Speaker 2:          00:32:43       You're pissed. When I started in san francisco is great guy. Jimmy cornet who ran the punchline, we were talking about other people coming through and not changing their act and he goes, dude, you need a new 20 minutes. At least every time we come through here people are going to be pissed. They want to see the hits. And this would obviously would say we go see the stones, you want to see brown sugar, but you got to mix in some fucking new shit every once in a while to comments or feel like they less want to see the hits more than anything with music. Like they actually just want to see the hits, like if you go to see the stones, they don't want to hear any new stones shifts once satisfaction. But if you go to see bird, you want to see all this new stuff. Yeah. You're familiar to. You saw his last netflix. Exactly. Yeah. Yeah. It's interesting. So that keeps us creative. It keeps you fresh. You have to constantly be hustling. Totally. Yeah. It's um, that's what I say when I saw you the other night when you did that atc show. You had that funny. No vagina bit.

Speaker 2:          00:33:50       Thanks man. That was because again, and that's another thing, it's like you grow up in san francisco when you become like, you see guys coming through and I watched, I went to see everybody. So I lived in between comms and the punchline and that's where I did. If you, you know, outliers 10,000 hours. Yeah. Walk to the cops. I know for. I did this for maybe 13 months straight almost every single night I walked the comps. Then I'd walk to the punchline and I saw every single act saw damon wayans. Carlos mitzia is scott, you know, for kids in the hall. What's his face? got to thompson said just anybody who would come through. I go see, I can see every single night and I want you to good ones. I took something from everybody, but then I sort of watched people come through a second time and not change anything.

Speaker 2:          00:34:35       I stopped to watch features that were better than the headliner and feature, you know, the conversation over in the corner and fucking just watching it all and it just again, you see what people are doing and how much work people put into this. It's a tremendous amount of work, but to do the bits also. And that's another thing is like san francisco, you wouldn't put hacky comics up. Right? They wouldn't get to play there. Sawyer wouldn't fucking work here for good reason. I really appreciated that about him. It's one of the reasons whY I was willing to go back and do his clubs so many times. Yeah. SO again, that's when you come to la and you're like, what the fuck is this? There's some of that like what we were talking about, we don't need to name any names, but that one person who just as a bunch of shit and says it fast and then you're like, okay, what?

Speaker 2:          00:35:25       What are you doing? You're ruining the night. There's a lot of tricks, tricks you're saying a bunch of pop culture references and a bunch of shit, but there's no like so hard to be judgmental about someone else's craft or art, but there's times when you know whether someone is actually trying to work something out or whether they're trying to trick the audience too. There's a bunch of stuff You guys that you can do to elicit laughter and you can memorize a huge string. It's called. Yeah, it's a string and you can just fucking rattled some done and then they got a big applause. Bah ba ba ba ba ba ba ba ba ba ba. What? I did, what I did after that. What did you do this. I don't want to be like this. I just want to read, write and jack reacher on my deck and fucking chill out and I bought that fga 62 land cruiser and I want to fucking just, I want to get a little trailer behind that. I want to go to big sur with my wife's go chill out by the ocean. Chill out. Yeah. I want to be that guy, but you're not, but I'm not.

Speaker 2:          00:36:30       I'm not. I really want to be. Anyway, I followed that. Yeah. One comic we're talking about and I walked out and I go, how bad it I go, name. I go, what was that last applause? Break all about the offer to donate some money to charity. Just for no reason. You shouldn't have done it. Just shouldn't talk shit. well, I think the only time you should talk to is when someone's doing something negative. Like stealing. Yeah. You know, I mean we've all been there before. When you see someone go up and you go, okay, that's not even your act. Yeah. Yeah. It happens less now than ever before. Don't think this is like the cleanest time for comedy as far as like, you're still hear little stories pop up here and there, but I think it's also now it's subjective and there's lunch. So much standup.

Speaker 2:          00:37:22       I was thinking like I have this hour special coming out, um, this weekend on showtime and I think talking to somebody about it and there's a special coming out like every fucking two days. Yeah, they're not that special anymore or not, but it's a great time for content. Like if you want to see comedy, like you go on netflix or showtime or cso or any of these different providers to cecil. If I could stand then stand up special. And I watched the and mentioned it as they go. The doug stan hope special on. So if you have not seen this, I feel like is one of the best things I've ever seen. And I walked in to the comedy club and he saw punchline for the very first time and I saw arch barker onstage kill just, he's a great comic. He's just fucking murdered. And I had the same feeling that when I watched that doug stanhope special, oh, just I haven't seen it. I need to see it, my god, the bills just again. And it's like next level shit that I hope people can really appreciate the call backs and the intricacies of this Whole thing and the story in somebody who's on something and saying

Speaker 3:          00:38:36       something like. But doug did two of them in his hometown. He did them bolt in bisbee, right? Yeah. This is the one that was shot in bisbee by a head again. You know, it's just. I love the fact that he's doing that. like we talked about it a couple of years ago is I can park in my town. I just got to fucking see these people at the safe way. And then apparently he just said, fuck it, why not? Why can't I do it in my town? And then eventually his town stopped being the talent was. And as a bunch of people who moved there because they know doug lives there. Oh dude. First of all, he's a real estate mogul. He bought everY house that comes up. They're all like $30,000. He just buys it. He's just buying houses. So he owns like, I think you want six or seven houses in town. This is with jack reacher novel where he's going to own the town. Good time. Fuck dude. If I got divorced, I thought I'd seriously consider moving there. There's already a house I'm looking at. It's a cave. No way to indicate when it's Built into a cake. Oh yeah. Yeah. Now I can't buy it because people know they'll show up at my door.

Speaker 3:          00:39:40       But uh, he, uh, so many people move to bit. He used to give out his address and say, come into my superbowl party. So people would come from all over the world to his fucKing superbowl party. And it was ridiculous. It'd be 500 people that he didn't know at his house for a superbowl party. So he stopped doing that. He rescinded the invitation. That's what me and bert were talking about is doing a thing called a caravan comedy tour and getting a bunch of rvs and our trucks and trailers and just going a bunch of guys because also sudden it's like just a special kind of comic. You're, you're one of those comics. It's like you have give kids, you have a family of life, you have stuff outside of standup, you know, sake to get those guys together. And bert is one of those, you know, we're like, you have a couple kids and like get the kids and the wives, it takes a lot to be a comedian wife and they all have that in common, so I'm sure everyone would get along great because they have to deal with us and so the wives and the kids, everybody in rv and then we all go out and do shows and then everybody gets to go to the grand canyon, the next bad idea, bad idea.

