Speaker 1:          00:00:02       Three, two, one.
Speaker 4:          00:07:36       Old Man. Well, I literally. Yeah, because yeah, I don't go to. I'm not in seventh grade. I got to ask questions and they don't. A smart girls get high. Wow. A bookworm docs are in choir. It's more acceptable to be yourself. They grew up in a time when you could be anything and do anything. No one and no one shit on you for trying things that real. It's real. That's amazing. If that's true. It's totally true. They have a whole different way of looking at the world. They don't. They look at the way we were raised as animals, just saying the mean shit to other people and people just shitting on you for trying anything that we look at that like it's cavemen times feel like you would call someone fat what you would call someone retarded or gay or. I mean all that stuff is, you know, it's a lot of word speak conversation, but it's manifested itself into the way these kids were raised and they're sweeter and kinder. Wow. That's interesting. Yeah. That's so fascinating. I know you got to see like real cultural evolution because if you go back to the beginning of the 20th century and those poor people that were surviving through the depression and you ever read any books on the depression, Grapes of Wrath, there was a

Speaker 5:          00:08:56       book, I think it was called mcgurty. It was, um, by a guy named Bob Burns who's a famous, a billiards historian and he wrote this book about a Pool Hustler during the depression that traveled literally by train car, like a Hobo from town to town and found people to gamble with these bars and they would hustle and pretend they didn't play very well and lose a little bit of money. And then when money, you know, that kind of it already. Yeah. But it was a really depressing book, man. Yeah. Just people are suffering, people are suffering. And there was this one story where he was literally a knocking on this guy's house begging for food and the guy brought him out some sausage and you know, and they had like a soup together and he was just describing the food that this guy had given him. And like how, how wonderful it was and how amazing it was in that moment.

Speaker 5:          00:09:45       Like he was literally dying. Like his body was giving out from hunger in America, in America in 1920 9:30 is that when the depression was official in the stock market crash was 29. It's so scary that the stock market is a real thing. Like I was. I was trying to explain this to someone like what my frustration with it is because I was like, okay. He just looked at it this way. Right? I know if you're, if you're a financial person, you're like, oh my God, you're so, let's do. But I really think it works that way, but this is what I'm saying. If you look at the world and you look at all the people, the number of people's tastes constant, the resources stay constant. Like there's kind of the same amount of metal as the same amount of silicon. This is the same amount of all the different materials we use to make things. The same countries are in place. The monies to say what the fuck happened? That all the sudden everything's terrible. Like you had this state where like you have prosperity, everything's wonderful, people are doing great, then the stock market crashes

Speaker 3:          00:10:48       and when the stock market crashes, all these people lose their jobs and mortgage rates go get fucked up. Everybody's fucked and this just like this terrible period of, of, of fear. Right? But meanwhile the earth is the same. It's almost like we create these disasters, we create these, these systematic dislike in there like inside the system that we've created well as disaster and it's the. It's the system that we've built to survive and be able to trade goods and food and homeless and the structure we built to live and be safe from the outside elements on this planet. Right? So weird when that thing. But that thing has to run and it runs by money and money circulates. All that stuff all around, all the time. There's still money when all that stuff happens, but it's up here clogged with these with very select places and then the rest of the flow just stopped. There's no more water coming to these tributaries anymore that everybody goes tanking. Such a goofy system. You know what that feels like that like someone

Speaker 2:          00:11:54       took windows 95 and just kept upgrading it. Right now we are in 2017 and we don't get a new operating system. We get a new operating system for a fucking computer, which is not really that God damn important. All in all, if you could choose between a good operating system for life, have a much better, more, more updated operating system for, for civilization or whether or not you could get online. You Got Online and 95 you your shit would work. Yeah. You know, what do you do when you're writing emails? You checking your twitter, how much time do you take online would work fine. It would work size a web. Browsers didn't crash. You can go to the websites. It's way more important to have a new operating system for life. We don't even touch that stupid thing.

Speaker 3:          00:12:37       You can't. It's too massive. And what really bothers me, and it's really been on my mind lately, is that you can't escape the herd. You can't, can't right now, like the. Everything was really crashing in 2008. I mean that scenario that you're talking about where everything just stopped like all the top people were like, the economy is grinding to a halt this afternoon, that calamity right took everybody's savings and messed it up and all this stuff so now and everybody had to go through it. Now things have kind of come back and they're coming back and there's this trump bump on the stock market. Things are really going really high and then some people think it's a bubble and this is just a false thing and it's going to crash, and some people even say it's going to crash worse than 2008 if things go really haywire. My question is, if we know that, how do I get out of the way of the tsunami? Why do I have to go with everybody else? Can? What can I do with my money where I can be safe from this, these tides that take everybody? That's a really good question, but I think the question that overwhelmed that question is, why the fuck are we still doing it like this? That seems to be a better question because this seems crazy. How are you going to reboot it? What are you going to do? Just

Speaker 2:          00:14:01       are you. You're right. I don't know. You're right. I don't have any. I don't know. I'm not fucking zero education and economics. I know almost nothing about how all that stuff

Speaker 3:          00:14:09       stuff works. I did a show two weekends ago for these financial people. Really Fun show, you know? It's like their private event. I'm talking to them after after the show at the bar we meet and greet kind of thing and some of these guys who are our age who are just economic guys, they're in finance. They start these conversations about buying and selling properties and shifting stocks and bonds and all this and where did the bond market doing? It's like they're speaking Chinese

Speaker 2:          00:14:42       and I felt like a 10 year old kid. I'm like, this is what the rich people talk about. I wish I understood. Some of you know

Speaker 5:          00:14:51       what I mean. You know what it's like to me it's like when someone starts bringing up like chess moves when we're talking about specific chess games, like Kasparov playing some dude. Yeah. And then they start, you know, rook to king two or whatever the numbers are on. I'm like, what, what is he doing? Like, what's happening in him? I knew a guy and he went to prison and uh, when he came out of prison he had learned to play chess in his head. Oh my God. So he could sit there and him and this kid, there was this kid who is this. It was a really, really interesting guy. It was really tiny kid that used to come to this pool, so super smart. But he was like this little, like, like almost like a fucking honeybadger probably funny kid pool where you can like pick fights with people.

Speaker 5:          00:15:34       And he was a tiny little guy, was so little that people will be like, why is this guy doing? But anyway, he was super fucking smart soup. I guess he just felt, yeah, I felt like, I guess he felt like he had establishes his place in the social pecking order because you're so little. It was a pool hall and he was a really smart guy. So I think it's tragic to yell at people. Like one time he yelled at me, Oh really? Oh Man. He was probably like 15 or 16 and I was, you know, 25. I was like, man, like what are you crazy? Like what are you doing? I had to have a conversation with that dude. I'm not your, I'm not your enemy. We're arguing over a pool game. You know what's going on? Yeah. Don't say you're a take me outside and go listen to that.

Speaker 5:          00:16:17       How old are you? And he goes, like, 15th. I go, dude, I'm not just listened. I'm not, I'm not your enemy. We're trying to figure out who's right on a foul foul as foul is whether or not like maybe a foot off while you're playing pool and maybe your, your tip touch the ball before it was supposed to and you try to ignore it and then someone calls you on or the hit is bad. Like you don't hit the number ball. You're supposed to have your play nine ball. The other guy's supposed to get ball in hand, right? If it's a competitive thing that a tournament, those, those conversations get, they get pretty emotional. People got really upset. Like I definitely did not fall because all of a sudden he was like trying to start a fight and how little we have tall was not big at all.

Speaker 5:          00:16:54       Okay. And this was like right after I just said I just maybe had my last fight and there's a couple of years before that, so I was still kickbox and I was still training all the time and I was like, this is the craziest conversation I can't believe I'm having with this little kid. And so I pulled them outside. I go, we just had, you know, just kind of a down to earth, you know, you gotTa, you know, you got to get respect from these fucking people. I go, yeah, not like someone's going to hit you. Oh really? Yeah, you got to be. So it was a planned thing because this fucking kid, it was cool afterwards because I had this kind of conversation. He knew that if we ever did have a conversation before, I was never going to go to a bad place.

Speaker 5:          00:17:34       I was just going to talk to them. Right. So it made it a nice thing because he was a wizard. He's a really smart kid and, and for pool is that I like, is that like chess? Like. Oh yeah, yeah, yeah, yeah. Vantage. Yeah, because you're also smart in the execution of your shot. Like one of the things about pool is the execution of your shots should be almost effortless. You rely on your structure, you rely on your stance, you rely on your technique and it's supposed to be like incredibly gentle and smart people can figure that out better than dumb people how to get. Instead of slamming the ball, instead of using your muscles, instead they'd stroke the ball where the weight of the queue is kind of doing all the work. The point is, this kid was so fucking smart that him and that prison guy would get together and play chess in their head cheese and I would sit there like a stupid a pool.

Speaker 5:          00:18:27       They, I sat there and I just pulled up a stool and I just watched them playing chess in there. They went through a full game in their head. I was like, this is so crazy. They know where all the pieces are. So crazy. That's what it was like with these financial guys. It was like, you know what? They're just smarter because even though I was never that great in math, I, I could not have. My head isn't built for talking about that stuff. They're smarter in that area. That is what it's like when you hear them talking. It's like night to rook six. Like what, where, where is that? What's happening? Where's the grid? I don't understand the grit, but it's even more complex. So they're talking about dividends, bonds and fucking I know and they can make a lot of money because they just have that knowledge.

Speaker 5:          00:19:08       Sure. And some of them start doing coke, then they get crazy and leave their families. Oh Man. That's like a. that's what business where people go off the rails, but like what can you do to protect yourself? Say trump goes off the rails and the stock market goes down again. What? There's nothing you can do right now to prepare yourself for that. Well, you can put your money in cash, but then it's not growing. I think the amount of pressure that guys under is probably unmanageable. I think very few people can manage that pressure. I think that job's insane. I don't think it should be real. I don't think it should be a job. It should be five people. It shouldn't be a ton of people. Yeah. I mean, I think five people's enough. I said I don't even know, man. I just. I feel like it almost should be all of us.

Speaker 5:          00:19:54       Yeah. Well, it just. It seems like if you wanted to give your reason, you, Tom, papa wanted to give you a reasons why we shouldn't be engaging in some sort of a military action against North Korea or whatever's next. You would have to do it. You have to write it out or you'd have to record it, right. You'd have to give a coherent reason why you feel and that that, that, that would be considered. So you'd be like one person, imagine if there's 350 million of us or whatever the hell it is. Right now. Everyone having single opinion, a new wants to complex comprehensive opinion on any sort of an action that any thing in the government is doing that represents us. That's what the government is. I mean there's these people. It's boiled down to a few people that are supposed to successfully represent us and all of our ideas, but there's no way they could know what our ideas are. No, but you can come close being like, okay,

Speaker 4:          00:20:48       this my town, if you go to Congress and be like, my state really thinks weed should be legal. You know, the consensus sort of. Yeah. Sort of. I don't know how accurate or inaccurate and in certain ways. Right. It's just, it seems to me it is. It is strange though. I mean to be that president to be one guy and it really is a thing about, you know, there are huge guy, there is one guy on the top of virgin or tesla or but they know it's their job to run things in. Have people doing stuff for them? It's almost a job that's more about poise and intelligence and patients than it is like taking everybody's thing on. That's what's so unsettling about the time right now. You want someone, you want dad to be at the steering wheel and you feel good and safe in the back seat.

Speaker 4:          00:21:43       Well, that's why a lot of people are really excited about trump because he's confident and if you're a confident older man who's successful people like there's a natural instinct like an Alpha chimpanzees now it's an Alpha factor, right? It's a total. There's a total instinct to try to acquiesce and also an instinct. The challenge is to be a big instinct to challenge him because of who he is too, and he sees weaknesses and see we can swipe out his ankle and it shouldn't exist. Folks. This is this, this is highlighting what's wrong. And everybody's like, yeah, you don't know anything about politics and you're right. I don't. I know so little about politics. There's a lot I don't know a lot about. A lot of things does. Nobody does, but I know one thing I know that I can see patterns and trends. I see them, I'm pretty good at it and I see a pattern and trend in our communication, in our expression of ideas.

Speaker 4:          00:22:40       It's like what you were talking about with kids today. I'm not surprised by that at all and I'm excited by it because I think that I think that people are more openminded today. They're, they're, they're way smarter than I was when I was their age. If you talk to like an average 10 year old or 11 year old, they know so much more about how the world works and I did when I was asking. The amount of work they have to do in school is 10 times what we had, but they're still all being trapped by the same system, which they still have the same educational system, which I think is fucking bananas. You make kids go to school all day and then at the end of that you give them homework. How about fuck you? How many hours in a day is there? You're preparing people for suck, but it's what you're doing. Yeah. My kids, they were up til 11:00 at night doing work, not hanging out, not screw it around like fuck man. Working. That takes away your life life. It's really important, especially especially when it's a. it's a curriculum in the public schools that is geared towards a manufacturing middleclass. Now there's learning in that

Speaker 2:          00:23:45       way. Learning like robots, if you want these kids to, they could work so much smarter about more uptodate teaching methods and things that are going to apply to get jobs going out. Then it's like, all right, spend a little time on that door. Also training people to put their energy into things that don't bring them joy. They're training a certain kind of discipline of certain kind of morose, like dark gray cloud disciplined. You're totally right to the factory with a hammer. Bang, stay alive. In order to stay alive, we have to work. Bang, Bang, Bang, row those fucking boats across the ocean in your kid like, but wait, I just want to board man. Tony Hawk makes way more than you do, dad. I'm so much happier there. Yeah, you mean it's so many people that want to do so many things and they could. They could, they could, but as a parent, oh fuck, all that.

Speaker 2:          00:24:43       I mean, I'm go for it. I have, I got, I've got two and one is not into school is not into it. Pull them out and I got home. She seems like a comedian. Like she is. This sheet she dropped. She seems the same. She's funny. She doesn't care about authority. She's clever. Just not into school. She's probably smart. She is dad. She is, but she's. But she sees her dad. He's like, this guy doesn't do nothing. Sits around talking shit about bread. That's right. That's exactly it. He's baking bread. He's always smiling. Baking bread or going to a show. Billy's dad just had a heart attack.

Speaker 2:          00:25:22       Billy's Dad freaking out and he works for a financial institution. You don't go to work. You don't go to the stuff and put as a parent, I can't be like, yeah, just hang out. No, you can't be just hanging out, but you can be like, find your groove, find a thing, and then get into it. You know, I think introducing kids to things that they can get into, super important, but what about the school thing? Can you, if your kid, if your kid brings home sees, do you get on her or do you say you got to step it up. There's a real. Stepping it up is making her that drone both. There's a real problem and it's that kind of learning is boring. Like all of a sudden I was not in the science at school. I can't get enough science as an adult, as an adult.

Speaker 2:          00:26:02       I constantly read scientific American watch all those science shows on tv about fucking space in astrology. They make it look strong. You rather. It's fascinating. The cosmos. You ever seen the Neil degrasse Tyson series the best. I couldn't wait for that thing to come on every week we celebrated when that came on. Look, science is fascinating. They find these seven new exoplanets that they think have it life. You're like, Jesus, I know. They're like earth. Amazing. When I was a kid, I could not have given less of a fuck. I didn't care about any of it. I was like, why boring teachers? Math teachers, hundred percent if Neil degrasse tyson was my astronomy teacher in school or taught astrophysics

Speaker 4:          00:26:44       or whatever and taught it the way he teaches things. Like when he talks about stuff he gets you so excited about the ideas that he's talking about. Any cause he's able, he's intelligent and can explain it in a way that you'll understand it. I think his passion for it's real, like she was really excited by and when you. Here's the other thing, it's almost like it's engineered to be that way and I don't want to get all fucking crazy tower seven on anybody, but if you look at the idea of school itself, why the fuck are they paying those teachers so little. I mean teachers, they have arguably the most important job in developing your child. Outside of you. It's you, the parent and then the teacher? Yeah, for sure. And how many teachers are just kind of barely getting by with a total ceiling on how much money that can make your right?

Speaker 4:          00:27:33       Because my, my science teacher was, he wasn't like being gay. He was a stressed out chain smoking, angry guy and bad shitty clothes because he couldn't afford anything else. This guys, life pressures are so huge. He can't be like jazzed about science. He's worried about getting kicked out of his apartment and whether he's get lung cancer from smoking, from chain smoking. If you did pay this guy twice what he was making, he'd be relaxed. He'd be motivated, he'd be into it. He could spend more time putting plated, you know, but if that's what you want to do, like if you want to be a teacher, they go, well you know how much you are going to get paid. Yeah, but why? It's one of those things where you're getting paid that much because people have decided you're getting paid that much. They decided to only allocate a certain amount of resources towards education, but meanwhile think about how much more money they spend on military.

Speaker 4:          00:28:25       Well, I was just going to say that there's no talk right now about increasing spending for schools. That's probably the most important thing we could do is make less losers schools better. It's the most. It is the most important thing, but is there an advantage to keeping some part of the population dumb man, that's the big fight. I don't think that's the big conspiracy theory, right, but I don't think it's a conspiracy. I think it is just a convenience. I think once people are in a community that's poor, there is no incentive for the wealthy people that are in government or running government to say, let's allocate a an inordinate amount of resources to try to rebuild these areas. They don't benefit from that or people with money. The only way you can get them to benefit from that. I saw that chance. The rapper donated a million dollars to Chicago public school system. Congratulations to that guy. That's a fucking awesome human being. He is a class Berlin. If you could donate a million, how much did you make kid? Hashtag balling. Yeah, man. I just think that it's. It's not necessarily a conspiracy as much as it's just easy to ignore now. The people who don't have political influence and the people making the decisions put their kids in school and they don't have to worry.

Speaker 3:          00:29:42       Exactly. You know, if everybody had to go to their local public school I, but things

Speaker 5:          00:29:46       change. Well, it's worse because you're, you're, you're making things less safe because you're creating more crime because you creating more disenfranchised people and you're creating more of a need to stay in your wealthy communities. Yeah. He know how it is. I mean, it is what it is, but it's um, it's something that there's no incentive to change. It's not like there's a giant amount of pressure to look at the same way we look at. We have to go to Afghanistan and make sure it doesn't fall apart. Maybe. Are you fucking Chicago's falling apart, man, like we're talking about. It's right there. What? You have to go to Afghanistan. We haven't done shit about Detroit. Detroit is completely full. There's a lot of fucked up spots in this country where there's dangerous. Was Flint still doesn't have good water, right? Yeah. Is that still going on in Flint, Michigan?

Speaker 3:          00:30:29       Worse now because they're cutting out the abolishing the clean water acts, so it's gonna get worse. What's going to happen? Look, we all are nervous about a lot of different things. My only focus is the environment and what's going on with that because that I care the most about and I don't like my kids to be sick. It's also something you can't pull back everything in reversing every emission cars. They're going to come to California who has the most advanced emissions controls and it's working. They're going to force California to lessen the emissions restrictions the way that the rest of the country is, and they're going to go back like 20 years. They're changing emissions there. You know what they're doing. They're not funding satellites that keep track of global, of a, of climate change. They're going to cut off the information so you don't complain when you're. When Miami's underwater, they're putting a waste back in in the waters. They're taking all the regulations off the head of the EPA is the guy who sued the shit out of the EPA, hates the EPA. They're tearing it all down. Can I ask you a question? Tom? Drilling for drilling for gas in yellowstone, you want to see that? This is where they're opening the door for all of this. Just. Yes. You can ask me a question. Are you a cook? What?

Speaker 5:          00:32:04       Do you know what that means? No. People who are anti trump when you are a. that's a cop. Yeah, yeah, yeah. No, my only focus is what's going to happen with you. It's also more like a demo. What is the official definition? Again? It used to be cuckold based on cuckold, which is who likes watching other men fuck his wife because there's a whole level of porn and then what's the official definition? Now? It was confusing to us, but sort of a political thing. It's sort of like pretending you're progressive when you're not new one. Oh, is a new one, and insulted reveals sexual insecurity, misogyny

Speaker 2:          00:32:40       and fear of those who use the term. Oh, that's so ridiculous. So ridiculous. Britain Gq magazine. What does cook me? Why are you being called one week feckless? Spineless, and decidedly pathetic. Specimen of manliness is a derivative of the turn. Okay, so that makes sense. Huckle anger. Why people? Why angry? White people love calling people. I agree with white men is Christ. It's a fun word to call. People prefer. It was insulting when you said it really felt like, say it on the news, you know, you're just like fuck, but it's with so it. Well, he's a cook. That's the problem. The newscasters be like, we'll be right back with the weather. They didn't even know what to say. You just stay right there and you can even say the word cuckold Coquille. He loves cuckold Erotica. You could probably say that on regular TV and they would not. They would not be able to do anything about it. Wow. That'd be stuck and you've just painted a ruthless image in their mind. Some poor sobbing man. Some fucking dude that looks like iron head is laying pipe to the lady. They take you off to the green room book. We know you can say, can you just not.

Speaker 2:          00:34:00       Those people need to stop all those people that tell you we know you can, but you shouldn't. Yeah. Don't say that word. Just junk you. Fuck you. And your magic words. What do you have child? There's certain words you can't say. That is another thing that has to go and it's being more and more highlighted by the Internet. It's why you're seeing in, in television shows, like if you watched the walking dead, you'll see a lot of random use of swears, you know, and you'll hear a random use of swears on other shows on cable, say shit during their TV sets. Yes. Shit is okay. We've, we've changed it, but you can't, you still can't say fuck if you, if you watch walking dead, they've, I don't think they ever say fuck, I'm pretty sure if they do know, I'm pretty sure they just say shit and asshole.

Speaker 2:          00:34:46       And they could say tits. And My last Cole Bear, which I did in December, ish, they said, uh, I couldn't say fly open one ball out. Hmm. I could say fly open one testicle out or I could say fly open everything out. But couldn't say one ball duct Stan hope came up with an idea. Um, when we were doing our version of the mantra that was a big fat failure. But a doug came up with this idea to do. I'm a game show where a dude had a box over his private areas and a light would go off whenever it was like, like your direction. So the light was red light. We control the light obviously. So it'd be like dwarves eating bananas. Light goes off, like guys

Speaker 5:          00:35:38       hairy as light goes off. And they told us Doug's name for the show was make me hard and they told us we couldn't have it called make me hard. We had to change it to make me stiff. Right. And we were like, what? Why? And they're like hard just too, it's just not the right word. We think make me step. And these, these two ladies that were talking to her that had nothing to do with comedy, like literally nothing. Like how is it stiff is actually more offensive. It's like, it sounds like a really a dumb person. He gets ready to take my fucking stiffy and yet discussing. So when we were, uh, when we're, when we're doing this, this light obviously we controlled. So we played this game show so we couldn't call it make me hard, which, how to change it to make me Steph.

Speaker 5:          00:36:25       We lost the argument. It was the stupidest fucking argument. And it was so indicative of how frustrating those shows can be. We have all these fucking chefs in the kitchen. I just think it'd be better if he was wearing blue underwear better. It would look better. Um, so he, um, the guy's lying there and we have this woman come out and she's got these big juicy tits and he's sucking on them and she's climbing on him and everybody's going, Ooh. And they put a whip cream on her tits and he's sucking the whipped cream, offer nipples and moves like heavy duty stuff. Then she pulls her pants down. She's got a Dick, right? Not only does she have a Dick, she has a dick that looks like it had been poisoned, you know, because she's a transvestite transsexual rather bubbly woman coming because like the estrogen, it was like kid killed the deck.

Speaker 5:          00:37:17       Oh No. It's like dark. And like it was like a crispy French fries. You get to Jerry's Deli like, Whoa, but that was okay. That was okay. Yeah, I mean we had a blur the deck, but that was okay. You just can't use the word hard. So weird. So stupid. So weird. Hard to bad word is hard to bad word. Fuck off. Testicle sounded worse than ball to me. One testicle out it. Testicle sounds. Look, what about that? It's kind of fun. Half sack half's heck out. Says Negus said fuck a few times in that scene where he was a bad scene. I guess that was censored version where he says like 23 times and uncensored version. I didn't see the real workers and so that was the scene that made me stop watching that show. It was like, that's it. What am I watching? I'm watching torture show. This isn't a fun show anymore. This isn't a show where people trying to get away from zombies. The zombies are inconsequential. You can like push them aside now used to eat horses, raw terror horse apart and right now you can just kind of trip them and push them. Devops, it's so stupid. Nobody gets killed by zombies. Everybody gets killed by each other. I was like, it's just so stupid. It's been on a long time. That's enough. Yeah. I wasn't enough. I think I watched one season. Yeah, I just can't. If it

Speaker 2:          00:38:36       was like 28 days later, zombies, I think it'd be way better. I think. Yeah, there's something about the fact these zombies are so fucking slow and they never seem to starve to death. Like explain to me how they're still going. They brains, but there's no one to eat. They're all zombies. The known each other, which is bizarre. It's fuck. What do you have like Zombie rules cannibalize each other. How come you fucks are running around looking for people that are moving and you're moving and you don't need each other. You have cloudy eyes. You could barely see. All people have to do is cover themselves with guts and blood and they pass as a Zombie and they walk around you. That's all I gotta do. Fuck out of here. Yeah, it makes me mad. It makes me mad. That's ridiculous. Making up their own Zombie ass rules.

Speaker 2:          00:39:24       Yeah. Fuck you. And your Zombie rule. Stick with the plan. See those 28 days later. Zombies. Those are the fast ones. The ones I liked. The ones that look like they're on rabies. Yeah. Just chase you. Those, those. Uh, I saw those in thousand oaks. You saw Zombie like that? Yeah. Like a whole. Her real one. Yeah. I think it was going on. I was just a. what's that? Was there a sale? There was black Friday sale. It was black Friday. Is that the worst thing that we do as. As a culture? It's A. Yeah. Trample over each other on the way through Walmart. Yeah. Who Does? Who Does? Who does that? Yeah. I don't do it. Do you do it? I don't do it, but a lot of people do it. What? People are good. I don't know. People on TV. My kids want to do it.

Speaker 2:          00:40:10       My kids don't let them do it. People not disgusting. Well, it's just ridiculous. Yeah, but you'd line up outside of a store and you save $10 or whatever the fuck you say. Crap. Yeah. How much you save? Who Cares? Why don't you make a nice little card instead of going to. You know what though? There's things that become things like somehow or another they just become events like I'm used to be devil's night in Detroit, which was the day before Halloween. Was Lighthouses on fire Devil's night. Yeah. It was arson night, wasn't it? Is that what it's called? Devil's night. See? See if you literally light people's homes with them in it. Well, I don't know. We had cabinets. Shirts happened. You'd throw eggs at the cops and a habit. It was called cabbage night the night before when I was a cabbage old Timey, New Jersey.

Speaker 2:          00:40:57       One time. There was cabbage in the fields. Angel's night. Um, it's an event designed to mitigate criminal acts associated with Devil's night in Detroit after brutal is Devil's night in 1994. Then new mayor Dennis. Archer. Promise city residents are. Will not be tolerated. Yeah, Devil's night is a scroll down to see this a. It didn't catch on though. Yeah. Well, the devil's night thing apparently was going on a lot. We would hear about it in high school. She really look at the flaming bags of canine feces in front of portraits. Always fun canine feces like shit. You can't even say who says feces you put talking to. It's A.

Speaker 5:          00:41:34       Well, if you said Shit, I would have never known what you were saying. So thank you for saying fishies. Is there something nice to using feces once in a while rather than shit? Yes. If a scientist doing talking to a scientist and he's like, well it's really important that we get feces samples of these animals to make sure that you don't want your. Or saying your doctor saying go shit in this cup. Amount of your collecting animal shit. Make sure we got a lot of them guys. I was. I was watching this show on the science channel last night and the science channel by the way is it's not all science thing. There's a lot of marketing. Get goofy, start selling you foes and they started to do these shows. Man, where they have a. there's a certain amount of experts, like there's a guy I really want to get him on.

