Speaker 1:          00:00:17       Jamie too hot in here. Turn the AC up. That bitch get it down to zero.
Speaker 2:          00:07:00       Normally we are not able to get oxygen then at that moment, inside the brain to equal the violence that violence, the lack of oxygen. And uh, I've learned to just to do that. So we tackled the problem and keep on able to perform in the extreme conditions even so through this technique of taking these enormous deep breaths, letting some of it out and then trying to refill and then letting some of it out, trying to refill, letting some of it out. And then you're forcing your body to your forcing your lungs to constantly carry air. Yes. Uh, uh, that it is, we use the youngsters to passage way, but it gets into the lymphatic system. It gets into the tissue. You know, what we just found with the university and in Germany they found out that the devices that showed that we have 100 percent blood saturation, oxygen in the blood is not 100 percent.

Speaker 2:          00:08:03       We go more. They found it out for the thought was 100 percent blood saturation. There's actually a higher level above that. Yes. And that's what I always sad, but now it says it's like proven. So what they thought was 100 percent blood saturation was just based on what people normally do with no extra techniques involved. Is that what it is? Absolutely. Based on that they made devices and then a 100 percent saturation in the blood is 100 percent and then you should be like sane. But now we've got this professor, a biochemical professor. Uh, uh, whatever his name, Mr. Ms Dot Keith. Doesn't matter. Professor miscut at East. Given the name. Fuck it. Yeah. Like mosquito. What a name. A professor.

Speaker 2:          00:08:55       Yeah. A professor, fly professor mosquito, this biochemical professor and he telled, uh, looking at the results, what you have produced with the university regarding to the immune system and influencing intuity autonomous nervous system. We can say, uh, you guys have found a way to tap into the tissue, into the lymphatic system and take away the acidity over there. And uh, and the storage capacity of the lymphatic system at that deeper level than the blood is actually a storage capacity to have chemistry. Uh, uh, which is wrong as taught up over there so it doesn't mess with a rest of the physiology to maintain functionality. So, but in time you got to deal with it. It's like garbage and at garbage we could not tap into that. And I'm so confused. So what is that garbage? The garbage is a wrong chemistry. You like be a, uh, an acidic state of chemistry in the lymphatic system as well.

Speaker 2:          00:10:06       Do they, do they know what that. I mean, have they isolated that as is on an actual compound? Can I tell you what it is that they are monitoring? Yes. It's actually a, that acidity chronically, they're not being dealt with. This professor, my biomedical professor tells us that a 95 percent of the auto immune diseases, of course, because of it, so 95 percent of autoimmune diseases are caused by some sort of acidity, long term, a long time presence of acidity not being dealt with. We'll deal with you in the end and deregulate, say the chemistry in the rest of the body. The biochemical processes actually does quite logic, logical, but we. And he knew he knew that, but then we came up with this. What is the cause of this acidity? Is it diabetes? Is a stress based? Is it all the above? Yes. Anything that is stress too much we can handle.

Speaker 2:          00:11:09       So Diet like inflammation, stress as far as pressure, life, any stress we are not able to deal with will be translated into chemistry. And as you are not dealing with it, it will be stored. That might stop you right here because for a lot of people that are listening to this, like, what the fuck is Joe Rogan doing on this podcast? What the hell does about you are very unique in that your claims are incredibly unusual but substantiated by science and this is not, um, is not woo science that this is real legitimate researchers have they injected you with what was it they injected you with, with an ICO, live bacteria and endotoxemia and endotoxin. And then they monitored your immune system and saw that you could actively force your immune system to fight off this injection. Very specifically within a quarter of our. And this is something they did not think was possible until you perform this.

Speaker 2:          00:12:12       Exactly. They saw that I was influencing intuity, so-called autonomous nervous system. And then for also for people that did not hear the first podcast you have achieved. I believe it's correct if I'm wrong. 20 six world records, six, including you have the longest time of holding your breath and swimming under a under ice ocean. Nice too, right? Yeah. So. Oh Shit. This is fucking incredibly cold water. We're saltwater freezes over, right? Yes. And you ran marathons basically in your underwear with in his shorts and they say beyond mit winter. Yeah. Beyond the desert. Without drinking. Yes. No Mater of training because I don't like running too much and I just do it. Just do it. It's like when your house is on fire, you run fast, right? You don't need to train them. Right. And so I know how to tap into this adrenaline, a system, the access it debris, brainstem to reptilian mode.

Speaker 2:          00:13:19       I've learned that. Well I have a lot of friends that have followed your course. Now my girlfriend denny, apparently it was just with you this past weekend in San Francisco, denny provost, he's a Brazilian jujitsu world champion, or a good friend of mine and a really interesting guy. He loves your stuff. And uh, he's, he's fascinated by it. I know a lot of other people that are fascinated by too, a lot of people that I know that it taking your course and trying your stuff since the last time you were on. So anybody who's listened to this podcast for the first time, you might want to go back and listen to the first one and we go into great detail about all the different accomplishments that you've made with your method, the Wim Hof breathing method. Um, so in case you're listening to this for the first time, you're like, why the fuck is this?

Speaker 2:          00:14:01       You know, that's that it is again, legit. It's a legit Alegent, uh, and a legit. And yeah, we are legends. Yes, a legendary because we go pause, perceive limits. We go past the fear and what we perceive as being possible. We go past that because we pioneered, we go past. I would feel created by our conditioning, whatever we think is possible, and we do not dare to go past that. Well, it's funny, the. I'm sorry I didn't ever really do, but it's funny that your teammate was Anthony Robbins because you hear the Anthony Robbins. Anthony Robbins loves to do those, uh, walking on fire things. But uh, lately it's been causing problems because people pause in the middle and take selfies and then they want to burn their feet. Silly

Speaker 3:          00:14:52       people. So silly. But uh, we had Michael Shermer on who's a noted skeptic and very, very intelligent man. And he explained what what it is, is that, you know, the coals are very poor conductor of heat. That's why you don't cook right on coals. You use metal. Metal's a great conductor of heat, but the metal over the coals, the metal gets heated up by the Kohl's. And that sears your food. You don't cook on Kohl's themselves because it doesn't really transmit heat that well. That's why you can, for 10 seconds or so, you can walk over and real quick and you don't really get that burned unless you pause for selfies.

Speaker 2:          00:15:26       Yes, yes, uh, I mean I go back to nature and then you see before we wore his shoes actually ridiculous things, but we invented them and now we think with a shiny shoes we have so much more beautiful. Right? But shoes do look good though. Choose to and they're colorful shoes and all that. Very nice but sometimes be more over because of all these devices, radiation, we get to, into the nervous system and we charged with negative ions and for that, you know, any electricity you need to ground if you've got big charts, so it accumulate in the body and therefore I suggest people walk sometimes just inside of nature now the all day, but the release, those negative ions are going to write something down because I keep forgetting it. Is that true though,

Speaker 3:          00:16:27       like as far as a negative ions and doing things to your body, have they ever found any correlation between the use of electronics and negative aspects?

Speaker 2:          00:16:39       I just feel to you. You think so? I always go by my intuition. I thinks at teacher won't approve it, but I feel a lot better doing this. I'm going to do to Kilimanjaro by the way, on a bad foot.

Speaker 3:          00:16:52       Oh yeah. Man likes a challenge. I have a friend of mine who went to Bolivia. He filmed, he has a television show called mediator. His name is Stephen [inaudible]. He's a professional hunter and he went to Bolivia and he lived with the Toumani for a couple weeks and he brought them shoes like, hey, you know, hey, try these shoes on that. They didn't want to have nothing to do with those shoes, like stupid things out of here because those people walk barefoot everywhere and their feet. He said their feet don't look at anybody's feet. He's like, they're all splayed out like their toes are splayed out and there's like a thick, thick padding underneath. You know, where they're basically have their own shoes, like the calluses and the bottom of their feet. Act as shoes.

Speaker 2:          00:17:34       That doesn't sound too attractive for me to. To have to attract abby, to have feed like a heart and know what I do is using my mind. So you don't want to have callouses on the bottom of your feet. From what? I got very soft baby feet. So you really. Yeah, yeah, yeah. My wife always does a self defeating man. So you are going to do this barefoot. Are you gonna wear shoes at least? No, no, no, no. Not paying like that. Your colleges to go once again, mind over matter. Well, what about frostbite? And I did the half marathon, barefoot. You did beyond the Polish circles in temperatures even far more below than the Kilimanjaro is. Is it? Do you think that's possible? There's any benefit from the fact that you're walking so much or running and then your body is heating up and maybe that has a positive effect on your skin.

Speaker 2:          00:18:38       Um, the thing is I'm very able to, uh, to go away and to tap into the hormonal system creating adrenaline. You know, this fact where people are sometimes refer to, they lift up and mother because the child is underneath that actually is the mind staring directly into the reptilian mode. The reptilian brain, which is the primitive brain and that you have direct access to pure adrenaline, makes you able to do almost inconceivable a feet and accomplish it. Only one tear right trigger. Now, because I have been so much into the cold, cold is cold, is a real force impact upon you, so you need to learn how to connect within with your mind and you're breathing into the brainstem, into this adrenaline, to withstand this force. The cold impact. I've learned it so you're tapping in your brain, you're causing your body to produce more adrenaline and you're focusing on the areas of your body that are contacting the snow, like you're focusing on the bottom of your feet.

Speaker 2:          00:19:52       Yes, yes. And it works. You know, I'm still able to look around now it's the sunset or the sunrise and and be. So there is a margin even there, right? We just need to go back to belief and unbelief. There in means the neurotransmitters and the neurons. Those are signals and say churches. So if you charge a, a buddy, then if you're able to influence up to DNA level, and we have proven this already, but the aisle six enter location connected to safe inflammation, we could not find it off, we could not suppressed decide to cast the flammatory markers and we showed very effectively not me, only a whole group of persons which are trained just four days

Speaker 4:          00:20:48       to be able to go into the DNA and create the right chemistry consciously by breathing and using the mind to fend off flammatory markers a caused by, say a bacteria inside. So we are actually able to tap into the deepest of ours, create a, have control over adrenaline's trestle and go up to not only in the deepest part of the brain but also in the DNA. And um, I, I got interesting thing. So let me ask you this. The last time I believe you, you've got a pile of notes. What is it about breathing? What is it about breathing or his breathing? Just one component of this. Is it breathing and also focusing on what you're trying to accomplish? Yeah, focus absolutely works. Let me explain a little about, uh, about breathing. Breathing is chemistry. Oxygen has chemistry in the body, so if y'all are able to access, energize the cells more than we do normally because we talked about the lymphatic system and the tissue, and actually the body's able to store up more oxygen than the 100 percent.

Speaker 4:          00:22:00       We presumed a, uh, possible. Scientifically, we are able to store up more oxygen. So Eva breathing technique, whatever breathing technique is able to store up more oxygen in the south, that means go into the tissue going into the lymphatic system. Then suddenly the, Eh, the chemistry becomes alkaline. The asset gets out of the body at will, and then the mind, the mind is positive, a little electrical charges, neurotransmitters, and they are suddenly able to connect in a buddy and you enabling you to have control, direct all the systems in the body. That's the way nature Amanda to be. So the mind a mind is conditioned to be effective in the body is making the body, uh, by breath, right, breathing profound breathing in an alkaline state. Then these electrical signals are able to travel through out and the way nature meant it to be is that we are able to direct any part of the body, so the immune system, endocrine system, the lymphatic system, vasculars older systems where we told a little bit last time, but I got more direct evidence now and right now we are working with the universities on the brain and say emotional reactivity and they see incredible things that we actually are able to get into those places where emotion exists and we think emotion.

Speaker 4:          00:23:40       Where is it, where is it, but at this translated also as something chemical so they can measure motion and the chemical form. Yes. What are they? What are they measuring it? They they go into say a, the hypothalamus, hypothalamus, hippocampus, Amygdala. Those are the places where this chemistry is going on and we had no way to get into that. Now, if you are able to access those parts and to pressurize with breathing techniques into those parts, then suddenly you feel you begin to cry. Why? Because the chemistry is changing. You are dealing with the chemistry which was stored up because she couldn't work it up before and now you're able to tap in there, change the chemistry, and that that's the function. Uh, you are not able to deal with it now. So later when you have peace and you are a somewhere no, not stressful, then work on it and breathing does it.

Speaker 4:          00:24:43       It brought into it positively influences the chemistry in the, in the depth of the brain. You know, what happens? You create 25 percent more blood flow and blood flow is with oxygen through, through your breathing. Yes. Well, it makes sense because your blood is being. It's carrying oxygen, right? So the more oxygen you provide your blood and you are definitely providing it more with these big long, deep breaths and these techniques that you, that you pursue. Yes, manipulating the spine, the central nervous system up to the tunnel of the light or the brain. Stem is a top. So if your pressure rise after inhaling, exhaling like we did last time, you did about three minutes, almost a without in the lungs. Very good. First round is very promising for the next rounds because you get more and more oxygen, it only to show that you are able to store up oxygen far more than you ever used before, so in case when you need it to regulate the chemistry inside the body, then it needs oxygen.

Speaker 4:          00:25:54       Then you we are all able with these breathing exercises to get it anywhere where the chemistry is messed up and a chemistry messed up, we'll send off a signal, but we are not emotionally not listening because we get a worries and we need to do the deadline and this and that so we are not a chemistry stays over there and will deregulate the system and then we become sick and we don't know what's happening. We go to the doctor and a psychiatrist because we become depressed and all, but we are very able to get into any place in the body and in this case, the brain where we do all these studies

Speaker 2:          00:26:44       now with the university. They say cognitive therapy just talking to each other in the psychology and psychotherapy. That's not enough. That was a conference with 200 experts and they did this breathing and then they say, oh, wow, yeah, talking a only as not enough, but if you do this breathing, then you really get into the brain. Now suddenly you get a sense of control because you're creating this extra circulation of blood, yes to together with oxygen, making it alkaline. Then suddenly the blockage is created because of wrong chemistry because of trauma or uh, uh, anxiety or grief. Then suddenly that chemistry is being dealt with and you get balanced. [inaudible] simple, and we keep it simple. Uh, and, and, and try to get this web of our thoughts thinking of so many difficulties and complications. What is emotion? What is fair? What is PTSD? What is trauma?

Speaker 2:          00:27:51       What is depression? We don't know where it is in the brain. Just get all the brain full of oxygen, get get to alkalinity up and you are able to steer by going through the spine, up in your head and do it all. Is that. Why do you believe? Is that why some studies have shown that rigorous exercise, particularly cardio like running a elliptical machines, things along those lines are just as good for depression as medication? Absolutely. Absolutely. It, it's dealing with the oxygen tension is forcing when you think those giant deep breaths you take when you're jogging or something. Yes, I do. When you do those things to you actually create the body to be effective with the oxygen, then suddenly different mechanisms are at work. Uh, more oxygen is coming in and the chemistry is balancing out a depression is caused by a wrong chemistry.

Speaker 2:          00:28:53       Creating inflammation. I, you know, I'm a regular exerciser, but sometimes I just get real busy and I, I take a couple of days off and sometimes I take couple of days off and I just don't feel right. Maybe. I mean I'm not a self indulgent person, but sometimes I'll just feel like, ah, God, I just feel kind of shitty today or whatever. And then I forced myself to exercise. I go, look, I'm going to get up an hour early or I want to do whatever I have to do and I'm going to, you know, before I go to bed, whatever it is, I'm going to make sure that the day will not end until I exercise and when I do all that goes away, the feelings go away. It's like have a new brain. It's like I leave there, I'm smiling and laughing, you know, it seems like everything is just beautiful again and that's you and it's. And I'm the same person, but it's also like my life has the same. Not that my life is bad in way. My life is fantastic.

Speaker 3:          00:29:42       It's not, it's all great stuff, but just being a person sometimes being a person is overwhelming. You're tired, you know you're, you have a lot of obligations, there's a lot on your plate. There's a lot of things going on and sometimes it's overwhelming. Sometimes you just feel down, you know, and I have a good life. It's a very fun life. If I didn't have a fun life and that happened, it would just be compounding all the other issues that I have now. Tack on that if I was overweight tack on that if I was on hooked on pills or I was an alcoholic or cigarette smoking or one of the other things that are really terrible for you that so many people suffer from, if all those things you don't think, uh, I think there's so many people that think of depression or bad states of mind as being just something that you are a hand that you're dealt and it's.

Speaker 3:          00:30:31       I don't, I don't necessarily think it's the case with everybody because I don't know how everybody's mind works, but I know certainly from my mind I can absolutely regulate those ups and downs based on rigorous exercise. And it doesn't have to be lifting weights or crossfit or Jujitsu or anything crazy. Just go walk up a hill, just go hike, just go, hike, go hike. You take those big deep breaths. You get to the top of that hill. You fucking feel great. Yeah, very good. So, uh, I, I can do that too. You know, you could do it, you do it in your underwear. Yeah, yeah, yeah. No, yeah. Go to the experiment and show that it is all possible. Even in the most extreme conditions. Now I'm at the knocking at the door, uh, of science and I feel I'm able to help. Well, science very much interested in what you're doing.

Speaker 3:          00:31:27       Yes they do. The scientific community embraced this, but I feel, hey man, I'm able actually to help a human men card. Well, it's so extraordinary that one person has this kind of influenced. I mean, I hope you realize what a service you're providing to people because you're bringing, bringing awareness. Well thank you, but I'm doing is just talking to someone who's awesome, but this, this thing that you've done, you would think that other people would have figured it out and that's what I find most fascinating about you. I would have thought that last time you were here. I mean, I just, it's hard to believe there are so few people that have done what you've done or figured out what you've, what you figured out, and then even more unusual, what you've done is you've gone to scientists and you said, hey, I think I'm onto something. Please study me. Like, please study what I'm doing. And you got people to listen to you by accomplishing all these incredible feats. They go, well, this guy, obviously he's doing something. I mean, who the fucking swim 100 yards under frozen ice in one breath. Who the fuck is running marathons barefoot above the polar circle? All this shit that you're doing it, it, it's, it's wonderful.

Speaker 4:          00:32:40       It's forcing people to acknowledge the fact that something extraordinary is going on. So it is. And you know, we got big problems and issues with people with PTSD, depression, trauma, fear, anxiety in general. It's all stress, stress hormone. And now using the, uh, uh, developing a method and finding it out because I was in this quest to go deeper within myself, finding, uh, uh, the, the cold as the right teacher to bring me into the depth of my physiology. Finally finding a way, the way nature meant me to be, to feel strong and in control of myself. I brought this now, Eh, to side. And now it is a matter of time that we will resolve what we have lost the connection with the depth of ourselves. And that means for people maybe not for you, because you are able to handle your mood and your physical strength and your health.

Speaker 4:          00:33:46       That's good. But for those who have ptsd, trauma, anxiety, fear, depression, our immune diseases, cancer, all these things I think nature knows. And I found these keys in a nature. I just bring it to the science and we forgot about the nature. And this is where I wear a couple of note. And, uh, I think, uh, you know, if we are able not only to show that the autonomous nervous system, the hormonal system, the immune system can be influenced deeply, that means hormone or system that is the Melatonin, Serotonin and dopamine and any feel good hormone within us and the ability to tap into that system and create those hormones when necessary. When you feel bad, you just go get a shot naturally by breathing unbelieving, have the right hormones and you feel great. Okay? And then you got the strength, which is also based on hormones, hormonal, hormonal, uh, secretions like adrenaline, epinephrine, cortisol, a dose, and we show people lying in bed as I taught last. That tap embed, embed, producing more adrenaline controlled stress or more than somebody going into a inferior, going into its first banking job. That means controlled stress hormone, adrenaline, adrenaline, which is controlled. Stress Hormone works like Madison. And either it brings you back to the way nature made us most effective in situations of danger. That could be cold, the extreme cold heat. It could be being credited by the light control,

Speaker 2:          00:35:38       like a werewolf or. Yes. Yeah. The real and I think in society moves even bigger than the one I saw you. What do you think is a big shocks you meet? You use an analogy, obviously you don't think that people really turned to wolves. He thinks, no, no, no, no, not really. Not really. Only in Hollywood and a lie can tropes and old. Very nice, very nice, very nice. I just, it a beautiful, a beautiful, beautiful piece of art and that, you know, that's the strength part and that you get to, uh, the health part, that immune system and all its layers. So let me ask you this, because adrenaline with fighting, uh, is, is considered to be a very dangerous thing to, to manage because there's a thing called the adrenaline dump that happens to a lot of fighters. So they get so worked up, they're so jazzed up before a fight and then they're in the fight and then somewhere around the first round the adrenaline goes away and they have this dump and they get exhausted.

Speaker 2:          00:36:50       Uh, that's, that's very interesting. It's called adrenaline dump and it happens, but I mean they're under extreme stressful situations in guys gas. How'd they get very tired very quickly and a lot of them talk about it. I couldn't believe how tired I got and it's attributed to adrenaline. Yes, but that then is no control over the adrenaline, so bright. So they allow it to run away from them. It's like that old expression. Do you remember the. There was a very famous custom motto. Expression customer was the guy who trained Mike Tyson. He said, fire can be your friend or it can be your enemy can cook your food or it can burn your house down. It depends on how you control it. It's all very interesting to defining modus of ours, which is related to the fight mode is fight, flight food, priests and fuck, that's the brainstem.

Speaker 2:          00:37:40       Yes. It's all the same energy. It's oldest. Hey, managing. Yeah. Procreation. Protect your children. Food. Primal, primal. The primal forces are directly related to adrenaline and we lost a control there over because we lost the deeper connection with, uh, with that system within our brain, the brainstem. And therefore we do not know how to handle danger anymore as such, danger is not only cold and a heat and oxygen deprivation as a, uh, situations like Mount Everest or something, but also daily stress. It's also things seeing things that carry with them extreme consequences or you get nervous and you get freaked out. Yeah, and I think that's for people that aren't in situations that are very stressful, very often

Speaker 3:          00:38:35       it becomes a huge issue and they oftentimes can't control their adrenaline. They can't control their anxiety, they can't control that. Even their own thoughts. They get tunnel vision. It's like they're in an elevator as the doors are closing shot and they can't see. You literally see it in fights. You see people panic and that panic does not allow them to be present, which does not allow them to perform at their very best. And they're almost, they're almost always severely diminished because of that adrenaline or because of that panic, I should say, not necessarily the adrenaline, but the, the loss of management, loss of loss of your ability to be sovereign. You know, you're not in control anymore. You're being carried away by a wave of fear.

Speaker 4:          00:39:23       Yes. Now I ideal with her sports people. He did a lot of work with allister over me and many more, many more. And I'm uh, in general when they do the breathing exercises and the cold exposure, deb has become just more energetic and they have a lot more connection with their own body, the creating confidence within themselves. And then they are able to build up this connection mind body and, and uh, they are cardio increases their tranquility.

Speaker 3:          00:40:00       Well, you had some great results with the Alastar let me tell you that because he was on a downward spiral

Speaker 4:          00:40:06       or you started working with us, kind of come to Kilimanjaro to, because I need to train them again. I think he lost track a little bit on the breathing exercises and he thought he was already there. I think that that's my opinion. And I talked to, uh, will, uh, we will go to the Kilimanjaro. I, I will say, listen, here, you have to breathe here. You will understand the significance of breeding and now to take a to lightly go back into yourself and do not think you are there, be there and the mountain. The mother nature will show you. It's not me. I just know to abide by the laws of Mother Nature and that's why I do these feet there and it makes me able to adapt very rapidly to changes in like a cold heat, oxygen deprivation situations, anything. It's there and a mother nature will teach them.

Speaker 4:          00:41:11       Why do you think that he stopped doing it? Like what? What gives you that indication? There's a certain moment people think I control, I can control it, I can do it and I'm in a positive spiral going up and it's all okay. Then they leave this connection and they fall back into old patterns. The old neurology, the old conditioning. So they require daily practice until it's really mastered. So it takes how many years it takes to condition your body. A really to, uh, to become really so good to be in, say, k one. And I'm a at the top. It takes years to build that up. But it's still there. He will compete with people who also conditioned their bodies, so it's a eagle thing going up and what makes the difference. That's the connection of your mind with your body, of your brainstem, with your conscious will and the body controlling the adrenaline, not only auto painter, friend, noradrenaline, dopamine, anything.

Speaker 4:          00:42:29       Now when you're watching someone like alister fight and he just fought for the UFC heavyweight title and came very close to winning a couple of times in that first round and wind up losing. What makes you think that breathing could have helped him in that? Because he almost won the fight. He almost knocked pay out. He almost caught him in a guillotine choke. I mean, and he had Steve Bay and a lot of trouble on two separate occasions than Steve Bay caught him and knocked him out. What makes you think that breathing would have helped him? Their breathing brings in oxygen. Oxygen makes buddy alkalotic the nervous system that that is a nervous system, goes better when it is alkaline. The swiftness of neurotransmitters, which is a neurotransmitter in the way makes the body react like Bruce Lee Taylor again, say the word again, I'll say till Hollinger as a teal collide.

Speaker 4:          00:43:28       Acetylcholine. Yes. Okay. And yes. What I do all the time with people or women who are not able to do pushups, I make them do the breathing, influence, muscle tissue, making it alkaline. So the neurotransmitter, the performance, newer terms, motors suddenly is able to keep on because it's not becoming acidic. When you say acidic and alkaline, what are you measuring? Are you measuring blood? Are you measuring muscle, muscle tissue? How are they doing? Uh, you can, uh, but with a simple ph strip, you can show yourself, say before e five a, and who's doing these tests as scientists, we're doing these tests. You. Yes, that's what we, we just completed the new studies were two for 48 people and it showed that all the people got to very, very high alkaline levels in the blood,

Speaker 2:          00:44:32       like seven point eight. What's normal at seven point three? Seven. Point four is natural. And then you go all the way up to seven point eight and then it comes back and it stays over there for all the day long and that's what you want. But most of the People Are Acidic if you pee on it. And then you will see with a Ph strip, yellow to blue and green in the middle. And all these variations, they say most of the people are just yellow in the morning and they do the breathing 20 minutes and they become blue. Boom. And that's why you want to have it. Because the neurotransmitters, the electrical signals in the body, they traveled a lot faster when it's alkaline. So you same punch will be faster if a disease alkaline. Then when Sam Seder. And actually it's a logical, if I'm going to train with us and become a headache at a certain moment, you know, I get to my limit that I not a pointing as fast.

Speaker 2:          00:45:36       Then when alkaline, it's all in the muscle and we are able to influence their right. So, um, he, he did, he, he wasn't too much in the breathing animal. That was a no, I saw it. I saw how you could tell, I imagined before I was in his room and uh, we did, uh, I tested him, hey, how is your breathing and how is your retention? Like what you did two and a half minutes to first round you remember that means you store up oxygen in the body and therefore you have no need for breathing and you just measuring that. So do you think any of them had to do with the stress of fighting for the first time title? Not. Well, he was over over to to confident. Really. You think he was too confident? Too confident. Why do you say that now? Because I saw her psych.

Speaker 2:          00:46:29       Yeah. But it didn't seem that way to me as a, as a trained observer, I felt he was dealing with a lot of anxiety because especially the way he was fighting, he was, I mean he literally was running at certain points and yeah, that's how I saw. I saw I was there. Yeah, I saw you there. The ring. I was somewhere on the stairs. So I know, I'm just saying like when I look at that and I look at the way he was performing, he wasn't performing the way he performed against junior dos Santos. Yes, exactly. Yeah. And that's because, and that's what I think with all the respect for him. I love him. He's a good guy, but he uh, his mother nature knows better and I know mother nature, so I saw he needs to get back to this breathing back thing, making it alkaline daren and keeping it on until the conditioning.

Speaker 2:          00:47:22       The old patterns go away. So you think he got tired? What do you think happened there? Yes, but what about him getting hit? Because he got. Yeah, I mean he went for a. anything you are not able to receive blows as, as good as a chemistry, which is low in Ph level is if you are acidic that then you are. I understand that to receive the steeper meal check, the UFC heavyweight champion is 250 pounds of meat. He's a scary dude and he hits very hard and he's very accurate and there's not a whole lot of people that he punches in the face that don't get knocked out and the way he was hitting allister, I have a hard time believing that anything would have saved him, whether it's breathing or anything. He was getting cracked. Again, one of the best fighters in the world.

Speaker 2:          00:48:09       Yes, of course. That's good. But I'm not into a increase in the performance of any sports when I do that at the side, but I want to draw to your attention for people who are suffering in the world. No, I understand that. But whatever I am, I just, I'm talking about this moment in specifically. Why did you think that his lack of breathing or whatever it had an effect on it. Did you feel like he got tired too quickly? Did you notice him diminishing his energy levels? Dropping? Like what? What did you seen that made you believe that he was not doing the breathing practice? It's not only have that day, uh, [inaudible], it's a whole process, right? So if y'all are at a top like that at the most of, uh, they're fighting a level to have this world, then you got to work your body, you got to condition your body and that you do with the ride breathing exercises along with the fighting and the air conditioning and the muscle training at all.

