Speaker 1:          00:00:01       Here we go, four, three, two, one.
Speaker 2:          00:06:44       Uh, you were, we were having a round table about something different and somebody said, well, we know that the ketogenic diet in prayers exercise performance and endurance athletes. And I said, I don't think that's necessarily true of the, it's pretty ambivalent or ambiguous as to whether or not it does. It seems to be kind of individual. But on the whole, on the average, it doesn't seem to impair exercise performance. So it's kind of what you like. But when you have people who, you know, like, like a Gary Taubes, who says, well, calories don't matter. It's all carbohydrates, that sort of thing of the carbohydrate, insulin model of obesity. I mean the research is you're able to do a lot of hand waving about insulin and when you burn so much fat, when you're on a high fat diet, which is true by the way you, you burn a lot of fat, but what they don't talk about is that it's it's overall fat balance, how much fat you store versus how much fat you burn, and when you're on a high fat diet, you store a lot of fat, you also burn a lot of fat.

Speaker 2:          00:07:42       The overall caloric balance is what determines whether or not you will have net storage or net deposition in St Louis for high carb Diet as well. You know this idea that with high insulin it just completely shuts down all fat burning everywhere that that's just not true. Now if you have high carbohydrate, you will burn less fat, but you're also storing less fat as well, and again, the net caloric balance is going to be what determines how much you store because you don't really store carbohydrates as fat. For most people, they did a study, a overfeeding women where they overfed them 50 percent above their caloric maintenance and they found that of 282 grams of fat that they stored during the day and adipose. Only four grams came from carbohydrate. Two hundred and 78 came from fat,

Speaker 3:          00:08:26       so glucose. What about fructose? Fructose causes we think you know, nonalcoholic fatty liver disease, so that could be, you know, Denovo Denovo lipogenesis is higher with fructose and you're thinking about people consuming it in a liquid, drinks a 100 to 200 grams a day, which is not uncommon even for my wife, not uncommon,

Speaker 2:          00:08:46       so fructose does seem to have a little bit of different hepatic metabolism, but I was actually across the hall from a professor who was doing a lot of the research on fructose and obesity and fatty liver disease and even he came to the conclusion that if you overfeed fruit dose and it creates a caloric surplus and you're overfeeding for dose, then you can have some wonky stuff start to go on relative to other macros. Die. Try to keep this, try to keep this right next to your face. Got It. Cause that's what she said is so powerful. I talk loud and a lot. It's good. Um, so if you're, if you're doing that, if you're creating that caloric surplus, what you find is when you're in net storage, when you're driving more nutrients into adipose and sometimes liver depending on metabolism, but it takes, it takes a lot of fructose to do that.

Speaker 2:          00:09:38       And a caloric surplus, you start to create a lot of wonky stuff going on. The Mitochondria starts to become dysfunctional and people make a big deal about, oh, well you have, we have claimed now that everything causes, uh, obesity and type two diabetes. For, for first it was fats, carbohydrates, and there's actually a professors out there who actually will claim the protein gives you diabetes. And it's type something for a second. What I mean, the Mitochondria becomes dysfunctional. How does the Mitochondrial, how does that happen? Okay, so I'm going to state for everybody that I'm going out on a limb. This is my opinion. Okay? If you look at the research on obesity and diabetes, what happens is you have everything start to elevate in the bloodstream, so if you measure like there was a professor who thought that branch chain amino acids were causing obesity because they were elevated in the blood stream during or sorry, during type two diabetes, well yeah, branched chain amino acids are elevated, so fatty acids, so triacylglycerides, so as glucose, so is it really those things causing it or is it possible that when you are overfeeding relative to what you burn relative to that turnover, that Mitochondria start to become dysfunctional?

Speaker 2:          00:10:54       Probably a lot due to inactivity and the Mitochondria is, as we call it, the powerhouse of the cell. As you probably learned in high school biology or whatever they taught it to you as that is where everything fluxes through. So that is where you're creating ATP. That's where you're burning through lipids, carbohydrates, that sort of thing. If that becomes dysfunctional and you're not getting in a flux enough pull through that Mitochondria, what happens is you start to back up every part of metabolism, so all the metabolic byproducts, almost all of them inhibit everything within the cell. There's a metabolomic signature for that and Epi phenomenon, if you want to call it that would be elevated branched chain amino acids because the consequence of that and some people, so these things start these byproducts, these metabolic byproducts, because you're not flexing enough through the cell. They start accumulating within the cell and start to inhibit the krebs cycle glycolysis and so everything starts backing up to the point where you also start inhibiting the insulin receptor and now you have glucose, fatty acids and amino acids.

Speaker 2:          00:11:58       Also backing up to the point where they start to overspill into the bloodstream and you see these, this accumulation of all of them in the bloodstream in type two diabetes. And I actually think that again, me going out on a limb that obesity doesn't cause type two diabetes and type two diabetes doesn't cause obesity. That they develop in concert from the same problem, which is overfeeding under activity, so a lot of it is about how much nutrients you're fluxing into cells versus how much energy you're creating. Fluxing them through the cell on out, so when you're overfeeding, whether it be carbohydrate, fat, your fluxing more energy in than you can dispose of, and now you have to do something with it. Well, when you run out of, when you do that much to it and Mitochondria start to become dysfunctional, dysfunctional, you start to not have enough places to put it away and it starts spilling into the bloodstream and now you cause all kinds of problems.

Speaker 2:          00:12:56       So one of the things that we really wanted to talk about here is high carb versus low carb because this is a just a giant point of contention today. Nutrition, especially in terms of athletes with performance in mind. That's a big factor. Whether or not high carb or low carb is the way to go. And there's a lot of zealots on both sides and there's a lot of bullshit and there's a lot of online experts. And one of the great thing about bringing you two guys in here is because you could really actually explained the science behind it. Now you've been great lane at pointing out that there's, it's not a magic bullet and you know, and so many people like to sort of stress it that way, that they, they like to portray ketogenic diet is this, is it, this is the end all, be all.

Speaker 2:          00:13:41       I figured out what to do. This is the way everyone should be eating. You don't think so? I don't think so, because if you look at the weight loss problem in our society, uh, and I'm, I'm writing a book called fat loss forever. When I talk about this in detail, we don't have a weight loss problem. Six out of every seven people were able to lose a significant amount of body weight in their life who are obese or overweight. The problem is the weight regained statistics are absolutely terrifying. Uh, within one year, 70 percent will put it all back on. Within two years it's 85 percent. Within three years it's 95 percent. So that means diets have a 95 percent failure rate and of those people, one third to two thirds will add more than they originally lost and this gets kind of into Yoyo dieting and I talked about that as well.

Speaker 2:          00:14:29       But the real problem is that people don't stick to pick something that's sustainable for them all the recert, if there's one bit of research out there that, that we have that shows how to create lasting weight loss. And you look at the people who were the five percent who actually keep it off, uh, it's that they pick something that's sustainable, whether it be key to genic, whether it be low carb, high or low fat, whatever it is, Vegan something that they can sustain and make a lifestyle. If, because if you look at Meta analyses for our listeners, med analyses are, are kind of a study of studies. So they take researchers take studies that have similar parameters and they kind of lumped them together and they look at, okay, what's the consensus amongst these studies? And they have advanced statistics. They used to run this. If you look at low carb versus low fat, there's no difference in adherence overall on the whole there's no difference and there's no difference in weight loss, there's no difference in blood lipids, even glycaemic control. So there was a study where they met analysis of, I think it was 23 studies, over 3000 people where they looked at, okay, if you control calories, so calories are equated, does low carb versus low fat make a difference on weight loss, glycemic control, those sorts of things.

Speaker 3:          00:15:53       The key to genic diet. So by definition we have an objective biomarker that defines the ketogenic diet is the only diet that actually has something that you can measure in your blood that say you're on this diet and when your ketone levels are elevated, that confers many different benefits, uh, that I believe can enhance adherence to the Diet. Before we get into the woods here, I want to clarify one thing, the difference between someone being on a diet and being able to sustain it and not being able to stand in gaining all that weight back.

Speaker 2:          00:16:24       Isn't that a discipline issue? Well, partly, but we kind of had to start looking at, okay, if we, if we go in, let me read, let me read circle. We have to find what requires the least amount of discipline for somebody to stick to. Because discipline is, is while some people have more, some people have less. Um, it is a finite resource. So when do we normally find that people like kind of drop off whatever they're doing. It's when they're stressed out, work, stressing them out, they're going through a divorce, those kinds of things, right? That's where are our discipline kind of wanes because we're trying to be so disciplined for this other thing and it's draining us. So what happens with, with diet is in people who are busy, people who have a lot of stress in their life, that's where they really start overeating.

Speaker 2:          00:17:16       So we have to find something that I look at it. Let's find something that requires the minimal amount of, of discipline for a person so that when your life goes to absolute shit, you can still stick to it. And so for some people that is a very, very individual thing and they see this in the dietary studies that what works for one person to create a deficit and sustainable isn't the same way for another person. And Dom even commented on this about his wife Chella, she does much better on a higher ratio of carbohydrates to fats.

Speaker 3:          00:17:49       Yeah, I mean, early

Speaker 2:          00:17:50       on it was obvious that she wasn't going to change her diet at the time that we met like 10 years ago, most we, I was really getting into this and I really felt that for me at least, uh, but she would stop at checkers and get a burger with a sugary drink it. And she's tremendously carbon tolerance. She was very skinny as a kid and she tolerated a carbohydrate. She's very carbohydrate tolerance. Did I say intolerant? Okay. Uh, yeah. So, and, and you know, if the Diet low carb I feel, and maybe in key to genic, putting it in under that umbrella works, I think for up to 25 to 30 percent of people, uh, especially at their carbohydrate intolerant. And I believe that it does that by virtue of elevating Ketones, shifting your, uh, the neuropharmacology of the brain, for example, it works through Grelin, it works through, there's new science emerging right now showing that appetite regulation is influenced a positively by a nutritional ketosis in ways that were just starting to learn.

Speaker 2:          00:18:55       Now what? You can certainly feel it. It's one of the things about the ketogenetic diet. When you're in that state, all of a sudden you're just not hungry to say there's not a, an overwhelming need for food. Yeah, I'm, I haven't had anything to eat today. I mean, when I was eating massive plates of Pasta Twenty five years ago and I went to this this long without food, I would start getting shaky. I would, I would have a hypoglycemic response. And I'm completely resilient to that. And that has major implications for military personnel being keto adapted, not just for performance, preventing seizures. I think for a cognitive function too. But you, uh, it's very liberating. So meal frequency is not an issue. So if you're in austere environments where you have limited food availability, that becomes a major issue. And if you're working as a scientist and you can't, you know, you're working with animals, you're doing experiments, you don't have time to eat.

Speaker 2:          00:19:48       I need to maintain that cognitive function. I needed to be sharp, you know, with limited boot. So it worked very good for me throughout my professorship, you know, getting tenure and things like that where I could just put more time and energy into my work without having to stop, prepare a meal, eat a meal, clean up. Like I think I wasted a lot of time doing that when I was eating five to six meals a day. He said something that I think you've called bullshit on before the phrase carb intolerant. So yeah. So that was actually going to be one of the things that could say, hey, we have something we can disagree about. Carb tolerance, carb, carb. Would you would say how we define that? Yes. Yes. So if you have to find it by a blood marker, your glucose response to a meal.

Speaker 2:          00:20:30       Okay. So a couple of things. I want to come right out and frame this whole discussion real quick. So we both agree that in terms of weight loss and body composition, that your total calorie intake per day is the most important thing, correct? Yes. I believe the key to genic strategy is a way to regulate that, right? So with, with carbon tolerance, if, if you look at the benefits of like on blood glucose, blood lipids, it is almost 90 to 95 percent explained by weight loss. So you can take people put them on a high carb, very low fat diet, their blood glucose in their blood, lipids will drop, eat even with like higher insulin levels than people who are in a a low carb diet if they're on a calorie restricted calorie restricted. Now again, that that becomes a very individual thing. I, you know, if somebody says, hey, I like a ketogenic diet because for me it helps me to create a calorie deficit.

Speaker 2:          00:21:28       I can stick to it, hey, knock yourself out. That is no problem. But that is not always gonna work. Some people don't feel that satiated on a ketogenic diet. There are people who do feel hungrier on that. So that is a very individual response. And again, when we look at studies we're looking at means, right? So we're talking about averages and there are outliers, like if you look at any Gaussian distribution chart, which is kind of how populations distributed based on a certain treatment, you have about 60 to 70 percent that fall into the, the average. Then you have another, you know, 10, 20 percent that are kind of do a little bit better one way versus the other. And then you have five percent on either end that are, sorry, two and a half percent on either end that are outliers. Right? So just to frame this again, let's take weightlifting.

Speaker 2:          00:22:13       We know weightlifting makes you bigger and stronger, right? Like that is not up for debate. We agree on that. There are studies that have shown that some people who are beginners, where you should be gaining a lot of muscle very quickly, uh, some people will go from the first time they walk into the gym Squat Ninety Five, 12 weeks, they're, they're squatting 400 pounds. Some people don't get stronger. They've actually been. Studies were over 12 weeks. There is a few individuals who did not get stronger, so those are your outliers right there. So if we circle this back to Ketogenic Diet, I'm not sitting here and saying that somebody may actually physiologically do better on a ketogenic diet versus a a, a lower fat diet. That's a very individual response, but when we start making recommendations for people, what we should start with is okay created calorie deficit that allows you to lose some weight because if we look at the studies and we look at if we equate for protein, because that's a big thing.

Speaker 2:          00:23:05       So if you look at some of the studies were Volec did where he compared like, uh, you're kind of food guide pyramid type diet to a ketogenic diet. The ketogenic diets were a little bit higher protein. That protein has a thermogenic effect and also an appetite suppression effect when you equate for those. And there's been 32 studies, there was a recent med analysis done of 32 studies and acquainted for calories and protein. Absolutely no difference in fat loss when you equate for those two calories and protein because protein is a big one because protein has a big benefit on thermogenesis and weight loss. Also a lean body, mass retention, which is huge because one of the reasons people regain weight is because when they lose weight, they tend to lose fat and muscle and when they regain it, it's almost all fat in the initial phase as far as

Speaker 3:          00:23:54       and may not have included data with the key to genic diet. So I know, you know, when I did the die, I've seen a lot of blood work, so for example, my hemoglobin h, one c, triglycerides, hs, crp goes down, insulin goes down, blood pressure goes down, and that, that all those, all those changes happened without my bodyweight changing. So that would kind of argue against that. You needed to catch us deficit. Uh, and I've seen it many times, but once you could, I could be eating 80 to 90 percent carbs and reduced my body weight and get changes in all that I could actually increase my carbs. And if I create a calorie deficit, you know, my hemoglobin h, one c will go down, my sugar will go down and things like that. So that is really the draw that's like, that trumps everything, that calorie deficit, so that that's an important thing.

Speaker 2:          00:24:42       So that's what. And that's what I think a lot of people miss. Okay. I think that that, what I'll say is. Sorry, I'm just saying like, I think

Speaker 3:          00:24:51       it's very powerful too that these changes that I just mentioned can occur without a will, without changing your body weight. So they are just, you know, you're fundamentally changing your metabolism when you do that from car. And that has pretty wide ranging implications.

Speaker 2:          00:25:07       So I think that what I'm going to say is that if you, if we're going to talk about people getting healthier, the first thing we need to start with is let's not lose 50 percent are going about five percent, right? So if I tell somebody, hey, find a diet, you can stick to that sustainable. And if you can lose 10 percent, you can lose 10 percent of your body weight. Even for obese people, they get almost all the health benefits in the first 10 percent now. Now maybe some people like you or people who respond really well to a ketogenic diet, I'm not, again, there's outliers or people on the other sides of the Gaussian curve. If you do a little bit better on there then great, but if you find a ketogenic diet is completely unsustainable for you and you're not, you're not able to stick to it, but you're trying to do it because you're trying to get a little bit better blood glucose regulation.

Speaker 2:          00:25:55       You're, you're, you know, you're kind of shooting yourself in the foot because if you could stick to it, like let's say for the individual, a higher carb diet was easier for them to stick to. They could lose weight on that. Then that's the bulk of their health benefits they're going to get from it. I'm having a hard time with these terms easier because I don't know exactly why it would be easier, wouldn't be easier and I always wonder again, is this a discipline issue because that's your experience. Yeah, it comes down for this, for sure. My

Speaker 3:          00:26:24       preference, but I believe that by when you follow low carb, not even ketogenic diet, the variability of the fluctuations in your insulin and Blood Glucose, the Postprandial dip in blood glucose that you get after it, that's virtually abolished or significantly attenuated and then you have a, you know, ketones are working through Grelin for example. You could just, you could eat a normal diet and drink ketones and it's actually suppressing your appetite through Grelin. So we know that these changes or reductions in and you're saying, yeah, okay, so um, so these changes are happening, but they're, my sister for example, you know, follow the Ketogenic Diet and found it easy to follow. But she gained weight because she was eating all these fat bombs that she was making. So she far and a lot of people don't necessarily need a nutritionist to tell them what to do, but they needed like a nutritional psychotherapist or something, you know, their, their relationship with food is really.

Speaker 3:          00:27:25       And I think that's what lane has a firm grasp on. There's no substitute for experience. And Lane has worked with so many different clients and knows that, you know, you could probably follow the cue j dot your listeners are probably fans of die. I can do it. I love fatty food, you know, a high fat food look our food. But generally speaking it's, you know, you have to approach it from the perspective of sort of eating behavior. And I think that that's really. People want to go off the Diet. It's just a natural human trait.

Speaker 4:          00:27:53       Yeah, it's a weird psychological trait, right? You just want to cheat. You want to just stuff your face with cupcakes every now and then. And then you just feel like it's too much torture to keep yourself on this narrow path of high fat, low carb, moderate protein. But you know,

Speaker 3:          00:28:08       years ago, 10 years ago that was the case. But now there is key to genic brownies or cookies. There's many different food companies like shirt

Speaker 4:          00:28:17       got chicken. I've tried, I tried so hard. Go to Quito. I have a real one and a kito cookie and then fucking real fucking gets eaten every time. Yeah, well they, they are evolving. Just, you know, food technology and evolving some of them, no foods, make some good stuff. Go to go to Quito, nutrition.org. And there's some things there that I would say about 10 or 20

Speaker 3:          00:28:40       percent passed the test, meaning that they taste okay and they actually do what they say they actually elevate ketones or you know, don't call it the glycine

Speaker 4:          00:28:49       on some of those Keto Kookies seem like they have no foundation. Like you bite in the Galway, like as you're eating them, it's like they dissolve. Do you have like a good toll house cookie, a good real chocolate chip cookie and you bite into that soccer, you know, it's bad for you. But God damn it feels good while it's being tried. The quest protein cookies. Yes. They're pretty good. Yeah. Pretty good. Pretty good. Yeah. They can't fuck with real cookies. Yeah. Well I dip. I dip them in, in like sour cream, right? And then I eat them or coconut cream so that then it becomes good to just get a commitment to a life that you bring that up. Interesting though. Um, if you look at people that think they're addicted to sugar, that sugar is a lot. If you look at things like cookies and cakes and it's actually they have more calories from fats than they do sugars. It's sugar and fat together

Speaker 2:          00:29:42       is hyper palatable. But so we know one of the things I was going to bring up as, um, you know, this idea that the sugar is so inherently bad and you said that the cookie, you know, we view that as an inherently bad thing. But what if I told you that a certain people, not everybody, everybody's different, but there are certain people who, if you tell them, hey, you can have that cookie every once in a while if you track it, work it into your macronutrient intake, that that's fine, that, that actually improve their adherence to diet. So because you give them a reward, no, not a reward system. You're not a dog, don't reward yourself with food because, because increased flexibility, uh, actually usually improves adherence. So we see this actually with training to a athletes are when you do a flexible training model where they have to get in a certain amount of training, but they kind of can pick and choose yourself, which days are hard and which days are a little bit they actually do better.

Speaker 2:          00:30:34       Diet is very similar to that. So now you always have to sacrifice something in order to, uh, if you want to lose weight, right? So if you're doing a ketogenic diet, what you're sacrificing is saying, well I like the spontaneous reductions in appetite, so I don't mind eating these foods so I can get that if you're doing like kind of what, I don't want to say I popularized it, but myself and some other people on the message boards popularized something called flexible dieting where you can eat essentially whatever you want as long as you hit your protein, carbohydrate and fat targets. Now what you're sacrificing is okay. You're tracking every day. Do you do that through an APP? Through what? An APP? Uh, no, I'm old school. I actually just do it through excel. I've my girlfriend holly, she has an app on her phone and she, she has me like if she's driving, said, oh well you put in what I just ate.

Speaker 2:          00:31:23       I'm like, Babe, I don't even know. I have no idea how to work this thing. You know? So because when I went to do my graduate studies, I mean I wanted to find magic foods. I wanted to find something that would say, how else can you make a living? You have to set yourself apart. I mean if I'm over here saying it's hard for me to sell what I, what I do, because I'm saying, well, everything in moderation and you got to be diligent and you got to have these behaviors and that doesn't sound sexy when there's another guy over here saying, now bro, it's just carbs. I know what tablet isms complicated and everything, but it's just carbs. You know, when I started working with people and I've worked with over 1500 people coaching and nutrition online over the past 13 years, which actually probably taught me more than my, my phd did. Um, what I found was, is that people were so different individually in terms of what, what made them tick, you know, now I feel like I should probably go back and get some kind of interesting to biologically what makes them tick or a psychological, both, both, so I can't sit here and say by the research that that carbohydrate versus fat makes a difference on fat loss. But what I can tell you is that some people just seem to do better on lower carb, higher fat. But also some people I with just seem to

Speaker 4:          00:32:39       do better with higher carb, lower fat. Now, whether that's a psychological thing or a physiological thing, it's hard to tease out medically to. I think we all have different snips, you know, that, you know, some people have suppressed fatty acid oxidation pathways, other are like screaming fast metabolizers, you know, or fat or sugar metabolizers. Yeah. So, but if you look at, like I remember I had a conversation with, um, with the, the researcher Dr Nakamura at Illinois who was doing some of that fructose stuff when I was, when I was a first year Grad student. I said, well, it's this, this high fructose corn syrup, this is what's causing obesity. Right? And he's like, well, it's easy to over consume. You know, like if you take a soda and you drink it, you're not less hungry than you were. Stopped, very satiating. He said, but if you're, if you're controlling your calories, it doesn't seem to be more lysogenic than comparable carbohydrate.

Speaker 4:          00:33:33       And I remember thinking, well, that can't be right. All these people say that high fructose corn syrup, it was like the worst thing in the world for you. There was, there was a few studies that really changed my opinion on sugar. Now the listeners are going to hear this and think that I'm advocating for sugar. I'm not, not talking about in the context of a calorie surplus, a surplus than the ovary can, which kind of explains the state of the United States, you know, uh, partly partly. So if you look at sugar intake, there's. So this Kinda gets back to the carbohydrate, insulin obesity model. Uh, if you look at sugar intake over the last 50 years, 100 years, it went up very steadily with obesity until around the mid nineties and then it took a sharp dip while obesity continued to climb. And again, that's just correlation data.

Speaker 4:          00:34:20       But if you do look at the overall calorie intake versus obesity rates, it's like an r squared of like point nine four, which is really, he really sugar include high fructose corn syrup. Is that lumped into. So this was added sugars, this was added sugars, but there was a study done by a metabolic ward studies. So again, I'm gonna stop you there. Are you saying that this is added sugars, not high fructose fructose corn syrup. So when you talk about the graph of consumption, that sugar dropped off, but high fructose corn syrup did not. Is that our, because that took over many of the products. So it's an increase in obesity, but a decrease in sugar consumption. But you're not saying a decrease in high fructose corn syrup consumption. So I don't know that I'd have to look that up. So here, here's, here's me being a scientist in saying the three magic words, I don't know that one of the last conferences I went to showed that like the rise over the last 10 to 15 years like skyrocketing, like high fructose corn syrup and sugar was taken out. High Fructose Corn Syrup is subsidized but farmers a lot cheaper and more. Would you agree that it's essentially your body way? Processes is essentially the same sugar versus high fructose corn syrup cows the calorie. Well, so sugar, sucrose is 50 percent glucose. Fifty percent fructose, high fructose corn syrup is 55 percent fructose,

Speaker 2:          00:35:38       45 percent glucose. But if you're saying that that five percent is what's creating obesity, eh? Now again, psychologically, some people just down sodas like it's their job, you know? And if you're doing that, especially as children, that's a big, big no, no, he kissed the Mexican kind with the cane sugar kids now with high with nonalcoholic fatty liver disease and that did not exist. But I would say that we've got a little kid like kids from corn syrup. I think it's due to an excess surplus calories and those surplus calories being high fructose corn syrup. So if you're, if you're used to eating a certain amount of calories and you may, and we back when we were actually maintaining your weight back in the, before the sixties, we were reading about 2100 calories a day. That was the average. Uh, and now it's like 2,800 is the average consumption.

Speaker 2:          00:36:25       The United States amongst adults. Um, I think I eat a lot more than that, but, but you trained but you train and you have a higher lean body mass. So that's, that's, that's fine. Now some people, yeah, we, that's a whole other rabbit hole. Um, the, if you, if you start adding sodas in which aren't satiating at all, they don't positively affect your hunger hormones. Uh, but you continue your same normal food intake. Boom. I mean, you can start to store, right? Yeah. So, but I can't tell somebody, hey, there's no way you can lose weight and drink a soda because that's not true. Um, there was a study done by a servlet and they looked at high-glycemic a diet versus low glycemic, and I mean extreme. They did a, one group had over 100 grams of sugar a day. Another group had a 10 grams or less per day are sorry, it was 11 grams or less per day and they looked at the differences in weight loss, blood lipids, all that kind of stuff.

Speaker 2:          00:37:21       Did that everyday for carbohydrates. So the group that ate 10 grams of sugar or less a day to day eat the same amount of total carbohydrates, same amount of total carbs. Okay. So low-glycemic versus high-glycemic processed carbs can spike your glucose more than sugar. Right? So they did have a fire at higher fiber intake. But what the. Well, they did find that they had a higher insulin responses to the meal. The high sugar group did, but no differences in weight loss. So they, both, both groups lost weight. Uh, the only real difference was the, the, the lower glycemic group had a little bit better. Both groups improved, improved cholesterol. The lower glycemic group had just a little bit better improvement probably because they were eating higher fiber, which can bind cholesterol and you excrete it. I would like to see what happened if they equated.

Speaker 2:          00:38:06       So again, it's, it's creating that calorie deficit. Both groups lost weight. Now is it more difficult to create a calorie deficit if you're eating a lot of sugar? Yes. Okay. So I always tell people your diet is like a budget if you're practicing something like flexible dieting. Right? So if I've got somebody like myself who has above average muscle mass, hopefully I can say that people on the Internet probably going to do is wear a shirt with his name on it. So. Okay, I'll say it. You have above average muscle mass. Thank you. You're welcome. So, so if you have above average last semester, you train hard, you have a faster metabolism naturally. I mean I've seen people who could maintain their body weight on six, 7,000 calories a day. You have a higher metabolic rate, you have a really big budget. So if you make $100,000,000 a year, is it a big deal for you to go out and buy a $500,000 sports car if you can still pay your mortgage and pay all the other requirements that you have? No, it's fine. But if you make 80 grand a year, should you go out and buy a $500,000 sports car? Probably not. Right? And if you make 30 you should be on Nikita. Done.

