Speaker 1:          00:00:00       Do we have enough left for tomorrow? We don't have tomorrow. I'll bring the sweet

Speaker 3:          00:03:00       There's not a lot of guys like you out there, which is really interesting. It's like you're a fast thinking, fast talking. Very smart young guy who's also a conservative, like there's not a lot of those out there. And this is one of the things that we're encountering today is there, especially in college campuses, there's this very strange separation between the left and the right to the point where the right is like almost nonexistent or at least doesn't have any representation and they're actively shunning that representation. Like they're pushing people out. I know what's going on with you in Berkeley. Has that been written seven resolved?

Speaker 4:          00:03:35       Yeah, I think that uh, so, so Berkeley, after the publicity they said they're going to explain to people if they don't know the whole story. Yes. So UC Berkeley, if you recall, last year, I actually spoke there before any of this happened. I spoke to UC Berkeley and April 2016 and then Milo was supposed to speak there and he actually went there and there was a riot where antifa infiltrated the student community and there are all these pictures of them bombing things and blowing up cars and then understanding them in a fire at least in and throwing things at windows. And so Berkeley shut down that event for safety reasons. Then Ann Coulter wanted to speak there and they basically used what they called time, place and manner restrictions to stop her. They kept saying, well we have safety problems, we can't figure out how to do the event. And in the end they just canceled it because they didn't have security.

Speaker 4:          00:04:14       And then young Americans foundation which sponsors me to go to a lot of these campuses, they. So we want Shapiro to come and again I spoke to like a year and a half ago and they give them two and a half months advance and Berkeley said, well we have no venues available and so this seemed to be another cover for. We're not going to allow a conservative on campus because their security problems. So we made that public and then Berkeley said, no, no, no, no, we'll, we'll, we'll make, we'll make sure that you get in. They give us an alternative venue and do they even said they covered the security things? They didn't like the bad publicity. Oh, well that's nice. Yeah. So that should be good.

Speaker 3:          00:04:43       Well you know what happened with Jordan Peterson yesterday? Yes. Yeah, just yesterday, Jordan Peterson was banned from youtube and Youtube has a new policy that uh, it's very, it's very weirdly worded, but apparently they're allowed to block and restrict any kind of videos that are about religion or that could be deemed offensive, which is almost everything.

Speaker 4:          00:05:06       Yeah, that's right. And anything that's remotely, if I mean, anything that's interesting is, is going to be offensive to somebody.

Speaker 3:          00:05:12       So won't be monetize, it also won't be in the videos of interest or

Speaker 4:          00:05:16       I know they did this to a prager university as well. They had blocked like 10 of their videos a couple of months ago. So it's, it's. Yeah, I mean this is nasty stuff and listen, youtube as a private company, they have the right to do what they want but don't proclaim that are a free speech promoting institution. If you're going to block people like Jordan,

Speaker 3:          00:05:32       well the the problem is they're not blocking things that are offensive to other people there. They're not blocking certain things that are representing Islam in a positive light. There's, there's a lot of weirdness with this left wing choice of what to sensor and what not to censor and it's not just dangerous. It's also bad for the whole idea of being a progressive or being liberal cause it makes you look. It makes them look really petty and really weird and really resistant and hesitant to actually have real debate.

Speaker 4:          00:06:06       Yeah, for sure. And this is one of the reasons why I'm very meticulous in my terminology about people who are on the other side of the aisle, actually separate people who are liberal from people who are leftists. So when there are people who try to band speech, I call them leftist, and if they are not interested in banding speech, then their liberal, meaning they want bigger government, they disagree with me on politics, but they're still willing to have a conversation and they want an open forum. People who are on the hard left think that it's actually an insult to their identity to disagree with them. And this is what I experienced sometimes on, on campuses, you know, at cal state la where there's a near riot when I speak, or University of Wisconsin where people stormed the stage and stand in front of it and won't leave or state where we have, again, another near violence incident over at Penn state or depaul where they actually banned me outright. So sometimes you get this routine, uh, from people who think that they conflate their viewpoint with their identity. And then if you have a different viewpoint, you're denying them their humanity and it's like, no, I'm not the nine years. I just think what you're saying is dumb. Like

Speaker 3:          00:06:58       good point. That's a very good point is that they have their identity completely connected with their ideology. And when you oppose these people, when you have these debates or these people, what's really fascinating is the level of a stereo that gets reached while you're staying calm.

Speaker 4:          00:07:14       Yeah. That's what I've noticed is that there's a ton of. You know, I, I tend to keep relatively calm just as a human being and very often when I'm debating someone, you see them getting more and more and more emotional and people on the right love this because of course it's the triggering of the snowflakes are the easiest thing in the world to do is trigger some idiot college kid who doesn't know his ass from a hole in the ground and what. What's. What's hard to do is actually discuss issues with somebody who is intelligent enough to make the, to make the point. But it's the level of hysteria on the campuses has really increased. I mean, I know you have to travel with two members of security to every campus just because you don't know which campus is going to go off. I never had to travel security before.

Speaker 4:          00:07:49       It's the weirdest thing in the world. How long ago did this start happening? Well, in February of Twenty 16 is when I started traveling with security, so I spoke at University of Missouri. They remember they had the big blow up a university of Missouri with black lives matter taking over campus offices and suggesting that there was some sort of big racism problem at Missou, which is just ridiculous. And so they flew me and I did a speech there and then the next time I spoke was cal state La and they brought in a couple of security guys and I was like, what do I need security for? But I'm just speaking on a campus who cares? We get to the campus and they had already tried to cancel my speech because of security and I said, I'm coming anyway. So tough. I had to be escorted in by 20 armed police officers.

Speaker 4:          00:08:25       I had to be escorted off campus by motorcycle cops flashing their lights. There were 300 students who had blocked. All of the entrances were physically assaulting people, trying to get into the theater. The police had to sneak the students in two by two into the theater. They told them that until I left the campus, they couldn't actually let the kids out of the theater because they were afraid that if they let the kids out of the theater, there'd be attacked as they got, as they were released. It was. That one was pretty well. It's after that. It was okay. Well, I guess the security is necessary.

Speaker 3:          00:08:49       Wow. What is shifting? Like what? What is, what is ramping things up?

Speaker 4:          00:08:54       I think the identity is ramping things

Speaker 3:          00:08:56       up, so I think there's a new mentality out there. It's this intersectionality politics on the left that says that there are a bunch of victim groups basically are there blacks and Hispanics and gays and Jews and Asians. They're all victim groups and we get those all those people together to attack the system because the system is keeping them down and if you. And, and there's a hierarchy among these victim groups, and if you are a straight white male, you're at the very, very bottom of the hierarchy in terms of viewpoints that should be acknowledged because you're the creators of this vast white supremacist system that keeps down everybody else. So if you're a black woman, you're near the top right? If you're LGBT, you're at the top. If you're a white guy and you challenged the viewpoint of a black woman, your viewpoint is an attack on her identity and therefore she has the right to shut you down.

Speaker 3:          00:09:37       And so the idea is that your words are violence to her identity and therefore she has the right to react. This is the term you hear on campus a lot is microaggressions as idea that my opinion microaggressive you know, even that terminology I think is really stupid because normally in regular life we would say that's insulting. And he said something, I don't like the terminology. Microaggression suggests aggression. Like I'm actually doing something aggressive to you. And the rational response to someone aggressing you is to use physical force in response. And so you start, you start to see a more violent response. I think that's. It's been growing in our politics. I think there's a reactionary side on the right that's, that's growing. And if there's an identity politics on the left that says now black identity politics, gay identity politics, female identity politics, I think you're starting to see in some areas of white identity politics that's almost formed in response.

Speaker 3:          00:10:24       Like, okay, well if everybody else gets to have their identity politics, why can't we defend ourselves on those same grounds? I hate that shit. It's terrible. I hate that shit too. And I would like to find the person who invented the term microaggression, that fucker, whoever it was, they. They created quite a mess. Now, I'm sure you saw what happened at Evergreen with Bret Weinstein. We're, we're literally left is eating itself and that's where it gets crazy. He's like, you're not progressive enough unless you're literally submitting to leaving your class because you're white. Like you can't be there because you're white. They want a day of absence, meaning the professors, the white people. And then when you don't do it, you're somehow in other racist and a Nazi. I mean, the whole thing is, the whole thing was very bizarre to watch, but, but not not surprising because you see it so much so often all over the country right now and it's almost like some new flower of ridiculous thinking and behavior has blossomed and it's in bloom everywhere.

Speaker 3:          00:11:23       And when people can point to it existing in other places, like in Missouri where that woman, what was her name? Who was that woman who got the click? Yeah, whatever her name was that when you see it in video, when you see her on video saying, can we get some muscle over here? Like this is fucking insane. Like you're, you're telling a photographer and by the way, a minority and Asian Asian man taking photos of a public place that you've created some safe space. But it's, it's, it's this weird thing where it's half of it is identity politics, but it's also wrapped up in this need to control people and control people's behavior. Control their vernacular, control the way they communicate. And how you know how much you give in to group think it's weird.

Speaker 4:          00:12:12       It's scary. And a Jonathan Heit who's a social psychologist over at Nyu, he did a really good piece for the Atlantic in 2015 about this phenomenon, this kind of safe space, trigger warning phenomenon. This idea that you must never be forced into a position where someone has an idea that opposes yours. And what he said is it basically makes people crazy. You know, it actually makes you crazy that the idea in psychology is that if you have a chain of thoughts leading to a bad outcome, if you're depressed or if you're an oppressive, then you have a chain of thoughts leading to a bad outcome. The way that psychologists deal with that is with cognitive behavioral therapy. They say, okay, we're in this chain of thoughts are going wrong. Are you attributing to somebody a motive they don't have? Or does your wife really being nasty?

Speaker 4:          00:12:47       Or is it you just attributing nasty to her and that's why you're getting depressed or spinning off, right? Try to control your own chain of thoughts. What the microaggression trigger warning culture does is it actually grants down. The more you are offended, the more value you are granted, and therefore you have actually an interest in being offended. We give you awards. If you're offended by your, your treasured. If you're offended because it demonstrates that you're woke, right, you're. The more you are offended, the more we can show that you are woke and because you are woke. Therefore your granted this virtue. You get to Lord it over everyone else. I mean, I say in my speeches, if we could somehow identify like the LGBT, half black, half Hispanic, one quarter native American little person, you know, then we would finally have the, the person who we could go to dance for all of our questions because their identity would be unquestionable. It'd be Yoda, right? If we could find yoga, we could just get rid of democracy and discussion altogether. He can just rule from on high. He, she and I don't want to put a gender on Yoda,

Speaker 3:          00:13:39       right? I don't think Yodas gender does Yoda. It's got to be a guy or deep voice. Maybe we're being rude by incidents. No, but yeah, you're absolutely right because no one is a no one's left enough.

Speaker 4:          00:13:52       Yeah, it's, it's. I don't know where the limit is and it's there so far left that they've actually made common cause with the people they hate. Right. So when they talk about safe spaces and saw it, you had misery and all these black students protesting and they actually said, we don't want white people who think like us and who want to help us in our safe spaces. We feel insulted by that. I just thought to myself, well, the KKK agrees, like if you want to do safe spaces for separate races, I can find some Jim Crow racist are totally up for that from like 1962.

Speaker 3:          00:14:20       Well, there's the really bizarre statement that I've heard over and over again that black people cannot be racist against white people because they don't have any power over white people.

Speaker 4:          00:14:28       Yes. Wow. Which is just insane. I mean, it's an an inane statement. This idea that you have to. You have to have power in the superstructure in order for you to even to be erased. I could understand the argument if they said, look, you being racist is not connected to racist action. If you don't have the capacity for action that affects people, then your personal racism is not as important as the of people in power. Then at least is an argument where the idea that you can't be racist at all if you're, if you're black because black people don't have enough pat. First of all, the idea that black people have no power in the United States is utterly crazy. I mean, it's utterly crazy. Well, especially when it was going on while Mama was president, the attorney general was the president. I always said this about Baltimore.

Speaker 4:          00:15:10       We kept hearing in Baltimore, right? Would they? The riots they'd bought, they'd riots and they were saying, well, Baltimore PD, you know, they're, they're cracking down on black people. I'll get the chief of police was black. The majority of the city council was black and Democrat. The entire, the, the deputy district attorney who was prosecuting the case was black. The majority of the police department was minority. The attorney general of the United States was black and the president of the United States was black, but apparently the majority of the city of Baltimore is black, but apparently it's the white guys felt like I just at some point, you're gonna have to make your ideas actually work in concert with reality. I can't. I can't do this with you.

Speaker 3:          00:15:43       Do you ever step back and look at this trend and look at what's going on in popular culture and looking what's going on with identity politics in this war between the left and the right and wonder where it's going. I mean, if it feels like the people on the left are completely emboldened by the fact that you have this guy in office who has said things like grabbing by the pussy and he lives all the time and makes fun of people's plastic surgery and you think that having this guy in in this position, I guess in some way emboldens them and makes them even more convinced the fact they're right. You know, fight, but put up the resistance and the hashtag resistance. Hashtag resist. It's all over the place. Where does this go?

Speaker 4:          00:16:30       I think. Well, no place. Good. I think what's happening, and it's one of the things that I personally am not a fan of, and this goes all the way back to the piers Morgan debate you mentioned. I mean I started off that debate with Piers Morgan saying to him, you don't get to attribute intent to me that I don't have. Right? You're standing on the grades, the kids at Sandy Hook in order to promote your political agenda implying I don't care enough about dead kids because I don't agree with you. That is the sweet spot where a lot of people like to live, which is if we disagree on politics, is because you're an asshole, right? It's not. It's not because we disagree on the best methods you get to the goal or we have different goals is because you're a bad person and I think that what you're seeing is with trump there an attempt to cast all of his voters as people who love all of the things that are bad that he does and says is that that they voted for him because they thought Hillary Clinton was the worst presidential candidate in the history of America, which is true.

Speaker 4:          00:17:16       Right? So they voted for him because they liked the. Grab them by the p word stuff, right? They voted for him because they liked it. He's vulgar and he lies a lot. They voted for him because they are bad people right there. This is why people misread. I think Hillary Clinton's deplorable speech it. The implication was, okay, everybody who voted for trump is a bad human being. They tried this with Rami too. I mean they tried to castigate Romney, who's whatever you can say about Mitt Romney. Mitt Romney was maybe the most honorable person ever to run for the presidency. They tried to cast him as Joe Biden's had a guy who wants to put y'all back in chains or he said that he. He straps dogs at the top of his car is an evil, nasty guy. Oh yeah. Yeah. This was a big issue in the campaign is dogs.

Speaker 4:          00:17:52       So there was, there was a, there was a story, I think it's in the Boston Globe about how like back in 1982, he went on a family vacation and when they're traveling he put the dog in a cage and put the dog on the top of his car. And this was. And this was like a big campaign issue, right? Do you remember binders full of women and you remember you remember 47 percent number. Exactly right. He's mean he hates the poor. He hates what the binders full of women thing was particularly stupid because the entire point he was making is that I was trying to recruit women to my administration, so they'd bring binders full of female resumes to me, second staff moral women, and they turned it into binders full of women. He's like Hugh hefner and Mitt Romney like, really? So this attempt to castigate the other side is really bad and I think that you see some of that on the right, but I think it's more reactionary. I think that that the unearned moral superiority that the left likes to kind of wallow in. I think that that's more on the left than on the right. Although I think that there is an attempt by some on the right now in response to it to do some of that.

Speaker 3:          00:18:42       Well, it becomes these sticking points that you use to win, you know, and it. And it becomes something that people repeat over and over again, you know, like the deplorable thing. Or is this sexist, bigot, homophobe. It's just what I was walking down New York City down the street. Uh, right after trump won when they were protesting and there was this guy right next to me fucking screaming. He wasn't even in the actual parade itself. He was like on the sidewalk, but he was screaming, Donald Trump KKK, racist, sexist, anti gay. Just boiled it down to this thing. But the best part about it was he saw a black guy coming towards him and he just started screaming black lives matter, black lives matter, and I just, I just, I saw him. I saw his soul like in that, in that one move shift to screaming black lives banner when he saw a black guy.

Speaker 4:          00:19:34       No, there's the intersectionality for you, right? You have to know how to appeal to every racial group on the basis of a stereotype. It could have been Thomas Sowell, they wouldn't have known.

Speaker 3:          00:19:41       Yeah. It's almost like the laziness in having the ability to communicate is one thing. But having the ability to express a complete thought that covers something as nuanced and as complex as American politics in 2017, that's too hard. So let's just yell out Donald Trump KKK and this, this ability to like boil down what's the difference between the left and the right to like a little statement is or you know, a bucket of deplorable basket of deplorables, whatever it is. You know, binders of women. It's so tempting because it's like, it's so powerful that it works. You could put it on the back of a bumper sticker.

Speaker 4:          00:20:19       I think we've also been shaped a little bit by a lot. We all. We all live in Hollywood. I mean you live in Hollywood. I live in Hollywood that that means that, and I think all of America lives in that milieu because everyone watches tv. Everybody watches movies, so when we do politics, we tend to see it through the prism of house of cards or or any of the other political movies you've ever seen. And that means there's a bad guy, right? Everybody. There's a bad guy. The villain and the villain has to. It can't just be the villain is somebody who's incompetent. Like usually in politics, if somebody is bad, sometimes they have a level point of view. That's pretty rare. Usually it's somebody who's misguided and it had some bad ideas. Usually they're just stupid or incompetent. Like this is what I keep saying to people who oppose trump.

Speaker 4:          00:20:55       Like why are you attributing to him malice when stupidity would do like you keep saying that everything trump is doing is out of some sort of malicious genius. Are we watching the same film? Like if you have a problem with trump, it seems to have a solution for the left. By the way, if they, if they really hate trump this much, it wasn't. I thought Obama was a crappy president. I have a deal. How about we just minimize the power of Washington DC and we don't have to give a crap whose the president of the United States. You think anybody in 18, 32 really cared who the president was. He had no impact on their lives. But now the presidency has this outsized impact. We care about Washington all the time. We treated them in. The truth is we watch it for fun. I mean, right now, the last week, particularly with Scaramucci, uh, you know, it's impossible not to watch it for fun, but it's actually kind of serious business. Like there are other world leaders who are actually looking at this. Like, this impacts my nation for us. We look at it and go, well, I wonder what's on TV on tonight's episode of trump the series.

Speaker 3:          00:21:45       Well, when you say reduce the power of the president, I think there's a lot of people that would think that would be a great idea because having one person has the authority over 300 plus million people. It is kind of ridiculous this point in time, but how would you go about doing that? Like what would be the best way to implement something like,

Speaker 4:          00:21:59       I mean it really isn't just the presidents that you'd have to reduce the power of Congress as well. I mean you'd have to. You'd have to go back to a federalist based system where localities and states have more power over over local issues and the federal government isn't that powerful because what's happened basically in the constitutional structure, the federal government was never supposed to be anywhere near this big right there. There are very certain delegated powers in the constitution of the United States that Congress has and they are very small things like building post offices and interstate roads and regulating interstate commerce, but the idea that they could regulate, you know, your toilet flushing is just silly. I mean the founders would have thought that was ridiculous. Yet you have a federal government that that's, that's that big, so congress regulates on that, but if you're in Congress, the last thing you want is to be answerable for that.

Speaker 4:          00:22:42       So what you do instead is you drop vague statutes, right? You say things like, we hope that we're passing a law that says that we should fix the environment, and then you kick it over to you executive branch and the executive branch, you know, run by president trump or president Obama has a bunch of executive branch agencies like the EPA and the EPA puts together all of these regulations that you've never seen, never heard of. You never elected these people. They put together all the regulations and then those are the ones that actually govern your lives. So if you're in Congress and things go bad, you say, well, that's not what I meant to do. I told them to do good stuff and the bureaucrats were not elected. Don't have to care. So basically we have everyone kicking the can to the other person for purposes of responsibility. The only way this is going to happen is if the American people just decide they're sick of the federal government running all this stuff and they start actively working to elect people who want to minimize their own power, which is difficult. I mean, most people in power don't want to minimize their own power.

Speaker 3:          00:23:32       Yeah. That seems almost impossible. It seems like the one who's worked so hard to get to the top of the game is going.

Speaker 4:          00:23:39       Yeah. The other way to do it is to elect people on the state level who are pretty zealous about their own authority. Right. You've seen from like Greg Abbott in Texas

Speaker 2:          00:23:46       that every so often he'll say to the federal government, listen, you're telling me to do something. Go screw yourselves. Like, what are you gonna do about it? Well, Texas is a weird one though. They're almost ready to leave, like at any point in time, it's related to put a fence up and go, fuck you. I mean, weren't there for the longest time? They were, uh, they were not really a state right now. They're still called the Republic of Texas. Right. You said that so yeah, I mean the people in Texas, I mean it didn't. Wonderful state. I love that. When you drive through Texas, every single store is called lone star, lone star brewery or Texas. This everything is named after the state. Like nothing is really named after the country. It's all named after the state. Like a lot of state pride in Texas. There's a lot of state pride maybe more than any place else I've ever been. Yeah, well not a lot of state pride in California because everybody's a transplant and it also like some, you know, people who got here and it represents something that they always wanted some sort of a liberal paradise where you could get famous for doing nothing.

Speaker 2:          00:24:45       There's some city pride, like there's Hollywood pride, San Jose Pride, but like California pride. I mean the people who run the state are idiots. Will California so confused? I mean we have a grizzly bear on our flag, but we don't have Chrisley bears. We have, we have a team called the Los Angeles Lakers, a lake in the state. Our lakes are all manmade. We have to keep pumping water in because they fucking dry up a river is just a giant concrete ravine over is hilarious. When I've shown people the La River, my fest, La River, they're like, shut up. Yeah. The Romantic river. No, no, no. The La River. It is la. It's a fucking concrete shitty slide for water and that the city is so dirty. I mean it's like I've grown up my entire life here. I mean I was born in Burbank, grew up in north Hollywood like this is that I've lived here my entire life.

Speaker 2:          00:25:36       The first time I realized I liked it is when I moved to Boston for law school because at least the weather here is good, but yeah, I mean it's gotten so shabby lately. It's such a shabby city. The weather's amazing, but. Have you ever been to Mexico City? No. I've been a couple times for UFC events. I'm not going back because I would get headaches from the pollution in Mexico City to me is like Ellie in the future, but with zero respect for the traffic lights. When I mean zero, I've never seen anything like it. It's crazy. They're very nice people like everybody's worried about getting kidnapped over there. I find Mexican people to be some of the nicest people and real friendly and easy to get along with, but they don't give a fuck about traffic lights. When we were stuck in traffic was bumper to bumper and it's a green light going this way. Cars just go in front of you and they just sort of make their way through and people hit the brakes and they make their way through the intersection. It's a straight up red light and they just go and it's not just one. One guy goes and another guy goes behind them and then he got like 20 cars and and it's just gridlock. It's actually indicative of why the United States works, that people actually follow traffic lights, like it's true in Italy. Also true in Israel,

Speaker 4:          00:26:44       like when I visited Israel with my wife when we got married, like no one pays attention to the traffic rules. Everyone's honking their horns at each other. I'm American. So like, why are these people so rude all the time? Mom honked the horn. She, but it is why in America, because we have a baseline, this is what I think is breaking down actually, so not to get too deep on a point about Mexican city traffic, but I think that, you know, the country was based on this idea. There's a social fabric. We all have respect for each other enough that we're going to follow the basic rules of the game and that's true as far as traffic lights, it's true as far as financial dealings with one another and when you lose that, when you lose the basic respect for the guy who lives next to you, you know, you need to get through the red light in a screw him.

Speaker 4:          00:27:22       It doesn't matter if it's red, then it's kind of indicative of a culture in collapse. Generally when small rules start to go broken, like in Italy, in Italy, is that 50 percent of their economies black market because they have high tax rates and no one pays them. You're starting to set in California to California is the highest taxes in the country by far. We also have the number one rate of deductions, so we pass all these high Texas so we can congratulate ourselves for social justice and then we avoid all the taxes as much as we possibly can for the accountants. Yeah, exactly. Hey, those people are making on a fricking fortune.

Speaker 5:          00:27:54       Well, I just also feel like when you get a giant number of people smashed into a small area and La, it's not even a small area includes Greater Orange County and it goes into the Conejo valley and it's just like there's so many of us, there's so many. It's almost like you get that sort of diffusion of responsibility thing where there's just too many people to care about and you lose this feeling of value that you have for fellow people. I lived in boulder for a little while and when I lived there, the People's Republic of Boulder. You want to talk about lefties? Oh yeah. Holy Shit. If you have a. If you had a right wing anything on your lawn, like a sign for someone running for, they would take it down. They literally take things down, but when I was there I was amazed at how many people are polite when they drive in. They wave and like there's only 100,000 people.

Speaker 4:          00:28:42       Exactly. So that, that. That's how I was gonna send me. I'm looking it up while we're sitting here. It's like 110,000 people in. The other population of La County is 10 million people. It's

Speaker 5:          00:28:50       plus Mexicans. You gotTa Count Mexicans and then you got account. Everybody's connected to all the other counties around it. It's not like there's some

Speaker 4:          00:28:57       border and we just drive around. That's exactly right. So it is in the first time I visited Oklahoma, I had this and I was in Oklahoma for doing radio show.

Speaker 5:          00:29:07       When you look at the 23 point seven, $7 million.

Speaker 4:          00:29:09       Yeah. Sorry, go ahead. Yeah, I mean Oklahoma and I'm walking down the street and the first thing that and and just some lady and I catch eyes now in La, you're from La, you look away, right? You only got stabbed in others. If you catch eyes with somebody you meet, it's rude. You don't catch eyes with people at La and among that street we catch eyes. Lady Goes, how are you? I called my father. I was like, what? Where am I, what's going on here? Like this is not regular, but I do think that there is something to the idea that if you have too many people in too small a space, we're all up in each other's business so much that it's very hard to say to people, okay, liberty, stay away from one another, leave each other alone. It's like, yeah, but he lives next door and he's a jackass. Hate that guy because he's like, right next to you run Oklahoma. The guy next to you is three miles down the road.

Speaker 3:          00:29:51       There's that. And there's also, um, it's been replicated in rat population density studies that you get more mental illness, you get more weird aggressive behavior when they stack rats in these cubicles and then jam them closer and closer together. And that's exactly what's happening with people to what Manhattan is famous for it. I mean, I, I enjoy visiting Manhattan and every time I'm there I'm always like, no, I can't. I can't live here. Oh yeah. Too many

Speaker 4:          00:30:18       when I was there last week and I liked the sky. So you can't actually see the sky in Manhattan, right? I mean you just see the brick buildings and you know, 25 stories high. And I noticed that uh, we were walking past the store and there was a shirt on sale and the shirts entire tax was after you. You effing F and I thought only in New York could you sell this, right? I mean, you try to take this anywhere else and people would have been like, wait, what now? But New York, I'm sure that the best seller. That's why. Honestly I think it's one of the reasons why trump won is because he's basically just a guy from New York. He's like a taxi driver from New York is really, really wealthy and you know, he does what a taxi driver from New York we do if you're really, really wealthy.

Speaker 4:          00:30:54       He marries models and builds gold toilets and all this kind of stuff. And people in the rest of the country actually take that language seriously. So when he says stuff like you, we're going to bomb the shit out of him, you know, people in New York like, yes. So what we do, you know, and people in Oklahoma like, wow, he's serious. Like that's actually gonna happen and it's probably not probably that's just how people from New York we saw this last week, right? He's talking about the cops and he was saying this thing about covering their heads before he's talking like a long island or you know, he's talking about like, you know, the, you know, they throw him in the back of the paddy wagon and we do all the and, and you don't put your head on that it, you, they bumped their head, they just killed somebody.

Speaker 4:          00:31:28       And so the entire meeting went and how dare he. He's talking about how cops should rub people up. Listen, is it appropriate for the president of the United States to talk like that about treatment of suspects know is, are we supposed to take this super seriously? Like this is like trump is actually recommending a policy change with regard to it. That's what he does. He works the room, he's a, he's a New York real estate guy who works the room and more than anything else, if you understand New York and you understand La, you understand trump. He's not a giant mystery. Right? He's just any other reality TV star. He's a reality. He's a marketing image guy. I mean, that's, that's what he does. Like he's not even that great at real estate. He puts his name on the side. He brands himself, he puts his name on the side of buildings. They pay him not to be involved in the real estate business so they can put trump on the side of his hotels. Great. I mean, that's what he does. That's why I'm kind of shocked that he's Kinda crappy at the imaging. As far as being a president. You didn't. You'd imagine that you'd be better at this part of it. At least.

Speaker 3:          00:32:13       I just think he didn't understand the volume of hate that was going to come his way and I think he's such an EGOMANIAC. He has a hard time dealing with it. I guess a hard time separating and that's one of the things that I've read about him that he's getting better at getting away from the comments and not reading comments on twitter, but he fucking blocks people know about that. Too many sued him. Yeah. Well there's people at Book Group of people suing them and now they're actually starting to rule against public people

Speaker 5:          00:32:40       who are in the public light. Being able to block citizens and having their own opinion about what this person's doing or not doing. So then you have to say, well are you allowed to be vulgar towards the president? I mean, how far does that go? I mean, what are you allowed to say?

Speaker 4:          00:32:54       I mean maybe it usually be able to do whatever the hell you want about anybody, but if you can't threaten them, but it's. It does go more to the level of, of pettiness. He's the most powerful man on the planet is busy blocking people on twitter at 3:00 in the morning. Joe Scarborough and what is her name was facing.

Speaker 5:          00:33:13       He was saying that she should. This is the fucking president. He's saying she showed up with bloody scars or she was bleeding from her recent facelift.

Speaker 4:          00:33:22       Exactly, and it's first of all, it turns out that it probably wasn't true, but second it wasn't true. I mean, fuck goes out when you're bleeding it. I agree with you. I agree with you, but it's it. But this. I wrote a piece about it in national review about this. You know, you, you say that the level of hatred directed toward trump is warping trump. I think that it's also a warping some people on my side of the aisle who are, who are so interested in the fight that they're less interested in advancing the policies that I'd like to see achieved. So I think there's a whole group of people where, let's say that trump would just resign tomorrow. He'd say, you know what I've had at, screw it, I'm out and Mike Pence becomes president. And then Mike Pence proceeds to do all the things conservatives want them to do.

Speaker 4:          00:33:57       You know, we get tax reform and we limit immigration and we do all of these things. But, but he does not tweet about Mika Brzezinski bloody face. I think there's a whole group of people on the right will be pissed. That miss it. Yeah. I think that right now because it's fun. What exactly what they want is somebody who pisses off the left more than beats. The left pisses them off. If you piss off the left. I think Obama sort of trialed some of the right into insanity. I think there are a lot of people on our side. Whereas like this jerk, he just, he keeps saying things just to Piss us off. And Obama did do some of that and so pro trump is kind of a twitter troll and so he does the same thing. We're like, yeah, that's awesome. Like two days ago, trump or yesterday, there was a report that trump said that he thinks the White House's shabby.
