Speaker 1:          00:00:00       Nodoz
Speaker 5:          00:08:55       But, um, I've never, I've had some like viciously offensive jokes, but I think that, um, again, there is, there is a weird x factor to comedy. I've talked about this recently too. It really is. I've got on stage and said horribly heinous things, right? There's somebody who just got oozing. All is like the most benign jokes, like the crowds too much. I've said terrible things and those same people are laughing. It's just like, it's a lot of that is a process. Not even talent. I'm talking about very talented guys getting a weird reaction for something not dirty or offensive at all. It's just, there's a, some people when you get on stage, there is an organic thing where you don't like Kurt Metzger, who's brilliant, brilliant comic. Like I honor his jokes are the testament to how good his jokes are is that he kills because they don't like him when he gets on stage, like right away he just like, whatever it is, they just don't want to like um, a Mike Vecchio is on the great comic but looks like a state trooper, you know?

Speaker 5:          00:09:52       So when he gets on stage, I think people are kind of like, who's this asshole? For some reason I think when I get on stage people are like, oh, I want to like this guy. I think it's like my game to lose almost. Well that's an intangible. It's something you could learn going. You're an easy going looking guy. He looks like you're a guy that be fun to hang around with, you know? Yeah. People actually think I'm much more liberal than I even am with certain things. Oh really? I mean I'm liberal overall, but I mean like, I'm not like I think people will be like, I've had a lot of people might just pull out coke in front of you start doing coke and I still get like a man that's drugs. That's why we get a reaction like that. That's not a liberal thing though.

Speaker 5:          00:10:29       Right. That's just A. I'm just saying, I think people just think that I'm much more like, you know, that I am and I'm really like a, well you wouldn't be getting anything done. Yeah. You know, that's the problem when you're doing as many gigs as you're doing and then you're doing legion of skanks and you know, you just recorded a comedy central special. If you were really just doing blow all the time, none of that shit would get done. But so many people have done blow all through. I mean I don't think Kennison ever stopped and he's got a couple of specials. Well, he supposedly did for a while and then they tested him when he was dead and he had coconut system and they'd said he'd done some coke when he got married because he had apparently just got married. Yeah, I think that's the story, but the story was they tested him and he had.

Speaker 5:          00:11:13       He had done some. Dice is super straight always right? Yup. Pretty much. He likes edible marijuana now. Helps them go to sleep. Oh yeah. Yeah. No, I know. I know. Yeah, I know he's like a weed guy, but I local guy dices a new dice though that's almost like now. I mean when he was like the height of like, you know, the John Travolta hair and the whole thing like that was a, I think it was super straight. Yep. Just smoke cigarettes. That's it. Yeah. And then for awhile he used to take a cigarette on stage with them and not smoke it, you. And then he said fuck it. And went right back on stage. At one point he just let it one day. I think so, yeah. I think it happened at the store. Ms Dot [inaudible]. I still oddly just have never met him. Oh really? Yeah. That if

Speaker 2:          00:11:54       I just say that's like my comedy hero in so many ways. Oh Man. I had just assumed that you knew him because you were at the store all the time. Dude. Fuck, you're leaving tonight. Yeah. Uh, well I would love. I would love to set that meeting.

Speaker 5:          00:12:06       It was funny when a Ari was at my house, here's my house for Thanksgiving, like maybes last Thanksgiving and made a bunch of people were smoking weed in my bedroom and including him. Everyone that was there was like eight people in a circle and he gets a phone call and everyone's kind of in their own conversations, you know, two people at a time and he answers his phone and he goes, oh, hey, dice and I ever. No one is paying attention, but I'm like, wow, that's crazy. He's like, yeah, dice. Okay. Like almost like annoyed by it, right? Or whatever it is. So I start just doing a dice impressions like about Thanksgiving. Oh Hey, are you having enough fucking Turkey? He'll con and a good goddamn do it all day. That's really good. Um, Gary and uh, no one's laughing. I keep doing it. Then people start making weird faces at me and then hours later we're just kinda sitting around and I go, that's so crazy.

Speaker 5:          00:13:06       That dice just calls you already. And so everyone was like, dice called you and I'm like, did you guys just think I was just doing weird dyson pray? That's what I was looking at me. Weird. They just didn't know that. Always on the phone with them. So they started broke into like loud, obnoxious, like interrupting conversations. Do your act. Hey everyone. Troy a Turducken you'll fuck. Have you ever done them on stage? Dice? You do. You should do dice on. Um, I think, but maybe I can pass it, but I fuck it up. Yeah. I love the easiest thing to do. It was, it was the bonding of me and my stepfather when I was like 12 years old. He let me watch, uh, the one he did the Tla dice man cometh. Wow. And I just thought it was like I went to school the next day and I was so much funnier because I was just regurgitating like his shit, like saying what he said. I just thought it was the greatest thing ever. Then we just had tapes made its way around all my friends

Speaker 2:          00:13:57       of his first cassette and I listened to it in the car with this girl I was dating and we were fucking howling, howling, laughing. I couldn't believe how funny it was. And so like to be friends with them now and hang out. So surreal

Speaker 5:          00:14:11       still knows the uh, he so good. There's so many different levels of standup, you know, like have the skill of it. I mean, and he's so good at the comedy of words. That's what I've tried to learn from him. Just picking the right word. Like the one who got me on this last thing was just like, I heard a lot of the jokes already that he did, but like, and then he just goes in, this chick's down their club or in your balls.

Speaker 2:          00:14:33       Clobbering such a great word to pick their. Well he is also, he's deiced too, so it's like you come to the show wanting that. Yeah, I mean it's its own thing. It becomes a, like Mitch Hedberg was sort of like Mitch Hedberg had a special thing like you would, you would hear his jokes and coming

Speaker 5:          00:14:52       from him like you couldn't imagine them coming from anybody else coming from him. They were hilarious and that's sort of the same with dice. Like anybody else that would say that you'd be like, what? When he says that it's just, he's just got that thing down and you know what that thing is when you go to see him. I think every special starts with the formula of like, so I'm doing this thing with some chick in a place where it shouldn't be happening at a time. That's weird. So everything starts off. It goes, you know? So I cut the throat fucking this broad because you know what it's like when you're a board in Anaheim at Burger King on Valentine's Day. A tag on like another like, but it's just like I want to hear every one of them. Yeah. And you look forward to it like it's a.

Speaker 5:          00:15:37       and here's the thing about Ford. Fairlane was great. I loved Ford Fairlane. I don't remember it honestly. But here's the thing about dice that's like about his act as opposed to everybody else's act. You want to know the jokes and you repeat them like with those nursery rhymes. He Ha. He tapped into some weird rock and roll thing where people would come to the show. What's in the fucking place? Inter rubbed. It was like killing the harder. You couldn't kill any harder and it, it, uh, it gives you the thing where it's like where you say it's rock and roll was in Rockford. Nobody wants to go hear the band. You love through the new songs. They want him to do the jokes. They know. Yeah, exactly. If a band has a new science, the trust sneaking in between hits people like, Oh, what is this?

Speaker 5:          00:16:25       I still get excited when I listened to dice rules ever because that was the second big specialty garden. And he goes, you guys studied and learned the poems? He was. But I wrote some new poems and it's like, it's like 20 years ago now, you know what I mean? So it's like, here's the new poems. It's like, I thought these are still the old poems, but they're so. They're so bad day. The laughter died is so brilliant. Oh, the data left who died, if you've never heard it, folks, one of the best comedy cds ever, and one of the most like revealing of what a real comedy show can be like. It's so great. It just has to go on spotify and listen to the track and our back. That's one of the funniest things I've ever fucking heard in my life. He, um, he went to, I actually had a cool opportunity to speak to Tony, who's the owner of danger fields.

Speaker 5:          00:17:16       It was rod these partner and that's where he did it. He said dice came in on a Tuesday at the sun or the older Tony? Older Tony. Oh yeah. He told me that. I'm totally cool with Andy Kaufman story too. That was never a fan of his. But it's pretty funny story. But uh, he said dice wanted to come in on a Tuesday, no announcement, whoever's there, like late night on a Tuesday and just recorded an album. And they said, yeah, they didn't make any announcement. He came and he said it was like, I think the biggest, he said it was like 20 some and the lowest it was 18 people and he

Speaker 2:          00:17:50       just went in there and started like talking shit to them and they were not interested. They didn't know he was coming. He just bullied

Speaker 5:          00:17:59       crowd. He just, and he just makes up a phrase an hour back. He goes, I'll give you an hour, an hour back. And then he just keeps going,

Speaker 2:          00:18:08       get it. He says,

Speaker 5:          00:18:11       get it like 50 times the thing. And then he goes, you don't even know what you laughing at. He says to them, they're stupid for laughing at like, you know, they're not laughing all those jokes. And he just keeps borrowing this thing into their head and they start laughing.

Speaker 2:          00:18:25       Well, you should point out to the, at the time he was selling out arenas. Oh yeah, yeah, yeah. So dice is such a maniac. He makes this album when he's selling out Madison Square Garden, he's selling out the Nassau Coliseum. He's selling out gi and places like I think to this day it's like Kevin Hart and him. I like the biggest. As far as like the most successful John Kevin Hart's done like 60,000 seat places and say yet. I mean he's, he's, well, what's the new trailer? Philly? It was like $60,000 of travel

Speaker 5:          00:18:55       now. What's next? It's insane. I mean, he's a insane. Literally. And I said I think I toys for his phone bill or electric bill. One point was in my name because he was so like he asked me if I could put it my name. They we're going to turn the electricity off. Wow. Back in Philly. That's crazy. Holy Shit. Yeah. Like nuts where he's at now. Wow, that's crazy. It's great. My Mom's still has no scope of that at all. Sugar out in La. She goes, tell Kevin we said how I'm like, I'm probably going to see him. He's probably in Bulgaria doing a fucking covered by bodyguards via riding a wave of diamonds, wearing his own sneakers. I had a genuine a bum out, like I felt bad about it too, and it was before I was having a rough go. I was headlining the Sacramento Improv or punchlines Sacramento punchline, which I love that club and I was headlining it and I felt pretty good about headlining it.

Speaker 5:          00:19:47       I'm like, you know, seven show week or whatever it is, but I'm like, this is great. I'm headlining the punchline. Sacramento. Kevin was in town doing the Arco arena where the Sacramento Kings play. Oh my God. He goes, hey man, come to the hotel and hang out. I go, absolutely, and I go to the hotel were outside for 30 seconds, but I get the hotel. He's coming out of like the hotel gym. It's like around the corner and I meet him and we're walking to the hotel and this 100 foot walk car stopped. People pour out of buildings. People start yelling and screaming. He turns around and gives him one way. If we go into the hotel, we go up to his suite. That is amazing. It's got a whole bunch of his boys there. They're playing a xbox three 60 time it was, and he goes, you want to watch the, um, used to watch the intro for my special, right.

Speaker 5:          00:20:38       It was not. This one's out now, the one before where he's got the pyrotechnics going off. He's like, yeah, we got pyro and it's going off. He's showing me this crazy, like insane trailer for it that's just like mind blowing. And I was feeling so good about, oh, I'm sorry. I should preface this story by saying, um, when I was talking to the cab driver bringing me to calves hotel, he was like, what are you going from a hotel to a hotel for? And I go out, you want to hear the story is pretty. I said Kevin Hart's here and um, uh, he's all buddy of mine, so I'm gonna go hang out with him. He's a gaggle. Yeah, I'm in town. I'm a comedian too. I'm playing the punchline. And he goes, oh, that's amazing man, because can I get tickets? And I was like, yeah, I could like put you on the list for some tickets if you want to show you when it comes to shows and there's somebody goes to shows at the argo arena.

Speaker 5:          00:21:29       And I was like, oh no. He goes, Oh, I'm sorry man. I thought he said I want to take it to Kevin Hart show. I was like, okay. He asking you for Kevin Hart's tickets. So that's how that starts. That's how this thing starts. And he gives me his card, this cab driver, he goes, call me when you're done because I'll be right in the area. Okay. I go up. So kept showing me the pyrotechnics. Yeah. Do you want lobster? We're all getting lobsters and shit and I'm not even exaggerating. It's like this Kinda hang and I'm like, this is fucking crazy. And uh, and his buddies are all playing the xbox and I said try to find some sign of like old Kevin there, you know what I mean? Not, not that he's, he hasn't, just personalities, not shitty or anything, just like, you know, connect on some level of what our friendship is.

Speaker 5:          00:22:16       I'm like, you still bring your xbox everywhere highs. I still do that too. I pack it up in a like Schlep it with me everywhere I go so I could do something during the day and he goes, oh no man, because every time we land we sent a guy out to buy an xbox for the day and then we leave it for the maids. And I was like, I gotta go. I left like in a weird short amount of time and the guy picked me up in the cab and we're driving back to my hotel and he's me this question like, how was it man? How was it was fine. I'm like, I, I wasn't that in when like a contest to meet. I'm like, I know. He's like, Oh man, he's so funny. That's great by the way, because I feel like a dick. I'm, I'd love to.

Speaker 5:          00:22:55       If the offers still up, I'd love to come to one year shows this weekend. I go, yeah man, absolutely. Let me know. He's like, my wife would love it, man. He goes, I'll bring her out because I looked really cool. I'll be like, hey, I know the comedian stuff and I'll be like, yeah man, whatever you want. So it's just a before get out of the car, just tell me what show would show you want to go to and we pull up to the hotel but you know, it's kind of a quiet 15 minutes ride and I'm getting ready to go. So hey buddy, what's your name? So I'll put you in for tickets. He goes, honestly man, I'm not going to come. Why do you keep building me up to hurt my feelings? Let them fuck them going out of his way. Yeah. That was the saddest. Like, and I was headlining the punchline. I was excited and I was. And then all of a sudden I was like, Jesus man, I either call like I've made phone calls back home, like why am I so like just fucking awfully green with envy. I

Speaker 2:          00:23:46       just showed it all over my ass in that room. You just, first of all that cab driver wasn't helping anything that kind of put you in a weird state of mind. He was an idiot. So you went, you went to Kevin's place, you were driven around by an idiot and you're going to see the most successful comedian of all time. Who is your friend who you helped with? His electrical bill and you get in there and they're thrown away x box. I got to assume you're a high as fuck, right? Will you hide when you went over there? I maybe had to be there. Those guys aren't really doing anything like that. But you probably did before you went over there for sure. Right? I know I would. Yeah. That scared the fuck out of me to ranch. I got to get away from him.

Speaker 2:          00:24:24       So I just had a meltdown. I'm like, hi. They go, well, you know, he's. I don't understand how a guy like that couldn't work as much as he does. Being meaning, I don't know. Not that I don't understand that these, that ambitious. I don't understand where the time comes from. Several is several movies I think still coming out. Well it's a, it's also stand up and it's also. I mean he's just on top of it. Social media is social media is like a business to him. It's a really interesting guy, man. Like super, super awesome.

Speaker 5:          00:24:53       Well, the new, uh, the new trailer for the, for the new special says he goes, uh, comedies first ever. Mogul gas sort of. I guess so. I mean for sure. Well, whatever. Who gives a fuck about first ever this or that he's about to say. But what other comedian was a mogul you think was a real, like Jerry Seinfeld running a bit. The, the branch. I mean, Kim's got sneakers. Does he? He's got Nike sneakers. Yeah. Oh Wow. Yeah, I would assume. I would say he's the first. Well, he's first of all the quickest ascent of stardom. If you look at him like to where he's at, where he's at. I mean there's. So it's me and him, it's almost 18 years. How long has he been famous for? Ten years. Household. He's been known from about, without exaggeration, five years in [inaudible]. He was working like a lot, but he didn't even, he didn't even move to New York.

Speaker 5:          00:25:52       Me and him and Keith Robinson would go up to New York every day and uh, he never had to move to New York. He jumped right. He got the Montreal festival, got a pilot with Judd apatow and moved to La. It was like overnight where he was in the business working, making money, you know, surviving. Well, I'm sure there were peaks and valleys in that, but I mean, I remember I did a show he hosted like beatty's one mic stands, like a comic view season. He hosted that, you know, at that point I'd say he was still like famous, like in the black community. He did, um, soul plane and all that stuff. But I'd say like a household name maybe like six or seven years now. But I mean, so think about that international world, famous gun from, but six or seven years to like these 50,000, 60,000 seat arena.

Speaker 5:          00:26:41       That's incredible. Isn't a um, I wonder if he had any doubt in his mind that data, they would fill that fucking room eagle, the Eagle stadium, but he's from philly and everybody knew it was like a big event. Yeah. You know, I think uh, I think he knows what he's doing. Obviously it worked, right. But I mean he's got, he's got the production things where he produces specials for other people. That's great and all that shit. So I don't know where a guy like that has that kind of time. So it seems, seems like I know how much I work and I'm like, God, this guy works like twice as much as me. How's it going know where you find the time to do this podcast? I mean really it's like, it feels like you're running around for UFC a ton and then it would have up.

Speaker 5:          00:27:23       Yeah. But the standup, is it night podcasts during the day? I don't have a real job. The UFC stuff like the stuff in studio where I do like countdown shows and stuff like that. That's the only like once a month, the events, they're not that often, twice a month, three times a month at the maximum. Then there's stand up in between. So it's not that hard. It's just appears harder than it is. It appears like there's more going on in there, but you know. But if you're doing a television show or even more so if you're doing a movie, you're fucking gone for 16 hours a day here. Committed, you know that that is the big. The big trap is the movie trap. I mean it's awesome if you want to make a shit ton of money, but it is not nearly as fun as doing standup. There's, I mean I think it be fun.

Speaker 5:          00:28:09       Yeah. I think. I think in general, I don't know, it was never a reason why I got into comedy, which just takes too much time. But the hold I did a scene a, me and Doug Benson and Louis j Gomez did a scene together for Jim Gaffigan show we, it was a 15 second dream sequence he has. And if we were there, I mean just the 15 second scenes. So they shot it even like eight times. How much filming that is. We were there for like nine hours, nine hours that day. Didn't do a thing. Got there at like 4:30 in the afternoon, didn't do a thing until 8:30. And you're just like, I don't understand the point of that. The laziest I ever got with my standup was when I was doing news radio because I was, when we first started out we were um, there was a lot of struggles in the beginning and when a show is trying to find its legs, you know, writing wise and story wise and the networks notes versus the producer's notes and all that shit has to get worked out.

Speaker 5:          00:29:11       We were doing like 12, 13 hour days. There were long ass days and everybody was exhausted and I would just do no stand up or if I did something I would do like a spot on the weekend and I wasn't writing at all because I was never going up. I did a show for two seasons on IFC channel and it was so like I was still no, not established enough in my mind in the clubs in New York that I would like really it was a killing myself. It was bad for her. Like I was still doing standup and I wouldn't go onto comedy central tool. That was back when the show is ran on the weekdays to like three in the morning. So I'd be getting home at like 3:30 in the morning and like sleeping til 5:30 in the morning going right to set. Oh I didn't do it every night I try to pace it like to be every other night.

Speaker 5:          00:29:57       So one that I'd go home and I'd fall asleep like right after filming which could be like 7:00 at night, you know, and just pass out for the night. So I try to pace it but I couldn't walk away from it enough. I just feel like especially in New York and they really let you feel like there's someone waiting to take your spot in a heartbeat. And there is. And there are three comics thanked me for being on the road so much now because it clears up some of the weekends. But you know what I mean. I, I get that. What was the show that you were doing? It's called Xerox on the IFC channel. It was fun. It was a, we, they kind of let me have the reins as far as like kind of telling them like what comics, like stamps, we should have like guest star on it.

Speaker 5:          00:30:33       But what was the premise? It was about a band called [inaudible]. They were a real band at the time. They, um, it's just their story. They played like they try to become rock stars at night, but during the day they would play kid's parties, like kids' birthday parties, which is a. So it was like a sitcom. Yeah, it was a half hour show, but it was a, what are they called? Like the single cameras, you know, whatever. Like Marin. Yeah. And it was um, it was fun because it was curb your enthusiasm style, scripted outline only. Oh, you can just make up your own lives. And they had a bunch of Maitland caplets. Patrice was on a few episodes. Geraldo got on a few episodes a why didn't get them all? I mean, but he was on a few episodes. I'm Geoff Ralston and episode Kurt Metzger rallies. It was, it was pretty crazy.

Speaker 5:          00:31:21       So tell, uh, tell. Acting is fucking so great and I couldn't make up his own lines to. Can People Watch those now? The other one. Amazon. What's again? Xerox. Xerox. It was fun show. It was just, it was, it was a little ambitious too. Like I said before, these guys were mostly read at the director of production team is mostly reality show guys. He, you would think that doing a show like that with a bunch of comics completely ad Lib style curby enthusiasm style is a great idea. You know what guys like Joey Diaz or it did well in the show actually did very well. It just like it was arguments between the production and the uh, network. Yeah. See it's always that way, man. It's everything I've ever done that's on television. There's been some arguments between the production and the network and it's always weird shit later.

Speaker 5:          00:32:09       Like why can't we have coke cans sitting facing camera on the show and was like, when I was on news radio is infuriating because you would watch these guys come up with these ideas about like we're going to bring in a love interest who want to do this and that, and the writers would get so pissed off to be like, look, this is a really good show. The, the fucking problem is you guys keep moving it from time slot to time slot, but then the network is like, no, we're going to do this or we're going to do that and we're going to bring a hot girl and we're going to bring in a hot guy and we're going to. It was just so goofy, so goofy to watch all these different people battle in a lot of the people that are putting in the input.

Speaker 5:          00:32:49       They're not professional creative people. They're executives. Yep. And then they have to take those notes. Seriously. I, uh, I used to get a note a bunch better, a pilot that I wrote my stop pitching it even because it was just getting so frustrated with my. We definitely wrote like a funny thing right here, me and to me and Lewis and Dave actually we wrote a funny thing that can be maybe stretched to movie length or a pilot. I liked it as a pilot. It was something to live in a world of like true stories that I have. Cause I said I used to do a job ironic with the xerox story, but a real job where I drove strippers, escorts around at night to gigs and then during the day the same company was I'd go dressed as like elmo to a kid's birthday party, so it existed in that world.

Speaker 5:          00:33:35       We were a really funny thing and then they just start saying things like having a strong female lead. I'm like, just fucking funny. I promise you there's women in the show. What about diversity? Big J. just like. Yeah, it's like one of the friends black or something. The most important thing right now. Big So ridiculous. Every body has to be completely and unique. Yeah. If it's a black show, you have to have a wacky way. You. Yeah. It's. Those kinds of conversations are very weird because there's nothing wrong with having a strong female lead, if that's what you wrote. Yeah. Whoever the person is, it's writing it or the group of people. You got to leave them to their own creative visions. As soon as you start saying, you know, let's have a black guy do this, so let's make this a Chinese lady like stop.

Speaker 5:          00:34:19       If you have a really funny person, like leading the charge, like a comic who was like, you wrote something and they have a picture in their head. That's kind of the confidence I've tried to build and stand up. Like I feel like if I say it like I'm trying. I'm trying to make myself laugh first and foremost. So if I say it, I think it's funny. I believe it's funny, right? I believe that I just like didn't convey it to you the right way. You know, you didn't get it fully or you're being tight. Asked about some other reason. You know what I mean? So it's like that. But they don't put that kind of faith like the networks never put that kind of faith in the complicated gill. If you make my vision with how I've seen this in my head, if you give me the tools to create it the way I see my head, it will be funny.

Speaker 5:          00:35:01       I think with day worry about is the consequences of anything that you might do that could fuck their career up. Absolutely. Green light a show and you go off the deep end with something completely ridiculous. It makes social justice warrior news, but you're one. Yeah, but I mean, you know, you like, you know something's good fast. I'm talking about just someone who's particularly me out of the picture. Just if you trust and someone that's genuinely funny, right? If you let Dave attell make, given the endless funds to make whatever his vision is, it's going to be funny. Well, that's what Louie did. Yes. Right. That's his show was exactly

Speaker 2:          00:35:38       that. That's why he directs it, produces it and everything. He was editing it all on his fucking laptop in the beginning. I don't know if he kept doing it that way, but she's as Christ, but that's why it was so good. I mean it's, it's a single vision. It's from his mind and so like the dice thing, louise got the Louis thing and you know what to expect when you go into watch the Louis thing, so it makes it even more funny. He knows exactly how to do it and when you watch that show that's like, it's so clear that that's right out of his mind. It's his perfect presentation of what his thing is, but that's never. That's such a rare story. Super Rare. It's super rare, but that's why television is not going to make it. It's just not going to make it. If it keeps going this way, it's just the only people that are doing it.

Speaker 2:          00:36:19       Right. Like comedy central. Take some crazy fucking chances. They take crazy chances with their roasts. I was at a roast battle last night. They took grazie chances with that. I mean that is a raw buck wild comedy clubs show. Yeah. No Shit. And comedy central apparently is going to air it. I was downstairs last night from that night, so I heard all the chaos. It was madness. It was madness. Fun though. Yeah. Oh yeah. Earl Skakel crushed when it gets Jesse Joyce. Dude, he crushed as hard as a person can crush. Really? A person can't crush any harder. He hit every note. It was like it was scripted. Oh my God. And then there was adlibs that were perfect to. It was. It was madness. He didn't have a shirt on. He threw water all over his head and threw the water under the crowd. Silver pants on the triple h entrance was the.

Speaker 2:          00:37:11       He had a fur coat. You tell me a fur coat on with no shirt and a silver pants. Oh. And he did it. He did it. Uh, what I judged a few weeks ago, he came out and did the trip go triple h entrance. He came out and like ran to the audience and climate on tables and water and threw it in the audience. Madman. He's a fucking madman. And so he'd beat up on Jesse Joyce, who has to help me write jokes for at midnight tonight. Well, just joyce is really funny. Jesse crushed him out of the box. Jesse crushed him out of the box. The first one was brutal. Who is a joke about him opening up for Rob Schneider, but then earl just opened them up and fucked his mouth. He just, I'll just, I'll just smashed him. It was crazy. It was so much fun though. It was Dane Cook, Bobby Lee, me and Jimmy Kimmel was there too.

