Speaker 1:          00:00:04       Experience.
Speaker 4:          00:03:16       Sometimes you have to take them though. Jeb Blues are good airline. That jet blue that we flew from buffalo to New York City. Jetblue. Jetblue is nice. Yeah. I feel like it's just, there's a thing going on where they just decided to shove as many people into a plain as possible. Forget about how good the experiences, but what if you worked for an airline? I would, I'd have to imagine working for jet blue feels better than working for. So like, like United right now and everybody hates United after that dude got beat up and dragged off a plane. Oh it must be such a bummer. I mean I've had like flight attendants have to deal with all sorts of mean people that are snapping at them cause that guy got beat up.

Speaker 3:          00:04:03       Right? Like Megan reverse threats like oh what are you going to do? Drag me off the here. Yeah. Yeah. Oh for sure. I just offered you a bag of peanuts.

Speaker 4:          00:04:12       Ah Yeah, for sure. Right? Like what a terrible thing to see. We decided he's already sitting down, he's already about to fly. I mean and they say nope, you got to get up.

Speaker 3:          00:04:27       And what's really weird is that like one dude made that decision. He's just a security guy probably for the airport. Probably not specifically for you tonight. And he's just like, he's like, he had it with that Asian surgeon doctor guys like you know what, if too much of an attitude for an Asian Guy, I'm going to drag you out of here. Cause that what happened? I don't know. Like, I mean I don't know if it had anything to do with the Asian guy part, but it felt like it, I think

Speaker 4:          00:04:55       the story was that they had some important United employees that had to be somewhere like that day. They had to be that somewhere for some sort of a meeting. And so in their company, their ideas that these people take priority over the customer to the point where they like physically removed or customer and beat him up. I mean the way they grab that guy and he's screaming like that is crazy for someone who's done nothing. Yeah. And all that guy did was be a customer. And that's like one of the most devastating things you could ever watch if you're like, uh, one of the people that's in charge of publicity for their company, you'd be like, what the fuck did you guys do? Yeah, I think, oh my God. And you beat that guy up and dragged him off the plane so an employee can steal his seat. You're inconveniencing him. You saying you're not as important as our employees. Our employees are more important than you like. That's so crazy that that's their policy

Speaker 3:          00:05:52       and good for it to be a doctor like that. It's crazy too.

Speaker 4:          00:05:56       Hmm? Is that what it was? It was a dark

Speaker 3:          00:05:57       during. Yeah, it was a doctor or dentist or something, but he had patients the next day and he's like, I have appointments. I can't miss this flight. Patients need me.

Speaker 4:          00:06:07       Man. That's so crazy. That's so crazy. It's just so sad. It's so sad.

Speaker 3:          00:06:14       Especially since he paid for it. That's a really controversial stuff.

Speaker 4:          00:06:19       Right? So if you like think of the morale and the way it feels to be on that airplane versus the way it feels to be on like a jet blue. You get those nice big seats. Little Tvs behind the seats. Sound bad at all. Right, so a good ride. It's like just enough space. Like maybe not if you're a big giant person. Don't feel like a dude. My size is just an space. Have you had you met my buddy Justin, Justin Collet and Vegas? Yeah, the giant. Yeah. He's a legit giant. It was like seven feet tall. Huge. Yeah. That guy. He can't even sit on JetBlue without being [inaudible]. But those are the outliers, you know.

Speaker 3:          00:06:58       Does that blue does the a flat bed that Oh, do there? Yeah.

Speaker 4:          00:07:10       Yeah man. Jet Blue is a solid notch up. Joey Diaz, the big jet blue fan was the jet blue air airplane commercial we're doing here. It's not what we were trying to do. We're on virgin right now, which is my favorite.

Speaker 3:          00:07:25       They just got bought by Alaska. So it might be Jeff, please.

Speaker 4:          00:07:29       I wonder what's going to happen. What do I give a fuck? That's true. This is early morning nonsense. Talk with Joe and Tony. I thought you guys were going to talk about the fights. We will. God, we will warm it up. So, um, before fight, when do you think that you want to end? You will go on your first date.

Speaker 5:          00:07:50       I think it's going to be really soon. Is My theory as you saw in this fight and she defended her championship last night. Uh, she's very into me. She kept looking at me. Dude, she did keep looking at you between every round. She made a point to like, you know, like I sorta felt like our backup corner man, she looked over at you pointed to you had started talking to you at one point. Yeah. That was like, this is crazy. I know. Even show in DC and at one point like what the hell and she's guys thing pointing at Tony and talking to him. Yeah, it's hilarious. And like, um, you know, we inspire each other. Like she was looking at me and I'm like clapping. I'm looking at her like that's so crazy. And then she was doing some sort of an interview before the fight and she said something and people were laughing and they were joking around about it. She was maybe Joe Dogan and Tony Hinchcliffe would take me on the road with them. She's so funny. She could

Speaker 3:          00:08:56       be, she could do anything she wants the way she works. She's already funny. Two cheese, she's up bad woman. She gave her opponent a piece of cloth cut out to look like a belt that just said fantasy across the way.

Speaker 4:          00:09:12       So she probably did that herself in the bathroom and shit at the hotel. I've making her fantasy, Beth, this is all you get, bitch. This is as close in j a piece of cloth, but man, that girl that she fought, Jessica Andraj blood a tank. Yeah. That woman has a tank.

Speaker 3:          00:09:33       It's interesting, man though. The women in that weight class, they're all very tough and they always put up a fight up until the rounds go on. She just doesn't get any more tired than she does. You know what I mean? Like she does, but she doesn't show it in this chick's I'll start to wear down.

Speaker 4:          00:09:53       You could see the slightest evidence of it in the last round and she was slowing down a little bit, but still, always on our feet. Still moving. Yeah. Both of them, man. They're both in phenomenal shape because you got to give it up to and drive. She took a fucking beating man. Beating and kept coming forward.

Speaker 3:          00:10:11       Yeah. A lot of friends lake kicks, she absorbed as with her, that'll you go on up Polish Iron Lake.

Speaker 4:          00:10:19       She had us switch your stance a couple of times to switch back and forth. She's getting that leg chewed up. She got tagged with some good shots including a few head kits.

Speaker 3:          00:10:29       Yeah, a lot. I had kids three, five and 10 is like this big snappy had ones in the front. Snap kick to the chest. That shoe looks, it makes me cringe. That would hurt anybody.

Speaker 4:          00:10:45       Yes. It was a really interesting combination. Oh Jesus. This is now you get to understand why Tony was attracted to her voice but it was a perfect combination of like a ruthlessly powerful attacking determined person versus like a person who maybe doesn't have as much physical power or maybe doesn't have as much pop on their shots. But it is a brilliant tactician. We have brilliant technician. Like her technique is so good. Man of footwork is so good. She pops out, jab out the way she like, she like slips that leg kick in slack. You know like she's so high level man and I'm, I kept trying to corner her and she's like, no, not today. No, we're not stand put. We're not standing in front of you. She never really stood in front of her. She kept moving.

Speaker 3:          00:11:38       She kept doing a lot of like just one punches. I noticed Yolanda was in the first few rounds a little bit different than the multiple combinations that I usually see her throat and I was going to yell like combinations, but then I'm like, what the hell do I know? Then I just started yelling, set it up, set it up. Yolana

Speaker 4:          00:11:59       you know what's interesting man? The real high level kickboxing like a world championship Moitai and Bella Beltour and glory and all those like high level kickboxing events you see on television. It's all three minute rounds and what she's doing is she's kickboxing like massive foot work, but she's also fighting off takedown defense, which makes you more tired and she's adding another two minutes. It's really interesting.

Speaker 3:          00:12:24       Well, I mean if I shoot you at least all the fights that I've seen, which is the last four or five, whatever UFC fights. If we took, if we made a compile nation of her getting taken down, Yolanda young j check, she pops right back up. Yeah. Every single time against get Dalia against Valerie. The turnout again, everyone she has, she refuses. Absolutely refuses to stay down. Yeah, she's here mentality that my old wrestling coach I know wishes I had all the times he yelled at me and it's hard because there's a big muscular person. I knew her back but she just like sees through it. She just looks at a one step at a time. You can almost see she was lance her foot, she posts up and she stands up. It's like she doesn't even look at it like a challenge.

Speaker 4:          00:13:15       She's also a superior athlete and a big part of her athleticism and in a kickboxing is her legs. She's a big part of it is her ability to move, which is like a lot of plyometric type activities and also her ability to throw power like in our leg kicks and your knees and stuff like that. So her base and her legs are really strong and when you take her down, she's so technical, they're more tired that she becomes that technical. I'm sure where they're grappling too. So she's doing the right things and she's got a lot of power, a lot of physical power with her legs. She's explosive and fast or balances sick. Very, very hard to take down. And if you get her down, good luck. Keep it a, now she's a little cat. Yeah, she's really interesting man.

Speaker 3:          00:13:58       And she was in full control when the, the what seeming to be the, you know, um, oh my God, I forget her name, but she, despite last name Jessica and Drudge, drudge, when androgyny put her against the fence, she would spin, she would put her against the fence almost immediately. Just like she didn't want to end judge to think that she had control at all for a second. Yeah, she did it. It turns out she didn't have control.

Speaker 4:          00:14:27       It was really interesting because she was always dangerous though. Even though she had control of entourage on drivers, still winging bombs at her, like any one of those could shut the lights out. That curl was so tough, man. I'm so impressed. Yeah, I mean, I'm super impressed with Yolanda because I mean, she's so skillful or movement was beautiful. And the fact that she was able to do that for 25 minutes against a marauding challenge or like that that

Speaker 2:          00:14:52       girl just kept coming forward. Man, she tagger kept coming forward. Kicker keep coming forward. I mean, yeah,

Speaker 3:          00:14:58       it's really hard for women to knock out other women in that weight class especially. Right. But I think that it would be beneficial to some of these women if Yolanda was just a little bit stronger to knock them out. I think taking 300 of those have have, have, have like little demon stone hands to the face. Like

Speaker 2:          00:15:21       I me, I said, who's doing commentary? He goes, she should have gone to jail for what she did to Carla Esparza. She should have gone to jail. And he was laughing at me saying he's a funny dude. Man is for me a is fun and he's so comfortable now. It's really interesting. He so loose cause trash talk is better. Like he's a different person.

Speaker 3:          00:15:41       I've never heard you guys both on there at the same time. Are you guys both covering the like the, like what's happened?

Speaker 2:          00:15:48       Yeah, yeah, yeah. All of it. And is that weird for you to have solid. Great. Love it. Yeah. Yeah, it's awesome man. It's, I like doing it with him and I'd like doing it with Dominick Cruz too and I want to do it Brian Stann. Um, but man, it's fun. It's like doing it with a friend. It's like, you know, and plus you're both enjoying the fights together. Like there was one point tried to, Daniel Cormier is a fun guy, man. He's really fun. Like he says funny shit and he'll look over me in the middle of the fight, like a crazy fight. You're like, slap me on the arm, go God tail and, and he'll like Mauldin sometimes like he'll like share a moment with you. Like where he's looking at this like, are you seeing what I'm seeing? Like Holy Shit, you know, and cause there's a hi, how you doing? I just, I just ate. I just ate. Yeah, we just, we bold just hate. Right before we got on board.

Speaker 2:          00:16:40       I'll just like a water please. Yeah. Actually I have a coffee as well. Just cream please. Thank you. Um, but two, he's really funny, man. Like super funny and like real friendly. It's like a, it's real weird how people don't see him that way. Like in the public eye and I think he's been like a little stiff in some press conferences. But this recent one that he did with Jon Jones, it was hilarious. You hear what he said to him, which he goes, he goes, he goes, John, he goes, I don't even know if his fights going to take place if you don't get in trouble for steroids but doing cocaine. I sandblasted a prostitute,

Speaker 3:          00:17:23       dude, dude, he was hilarious. Does that even mean? But he was hilarious cause talking over John. John was frustrated. He was laughing, he was all jovial. It's like he's found the fun in this man. Yeah, DC's found the fun in it was really interesting. He's so great. That's another one. And he's like, I mean him, the Diaz brothers and Yolanda and I like really my, yeah, DC is really, really, really been growing on me especially. Um, I mean it's like just so many people at him count it out against rumble. Even in the second fight, which he won the first one and still people are like, no way he's going to get his head knocked off and yeah man, you want to talk about being in there with someone dangerous like you can hear and feel the wind to blow by you and humbleness is a punch. Like it causes a fucking a tornado in Japan somewhere when rumble and this is a punch here in Vegas, like that's shit are raising,

Speaker 4:          00:18:25       but don't you think in that fight the rumble was Kinda done with fighting?

Speaker 3:          00:18:30       I think people said that looking back, I, I think he was trying, I think it's sort of a cop out way to look like you didn't lose twice to core me by saying I was going to retire anyway. It's like, dude, if you're going to go out like that, then maybe retire before the fight.

Speaker 4:          00:18:46       No, I think he wanted to just, first of all, I'm sure he wanted the money. It was real good money. Yeah. I think you wanted to give it one more try, but I think that as good as rumble is, and I think he's physically one of the most talented guys of all time, if you don't want to do it, you shouldn't be doing it and clearly if you're retired afterwards is cause he didn't want to do it. This doesn't take anything away from his ability or who he is or it should in any way be thought of as an insult. It's a decision that he's made a personal decision in life and it's his decision to make and it's just put, when you make that decision, it changes who you are. It's not a bad thing, but it does change who you are. There's guys that like they're their focus, they're like a Max Holloway Focus and goal right now is being a champion focus and goal right now is being, but he's not thinking whether or not it shouldn't be fighting anymore. Like he's not thinking that way and it's a personal decision. One day he's going to think that way and when he does he'll step away to just like rumbled it. But he probably had already decided in his head who's going to step away.

Speaker 3:          00:19:45       Do you think he would have stepped away had he won that?

Speaker 4:          00:19:48       He might've, yeah, he might've. He might've just decided to go out with the belt. Look, he's been in a long time, so a lot of hard fights, hard training sessions. He said it himself, I don't want to get punched in the head anymore. I don't want to wrestle the dudes anymore. And I get it, man. It's like, you know, as talented as he is, he has to do what he wants to do. That's what a man does. That's what a human does. If you want to be happy and fulfilled, you can't do something just because you're successful at it. And so he just didn't want to do it anymore. And I think it's should be applauded that he had the, the, the, the sense of self to do that and that he could thank you very much because dude, he's one of the top contenders. I'll take some half and half please. Thank you very much. So like I, you know, I mean Daniel, Daniel beat him up both times, but I feel like, uh, the second time I was just so surprised that he was clenching with Daniel. I was like, this is crazy.

Speaker 3:          00:20:54       Yeah. I guess that's sort of see the entire thank you.

Speaker 4:          00:21:01       Maybe he wanted to go out with a bang and try to take Daniel down, you know, which would it be crazy. Yeah, but either way, man, the dude had an awesome career. He's had crazy highlight reel kaos that will be his forever. You know, like what he did to over to Sherra what he did to Minotauro. Nogueira yeah. Ryan Bader. I mean, come on son, rumble Johnson put the heat on people like no other

Speaker 3:          00:21:27       watching them Gustafson cry in Sweden, like flying all the way to the other side of the world to watch a guy cry in front of his own people. Like, because some monster came and eat it.

Speaker 4:          00:21:40       But you know what that just goes to show you that in life sometimes you've got to do what you want to do regardless of what everybody else thinks. Because here's this guy who's, if not number one number two right behind the champ, right? So you got DC, he's either number one or John Jones is and they've never fought. So we don't know. But if, if, if rumble and Jon Jones did fight, then we would know if rumbles number two of reason number one in terms of like the the biggest challenge to call me yet, but you know, he's got to do what he's got to do. If the cool thing about, you know, like life, you make decisions like you don't say to a guy, hey man, I'll keep me on point Numa Moon because he's, I got a, I don't want him shit. I never even trained it. Like come on pussy, you're scared. Like, no, I don't want to, I don't have to. You know, and that's just cause rumble was really good at it. It doesn't mean he has to keep doing it. Yeah.

Speaker 3:          00:22:34       Yeah. Now he's going to go knock down airplanes out of the sky. All right, last thing is a giant. Are you drunk?

Speaker 4:          00:22:46       What happened to you? You just fell apart. You like in the middle of that referred, you lost faith in it, right? I can see it in your face. They're like, I'm just going to follow through with this. I'm just going to leave this tear down here. Yeah, I think he's got to do something with football. Is involved with uh, the rams or something like that in the like the business side of it. That's the rumor I heard. I shouldn't be spreading rumors, but uh, anyway, real good dude to rumble. Johnson always been a super nice guy like that dude. And again, that highlight reel that he has head kick knock out of Kevin Burns mean he's, that's crazy. Knockouts man. The duty knocked out. The one from the ultimate fighter. Jesus Louisa's remember that? Oh, he's a beast.

Speaker 3:          00:23:36       Every time he hits somebody square their knees buckle. Yeah, he hits them and their needs. It's like electric heats the body in the shit. It's like the whole body tenses up.

Speaker 4:          00:23:46       It's really interesting because he obviously has a very good technique and the throws his body into everything very well. And you know, like he's obviously a really strong guy, but the strength that he has, the power that he has in his striking is almost like you're born with that. Like he has all the elements to accentuate that power. Like he has all the technique and he has, his movement is excellent. He's, he's quick. So like as he's delivering these shots, it's really well timed but it's, there's more than that. There's, there's a component that is like a natural gift that he asked for hitting really hard. And then it's what separates him. It's like you have all these people that are like really, really dangerous and then you have rumble. It's like he's in this total different dimension of his own where you just can't get hit if you get hit, you're fucked. And the only guy has been able to absorb it somehow is Cormier. Yeah.

Speaker 3:          00:24:37       Yeah. And he barely was. That's why like, I mean that's why I love, I mean for me it's really growing on me so much lately is like, cause he did absorb that you have a crowd, like not give him credit for being an outstanding wrestler. And barely avoiding, you know, I mean he did got his head got hit by rumble in that first bite especially and like it all started coming down, but he was avoided it and bought a battle. It's a battle and like getting hit and recuperating is a huge part of it and not getting stuck in a choke hold by a wrestlers. Another part of it. Yeah. And you know, [inaudible] survived his spark and it surprises me that the crowd is against him. I think that fight against Silva sort of heard him with a crowd because of course, yes, he's going to wrestle the shit out of Salva. What are you going to do?

Speaker 4:          00:25:29       I don't think that was it. I think it was all the John Jones stuff is the fact that he got the title sort of in what many people consider an illegitimate manner. Meaning are they strip Jon Jones, which makes sense that they stripped him, you know, he violated the code of the organization and he personally and mentally fucked up, made giant mistakes. But everybody knew that John was the baddest motherfucker on the planet when it came to 205 pounds. There was one dude that dude was Jon Jones and the only thing that was beaten, John Jones is it. John Jones wasn't training and Jon Jones did this press conference the other day with Daniel two and 10 was talking about kinds of ship. John went deep. He goes, I beat you after a weekend of cocaine.

Speaker 3:          00:26:08       Do you know? And to Michael Johnson was cry and laugh and he was like, Oh shit. Oh Shit. That's the most cold blooded stuff in the world. I mean the Diaz brothers, you know, blatantly smoking pot and beating up their opponents is one thing. It's a brag about doing an entire weekend of cocaine to Jon Jones. A bad motherfucker. Cause they mean nobody just does cocaine. Right. That means you've been drinking probably hooking up or whatever. I mean that seems to be helped. Most people do cocaine. I don't know how it works, but it doesn't seem like that thing. You just, you by yourself. You know what Jon Jones

Speaker 2:          00:26:44       can be the best of all time. Really could still, it's only 30 years old. You've got to realize one way for us to know Daniel for me has to do cocaine for a week to ag. No, no, no, no, no, no, no, no, no, no. I cut you off. I think. I think Daniel in that fight was hampered by emotion and I think that John Really got under his skin and really taunted him and got him fired up to the point where it was detrimental to them. He got overcome with emotion. John, it's good shit talker man. We did an interview, whereas I sat in the middle and Daniel sat to my right. Charles had to my lab and dude, John's ruthless. He's so ruthless. It's a whole another part of the game. Rack it up there with, you know, with boxing and Jujitsu, but you didn't even get to see it and they didn't even put part of it online.

Speaker 2:          00:27:34       The best of the best shit. But I'm just saying about shit talking overall, but I'm saying Jon Jones is shit talking to Daniel called me. The best part did he would get online. The best part he was calling them is pussy. He's like, he goes, you're my pussy. He goes, you're always going to be my person. He does. I'll fuck you up. Every time we fight, it's just like, he's like, it doesn't matter. It doesn't matter what, what happens? He goes, you know, every time we fight out, fuck you up. He goes, you're supposed to be a big time wrestler. He goes, I took you down man, because you're an Olympic wrestler. I took you down. He's like, I beat your ass and you could, Daniel was very mad. I mean, the two of them were, it was very intense. I was that face to face interview.

Speaker 2:          00:28:18       Yeah. It was intense in the middle and like a director's chair. No, that's how Max Kellerman does it. Uh, you know. Yeah. I wasn't a director share Max Kellerman does it, I think better honestly because like Max Kellerman does is he sort of faces the screen and the fighters face each other beside him to his right into his left. We had it almost like a sort of a semi circle. And so, uh, the fighters, it would have been better if we did it at a table the way HBO did it, but it was the only time we ever did it and it was very, very intense. It was very intense. John John says he's a bad motherfucker dude. And like DC had this whole crew with them and John Jones was like, I'll fuck all you up. I'll fuck you up. He goes, don't look at me big boy. I'll fuck you up like I do.

Speaker 2:          00:29:00       I do. To scare him with the dudes and stare at them and try to give him some attitude. John's just straight up looks at it was like, I'll fuck you up. I'm looking at me like that. You think is going to make it to this fight? Oh yeah, for sure. Yeah, for sure. He's not going to fuck this up. And it's, what's fascinating to me is when you watch these guys, John had each other when no one can see. That's when you know there's no press. There's me and a couple of the people that are around for the UFC employees. Me, this is real. Like this is, this is two guys trying to get under each other's skin and John was very good at it. So this was after the first fight when they were supposed to fight for the second time and then it got canceled and John got stripped and the whole deal. So now, now they're finally going to go after it. But John's only been back in the octagon once since then against [inaudible] St Crute. Yeah.

Speaker 3:          00:29:49       Yeah. I remember that. We were at the bar,

Speaker 2:          00:29:54       so all this shit's been going down and the only time John's been in the cage since all this shit went down because the open st pursuit of, they were originally going to rematch. He fought over in Saint Peru. He beat him, but he felt like he was off. It seemed like it was good. Big. I think overtake proves real good. Yeah. And I also think he wasn't planning for open st pro. They have the WHO's planning for someone else, you know, that was when Daniel got injured, wasn't it? No, the day and get injured. I don't even remember. I'm not even going to look it up. How about that folks? The point being that's an interesting fight man, because they're going to go at it again in July and now Cormier has got all this momentum on his side. Core me a beat rumble. He defended against Gustafson or did he beat Gustovsen to win it?

Speaker 3:          00:30:41       Uh, cause it was, it was rumble

Speaker 2:          00:30:46       core may be rumbled a win it. That's how he got the title. That's right. And then he defended against Gustafson and then he defended against her. I'm home. Yeah.

Speaker 3:          00:30:54       Yeah. And he just rubbed Silva and a non title mentioned between, that's right. That's right. And that was a weird fight. Yeah, that was, yeah. Double leg. Take down shoe low. Call it the room. Yeah, he does. Was a bigger man. That's a wrestler. Should, I mean if it, it's one of those like if it ain't broke, don't fix it things right. Yeah.

Speaker 2:          00:31:22       Well Cormier is just such a stud wrestler. You ever see his fight with Dan Anderson? It's been awhile. Dan Henderson, who's a beast, you know, he's a former Olympic wrestler himself, but just not really the same size and call me a, just threw him around man. I mean just through him all over the place. I think he choked him out too. When you choke them unconscious, that'd be just manhandled them and you realize like how strong call me a really is and how good his wrestling really is. It's like super, super high level shit man.

Speaker 3:          00:31:58       That play last night that's stole the show was uh,

Speaker 2:          00:32:06       chase, Chase Sherman and Rashad cold.

Speaker 3:          00:32:08       Oh my. Yeah. Good Lord rock 'em sock. 'Em robots. Crazy in and off they go. It was interesting because again, like, I don't know what you guys are saying and commentary or just far enough away where I can't hear you. Like I ain't notice that the guy, not leshawn but his opponent,

Speaker 2:          00:32:28       Rashad, Rashad leshawn just giving some random black day.

Speaker 3:          00:32:34       I'm from an all black neighborhood. I just call everybody listening. Um, he was kicking Rashad's leg over and over again to where we shot, couldn't use it, but then he kept going for this knock out instead of just keeping attacking the leg. Like what do you think about that?

Speaker 4:          00:32:51       Well, we definitely got a little anxious and he allowed Russia to get back into it by walking them with some haymakers but you know, it's just part of what's going to come with experience. He's a young kid. I'm thinking he's only 24 years old, 24, 25 Sherman and um, if I remember correctly and he's under the tutelage of Alan Belcher. And um, so he's like, I think he's got like real potential. Matt, you start also done some, uh, some work in Albuquerque. I think he was there with a Winkeljohn no, the um, Jackson people in Albuquerque, so, so great coaching, look real good man. Look real good on his feet and just, just, it was a slobber knocker man. Crazy back and forth, heavyweight fine. But if that kid can get it together, like he's got real good movement, real good kicks, just got to make good choices. Like decide when to go in, when to charge for, when to put yourself in danger. He didn't have to, he could've kept doing what he was doing. That dude was kind of incapacitated with those leg kicks.

Speaker 3:          00:33:52       Yeah. It was a firework show. Yeah. I'm one of those ones. Where was that? Is that guy from American top team too?

Speaker 4:          00:34:00       Who? The shot? No, that his opponent. Sherman. No, no, no. He was a, I'm pretty sure he's with Jackson's.

Speaker 3:          00:34:10       That American top team had like so many fighters like oh yeah, Billy, right. Yeah, it's pretty crazy. And they all did pretty good.

Speaker 4:          00:34:18       Yeah. Yeah, they did pretty good. I mean y'all wanna one obviously junior got knocked out. Um,

Speaker 3:          00:34:25       well one was called a job at the Eddie Alvarez is neat, but that was,

Speaker 4:          00:34:33       well Mazda dog who's American top team lost to Maya and as close to decisions you're ever going to get. It was a split decision and then Daniel was trying to lose, try out. He was like, he give the guy more credit for doing damage for the first half of the round or do you give the guy more credit for being able to control the guy and go after submissions for the second half of the round and what is worth more? It's a really good question because the mosfet all Damien Maia fight like one round of it particularly like the second round is a really good like case study and judging and maybe like athletic commissions should review that fight and say, hey, this is a, this fight is a really good example of a fight where it's really subjective. Like we, and we have to kind of quantify what, what is more important.

Speaker 4:          00:35:23       Like if you, if you got the exact same amount of time but one thing hurt the guy and one thing didn't, is that a, uh, you know, is that uh, uh, does it go towards, does it go go towards a kickboxer or did it go towards to like the one half of the round where the guy was fighting off being strangled for every second of that two and a half minutes? Where do you think, I don't know. It's an interesting argument. Like on one side I feel like Mosbey Dell did more damage and that that should be worth something. But in the second part of it, like he was threatening at Mazda. Dahl wasn't threatening at all once my got on his back, you know, so once my I got on his back is like, Jesus man, this is a, this is a constrictor on top of you.

Speaker 4:          00:36:08       Yeah. And you know, Mosfet all did defend at one time and at the end of one of the rounds, uh, got the first round I believe, got my office back and landed some good shots at Maya was trying to take them down and control them again. So he did get off some damage. So arguably he could have got that round because he did a little damage in the beginning. My, it took him down and defended successfully and then he did some damage at the end. But you'd really have to like have a real conversation about what's most important. Is Control most important or is damaged most important or threat? Most important because like Mazda Dahl wasn't close to knocking Maya out. You didn't have them like staggering around the cage. But that could have come at any moment. Yeah. So it's like there's threat there and he's clearly hitting Maya more than my is hitting him.

Speaker 4:          00:36:57       So you have to assess like what's more threatening because when my has got you down, it's got your back boy, there's a really high likelihood you're getting choked. But yet Mazda it all figured out a way to get out of that. So he should also get a little bit of credit for his great defense, but more credit should be tomorrow to Maya's control and my as attacking in Maya's owning the position, like he pretty much controlled the position for a good chunk of that fight when he got the back or when he got him on the ground. So it's a, it's a weird conversation.

Speaker 3:          00:37:27       Judges last night with the Texas State Athletic Commission, some of them, did these people like work with, are they the same people that are in the Vegas?

Speaker 4:          00:37:35       Sometimes it depends on the commission. I, that's a good question. I think I would have to, I'd have to look it up to be sure. But I think some commissions will bring in more experienced guys. They'll hire people like especially with the referees, you see that there's referees. I curb dean's like super experienced and you know, you get like Eve Levine's also super experienced Dan Burglar Yada, super experienced and you get these guys, you'll see them all over the place, they'll do it.

Speaker 3:          00:38:01       So you ask her dean after that, Eddie Alvarez, I don't know if we heard yeah, the answer,

Speaker 4:          00:38:07       well her first of all, herb is like one of the most reasonable and logical guys will ever talk to after a fight like that. He's not, he's not emotional at all. He's, and it's one of the reasons why I think he's like the gold standard. It's him in big John McCarthy and my eyes were the best of the best. And you know, not that there's anything wrong with the other people. It's a lot of great referees. I think Dan Burglar Yada does a great job too. But uh, herb is so like calm in there. He's, he just makes good decisions. And he is a not a fan at all of guys playing that game of touching the hand down to the ground and avoiding the knee. He thinks it's bullshit. Anythings if you get hit when you're playing that game, he's, he's going to let it go. He's like just too, it's too much of a scrap, like any offers of saying this is a fist fight and he's just trying to win and there's, he's pulling triggers and they're in questionable moments.

Speaker 4:          00:38:58       The referee's not stopping him. He's not saying is he's down to fighters down. Like you can't even see sometimes if you're holding onto a guy, oh you're in a, a situation where you're just a few inches from him. You're not sure whether or not his hand is touching the ground. Fuck you are sure you can fucking knee him in the head. A lot of times you're just going to go for that knee to the head. You got to take that chance. And I think that's what Eddie said and I think Dustin believed him too. Cause you know Dustin's stood up for him in the, the post fight interview. He was like, don't you do this band? It's like he's the guy who got hit with the illegal shot and he was still saying, don't do this God. So I asked her after the fight, I said, what did you think that go?

