Speaker 1:          00:00:00       The Gay folks took over the rainbow for three to, will it work today, Jamie?
Speaker 3:          00:04:31       Certainly if you're 20 years old, you're an adult, you're still growing, you're still changing, you're still learning. I'm not the same man I was when I was 20 but you have to be responsible for your behavior. Yes. I don't think you get a total pass either. It's hard now. You do not get a total pass. And you know, for folks who don't have a 20 year old in their life and don't remember what it was like, you know, you're not a fully formed thing yet. You're, you're filled with chaos, emotions and hormones and yes. And then you're at school and you're probably a way from the instructions of your parents for the first time and you know you're cutting loose and trying out new new ways of communicating that way. It's, it's a lot of, it's a mess. But most people felt horrified watching that, that you were subjected to that when you're being very reasonable.

Speaker 3:          00:05:24       And also what it all came about was your wife had sent out an email saying like, hey, maybe it should be okay for someone to wear a fucked up Halloween costume. You know, maybe it's okay to, for someone to dress up like crazy horse. We have, well we'll actually, just to be clear, what Erica was saying in that note was not, this is very important intellectual distinction. I think we've, we've lost a lot of nuance in our political lives in general in our country right now. And also in the, in the nuance and the way we think about difficult topics. So Erica was saying

Speaker 2:          00:05:57       was not that necessarily the people, she was not taking a position on any particular costumes like this is okay. In fact, many of the costumes that would have offended the students would offend her. But she was saying was that she didn't think the university should be telling students what to wear. And she was asking the students, do you students really at this age at Yale, do you really want the university to be sending you guidance on what to where? Perhaps you should think about that. You're adults, you're smart, you're in an environment that privileges free expression. Do you really want to grab the power to an institution to tell you how to communicate? And people then a thought that she was saying that, uh, that she was defending a particular course of action. What she was saying was, um, you, uh, she was saying, do you students really want to surrender that kind of control over your own lives to older adults?

Speaker 2:          00:06:54       And apparently many students did actually. They wanted, they did. They did. So I don't believe they did. I think they wanted absolute enforcement of what they thought to be wrong or right. Yes. Yes. I think that's right. So they, they, they, uh, they did the many but not all of the students. I mean, let's, let's also be very clear and in part of the motivation in, in Erica a writing that note was that, uh, many, uh, many of her students and in fact many hundreds of other students felt infantilized by this policy. And there had been a big buildup prior to that event, including an article in the New York Times about these Halloween costume policies around the country and weren't they kind of ridiculous. And so there was a, there was a kind of a, a ferment where people were saying, wait a minute, do we really need adults to be told in this institution, especially given its commitments to open expression, uh, what to wear.

Speaker 2:          00:07:54       And keep in mind that there could be many ways in which a costume that offends you might not, might, I might not know why. So let's say you had been abused by a priest and you were that one of the rules said you shouldn't, a mock religion for example, was what one of the Pr, one of the provisions. So, so a a university wide email went out, signed by 13 people saying, um, you know, don't, don't, uh, don't mock people's deeply held faith traditions. Well, what if for the sake of argument, you had been abused by a priest and you want it in Halloween to dress up as a Catholic priest, for example. Uh, you know, holding a doll and someone else who had a different, who was Catholic was very deeply offended by that. Well, who should adjudicate that? Like, you know, is it the role of the institution to come down and say, yes, you can express yourself this way.

Speaker 2:          00:08:46       No, you cannot. And so the argument was let the young people learn, let them sort it out themselves. Let them learn by talking to each other, expressing themselves, saying, you know, that hurts my feelings. Here's why it hurts my feelings. And the other person say, oh, I understand, or I don't understand, I reject that reason. And, and sort of buy into a kind of commitment to free and open expression that actually I think ultimately serves the objectives of righteous social progress. If we really want to do better in our society or in any society in my view, we have to create an environment where we can talk to each other, grant, good faith, uh, listen carefully, make subtle distinctions and, and free people up to express what they're thinking so we can have a real marketplace of ideas. That's, you know, my commitment or my belief.

Speaker 2:          00:09:36       Well that's a wonderful belief. I love it. I mean that's really a, I couldn't agree with you more, more enthusiastically. That's really, that sounds like the best possible environment for growing up and learning. As long as you have someone to sort of moderate or someone to mediate if things go sideways. Yes. Or I don't think you necessarily need a third party mediator, but you do need a shared understanding of, of a core liberal principles. And these principles do include, as I mentioned earlier, I kind of commitment to free and open expression, a commitment to debate, a commitment to reason. So how are you and I going to come to a better understanding of what is true about the world we could fight, right? And then the, the stronger person would decide what's right. We could vote. Doesn't seem quite right either. You know, a 350 cardinals voted that Galileo was wrong.

Speaker 2:          00:10:29       That didn't make Galileo wrong. Or we could use principles of reason, an inquiry to try to appreciate the world together, right? We're looking out at the world and saying, that's confusing. You know, does the sun, does the earth revolve around the sun or does the sun revolve around the earth? Or that's confusing. Should a king have monarch, you know, should a king has ultimate authority in a state or is that not how we want to organize a state? So we, you and I look at the world and debate and think about, okay, and we exchange reasons and we use evidence and ways of understanding and studying the world. That to me is the only way to truth. Actually. Now, some people will think that religion is a way to truth, right? They think that the truth is, you know, has god given. For example, now I am very sympathetic to religious belief systems, but I don't think that's a way to truth that it's a way to, some truths actually it's a way to some some wisdom, but anyway, so that's what our universities and our society, our universities are officially committed to that the mottos of our universities are all about free inquiry and pursuit of knowledge and our country is committed to that in our bill of rights, right.

Speaker 2:          00:11:35       We have a commitment to free and open expression, freedom of assembly, freedom of religion and so forth and, and those ground rules then in my view, make it possible for us to have a better society and, and there's more academic. Well, I'm sure we will get into it. No, I'm sure we will. Again, I couldn't agree with you more. Yeah. I

Speaker 4:          00:11:53       just think we need more reasonable conversations and the screaming and shouting people down and less toxic mob action. Yes. Yes. The mob action is very weird because I don't remember it well from the like from the Vietnam war protests to what's going on today. There was this long gap where you didn't hear about university shutting down speech. This is fairly new. This is within the last half decade or so.

Speaker 2:          00:12:25       Well let's not yet. Yes, yes. I mean they're always there. There's always an undercurrent of tension about this at, at universities and in our society at large. Uh, you know, let's not forget the McCarthy era where you had the right wing was, you know, really interested in shutting down communists. Like if you were a professor or an artist who had far left political views, you were screwed and that's what's wrong.

Speaker 4:          00:12:49       Or even if you would want went to a communist meeting, find out what it was all about. Yes. Just to,

Speaker 2:          00:12:54       yes, yes. In fact, that's a great example because that's like right now I see a lot of people being criticized for following online people they disagree with, which is nuts. Crazy. So I just, because I follow someone doesn't mean I agree with what they're saying. I'm interested to learn. What are they saying? I'm friends with people. I don't agree with me too. I'm friends with so many people that go to agree with. I have a friend, I have, I have friends across the political spectrum from the, I don't have any monarch. Yes. Among my president reservoir or Monica. But I have friends with the far right to far left. I have a friend who really believes he's sold libertarian. He thinks there should be private ownership of roads. Uh, whoa. Yeah. I mean, yeah, I think that's ridiculous. And we debate. He, you know, must be white is actually my wife says she would just once like to meet a poor libertarian female libertarian.

Speaker 2:          00:13:48       Yes. No. Yeah. That's a ridiculous position. I think so. Private roads get the fuck out of it. Yeah. Okay. But so here's the thing, but okay, how are we going to persuade this man that he's, he also thinks somewhat less controversially. It's harder decision. He also thinks that you, you shouldn't be, you should be able to sell your book, your organs. You know, we should have a market and kidneys, uh, that you, you know, you right now you're alive. Yeah. You can give away one of your kidneys, but yeah, you can, we allow you to give it away. But we don't allow you to

Speaker 4:          00:14:19       sell it. Wasn't there an instance, Jamie, that you were telling me about, about a young guy who was sold as kidney to get an iPhone? Does that in another country, another country? Yes. Yes. And wound up having an infection and lost his second kidney as well. Yes. And then would need to be under yes. These things. Yeah. And these things, these things happen in the, but in the United States, it's prohibited. You can't do that. You also can't sell your blood in the United States. There's a reason for that. Yes. And that's a good reason. A good public health reason. Yeah. Because people who want to sell their blood are usually fun.

Speaker 2:          00:14:48       Correct. And so it's not a safe, the blood supply is in countries where you were people terribly altruistically doing it. Exactly, yes. But the kidney is a harder case anyway. He believes that he, he, he, anyway, so I love debating him and I learned from it. Like recently, he said to me and I, and I think I have a better answer. He said, he doesn't understand why blackmail is illegal, but a point is it goes hand or kiss, anarchists and Libertarians, all of them need their asses kicked there. Really do. Exactly. But the, these are like, and I think 80 kind of extreme ideology, but the point is we can learn, there is some wisdom almost anywhere, right? And, and the problem comes from excess expression. You know, the, the, the problem comes from, um, you know, there's, there's, there, there, there the problem comes, you know, when we take things to extremes and we get to, you know, private ownership of roads.

Speaker 2:          00:15:47       But anyway, and by the way, if you're an anarchist or a libertarian, I'm kidding. I don't really pitch when you get your ass kicked. I'm just joking around. But it is a mob after, it's a position that I always feel like to be remedied with psychedelic drugs. It could be, yes. Almost always could be. Like, I get, you know, I just, I get where they're coming from. I understand personal responsibility. The idea that the free market should decide, get all that, but we are ready except that there's some things that we agree on that we should all chip in to pay for. Like, like roads. Yeah. Or like assessment abilities. Well yeah, are like assessment of drug purity for example. So the very rich could set up a laboratory in their basement. So whenever a doctor prescribes a medication, they could see if the drugs are safe and pure.

Speaker 2:          00:16:34       The rest of us pay taxes. Now we say we're all going to pitch in together and we're going to have the FDA and they are going to certify drug purity so that when I go to my pharmacist and by a drug, the pharmaceutical companies and killing me by shotty manufacturing practices. Yes. So I think that's right. We get together and as a free society and we do these things, we want a non-corrupt judiciary. Right? We don't want people to be able to bribe judges. Shore. Exactly. Yeah. So there are certain foundational elements of our civilization of our society, which are crucial to our wellbeing. And one of them is the capacity to openly debate ideas and to expose ourselves to ideas across the gamut. And I'm not just talking about political ideas, I'm talking about scientific ideas. So how are we going to win the battle against anti-vaxxers? Like how are we going to persuade people who believe that vaccines killed people for which there is no scientific evidence that they're wrong. We could imprison them like that's force. Uh, we could vote, which is sort of what we're doing. We're saying, okay, well you're a minority group who believes these things so we're not going to allow you to control policy. Or we could try to win the battle of ideas and persuade them. Ultimately, that's the only path in my view that gets us to where we want to be. Yeah. And

Speaker 4:          00:17:50       just an honest assessment of the actual data, like what we really know and understanding how the scientists come to these conclusions. But the problem is these echo chambers where people get involved with online that magnify all of these beliefs and you get radicalized. I mean, I've seen true people get involved in these Facebook groups. He's anti-vaxxer faces or Facebook groups or you know, all, all sorts of different things. I mean that's how these flat earth people get going. They start listening only to people that are involved in this circle. They don't have a greater understanding of the science involved in,

Speaker 2:          00:18:27       did you just see, I just saw online their sec a cruise to the flat or cruise for a flat earth. I don't know if you saw it too. The ice wall. Yeah, the ice wall. Ooh, that's a new wrinkle. Cause the old flat earthers used to think that the water was shown falling off the disc of the earth. You know, like the edge of the earth. They was just a disc. Now the new theory that there's an ice wall, actually, it's kind of not falsifiable B, that is to say you, you could get on a cruise and sail to the edge of the earth and you would find a wall of ice there. So you Antarctica. So you'd think, Huh, it's flat. In other words, they, they, they have redefined their theory too to make it so that you can't disprove it. Right. You don't get to an edge, there's no edge. There's an ice wall is what they're saying. No. And Are you aware of Hashtag spaces fake? No, I'm not. I have to say it right

Speaker 4:          00:19:18       and not expose myself to that space. There's a bunch of people that believe that space is fake, but it's not real. But there's no real space and that there's like lights up there. Oh and that this is some sort of a plan by Satan. It's a lot of, it's very biblical. It's really interesting. A lot of the flat earth stop is very biblical. That's it has to do with the firmament. And they use descriptions and depictions from the Bible. Oh yeah. It's super bizarre. And what's really bizarre is when you listened to the youtube videos or these discussions that are done by people that use words that are real, they string them together correctly. They have like full sentences, they appear to be articulate. It's very confusing if you're a dummy, if you listen to those ego like wow, this guy's making a lot of sense. He's not. But it sounds like he's making a lot of sense cause he's using all these words that are correctly, users know oms he saying it articulately. There's like everything seems like like, oh my God, this man is exposing. He's exposing the reality. But it's not. It's just fucking nonsense. And if you don't know any better, and that's all you listened to, that's where your head will go. The same with the Anti Vaccine Movement. If you only listened to these anti-vaxxers, they're making so much sense like, oh my God, it's giving everybody uh, all sorts of ailments.

Speaker 2:          00:20:41       And they have a theory of how it does that, which is not, it's uses as you say, scientific words, but it's actually not correct.

Speaker 3:          00:20:48       Do you know it does this, which then does that, which then does that, they lay out a kind of causal chain, which is false. And then there's a problem of nuance in perspective because there's so many people that get vaccinated. There's hundreds of millions of people in this country, billions of people worldwide. And then there are instances, rare occurrences where people have real issues with vaccinations. Well, there are some where they have real issues. So for example, there's some vaccines which are known to cause certain neurological conditions, rarely went out of a million or one out of 100,000 vaccinations. More commonly is a situation in which you have vaccination is so common. Everyone is getting vaccinated and often that occurs near to an occurrence of some other rare condition. And people associate the two they think, oh, because of the vaccine, this happened. No, it's a coincidence either or.

Speaker 3:          00:21:35       Yes, there's both in the, and there's also, you know, if it's one out of a million and you have 300 million, exactly. You have 3 million. 1 million people with an issue is a big deal. Yeah. With 300 million people. Yes. You, you easily could have 300 really big cases, you know, 300 cases where if something died from vaccines and then you bring those in front of people and say, Oh my God. And then there's this one and this one, this one, and there's 298 more. And you're like, Holy Shit, all these people are dying from vaccines. As you know, it doesn't feel good if it's your child, but when we look at the greater perspective of humanity and you say, well listen, you don't want to bring back smallpox. You don't want your child to get measles. Babies can get measles when they can't even be vaccinated for it. This is one of the reasons why we need to vaccinate children is to make sure they don't get measles is a serious fucking problem and a serious problem that scientists have labored for untold decades to try to try off of our civilization.

Speaker 3:          00:22:36       That we can actually stop these diseases. Yes. And save children's lives. I had a woman yesterday who is an expert. She's a medical historian and expert in Victorian era surgery. Uh, Lindsey Fitzharris and she wrote this great book called the butchering art and in it there's all these images. Should she, one of them, she brought up of what smallpox actually looks like when people get it, it's horrible. It just covers people's bodies. Yes, you've eradicated this like painful and you die from it. It's actually gone. Yes. We don't get it into in this country as funny where credible, it's credible. But that's obviously neither here nor there. So this book a blueprint, the evolutionary origins of a good society. When did you start this? About nine or 10 years ago. Uh, and I, at the time in my lab we were doing research on friendship. We were doing research on, on why people have friends. It's actually, it's not, it's not difficult to provide an account for why we have sex with each other. Uh, many animals, most animals are, well, I don't know if it's most, but animals either reproduce sexually or asexually and most animals, I'm trying to remember now what the relative proportions anyway, mama

Speaker 2:          00:23:46       say most, most animals reproduce sexually. And it's not hard to provide an account for how, um, for why we, why sex originated, why we reproduce sexually. It's not hard to provide an account for. Why we are choosy in our mates are why we are careful in who we have sex with. But human beings don't just mate with each other. We befriend each other. We form longterm non reproductive unions to other individuals to whom we're not related. Why that's very rare in the animal kingdom. Very few creatures do this. We do it. Certain other primates, elephants, certain whales and that's mostly it. So the question is why. So I became very interested in my lab and trying to understand the deep origins of friendship. Why would natural selection have equipped us with his capacity? And that set the stage then for an exploring all kinds of other things in our lives, like why we love each other.

Speaker 2:          00:24:39       For example, why do we, why do we, when we have a sex with a person, we tend to become attached to them. We develop emotional sentiment about them. That's not an essential to having sex yet. We do that. And then I became interested in other kinds of good things like not into just love and friendship, but cooperation and teaching. Teaching is another crazy thing. We take it for granted that we teach each other. But think about this. Most animals are able to learn. So a little fish in the ocean learns that if it swims to the light, it finds more food there. So the fish then learns to, to, to be tropic, to move towards the light. Uh, and that's individual learning. Some animals, uh, developed what's called social learning. Social learning is really efficient. So if I put my hand in the fire, I learned that I burned myself.

Speaker 2:          00:25:30       I pull my hand out, I've learned something, I paid a price and I learned something. I could observe you putting your hand in the fire. You pay all the price. But I gained most of the knowledge. It's almost as good. I learned, oh people, you shouldn't put your hand in the fire saw that Joe put his hand in the fire. So social learning is super efficient learning from others, but we take it to an even further level. We don't just passively observe other EH, other animals of our own species and learn from them. We teach each other. That is very rare in the animal kingdom where one animal sets out to teach and other animal something. So the book is a, is, is, uh, is about the evolutionary origins of a good society. It's also a kind of a response to kind of push back to a long tradition in the sciences of attention to the bad parts of our nature.

Speaker 2:          00:26:21       You know, uh, scientists in my view have for too long been looking at the origins of, of murder and tribalism and selfishness and mendacity. Um, but, but I think the bright side has been denied the attention it deserves because we have also evolved to love and to befriend each other and to be kind to each other and to cooperate and to teach each other and all these good things. And I'll shut up and please don't know. And, uh, and here's the thing. Here's the sort of one way to think about this. This must have been the case that the benefits of a connected life outweighed the costs. We would not be living socially. If my exposure to you harmed me and Annette. Other words, if I came near you and you were violent to me, you killed me or you gave me misinformation, you told me lies about the world than my connection to you would ultimately harm me, that I should be better off living as an isolated animal.

Speaker 2:          00:27:22       So animals that come together to live socially there, the benefits of that must outweigh the costs. My living us living as a group. So all this attention to the ways in which our interactions are bad, that we kill each other, that we steal from each other, that we lie to each other, that we have tribalism and all of these traits which we do every century is replete with horrors. I'm not like Pangloss like I don't think like, you know, Pollyanna like, oh, everything's great. That's not me. But what is me is a kind of optimistic focus on the good parts of our, of human nature and the recognition that those good parts must in toto overwhelmed the bad parts. While they certainly have to, there's so many human beings. I mean it's obvious that this is working. Yes, we have propagated where everywhere on every single patch of land that's occupiable.

Speaker 2:          00:28:15       In fact, you're, you're exactly right. The argument, and that's discussed in the book, the way we have achieved the kind of social conquest of the earth, the way our species is, is as spread out to occupy every niche, which is also very rare. Most animals live in one, you know, grizzlies live in, in this part of the world. They don't live in Amazonia. And, uh, you know, polar bears live in this part of the world. They don't live in, in Arizona, et Cetera. So, so, uh, but our species lives everywhere. And the way we have come to be able to do that is by the capacity to have culture, to teach and learn from each other, to accumulate knowledge. So in the book I talk about lots of this, a famous set of stories called the last European explorer files about how European explorers are lost.

Speaker 2:          00:29:01       They lose their supplies, they wind up dying. And um, but they're in an environment in which other people thrive and survive because they have learned to how to live there. So we've spread out around the world and then don't, there's a chapter in the book at the beginning about shipwrecks. So, so I have this, should I go on chaplain? Yeah, I have this, I have this. Uh, so, so what I'd like to do is, what I tried to set out to do in the beginning of the book is I say, look, it's clear that our genes shaped the structure and function of our bodies. It is increasingly clear that our genes also straight shape the and function of our minds, our behaviors, whether you are risk averse, uh, how intelligent you are. Uh, uh, whether you, uh, have wanderlust, uh, these properties are properties that depend in part on your genes.

Speaker 2:          00:29:54       But it's also clear to me, and that's what the book argues, is that our genes shape not just the structure and function of our bodies, not just the structure and function of our minds, but also the structure and function of our societies. And to really prove that what we would need is something known as the forbidden experiment. And the forbidden experiment is an experiment in which we took a group of babies who had never been taught anything, who are a cultural, had no culture and stranded them on an island and left them on their own to see what kind of society they would make when they grew up. You know, how would they organize themselves socially? Is there kind of an innate society that human beings are prewired to make in an essence? Now, obviously that's unethical and cruel, but actually monarchs for thousands of years of contemplated this experiment.

Speaker 2:          00:30:41       So Heraclitus writes in about how one of the ancient Egyptian Pharaohs wanted to know what kind of language would, what was a natural language we had in us that we would speak if we were not taught language. So this pharaoh, it is said took two babies and gave them to a mute Shepard Terez to see how did the children's speak when they grew up and uh, and, and, and uh, the emperor Akbar attempted this, there was a couple of European kings at attempted this. Obviously we can't actually do this. So what I do in the book is I look at a series of other approximations of that. And one chapter is devoted to looking at shipwrecks groups of men typically, but sometimes men and women who, between 1500 and 1900, there were 9,000 shipwrecks, many more thousands of ships were lost at sea. And in 20 of those cases we found 20 cases where, uh, at least 19 people were stranded for at least two months.

Speaker 2:          00:31:34       And, uh, you know, here's the, there's a kind of, um, here's a map of the, uh, I'm going to, well, here's one crew I can tell you about, but here's a map of the, of the shipwrecks. Like these are the, Oh wow. The all over the world where they occurred and, uh, when they occurred and how many people there were. And uh, and so then I, uh, I got all the original accounts from the sailors, from the people on the wrecks and all contemporary archeological excavations of those wrecks were where they had been excavated. And, um, and try to understand what kind of society did these isolated cruise actually wind up making. And there was some amazing stories that were, uh, that I found in there. So the stayed for at least two months. How many of them actually established a real civilization? How many, well, forever, no, no one was stuck forever.

Speaker 2:          00:32:23       Uh, most of those crews were eventually, in fact, all of those crews had at least one survivor because if they had all died, then I wouldn't be able to know about them. But there's a one famous case in which these sailors, uh, were stranded in near Australia, I think somewhere in the Pacific. And they managed to catch a big petrol, one of those huge birds that, you know, like a condor. And uh, and they, they, they put a little note in a little tiny bottle and they tied it to its feet. And this petro flew thousands of miles and landed in Australia and was found with a note indicating where the ice stranded sailors were. And a ship was sent to go find the men and the got there, but they had all died. They were all gone. So they use this, this, uh, this bird. So the bird, well, no, they didn't eat the bird. They push. No.

Speaker 2:          00:33:15       I think if you had that choice, you would communicate rather than eat Joe. I think. Yes. Yeah. For a little bit. Well until the very end as yes, yes. But, uh, they starved to death. We don't know. Nobody knows. But the point is that we have to, for me to be able to describe what happened, we needed at least one survivor. Often. There were many cases where everyone survived. I mean, there was one pair of cases that I was amazing to me in 1846 in south Auckland islands, just north of Antarctica, south of New Zealand. Uh, the, uh, the Grafton was racked on the southern part of the island. I can't remember how big the island was. It's in the book and maybe let's say 90 miles long or something or 20 miles long thing. It's 20 miles long on the southern part of the island.

Speaker 2:          00:34:01       Uh, five men are wrecked on the Grafton and, uh, on the northern part of the island, the Invico rex, 19 men are wrecked on the INVICO. Uh, all the graft and cruise survives the, and both feet. Both crews were on the island at the same time. They never encountered each other. They're struggling for survival. It's like an, like an experiment. Like who's going to win? Tempted to say fear factor. Yeah. And uh, and, and the question is who's going to survive and how and why. Everyone in the graft and crew survives, and 16 of the 19 men on the, uh, on the INVICO crew die. And there's also cannibalism in that crew. So it's a, it's a very, it's a very different outcome for various reasons. So anyway, so the point is that in the book I start with a series of stories about how people come together to make, attempt to make new civilizations.

Speaker 2:          00:34:56       I use the example of unintentional communities with, uh, with shipwrecks. I have, I looked at it, intentional communities like communes and um, and uh, kibbutzes in Israel and a 1970s communes in the United States, a 19th century communes in the United States. Actually going back to Roman times, there've always been groups of people who've said, society's fucked up. I'm going to go. And we're going to make it again. You know, we're going to start a fresh. Um, I look at settlements in Antarctica of scientists. I look at the Pitcairn, you know, the mutiny on the bounty. I look at the Shackleton expedition. Many, many cases of stranded, isolated groups of people trying to make a new social order. And then I also use data from experiments we do in my lab. We have this software where tens of thousands of people have come and played these games. We, we can create these temporary artificial societies of real people where people come and spend an hour or two and we would as God like wake an engineer, the society, we can have a lot of inequality or little inequality or various other features. And then we can observe what happens. And I look at all of that data, all those stories and say, look, there is a deep and fundamental way that no matter what human beings, uh, make a society their underlying fundamental principles about society, which are as innate as the fact that you have two kidneys. You know, most people, almost everyone or your pancreas makes insulin.

Speaker 2:          00:36:28       But they're very different all throughout the world. Right? I mean there's totalitarian society, no nose, no. So here's the point. No, yes. So here's what, here's the argument. You look around the world and the way the example I give is that yes, there's huge cultural variation around the world. Just like you said, to tell turn societies. There's people have different foods and they have different ways of dressing and there's enormous cultural variation and it's marvelous and interesting and obvious to anybody. But I think we're missing the forest from the trees. To me, this is like you and I are sitting on a plane and we look at a hill that's 300 feet and 900 feet and we say those are very different hills. But actually if he took a step back, we would see that we're on, we were on a plateau and one was a mountain that was 10,300 feet and another was a mountain that was 10,900 feet.

Speaker 2:          00:37:19       And actually there, there are these much more deep and fundamental plate tectonic forces that are creating these two mountains that are very similar. But we are just focused on the superficial top. So the argument in the book is that everywhere in the world, people have friendship. People love their partners, people cooperate, people teach each other. These are fundamental common principals shared by everyone. Even though there's also a lot of variation, even in a place like North Korea. Yes. Now North Korea, that that state, so totalitarian states apply huge cultural pressure to suppress this innate tendency. It's like, it's like a religious, you need a lot of belief in God to suppress your innate desire to have sex. Right? Right. So you can have a belief system that's very powerful, that kind of prevents you, squashes what would otherwise be a kind of in escapable inclination you have.

Speaker 2:          00:38:17       So totalitarian regimes, and this is discussed in the book too, they are very threatened by the institution of the family. They're threatened. You need to owe your loyalty to the state, not to your family, not to your friends. And so they have a series of institutions that, you know, everyone has comrade, everyone called Conrad for example, or, or, uh, uh, there are a lot of, a lot of times, well I won't, I don't want to, I don't know if I want to speak at the state level. Let me, let me take it down a notch to communes. So if you think about communes, if you're going to make a commune of people and you want them to feel real loyalty to the commune, one way you can do that is you want to, uh, reduce the commitment people have to their partners, let's say their, their mates in, in order to do that, you can go to one of two extremes.

Speaker 2:          00:39:07       Either you can prohibit sex, like the shakers and you say, okay, no one is going to have sex with anyone because we're all in a commune and we all love each other and we're not going to have a special love for particular people. Or You could go to the other extreme and you can have polyamory say everyone's going to have sex with everyone else. Once again, you see that subverts the special relationship that people might form with particular individuals. And so both of those strategies, even though they're opposite, are attempting to do the same thing, which is to break down real relationships, face to face, relationship between individuals so that you can have a commitment to this higher group. And that's what totalitarian states also face the same dilemma. And that's also why, incidentally, a lot of the states try to re reduce gender differences, right? They like, you know, the Mao jacket, the men and women all were wearing the similar, similar kind of attire for instance. Uh, because they want to have people see themselves as interchangeable and not as individuals and relationships, not be particular. Did you study cults a little bit? Um, not a lot. Uh, there's some talk a little bit in the book about cults, but I don't really need to get to cults in order to make the arguments that I'm making. No, I mean not even just

Speaker 4:          00:40:20       to make arguments, just to compare because that is essentially like in particularly the Rajneesh called Oregon, the wild, wild west or wild wild country documentary. On Netflix. Did you see that? No, I haven't. It's fantastic. They essentially took over an entire town and started busing and homeless people to vote.

Speaker 2:          00:40:40       Oh, I read about that. I know about this. Yes.

Speaker 4:          00:40:42       It's really quite amazing. And what they did was really weird. You know what I mean? For there's moments in the documentary you're like, wow, maybe they're on to something, and then of course it goes completely sideways and they wind up poisoning people and it's chaos. But I am absolutely fascinated by those types of environments where people do decide they're going to branch off from regular. They don't, they're unsatisfied with regular civilization. They're gonna all move to some location.

Speaker 2:          00:41:10       Yes. That's a, that's a primitive and ancient impulse. Like I was saying, people have been doing that for since time and memorial. It's how America got started. Yes, yes, yes. It's, screw this. I'm going over there to start again. But again and again, when people do that, they keep expressing some of these fundamental beliefs. It's, yes, yes. It's like saying yes. Anyway, go on. No, please. No, no, no. I don't have anything to add. I mean, I just was what you said,

