Speaker 1:          00:00:19       Oh, strange
Speaker 4:          00:07:24       It's like he took them, you know, into an alley and pull their pants down and punched him in the head and fucked up. [inaudible] I heard not even date raped and they be calling me during the whole thing is bullshit. Anyway, the whole thing was just a stupid thing that get him for something to, to do that this because of course it is, but it's amazing that it's this fucking transparent because here's the deal. Okay, one step removed. The New York Times has released all of the shit that he's released, so what are we going to say now? Are we going to say that while this stuff came out and you guys knew it was top secret so you shouldn't look at it and since the the journalists did look at it and then they published it, shouldn't, shouldn't in New York Times now have to go to jail to what?

Speaker 4:          00:08:02       Who the fuck goes to jail? If this guy was just someone who ran a site that says, hey, have you got some, I'm listening. Which is basically what he did and people start sending them shit. That's real journalists journalism. That's real journalists. That's the real shit. That's what we're supposed to get these fucking cunt that are heightened all this shit and talking to the government. You're not supposed to talk to the government. He's supposed to talk to us. What the fuck did you learn? Did you learn some crazy shit? What the fuck did you learn? What are they doing over there? Why are we really there? What the fuck is what's going on? Why are all these bees dying? Here's one of the things that came out. The EPA knew about this fucking toxic shit they've been spraying on corn that kills honeybees and they let them put it out anyway.

Speaker 4:          00:08:43       They let them put it out anyway because they wanted to be able to sell more fucking corn so they're killing off bees. And the EPA was aware of this. We would've never found this out if it wasn't for wikileaks. Wow. Dude. Pfizer is bribing people in Nigeria to stop lawsuits. There's like these lawsuits against them. So they're bribing people to go after like politicians and make them look bad. There's like these memos and shit. There's a lot of creepy shit. This is exposing. So you've been reading a lot of the stuff, obviously the fuck out. When I first heard that this guy was getting arrested for sex without a condom, I was like, what? What is in these fucking things? And you go in these things and it's like it's not all bad. Islam all terrible. It's a lot of, it's a fascinating shit. Like we're finding out that other countries like want us to do some shit about Iran.

Speaker 4:          00:09:31       Like there's a lot of people go, hey these mother fuckers, if they get bombs, we got problems like this. People in their next door, neighbors and shit who are Muslim countries like [inaudible] can you guys, can you hook this up? Yeah. What's up? What's going on here? Or are they, how close are they? What's going on? You know, there, I mean there's a lot of good shit that we're finding out about this stuff. But the point is that the government, the only reason they don't want you to know the secrets and what they're doing is because they fuck up a lot and they don't want to be responsible for their actions and they want to be able to hide shit and they want to be able to look up your fucking ass hole, the microscope, because it's easy because if I just want to be able to do it, I just want to know what the fucks up your asshole.

Speaker 4:          00:10:13       And so they want to make it that way so that their job is simpler and they can't get fired as easy cause they suck cock. They're terrible at their fucking job because almost every politician is terrible. Why? Because the reason why they got there in the first place, because again, all these fucking special interest groups paying for their multi, multi, multimillion dollar campaigns. They're talking about Barack Obama, Obama's reelection campaign. $1 billion. Where's that money coming from? You mother fucker. That's crazy. There's no way you should be able to spend $1 billion to get a job that pays 500,000 and not have everybody go, what are you doing? What the fuck are you doing? Who's giving you this money? What happens when they give it to you? Now? What do you have to do for them? What do you do? You got to hire them. You gotta do we gotta do you gotta Change Laws?

Speaker 4:          00:11:03       You're going to make it easier to Trump shit into lakes. What the fuck is going on? They all suck and that's why they're scared of all this information. They're scared of all this information. It's not to protect you. That's nonsense to protect our citizens overseas. You don't give a fuck about them when you're sending them to an an illegal war zones or illegal war zones where we shouldn't even be there. It was based on a fucking lie. You don't care about them then. If you don't care about American soldiers, then you're telling me you care about them now because secrets are getting out really. Fuck you. That's not true. They're worried about the moon secret getting out. Yeah. Was there anything like that in these wiki leaks? Like I'm not actually going to the moon. You're not yet. Not yet. But who knows? Who knows what this guy's got. This guy's got some fascinating shit. It seems like most of it that's gotten out at least to the more public is the stuff like how

Speaker 2:          00:11:54       these kings have like they're sluts and stuff like that. I haven't heard too much really. I haven't heard that. Oh yeah. It's like that's what Saturday night live made fun of and the TMZs been focusing on is all like these secret lover relationships at all these princes and [inaudible] bars. Shit, keep alarm part of it

Speaker 4:          00:12:11       and the pallbearers do give a fuck. Do you not like the guy from Abu Dhabi, Prince Talk Moon. The guy who runs, he runs the Abu Dhabi submission combat championships, the world grappling championships and he also, um, like owns a piece of the UFC. This guy is like some super insane amount money millionaire type character, right? This guy, he's got this, this thing that they do the UFC, it's at, it's called Ferrari world. It's like a Ferrari fucking like Disneyland with Ferrari Ferrari theme park with like this crazy ass roller coaster that mother fucker could do anything he wants. You know the like those guys, like when you get to that level of money, man, that people would be surprised that you would find some guys a prince in Saudi Arabia and he's got some hookers. He's got some chicks living in his mansion and he wouldn't even know that it's still there.

Speaker 4:          00:13:01       Those guys are ballers. Dude, did you ever hear about that guy? The Sultan of Brunei? I've heard about him. Mother fucker. This mother fucker just goes to the limit. This is what he does. He sits around right? And he watches like Playboy magazine and it reads Playboy magazine, watches TV shows and goes, I look hurt. I like this one right here. And then he finds out what their agent is and he gives them insane amounts of money to come to wherever he is, you know, for like Brunei for just hang out for a couple months, see what's up, I'll give you a few million bucks. And so these chicks cannot help it. They have to go. And there was one of them who was a penthouse pad or something like that and she, uh, got, yeah. And she got a, she got caught with a laptop she was writing while she was over there.

Speaker 4:          00:13:46       And uh, that's how the whole thing came out. You know, that all these chicks who had been saying they were going over there to do modeling, there's so many girls that were modeling in Brunei and they were really just going and getting gorilla fuck by this print and all his boys, the old assaulted and all his pals, they had like their own club. They had so much money. They have their own club. They have this gigantic insane ballroom that's like it did the, the, the ornate decorations are like incredible, like gold guild work. Let's just the top of the blind and the hottest bitches in magazines and on TV shows and they're all hanging out there dancing, waiting to him to come out in his gold underwear and just get his freak on with whoever the fuck he wants. How am I going into it? You can't hate that. You cannot hate that. You cannot hate that this guy's not doing anything, that he shouldn't be doing what he's offering them as a psalm. He's saying, listen, you know, we don't have to cop products, prostitution. I'm gonna hire you to just come hang out. Just come hang out in a hurry

Speaker 3:          00:14:52       to party. Eventually you're going to get horny. You cannot let me fuck you. You know, I got money son. You know, Super Mario Brothers is all about an Italian that just wanting to eat mushrooms with the princess, with a princess. Really Super, Super Mario brothers. No. Honestly, I don't think I've ever played it more than once or twice. Yeah, I never really got about this Italian plumber that just wanted eat mushrooms and with the trends says, but son David kept on taking the parenthesis away. Daymond, that's how you pimp these modifiers. Eat Mushrooms and hanging out with the printers. Hey, I heard you are, that'd be bad. I heard you are a DJ like you know how to Dj like mixed mixed tables and stuff like that. You could do anything. He wants his Russell Peters bed.

Speaker 5:          00:15:31       That's like a main hobby of yours. I started doing that in 85 really now I've always experiment, play around even and have the iPad app where you can try to mix and stuff he's into and beef make scratch my stores, something like that. It doesn't work that good but it is. Is there like a, is it easier nowadays to try to like match beats and stuff like that and easier way? He's written in a file right in front of you. You just hit a button now and it just, man, no, no. You'll have your bpms listed, right? Wow. Are you going to do is keep your, hear your pitch at the same level and you're good to go. So do you ever throw parties where you're just the Dj and you're having this huge Kyle and end up getting, I have turntables and every house, so yeah, I always make sure. Right.

Speaker 3:          00:16:09       Do you really like, so you throw parties at your house and you not even, I just do it for me. And then if people are there I'm like, what do you want to hear? And then I just started playing shit when Tommy Lee was doing that. What was that? That rock star show the dude was doing, what is that called? The rock star Supernova or something. He wanted to have a fight with kid rock. So this was like they were, they were really upset at each other. And so you want him to meet me. So yeah, because my friend is one of his bodyguards. Okay. And my friend is this fucking gorilla. Just mountain of a man. You've met John Rollo, right? So John Rollo takes me backstage. I meet them. And this is what a Tommy Lee does at the end of every show. He's got a DJ set up. Like he makes his own party and he just, he like, he just brings his friends over and he'd fucking plugs in some turntables and just starts to starts to mix it up. Like people who DJ, like even Michael Bisping the fighter. He's still djs being djs. Yeah. I didn't know that. People apparently people who DJ just fucking love Dj. I love comedies. My career. Yeah. Hello. You love Dj. And more than comedy.

Speaker 5:          00:17:11       I could sit there and do it all day. Why not? Amazing. See I want to, I've always wanted to get addicted to it cause it seems like something that's right down my, my, my

Speaker 3:          00:17:18       lane and explain it. Tell me what it is. Cause that's shocking coming from, you know, such a, a successful comedian and someone who, who's I love standup but deejaying is on another level from, makes me like want to try it.

Speaker 5:          00:17:32       Exactly. It's kind of like MMA for you. You know your job is comedy but you love MMA.

Speaker 3:          00:17:38       I look, I, you know what? I love both. Honestly. I love them both. I don't have a preference. Like I'm like, I'm never like when I'm doing the UFC, I'm always excited to be there. I'm never like, fuck, I wish I was doing comedy, you know? But what I'm doing comedy, I'm never thinking, I wish I was at the UFC. That's the same with me. Okay, so, so you just have an equal love for the it is, but, but you see one of those things you can do at anytime, anywhere. You don't need people around you to do it. You don't need to people to be totally focused on you either. Like either do it in the back requirements, you know, attention requirements for standup need people to be focused on you the entire time and not interacting, not talking to you. Whereas if you're teaching and man, everybody could be just doing their thing. You know, people just what? You need nobody to talk to you. Then you don't want people talking about it because you get in the zone and you're like,

Speaker 2:          00:18:24       can you play dancing queen?

Speaker 3:          00:18:25       And you're like, can you fuck off? You know, it'd be bad. What would be bad ass? Here's what be fuck your crossfader here. I'm going to describe to you guys the greatest show of all time. Russell Peters d chain while Joey Diaz talks on the microphone. Let's try it. Let's try this little gizmo out. What is this thing? It's Dj mixer for the iPhone.

Speaker 6:          00:18:49       Dj Mixer

Speaker 3:          00:18:51       to do all this stuff, man. Like yeah, if you go to youtube and type in my name, there's like videos of me scratching with like with Dj Kubert and stuff. Wow. That's awesome dude. I have a video. Me and Jazzy Jeff d together too. Damn. That's sweet. Jazzy Jeff.

Speaker 6:          00:19:09       That guy is

Speaker 3:          00:19:09       the uh, Art Garfunkel.

Speaker 6:          00:19:12       Oh, rap music.

Speaker 3:          00:19:13       Yeah. This doesn't work. Socks right a little bit. Jazzy Jeff was

Speaker 6:          00:19:19       paired up with will Smith,

Speaker 3:          00:19:22       man, I couldn't hate that more. Yeah, that's terrible. Don't do that again Brian. I throw that thing in the garbage. I'm going to have to hit your iPad with a hammer. Now I sound like an old man. These kids, what? They're scratching. That's me. How, how bad is Jazzy Jeff? He's pretty wished that he somehow or another hit that will Smith height. He's so far off. I mean, in the DJ world, he's highly, I don't, I don't mean, I don't mean in any bad way. I mean this, these weird must've been your billion dollar art, Art Garfunkel and pulse on where the most fuck his art Garfunkel. Most djs are introverts. So they, uh, when you have two people like that and one person, they're both involved in a team. You don't think there's some weird thing when one guy becomes, we'll fucking Smith. Well remember George Michael had that other guy in wham. Yeah. With that guys just getting steady cock. That's all he wanted originally. If you look at that guy, all that guy wanted was cock all day. That's what he wanted. And so George got him close enough to that. It's like, I'm good, I'm good. I've got a stockpile. He's not even thinking about money.

Speaker 2:          00:20:23       I think one of the coolest things about Dj, one of my good friends is that his name is Keith. He's that main editor for South Park. And he, every time they have a party he'd always djs at their parties and stuff, but he is just like the point where that's all he, that's his favorite thing. He, that's all he wants to do is deejaying and stuff, but what's really cool is that him mixing, like I saw him mixed like golden girls the other day or something.

Speaker 3:          00:20:44       Yeah. I like doing crazy shit like that. Do you? Yeah. Do you do a lot of do and shops and we'll see you again now they're called Mash was back in the day. We just call them mixing like I took this record in this record and came up with this mix. Do you have one mass or mixed that's your favorite? Goto from back in the day I used to do a give it all you got by Afro Rican and I would mix moments in love with it because after Regan was like a really fast song in the moments in love was a slow song and I would actually have to pitch down moments and love to get it on beat. Wow, that's awesome. Wow. You put last time at the fights and I hear the Dj there and all they do is sit there going here for fucking murder.

Speaker 3:          00:21:21       This guy on the turntables, sometimes they have djs that uh, when, when you go to like the fights and stuff like that, we'll, they'll have like 15 seconds of a great song and just start getting into it. I've got an immediately transitions to another song. Like what are you even doing when he's trying to get an add motherfucker? He's trying to get as much music in, in his one minute that he's got the play. That's weird though, right? Well because he's like shit. Otherwise they could get anybody to just hit play. Right. So I want to show you what I can do in this short amount of time. He annoying being annoying to a drum beat. It's more just showing the skills that they DJ instead of actually playing a song. And every time I listen to my God, Oh my God, it's cuts or lays.

Speaker 3:          00:21:59       I'm Dj Jazzy Jeff is, he's like, he's like the pimp DJ who's like the best Dj. That's a tough call. I think he's horrible. I would never put DJ in front of his name. Really? I want them to get the bag can take fucking success though. Right? Can terrible man. I think it's cock cancer. This dude that I know that's like some serious ball or character. He's like one of the friends of the Fertittas, he's like one of those yacht characters, you know, just fucking yacht and around the world and shit. And he was talking about going to see Dj ts two at new years that it was the thing to do. And I was like, well what's the second best? Those are people, the people that go to see him and know nothing about music or DJ this is that what it is? They just like, this is what the height thing is.

Speaker 3:          00:22:40       I should probably say, but we should state in advance that you don't do ecstasy. No, Si true. These fucking people that do actually maybe with Tsa is doing is hitting this frequency that only got two people who do ecstasy can feel. Who are you guys just talking about by the way? Which the project yesto okay. That's who you wouldn't even put gigantic Dj. He is. He makes like super huge famous. They were telling me, the guy was telling me that on a shelf in front of 50,000 people for new years. It was just insane. New Years. She couldn't let me tell you what he does. This is the worst part about it. Okay. He doesn't do shit live. It's all prerecorded. So it's basically you put on your, it's like you recorded a DVD, stand up, a video of you doing stand up and you put it on your stand in front of it and go and lip sync.

Speaker 3:          00:23:26       The fucking act. Oh Wow. That's, and you're not even lip. You're not even trying to pretend that you're good at it. You're just like this like when I get old and I just want to be so high all day that I can't think that's, what am I doing when a prerecord all my steps in advance, Ashley Simpson was a world they just go, go add. That might be one, a funny show and then people try to hacky throw you off the fucking things just play on the ground like you just keep motoring through. They don't even know. You have to stop. Hey, stop, stop, stop the stop the recording to fuck dude. Have you heard that Dj game for the x box or a hero? Yeah. What do you think about that? I've never played it. I just don't get it right. I guess it's like a guy really plays a guitar.

Speaker 3:          00:24:04       Does he really want to fucking play guitar? Do you play video games at all? No. So you don't, so you don't feel that that's like real DJ and even though it's like what he's doing is just crafting a party. Right. He's putting together in advance. He doesn't even have to think anymore though. It's just like, so once he gets to the live audience, he doesn't have to think. There's a lot of thinking that must go on to create it right now. No, no. Gives you really to, it's fucking like 150 bpms. This I have never listened to it. I can pull some of that shit up. Pulls from rash. Let's, I need to hear it. I need to know what the fuck I'm talking to. All of those big name Djs, people telling me shit about something like that and I, I've never heard about it before.

Speaker 3:          00:24:41       I always feel like, how did this happen, ma'am? Yep. Djt yesto t e V. E. S. T. O. R. E. S. Fuck. Oh, there's a big sign. I think it was in Vegas. Oh, about his, one of his appearances? Yeah. He's there in ears. Right? I don't know. I don't know. Um, you know who else is like that? Is that [inaudible] Guy? I don't, I've never heard of him. He's the guy that produced all that shit for black eyed peas that I got feeling shit. Oh really? Yeah, but now he like, they hire him to Dj parties and there's a video of him on youtube where his shit just canceled on him like he's playing in. The first one is the guys are playing cds, which is even more horrible to me. You're a final guns. Yeah. You can't blame school. Russell Peters, just old school. I like it. I like that idea of records and shit.

Speaker 3:          00:25:26       Fuck. She gotta bring crates and Shit. I still use Serato, which are the, uh, software. But I use the turntables with it because he can control it better. Oh, okay. So more like real djs. So you have turntables, but you don't have records? No, I have the two records in, that's it to rack. I have all my records in Canada. Okay. But I'm not bringing them all back to la. So when you Dj, you Dj there mp3s are some, you're cutting up MP three files. Wow. So you can, there's software, then there's a machine that lets you manipulate an MP three the same way you would manipulate a record, right. Sort of thing. And it takes MP three and converts it to the test to underrate it. So when you have your hands on the wheels, the MP three is playing. You have the same manipulations that you would as if it was when you touch it and it'll stop. If you move your hand slowly, it'll make the same slow record noise. Wow. Now there's one that best. There's one at best buy that I always look at. It's like $500 would you recommend something like that? There's a, there's a system called itch itch, which is good. Serrato makes that too. Okay. Is this Dj ts two that you're playing? Yeah. Let's hear. It reminds me of like beyond the mind's eyes soundtrack. Now, just thinking about yourself. Blasted on two hits of ecstasy right now.

Speaker 3:          00:26:40       This doesn't sound like, yes, Duh. Yeah. Yeah. This doesn't sound right, Brian. This sounds like seven k Swedish fucking pop music.

Speaker 2:          00:26:48       All right, here's DSF versus Diablo T. Esto versus, no, not even a versus, because now they have have versus, but it's now really, what does that mean?

Speaker 7:          00:26:58       Okay,

Speaker 3:          00:26:59       let her, all those people are in it. It just walks out. You know what else snuck up on me, man? Juggalos Juggalos Smash Ogling on me. Exactly. You know, you don't know what Juggalos I dunno what juggling exactly to Juggalos are. The fans of the insane clown posse I remember are fucking huge. And it's amazing, man, because it's like they call out family that's like a thing that they yell out in the crown. It's like a theme with them. It's like they like everywhere out there, there's somebody like you and they might not be near you, but you can find these mother fuckers and if you could figure out how to put them together and put them all together in one group, you know, all of a sudden you've got something. And that's what happened with the insane clown posse. These, these fucking people are lost from all over the world, man. And they found the insane clown posse Zaga launch. No fucking way. They're huge dude. Remember when they tried beefing with m and m back in the day? Well that didn't work out well, that didn't work out. But right now there are gigantic man in m and m can't leave his fucking house. Right. You know, there's something going on with those guys.

Speaker 2:          00:28:06       Okay, look, look what he's doing. He's not doing anything. This is hilarious. Fucking dancing guys got in front of him in front of a mixing. Yeah. You guys got, by the way, check out this video. It's called Siesta versa. Dip. I limbo. Right? Come on here. He's just sitting there dancing. You're playing play like pressing. Wow. Look at all those. He's not doing a fucking thing that's not deejaying. No. Put your hands down and look at the fucking turntable all. Yeah.

Speaker 7:          00:28:27       It's like he says hello.

Speaker 2:          00:28:30       Yeah. You're not doing any say that fucking record didn't, you didn't do shit. Yeah. He's so, he's not doing anything. No. They do this all night. He's dancing for you. That the way you want to see some fucking queer dance like that all night. Yeah. Well he prepared this shit, man. He didn't prepare shit. People there, man. Look at all those people. Something's going on the pay like right. Okay. What do we attributed to drug Tribbey twos at an all time high. It's not just a man. If you were there and you just wanted to dance, that's pretty fucking fun. Yeah, but that, but it's just him pressing play. Whoever had a louder [inaudible] nothing. Nothing is happening is just enjoying the fuck out of it. See something is happening. There's an awesome no being always in the pudding are easy to trick Brian. If they act it, enjoy.

Speaker 2:          00:29:10       It is a trick. Partying. It is a trick. You're there and you're on ecstasy. You don't want eight cars drive by. Okay? You want to be listening to shit like this. You don't want to be alone by yourself in that spot where there's nothing going on. You hear a dog barking or do you want this guy to hook up this wild, crazy fucking light and music show that is dope as fuck and there's a million other people, they're just all sweaty together and you're all got bottled waters, right? Everybody has a goddamn good time. You can't call that nothing, right? It could call him that. He's not a good Dj. Kresge lay. My argument for

Speaker 5:          00:29:42       him is that he's not a DJ. No, he's not. He's like a radio station Dj. But what is it? Because he's making this crazy ass music. Could everybody fucking diabolical genius who's mastered this? He's the carless of soulless people that have no luck and spines. Not with his music. It's more with how he does it. No, it's the fact that people call him a DJ and they're like, keep them [inaudible]. I'm like, he has, he's not a d, so it's like calling an actor a stand up or a comic comic that just steals other people's jokes. A comic, you know? Right. Okay. Well Eve or an actor that plays a comic and a move. Yeah. And then he's such a good comedian. Well, you hear that all the time about actors. You know that he's a comedian office, I guess, or the Canadian, sort of like a guy who studied a role to be a comedian.

Speaker 5:          00:30:28       Yeah, man, we all know who the comedians are. I mean, everybody liked that. Isn't that one question that you'll always ask when you hear about a guy's funny? Like did he just stand up? Yeah, that's exactly what I asked. Right? Like Seth Rogen, the, one of the first things someone said to me when I said, God, that fucking dude is funny. I love his movies. This guy goes, you know, used to be stand up like immediately. Like comics want to tell you that like, he's like, he's like for real, he's a real comedian is not. So that's what bugs you. Yeah. That he's a fake Dj. This mother fucker. It's actually making that music. Then he, here's the thing, when you get that much success in that much money, all you gotta do is everybody's going to be handing you their fucking demo. Right? And you go, here's 10 bucks.

Speaker 5:          00:31:06       Oh my God. Testo bought my song and thank you. Thank you. Thank you. Now I'll just compile it onto a disc and yeah, so he just takes other people's shit and puts it on. Why not? What's stopping him? He's actually, I don't know. I mean, is that really what he does? Or he just clearly he said Joe Rogan experience is not support these. Oh, like me if that's the case. Yeah. A Dj battles just called out for in Dj fight or a fight. Fight. Both. You don't, while you're deejaying, you have to fight. I am so passionate about it. Wow. Where's this testo fellow from? I don't know. It looks like the gay sweet and fucking hero. The case was over. We talked about earlier. That might be the name of a town gay swim. Now how was I DJ and you're walking, you're walking around pointing his finger in your fucking focused and your DJ that's walking around and clapping.

Speaker 5:          00:31:58       When did this become entertaining? It's not even entertain it. I liked the way he moves. I wish she never would have showed me this. This is the most awful thing. Punch them in the files that you guys are haters. I like the way that young man gyrates his hip. He said Michael that even knew about it that much. He's not. He's doing it like some stiff European move. It's like John Tesh of Dj. It's like a Saturday night live sketch. He's exactly the kind of guy that would that. Where's that a hardy and fucking worst or religion Saturday night live should do a sketch about a Dj like that. It's just fucking stands on stage. Impresses me with that funds. That should be just as impressive as watching them do it. That might be a funny sketch man. Why is he there? Well, let's just press play and get out of their fucking terrible, you know, dance with us.

Speaker 5:          00:32:40       You fuck when I know like some of the best djs in the world like that are my good friends and to me and not even just to me, they really are the most talented guys you'll ever see on turntables. You when you get onstage. Okay. And you know, you start your show. Do you have a planned out DJ set or do you just let the shit flow? Like no, like, like a real comic. You get on and you do what works for that room. Just moving around. We can do that, right? Yeah. And, and these other little fucking prepackaged, it's a performance thing. It's, yeah, it's kind of like, you know, it's a tuning in thing. So you got it with is on what they're into and then go with them with, from there. I mean obviously those people are there because they want to hear the horse shit that he's playing.

Speaker 5:          00:33:20       Right, right. But you know, he's not really fucking doing anything but that they couldn't do themselves. Right. They could've stayed with your iPhone. You could probably make those same songs on your iPhone. I used to work in factories and both arguments though. I used to work in factories and, and when the machines were going, it would sound exactly the same and, and, and, and, and worked in a printing press. The fucking same noise, dude. Dude. Dude, dude. Yeah. After every time it's due. It's cutting the paper. Yeah, that could, it's not good if you're trying to read something. Maybe we're too old for this shit. Maybe. Dude. I say that every day now. Every day I'm like my father or something. I'm some, some, I really am becoming that I am everything I thought I would never be what happens and you know, when you have kids that's, that's exactly how it goes down.

Speaker 5:          00:34:08       It's like, oh, I get why everybody's just grumpy and wants to be left alone. You know? That's what it is. You naturally just getting old. You're tired of this nonsense. Like if you want to hear like really talented Djs, go to Dj's, spin bad.com do you just spend bed? Phenomenal. Starting from scratch. Dj NSFS podcast. I've SFS podcast.com I appreciate that. When I'm, when I'm out or, uh, look, uh, you know, club in Vegas or something like that and one guy just hits the right songs over and over and over again. It just gets a good mood going. I know when to expect it. Like I know if I go to Vegas and I go to a club, I'm going to hear the shit that you hear on the radio that I don't like, but everybody's having a good time, so I don't mind that. Okay.

Speaker 5:          00:34:47       I know I'm not there for me. I'm there because you know everybody else's. How does a DJ get to a point where he can sell concerts? That's where does that go down? I have no clue how that works. But that girl taught guys pretty popular and he just mashes up other people. He's the worst too because he has this program that he uses when he doesn't even have to do shit. Do that every now and then though. Some songs, like when they're mashed up it's like, oh, it's different. But every now and then there's one song. It's like, wow, this is better than the original and that he had the on and on with Biggie. Yeah. Dude, he's played that start. You start at the beginning. Do you ever get a blue eyes mates? Bedstuy no, that was Frank Sinatra mixed with biggie. I was it incredible. What's it called? What's best and on, on and on. Um, dude, I heard Frank Sinatra with a continent don't like them anymore. You should take picture. I've read all this shit.

