Speaker 1:          00:00:08       The joe rogan experience. Joe Rogan podcast by night. All Day.

Speaker 3:          00:04:02       It's insane. Yeah. And when, when we hear about like dictatorships like that, we always think of it like if that's from like the forties like you know, you think of it as he is, it is from the forties that's a thing. And it just has not changed over there. Yeah. I just wonder what it would take for something like that to be toppled. And we were also talking before the podcast started about his uncle, but his uncle apparently was planning some sort of a coup, so yeah. Killed his uncle. Killed his uncle's son.

Speaker 4:          00:04:27       Yeah. Yeah. I mean, well, one thing that happened when our, when our movie was about to come out there was like a some expert on, on North Korea who said that it's important that the elite in Pyongyang see this movie, especially the people in the, the, you know, the government and it working it because it's so, it's so they're on such shaky ground right now that for them to see something like this could like really help in getting something to happen over there. This is what Sony, you were saying? No, no. This was like a, an expert on it. Like some professor or something on North Korea, which I thought was interesting. But yeah, I, that kind of blew my mind when he said that.

Speaker 3:          00:05:08       Wow, that's great. Imagine if it did. Imagine if that was the catalyst. If hours are ridiculous comedy, Seth Rogan, James Franco movie catalyst for overthrowing the last great communist dictator. Yeah, yeah. I mean school communist dictatorship.

Speaker 4:          00:05:25       That's crazy. I mean it's all, you know, as so much of it is, is, is this kind of deification you know, of him and, uh, all of this stuff, you know, our movie, but not just that, even just glimpses into the outside world. It just chips away at that, you know, and he becomes who he is, you know, to these people and to other people and you know, in the government and, and, and that does not help their cause, you know, or the government or Kim Jong Un's cause you know,

Speaker 2:          00:05:56       what is the Dennis Rodman thing? What's, did you research him at all when you did this?

Speaker 4:          00:06:01       I did, yeah. I mean, Kim Jong Moon include an his father Kim Jong Il when he was alive. Huge NBA fans. He was a huge basket fall ball fan. He was like a loved Michael Jordan. And there's a story of, of Kim Jong who, and supposedly he was a, when he was a student, he went to like an international school in Switzerland. And uh, there are accounts of him from other students. He just sit in class all day and draw doodle pictures of Michael Jordan. Like, literally in this class. So like he was obsessed with basketball and in that era, and I think, you know, that bowls team was running things at the time, like rotten just to, he was a huge rod and fan. Wow. Yeah. Crazy. It's so crazy. See Rodman over there hanging out with them as so surreal. So did you see that at that press conference? No, there's a video of like a press conference where he's basically sitting there with, with the other play at some other players who went with him on this trip and he's clearly drunk and he's basically justifying his, you know, his actions by going over there and, and you know, becoming friends with this guy and he's like drunk and this is a press conference from Korea or from America, I think it was in Korea that they shot that they shot it and you could see the players behind him and they just look super uncomfortable

Speaker 2:          00:07:28       going around like, well, how could you not be super uncomfortable first of all, hanging out with Dennis Rodman and make you super uncomfortable. Dennis Rodman calling a press conference.

Speaker 4:          00:07:36       Yeah, yeah, yeah. I mean, yeah. Yeah.

Speaker 2:          00:07:39       Is it the top one or the, yeah, that top one. [inaudible] worth, man, this is la. The traffic is insane. Also fucking, I'm an idiot that lost my car in a fucking parking garage. Did you, you meant I was running up and down. Were you like along third street? Like one of those garages like the prominent and they got three garages that look the same and I was running up and down. I'm like, where the fuck is my car? It was right here and then they were like, you know, there's another parking garage. My bad dude. No worries man. We, we kicked things off. Randall were good. Just we had to cover the interview anyway. We had to go over all the crazy shit that he's been going through. The artist formerly known as Kim Jong Un. Did you at any point in time feel like you fucked up now man, you know, no, this is the thing. I wasn't like scared for my life or anything like that. This is the thing. There were enough

Speaker 4:          00:08:42       people like you, friends, family, people who were genuinely scared for my life that it got me thinking like, should I be scared for my life?

Speaker 2:          00:08:51       Well you had secret service. We had guards at the house.

Speaker 4:          00:08:56       Yeah. Yeah. Sony provided US guards. If her mom, it's like a couple of weeks, what's the fuck Sony. And at first at first I was like, we don't need guards series, so we don't need guards. They're like, let us just give you some guards just for peace of mind. I was like, all right, all right. And then a one and then one day they were just gone. Like a few weeks later they're gone. And I was thinking, oh my God, we're the guards. I need pick guards. You know, like I was just so, you know, I felt so protected by them when I did. It wouldn't have otherwise, you know, I just got used to and then my friends being so concerned for me, it just Kinda got me paranoid.

Speaker 2:          00:09:33       Yeah. Did anyone contact you? Did you get any threats or anybody? No. No one on Twitter, like pretended to be from North Korea. And fucked with you. We should have done a tool. I, you know,

Speaker 4:          00:09:44       would get like spam mail, like I always get and I would think twice if I fee like, wait a minute, is this like regular spam or is this like hacking? So my email destroy my life spam, you know? And uh, but I, you know, I didn't know. I would never have, I just kind of deleted it. Like I always do it.

Speaker 2:          00:10:04       Yeah. You're always yearning that I was paranoid. Yeah.

Speaker 4:          00:10:07       Yeah. Most likely. But I, I, you know, I got paranoid. I got paranoid after awhile and then the movie came out and like we were talking about earlier, it just all died out. The dust settled really quickly. It was like crazy. It was like the biggest news and then all of a sudden, I don't know,

Speaker 2:          00:10:25       it seems like things just die quick today because there's so much new scandal coming down every day. There's, there's always something new, nutty Dick pics, sex scandals, something horrible happens, you know, isis cut somebody's head off something, you know, there's always some kind of getting another one. Yeah. One year. Things that used to happen in five years happened in one year. Now it happened in a day. It's weird. Yeah. It's kind of insane. Yeah. Things are accelerating for sure. Even when I travel, every city I go to, there's a pocket of every city that looks the same. Like that same arts district is in every fucking city with the same stores, the same kids, the same clothes, and by contrast, the same apple bees, the same Walmart, the same target them. If you're in a target anywhere in America, you feel like you're in the same file.

Speaker 2:          00:11:12       Yeah. Yeah. How the fuck did you go from being a chef to being on a sitcom? What the hell is going on, man? How did you run this man? Dude, I, we, I guess we kind of ran the table and fucking definitely we were for the cycle. You were a ted talk. I mean, fuck yeah. That's when I met you deal for this show was cut the day I met you. That's hilarious. Yeah. You were part of this Joe. That's a part of this. I feel responsible. You're part of Asian history. You are. Yeah. Thank you. Thank you Joe. So how did it go down? Well, what happened was I was at Ted and then there was this producer in Melvin Maher who my boy Jay gave the book to. So he read the book and he was like looking these, you

Speaker 5:          00:11:53       know, stats and demographics, they send those things in the studio like pay attention to the Asian market. They got fucking money now. You know what I mean? People were buying fucking soy products. So he got one of those things that was a directive or or some study saying, look there's a lot of Asian viewers, you know, we should make some content for this. The book landed on his table within like the similar amount of time I was in Long Beach. I was doing the show at you and he met me that night. Wow, that's incredible. That's incredible. And you got in trouble for doing the show, right? Cause you left Ted and they get pissed at you for yeah, they were mad because I did, you know, did the number one podcast in the world, Joe Rogan and then I also did DVD asa. They weren't too happy about that and I went to take the meeting with Melvin and they were like, you should be here politicking with these ted people suck in this Scientology Dick [inaudible] they have like no, no, no Scientology deals.

Speaker 5:          00:12:50       Was it that that they have like in a like a specific thing plan for you or are they just wanted you to hang out? No, I had already given my talk and then it was like dude we, we'd looked like slow children. They had us with signs and like neck lanyards with your photo and like speaker and then these people would be like donor and we were supposed to like show more love to the donors and oh one of those. Yeah. I was like this is weird. It was the beginning of my understanding, my, my, my journey of trying to understand what we're, ted has gone like where it's still what it started out as and what it is now and you re re very illuminating. Yeah, it was cool cause after me and Sarah Silverman kind of shit on it, there's been lots of people that come out being like, Yo they fucked with my speech. They told me to say this, they took this down. And did you find that during your speech where they like oh in your hands in it or yeah, they definitely tried to edit it. I mean it's everywhere. The last few years I've started to realize everywhere you go besides like pretty much vice I guess is they, they just, they parked, they tried to put the Dick in it. Here you go ma'am. Come here, come here.

Speaker 5:          00:13:59       You want to get rich too. There's only one way that donor day, well they would make you stay with somebody else too. They made you stay in a room. Yeah, it was weird. We were like adults and they had us rooming and I was rooming with this other guy who was super nervous about his speech and I was just like, this is bugged, bugged out. You gave me a box of kind bars and I'm supposed to be cool with this and then they get mad when you go off to do other shit. It's just a very, very bizarre, bizarre, yeah. You should sign up to be a ted speaker one year, just so you could like do the expo, say not interested too much as it is highly overexposed. So fresh off the boat. When does it start, Erin? February 4th. It's a CBS, ABC, ABC. Beautiful. February 4th. And is everything in the can already? You guys done? Are you filming right now? Yeah, we're done. We're done shooting. How many soldiers do? 13. 13.

Speaker 2:          00:14:52       So they decided to film 13 and then air these, they did a pilot. They liked it and then they just shot 13 or 12 more. Yeah. That's nice. That was nice. Um, if they pick up what they call the back nine and to give you a full order of 22. When do you, uh, when do you know about all that? I think may and we find out in May. Yeah. I don't know if we're going into the bay. I think it'll be just a sec. Yeah, yeah, yeah. That's cool. So what's that experience been like?

Speaker 4:          00:15:17       Men, Randall, you go first. I've been talking about it too. It's Randall. Well, I mean also the eldest Asian goes first. I that's right. Respect. Uh, you know, for me it was, it was fun. It was a, you know, there was a lot of challenges. I, I was, you know, I've been kind of the middle man, I feel like in a lot of the situation. So I like talking to the producers, talking to the other actors, talking to Eddie and like, you know, trying to kind of navigate everything and, and, and hearing out their issues and their problems. And so I don't know that, that, I think with any TV show, they're always like politics and issues and, and, but when you have one that's specifically based on a memoir of a real life person, you know, there, there's a lot of kind of bumps in the road and a lot of things to work out. And we definitely had those, uh, those issues. But with that being said, I mean, I had a great time. The cast has been great. The, you know, the crew. I had fun, I had fun and uh, I think it's like a, it's a good show, you know, it's, and it's a groundbreaking show like in terms of just Asians on TV.

Speaker 2:          00:16:31       Well Margaret shows the first she had that show on you can girls 20 years ago. Yeah, I was around back then. I remember it. I was friends with Margaret and the whole, when it went down it was, it was weird. It was telling me you got to lose weight, you got to do this just different. You can have a fat Asian on TV or they mean like her stories about her pretty fucking crazy. He's bad. They had like an Asian consultant or something on that show. Like basically telling them how to be Asian, you know? Yeah. I mean we had those weird ass accent coach too is too though. It was super cool. Super Cool Dude. But there was a dude that was literally like Randall, your accent, like checking on the accents and shit.

Speaker 4:          00:17:08       Yeah. And hit that too. That I, yeah, super cool guy, friend of mine even. But it was like it, it definitely got me in my head for that pilot. So after once we got into the series, I was like, no, I'm going to learn this. I'm going to learn this.

Speaker 2:          00:17:22       What were the accent? We try to learn Chinese accent. It was

Speaker 4:          00:17:25       like a supposed to be a mandarin Taiwanese accent. But what I feel like there isn't one, there isn't anyone locally in their own fucked up. That's what I learned. That's what I learned. It's like there is, cause I went to so many people to get like coaching, you know, like to get specifically experts are actors who could really do it because there were no dialect coaches who could do it. But they all had different approaches

Speaker 5:          00:17:50       and I was like, there is not one way to do an accent. Yeah. It's basically a cottage industry for Asian people to just g off and be like, oh no, no, I know this thing. Let me tell you. Yeah, it's flied lice. [inaudible] House. And I know, no, it's not always. So they're just running the game and the white people like, Oh gee, okay, okay. He's religious. He understands. Yeah, we have an Asian accent consultant. They hired this guy, he's like an actress or actor and they, he was like, I got hired to consult on the accent because I'm Taiwanese. And it was like, Yo, this is so book. What are they trying to do with you? They try to fuck with your accent because you have a no, no, no. I just do voiceover, do voiceover and give people a hard time. That's pretty much my job on the show. So you don't act on the show? No, I'm just, I'm the voice. Oh, so someone play you? Yeah, there's a 12 year old kid who was a really cool kid. Wow. So it's Sorta like that Chris rock show. Everybody hates Chris. Yeah, exactly. Yeah. That's interesting. Oh see I was under the impression that you were acting. I was confused. But like voice. Voice. Right. And who do you play? I play the Dat. You play his dad. That's a weird relationship. It's weird.

Speaker 5:          00:19:04       It's funny cause my mom on the show is the same age as me now. Oh. But super cool rent like, you know, the actors on the show were incredible. Like the casting on the show I think is my favorite part of it. Yeah. I'm not just saying it because home is here. Like we really get along. We hang out, we eat Jamaican beef patties. That's what we did worry that that 12 year old kid is going to be like that two and a half men kid just fucking get crazy. Yes, yes, yes, absolutely. He already gets crazy. But I love the kid. He's a great kid. He's like amazing. But he's a real kid. He's not like a, an actor. He, you know, he didn't have hardly any experience going in and that's part of the reason why we loved him so much. He was just raw, you know, Brooklyn, Chinese kid that went to a cold acting at casting and then we saw his tape and I remember watching, did you get to see his audition?

Speaker 5:          00:19:51       Uh, I saw, I mean, I was there for some of the early ones, but I didn't see the original, his audition is so funny. They're like telling him to say things and he's swinging at the camera with his arm. He's looking in the wrong direction and he just doesn't give a fuck. And I saw the tables like we have to cast this kid. Just personality and just personality. He couldn't be bothered and not be bothered. And even when we sh, I mean Randall may hate us at times just because the kid will be bouncing off the walls. Like we basically just captured this real kid on camera. Cool. Start, stop. Yeah. But the other kids, like they were all polished actors, you know, with clean line reads, you know, like, and, and emoting right at the right, you know, right at the right word. And it just, it just didn't feel like, yeah. When, when, when a show comes around that's very specifically Asian, it's hiring all these Asian people. There's like, there's a tremendous amount of attention from the Asian community. Everybody gets very excited. Like, I have Asian friends that were actors

Speaker 2:          00:20:49       and they will get very bummed out that there's no roles for Asian and they'd get really pissed off and I would bring up like when John Wayne Played Kingus Khan boiling read Mickey, the Charlie Chan, Charlie Chan was a white car, had the tape on the ice. Yeah. So now that there's like an actual agent show, like what has the response been like you're an actor who was like the wire dude. Basically every Asian person is hitting you up. Like you'll kind of be bubbles.

Speaker 4:          00:21:21       Everybody wants to be bubbling. Yeah, exactly. It's been like, you know, I mean the overwhelming like just positivity and negativity and, and you know, skepticism and it's everything. It's because it's the only one you, and is there any

Speaker 2:          00:21:36       inter Asian like anger, like you are being a Korean guy playing a guy who's from Taiwan?

Speaker 4:          00:21:43       You know, I haven't experienced it personally. I'm sure it's out there. I haven't experienced it personally. I had my own issues with that too. Like I actually went to Eddie like early on after I found out the show is being picked up the pilot and I was like, I don't think that this doesn't feel right. I don't think I should be playing this part. Really handle super earnest about it. Yeah, I like wigged out about it. I actually had a nervous breakdown about it cause nervous breakdown and not nervous about a panic attack. I had a panic attack. How does that go? Just like I thought I was going to die like literally like the night before I was, I couldn't sleep and I have to keep moving. I was like, and I knew it was because of this cause I was just so in my outs like I don't think I should be playing this part. This is like a big moment. Yeah. And that's part of the reason that got me to that thought was because after the show got picked up it was already all over the Internet. Like amongst Asian people. Like super excited for it, you know?

Speaker 2:          00:22:37       Yeah. The great yellow hopes shit. It was just, Oh my God, our dicks are all going to get bigger. February 4th my Dick is going to be six and a half inches. Everybody gonna have six and a half inch sticks on February 4th so you, it's fascinating though. He was like, Oh man, I don't know if I should be, I don't know if I'm the one, you know? And it's just because of the fact that you're Korean playing guy was Chinese. Yeah.

Speaker 4:          00:23:03       Yeah. I mean that was a big part of it. Also, I had my, you know, I had issues with the character and we talked about it and I had like, I was like, man, I don't know. I just don't feel like this is

Speaker 2:          00:23:14       right. I think that thing was, was Randall is so earnest and, and the reason like I've really bonded with Randall through the whole thing is there's a lot of people that lie to you in Hollywood. There's a lot of fake motherfuckers out here. Wait a minute. What are you saying? Oh, I can't be a part of the show and I got a go have a meeting. But no, like he would, we would talk really openly and honestly about the script, like the things that didn't seem to like represent my pop's, that, that weren't totally there because you don't shows, they always have like a really powerful woman and a kind of a schlubby dude. My Dad walked around the crib in his underwear with a k just chilling. Did he really? Yeah. Okay. Yeah. He cocked it on my friend once when we were just like watching cartoons in my dad was like, ha ha. And I was like, Whoa,

Speaker 4:          00:24:05       bad ass. I mean, like I met him. The dude is, I mean, not only bad it, he's just like a diner. He's like, Eddie, he's like this a dynamic person. You know, he didn't mean a bed because my friend had been asking him about it and he always wanted to see it. So my dad ones I just came out with and it was like Bong, bong. Yeah. So, so, you know, we don't see much of that, that in the character of the show. But you know, with that being said, like, you know my issues were just like, yeah, I don't want him to be like always like the funny one are always the inept kind of classic Sitcom Dad. I want him to kind of, I want him to do well. I want him to work hard. I want to be a good example for the kids. You know, because again, we're the only Asian show. It's important that like I don't just play that one lane. I want him to be more fleshed out. You know

Speaker 2:          00:24:54       that is a real issue. Right? If you're the only Asian show on television, you definitely don't want to be a negative stereotype. You don't want to like play into all the bullshit that is already out there. The negative stereotypes. Yeah. That's a tricky, tricky position. Huh? Is that why you felt like you were real nervous about it though? Pat was deaf that that was it.

Speaker 4:          00:25:13       See, I mean also like in combination with the accent, you know, if you have an accent, that's one.

Speaker 2:          00:25:19       Thank you. Hit me with some of that accident. Come on down. But, but, but the thing is just say fuck you Joe Rogan with that accident. Say that. Just try it. No, but, but, but fuck you. Fuck you. Joe Logan and Xingrei. Yeah, exactly. Uh, no, but yeah, exactly.

Speaker 4:          00:25:45       You got an accent and we just seen throughout history, Hollywood history, it's like as if there's an accent. This character is one dimensional.

Speaker 2:          00:25:52       You know, David Show had this fucking great posts. It was one point in time. We pulled his DVD asa podcast off the year and you put this great quote on his website about Jackie Chan. He goes, how come Jackie Chan never got to fuck or finger bang? Yes, yes, yes. Totally killed off this whole thing about everyone's afraid of the yellow man. I want, he talks about fear of a black planet. We're on me on my style. That was a huge moment for like Asian kids. Yeah. You remember chatting, Leanna, Leah, if you could've just made out with the, I swear like that, would it just life, would it tripled in that theater? They don't even like, they don't even shake hands. What is that? And that's a Romeo and Juliet that was like the fuck. I don't even shake hands except for walking dead. That's the only time with Asian guy wins. That's the thing is like there had be a Zombie Apocalypse Asian

Speaker 5:          00:26:46       too. To get some pussy. It has to be a Zombie apocalypse. That dude had to be a motherfucker, a few white dudes that want to fuck that check you in that show. But she's the hottest chick on that show by far, by far. By far. By far. And that's a big victory for the guy was Asian here. We caught one day. Yeah, that was a good one. Yeah. Well this is

Speaker 3:          00:27:07       anger and resentment in the Asian community too. When Asian girls will exclusively date white guys.

Speaker 5:          00:27:12       Yeah. I used to get mad, but now I'm just like, it's cool. There's billions of us. That is a weird thing though, right? I mean that's a common occurrence when I was in college that way, that that were like, yeah, that would definitely like get me upset, hit home. But I'm the same. Like, I'm just like, dude, it's, you know, it's, my thing is everybody deals with their identity and their own way and it's like if you, if you, if you not loving someone for the right reasons, it may rear its head in three months, six months, six years, but eventually you're going to deal with it. Yeah. And it's just not my job to be judge and jury Wickham machineries and white dudes. It's kind of, you know, shorty's that's, that's your prerogative, man. I used to get tightened college tighten college. I was always about white chicks with big butts. Anyway, so who isn't UPA exactly. Paul Knox is a number one dropdown on Bang Bros, I think. Yeah, that's perfect

Speaker 3:          00:28:12       ass white girl. If you don't know what Pa WG means. Yeah. There's something about, well, it's just such an anomaly. You know, you find a white girl with perfect cas. We were in a, Tony Hinchcliffe and I were in this coffee shop the other day. We met this black girl from Kenya who, she had an ash. She turned around and we both went like that and just looked at each other like, Jesus is that real? And then we talked about it for like an hour afterwards. Like you don't ever see that on any other nationality. It's only black chicks from Africa. I mean she had her ass was like in the middle of her back, you know,

Speaker 5:          00:28:47       west, west Indian or come up with, it's like Caribbean, west Indian, you'll get it right. And right now there's a lot of chicks with fake bloods out there. If you look at Instagram, sometimes there's a lot of these girls that, you know, they never showed the backside. Then all of a sudden, like six weeks, there's a gap in photos and then bang. And you're like, Whoa, is that, you mean people here and, and the and yeah, that's a thing. Yeah. There's a few girls in New York for Israel that's like, Yo, it's huge in Brazil and Colombia. But in New York now there's a lot of New York girls could be fake blood.

Speaker 3:          00:29:16       You know what's fucked up about that? It's like a girl can get her a but big by working out and lift weights. But you can't do anything about your breasts if you want your breasts to be larger. I don't think they have a solution to that yet. But if you want your asked to be big, all you gotta do it. You Lazy Bitch, just do some squats. You don't have to stick plastic in here. My ass is tight. I got to workout. Beautiful. I knew a dude

Speaker 5:          00:29:42       who had chest implants. Oh, what? Yeah, he got who? Just implants. That's weird. It was a comedian. He decided he would, you know, he wanted to be a sitcom star and that's chicken chest and instead of working out, I mean I think you worked out a little bit, but he had peck implants. I feel like, I feel like fat Jew, I think I talked to him. I think he wants breast and close fat Jew that this comedian fed shoe. He's awesome. That's his name. Yeah, that's his name. Yeah. He sends me photos like this to, he sends me wild photos of Turkey testicles. This is super weird stuff, man. But he's the best. You have to see this. He sent this to me for thanksgiving,

Speaker 4:          00:30:16       but yeah. Hmm. So it's a Turkey with his balls. Yeah. You can out of the hole. It's a Turkey. He cut out putting balls in the photo of his balls. Yeah. It's just, it was an acceptable way for him to send his balls. Exactly. Yeah. Is he a guy in New York? Yeah. Yeah.

Speaker 5:          00:30:38       He, he's in New York. He's been a homemaker for a few years. He was like in this rap group, team face lift. Super futuristic to you. You got to have him on the show. All right. If I'm in fat Jew. Interesting. That's my man. Strange name. Yeah. Yeah. So you guys have been filming this for how many months now? Ooh. Since uh,

Speaker 2:          00:31:01       we ended right before Christmas. And did it go through like, um, I've been on a sitcom news radio from the beginning to like the one of the first episodes to the end. It's like they grow and everybody sort of finds their own rhythm and people get fired and writers, new writers come in. Do you guys have go through all that? We didn't like that. Only because we didn't start airing while we're in production. I feel like those things happen when you're, when it starts airing and then the feedback comes and, and you know the, the lower it maybe if the ratings are like on the edge and then they start panicking, oh we've got to make changes but we didn't. We like we're literally in a bubble kind of thing.

Speaker 5:          00:31:39       It's a gift and a curse that your mid season when you're mid season they buy all the episodes and they're going to all air. Yeah. So did they do a pilot first? Yeah, the pilot's great. They did the pilot pilots actually my favorite episode of the whole season. So he's did a pilot. And then how long before they decided to pick it up? Had a little bit of a break. Yeah, we finished it. I feel like we delivered it in March. Right. And then we found out in May.

Speaker 4:          00:32:04       Yeah, beginning of man months. Yeah. Two months. I didn't think it was gonna get picked up. Not because I didn't think it was good cause I, nothing gets picked up but nothing gets picked. That number one and that no Asian family sitcom gets picked up one ever. One 20 years ago. Yeah, it was fine. I knew it would get picked up. I told everybody, I was like, Yo man, see what chase bank, Chase Bank. Eddie knew. I was just like, you know, I mean I've been in the trenches as an actor for it for a long end. Like these things don't happen. They don't happen. And then it happened. I was like, well they occasionally happened. Yeah, yeah, yeah,

Speaker 5:          00:32:40       yeah. I feel like you, you will shit to happen. Like when my whole life I just feel like, you know, you gotta like will it and just believe it and if you don't then it really won't. It has to you everything had the Mojo all has to line up. It helps. It helps if you believe it does. There's a lot of people out there that watched the secret and thought, I'm going to change. Nothing fucking happen. No, I think you have. It's essential to believe and then there's still a lot of shit, but if you don't believe it, you good luck. Yeah. It's, there's a vibration that you have to catch. You have to be on a frequency and all these things have to align together in order for it to be successful. Yeah. And, and you can feel it. Like you can really feel the energy. Like we had a good energy on our show and I think it's because everyone, this was the biggest thing. Anyone will not, you had a lot of other hits but like constants Hudson, the kids, you know, it's Melvin the producers first thing that's his own. It was the biggest thing I've done and you know, for everybody was just like humbling to be there. Happy, happy to get there. And then once we got there we were like, let's Breck shot, you know, let's do this. Well you should act man. You got such a great personality

Speaker 4:          00:33:47       that all the time I tell him, I'm like, I'm like, I'm writing something for you at.

Speaker 5:          00:33:52       That's why it made sense to me that you were on a sitcom. Like there's a lot of chefs, if you told me they were on a sitcom would be like, what? Yeah, like Emeril. I didn't know exactly. Exactly. Yeah, and Merle had a fucking said calm. I think it was called Emeril. Yeah. It was like some fucking NBC disaster. Fuck. Oh my God. He's actually pretty fucking cool in person. Like I chill with Emeril on top. Chef dude is, especially in New Orleans. I got to hang with them in New Orleans. Cool. Dude. That's a spot. Yeah, that's his spot. But like, no, I, I definitely, I told my agent, I was like, Yo, if there's any roles out there for an Asian Joe Peshy fucking sign, that's what I want to be. An Asian Joe, Joe Pegi Goodfellows or Joe Pesci lethal weapon. Oh, like my cousin Vinny. Ah, yeah, yeah, yeah, yeah. I mean, you could totally do you. That's why when I heard that you were doing it, I was like, oh wow. What did we, this fucking versatile motherfucker could shine a voice acting, but no, I got it. I got to do the acting it, it'll be fun. I'm excited.

Speaker 4:          00:34:52       The voice acting to that. I mean that's like, I feel like that was a huge, I mean that wasn't in the original, that wasn't in the original. Nafta kind of came in like how can we make this better? And then they came up with the idea we got to have Eddie and that like changed it. It like really made a, solidified the show, you know, and, and, and framed it in the right way. It happened in the edit.

Speaker 5:          00:35:14       I think it was just in the edit. They were like, Yo, you should fucking Kevin Arnold this thing. Yeah. You know, I was so excited. I was really, they told him I was playing ball when Melvin called me and was like, Oh lucky I do this. I was playing football. Getting pockets. Yeah. Is there any way they could write you in? I mean, who would you play if you were going to be on that show? You'll like cousin, cousin Eddie would be sick or cousin. I got a cousin

Speaker 2:          00:35:38       Allen or something. But yeah, like cousin. Yeah, you could be like kids cousin. It's always given them like sneaky advice in trouble. You know, leading them astray. Temptation, life, man. The kid was telling me, it's like, Yo, like I like girls now, like word. That's great. That's great. That's great. That's really great. You like girls? And I was like, do you have like a girlfriend or whatever? He's like, no, there's this girl I like, but I'm afraid to talk to her. And I was like, well what are you going to do then you should go talk to her. And he's like, no, no, no, I don't want to talk to her. And I was like, well what do you want to do? And he's like, I kind of want to touch her. I was like, good. So I'm like, Yo, when she gets out of class, just kind of bumped into her boobs with your elbow.

Speaker 2:          00:36:17       No, don't tell him he's like, what? And I was like, no. Yeah, you got to just kind of bumping into the booth. Can't tell him that. And you definitely can't admit that on the Internet because if he goes, if he goes and does that now that's like sexual assault. It's not that you did that in middle school. You come out of like seventh grade. I lived in a different world. My friend, this is the world, the Internet, social justice warriors. He just asked that dude, come on. Rape. No, no, no. In this world, your illegally touching a sexual organ with your elbow on purpose. It's not an accident. You're pretending it's an accident. Fuck man. Do I have to apologize? Dark. We're so sorry. Boobs with, I'm so sorry to all those boobs out there. Especially if the girl doesn't want him to touch her boobs, then it's really sexual assault.

Speaker 2:          00:36:57       Do you know? I'm sure he's a good kid. I'm sure she wouldn't mind it if that's not sure enough rent. Randall, you never like kind of just brushed up against the pedal and are meant to it. Even if I cannot recall the only one. I'm the only one that was running my Nautica competition. Fleece. Gabriel, stop beating that Cosby horse and start running towards you. It sticks. No Man. No [inaudible] not on that. No. Come on. It doesn't matter. There's so many people out there, they're looking to be angry. They're looking to find something. They just, they can't brush it off as something innocent or joking around and especially when it comes to something like asking a young kid, giving him advice, had a bump in with chicks tits, maybe. Maybe I did fuck up. Do you fucked up? Fuck it doesn't matter. Which is what you tell them to do.

