Speaker 1:          00:00:00       And
Speaker 4:          00:04:18       Really. That's it. Just that their water party started right? Spit on it. If you're feeling dirty, fucking whore horn the ticket right back on there. No, but you know, I tried warming it up in the microwave. And you're not supposed to do that already. No, no, no. The juice or the liquid stuff. I'd put it in a cup. It was like get a melted and stick your Dick in there. It's gonna fucking fuse to your Dick. That hot molten plastic. And you'd be screaming. Third Degree Burns all over your Dick. Could you imagine somebody must have somebody must have nuked something. Got It. Too Hot. Fuck it. And ruin their deck. That's happened. Totally. Totally. If you thought about it, it's happened. You know. So like I was saying, I put this picture up on my twitter the other day. Somebody, somebody sent me this twitter. Hey Joe, have you ever seen a triangle like this before?

Speaker 4:          00:05:04       So I click on it, you know, thinking that it's probably a guy caught somebody in a triangle. Well, it Sorta, what it is is this site called [inaudible] dot com. Do you know that site? It's a site that is dedicated to all. It's all white guys like nerdy white guys and they're making these black ghetto, cigs gagged from fucking their mouths. And so I tuned into this picture. I clicked this link. This guy sends me and it says white nerdy dude with these pale skinny white legs with black socks and black sneakers on and he's got to know arm triangle like this around this chick's head. This chick's head is like right here. And she's, you know, he's shoving his dick in her mouth with his triangle and she's like literally throwing up all over his balls and his asshole. And I'm like, he said so much to me though that what

Speaker 5:          00:05:58       kind of a strange world do we live in where it's so normal to just click a link and it takes you to a guy stuff in his dick into some chick's mouth and she's throwing up all over his balls and asshole. And all I do is giggle. All I do is go, ah, you got me a fuck. You know what I'm saying? I mean if this was just 10 or 20 years ago, that picture would fucking freak you out. There was no pictures like that. You could net. When I was in high school, the most you got is like hustler where they spread their pussy lips apart. You're like, wow, there's pitches crazy, dirty, like they weren't even allowed to show penetration. They would show like a guy, they would have like a sex scene and the guy would be like grabbing his dick to try to keep it hard and looking at her and it would look totally fake and posed and it didn't look like real sex at all.

Speaker 5:          00:06:47       They, you know, it was hard to find pictures of, of fucked up things. But now what's, what's the link with the website? Ghetto gaggers, ghetto ghetto. If you just go to twitter.com/Joe Rogan and look at my past tweets, you'll find that a few days ago, I forgot how many days ago it was, but this motherfucker got me with this picture and it's just so crazy that that it's so easy to find images like that. There's so many out there. Kids today, dude, they're growing up in a totally different fucking world. A world where you can click a link. I mean how many kids subscribed to my twitter, how many kids click that link and went to that guy stuffing his dick in that ghetto girls mouth and she's throwing up all of it's not fair and I wonder if it's like. Because I mean I, I got off it like sears catalog, looking at underwear ads and stuff like that and now you can just see the inside of a girl's asshole.

Speaker 5:          00:07:40       You know, anytime you. I used to be able to beat off to like a, like a, like a workout, like vhs cover, you know like girl bent over trying to look sexy and it used to be able to beat off something like that. Like you dirty bitch, but now it's like peas dudes are desensitized. These kids are gonna grow up and not to be able to get off unless like somebody like goats sees them and like shits in their face and stuff like that. You know what I mean? Cause they're starting. Some people do get to like really crazy points where the only thing that gets them off it was like really fucked up shit. There's porn to the caterers. Just to those dudes. I told you about the time that tate nine went to see a porno being taped. We walked in, we walked in.

Speaker 5:          00:08:18       This dude Salami that we stood Jujitsu with, great guy and he was a. He was directed porn and I told him to come on, do this shot, come by and check it out. And all right, we're, we're on our way back from a Gig land at the airport will go before we even go home. Let's go check out this can go to this. Watch this dude's Bournville. We walk in and there's this one guy fucking this girl in the asshole and the other guy's fucking this girl in the mouth and they're spitting in her mouth. Everyone's spitting her mouth, both guys and the director and he was like, grab her by the hair of spit in her mouth and this gal spitting her mouth. I mean it was like, it was fucking. It was rough, man. The Guy, the guy's fucking her in the

Speaker 4:          00:08:56       asshole and then he stuffs it in her pussy and he goes, yeah, I'm an asshole to your pussy. Hats. Real fucking healthy. Like whoa. I remember like not porn is this. I remember watching porn and then first seeing how people spitting on the girl's crotch before fucking in it. So I tried it with my ex girlfriend back in the day. Did you just spit on my trunk? I think I goofed on her crotch. I didn't just say, Oh, I'm sorry. There's something dudes like that. When girl spit on Dick's, they had lived those pornos with girls. Spend a dick. I'm like, that's just showing me this like anger there or something. It's like craziness. That's, you don't need to spit on it and you know, you want to lick it and want to get it all sloppy. Wet. That's all good. That's all good. You don't need to get crazy.

Speaker 4:          00:09:45       The worst is when they spit in a girl's butt and it's like disappeared. See little bubbles. Shit. Like come on. People will never find the end. There's no end. You know, it's just advancing and escalating and it's the more exposure to this shit that we have, the more it desensitizes people to like regular sex crows were taken in the ass left and right now there's like reports about it. Like all these doctors are having problems with girls having but VD, they're shitting themselves by the age of 30, you know, it's fucked up. It's fucked up. Get yourself a rubber butthole. Fleshlight if you got that, the whole thing inside you. I tried to warm up the juice and uh, so then I, if I had to do the microwave thing, I went into the bedroom, put they put it and I didn't have a boner anymore because I was like doing like kitchen shit.

Speaker 4:          00:10:33       Then I had to like get myself hard again by looking at some porn and then I went over and the juice was not warm anymore and it was just like, ah. So I, I've reached a point in my life where if my dick is not hard, I'm not gonna even try to get it hard to jerk off. I do not set aside time to jerk off. I don't like sit down and my Dick's not hard to go jerk off and start rubbing myself. You've got to be born. He didn't do it. Now you've never done that? Oh, I have in the past for sure dude. I've had days where I jerked off like four and five times a day where you just, you don't even know why you're doing it. It's like, this doesn't even feel good anymore. Like why do I keep doing this?

Speaker 4:          00:11:07       You're doing it just because you're obsessed, you know, just because you got to a wacky bug, you know, and you just want to keep jerking off. It relaxes me. I, you know, it's like when you say, when you talk about how you take a big shit and then you're like, I can't believe I had this shit. Me. That's how I feel like the sperm, it's controlling me. Know for sure. But not when you do it five times for one shot. Yeah. One day. Even two shots that they might give you a feeling crazy, you know, you, you, you just got a text message from your ex wife and she's having a hard time with her husband and I know you think, Gosh, fuck this dirty, but she didn't hate her and she took all my money and just beat one off real quick. You know, you might get a second one out of it. It's exciting. Right? But other than that one is one a days. All you need when you start jerking off five times a day, you're just a fucking Weirdo. You know? What do you do? I used to get blisters on my dick from jerking off too, and I really would

Speaker 6:          00:11:54       just hold it another way. I would figure out another way. No, on two separate occasions in my life I jerked off so much that I developed like a little sore spot on my, so there's no way you could be enjoying that. Like why you jerking off that much because you fucking crazy. I mean that's what it is. It's like you just get it in your head that you have to check off. When I used to fuck pillows, what was so bad? His accent ever used my hand. I would fuck pillows. The worst is watching my mom. Like you draw so much when you're talking about just go in the laundry room and she's like taking off pillows, sheets that we're sticking to it and you just look at my pillow and it looked like, you know, fucking has for sure. Touched your loads. Totally. How does that feel?

Speaker 6:          00:12:39       I don't know. I just can't believe. How weird is that? Your mom has touched your, your semen? Yeah. Yeah. Well she made it. That's true. It all came from her, right? She cooked it up inside of her. It wasn't for her. You wouldn't be alive. You wouldn't have any sperm. Totally. And I just got a three d TV, one of those new. Uh, yeah. You were telling me about this and he watched porn on this. How does this work? So explain to me, this is what company makes this. Just a Samsung TV. It's because I saw Sony, but Sony said it's not even out yet. Tony's on out until the summer. It was very impressive though, right? Yeah. That Samsung. What it does is it right. I got a three d TV in a Red Blue Ray player and it converts first. You could watch anything on TV, any show, any TV and it will convert it into three d if you want.

Speaker 6:          00:13:23       How the fuck does it do that? It has like a smart technology where it detects what a background is and what the main character is in. Tries to layer it. And that's a really good job. Actually. I was so impressed. I thought it was gonna be like bullshit. But it was like I watched bill and Ted's excellent adventure and it looked like it was made for three days. That's insane. Yeah. It's pretty crazy. And you wear goggles A. Yeah. You were these little glasses and what are they gonna fix that? Well, supposedly they were already invented the technology to do it and when it does, it's like this great that goes over your tv and it detects where you're sitting in the room and it kind of like splits the images up for you, like from left and right eye and it makes it three d, but it's too expensive right now.

Speaker 6:          00:14:02       They said that in the next five to eight years you'll start seeing it coming out in it and then it will be integrated into television and be a part of it. Right. And what's weird about it is that you using the three d, you immediately get it. Like I get it, like you're going to have a TV that's going to be three dimensional soon where it's going to look like you're a window, but you're going to be able to kind of, you know, it's, it's, it's crazy when you, when you start really getting it now just tvs themselves are insane. We're just so used to it. The I just the idea of capturing image, capturing any image and I mean you're literally taking a snapshot of what's in front of you and somehow or another you can send that, you can put it in you and you don't even have to connect it to anything. It goes from your phone and it can go to the whole world. You'll put it on flicker, right? And someone in Nicaragua

Speaker 2:          00:14:52       can look at it. Not to mention that TVS are like this skinny by the way. Yeah. And so pretty soon you're just going to have a look at an IPAD 3d. How nuts is that? Those things will fucking crystal clear. Those really awesome image and it's this little skinny ass thing, like a piece of paper, you know, it's like a couple pieces of cardboard stack together, right? That's fucking nuts, man. Tvs today, you know, you go and look at these tvs and just think about how long ago was that? You know, you have like this stupid looking like rounded circles, rounded edges on the corner and it was big as fuck. And you had to. Everybody had to help you move it. Did you have those new routines? You remember what my grandmother used to have, like where it used to be a record player on the top and then the speakers on that side have been there.

Speaker 2:          00:15:35       It the. Yeah, and it was black and white and it was tiny. It was like fucking smaller than your laptop. It's a piece of furniture, you know? It was a coffee table that was super long and that was just a lifetime ago. I mean, that's what my parents grew up with. My parents grew up with that shit. That Shit's bananas. It is. It's pretty fucking insane where technology's headed, but it's just as insane just thinking about where it's gone. You know, if you ever wanted evidence of evolution, it's evolution seems to be a pattern that everything follows. You know, people want to like get angry whether or not evolution exists and whether or not evolution is real. And very few people even truly understand the argument. It's a very, very, very complex argument, but the argument really isn't, is there a god? The argument is everything seems to evolve.

Speaker 2:          00:16:27       Every single thing seems to change and human beings are the clearest example that just based on our culture, if you look at just the shit that we have now in comparison to the things we had a few years ago and the movies, if you like, watch movies and listen to songs from like the forties and the fifties and then you listen to some new shit even if you don't like most new shit or you think it's stupid or you think it's that the I, I'm with you on all that, but just the technical level that they're able to like the kind of music they're able to make now, you know, it's very, very different. It's incredibly powerful. Like you might not be into pink, listen to a Goddamn pink song and then try to go back in time and listen to some Jefferson airplane and shit and see the, like the, how they recorded it.

Speaker 2:          00:17:11       Even if you love that song, it's like they did a terrible job of like putting it all together. The evolution of music, the evolution of television shows like try watching father knows best. Try watching any of those fucking stupid movies from the fifties. Those goddamn things are terrible. They're terrible. It's like everybody falls in love immediately. The bad guy. Super obvious. There's like everything happens. It's so corny and phony and now you know, it's, it's very clear that things are moving in a certain direction, but everything is not everything though. Like when you go to a gas station and you, you prepay for like 20 bucks in that last dollar takes down.

Speaker 4:          00:17:50       Why does it do that? Because they want to make sure it doesn't go over. You think they need technology to fix that because. Because, because when you do it yourself, you could just turn it off like that and then it's like three cents spam. You know what I mean? They don't want you to go over because if you go over just a little bit and everybody goes over just a little bit and you add that little bit altogether, it's probably millions of dollars, but there should be a technology where it just turns it off at this time. Well really the problem is the real technology issue is that this fucking fuel issue, the real technology is the gasoline thing. We need gasoline to make every single thing on this earth and we need gasoline to move. No, that's the real technological. That's the hurdle. The hurdle isn't your last dollar when you're prepaying for gas.

Speaker 4:          00:18:29       The hurdle horses, the real hurdle is the fucking oil, you know, that's frightened shit man. Whether there things, what my point was there is things that you're just, I'm amazed that, that, you know, such things are so different from 20 years ago. Other things like that, it's just like, come on gas pumps a. well yeah, I hear you, but I don't think overall, I don't think it's important for that. There's no innovation as far as like the fuel does that eventually they're gonna have to come up with something new and then when that happens then then, then we'll, we'll reach some new point where, you know, we're, we have to abandon a gasoline entirely, but they're going to have to make some gigantic discoveries. But that's so possible, man. People, you know, people don't even think about how possible it is. They could, they could come up with some new way to fucking make hydrogen tomorrow and it would change everything you know, or some other new type of new way of making batteries that makes batteries last longer.

Speaker 4:          00:19:20       They could figure out some weird shit man. And then instantly everything changes. Yeah. Battery technology is slow as fuck. I mean Mac just released a new refresh of their Mac book this week and it added two or three more hours to the last model. So that's, that's pretty good. That's a big job but usually to do that, but making the batteries larger and making it so you can't pull them out. Yeah. But they didn't want this one. No, this is the same size. I know what I mean. They didn't change anything. Yeah. The new Mac books can get 10 hours supposedly nine, 10 hours. I have done this, this 17 inch Mac book pro, whatever it is, but this thing doesn't get nearly as much as they said if you're actually using it. I got this one which was last model. You know, and this gets, it's supposed to get five hours.

Speaker 4:          00:20:06       I get two hours and this is a brand new battery. Yeah, well it's like you have to like turn the volume on the, the brightness on a screen way down, you know, that saves a lot of it. You can't be cranking volume, you can't be watching movies if you used Wifi, eats it up if you have a cellular car to eat it up, but yet the ipad seems like you can do all that and not even take a dent to that. Amazing. That's what the battery. What's up with that. But that battery's crazy dude. I use that battery for a whole weekend and so it's like 50 percent. I know they should just get like three of those batteries and then when I'm in a hotel dude I sit with that thing. I'll get on the net and I don't do it for hours, you know, I'll, I'll read, I'll even write some shit on there, right? Like little notes and then I look at it, it's like 96 percent

Speaker 2:          00:20:48       battery liking that ipad by the way. That's the future son. The future is some new fucked up thing that's even easy to transport around. The Nat [inaudible]. That right now is the portable typewriter. The future. You can totally know. It really is. It's God. I miss typewriters. Did you type?

Speaker 6:          00:21:06       Oh yeah. I had to do it for school and you know, you make a mistake and you have to like take that white marker thing, you know, and go over it.

Speaker 2:          00:21:13       What a fucking pain in the ass it must have been to write a book back. Then you have to actually click, click, click, click, click, click, click.

Speaker 6:          00:21:20       That TV though, has this, uh, that new Three d tv I got has this thing called the 240 megahertz mode. It's auto motion plus mode and it is the most fucked up thing. What it does is it, it's so fast that it actually makes up frames in between frames and what the outcome is is awful. It makes any show or any movie look completely fake. Like when you watch, if you take titanic and if you sit there with a movie camera and film titanic, it looks like a movie because it's a movie camera. You'd take that same scene and record it with a video camera. It looks, it would look fake and like kind of like cheap. And that's what this does though to every show. So you sit there and watched lost or anything you get pissed off because it looks like a soap opera.

Speaker 2:          00:22:03       Isn't that kind of weird that video, like people that don't use video for things and one of the reasons is because it makes stuff look fake or make stuff. Look, it doesn't look as cool, but what it means is it doesn't look as good. Yeah, exactly. It's not as clear an image. It's fog, it's not as foggy. It's also that you can focus like in film you can focus on the guys in the foreground, whereas video kind of just captures everything.

Speaker 6:          00:22:25       Right. And that's what this, I guess this TV does is it takes each frame and makes everything in focus. So it makes everything seem really phony. Like like if you watch loss, it looks like a soap opera from Mexico. That's fucking crazy. It ruins everything. So I don't know why if Samsung made that mode, but now I want to make everything look fake. That sounds awesome. It's, it's pretty bad man. It's want that though. It sounds like it's what's great is doing it and not telling somebody and going, dude, what's your favorite movie? Godfather. Okay, let's watch it. Okay. This doesn't seem as good as I remember it. Like it will make you free. And he been godfather movies or any movie. So it's some sort of a software thing. It's a, it's a, it's a, it's. It just takes every frame. Makes it a harder conversion. Yeah. It's a hardware into the TV. So the TV is,

Speaker 2:          00:23:12       is actually making you can take an old movie and it will add

Speaker 6:          00:23:16       frames to it and make the. It makes it look, it speeds it up to the point where it adds extra frames. It's kind of like a really fast monitor, you know? So it doesn't look fast or anything, but it looks crisper and clearer and it looks great.

Speaker 2:          00:23:29       Is fake. How much time do you think there is before they make movies? Just completely artificial. That looked like real movies where it's like, you know, like, like a video game, like video game style. Like what was that one movie they did where they did a whole movie. Like that final fantasy. Is that what is

Speaker 4:          00:23:46       a Scifi movie? But it looked kind of fake, you know, kind of goofy fake now to right now it looks stupid as fuck. Right. But back then it was like, wow, this is kind of impressive. What they did not really good enough though to warrant making a whole movie. Right. But how many more years it's going to go by before they can make like Humphrey bogart movies, like make a fake Humphrey bogart movie, recreate his voice, recreate his intonations is, you know, that's gonna Happen, right? Yeah. Oh I, I think it's only a few years off to be able to make porn with anybody. They're going to be able to make any Sarah Pailin. Hillary Clinton are going to have lesbian porn, so I'm going to fuck each other and 50 each other. That's gonna be a video game, choose your character. Obama looks so realistic, but totally be unrealistic like it could look exactly like hillary is just armpit deep into Sarah Palin's pussy.

Speaker 4:          00:24:37       I mean you can make that splattering. Just pussy juice all over the website, splattering pussy juice all over the wall when you could. You're going to be able to recreate. Beowulf is another one that someone just said that. Yeah, it was terrible. I like that movie. It was all right, but it didn't look real. It didn't look real at all, but it was cool. It was a fun little fantasy movie. I think they should have done the Lord of the rings that way. Actually, the Lord of the rings like Gollum is fake, but everybody else was real. It's like there's. There was some fake shit there that was hard to swallow even though they were awesome movies. Don't get me wrong. I think it would have been cooler if the whole movie was kind of fantasy. I don't need real actors, you know, plus real actress look to human.

Speaker 4:          00:25:17       To me. I want it to be fucking weird looking. I want it to, you know, I don't want you to just be some dude wearing like furry shoes that look like feet, but yet, yeah, I just watched that Alice in wonderland last night and that, that was actually kind of cool how they took real characters, but they distorted them. They've made their head's bigger and smaller. It was cool. Yeah. The uh, the main, uh, the queen of hearts. Who was that lady? What's that lady's name? Halina. Bottom corner. She had the big giant fucking head. That was pretty trippy. I love that cat to cat was bad. That was a movie to only go to see if you're really high, you know, it wasn't, it was okay. It wasn't a good is not good now. It was interesting because I was barbecued. I had a pot cookie like an hour before I went to see that and moving. So when I went to the movie I was just was by the time to first frame started to fell out full blown. I was like just completely blown out. So it's fascinating that the cat was really interesting, but like as a, as a, like a plot and everything. I was like, so you didn't give a shit. They didn't give a fuck what happened? I don't know.

Speaker 4:          00:26:17       But yeah, getting really baked and watching your favorite movie and get fucked up by that motion plus thing. You should check it out. Little creepy lab. Well I can't change my TV. That seems really know that's what the TV for back here. Three d one. I don't want to do it. And, but you know what's also cool about it is how this TV is so connected to the Internet. Like I hit a button and it tells me like Yahoo News, my Gmail, my flicker hit another button and I got and Amazon video on demand all through my TV remote. Like it's. Yeah, mine does that. My um, my VCR VCR, my DVD player can download. Netflix can store things on Netflix, it can stream things, it can go to youtube and watch youtube clips. It's pretty crazy. Yeah, I like it. Yeah, it's the future. So in the future is, you know, Shit like this, I mean probably there's somebody right now that can watch this, there's probably some sort of an application, some sort of a way to watch this on your actual TV.

Speaker 4:          00:27:13       Oh totally, totally. I mean you can do it on your iphone. If this was a real TV show, by the way, I was watching here, this would be called dead air and people will be yelling at us. It was boring as fuck right now son, I was watching you guys last week on top of a waterfall and it's so weird. It's like I'm in the middle of nowhere in Portland, Oregon watching you on an iphone. Did you do any math when you were out there in Portland? Oh no, but tell you what man, Portland, Oregon. I was in a costco and I always liked to play this game when I'm out of town. And I was like, all right, I have 15 minutes to find one person in this store that I would, I would fuck, you know, like I, you get to fuck one person in the store, who would it be?

Speaker 4:          00:27:50       And I could not find one person in that store, not even like a mediocre person until right when I was walking out one of the employees, she looked like an la too. And I was like, okay, I'll pick her because I have to pay to fuck that one. Wow. Well, you maybe you have really high standards. No, no. I mean it's. Every single person in Portland is fat. They're, uh, they looked very depressed and sad. Uh, they, they just. And again, I guess it's the meth capital of the world, but yet nature everywhere. Beautiful. Everywhere you go. Amazing hot people that live in Portland. Don't feel bad for Brian. Doesn't want to fuck you. I didn't meet. I didn't, I did not meet you. Now you might be the shit. He might've just got to a real ugly spot. Tons of armpit. Harrison, all the chicks.

Speaker 4:          00:28:34       What do you think though about all the, uh, not only that I've heard a lot of leg hair to was something I read on forums where women were complaining saying that men should know that women have hair on their legs and armpits. This is silly. Yeah, I went to a Sushi place, first Sushi place I've ever been to where they gave you forks and then I was like, wait, wait, where's the chopsticks? And I had to go to like the hostess stand and it had been looked for chopsticks at a Sushi place. Like they were like, oh America son, I know, but what? I'm fucking go back to China. You can use those chopsticks. That's what kind of Sushi place they have their, what do you think about all those people that get depressed? We want to kill themselves because it's, you know, 75 days a year.

Speaker 4:          00:29:13       I believe it. I lived in Ohio and it was like that everyday and I wanted to kill myself and I just wanted to go to work and get done with the day and go back home and play on the Internet and that was because it was cloudy. It was just discussed. Great. Everyday that sky was gray. I would say 50 percent. Sixty percent of the days were gray. The other were like partly cloudy to sunny, you know, but 60 percent was like gray sky, like nothing. Just death. I've been there, man, I've been to Columbus a bunch of times

Speaker 2:          00:29:42       doing stand up and that's what I've found. It's a real gray there. There's a bunch of parts of the country that are just real gray for like a long part of the year. That shit ain't good for you now. It's not sucks. It's weird, right? We're, we're kind of programmed, you know, the human body needs a certain amount from its environment and one of the things we need is sunlight. We literally need sunlight for vitamins. We need it for vitamin D, but we also needed for happiness. There's something about skies that are gloomy, that are depressing and it's encoded into your DNA. It's like your DNA is telling you, hey, you're, you're living in a place where it's going to be uncomfortable. You're going to get drenched. You're not going to get that vitamin D that you need, but if you can get past that, you'll be okay.

Speaker 2:          00:30:24       If you can go to the sun and get the sunny parts, then you'll be happy. Like you can literally literally changes your state to be indifferent. Whether you know, like, physically changes it and if you live in a place where it's just you don't get that son, you don't get enough of that son. Yeah. And it's also different. People have different needs to. I think genetically, you know, I bet if you're black, I bet living in a place where it's never sunny, it was fucking terrible. I bet it's terrible for you because like the whole dark skin and dark skin, it's supposed to be in response to bright sun and you know, living in a hot climate. So yeah, dark skinned like Brazil, you know, they're dark skinned and that's supposed to be because they have to deal with the hot sun and, and you know, and that kind of a climate. And if you go to places like Siberia, people are pretty fucking white just because no one's ever outside in the sun. You know what I mean? It's like you, you, you get, you grow accustomed to it. So maybe if you're a person that like, you know, it's got super pale skin, it would be way easier to live in a place where it doesn't get sunny. You know, maybe there's like genetic needs.

Speaker 7:          00:31:23       Hmm.

Speaker 2:          00:31:24       Very possible. Right. I mean, I, I wish I knew about those lights before that when I lived in Ohio. Like there's the sunlight lights. Have you heard of those? Who knows? There'll artificial lights. The lights. Yeah. They have alarm clocks. They have that built into them too. I really, I was thinking about getting one. That's a trick though. How the fuck would that be? As good as going outside on a sunny day. Some days are awesome because everybody else is happy to. I guess that's tricky. When I lived in Boston, I, I appreciate the fuck. I live sunny days, but now in la you're just so used to it. It's like sunny days or just what you get every day. Yeah. It's actually the opposite today. It's cloudy and you get fired up when it's cloudy, you get, Oh, we're going to get some nice rain because it literally is sunny here. Three hundred and 60 days a year almost. I mean, it's fucking crazy. I mean how many, how many days a year? I'm exaggerating, but it's maybe three. 20, right. It's pretty high. Definitely. Was like a month though that it rains like every day sometimes. Like every other year. Tiers. Yeah, it's fucked up. You can. You can get used to that.

Speaker 7:          00:32:21       Yeah.

Speaker 2:          00:32:23       But it's a terrible for your skin. You know in Australia when I was in Australia, they have all these ads for skin cancer because Australia doesn't have a fucking ozone layer. Remember when there was the big hole in the ozone layer? Worry. Well it's all over Australia and apparently Australia doesn't give a shit but they have all these ads everywhere you go. I'm being careful because if you go outside without sunscreen on, you could get skin cancer. So they have these really graphic skin cancer ads on the side of buses or stitches and shit and see big pieces of meat cut out of people.

Speaker 6:          00:32:51       I hate that. Like or when it gets cigarettes and like Canada and it shows like some guy with throat cancer on the back of your box. Yeah.

Speaker 2:          00:32:58       Just like rough about that too. You see people smoking in England, they have big giant warnings in the back of their cigarettes. But you need that son look at you. You got, you got illnesses right now. You ready to die? Brian's been shitting blood.

Speaker 6:          00:33:11       No, it's in black. It's blood right, isn't a blood stomach ulcers. Brian's got a stomach ulcer. He's fucked. It's great. I have this doctor that I was talking to today and he's just like a, so what? Your stool is black? And I'm like, yeah, it's last night. I felt like I was gonna throw up. I have an eight and 24 hours and I feel really light headed and my stool is black. And he goes, man, we need to get you to the emergency room quick. All right, I'm going to call you back and schedule an appointment. And I'm like, okay, okay. And he's like, and you're not going to have to drive home. I'm like, all right, that's cool. Four hours, five hours later. He hasn't called me back,

Speaker 2:          00:33:45       so this is going on right now as we speak. I might just die, right? Kind of a trooper is Brian. This dude is bleeding out of his butthole and then just hanging out.

Speaker 6:          00:33:53       It might be stomach cancer. Somebody just sit. It might be cancer.

Speaker 2:          00:33:58       I don't think it's cancer. You don't smell like you got cancer. Smell like you got some your dogs that you said. Let your dogs smell nice ground at your asshole. Like angry. Imagine that dog locks on your ass. It's happened. It's happened before. There's dogs that can smell cancer. They can. They can take test tubes and lines like, you know, they did this test with them where they just have this big giant like 20 yard line and down the line and there's a different test tube and you know, at increments and each different tests who has a different thing in it and then they'll go right to the ones with cancer and they bark. That's crazy. That's nuts. They can smell fucking cancer.

Speaker 6:          00:34:42       I love that. I love that whole thing where there's stuff we don't know about. Things like dogs and like that. Just that they know that. And like earthquakes.

Speaker 2:          00:34:50       Just the fact. Yeah, they, they, they, they know tsunamis are coming. They go run in the Thailand tsunami, that last big one that happened. Very few animals tied. Man Deanna, if, if any. I think the animals all escaped. They all saw common and got the fuck out of dodge, like way, way in advance because they don't have a language. I think that the earth itself probably has some sort of a language and if you have a language yourself, you know, like human beings do and we have this ability to communicate. We're so wrapped up and communicating with ourselves that we don't receive any communication from animals or plants or from the world. You know, I'm not talking about like, like words like dogs talk to you, but did you ever meet a dog and you know, you can't fuck with his dog. He never meet a dog and you're like, what's going on buddy?

Speaker 2:          00:35:33       And you're looking at him and he's looking at you and you're like, okay, let me get the fuck from you. That dog is sending. There's somehow or another. I mean it's not even his, his demeanor. He's not growling at you. He, but he's just giving you a look and you're getting a message. You, he's communicating with you, but you got all sorts of shit inside your head. The stock market and your divorce and your fucking homework. And this and that and language and English and I'm learning Spanish and you've got all this shit going on in your head. I bet the earth itself actually has like some sort of a way of communicating with, with beings and with animals that don't have languages. Like they can tune into shit that we can't tune into. You know, how dogs can smell things and tune into things. And I mean they have a super, super, super powered senses.

