Speaker 1:          00:00:05       He,
Speaker 3:          00:19:07       It doesn't even work. I mean that doesn't make your dick hard. It's, we have viagara and they're still killing rhinos. So this actually has ingredients on it. Like Chinese daughter seed, asparagus. There's a spare gas in here. Asparagus. Why would they put asparagus? They want your penis smell different so that you really feel like something's happening. That's true. Or they just put asparagus to make it go, oh, it's healthy. It's got asparagus 10 and it has none of that. Maybe both arguments were brought up at the meeting while they were cooking up. Fuck it. Best Bathtub Meth, the Rhino 12 let's add some Kale. The problem is, man, I don't want any fucking gangsters coming out of us and trying to kill us because we out what their products are. You know, because these products are not being made by above board now folks, most likely now, and they constantly are changing their names.

Speaker 3:          00:19:58       Like if you go through my collection of these, these, these, I don't know why I keep these, but they're all different names. There's not one. That's what they have to. Aubrey was telling us what happens. This is what rb says I want. I'm probably butchering it, but Aubrey said that these people make this stuff. They put in Viagara, which they buy from some Chinese manufacturer. They take that stuff. What does, what does it Modafinil, is that what it's called? Yeah. Okay. So they buy that stuff in bulk and then they sell it for much more than it would be if they sold it. And like if you sell a prescription for like a hundred pills be x amount of dollars, but if you can stuff it into two gas station bullshit pills and sell each one for 10 bucks, like how much is a rhino to costs?

Speaker 3:          00:20:39       Well these new ones with the holograms are like $14 but they last, they do, they don't last 11 days where they definitely last a week. But if that was dessert are only two pills, if that was a bottle of Viagra, I mean $14 it wouldn't be two pills for $14 it's where they probably make like 100% more and Viagra is bitch compared to that. This, you know, like this will beat the shit out of Viagara cause this has like something that makes it, like Viagra is cool but it lasts a couple hours. It doesn't really do, it just makes you have a boner kind of. But this is like, no, you got bit by a snake boner for for awhile. Yeah, I don't. I would like to try it, but it's not worth it and when it gets you one of the best ones to do it, I found that review of some of the dangers that took rhinos seven Oh, this one right here.

Speaker 3:          00:21:22       This is all that like breakdown of all the different ingredients and whatnot of it. Oh, put that shit up. The main ingredient is called slide sill that stilled naf believed in Nashville, which is the active ingredient in Viagra. Oh, okay. Sold the Nafa, all that stuff. I would look at it. It says right to, yeah. Why did I think it was modafinil? Madame isn't modafinil or Nuvigil. Okay. That's it. If you go up a little, this is a serious side effects like headache, nausea and blurred vision. I had that blurred vision part and that's what made me stop these side effects that generally appear when using prescription ed medication. It's funny too because yet the label specifically makes the claim no headache. That's one of the primary complaints about the supplement stuff that was in it. Okay. I think her issues really make a lot of sense.

Speaker 3:          00:22:08       I guess that's what it says was in it. Yeah. Well what about what he found was in it. Okay, well we'll, we just read what it says. Go Gee extract. Dang. Sen extract, cinnamon bark, blah, blah, blah. Licorice. Bunch of Bullshit Jensen. Okay, so what's actually in it? That's really yet. I mean then he, I don't know, he didn't test it himself. Oh, it goes up and then did research on all those things and then did told you how it worked for him. Oh, so did he say it worked? Is Rhino seven work just said it's fast acting. You don't have to write back items today. Okay, well there are things that, okay. One thing I can say is I was rock hard. He says in all caps for like three days on this stuff, which is almost kind of annoying. It depends on imagine having a hard on when you have to do day to day tasks, tucking your boner into your pants and hoping it doesn't just pop out unexpectedly.

Speaker 3:          00:22:58       Yeah. Wow. So these things really are, but I see, I thought you were going to send me something where the guy actually tested it to find out what the ingredients are. That's what I'm interested in. If you're gonna have fda.gov if you could probably look up at like a couple of these different ones. I don't trust the government and their line was Bob Chem trails. The fucking line was about Dick Pills definitely makes you a lot hornier like, like horny. I seek out massages. I seek out like I like, I literally like am a hundred percent more hornier than when I'm on these though. Like almost bad almost back after you take them like the next day. Do you feel like shit? No. You feel worn out now. There's no, none of that kind of affects. Like I don't get that spokesperson for boner pills. Oh, I have a stake in these companies had an addiction to them and I spinned out of control with why don't they fucking sponsor your podcast?

Speaker 3:          00:23:46       I don't want anything to do with them anyway. Can eat sponsors. This should, this should be your first sponsor. I think on it needs to figure out what's in these things and make their own. I think anovos no, probably not a good idea. We know we don't want to be involved in any shady shit. Doctor, doctor, Brian's boner pills. It's side on it company. You could say I'm not really a doctor, but I play one on the Internet. It was fucking stethoscope on. This is Dr. Ryan. No, I just about don't just hold onto a dead Rhino's horn and actual we'll, you know, we can get that special effects guy, that guy that did the American Werewolf to make a rhino horn with blood at the bottom of it. Like you had just chopped it off like that. Oh like that? Yeah. And on the other side make it like a helmet. Like it looks like a Dick on the horn. That'd be so offensive. People would cry. They killed a fucking

Speaker 2:          00:24:38       no, just for their show. Rhinos are beautiful man. It is kind of fucked up that they get killed for that one specific reason for those horns. So weird. So it's just so weird.

Speaker 3:          00:24:52       But you know what? That Rhino, even though it looks sad that he got his horns chopped off, he's probably like, did my face is a lot lighter now. This is way better. I don't even know. He's an idiot. Yeah. Look at him. It was stupid stupid eyelashes. He doesn't know shit.

Speaker 2:          00:25:03       But did they chop his horn off to save him? Is that what they did here? Because I know they're doing some weird stuff to save. What does it say? So it just made foot boundary. Oh, farmed game. Armed Gang. Oh, an armed gang reportedly broke into the game preserve. Oh, and then cut the fucking horns off. Stole seven rhino horns from a safe. Oh, so the photo doesn't represent, does that photoshop maybe looks real either way. Um, they're doing this to elephants. They're painting their tusks pink. They're dying. The breast cases. Yes. For Awareness. For Awareness. Talk for a second. Like I write something down. I've been forgetting and I just remembered. Oh my God. Hold on one second.

Speaker 3:          00:25:53       The rhinos on these boner pills all have their horns though. So that's good. There's weird that, uh, aunts and rhinoceroses both supposedly can make boners. What? Yeah, like ants. Like if you grind up these African ants, they can also make boners. But Rhinoceros Horn doesn't work. Maybe it does. Maybe it does act. There's so many rhinos, oh, hello. Over these

Speaker 2:          00:26:19       side of that Chinese medicine stuff that just doesn't do anything. Some of it's got to work though. I mean, they were hitting mess back then when they couldn't do testing that you had a real, you had a hope that you find a guy that was completely legit. A guy who really knew how to make magic potions. So essentially what it was when they didn't have any data, no internet, no encyclopedias, no fucking medical books to call upon those, those fucking people there. There's a lot of guessing going on.

Speaker 4:          00:26:44       Not Real. It's not real sack of online thing that kind of went viral. Oh. But there's still some sort of conservation effort going on, but the pink tusk painting isn't a real thing.

Speaker 2:          00:26:55       Okay, so was it a photoshop thing or was it a hoax?

Speaker 4:          00:27:00       Both. The reports online regarding elephant Tusk being painted pink and an effort to do value the ivory poachers.

Speaker 2:          00:27:06       Well, this man, people would still take it. They'd go, dude is a pink one, is one. They tried to save site. It's, it is kind of fucked up, man. It's just, it's just such a weird, it's a weird thing that people would do to chop off a part of an animal's face to try to get their dick hard. This is, you know, it'd be one thing if there wasn't an alternative. Don't you think? If it was really awesome, you would have heard about it though. I don't know, man. I think I've, I think it might be. There might be something to it. Okay. Why don't you Google? Can Rhino Horns really give you an erection? I just put Rhino Boehner and see what he won't do it because it's his laptop. I'm not getting on a list. Not going to do this to me.

Speaker 4:          00:27:52       That can Rhino Horn other Stephen's show you what? That says, Ken Rhino Horn. Your cancer grow back regrow or what can they be used for?

Speaker 2:          00:28:01       Well, how about why you? Why you doing that? Erectile dysfunction. That's what I'm looking for. A band. If it helped you with erectile dysfunction and cancer, why Agra and species protection? Oh my God. What was that saying? It was speculative. Yeah, it's too small. What does all speculation so far, but the anti impotence, drug, Viagra, blah, blah, blah, blah, blah. This bigger penis is too, I guess. Huh? Tiger Penis. That's good. Viagra, cialis or powdered raggle. Rhino Horn. Which one is the most effective? Click on that one. Above top secret. Definitely going to be legit. If it's on above top secret, especially if it's an a forum. Black helicopters. Is it possible in this day and age, 21st century. There's still men out there that honestly believe that powdered Horn of an animal that has been butchered, sometimes the arm, blah, blah, um, it has had its horn removed by a chainsaw can still be effective.

Speaker 2:          00:28:53       Cure for rectal dysfunction. Are we really still this backward? Shouldn't the medical companies that are the marketing meds that are marketing meds, which are supposed to be temporary curious for this problem, be targeting the men? Mainly Oriental, Asian racist. Wow. I'm sure who are directly responsible for the death of so many rhino or I know, isn't it the way to say it or rhinos, but it sounds better. Like you're a sophisticated, like dear so many Rhino Octopi. I'm a fan of OCTOPI. Uh, I thought that most Far Eastern countries were actually quite progressive, but they themselves are proving that they are not exclamation point. First of all, fuck phase. There's a billion people in China alone, one yen. There's not that many people chopping off rhino horns. If you compare them to the idiots that we have here in America, just by capita. You know the, a number of people that are scarfing of Rhino Horn in Asia versus the number of people here, they're chewing on bath salts is probably way more bass.

Speaker 2:          00:30:02       All people here than Rhino Horn people. They're like, that's a totally racist thing to say, sir. For someone who is so concerned with the health and welfare of these Rhina Sy, this guy's an idiot. Yeah, well, he's a guy on a forum. It's easy to be an idiot on a forum. It's easily been in India on a podcast too. It's easy to be an idiot, you know? But I just, I don't understand why. Like there's, there seems to be like an easy cure for that. Like if you just got them some of that gas station, boner pills, they wouldn't want to have anything to do with a rhino horn. The Rhino Horn is worth thousands of fucking, yeah,

Speaker 5:          00:30:38       no. Unless there is a little bit of Rhino Horn in all these imagined calling us. They even made a Hologram on this one. Yeah,

Speaker 2:          00:30:45       no shit. Imagine if that's what it is. Yeah. We kind of find out, man. I bet we would be the pioneer. I'd be be the first person to actually do a scientific test on these pills, including the people that made them. I bet they never tested shit. They don't know what the fuck's in there. Probably, you know, when we had some of the earlier versions of Alpha brain, we would run these random tests on them and we'd find out that like there would be like b12 in air or something like that or creating or it wasn't creating, it was a beat 12 I would have to ask Aubrey, I'm talking about my ass, but the bottom line was the mixers that they used for our stuff, when, when they combine all of our stuff, they didn't clean it out, so they had whatever was in there before. Even though those just trace a trace amount, they don't give a fuck. They just don't shake that bag. Talk Fart, get on the radio, maybe spit in there. People are assholes.

Speaker 5:          00:31:42       Yeah. It's probably done in a tent also. You know, like it's it, it makes pride now the lab, it's probably a tent somewhere. Where do you think they make boner pills if you had a Pomona? Yeah, this is definitely, this is fan. Nice material. And I'll take this. Some dudes, they have a trailer right outside the freeway, like under an underpass. They're cooking it right in plain sight. Right. I just want to know the guys that sell these that come in to the gas stations. Like what those guys like the salesman that boner pills, no, number 11 and the sunglasses on all the time. You don't get to see their eyes sketchy la looking left and looking right. Apparently there's a big NPR piece on this. The other NBR people are in the getting hard ons. Nice. I'm just looking down the whole article right now, but it says contrary to the popular myth and the West Rhino Horn was never traditionally viewed as an aphrodisiac. I'm finding some stuff. They use it for all sorts of things like as a gift that some people think it's a hangover

Speaker 4:          00:32:40       cure is valued more than gold. Uh, something like $1,400 an ounce.

Speaker 2:          00:32:48       Paris and gold. Is that what you're talking about? Yeah, more than gold. Yeah.

Speaker 4:          00:32:54       Yeah. I'll show you. There is appetite for Rhino Horn drives poaching in Africa. This is from 2013. Um, they killed 668 rhinos in 2012. I go on and talk about what they're using to kill them and whatnot. And then it says how much it's worth.

Speaker 2:          00:33:11       Look at this smuggler. The guy give his name sits behind Rhino Horn. See? Oh, they were seized at the airport? Yeah.

Speaker 6:          00:33:20       Wow.

Speaker 4:          00:33:22       Yeah. There's a 60 pounds 60 pounds got caught being smuggled in Ho Chi Minh City. That was worth over like one point $5 million.

Speaker 2:          00:33:29       Holy Shit. Yeah. They use it for a lot of things. Apparently. That is a crazy number. I had no idea that six pounds worth 1 million bucks.

Speaker 6:          00:33:40       Okay.

Speaker 2:          00:33:41       Surveys, 30 different ailments including hangovers like a fad. It became popular, but blah, blah ass thing to do. It's gift. It's a great gift to your boss or government official. A guy. It's a great gift for your boss or a government official. That's how boy, Fan and bull, how do you say that name? Fan. T. H. A. N. H. A. Retired Tom Dawn as we think we retired official who used to approve construction projects in the Vietnamese government. Got his stash of Rhino Horn. He began taking Rhino Horn to recover from drinking binges with contractors. Every time I drank alcohol, I'd go home and grind the horn and drink. It says, boy, a 65 year old grandfather of two an hour later, I'd throw up and feel sober again. Hmm hmm. That chick lake city has breakfast table. He unwraps piece of newspaper to reveal small grade block of Rhino Horn. He received as a gift. Whoa boy. Paul pours water into a specially made bowl with a rough bottom and grinds the block of Horn into a milky white liquid. The grinding creates an odor that smells like burned hair. It's because Rhino Horn contains Keratin, the main component, fingernails and hair. He says that the value of Rhino Horn grew as the value of Rhino Horn grew. It became a kind of currency. Oh, it's fucked. It's a part of their culture that's fucked. That's fucked it. They're like trading in, giving it to officials and bosses, and they'll could I have her yo. Very illegal. Right?

Speaker 4:          00:35:24       Why don't we just like liquor that way? Sometimes people use it.

Speaker 2:          00:35:26       How about Cuban cigars too? Yeah. Yeah. Well, Cuban cigars were the thing because Cuban cigars up until really recently, were illegal. We could smoke one right now and it was one. Which three of them. Exactly. Yeah. Who brought these in? A real Cubans there. Three of them. Cohibas hits man. Goddammit. Who brought him to us? I'll remember. No, it was or someone within the last month I feel like. Was it Chris Ryan? No, Chris Ryan's on the new Nikki glaser show. Uh, powerful. Pretty funny on that. That's a Chris Mcguire is the evp of that show. Such a good show. Powerful Chris Mcguire. We're here smoking a Cuban cigars. You're allowed to smoke them now. You don't what they say about Cuba, man, they say, you got to get to Cuba now. They'll like get there now because it's going to turn into fucking applebee's. It's going to be like, oh, giant. Six months from now it'll be Marriott bite the end off here. I've read something about how like we are already these dried out. They're gonna. They're going to be shitty. I heard that were like taking all their beverages, like the Americans are already like taking it. Like other waters broke apart. It broke apart. It's dry. We didn't put them in the human door. I thought they were in these, there's different kinds of these tubes and some of these tubes are sealed. These ones are just kind of screwed down. Let's say the Gar.

Speaker 6:          00:37:03       Okay.

Speaker 2:          00:37:04       People hear that silence. That's a sound to me being a man smoking a cigar. Cuban by the way, probably fake. Just chewing on it. It's not, I don't chew on Dude, we can get you sick. I chewed tobacco when I was a kid cause I read Tom Sawyer and huckleberry Finn, which is now centered.

Speaker 6:          00:37:28       Okay.

Speaker 2:          00:37:29       Shoot you like on the side of your mouth. Yeah. It's a real chew like you buy a brick of it will be and men here, men one turn that um, air conditioning thing on behind you and we'll uh, get some, some hot flow up in this bitch stuff. Um, but we were talking, oh yeah. So it was a a like a brick that looked like maybe like a pack of gum or something like that and you pull it apart and then you bite into the brick and pull off chunks of tobacco and chew on it. And I almost threw up once. Maybe I did throw up, but I was like, all right, this is stupid. But I got into it because of Tom Sawyer and huckleberry Finn. Yeah. I never got into smoking cigars because I wanted in a hail it so much. Yeah, but you get high as fuck off these things.

