Speaker 1:          00:00:01       Hmm. Hmm. Hmm. Hmm. Hmm. Hello

Speaker 2:          00:04:36       Was it Spike Jones? Yeah. I think he tried to do something crafty, which you know, is kind of interesting in any other format. I mean, it'd be interesting if it was a conversation, it was just a, you know, two people talking and they're in a public square and you see people milling around behind them. That's not distracting. But with stand up, the more things you have to think about other than what the person's saying, the more it's gonna take away from what the person saying. Yeah. It does feel weird to just, I mean, you know, I go onto the leopard print jacket sometimes, but I like to dig myself a little hole, but the leper print jack is just cool. It's just funny. It's not distracting. It's just here she is. I like a, you know, I have my toy store. I don't know if you've been around for any of those sets, but it's late at night.

Speaker 2:          00:05:18       You got to wake him up. You gotta wake him up near Shore. Just a plastic sword from the toy store. I spent a lot of time with props. I, I have fake blood on me most times. I don't know when there's going to, I'm going to be inspired to take a funny picture to make a Prat Fall, fall. Did you see the pratfalls that we did? Me and Steven Randolph, one of the door guys at the comedy store one was this, they posted on the comedy store thing. We did. We challenged each other to, to three pratfalls. It's so embarrassing. Listen, after Brody died, I was like, I'm going all out. I'm experimenting. I'm having as much fun as I can. You know, obviously it's about jokes, but sometimes you gotta really just, you got to just have your time up there. The Brody one was hard on everybody.

Speaker 2:          00:06:01       I was the one making any sense. That was one that it just like felt like swallowing a dry rock. Yeah. A cow. Like how has that car gone? It just feel he was just such a big presence. And then it's sad to, I don't want to talk too much about Ios gone here cause I know that's what everyone does. But um, I did in one and when I did trip on Iowasca it was right after that. And it helped me a lot with that cause I kept thinking about how sad it was that he couldn't feel us, like hugging us. Him, we loved him. Brody was loved. Like we loved that man. He was our brother, you know? And that was the sad part.

Speaker 3:          00:06:37       Well, I mean I just feel like there's no way any of us could ever understand what's in anybody else's brain. You know? I don't know what's in yours. You don't know what's in mind. It's like we, we assume that there's a similar thing happening inside our head is other people's heads. And I think that's wildly incorrect. And I think some people are just in pain all the time and there's not much you can do as a friend to, to help them, you know? I mean, I felt the same way about Bordain when Bordain died. Uh, it was just a how to, I don't get it. I just don't understand how someone who's so loved, you know, he has this amazing job, his a beautiful daughter. I mean, he has this life that's extraordinary and very interesting and deep and he gets to meet these fascinating people and travel, travel the world and expose people to all of these incredible artists and culinary artists. And yet still didn't, couldn't take it, didn't want to be here for whatever reason.

Speaker 2:          00:07:35       And I just think about it, it's like, so they're, they're okay. You know, they're off wherever we go or whatever happens. They've transcended, came back, they're floating around somewhere. But it's like, selfishly, I'm like, I want more Brody like, course I want him back course. And it's, you know, and then you see people, they just fade. You know, like each year goes by and they just, which is going to happen to all of us. So, but you know, luckily he had a lot of catch phrases, a lot of stuff online or in the back of the store. Oh, I love, I kiss it every time I walk by it. I'm not touching it anymore. Yeah, I lick it. I give it my herpes. I don't have herpes yet. Joe Rogan audience. It's okay. And honestly if you have it, it's fine. What am I going to have a vaccination must have on already they've got to almost shirt.

Speaker 2:          00:08:24       What do you think? Conspiracy theorists? Yes. Yes. Cause he already sparked up when we talked about the aliens thing with, did he bring up Ohio? No, I left it all out. But he got his eyes. There's just something, there's a spark. They have conspiracy that they have a little spark in their eye. When he perked up, he keeled his asshole a little bit. When I brought it up, it was really funny. Like those. The last question I asked him was about UFO, just kind of almost as a joke, but just as a goodbye, you know, like keep it silly. That's all I'm reading. It's in fucking hundreds of articles. It's all Bernie Sanders says he will tell the world about aliens if he becomes president. That's the thing that they took out of that. Well, it's smart of him. It feels like Trump's straws. It's like smart.

Speaker 2:          00:09:13       If Bernie had said, if Bernie had brought it up, I would've been like, that is a brilliant tactic. But don't you think that people that believe in aliens are already going to vote for or that are the most hung up on it? No. No. You don't think they're the same? No, no, no. I think they, they very wildly conspiracy theorists or left wing right wing and the alien one is different than any other one. And I think there's a lot more people that are, um, that are alien lovers that cross both sides. I think it's just one of those things where you, there's guys that fuck alien done. That's the only, that's the only anchors you're holding out to pastor Manhattan. Yeah. Do People claim that? I bet you they do. For sure. Do you know this? People really in the big foot sexually, there's like all these novels written about a big foot tall Armenian.

Speaker 2:          00:10:00       No, no, no, no. Just that hard to ever go to Glendale. Everywhere I go to the Galleria, there's this big foot. This is a very localized reference. There's big foot, you it, big foot or eyes. You get big foot erotica. Yeah, I mean it's like really common. What if he had a small deck? Like you always hear about the really tall guys with the tiny decks and when I say care about them, you hear about them. Get this seduced by big foot. Ooh, look at, come for bigfoot Virginia Wade. Big Flood by Lolita young. Wait a minute. Narrated. I mean this is an audio book. [inaudible] you know what they say? The bigger the big foot, the bigger the air in the bones. What does that, I like a guy with very deck, you know, like you like to listen. People say they don't like too much heroin balls.

Speaker 2:          00:10:50       I say get her all the way under the shaft. Look at this boffing big foot. What is happening? I thought, I feel like I liked it. Her name's Ann L. Gay bigfoot. Look at this last row and I'll probe is gay bigfoot. Keep smoking after we fucked. What the fuck? Mouthful of Sasquatch. I [inaudible]. I've met that man. There was like one of the door guys at the comedy store. That's one of the tour guys. I got fired. This is a whole genre of erotica. There's a bunch of women that write these books. This Virginia Wade lady is a, she's apparently very prolific with her big foot erotica. She writes quite a few of these. How many does she have? That was 13 at least 13 come from big foot. Come for bigfoot. Number 13 she just makes shit up. Then there I was walking the dog and the dog had a heart attack.

Speaker 2:          00:11:41       The next thing, big foot stick is in my mouth. How about I have a good pun, Harry and the Hummer sons. Henderson Hen. Don't say Harry on the thinking out loud and then just sounding it out. I can't read ever. Leave me alone. What'd you expect me to come on? And Boone's fucking smart. So there's at least 13 books. I Bet Virginia Wade lives in a fucking giant match and drives around in a rolls like the l Ron Hubbard. Probably a dude. No, it's a, but I get to, I bet it's a, would that big foot five baby come for big foot baby. What does that say? That one home for big foot five baby. What does it say baby? See that Seymour right hand side all the way. The right all the way to the right all the way to the right up above it. There you go. Bam.

Speaker 2:          00:12:25       What does that fuck is that? Maybe they have a big foot baby. It looks like a come inside or one. So she's got, let's find out. Google, Google, Virginia. Wade's big. Is that her right there? She looks normal. It might've been. Was that a photo of her and go with the goddess? Go back. It was a different book. They're talking about. Okay. The ball for big foot. Does that hurt? Is that Virginia Wade doesn't normal looking lady and it might not be her. Oh, Amazon Poles buffed by big foot romance novels from shelves. What? Why are they censoring bigfoot porn yet? That might've been her. Okay. Why don't, why didn't anyone tell me about these literary treasures? Oh my God. I thought for a second. The long but interesting read was about the book. This is a long but interesting read. Why are they pulling it? Why are they pulling this stay at home mother from Colorado?

Speaker 2:          00:13:15       Of course she is no real riding experience. No, of course not. You don't even have to be good. I mean she spent all day waxing her nipples. She couldn't get to come to terms with their hairy body and then she realized all she needed was to find her match. She says, I get this crazy idea for a story. So she sat down and wrote the entire book in an hour. Bella does no fucking, there's no second draft. That's what I love to hear by my, from my authors. You wrote this all in one draft. She said just 12,000 words in a matter of weeks. She's been considered trying to sell it to mainstream publisher instead. She went directly to Amazon's kindle direct publishing, an online platform for self publishing. 70% royalty rate for authors. I think she sold a fuck load. I had to go viral. Here's the line from it if you want, right?

Speaker 2:          00:14:04       I don't think he's monogamous, but let's bigfoot na. So big click on that big foot insider, monster porn, Amazon crackdown link. So let's find out what the fuck is going on here. Why would they crack down on that? Ooh, ad blocker. You son of a bitch. It was the tens dude. So hot author, Virginia Wade's fiction debut falls, a group of women who embark on a week long camping trip to mount hood national forest. They are in the shadow of Oregon's highest mountains. They're, they're kidnapped and sexually assaulted. Posteriors woodland creature. What the hell is that thing? Ass One protagonist. That's some good writing. It's fucking big foot. His Shelley, he's real. For fuck's sake, har filled her eyes with a huge sea dash dash dash. I'm saying that says cock corn in the book. His feet are fucked up with decidedly un-PC title, like come for big foot culm.

Speaker 2:          00:14:57       Of course, it's just the first of 16 fiction ebooks. Wade, a pen name has written about the legendary, but sometimes best, sometimes known as Sasquatch, each legendary beast. Each detailing a series of graphic and often violent sexual encounters between the apelike creature in a female lovers. Okay, wait, wait. Has made an exceptional living writing these stories. Wow. Okay, but why did they take them down? That's reminds me of my friend from middle school. His boyfriend who is Sicilian. He was just so hairy and he looked, it's been downloaded more than a hundred thousand times. Holy Shit. That's five bucks. That means she made $500,000 for the flipper. Why?

Speaker 2:          00:15:42       Well, she made 70% of it. At least I bet you the other books didn't take as long either. Wow. During her best months, she's netting 30,000 or more in a month. Writing big foot jerk off books. Wow. Taken by pirates. Oh, she re she branched off into other genres. It's all just getting fucked, taken by pirates, seduced by the dark Lord. It's like getting fucked by demons and pirates and hilarious. I'm getting traumatized. A traumatic thing is coming up for me right now. That's weird. Do you want to hear it? But my mom wrote romance novels when I was shut the fuck. Yeah. They were never published. No, I didn't read them. They were never published, so it was really just a fuck journal.

Speaker 2:          00:16:28       You read your mom's fucked journal. I didn't read it, but she had romance novels around and I would definitely knew I was really good at skimming to the sex scenes. I knew how to flip through, flip my being to, so your mom wrote, she was a part of this thing called romance writers of America, and she actually won awards and then she never followed through. So she could have published the book and probably had success. And then she had a hole. It was like a whole suspense romance. Salinas revenge was what it was called. She was Lena like the saying no, but that's really funny. She came back and she said to fuck bigfoot. No, she fucks. The girl killed her. Mixed read it. She's dead. I like that lady, that little Weirdo. I mean I don't like her because she killed her, but she was, she's like a real weird, I mean the girl killed, see, obsessed.

Speaker 2:          00:17:15       Like she, you know, she reminds me of, she reminds me of, and I definitely don't like her, but she, um, she reminds me of the little woman from um, okay. Can't remember what's it called? The uh, David Lynch that show which one? Twin peaks. Which ones when they're a little lady in it. I don't remember twin peaks very well, but there was a little lady in [inaudible] imagine the day, but I just remember usually from the TV movie with Jennifer Lopez in it. She plays Celine. She played Selena. That was her big break. She was a fly girl and then she got super hot and that big ass was exposed to us and Selena outfits. That's interesting. Why they go killer. She was their assistant, right? Yeah, she was just such a big fan. I think she was just obsessed with her. So she killed her cause she was a big fan.

Speaker 2:          00:18:06       People are just fucking crazy. That doesn't make sense. It's probably hated her because she made her wash her laundry and shit. She was our assistant or I think she was the head of her fan club assistance. Get Weird with people. Did you ever hear the David Spade story? His assistant tasered them and fucking tied him one of going to jail? Yeah. I guess. Was it a girl or a guy? Was he trying to fuck him? I don't think so. I think he just hated him. Oh my God. I feel like spade would be a nice employer, but maybe not. Maybe not. Maybe is now it's good taste. Wow, I didn't know that. Yeah, yeah, yeah. See if he can find that store spades at some shit at me. Got Catfish. He's here. He gets fished. He got catfish by, he told it on the norm. McDonald Cho who catfished him.

Speaker 2:          00:18:52       Someone catfish him. He thought he had met this model and Twitter. Oh. And then he saw them out on real life and was like, hey Twitter. And she's like, what are you telling them? And they say something. Oh that's so embarrassing. Who did spades? Coolest shit. There goes David spades assistant pleads guilty to assault. Make that larger police. Oh my God. David pay spades. Former assistant pleaded guilty. Stop to assaulting the comedian with a stun gun and agreed to seek counseling for drug and psychological problems. Beverly Hill Superior Court Judge Elden Fox also sentenced David Warren. Skippy Malloy on Thursday to five years probation. That's it. Two nights straight, at least named skippy ordered him to stay at least a hundred yards away from spade and performed 480 hours of community service. If somebody tased me, I want more than community service cause that's a threat and they tied you up and shit.

Speaker 2:          00:19:44       How did it say? Wait a minute. It says David Spade 36 oozes in the 20s shut the fuck at the beginning of our call it, oh my God, he tied him up. How did, I wonder how the story ended. How did he get out of it? She just really good with the untying. Not, did the guy get tired of fucking them and get shocked. G says he was angry in a psychotic state due to cocaine. The morning of the attack. I'm Tom Town. I mean, I've done coke before. I don't think I've been like, let me tie up my boss and Taser him. Never done coke with David spade. You're right around him. Maybe he's, you know, telling you to take the dog out and you're like, I can't do this. I can't hyper. So the Co said the Costar, the NBC said, come just shoot me. The new movie Joe Dirt said at the time that Malloy a 30 year old aspiring actor was a friend who is obviously mentally troubled right now. Wow. And I'm more shocked by Joe Dirt as a new movie. Yeah,

Speaker 3:          00:20:48       we're digging back in 2001 we are digging back. Wow. Fuck. That seems like a long time ago. But you know, it doesn't seem like a long time ago. 2009 you say 2009 like, oh that just happen. Nope. 10 years. A decade. Like 1960 to 1970 it seems like forever. 70 to 80 seemed like forever. 80 to 90 seems like forever, but 2009 to 2019 for whatever fucking reason seems real close. Yeah. And it's not, it's not, it's hot. Whole years

Speaker 4:          00:21:20       style. We'll show you that too. Cause I was, I was born in 83. I'm 36 and uh, the kid, the, the younger kids right now are dressing like I dressed in high school. Like it's cycled back around there in my styles.

Speaker 3:          00:21:35       Yeah. But that's then like not 2009 to 2019. Is there a difference in style? Yeah. This is coming from someone that's Zeros.

Speaker 4:          00:21:42       Yeah, there is, what is it? It's okay. From 2009, um, I would say 2009 was maybe when they had started having this one. I have to remember where I was in life. I just moved to New York. People were wearing, I dunno, I'd lived in Santa Fe and I was drinking a lot. So I definitely, I quit drinking in 2009 I was still never been assigned comedy then. Santa Fe's was supposed to be a weird place. That's where I met Tate Fletcher. Hallo? Caveman coffee. I met Tej in a, in Santa Fe. He used to come in with a bunch of sober dudes after meeting. I don't know if I'm supposed to say this, but whatever. He's pretty open about it. But I mean it was the truth. They were so annoying. I was like a drunk. I was wasted at this cowboy bar. To wear a cowboy outfit. You have to, you have to do, that's your uniform.

Speaker 4:          00:22:31       Really. Being a wagers is not humiliating enough. You will also have to dress. Just have a John Deere hat on. No, you have to wear it. You had to wear a cowboy hat and you had to have a shirt that had yolks on it. Oh, if you worked there, if you worked there and not when you went in. Yeah, that would be crazy. That would be crazy. But so table come in with a bunch of people and they just wouldn't order outcome. I mean it was just like low sales, high maintenance. I was like, who is this fucking guy? So big and ridiculous. And then I was talking to him. I hadn't quit drinking. I didn't quit drinking til I moved out of Santa Fe. But I told him I want to do comedy and he made them turn the Karaoke night into a comedy show for me.

Speaker 4:          00:23:04       Yeah. And I got [inaudible] first time you ever went. Oh yeah. Wow. Did you have put things prepared? Yeah, I just, yeah. And then yeah. And then, and then I moved to New York to do comedy and I was, I crashed my mode. I had a little scooter, a Yamaha Zuma and I crashed it cause I would drive drunk all the time. I was my happy place. Like to this day I really was honestly that feeling, I'm like driving wasted on a scooter was the wind blowing the air. Cause you're not wearing a helmet. You think about them,

Speaker 3:          00:23:33       you don't really think you can kill anybody else. So it's not that bad. A drive drunk.

Speaker 4:          00:23:38       Yeah. But you can, you can get in the way of someone else or do anything. I fucked myself up so bad. I woke up, just had blacked out completely. My face was split open. I had road rash all over my tests. This was father's Day, 2008 you don't remember falling? I don't, didn't all I remembered. I just remembered like little pieces. I remembered that someone helped me. I woke up, I was living at my friend's house. I woke up at the house. He was staying at his girlfriend's house. So I was there alone, but my chin was split open. I've been wearing a dress and it looked like I, my throat had been slit. Like there was just blood all the way down it, road rash all over my tits, all over this side of my arms, my knees. Like I just was fucked up, just face, split open.

Speaker 4:          00:24:18       I just, I went, I peeled out and like just went chin first and everything. And then I remembered that someone who didn't, a girl that didn't like me had helped me. That's all I could remember. It was someone who usually hated me, helped me. Wow. And then, so I went out, I went to the hospital, I called my roommate, he came back, um, I went to the hospital. They gave, I got nine stitches and I was still wasted and I was still so hammered and the doctor kept going, were you drinking? And I kept going just between us. And he's like, yeah. And I went, nope. They're like, I'm not gonna fucking jail. You motherfucker. I was like, no, I just crashed my scooter. It's crazy. He didn't know that I didn't wake up to drink through the pain. So, um, so then I got the stitches and I was friends with all the cops in Santa Fe cause I was an alcoholic.

Speaker 4:          00:25:00       So that's a really good plan. You gotta befriend them so they don't arrest you. And uh, they had told me if they had caught me cause I ended up finding my scooter on the side of the road. My friend drove me around. So I found out where I had peeled out and there was like a bunch of loose gravel. So I just peeled out on the gravel and the cops said that they would have arrested me for an Agora aggravated DUI because I hurt myself. I'd injured myself. That's what an aggravated DUI, that's what they said back then. I mean I was still wasted when they said that. That's worse if you hurt yourself. Yeah. Cause I had to go to the hospital and stuff. You would think you got a little punishment in there. Yeah. So then I didn't learn the lesson. I went out drinking that night with the stitches in my face and I had, my line was I would carry neosporin around and ask guys if they wanted to rub neosporin on my titties.

Speaker 4:          00:25:47       Like almost lost a nipple. I mean it got so close. Yeah. I looked crazy, but I was drunk. So I was like, whew, fun girl. Yet they still call me fun girl, Andy behind my back. And I thought they were, I thought it was like a cool, I didn't realize they're making fun of all cheese. So anyway, uh, so then I went out that night and I saw this guy with a puppy and I started playing with the puppy and I was like, oh your puppy, so cute. And he goes, do not remember me. And I'm like, I've never met you before. He goes, last night I helped you, you crashed your scooter. And I was like, Oh fuck. And he's like, I ride a motorcycle. So I didn't want to call the cops or anything cause I know you would've gotten in trouble. And there was like, who helped me?

Speaker 4:          00:26:22       And he's like some girl. So then my friend called me, he's like, my boss told me. So it was my friend's boss from this hotel that used to get wasted at, he was the bartender. So she hated me because I would just go get hammered at their nice establishment. Do you look back on those days with any fondness because you're sober? No, you're all, I'm clean. Yeah, I mean I think I have a wealth of stories. I was a juvenile delinquent and I had so many childhood traumas and abuses and weird things that happen. I was running for my life in Jersey City when I was 15 from like a fake modeling agent who was like a six foot eight drag queen named Mahogany running for my life, trying to hide so long. I just have a lot of stories and not a story. You can brush what happened.

Speaker 4:          00:27:04       You were 15 so I was, I had gone to Mahogany yet, so I had gone to John Robert Powers Modeling School, one of those like fake modeling schools and it's you pay like 200 bucks and they make look a compilation headshot. Yeah. You like go, they give you classes and modeling. Like that's a thing. It's like you either like are weirdly weird looking alien, hot and tall and skinny or not. Yeah. Or you're not. I mean I maybe could have done commercials or something. I was cute, but I, I also had very low self esteem. It was just such a weird, it was such a weird thing to be doing. So, um, and I had been a Tom boy up until that point. So we go, I go to this modeling thing and then we went to paid more money to go to like a modeling convention and then they had actual modeling agencies and then they had just random people that I get paid to be there.

Speaker 4:          00:27:54       So mahogany was one of them. And my mom's like super liberal and so she likes anything that's like a little on the fringe that she could brag about it or book club or whatever. If that sounds like I'm angry, I'm not angry. Forgiven. But um, so they ended up, they were like, we want to take your daughter for two weeks and we'll send her out on auditions and stuff over spring break. And we have this nice place in Jersey. Teen. Yeah. Your mom let Mahogany take you for so many more stories. Joe. Jesus fucking Christ. Yeah, no, there was, my mother did not have anything bad happened to her when she was growing up. She was adopted by a very nice family and she went to a nice boarding school and stuff and nothing happened to her. And she read the newspaper. She didn't read the newspaper.

Speaker 4:          00:28:41       I don't think much. So she, it just, she didn't, she wasn't aware. So anyway, so then, okay, so I was, I went to this place in Jersey City and Jersey City. I don't know how it is now, but it was fucking crazy back then. It's still fucked. It was fucking crazy. So we were in this one little condo and it was Mahogany and then there was like some other people that were there. None of us were really that, I mean I probably was like the hottest, but I was pretty raw. I mean, I don't know. I think I was cute. I don't think I was like, uh, I don't think I was a model and I, I don't think that was my future. Maybe I could've done something, but I'm, the only person that I had really bonded with was this 23 year old Guy Chris, who was this black guy from, I dunno where he was from, but he was really cool.

Speaker 4:          00:29:30       He was really nice and he was a little creepy. Like he would say things like if I was your age, but he never was trying to fuck me or anything, but he kind of was protecting me and at some point Mahogany got mad. There was, it was fake. Like I would just, he would make me go buy him weed on the corner and stuff and it's just a fake thing. My parents paid like $1,500 to send me to this thing and he would, I think he sent me out to be a, I had to go into New York by myself on the train at 15 wearing the sluttiest clothes ever to this thing to, and then he would tell me, pretend you're lie and say you're 21 to be an extra on like sex in the city and stuff. It just wasn't real. There was nothing real about, it was a total scam.

Speaker 4:          00:30:09       So I was starting to catch onto that and I was supposed to be there for maybe 10 days, I think. And they'd, these next door neighbors, shorty, this little Puerto Rican lady, she was away. I smoked blunts with her. But um, so this guy, Chris was kind of protected me and he would go into the city with me and then all of a sudden mahogany didn't like how close we were. So he separated us and he said, you can't see each other anymore. And I was like, well, I don't feel safe if I can't talk to this guy. Just would rather go home. I want to call my parents. I don't think this is real. This seems like bullshit and a scam. And he was like, you can't talk to your parents. And he locked the door and took the phone away from him. So I packed all my shit up and I threw it out the window and I yelled down to shorty.

Speaker 4:          00:30:46       I was like, Yo, I'm going to run. So grabbed my shit. And then the guy, one of the other kids that was staying at the modeling place knew the situation. So he went down and bumped into the door, unlocked it without him noticing and distracted him. And I just jetted out of the fucking house and he started chasing me. I was like screaming. I was like, call the cops, help me, help me. And I was wearing a tube top. My like 15 year old titties. I had nipple rings were like hanging out. I mean, I looked like a prostitute. The cops ended up coming and they thought I was a prostitute. Mahogany got me. At one point I was hiding under cars for my life. Like I thought I was going to get killed. I was like screaming. People were just watering their plants. Like what the fuck on the Lakers cars?

Speaker 4:          00:31:22       Yeah. Cause he was chasing me. So I was trying to hide and he finally got me was like, get in the hat like you're ruining my scam pretty much. And then he scratched my arm, but that's all. And then the cops came and arrested. Both of us thought he was my pimp. I thought I was a prostitute. I come from like a, like a [inaudible] when you came home? Um, well they came to the cops and then the cops told them that they should arrest my parents. They were like, we should. And I think they just were in denial about it or whatever for a day at least. Yeah. They didn't. And then more stuff happened after that. They'd made more mistakes. Yeah. But it's okay. We all make mistakes. I love my family. They're good now. But I also look at all these things. No, I really like have had to do a lot of work on it because to forgive them.

Speaker 4:          00:32:07       Yeah. Because, well I blame myself for all of it, for most of it, which was my defense mechanism. Like the stuff I had some stuff happened with a teacher in high school to him right after that. Actually it was about six months after that happened and uh, you know, was a therapy session. I don't want to do a therapy session. I don't want to do that. But anyway, you had asked me about am I happy about these things? And so I'm coming to it. But the point that I'm coming to is I am happy with them. I'm so happy with like where my life is now that I can't be mad about any of these other things. Do you know what I mean? Like they're, they're

Speaker 2:          00:32:40       like exciting and now they're funny cause I didn't get heard. That's what I'm saying. Like looking back on the fucking hilarious. Yeah, there's some crazy shit. There's some romance to it if you're [inaudible] I flashed a chain gang once on my motor scooter and then it didn't start and I had to like put my shirt down and keep bogging it. Like it's hilarious. I did crazy shit and I came out like genuinely I feel good, you know, I'm happy with my life. So it's good. Thank you for getting that. Getting me off of that path. But well it's just everyone that I know that's funny is fucked up and had something go wrong. Just that's how, and it's like how you get through it and then your insight into it on the other end you persevere and then you don't blame people. You don't let go around being mad at the world.

Speaker 2:          00:33:24       I think it's, it's easier to be, um, I don't know. It's just some of the most hilarious people did blame people. Yeah. Cause that's Kennison Kennison was always, you know, screaming about his ex wives. Yeah, no, that's true. That's funny too. I just, for my own personal sanity cannot run around angry at everyone. Well you don't need to be, I mean it's not necessary. And especially now that you're sober, which obviously [inaudible] had never got, he uh, was friends with them? No, no, never. No, never met him. Saw Him, saw him live a few times once, uh, once at work. Once when I was working I was working at a great woods, um, center for the performing arts and it's like a amphitheater in Mansfield doing sun fall kicks. No security. Oh cool. Yeah. And I got to see Cosby there, Rodney Dangerfield cause see a few people. Did you want to do comedy yet?

Speaker 2:          00:34:20       Um, I was 19. I probably had thought about it a little bit. You know, maybe, maybe it had been in my head like slightly, but I didn't really start thinking about it until I was like 20. And you feel embarrassed when you had that thought at first of doing comedy? No, but I did feel like it was preposterous. I did feel like, um, look, it's such a difficult way to make it. Like I remember my girlfriend when I was 21, her dad was mocking this idea that I was going to be a comedian. Like I remember him saying, well, you know, the odds were not in your favor. No, they're not in anybody's favor. But I remembered that's what he was saying. You know that like who makes it, how many people make it as a kid and even if you do make and how much money do you make?

Speaker 2:          00:35:08       He was a doctor. That's so funny. He was really angry. Like he just felt like I was a waste of his daughter. It's really funny cause he's still alive. Let's get him on the podcast. It's probably not, you know, doctors don't live that long. A lot of them died. That was so, it was sad when he died. I was like, I trusted you. Well there's a great book called dead doctors don't lie, but this guy, Joel Wallach and what a lot of it has to do with nutrition and it's about mineral deficiencies and vitamin deficiencies and doctors who abuse drugs. And I'm essentially

Speaker 3:          00:35:38       talking about how people rely on doctors for advice about health, when in reality doctors are good at very specific things. Like if you're a podiatrist, you're good at fixing feet. If you're a, you know, an orthopedic surgeon, you're good at knees and shoulders and shit, but you probably don't know a fuck load about nutrition and you really don't understand like the mechanisms of the body's absorptions of nutrients and minerals and vitamins. And one of the things that I've learned from doing this podcast is to understand that even like when I, the cursory understanding of it that I have, you have to go through fucking hours and hours and hours of reading and watching documentaries and listening to experts and I still have to go back over and over and over it again. So I've talked to doctors before and they'd been like super dismissive about even taking vitamins and I get angry at them.

Speaker 3:          00:36:23       I'm like, well, I think all you need is a balanced diet. I'm like, well, you're retarded. Like what are you talking about? That's it. And by that way, I don't mean someone with downs syndrome that is a retarded way in slow down. You are your, you have a diminished capacity for advancement. You are slowing down the reality of the progress of nutritional science. This is a stupid thing you're doing right now and giving me bad advice. You really don't know what the fuck you're talking about. I get angry. I'm like, why would you say that? Like this is dumb. Don't tell me that there's no benefit to taking vitamins when there's a fucking ass load of studies. There's data and science and it's all proven. [inaudible] spent thousands of hours researching this stuff and trying to figure out what the fuck is good for you and what's not good for you and some Chubby asshole with a fucking skinny fat body is telling me that all you need is a balanced diet.

