Speaker 1:          00:00:02       Yes. Is it good? Yeah, go ahead.
Speaker 2:          00:06:20       And in fact, the character I'm talking to on the show says, I still just hate the idea of an animal being killed, right? And I said, yes. So Do I. Right. We try to dramatize that emotional, you know, resistance on the show, like that emotional reaction that we have. I also don't like the idea of, of an animal being killed brutally. You know, I think I'm uncomfortable with the idea, right? But if my main goal is to preserve the population of these animals overall and stopped them from going extinct, maybe I need to accept that this tough truth that once in a time, once in a while, once gotta be shot through the head with a rifle, maybe I need to accept that it's, it's weird. That's what I chose about really when it comes to things

Speaker 4:          00:06:57       we don't eat, like lions and stuff and the psychology, Michael Douglas and the, what was that movie with the Val Kilmer, the ghost and the darkness that the lions that decided to kill those dudes are what never heard of this movie. Great movie ghost in the darkness. I feel like it's from the 90s, but it's a really good movie about a true story about this guy that they brought. They brought this Michael Douglas character was brought in to hunt these lions that were systematically targeting and killing these workers that worked on this railroad. This team of lions worked together and started eating people. Wow, that's great. My Way and

Speaker 2:          00:07:37       it sounds like it. And they have to, they have to go for the lions. They have to go kill these lines. Yeah, there it is. Ghost in the darkness. Oh holy hell biting tension. That is a great tell Kilmer's looking good there.

Speaker 4:          00:07:48       No, that was pre Fatso Kilmer

Speaker 2:          00:07:51       pretty when he went off to do it was too good looking guy handle anymore looking guy too. Handsome

Speaker 4:          00:07:56       problem. You had to just go off the deep end.

Speaker 2:          00:07:58       Another one people got really mad about this is this weirdly the one we got the biggest reaction to. Um, and to the extent that I'm a little hesitant talking about it, cause it always starts to shift storm every time I do. But scenes. Uh, no, actually we've not done a whole one on vaccines. Uh, but we really should cause it's coming back. I used to think that vaccines was like kind of done as a topic and like we've gone through it. It is really, it is really backing. It is big. Um, but no, we did one on Alpha males. We had an episode about dating and we did one on how the idea of the Alpha male doesn't exist in humans. Like if you talk to any anthropologist, any biologist and you sociologists, right? And be like, Dee Dee are humans organized in a social relationship where there's Alphas and Betas?

Speaker 2:          00:08:39       The be like, no, what are you talking about? This is an unscientific idea. Right? And we just did something laying that out in a, in the, in the context of like, people who are all my type is, I like Alphas, right? Well, there's no such thing actually, you know, humans are some, your dominant, some situations not in others. Right? Um, it's an overly simplistic way of looking human relationships. And I thought that was a pretty simple, straightforward thing. I was like, there's just a bit of pseudoscience that you hear people tossing out and people went ballistic on the Internet because people have sort of like built a edifice of ideology in their minds about like, there's Alphas, they're spayed is I'm an Alpha, this is what now feels like, this is what a Beta is like, you know, um, and uh,

Speaker 3:          00:09:17       words. Yeah. They're there. They're clearly men who are more aggressive and athletic and dominant and more confident and s and then men who are introverted and shy and more nervous and anxious. And there's a scale

Speaker 2:          00:09:31       in some, in some situations, you know, situations. Yeah. And that's what we're talking about, right? In social. Well, yeah, but you're a social situation could change based on what situation you're in. You know what I mean? Like,

Speaker 3:          00:09:42       but, uh, a login, athletic, confident male is always going to be an athletic, confident male and an introverted anxious male who has problems with social anxiety is going to be the same. That's that, that that's

Speaker 2:          00:09:58       personally, I don't think so necessarily. Um, but, uh, so when we're talking about Alpha, when you talk about Alphas, right? Um, in animals, what is that? It's a social hierarchy, right? When you're done,

Speaker 3:          00:10:09       take away that word. I mean w but what people are using to describe when they're saying Alphas and Betas, they're saying like confident, strong, secure people and people that are anxious and not sure.

Speaker 2:          00:10:21       So if you're, so if you're trying to say, hey, like it's good to be confident and not so great to be anxious like that, that's fine. Right? But when people talk about Alpha males and Beta males right there specifically bringing in the language of like evolution of biology, of zoology, of, of evolutionary psychology, you know, and they'll start saying stuff like, well, there's Alphas and there's Betas and women are hardwired to be attracted to the Alpha, you know, because that's what it's like in nature. Like there'll be using that language. Right? And so what we're pointing out is that's not scientific, right?

Speaker 3:          00:10:49       It's not scientific. But it is true that women are hardwired to be attracted to confident athletic men.

Speaker 2:          00:10:54       I don't know. Well, I don't know if I agree with that. Um, but yeah,

Speaker 3:          00:10:59       you don't think that women look at like pro athletes. And like big, strong athletic men. And you don't think they're drawn to that for evolutionary reasons?

Speaker 2:          00:11:08       I know. I don't actually, I think

Speaker 3:          00:11:11       that men are drawn to women with small waists and big hips and large breasts for evolutionary reasons,

Speaker 2:          00:11:16       reasons, uh, you know, I think that's an easy, I think what that is, is that an easy intuition to come to if you're like looking at the way people behave, right. But one of the things about evolutionary psychology is it's the most common mistake to look at the way that people do behave and say, the reason what the we behave that way is because evolution says that's the best way. Right? That's their argument. For instance, I'll give you an exact, that's the argument that was arguments like that were used for instance, to justify slavery, right? That like, oh, because you know, uh, whites and blacks have this hierarchical relationship and American society, that's the way it was intended. That's how nature intended it to be. Right? But we can't, we get it

Speaker 3:          00:11:53       giant loop. The shapes of bodies. Men Universally are attracted to a certain shape of bodies. There's men that are attracted to different ones and do that at the same area, but that hourglass shape has been throughout time, something that men are attracted to. I think that hourglass shape,

Speaker 2:          00:12:11       but something throughout our recent cultural memory that we tell each other that men are attracted to it. Right? That's when, that's when we're, that's what we're told from an early age to this, that this is the sort of women that men are attracted to and so a lot of men ended up adopting that. Right. But I don't think that deep down that's how men naturally are. You know,

Speaker 3:          00:12:30       I read this or that, but that doesn't make any sense to me. That's so intuitive because I'm all about things that are not intuitive, but where do you think it started? Where do you think this, this narrative of men being attracted to women with large breasts in a small waist and a big ass? Where do you think that started? Because this is like evolutionary biology is pretty much settled on the idea that the reason why the large hips would indicate that the woman be easier to give birth. Having large breasts and a large acid indicate that she has, uh, she's, she's fertile and then she has an ample fat storage in the right places if she's going to be pregnant and carry children. There's all these like evolutionary biology reasons why people are attracted to certain things. Why woman, we'd be attracted to a tall, muscular, handsome man. Good genetics, very strong and confident could take care of her. All these things are based on evolutionary biology. So in understand why you think these are learned sort of cultural artists.

Speaker 2:          00:13:27       So my, my question is, this is an assumption that we, the public make about how evolutionary biology works, right? It's more of a thing that we sort of agree on. Well, we, we as the, like there's a, there's an idea among the public that this is true. I don't know if it's a scientific idea.

Speaker 3:          00:13:43       That's my, I've had conversations with evolutionary biologist who explained the reason why men are attracted to certain shapes and why women are attracted to certain shapes. This is, this is sort of, I mean, this is science in a way. I mean this, the reason why they're attracted to tall men that are muscular and confident is because that is what's always saved you throughout history. I mean co to only make sense, doesn't it?

Speaker 2:          00:14:09       It it. Well, just because it makes the point of our show, right, is that just because something makes intuitive sense doesn't mean that it's necessarily true. Right?

Speaker 3:          00:14:18       You think that in this case that this is a varied argument, like I don't think that's something that you can dismiss.

Speaker 2:          00:14:25       I don't, I don't dismiss it, but I don't assume the truth of it simply because that's what you know everybody agrees upon. Right?

Speaker 3:          00:14:33       If you ask girls like, what are you into? And you say, if you are you into tall, muscular, confident men who are also nice to do, Jesus Christ, it's going to be off the charts. It's going to be like most of them. I'm, you know, I'm really, I'm really not sure that's the case. Really. Yeah. You, you had like a survey of, and the

Speaker 5:          00:14:51       men were equally kind and equally intelligent and, and friendly. You don't think that more women will be sexually attracted to these tall, handsome men with great bodies? I mean, look, I'm not gonna, I'm not gonna say that first of all, you're positing like a value judgment in it, that the, that the bodies are great, right? So like are women attracted to attractive bodies? If that's the question then, then I would say of course more attracted to women's study finds some fucking I'm talking about with the dad bod. Here's something that I was really influenced by. I ran what I just said though. That doesn't make sense to you that women would be attracted to someone who's fit. Look, I mean, it's a, it's a hypothetical rate. Like I certainly athleticism, right? Is something that is attractive. Right? Um, that's something that many people find attractive, right?

Speaker 5:          00:15:40       Not everybody finds that attractive. Um, and I don't think that we can necessarily recent backwards to like a specific evolutionary relationship. Right? Um, because the truth of what those evolutionary relationships are is like often a lot more complicated then you know, our, our immediate intuition about it. And what were you specifically pushing back against in that segment is like the really sort of unscientific, you know, of Alpha and Beta. Yeah, exactly. Where it's like, you know, you've got people, you know, just on internet forums like sort of doing amateur pseudoscience, right? Saying like, this is how the relationships between men and women are like designed evolutionarily. Um, and we were just pointing out on a very, very simple level, like the Alpha and Beta social hierarchy theory, right? Um, that like a humans are organized in a social hierarchy and Alphas are above Betas. Not True.

Speaker 5:          00:16:30       Right? Um, even someone who is the person who you posited, right? The person who is a athletic and confidence, right? The, uh, you know, the high school football quarterback, right? Versus the high school football nerd, right. We'll take those two people and then put them in a different situation, right. If those two people are like in gym class together, right. Of course, the high school quarterback is like, I'm the top of that social interaction, right. I'm looking at the sort of, you know, classic Wolf Pack Model. They're the one who sort of sort of running the show, right? And the other guys like hanging out in the bleachers, talking to his friends, right? Or talking to nobody because he's a, he's a Beta and that situation, right? If you then take that kid and then you, you know, send that kid to like nationals, right? Or whatever, uh, you know, and that kid, sorry, I take the quarterback character, um, and you know, he suddenly like, you know, from the little podunk town, right?

Speaker 5:          00:17:19       He's not from the big school. Um, he's like way down on the Totem Pole, right? That person is no longer going to be in that high social hierarchy, right? Um, and if you take that nerd and you put that, you know, take that kid, maybe he's the dungeon master of his, you know, dungeon and dragons group, right? Um, uh, that, uh, why that kid is going to be the alpha in that situation, right? That's how humans work. You know, humans aren't organized in sort of like little pods that stay together for life, and there's one person who's dominant the whole time, right? And that's the simple point that we were making, uh, in that, right? Um, and people got upset. Yeah, people got upset because there are so many people who we talked about this later on the show, there's this idea called the backfire effect, right?

Speaker 5:          00:17:57       Where when people are told something that they don't agree with, um, that when they, when they, someone has told somebody a fact, when somebody has told the fact that contradicts like a really deeply held belief, it can often cause them to disbelieve it even when it's true. Right? In fact, that fight back even harder, one of the reasons that happens is because of an idea called identity protective cognition. It's, um, if the fact that is being debunked is literally part of your identity. Like if a sign that you believe really, really deeply, it's incredibly hard for you to disbelieve it, right? The classic example of this is like, you know, Sean Hannity, Sean Hannity doesn't believe in climate change, right? Uh, uh, really? Uh, well, you know what, uh, I actually don't know that specifically what Shawnee, Sean Handy things about climate change. And let's just say somebody who's made their whole career on climate change doesn't exist, right?

Speaker 5:          00:18:42       All their friends are in the anti climate change community, right? Uh, they met their wife at an anti climate change fund raiser. You know what I mean? They make their money, they write a new anti climate change book every year. Right? Now, climate change is real, right? There's no evidence I could present that person with that is going to make them take the social risk of ending all their relationships changing their whole life. Right. Uh, because if they were to say, okay, you know what, actually, I'm convinced climate change is real. They would lose all their friends. Their wife would leave them, they would lose their revenue stream. They can't possibly come to that conclusion. Right? And so they fight back. So super hard. Right? And so that's what ended up happening with that segment. There's a whole group of people who have built their whole lives on the idea.

Speaker 5:          00:19:23       There's Alphas and Betas. I'm an Alpha. I'm not going to be a Beta. Right. Um, and so, and, and maybe that misalign positive to them, you know, maybe they had, were in a bad place in their life and through this model of Alpha versus Beta, they started working out or they started, you know, improving themselves a little bit. Right. Um, and maybe they started acting a little bit more confidently and now they're in a relationship. Right? All those things can be true with the idea of Alphas and Betas and humans not being scientific. Right? But so when I tell them that they fight back really hard though. No, no, no, no, no, no. This is, this is real. This is real. You know, and so that video, which again, I had no idea that would be controversial. Got the most youtube response videos get the most, you know, furious at things from, and the weirdest thing was people started to say, this is political.

Speaker 5:          00:20:04       Like, why is that in ruins? Everything getting political. I'm like, I don't know what the hell they're talking about. This is, I have no idea. I didn't have no idea how it's political alphas and Betas are no political. I mean, that's what people were saying, I guess. Uh, I guess, you know, for some people it's become that, but because they've seen it as part of like, I don't know, whatever argument they're in their head they're having about feminism or something like that. But to me, I'm just like, guys in dating right in life, like this is not a real concept. If you want to say, I'm going to be confident tomorrow, I'm not going to tell you, that's not gonna help you out. You know. Um, uh, and you know, I am a little bit reticent to make like a broad conclusion about evolutionary psychology. Right. But I can tell you, again, go talk to any anthropologist, any biologist, and he, you know, sociologists. Is there such a thing as Alpha males in humans and the strictest scientific sense of the word

Speaker 3:          00:20:48       industry. Yeah, exactly. Um, and the, I think they're looking at, in terms of like winners and losers, pushovers and people who get the job done, you know, confident people versus people who are not confident. But I think you're correct. And I think obviously humans operate on a giant spectrum. And if you start going around saying Alpha and Beta and the, the idea that all alphas are the same or all Betas of the same, it's just as ridiculous as the idea of saying all democrats are the same. We're all republicans. It becomes an ideology. Exactly. Pro Male ideology. And at Shar, I ha the biggest problem with like overconfident men's rights guys. Yeah. Cause I'm like, listen, we have all the rights, like settled down. Enough of them, I had a whole bit about it. It was like, this is like divorce laws and that's it. Everything else is stacked in our favor. It's just fucking chill out. You're making us look bad. And the problems that men have

Speaker 5:          00:21:42       are different than the problems those guys think men have. Right. Um, so for instance, we did a segment on a stereotype. We had an episode on stereotypes, um, called Adam ruins a sitcom where, uh, we talked about different, you know, we talked about stereotypes via, you know, sort of, uh, uh, cheesy 80 sitcom had a stereotypes in it. So you've got the stereotypical black kid, he got the stereotypical, an Asian kid, he got a Syrian neighbor, what's his name? Do you have a gay neighbor? No, we didn't do that. Well, there's only three acts on the show. You know what I mean? I wish we could on that and, and women and all sorts of things. But we, and we had a stereotypical dad, you know, like a home improvement type dad, you know, and, uh, what we talked about is like those, uh, there are ways that men are being harmed by the sort of narrow idea of what a man is.

Speaker 5:          00:22:25       You know, um, for instance, uh, men have a very high suicide rate. Right. Um, and, uh, specifically, uh, loneliness is a health problem for men, for like older men. Like take my dad, right? My Dad's a about 65. He doesn't have a friend, you know, I hope he doesn't hear this, but um, you know, yeah. Like he, he has like work colleagues. He's got my mom, you know, he's got me, he's got, I'm sure he's got people he's friendly with, you know what I mean? But he doesn't have a best friend, you know, who doesn't, who comes over to watch the red sox with them to is terrifying to me. Yeah. And the thing is, loneliness is associated with early death and with disease. Right? And like when you look at the way that we bring up men, men are socialized to not have close relationships with each other.

Speaker 5:          00:23:11       You know? Yeah. I mean, well, like, uh, we talk about, uh, from an early age, we talked about this so briefly on the show, but we could have gone into a whole episode on it from an early age. Uh, uh, researchers have found this, that, uh, little boys, when they're very young, uh, are very close with form, very close friendships that are physical friends with they hug, you know, they'll kiss, they'll, you know, cause I'm the, you know what I mean? They'll have physical, close friendships like that, and then they reach an age where that starts to become not okay. Right. Um, where it becomes, oh, that's not how boys act. Right. And girls are still doing that with their friends. They're still holding hands with friends. You know, there's still, uh, you know, having close relationships like that and boys start to start to build a little bit of diff distance, you know, and, you know, it's easy to say, well, when you're a teenager, that's because the stigma against being gay and like, we don't want to appear gay, but it happens even younger than like, kids would even have a notion of that, you know?

Speaker 5:          00:24:02       So it really seems to be a deep down way that we bring up boys of like, Hey, don't get too close to each other. You know what I mean? That's a little weird. It's just a little weird for boys to do that, you know? And we do that. We do it from a young age. It's very subtle and subtle, but it's universal. I mean, in America it seems to be, um, and, uh, you know, I, uh, yeah, I've even felt that myself. Like I've often had an easier time having close, close relationships with, uh, women rather than men as friendships. Yeah. As friendships. Yeah.

Speaker 6:          00:24:32       Man, I don't, just in terms of who I talk about, my relationships and stuff, you, I have good friendships with women. Mostly they're comics, but almost all my good friends are guys, a lot of good friends. I mean, you're lucky if that's the case. I certainly am. But there's this phenomenon of having little bit of distance from your male friends, you know, of like

Speaker 5:          00:24:52       being, of not getting really into it emotionally, you know, look it,

Speaker 6:          00:24:56       if you don't feel that way, that's fine. I felt that myself and I'm sure results in some people don't. Some people feel it. I'm sure I don't experience that. You know, most of my friends that I know have good male friends and they were pretty tight with people. Well, when, uh, the, the point is that like there is a trend, especially in older age, right? It's bad. And then my dad's name for anybody, whether it's a male or female, when you get older and you don't have any friends, that's a bad scene. Well, so demographic. Yeah.

Speaker 5:          00:25:27       We know that that happens to men more than women, right? That man, my dad's age is more likely to have less friends than a woman my mom's age. Um, I mean, I think that's one of those things where I would hesitate to make a big conclusion. But I mean, I would say I think we can draw a link between that and you know, that men are sort of like socialized to not have these close friendships, but right. So that is a serious problem that men have that men face. Right. Um, another one we talk about is stuff like, you know, drinking and smoking for instance. Those are behaviors that are much more pushed on that. And you know, those are much more advertised towards men, right? And those are dangerous, right? Those are like hurt you physically and can lead to an early death, right?

Speaker 5:          00:26:04       Those are, those can lead to bad health outcomes. And so those are things that men face that are different than the challenges that women face and can result in bad health outcomes for us. You know, and it's so funny how the sort of like men's rights people, you know, they're, they don't talk about that stuff quite as much. They talk about, you know, violence and, and, um, you know, uh, people being hurt at work and stuff like that. Like men having dangerous occupations and that's, and that stuff true is true as well. But like these are the more subtle ways that, you know, men are, uh, are hurt by, uh, this sort of narrow expectations of what a man is that we put on men. Hey, men are like this. You should be like this, you know, and some of those things hurt men. Do you think we still do that? Yeah, we'll

Speaker 3:          00:26:44       still put now expectations of what man,

Speaker 5:          00:26:47       I told him that do I think we might be lucky here in la? You know, because we can sort of like live any way that we choose. I mean, you clearly live exactly how you want to live, which is great. Uh, uh, you know, uh, and, and I get to as well. Uh, but I think that, uh, you know, we're, we're lucky in that we're so self actualized, you know what I mean? That, that maybe we face a little bit less pressure than, than you know, your average Joe across the country.

Speaker 3:          00:27:10       Yeah. I don't know of anyone who's putting pressure on men to not be friendly with other men. That seems so ridiculous to me to deny camaraderie. Obviously in the military it's a huge aspect of military service as the Brotherhood, but these guys form with each other. And that's about, uh, you know, if you want to talk about traditional male values, that's about as manly a thing as a person can do, right. Serve their country

Speaker 5:          00:27:38       very much so. Um, but are like men for instance, and courage to be emotionally vulnerable with, uh, with their friends, for instance. Like I think that's something that's like,

Speaker 3:          00:27:49       do it, they'll going to bring it up when you argue.

Speaker 5:          00:27:52       Yeah. And so that's, so that's the thing. There's that, there's a level of intimacy that were, that were like, and that's sort of intimacy is what leads to long friendships, you know, that really, really last, right.

Speaker 3:          00:28:03       It's a balancing act I think because I think there's, there is intimacy and then there's also guys who were just being a bitch and they need to learn how to man up. I like this bull bull things or read things are real. It is real to be intimate and to be vulnerable and to explain how you feel, but then sometimes you shouldn't be just fucking complaining about things. You should figure your life out and man the fuck up and go do something. And it's not necessarily you being emotionally vulnerable as you like to say it in such a, uh, a normalizing way might, it might just be being a bitch.

Speaker 5:          00:28:32       Uh, well to think that when you say that you put a little pressure on, on

Speaker 3:          00:28:36       men at all to this, I put pressure on men. Yeah. Well, there you go. Maybe you are, maybe you're the one putting a little pressure. Yes, they need some pressure. I think most men need just a little bit of a motivational shove in the general direction of success and happiness. And a lot of that is overcoming laziness and implying or, uh, applying some discipline to your life. I think those things are, let me manly attributes that turned out to actually be good for you.

Speaker 5:          00:29:02       Uh, you know, I think there's a lot of, uh, I don't disagree with you about, about some of those aspects being good for you. Um, let, let me just give one other example. Um, and I'm blanking on the name of this podcast. Um, I can, I can look it up if you want, but, um, uh, very wonderful podcast about philosophy. Um, as far as this, uh, no, I love philosophize. This, it's a different one here. I'll look up what it was, um, as I'm talking to you about it, but I'm really wonderful podcast. Uh, where, uh, they were talking to this guy who was in the military, um, and uh, his PTSD. And he was talking about how the idea of, of be a man, right? It was just a phrase that he would hear a lot in the military, right? Um, and, oh, it's called hyphae nation is the name of the podcast and there's an episode called Bia man hyphenation really wonderful podcasts about philosophy.

Speaker 5:          00:29:49       Um, and, uh, it's was talking about that idea of Bia man, right? What does that mean in, in the military? And, and look, I'm just repeating with, as in the podcast, I have no military experience myself. I don't want to claim too, but, um, uh, and you know, that means sort of like overcome adversity, right? Don't complain too much, right? If you have a problem, solve it yourself kind of thing. Right. Um, and he talked about, and they also talked with the medical professionals who said the same thing, that that idea, um, can, doesn't give men the tools they need to deal with PTSD. Right. And can actually exacerbate PTSD because it means that they're not trained how to reach out for help for those problems. And so I think, oh yeah, it's a different example of, of, of just a way that that sort of narrow idea BIA man, being a man means this. A real man would do this, right. That does, that works. In some situations maybe that works when you're, you know, in a Foxhole, right. Um, it doesn't work so well when you're out of it. Right. And so that's a narrow idea that can lead to a bad outcome.

Speaker 4:          00:30:43       Sure. But that's basically what we were just saying, that you know, you should be emotionally vulnerable and know how to express yourself with your friends and be honest and true about how you feel about things. But you all should know when you're being a bitch. Both of those things are real. Fair enough. Fair enough. If you're on a hike with a friend and he has to stop every five minutes because his foot hurts, like, come on man, my foot hurts to just fucking walk. You're walking fine. I completely, completely agree. We just don't think this is worth it. This is not what I had in mind when we started hiking at guys beat a bitch, right? Yeah. Yeah. He needs to man the fuck up. Right. But let me, but I know you're hesitant to say, man, the fuck up because it was a woman.

Speaker 4:          00:31:21       What would you say you'd say, toughen up. Just soldier on, what would you say? Well, I don't think that the reason I'm hesitant to use that word is I don't think that being tough is exclusively a male. Right. That's why I said, if you're a woman, what would you say? Would you say tough enough? Yeah, I guess I went in the same situation. You gotta toughen up. You to deal with it. Press on. Yeah. But men like to, we like to equate that to one of our best attributes being a fucking man. Cause I'm a fuck up the map.

Speaker 5:          00:31:50       What if you're, what if you're a on that walkway, on the hike with a friend and your friend is legit afraid of hikes I've been on in France on the hikes with, I'm sorry, I didn't said hikes heights. You can hike in with that dude. And I went on a hike. I went on a hike with a friend. My friend had it. We were in Zion National Park, which has some very narrow, that's each Utah. Yeah. My friend had had a panic attack. Right. Because, because of the hike and it was, and it was, you know, um, and that's legit. Right? And thank God he was able, he felt able to share it with me. Right. But if we, you know, so that's, so that's the balancing act of creating an environment where you're not, hey, yeah, don't complain about your foot, but hey, if you're really in distress, like you can share that with me.

Speaker 5:          00:32:33       And some men feel that they can't do that. And I remember when I was younger, you know, feeling I want to, I really have this problem, but I can't express that to my friends because they're going to make fun of me. Right. Um, and that sucks. And so my goal is to, and what that segment that we did about manliness was about, um, was saying, hey, if you, uh, if you're a man and being a man to you means, you know, being confident, being assertive and stuff like that, great qualities, not that qualities at all. Right? But we want to expand the notion of manliness. So it includes all the different ways that one can be a man. Right? Um, uh, that, that is, it's as wide as possible, right? So because of the problem is going to shut it down, the expression manliness, right, that's the problem.

Speaker 5:          00:33:15       Cause manliness like instantly becomes handsome, aggressive, you know, muscular cultural idea of a man and womanliness is more like soft and kind. Yeah. You know, you don't think of it sexually, right? When you see, you think of w w womanliness isn't really a word that's used, but if it was yeah, womanly, that those are their cultural ideas that we associate with those things. Right. But I, so, so let me just give you my example. I, uh, personally I love taking care of other people, right. With me and my, me and my girlfriend, we've been together 10 years. Um, one of the main things I love to do in our relationship is I really like cooking for her. You know what I mean? I like taking care of her. That's like something that I enjoy. Right? Um, uh, that's the part of my manliness. That's like how I am.

Speaker 5:          00:34:06       A man feels good, well food. And you can sit down and do something for and cook for. You can associate it with, yeah. Pr Providing, providing goes back to that, you know, classic sort of, uh, Ma, you know, manly value you can associate with that. I'm not even saying in that sense, there's nothing wrong with that word, but in that sense, you, you wanted give, yeah, exactly. And that's not a value that I was brought up with of like, that's a manly thing to do, right. Is to like, be kind and be nurturing. You know what I mean? Um, but, uh, it's something that I really, that really means a lot to me. Yeah. It wasn't what I was brought up with. Um, and, uh, uh, so to me it's important to like expand, you know, my notion of what it was really a big deal for me to like realize that that was part of what being a man was to me.

