Speaker 1:          00:00:02       Me,

Speaker 2:          00:04:11       They have this thing called the training mask and a Bas rutten has one called the boss. I think it's the boss. Oh, something or another. And it's um, you breathe through it and it restricts your air. It gives you like tiny air holes to breathe, right? Yeah, I remember that. Yeah. Bas rutten's sits in your mouth kind of crazy, like this big giant mouthpiece and, but the, the, the other one, the elevation mask is like, it's got like little hoses on it and shit. And when boss routines and very controversial by the way, scientifically not really supported it's support, it's not really supported that that improves your oxygen and it doesn't, it certainly doesn't do. So. Taking capacity out training at altitude does, which training it to does is you live in a place and you stay overnight and sleep in a place where there's a very high altitude, very low oxygen, your body naturally overproduces red blood cells to compensate for the lack of oxygen.

Speaker 2:          00:04:58       That doesn't mean that when you restrict your oxygen, your body makes more red blood cells. It just means it's harder to breathe. I mean, it's kind of a better workout, but it's also kind of not a better workout because you're not able to work out as hard because you can't breathe as hard, you know, so unless you're an absolutely perfect shape, the benefit of it is probably negligible. I don't know what the fuck this has to do with anything, but uh, that's why wouldn't work out with a ball gag that would love to hear you like doing your [inaudible]. Like when you don't have a ball gag in and you're working out, it sounds sexual sounds really intense. No to everybody in the gym, like girls are like fucking like, listen, son. Pushing out to the elliptical. If you're going to do it, you should do it.

Speaker 2:          00:05:41       Guys are. If you're going to do it, you should actually. I know I can't actually. I don't want to have a halfassed workout ever. I don't. I don't. I don't believe in those. I think if you're going to work out, you should work out. If you got to work out, you gonna make some noise. Yeah. It'll be scared. It sounds very grapey. It was planet fitness places. Those are the worst where you're not allowed to Moan. Have you seen those places? Oh yeah. Yeah. You're. You're literally not around the grunt. We don't take. They call you a meathead if you grunt tool. Right? Like if it wasn't sexual sounds, it would not be illegal. Bunch of Limp Dick dudes that don't want guys to get too strong. That is this some weird fucking gyms for insecure people? Yeah. Like you don't want to. It's one thing. There are dudes that go way too crazy.

Speaker 2:          00:06:24       This guys who use it know where they get together, quotes, quotes, quotes, go this guys at the gym where it becomes uncomfortable. Like, come on you bitches. What do you do that you just make loud sexual noises that echo out throughout 24 hours. If you're going to deadlift, you should be making some fucking noise. Do you guys still yell? Lightweight. Lightweight. Now what does that Ronnie Coleman, Ronnie Coleman used to yell out. Lightweight, lightweight. I used to hear that Shit in the gym. It was noisy. I don't understand it like that was what he would say to psych himself up for a big lift. Like, oh the. Oh, the guys in the gym. All these Ronnie Coleman wannabes chanting that. That guy was so big when he was big. Jesus Christ was Ronnie Coleman big. He was big like what? He was a cop. He was doing it. That was the really nuts shit about that.

Speaker 2:          00:07:15       Can you Mr. Olympia Guy, he was so fucking big. Jesus Christ. That guy was huge. He had a big smile and I can imagine being pulled over by him. You see that and I bet he was a decent officer a lot anymore. He got all his aggressions out in the gym to get that big. You have to work out so fucking hard. I don't care what you're taking does, it doesn't just make you grow. Like that guy is working out really hard. There's something going on outside of steroids. There's a lot of hard work there, so he was probably tired all the time to smile and know. Always constantly. If you're built like the hulk, you know much fucking cowards. You have to scarf down and just to stay, stay afloat anyway. What brought to you by the fuck you doing brought to you by [inaudible] dot com.

Speaker 2:          00:08:05       A makers of Alpha brain and as we were saying, I just got the battle ropes in the mail. Kettlebells are in, if you haven't used kettlebells to work out is my personal favorite exercise and someone corrected me on my message board there actually. Right? They said that. I always say that a bench presses and isolation exercise. It does work. A bunch of different muscle groups. When, I mean is it sort of. It's an unnatural sort of a thing to just be doing this and what I like about kettlebells is that it requires you to use your whole body. I mean, when you bench press, I guess you could push off the ground with your feet and it does have some sort of impact. Suddenly I'm against bench press. I mean I still do conventional weightlifting to occasionally, but I think that for me personally, the, the.

Speaker 2:          00:08:47       If I had one piece of workout equipment that I would choose to use, it will be the Kettlebell because you can get an amazing workout with a 30 pound Kettlebell. I mean just break your body down and credit the kind of endurance strain that's like, like training Jujitsu, like when someone's trying to strangle you, like it's the only thing that comes close to making you that hard. It's an incredible workout and just a 35 pound Kettlebell and it strengthens your whole body, strengthens your core, your abs, your legs, and you really don't. It's not that difficult to like formulate a workout program. You can go look at some of them that are on Youtube. There's a bunch of guys who have great dvds out there. Mike Mauler is a great one. He's got a great DVD. My friend Steve Maxwell, fantastic dvds out there. There's always workouts that you can find and you can watch a DVD and follow along with it and literally getting the best fucking shape of your life.

Speaker 2:          00:09:40       They're amazing for for like actual physical usable strength. Like if you do anything that requires physical strength and you do kettle bells, it'll make it better. It's really incredible. It just makes your body just stronger as a unit as opposed to like say like bicep curls. That would be a true isolation exercise. Something that's really unnatural where you just only really using the biceps and maybe a little bit of the forums like he bought. He doesn't really want to move like that. Your body wants to pick things up and move as a unit and that in my opinion, is the best way for fitness to get your body stronger, to do full body exercises like Turkish getups. I mean they're not as romantic as bicep curls, man. It is true. It's like bicep curls or sex. Why he screams and moans about it yet and that's why it gets wet.

Speaker 2:          00:10:32       You know, there's something sexy about it. There's something sexy about a. because if a guy's just working as buys, always trying to do is look good. Every man in the gym is having an emotional experience. Some level. Yes. That's why I will not do. If you do it right, you've got to get really uncomfortable, man. Do it right. You've got to feel like shit. Oh by my favorite way to feel like shit is with kettlebells. It feels like shit. And then I feel awesome afterwards. That and a Hindu squats. A lot of you've been saying, you've been sending tweets about that. You started doing the Hindu squats and what a big difference it makes. It's fucking incredible. It's one of the best exercises you can do. You don't need a gym, Hindu squats. I do 200 of them before I do any workout and I am feel like stopping.

Speaker 2:          00:11:10       I feel like I'm done at just 200 squats with no weight. You would think there's no way that's going to be easy. That's so easy. It's not. It's fucking hard and it gets hard at around like 60, like around 60 like shit. And then you're in a seven and then you hit a hundred and you're like another 100 of these bitches. It's fucking great to do and it's not like a high weight exercise. It develops your leg strength without really putting yourself in a precarious positions with weights on your back. So it's a good way to start a base of, uh, of training as well. And so like if you, if you're not really a guy, works out at all and you're thinking, man, I want to get in shape, don't go crazy. And just immediately start doing squats. Our friend Kevin Pereira was in here yesterday and he's all fucked up because of that very reason because he didn't work out.

Speaker 2:          00:11:55       And then all of a sudden he was doing crazy fucking power lifts three times a day. Anyway, point is go to [inaudible] dot com. This is our only sponsor. We'll have one sponsor now on it is the spa. We only have one sponsor. He has still managed to have a 15 fucking minutes commercial. Three dream sponsors. What would your three dream sponsors be? We'd have to think about that. Let's think about that, Jack Daniels, number one, that would be to have to evolve from the flashlight to the real doll, don't you? It's not evolution. The real deal is creepy as fuck the fleshlight. You just putting something over your Dick. The real dollars. You're pretending that a woman. Isn't that a relative? Creepiness? Yes, totally relevant, but the actual fiber of the fleshlight is superior. Supposedly. I shouldn't say fiber texture. Yeah, but have you ever used a Jack Daniels bottle as a flashlight?

Speaker 2:          00:12:41       My Dick is way too big for that now. Now if you break it off at the end, the fuck praying, you're making no sense. Ain't gonna make me end this commercial. If data is your strategy, yes, it's over. Go to [inaudible] dot com. Use the code name, Rogan and save yourself 10 percent off any. The supplements. The kettlebells had been selling like crazy and the positive results that I'm getting from people who really enjoyed the workouts on twitter that are coming in like crazy too. I thank you very much. I don't get behind anything unless I 100 percent believe in it. Even the flashlight, if you want to beat off, that's better. Okay, but with onnit.com, everything we sell, especially the supplements, the first 30 pills, there was a 100 percent money back guarantee. You don't have to return anything. Just say this shit is not for me and you get your money back.

Speaker 2:          00:13:24       We're that confident that one we're selling you something that you're going to enjoy and it's going to help you and to. I don't want anybody to feel ripped off, period. I'm way more concerned about having people feel like this is a even transaction and this is a good deal for them than I am about making money. Use the codename Brogan. Save 10 percent off any supplements. Your last name, I pronounce it coke cash, right? I don't want to fuck this up as long as you don't say Kokesh. I wouldn't say that to coke. Coke, coke, cash is here. Ladies and gentlemen. Just fucking man. We're going to get down to the nitty gritty. We're going to figure some shit out. Maybe I'm not on a problem. We will. I am. Okay. He's promising. Play the music. No. Joe Rogan experience

Speaker 3:          00:14:13       Joe Rogan podcast. Thank you fred. During that commercial, you know you were here for a very

Speaker 2:          00:14:23       emotional moment for us. The last, the flashlight. I understand sir, and I'm glad we got through that together. I understand that deep emotional connection you can have with masturbatory aids. Absolutely. It's not that. It's that they paid us that was deep emotional and it's a solid product, you know, controversial but a solid product. You can totally pull back your microphone also. It stretches out reaching. Yeah. Yeah. That's part of what we're kind of a street like

Speaker 4:          00:14:52       that. A little bit underground tributing. If I do it like a poignant moments, people know. Man, that was a real microphone cord there. You asked what was actually happening. It's the cat clock. You think they like to count snowflake mentality. You think people like the cat clock really makes it sound less professional. You know, people think it's like a studio and stuff. It's crazy like that. Yeah, but that clock does interrupt your thought process for a second. First second, maybe not. Maybe it makes you up to how retarded you or you're fucking cat clock. The clock me out every time the the, our changes. More twitter followers are intuitive twitter than most people have blocked does. I didn't even know there was a catalog. Yeah, I think it's red bands. Cat clock and it just, it always is like, it's always like, Joe, why are you so mean to me?

Speaker 4:          00:15:40       Or this is why I have faith in the Internet. Oh, the Internet is the ultimate balancing act, isn't it? Yeah. That's how we met, man. Dude, you have a hat with your own name on it. I know it's kind of sticker with your own name on it like you are. You are 100 percent dedicated to you. Yeah. Well I, I stopped short it wearing the t shirt usually because that's a little creepy. Is the t shirt and a hat together? Oh yeah. No, that doesn't happen, but dice clay was onstage at the Riviera and Vegas this weekend and he had a dice shirt on. It was perfect and then he sells that shirt. It's just, it just says dice and the eye is like a dice, you know, like a dice cube. So you were a good company with a hat, with your name on it.

Speaker 4:          00:16:22       Thank you. So, um, how long have you been doing this show, Adam versus demand? Well, that's a good question because I got to go way back to just even explain how I started to stumble into this now and explain to people to explain to people what your show is, where people have never heard it's Adam versus the [inaudible] dot com. I do a daily podcast except when I'm, when I'm traveling. Like I haven't been so much recently but I didn't want in Denver the other day, but I normally do it out of my apartment in northern Virginia. So I'm inside the beltway in Washington DC. I feel like I'm dancing around the feet of the Leviathan there and I'm able, I'm able to poke the man. I'm able to poke the machine there, but I really, I really hate living there. It's, it's really weird. But I do my show out of my apartment there and I do a youtube channel, youtube.com/Adam, Kokesh, k o, k e s h, and I, I just, I, none of what I do is work anymore.

Speaker 4:          00:17:13       I absolutely love it. It. And, and I'm, I'm obsessed with what I do. I am absolutely committed and driven and passionate about it. I, you know, I, I have, I have to smoke weed to slow me down if anything, but I always do my podcasts over every morning and we post highlights from that to youtube. But I started my activism way back in college. Libertarians in, in Claremont, not too far from here, uh, was at Claremont Mckenna. And I didn't, I didn't really get it. To me, libertarian was, well, I'm not going to be a republican or a Democrat because that Shit's lame, you know, that's just too obvious I'm going to be. And yeah, exactly an indie. And it was kind of a way of, of, you know, sticking it to the man to say, yeah, like down with your rules were for drugs and prostitution.

Speaker 4:          00:17:54       And it was that sort of macho flash libertarianism and my story is really of the deepening of my understanding of the philosophy of this, because I went to Iraq in the middle of all this. I was in Fallujah in 2004. I was a reservist while I was going to college and I've volunteered for what I called my semester abroad and I did seven months in Fallujah with the civil affairs team. I was in combat for most of that time and it was. It was a really intense experience and coming home and watching the second battle of Fallujah play out on the front page of the New York Times. While I knew that the only reason we saw so many marines dying was because of the political manipulations of what was happening in the city over the summer that I was there and I was there February, September 2004.

Speaker 4:          00:18:39       And coming back and realizing that people were dying for political bullshit was a a significant turning point for me and wanting to really figure out what was behind this. And this is the thing. I think that sets Libertarians, a partner that I think a lot of people in my audience appreciate about your perspective is that you ask why and when you don't have good answers, you reject the bullshit and the propaganda and you see past it and you know, your understanding of foreign policy from that perspective is very appreciated by a lot of veterans who have gone through a similar experience that I have. So I got back and I was active with Iraq veterans against the war, actually moved to DC to get a masters in political management. Oh actually I should say I actually, I got in trouble for bringing a pistol back from Iraq and it was, it was a really nice one.

Speaker 4:          00:19:24       It was like engraved as a gift from Saddam Hussein and have little gold plated medallions on the pistol grip. Yeah. And I got in trouble for bringing them. Well, it's a long story, but I had it on campus and my car got stolen out of my car and instead of letting it go, I chased the guy down and there was a campus security guy there and that's how I got snagged for having an on campus and it got confiscated and I tried to go. I tried to go back to Iraq and this is the thing that really the flip that switch in your brain when you go through bootcamp these days and you know, they've heavily developed the psychological process, the conditioning that you go through to make sure that you will obey orders and you will pull the trigger. And the reason I wanted to go back to Iraq was because I didn't get a purple heart the first time.

Speaker 4:          00:20:05       Like I hadn't. I hadn't bled enough. And it really is a sick thing and this is what makes the military mentality distinct. There is nothing more glorious than dying for your country. And even patents said, you know, it's making the poor bastard die for his. But in order to, you know, as part of the conditioning, especially in the marines where there's that certain machismo that first of fight attitude and you know, there's a noble intent behind it. I wanted to have my life in the line from my country, but really for the people of America, you know, and that was why I enlisted in the first place. So they looked at it as what's the best way to get people to listen to us? What is the, what's the best way to get people to do the impossible to do the unthinkable. He tell that that's what they're supposed

Speaker 2:          00:20:47       to do. You have. We have to figure out what the best way to program them is. And they figured it out and they nailed it. They got an account that pride that, that fucking that is spreading her. Yeah. That feeling, they put them in the, just the, the, the training sequences and formula.

Speaker 4:          00:21:00       Just, you know, it's, it's not just that, because the lesson to be learned here is that it's, it's everybody. Everybody who waves the American flag or the nationalism that's imbued in all of us. It's the same thing to a lesser degree, but it's still a perversion of humanity. It's still a perversion of the way human beings are designed to get along. Right.

Speaker 2:          00:21:17       Great. I think the idea of being an American should be an ideal. It should be an idea that we have in our head and should be. We should look at being American as something we should aspire to, but the idea that somehow or another we're against them or they're against us. Like what the fuck are you talking about it and we don't even know them.

Speaker 4:          00:21:37       Yeah, and it's not. It's not about the arbitrary lines set up by government around us or it's the American heritage, the American traditional moving towards greater freedom and the stuff that that represented. The whole revolutionary war is a step forward in and the human understanding of liberty, but you know, it's, it's an idea that's global. It's essential to the human nature does it, and now we see that America as defined by any specific thing other than that is, let's be honest. Kind of fucking disgusting.

Speaker 2:          00:22:02       Yeah, exactly. Scary and America should be what we can contribute. You know what, what, what is our potential or potential to contribute is so much greater. You know, America is not the military industrial complex. America is the best fucking music that's ever been created. America's the best movies that's ever been created. The most creativity, the most designed, most, all that shit. I mean, I love my friends in Europe. I love the Japanese is not. I'm not saying that I did any of this. I'm not taking any credit for this. I'm a fucking idiot. I've never invented shit in my life, but if I look at it objectively, even if I lived in Spain, I would tell you this, I'd be like, look at this freak motherfucker country that in 200 years exploded onto the map, covered the grove, the globe with weapons controlled the whole thing, locked it all down.

Speaker 2:          00:22:48       Started boards like, oh, what a crazy little country you guys got, and then got really fat and stupid. Yeah, it's fat and lazy and a lot of ways, a lot, a lot of dumb shit going on. Well, let's just corruption. You can't maintain a steady ship with a constant flow of corruption. Eventually it just goes off the rails, so eventually you just, it's not going to balance out, you're not, you're not being honest about how you're running things. So, so thing is disgusting. Like it's not like, like there was a threat that we needed to go after, don't you? You guys are creating problems so you can capitalize on resources. Like it couldn't be any more obvious kind of the definition of government though. But it's the scariest thing ever that most people would never believe that if you told them that, they would say that is hippie bullshit. That is nonsense. Who the fuck do you think you are to think like that? You know, what kind of a person are you?

Speaker 4:          00:23:42       This is America. Well, you know, you said it in you. I listened to your podcast with Georgiou sucralose and you said, you know, with aliens, like everybody's looking for a daddy and it's this. It's this manifestation of that psychological desire to be taken care of. And it was worse is with government for a lot of it. You said it was aliens and it was God and religion and I don't know what else. You said a couple of other things, but you didn't say it was. It was. It was government. You know, and that's, that's, that's the big one. And that's what's, that's the global paradigm. That's like the phase of evolution that we're at in humanity that we're seeing the institutionalization, institutionalization will collapse of when we see, you know, this is all centered around the scam of, of the central banks, of the Fiat currency because that's how they really rip us off.

Speaker 4:          00:24:27       Everything else is about control, but that's the real incentive. It's all about exploitation. That's, I mean, that's, that's what motivates everything. As a motivates government. The banking system is so confusing for people. When you say the banking system, it's like you might as well just be making some noises with your mouth. Nobody really even understands what the fuck is going on. It's propaganda and it's designed to make you confused and when you look at how much money they have, when you go, wait a minute, wait a minute, wait, what is that exactly? Because are you, what the fuck do you do that? You get all these ones and Zeros. Where's it all coming from? How do you work with. Here's why they don't teach economics in high school though. I mean because the basic concepts that anybody can understand what have you very easily come to the conclusion with a very sound basis of, of rationale and understanding of economic framework to get to the point where you can.

Speaker 4:          00:25:12       No really, really no, we're getting fucked. That like all of the exponential increases in productivity that should lead to an increase in quality of life for everybody. It's still going up and we still see it, you know, the fact that we have smartphones and computers and all this shit, you know, and, and that the average American is so much better off. That's still an exponential growth. But what it would really be if you didn't have everybody who's on the teat of government sucking all this wealth away would have us, you know, in, in flying cars by now. I mean, I know that sounds crazy, but you see the wealth that's being sucked away and what the implication is of that, we are getting fucked and what's worse is that we're institutionalizing a system that is not just a system that robs from us, but that kills people.

Speaker 4:          00:25:55       You know, that's the police state, the, the military industrial complex. You know, the spasms of, of statism, of our. But what government fundamentally is, is the institutionalization of all of our desires to control and dominate and manipulate others by force. It's pathological behavior. It's pathological. It's based on fear. It's based on putting fear into its citizens and being afraid of the other people in the world that other people are not us. And you know, until we figure out a way to treat everyone that we meet in this life as if it was you living another life and told the world can adopt and develop that attitude. We're always going to have clients that are gonna lead us against other cons. I mean, that's just the way it is. We are flawed, fucked up species and somehow or another we still have the echoes and remanence

Speaker 2:          00:26:44       of the bygone sword fights in our fucking DNA, you know, that shit's still rattles around inside our head and at the highest levels of government. They're willing to sacrifice lives for money at a drop of a hat. They're not worried about it at all and they're going to go and clean up afterwards and make money on that as well. Oh yeah. I mean it's, it's a staggering business that's based on 100 percent horseshit. The idea that no one went to jail after that whole weapons of mass destruction thing and in Iraq, the fact that none of those cuts went to jail for lying about weapons of mass destruction. Being in Iraq, just that alone, it just shows you like, what the fuck did you do? Like what did you. How do you not go to jail for that? If you can't go to jail for that, how are you trying to pretend that this is a just system?

Speaker 2:          00:27:31       You guys made some shit up about weapons of mass destruction purposely to get people to go to war and then a million people are dead now and you don't think you fucked up. You think that was the smart move. Whoa. But you know, you know why that's possible? Because the people that supported it would rather live with that cognitive dissonance than face up to the truth. Yeah. I guess it's also just, it's harder because we have such a psychological investment in America, you know, in our national, we're Americans, you know, like that is who we are and, and, and it's like, no, you're a human being. You have to, you have to see past that. But when you meet Nice people from other countries and you're like, poor fuck though, he's Canadian, be American. You know, people think like that. You know, you meet someone in Norway, man, poor guy born in Norway and shit.

Speaker 2:          00:28:23       What a great time. You know, we have a very distinct and intense form of nationalism because we're such a war culture. I mean, we don't want to think of ourselves as that. I would like to think of ourselves as educated, enlightened people, but as a collective, if we really are accepting the fact that we move as a group, Dan, we're doing some shitty things. You know what though? No one I don't think anyone is thinking about. Honestly. Even that's the thing. They're not even looking at everybody who's looking at it like you are, you know, with an honest. I can see through all that and it's the result. It's the result of people not even think is as soon as you think on that level, you want to change it and really that's, that's what, that's what this, this movement that, that we think of ourselves right now is a part of the, the level Lucian.

Speaker 2:          00:29:04       That's really our objective. Do you think that in the past they were able to get things off much easier so they have this sort of pattern of behavior and the way they do business as far as how we go to war, like the Gulf of Tonkin type shit where they could get away with stuff like that in the past. But today with the, like the sort of the same group are basically in charge. I mean they've evolved somewhat, but I mean there's photos of Rumsfeld, shaking hands with Saddam was saying, you know what I mean, a long time ago when it was the Reagan administration, is that what it was from? It was during the Iran, Iraq war. We're supporting Iran. Jesus fucking Christ. I mean, we, we, excuse me. You know

Speaker 4:          00:29:42       what I gotta I gotTa stop myself there. See, that's how fucked up this is. This is how ingrained it is in the paradigm. And you know, even when I'm talking about the worst fucking shit that government does, the most offensive shit I and I, I, I, you know, I, I cuss on my show and I get shit for it, for my audience sometimes, but I sat there all silly. I'm going to, I'm going to have, I'm going to have a curse jars. I'm going to put a curse jar. And every time, every time I use status, collectivist language, every time I say to refer to myself as part of the evil federal government that committed these crimes, I'm going to punish myself by putting a quarter in the real curse. Sounds like something John Heifer do the ladder at the top of the ladder. It really is a bunch of old white dudes with war money.

Speaker 4:          00:30:24       I mean, that's really what it is. Like when you look at the people that run Halliburton, you look at Dick Cheney and look at, you know, this old white dudes with war money. I mean they're in the business of war. Really the percentage of the income that, how Burton per, how much they profit off of war. That's a staggering number. As disgusting as that warm money is for Halliburton, what it's really about as the bankster money, it's about the money that goes through the financial system that flows faster for war. But, but you know what this I have, I. let me, let me tell you my, my long view perspective here because I'm much more optimistic and I, you know, when you understand government to be pathological behavior, it's our inner. Whenever you say we need government for something, you're saying we can't solve this peacefully.

Speaker 4:          00:31:07       We need to somehow as the majority impose our will on the minority or we need to take money from people by force because they're not charitable enough or you know, they don't care about their own defense and for whatever it is, we can't do it peacefully. We know we need, we need force, we need, we need coercion and it really comes out of the monkey brain. It comes out of that. When we evolved in the state of nature, it was in our best interest that whoever was the biggest, you know, whoever could pick up the biggest rock was in charge and you go along to get along. Otherwise you don't eat tonight. And we're evolving past that. And as we just, as we develop greater technological dominance over our environment, as we are better able to process information, all of these things are leading to the evolution towards a stateless society.

Speaker 4:          00:31:51       We are evolving past this phase of statism and like you were saying about what they get away with in war to answer your question, you know, it, they get away with less. It's harder to come up with an excuse. I mean look at now and it's really sad to see that we're marching toward Iran. But I've made the prediction for awhile now that we'd see boots on the ground in Syria first because it's much better propaganda to have a humanitarian war where we can save a bunch of people from an evil dictator than, well, it's the clash of nations and we're trying to keep Iran from arming themselves and that, that propaganda is kind of wearing thin. But it's scary. And I will see they might get away with that. They might get a war in Iran and it's all. Absolutely. I mean it, it. But, but it's in the 21st century with the historical perspective that we have. Is Warren just not fucking embarrassing at this point. It should be, you know, it's fascinating me. Is this thing that's going

Speaker 5:          00:32:40       on in Pakistan, if that isn't racist, I don't know. What is this flying of drones that shoot missiles and blow up citizen. It's cowardly. Obama's a fucking murderer. It's ridiculous. The idea that we just accepted. I look, I believe you that there's some bad Taliban guys out there that want to commit terrible things and we need to get to them, but you need to be a little bit more accurate bitch. You imagine if they were using those things in Germany or you know, or Japan or anywhere that we're allies with and you know, and it caused this kind of damage. But the fact that it's happening in Pakistan, like, oh, it's brown people on the planet. Yeah. What do they doing? They love their. Lost a donkey, you know? Yeah, yeah. I mean, these poor folks, they're looking at them like they're, you know, they're living a shit life anyway.

Speaker 5:          00:33:24       Well, you know, it's one of the things that they have done recently in, uh, with the Taliban. They've said that they're going to stop administering polio vaccines if they don't stop the drone strikes because the ptsd that they are causing in the population is worse than having fucking polio. I mean, how citizens. But I got a quote here. This is Anwar Allah, lucky the New Mexico born a man that was killed in Yemen by a drone strike by, by order, by Obama. His 16 year old son was also murdered. Uh, the same way a week later you probably heard that story of Abdul Ramond all lucky and he was, he was made out to be the great propagandist for al Qaeda. This is, this is the quote from him. Our position needs to be reiterated and needs to be very clear. The fact that the US has administered that death and homicide of over 1 million civilians in Iraq. The fact that the United States is supporting the deaths of killing of thousands of Palestinians does not justify the killing of one US civilian in New York City or Washington DC. And the deaths of 6,000 civilians in New York and Washington DC does not justify the death of one civilian and Afghanistan.

Speaker 5:          00:34:29       That doesn't sound like a terrorist. It sounds like the guys making sense. No Shit. That's why I'm kind of afraid to be in this line of work myself. Yeah. It's creepy line of work when they can just label you, you know? I mean, no one wants to look at it from this side that perhaps the United States has done some heinous things. There's a reason why these people want to do something to us and we go us to, to the citizens of this great nation. You know what? In a way, they're smarter than us because our reaction culturally is dehumanization. It's, it's an implicit racism for us. They're smarter than they want it. When they actually come at it strategically, like they want to change our behavior, they want us to stop bombing them. You know? And maybe they're not good. I'm not endorsing terrorism obviously. But if anything, their anger is much more aware and directed at the US government. Well, my whole positions that were not innocent, you know, the, the United States government, we, it, whatever's over there, we're not as innocent. It's that simple. So if we're not innocent, we have to take some sort of responsibility where they have to take some sort of responsibility for the repercussions. If you're doing that's fucked up and

Speaker 4:          00:35:38       people are dying, you got to know that you've, you've done something terrible and you need to make amends, you know, you need to fix this whole thing. Like you can't just to get out of there now. He can't just get out of there and leave it behind some fucking crazy civil war. Well that's the denial that America is in and if I may, the next part of my story was coming back from Iraq and in trouble with this, trying to go back to get a purple heart. And when I got out of the Marines I had been as a sergeant who spoke Arabic, was civil affairs experience. Pissed off because I was managing a barracks and mowing lawns for most of the year. And I got out and I was disgruntled. It was like the day after I got a medal for heroism under fire and all the other crap that I got cited for when I was in Fallujah.

Speaker 4:          00:36:20       That took three years to process. They busted me down from sergeant corporal and I got out and I was in my, you know, the exploration of my. Do they do that from bringing the pistol back? Oh, because if it got through the system and got back to NCI and Yada Yada, Yada. So I got in trouble for that. So you never got that pistol back? No, I know. I know. And, but I did get to fire it a couple of times. Pistol. Well an official gift from the regime or something like that. But it was the coolest orical piece I got. I got plenty of guns now. But this is an important thing about who is going to be on the front lines of this revolution right now. They were facing who was going to help us evolve past this status paradigm. Who's going to help us push past and see past the collapse of government because it's not going to be the people that the system treats well and this whole thing is set up.

Speaker 4:          00:37:09       You have the propagandizing class, you know, you, you, you have the dependent class, you have the enforcement class and the law enforcement in the military and you have people that are bought into the system as a whole, you know, whole variety of levels in a way. That's how they get away with is they make everybody think they're, they're benefiting from it. And they have people you know. And it's like if capitalism, a true free market, unnatural society where people have property rights is like a rough fabric when you, when you introduced the Federal Reserve and you have this thing that can create money out of thin air, it's like pulling it up and create an unnatural spike and concentration of wealth and power. And we have this illusion of capitalism. Like we can own property and we can trade, but it's this whole spike where everybody is, you know, kind of picked up along with it.

