Speaker 1:          00:00:01       Three. Two we need like a digital counter. Three, two,
Speaker 4:          00:17:00       Correct. You know, that's a problem in psychiatry is there are no real biological markers. They're trying to use a radiographic studies like Spec Scans, Mris, pet scans, and what have you as rationale for starting people on medication. But there's absolutely, you know, in the biomarker or the biomarker panel that we have, there's a direct correlation between someone having had a head trauma re regardless of it was mild or a blast trauma like Andrew had or a slip and fall or someone coming up and hitting you behind the headboard, mma or boxers or Muay tight and there's absolutely zero that they use to regulate what they're doing. It says, okay, today's Thursday, let's try this drug, or this is Friday or else this month we're giving you this Satchel of meds. As many of the vets have come up and told me, depending upon the day of the week dictated what groupings of medications they were given what, but let's break it down for people.

Speaker 4:          00:17:57       What do you feel is the underlying cause of all this? It's related to Tbi. Okay, great question. And the answer is number one from the head trauma, it elicits chemical changes in the brain that we call inflammation. And this inflammation leads to disruption of chemical processes. It's like, you know, the old alkaline batteries or the car batteries where we used to put distilled water into it. Well, if you put coca cola in it, it totally changes the ability of electrons to be conducted just like in the brain. So the chemistry of the brain is altered by the inflammation and it starts shutting down systems so that the nerves in left side of the brain can't talk to the right side, or the frontal lobe of the brain can talk to the temporal lobe of the brain. So you have disruption of, um, executive function, which is your ability to make correct decisions about things right and wrong.

Speaker 4:          00:18:48       Why do we have over a million veterans incarcerated? That's because they can't make the right correct decisions about how to respond to an innocuous, uh, you know, approach by an individual that they don't know and they respond by, uh, assault or with physical or anger or a yelling at people and that leads him into jail or into incarceration. So anyway, the inflammation leads to hormonal deficiencies in the brain. And what we've found is that there's, since 1986, Dr Baylew out of Paris found that we have enzyme systems that take cholesterol and convert it into hormones that actuate and regulate our brain function from schizophrenia to als, to Parkinson's disease, to bipolar, to all the different disorders. There was a recent article that I sent out to our journal Group and Andrew's in it, and it was about management event, thigh of neuroinflammation, brain inflammation to treat psychiatric diseases.

Speaker 4:          00:19:48       And in the past six months, we've been starting to see a lot of articles talking specifically about inflammation, creating all these things that we're trying to treat with medications that are ineffective. Uh, last month, uh, had a class in, uh, Arizona and I presented a group of articles and one of the key articles was the fact that they found people with atypical depression. That's depression that doesn't respond to traditional medication. So you're on whole bunch 13 medications and you're still depressed. So they found in 61% of these people who were still depressed with atypical depression, that they had growth hormone deficiency. And then when they replaced the growth hormone within one to two months, their depression disappeared. And they had some beneficial side effects. They slept better, they had more mental energy, they were socially more adaptable, and they're reactive scores that creates, you know, an assault situation.

Speaker 4:          00:20:46       They were calm, someone said booted them and they said, Oh, who do? As opposed to getting into their face. So it's a very clear, and it's becoming clearer and clearer in the literature around the world. Now we've been doing this since 2004 and the inflammation is really the problem. So unfortunately there is no specific medication. They talk about use of aspirin and Ibuprofen in things like Alzheimer's disease, which is an inflammatory disease. I know I shared it with you in the past that if a football player has one major concussion on the field, he's 19 times at greater risk of developing Alzheimer's between 30 and 49 years of age because it's an inflammatory illness. It's not, you know, genetics by itself. There are people with genetic predisposition to it because they generate this thing called Beta amyloid. But trauma, any kind of trauma to the head can elicit increased production of Beta amyloid and lead to these problems.

Speaker 4:          00:21:46       So the, the traumatic brain injury causes this inflammation. And there's a, there's a process that goes on when the brain is dealing with this inflammation. And that's what's disrupting all of these normal functions. Executive functions. Absolutely. And you know, we have different, um, relay centers in our brain that regulate whether or not you're going to be calm or you going to be hyper, have anxiety. One of the products that we use 100% natural, about 80% of our treatment is all natural products with 10 to 20% being pharmaceutical products, but no psychotropic or brain altering medications slugging. What, what kind of products do you use? Training alone, pregnenolone. There's 6,160 articles talking about its beneficial effect on anxiety. So we have people who come in on a multitude of anxiety medications within three months. They're off all their medication. They're alone. Pregnenolone is called the mother of all hormones.

Speaker 4:          00:22:41       It's the precursor. It comes right off of cholesterol. The first comp, uh, changed cholesterol becomes pregnenolone, which goes down one pathway to become testosterone and then down another pathway to become cortisol, which is the anti inflammatory product. So we get benefits of, you know, antiinflammatory effect by having pregnenolone. But if you're on any kind of stat and drug that decreases the availability of cholesterol in the brain or the body, you lose. I have heard nothing but bad things about staten drugs. Don't get me going. I want to get you going because there's so many people that have this very meager understanding of cholesterol and a understanding of like what is the difference between having a, you know, high cholesterol, low cholesterol, what, you know, what is, what's healthy, what's not healthy? What's your cholesterol mark? My cholesterol is 350. My ldl is, and it should be according to the present standards, less than 200.

Speaker 4:          00:23:38       My ldl cholesterol is two 73 my uh, which is the ldl is the lousy kind and Hdl, which is the happy to have the healthy one is like 23 to 40. How did the numbers change over time? They're all saying no for the state, for the standard. Oh, of where they used to measure from the 70s till now in my infancy in medicine, uh, back in the late eighties, it was 349 and then went to 329 then two 79 then to 49 to 29 in less than 200 now. And we would expect our nutrition is changing the quality of foods that we eat. And the fact that we have since 1986 staten drugs, which are $36 billion a year, we would anticipate that the rate of cardiovascular disease should be diving, getting lower. It's not, it's going up. So what does it tell us? It tells us like a Smithkline Beecham us study that was done.

Speaker 4:          00:24:31       50% of all heart attacks happen in people with normal or low levels of cholesterol. So the question is then what's causing it? Well, it turns out inflammation. You start looking at inflammatory chemistry. We, there's a group of um, inflammatory markers that we have a which sdl, dl, homocysteine LP, little a. So a whole group of them that can predict better than cholesterol, your risk for heart disease. And what we do in the offices, we have a biomarker panel for cardiac inflammation. Person comes in, they've got a history of elevated cholesterol. One of my closest buddies, Keith, uh, x fighter pilot, his clusteral one 41 50 my cholesterol 303 50 we went and had an ultra fast ct scan that looks at the heart and his calcium score was greater than 2000 which if it's a hundred or less as good grade than 400 horrible. Mine was zero and I had cholesterol that was three times his.

Speaker 4:          00:25:28       So after he had his open heart surgery and his New v arteries put in, we went and had this panel called an lp six my cholesterol sky high, but all these inflammatory markers, low and keith situation, his inflammatory markers were sky high even though his cholesterol was very low. Yeah, there's a simplistic understanding of what what's causing these issues and people peg it on cholesterol and you hear it so often, so many times, and you're like, boy, how do I even begin having this conversation with people? I would like to, if anybody's listening and you want to really get into this, a doctor Rhonda Patrick went pretty deep on it in the last podcast that we did and the newly found connections between refined sugars and refined carbohydrates and saturated fats. The combination of the two seems to be a gigantic issue where a saturated fats on their own are not an issue. The small particle versus large particle Ldl, small particles are the dangerous ones, right? Stld is dangerous, but it's at greater risk when you have an enzyme called a pla two in the blood, which causes the stld. L does small density Ldl to fracture into two parts that cause the immune system to be called in and once the immune system

Speaker 5:          00:26:44       gets there, it creates all this inflammation and there's something that happens with ldl. When you combine it with a refined sugars that's extremely bad for you. It makes it worse. Yeah, extremely bad sugars, corn syrup, things that people are drinking sodas and cake and bullshit, all the refined bread and we products. All that stuff is fucking terrible for you. Well, it's just adding more inflammation on top of it. And it's being conflated with saturated fats and with cholesterol. And it's, it's not what the issue is. Correct. So think about if you have a brain injury and you're eating like that, you know what I mean? Just like your [inaudible] on a fire and having no idea about it. Like that's the issue that we face a lot of times. So there's, there's the inflammation response and then there's also the, the issues with the pituitary gland and the hormonal deficiencies.

Speaker 5:          00:27:36       Well, it's, it's not only the two Terry Glen, which generates the, uh, signals to the thyroid gland, testicles at the ovaries to make their hormones are the adrenal glands, but it's the fact that the, um, we call them glial cells, which are astrocytes and neuro cells, which generate their own hormones. And it turns out that the hormones produced a below the neck have a genomic effect on the body, which is slow. It means it turns on genetic switches to do things. But the hormones produced in the brain called the neuro steroids. They have the immediate effect because they influence the membranes of neurons to do things. So our ability to be rational because you're taking different parts of the brain and they're all working in unison as opposed to having this section that deals with, you know how you respond to someone talking in a high voice to you or pointing a gun at you or pointing at Pencil at you so you lose that integration of the different parts of the brain.

Speaker 5:          00:28:35       That's what each of the lobes is responsible for is how we integrate signals coming in that the whole thing is so fascinating because it seems like there's so much to understand and for, for the average person that goes to your general practitioner and the General Practitioner says, Oh, I've got high cholesterol. You need to be on a stat and drug, and then you find out about all this. People get extremely angry. I've talked to so many people that were on staten drugs and suffered all sorts of health consequences because of that and then realize, oh, what about cutting all the fucking sugar out of my diet? What about doing, doing all this stuff that has been shown in all these more recent studies to have a significant effect? Absolutely. It's unfortunate that when science comes out and it's really good science that it takes another 20 to 30 years before it gets into the medical community. And there's no obligation for your general practitioner to be up on this dot. No, absolutely not. Because it's status quo and it's changing constantly. Yes, and that's what has me and frustrated state all the time is because of the science that's been sitting on the bench. What I do, what I've been told I do is called

Speaker 4:          00:29:42       translational medicine, where I take the research that's on the bench that's already been done and I look at it in large groups and then applied into the clinical practice. And that's how we've had our success is we've got us, we've taken the stuff that's sitting there ready to be used that's not being used because we're in the paradigm of don't do anything for 30 years. I mean every generation a little bit, something better happens, but it takes 30 years.

Speaker 2:          00:30:09       It's incredibly frustrating. So Andrew, please go back to how you found out about mark and what changes you made and what happened.

Speaker 3:          00:30:18       [inaudible] yeah. Well, um, cause I've only known you since you've been happy. It's been a good ride, but you know, if you lower cholesterol mark, it ruins all the hormonal production. Correct. Right. And, uh, so that's not understood. But so, uh, I mark found me, I looked into everything. I was just saying one over, listen to listen to that research, did my own research, found out about the neuroendocrine system and ran it by my own people. And so I went and saw an endocrinologist. I was still in the army at this time. And I was saying, Hey, do you think that any of these problems were based off of the, you know, hundreds or thousands of explosions that weave around on a, on a routine basis? He's like, no, I don't. I don't think so. And, uh, he was like a, I was like, well, can we test and replace any hormones that I'm missing?

Speaker 3:          00:31:10       Because, I mean at that time we had done some tests and I knew that I was deficient in things and he's like, ah, I'm going to test you for anabolic steroids because I think the reason you're having these problems is you're abusing anabolic steroids and if you pass the test and you prove that you're not on anabolic steroids, which will take about four to six weeks, then we'll talk about it. Replacement Treatment Program. And I was fucking irate man. Like I told him that he accused, you accuse me of being a, going to him because his levels were so low. Yeah. He's like, he's like, I've never seen levels this low unless somebody was abusing anabolic steroids. And so you must be abusing antibiotics, steroids and, and you're here essentially trying to score drugs.

Speaker 2:          00:31:53       Well, if people don't understand what you're saying, um, when you take antibiotics, steroids, your natural testosterone shuts down. A lot of times when people get off steroids, then they'll go to a doctor, they're natural testosterone to shut down and they'll go to a doctor to try to get hormone replacement therapy because the only way a doctor is going to give you hormone replacement therapies if your levels are low. And so one of the reasons for having low levels is that you've, you've put all this exotic in his shit in there and it's, you know, your, your whole body's all confused.

Speaker 3:          00:32:23       Yeah. So thanks for clarifying that mark. Like I a what? Who was it like, hey man, you think I'm coming in here putting all this personal stuff on you because I like, I like to make things up just cause you want steroids cause I want steroid wants, my life's a disaster and I think this is funny and I worry that he would you, you know what I mean? It happened, it happened twice. Joe, twice back to back. You understand that there's other issues that cause your body to have low testosterone. That's what's crazy. So this is what puts to push us in this direction, man. So I was like, well, I sat at that point, I started reading some of the literature and I was like, it's not even black. I mean, it's not even in the gray area. This is black and white. There's like blast trauma can through inflammation affect the hypothalamus and the pituitary gland and downregulate all these hormones.

Speaker 3:          00:33:08       And so anyways, so I finally, I link up with mark in southern California. Um, we run the labs, but we don't get the results back for like two or three weeks. But he gives me a, what we call it, provocative testosterone injection, just to see how I react. And like up until this point, man, like my life has just been a complete disaster. I mean, I've put a gun in my mouth several times and actually had thought about like, if this is how life is going to continue and I continue to have this type of negative effect on my family, I think I'll just end it, man. You know what I mean? And, um, and I got to the point where I was just like, I can't do it for my family alone. And just kept driving. So found mark, mark found me, got the information and actually is there to see him in his office in Encino.

Speaker 3:          00:33:55       Get that injection. I'm driving south on the four oh five I'm in bumper to bumper traffic like two hours later. And usually man like me and traffic just didn't mix. Um, and to say that I had a hostile temper was like the understatement of the year. And I realized like, Hey, I'm all of a sudden I'm cool, I'm calm, I'm collected and not having any issues. I'm like, Whoa, I f I don't feel any anxiety. Like for the last year and a half, I like it had this fist like coming out of my stomach man, like at all times 24, seven. It was horrible. And it was gone. And I was like, if this is any taste of what could be, this is incredible. And I call my wife and we have a conversation for like an hour. And that's the first time that we had talked more than two minutes in like a year.

Speaker 3:          00:34:39       And I didn't just say yes or no because I just wasn't capable of, of anything else at that time. And um, so fast forward for a few weeks from there, you know, he gets the report back and he's like, hey man, you're deficient in everything. You know, but we can, we can fix this. And so we get on anti-inflammatory protocol and we replaced, we replaced the and replenish the hormones that are deficient or insufficient and life slowly and surely started to turn back on little by little by little, by little to where I'm at today, I'm off all medication. Uh, you know, I'm clean, I'm sober, uh, performing as good, if not better than my pre-injury status. We startup organization called the Warrior Angels Foundation to deliver this same level of healing to other people who are in the exact same predicament and situation. And now I'm excited to say, man, three years later we've delivered to over 200 people with incredible results.

Speaker 3:          00:35:36       So it meets with the scientific criteria we can predict, we can measure and we can replicate. And now it's not just my story, it's not just Mac os and he's Tori. Mark's done this like 1400 times. We had done it 200 times through our organization where somebody, like we did a three year Tbi study cohort, we took 58 of a, of those 200 people, just the ones that are committed, attempted suicide, 58 individuals attempted suicide. We had, we showed that within three months they, um, what was it? 91% had a 50% improvement. Correct. So almost everybody had at least a 50%. This isn't their subjective analysis improvement. After one year 90, uh, let's see, 73% of that population was off all medication. This is unheard of. This is unheard of. And this is people that wanted, that actually attempted to take their own life, I think a minimum of two times in our study.

Speaker 3:          00:36:31       So we're, we're, we're producing results that have never been annotated before. You know what I mean? And it's through the scientific model that marks come up with this protocols. It's unbelievable. That's on our website. Uh, we got, we got all that research on our website to check Waf, tbi.org, but I got marks Predator as well. I got mark's presentation. We got an incredible media page, a library of all this information that didn't exist three years ago. It's now all in one location and all the stuff that I'm saying here, please don't take my word for word. You guys go out and fact check it. And I can't tell you how many guys have come up to me after shows that have either been in contact with you or have been in contact with other doctors because of the information that you've given out. And it was so thankful and so, and they're like, you changing peoples future, you're literally giving them an option that they didn't know existed. They thought they thought their world was black and then you open the door and like, oh, you can be okay.

Speaker 4:          00:37:27       When Andrew first came to be, uh, Andrew wasn't the first veteran that I had seen. The first guy that I took care of was in 2009 he was active greenbrae and in North Carolina at Bragg and his wife, I knew she was emergency room doc and she called me up and told me about her husband getting ready to get a less than honorable discharge after four or five tours of duty in Afghanistan. And uh, she explained it to me. I said, let me send you a kit. So I sent a kid out and we got the results back. I told her what to do, she put them on to treatment. He lasted another two sign up towards or two towards the duty and was doing phenomenally well. But the key that drives me on this is guys getting back into life, going to pepperdine business school. Now a guy who was, um, attempted school five times and the fifth time he was on our protocol for two or three months, he ends up getting honors and now he wants to go back and give back to the va for them not having treated him optimally by going into sociology to try and help them to understand what he had gone through with us. We have guys who are in Wall Street now and

Speaker 2:          00:38:36       all over, I mean I'm a Harvard business school. I mean just all kinds of very prestigious thing. They've got their family back there re calling their parents going on for a couple of years. We didn't give them a self help book. We didn't give him any snow, Churchill teachings, anything else, just fix what was deficient. Right. And they were able to come back and make their own their own choices. They get their life back on track is such a giant factor in this whole equation that people need to understand. It's not just about motivational speeches. It's not about memes that you put on your instagram page to make you feel better about life. It's literally about the chemical balance in your physical vehicle. And if it's off, you're going to be off. And if it's off because of diet, if it's off because of injury, whatever the factors are, you've got to figure out what those factors are and you've got to correct them. You got to correct them before self-help, before all that bullshit, correct your diet, correct. Whatever is deficient in your hormone levels, whatever is deficient in your nutrient levels. It's so God damn it.

Speaker 4:          00:39:36       Absolutely. And I don't mean to, you know, focus only on the neuro steroid and the inflammation, as you just said, physical fitness and nutrition. You know, my daughter Alison is a natural pathic and she works with us with the warrior Angel Foundation to help with getting the gut brain in sync so that you don't have the glutens, you don't have all the junk we talked about because it, they generate the poor nutrition, generates more inflammation that passes through the gut into the blood, into the brain. And they've actually, there was a study that came out of, it was on the bbcs last week where they were talking about, oh, we finally figured out that if you have peripheral inflammation like diseases like Lupus or rheumatoid arthritis, that the inflammation goes into the brain and can cause depression. Well, it's been in the literature for 30 years. They finally are starting to understand that things that happened on the periphery, you can affect our brain's functioning. So nutrition very important

