Speaker 1:          00:00:00       Hmm,
Speaker 3:          00:12:51       out of five, six years. So, so this one is long, but it also, this one required more government stimulus than any other, you know, recovery. And I don't think we actually recovered. I think the government simply injected a bunch of cheap money into the economy and exacerbated the real problems. But you know, reflated the bubbles in the stock market and the housing market. But you know, everybody talks about how the economy is doing so great, but it's really not much better than it was under Obama. If it's any better at all. And we GDP growth for trump's first year in office. Last year was two point three percent, I mean, nothing great. First quarter was two percent, this quarter might be a better than three, maybe, maybe not, but I mean, I think it's going to be the second quarter will probably be the best quarter of the year. Maybe we're probably going to go downhill, but you know, last year was I think the weakest year of job growth since 2011.

Speaker 3:          00:13:42       So people want to talk about how great everything is, but it's more a function of people are hoping things are going to turn around. There's a lot of optimism now that things are going to get better. But I think that the people who are so optimistic, a lot of them are going to be disappointed because we're, we're going to end up with is a weaker economy. The only thing that's really strengthening is inflation. Inflation is going to pick up. So the cost of living is really going to be rising as the economy is falling into recession. So we get stagflation, uh, which is probably the worst possible economic scenario. And you know, I think that the, uh, the left and even the Fed is going to be able to blame it on trump because trump has come in and claim credit for this great economy that he believes we have and he's claimed credit for the record in the stock market, but he's basically put his name on a bubble and when it pops, you know, it's going to be hard for him to try to blame the next recession on Obama when he's already said, hey, this is my economy.

Speaker 3:          00:14:39       I created it. And so people are going to be disappointed and they're going to vote, I think for a, another person whose promises change and unfortunately that's going to come from the left. So you think this is going to

Speaker 2:          00:14:52       happen in the next three years? Well, yeah, I mean, one is what is the bubble? What do you think is going to cause it to crash commercial real estate? Is it credit? What is it? Well, I mean, commercial real estate is expensive being it's in a bubble, but that, you know, that's not going to cause it. I mean going gonna come out of the bubble. I think we would already be in a pretty severe recession now, had it not been for trump winning had hillary won. I think we'd already be there. But I think that makes you say that. Well, we got a lot of false optimism as a result of, of trump. And we did get the tax cuts and the tax cuts, you know, just like any kind of artificial drug, you know, you can inject yourself and, and get a little bit of a phony high.

Speaker 2:          00:15:32       Because remember the tax cuts were paid for with debt. We didn't shrink government, right? If you, if you make government smaller, that's great. Then you can cut taxes because now government doesn't need as much money and you can, you know, you can relieve the taxpayer of the burden of paying for it and that's great. But if you just cut taxes but you don't cut government spending. And of course what the trump administration did was, was even worse, they increased government spending. We increased welfare spending, we increased warfare spending. Uh, and so spending is more, but they reduced their tax revenue so the deficits are just exploding out of control and those deficits are going to do more damage to the economy. Then the tax cuts were benefit, except you get the benefit first, maybe for the first year and then you start to deal with the pain after that.

Speaker 2:          00:16:19       And so I think that's going to set in a, you know, long before the end of trump's term. So you think that this is what is causing the economy to be in a really, at least a two to look like. It's in a really healthy state right now. Well, some of the numbers, right? Some of the numbers look better, but beneath the surface, again, it's not improving, just like, just like it wasn't improving under Obama. That's what laid the foundation for trump's victory was because obama and everybody kept talking about how great the recovery was, but the average voter knew that that was all a bunch of nonsense because he wasn't living in that reality. So if you were the financial advisor to the president, what would you tell him? How would you, what would you do to try to keep the economy moving in the same direction? Is it possible to ward off any kind of a crash?

Speaker 2:          00:17:09       Right. And we don't want to keep it moving in the same direction. I mean it's in the same direction it was going in before trump came in and that's towards the edge of a cliff. I mean, so what we do, we need is an about face and trump is not doing that. I mean about face. So like for the people that are listening to this that don't understand, like they're saying, okay, your comedy is supposed to be doing well. A black unemployment is the lowest it's ever been on. Unemployment is down. All these jobs have been created. Yeah. Well remember again, the unemployment rate is mainly down because so many people that are unemployed are no longer counted as part of the statistics. So you know that that's. If you look at the labor force participation rate near record,

Speaker 3:          00:17:50       low mean certainly for men it's the lowest and spending in the history of the republic, but. And look at the workers to population. So fewer and fewer people are actually working and more and more of the people who aren't working are not included in the unemployment statistics. So if you backed all those people in right, able bodied people who don't have jobs but should be working, then the unemployment rate is much, much higher so that that doesn't really paint a good picture. And then, you know, you look at the fact that so many Americans are unqualified, right? There's a lot of jobs out there that go unfilled because American workers aren't qualified to fill those positions because, you know, we, we take a lot of our kids and we keep them in high school until they're 18, 19 years old. Many of these kids should drop out of high school and learn a trade.

Speaker 3:          00:18:38       I mean, a lot of people, you know, they don't have the aptitude for academics. There's no point in just being in high school. A lot of times they're glorified daycare centers, but they should be out learning trades. And of course we make it harder for employers to train people on the job with occupational licensing laws and minimum wage laws. So we destroy a lot of the opportunities for younger kids to get skills and then the ones that we send the college, they waste their time, you know, majoring in liberal arts. So they spend four or five, six years in college learning nothing of any real value in the market. They accumulate a massive amount of debt in the process. And so, you know, we have a labor force that's highly educated and that they've got a bunch of degrees, maybe they didn't learn anything but they got a piece of paper, but then what they have is a lot of debt.

Speaker 3:          00:19:23       And so we don't have a lot of people qualified to do a lot of the things that need to be done. So what would you tell the president if you were, if you said, look, Peter Schiff, uh, I don't know shit about the economy. You obviously do help me out. How do I stop this bubble? Well, first of all, you can't stop it. You got to let it deflate. But the question is how does it deflate? And then what do you propose as the solution? See, the problem that trump already made was when he first got elected, he should not have changed his perspective. He shouldn't have said, hey, everything is great right now. He's planning on running at his next campaign is keep America great. Right? When trump ran for office, he said America was an economic wasteland, that it was a disaster. He's been president for a little over a year.

Speaker 3:          00:20:07       All of a sudden it's the greatest economy in the history of the country, which is not even close to being true, but if he's gonna, try to run for reelection on, I've already made America great and now we just want to keep it great. That's not going to resonate. So what he should have done from day one is leveled with the American public. Again, this is how bad the problem is and this is what it's gonna take to solve it because there's a lot of, you know, I'm a pain short term pain that we're going to need to go through in order to come to the other side in order to get rid of all these problems. Right now, look at the trait, right? Trump is making a big deal about the trade deficits and he's launching, terrorist is going to have this trade that he's convinced that we could win.

Speaker 3:          00:20:49       And this is very misguided. The trade deficits are not the problem. They are the consequence of the problem. The problem is that we have bad monetary policy, bad fiscal policy, too much regulation. That's why we have a trade deficit because American industry is not productive enough. We don't save enough. We don't make the right capital investment. That's because interest rates have been kept too low. You know, our tax code, uh, favors debt, you know, and we have a lot of regulations that make American businesses less competitive. And so the result is that we import a lot of products rather than making them ourselves. And it's not because the other countries aren't fair or because they have terrorists. Terrorists are very low around the world. I mean, there's tariffs are not the problem. And so if trump is simply going to erect tariffs, all that's going to do is tax the American public because the American public has to pay the terrorists whenever they buy imported products.

Speaker 3:          00:21:50       So this is not going to, I'm going to turn the economy around, but you know, trump is right. He points out that, well, you know, at one point in time America ran on terrace, which is true during the 19th century, the government, you know, raised money pro predominately by tariffs, but we didn't have an income tax, you know. And so this is the irony of it, the reason we have an income tax today is because the populist politicians of the day told the American voter, if we can tax the rich with an income tax, then we can get rid of terrorists that the average person is paying. So the average person understood that terrorists cost them money and the politicians said, let's get rid of these tariffs and let's just tax the rich. And the income tax that was originally proposed really was attacks on the very rich.

Speaker 3:          00:22:40       I mean even doctors and lawyers didn't pay it. I mean, you had to be super rich before you pay the tax. And then it was like, you know, one percent to four percent. So it was a small tax and it wasn't taken from your paycheck, right? I mean, first of all, if. Yeah, if you've got a paycheck, he didn't pay the tax, but we didn't have withholding until 1943. That was part of the victory tax to pay for the Second World War. But Americans were told let's tax the rich and you won't have to pay terrorists anymore. Well, it was the minute that you know, the government got the nose under the tent, right? All of a sudden now the income tax effects everybody, right? People pay a lot more in income taxes today than they used to pay and terrorists. But now, now the president wants to bring the towers back on top of the income tax.

Speaker 3:          00:23:25       I mean, if trump wants to repeal the income tax and get rid of it entirely and then have some terrorists, I'd be okay with that. But you can't do that unless you dramatically shrink the size of government, which is the most important thing to trump needs to do. But what he's not doing, he has to make the military smaller. Not Bigger. I mean, he's talking about a space force. I mean we can't even afford the air force navy marines that we got now. We will be going to make money for space force, but we have to cut everything. We got to cut entitlements, right? He's think we should be the first people to have a space for us. What are the Russians come up with a space for us and no one's going to come out of luck. What are, what are you going? What did he do?

Speaker 3:          00:24:00       Is space for it so we can. Who are going to fight in space? Maybe we fight the Russians is space for. Why would we fight them in space? Their doubt earth? Well, maybe they want to fight in space. It's more novel. Yeah. I don't think. I don't think anybody wants to fight, right? Want to be protected, right? Yeah. I, I think we got that covered. I think we've got a pretty good sized military. I don't think anyone's going to mess with us. The problem is our economy. So when you say let the bubble crash, like what, what would that entail? Well, basically the problem, the basic problems with the US economy, and this is because of monetary policy, fiscal policy is we don't save anything, right? And because we don't save enough, we don't invest enough. We don't produce enough. We don't make enough real things, right?

Speaker 3:          00:24:40       I mean when trump wants to say that foreigners are taking advantage of us by running these huge trade surpluses, he's got it backwards. We're taking advantage of them. They like the Chinese are sending us all these products that they worked hard to produce and they had to use real resources, land, labor capital to make these products and they send them here and what do we give them? We give them ious, we give him a piece of paper and they buy our treasury bonds. So in the short run, Americans are just putting everything on a credit card, right? We're living a higher standard of living because we can consume what we didn't make. But when you do that, you become poorer. See, America used to be the richest creditor nation in the world, right? The world owed us a lot of money. Today we're the world's biggest debtor nation.

Speaker 3:          00:25:23       How did we go from being the biggest creditor to the biggest debtor? It was trade deficits. Every year we keep borrowing money to consume and what this has done is this has turned to rich Davidson into a poor nation, but we just don't live like a coordination yet because we're still borrowing. Yeah, and you can be a rich individual yet maintain a rich lifestyle on debt, but eventually you know that's going to catch up with you and then your lifestyle is going to come crashing down and this is what's going to happen, but what we should do instead of having a crisis imposed on us globally with a crisis and the dollar and a crisis and our bond market, we should do it ourselves. We should set these forces in motion ourselves. So what we have to do is shrink government, right? We have to cut a lot of government spending, get rid a lot of government agencies and departments to get government out of the way so we can lower taxes legitimately.

Speaker 3:          00:26:15       And then we have to allow the Federal Reserve to let the market set interest rates. Interest rates have to be much higher than they are now. Right? That because that's going to encourage people to save. If interest rates are high, you'll put your money in the bank to earn that high rate of interest. When money goes into a bank, it can get loaned out to businesses. Right now, all that money is going to government or it's in the corporate bond market where it's not growing the economy or the money is being used to finance stock buy backs. We need money on main street financing, capital formation, uh, entrepreneurship, you know, new businesses, new jobs. So we get higher interest rates will get that. And we need people to stop buying things they can't afford. You know, you buy something, if you have the money to pay for it, you don't just put it on a credit card, but if and if credit card interest rates went up and if credit was contracted so that credit card companies were not giving out as much credit, they're giving out a lot of credit now because the government is misdirecting it, but if we slow down our consumption, we increased our savings and investment, then the economy can actually grow, but if interest rates go up, asset prices have to come down.

Speaker 3:          00:27:19       The stock market has to come down a lot. Real estate prices have to come down a lot. Now that means people are going to lose money. They're not going to be happy about that.

Speaker 4:          00:27:26       Yeah. This sounds counterintuitive to everything that I've always heard about how to boost up the economy. The idea would be that spending and people buying things, it's great for the economy. We need more of that. No, that's

Speaker 3:          00:27:36       put the cart before the horse. You can't buy something that doesn't exist. Something has to be produced before it can be consumed. So it's the production that drives the economic trade, not consumption. See, right now we're just consuming what the Chinese produce, right? But, but the consumption doesn't mean anything unless you produce something first. So you drive an economy by creating supply. It's supply that creates demand. If you just try to create demand without the supply, it's just inflation.

Speaker 4:          00:28:03       It's weird too that we keep hearing things about Chinese telecommunications companies like Walway in particular. They're always telling you to not buy their stuff. That wasn't there. There was something about something in the paper today about Walway. It was about, uh, I think another country saying no to these, uh, I guess Walway in particular is the third largest cell phone manufacturer in the world and they have a close tie with the communist government and they believe that there's, there might be some shenanigans going on with them, their electronics.

Speaker 3:          00:28:36       I don't know. I mean, I'm not familiar with that. I mean, I know that the, the, there's, there's, there's constant talk about trying to, Oh, you know, just don't buy a certain product

Speaker 4:          00:28:47       the way they were actually the State Department told people to stop buying them, but they have a national security threat or something or something along the lines of I'm a third party spying the concerns, what does it say here, Australia to band while away from five g rollout amid security concerns, but us had an issue and I think the US issue was slightly different. US was um, who was the State Department that was saying for security concerns to not. Yeah.

Speaker 3:          00:29:15       I don't know. But I, you know, whenever they talk, look, they're talking about these, the, the auto terrorists from and they say it's national security as if somehow my buying a foreign car is somehow jeopardizing. What is the national. I don't know. I mean even the Canadians have called trump out on it. So what do you mean we, you know, we fought as allies in every single war. How are you saying that you have to put tariffs on Canadian?

Speaker 4:          00:29:38       So why is, why is trump doing this? Look again, he's going after

Speaker 3:          00:29:42       the symptom. Trade deficits are the consequences of a problem. Most politicians ignored the trade deficits, right? At least Donald trump is putting them on the spotlight and saying, look, this is a problem. It is a problem, but not for the reason that trump believes in the short run in the here and now the trade deficits benefit America. Because the world is subsidizing our standard of living. We're getting to buy things that we otherwise wouldn't be able to have. I mean, without these trade deficits, we wouldn't have all these consumer goods on all these shelves. I mean, people would not be able to buys them. Prices would be much higher if we had to make stuff ourselves by having the Chinese make it, you know, it's a lot cheaper and plus, you know, it's great for the, our environment because we don't have to pollute our own air because the factories are over there.

Speaker 3:          00:30:26       Uh, but he's so he's right that it's a problem. But in that it's a reflection of the fact that the economy is inefficient and that's what needs to be addressed. It's like, you know, we have cancer, but you just can't put bandaids on the blemishes or something to cover it up. You got to actually get to the source of those blemishes, which is the the Federal Reserve and their bad monetary policy and our government policy or our fiscal policy or regulatory policy. We need to have that type of change and then the trade deficits will go away, but if we simply tried to put tariffs on, it's just going to make our own problems worse. All that's going to do is make prices higher. Is this going to mean that Americans are gonna have to spend more money buying stuff and it also actually undermines a lot of American businesses that export into countries that are retaliating and also a lot of us businesses, a import components and then they assemble the components here, but now those important parts are going to be more expensive and so their net exports are more expensive and so they become less efficient.

Speaker 4:          00:31:27       The people that are supporting trump, that people that are happy with the way things are going have have said that him lowering taxes for corporations encourages growth and encourages it. It gets more jobs and there's more economic activity. Does that make sense? Well look,

Speaker 3:          00:31:44       if we eliminate taxes, yeah, that'd be great. I mean the lower taxes are the better it's going to be, but not if you borrow the money to pay for the tax cuts. So the idea is if the government now has to go into the market and borrow money that it no longer collects and taxes, that's going to have an impact on the economy, that's going to further deplete our savings pool. That's going to put real upward pressure on interest rates and obviously the Fed is trying to counteract that. But you know what they did with the tax code though, they dramatically complicated it. I mean there's a lot of. There's a lot more complexity in the code now than there was before. Not like it wasn't complex before. So initially they talked about simplifying the code. They didn't do that. They, they, they made the, the, the code a lot more complex and they certainly, you know, they lowered, they raised lower taxes for some people, but they raise taxes for other people. Me, depending on what state you're in, there are a of people now that are going to

Speaker 2:          00:32:39       pay higher taxes. What? See what people are doing. Well, people in California are you gotTa, you know, you got a 13 percent income tax in California that's no longer deductible on your state income tax, on your federal income tax. So that's it. That's a new thing. Well, yeah, I mean, up until this year you could deduct your state income tax from your federal income tax. So you did the effective tax rate was, you know, maybe 40 percent less because it was just money you would've sent to Washington. So instead you send it to Sacramento. But basically the state tax rates are almost double now what they were last year, uh, in the, the way it impacts the payer. So there's a big increase in state taxes for individuals. You didn't, you didn't know that? No. Yeah. You know, you gotta you know you're going to move to Puerto Rico with me.

Speaker 2:          00:33:23       I know, but I hear you guys don't have any power. Well, we got power now. Now many months. Did it take? What? Don't I have generator? Yeah, but you're the only one. You're like guards outside making sure nobody steals your water. No, it's not. It's, you know. In fact we were laughing about it, but you know, I was on your show a year ago, right? We talked, we talked a lot about Puerto Rico. It was post trump. Trump. Trump was. Trump had won but it was before Maria, but. And so I was on the show and we were talking about Puerto Rico and we also talked about cryptocurrencies and bitcoin and stuff like that. But since then hundreds and hundreds of crypto guys have moved to Puerto Rico. I met some of my neighbors. Now are these crypto millionaires? They're living on the beach. They, they, they weren't there a year ago. They're there now.

Speaker 2:          00:34:16       They're, they, they, they call it a poor topia. They all want to come there because there's no capital gains tax. But I got to, you know, kind of credit you because I think a lot of these guys didn't know about it until they heard about it on this podcast and they said, wait a minute, there's no taxes down there in Puerto Rico and now they're all there and they moved there just in time for the hurricane. No, they moved after the hurricane. I moved before the hurricane is moving after the hurricane, a better move. Financially, it's probably cheaper land easier now know I can't even tell. Some of the real estate has actually gone up. Um, yeah. And like the real estate that was untouched, you know, I mean my community a weathered the storm pretty well, so maybe it made it more desirable. Really Widens your community.

Speaker 2:          00:35:00       You do so well. Just, I mean it's got, it's, it's, you know, even though I'm on the beach, the elevation is, is very high so we didn't get any flooding and I guess the construction is much better there. You know, the houses are built better so they didn't know. They didn't withstand the damage and the community got up and up and running a lot quicker. So how long were you without power? Oh, there was. Well, officially there was probably no power for a couple months, but I have a, you know, my condo has power just as a big generator and so we had, we had condo power there right away, but the house that I, I ended up buying a house there too, right before the hurricane and I didn't have the generator put in yet so the house didn't have power for months and months, which just exasperate, I

Speaker 3:          00:35:38       had some damage to the house and then the fact that there is no power made it worse because it got very humid in there. But I've since purchased a generator and I've got it all installed and so I'm ready for the next, for the next hurricane. But you know, I, I got those funny, funny they'd before the hurricane. There was a lot of controversy from this podcast from my, um, my, my, uh, my talk about Puerto Rico because I mentioned on, on the show that I had moved some employees to Puerto Rico. I have three single guys that used to live out in southern California and they all moved out to Puerto Rico because I moved my business there. This was in 2013. I moved my asset management company. You're Pacific asset management, moved it to, uh, to Puerto Rico. And so these guys moved out. They're single guys that I mentioned that they were having a good time there.

Speaker 3:          00:36:25       A lot of very beautiful women in Puerto Rico, you know, um, I mentioned I think five Ms Dot Universe has been from Puerto Rico, which is, which is a lot for a small place. And I said that know they have a good time there because the labor force participation rate in Puerto Rico is terrible. I mean hardly anybody has a job, maybe, maybe a third of the people who should be working or working. And that's, you know. And that's, again because of the socialism down there, the welfare state that's there and it, you know, and the minimum wage in Puerto Rico is effectively like, you know, it's the medium wage, it's like having a $15, $17 an hour minimum wage year. So it destroys a lot of employment opportunity, dying island. So I mentioned that, you know, if they, you know, they have a good time down there because there's a lot of women and if you're a guy and you got a job, I mean, you know, you could write your own ticket, that's a big plus to have a job because women want to date guys with jobs. And, and this was controversial, you know, you wouldn't think it would be, but all of a sudden all these big guys down there in Puerto Rico, they'll probably say something again because obviously they watch your podcast. But, but um, couple of really big guys were calling me out saying that I'm insulting Puerto Rican women. Like, you know, I'm calling them whores or something because I said that they want to date guys with jobs. Well, why

Speaker 2:          00:37:38       doesn't every woman want a data guy with a job? Yes. It's not just Puerto Rican into running around going, I don't want to go with a job. No, exactly. Of course a girl wants a god that has a job. I mean, every girl. Yeah, I mean probably one of the main reasons we get jobs is to get girls. Oh yeah. I mean, you know, and you know, generally the more attractive the woman you know, the more the better your job's going to have to be to attract her. Yeah. There's a, there's a term for that high pergamum like women tend to gravitate towards men with higher social status status and higher. Well first of all, if you want a guy to take you out on a date, if he doesn't have a job, where's he going to take you? There you go. I mean, you know, so I mean it's not.

Speaker 2:          00:38:17       I didn't think it was a controversial statement is I think that point just making much ado about nothing these days and they can write a blog and then you talk about what they wrote because you were upset that them being upset at you on the podcast and talking about it again. So you're feeding it. No, but I'm correcting it. I mean, I just want to say that it's not just, you know, there's nothing wrong with a woman wanting a guide that, that has a good job and not only that it's favorable. Well, yeah. Well, but it's not only just because he can take her on a date. I mean, when a woman is on a date with a guy, I mean everybody is a potential husband and you've got to bring something to the table. You know, you gotta you know, you gotTa, you gotTa have ambition, you've got to be a go getter.
