Speaker 1:          00:00:03       Three, two, one,
Speaker 3:          00:06:40       Uh, there are other drugs, drugs you can do that have vastly lower addictive, uh, a character, a character. What's the word I'm looking for here? So, characteristics. Yes. Thank you. Um, so how did you recover? I, so I wasn't actually doing it that long. I actually never done hard drugs into my early thirties and when I came home from the war zones and, and that's what started it. Yeah. Were freaked out by seeing too much. No, you know, it's actually wasn't ptsd. Uh, it was, I was addicted to the adrenaline I was having was not that I was traumatized. It was that I was enjoying it too much and I would come home and the world would seem gray and boring. Uh, yes. That was, that was the problem. Did you watch her locker? I'm sure you did it, yeah. Did that resonate with you? It's been a while since I watched it, but apps, absolutely.

Speaker 3:          00:07:32       I want to just be clear that the experience of a journalist is so different from the experience, so much more mild than the experience of a, an enlisted man or a woman. So I don't want to compare my experience to, to the hurt locker. I'm a observer on the side and I, and, and I don't even want to compare my experience to more experienced work correspondence out there. I'm thinking of like guys like Richard Angle and I'm absolutely just actually sat down with him the other day for he's got to do documentary coming out. Um, my experiences are much more mild than that, but certainly enough to really get a sense of how thrilling it is. There's an expression, there's nothing more thrilling than the bullet that misses you. And in my case, luckily they all missed. That was not true for some of my friends.

Speaker 3:          00:08:18       Um, but you. So I, I had a real sense of the stakes, but 80 is exciting. It's also thrilling on a, um, on a idealistic level. I mean, I believe in the importance of bearing witness to the what, to the tip of the spirit, to what we're doing, to what our military is doing in our name. So all of that is a heady mix. So you knew people over there, a journalist that got killed? Oh yeah, absolutely. A very good friend of mine, the guy who actually ultimately set me up with my wife. It was a guy named Bob Woodruff, who was the anchor of world news tonight on ABC News. He had only been in the chair for about a month when he was on a trip to Iraq and he got hit, literally got his head nearly blown off when he was in the back when he was in the top of an Iraqi tank.

Speaker 3:          00:09:04       Uh, almost died. He was an absolute miracle is alive. There are pictures of him on the Internet with basically half ahead. Um, traumatic brain injury was brought back to life is to this day walking miracle that he's alive. Uh, and, and after he recovered, he then introduced me to the woman I married. So he's a close friend and I, uh, I saw cases like that, lost friends, both Iraqi friends and journalist friends. Um, my, the woman I was dating at the time when I, when I was spending a lot of time in Iraq, she got hit by a tank show. Um, she was in, in the hotel Palestine where all the journalists were staying. She was on a balcony in or one of her colleagues in the balcony below or he got a direct hit and died. Uh, he, she carried him to the hospital and she basically got the reverberations and couldn't hear. Still can't hear as far as I know.

Speaker 2:          00:10:02       When you're a journalist and you're over in Iraq or in Afghanistan, you're in war and what you're experiencing is so far removed from the day to day life that most people experience. What, what is it like trying to relay that to people? How difficult is it trying to. Because I think so many people have this almost a dramatic television movie slash view of, of war where they don't, they don't ever experience it. Like I would imagine probably 99 percent of the people that are in this country will never experience.

Speaker 3:          00:10:39       No. And that's good. You know, it's, it's, I don't know that you can describe it, uh, in a way that will really give the full picture of, it's a absurdities and, and horrors and long stretches of boredom punctuated by terror. Um,

Speaker 4:          00:11:00       and also this other piece which is taboo to talk about, which is the pleasure and excitement. Then people get fighting wars. I mean, go. This is Sebastian younger's thesis as well. I mean they just, the comradery is the most intense comradery they ever experienced. And so they, that's something they come back to civilian life and are missing it in and it's part of what's so difficult about coming back

Speaker 3:          00:11:21       and that's why you see them there. A lot of risk taking behavior among a vets. Um, because I know that you're looking for another way to get that hit of adrenaline for sure. There was a, there was a book, and I'm blanking on the name, is a great book written by a much more experienced war correspondent to me that he used the phrase war is a drug and that to me sums it up, at least in my experience, I got hooked on the experience of being in these really elevated, heightened situations, cinematic dramatic situations and I would come home and I just, I didn't know what to do to replace it. And so this synthetic squirt of adrenaline that you can get from cocaine seem to do it for me, obviously had tremendously negative consequences and so I wouldn't recommend it, but I see why people do this.

Speaker 3:          00:12:17       So how did you, how did you bounce back? That was actually the question you asked me before that I somehow neglected to answer. So the doctor who pointed out that I was an idiot and doing drugs and it caused a panic attack. Uh, I agreed he didn't think I needed to go to rehab because it was the, it was pretty short lived. It was. I was in my early thirties when I started on. Still in my early thirties when I had a panic attack and so it was only a couple of years, he said, just have wanting to come see me once or twice a week forever, forever basically saying it. He said basically indefinitely. So I still say it, but not, not. Yeah, it's a good business model, but not that. I mean it's been, well north of a, it's been about 13 years, so I don't see them that often now, but for a long time I saw him intensively so that, you know, it wasn't easy. It's not easy and I wouldn't have, I wouldn't call what I mean, there are people who have had drug addictions that are vastly more severe than mine. Um, but it's, it sucks to stop a habit that is giving you pleasure on, you know, pretty, pretty prominent areas of your brain while you're

Speaker 5:          00:13:30       situation. What you're talking about is very, very, very extreme situation. Like being a journalist, a war correspondent, going over there, experiencing that intense sort of adrenaline rush and then having your, your issues with it. But it seems like there's a tremendous amount of people today that are stimulating themselves. Adderall. It was a big one. I mean it's just A. I know I've, I've found out recently like four or five people that I didn't know that were on adderall and it seems like you just sort of start asking questions and you find out how many people. I mean all these, my kid goes to school with a bunch of other kids and you get to meet the parents and like fucking half of them were on adderall. It's very weird. And adderall is a form of amphetamine and it seems like, um, it just, it's mind boggling how many people are doing this stuff.

Speaker 3:          00:14:20       We're dosing ourselves with all sorts of things so it can be stimulated stimulants, but it also can be a Benzos, you know, cousins of Valium. Um, it can be shopping, gambling, it can be a, a whatever except the twitter. Um, and I think it, just speaking, we have a neuroscientist in the room, so I'll let him say more about this. And also a guy who's more experienced practitioner of Buddhism that I am. But, but, you know, it does speak to the nature of the

Speaker 2:          00:14:52       human mind that we're always on the hunt for the next little hit of dopamine and now there are lots of ways to get it. Well, it's also very bizarre that you can just do that. I mean, I don't think there's ever been a time in history where you could just take a pill and you'll be elevated for five or six hours. I mean that your doctor will give you this pill and they'll encourage you to take it and then you'll find out that 50 percent of the people in your community and take it. I've been, I've done stories about parents who steal it from the kids.

Speaker 4:          00:15:20       Also just caffeine. I mean I'm, you know, I'm reaching for the coffee here, having slept poorly last night. But that is, and that's just as much of a drug. It's just not as. It's not as potent. The drug is taken methamphetamine or, or, or adderall or anything else that's a drug drug. But, um, mean as a whole, this, this had civilizational consequences when, when humanity, more or less switched from alcohol in the morning to caffeine in the morning, that's just, things got a lot different than we used for, for hundreds of years. People were just drinking ale and wine in the morning, uh, before, before coffee and tea became huge in Europe. And, and it, it kind of colonialism the, the, the engine of colonialism to a significant degree was coffee, tea, sugar, and, you know, things are behavior changed.

Speaker 2:          00:16:14       So people that were drinking ale and wine weren't, wasn't a big part of it. The reason why they drank it with food is because the water would get stagnant.

Speaker 4:          00:16:21       Yeah. Well there's the issue with clean water too. Yeah. Yeah. But when, if just imagine the consequences of you and everyone, you know, getting up in the morning and just starting with beer or wine

Speaker 2:          00:16:34       that

Speaker 4:          00:16:36       long day or a very short one. Yeah. So, um, but yeah, it's. But the fundamental point of the underlying neuroscience is that all of these drugs, anything you're putting into your body, it is modifying the behavior of your brain, is only modifying the existing available neurochemistry of your brain. I mean the these, these molecules either gets your brain to secrete more of an existing neurotransmitter or they mimic an existing neurotransmitter binding to the same receptor site where they keep something in play longer than it would otherwise have been, that they block the uptake of of neurotransmitters or neuromodulators. So it's not. You're a drug is never get in your brain to do something. Your brain is incapable of doing so. And that's the most extreme thing, like dmt or Lsd in the brain. The brain is still doing all of that. And so it stands to reason that there are potentially other ways of getting the brain to do that. Whether it's meditation or whether it's computer interface ultimately to the brain. People who are interested in in brain computer interface that not only allows a quadriplegic to move a robotic arm or gets a a, a Parkinson's patient to be able to move. But you know, the, to the ultimate degree, I mean actually augmenting human function that's a or opening landscapes of mind, psychedelic and otherwise that have been unexplored. I mean, all, all of that is

Speaker 6:          00:18:15       um,

Speaker 4:          00:18:17       in principle possible because again, we're just talking about electro chemical phenomenon happening in our heads which are being, which is just there to be

Speaker 2:          00:18:26       modulator. Now when you were talking about being depressed and Sam, you're talking about re uptake inhibitors, I want to know what are your, what are your thoughts on the massive amount of people there are on Ssri is now. I mean this is another thing that I know how many people I know that I'm either on or have been on some sort of antidepressants and it seems, I mean to the layman, to me, to someone who's never taken them or doesn't have personal experience with it massively overprescribed.

Speaker 4:          00:18:57       Yeah. Well anything I say is with the caveat that this is. I mean, I'm not a neurologist. I don't have. No. I have zero clinical experience and I'm certainly not my area. I'm not up on the recent literature on the efficacy of antidepressants, but there is clearly, it's like anything, there's a spectrum. There are people who have been unambiguously helped by antidepressants and there are people who are on them who shouldn't be on them, you know, and there are people who are on them who wants to get off them and find it surprisingly difficult to get off them. And it's uh, it's just, it's, these are blunt instruments by by definition because it's anything that's modulating serotonin in this case is effective everywhere. Serotonin is effective and it's just, there's no magical property of

Speaker 6:          00:19:54       have a

Speaker 4:          00:19:57       finding the neuromodulator where, where only the symptoms you want to relieve our effect because these, these, these chemicals do a lot of things and a lot of places and even in your gut, right? So it's not said that hence the side effects you get with almost any medication. And we would have to get, it would be in many respects as a matter of luck to find a pharmacological target that actually does just what you want it to do. Because it just to say that, that those receptors are not elsewhere, that are going to reduce side effects for you. So, um, that, that's why a different kind of a intervention, something like ultimately some, some electrical or magnetic or, or a machine based could be more targeted because then you're, you're not just putting something in the bloodstream that spreads everywhere.

Speaker 2:          00:20:54       Bye Bye. Machine based. You mean something like electrodes that they put on the mind to or the surface of the head to stimulate areas of the brain.

Speaker 4:          00:21:01       Yeah. Yeah. And again, what we have now is also still pretty primitive and anything that you would have that would be super futuristic wouldn't seem to require that you, you put something actually inside your head, right? So whether that's a neurosurgery or I'm putting something into the bloodstream that somehow gets inside your head what it is an injectable, um, you know. So for instance, Elon Musk just mentioned something called a which he called neural lace, which is a, believe a term that came from a Scifi novel. I don't think it originates with him. I'm not a big science fiction reader, but he's got a, uh, he announced an investment in a company called neuro neuro link, which is looking at looking at some advanced brain computer interface, uh, based on the idea that you could get a way with the, with these new micro electrodes, you can get an injectable Mesh like a, like a wire mesh that just integrates with the brain or very likely just the cortex.

Speaker 4:          00:22:11       Uh, and I believe this work has already been done in mice and the mice are, you know, have survived and are living with, with this mesh in there in their brains. And again, this is not research. I'm close to it all. I'm in and he just announced it a couple of weeks ago. But, um, in principle, yeah, you're, you're talking about having a, whether it's a mesh or whether it's, it's a bag neato electric particles and it's something that is on site around individual neurons or assemblages of neurons which can both read out and input wirelessly signal from those neurons. So just both, you know, putting your thoughts into the world by, you know, influencing effectors, a robotic arms or cursors on screens or whatever it is, and also influencing your mind based on whatever

Speaker 2:          00:23:08       puts you want to put in there from the world, whether that's Doug mentions, hack you and yeah, exactly. Well that opens, it opens all of those concerns. You know, the Russians, it's always the Russians, Chinese gambling. I think the Chinese people are responsible for a lot of the propaganda that makes us think about the Russians. Just push it off on them, push it off on them. Um, I'm prepared to blame the Russians for a lot at this point. Blame a law. What a slippery slope though for humans becoming cyborgs. I mean we're, we're already like some weird form of semi hot right now. Karen, our cell phones, like it's a baby, you know, like you leave your cell phone or home like, oh my God, I forgot the baby. I mean it's a very strange thing that we already have and there's not a whole lot of steps between that and snapchat glasses.

Speaker 2:          00:23:49       Jamie's got the snapchat glasses and seeing those things I didn't know they existed. The other very strange they are. They have little cameras on them and now you to go ahead, throw them on. So. But now he knows how to use them. Google glass just was totally still born right? I mean I didn't. Yeah, it didn't work. So He's, he's, he's transmitting or he's making a video right now with that left side. See how the left side of spinning with snapchat do like 15 seconds, 10 seconds at 10. A little counter. It's just flashing. Was like the last three seconds and you can hit it again and do another 20 seconds so you can hold it and do like 30 seconds or something like that. Yeah.

Speaker 4:          00:24:21       Step one. Is that spinning just to alert the people you're looking at that

Speaker 2:          00:24:26       to sort of alert me to, to let me know that my recording is done. Probably a little bit to let you know too, but that's probably the only notification. You know that I'm recording and it just posts. It doesn't post automatically and now I have to link it to my phone and then post it from there. Okay. The Google glass thing made people very uncomfortable. I mean I, I tried to very early prototype. I have a good friend of mine who was a executive at Google at the time and she got ahold of one of the really early ones that actually had to be tethered by a cord and you know, you talk to it and swipe it and I played with it a couple of times and we used it once at a ufc way in where I put it on and I broadcast from the way and it's very, very odd. But it made people made people very uncomfortable. Like you could see the difference when they saw you with that thing on all of a sudden there was all this apprehension. They're being recorded, are transmitted or. But how long? How long do we have where we're still people?

Speaker 4:          00:25:19       Well, how long before you asked that question? Our sense of private. I remember, I remember what it was like to be neurotic about the sound of your voice on a voicemail or Laura on the answering machine, right? Like rerecording the outgoing message and, and just just being worried about your voice showing up and someone else's tape. Right. And now we were living in this pan optic on surveillance society where you just assume you're on camera virtually every moment or in public, although I guess people don't think about it all that much. Um, yeah, I mean I think we're the norms around privacy shift just because we get so much value from having the data ultimately

Speaker 2:          00:26:06       I guess, but it just seems also like to just this inexorable pole towards this connection we're going to have it. It just seems like if you just, if you take where we are now and sort of look at all the data points and extrapolate, it doesn't look good,

Speaker 4:          00:26:24       it just salt, but it's both. It's both bad and good. The fake news thing is horrible, but the ability to fact check in, to be able to pick up your phone and find out what's true is has also never been better, so it's like we're both vulnerable in a way that we've never been and where we're empowered

Speaker 2:          00:26:44       in a way that we've always been true, but technological progress. Yeah. It just seems like there's a certain amount of time we have left before we give birth to some new thing we're talking about just integrating ourselves biologically with, with our machines and also something that's independent of us, some artificial intelligence independent of us. You want, you want to look for some fear around that. You got the right guy, right? Yeah. Well we've talked about Evan's past those fears here. Yeah. Yeah. I mean Josh has apps freaked me out this morning, sent me some articles about the self driving trucks that are already going in Australia that are as big as a seven 67 and they're driving down the road by themselves with cargo, probably nuclear waste or something. You know, just to wind down the road, but people are so bad at it.

Speaker 4:          00:27:31       Driving that, yeah, the robots just have to get reliably better than people and then you'll just feel nothing but relief. They probably already are yet. Well, yeah, I mean they're. I think they probably are, as far as I know from what I hear from Tesla that yeah, the, the accident, the man hours, they have people using the autopilot in the autopilots not at all. Perfect. Obviously two people have died already from, from using it badly, but still they have something like some millions of man hours. You have autopilot assisted driving and I think that is has been safer than just pure ape.

Speaker 2:          00:28:10       Did you see the video of the guy who fell asleep in traffic in San Francisco? He's literally out cold and his car is driving on the highway kind of fit. I mean he's just some guy on his way to work, just pass out completely mouth open and people are filming them. His cars driving down the road and actually probably the people filming him or doing the. The more dangerous thing. You're right. Yeah. Well texting and driving drive me crazy to see it. Like to be in an uber now you can look around, you can see how many people are texting. Yeah. Including your driver sometimes. Yeah. That drives me crazy. I. Here's the guy that dude's Alcoa is cars creeping along and stop and go traffic and he is completely alcohol. Wow.

Speaker 2:          00:28:58       Well it works. The autopilot works. Yeah. No, it does work. Yeah. Texting and driving scares the shit out of me. That pokemon go thing. Thank God that that died off but stopped. I was driving on the highway and there was a woman to the left of us and I noticed that she was being, her face was illuminated by her cell phone. So I look over and she's playing pokemon as she's driving. So I guess I don't know how pokemon works, but I guess you pick up things and as you're driving you get stuff. And so she was playing the game while she was on the hot, barely paying attention to the road. Looking at her phone. This is the argument for, for robot drivers. Yeah. Yeah. And also it will open up and when you are ultimately being driven safely,

Speaker 4:          00:29:42       buy a car that you trust more than you trust yourself. Then just imagine the, the, the information consumption, entertainment options that open up there. You'll watch movies, you'll, you'll, you'll listen to podcasts, you'll get work done and it will become a space of more not, we're not gonna miss having to pay attention to the road. You know, maybe maybe there's some people want to drive recreationally for some reason, but um, it's, it will just be a new space where you won't believe that 40,000 people every year were dying because we couldn't figure out how to drive safely. But isn't that a slippery slope like $40,000? Well that's a great thing that 40,000 people are not going to die. But the idea that we're going gonna stop people from driving a car, you're gonna have to live with these 40,000 people. That's not what I was going to say, but I was gonna say, I mean pretty much all the things that people do.

Speaker 4:          00:30:34       And then it's going to get down to why have people mean ultimately that's the. When I look at the event horizon of artificial intelligence, it's why, why would we were so far? We're not going to get our shit together by the time artificial intelligence is given birth to. While that that all goes to what we build, we build artificial intelligence that is independent of us and seems conscious and is more powerful than us. Well then we are. We have built a in limit. We have essentially built a god that we now have to be in relationship to and hopefully that works out well for us. And it's very easy to see how it might not. I think they're even scarier cases in that that we could build something that has like power, but there's no reason. I think it's conscious. It's just, it's just, it's no more conscious than our current computers, which is to say that intelligence and consciousness may be separable phenomenon that you could.

Speaker 4:          00:31:36       Intelligence can scale, but consciousness need not come along for the ride. And that for me is the worst case scenario because we inherit all of the danger of, of, of this, the power of this system being misaligned with our interest. We could build something that is godlike in its power. And yet, uh, we, we could essentially be canceling the prospects of the evolution of consciousness because of this thing wipes us out that, you know, I think it's, I'm Nick Bostrom, the philosopher who wrote a great book on this entitled Superintelligence, I think he calls this the Disneyland without children and were like, well, basically we could build this, this incredibly powerful, intelligent landscape that continues to refine itself and its own powers. Uh, who knows what ways, my ways perhaps that are, that are unimaginable to us. And yet they're, the lights aren't on. You know, there's, there's, there's nothing that is like to be this machine or system of machines is in the way that is probably nothing that has to be the internet right now.

Speaker 4:          00:32:41       You think of all this going on, on the Internet. I, you know, I don't think the Internet is conscious of any of it right now. The question is could the internet become conscious of what its thinking and um, I think there's no reason to think it couldn't, it's just we don't understand the, the physical basis of consciousness, yet the real question is why would it do anything? I mean if it doesn't have any of the biological motivations that people have to breed and to stay alive and to, you know, fight or flight and to be nervous and this desire to carry on our genes mean if you really did build the ultimate supercomputer artificial intelligence that was beyond our capacity for reason and understanding what niches do. Nothing because everything is pointless. Well, no, because what we would do, we would program it, it would do whatever we asked it to do initially, right?

Speaker 4:          00:33:29       We things we program now have goals, right? Your, your thermostat is trying to regulate the temperature in the room. Um, and when get, when it gets too warm, it kicks on the air and it, when it gets too cold, it kicks on the heat. And I mean, that's just it. That's a goal, right? And um, so we would, we are everything we build. That's automated, has goals explicitly programmed into it, and when you're talking about a truly intelligent machine, it will have, it will discover a goals that you have never programmed into it, that are our intermediate to the goal that you have programs. So if, if the goal of this machine is to pick up all the trash in this room and you physically try to stop it, well then it's gonna try to get around you to pick up the rest of the trash and the room.

Speaker 4:          00:34:20       Right? So it's, it's, you know, this probably already true of a Roomba, right? I actually don't have a room, but, but if you, if you put something in the way of the room, but it's going to get around the thing you have put in it's way so that it can get to the rest of the room. So that's an intermediate goal. And some of these goals need never have been explicitly thought about or represented, which is to say programmed into it. And yet they, they're, they're formed by, by the fact that the thing has a longterm goal. And one of the, one of the concerns is that we could build something that has a longterm goal, build something that's super powerful, that has a longterm goal, which in principle is benign, right? As executive, this is something we want, and yet it could discover instrumental goals that are deeply hostile to what we want.

Speaker 4:          00:35:09       I mean, the thing doesn't have common sense, right? We haven't figured out how to build common sense into the machine so that the cartoon examples of this kind of thing. But one example that Ilan used when he first was expressing fears about this, if you built a machine, the only goal of which was was to cancel spam, right? No more. We don't want it. What we want. No more spam. Get rid of the spam. Well, an easy way to get rid of spam is just killed all the people right now. That's a crazy thing to think, but it's not in unless you've built, unless you've closed the door to that intermediate goal, there's no reason to think that a

Speaker 5:          00:35:47       for powerful machine couldn't form such a goal. My question would be, if this super powerful machine has the ability to create new super powerful machines, wouldn't use the same mandate, would it, would it still try to follow the original programming or would it realize that our original program is only instrumental to the success of the human race and it might think the human race is ridiculous and preposterous and why? Why not just program something that it thinks is the ultimate intelligence? Something beyond our capacity for reasoning and understanding now and that thing. I would wonder in the absence of any sort of biological motivations and the absence would mean. Do you think of all the things that we do, I mean you, you break it down to what motivates people to get out of bed. What motivates people to do good, but my sense of community, a desire to breed the social status, all these different things that motivate people to do things. We remove all of those. And what actions would it take?

Speaker 4:          00:36:46       Well, I think, I think you want to build it in a way that is focused on our wellbeing. And so for instance, I had Stuart Russell on my podcast, he's a computer scientist at Berkeley who, um, unlike many computer scientists takes this problem really seriously and has a thought a lot about it. And in his lab, I believe they're working on a, a way of thinking about safety that is, that is open ended and flexible without, without pretending we have any of the right answers in the near term or, or likely to have them. So you want to build a system that wants to know what you want, right at each point. Like, so that's tracking what humanity one wants in terms of its goals and wants to stay aligned with whatever it is we want, um, wants to, wants to learn from what we seem to want based on our behavior.

Speaker 4:          00:37:50       But, um, and so there could be some kind of clarifying function. Where were we, you know, we can get our priorities more aligned in dialogue with the super intelligent machine. But the bottom line is it always wants to do it. It doesn't think it knows what we want and it continually wants to keep approximating better and better what we want. And so from my point of view, the most crucial thing is you, you always want the door to remain open to the statement. Wait, wait, wait. That's not what I wanted. Right? Like you wouldn't want to be in the presence of this. God likes super power that will always take direction from you when say, wait, wait, wait, that's

Speaker 5:          00:38:36       not going in the right direction and this. So the fear is we could build something that is, is just not amenable to being controlled in that way.

Speaker 3:          00:38:45       Is it not the case that computer scientists are starting to come around to the idea that there's real danger, a, potentially there's dangerous potential in, in, in Ai. I mean, I was listening to when you talked to will macaskill a few weeks ago who was saying, you know, we, it was, it was just a few years from starting to think about how to split the atom to actually having a bomb. Um, are they not coming around the idea that these, that technology can progress much faster than we think of?

Speaker 5:          00:39:13       Yeah. Oh yeah. Well, it's a whole spectrum of the people who think that this is never going to happen or it's so far away that thinking about it now is completely irrational to people who are super worried and think that huge changes are imminent. And so it's just the spectrum. I'm with the ladder. Yeah. No, it's as am I, what my concern is not even with the initial construction, like the initial ai, my concern is with what the ai creates. If we give the AI ability to improve upon itself and look at are irrational thoughts and how we've programmed itself to support the human race. And then it might go, well, why the fuck would I do that? Like you guys are ridiculous. Like, oh, this is a new life form. This is a new. We've given birth to some incredibly potent new thing that we think of it as artificial by.

Speaker 5:          00:40:01       I mean, is it really, it's just a form of life. It's a form of life that we've created. Human beings have sort of, the analogy I always use is that we're some sort of an electronic caterpillar giving birth to some spectacular butterfly we're not even aware of while we're building our cocoon. We're just doing it. I mean there's a caterpillar fully conscious of what it's doing when it makes that cocoon, probably not, but it just does and there's plenty of examples of that in nature of something that's doing something that's going through some metamorphosis that's completely unconscious. My worry would be. I guess it's not even really a worry. It's more like looking at the possibility of the AI improving upon itself and making a far better version than we could create like almost instantaneously. Right? Isn't that if you give it the ability to be autonomous and you give it the ability to innovate and to try to figure out what's a better way around things and what's a better way to program things and then make its own version of what it is.

Speaker 5:          00:40:59       It's going to be spectacular. I mean it really will be just. I mean it's obviously just talking shit, but really would be a god. I mean, you're talking about something that if we give it the ability to create, we give it the ability to think, reason, rationalize, and then build, build something better. I mean by bill, you should be thinking more software than hardware to make it there. There's obviously there's anything is possible. Anything that can be built with intelligence can be built with intelligence, so you could be talking about armies of robots and nanotechnology and everything else. That's. That is the staple

Speaker 4:          00:41:34       of the PSI Phi scare scenario, but I'm more likely and certainly faster and ultimately more powerful. You're talking about something that can rewrite it's own code, improve. I mean it's, it's, it's the code that is that is dictating the intelligence and so you're talking about something that could be for the longest time, invisible and just happening on the Internet, right? You're talking about code that could, could be put into financial markets, right? Which could be built to be self modifying. Right, and then it's already out in the wild. It's not. It's not sequestered in some air gapped computer in a lab. It's out there and it's changing itself. Now. That would be totally irresponsible thing to do from a, from a, uh, a software designers point of view, I think at this point, but um, there's just no question that we're going to get to a place where I'm going.

