Speaker 1:          00:00:00       Right, too.
Speaker 2:          00:05:10       Correct. Correct. No, jet Reese definitely had delays on that account. I haven't seen the fight like six times. And then definitely when he got to eight, you know, eight was a very long delay. Eight then he said no, you know, um, like I said, 99 out of 10 judges would have waved at all, you know, easily. Especially when you've seen the guy our rolling in the back of his head and he and him hitting the canvas and his, his, his, his whole head meat penetrate penetrated. Like it started getting tight. The muscles in the head getting tight in the back. And you know what, it's, it's so much with that. I know how he got, I didn't understand how he got up either. And God is a good God. Well, he believed it. That's what he believed. He believed it. He got up man and he got up and he boxed. Well he recovered

Speaker 3:          00:06:02       you. You mean you came after him and you hit him with some more big shots and he kept moving, but then he started getting his legs back under them and then he started Landen

Speaker 2:          00:06:09       does also other things as well too. You know, he's still a gypsy though. Yeah. You know, you know, they believe in a lot of things, right. So you never know, you know, fucking phenomenal fight though. Epic. It was absolutely amazing to watch. Most definitely. I watched it by myself with family was gone. They went out for the day. So I was like, this is great. Just me. Did you watch it on mute now? See what I'm saying? The commentators, man, they was horrible. It was horrible. I felt it was very biased. It was a lot of things. They was pulling out what period we're doing, but a lot, a lot of things what I was doing, it just, even when I knocked down in the knife round, they had all this to say, but when I'm not done, the knife went on. It was so quiet and it wasn't even a devastating knockout.

Speaker 2:          00:06:55       I was getting hit behind the head, but they want to call out me hitting him behind the ear. But how many times I got hit behind the head never was revealed. It was like even just this, just the whole, you know, bill up to it, you know, he sold his story, he sold his go over to America and you know, any combat sport it did with emotional emotions, you know, people got emotionally tied to it. People, a lot of people could relate to his story, you know, certain things. I could relate to it. And then, you know, when, when you, you, when you capture, you know, the world and you capture people that, that, um, they get emotional involved, they want you to win. Right. You know, just because of the stuff I've worn them and when and stuff like that. And, um, um, the commentators, you know, especially Paul especially, uh, uh, got very emotional with it. A lot of the other cats as well too, just going back, listening to them, I didn't saw the fight six times, you know? Um, I definitely had it. You can see a very, a better look on the fight, muting the TV, you know, well, listen

Speaker 3:          00:08:00       to the commentary, but, you know, I do commentary myself or UFC. So a lot of times, even if I'm listening and I'm not really listen that much, I'm just watching you watching what's happening. It's like I'm having a conversation in a room with a bunch of people, right? I was watching what was happening but it was interesting to me was a you made adjustments, you know and one thing that you made it big adjustment is um, when you landed in the 12th round, you shorten everything up. You shorten that right hand up. It wasn't a winging punch at all. It came straight down the pipe and then that left hand behind him in the fucking timing cause he was already going down. You already hit, I'm clean. He's going down. Then that fucking left hook man. Whew. That was what was really crazy that he got up from, cause we'll snapped him around like the extra cyst.

Speaker 3:          00:08:42       It was when he went flying and then flat line and laid back. I was like it's over. I can't believe he knocked him out in the 12 fucking round cause all fight. I was saying all this guy needs is one punch. Like you got that scary creepy power and boom, what you could say that all day long. But if it never lands it doesn't mean anything. Right. And it landed and the way it lands, it was like Holy Shit. I told her, I said, you're going to have to be perfect for 12 wells. I only have to be perfect for a couple of seconds. That's one thing that I did hear the commentators say. They said that he's proven that he doesn't have to be perfect cause he got hit, but it was like he, but he didn't get hit clean. He got hit one time, like pretty solid behind the year, but the big one was in the 12th. I'm so impressed with both things. With you being able to land like that with him, been able to get up. That was probably one of the best heavyweight fights by fucking ever seen

Speaker 2:          00:09:33       crush on me that night. You don't? Sure. I'm, the heavyweight division has, has been dead for, for long time. And then we started with last year or something to just started religious progressing and people started talking about it. Um, especially been dead in America. I remember a time when no one knew who was, who was the heavyweight champion of the World War, you know, it was a European guys and stuff like that. So I always made it my business, like I want to bring it back, I want to do it like I lead it and a lot of the other former champions did it where people knew where understand the sport of boxing then who was the champion and stuff like that. I always felt I had that, that duty to fulfill even when I was in the Olympics because a lot of people don't even know I was in the Olympics, you know? Um, I was the only American tomato because in 2008 Olympics as well. And just from that point it has felt like I had to be the one to bring it back and to come to la. They bring all the stars and like I got everyone here.

Speaker 3:          00:10:33       And you met with the Olympics, quit pretty soon. Pretty young in your boxing career from the time you started training? Correct. Like what, how long was it in until you were fighting the Olympics? I made the Olympic team in a year and a half. I started boxing. I started boxing at 21 you know how fucking crazy that is. So a year and a half a boxing, he make the Olympic team and you won a bronze medal.

Speaker 2:          00:10:54       That's, that's insane. You know, they didn't even have my name written on the list of the one that's going to be on the team. You know, they always say, I was, uh, I just came out of nowhere. Wouter came out of nowhere, you know, I remember being in the, I'm in a tournament and he had this elder man, you know, he's seen these kids like year after year after year. And um, he, I remember him saying, I said, who are you? I said, I'm Deontay wilder. And he looked at as the guy next to him, you know, where are you from? I said, I'm from Alabama, Alabama. He laughed at me because they never seen or from Alabama, you know, you know, we was based off with football and basketball and stuff like that. I didn't even, I was surprised it was a gym in Alabama when I did start, you know, I was like, wow.

Speaker 2:          00:11:46       Like I can't believe, like I'm in a boxing gym. I never thought one would be here. We didn't do that, you know, just Steve about it. But I started because of my daughter that was born with spinal Bifida. So you know, I couldn't play football and basketball a little more because you had to go to school for that. I needed money right now, you know, so I was looking at a, a way of making money like right now and you know, I had a friend in college, we was always talking about what we want to try to do and what are the things we were trying to do to get to that point because you know, talk is cheap. We can always say, well we want, but if you're not applying any type of action towards what you w with your words, you just, it just, it's just talk, you know, he said he thought I said [inaudible] he thought I should start boxing.

Speaker 2:          00:12:30       Um, I thought it was a great idea as well too. He thought he thought I should start, but only for the simple fact that I handled myself well streetwise. You know, nobody ever seen me just lose or get beat up streetwise. I was this quiet guy. I tell people I never look for trouble, but trouble always found me for some reason. And, um, and when I did release the anger, when I release, like it was, it was even back then was dramatic, you know what I'm saying? And I'm a kid. You not even back then I believe in, you know, and, um, I could never come down though at that point. I was like the hulk, I couldn't come down. It took me a lot to come down. Even if I will see blood, I still wouldn't calm down. And he used to be scary for me because I, you know, even back then I had power, but I was just, I had a lot of aggression.

Speaker 2:          00:13:16       I had a lot of anger for some reason. I never know why, you know, and, um, and we thought it was a great idea. Like, you know what? I'm gonna do it, you know, I can't lose, what can I lose, you know? And, um, just went to the [inaudible] with the guy, went to the gym. You know, I've been in Tuscaloosa, Alabama and I walked in there. I kid you not, I felt like I heard the bells. I mean, the heart, the sounds to heavily said, Ooh, I swear I kicked, when I walked up in there, it was just to the speed bag and the heavy band being hitting the conversations and then the guys sparring and my eyes everywhere like this. I never been in some, a place like this before ever. You know what? I'm just, it's just, it's like new to me and how like I felt like this was it.

Speaker 2:          00:13:58       This is my last opportunity to be someone, uh, to be a, a professional athlete and be able to make money for my daughter. I didn't know I came in as a journey. Me Julius man, that's what I wanted to be. I didn't want to, you know, I didn't know nothing about amateur. And I knew about Ali and the Wa, you know what? He did his journey, his amateur. But I knew that I didn't even knew the term or of an amateur. Like what, what is it? You know what I'm saying? So walking into the gym, my whole mentality was to make money from my daughter. I didn't like, Yo, let me learn just the fundamentals. It's just stick me out of there. But then we also, we had this conversation in the gym about the Olympic trials and the Olympics. So I remember it briefly, like we started talking about me and my trainer now.

Speaker 2:          00:14:43       We started talking about it and then it just became a whole big Jim discussion. Everybody stopped doing what they was doing just to get in on this conversation. We didn't know how to get there. Well we knew that if we kept winning that we or will we eventually get to that point. So I just kept knocking guys out. It's just kept winning and kept winning. And then that's how I got on the Olympics team. And then I told my daughter when w you know, I met, made the Olympic team, I metal and did all that. And then I turned pro shortly after and I don't remember telling my daughter when she was one years old, I said, daddy going to be a world champion and he's going to be able to support you beyond your belief. You know, for me it meant a lot for me to say that to her because I come from a playful offer for your purposes.

Speaker 2:          00:15:24       You know, you ever had someone promised you something and you wait for years and gears, it don't happen. You know, you still holding on to that promise that they told you, especially being a child, you know, you still are like are, you know, until it just don't happen no more. Or you see that certain thing that was positive being given is no more there is it, it's gone, you know, and um, that really hurting me, you know, at times just coming up. That's why I'm a man of my word now, you know, if I sell someone something, you can take it to the bank, you know, Eh, it's going to happen. You know, it's just, you know, God is on time guys, so they don't come. We want it, but it's always on time when he's involved. And when I'm involved, when I say something, I try to make it, it's gone.

Speaker 2:          00:16:06       You know, I'm a man of my word. No matter what I say. See Walking the gym, you have this feeling, you, you, you know that this is where you're meant to be. And do you just how far ways it's Jen from your house at that time? This gym, I'm still in touch with the more important, that's about 30, probably about 45 minutes from where I live too far. You can go, you can get there. How often are you going there? Every day. Every day. Every day. Change Life. Yeah. You know what? I was still working for Budweiser. I was driving the truck for Budweiser. So, um, at times, you know, anybody work at Budweiser know that you, you got a specific time to come in, but you don't have a time where you get off. You know, sometimes you can work from five hours depending on if you have a bar, Baruch, which is the easiest.

Speaker 2:          00:16:53       And then, um, you can have a 17 hour day, which I didn't have before where you had to go to way deep in the south, way deep in other cities or whatever. I used to have a stop that took me two hours to get that before I even, you know, two hours to get there before I even can work my first stop. And you're talking about having 17 stops on your, on your, on your list to do you want me on your to do list and your first stop is two hours, you know what I mean? That's, that was a hell of a ride just to be able to, it's depressed. It makes you depressed just because you got to wait two hours just to get started. You Ready? You want to go home as soon as possible. I remember times where I used to drive the big truck to the, to the, to the gym.

Speaker 2:          00:17:35       So you would have a big Budweiser truck advertising but like outside of the cheer and you'll see me out there. It used to be times where I used to sleep in my car right there at the gym. You know, I really wanted to get it. I told my that will be a world champion and I was devoted to the sport, which I still am still there to this day. Uh, but it was a lot of sacrifices. I had to sacrifice for my daughter to, to religious be here, to be able to support her with spinal Bifida because I knew I knew nothing about the disorder. I'm 19 years old, you know, I'm just trying to a father, a loving father, just trying to support his daughter. That's amazing. Yeah.

Speaker 2:          00:18:16       That's a different kind of motivation, man. Then being in Alabama, we had to scrape up money to go to other states because we didn't really have too many heavy weights here, you know, so we had to go find sparring elsewhere. My trainer tells the story to this day, you know how we had to scrape up because you get a lot of people want to come apart and be a part now, whatever. He always said, why? What's your, how? What? We were scraping up to change and, and you know, we, we, you know, we had to scrape up money for gas and something to eat and stuff, which is all true, you know, all had to scrape it up. Did anybody ever teach you to punch before you started boxing? Did you ever have an uncle that helped pads for you or anything? Nah, now we're not nothing and I didn't know nothing about boxing.

Speaker 2:          00:18:56       Right. You, you definitely knew how to punch people. Of course. For sure. For sure. For sure. Did you learn just from watching TV? Like you know, just like street wise, you know what I mean? I mean, the best thing, the best thing in life is, is, is, is experience it for yourself. Life teaches you everything. You know, sometimes you can get knowledge from books, but it's nothing like real life, real reality. So you went the same trainers that you were when you first started. I, one of the few, you still with the same one. That's amazing too. Yeah. So how long did it take before it started feeling right to you in terms of like throwing combinations and move in and it took awhile. It took awhile because I had to, I had to wait in the Olympics, I had to play catch up. I'm always, I always was playing catch up because these guys, they'd been bikes and ever since they was young little boys and stuff.

Speaker 2:          00:19:45       And you know, that's how I learned a really about boxing and, and how it would take your life away from you. You know, I'm looking at, I'm looking at these young guys, they coming up and several of them, several of them cannot go to school because I boxing, you know, some of them that they were telling me how they've missed birthdays, they've missed holidays, they've missed classes from school just to fulfill the dreams, you know, it could take, it'll take everything away from you. And I've seen some have graduated high school, you know, and that's a great accomplishment when you inbox and to graduate high school, you know, because there's so much, there's so many tournaments in so many different things. Cause boxing a year round sport, you know what I mean? So it's so many different things that would go on to these kids.

Speaker 2:          00:20:33       You know, these guys would try to, you know, make this team made that team go to this trip, go over that trip just to get their spirits and I'm listening to them tell they story and here I am, you know, just coming from Tuscaloosa, Alabama, just picking it up, playing catch up. I'm listening to everyone's story and what a conference, how they do this and I'm studying the Amo certain things. Like it was amazing to be able to just go to the Olympics and just do what I did a complete with these guys. I was the least least experienced guy in the whole tournament. Of course the Olympics

Speaker 3:          00:21:06       snobby a year and a half. And you probably the least experienced guy to ever medal ever. Yeah, probably so else even come close to that. I bet if you went over the Olympic records of guys who have boxed and metaled, I bet you're number one with a bullet prior to so close,

Speaker 2:          00:21:20       a year and a half in. It was. It was. It was amazing spiritual just to beat her, you know what I mean? If it wasn't for boxing, I probably would have never been able to, to travel outside the country. You know, boxing, show me everything. You know

Speaker 3:          00:21:35       what's amazing is one of the things that you'd said that the heavyweight division, which has always been the glamor division, right? When Tyson was the champ and Holyfield was a champ and all these different fighters to the Holyfield Riddick Bowe era. I mean these were gigantic fights. Everybody in the world was watching. It was a big deal, but then when Klitschko one, I remember I was on a plane with a buddy of mine is a comedian and I said, you know who that is? And he goes, no, I go, that's the heavyweight champion of the world. He goes, get the fuck out of here. He said, well, he goes, it's a white guy. I go, isn't that crazy like Russia? And nobody knows who it is because it was a weird thing. It's like everybody been that Tommy Morrison days, people, there's always the great white hope to, it's always wanted a white guy to be the heavyweight champion.

Speaker 3:          00:22:13       Cherry Kone, Larry Holmes, Larry Holmes beat the fuck out of Jericho. And then her, I was in high school when that happened. Everybody was hoping that a white guy was going to win. And then when a white guy, finally one, nobody gave a shit cause he was kind of, he's got very effective style, but it's, you know, it's not the most fan friendly. He wouldn't jab and grab, you know, grab ahold une, he could knock you out if he hits you clean. And he knocked a lot of guys out and he was a big fucking guy. Right. And no one cared. It was weird. It was weird because he was a guy living in Germany and he, you know, it's huge in Germany and speaking Russian and English and everything else. And he's a really smart guy. Nobody cared. It was weird. It was fucking weird. I know. I remember because boxing was still huge. People were still paying attention to Floyd Mayweather and Canelo Alvarez. And Manny Pacquiao meters, all the lighter weight classes, they're still getting all this love. Bernard Hopkins people were watching all these fights. Nobody gave a shit about the heavyweight division. It was strange.

Speaker 2:          00:23:07       They said, you know, once you all have an elite America heavyweight, you know it dies down on it. They said what goes to heavyweight division? So does boxing and it's kind of true in some sense, but, but if it, if it didn't happen that way, it was the heavyweight division died down. A lot of these guys that got a lot of one wouldn't have gotten no shine halfway through. It would've been within the old forest probably.

Speaker 3:          00:23:32       Sure. Well maybe it would've just made the whole sport bigger because you know, this, this, this, this is a good time now for boxing, there's a lot of really high level champions is a fun time to be a boxing fan to watch. But to look at your record like when you went, went into the wilder fight or what you see is me wanting to, the Tyson fury fight. You wouldn't even 39 and [inaudible] 39 and 40 now with 39 knockouts. That's a movie record like you put, that's like a guy fighting someone in creed, right? If you looked at that, that's what it would be like. What is 40 like this is the guy you're fighting. He's 40 no 39 knockouts. What? Like that would be a movie scene. Like you would be a bad guy in a movie just designed to fuck people up. But the fact that no one, you know was was looking at this as this is a, this was a gigantic cultural moment.

Speaker 3:          00:24:23       This wasn't just a big heavyweight fight between two the tallest guys and odd, big tall but move good. Both. You guys move real good. Me and Tyson for two for six foot, what is he? Nine six nine two 56 and he's bobbing and moving a lot and he's got that weird Herky jerky style. He's a trip man. It's very unusual to have the two of you guys together. To me, in my eyes, this was like a reemergence of the heavyweight division in pop culture. It's like everybody was finally paying attention to the heavyweight division in boxing. Like finally this was it. And I was like, dude, this is a big fight. This isn't just a big fight. But June two guys who are undefeated, who are at the top of their game, who will, you know, Tyson didn't lose his title. He had it. And you know, they took it away from him, but he was still undefeated. So that was a giant cultural moment. And when the fight went down and turned out to be one of the best heavyweight title fights ever, I mean fuck

Speaker 2:          00:25:19       is amazing. Even just to listen to you, you know, describing and stuff. I still feel those, those, the assignment, I'm sure. Why? Like it was amazing. It was amazing. You know, I'm just ready for the rematch and like if people was incited it and enjoy it, doubt, just imagine the rematch. You know, this is going to be amazing. It's going to be incredible. And it puts Anthony Joshua and a terrible situation, but he looks off, are they big? And now he looks terrible. He's going to fight some other guy. No one gives a fuck. And it's like your titles, whatever title you got, their bullshit mean anything. Everybody knows. This is where the real title is. I mean this is just a, it's a wrap now. Yes, it's, they, they definitely begging now he's trying to reach out. All of a sudden now his management has been trying to reach out to minds as well, you know?

Speaker 2:          00:26:11       Um, but he could have had this opportunity. He had me near opportunity. He could've fall Louise or teas. Yeah. We could've followed me. He had a chance to fall in fury as well, like clean and safe over on that side of it, playing it safe. But no, but you know, people want to know who's the best now. You know what I'm saying? Especially after seeing the theory, this theory fight, you know, people want to see what was the best and, and I'm trying to, I've been trying to show people, you know, who's the best, I always say all the best. I'm going to forever say I'm the best until I get to feed it, you know? And, um, right now I'm in a candidate for, you know, fight of the year and also, you know, um, fight, uh, um, fights are the years I didn't have the cane, I came back with Louisa, a tease that was an epic one and then it came back with theory, another app we fight and then we're going to hit the two again.

Speaker 3:          00:27:00       That's the thing about you that makes it interesting is that you're not just a guy who knocks guys out, but you're a guy who can take it. You're not, you can take it and you're a guy who figures out a way to win. Cause there's a lot of guys that when it's going bad, they don't come back going good. They went forever. But when it's going bad, it's hard for them to come back. But you figure your way through bad situations and you make adjustments

Speaker 2:          00:27:21       even, even when something is going wrong with my body. Like I had seven operations on my arm, you know, it'd been the meditations like surgery breaking, you know, just breaking my arm turned my boss up, um, break breaking my hand. You know, many times in my, in my fights, I broken my hands is still fought, you know, tore my boss. He'll come in with third degree burns, you know, all that stuff. Like I'm a, I'm a true warrior, you know, I always think I'm like if I do something, like if I break my hand or when I tore my bicep in the rain, my whole mentality is train change it to what? That motherfucker had a fall off. That's why I'm glad I got to keep fighting. I got to keep going. I'm a warrior, you know, and you can never tell you no because I still throw it with bad intention.

Speaker 2:          00:28:09       You know, I'm still, you know, Lennon and hitting it. Just like with the, uh, Chris Areola fight. When I broke my hand and took, tore my bicep, my camp, my team knew I broke my hand, but I didn't mention, I told my boss he'll cause I'm like, well, I tell them I don't want no one to panic. I'm not worrying about it. I'm going to keep throwing it. I got to keep me in. Chris was so surprised that I did all these things and we're still able to throw it. It's just a mentality when it comes to comeback, like my mentality, just overall, it just, I feel I'm the best and if you're going to come and beat me, you got to come and beat me. He's just not going to be easy. That's why most of the guys, when they fight me, they bring their a game every last one of them, you know, because they know it's going to be tough and they also know I have the power to get them out of there.

Speaker 2:          00:28:55       You know? And a lot of guys, you know, th they're afraid of that because I mean over and over again, like I said, my power last from the first through the 12th round, you can never be in like too comfortable with me because of that, you know? And, and that's big for me to have. You know, I've always sat back and like saying, you know, I've said the same question myself. Like damn well you, you got all this power like, and you know, me being the person with it, I felt many times where I felt dangerous. I felt like, I felt like at times it can be too much power because I get scared of myself at times because I know I've got the potential to potential to hurt someone seriously. You know, just dealing with it. Just looking back and seeing some of the guys I've knocked out and seeing the reactions and you know, the unbroke guy's arms out and broke the ice.

Speaker 2:          00:29:48       Soccer's Adam, you know, put them in seizures, you know, almost killed speaker in New York. You know, he laid there for for a while, you know, I didn't even see him breathing, you know, and so forth for so long. You know, it, it's been amazing to have so much power, but still trying to understand it as well too, you know? And that fire with fear I couldn't, like, it was crazy. I couldn't, I couldn't, I couldn't stream out right arm off. They say. It felt like something was stopping me from really, really just throwing it straight. And to the end for some reason like it was, it was, it was it because you were trying to knock them out. So I definitely was trying to knock, I was very anxious of knocking him out, but it was something that was holding like I couldn't straighten it out.

Speaker 2:          00:30:34       I kept going back to my corner. Like why? Why you can't throw the right hand is right that this dude would bend down like right here in slow motion. It seemed like to me, I've seen this look many times. I'm not guys are many a time than spar in their competition. That put it right there because you have your, you have your, your tempo exposed and you know when you get hit in the temple and knocked April or Librium off, you know, you can't get, your body's not responding like the mind is and he'll be right there in his, like I still over over loop, my punches are telegraphing. I'm like, it felt like someone stopping me or something like that. Like it was crazy. That's why I said that. Ooh. You know what I mean? I kid you not, I kid you not like some Gypsy man.

Speaker 2:          00:31:15       Come on with it. I don't understand that. I understand it now. You know, I understand everything, but you to have to give some credit to him and he's, he's a phenomenal boxer. His style and his movement. I mean, and to see him pull that off and be that fresh even in the 12th me, how to have that kind of endurance to get up after you knocked him down. Yeah. You definitely, I definitely take nothing from him. He was, he was, he was a great fighter that night. You know, he definitely brought his best and that's all you can. That's all you can bring is your best and put on a performance. That's why, you know, when we made this fight happen, because it didn't take long for us to make this fight him. He was just, we both, he reached out to me and said, you know, you know, I feel embarrassed for what, what Josh dealing doing to you and then, you know, and I want to fight it.

Speaker 2:          00:32:02       Let's make it happen. Let's show the world who's the best, who's the two best in the, in the, in the, in the business, like, Bro, let's make it happen. You know, it was just like that for a conversation. I like the build up to the fight too because both of you were very confident and Bolty we're talking, you know, you're going to beat the other and knock each other out. But at the end of the fight, when it was over, it was nothing but respect. It was nothing but respect. And in, in this day and age, man, it's just, there's something nice to see about two dudes who just went to war for 12 rounds and it turned out to be a draw. And even after all of that, nothing but respect, right? Most definitely. And that's what it's all about. You know, two guys can be to be at each other and you know, let's say we want to hurt each other even to the point and say, you want to kill each other.

Speaker 2:          00:32:45       You know what I mean? It's just the buildup is part of the sport, you know? Um, it's to, it's up to us to be as professional as possible when it comes to that because we're not going to really punch is other than the wins. What are, why would we mess up on Monday when we were trying to support our children, you know, um, a lot of things that happened in the, in the, in the press conferences and stuff was because of others. Everybody else want to push and shove. The ones that don't really matter, they're not going to be in the ring. Everybody want to push and shove. So it makes it look worse than what it really is. When you got two guys that really, that matters that's getting in the ring, you know, but even, you know, a lot of people like, oh they smiling at each other, they're doing this.

Speaker 2:          00:33:26       Like that don't mean nothing. We still got to get in the ring at the end of the day and punch each other in the face. And that's the big thing about it. He wanted to put on a great performance and support his family as well as I, you know, especially cause it's been in my country, I felt like I had the world attention. Now I've been waiting for this moment for so long. It's like I gotta make it gotta make a great stand and you know, that wouldn't all the um, the pressure and, and, and so anxious. I, this is, I was anxious to do something that I already does and that's in fights in devastating fashion. I didn't have to force that. And I know that if I force it never happens like I wanted, you know what I mean? But it was just, it's just overwhelming to have the world attention, you know?

Speaker 2:          00:34:14       How much would it have visit field then a regular fight. It felt just, it was amazing. It was amazing man. I swear it was just to come out there and just, you know, come out and just feel the energy of the people. They were so excited and I was like, I already knew who all was concerned peoples coming cause we was, you know, but it doesn't matter who was there. It's just the point of just having the center of attention. I didn't have to fight against no other sport and then like they, cause you know his hard here in America, it's hard to make it in the word America. Every time I fought I've had to fight against other sports and certain things, you know? And it's always always been difficult. Especially every fight I've had to promote it by myself cause these guys are scared to talk or then some of them, you know, or teeth, you know, he spoke Spanish, although it was an epic fight. He spoke Spanish and sometime I had to do something to Spanish TV, you know, for my, because they went through it like it was. Yeah. You know, just to get it out, you know. But we're fury. I knew I had the right dancing partner. Well it seems for you that considering how recently you actually started boxing, I mean, what do you, what do you 11 years in now? How many of us? That's fucking crazy. You just still learning, which is insane. If you're getting, you're getting better. I mean as you're the champion, you're

Speaker 3:          00:35:38       getting better. That is a, I mean a guy like Louis Ortiz is an epic dance partner for that cause you're dealing with this guy who goes to the cube and amateur program. He's a southpaw is a big motherfucker, you know, good boxer man. Real

Speaker 2:          00:35:52       over 360 some elders or flights, you know, that's a lie. If I had that meant that much experience, you know, you just never know and he's another one you knocked out late in the fight. Yeah, yeah, for sure. I think he had the most difficult style. Anyone on fault though thus far though? Just being South Pole, you don't really get too much training guys with Southport and not too many around us heavyweight and, and, and he's a very slick and fast counter puncher. That's what he waits on. No, with fighting him. I really, really, really had to think about my next move. We're going there, what I had to do, you know. Um, so our teeth, I understand why a lot of these guys don't want to fight or to use. They say he owed, but they don't want to get in there. They don't want to go against this old, the old man though, you know,

Speaker 3:          00:36:40       he's not tool now he's nine years old, but he's not, he moved his last fight. Man, he looked phenomenal. You know what I mean? He just, he moves good. He's, his jab is outstanding and he's so well schooled. You know, it's like you see the little stutter faint that he does. He Pops Out, jab on it and he's always reading you looking for your reactions. He's a beast.

Speaker 2:          00:37:03       Yes he is. And I always give him credit for that until I see someone just come in and dominate him. We, even with me and him, we had, we had, uh, uh, a connection between our daughters, you know, cause he's got an year daughter as well. And as well as I, that's why I, when a lot of stuff started coming out with him, you know, saying that he did drugs and not passing the test, the um, the bottle tests and stuff, all that, I still wanted to fight him. I still wanted the blessing with the opportunity because of his daughter cause I can relate to him just like, just like I say this, the store w were fear reselling with the uh, mental illness and stuff. Like how people was emotionally tired. Like I got emotionally tied to our teas because he was a father that dealt with a child with a disability as well as I, so I know how hard it is to take care of children with disabilities.

Speaker 2:          00:37:55       And I know it takes a lot of money, you know, so I'm, I'm always for him, you know, I've, I've been talking about him every since that time we fought win, lose or draw. I would've still been talking about him because of the emotional ties that I had with them. I understand them. And when you understand the person, you root for that person, no matter what, no matter who's side you're on or whatever, when a person has something, you feel like it's worser than the next person. Or you can relate, you know, you, you, you want them to win. You know,

