Speaker 1:          00:00:02       Four, three, two, one.

Speaker 3:          00:03:45       It's a lot less problems I think. Know about that man. I think you still have tons of problem if you. But you, I, I, I don't. I believe at that point you can sort of create your own problems if you want to have tons of problems. But there are people who have a lot of money. I got zack down the roaches, somebody else. I'm a big fan of rage against machine. That dude like made his rage against machine money and it was just peaced out like, you know, he's a different cat. That's what I mean. But I like he sort of like, I mean I'm not saying it doesn't problems but Tom Morello probably has more problems cause he's trying to like I'm starting to band with Chuck d and The guy from Cypress Hill and I'm also releasing a solo and I'm also on tour with the e street band.

Speaker 3:          00:04:21       Like that's a lot of problems. Whereas whereas Zach's like every, every now and again I'll go with rage against machine and pick up that big check. Other than that, I'm going back to La. I mean, you know, so for me there's a level of money you can get where you can sort of just turn the volume way the guy can. Calvin and Hobbes is another dude like you know, the chemistry of Calvin and Hobbes was the biggest comic strip in it. Like at that time, people loved it. People worshiped at some point after 10 years like I'm done and hasn't been seen since. That's a good move. If you could pull it off, that's my, that's my goal. That's my goal. My goal is to get to that place of like there's something, I don't know what the number is, but I feel like there's some number where you go, okay, that's the number where I can put it in the thing and the, in the, in the index things and they sits there to just.

Speaker 3:          00:05:00       And Yeah, I'll be gone stockpile and then disconnect. Good luck everybody. Yeah. And maybe still like the thing is every now and again you sort of pop up to go, hey everybody, but I don't, I don't have the need for the attention part of it. It's like a, you know, I liked the work I do and I want to do the work I like to do, but I don't have any need for the star part of it. Yeah. Yeah. That's, that becomes a real problem. Way better off with the resources, but no star. Yeah. We just go to the mall. Nobody fucks with. It's like the, it's like the guy next to oprah who nobody knows their husband. There's also another guy, some white guy who's like, just the guy who maybe he's the assistant or the manager. I don't know what the name is, but yeah, there's this, these people who were like, hey, you go do the thing and I'll be here. Yeah. Well that's a good move if you're like, if Oprah, because oprah is such a huge figure that nobody's paying attention to you. They're so focused on her, you know, if you're two steps behind, you're good. Yeah. Yeah. Anonymous slide around. Yeah, no, it's real. I'm a, yeah, for a project I worked on, I actually met Oprah for this thing and if there's a whole team of people who are like, it's like

Speaker 2:          00:05:58       a 40 year old white women who feel like they're in the Israeli army, like we will take you down if we need to, and then oprah floats to the room like this happy beam of light and they're like the ones who were like, no, we'll take care of it if it's a problem, but you got to be intensive here around a person like that. Imagine how many people are trying to grab at Oprah. I mean, I'm sure you get crazy like requests and bullshit all day. Imagine what it is to be Oprah. I can't. Yeah, see. And that's what I see if I got to oprah's level and she's like mean she's doing a great work. She's the own. There's like she's helping bring other people up. She started after the. If I had done that show, I'd be like, good luck everybody. I don't know.

Speaker 2:          00:06:38       I don't have that level of trying to be in the thing. She's got so much power. She kept Dr Oz on TV after they brought them into congress because he was lying about miracle weight loss. Dr Phil still has to show that she's making money off of the Dr. Phil never had like a scandal, like no, but I just feel like he's quietly. It's like, it's not like he was a big deal at one right now. He's like, he still like you turn it on. Oh, he's still on. Yeah, and she's sitting in her chair break. Yeah. If you're like a housewife and you're sitting at home and you know, you want to find out what's wrong with the teenage kid. Oprah got sued by meat, you know what I mean? Like you and she was on her show and she said, I'm not gonna eat meat anymore because of red meat.

Speaker 2:          00:07:17       And it was a whole thing day. It was a, there was a, some sort of like when I was a court case. Yeah, it was somebody's gonna have to go say something. He said on the show. She basically. I must've been about a particular company, but she said something about not eating red meat anymore. This was back in the nineties and then I think that's how she met Dr Phil because he was like a jury consultant. I know too much, but yeah. Interesting. Oprah Winfrey versus the beef people in 98. President George Bush. Wow. I did not like Broccoli. I have not liked it since. This is a little different people things. This isn't live, so yeah. This is an audio story that you should listen to, but they're just interesting. Interesting. Yeah. So she got sued about beat. Who fucks odor? Some Meat Corporation in Texas because she had.

Speaker 2:          00:08:01       She actually had to move her show to Texas because she was like testifying. Yeah. What did just say? I wonder what it was that she says something on the show about like, I don't think I'll eat meat anymore or something, but you can't say that I don't like. I'm not quoting her directly, but it was something about a. It was the mad cow bla bla bla. Oh, was that it? Veggie libel laws. I was at least some weird shit. They only have in Texas, probably brought her to Texas. I didn't move her whole show to Texas because shoot above.

Speaker 2:          00:08:35       Meanwhile, have you watched. I posted a youtube video on twitter earlier today that shows the contrast between what Houston used to look like versus what it looks like now. Holy Shit, it's still raining there today. Still raining there. That's the thing. People in understanding. My family's from Alabama, so I know how hurricanes work. The hurricane hits. That's bad because it things down and knocks buildings over, but then the water rises, so that's when it gets. That's the most of the damage done. It's done from the flood. That happens after the hurricane, flood and then mold and fungus. Like a lot of times you have to destroy houses just because they get ate up with black mold. Like look at the beginning. If you bring it to the beginning, Jamie, and it'll show what Houston used to look like. Like, look at this. You can see the river and now look at this, and then it keeps going.

Speaker 2:          00:09:18       This is fucking insane. It's insane. Just the river. Houston is the city that many hurricane Katrina survivors from New Orleans went to. Yeah, so if you're. And some of them couldn't go back because in New Orleans, New Orleans never got rebuilt and a lot of ways and so there's people in Houston right now who moved there because of Hurricane Katrina and this happens. Why? Remember I went to Houston like six months after Hurricane Katrina and there was a ton of people that were, that had to move that we're stuck there that will like piled up together in houses like many families and small houses. Did you hear that Joel osteen thing that fucking dare you? He lives in a basketball arena. I mean he doesn't live there, but his church is the old Houston Rockets basketball and it's elevated. It's got 16,000 room for like 16 to 18,000 people in there. Won't bring people and now he has got internet shame.

Speaker 2:          00:10:12       This is, that's all I remember. Sometimes Internet shaming. It's okay. Sometimes it works. So are these, the people that are in there now? That's just how big it is. That's how he bought the place where the Houston Rockets used to the churches in a basketball arena and it's all about the prosperity Gospel, but he put up a link to donate money for the flood, went to him. It wasn't the Red Cross and he was like, after he got Internet the first time you put a blink, donate money for the flood relief here and it was just the link on his website. It was just a donate to his church. He's so sketchy. Yeah. So sketchy man. When you're making billions of. I mean how long, how much cheese making, but you're making that much money for the Lord and how much tax free tax free. That's the thing because he's right because it's a church.

Speaker 2:          00:10:54       That's terrific. Yeah, so he's making twice the money that people have that level of. Come on. That's so scary. Yeah. Well that's like when you found out the scientology doesn't have to pay taxes, just like, wait, why? Well it's all. I mean, you know, it's all a bit like you should know if they're not taking. Paying text doesn't make any sense. No, it's completely sketchy. There it is that his, uh, his, his page on his website A. Yeah. So Houston give now to him. Yeah. You know, I'm going to take a little piece. Yeah. Well I gotta I gotta overhead. I can't website bills that handles this. I got to pay him. I got a manager and an assistant tricity Internet connection server fees to get this page built. I'd have somebody do this page. Yeah, like three of that was so, like just, I mean just so tone deaf to send out thoughts and prayers.

Speaker 2:          00:11:40       Dude, you got money, you got a fuck load of money and it all comes from preaching the word. So yeah. So you first send out that link and then people said no, and then he said it and now the doors are open and now they're taking liquids. Doors are open. We receiving anyone who needs shelter. And let's be clear, there was apparently somebody tweeted out that there was like all the mosques in Houston had opened their doors already and we're talking. Yeah. So you know, America, those guys, they just too much money involved. When you stay at like does Joel Olsteen? He must drive like some crazy car too, right? Yeah. I'm sure he has many creative. Find out what Joel Olsteen drives. I want to know what he drives. I guarantee you it's not even a cadillac. Right? It's probably like some ridiculous Bentley or something.

Speaker 2:          00:12:22       Something stupid with like a, a golden cross on the hood. That's the Prosperity Gospel. If the preachers rich, then we're all rich. That's the. Is that what he's preaching? It's called the Prosperity Gospel and it's not just him. There's several southern evangelical preacher. It's called the prosperity ministry where you preach that if I do well then you're doing well through me. Ooh. Yeah. And then you'll eventually, eventually you'll do. Well eventually it'll come to you, but it's about the. Why would you want the preacher to look bad if. Because the preacher is the representative of God. Oh yeah. I saw one where this guy was talking about people that have no money, that if you have no money, if you donate whatever you can, even if you have no money, the Lord will pay you back tenfold. Yeah, that's, that's exactly the thing. That's exactly. Yeah. It's totally ruthless and it and those. Of course, those people end up falling for their scandal. I mean, it's the same PTI or the uh, Tammy Faye Bakker Chin banker. Yeah. It's just so ruthless to go dollar grief. Dollar dollars. Awesome. It's kind of like hot dogs in the back of his neck, back of his neck was like these big thick roles. My favorite is Robert Tilden. The guy would talks in tongues. He said this once. He goes, every time you write a check to me, Satan gets a black guy.

Speaker 2:          00:13:43       Did you find a car for Joel Olsteen? He must have some bomber vehicles. Not. I kept trying to find a better, like official, but like these Ferrari's are coming up. Oh, there you go. Not officially his. It doesn't like he's not in it, but. Wait, what about that one? The one that's in front? Yeah, there you go. Oh, he lives in river oaks in Houston. Maybe that's his house. Put My card down on the left. That the not. That's really him or not. It's too small and it doesn't. Oh yeah. Doesn't look like him trying harder. I'll try to find it. Don't worry about it. Forget it. We have to crack the mystery. Nit picky. He's doing fine. If he doesn't own a car and he's still doing fine. Yeah. He's managed to rake up ungodly sums of money and do so without too much scandal. No, no. Yeah, no, he's. But the money should be the scandal, you know, like I think that's the, the fact that, you know, and it's because, you know, the whole God thing is caught up in our government. So there's people in our government who feel like, yeah, he's doing that. This helps me out. You know, I can't, I can't be mad at him because I'm trying to be like him. I think had happened during the Reagan administration. That's when they first started bringing in those

Speaker 3:          00:14:52       right wing evangelical people and making them a part of the Republican Party and a part of the campaigns and those people all claimed to have people who follow them. So you want them, you want them to support you. And so yeah, and they will and they will like loyally. It's a very creepy situation because it's, if you can tap into that market, I mean if you can tap into that market now it isn't. Market isn't really clearly is. I mean it's nothing more than that because if they had real integrity, they would leave it out and they, you know, they wouldn't go after those people and try to use those people to win. Oh No, these people are doing God's work. Let's just help them and prop them up and leave them alone. No, no, no. There are a pawn the pawn in this whole little silly game, this game that's got ridiculous.

Speaker 3:          00:15:36       Like where do we, where are we right now? Like, but now that you have your show, you're CNN show, I mean you're on CNN so you won't see it in. Do you get a fake news? Yeah. Do you get that? Do you get people claiming that you're a part of fake news? Yeah, I mean, yes, but not any. I mean just like I'm caught up in the storm, like, you know, it's not like it doesn't always come and meet with somebody was like, I did something. It's almost like another cnn fake news journalist and I was like, hold on, I'm not a journalist. I'll take the fake news part, but I'm not actually a journalist. Standup comedians. Stupid. Yeah. Yeah. So I mean I get caught up in it, but I think yeah, I mean I don't, it's not coming to me in a way it's coming to other people, but I, I.

Speaker 3:          00:16:13       The bigger thing for me is that when I took the job at CNN is that a lot, because I live in the bay area, so a lot. I was like, what are my friends gonna think CNN is not as much as the right ones to say. They're the liberal news media to my friends. They're not the liberal news media, you know? So what is it to your friends? I'm very middle of the road, probably leaning to the right. CNN leans to the right. Yeah, yes. Yeah. Who the fuck are you hanging out with? I live in the bay area, man. I was out there on Sunday and the rally mascot blocks. What's the point of that? I went out there with my face. Look at that. Look at this celebrity star who showed up at the rally. Yeah. Yeah. No, I. Yeah, so because I, you know, I know the people who started black lives matter.

Speaker 3:          00:16:50       I know the people who they don't look at CNN go, this is the liberal news media. You know? Isn't that funny? It's all perspective, right? Yeah. And I'm not. There are lots of perspectives at CNN and CNN doesn't tell me to make it. They don't tell me to do anything other than what I'm doing. I want to be clear about that, but I'm saying the perception from people, I think it's funny like some people see it as the liberal news media and then I have friends who see it as as maybe the center, but definitely but also or leading to the left or lean to the right and I'm just like, well, you know, I'm in there and I'm not doing anything different because I'm there. Well, you have a different perspective also because you have essentially an entertainment show. Same as Anthony Bordain, essentially an entertainment Anthony Bourdain show made my show possible that be there without any antibody.

Speaker 3:          00:17:31       Well, really Jeff Zucker, Jeff Zucker is a brilliant guy and I was working under him when I was doing Fairfax factor. Yeah, yeah, yeah. I got to meet him. He's very, very smart guy and that was a brilliant move to have things other than these shows that just continually show over and over again. The collusion, Russia, collusion with Russia, Russia. Like now it's just like a Houston over and over, like you know the sac. Look at this, look at this rain over and over again at anytime during your show. That's one thing. They'll be on news network. Anytime some shit goes down, they will bump your show. Like if I record your show and then I'll go to what's this Russia. We have been. People think we've been bumped more than we have. Sunday nights is the best night to be on the news because the news things don't happen, but we've been bumped for the Orlando shooter, which our episode was in Florida that week. I was like, yeah, let's take us off the air. Like you know, I don't want to be looking like, look at how fun it is in Florida.

Speaker 3:          00:18:27       We did a spring break episode. It's like that's not what I know. And then we got bumped the last episode of the season got bumped the camera where it probably Russia. I don't remember what it's for, but yeah, so we've been bumped twice, but the people who really hit it, like the history of comedy was on CNN on Thursdays. Don't be on Thursdays. Thursdays. Yeah. Thursdays the world is happening. Trump is tweeting, you know, things are, things are going on in there and people are more likely to pay attention to breaking news on a Thursday and a Sunday. Like it doesn't have to be. People are still keyed into what's happening today, whereas on Sunday we're all sort of like a take a break. I think a lot of people thought that when trump got into office he would stop with all the insult tweets and with all the stuff that made him a popular person.

Speaker 3:          00:19:09       Yeah. And then all of a sudden it went from being like something that like, look at this guy. He doesn't give a fuck. Look at him. He's running for president, man, he's going to win. I think he's good. He's our guy. And then all of a sudden they're like, hey, you're still here. You're still. I mean, even right now, a midst all of his sort of somewhat. Okay. Presidential Style tweets about Houston. There are tweets about his enemies. He can't even like take that. Let me just not enemy tweet right now. He's still in the middle of talking about these things be well, uh, Obama just sent out a tweet like, hey, everybody support the Red Cross. Yeah. You know, it's like that. Where's that tweet? You know, so. Well he doesn't, you know, Obama, obviously it doesn't have to do anything and everything he does because it can be completely from his own thoughts and he doesn't, he doesn't have an agenda.

Speaker 3:          00:19:52       Yeah. But I think that, I mean, again, I guess I know people who were like, maybe it's time to have some thoughts in an agenda as we were sort of in a Bama. Yeah, yeah, yeah. Like there's a written article that said I didn't read the article with the headline, said something. Be honest about this. Obama, the, the, the thought is that he's going to come back in the fall to help rebuild the Democratic Party. And I feel like we don't, if we're going to be here in the fall, you know, what, why are you waiting? What's going to. Why aren't you here? Why, why put that off? Like things are happening now. You know, now I get, he's playing like that star trek chest where it's three levels and things are happening and he's seeing things I can't see and he sees the matrix, but I feel like I'd like to see you before the fall, even though the falls only like two weeks away. What could he do other than, you know, got a lot of money or certainly has access to a lot of money for sure. Which means you have a lot of him and he has it. He still has a lot of influence, you know, so I don't know what. I don't know what he could do, what he could do. He could do something, you know? I think that, you know,

Speaker 2:          00:20:48       even if you just responded to every Donald Trump tweet, I'd be like, Yay. Right. Like I think there's, there's, there's, he's amassing power for something and maybe he's got some plan that I'll be like, oh my God, you know, but I just feel like he certainly is. You know, he's still one of the most influential people on the planet. Yet, when you talk about like the three level testing or multilevel chesting, you gotta wonder like at what point in time does a, some sort of a candidate from the Democratic Party arrive? Like where are they and who are they? And are they thinking, you mean is it Gavin newsome? Is it, who is it? I mean, I hope it's, I mean, I guess I'm a, I will say this, I think my party affiliation is Democrat, but I'm not somebody who's like repping the Democratic Party is people sometimes think I am just because I'm against Donald Trump.

Speaker 2:          00:21:34       But uh, uh, so I would say this, that I hope that that person is somebody whose name we don't even know yet because I feel like the thing that happened with Obama as he came out of nowhere, and I think if you go to the usual suspects with the way the current stories current setup, you're doomed. If the electoral college is still in place in four years, then then we're doomed. If we go to the usual suspects, well Obama might've come out of nowhere, but a lot of people were looking at him like, this guy here, you got this guy, Harvard educated, very articulate, good looking smooth, clean, clean is Joe Biden said he was. He was calm like that was the most. When you look at the way trump has been responding to all these things, how he freaks out when he gets a small crowd in Arizona at a press conference.

Speaker 2:          00:22:13       I mean the. The thing about Obama that stands out more than anything was his composure. Yeah. He was. He felt like the adult in the room, whether you agreed with him or not necessarily didn't agree with everything he did. He felt like a grownup who was making thoughtful adult decisions that sometimes I disagreed with, but I knew he had thought them through. Well, and also one of the most important things about being a president is the president sort of sets the tone for the rest of the country. Like he represents the country. Now when the president represents the country and he's talking shit about people bleeding from plastic surgery and you know, fake news and yelling about this and then saying things that are just absolutely not true, it turned out to not be true and it's like, and you have to like look at it and then you vet it out and you go, Whoa, homies fucking lying and all the associating with people with known conspiracy theorists and you know, and white supremacists and you know, to me it's like you're again, you're saying you setting the tone for the country and all those people feel certainly embolden by him and empowered by him in a way that is not healthy for the country.

Speaker 2:          00:23:15       Well, even if he doesn't support them, that whole wink and a nod. That's what I'm saying. It's very sketchy. You, most of you as you know, we know that most of communication is nonverbal. Yeah. So the fact that he doesn't have to, even if it sounds like he's saying the right thing, if it's not landing with the people, he's talking about the right way. Like if he says, you know, I support the blacks or whatever it is, it's like if it doesn't feel like that to the blacks, then it's not. That doesn't mean anything. Well, people know when you're saying something from the heart versus when you're saying something for damage control. Like Charlottesville, like when he came out after Charlottesville and said that people were behaving badly on all sides, on all sides. Did you get out Nazi that ran over a crowd of protestors?

Speaker 2:          00:23:53       He, he hit the gas and ran over other white people. You dumb fuck this. This is so crazy. So to say on all sides. This is so crazy. And he improvised that part. That was not in the speech. He, that was his riff on all sides because that was it. I think it had been written for him and he was like, you know, I can't, I gotta I gotta put some magic in here while I am of the belief that nonviolence is always the answer and that running around with masks on hitting people with bike locks were showing up with sticks and bats and the shit that people are trying to do. I think although their heart and their mind might be in the right place when you show up with, with bulletproof vests on and helmets and sticks, people see that and that is an act of aggression and the opposition is going to show up in turn with something similar or worse.

Speaker 2:          00:24:44       It escalates. Well, I think the problem is, is that I was in Berkeley, like I said in the weekend at the no hate in the bay rally that was supposed to, you know, that whoever said they were going to show outright, people will also be named white supremacists. They were going to show up like 40,000 people showed up. But somewhere between three, three and 4,000 people on which side? Mostly on the side of not, not the. Alright, so all told. Yeah, yeah, yeah. But it was like the, the, the side who was like, not in our streets. This is Berkeley. We don't play this shit right. Was way over. Was Way bigger than the, than the side from the white supremacy. All right. Side. It was not even close as it was in Boston. Yeah. Yeah. So, and the, and overwhelmingly there was like 13 arrests and as many people pointed out there's more rested a raider team, you know, like it's not, it's not a lot of arrests and sometimes you get arrested because they were like listen, get you the fuck out of here or this is, this is a safety issue or you know, so it's like 13 arrests and people were injured.

Speaker 2:          00:25:37       No deaths thankfully. But if you look at all the mainstream news reports, it's like, it focuses on those people who, the Antifa or the people who were the black bloc anarchists who were there to like fight with people and, and for pe I was there. There was old people there, there was young people there, there was, I had a friend who was like, yeah, I got an alert on my phone. It said that, uh, that there was a tear gas and I was in the rally, like there's tear gas, like he's in the middle of the rally. CNN or the San Francisco Chronicle is like, there's tear gas in Berkeley. And he's like, there is. And all that stuff got played overplayed. And I was there. My wife was there and it was a, it was a very beautiful day. Despite the, despite the reason why the day to come together, well that's a real problem.

Speaker 2:          00:26:15       And that the media needs something to bleed. They need some tear gas, they need a riot in order to get clicks. It's just like that New York Times article that I'd talked about with the economy, Mcgregor's face being completely bloodied and fall. No, that's you doing that because you're trying to sell newspapers, not because that's what happened and you haven't hired anybody there on staff who actually knows the UFC or boxing or knows combat sports. Like that's to me it's like we need an article about this. Well, and also having someone with a perspective would go to that rally and say, look how many people were here that believe in equality, that believe in unity, that believe in peace, that just want to support this idea that the community is filled with way more of those people and the people with the bike locks and the face masks and you're talking about a few scrambled individuals.

Speaker 2:          00:27:04       People you know. And here's the thing about those people, they don't show up when it's just a beautiful day at the park. Like you know, nobody. I live in Berkeley. Nobody's walking through Brooklyn who god is and t for about to show up to the farmer's market. Like those people don't show up unless the shit hit the less they feel like the shit is hitting the fan, but what concerns me is that those people, when they're wearing the bike masks or the the masks and the fucking vests and the knee pads and all the shit, that's where you get those assholes in Charlotte that showed up with guns, like those guys that were open carrying and Charlotte with bulletproof vests on walking on the street showing trigger discipline with their finger on the outside of the gun. I was like, how the fuck is this allowed and dressed and many of them just in the military garb.

Speaker 2:          00:27:45       So they looked like they were part of the military. It was like they were part of law enforcement. So you know, like that was the real problem too is people thought they were. Some people were confused and thought they were on there like they were part for the part of law enforcement. I think the thing, the thing about Antifa I would say this too, is that the reason why Antifa even has a room to exist is because people in those communities don't think they can count on the police, you know, because the. There were two other protests in Berkeley, that's that it erupted in violence because the police were standing by watching it happen. Right. They didn't go in and break it up and that certainly happened in Charlottesville to what's been said, and I don't know if this is true, but it's been said that the police were instructed in Berkeley to not engage with the anarchists.

Speaker 2:          00:28:26       Yeah. I don't know how that works. I know the mayor of Berkeley, I don't know. And then I found this out recently that the mayor of Berkeley is now in charge of the police, which I'm like then what's the point of being the mayor? He was in charge to achieve. I guess the chief was interesting. I had never heard of that before for NATO. Green told me that he talked to the mayor. He's like, I'm not actually in charge of police, and I'm like, why are we listening to you talk to the boss because how the fuck are the mayor have enough time to be paying attention to every single issue that the police have to deal with when he's dealing with every single issue that merits to deal with. But that means that the president is in charge of the military sort of, but he's.

Speaker 2:          00:28:59       So it's one of the things that the president has done is sort of given the power to the generals and that's one of the things that the military really enjoys about trump. Yeah. As opposed to any other presidents. They feel like the handcuffs are off. Yeah. But I think that at the end of the day, the president can, you know, Kim consult with, if he tells the generals go do this thing. They have, you know. So I feel like that's the kind of. I don't, I don't, I don't. I mean I think the president has too much power of the president is you know, many people have reported can launch nukes if he wants to now. And it would have to, somebody would have to like violate his order to not launch the nukes. So I think there's too much power there. But I do think it's weird that the person who you elect to lead the city isn't in charge of the, of law enforcement.

Speaker 2:          00:29:35       Well, as soon as he. Pardon Joe Arpaio, that's when everybody went. Wait, there's no. I mean, there's no serious debate. The problem is now we have debate about things that were there. These aren't two equal sides. There's not many sides. There's nobody who seriously knows the law or knows or knows what. Joel prior history, who believes he did was not guilty of those things. He bragged about the things that you're profiling people and bragged about abusing people. So there's nobody to about people dying in his prisons because they had heat stroke. Yes. I mean he couldn't get cold water. These people are out in tents at 120 degrees. Yeah. There's an article that somebody wrote in. This kid was born in Tijuana, lived in Arizona, and got arrested for drunk driving and spent a year in those, uh, those camps, you know, look, he, he was raised in America is essentially an American even though he was born in the wrong patch of dirt for some people.

Speaker 2:          00:30:27       Yes, he's an American. He just got arrested for drunk driving and did a year in this tent and was talking about how people died around him and talking about the food that they ate and how ruthless that can. And you know, some people have this opinion of like, Hey, well then don't break the law, but that, that is a god damned convenient way to look at it and not. It's just not very humane and not very. Not what we're supposed to be in this country. I mean, we're not supposed to be a country that is that. Is that punitive with the law? We often are. And also we know the one thing we know what America is, that the law is not equally applied to everybody. So you know, a rich guy, rich white guy drove drunk driving. He's not going to prison for a year pilot, which rich white guys in jail.

Speaker 2:          00:31:11       Unfortunately everybody. Was it in that prison? Was he going to the outside hot prison? He threw a lot of people in that hot prison and he's a cunt. I guess I was talking nationally, but our pilot, but that the law is not applied equally to everyone. You know that we know that if you have money in been privileged you can get out of situations, but that other people don't have money and privilege can't get out of here. I know comedians that have been arrested in La for drunk driving, they never did a day in jail and this one kid who was born in Tijuana does a year in a tent. You know, it's. I mean, look, you shouldn't drunk drive. No. Yeah, that's. I mean I feel was the punishment. Yeah, you should be. You should. If you break the law, there should be repercussions because you don't have control of your body and you're driving a deadly vehicle and you could crash into a family.

Speaker 2:          00:31:57       Look, there's a lot of real, real, real issues with the law. Like I mean, like I did, we did an episode of united shades in the first season about St Clinton, about lifers in prison and St Clinton and I talked to a lot of guys. First of all, none of the guys I talked to said they didn't do it. Everybody that talks like, yeah, I did it like I'm guilty of thing. I did. But when you heard what they did, a lot of times you're like, is that life in prison? What do you get? Like what? There's a guy who was convicted of robbing two banks that he, he, that's bad. Let's say that's bad. Definitely bad. Nobody died. Nobody got hurt. Certainly people were traumatized by the fact that robbed the bank. He didn't even have a gun. He did the thing because you could rob a bank by just saying, give me the money. I have a bomb, you know, like whatever. I can. So, but didn't have any weapons, anything like that. Now that's bad. But he's like a, he's probably in his sixties now and I met him and he's one of the coolest people I've

Speaker 3:          00:32:40       met. He's a leader in prison. He's one of the guys who runs the newspaper and he invited me. He's like, he talked to my agent was like, you're coming back in September to speak to the guys. Like he's just, he's a total leader and he's in prison for life for the rest of his life. Not Joe Pile. Yeah. Our is directly responsible for people being dead. Yes. Yeah. There's a ton of people that have mysteriously died inside that guy's prisons and, and that's, that's the part about me. It's like there's these. This is not the same scales of justice we're talking about. I know there's a guy who got a third strike in California because no California third strike law that happened for firing a gun in the air. That's bad, but that ended up with them getting life in prison and you're just like, it's bad.

Speaker 3:          00:33:20       It's bad. It's not. I feel like I'd have to say that enough. I'm not saying let every, every inmate out, but I'm saying it's bad, but life in prison. Well, the idea that you could never reform people, that's. That seems insane. And the. Well, I guess there's the other perspective is where are the resources going to come from to actually reform someone? How much effort does it take? And individual cases are different and some people really are just habitual criminals and there's nothing you can do about it. And if you do release them and they continue to do a crime or they hurt somebody that they didn't have to, like where does the burden lie there? But I, you know, I think Norway I believe is the country, Jamie, when I have to look it up, that the longest prison prison sentences you can get is 20 years prisoners live in like one bedroom apartments.

Speaker 3:          00:34:03       Like they, you know, they have tv, they have. And the whole thing is like, and this is San Quentin has, is to, there's rehab programs. I talked to inmates who said that and then after 20 years in Norway, they talk to you and go, are you ready to go back outside? Like they don't let you out automatically, but they sort of checked back in with you. And so if you're not like the guy who shot up the, uh, those people in Norway, he's not going to get out again. But the whole idea is that small percentage of prisoners serve more than 14 years. Wow. Yeah. But the thing is, they're in there like, like in San Quintin, uh, I talked to inmates who said in most California prisons, the rehab programs are aaa and Jesus, like that's all they have is Jesus. Exactly. Yeah. So, yeah, just a pathway to Jesus. But in San Quintin there's a newspaper, there's, there's a, there's, there's a restorative justice programs, there's a, like a, you know, there's a plate that you can learn how to code.

