Speaker 1:          00:00:00       Young Jamie [inaudible].

Speaker 3:          00:04:55       She thinks it's kind of cute. That's weird. Right? That would never happen. I'm confused. Is the husband, I never, never watched the show. So help me out. Is the husband gay? I don't know what you're saying. That's a gay couple. So it came up a gay cop and a young and a young college kids move in next door and one of the guys, one of the gay couples crushing on the guys that were one of the guys that moved in next door and it's kind of a cutesy crush. Oh Wow. And they're really blatant about it. Like he comes over and there's like these moments of like he's being flustered and I have nothing against that. But I'm just saying you would never see that in a heterosexual couple on ABC now on ABC. Well I think some hardcore stuff right there. I think even though a lot, what does that mean? Well, a lot of times gay couples will take like traditional sort of almost husband and wife type roles. Like it's really common for sure. One of the, one of the guys makes all the money and the other guy sorta stays at home and maybe they even adopted kid and he like raises like a mom. Like yeah,

Speaker 2:          00:05:58       like it's so, but I think ultimately we still accept that gay guys are guys and the guys are just going to be different. The same as like two girls becoming lesbian. They're not going, I mean it's like people aren't asexual if they're gay, you know? So people becoming lesbians, they would probably have a different attitude about monogamy than people becoming gay. I would just imagine. Yeah. It seems like overall lesbians are like, they're, they're letting love in, they're monogamous. It seems that when it seems like gay dudes are like open about not being monogamous and Nicola [inaudible] I don't know too much. I don't know too many lesbians that where I've gone deep into their life. More monogamous. It seems like generally lesbians or more girly and monogamous love. I feel like super weird about asking that kind of shit to a lesbian, like a gay dude.

Speaker 2:          00:06:51       I could ask a gay dude, they're like, Justin Martindale. I could ask that dude anything. Generally wilder ride, they're like, yeah, guys are like guys and girls are like girls, whether they're lesbians or gay dudes. You right. That's what the girls like a super like masculine, like, like a male. Uh, butchy gay girls generally still don't feel comfortable asking him. Like, you know, like how it works. They might get offended. There's not lesbians meeting each other and bathrooms. It's not girls doing that. Right. Generally it's usually these, they push each other into a stall and they started making out the heterosexual world. What percentage of strip clubs in the United States are for men? Well, there's a lot more [inaudible].

Speaker 2:          00:07:40       There's like one chippendale's, the county shit. You got to do some research and if they're only open on, you know, you gotta make your reservations and shit the fucking like, it's a different experience. Like when girls go to see men strip, they scream, they scream and they throw money in the air, they get crazy and they'll rub their face on the dude's dicks. Like girls at Bachelorette parties, they go, fucking ma'am. Is it because they don't go as much? Like as often, you know, in the agreement they could go off on bachelor parties and they're not. Yeah, they're not going to say shit. It's like what happens at the Bachelorette party stays there. Right. I had a friend of mine who I used to do taekwondo with that was a male stripper, two friends of mine actually. One was his young Puerto Rican kid and the other one, this is older white dude and the older bite to it was a really nice guy and very smart guy, but he was like over the top. Strange Big Jack. Was He shredded though? Jack Black Belt. Black Belt martial artist. He was a big Jack Dude, you know, but he was telling me, he was like, these women, they go fucking crazy. Like it gets really scratching column and she just sucking tech daughter friends.

Speaker 3:          00:08:56       The girls who were getting married, we just suck his dick in front of their friends, cut to the guys strip club to dudes by himself in the quarter, all quiet as flushing fucking strip clubs when it was dead as fuck. I worked those Saturday day shifts, that shit is, you open up at 11 and there's one girl and no dude's this weight. You're looking at the security cameras to see and then one guy walks in, boom knee sit there and he's, it's Saturday and one 15 girl. She's fucking in Shitty Shit and I'm sitting there playing depeche mode and shit.

Speaker 3:          00:09:49       It was dark big. My friends like, dude, you're so lucky you were in a strip club, just origins going on and I'm like, dude, you get me a job, I'll just pick up cokes. Larry said, man, you're so lucky. I'm like, ah. But then ended up moving up and getting good shifts. You just wait for the Nike Jan? Yeah. When you first get in, you got the worst shifts. Saturday day, Monday day, Saturday day darkness, just dead. There's a UFC fighter is a stripper for awhile. Crunchyroll Detroit superstar. Yeah. He's over in Japan now. He's fighting for a rising. Oh, that's right. Yeah. He's over there now. He was American ripper. He's a funny dude, man. He's got a hilarious mustache now to follow his instagram. It's awesome, but it's just him shooting things. He's a fucking sadness. He used to fight in UFC. Yeah. Dan cruickshank probably run through more rounds of ammunition than anyone in this entire town in a year.

Speaker 3:          00:11:05       Fuck yeah, he's crazy. He's out there shooting shit constantly does instagram. It's all just him gunning things down. He's a wild motherfucker dude. He's fun to watch fight. He's a good fighter. He know. He was getting more and more comfortable with keeping fight standing and is when he became more and more comfortable keeping fight standing. Then you get to see how good his kickboxing skill is. He's a really good kickboxer. Really good. I know I say kickboxing mean is boxing. She'll at least the traditional martial arts basically, right? Like what was his, uh, his original background, karate or taekwondo. It, it's really, really good man. Really good kicker. And so like, you know, when a guy like that makes that transition hilarious. Jack Jacked with a candy cane Roos Dick, let that go back to that Jamie. It's fucking, you be like, look at us. Look at the first one you see.

Speaker 3:          00:11:55       The first one you see is if you click on that video, it's Darrin cruickshank just fucking going crazy with a machine gun. He's just fucking shooting things constantly, man. This dude, oh dude. If the fucking shit goes down, go to Darin crookshanks house and ask if you can get it. He's a fucking look at another video looking at, he's got a picture of all these Japanese girls staring at his package lasering in on his dick like agenda is what they're doing. Then he's killing it out there. Whoa. I mean that's a hilarious picture though. He's a funny dude, man. And I don't see, I don't think the UFC figured out how to, how to recognize that. You know what I'm saying? Like how many dudes that you see fight or like kind of almost like the on the outside it's like the bland, like everyone's the same because you don't get to know them.

Speaker 3:          00:12:51       You don't get to know like all their weirdness. So you know, if it's differently, it's flat, it's flat. So you need a story but on a reason why to tune into the fight crunch has a great story. He's a great story man. Do you think some people, um, had wore certain shorts and you recognize them by their shorts, like with soccer, rob, but he had the warrant, the flames and now, now that, uh, everybody's going to reebok, it takes away some, a little value if what you're saying is correct. If it said adding personality adds value to the fighters, which adds value to the show. Correct. Hundred percent. So actually letting them and encouraging them and letting them get a rash, guards and shit. You want to win. You want to be the fight of the waiters or rash guard. Fuck yeah, it's not a problem in women's mma.

Speaker 3:          00:13:43       I don't see why it would be a problem. And men's MMA. Tell him, show me the logic there. They, they should encourage fighters to, uh, where different Shit Melvin can imagine spots. I know that would grip. Oh Shit. Girls. Girls are wearing rash guards. Yeah. I mean that's rash guard. We'll fucking help your grappling for sure. It's a big factor. It's a big factor. Yeah. Uh, why they don't allow, I mean, they just haven't really thought about it. No one's actually just sat them down. It's all the best. Melvin manhoef when he fought k one, he wore them gladiator type art and cloudy. Yeah. Do you ever he, he started, started wearing those things, you know, start, it started that we stumbled Mcdonald. I'll go you one better. Alexis Arguayo. No, not a wreck. Stark whale. A Dennis Alexia. Alexia used to fight it. A grass skirt straight up. A straight up Hawaiian grass skirt. Mcdonald had like straight spartan. How bout, how bout Shinay Yucky when he was wearing them yellow tie to the rainbow. He was known for a statue. Couldn't wait to see what's new about collarbone and look that scary to watch that

Speaker 2:          00:14:52       shit allow that. They shouldn't encourage that. They're not cleaning product. Dell had those blue shorts, the iceman shorts, the pink ones. That's the personality. If they wear uniforms, they don't want to look more like every other league though. But it's a man on man. It's personality on personality. It's one, one dude. So his personnel, just one dude, that person, even if it's for dudes, all their personalities, you know, once you get to know him, they become important, you know? So the more you understand everybody in this case just to fighters, I also think that making it, I mean if you want to have a company that sponsors it, that the two aren't mutually exclusive. It's not like a company can't sponsor it and still have dope shorts that are different for each fighter. We have someone design their own stuff. You don't have to have, you know, the same like you have read and I have blue, like why correct.

Speaker 2:          00:15:42       It doesn't matter. Everybody knows you're you. Everybody knows you're you. Like what? Who are we confused? Like do we, who's the Red Guy? The right guy on top? Who's the blue? The WHO's winning? Well, I just feel like it takes away from the sport when you make everyone looked the same like in the nfl or something like that total because what people buy into and fighting and it's true with box and it's true with mma. They want to know why they should watch the fight. Cause you can put a fight on access tv if you don't know the fight. If you know nothing about them, they don't get, they get the ratings. But he loves cowboy. Yeah, exactly. His, his story, his story. We know, you know we know John Jones story now because this has been going through all this crazy shit and we know cyborg story and it could take to kick this thing off whether you want to talk about or not and you let me know.

Speaker 2:          00:16:25       But with Amanda Nunez, imagine just put yourself in her shoes right now. Imagine having the biggest fight of your life ever and the the, the fight. Everyone's looking for a specialty or female fighter because you get so much notoriety. You get all the camera's pointed at you people, you finally get to hear your story and she has a great story and then he can't do interviews. There's none of that. There's no promotion. We're not going to show your videos, can't do interviews. There should be no open workouts. Imagine being her right now. Like what the fuck? Well, the good news is she can concentrate on the fight and just constant. The the would always do that. I understand that and the good news for Rhonda is that she can also just concentrate and the fight, but she doesn't have to do any of these interviews. I liked that, but I don't like is, I feel like we have to respect what a champion is and it doesn't matter if you're the most famous person, you're still the champion. And we, we are the champion of a giant organization like the UFC. And how about she's the first openly gay women's MMA champion ever or amazing stolen champion. I'm a champion. There's never been an openly gay mma champion and she's fucking bad ass. It's not like she doesn't have a highlight reel and it's not like she's grabbing a hold of these girls and just sort of winning by staying on top and do nothing. So there's no highlights you can pull. Oh, she knocks girls out

Speaker 4:          00:17:50       and choke them unconscious. She's very good. So it's exciting. It's an exciting technical match up. It's an exciting story with Ronda coming back after being out for over a year. There's so much exciting shit, but to concentrate only on one person to sell it. I understand that that person is huge. I understand that person's the biggest person. She's probably right up there with connor. I would go. They both go back and forth. What do you think conor is bigger? That's not an argument. I would, um, I would agree with you. I would, I would lean towards that. My point is let's, with one victory, she could get launched right into that, that place again, I think it's a weird thing, man. It's like you're, you're a super talented person who's also this giant personality figure. It's, it's, it's more than just a fighter, right? It becomes his personality figure, especially for common like that, that his whole shit talking and marketing and he sends out a tweet to sell the fight.

Speaker 4:          00:18:49       Part of being a fighter is selling the fight. See what you want about floyd mayweather. There's not an interviewer camera heat in it looked towards to sell that Pacquiao fight cause in the end it helps the company helps. It puts more money in your pocket, it helps sponsorship everything. You can't say anything about floyd unless you were one of those girls. You smacked that well, but it's part of the Gig. You, you've got to sell the fight. So for me, and I think Rhonda is the favorite in this matchup, but she has to create these scenarios where it's me against the world. It's me against you. Sure she's creating and this, and this is a big marketing push. This is like, you know, this is the new owners of the UFC and this is this and this is the really banjo, but this is this really a cinematic thing that we're missing the boat on.

Speaker 4:          00:19:36       What would definitely mention the boat, the numbers will prove it. I bet you we'll definitely miss the boat on promoting Amanda, that that for a fact, but you don't think it was like a pretty exciting promo piece. I saw that Promo piece that got me fired up. I think the good thing is that it's like it's really exciting. Very well done. Cool thing. You gift, it's a garage door. You think this fight has as much promos? Say UFC two oh five in New York. No, no I don't. Or The conor fight cause I didn't know because no one's doing interviews. Yeah, no I 100% completely agree with you to that point but part of me likes, I want to see what happens when the pay per view numbers come out because part of me likes that the fighters aren't going to be bothered. I don't think you need to bother them as much as they get bothered.

Speaker 4:          00:20:20       I think when connor was, was pissed off about it when all those pissed off button will always different fighters who were doing these crazy tours are pissed off about this promotion thing. The, the idea about it as you trying to get the word out to as many people as possible, but I don't know if like that the price that they pay and being distracted from their training. I don't know if it's 100% worth it. You're talking about a world tour where he's like, dude, come on, I'm coming off the loss. Nate Diaz is a tough fight for me. One 70 I need everything

Speaker 2:          00:20:48       I can do to, to get this fight and get my mind right with Rhonda helps. Do you think that it helps these, these big promo tours? Um, yes and no. I, I, you know, I don't know if you need to go all around the frickin world and promote it, but there needs to be some sort of, um, publicity done. The for, for Rhonda especially,

Speaker 2:          00:21:10       I think her as a role model for females. You can't get kicked in the face, take your ball and go home. We want our champ to be like connor or someone where they go, I want back in there, man. Gimme gimme the fuck back in there. I need this. I think that it's cool that obviously Rhonda doesn't want all that shit. She's as famous as you can be. She doesn't want that. And someone just said, okay, you know, they'd let her just have her piece and focus on the fight. I personally don't really watch interviews. I don't watch that press, so I don't even know how important it is. All I care about is that fight. That's it. Once the fight happens, give me a little prod you a little promo. Give me a little our promo. It doesn't have to be like, you know anything fancy.

Speaker 2:          00:21:50       We're balls deep in it though. For the casual fan. My Dad's a casual fan. He has no idea she was fighting this Friday. I don't know. So for the casual fan, that's where I would think that it would make a big difference. People will watch espn and well that that's who buys paper views Joe, because to get that, to get that 60 $70 and here casual fan, they need to be sold on. It sounds like, it sounds like you own a piece of the UFC right now. You're making good points. Making very good points. I'm just being fun. No, no, I hear you that well, but you are making very good points. My, my issue is in, in Ron can do her thing, but you can't, it's a conflict of interest. Here's my, here's my cousin called me Gregor. Right. Cause conor goes, dude, I'll fly to New York and do a press conference, but I'm not going to vegas. Cool. You're not fighting. Right. Ronnie goes, I'm not doing shit. He goes, cool. Different different owners now.

Speaker 5:          00:22:42       Okay.

Speaker 2:          00:22:42       Different owners, however different approach. I mean it's a different business and in the amount of things are changing. They're changing the change. Joe, but also wme who owns the UFC manages Ronda Rousey. Yeah. They don't manage conor mcgregor. Right. So there's a conflict of interest there. Well, um, it depends because it's just a business decision. The only people that should be upset or probably the other people, what cody garbrandt and dominick Cruz aren't restricted from doing any interviews. Right. They're doing everything they can to sell the fight. That's a problem. It's good. They're going to sell them for me. That's for fuck's sake. I for Fox steep in it for short balls deep. The casual fans going, I'm not buying, I'm not spend $70 for those small guys. Now to me it's the number one five. You know, to me it's the number one flight on the card. I love cody is my number one fight rendered wants his promos. No, he's right. He's right. No, no, no. What I what? I wasn't added to the UFC to keep growing and uh, it, it comes with the territory you got to sell yourself. But do you offer the fighters? I'll don't you think that they're respecting their wishes like Rhonda just wanting to be left alone. She is the exact reason why she's famous as she is. Okay

Speaker 4:          00:23:46       though. Wait a minute, but you don't have to only do press while you were in camp like that media exists after the fights, which is easy for, for everybody just talk after the fights. But during the training and preparation, it's a giant distraction is going to take a lot of time. It did a decision if someone's as rich and as famous as Rhonda is a decision to favor performance over finances. So like maybe she'll make less money but she thinks that she'll be more focused on a performance would be better. I love that. I love that decision. I think really well when you're a really wealthy, successful athlete like her, you can do whatever the fuck you want. That's what I think. I think when you get to a point where you get to decide whether you're going to focus on making more money and possibly being less focused and distracted and maybe tired or even maybe get sick cause you're doing a lot of traveling versus only dedicate yourself to training.

Speaker 4:          00:24:40       He do all the fucking videos you want. Put all the promos you want. I'm not doing shit for the next eight weeks. So then where's that? Who's going to sell the fight? If everyone has that mentality, does that, is that the rule now? You know what I'm saying? No, I don't know what you're saying because the old way is not the only way. You could do both ways. You could do whatever way you want. They can go side. They could decide that they're a little promo pieces that they could put together without interviews are enough. They could fly. I might be wrong. You know what, they could just fly to her for two days interview or at our training camp. That's what they did for telling me. And then they take off. Tony was in big, big, really never left big bear. They came to him.

Speaker 4:          00:25:16       It was no big deal. It's, look, she definitely could do that. Or she could say, no, I just want to completely focus and let's see how this works. Her thing is, is that she thinks the media backstabbed her and that's why she won't do an interview like they turned on and when she lost, she's a very emotional person. It's one of the reasons, one of the reasons why she's so good. I agree. But she's a very emotional, to me it sounded like my voice was cracking up. I swear it roadmap the Cryo or some conversation, Doug. Um, but, but to me it's, if you're a a Rhonda Fan, like when you break the site down, there's an that there's a huge x factor. What frame of mind is Rhonda? If she won't even face interview. Okay. Maybe. Or maybe that's, yeah, maybe she's the most folks she's ever been or maybe she just can't deal with the question.

Speaker 4:          00:26:06       The Fra after the last fight. We don't know. Well yeah, you, it's, she's the only one who knows, you know, or like you said, famous is fuck lives in a mansion a lot about Amanda. Oh yeah. What about little for her? She should absolutely be able to do as many interviews she won, but she might not want to either. She might want to say, hey, good. I'm going to focus entirely on fighting Ronda to look. This might be better. It might be better this way. It's just like we were talking about weight cutting before. It might be better if people didn't fucking cut way. Look up. God damn good. Kelvin gaslin looked against Tim Kennedy. Look up. Goddamn good. Donald cerrone looks Donald's walking around like 176 pounds.

Speaker 2:          00:26:44       He's not cutting shit and he looks fucking amazing. He's head kick in Matt Brown, you know he's, he's running through every book. Tony doesn't cut that much either. Yeah, connor, 55 pounds. Those guys, man, they have an advantage. That's a big acid vantage. Wait, wait, cut. Yes, I agree hugely, but I think the way cut like the, I think there's benefits to it. Ultimately. Obviously you're going to be bitter when you get inside the octagon, but the performance hit that your body takes. Its super arguable at a certain level. There's a point of diminishing returns that a lot of these guys pass through, but then there's a few fucking examples. Like Damien Maia, Damien Maia cuts a lot of weight and he's just rushing people. Anthony Johnson and Johnson's cutting that much weight at two oh five bro. I think he might be 10 15 pounds. No Sir. You're really good at two 22 two eight guys.

Speaker 2:          00:27:39       I think he looks really happy as Ken, who's my offense as much. For a big guy like that though, for saying he's, I mean, 20 pounds, 20 pounds, 20 pounds is different when you're a heavyweight for light heavyweight. But he's, he's, he's lean too. That's true. He's jacked. Who's who's doing in March? A flight and Damien Maia, I don't know man. I think they're waiting to see the shadows. Woodley Woodley. If Woodley and wonderboy, you have a rematch. Woodley's campaigning for a fight with Nick Diaz, which I would love to see Woodley get fucking paid too. I like, I like what he's doing. I liked it. He's trying to get paid. She is just the big names to make money. I want to see it happen. I like, I like his initiative. I like it. You know, people are like, oh, you're just trying to get paid, bro.

Speaker 2:          00:28:20       Yeah. Yes. By the way, those are all fucking amazing fights. Like what are you talking about? You don't want to see him versus GSP. Yes. Tell people to lose your number. Tell them right now. Lose your number if you don't want to see that fight. He wouldn't want to see that fight. That's the sport though. You want the biggest name possible with the highest pay day because either way you're probably getting punched in the face. Hey, but also I want to see the runnable wonderboy rematch. I want to see that too. I do but I'm not upset with any of the other seds or GSP. I honestly, I'm even on it. I'm even on Diaz GSP or the wonderboy rematch. I won't be mad at you and wonder boys up. Bad motherfucker dude. And when he was in that guillotine and didn't and it looked like his head was literally going to be body, I don't know man. He Ha maybe his neck is so small. That's what tyler was saying that his neck is so small you got to like really squeeze it.

Speaker 2:          00:29:13       Someone else was saying that too. Like his neck is so small. Maybe he can like make more room because it's harder to get a really tight squeeze on it cause Woodley had some big ass arms make up for it. Woodley also said that he's got a little head so his head could pop out easier. That makes sense. Right? A small head myself. It's an advantage not will not when you get punched in the face, if you've got some crazy alex caceres do that has gotta be an advantage to the guy hanging on for real. Right? Yeah. I mean to Alex. Cause if you get Alex because Sarah's in a canteen, like there's a lot of shit he's got to go through on a shit. It's not like my head was like, Whoa, whoa. Remember having uh, they had homeboy and um, Kenna shave his beard.

Speaker 2:          00:29:55       Oh that's right. A meal. A meal mic. You got a powerful beer cause it was called himself a meal. Meek forever. And then just the day before the fight, he told everybody was Mac. They're like, all right man. All right dude. Cool. Whatever you want. Do you have to ease that I bought just make one a mother fucker. Jesus Christ. Why is everybody having, why do we have to keep the dumb way of spelling shit that our ancestors who came over on rafts, they understand that you just can't make some shit. You can't? No, you can't. Well, you definitely to ease. Is he all right? It's not. It's just not. It's just not. We got rules. Motherfucker rules. Okay. We got rules for sounds rules man. I remember Roy being so pissed when he's fighting kimball, he want him to cut his beard. He's like, get the new advantage.

Speaker 2:          00:30:37       What if we get ahold of his neck? The commission was like, well I don't, it's Kimbo slice when I kinda this fucking beard. What do you want us to do man? So sad. I know the personality wars, you know, personality wars versus a, I mean look, he is Kimbo slice not beard is huge. You know the idea originally was that some hundred the beard protected you this ridiculous. That doesn't make any sense unless you have like some crazy Rastafari and wow fucking dreadlocked out beard. Like if you could have like a thick roped up, dragged, locked out beard, Caribbean Shit. Yeah. I think then you can make the argument, but who, what, what kind of a human is capable of growing the same kind of facial hair that you grow on your head. Does anybody ever grown? Jamie looked this up. Tapes. Anybody ever grown like a legit tait fletcher? A little bit. Right, but he needs to like roll that shit up and braid it. He does now take those. Yeah, braids it sometimes he's like that refereed to as that really long. Oh that's true. Just the referee the other night during a Mike Beltrani Mike, he's awesome. Yeah. Mike has, that's right. Mike has like ponytails cause he has picked face face pigtails.

Speaker 2:          00:31:49       Mike's a cool guy. He's great guy. Very good referee to one of the coolest guys I know. Super, super good dude. Super good dude. And he pulls out mustache off being that cool. He's the only one. Everybody started growing that much cash flow going to be like slow the fuck down. Stood his background. It would make sense. He's a good dude man. No fee fund mma they lost and they can cut it because you could use that to choke him. Uh, yeah, I guess you could. Yeah. Or he can choke you with it. You know, if he gets on top of you get to Zeke eal with that. Go ahead and quiz up Brown. Yeah, yeah, yeah. So I wonder how he rolls that. He do, you know, does he rolled that up? He's a brown belt and he's huge. [inaudible] sec guys. Big fucking deal.

Speaker 2:          00:32:37       He's not five, nine, no giant dude sons. Even bigger. Does he put it in like, um, like a chin been like a man bun thing? You'd have to ask, you'd have to put like a thing over it. Yeah, maybe in underneath the chin, but then again that would kind of get in the way. I would imagine the braids like could be avoided just like other kinds of braids and there's Rondo biting his braids. Well that was actually, it looks like. Okay. Yeah. So he just sorta ties at the bottom of it and like little rubber bands and shit. Great referee. That guy's on top of his shit. Does a lot of good ones, man. This is a good time for MMA. There's a lot of like super experienced guys that are just, uh, it's so important when you're watching a fight, when you think like a fight could be stopped and then, you know, and then the guy gets through it.

Speaker 2:          00:33:20       Fighters Millet too. When you're in the back luck, I mean they go, Hey, I'm be a ref tonight. There are certain guys you buy shit. I like who refereed a wonderboy and um, tyron, herb dean, right. What a great job or mccarthy. Pretty sure it's herb though. Those guys didn't on get out of credit, you know? Yeah. They know the fighters, you know, and they know that w how tough these guys are in the can be in those spots everywhere. Everyone's got the classic fuckups as a referee. I don't remember any by big John McCarthy. You don't remember Marilla Bustamante tapping out Matt Lindland twice. Oh, that's right, that's right. Morale booster. Madelyn in an arm bar tabs. He let go and he said I didn't tap. And then marilla got him again the next round with a good team. That wasn't a fuck up. That was like the dude ghost tapped or something.

Speaker 2:          00:34:08       You know, he lied, tapped and he said you didn't tap. Yeah, but that's not that big fight is a championship fight. But, but looking back, thank God. Oh standardly Yada. Denmark. Leon's a great job in that fight. Great job. Great job in that fight. Yeah. Yeah. He's great. He's great to, Dan's a really good guy too. And fucking giant. He's, he's a gorilla. Stir guy. Gives me a hug. I'm, I feel like he's my daddy. Me To sit on the fucking lap. But another really good referee, you know, who's another real, real good referee that, uh, Josh Rosenthal, very good. Hellier I hope. Prison. Yeah. Yeah, yeah. He's out. He's out. He was awesome. Very good referee. He got caught up in some sort of pot thing like plants and shit on his house. Not good, whatever. But he's out now and he, I guess he's refereeing again for other organizations, but he was very good.

Speaker 2:          00:35:00       I don't remember him ever fucking up and really smart guy. When he comes to mma, knows a lot of his Jujitsu brown belt, I think under a, who's the under the, under Cesar Gracie? I think so. I think so. But he's a legit, one of the important, they train like Mccarthy's rolling all the time so they know what positions to look for. Transitions. It's kind of funny how those northern California guys are known as like real hard style Jujitsu guys. Like how Caesar and you know when you, when you start talking about like those northern California Jujitsu schools, how fun is always had a reputation of like if you go like a of frowning upon tapping, you tapped in front of house. That was the story. It can be totally blown out of proportion, but US training down, um, with Jacques, we heard, we heard the crazy stories about how if that, that he looked down on tapping like you gotta you gotta escape.

Speaker 2:          00:35:55       Don't tap. How about Dave [inaudible], he's another one other than my mother fucker from the north of California. There's like that heart. He came from that same camp that hardstyle. It could be a total myth though. You know what? I mean, that's what we thought that we thought, man, those guys are so tough, but don't you break my heart? Don't like people have like a feel to them. Like you hear like, Oh, this guy's a half black buddy. Go, Ooh. Like that's, that's, that's uh, like one of those black bolts we'd go over. It was guys probably a psap beyond my shit. Yeah. He's a black belt is like, these are super aggressive style, right? Dave Camereo, Dan Camereo, like when you hear Hickson here, if someone's a hixon black belt, you go, Ooh, hundred percent. Whoa, okay on this guy's legit as fuck. You know, 100% legit it, there's no sh there's no, like, she hits it, especially when they're hixon black belts.

Speaker 2:          00:36:45       They're really game too. Oh yeah. Like at the Gracie Academy of the, a lot of Hixon guys go up there. I mean, they are game, the chrome chrome's kicks and he said he's a cut above the elite. Like Hixon is, everyone says when they rolled hixon or you know, back in the day that they were just completely immobilized and dismantle, everyone has their hixon story. And you look at chrome, chrome, very few Jujitsu players like crone. Crone got a serious full guard, serious guilt guillotine and his full guard attacks. You don't see that that much in grappling and the more someone with a full guard that's dangerous. Crohn's got that Crohn's, Crohn's or a little bit different than your average elite. You should see his workouts. When I was doing a, a grappling competition chromos on at two so I trained with him for like a week at a school in Culver City there.

Speaker 2:          00:37:38       Dude, they would do these two, two and a half hour workouts. His Cardio was insane. What kind of shit was he doing? He would do this crazy warm up, crazy warm up and we go over position, position, position and then it was like a king of the hill. We'd match up and however long it took until someone got submitted, then the two guys would be at the end. Then the rest of the map with stare and watch those two guys at the end. Jesus Christ. It was intense. Super intense. Wow. And he does a lot of like nutty gymnastic shit too. Does that he does the breathing thing like his dad and at the end, crone and I were going against each other probably 15, 20 minutes straight. And they caught me an armbar. Wow. He's a, he's not, he's tiny, tiny. He says what's wrong with all monsters?

Speaker 2:          00:38:29       And then with my big ass, it was just arm bar and he's always training with nick and nate and he's training with animals for for a while now. It's been a while. It's been a month and it's looking like a strike is coming together. Yeah. He's looking, he's a special dude. Yeah. Very, very special dude in special genes. Their son, special jeans. Handsome Fella. Handsome little fellas structure with off space. Yes. Just like it's poplar, right? Yeah. Uh, but also he's just a good dude to be around. Yeah. Like you feel like you're around a Samurai. Very good dude. Yeah. Well he's legit as fuck, man. I mean, it's a, he's the rare exception to show me the man, the son of a great man. Great man. He's the rare exception. He has the mentality because you look at guys like, uh, who though Chavez Jr. You look at these guys who come from that kind of pedigree, it usually doesn't correlate.

