Speaker 1:          00:00:01       Want me to introduce you, ladies and gentlemen, the great Everlast. Hmm.
Speaker 5:          00:07:47       already did it. So it was officially started. Yeah, it good enough. We don't need all that music. Fuck, we're going to have plenty of music in this podcast but don't really need the opening song. Yeah. That Oj thing is uh, one of the weirdest times in my life because I was a very young man and I was still really delusional about the way the world worked. I really had no idea. You know, I didn't know like to the extent of corruption and craziness and the, the, the, the fucking dispute between like when Rodney King happened and I saw like how strong the hate for polices and the, the, the, the, the, the anger that led to the writing. I was like, who the fuck saw that come and who thought that I was so delusional? Like I had such little contact with that world that I had no idea what the disparity wasn't like Holly's people felt about about the police brutality and things like that. And you see that video of them beating the shit out of that dude with sticks and then they got off and everybody's like, Whoa, wait a minute. You're like, what? How, what's going? What happened here? Exactly. Okay. He was on what he said he's on, he's on like angel dust so he doesn't feel it. Is that what's happening here? Do they have something that they can, can they hold on

Speaker 6:          00:08:56       to him? Like he's five guys, can't they Russell this due to the ground? Like, it seems like, it seems like they having a good time for me, shit out of this. The myth of like, or not the myth, but the grand thing about deal. Yeah. Angel Dust. That's the one thing they say like, Yo, people are broken out of handcuffs. If that's the case, people need to revisit that fucking, that one particular issue because uh, Angel that I have a friend who had his finger bitten off man. It wasn't, that was just the straw dude. You know what I mean? That was just a straw on the camel's back was it's damn near snapped at that point. I was living on that side of the world. I was like part of the ice, these riots in the kid I was running through. It was like, I knew the hatred for the police was, was that was like I was, I was, you know, normal.

Speaker 6:          00:09:36       What was it like rolling around with those guys? You know what the thing was is like, in a weird way, I was just so oblivious to it that I, you know, cause I was treated as it, you know, like I was a member of the crew was already one of that rap kid and it was like, you know, I, you know, as long as I showed them, had the balls to be somewhere, I felt like I was cool there. You know? I mean, I was like, I, and I was, I never, I wasn't into gang bang and everything. I never flag in anywhere. I was, you know, but, and I always, you know, and I was, you know, knew a few key people that would be like, oh yeah, like if he knows that dude. All right too. That was a huge ice tea fan.

Speaker 6:          00:10:09       I used to get told like they used by like Castlight guys, ice would say things like, you know, yeah man, you know, you're white man. Everybody here either thinks you're crazy for being here or you're a cop. So it's good. You're good. So two nights, that was one. Yeah. Well, you know what, man has his best shit. Well, I think colors is one of his best songs ever. That is one of the best like theme songs for a movie representative of what was going on in that movie. That, that, that song just fucking nailed it. That was right place, right time, right dude. You know what I mean? Whoever, whoever picked him for that, it was the right if everybody made the right decision. That's the rap version of live and let die.

Speaker 6:          00:10:48       That's a good thought. Live and let die. It's just a theme song for a movie. Right? But it's a bad ass fucking song. I mean, Dada, Dada, this original purpose, the original purpose, it was a theme for Homie. I believe Paul Mccartney made it for the movie. Unless it was just, oh no, I can, uh, just a coincidence that he had a song called live and let die and there was a double o seven movie, let's say. Okay, let's find out. We need to find Paul Mccartney. You Fan of Paul Mccartney. I mean, as a songwriter, how could you not be right? I mean the guy's written a lot of amazing songs. You know, you, you aspire to write that many well known songs, you know, he was a beast, you know, I mean I think there's like, cause you seem like such a nice guy. I think like some more hardcore people don't give that guy the credit he deserves. Like, like for me, like if you look at the Beatles, you break them down. It's like Paul John Lennon wrote the more ethereal kind of Weirdo kind of songs or like more government related protest. He kind of stuff. Paul Mccartney wrote this stuff about love and life every day. Things,

Speaker 5:          00:11:54       you know what I mean? And like turning him in the poetry kind of thing. You know, that's, you know, I think there are, I love them both in different ways. Perfectly sad. He was commissioned specifically for this movie and credited to McCartney. His wife Linda reunited the former Beatles producer George Martin who bought produce a song and it brings the orchestra break. It was all done for, uh, for that movie. This is one of the most successful like movie theme songs ever. Cause it was a real song. Yeah. And then guns and roses, we cut it and yeah, so 10 million records.

Speaker 5:          00:12:27       That's how fucking bad ass song for your theme song, your movies making $100 million no matter what. Just what that song on it. Yeah. You know it can't go wrong. And then band on the run, that's like, that's a crazy song. That's like two songs in one. You know, like you, you listen to the beginning of it. And then when the rain exploded with a mighty crash as we fell into the sun, God Damn Paul Mccartney. I mean that's a beautiful fucking song. It's a work of art and good drugs. Oh fuck. Yeah. He'd seen everything there is to say. He saw the full month of saw that happened as he, as he fell into the sun, he saw that happen. Well, rain exploded with a mighty crash as we fell into the sun. Damn. You know, he had to have seen all of that. That's a mold. I can hear the colors, I can hear the creditors, man.

Speaker 5:          00:13:18       He can't write something like that unless you've seen something like that. You can't fake that lyric. The rain exploded with a mighty crash as we fell into this son. What the fuck? The first one to said to the second one there, I hope you're having fun. That is psychedelic as a lyric ever can get without being like ponderous. You know what I mean? Without being like blatantly obvious or trying to be like trippy like that is just, there's, that's a perfect lyric. Well the rain exploded with a mighty crash as we fell into the sun and the first one said to the second one there, I hope you're having fun. What kind of Shit are you onsite on? Acid for real. It has to be right. Heavy doses of it. It's such a trippy lyric. He was so there that that band was so instrumental in opening people's minds to the ideas of altered states of consciousness because they were so into like meditation and you know, there was always hanging out with weird gurus and shit.

Speaker 5:          00:14:14       They were freaky dudes, man. And they started off like these really sweet guys from England was cute haircuts making girls scream and then somewhere along may morphed into this like spiritual injection machine. You know, like if you go back to the white album, like some, like you, if you became a fan of the Beatles, he became a fan of like very strange alternate ways of thinking, you know? Yeah. You saw at this time if you were a fan morphing with them. Yeah. You had to be pretty open minded. Yeah. You know, luckily the music was just really good, so it helped a

Speaker 6:          00:14:51       lot. I think that you had to be that good. You can say some really, really stupid shit on a bit of music. That sounds good. I mean, and that proof is all around us today. All around us always will be. But I think to be that good, you have to get crazy. And I think they got crazy. They just went everywhere. They just went with it. And there's no way, you know, you can't, it's, that's not a regular dude. If I could do is not going to make that song. It's not, it's literally not possible. Like did the mind does not work that way. If you're, you got to be some crazy dude out there wearing robes, hanging out with dudes and Tibet for real. You don't say tars and be a perfectionist. You got to have good roots and shit. Indian dudes would white beards and they'd tell you freaky shit.

Speaker 6:          00:15:37       But also the cats didn't have the benefits of computer technology, man. They have to be good at all of the shit they were doing. Yeah, totally true. Yeah. Now I do days a guy could grab this guitar completely that attuned and like strum it on it a little bit and, and literally in the, in the box make it sound like he was doing something. Do you think that that cheapens music or is it d just give an artist more tools? Um, is it obvious? More cheapens it. I think it could, it could do what you do. You know, it's a double, it's a double edged sword. I mean, you know, but when it's just used like to blatantly like suck the light. Yeah. We talk about something like, you know, like we'll hit, we'll listen to old records that were like sampled and made into hip hop records.

Speaker 6:          00:16:15       Like I don't bite before we go on. I lacked, I listen to a lot of old music when we play, so we'll listen to the old versions of stuff and then we'll put on new versions and new versions. Even though they're sampled or using pieces of that old version, they don't have the grease because it's not alive. There's not five guys locking up playing it. It's like a machine. Here's a piece, piece piece, and then we repeat that piece piece piece, and then we can repeat that piece piece piece. It's like sucks the life out of things sometimes. You know what I mean? It's, it's good for, I mean like for club music, if you're just making like drum machine club music or hip hop, you know what I mean? Like, you know, it sounds good in clubs, but it's not, you know, it's not really, it doesn't have no grease.

Speaker 6:          00:16:53       You know, the first time I ever saw a rapper in a club was in Mexico. I saw ludicrous perform in Mexico. He was like an hour late, you know like all that's early. That's early for a rapper. Everybody's like waiting for the show stuff. But damn man, when he, when he did it and it was like complete short attention span rap, like you never really finish a rap. He just went from one wrap to the other, like shorten, shorten the songs up. And I was like, that's kind of crazy. I'm like, how often did they do that? And my friend was like, they always do that at hip hop shows and I go, why? And he goes, they just don't want to give anybody any breaks. No, no chance to like think that things are calming down and no chance. Like it just, just go, go, go.

Speaker 6:          00:17:31       They're like, it's a different, it's a different environment than playing a record. Bless. You never know when it, when you play clubs like when it's just all going to go wrong anyways. You want to get the bulk of your set in so you're, you know, you're getting paid well. Does that the case in like rap shows in general? Just like, no, it's just like that's the energy or the energy of a ramp show is, it's different than unless, you know you got rappers and certain cats that use bands now, but it's like when you go and you see a show that has a band, there's things to see and watch and wonder about in like, wow, wow, that sound and these guys are all doing crazy thing, you know? But when it's like just a Dj and a rapper, that can get boring real quick just watching it.

Speaker 6:          00:18:11       So did you did, yeah, they just got to hit you in Hitchin when hits you and hits you, we'd like me. It's medley time is really what it is. It's all about the medically in hip hop and plus it's like a ringtone generation. So they want to hear, you know, most of them only know the song up until the ringtone cuts off. Wow. How does that, what does that say about us? I'm serious, but it's true. Look, I know you get about a minute and a half or something. I think when you are a minute of a ringtone, you know that's, that's basically what they, when you, I, I occasionally Dj like a Columbia here and there in Vegas when, you know, when, when they throw out a couple of dollars and I say I'm bored enough and it's because I think it's fun, but I don't think I ever get out of a first verse of a record.

Speaker 6:          00:18:50       Well very rarely, and it's usually a classic like Dr Dre, you know, a next episode or something like that or you know, jump around or, you know, and not to toot my horn, I'm just saying it's usually a classic record like that you can get away with playing a few verses of, otherwise it's just like kind of like one hook, one verse, one hooked went, let's get out and get to the next thing for it. Cause it's, that's the dance that they want to dance. They want to move. They want to just always be like, oh they always want to be like the next song came on. Yeah. Wow. The party's got to be beginning like every five minutes. So it's different than, than doing your songs just in a, in a live session like you do when you come see me doing acoustic show, I take my motherfucking sweet time about it, man. And I, and I, you know, I might even start mumbling while I drink whiskey and wind up telling a story I never meant to tell in the first place. Right. It's a different thing. What do you like better?

Speaker 7:          00:19:39       Okay.

Speaker 6:          00:19:39       Um, rationals are, and we're fun. I did plenty of them, but I enjoy what I do. I like playing music. I like locking in with people and other musicians and us creating, like they play my songs the way they should be played. But yeah, if you listen enough, like think different things happen every night and we're all fitting in with different, you know, without prying, without changing the song you, there's things going on that, um, you know, I'll be like, oh, I saw what you did right there and oh we are our own or we'll all just black out and zone in some other place and it's trans transcend transcendental it, when does that the right word? Transcendent, transcendent send it.

Speaker 6:          00:20:18       I mean you just kind of, it's the energy of the music. I liked that a little bit better. I got, you know, hip hop is, the energy is kind of a one, it's kind of a steady Masha heavily angry. Even even when it's like trying to be slowed down and love songs, they're like heavily angry towards, towards the women. They're talking about this as long as my bitches love me, bitches love me. It was like, okay. I mean I'm sitting here and I'm, I have that on in the car and I'm like, oh this is a funny, cool song. I like it. It's cool. But it's like not think about is like if I were to like that to me like abroad, as long as my teachers love me and bitches, I don't know. Who knows? Maybe then I went, sent him sell 10 million records and that should be my next effort. Maybe just too happy and successful. Maybe we need to tune into pissed off people that are all, no fucking, I'm pretty pissed off.

Speaker 5:          00:21:07       Yeah, that the aggression of rap music is like, I mean there's like Noah, there's never been an art form where people bragged about like killing people and got killing the police and like you know it was just running around making millions. Dogs are a little bit of Johnny Cash Rock Man. There's some punk rock shit that was pretty out there. That's true. Well I was never exposed to that. I for whatever reason, never had any desire to listen to any punk rock. I always, I mean it's totally prejudice but I always associated everybody who was like a punk rock lever with like misplaced anger and I was like just, I don't have time for this. I got to get away. Like for real, I've never lived, I listened and it's totally ignorant and I completely agree. I mean like, uh, admitted but you never listen to ash or anything like that I guess. Is that punk rock? The Casbah is that punk? There's arguments that that's their most pop stuff, you know, I just thought it was great music and once I didn't London calling, you know, but had lots of songs like the guns of Brixton and all kinds of stuff about, you mean what is punk though? I don't understand it. I just, I was associated with people with their hair, like all spiked up and you know, looking to stomp around and shit.

Speaker 6:          00:22:15       I feel like punk is like a DIY thing. Like it's like the sentiment, you're going to put that out there before you even know how to play. You're just like, hey, lump on, I want to do a song. I can't play. Like all those like guitar, God's back in the day. So instead I want to just plug in and turn up and like, I know two, so two courts, hey, here's a song. That's it. It's not really all punk kids. That's odd. So it's bullshit. It's bullshit. It's bullshit with like balls, bullshit with ball and like the mentality, you know, cause like they couldn't play as good. The purist American music. Yeah. Actually, you know, cause it kind of started, I, some people argue it started in England, but it's, well yeah, I say attitude of, of of bullshit with balls. Yes. That's, that's, that's, that's why it's so American. It's so beautiful. Is that American music or it's got a lot of people just got into art too. You know what I mean? Like, you know, I mean black flag, which was produced Henry Rollins and cats like that, you know, and you know, I mean then there's, you, there's the spectrum is wide too because there's people like GG Allen Shit. I was just like, he'd come in and throw himself through a glass window and take a shit on stage.

Speaker 6:          00:23:30       She wasn't even about the music, but it was punk. Rock punk is like an umbrella, you know, it's like hip hop, you know there's like art, punk, art, punk, fashion expression

Speaker 5:          00:23:39       and rebellion and admitting that you're, or accepting and in and sort of being enthusiastic about the fact that you're rebelling

Speaker 8:          00:23:46       against the system. I was from the burbs, so I took it as a bunch of angry burbs kids. I couldn't like do shit and express anything. So instead they just like, you know, it was just like anger, like, well you said misplaced anger, but it seeps into politics.

Speaker 6:          00:24:00       Right, right, right. Yeah. Yeah. Punk is a weird thing because I wasn't really a part of punk as a scene when it was happening. I learned about it later, you know what I mean? And that kind of, I look at it from a standpoint of the band's not that like fans, you know what I mean? There was a lot of smart bands, you know, food guys eating and stuff like that. The whole DC scene, bad brains is like responsible for like half of the hardcore music. Do you like hardcore bands? Like, you know, and I'll guarantee you any of them somewhere. So if the not them, whoever influenced them was influenced by bad brains. The first band to play fast that like fast pumps but could play and they were like reggae looking Rastafar I'd do this plan hardcore like punk music. It was, it was ill is suicidal tendencies is that pump?

Speaker 6:          00:24:46       Yes. Okay. Well I love those dudes. That song bring me down. You can't bring me down. God Damn is that a good workout song? Music like that's aggressive fucking song. There's a ton of like just whatever. But there's some really good stuff out there. Punk rock me, rock punk doesn't even exist anymore really. You know what, anything that call up punk now. It's Kinda just like a marketing ploy or Chile or trying to be what punk once was in my opinion. But if you're doing blues, are you trying to be what blues once was absolutely everybody at? Absolutely. I mean that's like saying, okay, if I try to make blues, am I really fucking like some Delta fucking cotton picker? Fucking know I'm, I'm emulating something. You know what I mean? But you're a dude who's lived, but I'm just saying, it's like you got the, at the purest form of what that music and where it came from.

Speaker 6:          00:25:35       It's like, no, I'm not that guy that invented, you know, I didn't invite that. I'm just saying it's a formula that it was there long before me and I'm just kind of using it to express myself. You know what I mean? Yeah. But it's still, you're doing blues, you know, and I think in it's in it's, and it's, when it was happening was an original thing. It hadn't been seen or done before. And they still do punk. They do. I'm just saying it's not still, you can stay seen. I ain't seen nothing. That was that. I would put it this way. I ain't seen nothing. New punk rock, everything that causes cell punk rock is like kind of a retro version of what used to be punk rock know. But I'll tell you the most punk rock thing I've seen in a long, long fucking time.

Speaker 6:          00:26:10       I've watched the guy's ass. No, no, no, no, no. I watched the fucking documentary on those pussy riot chicks. Oh, those pictures are crazy. I frequency writes gangsters, gangsters, man in the courts and right in the face of the Russian government. Then broad stood tall. I'm like, Yo, whatever you want to feel about them. I think what they should do, all that shit was just, you know, that's gangster. That's, they said something, they did it. They stood for it and they didn't even fold up. This is pretty gangster. I mean, it was crazy. I was like, wow. You know, at a certain point in time you have to realize that these things that you're calling churches are weird of behavior that

Speaker 4:          00:26:44       were established but people thousands of years ago and they have literally nothing to do with God. If there is a god without a doubt, it has nothing to do with the bizarre behavior of these people that are claiming to represent him and no one person can be represented by God or whatever the idea of God is. But then you can, we're, we're all supposedly in this together and as soon as you have leaders and people who are in charge of organizations with very specific rules, you've missed the boat completely. You know, you're, you're, you're in some weird, cultish sort of a thing. That's just what the fuck it is. You know, people don't want to say that. They don't want to believe that, but that's just what the fuck it is. You know? So when you, when you limit people like that and you, you box them up like that, it said it's a dangerous thing.

Speaker 4:          00:27:25       It's always going to be a dangerous thing. So I was going to be a dangerous thing to control people like you can't, you gotta people got up just be nice to each other. You can't be like, eventually we're going to figure out these borders are bullshit. Eventually we're going to look at all the borders all over the place. I'll go a little bit, blah, blah, blah, blah. Well, why the fuck can can, why can't we just go over there? Why can't anybody to go wherever the fuck they want? Would that force everybody to even out the economic situation of the world. If people could just completely travel freely. Like one of the reasons why you going to have ghettos is cause you can keep them there. You know, if people could just go wherever the fuck they wanted to go, they would just go wherever the money is. People from Mexico just start walking into America and then you're going to have to deal with that. You're gonna have to deal with the fact that you connected to a third world country and people from Canada going to have our assholes sneaking into their borders and then goes, okay, well we've got to tighten down the fucking fences here. What's going on? We got these crazy asshole American

Speaker 6:          00:28:15       insanity are pretty tight buddy. They are right now. Right now if they open it up on a gun charge in 1992 I've like just started getting in again like this year.

Speaker 4:          00:28:27       What'd you have to do to get in? Uh, jump through some hoops. Money. I had a friend who, who goes to hold over for a gun and it wasn't even illegal. He was legally in possession of a gun and every time he goes to Canada, they pull him in that room and they sit him down. I stay. Ask them a hunter cross? Yeah.

Speaker 6:          00:28:43       Huh? They don't take kindly to it, but if you would've got caught with 10 pounds of weed, they don't trip that hard.

Speaker 4:          00:28:47       Go ahead Ted Pounds. Go ahead. Up in. We're not worried about even smoke that much weed before it goes bad. Sure. 10 pounds of weed die trying. How many, how many years is that of weed? That's a few years of weed, right? Gotta be three weeks. Unless you're just crazy. Joey Diaz could smoke a pound a year. More than that. I'm trying to figure how much this, how much is a pound? I'm thinking of like an 18 ounces and then I'm thinking a 16 ounces in a pound. That's not that much. You can sell 160 ounces. You get smoke that in a few months if you were going, Joe De is style. I've never even held a pound yet. Neither have, I don't want to be around a pound. If you're read a pallet

Speaker 6:          00:29:25       like a house, no days would probably last me a couple months. Look back in the day I would've done had been, it would probably, it would have been about a week, like two the head just from me. Well pound, no one else. Oh Jesus. So it would, it took me 160 weeks. 10 yeah

Speaker 5:          00:29:42       he did that. I probably smoked 10 pounds in 160 weeks. That makes sense. 52 weeks a year I can do that. Makes Sense. I can do announce a month. Yeah, that totally makes sense. That sounds it. Wow. That's really brilliant calculations actually. That sounds like that's like some serious we'd economics you broke it down probably. Exactly. That's no exaggeration in that there was no, you know, there's no hyperbole because it was part of the money this week is all right. 400 for an ounce a week, every week. That was every week. That was like my loan shark almost thing. Cause sometimes I go in and be like, give me three and I'll get you next week. And, uh, you know, so you had to be steady. Which do you see the, the changes that are happening right now about with weed? Well, we just did a thing in Seattle called hemp fest and it is wide the fuck open up their dog.

Speaker 5:          00:30:30       We went to what? What was it called? The Dab. A Bar? Yeah. Dab Dab dude. Like do the waxy, like bong hit shit. But it was like a open bar open, like open to the public. Oh, is that a picture of it? It was like along the waterfront, a three mile long festival. Cops were handing out to retos a yeah. My friend booty chicken told me about that. What does that, oh my God, that's a lot of pot hemp fest did. He showed me a picture of a door knob. That's, it looks like a donut. Look at it. All those joints, it looks like a door knob and that'll be actually a cool door knob. You take a photo of that and recreate it perfectly.

Speaker 5:          00:31:14       It's a lot of fucking joints. What's a big tin of joints? And it looks like a Dornier sitting on a door. The pictures, the pictures unusual because there's a wooden door that looks like it's like the, uh, the table looks like a wooden door. So this box on it, it looks like a doorknob. Yeah, the prince. A lot of goddamn joints. Yeah. I would get nervous. I'd run out of the room. If you had that, I'd be like, that's too much. We're going to get busted for selling. That's like if you have more than a certain amount. They were just slinging weed and do not give, they give zero fucks up in Seattle. Seattle is a beautiful place. I love it up there. It's one of my favorite cities ever. It's like they have to deal with some shit because of the, the stinky weather in the winter. But you know, the roads don't really ice up, you know, you've got to look, they're just cool with anything that's going to keep motherfuckers from jumping out of windows and shit like, well, they're also really smart up there. So real smart city, like per capita, very unusually smart because creating this stone, one of the higher suicide rates because of the weather and whatnot. Without a doubt. Yeah. Without a doubt. This is not make you happy, does not make you happy a lot. A lot. A lot. But that shit builds character.

Speaker 5:          00:32:21       It builds character drugs. Not necessarily my making, just a little more expressive. I don't know if you felt trapped in it though, man. Like guys like you and me, we could always be like, fuck this. I'm going, I'm going to San Diego or I'm going to Hawaii for a week. I'm out. Yeah, you could do that. Yeah. That and people who lived there, they say if you can schedule a vacation, you'd go in the winter and he goes somewhere where it's sunny period. You know, you don't do anything goofy, you know you're not going to somewhere that's shitty or where you're at, you know, go somewhere cold. You go to the beach, bitch. That's what you're doing. I thought of it that way. Like that would be cool to have like a Ho like live in Seattle and then just get the fuck out of there. If you get to totally be cool.

Speaker 5:          00:33:01       Be Cool to live in Seattle period. Yeah. I think you'd deal with the rain city. The folks are good up there. It's a very artistic city. Like it just, it doesn't seem like a city that has a lot of chains. You know when you drive it through, you see like a lot of individual restaurants, individual stores to see a lot of unique to Seattle. You know, and I think that's one of the reasons why the music scene at a Seattle and Jimmy motherfucking Hendrix came from Seattle respect. Okay. You know, I mean everybody knows nirvana came from Seattle. What is it like? I don't know. But that's the environment that created that, those people, you know what I'm saying? Like there's an intensely creative environment that creative Ivana, I mean that that band was intensely creative, you know, was also raped me like holy shit.

Speaker 5:          00:33:46       Like that whole sub pop records seen. They were, they were pretty much kind of music. Were they? That was all that stuff. What, what'd you call that growing big? Called a [inaudible]. It was just rock and roll. I mean they would, they would have just called it rock and roll hardcore. They started off punk. They started up punk. Yeah. Wow. Yeah, they were fucking, there was a hardcore music movement. They called it hardcore after punk towards the end, I'll never forget, I forgot, found out about Nirvana. I was out where this dude's house that I used to buy stolen radios from. That was this one dude, if you needed to radio back then when I did understand Karma, you know, you need to radio from your car. You can get one from, uh, this kid who always had radios. Then it would just somehow or another get and you didn't ask any questions, but you knew they were stolen.

Speaker 5:          00:34:27       Uh, we were over his house and he was into music. This kid, it was just a bad kid, you know, whatever. Bad suburban kid, not too bad. We went over his house and he goes, this is going to change music. I said, what is it? He goes, it's called fucking Nevada. And he starts playing it and he goes, all those hairbands, those guys are fucked. And he played this shit. I was like, wow. Like you just nailed it. Like this kid nailed it in his, in his bedroom in Newton, Massachusetts. Like right when the w nevermind came out. This kid nailed it. He just was an, he was just a radio theater and he was like, this is, this is going to change. This goes guys are fucked. It was that obvious though. It's that obvious. Danny boy played it for me first. Like I was like, and we were both like, yeah they draws dropped this only been a few times. And like musical history when someone hits some new levels of something we that you'd never seen it before. And when Nirvana came out that was like, Whoa, I'm deniable talent. Undeniable uniqueness. The power of their songs. Song after song. Different honest though. Yeah. Oh totally honest, honest, raw and like this insane heroin way. You know this insane heroin honesty spawned

Speaker 6:          00:35:38       by the punk movement. Is that, what is it about Alice and chains chains? They weren't, they were rounded like that. They were more on the metal side to me, but like they were definitely of that grunge ish metal movement to like sound garden, you know, they like rocked out a little harder. You know that song, them bones, she's Christ. That makes you feel like you're dying when you're listening to it. Jerry Cantrell's a beach. That was the dude who was sad. He that mother fucker understood that he was dying when he wrote that song. He understood that he was on that path when he wrote that song and I don't think, I don't think lane rope tows. He just sang it. Yeah, I think Jerry control road, all that stuff. Wow. I'm pretty sure it whatever. There may be a few that I'm wrong, but at the bulk and the temper form that what I'm saying is like the way Layne Staley hit notes like it made you like, it made you feel that you were dying.

Speaker 6:          00:36:28       Like that song going to end up a big old pile. Them bones like that screaming. It was like Jesus Christ. I remember the first time I saw a man in the box, like on MTV. It was like, what the hell is that? God Damn, those guys were intense and it was crazy and that that kind of, I had a night with that dude and and another guy, Layne Staley. Yeah. Yeah, I did. It was good to know. We just slowly, sorry, motor, this promoter and Philly book, this, this place, I believe it was the electric factory, like you know, thousand seater club, something like that. He booked it twice in one night. He did two shows. He didn't Alison change show early, kicked everybody out than to the house painting show. Well we showed out to the place twice in one night, but we all, because you know we were all at the same hotel, so like we, I saw these guys, we were coming back from hotel, me and Dj Lito and they were like, Yo, it was, we were like, Hey, what's up?

Speaker 6:          00:37:19       We're going to go up to the room, smoke one party a little bit. They were like, all right. We came up, him and his buddy and they came up and they sat at the table and we are rolling joints and we're talking all this shit and like me and lethal to just rolling all joint after joint, throwing them out and say table. And then we stopped and we go to light one and both the dudes are sitting there just completely knotted out cold. Wow. Cigarette's burned into their fingers like, and we were like, what the fuck was, we weren't really hit. We were kind of naive, you know what I mean? We were like, didn't realize they were on heroin, you know what I mean? By that time we had, but it was like, you know, the whole time they were just like, you know, wow.

Speaker 6:          00:37:52       Sniffing or smoking shit out of a tin foil. Like oh no, I've done that before. We even really joyous man. You know what I'm say? You didn't even realize they were doing it. Nah, it was like they were rolling in our presence for the matter of like 15 minutes. Stone Temple pilots performed for Dana White as birthday party once. And it was one of the best fucking live shows I've ever seen in my life. Oh yeah. Like we want to talk about some dudes who, who like are solid professional. I don't know if you know those guys are, have any, I've met him. I couldn't tell you. I don't like them. I don't know if I'm going to go fuck themselves. If you know you're tell me you don't like them.

