Speaker 1:          00:00:01       That's very cool.
Speaker 3:          00:04:43       We have a thing called the Sloan digital sky survey, which maps the positions of galaxies. So you can, you know, how much should the sky you surveyed and you know how many galaxies you've counted and then you can spread that across the wider universe and you get this picture of a vast and possibly infinite universe meet. We, we know that the universe or very strongly suspect that the university is much bigger than the piece we can see. So we have good reason to think that's the case. Whether it's infinite or not is another question. And then that goes to your, you know that. Can you picture infinity while no one can picture infinity? This is a weird thing as well about, you know, we, we say the universe began 13 point 8 billion years ago. So that's a measurement. So because we can measure the speed that all the galaxies are flying away from us essentially.

Speaker 3:          00:05:30       And then you can run time backwards if you like. So to find out when they were all on top of each other. And so it's quite a simple measurement and we've done that. So we say the universe began 13 point 8 billion years ago, but actually all we know really was the universe was very hot and very dense at that time and we have some theories that the universe was in existence before that and perhaps some sort of circumstantial evidence and that means that actually the universe could, could have always been their eternal. And um, when, when I tell it to people sometimes they get a bit, some people got upset about that. Some people would rather it had a beginning. The idea that it might have been around forever is more frightening somehow. Then the fact that it began. It's, it's interesting the way people's minds work. What terrifies you the most and eternal universe or a finite universe?

Speaker 4:          00:06:18       Yeah. Other, both incomprehensible. The eternal universe. W, W, W, if there was an eternal universe, is that negate the theory of the big bang or does it mean that there's a constant cycle of big bangs and then expansion and then recompression or

Speaker 3:          00:06:36       could do say those theories that are back in vogue. Some of those theories are back in vogue again. So yes, some of them say that there's a cycling universe, um, so the big bang is an event when space gets very hot and very dense and filled with particles. And that may happen again, are some of the other theories. Uh, there's a theory called eternal inflation, which is a theory that, and it's actually the most popular theory, I think at the moment, but what happened, but why the big bang is the way that it is who's got some very special features, the Big Bang, which we could talk about, but inflation is the idea that space space time was around before the big bang and it was expanding extremely fast and there was doubling in size in the most popular of these theories. Every 10 to the minus 37 seconds, which is point naught, naught, naught, naught, naught, naught with 37 knots, one of a second.

Speaker 3:          00:07:26       So he's an imaginably fast expansion. And then the idea is that draws to a close, so quite naturally sort of dies away and the expansion slows down and all the energy that was taken there was causing that expansions sort of gets dumped into space. And heats it up and makes particles and that's what we call the big bank and those theories that slight extension to those and say that that that slowing down just happens in little patches. So most of the universe, the overwhelming majority of the university still inflating that insane sort of speed and they're just little patches stop and they are big banks. So you get multiple universities, a multiverse, it's called the inflationary multiverse and we are in one of those bubbles and that's one of the more popular theories. Dad's another one. I mean that right now,

Speaker 4:          00:08:17       aware of what you're saying. I, I can, I can sort of visualize it in some sort of a graphic form, but it's incomprehensible like my mind doesn't. It doesn't have the capacity to expand the, the sense of distance and size to that, that grass is this because of just the way we evolved. We evolved here on earth to deal with the space. It's in front of us and now over the course of an industrial civilization and education, we are now grasping these concepts that are so alien to the reality, the tangible reality that we exist in every day. I'm sure that's

Speaker 3:          00:08:56       right. And the, the, you know, even very simple things like you go back to the Greeks. So Aristotle and the great, you know, very clever people, but they thought the earth was the center of the universe. Why? Because it feels like it's at the central is it feels like we're not moving. Um, and that's quite a deep point actually in physics. It's like why is it that we're flying around relative to the sun very fast at whatever speed is 18 miles a second or something like that. And the whole solar system is going around the Milky Way Galaxy and so on. Why is it that we don't feel it? And then the Greeks quite naturally said, well, because we're at the center of the universe, they also said everything falls to the earth. So therefore the earth has to be at the center is natural. And, and actually it's quite a deep a thought, so to understand why it doesn't feel that we're moving, you have to go all the way to Einstein really for someone to take that very seriously.

Speaker 3:          00:09:50       And he why he said actually he said, well, this, um, there's a great little explanation in Stephen Hawking's brief history of time about this, that the idea that you can't tell whether you're moving or not demolishes the notion of absolute space. So if we think about space space to you or most people, I suppose you'd think it the way that Newton didn't have a big box within which things happen. And that's got to be, that's a natural picture of space and the universe isn't, it isn't a thing in which all the planets and galaxies are placed. But, um, in, in the brief history of time harking says, well, imagine bouncing a ball. So he bends a bowl at the table, now a tennis ball. So I drop it and I catch it again. Um, so let's say I drop it and it takes a second to bands up.

Speaker 3:          00:10:31       So in that second, the earth has moved about 80 miles or so in space around the sun. So you could ask the question, did that ball returned to the same place in space or not? And the answer is you can't answer it you. It does from our perspective. But from the perspective of someone watching the earth go all the way around, the sudden it went up, I caught it again. It had moved 18 miles and then from some other perspective it would have been something else. So the point is you can't say this is a point in space, it came back to the same place because that just depends on your perspective. Depends on whether he watching the sudden the earth around the sun or whatever it is. So. So Einstein said that means there's no such thing as absolute space, which is kind of follows if you think about it.

Speaker 3:          00:11:17       But that's a difficult. It's, it's cool. Put difficult thought process, right? I mean that's, that's essentially what's happening when you're on a plane. I mean, if you're throwing a ball up in the air and catching it on the planes, having another much smaller scale, right? Yeah. I mean you're flying at whatever, 600 miles an hour relative to grand, but when you're sitting there, yeah, and Einstein elevated that to a principal and said, if you're moving it but it'd be not accelerated and you just moving at a constant speed in a plane or now. I mean that's essentially what we're doing. Now. We're moving around the sun that effectively constant speed. Then you can't tell, so there's no experiment you can do. We could look at the decay of radioactive nuclear, saw some electricity and magnetism or Banzel have a pendulum, whatever it is, and there's no experiment you can do to tell you whether you're moving or not.

Speaker 3:          00:12:04       Therefore, that concept has no meaning because you can't measure it and that that's led Einstein to relativity so that that's the basis of general relativity, which is our best theory of the universe, don't. Why is it that we think that the known universe is larger than what we can observe? Well, one point is that it's an expanding and we always see the same radiation out there, so the glow of the big bang, but there is some deeper reasons. Um, the one from the theory of inflation, the, the, the, the best way to explain the universe, the properties that we see is that it's very much bigger than the piece we can see. So for example, we measure space to be what's called flat. I don't even have to say what's called flattery is flat. So if you imagine slices of space, let's imagine slicer to them at different times.

Speaker 3:          00:13:08       So, so you just sliced the universe and say there's a big sheets like this, like a tesla sheet of space and there's another sheet and another sheet. And it can, it can have a geometry, right? It can be flat, like a table top or it could be curved like a sphere or it could be curved in the opposite direction, sort of like a saddle or a bowl. And we can measure that. And when we measure it, we see it, it's absolutely flat and that's a very unusual thing for it to be like, um, it requires because what Einstein's theory says is that the shape of space that the curvature of space and determined by the stuff that's in it, that's, that's basically Einstein's theory of general relativity put stuff into space and it curves it and bends it in warp and stretches it and so on.

Speaker 3:          00:13:51       And what we find is that with this precisely the right amount of stuff in the universe to have a completely flat universe. And the, the, the explanation, the most favored explanation for that is university is way bigger than the piece we can see. And so it's like looking at a piece of the earth. Are you looking at little one Mile Square of the earth? Right? Then it's, it is flat, right? You have to look at big distances. It's kind of avoided the radius of the earth or you know, bigger, bigger than one kilometer anyway, on one mile to see the. Actually you're on a curved surface. And that's one of the ideas about the universe. And white appears to be the way that it is because it's way, way bigger. So we were just looking at a little piece and that's why it looks flat. And that's one of the ideas.

Speaker 3:          00:14:37       Now when you say flat like that, my brain doesn't understand this because from our perspective, when you look up at the Milky Way, you see all these stars all over the place. So if you're saying flat like a what, how much height and what, what are you saying? So terms of like the way to measure it, the best way to think about it is not to think of three dimensions of space because then we can't picture it. But you can think of to like this table top. And that's all right. We just forget the other one for now. And so you know what flat is on this table? I mean you could define it. So you could say for example, that if I draw a triangle on the top of the table, then all the angles add up to 180 degrees. So that actually defines flat. If you did that on the surface of the earth with the big triangle, then the angles wouldn't adopt 280 degrees and all.

Speaker 3:          00:15:25       You could draw a circle and say what's Pi? So Pi is the ratio of the circumference of a circle to its diameter. That's only true on a flat surface is different if the surface is curved. So you can define flatness, so when you. But when you're saying flatness, how, what is the height and what is the width? Like if you're talking about it as if it's a table, there must be some sort of A. There's a dimension to it, correct? Oh yeah. There's a third dimension of space, but the same applies. It's just a generalization of geometry. Then say you can pick fights. We can picture it in two dimensions, but you can. You can draw. You can quite literally, you could imagine sending light beams out and we do this measurement. Actually we can look at the disc. The most distant light we can see, which is something called the cosmic microwave background radiation, which is if you imagine looking out, if you look at the Andromeda Galaxy, which we can see with the naked eye here in la, you can see that, so the most distant object you can see with the naked eye and it's about two, 2 million light years away or so, which means the light took 2 million years to get to us.

Speaker 3:          00:16:32       So it's a long way away, but it's very big. So it as you look further out into the universe to more and more distant galaxies, you're looking further back in time because you look at something that's a billion light years away. Then the light took a billion years to get to us. So you see it as it was a billion years in the past and we can actually look so far out that we can see almost back to 13 point 8 billion years ago, which is very close to the big bank. So we can look to light. That began its journey before they were galaxies and that's the the oldest light in the universe. Which is, by the way, one of the, one of the pieces of evidence from people say, I don't believe in the big bank. The answer is, well, you can see it. Sorry, I just dare, you can see it.

Speaker 3:          00:17:14       We have pictures of it and that light, it turns out that there are such structures are ripples in that light, um, which we can use as a ruler. So quite literally as a ruler on the sky. And then because that light has been traveling through the universe, we can see how that rule has been distorted as, as the lightest traveled through space. And so we can infer where the space is flat or curved or how it's warped, if you like. Just from that measurement is the beautiful measurement. Is it possible that in the future we'll be able to see past 13 point 8 billion years? Not with light, not because. Well, the picture is that before it's actually released 300, 80,000 years after the big bang. It's a very precise number. You might say. How do you know that? Well, before that time, the universe was so hot, the atoms couldn't form, so you had a soup of electrically charged particles if just too hot for electrons to go into orbit around Nuclei, so the universe was opaque to light, so you just couldn't.

Speaker 3:          00:18:15       It was like one, almost like a big glowing star if you like, and then when it was expanding, it cooled past the point where the atoms could form and at that point it becomes transparent really almost instantly and it cosmic time scale and so the light could then travel in straight lines through the universe and we can see that light so we see the light from that time, but further back than that, it's opaque. So you can't see past that with light, but you can potentially with gravitational waves, which is this measurement that got the Nobel prize a couple of years ago. The ligo experiment here in the United States and that seat looks for ripples in the fabric of space and time. And in principle, if we had a big enough detector, you could see the ripples from the big bang. So you could. If you could take an image of the big bang in gravitational waves, which will be, but you need an enormous space based detector that we're not gonna build anytime soon.

Speaker 3:          00:19:12       No, obviously this is all through equipment and technology that's been invented over the last few hundred years and perfected. Is it possible that things could get better and you could get some some ability to detect things even in a far more distant way? Yeah. I mean the gravitational waves are incredible. I mean Einstein predicted them in 1915. Never thought they'd be detected because you need such a high unit. Lasers for didn't have lasers, but they think Lygo this experiment, which is half in a near Seattle in Washington state and half in Louisiana, so they've got two detectors and they're basically sort of a a no three mile long laser beams and that just sit and measure this of stretching and squashing of space as the ripples in the fabric of the universe to go through and what they've been observing. Collisions of black holes, so you can imagine how extreme a colliding black holes.

Speaker 3:          00:20:09       He said incredibly extreme event, so it shakes the fabric of the universe and the referrals come across the universe and these laser beams, we should just basically, rulers can detect it. They just sort of ring, just vibrate as the referrals go through in space and time. That kip Thorne, he got the Nobel prize last year for. This is one of the greatest living physicists I was signed. Describe it as a storm in time, so you've got this time to storm. It's a beautiful image. So that technology is incredible because the change in length is that kind of been the exact number, but it's way, way, way less than the diameter of an atomic nucleus. So the change in length of the beams. It's tiny measurement, but we can do it. So this collision of black holes, the idea that you can detect that? Yeah, that. Yeah, they did. I said the paper, the first paper they published that two black holes and they were about 30 times the mass of the sun each and they're all beside each other and spiraling in towards each other and they accelerated.

Speaker 3:          00:21:17       At one point. They were approaching each other at one third, the speed of light and the accelerated to two thirds, the speed of light in a 10th of a second and now hit each other and the explosion, the energy release was, I think I'm right, it was something like 50 times the energy release that the power of all the stars in the observable universe glowing and it was something like 50 times and that of energy for a tiny fraction of a second, but it's, it's an unimaginably violent event and that's why our detectors can see the ripples that that makes in space and time. And we detected kind of it's two or three of them now and also two neutron stars colliding. We saw that as well with it. So it's an incredible machine, which is why he got the Nobel prize. Now there's a supermassive black hole.

Speaker 3:          00:22:08       The center of every galaxy. Yeah. There is also other black holes that aren't necessarily in the center of galaxies. So these little ones were little, a few times the mass of the sun and they're from collapsed hours. So they are stars at the end of their life. Very bigness and more massive than the sun, but they run out of their fuel and they start to collapse because gravity squashes them and if they're sufficiently massive, then there's nothing that can stop the collapse and so they collapse as far as we know to a point, right? Essentially an infinitely dense point. We don't really know what happens that we don't know what happened right in the middle, but they collapsed to such an extent that there's a region around it where from which light contest game and that's a so nothing can escape and that that's a black hole. And what happens to them?

Speaker 3:          00:23:02       Do they travel? They moving through space? Yeah, they'll still stars. So they're still there. They're surrounded this region, wherever you fall in, it's called the event horizon and if you go across that horizon, then you are going to the center. There's one way of thinking about it, which is quite cool. Which is that at the time and space sort of flip is one way to think about it. So in the same way that we are going into the future now, so. So we're going to tomorrow. There's nothing we can do about it. We are going to tomorrow. I'm in the same way. If you fall in cross the event horizon of a black hole, you are going to the middle, the singularity, it's called, so that's, that's your future. Every. Every line of your future points to the center of the black hole. So it's kind of the ultimate of no escape for the ultimate prison.

Speaker 3:          00:23:54       You're going to get squashed to an infinitely dense. So point not every star becomes a black hole at the end of its life now because if, if I'm sensing light the sun and we have a small stock, it's quite small. Yeah, and when it collapses, there's A. There's a sort of a pressure force if you like, which is caused by the fact the electrons don't like to be very close to each other, so it's called the Paleo exclusion principle, but essentially what happens is that says they get squashed closer and closer together. They move faster and faster to get out of each of this way if you like. And that makes a force which holds them up. And so that creates what's called a white dwarf star, so you can have a blob of Matzoh. They're about the size of the earth, but they're about the mass of the sun.

Speaker 3:          00:24:43       And uh, so that's, that's for smaller stars. They end up as these white dwarf things which are very dense objects as another version which is called a neutron star, which is the same thing, but for neutrons and they, they move faster and faster. So if it's, if it's massive enough that it overwhelms the electron thing, then the electrons sort of crush into protons and turned into neutrons. And the whole thing starts again. And so a neutron star can be, you know, elite one and a half times the mass of the sudden, let's say. But it can be about what, 10 miles across. So, so that's an incredibly dense ball of matter held up by this neutrons moving around. It's got a fancy name, it's called Neutron degeneracy pressure with it. But if you go even bigger than even that can't hold it up. And as far as we know them, there's no known force that we know of that can hold, hold the thing up if it's too massive.

Speaker 3:          00:25:38       And so that's when it just almost winks out of existence. If you like it, it collapses and collapses and collapses. And, and that's when you get a black hole. We try to put that into perspective of the earth. The Sun is a million times bigger than the earth in this. This neutron star is, would you say one and a half times the mass of the 10 miles wide? Yeah. Yeah. So, and there's loads of those around them. They're called sales. So we see those all over the place there. The first one that was discovered was called LGM one because they're spinning very fast. And then the, it was called lgm one because it's a very irregular pulse and they thought it was a little green men. So they called it kind of jokingly little green men one. And um, so yeah, we, we've seen that there's one called the crab pulsar, which is in the crab Nebula, which we saw the supernova explosion.

Speaker 3:          00:26:27       So that's when a lot of the styles explodes at the end of its life and then collapses to form a neutron star. And we saw that in 10:54 add, wasn't there some speculation that our gout or our solar system at one point was, had, it was a binary star system and that one of those stars had become a door. I don't know. Um, some, someone had said something about that in relationship to the dense object they believe is outside the Kuyper belt. Yeah. I mean there's some evidence that the bits of evidence that there's something out there. Yeah. Yeah. And could, because of the periodic extinctions and things on earth, you get periodic bombardments from in the belt. So yeah, I think one of the theories, histrionic extinctions. Well, yeah, so figuring out like the, you know, they've been. There had been mass extinctions on earth when a lot of the life died and then we don't know what caused all those.

Speaker 3:          00:27:23       But um, sometimes there are impacts from space that seems clear. And so yeah, there are theories that there's something over tonight which can disrupt all these objects are in the pipe, the belt that sends low to comets and asteroids inwards to the inner solar system and can cause a habit. And so there's some people look at those theories. I mean, I don't know, it's one of those, it is a possibility that the same as the circulation was, that there's something out there is the, correct me if I'm wrong, something called the galactic shelf like that it gets to a certain space and it indicates that there's something far larger out there. Uh, yeah. I mean I think, I don't know the exact about the stellar sized or mass objects out there. I don't know that. I mean there is some sort of suggestions. Is another planet out there, big planet for example.

Speaker 3:          00:28:15       But you're right, there can be the be stuff in way beyond the bell and we talk in, you know, a light year away or something like that. Now it's interesting because it's incomprehensible the distance, right? And in our minds how far that must be out past what we used to call Pluto, but for whatever reason that becomes more interesting because it's in our neighborhood. Whereas if they find some distant star system and that it might have a planet similar to Earth, that doesn't seem as compelling for whatever weird reason now. Yeah, I mean, I think the planets around Alpha Centuri approximate Centura, which is the closest stars. It seems like there are planets around those now. And then that, that was interesting because we could conceive of go in there and there was this idea, you're Stephen Hawking actually and some others at before he died, had this idea called breakthrough starshot, which is the idea to send a little probe out to at the center at the Alpha Centura system.

Speaker 3:          00:29:13       And it, I think in their view, Yuri milner as well, the, the, you know, the, the entrepreneur wanting to do that. And uh, the, I think he said something like a hundred years traveled time or something with, with the, with our current technology. And they pointed out that we don't do that now. We don't think a hundred years in the future, but if you go back when people were building cathedrals, people used to routinely start projects that would take a hundred years to bear fruit and so we imagine going there and that's. That then becomes fascinating I think because then you've got a solar system and know the solar system that you could go and visit conceivably. Conceivably.

Speaker 4:          00:29:53       Yeah. I mean what kind of speed are we talking and how long would it take to get there? Well, yeah, I mean, so it is. I think the, the idea was about 100 years to get there, so it's going four light years or so in 100 years or whatever that you would have to essentially do what they didn't like the Ridley Scott Alien Film and put people into some sort of a, Oh, you're a robotic probe. It wouldn't be a. It wouldn't be possible for a crew. Well it is, but you have to freeze them. Yeah. That's always the. When you touch your engineer's, you had Ilan and didn't use engineers always say, you know, physicists go, well, it's possible in principle, so over to you, you do it now there are no laws of physics that tells us we can't do it, so we just do it. But you know, that's a weird relationship with physics.

Speaker 4:          00:30:36       Physicists and engineers. Yeah, yeah, yeah. But, but yeah, in principle you're right. If you can send a little robots facial there, you can send a crude spaceship. I'm of the opinion as time goes on and augmented and virtual reality gets better and better that it doesn't totally make sense unless we're talking about colonizing someplace to send biological life to another planet and if we can send some probe that doesn't have to worry about the, you know, the biology being affected by radiation or by the speed of travel or even buy food, we can send something out there and almost be there by virtue of goggles, virtual reality goggles or something else.

Speaker 3:          00:31:19       Yeah. You hear that in science at the moment. Space Science. We have this debate alive actually because of course I'm space probes like curiosity. That's on Mars at the moment. That's really cheap compared to sending people to Mars, and so quite often the scientists who wants to find out about the world's will say, well, we should spend it on robots. We shouldn't spend it on people. I think crewed space exploration is in some ways, I mean it's clearly true at the moment that humans can do more than robots so we can explore the place better for an now. Yeah, but. But I think it has to be. It's about something else. I mean it's about. It's not only, it's about living and working off the planet, which I think is quite persuasive argument. Actually. We've. We've already industrialized near Earth orbit, so it's already a multibillion dollar industry in every communication satellites and weather satellites, gps, whatever.

Speaker 3:          00:32:16       Yeah. We're already up there and so learning to live and work in space is I think a natural extension of our, of our civilization. Plus the fact he taught, so Elon or Jeff Bezos, they point out that the amount of resources available just slightly above our heads is vast. And so I remember I talked to Jeff Bezos actually once and he, he thinks really simply and he said maybe for example, in the asteroid belt, there's enough metal, I think to build a skyscraper side, what is it? Something like 800 stories tall and cover the earth in it, right if you want. Now we don't want to dig that. But his point was that the energy from the sun is all up there. The resources are up there. So you could almost imagine trying to zone the earth residential at some point in the future to protect the planets.

Speaker 3:          00:33:05       And do you have a industry off the planet, for example. And these sound, it sounds like science fiction except that now space x and blue origin, those people have got reusable rockets. So suddenly the economics become sensible. So I think it, I think, I think expansion is good and I think we will expand and I think we will expand outwards because there's not much room left on this planet to expand. So I think we'll do so. But that's a whole different idea. It's not about gathering scientific information, it's about a frontier. And and all the benefits that come from operating as a civilization on the frontier which we have lost on the earth because there is no from to your left. And so I like that idea that Mars. And when you talk about Mars, especially with Elon He's right? That that's the only place you can go.

Speaker 3:          00:33:54       So there, there is no other planet we can go to other than Mars. You can go to Jupiter or Saturn, mercury or Venus. So if we want to go somewhere and expand our civilization, it has to be mild and everything's there that you need. So with that, that's a different thing. Saying that you want to find out stuff, you're right. If we just want to find out stuff, then you send robots. But as far as expanding actual civilization and bring you to another place, one of the things that freaked me out as people get depressed about living in Seattle, I mean, you, you're going to live on Mars. I wouldn't agree with you. It'd be a horrendous thing is it's like the. It'd be like the western front. Yeah. It's different here. When people cross the states, incredibly dangerous thing to do that when across the states they still got to Wyoming and beautiful places in Colorado and.

Speaker 3:          00:34:41       Yeah, but it was hard. Yeah. I wouldn't want it to do it. But once you got there, there's a river and there's trout in the river and the metals are green and I agree with you. Right? I mean I'm not going to go there. So there were vineyards and hotels and things. However, it is true that there are people he liked the challenge and what is true about Mars? It's interesting actually because we know something about the history of miles now quite a lot about the history of Mars and it's certainly clear that there was water almost certainly oceans, rivers, so and that water is almost certainly still there. So I would say certainly still there where they have found large quantities of ice now, right? Yeah. So there's certainly ice. The may even be pockets of liquid water below the surface somewhere. So couple that with all the minerals and the resources that we know are there and you have everything you need.

Speaker 3:          00:35:34       So that's the thing about Mars, which is quite nice relative to everywhere else other than the earth. You can't go to Venus, you just metal. What is it? Four hundred and something degrees and 90 atmospheric pressure as I said so, so, so Mars is quite nice but I wouldn't go there. I agree with you because it's not gravity of Mars in relationship to third, third, I think third, right? Yeah, something like that. So it would still have a significant weakening effect. Like if you went to Mars and then somehow or another in the future they were able to get back to earth. Yeah. Your body would have a real problem with that. Right there is there is still grabbing. It's a bit more than a third. I can't quite remember, but it's something like that. But yeah, so there's still gravity. So there's gravity, there's um, some protection from the that you'd probably want to live in the caves actually or something like that because there's no magnetic field there.

Speaker 3:          00:36:29       So it's quite high radiation environment, but not too bad. It was further from the sun than we are. It's not to the replaces a mouse, there's a very deep critical helis which has a big impact basin. And at the bottom, the, the, it's so deep you could fit everest in it. So you put Mount Everest in the summit of Everest, wouldn't reach the rim of the crater. So it says something like, I don't know what it is, seven miles deep or six miles deep. So you could go there and at the bottom the atmospheric pressure is so high that you could just about have liquid water on occasionally on the floor of that crater. And sometimes it can be 20 degrees. Really? Yeah, the Celsius. Wow. So, so better than experiencing a series called, right? Yeah. So it can be warmer than Minnesota. And so there are places where it's not horrendous on Mars.

Speaker 3:          00:37:25       Uh, you know, so the Martian is kind of really stick in that sense, sort of bits of it. Do you watch those movies and shake your head? I like him. I like science fiction, you know, you know, so yeah. And I sit there. I grew up with star wars. That was my, when I was nine years old, list and say, yeah, I'm not having this. I didn't, I did an argument with Neil degrasse Tyson, not an argument, but a debate with him about lightsabers ones because I claimed that they're physically the in principle they're possible. Um, and he was trying to say that they aren't, but they are, would, they'd have to loop back around because the light's not continuing to like the fact that it goes to a certain distance and pauses. We'd have to have a mirror or something, I guess. Yeah. Something that's pretty be the end of it. Right? That's true. So it wouldn't, it'd be a different kind of lights there. The only point I was making is that photons, particles of light can bounce off each other. So we see that in really high energy experiments in particle accelerators. We can collide photons together. So my point was a bit of a pedantic physicists one, but he's because he. It is true that light can bounce off. It can hit light, but very, very high energy. But when they press that button, it goes

Speaker 2:          00:38:36       to a certain distance. I wasn't, that's engineering, right? I agree with you. I agree with you. The distance thing doesn't mass to it. Right. So as you're swinging it around, you wouldn't have the leverage of a long thing, so why not make it really long? Because it wouldn't be difficult to swing around. Like you could stab someone with a light saber a mile away. That's true. Well that's just the laser in it. Yes. Like why? Why make it so short? Ridiculous. You have to swing. You got to be close to hitting a person with it. That's a silly, silly design. You are picking holes correctly in the engineering part of my. The only point I was making is that physics, is that we shut him. He's quite interested in. Is it light can bounce off light. Yes. So, but it would have, there would have to be something that causes it to stop at the very end.

Speaker 2:          00:39:29       Yeah, yeah, yeah. Which will be, you're right, it has merit, but he wouldn't look cool with it if there was no kind of thing with them. But what drives me crazy about star wars is not the light sabers. It's the lasers when they're shooting the guns, so I'm like, why can I see that when I can't see bullets? This is supposed to be way faster than a bullet. Like why is it easy to see this? Because it's like you can get out of the way. Those things they really slow. It would be so angry. I'd be like, this is so dumb. I could go warp speed in this Millennium Falcon and travel the speed of light, but for whatever reason, these lasers are so slow that you could duck out of the way of them. That's so dumb. And it's not only style loads. He takes everything.

Speaker 2:          00:40:10       Every single film. Does that. Yeah. Yeah. Well it's like films, like also I worked on one of these films years ago. Sunshine. Very underappreciated movement. Yeah, I think so. I think it's brilliant film, but in that, so they, they asked me, uh, Danny said I want to do it right. So I'll do the spacecraft without any sand. So when it's traveling through space, there'll be silent and it looks shit. It just, when you. It's the same when when you try and fill the astronauts and you and they're in zero g and they always move slowly. It's like, why, you know, you're right, you're right. You'd be able to move very fast did you want. But it looks silly. So this kind of a, I suppose it's what audiences have got used to over the years. And so in the end you have a partner in 2001 which didn't do it silent in 2001.

Speaker 2:          00:41:04       Well, Kubrick was a stickler for science and for him he was apparently he would do complex mathematics in his spare time. Left. Fascinating guy. That must have been. Yeah, I read that. They just, um, someone just found it. Interview didn't idea of the day where he explained the ending of 2001. I didn't say that it yesterday actually. And it was, it was kind of a really simple version of it. He just said, well, the super intelligent beings take him in and put him in a zoo basically, and watch him grow old and then sending back to the earth as a super being. That's the worst explanation at the end of 2001 I've ever heard, but it was Kubrick's. That's what cubic said, so that he falls into the monolith. Yeah. They just put them in this room, which is kind of a bad version of a French chateau or something watching grow old and then send him back to the earth is a super being. Wow. Okay. That was Kubrick's version. Strange. It's a, it's a, it's a weird genre, right? Because sometimes people get things right, like didn't hg wells predict a, a significant amount of scientific inventions in the future? Well, there is. I mean, defenders. Which one doesn't it? There was a moon one wasn't there. He did an agenda to the moon. I mean he's time machine is not able to do that. Really worked out yet.

