Speaker 1:          00:00:00       Yeah.
Speaker 2:          00:03:15       You know, one of the cool things about audible's, first of all, they've been around a long time. Audible used to do stuff with comedians like way back in the day, I want to say like 2001 ish when they were releasing like they got guys like, I know Steve Marmel did it and I know a few other guys were doing it as well, where they would do like a new five minutes every week and they would release it on audible. It's kind of a tough sell. But they tried, you know, they, they, they, they gave him the shot. They have some balls and uh, I appreciate that they did that. I don't know if they still do that anymore. I probably shouldn't say they tried. Maybe that's like a big feature, but, um, I'm a big fan of the audio book format and uh, the disaster diaries, um, which was Sam Sheridan's book, the guy who was just here yesterday is available.

Speaker 2:          00:04:00       That's what I would recommend. If you want to get a new book, it's to check checkout. It's a fascinating, fascinating book. And it's read by some other dude, but some dude named Donald Korn and I'm sure Donald did a good job and all that. I'm not saying he's not, but why wouldn't you have Sam, Sarah at Sheridan Read Sam Sheridan's fucking book. Maybe this is Sam's partner. No, I think it's like, you know, probably the book company. It was like, I think we should get an actor. I mean, listen, Sam, he rode a captivating speaker, but we need that extra professional touch to really push your audio book to the top of the charts. And sound was like, all right, I think it's more likely that, right?

Speaker 3:          00:04:36       I, yeah, I think so. I would recommend that opie and Anthony, uh, audible book last week, they had the gay off episode. Uh, so they have the opening Anthony show there. What is it? Yeah,

Speaker 2:          00:04:46       but so is there a name of that? The gay off episodes where people can specific

Speaker 3:          00:04:50       it? Search for it actually called, uh, the gay off and it's February 13th, 2013 with Andrew dice clay and they have it on audible. And I believe each episode you can either do a subscription, so you always get the Ogun Anthony show or you get a, if you sign up through your thing, you get a, I think a free audible book. Don't, you should get one free audio book so you can just get it free right now. Just sign up right now. Get this one episode and laugh your fucking ass off and cringe. And,

Speaker 2:          00:05:19       and, and by the way, just a massive amount of books that you can choose from. It's a, it's an awesome service. One of the cool things they have is a, an application for, um, the Amazon kindle and the kindle fire HD. And what it is, is the, the audible whisper sync application. What it does is if you're reading a book at night, so you'd be stopped on page 300. When you get in your car, it's syncs up and starts the audio version of the book you're reading. It's fucking fantastic. It's a brilliant idea. It's like one of the, one of the coolest things for like driving it driving

Speaker 4:          00:05:58       actually. Interesting. So a go to audible.com go and check that out. We were also brought to you by on it as we are every week. O, n n I t. Um, we have a, a new testosterone supplement. James Thompson, you might be interested in that if you're looking to get extra swole. I don't think he needs a hope. You're in to get an extra swole. Now you, uh, you actually lost weight, right? You were a little bit bigger at one point in time. I've been up and down all the time. Yeah. Do you like try to figure out like what feels like where you're at your strongest? Where? Yay. Is it like a sacrifice thing? When it, let me get through this commercial. We'll get to that because it was like, I have a lot of fucking questions for you man. Anyway, on the.com use the code name Brogan, save 10% of any and all supplements.

Speaker 4:          00:06:41       We've got a lot of cool shit. It's too cold. You what's happening? What's it called? This testosterone. It's called t plus. It's got 'em all sorts of natural shit. Mucuna Purina's it helps elevate natural dopamine levels and magnesium is ferric acid. It was just some, uh, it's a supplement that's shown him one test to increase free testosterone by 42%. So it's called, it's got magnesium and yeah. Well yeah, that's one of them. Yeah. It's one of the ingredients. You know, we were talking about the zinc, magnesium supplement, that CNA stuff, which is a very good for you and it can increase testosterone. But apparently what they're saying is it increases it in people who are deficient in zinc, which is most of us apparently. Yeah. Apparently most people aren't getting enough zinc. I do it almost five times a week now. You make it does make me feel better, right?

Speaker 4:          00:07:30       Yeah. Yeah. Yeah. I'm a big fan of zinc. I think there's something in that net Zma uh, that's uh, an interesting supplement and one of the things is also they think it helps you recover better and build your testosterone more because you're getting more sleep. Yeah. Like a deeper sleep. You go to like that the deepest level of sleep usually don't get too addicted to it. Do you think like with them I see him, I just know like if I'm traveling or if I'm like, you know what, I need to go to sleep and I'm not tired. I'll just play on the Internet all day. I'll just take it like offering it up. You were offering it at all? I would like this kids is EMA free fruit. Zma like crazy. I go love is something you really needed in your diet. Yeah, definitely. Definitely.

Speaker 4:          00:08:08       Yeah. Obviously that's so basically he's, he's worked. Yeah. Yeah. I think a lot of us are deficient and shit. We just don't realize it man. But he didn't get cramps in their potassium. Apparently it was why you get cramps? I get cramps, you know, sleep and you wake up screaming because he accidentally got it. Gives a Charlie horse in the middle of the night from dehydration. Probably you're an unhealthy fucking charley houses. You don't know what Charlie Horses, um, Charlie horses when like something like stiffens up on you. There's two different ways that like some people called Charlie who is a punch, like a punch in the shoulder or punching a leg that it means something completely different. But England, is that what they call a Charley horse? No, we've got like pumped in the almond England. Yeah. What does that pumped down? Did just call punched in the arm.

Speaker 4:          00:08:55       That's probably a better way of dealing with why. Why would the silly fucking nicknames and have to relearn how many halls? Slug bug is what it's called. The United States beetle. A Volkswagen. Yeah. He told me about this. I didn't know this existed. There's a lot of people in the country and this country in America, Mr. Thompson, they're just looking for an excuse to hit each other. So they'd come up with games where it's friends fucking asshole. We're a country of assholes on it.com not assholes. Go use the code rogue and saved 10% go get yourself a Blendtec blender and some fucking kettlebells so you could be manly like James Thompson. All right, we're here. We're queer. Get used to it. Started to roll the podcast experience.

Speaker 4:          00:09:46       Powerful. James Thompson. Welcome aboard, sir. Thank you very much for coming on, man. I was very excited to talk to you. I know, I know. It's going to be fun because, uh, you're, you're a character that I've enjoyed for many, many years in the world of mixed martial arts. I remember the first fight that you had with Alexander Milliken Aiko and pride when you came, I don't remember. You went bananas, man. You took it to 100 miles an hour from the moment the bell rang and you just red line that bitch. And you know, it didn't, I mean it was a crazy fight, but you don't eat. When that fight happened, you'd only been doing martial arts training for a shorter amount of time. Right. Doing it for a year. Now

Speaker 5:          00:10:29       I know I worked, I was, um, I didn't do anything before pop foam. Um, before my first fight, I had a platform, I don't know, six months veselin good wrestling. And then I saw, I may put myself in for a contest six weeks later and I thought to myself, we're doing, I wasn't, it wasn't like a camp. It was a class three times a week and that did other things. I'm self different, cardio, different this, different that. So that's what I did. I made it, put it all together, did my class of MMA, and then, uh, after like three, four weeks of hot, I'm ready for a fight. Not because I'm, I would again, or just yourself. Well, I just fault I didn't realize how much the words to it.

Speaker 4:          00:11:19       Uh, I didn't get how deep it was. Like looking at it from the outside. That's doing a little bit simple. Yeah. Well, you're a huge guy. Yeah. So your whole life, you've been a huge guy, I'm sure. So you probably not used to being around you were smaller and smaller, if that makes sense. But you know like so your, your, your look at the sport of MMA was probably not from even as from a position of like, why don't I fucking do this? Like I'm designed for this shit.

Speaker 5:          00:11:47       Well I can kind of, because I always wonder why didn't I know do boxing

Speaker 6:          00:11:53       right. Why didn't you, what did you do?

Speaker 7:          00:11:57       Okay.

Speaker 6:          00:11:59       It looks like you picked up a lot of heavy shit. Did you do that video game? I would look in back home in a flashback to be molested or something. Like I was going to stop breaking down in tears, you know, if we can all know what if I opened there? What sports did you do? Book pay. I was very good at rugby. Rugby in my opinion, sacrilege. People will say sacrilege. It's just inherently more badass than football. There's no question. This put this pad thing is ridiculous and I know we've accepted it. Pads. They were the football players, the pads and helmets and shit. Oh, American football, American football. Not Soccer, soccer obviously, but American footballs, the idea is ridiculous. Pad yourself up and running each other. Full clip rugby. To me it's like you got like a little leather thing in your head, but sometimes it protects your ears for falling off, so don't go fuck fucking call it.

Speaker 6:          00:12:54       It's just more bad ass. It seems like a more bad ass port, you know? I think different ways like Vulckbie it's fucking tough. I don't know if some people, some guys off, you know, professional fighters and then obviously doing over things. I'm voc bop. One of them I'll tell you. Oh yeah, I had a book. Maybe you play vogue behind you fight. Wow. Fuck you got an injury, so get people step on you. Oh yeah. Fuck. When you go on the train and they got the heels on, they, oh yeah. When I, when I first started playing, I couldn't believe it. I was getting stumped. Telephone. What are you fucking stump him in? I ended up popping a fight on the,

Speaker 7:          00:13:30       okay,

Speaker 6:          00:13:30       no pub in a fight on the pitch. It's really common to have fights in rugby isn't very common, which is so cool cause stumping. Yeah, it's so close to a fight. It's like three quarters of a fight, you know, and you get into the scrubs. It's like three quarters of a fight going on. It's amazing that it's not like a constant length. I didn't do it in a war. Well, I mean I, you know, I've, I've, I've enjoyed football games before. It's not that I don't get the appeal of watching a great football player. I absolutely do. But I'm like, I would love to see those athletes play rugby. I would love to see what would happen. It would be like a band and football. I think it's fun to watch. It's craziness, man. Yeah. Posh people do it. Posh people in England. I love that word, by the way, Steven fucking great way of describing things. Such a few words. I've really like, it started to appreciate Larry like proper, that's a proper car. You know, proper is a, that's a Badass. A Batoche what? Posh is another one. I like posh posh. Then sometimes you fit out popper posh. Oh, proper posture is gangster, right? Yeah. That's when you go over to someone's house and they got a peacock. Shit's proper. Posh dudes have like fucking statutes themselves and

Speaker 8:          00:14:52       the fountain and there are a Merman. You know, you ever seen those guys? I know a couple that has a fucking

Speaker 4:          00:14:59       where he's a Merman and she's a mermaid. Oh there is. He, he's a super duper billionaire. He has a statues of her. He created a statue of her in a fountain. Wow. Yeah, he had, he has this, she's very pretty and you know, you've got to guess. He's like super psyched. Gets to fucker. Anyways, these paintings all over the place of the two of them and one that's a Merman and

Speaker 8:          00:15:24       guy in England. Okay.

Speaker 5:          00:15:27       You know, locked talk, stock, gangster block. Um, I can't remember what it was called. Anyway, he um, I just got on the side of his house, him as king, gaffer on a halls with, he's wide,

Speaker 8:          00:15:43       you know, the spear book. Do you know he's not inside his house. He's not inside his house. It's fucking outside his house. Same. So everyone can see it. He can't even fucking see it. You can see it. So they just sticking his dick out of his front yard. Oh, what am I crazy ass Stacie's deck.

Speaker 5:          00:16:06       Oh my God. I forget I'm an east deck.

Speaker 4:          00:16:09       No, but I'm saying, you know, that's what he's doing by having that, oh like him as a famous French fucking deep into to Dick thing.

Speaker 8:          00:16:18       Yeah.

Speaker 4:          00:16:20       Bozeman to been a big thing. Yeah, that is for sure. You know crazy ass hall people are so nuts, man. It's pretty well known. Just kind of like we slept together. You remember when Lean Mary had that mural made of him wrangling Jorge Rivera. That's what I was going to mention. But cause I know Leah novel, I love that guy. He's a character. I know he's a criminal and all that jazz and he's done a lot of bad things. I understand. I mean, I wouldn't want to be on his bad side, that's for sure. But he's so entertaining, so crazy. He's,

Speaker 5:          00:16:55       I mean I, he trained up London. Shoot while you still trained. I started training the chill stuff to, he laughed. But I did do a, um, like a game, a video game, cute with him and it was just off to being stopped on eat coming up. They'll spot, he was vague. Finn Looking, you know, I'm used to say name like everyone else at events, you know, event or not. He always calls, you know quite no, not mostly about lean and I'm healthy. I know when I saw him he just vaguely, they drone on fucking owl. I'm not to what he lives everyday, you know, that kind of shit. Getting stopped shooting like literally some of stores and you know, go over the top and people get carried away, especially in Italian gangster stories. But there was some from so many good people who I know who were there and they're like fucking owl valley. Like, like

Speaker 6:          00:17:50       I mean massive fights. Fucking punching through a car window found out about and because of its treat, vote with tea or allegedly, no, Tito has one version of it and Pat Miletich and the other guys that were there have another version of it. But the bottom line was somehow they've gotten some sort of a fight. I don't believe too, I could never say it wasn't there, but I wasn't that I actually started it. I didn't, I'm just saying. But um, he was a part allegedly of a lot of people don't know the story. The biggest bank robbery in the history of England, right? Yeah. No, no, that is fucking crazy. If you look at the security cam footage, it's like you looking at us, the rest are stolen movie and I get done. Even like a Guy Ritchie movie, it's like it's not, this is not, this can't be real.

Speaker 6:          00:18:43       They can't be dressed with ski goggles on and commando outfits and machine guns and they can't be really robbing a bank cause this is just bananas. When they did it, it was a bank upon it, which I thought more show too. I'm the reason why they didn't, I thought more secure security. So no one knows what it is. Like it takes a blank building with, obviously he's going to be fucking secure, but ultimately, oh cause they don't want to talk to tension to it. So that's why they think Kenny's got be an inside job, which you kind of look up anyway. I think a lot of that stuff is probably inside job. If you're making 50 grand a year and you're working in a place like that, you know how much does that fuck with your head? Imagine you can see that money going back and forth every day. La, you're just standing there watching it and you're just a banker and you're a banker and you're like, how do I ever get rich as I can eat right and falling on my face? And you got a crazy cousin. He'd tell that crazy cousin when you're drinking. Who knows? Would be a way we can rob it. I mean, and we shouldn't rob it, but next thing he knows it and you cousin starts spreading out the math and you're smoking meth with him and you're like, we're gonna rob this guy.

Speaker 6:          00:19:56       Let's go fucking math. Yeah, those are, those are a rock salt because it's like it's somehow or another, it's supposed to give off good energy. I don't know if that's horse shit or not, but I'm going to go Melissa Etheridge on this bitch and just sewed shipped it. It is, it is salt, but it's kind of cool. But whenever I talk about him a couple months, maybe a month or so, do you feel much goodwill? I'm not sure. Pretty Thompson. I don't know if that's, I don't know if it's the rocks. That's the problem with, uh, a lot of different things. It's like how much of it is a placebo effect? Why does a fucking placebo effect work? That's, well, that's a weird thing, man. Why does that work? Because you believe it. Yeah, but why does it actually work sometimes? Because you believe it. I know, but scientifically what the fuck is going on with your mind that your mind can take a pill and think it does something good?

Speaker 6:          00:20:51       So all of a sudden it does do something good. I mean, that is a amazing property of the human body is, um, I'm, this is what I'm saying. If you, if you believe it, if you, Oh, I've gone all Murphy average. The fucking, you've touched with the crystals and the power source. Thomson. Just go with your feelings when I'm express yourself. Express yourself. No, I, when I listened to that podcast, I know I, for me, she's quite hippie. Melissa Etheridge, she was awesome. Beautiful Person. I, I sold much of what she said. I was like, yes, she's had, she's had the secret. It's like the fuck. Like she liked it, which are the, it's like the fast food of positive thinking and all that easy fix. And I thought what a great way to sum it all up. Yeah. I don't know if she's right about her.

Speaker 6:          00:21:44       Her idea was that you sort of manifest reality from your own mind, your imagination. But she might be right. I don't know. I mean, I don't necessarily believe it, but I know this, believe it either. I think it's an interesting possibility to consider or it might be a combination of, you know, random events and how much you guide it with your own thoughts and their own mind. The phone. Well, I don't think anyone does and that's fair. I was listening to her. I was like, wow. Yeah, I'm not green, but scene where she's coming from and yet, okay, wow. And a lot of it and then, but it seemed a bit too definite like that that's the way it is. And she would say, I think that's the way east to her. Yeah. So therefore it's so, well I also think she would say it's very self serving to be, I mean self serving in a positive way to be definite because if you want to believe in something, like if you want to really believe in something, you have to believe in 100% for it to work home didn't have a placebo effect where actually I think that's not true.

Speaker 6:          00:22:41       I think there's been a study that showed that they did give people placebos and tell them there was a placebo. It's still have a measurable effect. Uh, some pill that they gave him, like they knew the whole time, it was just a fake pill, but it's still works. And I think those are like the same people that you could hypnotize. You know, there's some, you can hypnotize everyone. Everybody, everybody 100%. You can hypnotize them as long as I relaxed. So you would say, well, you weren't relaxed because I'm going to hit a to you now. You would definitely tend to up. I haven't. No. You know, I talked to a guy who can assist and he said that some people you can hypnotize you, but that was his word because they won't let themselves to relax that you treat as a stat. I don't think I would ever let anybody run my thoughts.

Speaker 6:          00:23:28       Exactly. It's not that I wouldn't, it's not that I wouldn't relax. I'm absolutely, I could absolutely relaxed, but I would. I'm not really into letting other people run that, getting sleeping. No. I know what I'm getting done. All the, I'm really relaxed. You're not going into my head. I think that the guy was hypnotizing you is dumber than you. Right. There's no way, mother fucker, there's no way you can it up with some shit. That's what I see. I thought I'd looked. See Devin down prone on it. You Watch it. Shit. I know. I've heard of them. Oh mate, is he hit me this as well. He's a magician. No, no, no. Eat, no, no, no. It's in between these kind of like, hey, this ball.

Speaker 5:          00:24:10       Yeah, just to do super trickster. Yeah, he, yeah, he's a super quick story is he told us some of it. He says, this is why it's a trick. [inaudible] had explained why it's this and that. I'm white. I'm the only one he didn't get right. And this where I really me to, to the guy fucking going to go to the bank and got him to get tank vanned out of, out of its own account. Then he said to him, he got this guy by random and then you took him to a roulette finger and he said, right, I'm going to get you on the old, the guys watching on the screen, and he said, I don't want to get your money. I'm going to put it on one number. If it loses, it loses. If it wins, the money's yours. So the guy was like, I need something. They showed him the video of him, hypnotize him and that he was his money. Right. So there's that. So you've seen that and he's been stood in the fucking spins and toughness fall and doing all this stuff leading up to it anyway, when it comes to it, gets it fucking wrong,

Speaker 6:          00:25:15       gets it fucking wrong. And he gets every eat and then before that he protected the lot of the numbers. All six of them do. I'm obviously, he said that it was a trick. I'll raise it at the end. It was a little bit, now it's a trek garbage truck. Yeah. That's why I love Penn and teller. They tell you what the fuck the trends. Yeah. Yeah, but down, down by and leaves it. So, so with the lottery thing, I like that because it's like that shows when it comes to like lady luck, well fuck you to do. I mean do you not think you're getting one over on lady luck, slap you down. That's the big issue that people have with psychics. Like if you really were psyche, when you win every lottery, like what are you doing? He can make a lot of money playing the lottery.

Speaker 6:          00:25:59       Imagine if you won the lottery like every week and everybody be like, Hey asshole, the fuck are you doing? Yeah. Like dude, I'm excited. Yeah. I wonder, I wonder how many times we'd want it before you got born than you do something else. Well, Vegas won't let you win that many times in a row. Like Vegas. We'll kick you out of casinos. Even if you're not doing anything illegal. Like David Cho, he's been kicked out of casinos. Like he's just too smart. They're like, you gotta get out here. You're fuck you thinking too much and you've got a system and it works too. Well, they won't say that to me. They won't sell it to you or say won't kick you out. Why does that cause you to vague? Nope. Because I'm giving them lots of money. You've given them lots of money. Yeah, because I'm, because I started giving them them. Well, if you started winning, no man, no fucking deadline. But uh, you've had a gambling

Speaker 5:          00:26:44       problem. That's what you're trying to say. Yeah. You know, that'd be trying to foam here. I've got my money to give you, fuck, I'm not finished leaves in. Why do you get crazy and gamble some much? I don't know. That's like a question. It's not question everyone asks us. No, no one else didn't. I think ask yourself, you know why? And I don't know that we've not, I'm not copping out here. I'm thinking maybe some part genetic all my fault about the source. Yeah. But my, my, my father, my father, my dad, well my dad had a camber governor. No problem. Do you have a proper gambling problem? Yeah, yeah, yeah. Pauper Porsche gambling. So he was a, and you saw this when you were growing up, but, no, no, I never, I never met my dad. Oh yeah. The first time I never met him.

Speaker 5:          00:27:37       I do know all, I never even fought by him cause my mom was that good. Well that's amazing man. I'm fucking it when you think of it, because there's was a, you know, when she met my dad it was, um, you know, I was like, I remember, you know, timeline, we'll talk came over and uh, and this and that. Um, because just want eight. You just cut out. I wanted that father figure I suppose. But um, yeah, what was the first time I found out? But that was, dad was, my mom came to the door and you know that vein, which is polite. And um, then then, then I said to a, um, that she, that she said to me, because I didn't know yet and she said to me, your Dad's dad and I'm not and that was it. Um, and then she told me about the funeral and we went to, um, she picked me up, went to the funeral, I'm having a coffee and she took talk about it and then we were laughing after five minutes just because there's nowhere really that sad.

Speaker 5:          00:28:43       No, he didn't have a big place in your life. I'm sure I met, met him right when he had a gambling problem is your point. Yeah. And so you feel like it's probably genetic that you have one as well? Fuck it out. Fucking owl to dungeon. I felt we were fucking talking about, yeah, we were talking about the gambling. So do you like, like what is it like you get in casinos and you just can't help yourself. You just started playing card. What do you play? Blackjack and talk about the fucking yeah. Blackjack tattooed on your arm going up in flames. Wow. And then I've got a positive affirming message. What does it say? I'll find strength in pain. [inaudible] you got cards on fire on your arm. I got some goofy tattoos too. It's okay. I don't think, I don't think of it as beef. Mine means waterfalls. Yeah. He thought it was forgotten. A woman friend who is learning how to tattoo if you want to. If you're on a really awful, awful, what does that, I've got the serenity prayer. Well there's

Speaker 2:          00:29:42       our, that's not funny. I think a, this is actually kind of interesting.

Speaker 5:          00:29:45       They see the funny bit there. The dates. What crossed out the dates across. Crossed out. Yeah. Cause that, that was the last time we gambled. Gambled. Took what? The costs out.

Speaker 2:          00:29:54       Oh Wow. And then you make another one and then I'm gonna run out of room son. Yeah. Well, I, well I did run out of it because, so every time you've gone you're wow. So that's your biggest issue is gambling. Oh, has this, uh, how, how long has this existed for in your life? For years. Kindof five. Really? That's when he started gambling like crazy.

Speaker 5:          00:30:15       Yeah. Yeah. Well that's when I just, excuse me.

Speaker 2:          00:30:21       Do you know that, um, there's, there's a study that recently came out that said that there might be a connection between, uh, gambling addictions and brain damage.

Speaker 5:          00:30:33       Is that yeah. And burn probably fucking good. Good tests come to that far.

Speaker 2:          00:30:40       Yeah. He might be, man, I think he's sent in or something. No, I'm not hearing the same thing, but it was a, uh, a recent study I would have to tell you about this. I mean, if I'd had known, but this, I'm actually, it wasn't that recent. It was like 2003, but that brain damage, that addictive behavior, they believe that there's a, there's a connection between guys who have suffered him and impacts, and obviously you're very functional. It's not like I'm saying that you got brain damage, but everybody's been hitting the head has a certain amount of brain damage. I'm sure I have brain damage, but this, that this was a, a connection between that and pathological gamblers. You know, that's a, that's a fascinating connection.

Speaker 5:          00:31:23       Well, I started thinking God food, listening to your show all, all the time. Um, I, I'm having about the football players and the kind of concussions and things like that. Um, even about the depression now, I was going through about being for vague about depression. Um, I, I wanted it thought, been not touched how many times getting concussions and such forth. I drug problems I've had. Um, I was, I was, I didn't pop in with Ghb, which is stuff that makes you sleep. Yeah. I had a problem with that and I, it's not, not excuses. It, um, you know, because it's smelt like, oh yeah, that's why I got not take loads. I've got shit defense and you know, my, I'm not, not quick standup. Okay. But on top of that, taking that out and say it's a mental attitude of not concentrate into training as an effect.

Speaker 2:          00:32:18       Well, did you, um, take, it seems like you took fighting like less seriously then than you do now. When you, when you first started, did you not understand the consequences? Was it, was it a matter of that and how is it a matter of, it just became like something where you just really decided, I got to get dedicated if I want to keep doing this. I took

Speaker 5:          00:32:36       it seriously. I like, I it on your way to do it. I went to Mitchell, just jumped right in the prime cause that, well because it was just the way it was the, I've been thinking about this now to me. I went, I saw it, I can do that. I did it right. I kind of believed it and I saw the fight in and I saw nog and I fought. I'm not too far off after his fucking unbelievably fucking naive. And then I went in on, I had my first fight, I could do it and I thought, yeah, okay, I can do this. Um, and then 10 shows later, I mean, the main event against done seven loads of people are fucking watching me and I'm, I'm just, I'm out and a new way at the time. A lot of time going to the first event.

Speaker 5:          00:33:26       I said to my girlfriend at the time, I'll be main event and I'm not like that, but I said it and I just knew it until, because I believed it happened because I made it up. But also because you're gigantic and you worked out. Oh yeah. That made it happen. Nobody. Okay. There's like a few, uh, didn't work out. Don't know. I, I, I was working out because I was training to, so I was trying to hard for if that's right, but um, I have in them before, so I was relatively fit, but no, but that's the, you mean you jumped into the deep end of the pool right away? Yeah, I did. Yeah. That's pretty, I mean, you fought Alexander Emelianenko who's a high level MMA heavyweight within how many months of use? Beginning training and striking, uh, fight for about a year. Just over a year. So, but I wasn't training, I didn't have a team that I was telling him the little dove or that and it was all a bit, that's what they said.

Speaker 5:          00:34:23       What happens then? You know, you know, you go and get little chills right now. I'm ready. I know. And I remember watching him and I and Co and it looked like on a video and just like not in the flesh again. Yeah. Okay. Oh Shit. Myself, I was like, yeah, I can do this. Okay, okay, I can do that. That was a crazy fight, dude. Okay. That was a crazy fight. You just charge after that. But what you saw though was me being serious as it. So to me that was authentic rage. That wasn't obviously my video. I explain it and we'll make a lot of videos now. And you're, yeah, I'm loving to hell. Blogs and stuff and putting them online. No, I've, I've really enjoyed it. I've, I've been lucky enough, I've got, um, um, I, um, I met Guy, I'm sigh, it's like Paris and he dive accent does a film. I told him about a few ideas. He came down, started doing these, putting these ideas into play and yeah, it's going really well. That's cool man. So this um, this colossal concerns, things that you're doing, all these videos and the blogs and everything and it seems like you're really excited about this. Like you constantly tweeting, tell everybody or we retweet shit pending the asthma. It little bit of pain in the ass about it. But I appreciate

Speaker 4:          00:35:38       the, the, I like what you're doing. I like very enthusiastic about that 12 take, I'll take, that's a bit annoying, but then it doesn't annoy me. No, but it annoys other people. I don't mind. It doesn't bother me. I just get scared. I'm trying to make me scared. I told him I'll pay, people are asking me to retweet shit. It's normal for me. Yeah, yeah, yeah. That's the thing. Like I think the, in the future that's what will be the red. Um, that's what he said in the, in the future it'll be likes will be currency. Currency. I used trig. Yeah. I really think that that would be the best way to live the life. Live world, the world. You know, if you could actually work it out that way. So like being nice and helping people would give you the most currency, that would be the most beautiful. But what about the simple, no, can't be that simple. We're not living in a garden. Know I've seen people who loved hot kit that people, they'd be, they'd be all that kind of fucking bullshit going on. Wacky coder or son of a bitch would get in there and exert his intelligence, troll dominance over that computer and fucking whack it out and have a billion likes.

Speaker 4:          00:36:53       You have more likes than there are people. Every one socket I cracked the code bed. Yeah, that's a, it's a, that's a beautiful idea. But they've got to figure out something better than letting old people just keep it and make everybody else paying interest on it. And the Federal Bank and all this, you see all these big giant banks. It's supposedly control these different aspects of our political systems, yours and ours. Did you see the, um, let me go, what off of the federal reserves, like a partial bit of it got printed and it was trillions of dollars. Trillions going to different bunks all over. I see what you're saying. Yeah. The secret hidden, uh, bail outs that we didn't know about millions of dollars. He's a crazy, it's, it's robbery right in front of your face.

Speaker 4:          00:37:50       She belt on my fall. Trillions. What do you get back? Justifiable robbery. That's what it is. They figured out how to, how to like Jack, this system, how to extract insane amounts of cash, have to have these mansions in the Hamptons. They figured it out. Okay. You can't be hating. They can get a throw your system away. It's infested with rats. The system doesn't work at all, but no one's willing to do that. No one is willing to start from zero. If you worked your whole life and you get 50 grand in the bank, you're not going to give that 50 grand up. And neither is the guy who's got $1 million in the bank. He's not going to give that million dollars. Well, and we're all going to start at zero. I felt fuck Outta here. I don't know. I wouldn't cause there's a lot of assholes out there that shouldn't even be a zero. They should be like a negative. So fucking Lazy Bitches, right? There's a lot

Speaker 2:          00:38:36       of people that don't contribute their share. So unfortunately capitalism as, as it stands right now as well, we got no one was called where a good alternative. Well we need to, it's really silly because in 2013 the idea that this is, and I'm not a socialist by any stretch of the imagination, I, I'm, I'm more of a, I think people need to pull their own weight and a lot of people don't. I think there's a lot of lazy fucks out there. There's a lot of people that just, they lack motivation, they lack direction, they lack focus, they self sabotage. And he shouldn't reward that. I don't think you should reward that. But on the other hand, this system is fucking crazy. This stock market, we, you're gambling on the ups and downs of Konya owning pieces of companies got though, but fuck no one even knows what it is.

