Speaker 1:          00:00:04       Ah,
Speaker 4:          00:14:08       I've never known what that word meant. So that's where we're at Tabernacle and it's on four 20 which is just so silly. We had, it's perfect. It's so silly. We had to do it. When you told me you were thinking about it, I was like, no, dude, that's probably just do that. No, I'm it. It costs us extra money to do it this way because they want, everybody else wanted to do it the next month, but I was like, you know what, it's for 20 it's just so silly. Yeah, let's just get in there, get it did film and unformed 20 it's just so perfectly goofy. You know I, it is. You know, I mean fucking, I love how Doug Benson does is for 20 shows four 20 in the afternoon because look, yes, it's pro posture. It's, it's silly, but, and we all agree on, he's cut out everybody, but it's hardcore

Speaker 2:          00:14:52       fans. He's getting, you know, he's getting on up at four 20 in the afternoon on a Sunday. Hey darn casual Doug Denson fans showing, do you guys ever have a screen name that had been there for 20 in it? No. Dare you. You did. You did. She ever have one that had 69 in it. I probably, I definitely had red band for 2012 brill. Yeah. No, I never, I never did AOL or something. Wait, let me ask you a question though. Oh, fuck it. No. Ask Wash it. If it just enhances your, why should certain those things being an enhancer. Well, it's all in. What does it look? Doesn't it is a reality is everything you take is a performance enhancer from vitamins too. Minerals to a good diet. Isn't it just what's harmful for your body? That's what they started out low trying to outlaw is what they're trying to do is to try and stop low level physical engineering.

Speaker 2:          00:15:48       And that's what steroids are low. This low level. It's inevitable that they're going to come out with nanobots. It's inevitable. They're going to have the ability to literally change your genome. It's, it's inevitable. It's Kinda how it's coming. It's going to have dr and this deep six nine, here we go. He was all genome that he a bull's eyes. Everything might not be in our lifetime. And I mean, it might be in another lifetime after, uh, after us, but some time if you look, as long as we don't blow ourselves up or get here will make everything better, we're going to make things better. There's no way then there's no, there's no technological wall they're going to hit. These fucking guys are coming up with incredible discoveries and these incredible discoveries actually make those other incredible discoveries easier. So many, all the technology essentially works together as far as like computer processing power and as far as knowledge gained and learned and you build on that instead of having to Redo those experiments to get to a certain point, you're already far, far along the process.

Speaker 2:          00:16:44       And then these new minds just add to that. They're going to figure out a way to do something that's way crazier than steroids. They're going to figure out a way to make doctor Manhattan's, they're gonna figure out a way to make giant blue dunes with giant blue dicks. And I mean it's going to be real. It's going to be unstoppable. There's no, once it comes, once it becomes an actual technology, once they get over the morals, then it's only a matter of time. It's like a hundred years, is it 200 years? We will be unrecognizable 200 years from now. If as long as we stay alive and keep getting more and more, we're trying really hard to fuck it up. We're trying really hard to eat every fish in the fucking ocean and then throw all of our shit in there and plastic will live longer. They accomplish more things. Yeah. But we're, we're trying to still trying to fuck up the ocean and overcrowd this place. That's an issue. You know the, you know, they say you can produce enough food and like one state of the country you're going to take like North Carolina, if you filled North Carolina with farms, you could produce enough food to feed the whole world. But I say fuck you. You know, I say you're crazy. I think your calculations

Speaker 4:          00:17:50       suck off. Yeah. He could barely have people scratch by in North Carolina is not that big stupid. And by the way, those people are just going to make more people. And then when are you gonna do you're gonna move into South Carolina because they go to and make with, I'm going to assume, assuming there was like a line up to the door North Carolina right now, I think we're okay and we'll probably be okay for another generation, but we're eventually going to reach a point in time where there's too many people. I mean we're okay here in America where there are certainly not okay in other parts of the world. Population bomb, population explosion, right. Rachel Carson and her husband wrote books about it. Know, but that's the number one pop a problem for our population explodes. And the Kansas state itself. Yeah. I mean it has to cause it, it rebuilds the uh, exponentially and instead of geometric, so it's not like too this year, two more.

Speaker 4:          00:18:37       Next year or two more. It's like two then, then five, then ninth and 20, you know, 20 which just keeps going. Fuck. So it'll be the last minute. I'll just go route and we'll just fill this place up and we'll all just humongous plague. Yeah. That's a real issue, right? Yeah. How do you stop that rain is going to come, you know, you gotta wonder. You got to wonder if you know, human population, uh, has like a, like a number, like a cap to keep it at. I think that's what aids is really a, it's the plague. It's all just nature's way of, um, of balancing it out, trying to fight it. Well, how come they play today then? That doesn't make any sense. There's way more people, way more people will weigh less plague. I think things come up because of it. Well, I think Sorta, but we combat that with science doing nature's way of combating it.

Speaker 4:          00:19:23       Well, we're, we're greedy bitches. You want to stay alive off certain diseases when it's presented with too many calls. It's like I'm out. Right? It's all my white blood cells are gone. Right? Yeah. Wonder what I mean? Somebody actually brought that argument up recently. I forget where it was, but the idea was that a virus was actually engineered that viruses and by nutrition nearby nature to attack humans keep us us off. Yeah. Not fucked up. We just have a thousand words. That's all we got left. Thousand words. What does Eddie Murphy movie making bad moments doesn't have enough money. It doesn't have enough money and another 0% on rotten tomatoes to ah, just, you can just not make any movies if you want. What do you have enough? It's can't be about the money. It can't be go back to comedy as well. But that guy was hilarious, so I know he can do that.

Speaker 4:          00:20:12       We get some moments. We got to get them on. We'd got to find him. He doesn't smoke pot kind of. Really? His brother does. Charlie's smokes weed. I never smoked with him once he tried it, I'm sure. Yeah, I'm sure. How do we think he didn't try and Charlie. Charlie Murphy gets high as full. Really? Yeah. He gets high. He smokes blunts amongst those. Um, those ones with the tobacco on the outside, we got high. That was a totally different high. That's weird. That's a weird high man. We were in the back of my tobacco's. It make sense to leave by the way. He had his bad. Here's the deal. You're not supposed to smoke cigar leaves. You just inhale the puff those, but they're smoking. They're inhaling them. So they're taking these cigar leaves that you're not supposed to be inhaling in the first place and they're inhaling them with their weed. It's craziness. Like not the way to do it, man. You know, they like to do those real Philly blunts. Phillies fucked up like, give me the worst shit. Just fucked me up here. These are disgusting. The idea that you have, take one of those shoe cigars or suites, Shitty grandpa cigars and actually inhale it all my time. Once in a while you don't do it every day.

Speaker 4:          00:21:25       I had a couple cigars before. They were like sweetened cigars. Have you ever had those reforms? Swisher sweets. Grape ones are good. Get a nice buzz. Offers a guard. That's what people don't know. You know, a lot of people don't know you can get just as high off a good cigars. You can off shit for cigarette every like once every few weeks. You know? Like when I'm just in college or when I just start. It was like when you have one it's like, Whoa, that's a major bus. Yeah. Yeah. The real deep tobacco buzz, like especially real tobacco, like cigar tobacco. It's nice. It's a nice feeling. I mean those dudes aren't doing that just because it looks cool. Like they're getting high, they're getting high from that tobacco, it's a weird high. You're getting nasty. Sklar brothers. I used to smoke before I play basketball outside in the courts and I got picked up on, so like, all right, come on, we're starting.

Speaker 4:          00:22:12       So I had to like take my last few puffs of a cigarette and this, I forget it was Randy or Jason, but one of them was like, all right, you have to cut, strip, quit smoking. I was like, I know, I know it's bad for your health. I'm like, I know. And they'll like, it makes you stank. I'm like, I know, I know. And like it's not cool. Like, well that's where you're wrong. Clearly it's cool. That's the only reason anyone that's ever started smoking. It's cool. It's cool. How's it cool, cool people. That's just always been a cool thing. It's been an, I don't give a fuck thing. Yeah. You know, that's the reason why people smoke cigarettes cause they don't give a fuck. I don't give a fuck. You know, you see a private investigator and a movie and he's taken a drag off a cigarette.

Speaker 4:          00:22:45       That guy doesn't give a fuck, was not even not, you know, he's feeding his own monster, feeding his own monster, but it's cigarette. It's funny, but actors, it is weird because he never seen him in movies do it, but it's only when they're off. I see a lot of them onset, you seem to stamp out and I'm trying to quit and they're always trying to quit puffing the loss. They just go until you're ready to quit. And I quit one of the best attorneys on a set and everybody's high. When you get on one of those sets, everybody's high. All the writers are high and the actors getting high directors high. Those are the real movies we did me and run. It's easy to those tiger woods commercials and so then he left and we had to keep talking trash, shoretel ourselves. We play the video game right.

Speaker 4:          00:23:25       And they were like one, some beers look okay and they just started giving us beers. The production company, you're talking trash, whatever and like wanna smoke some pot and we're like, you better not, we're not going to get any work done, but it's very cool. That's awesome. Yeah. If you're with a good group of people, man, they want to have fun. That's the way to have fun. You know what I mean? Thinking about how we do the podcast, you know we get high before every single one of them. W W rose doing the ice houses drunk. Yeah. I brought a bottle of wine last night, brought a bottle of wine. We're drinking wine on a paper or plastic cups. I not, it's fucking great man. It was decent wine.

Speaker 4:          00:24:04       Kava Aretas Cabaretta has deli in Canoga Park that place today, that Italian place. Holy Shit. Is that place good? Really? Yeah. I picked up a bottle of wine and some sandwiches. Boom. It's the only place here on the west coast where you can get like real east coast Italian food Cabaretta is. Yeah, it's in, it's in Canoga Park. It's fuck. Sandwiches are amazing. They have, they have a sausage and pepper sub that I can not not get get it every time. I always say, well, I'm an experiment this time. Nope. I got to get the sausage and pepper because it's so ridiculous to eat a whole one. You have to be some kind of massive, it's ridiculous. It's preposterous. You have to be some just crazy glutton to eat a whole one. I have eaten a whole one, but that's what I thought. Yeah. I'm sure you have your own animal and we took Joe.

Speaker 4:          00:24:49       Really? Yeah. I've seen you a greasy Tony's, whatever those places where, where you've got the garbage pail. Yeah, whatever it was and I was like, got the small is way too much for me. Then you're just killing years. I'm like, fries please. What's that? That sub is, Dan was dangerous. That was like grease utility at Gracie. That was like liquid death. Tony died of heart failure at 52 I only had like seven and I think he was in his sixties I think it was in his 60. You might actually even been seven. He actually looked good for his age. He looked a lot. He looked a lot younger than he was. But yeah, he did die of a heart failure. It's like 24 when a guy named Greasy Tony Dies of heart failure. But I'll tell you what, man, I always love being around that guy. We got pictures for years.

Speaker 4:          00:25:31       Tony's, this was in Tempe, Tempe, Arizona, right across the street from the Improv. There was this 24 hour, uh, Italian joint run by this guy from Jersey and he was a great old character. We would just hang out there after the shows. It was just, he was sold like cool to be around like just to, to to get to hang out with a real character like that guy, you know, like you look in the walls was all the kids pictures when he was young. Like his sons are all flexible picture of the Godfather, a picture of the sign by Sylvester Stallone and it's like so classic old East Coast Italian. It's like just any was so friendly. It was like such a nice guy that like you would go there. I was like, you know like going over your friend's living room or something. It just happened to be behind the counter. He was hugging you and shit. Crazy. Tony was awesome. What a great guy. And the food was fucking perfect. When you're hammered and you coming off of a two shows at the Tempe Improv. Yeah, let's go eat. And you have one of those subs, those fucking steak subs that he had the thing called the garbage pail that you were talking about. What does it weigh? Four pounds, five pounds? I don't know. It was ridiculous. Gross and it was direct. No bullshit. It was close

Speaker 2:          00:26:44       to two feet long. Let me soak this an oil before you eat it too. It was in the oil on not bullshit and it was at least 18 inches long. They were fucking huge. They would cut him in half and each one of them each half. Would it look like a big sub? Yeah. I like this is too much. That's half is too much and I would eat the fucker. That shit. It was like the leg of Esther. That's pretty much what I was like. Whenever we order food at a restaurant and you go first and then the waitress was like, all right, thank you. And she'll, she starts to leave you like, and then no, no, no. That's just for me to hear. My friends want have to show us. She was like, what? Famished. I get famished after shows. You know, you think about the energy that you put out when you're on stage, you know, just focusing and managing everything.

Speaker 2:          00:27:21       It's a lot of mental energy, physical energy around. It's a lot of energy. You know, it's a big burns, Alana. Alana, lock on it. You have to be in shape to do set up to do it right. I mean everyone, I mean, you could do it if you're out of shape, but guarantee you it'd be better if you were in shape. You know what I mean? A guy like Ralphy look how much better would Ralphie may be if he weighed 180 pounds? Yeah. Jesus Christ. I mean, his timing, the way his brain would work, the way his body would move. You know, it's amazing when I see a guy like you could definitely a lot more physical. I think about how many shows he does, how much energy that is. That's incredible. What [inaudible] pants sizes. That's great. Well, yeah. You had some serious health issues, right? Yeah. He stopped smoking weed. He said his doctor told him to stop smoking. I don't know if he stopped eating it. No. His stuff getting it to really, yeah. He said that's the stuff in there. Say Goodbye to all that funny shit.

Speaker 2:          00:28:15       He doesn't mind if it's longer route, but he, uh, yeah, his immune system's, I'll shut the hell. Wow. That's crazy. Yeah, man. He was, um, obviously you, you cannot get that bag. He's a Ralphie's. Uh, even if you don't know Ralphie May, he's probably about 500 pounds at least. Right. It is the sweetest guy in the world. He's so sweet. That's so worried about him. Does he sound all we all worry about them? Well, it's a loses weight. They'll definitely, it was voice will change for sure. So having like a British accent [inaudible] royal. So you still smoking the weed? Yeah, he uh, yeah. I don't know what makes someone get that big. I would be out of my out of school to talk about it. I don't know if it's biological. It's, it seems to me that it's a very recent phenomenon in human history.

Speaker 2:          00:29:01       I don't think people got that big a couple hundred years ago, is losing weight now. He, he, he got put true stout, who's big chain pictorial. Kristen is really fun in New York comic. Massive. Those, wait, I have to produce died. It's the same thing. It's like wake up calls everybody. Yeah. You know, it's very important. It's very important to take care of your fucking body. We're all gonna go man. But you don't need to go early. You don't need to go because that's going to be a terrible feeling to go because you treated your vehicle like shit. That's not, that's not what you should do. It this benefit in DC for this comic who didn't have, who had a stroke but didn't have insurance, every third common cause like, Oh this will be for me in six months. But it's like, it will be, you guys are all getting fatter.

Speaker 2:          00:29:47       Stop. You know, and this really brings up a really interesting point, um, because, um, the ability when someone is fucked, when they're, they're done. When you're paralyzed from the neck down, he can't move the ability to terminate their own life and trying to decide like, you know, some of them can, like they can blank and move a cursor and stuff and they can like write things like, I want to die. Please kill me. Yeah. There was a woman who wrote this article and this woman's name is Allison Pearson and she wrote this article about, uh, do any of us, however ill have the right to die. And this was her argument. Her argument was that you just don't have, it is one of the dumbest fucking, most simple tin mouth diarrhea takes on the subject I've ever read. It's not thoughtful. It's silly. Of course you have the right to die.

Speaker 2:          00:30:38       It's your own rights are given to us by others in order for us to live together. But it's like you can do whatever she wants yourself. Yeah, I mean it's, it's quite, what do you mean? It's completely preposterous? I mean it's, it's one of the dumbest arguments than anyone can ever make. And it's just a really, so what she said, well, she saying, well, she said that I didn't want to read because it's, it's, it's horrible. But the point is she contradicted herself because she had actually written another one. Um, uh, another article a couple of years back where she was praising a woman for killing her daughter because her daughter had a fatal disease and she was just slowly suffering. So the right to kill others, but not ourselves. It was, it's preposterous. She also wrote a really dumb article. We hired her. She, she writes for some English newspaper and she's just ragging Bob, maybe 24, seven.

Speaker 2:          00:31:27       She writes for the any chance he meant that as a double play on the word rag. She writes for the Telegraph. So here's my point. So, um, the other day I look on my website and there's a thread says women versus Doug. Stan hope saga. Oh, what are the fucking dog to this will be great by the way. Doug's latest C D is fucking fantastic. You know, they haven't heard it. It's great. It has made me like, I, you know, you know what's great when you, you know, you hear a guy and I gotta be honest, his last one that he did in Norway, the Oslo one, it wasn't my favorite. It wasn't my favorite out of his stuff. And I love Doug. He's fucking awesome. But this one man, it's almost like he rebounded from that one just like with new renewed vigor and hate and, and just fucking and attacked.

Speaker 2:          00:32:12       It's great. It's so good. Like there's some really fucking hard laughs in it. Yeah, it's great. It's one of my favorite standup comedy, uh, cds in years. It's my favorite. I think it's my favorite of Doug's. I think he just, whatever the fuck he did, whether I, you know, he even talks about it. Oh, he turned a corner as a person. He doesn't give a fuck anymore. It's just trying to have fun. He's not trying to change the world. He's, you know, he thought he was going to try to change world at one time. I realized, dude, yeah, he's just here to tell Dick Jokes and, and, and it's fucking great. It's great. And so I had, um, uh, tweeted about it and, uh, I, it's hard to follow everything the fuck that's going on on Twitter. So I didn't see this women versus Doug Stanhope thing.

Speaker 2:          00:32:58       So I go to Stan, Stan hope, read what this woman had wrote and uh, let me find the exact quote because it was pretty inflammatory. Something about, uh, he, um, I think he, he said that he hopes she gets a cyst three, right? This, yeah. I mean, he's just really angry at this article and you know this, that's a Stan hope. Does. He gets fired up and he, you know, he wants to, uh, figure out some way to, you know, to turn this rage into comedy. Um, so, uh, what is his exact quote? I know shit. I can't find it. I think he at, he said that he wished a, uh, a cyst on her ovaries or something like that. Yeah. I can't even find it. He might've actually tails, well, he might have actually taken the first quote down. Really? Yeah. I got a lot of flack for it.

Speaker 2:          00:33:54       I don't know. That doesn't seem like camps. What was the, what was the thing? Women against Doug. Stan hope. Yeah. I can't find it. That's not backlash. Well, this is what's crazy. So Doug Stan hope calls her a cunt and uh, you know, he was, uh, he said that she was fucking ridiculous and there's a shit article and it's about something that is very near and dear to Doug because that's what his mom had to do. His mom had to take her own life. So yeah. So for [inaudible] from the Mancho, yes. So for some, some smug asshole to, to come. And you know, and just pass judgment like this and then do it with such poor thinking. It just, it's really poorly written and it reeks of a mediocre mind. It reeks of an, uh, someone who is just, they're not capable of grasping how a lot of other people are going to see this and that they don't have enough perspective to tackle this complex issue.

Speaker 2:          00:34:48       And that's, it's insulting. It's insultingly dumb. And so Stan hope you know Cheryl Otis Lady. So her response was to create this women against Doug stand hope page on fear of on Facebook and yeah, women is so it's also on Twitter. I'm women versus Stan hope on Twitter and women versus standard. Why women Facebook exactly the right to die. Exactly. No, because cause he asked for assist. Oh cause he said called her con and she said he hopes she gets assist. Can we anyone join? I think the Fed it ovarian cyst. Yes. Well that's the problem. This is what I was gonna say. The problem is the only people that join women versus Stan Hall, both on Twitter, me and on Facebook. Me To join. No, it's me and all the fucking Stan hope fans from the rogue and board and all

Speaker 4:          00:35:38       the people who heard about this. So they all join. Nobody's gonna fucking women versus stint bitch. Get the fuck out of here. There's a few crazy hookers that are looking to get mad at any guy who says anything bad to any of them. Just hear a quote. Women against so much. She's always, sure I'll sign up for a course. I read one where this one ladies take on it, you know, massage Dennis, like standing up like, what are you fucking talking saying dummy. This is a, you know, yeah, he made a personal attack on her, but that's not the important part. The important part is, this is nonsensical argument by a fucking Dullard saying that really terminally ill people who are in horrible straits shouldn't be able to stop their time on this life. It's somehow or another what is, there's some grand plan that has to pay out.

