Speaker 1:          00:00:05       Three, two, one,
Speaker 2:          00:14:40       Very true. Very true. There's a balance hard for fighters in particular because they want to be tough, you know? So you've got some weird little thing in new leg or whatever. I'm just going to work through it and just were, and you say, I'm just going to like that, which is hilarious. People who say they're going to go, like you go light and then you get tagged and then you want to get some of that and the next thing you know you're not going light. And then that thing and your leg, it's all fucked up. And then next thing you know, you go to a doctor and know you have an MCL tear. Ah, fuck. Yup. And then what that tightness that's, it gets worse after, after 48 hours, you have dlms, delayed onset muscle soreness, and then you're in the shower, you turn your neck, boom, something pops.

Speaker 2:          00:15:16       Yeah, yeah. What do you do in terms of dictates or Cunanan or cocoon. Cocoon. That's how you say it, right? Kirk Koonin, Tumeric, anti-inflammatory, you know, herbs and things along those lines. I know that, um, there was Rhonda, Patrick just put something up about, uh, I think you see, I think you called curcumin circling or Kirk Kirk Cunanan. Anyway, it's Tumeric. It's the active ingredient in tumeric and she just puts something up on her, a Twitter page a couple of days ago about how important this stuff is and to make sure that you have a bioavailable, improves memory and mood as well. Well, I'll have to try it. I haven't tried it. Yeah, it's just to Merrick. It's uh, and yeah, and that stuff is fantastic for inflammation. People that have soreness and you know, like nagging injuries and nagging inflammation, having that as a part of your daily diet is fantastic.

Speaker 2:          00:16:09       Along with fish oil. Fish oil is really good for that, you know, of course. And then watching your diet and making sure you're low and inflammatory foods like sugar and alcohol and really it's amazing how much of a difference it makes. Huge if you have any sort of a back injury or inflammation. I talked to this lady who was a therapist a few years back and she was saying, you know, you should really try going gluten free if you have issues with your, uh, with your back. I was like, listen, this wacky pitch, that's what I was thinking. All those things. It's like, oh, she's talking woo woo, Woo Crystal's nonsense. And I was like, wait a minute. Really? Gluten. She's like, you'd be amazed at how many people, um, when, and now that I've thought about it more and with all I know, talking to various nutritionists and actual clinical researchers, I think it's as much gluten as it is just just sugar, refined carbohydrate hydrates and refined carbohydrates and sugars and all these different things.

Speaker 2:          00:17:06       Just create inflammation. There's just no way around it. Especially the, the levels that normal Americans eat a man. Oh boy. Yeah. You're talking about where the worst, yeah, it's, it's tremendous amount of sugar. Yeah. You don't know it until you get off sugar and then you go see everybody who is eating the standard amount of sugar and you're like, it blows your mind. Yeah. You don't need that much sugar. Still Way does it. It's just way too much. And you'll feel sick eating that much sugar again. Like it's just, it's mind boggling. Like a Jug Gatorade, the love doing drink after practice. I didn't get that down. I mean if you ever seen those, they have those things where they show you a in I'm on uh, online. They have like this is the amount of sugar that's in a can of coke. This is the amount of sugar that's in a 24 bottle of Gatorade.

Speaker 4:          00:17:50       It's fucking crazy. It's incredible amount of pile is sugar. It's unbelievable. It's like a fist full of sugar, but it's addictive. Yeah. Customer coming back. Yes. The customer coming back. You need that next sugar high. You need a more sugar than next time around and you need another dose of sugar and I think, I think you should, you should get it from whole foods mostly in. It gets released in your system naturally. Slowly. There it is right there. Look at that. Wow. Wow. Big Gulp is like a, it's like a key low. Wow. It's like, like you bringing coke across the border. That's just poisonous. Fucking amazing. That's so much a girl. That's impressive. What does it say? 17 grams. What does it say, Jamie? 30 17 table. 1732 tables for that. This is 18 tables. See Jesus Christ. Wow. It's so much sugar. Some milk.

Speaker 4:          00:18:44       Wow. Chocolate milk's supposed to be good after you train though. White milk to, well, maybe that's old news. Uh, I dunno, George used to do that. Yeah. George used to that. But I'll tell you something. George is a freak of nature when it comes to diet. Yeah. He, he's very blessed. Okay. I think, uh, I think this, look, this is just my observation, but I think some people, um, when they eat carbs, they spike the insulin. Okay. And they can get fat off if they eat too much carbs. And some people will eat a tremendous amount of carbs and they never get fat. And we've all had, we all have a friend who eats a lot of junk. Food is ripped. They're not, they're not many in the, in the world. Okay. But they exist. You've all, we've all met a person like that. Georgia is one of those guys.

Speaker 4:          00:19:21       Like if he eats Mcdonald's for a week or he eats vegetables for a week, it doesn't matter. He's going to be lean either way. Now he'd be leaner on vegetables. But even on Mcdonald's, he's going to be lean. He's never been fat and his entire career, his entire life, I should say so I mean get a little heavier. When he stopped training it look, cause he took some photos for the UFC. He looked a little heavier. Bulky, I would say. Would you say that he's Chubby? No, no, no. I saw him at the beach. I wouldn't say we like this guy's shredded, that guys, Jack, Jack Guys, Jack. They show it. It's George. You hold them to the highest of standards. You know, if I hate the way he eats, I would be fat. Why? Let's put it that way. How many people told me, hey, I had been hanging out with George for a week.

Speaker 4:          00:19:58       I got fat, I gained 10 pounds. I'm like, yeah, that's George Man. That's George. You don't, don't eat like he eats. You won't. It won't work. And he has his whole theories and philosophies all about why he's leaving. It's like, dude, no, you're just, you're just born this way. [inaudible] this doesn't get it. I've like, I've trained thousands of people. Okay. He's trained himself like he thinks that way. He went, he did. What he did is we're going to work for everyone. And I love Georgia Super Intelligent Guy, but I tell him during the week, like he's very gifted when it comes to food and he does a lot of things and like now he's doing a lot of fasting and he's getting even leaner, but it would be a long time for Georgia's fat. Do you see that there's, there's, there's various body types. You know, you do have ectomorph Mesomorph endomorph and we're, we're uh, we're on the continuum of these three is on the Ectomorph side and a, in a, in a strong sign of ectomorph is a small waist and George has a Mesomorph no mesomorph cause he's very muscular. He is. I would, you become more active, more Schwab

Speaker 2:          00:20:48       muscles, but sorry. Yeah, go ahead. George was very skinny and scrawny when he was young, so he went crazy on the weights. He turned his weakness into a strength. He, that's so much weight, weight training and exercise because he wanted to bulk up. So he's a bulk ectomorph now. He's not a perfect outcome. He's not 100% up to more of, I would say it's between Ectomorph Mesomorph, endomorph the, the other end of the spectrum. You eat a little bit of a carbohydrate to get fat, you lift a little bit of muscles, your muscles explode in size. The George wasn't like that. Georgia is a bit on the other side of the spectrum. So a real mesomorph would be like Melvin Manhoef. Uh, yeah. Like that, you know, I think I'm kind of no, no, no, no. That's more uh, uh, endomorph endomorph it's fat. Yeah. But you could also be very muscular and morph.

Speaker 2:          00:21:35       Yeah. You can be very muscular. I thought endomorph is like, like people that have a really hard time not being overweight. You can gain fat and muscle really quickly as an endomorph. Yeah. But ectomorphs from what I've read, I might be wrong. Neither one of us are biologists. Exactly. Exactly. I always thought Ectomorph is really skinny. Endomorph was they tend to lean towards being overweight and then Mesomorph for someone who's like really like a Francis and Ghana, not super ma or Brock Lesnar like super muscular, thick, like just look like they like naturally would pack a lot of mosques. I'm sure you could pull up a chart if you, if you can't, all these pictures just show both of them from what I, from what I've read, see them as amorphous, kind of in the middle. ECTOMORPH is Ilene and hot pack on muscle. Ectomorph looks like a skinny dork and Mesomorph looks like he's super jacked and endomorph looks like, well endomorph endomorph does not look fat in that picture.

Speaker 2:          00:22:27       He doesn't have to be fat. That's the thing. Now here, here's, let me tell you something ladies. When you look at those three pictures, I go with endomorph all day. Exactly. Those three pictures, if that's what an endomorph is, let's take that in the morning. Yeah. Because they need a lot of naps and they're always tired. And those mesomorphs their egos, Mike, they want to choke you. The mesomorph shoulders you want to fucking strangle you. But, uh, endomorphs that's a woman. God, you can have a rift endomorph anybody can be ripped. That's the guy's an endomorph. Maybe think about it in the morph is like a short, stocky hulk. I should be fat. And he could also be packed with muscle, like the Calvin Kelvin gassed alum, Kevin Gasol. And he would only put them on the end of the moves and the more site. Yes, definitely. Because he's never really totally ripped while dolce when he had him and he was getting them down to a real one 70, he, he really had, I'm pretty ripped at one point in time. Just really low body. You can get ripped. It's just not as easy to get there. Anybody can get ripped. But uh, an ectomorph. So think about a basketball player. Okay. One of the signs they say is small waist. The waist and shoulders are quite similar. Now George has a v going, you know, is very broad shoulders, which is great. He's perfectly built for fighting that allows him for reach and his Aa cause he's got incredible like this. He's wearing shoulder pads

Speaker 4:          00:23:46       almost. And you know, he's blessed with many, many, uh, uh, genetic gifts for fighting, no doubt about it. And endomorphs are naturally predisposed, excuse me. ECTOMORPHS are naturally predisposed to endurance sports. So you'll see a lot of marathon runners or whatnot. They're tall and lanky. They're not short, bulky, you know, Mike Tyson type look athletes. That's a real, that's a real, that's what I would say. Endomorph endomorph because he's so short, short and stocky and bulky. He could put on a lot of muscle, a lot of fat Nasco. Is he a little bit, I don't want to, I don't want to say he's fat, whether he's, he's put on some fat since he's a retired or whatnot. Right. I don't know how much it works out anymore, you know? Exactly. But an Ectomorph, even when they stop working out, they're still, they're less likely to put pack on fat.

Speaker 4:          00:24:28       And I have a little belly, you know, but it's not as as pronounced. It's not as pronounced as an endomorph and more full pack on fat and muscle real quickly. And they're, they're more, they're more, um, they gravitate more towards power sports so they can explode, but we'll have less. They have less cardio. Where's the ECTOMORPH is like, you'll see a lot of running backs. They're short, stocky, and the morph, man, they have to explode for three, four seconds. Is there a best body for fighting or is there a, do you just adapt your style to whatever body you exactly. I think there's the best body for basketball. The best body for football. While it depends on what position you're playing, but fighting, everybody has an a fight in their DNA. So all styles, excuse me, all body types can fight. And that's what's so amazing.

Speaker 4:          00:25:14       You got it. You got to Paul Harris. He's an endomorph man, but he found a way to fight that make sense for him. That's what I always tell people. You got to fight according to your, your body type. And people think that's crazy. No, Muhammad Ali fought a certain way because it has certain attributes. He had certain, he had certain, uh, a certain personality. Even your personalities are important. If he tried to fight Mike Tyson, it would backfire. If Tyson tried to fight like Muhammad Ali, it would backfire. I think everybody has to start with the basics and then after three, four years of training, even maybe up to five years now, you got a specialized for what your temperament is, what's your body type is, what your personality is. Because not everybody wants to get it done and run one and not everybody's the type of person who's going to take it to the cards and not everybody has a reach and speed to jab in and out.

Speaker 4:          00:26:00       Luckily we think, oh, I'm just going to jab in and out like I'll eat. Do it. Do you have the attributes that Ali has? He was born with certain attributes and everybody's born with an attribute for fighting. In my opinion, everybody got this far because they can fight. Nobody got here, uh, this far without having some innate ability to fight, to defend themselves. So all our body types can defend themselves, but you have to discover what works best for that body type. Would Tyson is a perfect example. Exactly. They thought you couldn't make it in the pools if I'd always going to get killed in the pros bright. There's never been a short guy. When when Ali was dancing around, people are like, no, that's not going to work. He's going to get tired and he goes to the heavyweights heavyweight shouldn't bounce around and at least to spar a lot with lightweights, he sparse six rounds with light weights, then six rounds with a heavyweight. Why?

Speaker 5:          00:26:44       Because he would play tag with a lightweight. It just about speed and movement. You move twice as much with the lightweight. What is your thoughts on on hard sparring? Because when you see the ties in the way they spar, there's some, there's a great benefit in that. I mean there's a great benefit in that barely hitting each other shit. I do that. I do tremendous amount of that. You know, one thing when people spar with me, they're like, man, you move. So like, you know, people are like, it's so seamless the way you move. And I, I do thousands of hours of live rolling, inspiring, but a lot of those hours, I would say 80% of them is very light because I know the terrain. I just want to go through the sequences as many times as I can and when I'm really, really warmed up, then I'll go heart in all start talking smack a bit in the gym and I'm like, oh my, let's see what you got and I'll, I'll, I'll tell the guy when it's time to go really hard and we're having fun with it.

Speaker 5:          00:27:30       You know? For me, having fun is really, really important. Now that's training for longevity, but if you have a fight, I think you need to do six weeks of hard sparring. Why? Because the speed of the fight is very particular. We need to get to fight speed, the actual speed of the fight because you might get caught sleeping if you, if you haven't done that now, if you have a tremendous amount of fight experience, you don't need the less of that. So, for instance, a tie who has been fighting since he's eight years old. He can tune up just on the path and go fight. Why he's been doing it since the day he can. He can walk, you know, almost like you look at a Mayweather. I can get me with already with just a little Mitt work, put them in there. He's going to be at a world champion.

Speaker 5:          00:28:08       Why? It's, it's hardwired. If you look at a baby's brain, the baby's brain is not wrinkled like a heat, like an adult's brain. It's wrinkled to us of small degree. As he goes through his experiences, especially in the first three years of his life, his brain literally gets hardwired and wrinkled and it gets less and less wrinkled over time and when you're hardwired to do something you, the likelihood of you needing to tune up is, it's very, it's very minimal. Like, for instance, I remember looking at the biography of me whether, and he was saying when he would go to picnics with his family, his father would bring boxing gloves and he, his box with his cousins. They literally will be punching each other's for him. You know, he's, he's been doing it so long. The more experienced you are, the less hard sparring you need.

Speaker 5:          00:28:51       The more seasoned you are, the less hard sparring you need. You know what fighting is. You just need a little tuneup at the end. So if you look at Georgia, Georgia, great example, he's super skilled and he's super healthy. Some guys get to the high skill level, but they're broken up. Their body's broken, their knees broken. They can barely, I barely have three, four fights left in them, right? Do you want to get really, really good and then be broken? What you, when you got there, you finally, you know, you've been cultivating these skills for 15 years. You get there, you get those skills that you want it all. I can't use them. Why am I, the machine is broken. You know, I'm, I'm 38. I feel like I, when I was 20, uh, personally because I spar 80% of my sparring is very flow and relaxed. Like I use a lot of, I train a lot with purple belts, Bluebell Zinpro belts. Why? Because they kind of hurt me if they tried, I just toy with them till I'm warmed up, I'm flowing. I'm not really working, harms flowing, I'm just doing my combinations. And

Speaker 4:          00:29:42       then when I really want to have a good challenge, I'll take one of the most elite guys, one of my pros and I'll do one or two rounds with them. You know, I won't burn my machine out. You know, like imagine driving your car and the red line all the time. Yeah. Now that's a great way of looking at it. When you, when you guys get ready for a fight, like say if you get George ready for a fight, how much time do you spend on working on his recovery from the workouts? Like, like how do you bust out the Tim Tam Machine and ice things down? Like how aware of you or are you guys have like do you have, I guess a regimented program of how to recover from exercise? Recovery is everything. So it's, it's stress plus recovery equals adaptation. Stress Plus Stress Equals d training and an injury.

Speaker 4:          00:30:27       Yeah, a good trainer, a good trainer. He understands super compensation rate. You have stress, you have recovery, and then you have a new level of skill or ability. If you don't go through the recovery phase, you will not reap the rewards of your training or has to be a recovery phase. Not every athlete has a level of recovery that they can, they can achieve. So as you get, as you get more experience as an athlete, your body can can, as you become, uh, as you're, as you're more and more fit, I should say, your body can recover for more stress. So I have to gauge how good mice my student is. It has to be challenging but manageable. If I make it too challenging, I'm red lining him. He's going to break, he's and he's going to pop. He's going to be unmotivated. If it's too easy, it's going to be bored.

Speaker 4:          00:31:12       I have to find the right amount of stimulus. So when I'm in the practice room, if I see Georgia just mauling guys and destroying them, I have to make it, I have to scale the workout so that it's harder, but I don't want to scale it so high is that I injure him and break him or that he made out of practice by a hair and now he's not motivated to do another camp. You know, we, we reached those high intensity levels periodically throughout the year and they have to be done in a certain way that it's fun. Like you know, George was like, he was on your show and he was saying, I'll try to kill them in the practice room now. It's true. He's right. But I do it so rarely. I do so periodically and I make it a joke. That's why like what he was trying to say is that I brought in the guys in the room and I was watching him spar with Georgia.

Speaker 4:          00:31:53       They don't want to touch his face. This is when he was like a mega star, like he was the champion. Nobody wants to try to double leg him. Nobody wants to try to hurt him because they're like, I'm not going to come here in his house and tried to show him. There's a respect thing. There's a, there's a, there's starstruck, you know, these young kids salad, bring them in. And I'd be like, listen guys, I'll give a speech. The first guy to double leg, I'm the first guy to put 'em out. I would put like a $5,000 reward, uh, I think knock him out and the hurt, if you've knocked George, I'll give you 5,000 bucks. And she leaves for George on his back. If you put George on his back, if you take them down, put them on his back, I'll stop the whole practice and praise you for 20 minutes in front of everybody in the gym.

Speaker 4:          00:32:31       And, and, and, and students don't get praised by me very often. So George would be like, oh my God, these guys, they're coming after me. And he would get riled up. And I will do this periodically. Rarely, right? We're, we're, we're talking about world class, world title fight, you know, the stuff's on the line. And I need these guys to actually show me where is missing something because then when you have this perfect practice and you win all the time, what do you work on? Well, nothing went wrong. There's nothing to fix. So I mean, there are times where we really red light. Have you ever had anybody knock him out and practice and take that money? Now he's been dropped once in practice pretty badly. And it's a funny story, but the money wasn't on the line that time. There was no price for that.

Speaker 4:          00:33:12       One time he got dropped in practice and um, I want it to stop. I want to pull the plug. It was for a world title fight. He was fighting that hardy two weeks before his fight. I was sure he was concussed. And I said, George, I'm pulling the, the, the round one more round. He said to me, coach, let me finish the round. I'm okay. Let me finish the next round. And I felt that if I pulled him, I would have killed his confidence. I would have killed his confidence. Totally. So I said, okay, you could do the next round. And I told the other guy, he was sparring with Dolan line a single glove. Like I whispered to him, not a single glove on it, just take a mauling and George went in the next round not knowing that the other guy is not allowed to hit him at all.

