Speaker 1:          00:00:00       Do too.

Speaker 2:          00:03:36       So he put at a neutral site, the black pad, which is like your lower back or something. Then wherever you're feeling the pain, if I'm feeling it right here, the pain might not be covered from there. So they might, they searched around and who does she jump out? So now this becomes a hotspot. So now I take the other pat off and find a spot. Then when they, those who connect, you feel like you're about to die. Then they wrap you up and then they do seven minutes on reverse, seven minutes on positive, and then it's, it's painful as shit. But like I've done training calves has some severe injuries and nobody would ever, ever no real. Yeah, it's crazy. So like,

Speaker 3:          00:04:12       so you saying that like if you have something that's bothering you, a lot of times there's something is wrong somewhere else that's causing that to be bothering you and this somehow or another finds that

Speaker 2:          00:04:21       you, you balance, you do a valid test first. So say like a chiropractor comes in and he say, Oh, you hips off your legs longer. He just, you, you have to be adjusted and balanced first. Then they put the pads on it and you locate what? They caught a hotspot. So say my shoulder, right. For some reason I broke my wrist a long time ago, so I can't do like that. So it can push down on things. So you see how I can't get my hand to bed. Oh, so if you get down to push up top, I'm going to like this because my wrist is in the best. Yeah. So when I'm throwing a punch, especially if I'm telling you it's a crazy as punch, you can imagine that if I don't distribute the force properly, they shits. My form's gonna be sore. Probably what's caused my shoulder pain.

Speaker 2:          00:05:01       Also being extended position and wrestling extended stretched out over time and time. It caused a shock. Now just that one punch I hit Damien Maia with, maybe that wasn't a punch. They might've been the last straw that broke the camel's back. But I think wearing in from all those different years just beat my showed up. So you all said, what's this guy doing here? Foreign and after best kind of version. I think I got kind of a good video. Yeah. Ran Range of emotion wise is is is actually deceiving because sometimes you'll fucking get zapped on this deal and you couldn't bring your arm up at all and then all of a sudden now you're like, oh shit I'm hill. But you're not really heal. You got to continue to do the protocol, continued to do the treatment and work on range of motion. If you can do it one time you feel great.

Speaker 2:          00:05:43       Go out there and started shooting threes. You're shit got me fucked up. Yeah. So so in the Damien Maia fight you hurt your shoulder like with one of the first punches you through, right guys? I was, I knew it happened because I knew it. I knew it's what they call sub plex or dislocate or whatever. So I do, I saw an opening had already launched his eye up and my arms trying to fuck that. The side of his face up. So I saw as I'm left eyeball already, almost close. So I say I finished had to go ham on bow, I'll do the punch and I felt my shoulders go down and I'm like, Oh shit. So then I was like, I can't lose a fight again at to do take my bill. So at this point I said, I'm going to throw straight punches and reaction and I see my power punch, I'm a throw it.

Speaker 2:          00:06:27       So a couple times I forgot and I threw it and Kinda went out again and he took some shots and I lift him up and they kind of went out again. So three or four times in a fight, I can feel it. You just go like go like a whole like five or six light bulbs, just crushing me, your shoulder, you kind of feeling going. But I had that pain before and I'm, and I'm, I mean it sounds stupid. I'm blessed that I tore this one because I knew what it felt like. And I know that the only pain that I'm in the fields when I extend, when I tried to go that direction or any overhead, right. That shit was going to be a rap. So when I stayed here I just do straight punches and there's a couple of times I blitz it forward and I wanted to punch and I didn't punch because I didn't feel confident when my hand.

Speaker 2:          00:07:06       Hmm. So you, you kind of, you knew something was wrong. They just didn't know exactly what it was. I knew, I knew, I knew it's sub plex, so I knew a dislocated for sure whether the ligament was torn, not, I was praying that it wasn't, cause you can actually do that, slip it out without a tiering. But most times when you do that as a result of these muscles fatigue and you punch into hard making contact with your target and then your whole muscle, you just go, you just kinda feel like the best way I can explain it, everything's just kind of fell down. So you tried to rehab it for a while, tried to, what did you try to do? May I did, I did the arb treatment. Um, I did regular physical therapy. Um, I mean you got an MRI, Mri. I got two Mris.

Speaker 2:          00:07:44       I had one doctor telling me that, you know, I didn't have to do it. I could one doctor can care less. Um, and then finally I went to Dr. Andrews and he was like, you know what, how long do you plan on fighting for? And a, and I hate when people ask me this because I'm fine. I'm like, Shit until I get tired of fighting. And he was like, well, if you think you're going to be done fighting then don't get it done. But if you want to have a career and you want to be able to constantly punch, he said, I watch your video. He said, you make your money with your right hand. He said, if you want to go out there and punch and be confident, let me go in there and then be cleaned it out. Let me anchor down. Um, we will shoot some stem cells and PRP in there on the way out of the surgery.

Speaker 2:          00:08:18       Um, we'd be aggressive and make sure you get that range of motion and um, you'll be back in there punching. So I decided that my ass for four times for world title fights in a year, if anybody deserved to touch up something they heard in the fight, just me. So, uh, I decided to go with it. I'm, I was so close man. Even all the way up until the day of surgery, I was like, man, I don't want to fucking do this. I don't want to do this and I just don't want to be doing surgery now. We you still training? We're still throwing punches. Yeah, I was trying to do. And what did it feel like when you're throwing punches? Um, I mean that's the reason why I got it. I mean uppercuts straight punches along that if I throw a straight punch and I didn't turn my body over and I was just on punching, she ever, the uppercut didn't hurt.

Speaker 2:          00:08:57       Uh, I was shadowboxing hidden paths hitting the bag. If I throw it overhand right. It was not feeling, it was not going to happen. So shoulders is such a weird joint, you know, there's so much motion. Even now, like you're doing a rehab now, like part of my protocols with dumbbells, I can, I can slay a, but if I come out here, I mean you can just see if you see the way my body's starting to get alarmed, I don't feel comfortable yet. But you're only, how many days out of surgery? Two weeks. Two weeks is nothing amazing that you can move. I'll be back. I'll be back training a couple of months. Wow. Yeah. Well what? This art machine and then with stem cells and PRP, it's like the world's a different place now for engine had this shit in 2008 so I'd tell you, and I rehabbed myself.

Speaker 2:          00:09:41       I took, so our rehab book, I had all these protocols from the sports medicine people that gave me and I put my own shit together and I made my own workout and I did it religiously, twice a day. But it's not the same as somebody stretching you every single degrees, every direction, every plane watching your growth and actually being a specialist. I was just doing shit cause I didn't want my shoulder messed up and I just started fighting. Like when I first started I was a wrestling coach for Tlo, Alvarez. Either words, Dean Thomas. I wasn't really a fight or Friday I had a couple of amateur fights, but I didn't know if I wanted to do this shit or not. Then I had to have a shoulder surgeon. I'm like, damn man, I don't know how the hell I'm gonna pay for this. So a guy named Wade Rome, he was American top team guy.

Speaker 2:          00:10:23       I didn't know what the fucking American top team was. He brought the satellite school, the University of Missouri where I was coaching at. He came into the gym and he wanted to pay for our weight room, a wrestling team. And I'm like, well shit, let me go in there and train to his gym. And I wasn't trained his jam and I worked for him for time so I can get insurance so I can get the shoulder surgery and um, shit. After that I said, let me get this fight and take a shower. I wasn't even, I was, I didn't, I was just doing it just to see what it was like. But that's crazy. Yeah, that's crazy. When you think about how successful you've been at it, and I had a lot of chances to quit too. Broke in debt, 50 grand in debt. And I'm like, I told my coach, I said, I can't do this shit.

Speaker 2:          00:11:00       And when I said I'm a fulltime coach, um, I'm going negative day 15 out of 30 days, man, I can't even afford the, that's when gas, remember if gas first hit, I was getting 99 thing gas and all of a sudden wants to three bucks at the broker's point of my life. I was like hell with that. So I did that. And he said, you know what? You got a future in this man. He said, take out a student loan. I was in graduate school. He said, take out a student loan. So I took out a student loan and graduate school to fund my MMA training. Wow. And I didn't even finish graduate school. Wow. That's crazy. Yeah, that's crazy. Isn't it all worked out the way it did.

Speaker 2:          00:11:41       It worked out. I would complain about it Dan and tried to pay me 50 grand, less known being 50 grand in debt. You know, it's like tables have turn quite a bit. Yeah, it's fascinating isn't it? When you look back, if you look back 10 years ago, 10 years ago, God, I can't believe I've been fighting for, what is it, 1213 years now? 2005 was my first fight. Wow. Nuts. Now your world champ. So with this uh, rehabilitation, they said there they'd like you to throw punches inside of two months. Yeah. And then when would you be able to like fully resume training? They think three of us. They think three months. I mean granted with this surgery you can hear someone say four months, you can hit six months. Some people take a full year. It depends on who the surgeon is, how aggressively they push you for.

Speaker 2:          00:12:28       It depends on why you need to get back. I got a belt to defend and I got money to make and I got people asking me, so I got to get back. So with that said, I'm going, I called the UFC, I'm like, this is bullshit. I'm you're world champion. I need one. Am I going to do with three days a week and I'm not a senior citizen. I need physical therapy approved for five days a week. I need this game ready ice machine. I need to do PRP in six weeks. They should want me to get back. And you know, um, they, they, they listened to me and say, you know what? He's right. You know, give them whatever you want to give him so he can get back and get her and fighting because I was fighting extremely often for them. Now you, you're living in St Louis?

Speaker 2:          00:13:06       Yeah, I live, I've got a house in Saint Louis. I'm out here every week though. I'm doing Fox TMZ. I didn't know you were doing that many different TV things. So what are you doing on Fox? I do. I'm doing UFC tonight. DC's out and trying to count. So anytime DC, Brisbane or whatever, I'm usually got, it fills in where you'll see it tonight and you have to come out here and do that every week. Wow. They don't watch him say, Hey bids me you, you are in DC. Don't watch. I said I'm a snag. Get Damn job. I'm be a permanent out here. Cause I had a good show yesterday. I didn't want to watch out. Do you like doing that? I loved doing it. I love getting out of the box. That's why, you know, I know he probably gonna get it until later. That's why I did stand up comedy the other day.

Speaker 2:          00:13:44       I did stand up comedy. I heard about the Adam Hunter had you up at the Dharma and wants to diamond bar because I feel like acting is what I'm going to do after I get in a fight and, and if you can be okay with being embarrassed, not being uncomfortable and really not giving a fuck, then you can become a great actor if you have the gift and you're willing to put in the work. So I've always put in the work. I'm not worried about that. But if I've got to cry, I got to be a college douche bag. I it to be something that I'm not used to being. I can be a tough guy all day. I can be a secret agent, you know? I mean, you're gonna film this, you know, we can watch a film and Mimic it, you know, for ice and mimic Friday.

Speaker 2:          00:14:20       You cannot tell me I wasn't smoky, I was sounds just like Chris Ducker. Like I was really in the fucking movie, but he didn't have anybody to look at. He had a fucking script and he had to bring that to life. And you know, we really critical and actors and I just don't want to be the weakest link, everyone in the film. So. So that's what you want to do when you're done with all that? For sure. For sure. It that always been an aspiration or is it something you saw as like a way to do it after it's over a lot of stuff, you know, I don't really even like fighting to real honest. Yeah, I'm just good at it. What don't you like about it? I don't like the politics behind it. I don't like to, a martial art aspects has been taken away from it.

Speaker 2:          00:14:56       I don't like to um, disrespect to the sport. Um, guys that are, you're not, not really training hard. Um, it don't look the part I think professional athletes you look a certain way. Um, I really just don't like the youth. This generation of fighters that watching move on TV on youtube and they go in, they tried to do it. They don't want to drill repetitions, lead. I don't want to actually put in the work. Um, why does that affect you though? It affects me because our sport is also the fans and the fans actually culture who gets to fight and if a guy's going to talk enough shit and so I went and flight suits then this day and age that's good enough for a title shot and I think it's disrespectful to everybody that came before that. Remember that you had to go 10 to know.

Speaker 2:          00:15:35       Then you get the fucking call from the UFC, give kind of one RM, low ball fun in the UFC and a 500 record he's going to be in the UFC. And I just, it's, it's ways that the sport is taken a love out of it. But I just find a way in dominated my opponents, taking all the tools away from them. You know, Dean Tom and shout out to them and Duke Roufus are fucking masterminds. So I take pride in that, take pride and go in and they're not getting hit dominated, knocking people out, whatever I got.

Speaker 3:          00:16:06       When you say you don't like fighting, you'd like all those things you don't like to what other people are doing?

Speaker 2:          00:16:10       I love training. I don't like what I don't like to, we'll split the spores become,

Speaker 3:          00:16:15       so this is an interesting thing to talk about because a lot of people have different points of view on that. And one hand, a lot of people like the traditional martial arts approach of respect for your opponent and just fighting to the best of your abilities and letting the chips fall where they may. Whereas other people say, well, listen, to get people to show up, to get asses in seats, to get paper view bys, there's gotta be some drama and some entertainment value to it. And that's where someone like Connor comes into Connor's the only one has done it though. Yeah. Well Rhonda a little bit.

Speaker 2:          00:16:44       Rhonda did it a little bit is done at the best. And when he actually puts in the work, right, he had a son before he has Sunday deal, but he didn't, he, he his mouth, his mouth was louder and he's actually probably the best at it. He's, he's probably, he's better than Conor. Edit condoms. Very close. But Connor actually delivers on more than more of what he said he's going to do it in shell dead. I would agree. So if you got to think of anybody who's brought both worlds together best, I would have to say Connor, he knocks a lot of guys out. Try to call the round. He's only lost a few fights total. And even those fights, it was RiskMatch war fighting the guy switched opponent this notice different weight class. Um, you know, he second those risks and rewards that if you lose, it's not really that big of a deal. You know, nobody's gonna Really, oh my God. Dropping down to the bottom of the pack. But these other guys that haven't done it don't have the skills, ain't putting in the work. I mean, they can kind of really just,

Speaker 3:          00:17:37       we see the trend, right? There is a trend right now at least though, incredibly disrespectful, very rude. And you know, you saw what happened with Colby Covington and you know, at least be over doing Marangu you know what I mean?

Speaker 2:          00:17:50       You pressing charges. I mean, that is a queef well, this [inaudible] there's a lot of attention being placed on him though. I mean, you, you see, it's nicely effective. Let me see how much attention is being placed. It is effective in the moment, right? I mean, don't want to go back to this stuff. It's effective in a moment. I'm gonna tell you why. Because sometimes there's some talking about sports is like, you know, nothing going on. It was like, fuck with this guy was talking, shit, let me listen to him. Right. And right there at that point Kinda was around. Rhonda wasn't around. I wasn't around who is UFC really projected as a star, says North Korea had a few bumps, Pace. Van Zandt had a few bumps. They tried to push up in Ghana, but what started did they have? So if you got this person that's willing to go crazy, even though we know it's WWE, the person's really not getting slammed.

Speaker 2:          00:18:37       We want to live in that moment anyway. We want to go for the villain. Who has he really beat behind Damien Maia? What was, what was the other top 15 victory? Well, the Damien Meyer was a big one, but that was a big one. But he was, but he was unmotivated and he was a guy that already had his title shots and you know, he's getting up there in age. What is really his motivation? I wrote the book on how to beat Damien Maia and he didn't even read the book. He just skim through it because no part of the book said, let the Jujitsu guy fuck you up and bloody your face. Colby competent did that by himself. I didn't do that, you know, even with my right arm being messed up. So, um, yeah, he just, I'm just looking like how many followers, just like he didn't have a big following before that that was his biggest fight.

Speaker 2:          00:19:22       That was the big, the big coming. I don't want to discredit him. They minimize the, Gee, you know, I don't want to discredit Colby, but you know, for you, for, for me, have some people in your resume have some, you know, I didn't be Derrick Terex, Hafeni Paul Daley, Jordan, me, and this is before I even got into UFC. My first fight was Jay Heran who had only been stopped by George Saint Pierre lost one fight to be in action that was close and had won every fight after that. So I never had an easy fight. All my guys was either former champions or former contenders are former, you know, people that were interim champions. And when you got a list like that and you should don't get the respect Koscheck condit when he Robbie Lawler, you don't get the respect from who caught him. Oh my God. Can care less about the respect.

Speaker 2:          00:20:10       You definitely get respect. Watch this. When you think of Robbie Lawler, Carlos Condit, right? Right. They're in a different category as it were to you that I'm the champion. I beat both of those guys. What do you mean by a different category? I see them in a category then this might just be me. I see them is in the category is if you're talking about guys are going to enter the hall of fame, right? And you think about all Josh costs checking, um, oh, Carlos condit and Robbie Lawler and you know this guy and Anderson Silva, all those different guys. But it's funny that I've defeated these guys, man. You're crazy. You're talking crazy. I don't think so. Yeah, no, you definitely

Speaker 3:          00:20:48       talking crazy. You're the champ champ. You, you're acting like people don't respect you as the champ. They respect. They were sneaky. People think like that. Carlos condit gets more respect or Robbie Lawler gets more. That's crazy.

Speaker 2:          00:21:01       Carlos condit gets more respect me. Robbie Lawler gets more respect to me. But from who though? Sure. Even guys, even guys that I defeated, like you know, um, Stephen Thompson tea shops and they'll get more respect to me. I'm not gonna say that, but people are willing to be like, oh my God. You know, tell them Dana said, tell them to get in the cage with Tyrone Woodley. He didn't say, hey tire and tell them to get in case with Stephen Thompson on a seven fight win streak, knocking everybody fuck out with a really super weird style that took me months in a fortune, bringing all these fucking crazy taekwondo, Raymond Daniels, all these, the best of the best to train him to beat him, right? Like nobody gave me that pass.

Speaker 3:          00:21:41       She don't know why you concentrate on that. I know that seems, but you are because you're talking about it. I'm not concentrating on when he has these nutty thoughts. I'm telling you, I'm telling you, I'm telling you, this is all nonsense. This is a wasted, wasted energy. You think when you think about and that it doesn't matter to me because my path is pretty clear what I want to do. I want to do the best. I want to rent. I want to be the best. Well, Twitter defended undisputed UFC welterweight champion in 2007 when that was the shit. Now Shit, what is in the middle of why kind of middle of last quarter and they fight and supervise that are bigger than a world title fight because I didn't make no, I know you as much. You don't know you as much yet and whether whatever.

Speaker 3:          00:22:22       Look, Connor is a weird enigma and whatever reason why that got caught fire the way he did. It's a weird combination of personality, results, skill. It's a lot. And Ireland, Ireland is a big factor. I mean if Conner was from Nebraska, I guarantee you it's not just a big fight country. The loyalty and the love that those people have for the people that fight from Ireland. There's not no, there's nothing like that. It's, it's a, it's a weird anomaly. So he's just this weird aberration and he gives people almost like false hope of what's possible because I don't know if it's possible with a lot of people just, it just, it's lightening in a bottle for whatever reason. It worked with him, but he started himself and what happened? Her company jumper cables. Yeah. You'll see. Put the machine behind them. Right. They definitely put them on. It made sense machine behind him. There was giant hordes of people flying in from Ireland. I remember one of some of his earlier fights I was like, and I was commenting on and I was saying this is a guy who was on the undercard and they're acting like this is the main event of a paper view. They flown from Ireland. The audience is filled with thousands of people that flew from Ireland deciding to bring my age and does. Even back then. It was insane when he fell back

Speaker 2:          00:23:37       then, you know, it was funny, somebody when I was striking coach was like, Conor Mcgregor's is huge star and da Da da Da. I'm like, that's when he had first gotten to UFC and I'm like,

Speaker 4:          00:23:46       I don't even know who the fuck is cute is. He would tell he was trying to convince me, no, he's a superstar. He's Dah, Dah, Dah, Dah. And in every time I get to share, as I said, you, you were right. He wasn't dead, but he's more of a gay ended up being a superstar and he loves to get their credit because at that moment I think I was getting ready to fight dung and Kim and he kept on with this Conor McGregor. So I said, let me look, this is my friend. Let me look them up because you obviously got a boner for this dude. And I looked him up. I'm like, all right, he's good. I get it, but let me see him, be it a couple of people and then if he can be dust Emporio, then I'm going to give him his props.

Speaker 4:          00:24:19       Knocking doctor. It's important. It doesn't pray. I, all right, well he's 100% legit. He's legit. It's what else is going on that's so weird. It's, he's not just legit. He's also this unbelievable personality that people were drawn to him. That's no one can manufacture that. So like he's, he's rehearsed it. He's practiced that. He's looked in the mirror, he has natural wit. He's, he's willing to go risky. And say some below to build shit. And he does his research. He don't come to a press conference, just you know, smoking. You'd like to front row of a comedy show, he looking into some deep shit. And when you get there, you kind of stumble. So you right, he has that. He also has a fight style. He also has so happened to do 80% of shit he says going to do. So now he's the fucking Messiah.

Speaker 4:          00:25:04       But you can't say that the UFC has not gotten behind you or people don't give you the respect that you deserve. That's why you're not in the same level as you said. You said that it, him and Connor are super fights. I'm saying that he has gotten it and I was saying that he has gotten it and he has lived up to what he said he's going to do. And then on top of that, you gotta you gotta be able to fight. He can fight and he has been able to talk. So now, not only can he generate the pay per view, buys and get people interested, he's actually gonna deliver a knockout. Again, Josie auto stop as it gets Eddie Alvarez and the crazy, you know, back to back fights with, with Nate Diaz. Don't you think that you're in an unusual situation? First of all, because you win the title by spectacular first round knockout against Robbie Lawler.

Speaker 4:          00:25:49       Unbelievable knockout. But then you have the most awkward and difficult God to defend your title against Wonderboy. Thompson is a very unusual opponent and it's hard to look good against them and that'll all the people that fought him, you're the only guy that put him in danger. Not once, but twice. And the way you fought him. I've defended the way you fought him many times. Cause I say, look, if you look at tactically, if you look at technique and you look at the, the, the art of fighting, that's the way to find them. If you're a guy like Tyron Woodley, a powerful punch, it was a great wrestler. Who's got one real one punch, knockout ability. You're not going to open yourself up to Wonderboy. Going to rush him either. Exactly. Don't get picked apart. You're not going to fight him the way he wants to fight would you did as you laid back a lot and people booed a lot because of that. But when you connected, you are the one that heard him in those two fights. He was the one that

Speaker 3:          00:26:44       was in big trouble in both of those fights.

Speaker 2:          00:26:46       Not You. Him with his fire was, it was, it was not for me. I'm never, um, you know, I got the same thing in the Maya fight, but at the end of the day and someone's attempted to take you down multiple times, over 20 times. It's very hard to get in any type of exchange. Every time you swing, they want to go on and eat three shots. Maya fight was tough too,

Speaker 3:          00:27:04       but you got to go back and look at like Anderson Silva's dark days. There was a dark days when Anderson Silva fought Damien Maia where nobody wants to have anything to do with them after that. Fine. Yeah. And Anderson Silva fought. Um, when he fought there, there's several fights where um, he had just boring results and people weren't interested in him finding anymore. One spectacular knockout and everybody's

Speaker 2:          00:27:29       got it all over again. And then one spectacular knock out to get the belt and then everybody slowly forget about it moments later. Cause at the time Stephen Thompson said, Nah, we're the fight Robbie and I think he's going to win anyway and Da da Da. And then he think I'm supposed to be just so graciously like God that's fighting honor and Nah, you wanted to fight Robbie, right? You say rob, who's going to win? You say you personally prefer to write fight Robbie Cause I've been waiting around even though that wasn't the case. So you said this up. So don't think that I'm just going to give you my spotlight and say hey, you know what the others do this. No. If I'm seeing the table being set, I know there's Nate disease out there. Nick Diaz is out there. George Saint Pierre is Michael Business guys that have that name, they have that status that I'm trying to get to.

Speaker 2:          00:28:11       Those are the guys I want to fight. I want to knock those guys now because now I can continue to enjoy myself up fighting him. Well, he's trying to get the same thing I'm trying to get, why the hell am I going to pull you up with me? Right. If that's the fight. They wanted me to fight him. One of one. They never offered me the fight. He said something. Then I think the UFC thought I wouldn't take the fight is the first time they offered me the fight accepted it. So when all these people are like, oh my God, you don't want to fight trying to pick his fights, he's just got the belt. I'm like, Ooh man, I'm talking about, it's too many people saying things that you're responding to that are, that are irrelevant I think is the, the people that that are in the organization.

Speaker 2:          00:28:49       I got to, you know, you're dealing with people that I don't deal with them in that regard, but as far as like people that are analysts and experts as far as like the social media, like I really don't read social media. I post because I want to post and I leave it alone. So that's why I say that. I'm not saying without saying who it is. I'm not saying that the fans are making me feel some type of way cause my, my path is clear. I want to be the greatest welterweight of all time. Right? Whatever it takes. When, when I get an opportunity, I'm trying to knock you out. Okay. At all times. Stephen Thompson is different types of fights as you said before. Look what happened with Robert Whitaker, rushed in and look what happened when this guy approached him. Those guys, that's, people forget if you get all this shit and it also realize how tough it is to take him down and gets the case.

Speaker 2:          00:29:32       Remember how fast he pops up. So why did I get myself 31 foot that if I want to double check am I got the whole place to stretch across some blast tomorrow he don't have one punch Carol power. So if my back is against the octagon and when I go for a shot, I got the whole entire actually going to take them now versus pressing them gopher to take down him in the cage or both defending my shot. Then Dan him trying to, you know, do some razzle dazzle kick. So I have no issue with the way I fought him. Um, or Damien Maia, I don't think there's another way to fight them unless I did. He didn't, he didn't take Maya series. He didn't train the way. He didn't bring in the top Jiu Jitsu guys like with easy to spark kickbox and look good and never have to take a shot.

Speaker 2:          00:30:12       The way I train, I put myself in positions. I know I'm never going to be in. You never going to take me down. You never go have my bag. I'm never going to be mounted. But I'm training that ship anyway. Just in case I slipped on a banana peel, I get clipped with a punch. So George Jr's, Mazda Dow, just from the way I watched him fight, he was surprised. Even the stuff that Stephen Thompson hit me with, it never surprised me. I get hit with it. He landed some good shots. He's really quick. I mean I'm fast and explosive, but he's quick. Those punches get to you fast. He's long and we started bouncing. You don't even know what the hell are you going to do and this kind of like what are you about to do? When do you about to do? You can watch his performance until he didn't do the proper work.

Speaker 2:          00:30:50       Same thing with Damien Maia. He trained with Colby and like tried to take me down. I'm gonna stop the shot and just knock you out. That's not how it works. You've got to bring in guys and know his half guard, how he hooks her ankle, Holly suites, how he switched from one side to the other. What happens when he grabbed him around your waist? If you give him his back, this is how you can lock up. I trained with guys that trained with him and the guys would have better than Damien my on the mat that way when I got out there had he taking me down, I would've been prepared to escape, get away, get back to my feet. Do you think that having a chip on your shoulder in some way helps you like all these people that doubt you in some way? You have to prove yourself.

Speaker 2:          00:31:25       I just know that I'm the best. Like you know, me and dean was training one day and I stopped practicing. I just, I had a brain fart and I started thinking about George Saint Pierre and I started thinking about all those skills and I start thinking about Robbie and all the time, well two and I said, I'm the fucking best in the world. Nobody's fastened to me. Nobody stronger than me. Nobody works as hard as I do. Nobody has all the skills to striking the wrestling. Did you just who the defense, the timing, the explosion, the toughness. I've been in wars, I've been in close fights, I've been in fights. One knock people out. I've been in it all. So when I decided that I'm the best, I saw, I carry myself as if I was already the champion. And that's why I had champ camp before I even had the belt.

Speaker 2:          00:32:05       And which was, when was this around? Like which fight? Oh, I'm rights Shit Robbie. Right before, right before Robin. Yeah. I was supposed to not champ camp. Actually we're supposed to start with um, when Johnny, but Johnny has some complications that make it to the scale. So they told me I was fighting Robbie. Yeah, I remember talking to you backstage one day, uh, uh, one of the wins and you were frustrated and you were like, when the fuck am I getting my title shot? Yeah. Well that, you know, that this is the thing, we know the game changes and sometimes they want to see fights play out before they make a call. They never want to be an alliance and you are definitely getting a title shot. They've done it a couple of times and we've seen what happened. Right. And they pulled out of it.

Speaker 2:          00:32:43       So I fought Kelvin gasoline and Kelvin gasoline was supposed to be this conditioning freak and he ms way by 10 pounds in, you know, for me, I don't play this shit. Don't act like you were so sick. No, you didn't make weight. And what happens when you don't make weight? You actually didn't have to go through in suck your body all the way down to scratch. Wait like I did. So you should actually look better. So I don't want to be like, oh, he was sick and that's why, you know, he had a chance. He just has never going to beat me. I fought him. He was the one that was huffing and puffing. He couldn't hit me. He couldn't land any significant punch. Islanded and after that fight, you know, um, it was some scrutiny on the fight. I'm like, okay, you made it grapple with him so he can try and take my back and do a redneck truck like did everybody else?

Speaker 2:          00:33:25       You want me to exchange with him and let him get into the fight when I know I'm fast. I know I'm sharper. He can't hit me. I got better defense the whole time he's pushing me against the case. I heard score said, no, no, no, don't go there. Don't go there. It was terrified that the Kaushik thing was going to happen to him, so he backed up every time he pushed me into the octagon. Why wouldn't I play on that? You know what I mean? So when people look at that, he was saying that he was going to get a title shot. I wonder if you remember that. They said if Kelvin Gasmon would be Tyree, he going to get a tighter shot. You run. I remember people saying that. They were saying I, but they weren't saying. They didn't say that at NRB. Dana White said, if Kelvin Gasland bees, Tyron, he's getting a title shot. Remember he had already been coached, selected for the coach. He got the coach's job off the loss after missing weight by 10 pounds. And then they told me he would never fight it. One 85 again if I took the fight. I mean one 70 again if I took the fight. So he lost me. Ms. Wade still got to Tufts coaching job and on top of that he was going to get a tighter shot had he beaten me.

Speaker 3:          00:34:23       But why do you, so you again, it comes to this chip on your shoulder thing. You feel like everybody's against, you know, you do a little, I don't want, do you want me to though? No, you do. This is what you're saying. It's the things that you're saying

