Speaker 1:          00:00:03       And doing it again, I can.
Speaker 2:          00:04:24       I'm against old dudes with scarves. And I think Randy coture, feminist scholar, but he's been wearing a scarf lately and I just want to talk to randy couture was such a bad motherfucker. Turn it around his neck. Who Cares? Ballet could be in a leotard and I'd still be like, stay away from me. He could go out to clubs with a real legitimate albatross around his neck and you wouldn't care. Speaking of which, did you see Matt Makani in magic? Mike? No, I missed that. I never met anybody wanting to have sex to themselves more. That guy. Oh God. I mean he. I guarantee you. Jerks. Officers, highlight reel. He. He basically has just stock footage of him stretching his character or Matt mcconaughey. Hey, the human factors. It's like, why don't you take that role, take that role. You took that role so you could wear outfits and go and go.

Speaker 2:          00:05:14       That's what he does. And I've never seen anyone. Now I have to go through it. It's a bigger why commercials with. Sorry, sorry. Sorry. Because I need to know about this because I saw the ad for that. I got a little panicky. Oh No, we ads. We're so gay that I was like, what's going on here? What is this? Tatum o'neal or whatever the guy's name is. He couldn't look better. Handsomest guy. I hung out with him in Vegas for a weekend. Women literally start just operating in his presence and he's a great guy. They must panic. He said he was an athlete going on with the sound. Brian. That sound like a pool. When he's talking, it's getting really loud or screaming into a microphone. Probably not. It's normal. I'm using my stage voice now. Mine is down. I want to talk about chapter two. Dance

Speaker 3:          00:05:53       therapy. Screaming in the voice. It's not going to pop the minute, but it doesn't sound good. This. It's very gay.

Speaker 4:          00:05:59       The easiest thing.

Speaker 3:          00:06:00       Well, something's wrong. I'm not hearing myself. You're not hearing. You're not like a like a little. There you go guys. If you screw up, just get your microphone technique. I start talking about channing tatum and my voice was like, but it shouldn't crack that easy. Brian. This is like some little crackle when it gets high here. That.

Speaker 4:          00:06:19       Yeah, because you're screaming into a microphone. When you're, when you're, when you're on stage, it happens. You just can't hear it because it's a big stage, but when you're in a recording studio, you're screaming in a microphone. You're going to. Don't say, this is a new thing. Here's what we could do. We could turn it down like this. You could turn your headphones up right now and it'll be really quiet. You're just not going to pop the mic.

Speaker 4:          00:06:42       All right. Just try, try turning one of these knobs right here. Track check. I like Tacos. Highlight Tacos. Going to be in Columbus, Ohio this week. Or in Ohio. If you want to go to a show, go to a desk while TV. You're going to be with Tom Segura. Doug Benson. Uh, yeah. We got a Dayton, Ohio on the eighth, which is Thursday, Cincinnati on Friday, and then Saturday we have a Columbus, Ohio. And if you use the coupon code in Cincinnati, Red Cross, you get two for one tickets. Also 10 percent of the portion of the ticket sales goes to hurricane relief for Indiana. And

Speaker 3:          00:07:22       why keep making upstairs and you can get hit by hurricanes. You son of a bitch. That sound better. Much better. Yeah. The, uh, the microphone cord. That's what it was that the, um, the headphone Jack was really, really low. I'm honored. Uh, you know, we, we started carrying things like kettle bells and battle ropes and we're going to continue to supply the craziest fitness shit we can get our hands on. What probably club bells when moving to those next. Those are pretty bad ass. We use those. I just started doing those. You know, you do those, that shield casting over the shoulders. Fantastic for the wrists and the forearms and great for functional strength. So what we'll probably get involved in club bells eventually to all the stuff we use. Those stuff that would improve your, your, your strength and your conditioning if you doing like Jujitsu or any kind of athletics.

Speaker 3:          00:08:12       It's all just about a shit for functional strength. If you use the code name Rogan, you will save 10 percent off any and all supplements, including camp force. We have hemp force protein powder that's made out of raw hemp, which by the way, you can't grow in America. Ha. You can buy it from Colorado, mate, make marijuana legal this week. They did that might today. It's right. The polls show that the federal government coming to notify that. Yeah. Again, have those concepts, but you can't. We, we, we sell hamp. This hemp protein powder does not make you test positive for marijuana. It's completely non psychoactive. It's just a related to it or the male of the plan or whatever. Um, and um, we have to buy it from Canada. We can't grow it here. It's fucking so ridiculous. I guess because people would just grow. We'd go to it. I totally thought I was going home. I didn't even know.

Speaker 4:          00:09:01       Did you hear, I heard somebody already told me last night that somebody from Israel found out the way a way to take out like the highness out of marijuana. So you're just getting the CBDS. What a jerk. That rarely Jewish. Why would, why would it, why? Like I'm just, Hey, I want to make. We're not as fun. Instead of doing cancer research, I'm just gonna ruin everybody's fucking life.

Speaker 3:          00:09:24       Well, the idea, Brian, is it. Some people just want to be healed from cancer, they don't want to get high, so you're like, you'll be getting high is more important than your cancer. Silly, but that's not true. For some people. They don't want to get the paranoia. They just want to cure their diseases. Combined. Combined, it combats nausea and lowers interocular pressure while coma. That's why glaucoma patients ticket, is that right? Anyway, that Hampshire, we've got to get it from Canada. It's not cheap, but if you buy a Blendtec blender, you get a free one. Boom. Codename Rogan saves you 10 percent off any and all supplements. This weekend. Balboa theater, Joey Diaz and me, that is this Saturday night. Fucking very fired up about that. I can't wait. San Diego's shit. I will be able to tell him this weekend, Friday, Portland really? You can get your tickets at helium comedy club, that fucking club crackles clubs ever.

Speaker 3:          00:10:15       If you're in Philly, come see me. Helium, philly. Philly is one of the greatest cities ever because it's the perfect combination of smart people who will fucking punch you. Yeah, yeah, yeah. There's always a palpable aggression in the air. Yeah, that's very Boston. Like every was a football player like Michael Irvin. I go, what? What were the worst fans? Philly, philly. He hurt his neck in Philly. They booed him. They're like, Beau. Usually they clapped and I gotta get off. Do you remember that? If I can start the commercial, Brian, stop it. Stopped the commercial over. Start the podcast. We're going to just do it. There's nothing else to talk about. Death Squad dot TV. Go Get yourself a kitty cat tee shirt. You're Fox experience. We always do this. Do we have these conversations? And they go from, I have a just a shitty. I'm married to this method of doing commercials. Like,

Speaker 4:          00:11:08       yeah, well sometimes it's okay, but other times I'm like, wait, this is 20 minutes of a commercial that we're not always. It's

Speaker 3:          00:11:14       conversations to. Yeah. It would be nice if I could figure out how short net, but the problem is then it weaves itself into conversations that would make like great podcasts. We should just do commercials in the middle of the podcast. Yeah, I think it's great the way you do it. Does anybody else do? Most guys, they stop and read it in the middle of their podcasts. I just people doing it. I like the way you do it, which is organically get into it and the problem is sometimes it goes into other conversations. You don't want it to be a part of the commercial. Here's what I liked that you believe in every product you endorsed. Well that's where we're lucky as shit. Not like an advertisement is what I mean. The only things that we're we're being advertised by right now is all like, like ting, which was an awesome company.

Speaker 2:          00:11:54       No contracts the way we went with them because they're like, they use sprints, backbone, so they have like really good service, but you can just cancel. You couldn't make joint accounts like you and I could share an account which share minutes. If you don't use your minutes, like say if you use like what a lower priced thing would be instead of what you paid for. Well then you get discounted on your next bill. It's like they are like super ethical and fair, so that's why we went with them. But when you, when you're involved in a wow, like the podcast is weird enough as it is, so it's like big companies probably wouldn't want to get involved with it. So it allows you to choose from people that are like taking chances like the ting people or the people or. I think what's really unique about it is the fact that you can, you can pinpoint exactly who your niche audiences if you're talking to very specific people that are gonna that are interested in it.

Speaker 2:          00:12:44       Yeah. Well you know, and it, it, it changes that audience a little bit too as they see the excitement and other shit. I mean, one of the cool things about hovering cool friends is that you get to find out about cool things and they're into that. Maybe you didn't know. When you talk to somebody, like if you say like if you did not talk, if you never knew about Jujitsu and you were hanging out with Eddie Bravo and then you just, you really had no idea and you're talking to this guy and then all of a sudden he starts telling you about Jujitsu and when it's like you'd be like, there's a whole thing I didn't even know about. That's awesome. Holy Shit like it. It invigorates you and fires you up. You know? I think that's the biggest thing is like the one of the problems with staying in one place your whole life is you limit your exposure to, to everything.

Speaker 2:          00:13:27       Nowadays though, the good news is you can be in one place and expose yourself to everything if you know where to look. You know? That never used to be the case. The world is so much different now than when we were like getting out of high school. It's so. I mean it's not even. It's like we were living in the dark age. It really is because you're constantly exposed a little bit. Like if you look at how wrestling was be in the eighties and then when the wall came down in the eastern Europeans, the Russians and they came over and shared all their secrets. Wrestling even at that high school level was so completely different. A lot of ways than it was way back. I mean, as in certain things just didn't work or they had answers to so many different things and wrestling technique and for that matter, look at Jujitsu as everybody starts experimenting and stuff and there's direct access to it.

Speaker 2:          00:14:14       Things grow exponentially. They get, they seem to, um, become more, uh, exponentially complex. I don't know, it makes our life better, but I think it does well. I just think it's unavoidable. Just seems to be that's the way it just goes with everything. And there's great from the past and all endeavors, but it standup comedy in fighting. I don't think anybody from the past truly holds up. I know if I look at like a Joe Lewis, and I imagine what would happen if Joe Lewis had a flight? Vladimir Klitschko, I'd be like, Jesus, that's not. Even though he's Klitschkos barely a human right, and he's totally new species of humans, right? Six foot seven, 250 pounds of shredded muscle. Who's got a doctorate maybe to, you know, like smart as shit. Overachiever, man. Just completely boxing your face in, you know, it doesn't take any stupid chances. Just keeps fucking punching you in the face and you can't punch him.

Speaker 2:          00:15:08       Good Luck Joe. Get out there and do it for America. He's a Nazi. That Klitschko. Go get them. Joe Lewis. Joe Lewis will get fucked up, dude. The only guy. I think there's a few guys like Ali of course would have been great in error. Any error, but I always said that. Put it Mike Tyson against Ali. Mike Tyson would have stormed them. Well yeah, but what he said is this, Ali said boxing. People will say, yeah, Tyson would have gotten, would a storm to maybe the first time because he's so powerful. And guess what? When they fought the second time, Ali would have figured them out that maybe, maybe, maybe the way by the way he'd be. Remember Ali took, it was 220 pounds, right? Which is a big man without lifting a big man. Oh, and by the way, he also fought I think nine rounds against frazier with a broken jaw.

Speaker 2:          00:15:54       The dude could take punish. That was Ken Norton. I'm sorry. But if you watch, if you watch what frazier didn't, those amazing fights. Yeah. And, and the hooks and just landing in his face and he just kept fighting and he took into such incredible punishment and I think his ability to kind of rope and, and move with shots with a huge part of it for sure. Smarter than anybody and got into your head, you know, look what he did to Sonny Liston. He realized something listened was the strongest man in the world. They said the one thing sending listens, afraid of is a crazy person. Sonny's afraid of gravel, crazy person. And when, when he did that weigh in, sunny actually said, keep them away from me. I think he's going to bite me. He was afraid he was going to get bit. I just think skill wise, I think Ali was great, but if you look at the Ali from like the Joe Frazier fight on, if you compare that guy to Tyson when he was against like say Michael spinks when he was just the ultimate destroyer, he was just too.

Speaker 2:          00:16:46       He was too blindingly fast and a really good box, unbelievably fast. That was the thing that people missed and the whole thing and they were like his power. Of course he had great power, but it was the way he delivered it. He delivered it like half as fast, like really? Like he was twice as fast as like the Tony tubs is of the world of the Pink Lynn. Tom. He fought, raised her run. I can raise a Ruckus is the biggest, strongest looking man. Dude, man. He was hitting him in the forehead with, with hooks and sending him like, like for sitting down in the air, like fool now now run a got back up. But finding the ref was like, I'm stopping this because somebody's going to lose their brain. Yeah. He was like a few years where he was just unbelievably good. But I think that's the case with basketball.

Speaker 2:          00:17:32       I think that's the case with baseball. I think it's the case with all sports that everything just gets better and it's really fascinating and training techniques, not just steroids. Yeah, that's the big designer drugs when they can jean dope, you wonder what you're. You know you're going to have 400 pound Predator nationally athletes, so then it becomes 100 percent. It's on the way. I can't wait. They're going to keep getting bigger. Like if you ever met like a real giant pro football player and say I saw a real law who was really rowdy and he was like at this club in Phoenix, and it was like a guy who's around a bunch of kids who will just like, all right, settle down, settle down, let me throw. It's exactly how it was. Almost like a silver back on that. Boom. He was gigantic. The dude was at least 400 pounds and he wasn't fat athletic.

Speaker 2:          00:18:17       Yeah. I was like, I can't believe that's a fucking man. Rich incognito. I met at the playboy mansion, six foot four, 300, five pounds. All Blonde. Silverback, she belonged to get and literally doesn't even look like he lifts his says everything is proportioned. His head, his shoulders, his hips. No. Who was one of the scariest guys that didn't get his duke. He came on with the wrong time. Do you remember Tom Erickson? Who? Tom Big Cat Erickson fighter fucking wrestler was 300 pounds now. Natural. Gigantic. No, no, that was Paul varlands. What did they call Tom? I don't remember what they're called, but he was a peace dude. This guy rich on cognitive. I said, what are you? What do you squat? He goes, I don't know. I mean in the eights, I think a big cats. That's what it was. Big Name nickname. Big Cat. Because he was a big dude.

Speaker 2:          00:19:12       He moved like a cat. That's ridiculous. He was Tom Erickson, who was just speaking a big Russian guy. I'm the wolf man. Carolyn. No, no, no, no, no. Forget him. That guy's legendary. The last time we lost, he was 16 years old and then a rulon gardner beat him by based on one of the mistakes you've made. I saw the match. Well, it's funny. That was like a new rule when you get a guy to separate their hands. It's one point when he won the Olympic gold against, uh, uh, with the Persian American, a wrestler who was that who would wrestle him 19 times. I've never beat him. And as he was winning the gold, he had him and he was whispering in his ear, he was whispering and essentially English saying, you can never beat me. It's not possible for you to beat me to saying, yeah.

Speaker 2:          00:19:57       So something like that. And if you see when, when they are awesome, when he's, when he had the silver medal and he did meet and he had a silver medal in the Olympics and he's up there and somebody gave me, gave me his name and he's crying. He's crying because he just realizes that no matter what he did, no matter how hard he trains, there is that man named corral and that he will never beat. He was born. He was 15 pounds six for 305 pounds. That's how much you weighed. He trained in Siberia. The fuck is that. While he was 15 pounds when he was born and he has small parents, his parents were splitting, I think his grandfather or someone was a, was a bear, you know, some giant guy. Carolyn was also me and a very, very serious competitor. Like a main competitor would not lose.

Speaker 2:          00:20:45       No, no. And would play games you and talk to you. And by the way, you know why he got really why he got really famous and we started hearing about him is he would suplex people and break their necks. He'd suplex you and drop you on your neck and that's where people were just so afraid of him and he was just too strong. He would get guys. They would literally completely flattened themselves out on the mat to try to resist being taken down. They didn't even try to scramble because if he scrambled and he caught you in the scramble, he'd have you elevated and just fucking pile drive you on your head. It's crazy. He would pick them up as they were flattening up and he was 300 plus pound men and from like a lying down 300 pound man to be able to pick him up with a gable grip and hoist him up in the air.

Speaker 2:          00:21:31       Most people have no idea how strong you'd have to be so weird. Like you would have a hard time doing that with a small child. Like most people would have a hard time, but he was also very flexible. He was also like, he was just a huge mongoose. Exactly. He wasn't like a big stupid like power lifter looking due to. Couldn't move. No, he was like a big giant was all back back and traps in relation to his chest. It wasn't bodybuilder, his knees and his hips and his. There's a famous photo of him hoisting a guy up in the air and he's just got this look of rage and he. He's so terrible. It just like embodied those Cold War Olympics where everybody was afraid of the Russian champagne. Shut it down. He was like the real draco but better. That's exactly right. There's a fault.

Speaker 2:          00:22:19       I got to pull up this photo. I think our boy, uh, um, uh, Oh God, um, the Russian, the great Russian MMA fighter. I'm a fit fit or this or he has a little of that, but he's like a little bit more. He's not as. Or is it different? It's a different thing. Brian. Pull. Pull this up, pull up Alexander Curl, pull up Carolyn, and there's a photo of him with a teacher's going, oh dude. It's just is. I can look at that photo. See that photo? That's the one we're looking for. I see that. Let me see. Oh, I haven't actually seen that one. K A r e l l I n. Oh my God. It's so fucking. Oh my God. He's got this photo of him. About to throw this guy for the air. Look at him and me. He's the hulk. Come one 70. That's the real hulk.

Speaker 2:          00:23:09       He's like the real hockey. Doesn't even have a mouthpiece in sending even wearing a mouthpiece as fucking animal horse. He's wrestling children. What are they going to do? Fat in his live fucking wrestling shoulder. He's wrestling. Chill. We're to be that much better at something and everybody else that's just that much bigger than. I mean it's better, but not much bigger. Like that guy was ridiculously busy. Arguably in some ways the toughest, strongest man in the world. I mean if you get a photo of it, it's got to be somebody fucking windows. Oh, it crashed. Why are we still using the picture? Who is a terrifying dude? Who is so God damn.

Speaker 5:          00:23:47       Yeah.

Speaker 6:          00:23:48       You went to a guy that have done it. I should have pinged it. Look at all these heroin dogs. Fighting is different to those. I mean. Yeah. Well whenever strikes. Yeah, it's a different. It neutralizes a lot of stuff. This is not the guy you're looking for. No, no, no, no, no. It's spelled K, r e l I n his name is Alexander Alexander. Corella.

Speaker 5:          00:24:11       Okay.

Speaker 6:          00:24:13       Yes. It's awful. What Bang edits. Dog Change. No, I don't want to bring. It was just kidding. I would never do that. Yeah, that's the dude. Go to images

Speaker 6:          00:24:23       and no one down with him and the tank top gritting his teeth to that. On that shit man. What the fuck did at the arms on him? This was. Are you kidding? That is. So look at that. Oh, that's so weird. It's so scary. His forearms and his. Oh, look at his. The ferocity and his eyes. Looking at this joker face joker face. Craziest thing I've ever seen in my life. That was the real deal. Now that is a naked gorilla. That was the real deal. There's a full photo of that too. Where you get to see his full body. It's even spookier. Brian pulled up, got back to the, uh, there's a full photo. You see his fucking legs go, scroll up, scroll up. Were there. I would always know that son is always where a single let in that this is an even better one way is the whole entire body up there.

Speaker 6:          00:25:11       Then yeah, that's it. Click on this. Look at this shit. This, this is big. This is completely ridiculous. When you see the actual full image and you get his fucking legs, look at that. What the fuck man? What is he saying? Lord, Lord, I'm producing estrogens are insane. That's insane how big his legs guys. But Dude, that poor guy is going to a ragdoll mid, poor that poor guy. So. Okay. So here's the question, what is he a 100 percent roids like there's something going on there. I think I would suggest that it's genetic. If you're born at 15 pounds and if you look at our proportion is body is and the amount of training he does. There are people out there that are genetic freaks that don't need steroids. Yeah. But you know what? I bet it is. I bet it's both because this was Russia.

Speaker 6:          00:26:01       Russia was not fucking around back then. That's, you know, we had victor content on the podcast and one of the things that he was talking about is that the elephant in the room when it comes to women's track and field is that there was a period of time where before they were testing were they still cannot achieve the results that these eastern bloc women got. Really? Yeah. Like this world records and no one comes close when they win the Olympics every year. And he's like, well, they just can't. They can't achieve what these men, women did. So because they just a matter of record or it's just what their times, their ties to the top. No, the Times they, the Times that they had from 10, 20 years ago from whatever it was were they weren't testing with these women that times were stronger than they are today in the Olympics that they are behind

Speaker 3:          00:26:44       the gold metal or behind the world. Brexit, no idea about that. Well, he said it's 100 percent because they were taking steroids. He was a fascinating guy to have on because he fucking saw the whole thing happened from the ground up. You know, he saw people like experimenting with all these different supplements and you know, he, he saw and he, and he's seen track and field athletes like all the sudden get unbelievably good. Like within a year. And everybody was suspicious. Yeah. She's a perfect example, but he's a, you know, he's of the opinion that they all do it. Especially track and field. He said all those guys are on something.

Speaker 7:          00:27:17       Yeah. Well, the, you know, one of the raises the question too, because they took two of the top fastest guys in the world, I think it was Justin Gatlin and then Maurice Greene. I think those are. And what they found was that he was talking about steroids and he said, look, the Maurice Greene naturally has 800 grams or 600 grams of protein, would not grams a 600, uh, uh, whatever that measurement per per gram of blood at 800 you're testosterone at. Whereas someone like Justin Gatlin has 400, so naturally occurring, some people have just more testosterone and usually guys were faster and stuff stronger. Well, we'll then, what does that say about. So if that's the case, is it a fair competition or can this other guy take hormone replacement therapy and bring his up to $800 right there. There's where you get into these weird, weird questions that the, the argument for steroids, you can eat foods that increase your testosterone. So, so they do it very marginally. Maybe, but so where do we draw the line? Like if the technology exists, it's, it's, it's a murky, it's a murky issue, right?

Speaker 3:          00:28:17       It does get murky. If you want to consider a level playing field, there is no level playing field because we have ectomorphs, endomorphs and Meza more's being the body types of ectomorphs are ones who are really skinny. You can't gain any weight endomorph, so the really fat ones have a hard time losing weight or Mesomorphs are those Wesley Snipes looking dudes? Just look. Just ripped and muscular. You look at Mike Tyson, classic Mesomorph, you know, classically muscular. Yeah. That certain people that just Bruno Shapes for Cheick Kongo, the extreme force, you, you know, you, you can't. Some people can never achieve that physical frame. They just, they can't naturally. So what is the what if a pill came along and all of a sudden you turn some dude who's got Ralphie may's genetics and all of a sudden

Speaker 7:          00:29:09       the problem then becomes that competition is all about the best chemist. I can understand the argument steroids because total now that we all know that human beings, if they want to win something, they'll do everything including sacrifice their own health to get to a point in time,

Speaker 3:          00:29:21       but then there's a guy like chlorella and it doesn't matter what the fuck you do. It's like there's certain dudes where there's so much of a physical gift. It's almost impossible for you to overcome it. There's that. There's a level, like the idea is that if a person is super athletic, that can't be smart as well. That's not true, unfortunately. Unfortunately that guy can fuck you and probably beat you in chess. Chess, yeah. It's just because someone is big and athletic, like that's a terrifying thing for someone. Someone who's intellectually dual them and still kick their ass and named Mark Court told me that GSP is a great chess player, like a phenomenal chess player. GSP is an unusual human being. He's very, very bright guy. He's very open and honest. Like he's one of the rare fighters. It talks about being scared and you know what went through his head.

Speaker 3:          00:30:08       Yeah. Yeah. He's, uh, you know, like about what makes them insecure and apparently he's got this crazy thing about aliens. Oh No. Yeah, yeah. He's uh, he's terrified about aliens. I'm finding him in the middle of the night and abducting him, but there are other things to worry about. Georgia has a path to get out of his house in case of the len come to my house. He's got to be kidding. No, no. He really is obsessed with aliens. Really? Yeah. Yeah, yeah. It's so much so that they filmed a lot of shit and they wouldn't even use it in the countdown show. I don't know who didn't like it. Dana or someone, you know, someone made a joke about it and it tell you about everything. I think it's ridiculous to not leave it in because I think it's another little layer and the guy's cake.

Speaker 3:          00:30:51       The guys that used to look, he is a bonafide bad motherfucker and anybody who thinks he isn't a bad motherfucker because he is scared to death. It's so silly. He's George fucking cop. I let him tell his story. It's probably interesting. The aliens come from me in the middle of the night, you know, I've had my acl repair. Hey, I'm. I hear through the grapevine that Mr Nick Diaz, who I love, but my favorite fighter and a lot of ways he wants to fight Mr Anderson Silva. Yeah, he'll fight. Anybody fight fate or he'll fight anybody who doesn't give a fuck. He's a real fighter sting match. I think that Anderson would kick it, kick him in the face and all that, but it did. He's not afraid of his boxing. I mean he boxes a lot and I. It seems like he would be a guy who could certainly stand and trade as opposed to him Damien Maia and and or forest griffin doing with Anderson.

Speaker 3:          00:31:45       I think that if anybody could actually, who's a pure boxer who trains with real boxers and is a pretty good boxer, he might. He might be able to answer ideas first of all, takes an unbelievable shot and he could take a hell of a shot. He's super determined. No one's got wind. Liked him. His endurance is preposterous. Endurance is completely preposterous. His, his endurance is preposterous. It is flip your swims back from Alcatraz for like a Goof, so we're getting the ocean and swims from Alcatraz, like his endurance is freakish and that's one of his, one of his strengths and everybody's got to be scared of that shit. But Anderson's never showed endurance problems. He tapped Chilson in the fifth round of a fight. He was getting his ass kicked in so he's never had insurance problems. But I think that Nick Diaz is, he's a difficult to do to crack.

Speaker 3:          00:32:34       You know, like you look at like really good start because like Paul Daley, Paul Dale is a dangerous fucking strike. Decided to stand and trade with him. He's a much better rest. I haven't standard trade on. By the way you hit me with a left. Watch this. He goes down, gets up, Bang with the left will not only that, such a true fighter and I'm on the ground and nick is so good at wrapping you up and you have to look after that armbar man. That shit comes quick. He caught Cyborg and an Armbar Cyborg. Never saw that. Common Cyborg was blast and him would lead. Kicks to, but it didn't matter. It was like, it was almost like he was just holding off the charge. Who just holding off the time. We'll get you. I'm gonna get. I'm gonna. Get some finally Cyborg. Like the pressure of constantly coming at him.

Speaker 3:          00:33:08       So I've walked into, and by the way, Kim down in nick had them arm barred and like, no time. Yeah, he's an interesting dude. Physically, he's, he's smaller than Anderson, that's for sure. You know, he's fought at 55. He's got to walk around. What is it about six one? Dick is at least six feet tall. Six 1:10. Anyway, he ways he walks around. And what do you think? I don't know. He's pretty healthy, so he's not the type of dude that would gain a lot of ways. He definitely never gets fat. He's like very strict. This diet. I think he's mostly Vegan. He's drinking Kombucha all the time telling me that. Now I'm going to start doing the Nick Diaz Diet. Well listen man, if you talk to guys like rich roll or any of these like ultra endurance guys like you know there's, there's no better way to keep your body energized and constantly eating fresh vegetables, high, high, high carbohydrate, complex carbide. Yeah. I don't think for ultimate performance though, for especially explosive performance, I don't think you get the same results according to scientists. You know, the people that have actually done studies shows that there really are some benefits to a complete. It's a complete protein. Yeah.

Speaker 7:          00:34:12       The thing about being a Vegan as you can get your protein, but it, I think the proteins at the end of the day or whenever they start to cohesion, they sort of can't. They pick up where the other ones left off. So beans are one nuts have protein in and you had enough of that you'll get a complete protein, but meat is a very calorie dense energy dense, a complete protein. It's just better and most. By the way, most most cultures, and you know this from the guy you had on, I'm sure he talked about it with the Paleo Diet, most hunter gatherer cultures, the way we came up, we were strictly carnivores. I mean, if you look at where we went hunting, try planting anything there, you would have had to live off animal protein

Speaker 3:          00:34:52       for the most part. There's a lot of parts. We were in Montana, we went hunting for this, uh, Steven Rinella show. It's called the mediator. And the mediator is his second show. He had this other show that was on, um, I think it was on the travel channel. It's called the wild within. It was really cool. Show where you go, like he went where Lewis and Clark went and the, uh, a shot a moose and made a boat out of the Moose and fucking shot loose with a musket and made a boat out of the Moose. Yeah, yeah, yeah. I like the way they would have done it. It was really interesting. I make a bone out of a moose. So Brian and I went hunting with them. We went to a, I talked about it with Ari Shaffir already, but we went to Montana to what used to be the great inland Western, see the Great Western inland sea, which is fast willing to a part where he

Speaker 7:          00:35:35       lewis and Clark said they, they as went through it, they were like,

Speaker 2:          00:35:38       we think we saw some signs of native Americans. I mean not even the native Americans lived there, but it was a hunting role, but you couldn't live there because you could grow. Nothing crazy. I use also weird how much ground we covered, like wake up really early in the morning and then we'd, you'd go, he'd be like, we'll go over that ridge. I was like, that rich has a mountain range. Is it shit as far right. But you could actually climb it because it was made a clay and it stuck to your feet, you know? Well it was really difficult when you're on the edges because it was just so slippery and your feet would waste so much because the, the bottoms would be caked with this shit. And I remember when I glassed the field, I'd take my binoculars and look out for game glassing the field is a, as a hunting terminology, don't worry about it.

