Speaker 1:          00:00:00       Mm,
Speaker 3:          00:05:58       That was irrelevant. It was there because the British used to come and occupy our homes, steal our stuff. So the British cars, the Second Amendment to happen to where our forefathers says, no, we're going to allow the people to be able to defend themselves against oppressive government. So do you think that the opposition to it is just a lack of foresight? Like the, the idea that you're living in this time where for the most part things are very peaceful. It's probably the most safe time ever to be alive and that people have forgotten that it's entirely possible that tyranny could erupt at any moment. Maybe so. And they don't realize that maybe, maybe we, you know, you got to movements that happened this year. You had the Bernie Sanders Movement and the Donald Trump movement originally. They wanted the same thing. They could never get together though, because once the firefighter left the others, the firefighter, right, but that what they wanted was a turnover in Washington.

Speaker 3:          00:06:58       They were sick of business as usual. Let's run these bums out, let's start fresh. That's what they're two movements were about and the more we're seeing day to day, I mean, I think Hillary Clinton is obviously a more rational choice than Donald Trump. She's obviously a person who speaks better, a better representative of the people. She's intelligent. She's measured unless she flip flops constantly, constantly. But she's obviously deeply, deeply embed with the banks and special interest groups in this most recent wikileaks release of emails. It shows that she's been, she's been with talking with bankers, making sure that marijuana stays illegal. I mean, this is something that she has vowed to push back against with all of our might. And that's a disturbing thing to see in 2016 because my, uh, you know, there's more people locked up. I don't know if people know this, but there's more people locked up for marijuana in this country then for all violent crimes combined.

Speaker 3:          00:07:58       And that is terrifying. It's horrible. It's terrifying. It's horrible too. When you get to. Like when I did this book and went into the history. What's terrifies you there is that our history books, our government written with the government's view of history of what they want you to know because what astounded me in doing this book was to learn that marijuana was the economic backbone of this country for its first 160 years of existence. That if George Washington and Thomas Jefferson were alive today, they'd be raided by the dea. They'd be doing 10 to 12 years in the federal penitentiary for being major drug dealers because they both raised massive amounts of marijuana and sold it. And and there was a time that England, when we were the colonies forced us to

Speaker 2:          00:08:56       grow it because they needed it for their sales on their ships and the rope and so that they could colonize the world with their navy and they forced us to grow it. And here you have a product and now all the. The reason that I personally have gotten on the bandwagon, and I've made this a personal focus is because I had completely lost my quality of life and marijuana has given it back. How so? Well, I won't say because of privacy, but someone extremely close to me, developed epileptic seizure disorder and was seizing three to four times a week and I was taking care of these seizures three to four times a week. If you've ever dealt with someone with a seizure disorder, it's a feeling of helplessness. It's a feeling of pain. You can't even imagine what that person's going through. This is the person taking care of them, and if it's someone you love, the pain is unbelievable, and so the person was put on four different, one after the other pharmaceutical medicines for seizures, right?

Speaker 2:          00:10:08       None of them worked. They all had horrible side effects. The seizures continued for two over two years. Finally, in desperation, we went to Colorado. The person got quote, medical marijuana, three drops under the tongue three times a day. Amazingly, the seizures stopped. You have a good friend whose son has an amazingly. Now the person's completely weaned off all pharmaceutical and that's now in pill form. The person takes a pill in the morning appeal at night and has been seizure free for two and a half years. Now they've taken a pharmaceutical based Pilliga, Marinol, or they know they're taking real. It's the other stuff. The O, m, the other. Not The thc, but the other thing, cbd. Yeah. That person needs the seat and fact this person takes zero thc. All CBD, so they're not psych. It's not psychoactive. What's at all, which is really a non [inaudible] non now not even if it were.

Speaker 2:          00:11:09       Who Cares? Exactly. You know, like my friend Tommy Chong told me, Tommy Chong said there should be no difference between medical marijuana and recreational. He said the entire plants medical, those that are smoking it for the euphoric feeling are doing it for mental health. Oh, absolutely. Yeah. So how do you get through this life if you can smoke a joint in the evening and it makes you relax and what's the matter with that? What's the difference between that or having a glass of wine or having anything else while we're just victims of the propaganda of the 19 thirties and whether people know it or not. It was all organized by Randolph hearst and race spacing, race based, and William Randolph hearst who owned hearst also earned, owned a bunch of paper mills. He owned these factors of Timberland and they came out with a machine called the decorticator, whether people know this or not, and the decorticator made it economically easy to process hemp fiber, so they came out with this in the 19 thirties and the popular science magazine at the time.

Speaker 2:          00:12:14       It had a cover that said Hampton new billion dollar crop based entirely on this new invention that decorticator because before that they used to use slavery than when the cotton gin came around. They use cotton instead of hemp because it was easier to get your enjoyable because I don't have to say all this was one of those things that I've always forever tries to be fucking crazy. After you've done your homework, it's wonderful because usually I go on a show, I'd have to do the explanation, you know that, but with you, I don't have to. You know it already. Well, William Randolph hearst was a real piece of shit. He really was. He was in charge, not just have these paper mills, but he was in charge of disseminating the news. I mean this guy ran hearst publication 26 newspapers in all white rug, country and marijuana, two to race bait to blame the devil weed that black smoked and then they'll rape your daughters and your children and your wives and all that, and Lazy Mexicans.

Speaker 2:          00:13:14       That's why they lay around and these brown skinned people, these Mexicans are all smoking pot. You live in Mexico after about four months out of the fuck is less lazy than Mexicans, Mexicans, illegal workers I've ever met. Exactly. It is one of the dumbest stereotypes. All time. I'll Mexican gardeners go, oh, I'll tell you this. I live off the grid I live where there's no electricity and our from pavement and an hour from electricity. A neighbor built a home down there and I had nothing to do, so I'd go watch it everyday. That's how I lived down there and I watched these Mexican workers build a whole lot of cement from scratch. They didn't have electronic cement mixers. They mixed every bit of that cement by hand and one day I'm watching me. No, the rebar, two guys had to bend rebar by hand, jerking on it with a pipe to put it at a 45 or 90 degree angle, whatever it was, up to code to inspect that building.

Speaker 2:          00:14:20       Well, the point was, I started laughing and I said, you know, if you brought the American construction worker down here, he'd quit the day. You will quit in a day where because all they do is deliver raw materials and these Mexican builders would build cement houses out of nothing, out of raw material without a bit of electricity. Yeah. I'm a big fan of Mexico and I love it down there. I love the food. I love the. I love the life I lead down there because it's the exact opposite of here. Down there. I live off the grid and I only pay attention to what I can see. That's nice. Relax. Called flushing your brain out. My family lives down there. My parents do. Yeah. They decided to chill out down to Mexico to only do the retirement thing. I'll tell you what else is great to taxes and we always laugh at the Mexican government.

Speaker 2:          00:15:17       Oh, they're corrupt. They're this and that. On property taxes, they are way superior to us. That works down there. No. Here, at least in Minnesota, which is pretty much universal. If you buy a home and you're a good citizen and you fix the home up and improve it, how do they reward you? You pay more for your taxes. Go up for being a good citizen. So using their analogy, you should buy the house, let it become the shit hole on the block and they'll reward. Yeah, you'll pay less. Here's how it works. In Mexico, Mexico, you're taxes are due in March. Property taxes, if I pay them in January early, they knock off 20 percent. If I pay them in February, they knock off 10 percent. I go down January 28th, February's a short month, so in 30 days I get 20 percent on my money legally. Tell me where I can do that.

Speaker 2:          00:16:18       That's pretty beautiful. Twenty percent in 30 days. Now granted it's only a couple hundred bucks because property taxes are cheap there anyway, but that's a couple tanks of gas for my pickup truck. Do you feel weird living down there? Not a bit. Not at all. No. No. I don't even know the language. You don't know Spanish now. Why don't you know? Because I've never taken time to bother. I get it down there. You just basically talk to me. Well, between what they know of English and whatnot, I know of Spanish and to mining, we figure it out. Wow. It's like, okay, all you got to know to survive in Mexico is one word, which is just look at all. No, look, not all. Uh, that's high. I see. I know a little bit now. No, no. You look at it and Mexican smile at them and say Cerveza and you'll get a smile back.

Speaker 2:          00:17:12       Surveys to see. Oh, so you just getting hammered all the time, just say beer to a May. Love to drink beer so that will smooth out any situation. Just smile and say Cerveza. Most people don't know also that almost all drugs are decriminalized in Mexico in, in response to the drug laws and the drug war starting to get there. The Supreme Court ruled on for people, but only those four people can grow and half pot. It takes three more cases before it becomes the law. Yeah. I don't think it's legal, but it's decriminalized like mushrooms at decriminalized getting their President Fox, who was my friend, he came out and said he wants to decriminalize. Said I'm a rancher

Speaker 3:          00:17:50       farmer. I want to grow at your friends with the president. Yeah, that's pretty dope. I knew both of them saw a fox and a who was before him, a well member. I was a governor. I went there on a trade mission. Oh, and that's Fox and Fox and I actually Fox and I actually established a trade thing in Minnesota via Mexico because when I was down in Mexico they took me to the, uh, to the corona brewery and when they took me, there were pallets of corn all from Minnesota. Yes. He actually send their corn from Minnesota to make corona beer. So when you say, I would assume that like corona is such a weak beer and as soon as it's probably grown in America. No, it's corn, but it's United States courts. Minnesota corn. That's free. That makes corona. Yeah. Gluten free. Like if you're one of those gluten free fucks, you can have a corona.

Speaker 3:          00:18:40       So the one of the few beers I think Heineken to some rice based beers. I think budweiser actually leave it in corona though. They get all the. They get all their corn from Minnesota. So you just surveys ended up back there? No, I don't drink. I don't even know. Drink. No. So why do you say Cervesa for your friends? Well, because that means beer and Mexican and all the Mexicans love beer. Oh, I see. That's why if you just smile and say surveys, Adam, you'll get a smile. Surveys. So see. Oh, okay. So you're not asking for. Well, I'm not asking for one. Oh, I thought you were just doing gay friendly. Oh No, I don't drink. So what do you do down there? I wake up in the morning with nothing to do and when I go to bed at night, I'm half done.

Speaker 3:          00:19:20       Ah, can you tell? I've been asked that answer. You can tell. No, I stole that from a friend down there. He said at one day and I said, can I use that when I do an interview? He said feel free. So I wake up in the morning with nothing to do and by the time I go to bed at night I'm half done. Well you obviously wrote this book so you're doing something. Yeah. So why, why do you write books? You just get bored and you know, I write them if I'm motivated. So you got motivated because of this epileptic seizure issue. I don't know if you've ever paid attention to this, but, uh, the navy seals had an issue with epileptic seizures as well from the rebreathers. Um, apparently there's something to do with getting the bug. I found out about it because I started, um, uh, eating a ketogenic diet, getting my body to process fat instead of carbohydrates, and one of the reasons that the seals are looking into this is because it prevents seizures in people that use those rebreathers as opposed to, uh, you know, the ones that don't make bubbles.

Speaker 3:          00:20:18       Yeah. I used them all the time. The Emerson, I dove them. That was the majority of the thing I dove when I was getting there and I never had a seizure. Let's not, I never heard of anyone having a seizure. Some people have them apparently. I don't know. I never heard of it the entire six years I was in. Well, it's also a epilepsy in children. They've used ketogenic diets to, uh, to control epilepsy in children. But again, like you were saying, there was another big. I would think this, I would think if anyone had any type of seizure disorder that would him

Speaker 2:          00:20:48       from the seals. Yeah. I don't think it's a disorder. I think it's a direct result of using the rebreathers yeah. But I would think anyone that had that result from a rebreather would be washed out. Yeah. You think right? Well, because you couldn't take the risk that the person would have to do that job and could have a seizure while attempting to do it. Yeah. I don't know when the seizures occur. I don't know if this is the first I've ever heard of it. Dr Dom D'agostino, who is a, um, one of the premier experts on a ketogenic diets and nutritional ketones. He's, uh, he's spoken about this and I've read some other articles about it as well about where you've got to be with kids with epilepsy. You gotta remember when I was in the teams it was a whole different mindset. Well, it wasn't even called the seals back then, right.

Speaker 2:          00:21:35       You recall the ball fields to were underwater demolition teams and the shields both. It was called Udt seal bugs, bugs. Bud stands for basic underwater demolition slash seal. What happened was we were the frog man in in 1962, John F Kennedy had enough foresight to realize that wars would be fought by small units from now on, so he took the frog men out of the water and he put them on the land with an executive order because up until that point in time, the navy could go, not go past the high watermark. From that point, it was the marines. He required President Kennedy to sign an executive order that allowed the navy to go past the high watermark, which he then created. The Kennedy came out of the Navy, so he took the navy frogman and put us on land and they re re named distend seals, which the acronym seal stands for sea air land teams, which means we come from the sea, we come from the air, and we come from the land.

Speaker 2:          00:22:44       Any of the three. That's interesting. That's where the. That's where it all came from. Kennedy Forum to seal. He took the frog man out of the water and put him on. The marines were angry because they felt that the land was theirs in the navy. Shouldn't be there. That's always been weird to me that the rivalry between military units, you would think that the United States military is one big team? No, because if you're not in a common war then you got to fight each other. Isn't that bizarre? Yeah. People are fucking crazy. I went crazy. When you're in the military, it's just your. Your mindset. Yeah. You know, it's your mindset and you get bored. So if you haven't got an enemy to fight, then you fight the other. In the bars, you fight the other surfaces. So we used to do it all the time. We did trouble all the time.

Speaker 2:          00:23:33       No, but doesn't that seem stupid? I mean as well. One big team wore stupid and if so, why? So why? Why wouldn't there be stupidity along with wore that? You're dealing with people with major egos, high testosterone rate and their and their warriors. You know when you play that game, that's a game for real. You know, many times you don't come back and play again. They didn't like football and he didn't like any of these sporting events. It's A. It's a game of functionality. Did it feel like a game when you were in the military? No, it was my job most. Well, again, as a pro athlete that your job too, it feels like a job. It's your job, it's your job, but it's also your life. I mean it's not a volunteer job, but you volunteer of course, to go into the budge, you have to volunteer, volunteer unit. You can volunteer in, you can volunteer out.

Speaker 2:          00:24:34       It's whether you want to do the job or not. When all that shit went down with Chris Kyle and the. When he said that he punched you in a bar and get you sued the family like, no, I didn't. Well I didn't choose glute ham rather. Excuse me. I shooed him and he died and then the shoot automatically goes to his estate. That's the way the legal works. She was never in any jeopardy because in any writers contract you have insurance from the publisher, so it's me again. They portrayed and I became the villain going after the widow and the kids. Exactly. That's the biggest lie. It was a big insurance company that's covering the whole thing. They're not out a penny and they won't be out of pain that you had to explain it, I'm sure over and over. No, I couldn't explain it, but the tie, the trial got overturned because the insurance came out, so it's okay to lie in court, but if the truth comes out, you can get a new trial.

Speaker 2:          00:25:30       The insurance came out. What does that mean in court? You're not allowed to say that insurance is paying for everything, even though it's the truth. You're not allowed to say that in court. So what happens when you say it in court while it came out and the judge allowed it to a limited degree and then the appeals court ruled that the judge shouldn't have did that because having the judge say that it sways people. They think that if it all against insurance companies, because insurance companies a big. Even though the other side is doing what's called poor morale thing, they're getting up and saying it's taxing them financially and lying insurance is paying for all of us. Don't get up and lie about it. So the other side was saying this is going to devastate our reality. Trying to influence the end and in this case, let me state this. How overwhelming must be evidence of Ben for the jury to go against the grieving widow of the dead war veteran? Yeah. It must be pretty overwhelming. The evidence was overwhelming. The the, the jury went from. They came for me. They said he was lied. This didn't happen and we're awarding. Why do you think

Speaker 3:          00:26:43       he did that? Did you know him? No, you didn't know him, know him. I know even thing happened. We were there on the same nights we were at [inaudible] because I was there for a graduation of class 2:58 AM, class 58. It's traditionally every hundred classes if you can, you come back to the graduation. So class 2:58 was graduating the next day on Friday. I came out along with my team mates from 58 to attend that graduation the next day. So why would I say bad things about the seals if I'm there? That's what he said he punched me for will tell, because people don't know what we're talking about because probably a lot of people listening to this have no idea what we're talking about. So let me just fill my real clear right. The, the book, American sniper. The movie with Bradley Cooper was just giant hit movie, very patriotic movie about a guy who was one of the most successful snipers in US history, right?

Speaker 3:          00:27:43       A very successful warrior, navy seal, war hero. Everybody loved him. Then he goes on the opiod, Anthony Show and he says that he punched you out. Know there's a chapter in his book where he writes that he called me scruff face. Yeah. And you said that. I said seals deserved to die. That in other words, she accused me of treason. Yes. And I was out there for a seal graduation. If I felt that way about my old unit, why would I be attending? So he wrote in the book, He gave you a nickname in the book, scruff, face, whoever. I mean he might not have, even when he wrote it in the book, he might not have even thought that it was going to give that to you. I mean, who knows what was going on. My thought was at the time I was trying to wrap my head around why anybody would do this and I was thinking, well maybe he's just trying to generate as much controversy as possible to generate as much income as possible from his book.

Speaker 3:          00:28:39       And it just got out of hand. I don't, I mean, I'm sure I was trying to put it together because there was a couple of other fabrications, right? There was a, um, a shooting at a gas station that never took place. And he said that he, during Katrina he was on the home and shot people who were looting. Yeah. That was disturbing because that's murder. Yeah. And he also lied about his medals. The navy had to come out and. Correct. He said he had two silver stars and five bronze stars. He had won silver star. And three bronze star. So we lied about three medals. Well that's one in three is impressive enough. Exactly. Yeah, exactly. And then they try to give them an excuse saying, well, he was confused. No, you're not. When you get a medal like that, it's like graduating from college. They give you a certificate that puts on your wall. If you win the bronze star, the Silver Star. But as a, as a seal yourself. And he threw me under the bus. What does that feel like to you? Because reason. But this is obviously, this is something that's very near and dear to your who? Hugely.

Speaker 2:          00:29:42       He has made it to where I can't go to a reunion anymore. There were 170 seals that wanted me kicked out of the Udt Seal Association over his lie and the lives of his buddies who came up and tried to testify for them. So what it. It got embarrassing? His trial said that it actually happened. No, they couldn't say it, but they tried to say everything else to make it seem like it did. Well. How the hell they do that? Well, because they dance around the questions and the lawyering and well, you have to piece together. There wasn't one witness that saw me get hit and there wasn't one witness that heard me say anything. See attributed to me. And weren't you visible the next day? No photographs that night. Them posing for pictures with me. If I had said all this stuff, why would they have take pictures with me?

Speaker 2:          00:30:36       What is that feeling like when someone just fucking lies horrible and when it makes a lot of terrible, terrible. And what's worse about it is the media jumps on it and convicts me of it because why they broke the story when I went off the grid, Mexico where I couldn't even come back. So they broke the story. Do you think they knew? I'm starting to believe that, but weren't. Didn't it happen on the opiod Anthony Show? Yeah, but I don't think that was planned because I know those guys, but there was the whole ball. They all show did it. He did it that day on O'reilly later that afternoon. So he wants. He named you. He just started naming you ever. Oh yeah. Then it went viral, it went viral, and everyone convicted me because they said, well, this Iraq war veteran wouldn't lie. Really? I just, I watched a.

Speaker 2:          00:31:28       well, let me tell you all that. It's destroyed my life. I can't get hired for a job during my trial. After it was over, guess what happened? Thirty four major media conglomerates entered the, the, the, uh, the trial with that Amis Ama, cc, they call it or whatever have of influencing the court of appeals to overturn my verdict. And they did it. Thirty four media conglomerates that New York Times the Washington Post. All of these media conglomerates appeal to the Court of Appeals to overturn my verdict. But why? Because I won on something called unjust enrichment. They want the ability to be able to defame you and profit from it. In other words, I'll put it what they had, what these judges accommodated them with. There's gonna be another trial. They've ordered a new trial. So I got to go through it again, but I'm glad because when it comes out to juries and two judges find kyle guilty who's not going to believe it then and.

Speaker 2:          00:32:33       But the point is they. They've ordered a new trial, they've, they, they throughout the whole verdict of the jury, the federal judge who wrote substantial evidence supporting the jury's verdict. They did all that and they violated their own rules. A 76 year rule. Here's what it states if, because it happened during summation, where the judge allowed it in the my attorney, it ended up for questions in an 11 day trial and a half, a page of a 20 page summary and it was overturned on that and they overturned it because they felt that it was undue influence on the jury that they found out that insurance was paying for everything. So as one factor, well, and here's the deal. If the rules state that if in final argument they say something, you must object, you must object. So the trial lawyer as a chance to rule during final argument and the jury has a chance to hear the ruling, they never objected

Speaker 4:          00:33:37       dead, so they must object to undue influence because of the fact that it was

Speaker 2:          00:33:43       wait, they never objected. The jury was dismissed at 1158 at 12. Oh two. They then objected. The judge overruled him and we were done with it. Well, these two judges, Riley and shepherd have now overturned the case on something that was never objected to in trial. They objected to it, so they overturned the jury and the federal judge Van. They also overturned my unjust enrichment claim because the media didn't want it. What they've allowed now is the media can defame you and profit from it and you can't get any of their profits and no matter how they harm you, while that's the equivalent of if you went out and robbed the bank and they caught you and they sentenced you to two years in prison for the bank robbery. But when you get out, you get to keep all the money you took. So that's in this particular, this particular, which will now be the standard, there's they've ruled that way, they now make it to where you can profit from wrongdoing because of this case. Yep.

Speaker 4:          00:34:54       This is such a touchy case because it's so indicative of the complications of people because people are not simple. It's really very touchy. He lied. He did lie, but to me with his lie that. But that's not what I'm saying. What's complicated is he's also the subject of this gigantic movie and this symbol of patriotism where so many people will say, Chris Kyle, rest and peace. So many people would have a cloud. That was. Someone took a photo in the cloud and that's on a cloud. That's Chris. Chris Kyle. It'll look like a sniper in the car in this. It's Chris Kyle guiding a, guarding the skies. Like it became a meme. I mean he became this where it wasn't. He was a representative of the brave military, like the portrayal, but honestly the betrayal that Bradley Cooper played in that movie, that movie was so simplistic and so it was, it was like a brand of a Joseph Campbell. Okay,

Speaker 2:          00:35:54       perfect. Hero's journey. Had I not gone to court, that would have been in the movie. Really? I had to stop it. They were going to have him punch you in the movie. Well, the book, Holy Shit. And I had to stop it because I know when we were, when we were in trial, you know what they tried to do to diminish my role because when they knew they were going to lose their lawyer got me on the stand and he said, Mr Ventura. He said, would it surprise you to know that the first draft of the movie doesn't have you in it? Trying to prove how insignificant my first draft of the movie. That doesn't mean shit. Well, the first draft of this.

Speaker 4:          00:36:37       Yeah, but so what if the second draft? Yes,

Speaker 2:          00:36:38       you ended though. I said, here's where my response. I said, no, that wouldn't surprise me at all because I said we've sent two letters to warner brothers warning them that if I am indeed in in this movie, they will be next to be sued. So we put Warner Brothers on notice that if this chapters included your movie, you will get sued next and you know, people out here, they don't want to step into a lawsuit. That's the only thing that kept me from being punched out in that movie and portrayed me as a villain in that frickin movie,

Speaker 4:          00:37:14       just to fill in way more than a villain. Right? I mean, that is insane. It is insane because what's. What's crazy to me and what's complicated about this is that there are thousands and thousands of brave men and women who have risked their lives, sacrifice their lives, and this guy becomes. This is for your head and where is he rises above including me, including you. Yes, very important, but he rises above all of this and becomes this iconic figure. Yes. This iconic figure that you can't tarnish and then the truth is irrelevant and they're willing to sacrifice people like you and the truth just for this overall image of patriotism. Yup. It's crazy. What a crazy place that must've been for you

Speaker 2:          00:38:00       still is. In fact, do you know that this person that I told you about, what the seizures, the seizure disorders started right after this. I'm sure she didn't die from doctors have said seizures can be caused by stress. So I hold Chris Kyle directly responsible for the seizure disorder also that I had to face that marijuana cured. Did you ever communicate with him face to face? Only one set. The first, uh, when we first in June, I didn't even know who he was. And then at, in June of 12, after the book came out in January, we had a settlement conference where he kept saying that if he met me in person, we could work it out. So at this conference we agreed I would meet him in a room, the judge in the corner and just ski and I, like you and I are here.

Speaker 2:          00:38:52       We sat down in the room and I looked him right in the face and I said, why did you do this? You never punched me. He looked me back and said, yes I did. I turned to the judge. I said, there's no need to go any farther. I said, if he's not going to admit it didn't happen face to face one on one and I challenge his courage because yeah, he had the courage to go to Iraq. He had the courage to shoot all these people, but he didn't have the courage to tell the truth. Daddy, what a bizarre moment that must have been sitting across from that guy. Yeah, and he looked at me and said, yes, I did. What was the look in his face? I believe, and I'm not a doctor, but I've done some studying. I think he was a sociopath. Sociopath can lie and hold a straight face and they lie to the point where they believe their own lie. How bizarre is it that this iconic figure? Well, and then look how he died. Yeah. Well, he had no training and posttraumatic stress. He's not medical and yet he's taking this marine to a gun range. Who suffering from posttraumatic stress wouldn't common sense tell you not to put a weapon in the hands of someone suffering from posttraumatic stress.

Speaker 2:          00:40:11       Stress is different. What do they tell him to man up? Why would you put a weapon in somebody's hands? Who's suffering from posttraumatic stress when you have no medical training? How is quite qualified to treat this guy? Well, I would assume it would be based on his own posttraumatic stress, but he didn't have it. He didn't have it at all. He was never treated for it. He may have had it. Maybe that's why he did what he did. I don't know God, what a crazy place today, but. But the. For me, it's like I've been accused of something I didn't do. I don't even know the guy. Never. I may have met him that night. Briefly. Let me some it. I obviously didn't get a one 1000000th of a percent of the amount of hate that you did, but just read. I got read off September 11th of this year. I was in New York doing this book tour and I got read off in a hotel lobby over this. What does that mean? Read off? A guy yelled and screamed at me in front of the entire hotel lobby, Jesus Christ. That's what I live with now and I haven't been damaged. My reputation isn't damaged over something I never did. What I was gonna say is I obviously haven't experienced one, 1000000th of the hate that you have, but I read.

Speaker 4:          00:41:34       We read this article on the air. We were trying to figure out what happened when your case was going on, and so we read this article that was, I don't know, it was in the New York Times, see if he could find the article detailing all the various lies. Oh, that's an Yorker magazine. New Yorker in married. They did an investigation of him, but it's stunning and just reading that the the fucking amount of hate tweets and facebook tweets and you fucking coward and you this and knew that. I'm like, Hey, I didn't write it. Okay. I'm just trying to figure out what the fuck is going on. If someone puts something like that in the New Yorker with verified claims. I mean, everything's verified. What they were saying that he said and what actually had happened was all verified. It's very, very, very confusing that somehow or another this slipped through the cracks and that this became their iconic figure. Again, not discounting along with you. The thousands and thousands of patriotic Americans that risked their lives

Speaker 2:          00:42:30       to. Nobody's denying. He wasn't a great sniper. Nobody's denying he didn't do his job. I've never denied that from him or said that about him. He, he may be the best. I don't know. I'll still put my money on Carlos half cock though. The marine as being the best sniper. Well, especially now, but uh, but uh, he, he did his job and he did it well, but why did he have to take an old veteran that would be like me taking a world war guy and throwing him under the bus. Why the fuck would he choose you? Because I had fame. He, I think he got jealous that night. We were at the bar because everyone crowded around and wanted their picture with me. Wow. I don't know. He'll never be around. Answer it. I'd love to know why he picked out me. I think because I'm probably the most famous maybe, or I develop to be the most famous seal other than Dick Marcinko, the rogue warrior. Great books. Read his books. He's a friend of mine. Richard Marcinko. Yes.

Speaker 4:          00:43:33       Sat down and you're talking to this guy. How much time were you actually in the room with them?

Speaker 2:          00:43:37       Oh, a couple of minutes. Was all the minute. The minute he looked me in the eye and said, I sure did he hit you. I turned to the judge, said, we got nothing more to talk about. You didn't want it. I offered him. I said, if you will walk out to be with the press and admit you fabricated this story, I will forgive you in front of the press and we will go on with our lives. He would not do it. He did not have the courage to stand up and tell the truth.

Speaker 4:          00:44:08       It takes a lot of courage to admit you lied about something that massive. I mean, this isn't line about speeding, right? This is. This is a massive, massive.

Speaker 2:          00:44:15       What about ruining my life? Ruining my reputation, ruining my wife's life route. I lost my conspiracy theory show because of it real. I can't get hired right now. I can't get a job. My last job on the Internet at Aura tv because the owners Carlos slim from Mexico. From that you know who I'm hired. Do you know who I work for now? The Russians. Russian TV. Our, the only people that will hire me because 34 media conglomerate centered this case to overturn me. You think they're going to hire me now? Explain that. Why do you think they did that? Do you think they did that? Because if they overturn your case, if they can somehow or another because they don't want to check. But is that it or is that discrediting you in like that was a gigantic hit movie. But if they, if they can discredit you, it makes that movie still valuable.

