Speaker 1:          00:00:02       Good.
Speaker 3:          00:30:34       Like, uh, just like sex questions and stuff. I don't remember because it was so long ago. I forgot I even did it. But, uh, Felicia was on the other day and listening to Lee on that, like he's leads never been to a strip club before, but his little voice when he chimes and he's like, I've never been to a strip club authority. Never been scared of him. He said, I want to take that guy to a strict so bad. Why is he scared? He don't know. He, I think it's a money thing because he's just like, I just don't get it. You pay the money. Then they tried to get money that someone told a story recently about Jeremiah Watkins trying to took them to a strip club and he freaked out and just like ran out the back base. Same kind of thing. Like he, I don't know if he's ever been to one or doesn't want to go or.

Speaker 3:          00:31:18       Yeah, he uh, he looked at the ground and walk from the front. Never looking up all the way to the pack out the back door. Yeah, I did. I did get a day. It, it's just crazy. I did a show with George Perez and Compton at a strip club in Compton. And let me tell you, man, that was one of the most eye opening like, that exist. We walk in, there's stripper. The stripper just came up to me and he goes, hey honey, look at this pussy ass all the babies. You want to get it? He wants some of this written. I'm like, Whoa, what? She look like a, like a baby Mama. Like I don't know, address that's still baby hand sticking out of her probably blue baby here and shoot. Attractive. No, there was, there was a few, but then every time you talked to them you're like, Oh, if I fuck up, I'm dead.

Speaker 3:          00:32:08       You know, like she was like, yeah, it was pretty crazy for hostile. What about the clientele? Uh, well they, they, they were mostly there for us, like they, George just pretty much we had the whole club board ourselves. I've always all people coming to see the show. So it was strippers too though. And strippers to what was the idea that you would get people in there for the show and then the girls would dance for them afterwards? Yeah. And while we're doing the show, they were coming and sitting on table and hey, you want to go get him? But sex upstairs just making that up.

Speaker 4:          00:32:40       Or was it was it was foreign. Whatever you want. Pretty much play, but I even fucking scary. Yeah, if you go to a bad neighborhood, I mean there's levels to everything, right? Like the, the levels of stress and pressure that a check has to deal with. If she's a stripper in a really bad neighborhood like that. That's how diamonds get developed. Son Diamonds in a, in a fluffy pillow, you know, you're gonna, you're not gonna make a diamond on a tempurpedic mattress. Fucking pressure. Serious. Serious pressure man. Like when you see one of the street hookers walking in a bad neighborhood, it looks like that's where they all worked with Tom and Brian Callen met his ex girlfriend walking the streets. That was harsh. That is, that's when. That's when you just go, whoa. What? He was outside of the coach and horses on sunset, you know, that place where Stan hope used to love that.

Speaker 4:          00:33:43       It's closed now. But is it? Yeah, I'm pretty sure that's too bad. Yeah, that was a good little joint. I remember Ralphie may rest in peace. We, we were supposed to meet Ralphie there and Ralphie showed up an hour later. I'm like, what the fuck? Ralphie look in the backseat and he had like 13 boxes. Those Jalapeno poppers from Jack in the box. Oh my God. He just had gone off on holiday. Pino poppers. Poor Ralphie when he, um, he had his stomach stapled and when he had a stomach stapled for some reason he couldn't eat meat. Like there's something about the operation they did. It made him have a real issue with meat. But he still loved to cook it. So used to barbecue. We went over his house once and he, he, he's a fucking killer. Cook. Ralphie makes some barbecue sauce, baby, big baby barbecue sauce. I went to his house and he cooked like this whole thing and got to eating meat at the time. Oh yeah, he, he, he got his staples removed. I mean he did himself.

Speaker 4:          00:34:50       He just ate right through those staples. Yeah. He had this idea that he was gonna lose all this weight and then it, it did kind of work for like a couple of days. Well the problem was he was so big that like if he said he lost weight, like, like, okay, how much you know, he, he'd say he lost 100 pounds and you'd be like, I'm about. I believe you. It's hard to tell. You know, it's like you couldn't. But imagine like how strong his legs must've been the strongest feet in the business. Like that guy I could probably kick through a fucking building. Think about it. Like if he, if he's carrying around 500 pounds, imagine if I took you and I threw 300 pounds of weights on your back. You, you're just walking around with 300 pounds everywhere you go. I wouldn't be able to do it.

Speaker 4:          00:35:36       Like I lift weights all the time and I wouldn't be able to do it. I'd be like, what the fuck man be. You'd walk everywhere. Buster was giving us cool Ed. He had those calves, you know, those fat dude calves. They did a develop this model. But if you could like, look at the musculature in his legs, I bet if you get through all the fat and his arms, his arms like normal size arms, but I bet he had some jacked fucking Lee Haney quads. Yeah, I would imagine that that's a tender meat down there. Like it's weird when you see people that have those big calves, but they're always blue like that. Diabetes legs. That's rough. That diabetes blue. Yeah. That's super common though, right? Yeah. There's a homeless homeless guy by, by my house just hanging out at starbucks and he hasn't so bad where it's blistered and every time he walks a little blood squirts often do ribs down his leg.

Speaker 4:          00:36:25       It's the grossest thing ever. He's homeless. Uh, yeah. He's fat. Yeah, he's huge and what's weird about Burbank is there was another guy that had like this big nose, like it was a, like he looked like a, it was some kind of weird sis nodes where it's like the size of like a, like a pineapple, and he looked like Bernie Kozar, whatever. That old guy. I'm Bernie coats are aware of what her back for the Brown. No, no. What's Bernie that sports? I, Bernie, they go to sports accommodator the only guy. Howard cosell either had like a hardcore sound. No, like huge though. You're like the only guy who knows less about sports and, but uh, all the people in Burbank college like, Hey, we'll fix your nose. Like people are so nice. Like I'll pay for your nose to get fixed and he wouldn't, uh, yeah.

Speaker 4:          00:37:13       Bigger than that. Like imagine that knows times 100. What was the dude that was the cubs guy? Crazy glass. Hey Harry. Harry. Harry Carey. Didn't he have like a list now? He just, he was like really big glasses and he just talked to real crazy. Will Farrell did a great impression town. Hi, I'm. Hi Carrie, you would feel like a homeless guy would be skinny. I'd be like the ultimate diet. No food, a lot of walking. Well the only food that we're eating probably is like fast food, like fast food, so fucking cheap. The other day. Arby's has this new steak. You should go to Venice, Venison Burger or something. I think they have elk only in a couple places, but they have venison and a bunch of places. Yeah, Venison. I had it yesterday. It's like having a steak on a on too. But, but it was only $5 and it was great.

