Speaker 1:          00:00:08       Experience,
Speaker 4:          00:12:44       The point is not to make a plausible argument in this case, right? Smoking is good for you. Climate change doesn't exist. There's no such thing as fracking water contamination. The point is simply to create the appearance that there's a debate. Okay? So if you go on, if you and I go on the news, right, and you're from New Orleans street and I'm a scientist and I go out and I say the sky is blue and the oil industry says no, this guy is actually pink. Nine Times out of 10, the anchor sitting there is going to go, well, the facts are being debated. So it gives, instead of going outside and looking, this is specialized information. So you don't necessarily know who's telling the truth, right? You have to do a lot of research to figure out or watch these films to figure out who's telling you the chance to experience that.

Speaker 4:          00:13:29       There's a debate, gives the public, the public gets confused and says, oh, well maybe the science isn't really in now. Maybe we don't know enough. So that staves off regulation and this was the tobacco industries, um, strategy for decades. And it worked. They funded bogus science at university saying smoking was good for you and all these kinds of things. And this is what's worked with climate as well. The Cha, you know, 99% of scientists or something like this, 97% of scientists say that climate change is, um, uh, a manmade occurrence. And then there's 3% of scientists that say from the, that work for the oil industry that say dough, it's all fake. And that that does exacerbated by human beings. They're not saying that it's caused by human beings are saying that it's a natural sort of state of constantly, there's a cycle of, of climate change.

Speaker 4:          00:14:20       And we, yeah, we should be, we can't predict. Right. But it seems to be accelerating because of human beings. Oh yeah. I mean, but that's the scientific consensus. And what just came out on fracking. Um, there are 400 plus scientific peer reviewed studies that have come out and we're hitting a point of an explosion of the scientific research on fracking. One paper a day is coming out right now. Now, remember in 2008 when I started this, there were no scientific peer reviewed studies really on the effects of hydraulic fracturing at this level. Now you're seeing one come out a day and 98% of them are saying there are health effects, uh, problems. 95% of them are saying air problems. Um, 76% of them are saying like water contamination, or, or I may be off by one or two percentages here, but this is the basics.

Speaker 4:          00:15:08       Um, and if you, uh, look at a very dry, boring website called physicians, scientists and engineers for healthy energy, all those, um, peer reviewed scientific papers on fracking and their effects. And there are many different categories, right? Earthquakes, health effects, air, water contamination, um, social costs. Uh, these, you can see a cross referencing of those peer reviewed scientific studies. So when you actually do your work and you get away from what is this atmosphere within a media where anybody could say anything and it is a goes untested, right? Anything that isn't refuted is all of a sudden true. So when you read an in, in on a website, oh, gas and debunked by this source or whatever and you don't go and find out, and they do, they go to great lengths to kind of hide where this information or that headline or this thing is coming from.

Speaker 4:          00:16:01       Um, you know, it, it casts an aura of doubt. And that idea that the facts are in doubt, that there's a debate going on is very, very useful to them, to stave off regulation, to intimidate politicians, to quell the public's fears, all sorts of things that are, um, would be useful in terms of movement. Now, why would, we'll have so many fans. It's because you got millions of people right now in America right now, 15 million people live within one mile of a gas wall. And the proposal is to, you know, double, triple, quadruple that you know, or even more, um, those people know that these films are telling the truth because their lives depend on doing that research, right? If you live in an area that's about to be fracked and you don't know what to do, you're going to do your homework because all of a sudden your entire property values are going to go down.

Speaker 4:          00:16:51       Your kids are going to be living in an area that's potentially unsafe. Your water could go south. So you're going to go and do that research and gas sign is going to be really good starting point for you on our website costs in the movie.com is going to be a good starting point for you. So when you've dug into it and you know that the safety of your neighborhood and the conditions in which you currently live depend on you having knowledge and using that knowledge to campaign, um, in a government, in a situation where the oil and gas industry has a budget times more resources than you do, right? Then you're going to hold up these phones is something which are groundbreaking and that, that are helpful to you. And that was the whole point of them in the first place, right? The point of these films, you know, like a guy like me who's never made a documentary before with a budget of like $5,000 in a beat up 90 to Camry traveling around the country, you're talking about an issue that nobody ever talked about. This was not, this was not, uh, um, uh, the ambition that I, with not to,

Speaker 3:          00:17:50       uh, Jen and HBO and make it to the Oscars or do all this stuff. It was just to basically educate my community because I was scared. Who ever thought that this film would become popular. It's ridiculous even to imagine it. What did you think when you were making this? And nobody had had covered this subject before and you were making this and as it's going along, you know your lighting people's water on fire and, and I've even seen that attempted to be debunked, which I found really fascinating when people were saying, well you know you could like people's water on fire before all of this. Like okay, maybe, maybe one or two fucked up places where some sort of gas had leaked into the water. But I mean you're talking about people that didn't use to be able to do it then there was fracking.

Speaker 3:          00:18:31       Now they can like their water on fire. Yes. I mean that's a weird thing. Lighting your water on fire is a fucking weird thing for anybody to like poo poo that and make it look like it's no big deal. It goes along with that whole climate denial sort of right wing attitude, this weird team thing. It's idealistic or I idealogue idea. We know what these ideologies that people subscribe to, whether it's pro progressive or conservative, they get locked into these things and they just say what the talking points are and that's one of them. You know, the, the real reason is because to admit that climate change is a problem and admit the oil and gas is a problem, would upend their entire political and economic philosophy. So they have kind of cornered themselves into it denial. But it's because the truth of it is that when we have these types of, uh, energy structures and political structures and economic structures, you know what the answer is, is public sector development, the answer is collective responsibility.

Speaker 3:          00:19:39       The answer is how do we take on these ideas of sustainability as a, as a society. Now, all of those things are, are anathema to rampant, deregulated, international, global, Mega Corporation capitalism, right? That system wants you to go to Walmart to drive there. You know, to use a lot of resources to never really invest in the public space to make sure that corporations have deregulated, um, the workforce so that we pay people less and less. All of these things that so called conservatives are married to. Um, the underpinning of a lot of those values is you have to deny climate change. You have to deny that there's things that are being people who are being harmed by this system. And that's not unusual. Like, you know, we live in a place, we live in a society of increasing social and economic inequality. A lot of that inequality is underpinned by a basic economic philosophy that's created an oil and gas is a huge part of that. So you can't listen to the science at a certain point because your entire other

Speaker 4:          00:20:48       world will fall apart at that moment. So it's kind of, it's kind of sad, you know? Um, because now you've got people with cell phones in their pockets, right? Whose entire lives depend on science working, denying science every single day. And that's crazy because you want science to work so that your tires don't explode on your car when you're driving down the highway at 65 miles an hour. You want science to work, um, the aerodynamics of your vehicle. You want to make sure your plane doesn't crash. You want your cell phone to work. You want your modern medicine to keep you in your relatives healthy and alive. And yet when it comes to the other effects of fracking, contamination, climate change, all of these things, all of a sudden science can't, doesn't matter. Well, I don't think it's a coincidence that the right wing is also connected inexorably with religious fundamentalism.

Speaker 4:          00:21:44       I mean, and the religious fundamentalism is also a denial of science and a lot of ways, I mean, you're, you're looking at sort of the same sort of car compartmentalize thinking that allows people to think that the earth was made in 10,000 years ago in six days. Well, I think that there's, I think that there's definitely a correlation between some of the things in the past, you know, um, uh, Galileo, Copernicus, these were challenged, challenged is putting it mildly in prison. But if you look at what the pope is saying right now, he's a different Dude, Huh? Unbelievable. He's roaming. He's so, these don't think, these don't have to be in conflict, right? The pope is saying, well, yeah, we've, science is the way that God created things and he's just showing us how that works. Now, whether you believe that or not, there's always a, uh, a way to absorb these things.

Speaker 4:          00:22:31       And, and I, I think that, you know, or when you look at something like Fritjof capra is work the Tao of physics, when you're looking at, you know, extreme eastern philosophies and how they connect with what physicists are doing at the deepest level. So you don't have, it doesn't have to be that way. I just think that, um, I don't know what motivates people to deny science. I couldn't crawl inside that mental space. Um, but I do know what causes people, um, to, to, uh, to need science and to need information. And that's a very profound impulse I think in people. And I think that that you need to have cross referencing. You need to have multiple sources. You need to, I mean, every single one of these scenes in these films, Hbo, you know, and their lawyers checked out and we had to submit thousands and thousands of pages of references to other work and to the science to clear all of these scenes.

Speaker 4:          00:23:31       We were actually nominated for an Emmy for research, for gas and air port to has anything been challenged legally? I mean, the things that you guys have said, nope. Nothing. No. Well, that's kind of zero. That says a lot, doesn't it? I mean this, this, and this day age where people will sue over almost anything. It would seem like they would just start dragging you in a court just to fuck with you. Well, um, they've done that to some filmmakers. I'm very, I feel very fortunate that that hasn't happened. How come it hasn't happened to you? Well, you work in for that. My legal team, my, my legal advice that we got through the, you know, the, uh, I'm not sure if I'm supposed to repeat this kind of thing, but they said, you know, if they did that, it would be like Gaslamp three on steroids because we would have to discovery into their work.

Speaker 4:          00:24:13       Oh, I see. So if I wanted to go into you, you would be able to go dig deep and find out how much they actually know. Yeah. Um, and I think that it was interesting because the first film, they did crazy stuff. They, they attack the Oscars for giving us a nomination. This practically handed us the Oscar. We had no chance in hell of winning the Oscar, you know, I mean it was clear that one of the other films was going to win. Like we were the underdog, you know, and then they started to attack the Oscars and all of a sudden we were like, oh my God, my publicist was screaming up and down going, you can't pay for it, but like this, it's like, you know, all the attacks on the film. And the first film caused, I think an enormous amount of interest in the movie.

Speaker 4:          00:24:53       Um, and the second film they backed off. They didn't attack it hardly at all. We got one day where Grover Norquist and Glenn back and a bunch of people sort of lined up and said some stuff. But it was, yeah, it was Kinda nice to get still enough to, that's nice. Did he cry? Um, I don't, I don't, I just cried. I mean, it's best way. I think if somebody said, you know, you're judged, your life should be judged by the measure of your enemies. So if Glenn Beck and these other crazy people are are, are against me, I kind of feel like that's all right. Yeah, that's a good sign. Or if, well, he's just one of those guys where it's like, he's in such a weird spot now that kinda anything he says, you know, automatic Oh, fucking Glenn Beck said that like, ah, you know, it's like a Nancy grace type thing.

Speaker 4:          00:25:39       Like, Oh Nancy grace is talking shit about. Yeah, it's sad. It's really sad that we have, uh, provided airspace. But, you know, look, honestly, I don't think the films were popular because, um, you know, all of a sudden this was like, uh, well, I mean, I think that some of the visual scenes, you know, of letting water on fire in both films, you know, did a lot. But I do think that the real reason that films were popular is because so many places are under siege from the oil and gas industry. This is a moment where the oil and gas industry is trying to expand in a way that they domestically onshore in a way that they haven't ever. So that same uh, Society of Petroleum Engineers, PowerPoint that I talked about, it said also that the oil and gas industry plans to drill more oil and gas wells in the next 10 years than they've drilled in the last hundred years.

Speaker 4:          00:26:34       Okay? So that means they want to drill 2 million more oil and gas wells in the United States. That's a state of insanity that's drilling the United States into Swiss cheese. Do you know that Exxon Mobile, Exxon Mobil one company spends $100 million a day looking for new oil and gas? That's 100 million a day, a day. Now we want a renewable energy economy. We wanted solar and wind. You know, you could do it. In fact, in the new climate agreement between the United States and China, China committed to building 800 to a thousand gigawatts of renewable energy power in China by 2030. So that's 15 years from now, right? 800 to a thousand gigawatts is the amount of energy that the United States uses for his power grid. So if we want it to do all of our power and renewable energy in 15 years, we would, we could do it. We would simply have to do what the Chinese are doing.

Speaker 4:          00:27:38       We're, we're, we're, we're, we're not in a state where we can't get out of this problem. We can get out of this problem. The bigger problem is how much control the oil and gas industry exerts upon our government and our media. That is the resources you're talking about are so staggering. $100 million a day just looking forward to new oil and gas. And that's just one company, a lot of companies, right? And the fact of the matter is, um, some very smart scientists, and this was pointed out by bill McKibben, um, did calculations for how much more oil and gas we could burn. Um, because you know, there's a, there's a sort of budget in the atmosphere for how much carbon dioxide we can put into the atmosphere and methane and what they came up with is 565 gigatons. We can burn approximately 565 more gigatons worth of carbon dioxide into the atmosphere if we're going to stay below two degrees of warming.

Speaker 4:          00:28:39       Now we're near one degree of warming now and that's already wreaking havoc on climate system. Superstorms droughts, floods, you know, if to two degrees though is the limit, um, that a lot of governments have agreed to try to keep global warming under two degrees if we want to keep it under two degrees and two degrees is bad. Like at two degrees, you lose 30% of the species on the planet. Two degrees is bad. But if we want to keep it below two degrees, our carbon budget is 565 gigatons. Now currently proven reserves that the oil and gas and coal industry has said, we have these reserves in the ground because I want, and gas and coal industries have two bank accounts. They have money in the bank and they have oil and gas and coal in the ground. Now, if you take all the oil and gas and coal that's in the ground, not including fracking and all these unconventional resources, but what they say that we have that that amounts to 2,765 gigatons or sudden change, so almost 2,800 almost five times the amount that we're allowed to burn.

Speaker 3:          00:29:42       So even so, they're looking for more, right? They're spending $100,000 a day looking for more. But we already know that if they burned everything that they say they have, we'd be talking about six, seven, eight degrees warming. This is like telling the oil and gas world that they have to write down 80% of their assets. They're just gone because either their business model fails or the planet fails. So is it just denying this because it's convenient because there's still extracting money and because they know that if they keep going right now, they're fine and a certain point, maybe they'll deal with it in the future. I mean, what is, what's the thought process behind it? They address it at all. It's called Rex Tillerson, the CEO of Exxonmobil, and ask him, he doesn't take calls. He doesn't take calls. He's too busy, but you know what he, you know, recently he just did.

Speaker 3:          00:30:28       He actually sued his town because they were going to put a fracking water tower and the view of his a ranch mansion in Texas for 5 million. I heard about that. That's hilarious. Yeah. He's, he's making, I think it's something like $100,000 an hour, but the man can't. The man can't. The man can't grasp the irony of him trying to keep fracking out of his own backyard. We probably just thought it would never come up. There's con, but you see what I'm trying to get at here. The connectivity of this moment and future planning is not adding up. He's not, he's not going, oh, maybe the press would find out about this and rose to me for like a week. He's not fighting. He's not saying that to himself. What? He's in the same way. He's not saying, Oh, maybe we should stop producing this stuff because we're going to rose the planet for centuries.

Speaker 3:          00:31:23       You know, like, this is the problem. Um, or it's, is part of the problem, the main argument against it is that we need this oil that we don't have enough, uh, alternative energy sources right now to live the life that we're living to power our cities. Is that not true? Not True. We actually oil right now because, because, well, you have to phase it out. Okay. But definitely in terms of the unconventional sources, right? Fracked gas, fracked oil, tar sands development, mountain top removal for coal, all of these new expansions. DEF definitely, definitely not necessary. But I asked the same question several years ago because I didn't want to be a hypocrite. I didn't want to say, oh, well, we can't do this. So just because it's in my backyard, you know. So, um, myself and the wonderful actor, Mark Rufallo and some renewable energy bankers who live in California. Um, we asked a guy named Mark Jacobson who worked at Stanford University if he would please look into a heat. Stanford Mark Jacobson at Stanford had done a report that said, um, we could get off of all, uh, all fossil fuels for all purposes by 2030 and he mapped out how to do it. The problem with solar and the problem with wind is that they're intermittent, right? So the wind doesn't blow and sun doesn't

Speaker 4:          00:32:39       always shine. And if, unless you want to have massive storage batteries or something, you kind of need to deal with that problem. But what he's discovered was that there was a curve for when solar worked and occur for when wind work and that they inverted so that if you bundled wind and solar together, you would solve the intermittency problem up to something like 95%. So when the sun is not shining, the wind is often blowing, right? When there's clouds, you're going to have a windier day. The wind blows harder at night. So you have this ability to bundle wind and solar in a way that gets you past this problem. And he mapped this out for the whole world. So we asked him, could he please map it just for one state, for New York state. Um, and he said, absolutely, let's do that. He devoted and Stanford doors and resources and they came out with a peer reviewed study that shows how New York state could get off of all fossil fuels, all fossil fuels for all purposes, transportation, everything.

Speaker 4:          00:33:33       And that work is@thewebsitecalledthesolutionsproject.org. You can see for every state they've done a map for every state, how to get off of all oil, coal and natural gas. And there's an invite in massive amounts of public transportation to people who have the same freedom to talking about electric cars. You're talking about, um, fuel cells. You're talking about a technology that exists today. So it's, it's a question of doing the transfer. Um, and what's really interesting is you save billions of dollars in healthcare costs because we don't realize it, but you're breathing in fossil fuel exhaust all the time and that causes huge amounts of death and illness in the United States. So, um, I mean if you could pull it up solutions project, I don't have it in front of me, but you save billions of dollars per state in avoided mortality costs. And that's just one benefit.

Speaker 5:          00:34:30       I read a study recently that was talking about people that live in, in urban environments live 10 years less than people that live in suburbs or in rural areas just because of air quality. Yeah. And when Tom too, not just the death rate, but it's also birth defects and other things like, um, brake dust. There's a lot of things that people aren't thinking about. Brake dust is huge apparently in cities. Like when you clean your car and you noticed that black stuff around your wheel, it doesn't just stick to your fucking wheels. That stuff gets in the air. And if you're in like New York City to us, right. I don't, I don't think it's as best as, I don't think breakdown. I mean, I, I'm not, I'm not an expert on it. I don't know what me, man, that final brake dust, the fuck brake dust and made out of Jamie. But, um, when you, when you look at New York City for example, and you see just fucking hundreds of thousands of cabs back and forth, stop and go traffic, they're just breaking constantly breaking, kinda that stuff creates, it obviously creates dust that gets on the wheels, but it also gets in the air and shit is our production studio was right next to the BQE. I think about this a lot. Oh, it's cause it's so bad for you, man. I'm queens expressway. Why don't you guys go to the suburbs somewhere? Well mean I, I live

Speaker 4:          00:35:38       there. I live at least half the time in my house in Pennsylvania, which is where, you know where it all started, right? Yeah. No, I mean like fucked up is that area now. It's beautiful. It's nothing. We won. You want told anyone so no one. And we wanted the Delaware River Basin in two 2013. Um, we want to political moratorium at the Delaware River is, and the Dell and the New York City watershed is this interconnected watershed system that brings water to 15 million people in New York City and Philadelphia and southern New Jersey. It's a pristine watershed. It's one of the last pristine rivers like that on earth. And the Delaware River basin is, since it's a border, is the border between New York and Pennsylvania, between Pennsylvania and jersey, the the river basin. The river itself is controlled by this five member body, the governors of New York, Pennsylvania, Delaware and New York, Pennsylvania, Delaware and New Jersey.

Speaker 4:          00:36:33       And a representative from the federal government in 2011 we campaigned hard to make sure that they, they didn't pass regulations. We won that fight when Delaware and New York both said, we're unsure about this. The Republican Governors of Pennsylvania and New Jersey, Chris Christie and Tom Corbett wanted to frack the world's largest unfiltered water supply. They were like, we don't care. Um, but we managed to create enough information going towards the Democrats, um, that they paused. Now that meant we had a political moratorium in 2013 about 10 days after gassing and two came out. Um, in my area, there were a hundred thousand acres leased by the oil and gas industry. They canceled the leases. Now that was a day like I've never experienced like to realize that they just left a hundred thousand acres worth of leads and I was surrounded by people who at least we had 20 acres, you know, and my, all my neighbors, a lot of my neighbors had had least, um, you know, and that was an amazing day when the oil and gas company just said, we're out of here.

Speaker 4:          00:37:36       Um, now what added to that New York state just passed this band? It's a ban on primetime volume hydraulic fracturing, which means that their vote on the Delaware River Basin Commission will permanently be no right until that band has overturned. If it were to ever be overturned, I don't think it will be because the conditions under which that bag was created are very complicated. Like you had a six year environmental impact study, you had a two year health review. The health review says something very interesting and unusual and says that the oil and gas industry now has to prove that they're safe. That's a reversal of the burden of proof. What would it normally is, is the citizens were being contaminated, have to prove that they were made ill or their water was contaminated air. That's a very hard thing for individual citizens to do. Scientists have to do that. Universities have to do that, labs have to do that. It's extremely costly. So the fact that that New York state has just said, no,

Speaker 3:          00:38:36       actually oil and gas industry, you guys are the ones who have to prove it. You're safe when there's this huge preponderance of evidence that they're not safe, that they can never be safe, that they're injecting chemicals into the ground and into the air. So that's a huge thing. So, um, the Delaware River basin is a national treasure. You know, it's an amazing place. The Catskills go visit if you ever had no, I've been there. Yeah. My parents used to live in Pennsylvania. Okay. Yeah. So I've been there. It's gorgeous. I was inviting the listeners too. Oh yeah, you should go. Yeah. It's, no, it's gorgeous that, that part of the world is amazing. The reason why everybody used to go vacation in the Catskills. Sure. Fantastic. I mean it's a lot of summer camps. Yeah. It gives you this reset, you know, and just get out into nature and you see what it's like.

Speaker 3:          00:39:15       Again, the, is there's any sort of method or is there any sort of preparation for cleanup for these things? Is there, if they ever come up with a way to remove these, uh, like these areas that have been contaminated to remove the contaminants from the water and the wells? Well, but the way this has been described to me, um, is under the ground, right? If you have a fracking leak or a benzene leak under the ground, this is extremely hard to clean. You can treat the water once it comes to the surface, but getting the contaminants that are stuck to particles within the aquifers, almost every scientist or every scientist I've ever said is, it's almost ver, it's virtually impossible. So once you fuck it up, if that's the, the real problem right now with all this stuff, it's not just fracking wells, but it's also injection wells.

Speaker 3:          00:40:08       We do a lot of waste injection in America. What does that mean? We inject, um, toxic waste into the ground. And we have been doing this for decades to just to get rid of it, to get rid of it. So like Nevada does with nuclear waste, they just sort of theory several decades ago was if we inject it deep enough, we'll never see it again because water aquifers are generally between 400 and 1200 feet. They're pretty shallow. These deep injection wells can be 10,000 feet deep, right? But what we're discovering, and there's an a really jarring scientific American article about this, um, by a guy named Abrahm Lustgarten who was also investigating fracking. Oh, we worked on a lot of these things, not together, but on parallel tracks for years. Um, shows that, well, whoops, we made a mistake. There are, you know, Artesian Springs, there are hot springs that, that water travels under the ground and we've been injecting all sorts of toxic waste, not just the oil and gas industry, although that is one of the bigger shares of this injection process, right? Produced water, all these chemical, um, you know, influenced or infused waters and, but just from the chemists, chemical industry, the energy industry you're using when you have liquid, toxic ways, there are places all over the United States where you can just inject it into the ground. The problem is that those injection wells are leaking, um, at rates higher

