Speaker 1:          00:00:05       I'm tweeting and
Speaker 2:          00:02:13       19 fucking 50 or something crazy like that. Yeah. It's like Europe. This isn't sane for real. I do believe it. Like I think it just celebrated its 50th anniversary. Not Kidding. So I was exaggerating, but only slightly. That's incredible. Right? Is that the goal? I have no idea. Anyway, um, uh, we're also sponsored by on at.com on it is a, a maker of a bunch of different nutritional supplements, most notably Alpha brain. That's one that I get mine. I took two of them right before we do the show. I take them all the time. Every time I want to do a set, I take them if I have anything where we need to form coherent sentences and not stumble over my words like a retard, I take them. I think it works. If you want to find out about it, go to [inaudible] dot com o n n I t and Google nootropics.

Speaker 2:          00:02:57       It's a very fascinating subject, pros and cons against. Um, one thing I will tell you about on it, when you order something, the first order your 30 pill bottle, you have a 100% money back guarantee. You don't have to return it. You can eat it all and say it sucks. I want my money back and you get 100% of your money back. So that is to, to try to let people know that the last thing we're trying to do is rip anybody off. Making money is second to making sure that no one feels ripped off. These are all supplements that I use and I have used before I ever in endorsed this company. I use them independently. Um, uh, especially the, a lot of the contents and Alpha brain, not so much a shroom tech sport and shroom tech immune, which are really fascinating. Shroom tech sport being one that actually enhances your body's absorption of oxygen, gives you a little bit more endurance and it's got to be 12 in it, which also gives you a little bit more endurance both of those together.

Speaker 2:          00:03:53       It's a great combination. It's based on the quarter steps mushroom, which they found, uh, people in high altitudes where eating to help them cope with the altitude. And there's a shroom tech immune, which is a, another, a different mushroom supplement frame for your immune system. And then there is new mood, which is a five HTP and l trip defend serotonin boosting supplement. If you go to Joe rogan.net and click on the link for Alpha brain entering the code name Rogan, you'll get 10% off all orders. All right, let's go start giggle. Tell me what you were doing that after the music ready. Three, two, one lunch. And Amy Schumer's,

Speaker 4:          00:04:32       that was the worst DJ mix a lot. I have a whole new set up today. He doesn't give him practice. He only does it when we're live on air.

Speaker 3:          00:04:42       That's when he learns what it does. What does this one do? Yeah, I'm using all new equipment today. Well you were giggling about before, are you early? You're, you were saying if you can't cope with altitude, you know, that helped take one of those pills. And I'm thinking of about being really high up going, I can't cope with this and going, oh here's some new new mood. Oh it feels scattered. I wonder if it would work.

Speaker 2:          00:05:06       You will never know because yeah, when you, when you get too high and then if you took something, how would you know if you just got over being high or if the stuff took it down a notch, you would have to, you'd have to be super experienced, you know? And there's also like, you know how, how much time had you taken off between that session and the last session? Because if you just take like five, six days off and then reset yourself, you can, you can get yourself scary high. You can get, you know, if you like, like we don't realize if you get high every day that you kind of build this like weird acceptance and tolerance for the high state. But if you step off for five, six days a week or so,

Speaker 3:          00:05:48       do you really? Oh sorry. It wasn't my idea. I told you we just do what your instincts tell you. Do your instincts tell you like I just got out of the hospital. You were like, your friends are doing it. I did not say that. It never said it that way. The kid was begging for weed. I was like, listen, your health is number one. I was like, I really, you guys, I'd just get out the hospital. You guys were like, this will, this will answer your prayers. It's good for people to just get all the hospital. Um, it's medicine. Let me ask you what, what did you, you said you got food poisoning. I am a crab cake and Phoenix like a dickhead. Oh, as a prep get all the way to Phoenix. I'm such a

Speaker 5:          00:06:28       like, I'm like, Ooh, smells good. And then, uh, and like, you know, I like new halfway through. I was like, Huh, what? I'm hungry. So Howard through like I'm such a fucking worthless. And then, um, and I was like really excited about my show that night. I was supposed to be at stand up live and I was like all fired up. I was manic, I was in the gym with my opener and my friend Jackie, we're just like dancing. I was like the show tonight, David spade was going to come. I've never met him. I think he's really funny and it's like cute wrestler and a pro like WWE guy. Yeah. And I was just like excited for the show and then I was like, Ooh. And then just vacating, like every hole in my body was getting a ton of use and uh, until I, and I still was like, I'll be able to do the show, like showering and puking in the shower. And then, uh, finally the club manager came over and was like, um, you are dying. And they took me to the hospital. Oh Shit. Yeah. And the doctor was like, he, they put me on morphine and all this stuff.

Speaker 3:          00:07:26       And they were like, no one ever says like, so they took me to the hospital doctors like you fucking pussy go home. Everybody always has like the story. It's always, and then the doctor said that you were moments away from 10 more seconds, you would have been fish food. No, we wouldn't have been able to help you. Literally one more minute if we don't get them to the operating table right now. Doctor said, had I not come in, I would have been uncomfortable for another 10 minutes now. He was like, it's good that you came in with diarrhea.

Speaker 5:          00:07:53       Yeah. But the thing is when you're that dehydrated, you can't drink water. You just puke. And Pew, I don't know how people sneak it, sneak it in, but they kept me overnight. And uh, the woman next to me was so much worse than me. I felt bad for being there when she was like, I never saw her, but she sounded like an old black woman. And uh, she was like puking and praying. So she was like, like this weird kind of, and then she's being like, don't turn your back on me Lord.

Speaker 3:          00:08:18       Oh. I was like, bitch, he's gone. He's gone. She's definitely dead. She's definitely dead.

Speaker 6:          00:08:25       Wow. Holy. She can really die from food poisoning. Right?

Speaker 5:          00:08:30       Yeah. But I mean, yeah, you can,

Speaker 6:          00:08:33       it happens. I was in Korea town the other day and it's really scary how many bees and even sees it. I think I saw in Korea town, like it's not normal, like almost all the restaurants. And I asked somebody like, why is there so many B's and C's? And they're like, oh, because we don't have a connection. You know, like, like you know, in Hollywood it's like, Hey, I got this, here's some extra money, look the other way. And

Speaker 3:          00:08:56       that's exactly what police, we're not willing to pay them. Right? Like if it was some kind of scam that they don't trust our soul, what does it take to close? You have to fail like it. The R D so I don't know. I've never seen a C. Yeah, I don't think I've seen a c I s I think I saw the see what has to happen to get a seat. I don't, I don't know how many died and it be the most mediocre motherfucker. You look back at like what a Sam meant to you in high school. I got seasoned shit that I didn't even remotely try it. Yeah, that's what's up. I don't know when that's from. I think he's probably still safe. We smelled it. C a c you get a c just by being there and like the absorbing every 10th we're having a bathroom. The fuck man. To see really

Speaker 7:          00:09:42       allowed to keep serving food. Yeah. Well this was in a place, but uh, I'm wondering, yeah, well, you know, if you go to other countries, I wonder what that would be like if you went to Singapore and you saw those street vendors, you know what, what do you think they would get?

Speaker 3:          00:09:54       Excuse me? Do you know what your rating is in Zag is? They're just like, I have no legs. You're like, oh, sorry.

Speaker 7:          00:10:00       So say people, a lot of that apparently is going on right now with food trucks and food trucks have become like an artsy sort of thing. Yeah. Like there was a, there was a food truck festival at this mall near my house. It was crazy. It was like all these food trucks pulled up and it was like everybody had a different theme and you know, there was a food truck, it was just waffles, just guy had crazy waffles with all kinds of different fruit toppings and shit. And then another one was, you know, like really healthy Vegan one. Another one was this wild, the, you know, Mexican and it's like what they're doing is they're getting away with having amazing food but not having to pay rent somewhere.

Speaker 3:          00:10:38       Right. It's like I've seen those in like San Jose and Austin. It's like a circus comes to town until they just like fill up and it's like the trendy, like you don't need it. Like we don't need a restaurant. It's kind of cool. It really is kind of cool. I don't want to like what do you do? You stand there.

Speaker 7:          00:10:52       Well, you got a fee out of the problem is the line suck it. The lines are terrible. So it takes 20 minutes to get everything. I'll tell you 20 minutes to get everything, but you get all these different, you know, you're wandering around all these smells like you're walking past. This dude is making fresh waffles. Yeah. You, you smell the hot syrup of, you know, whatever berry sauce, these porn on it and then you walk by next to that and some Mexican dude is frying up some Connie Assata and you're like, God damn, that smells good. Cultures Mingle, Woo. The all those smells together. Just, you know, that's when you go to a restaurant, you know, you don't, you don't get to like walk right by where the food is cooked in that close. Yeah. And you're walking by a truck, you're like 15 feet away from that food. It's cooking. It's too real for you. It's too much reality. Feel it in my bones. I think it's cool though. I think it's cool that they can be like, they can make like really cool food and they don't have to pay rent somewhere. Then you have to get a truck one time investment. Then tweaked to people where they're going to be. Right. That's the thing.

Speaker 3:          00:11:54       It's like speakeasy, like you have to get the word. Twitter is so amazing when you think about that. Follow me on Twitter, here's where I'm going to be selling my burritos. Bam. And then it's like the cool place to go everywhere he goes. Holy Shit. That's a fucking brilliant. That is brilliant. And there's your screenplay contributing even more and what? Yeah, right. David spade, you said, do you know him? Right. I just want to wait and we just like kind of met. I met him before, you know, I'm pretty good friends with them, get them all together.

Speaker 3:          00:12:29       Have you ever had someone try to pitch you a terrible idea or just pitch you jokes in conversation? You're just like, God, like really? They tried to give you jokes aside stage. They'll just like just slip it in and conversation like, yeah. By the way, you ever think a and you're just like, please stop a shower. My mom will do it. She's like, your mom. She like she did the other day. She talked about how in the bathrooms, the automatic, you know you put your hand under the paper towels, they come out and she just thought it was so funny to walk around the bathroom trying to get everything and I was like, mom please, I'm not, I'm never going to use anything you give me. Please imagine if you did all the shit you would take. What if it became your closing bit? I'm like, I love my mom would never let you let it go. Never let it go. I made your closing. How much did you make last year from doing your stand up and think about how much better it is with my closing because you're channeling my mom right now.

Speaker 3:          00:13:35       This went with general in general. Yeah. That's what it was. There was no race behind it. Just what a con. I thought the general, does your mom have harbor secret wants to be not calling your mom con by the way, this is the artificial mom and she won for real. She's so cool cause that's the only thing. The only rule she has for me. I'll talk about everything. Like I talk about her vagina, everything on stage, but I won't, but she's like, just don't call me a cunt if I'm there. So, so what I say is I'll be like my mom's here at night and I promised I wasn't going to call her and I'm not going to and she's still after the show. I was like, thank you for not doing it. I'm like, you're the best. I love you. Now she's pretty, she's pretty cool with letting me talk about whatever. It's one of the coolest things about having friends that are comedians and you could actually say that your mother might be, oh my God and nothing or no comedian even flinches. I remember you did a roast and you said something about a Patricia's grandmothers.

Speaker 3:          00:14:41       I thought it was so funny because I knew that you guys were friends. Yeah. Favorite joke to say. It was really funny. Silvermen wrote to me after that was like after Gospel Brunch,

Speaker 8:          00:14:51       like that was her fear was like, yes, that was a site. It was just so silly that you did it. And it was so much like a bunch of comedians sitting round talking shit to me. I mean that is completely something that Brian would say if you were eating breakfast, right? Yeah. When I fucked your mother's brown dirty ass holes were so you see each other that then when we're out in the world, I forget, like last night I went up to the roof of my hotel and I looked around, I came out to the front and the host goes, he was like, he's like, do you come in the back door? And I was like, what? And he was like the back door. And I was like, I said, are you making like an anal joke? And he was like, no. Like what? And I was just like, um, and it was off a moment, but I'm like, I'm not used to talking to people that that wouldn't be okay to say that in front of me. So imagine if that's the first words. That dude says the back door. I'm like, all right. And he's like, no. I was like, oh right. I'm discussing. That was his hustle. Maybe it works. Maybe worse. I would probably be that girl. This guy knows what he wants.

Speaker 8:          00:16:03       This guy's a go getter and there, boy, I could see it. You can see it. But now he was like, no. Yeah, it's tough. Yeah. It's just tough to like be with normal people. Yeah. People get mad when we call a regular folks civilians. Yeah. Probably. That probably is a disrespect to [inaudible]. We were calling them civilians before the war. Yeah. I always called them civilians. We call them siblings in the 80s when were worn at war and there had been no wars yet in the eighties no, it never had happened. All the other wars had been artificial ones. Right. The ones that, like you said, the conspiracy theories, zero wars until this last one. Well, could you imagine if you could get a culture and take everyone from like age five and below, take them and kill everyone else. So you take all the babies and all the really young kids don't really know what the fuck is going on yet and then he'd just give him a totally fake history.

Speaker 8:          00:17:04       CGI, old writing. Everybody has their prepared and that's how the Illuminati really take over the world. What they do is they kill everybody but babies up to like four after four, you'd probably have some memories of some shit that went down, you know? But I think what you're describing is like what actually without killing people, like that's what actually happens. Like everyone's just raised with to ton of lies. Yeah. There's a little of that and they're just like unfolding it. As you get older, you're like, oh, that was all horse shit. Yeah. But I think that if you want it to like really recreate a history, like create a false history, I think it's possible to do. I mean it sounds completely ridiculous, but if you were in a situation, like if it was like after an asteroid hit and a bunch of people

Speaker 7:          00:17:50       were killed and there was, there was very little resources left and then someone decided we're going to kill everybody but the children and we're going to start society again with a fake history that I made up. Yeah. Which is essentially like with Joseph Smith, he made up a fake

Speaker 5:          00:18:04       [inaudible]. Yeah. Created the Mormons. I love that. Write that shit works. They had a whole state and they're all like so nice and good looking nice. What's the problem I heard are the f I went to him

Speaker 7:          00:18:14       Mormon funeral recently and it was the nicest friendliest

Speaker 5:          00:18:18       were you, you were allowed in, I thought to be allowed in that church you had to be more a, well, they were UFC fans,

Speaker 3:          00:18:23       John. It's all bets are off zero. Syrians has the religious people were like, they really love what you just made that up. So the real answer is, yeah, my friend, uh, who,

Speaker 7:          00:18:42       who dies, here's your secret Mormon there. Their family is Mormon. So they did an alarming thing. Yeah. Yeah. It was, um, it was a very, there are so nice. This is like one nice person after another. And even like when you know, there's, there's things like when it's, people write their own speeches, especially like civilians, right? Their own speeches. You know, a person who's got a regular job in society that's not like used to writing and having their stuff. Yeah. Heard you can their ego like squeaks out, know your ego. Will squeak out when you're talking about people with a past and you know what happened. I just, you know, weird shit. You'll find out. Like, you know, when someone reads it, it's too long and verbose and you know, you know, and it's like there's, there's people that I've, I've, I've been to a couple of funerals and the grossest thing that ever happens is when someone comes up and uses that time to talk about them and talk about their relationship and how good a friend they were like justifying themselves about, you know, to this

Speaker 5:          00:19:44       daddy. Most people have at least a moment of that in their speech at funerals. Like, I've, I've only seen people I've seen, well actually I like, we're talking about it like it's a set, but, uh, I've Seen Collin Quinn speak at two funerals and he does not do that, but I think he's the only person I've ever seen that doesn't even have a moment of, it's about the cones

Speaker 7:          00:20:03       where, God, that's why he's so funny and so smart. And so she's so observant, picks things up. But, um, what I was saying about this, this funerals that no one did that.

Speaker 5:          00:20:15       Oh, okay. It was really about the person.

Speaker 7:          00:20:18       No, none of that. There was no, cause the last funeral I had been to him was a Hollywood type affair and I swear a guy went up that knew the dead person for fucking like three months or something. And somehow or another he got on the podium and was like way over doing it and connecting. This guy's a funeral with the reason why the son was in a certain position in the sky and the clouds had parted and I knew it was him. It was him talking. I'm like,

Speaker 5:          00:20:45       fucking get off that podium.

Speaker 8:          00:20:49       Stupid. Fuck you can. He's the sun through the clouds. You Retard off. How dare you. How dare you make me listen to your nonsense at us. Sit here and listen to this stupid fucking meandering bullshit is poorly thought out. How much more offensive at a funeral, you are the worst human. And then the guy used it to announce the fucking opening of his movie. No, no, no, no. He said tried to claim that this guy's death coincided somehow with the opening of his movie. I Shit you not, which is a blue dog. No, no. We were, we were sitting there. We were sitting there and the

Speaker 7:          00:21:24       dude, we knew the dude pretty well and we were sitting there. It was me and three of my friends who knew him when we were just going, fuck,

Speaker 8:          00:21:30       fuck. What is this guy doing? Like this is crazy. This guy's going on talking about give the, give out the exact date of his movie premiere like yes, like, and when you go, he's gonna remember this day and go on rotten tomatoes and give my movie a good rating. When the sun part it through those clouds, that was him talking to me. He's, that is why. Why wouldn't you just talk to you? He can use his magic to make the clouds and the sun move. He can make the sun in a certain position and push the clouds away. She can do that, but he can't just send you like an email or mail from beyond the grave. Hey Dude, I'm dead. But it's cool. I'm in heaven now. Would it be so hard to send a fucking email? No, you got to like move trees and shit. What are you going to do? You know, you've got to cause a lightning bolt to land on people. Have you ever had to give one of his speeches though? Those speeches? Socks, you have shit and it's so gross. The the dollar. It's not yourself. It's not your everyday person. You have to almost play a character where you're overdoing almost. It's harder for Comedians I think.

Speaker 7:          00:22:33       Yeah. Well I dunno. I just cried and said some shit that I believed I did. I didn't, um, I didn't write anything out. I felt like if I wrote anything out then it would just sound like horse shit. I just tried to say as, as as much about the person that affected me, you know, what's, what's positive about them and then we just go, you know, cherish our time. It's so, it's so difficult to think about the fact that your time is not, it's not, it's not permanent. You are only going to get a little bit of this shit and you could waste it. You can waste sue. It's shitty thoughts. You could waste it with, with doing the wrong thing. You can raced it with bad energy and it, sometimes it takes like a death for us to realize that I don't like going to funerals anymore. I don't like it. I don't like the feeling of being around a bunch of people who are mourning. I don't like it. I like, there's been a few people that died comics especially where I'm like, I don't want to be around all my friends that are also fellow comedians and sit around and cry and about, I don't want to do that in her life.

Speaker 5:          00:23:31       I think it's harder seeing comedians upset and maybe it's just cause I'm closer to them, but, but seeing like those guys that I'm close to, like when they're sad, it, it, it, it feels so much worse, you know? And, but it, it also, like, I, I like, I don't like the funerals, but then hanging out after and talking with them and just telling stories because that's what we would all want it if I, if I died when I die, I want, I want people to tell, uh, the most fucked up shit that I did. Right. You know, you want people sitting around like, oh my God, I'll never forget when he did this and went right because that's what we would want. So it's like, it's also a good opportunity to just like celebrate the shit out of that person's life and tell every story. And you know, there was like a, at least with them, with Patrice and a Geraldo, like, uh, like a good number of nights in a row where everyone just was going around just nonstop and it felt really therapeutic and like what they would have wanted. They, they don't want to, they want people to be upset of course. But you know, like, just talk about maybe some stories and nobody ever heard that. I did

Speaker 8:          00:24:34       listen to opie and Anthony after he died. Yeah. I went, I went on day dedicated. I mean, like so many shows to him. Yeah, it was great. I couldn't think of any other show that would respect and, uh, honor one of their favorite guests the way they did their brothers way they did. It was so beautiful. I love them. They're the best. They're the nicest fucking guys, this easiest radio show to do. Fucking hilarious history. Hilarious comedians. But they are just as fast and they kill me. Anthony's a fucking brilliant. He kills, he knows weird shit about weird things and he's, you know, he's, he's a Weirdo. Fascinating guy. Fat and Oakland is, he knows how to move a fucking show. Jim Norton. Norton is mine. I believe he's the funniest guy in radio. I really do. Nobody makes me laugh consistently more than him. He's made trainees exceptable he'll just say something and it doesn't

Speaker 5:          00:25:33       so unfazed. I don't know what would faze me at this point, but it, it'll just, it'll just be some story about like fucking a tranny. Just

Speaker 8:          00:25:39       like, while we're eating eggs and I'm like, you block it off like a bad child molestation. You're like, sounds great. All right. She sounds like she really gets you to me. Nobody else has ever been able to pull off the whole tranny thing.

Speaker 5:          00:25:53       You do it also people are like, well you know they like ask for advice like comedy advice and just going on the road with Jimmy and a towel. No, they worked so fucking hard. They're not like just sitting around doing dog shit all day, like googling themselves. They're like writing and thinking and you know, it's like they work harder than anyone.

Speaker 8:          00:26:13       Well, especially when you're on the road and you're trying to piece together a new act, which I know Jimmy's had to do a couple of times recently ever. You put something out, you got to burn, start all over again. Yeah. I saw him in Austin about a year ago and it was all shit I hadn't seen before and it was fucking great. Oh that's so funny. So funny. I said to him, I said, I was so happy I saw it and I enjoyed it so much because sometimes I feel self conscious that I have so many Dick Jokes. You have to pick and choose like Mike am I just, I have like so many with Dick Jokes but with him every other jokes and Dick check. But he finds a different way that you're like, okay, I think we can take one more dick joke. I also realize that um, I'm very childish and my sense of humor. My favorite comedians or Joey Diaz, Joey Diaz is my all time favorite is like the one guy who makes me laugh the most and then everyone else, it's like their most childish Shit, you know?

Speaker 8:          00:27:11       I like, I like my shit childish me to the dumbest Shit. This simplest Norton's talking about someone's sucking hogs and laughing like a little, like a silly high school. What do you call someone? Like if he'll just use some like old timey. I felt like a real maroon. You're like, what's it like? No one talks like that. So funny that he's made having sex with trannies and acceptable thing that could be a scan of the could ruin your career. Zero apologies. Zero. He doesn't give a shit. That's a really original thing and it's like just, and he's not really, isn't it? What the original is at Norton? I don't think Eddie Izzard a sex with trainees, but he like that's pretty bad ass to where did he do standup in drag? Yeah, I think that was more of a gimmick than anything cause I don't even think you discussed it and now I don't talking about it.

Speaker 8:          00:28:01       Yeah, but I mean he didn't discuss the fact that he was wearing women's clothes. I don't think so. I think he just went on and I could be mistaken. Someone will correct me on Twitter by sure. I was, that was the thing was that he would just go on stage and do his whole act dress like a woman just like to freak people out or call attention to himself. I used to, didn't used to think that, you know, I didn't think about that guy. Positive or negative until I watched some documentary about him wanting all the way across the UK. Oh my God. It was insane. He's, the fucking gun wasn't even in shape and he did like a marathon a day. He did like 26 miles every day and his feet were falling apart and massive blisters and everything was open uninfected and he just would tape it up and the next day brought a fucking marathon.

Speaker 8:          00:28:46       It's a special kind of crazy right there. Oh, it was, what are you running from Eddie? No, well he was wanting for a charity and if he, if he got dickhead and as he was doing, he was running for kids with aids. I'm like, fuck them. I'm telling you. It was really impressive. I mean, it was really impressive. This fucking guy ran, lacked in Arabic and French also doesn't realize, he's like, I don't, I don't know. I don't understand. Wow. Yeah. There's some, a humbling people out there, right? I guess dude ranch, I guess I haven't met him, but I gotta be out there somewhere. I'll meet somebody that'll shut me the fuck up, but not today.

Speaker 8:          00:29:25       Maybe the best right here. Every time, knocking it out of the park. The funniest thing is there's someone out there that thinks that way and there's a lot of people, we know a lot of people like that on, Bro. I'm the best I could fix this whole country. Right, right. They're doing it wrong. I'll fix NASA will fix fucking Rick Santorum. Fix a mall and you're like, yeah, you're the best. You're the best. You know what I watched the other day, best of the best. Have you ever seen the best of the best way to say, uh, uh, Eric, um, Roberts movie from like 1989? Oh my God. What is, it's a karate movie. Hello? They're in a karate tournament with some, some other dudes and a, you know, they have all these crazy karate fights. Did he learn how to do karate? So very rudimentary on Roberts.

Speaker 8:          00:30:17       That's what happened to him. That's why he disappeared for a while. Yeah. I mean, it doesn't look like you really learned. It's not like ever see like Michael Jai white ever see that guy. The guy who played um, Mike Tyson in that movie about Tyson. He was spawn. You ever see the movie spawn? I haven't seen any of these movies. Muscular black, 27 dresses. No. What do we do? This the area committee. This is it, dude. This is such a terrible, terrible movie. You never even heard of it. Yeah. Tommy Lee, they couldn't come up with a different name. Nah, I think this was before Tommy Lee was famous. You know, back then Tommy Lee was still in motley crew, but better. Yeah. James old draws. A lot of good people are in it. Am I wrong? There's the eighties token hot chick with the 80s there's a bunch of respectable actors in this movie is one of the reasons why it's such a hunk of shit all the time. Gold medal winner and heart and soul of the Korean team. This guy went on to open a Holy Spirit

Speaker 6:          00:31:14       restaurant.

Speaker 8:          00:31:19       Korean barbecue. Perhaps this guy's a knocking it off the charts. This isn't a scene with Eric Roberts, unfortunately, because these guys probably actually know martial arts. Watching Eric. Eric Roberts was my favorite celebrity rehab.

Speaker 6:          00:31:32       I didn't see that one. Why? What was his deal? We'll be like, we'll just pause. That's what a fuck though. His agents like, uh, in the morning, he be like looking at the paper twiddle and his little foot around drinking a cup of coffee. Love shakes, and they're like, my family isn't talking to me. He's like, I'm a little hungry, but the people like Lee, I got got it. Just got to go outside. It means friends real quick. Yeah. Oh my God. It's like, oh, come on. Stay with the program. I'm, I'm gutting it out. Gutting it out. He is. He goes to a chipolte lay. That's all you got. You can't get off your morphine. I'm gutting it out. I mean, we touched weed. I haven't touched weed three days. Oh, you're so strong. I don't think, I mean pain right now. There is wrong. Eric, you don't think I'm a hurt on the inside right now. Don't turn your back on me, Lord.

Speaker 8:          00:32:20       It became some weird therapeutic thing where he, he had his stepson and his stepson came on the show. Oh my God. Steps. I hated him for how he treated them. Like, Oh God damn too much. Well, you know, you realize, and this is, this is a reality of a lot of, there's a reason why a lot of

Speaker 7:          00:32:40       people, famous people's kids become crazy. Yeah. It's because when you're like a movie star, you go places for months at a time. Right. You know, if you're Eric Roberts, I mean, I guarantee you that guy had to go places when that guy was a kid. I mean, I don't know if he took his family with him. I don't know how he rocked it, but a lot of people just go places. I know folks that leave their family behind for months.

Speaker 3:          00:33:02       It seems like that's how it used to be. Even now, everybody's so aware and sensitive. I can't believe that shit still happens. It still happens for sure. Yeah.

Speaker 7:          00:33:09       I think it happened a lot though, back in the day. I mean you look, there's a lot, I mean, I don't want to name any names because I'm not trying to,

Speaker 3:          00:33:15       well, like who are you talking about? I'm just looking at it objectively. Like

Speaker 7:          00:33:20       when you look at all these famous kids love, see you like people who were famous in the 70s and the Andes and then the kids become adults and complete fuck ups. There's a God damn laundry list to them. It's a big, almost all of them. Yeah, it's incredible. Yeah. So you gotta, you gotta think like what? What happened there? How did this go wrong? What w how can this be avoided? Right. You know, this is, this is a, there's something's going wrong here. And then the mechanism of, of raising a human under the, you know, this job, but what is it? Is it the distance, the time away? Is it the unfair and weird treatment that you can,

Speaker 3:          00:33:54       yeah. Just having a parent that's a huge narcissist probably isn't awesome. Yeah, that probably is an awesome mom line. Not the best. You remember mommy dearest? Yeah. What the fuck? It's scary movie. That was good. That movie scared the shit out of me that Faye Dunaway is how bad ass. Gosh, so good. She was a bad ass because you believed it would every fucking we don't Dunaway, wasn't it Joan Collins? Which one is Faye Dunaway. Oh, fait dollars. There's another one, right? Yeah.

Speaker 7:          00:34:21       Who was a which one? Oh No. What's in it? Mommy dearest? Was it Joan Collins? Oh yeah. Feed Dunaway was like, wasn't she like Bonnie and Clyde? You might know. Well, I think she was. No, it's Faye Dunaway was in mommy dearest Faye Dunaway. Swami Derris? Yes. Oh yes. Oh, it's in the family. Oh my God. I'm looking at the picture. Oh, are you? I know you remember this. Of course it's Faye Dunaway

Speaker 3:          00:34:45       shit. Oh God. Oh God. If you haven't seen this movie and you want to know how crazy actresses really are capable thing, this is a real win. An Oscar. She must have. She had to. She must've that. She went, she did it. She went deep. If she didn't win an Oscar, the Oscars are bullshit. If she didn't win an Oscar for that, I'm moving to Canada. If she didn't want to ask you for that right now. I won't get my bags, Brian. I'll consider Hawaii. I am go, I'm at least going out of a couple of days to Saint Lucia. Saint Lucia. What's done? Um, oh, I just went there with my sister. That was in my mind or something. You went through what? Your sister? Yeah, we went to, um, I did not know that sandals was a couples resort. Oh. Oh. So you look, oh everyone just thought we were raging dykes the whole time. Wow. And we look like twins. So we looked like the most narcissistic lesbians ever. Like we

Speaker 5:          00:35:37       saw each other to Barr Lake. Huh? Hey, like how you look? Um, everyone hated us. It was all did, did, did you know sandals was all couples like d has that marketing reached you? I just did not reach me either. I didn't really actually know. I actually have thought about like, Hey, all resort thing where they pay you pay one thing. You don't have to pave. We, that's what we did. And uh, she's married, I'm single. I'm not trying to hook up with like, you know, like an islander. Um, but whatever we, but it was a hundred percent couples. We were the only people and it was really uncomfortable because people are either mad we were there or way overly talking to us so that we knew how tolerant they were of lesbians.

Speaker 8:          00:36:20       Like they'd be like, stop having so much fun. You too. And thank you for accepting our lifestyle. We're sister, but we did, everybody did everything.

Speaker 5:          00:36:31       We were the biggest assholes. We did everything that the couples did. So we like went to all the like dinners and um, uh, like if the photo shoots inside like a heart shape rose pedals on the beach, like we held each other. I put, I put some pictures on Twitter, but it was, uh, it was pretty brutal. Should finger blasted her.

