Speaker 1:          00:00:00       Oh No, no, here we go. Good. Here we go. Three
Speaker 4:          00:03:00       uh, more cognizant? It's always the need for survival. It's always in the back of my head. I have three daughters, like I saw always in the back of my head. And said, this is incredibly cold. If the power goes out for 48 hours, I have to start a plan b. where am I bringing my babies? What are we going to eat? Where are we going to fit our city? Over the last couple of years I've been talking about a complete ban of fireplaces and wood burning stoves inside of homes, condominiums and Hoe and houses, the laws governing wood burning and the city of Montreal are stricter than the ones in California. Uh, and we'd die. Man, if we die, I go, this is irresponsible, you know, by the government to do this. I said, okay, make sure we don't use them, but let's all have them just in case.

Speaker 4:          00:03:51       Same goes for. Because if a bit, what are they worried about it for? They're worried about their admission particulates. Yes, correct man. But it smells good. Like a nice woodburnings doesn't like this affects everybody. This affects restaurants and grilling food. This affects barbecue. This effects or you know, a traditional bagels stores. Traditional bagels stores. Cook with wood as I already said that. Of course you go into Thailand, St Theater, Bagel, fairmount, Bagel, all the other ones you smell it. It's a massive part of our culture as well. You have to understand that food wise, the province of Quebec, the city of Quebec City and Montreal, she's a first place is populated in North America. This is, you know, the Europeans to, to get to anywhere in North America. Came through Quebec First New York afterwards. The food culture in Quebec is over 400 years old. You can't say that about over a thousand years old.

Speaker 4:          00:04:47       Yeah, yeah, absolutely. And then wood, wood, what is detrimental to that if it wasn't for burning wood, I'm not saying we should do it for historical purpose, but like man, like if we run out of gas, there's still would give you a ticket, you know, two grand because you're having a fire. A few years ago, about a decade ago, we had this crazy ice storm in Quebec, you know, the perfect storm of rain and then cold and then rain and then cold. All the power lines without the pylons crashing. Got Thick with ice, right? Yeah. For two weeks. Yeah, two weeks and there's a baby boom right after that because people stayed home, no television and no heat and then procreated. Then there was a true baby boom. Nine months later there was a ton of new kids born. That's hilarious. Do you know the, the deep freeze. It also cleans the city in the winter, so from your perspective, the shit hits the fan and come and see us because it, it's a pretty good city to survive anything, you know? It's a pretty neat place because the winter just sanitizes everything. You start again every year. Yeah. As opposed to la where you never really get that cleaned

Speaker 5:          00:05:58       down. You'll never have a long haul. Yeah, you do like a horse bath, you know, you just get it like a year in a restroom somewhere with paper towels that you went down and sort of get your underarms or whatever. That's what La is, the wet towel, let's. Yes, yes. So you just wanted to write a book that kind of covers all of your interests, not just with food, but one of the things that I really enjoyed about there was an episode that you guys did have a Anthony Bourdain's show where you were ice fishing and you had one of those ice fishing huts

Speaker 4:          00:06:32       and you get into cooked it. Tony told you it's notorious and they show that they never caught fish and whenever he had a gun he never hit anything. So we knew that we knew that there was not a pike and there was not a Walleye that was going to bite. So we're like, okay, option a. We sit there and take some fake fish and we fry it up in cornflakes, in shortening. And the hollow cabin where we just went like joe beef crazy. And we brought all the old cookbooks. We add all the spirits, like Cuban cigars, all the copper where all this stuff. And we made the menu from an Old Leon, a restaurant, Paul bocuse that he did a show at after and in. He knew nothing about that day and we just went from fishing after he asked us about like strippers and Quebec and just a few funny banter and it was. We just went in and was like magical. It's. It was seriously fence a 10th of the size of this room here. Yeah. It was a tiny, tiny little shack and he tapped out that day.

Speaker 5:          00:07:27       Yeah. Yeah. He was having a good time and we hit that. We brought some fine wines and fine spirits from some really rare oddities. Some old charts, rows and stuff like that that Fred had lying around

Speaker 4:          00:07:39       and, and Tony was, was fun as arts up on the screen right there. He let it go a bit, you know, he just, he calmed down and enjoyed us and let us do our thing. I'm a bit fatter. Oh God.

Speaker 5:          00:07:53       Those in the wine drinking days too, right? Yeah, correct. Look at that. God, that looks good. Is that Fagua in some sort of mashed potatoes or something?

Speaker 4:          00:08:00       Yeah, that's a wild rabbit. It's a French recipe. It's gold hair a lot. Were you, you cook the hair for a long time and hair and you serve it with truffles and you take, you keep the blood. This hair is snared so it's still full of blood and you keep the blood and at the end you thicken the sauce with the blood flow. All right. It's very good and I bet you, you know, it's funny. I bet you a fits all the principles of nutrition. Now you know it's like blood and all the organ meats and all the same with cheese. Look, this is like the airport right there, isn't it? That is interesting, right? That no one

Speaker 5:          00:08:37       thought of that until recently that that was what it was, that people just thought of it as cheese and now people think of it as there's live cultures on it and Oregon meat is much healthier for you and people are so much more.

Speaker 4:          00:08:48       Look at the cheese thing too. It's like nowadays a lot of the probiotic makers are doing like a light bulb.

Speaker 6:          00:08:56       Deliveries. They coded in fat so it resists the stomach acid. Right? But that's fat probiotic from Jesus covered in fat. You did after your dinner, it lives through you and it all in a perfect world that comes from right around your house. Right? So you eat a cheese and the probiotics are the same one that you're going to encounter later. So you kind of get immunized in a way that's the benefit. That's what true local is, right? Right. Yeah. Is there

Speaker 5:          00:09:22       benefit to eating cheese after meal? Yeah, sure it is. When it's a very pungent, uh, advanced alive raw cheese, it'll be seen ultimately as a nonalcoholic Dj Steve, what does a Dj to, to, to help stimulate digestion? Oh no kidding. So it's almost like an enzyme, like a, like a probiotic,

Speaker 6:          00:09:42       but mostly. And now they're, they're figuring this out that the problem of the low fat diet than the, you know, like brown rice and chicken breast, you know, the bodybuilder diet. Nothing triggers your fullness because they realized that fat actually makes you full quite fast. Right? So if you eat a bit of cheese, you're done. You tap out after, you don't need like a full plate of cheese or layered on a hamburger, but just a little bit of cheese after just cuts you off and then you have spirits and cigars are not that healthy, but

Speaker 5:          00:10:14       yeah, I've been talking about that with a lot of nutrition experts where they say that your body, when it eats a lot of carbohydrates, you can consume carbohydrates far past what you actually need. Whereas if you're just eating a lot of fat and protein, your body tends to regulate itself much better. Satiate. Yeah. Yeah. Yeah. Now you guys, how long have you been in Montreal and then I have to tell you, and I've said it before, if I had a say my all time favorite restaurant. I think joe beefs my all time favorite restaurant. I don't like to say my all time number because there's a lot of great restaurants in this world, but damn, if I had to choose one, I think I might choose. You guys know you're very kind, but we have to take you out to other places to change your mind.

Speaker 5:          00:10:51       I don't think you've got a man, you guys are the kind of, if you're a horse lover, turn your head, plug your ears, you guys. The first people that ever served me horse and I was like, what? When he brought over, it was a horse horse tenderloin and I was like, what the fuck? You guys are eating horse up here and horse tar tar. But it's a stigma, you know, let's say a cow and Elica buys in a deer forest. It's four legged animal and you know what if I put, if I put a buys in tenderloin and serve you a beef tenderloin and a cow tenderloin and that deer tender lights, at the end of the day it's, you know, it's just has a couple of degrees of separation from the other. It's all flesh really. It's,

Speaker 6:          00:11:29       it's very subjective that we base or nutritional choices and how pretty or how cute an animal is, you know, it doesn't make sense. You know, and we're lucky now we're able to choose where we eat. It wasn't like that a hundred years ago. You know, the purpose of the food guide until like 40 years ago was to make sure you had enough galleries. Now we're in an age of restriction, so we like, I don't

Speaker 4:          00:11:54       want horse, I prefer deer or I prefer veal or add chicken yesterday. Can't have twice a neuro. Like all this is a bit of fluff, what we do in a way because we're so fortunate to have enough food to decide.

Speaker 2:          00:12:06       Remy Warren was on a backpacking, horseback elk hunt and one of the horses fell down, broke its leg, and they had to make a decision. They were deep in the back country and they had to shoot it and it was just wasn't gonna get out of there. And after they shot it, he decided that really this sound was going to go to waste. So they took the back straps off and they cooked it and ate it and they said it was a really weird moment where like, this is the animal that was like everybody's petting it. And it was, you were, you know, you're riding it and it just, it was a working animal, but it was an animal that you loved and then all of a sudden it's down and you have to kill it. And he's like, well, it's going to go to waste. He said, it just felt wrong to let it go, to waste. So they cut the backstraps off of it. The

Speaker 4:          00:12:52       other reason I think we don't eat horace culturally is really based ultimately on the battle of Wolf between Mount Column on the plains of Quebec City. Uh, you know, that was a decisive battle in North American history. Whereas if the French had won that battle, everybody in North America, ultimately we'd be speaking French. You know, they didn't win that battle. So British rule imposed. So in England you did indeed horace by royal decree, but in the franchise horace, the Belgians had horse, the Germans eat horse, you see. So that's what it is. Very old history, you know, it was mining, it was potent and anglophone world. We'd Horace and, and, and all the mining countries. A half. My family's from Belgium. And it's traditional there because they bring the horse in, the mine, the horse, you know, sad for a horse to live in the mind, in the dark.

Speaker 4:          00:13:45       But they wouldn't bring it out when he was old, you know, they would just eat the horse. Most cultures eat Turkish, eat horse know. Well, it was a necessity. I mean, you couldn't pick and choose back when all this was instituted. We're very limited in the proteins that we eat. And especially in North America, Quebec last. So you know, Quebec has a very openminded dining, public, very advanced dining public, very old dining public, and of course Latin French dining, public. The amount of proteins that are served in a Montreal restaurant are numerous compared to, let's say, even when I go to Manhattan, if me and you and Fred are in Manhattan tomorrow night, say, let's go have rabbit with mustard sauce, it's going to be a tough sell. We're going to really struggle to find rabbit mustard sauce. We're going to struggle even to find a, you know, let's go have a couple of slices of liver tonight with onions. It's gonna be very difficult. Solid lab, NAC liver deer is a hard, tall order, you know, intimately Manhattan or America eats a limited scope of proteins, beef, chicken, so forth. Whereas, you know, French culture, Quebec, you

Speaker 5:          00:14:52       know, we have all the proteins. I have young dining clientele that have no problem eating kidneys, medium rare, a liver, lamb, liver, dear neck, dear heart, tar tar. It's not a thing like it's not what other restaurant people are eating. Part of the registry and little girl. It was like your daughters raised eating, you know, the food that their dad hunts and the food that their parents by some people of lesser means eat pork liver raised on it. So when they see liver on the restaurant, cute little, you know, a 19 year old girls that are about to go out to the club later but have a slice of liver. You won't see that. New York City. Are you allowed to sell Benison in here that you hunt? No, not that you hunt. You have to buy by farm raised stuff and oddly enough, most of it's from New Zealand.

Speaker 5:          00:15:38       Most of the stuff that we're getting here in the United States is from New Zealand and if they call it venison, it's most likely some sort of stag or you know, and the elk that we get, if we buy Elkanah restaurant, it's all from New Zealand harvest. When you, when you do a kill, you can put it in your freezer. Okay, perfect. Yeah, we'll all, I have two freezers back here. Um, all of, um, the elk that I get, I get for myself that I hunt and I give it to a lot of my friends and I make sausages from my friends and I sent, you know, but that's the only way they're gonna get it unless they go out and get it themselves. It's not a place in Los Angeles where you can go by elk meat and new in Newfoundland that they're allowed to. Hunters are allowed to sell moose back to the restaurants.

Speaker 5:          00:16:20       Really? Yeah. Moose for introduced onto the island of Newfoundland from Maine. And there was no natural predators on Newfoundland. So the mood and it's a perfect environment for them. So they just propagated. So that's why they take drive slow. They're we shot with Tony, they drove slow, like we drove for hours, like full days to go like 300 miles because you can't drive fast because of the Moose is so you can have a restaurant in the hotel. We stayed, the restaurant had a permit to buy Moose so they would make like Moose curry and moves us days in kind of vibe. Like I'm not a great restaurant, like a hotel, a hotel restaurant serving wild moose burgers. But it's pretty cool that they do that. That is cool. But if they did that everywhere else, then we're just reinventing the wheel, you know, we're rolling.

Speaker 5:          00:17:08       We're going back to market hunting, which is what almost wiped out almost all of the animals in this country. And some shops in Quebec would like to bring that back. And I, you know, I said listen, we can barely manage our roads, our infrastructure, we can barely manage like our. And that's the risk of foraging through it. Like eventually, you know, like people go for mushrooms. It's like you heard about the fights between the mushroom pickers in Oregon and stuff like that. We're no. Oh fuck. Like the people who harvest clams do it. They'd like between the communities. There's huge fights for territories and they hijack like trucks of abalone at night and gooey duck. The giant King Clam. Yeah. I've heard stories of a guide on an economy line van with 500 pounds of gooey duck going

Speaker 4:          00:17:49       to the Victoria airport to send them to Japan, get hijacked on the highway at night and they steal the clams because they're worth a fortune in Japan and same for mushroom matsutake. Mushrooms are as well and other earth is famous white. It's called a pine mushroom and then Japan to matsutake mushrooms. The closer, the shape of the mushroom to a penis, the more expensive it is, you know, so they like, they actually hijack people in their way through the patch and like undressed them and make them turn around so they can never find the place again. Wow. This competitive Morel mushrooms. You look a morel mushroom. It's a. You know, how much Fred for very expensive? 40 four bucks a kilo in Montreal and pull this a little closer to just credit. Keep it brought up fist from your face. Yeah, the Morel Mushrooms. I buy them online.

Speaker 4:          00:18:36       They're very expensive. I buy them dried and they're so delicious. I mean people who don't like mushrooms, like one of my daughters does not like mushrooms, but she loves morale. It's my favorite. It's a number one mushroom. Good with salted, with garlic, salt and sauteed in butter. They're sensational. Great Mushroom, strange flavor. One of our favorite. There's a great recipe for that in the book is poached chicken legs, right until they're ready and then into the broth. Very little broth. You know, you strain the broth, you add cream and salt. They Morel mushrooms in there and a little bit of Sherry wine. Any of oxidized wine and you just add the legs in there and you let you let that simmer. Man. That's good. We have a picture in the book of some Morel Mushrooms are the size of these water bottles. We've had morel mushrooms that are about the size of my hand.

Speaker 4:          00:19:22       You can stuff like half a chicken leg inside of them and serve one stuff. Morel mushroom and Bra for one customer. It's brilliant. They're a strange mushroom, right? Where they. They pop up after burns. Yeah, and they also have spraying mushroom, which is weird because most of the other mushrooms or later on damp. Right. And morale is like literally quite quick after the snow. That's the first mushroom that appears in the forest. So it's a very different than all the others. Are they commercially cultivated? They could be, but not. I've never seen it. My career tried growing mushrooms. We tried everything at the restaurant. I tried growing mushrooms and like you get everything but the mushroom, you inoculate, it was very difficult to keep the proper conditions and stuff. That's why I'm not against the fact that they're expensive, you know, it's a good way to regulate a market price, you know?

Speaker 4:          00:20:12       It's like, yeah, you know, bluefin tuna is going extinct, but just make it three times the price. It's going to regulate the market. You know? I guess I wish there was a way to reintroduce Bluefin to the wild. It's just seems like the appetite that people have for those things, it's just untenable. Give you a look at any given night in a city like Manhattan, how much red tuna is sold on the island of Manhattan any given night of the year. It's, it's, it's scary. I almost feel like it's like killing the last giraffe in a herd like fishing a giant tuna like that. It's and again,

Speaker 5:          00:20:48       you know that they're big, they're feisty. They're majestic, so that should in guide my choice, my decision and to protect them. But like I said, that's heartbreaking. The problem is the complete lack of regulation on the open waters when these guys have these enormous ships filled with huge nance and just drag them across the ocean floor and capture everything that you catch. And that's the biggest disconnect. It's like they call it bycatch. So you didn't set up the fish for tuna, but that's what kind of bit, you know, like, yeah, come on. You know, you go fishing for what? To catch a Bluefin tuna in the first place, you know, place. Oh, so they're, they're, they're pretending they're not fishing for it. Is that what you're saying? Oh, allegedly. Well, you know, that whole thing was Japanese whalers. They found a way to work around it and the way the world's largest science research posts, so the science research where we're going to do research on these whales that we kill and then they chop them up and sell them and sea shepherd has been tracking that down and they hover over them and take photographs of it and report them and now it's ugly business, ugly business.

Speaker 5:          00:21:57       We've worked hard at the restaurant until I'm ultimately avoid it to be more seafood, sustainable seafood focused. You know, the oyster is a great thing to eat. We should eat oysters, clams, Florida. Oddly as an amazing sustainable seafood scene. You know, just the work that they do with the Florida stone crab, right? You know that every year they just harvest like the left arm and they put, they put the crap back and the next year it's the right arm and they put the crab back real. Yeah. It's a brilliant fishing industry. They don't kill the animal, the clog rows back and it's a side side-by-side sound like that. You're telling me something good about Florida, they have a great shrimping, seen a great, that they're actually leaders in sustainable seafood. Seafood and fishing is such a gigantic part of their economy. It makes sense that they would do that.

Speaker 5:          00:22:48       That's a smart thing. Grouper fishing down there is a giant, giant part of there. There's a good book that was published a few years ago. The big oyster, I think mark Galinsky, he wrote a book about the history of the oyster, the New York and the history of the oyster. That's incredible. Super interesting because this is his thing was like, you know, we try to portray or history as glorious and we heard it bisons before for protein and that's how we started like modern farming, but in fact we probably farmed oysters and snails and clients because they don't move and they are the most prolific and the most abundant source of protein in that book are landscape brings up a premise, and I'm loosely interpreting it now because I read this book a few years ago, but think of this for a second, right? The island of Manhattan a is a perfect. All the rivers around it, all the water systems around it is actually one of the greater oyster situations

Speaker 3:          00:23:47       on the Atlantic east coast, right. The reason that the population exploded in Manhattan in the early days was that any person could literally get off a boat, walk onto the island of Manhattan homeless, broke and sleeping an alley and walk down to the river and pick five oysters. A small oyster is five grams of protein, right? A medium oysters got 10 grams of protein, so completely destitute person could just eat six oysters a day, you know, three oysters and live again another day to find a job. So the population ultimately, you know, New York City and its population was based on this readily supply, this huge supply of oysters. Wow. Yeah. That's free. Available source of protein that will make you live another 24 hours. So if it takes you three days to find a job for days to find a job at 20 days to find a job, you're not going to die because there's oysters. Look at this and yeah,

Speaker 2:          00:24:51       and they, they, they found from the fuck. What is this from Harlem River Oysters. Credible. Yeah. There's a actual islands that they thought were like Geo geological formation that are made of oyster shells. This layers and layers of oyster shells. The article that Jamie put up is from thrillist is I would pull up to the top so I can tell people the order, the news, why oysters are ridiculously important to the history of New York City and it just showing all these ancient photos of mounds of oyster shells and is an amazing program today. You know, some of the areas that there's. That they take these giant cages. One Oyster, if I'm correct,

Speaker 3:          00:25:31       oyster filters for metric tons of water per day. From what I understand, I might be wrong with my math, so take this. For instance, you know a cage, a cage box of thousands of oysters. There it is.

Speaker 2:          00:25:46       Single Oyster can filter about 30 to 50 gallons of water every day. Little loose math job, digital New York's waterways on exactly the cleanest the folks behind the billion oyster project or trying to change that by recycling shells from the part, partnering restaurants and getting them back in the water to build oyster reefs. The goal is to add a billion oysters to the water by 20, 35. So far they're restored. One point. Oh, one acre. One point five acres of reason. Well, don't say one point. Oh, five bid sheet. You got an acre. Oh, that's you just add in those extra two numbers. One point. Oh, five acres of reefs and count 11 point 5 million. Newly grown oysters. But the oysters will clarify the water. It'll make a murky river clear again. Wow. But it didn't affect the taste of the oyster. They don't eat those oysters. I think those are pulled back into landfill after or mulched into gardens or for. The shells are banned from where reef. But the oyster is interesting. It doesn't. Right?

Speaker 5:          00:26:44       It opens its shells to the feed, showing how they do it. This is incredible. And the oyster, you know that the oyster has a. It will change gender according to the density of the population, so it'll go from male to female in order to balance the center. That's incredible. We're watching a video where the. What is it? The oyster recovery was. It was the timeline. Oh, sorry. So it's a timelapse, but it said what, what does it say? It was from a filtration. Right. But there was a watermark on the video there on the corner. It was showing receipts. Yeah. Oyster recovery partnership. So the watermark is. So what they do is they have this horrible green water chuck these oysters in and it turns it completely clear. That's amazing. I did not know that. I didn't know that they used to eat lobsters and they thought of lobster says poor people food out of the river in New Brunswick.

Speaker 5:          00:27:37       They used to, um, harvests lobsters to feed to the prisoners and keep the shells as fertilizer. The Jefferson was one of the first presidents to bring the lobster into the White House because it was seen as servants food. When did it switch Jefferson? So when he started doing that, that's when people realized it was so delicious. Lobster socially will be, if we changed the whole thing, the lobsters could get a job is insane. That lobster spaghetti that's uh, that's off the charts, you know, so the child labor laws were in stored primarily because of the kids that used to work in an oyster. Shucking plants. Really? Yeah. Yeah. We had a, one of our best friend, if not our best friend, passed away like six months ago. John Bill, he was a great chucker you helped us at the Barbara. He was like deep into sustainability and history of oysters and everything and he was like the source for oysters for everything.

Speaker 5:          00:28:29       He wrote a beautiful book. I will send you a copy. It's an incredible book. There are good food for vegans to consider too because there are more primitive than most plants. Yeah. Know. Smallest. John used to call them ocean cupcakes are delicious. It's a great source of protein, but it's also they don't have any nerve endings. They're not feeling any sea vegetable. Yeah. It basically is. We have an issue or some people, not myself, but some people have an issue with things that are capable of moving for whatever reason, we just decided that don't eat that, but if you want to talk about something sustainable like mollusks and seafood and I mean they can be commercially farmed. They, they actually do have a positive impact as you're describing on the environment and credible source of protein as well. Yeah. Yeah, and really owned her complete source of protein.

Speaker 5:          00:29:16       Not like a very bioavailable source, unlike a lot of vegetable proteins. So maybe we should do a protein powder out of dried oysters. Just moisture, protein bro. I mean a lot of people are eating cricket protein. If you guys ever serve any insect dishes really well. One of the things, I got a letter last week that someone found bug in their salad in there. I know sometimes the people are a bit. They want the cake and they went to eat it too because they people want organic and we support that. We love that, but yeah, organic. There's no pesticides, so that's okay. The bugs aren't bad. It's like the idea of bugs being like roaches are bad. Okay. Most other bugs are not that big of a deal. It's like quite, you know, if we're serving, we're serving 100 people a day and maybe that arguably being 40 solid, you know, some kind of crazy work to really look at both sides of each leaf.

Speaker 5:          00:30:15       We try our best, you know, but you know, one at one will get past us every year. I think you're better off the people that, that are freaking out about bugs. You don't want them coming in there. Just let them just give them their money back and get the fuck out of here. Yeah, I agree with that policy. But when I was in Mexico, they uh, we checked into this resort and they had a bowl of fried crickets in the hotel. Like they had some sort of a flavor to them. They added some flavor to. Yeah. Rene Redzepi and noma. Arguably one of the world's best restaurants is obsessed with serving ads. Really loves them. Lemony fresh. I don't know. I think that, I think they're crunchy. They're delicious. Uh, you know, he thinks they're fine, you know, of course, and he's doing this wonderful nordic cuisine and there's ants and vegetables and they foraged mushrooms and there's also ad.

Speaker 5:          00:31:08       So why not forge those two and it's a homework they do for the rest of us, you know, it starts there, they're doing the right thing, you know, people pay a lot of money, flight there to go eat there, but you know, he's doing some good legwork and how to prepare them, how to raise them, how to, you know, I'm not saying it's food is based on that, but I'm happy that somebody did that part of the research and he'll bring the point up and that'll, you know, ultimately by Osmosis, other younger chefs will try to do that. I know will tell you. It'll normalize it a little bit more. So expect aunt at Nordic restaurants. Interesting. So this is the new trend. Get ahead. Have you heard them? Los Angeles. I know you trendy fox are out there thinking about what's coming. I'm crickets or a weird one.

Speaker 5:          00:31:52       Like cricket seemed to be like universally accepted. Like cricket protein, protein bars. You don't see too many other insects being like commercially harvested. David and I were in New York, uh, for Anthony's a memory thing, memorial thing and we walked in the bowery and you know, middle of the afternoon, Hudson, oh, this is a good meal and there's like a little store, no refrigeration and there's buckets of clams and you know, like Mesh bags, like you put onions in his big mesh bag in the bin and it's full of giant bull frogs. Like looking up at it like a hundred little bullfrog, but like it's like oranges and a box, like one, two, three, four, five live in their little lies. Just looking up like this. And I was like, sure we have frogs in the book, but that was. So hang on,

Speaker 3:          00:32:40       fred and I had been cooking for years, like, you know, 25 years arguably if not more, I've probably assessed were processed or a French cookie. Okay. So of course we can. We just look at the frogs. We don't say anything to each other. We keep on walking and I go, hang on a sec, fred, walk me through. This goes, how exactly does this work? I know how to do a rabbit. I know how to do a hair. I know how to do a duck. I know how to do any fish. Any seafood. Lobster. Case of frog in the kitchen. What's your first move right now? What's their first move? So we take the live frog. Do I put it on the cutting board? Do I hack its legs off and what do I do with the 60 percent remaining of the frog?

Speaker 3:          00:33:19       Yeah. Is it, is it ground? Does it end up in dumplings? Where's that other part of the frog going? Is it soup? Is it broth? Know that's an amphibian. It was fascinating. Did you experiment? No, I'm mortified. And after that we went to Tony's memorial. It was a Chinese restaurant and I was just like, I couldn't eat because by default everything had like frog in it in my head. So you were freaking out just because they were alive staring up at you know, because I know that the legs are delicious. I know that, you know, if I chop the legs off and I peel the skin and I dredge them in flour and I fry them and I served them with garlic cream, that they're delicious. There's delicious chicken wings. What I'm worried about is the frog is so big and you know, the discarded part of the frog is a size of a softball. Right. So yeah. It's like eating the stem of the apple and leaving the apple in cooking. We don't throw stuff out. Right, right. So I want to know what happens to that part in Chinese cookery or French cookery? Well,

Speaker 5:          00:34:28       the place that you guys were at was a Chinese market. Yeah, it was one of those hole in the door, kind of like supplier and it was like we got it. There were claims that were wink Perry winkles. There were like all like Google never processed trogs in my career. Really, you know, when I've gotten fresh frogs, I was working in France and it was just the frog's legs and a button in a basket. But even then I would wonder in France, where does that other part go? I know this is a very disturbing, what seems like there's got to be an answer to this. Maybe. I don't know. It would be the people that I would call one ton stuffing. Right? Sort of boiled and I'm hoping they're discarded. I just googled it and the video is a graphic. Let it go. Let it roll.

Speaker 5:          00:35:15       I can't, I'm not going to put it up on Youtube. Okay. We'll put it up. Put it up for us so we can see it. Here we go. Okay. Oh No. They don't even bother killing them first. They just do it on the fly. So the legs off off. That's exactly how I pursue ease. Okay. So they squeeze it out once, cut the head off the. They squeeze it out like A. Would you describe that? Like they're appealing it now. Right? So then they squeezed the, they squeezed the innards out through the neck cavity. The last of toothpaste. Yes. That's a good way to describe it. Yeah. Okay. So then they take it. Now it looks like a man because it's headless. It's like a headless man that's. It's like one of those you use to draw bodies there? Yeah, I would, I would. I would point you put the batteries to the hind legs.

Speaker 5:          00:36:07       Batteries know in like high school. Oh, right. You put the little battery in the back. Light cigarettes in them. He's chopping them up. It seems like he's leaving the bones on. Is that what he's doing? Yeah. Okay. So you know what, it's really great that we're watching this because I'm a lot less horrified by the whole prospect of it. So he's just hacking it up. Bones intact and then. And chucking it into a basket so it doesn't look like they're missing much other than the guts. So it seems like the energy and then they seem to be boiling all that stuff and okay. So they put it in a soup with the bones and tact and you just sort of highlighted that it. Yeah. It's funny. If I had to make a dish with data and make the super daily lives inside the water lilies, I mean with lily pad soup with frog.

Speaker 5:          00:36:53       What is. Have you ever tried anything with no leaves? Look like lily pads, right? Those are hot right now and cooking. Do you guys try to do that, like add some of the ingredients of the native environments of the tricks to cooking? What are the best tricks or cooking? When you chef told me this a long time ago in France, he goes, well, chef, what should I cook with a lamb with? He goes cheesy. What would it eat if you had a land? What would be growing around it and it automatically. You just scroll down. If I had a lamb and a p, an acre of land, what would be around it? There would be turnips, there would be carrots and onions. There will be apples, there'll be pairs, there will be time, there will be basil, there would be garlic, there would be. So just.

Speaker 5:          00:37:32       There you go. Traditional idealic environment. Yeah. The problem is is when you have lobster and you cook it with mangoes, right? We're lobster is where law comes from. There's no mangoes, so the recipe doesn't make sense. Might be delicious, but it's dumb. But butter, lobster and butter, they go together. Lobster, butter, potatoes. What else grows their onions? A Prince Edward Island. Okay. Small island in the Gulf. One of the provinces of Canada. We have cows. So you'd say those and lobster. Three resources. Not the. Not the actual environment. A rabbit. If you have a rabbit in your backyard or you know, in the line of sight. Right. I get what can you see there? Oh, rabbit with apples and carrots. Makes Sense. That makes sense. Yeah. But. But what if lobster and mango is fucking delicious? Yeah. But then, uh, you know, for other people to do, we have our principals academically incorrect.

Speaker 5:          00:38:28       Incorrect. That's fascinating. One of my favorite pizzas. Don't get disgusted at me. Don't hate me. Pineapple and Ancho. Pineapple and anchovy. That's right. Pineapple and ham and pineapple and anchovy. It's God damn delicious. I fucking love it. I don't care what you say. Who does that though? You'd invented that. I might have. That's good. Now I want to try it. I want to try frog soup with lily pads and pineapple and anchovy pizza with both. Part with the pineapple and hard with the anchovy. Do you want to write a book? Three with us, with Joe. I'm good at elk steaks and I know how to order pineapple and anchovy pizza. I have to say that when they see your picture you posted if you're a meat cooking. Not Bad. It's always on point. Thank you very much. Because there's a lot of hunters that post up pictures of their dinner and it's not because like you can take pictures and they'll look beautiful with like a vanity thing.

