Speaker 1:          00:00:00       The joe rogan experience showing by day Joe Rogan podcast by nine.
Speaker 2:          00:06:18       A smart, yeah. Well, sue said, enough said enough. I can't do it. I need it. I like having the phone. First of all, if I had a flip phone, it wouldn't be recording a podcast right now cause I need a fucking iphone for that. Because the first thing you do in the morning, do you wake up, you check your phone. Sometimes it shouldn't, but sometimes I did. But it is for me using it, man, you can't help it. I try not to. What I've been trying to do lately, I checked my phone to make sure nothing important is going on like a, I'll look at my text messages, make sure that they're okay. Nothing's crazy. No one, no nine one one calls or something. And then uh, then I just try to start my day. But I used to, I used to do it. I used to hit it hard for like an hour check the news, check all the bullshit, check my twitter feed, check all the lakes people post me, check what I'm supposed to be doing, check this, check that.

Speaker 2:          00:07:10       I don't, I try to do that anymore. Yeah, I spent a fair amount of time off the grid and in this connected like that through the past 10 years. It's, it's a weird kind of addiction because it's a, I think that's what I felt so when we got out here, it had been a long time since I'd been offered, but we got out here and it was like, Holy Shit, this is great. It's good, it's quiet. I think we're doing something weird to ourselves by constantly being connected to everything and everyone and everyone's terrified to be disconnected, terrified to take a week off of just nothing coming in, but your own thoughts, the world, the actual world that you see in front of your face, which is not what we get a lot of times I haven't, I've been talking about that a lot is that there's a real problem with getting all the bummer news from 7 billion people all over the world because you get a distorted perception of what's going on in the world because you're, you're connected to everything that's happening all the time, 24 seven, anytime, anytime anything fucked up goes down.

Speaker 2:          00:08:18       You hear about it instantly and it just gives you this, this feeling that the world has fallen apart. But meanwhile, most of the time nothing is happening where most people are. It's the pre, pre iphones or pre these kinds of phones. I, I really did disconnect from, from news. I wouldn't watch news. I didn't have a TV. I do. Nick didn't do all that, but I, there's no active claim that anymore and there's no way that, I don't know how it would extract myself from that stream of information now because it's just, it is everywhere. I mean you can't, you can't open one web browser or anything without seeing anything. So I, I dunno, I have a

Speaker 3:          00:08:56       hard time with it. I really do. I don't, I don't like to know. And now I actually, lately I feel responsible. Lately I feel more responsible that I do need to know. I don't know. I think it's about managing it, man. I think that's the big thing is managing it. Don't you know, you don't have to completely disconnect yourself from the world, but just connect sometimes and you know, and, and know when you're getting too much. Like I'll go down those, you ever go down one of those youtube rabbit holes? We watch one video on big foot. I see. No, it's four hours later. He was like, what the fuck just happened? Interviewed, you've watched several people get eaten by crocodiles. And I watched this thing, the top crocodile attacks of 2016. And I'm like, what the fuck is wrong with me? Why am I watching this?

Speaker 3:          00:09:47       There are good ones. Oh man, really good ones. It's awful. It's just awful to support assholes. So it's a noisy, it's noisy life. It's a busy life. And to me it's almost, it's the business that I can second more than anything else. It's a constant pushing it to everything that's going on to the, whether it's for a hunter, for whatever reason of getting disconnected. That is the part that I, um, I dunno it, that, that that's what light that lights me up and makes me happy just to, just to fucking settle down. Like don't have things to do always. And always be going somewhere, always doing something. And I try to live a pretty relaxed life anyway, but I mean it seems too busy. Well, you were taken into a whole nother level this weekend. You were talking about one day one and to go to the mountain by yourself for 40 days.

Speaker 3:          00:10:38       I would, I would love to do that. Yeah, that would, I'm sure I will do it. I do a lot of meditation and then in the lineage of meditation that I do, there's a lot of a solo practice are basically solo retreat where you go either in a cabin or out of the woods or whatever you or whatever you want to do and you just, you just, you're just there by yourself doing your thing. And I have not had a chance to do that recently. I also used to, when I used to be a wilderness guide and it would run programs for people, they would always do a solo at the end of their wilderness experience to sit down in the woods all alone by themselves, four days, six days, whatever it was. Yeah, man, it's, it's a weird thing. It's not something I think that most people are drawn to.

Speaker 3:          00:11:18       I don't think it's a type of thing that, that um, you know, I think it is a weird thing for people in our culture, but I think there's something massively valuable to be gained by that just self now and self experience. Just this reflection. Oh yeah, yeah. Well reflection but then also exploration I think, you know, have your own thoughts. Yeah man. And like what's actually there? Like what's really inside you? What, what, what really, you know, disconnected from all the input of information and the need to go and do stuff and the need to say stuff but just like fucking be

Speaker 2:          00:11:53       there with what's going on with, yeah. Yeah. You know, I'm a big fan of a, the isolation tank and you and I have talked about that. But uh, one of the things that's weird is when I tell people about it, they, I've had many people says to me, Oh, I don't want to be alone with my thoughts. Like, oh no. Yeah, you don't want to be alone with your thoughts. You want to know how you really feel about things and explore whether or not you're right about things are wrong or whether or not you have a bias or whether or not you have some sort of preconceived notion. You know, one of the things that I've found that a lot of people do is they have an opinion on something and then when confronted with new evidence, they do their damnest to try to defend that original opinion. Dig again. Yeah. They could do it again and they fucked themselves. You gotta be able to be flexible with your, your ideas or not you.

Speaker 3:          00:12:46       Yeah, man. Totally. And so, yeah. So the idea of like going out to mountain and being there, to me it's about, I think there's a disconnect in our culture from the actual experience and however you want to say that. Your actual physical experience that you're having in the moment, the actual emotional experience or the even even mental experience. I think that there's so much controlling us, you know, we control ourselves or other things. All the other forces control us. But the actual sitting in what's actually happening is to me the most compelling, uh, part of being alive. And I think there's a lot of ways that people go about doing that. Uh, but it is challenging and it's not, it's not something that, yeah, you're right. People, it scares the shit out. You know? Why? Because it is scary. I think it's, it's, it's intense life. Some tense, you know,

Speaker 2:          00:13:40       so you actually have to confront what life is when, when nothing else, you know, when, when you're really just thinking alone by yourself, nothing else is occupying thoughts, not a television show, not an album. You're a law. And those things are great too, but to be alone with your thoughts.

Speaker 3:          00:13:58       Totally. And I actually, and I think it extends to, to being with other people too. Like if I think there is something to be practicing, being able to be present in the experience that's happening. Right. And I think that different spiritual traditions are searching for that thing, different, all kinds of different things that people do to try to feel better and do better at life. And, um, so yeah, the practice of doing it yourself I think is one thing. And then, um, I think an even more challenging thing is sort of that sort of, uh, rodness or, or, or simplicity or even connection with somebody else presidencies even fucking harder. So I actually think it opens up with a way of living life that is a, I dunno, fascinating and really exciting.

Speaker 2:          00:14:45       Yeah. And an important point about being alone too, because when you're around other people, other people influence your thoughts, they influence what you feel, the influenced the way you react to things and to be alone. And then on top of that to be alone in nature. That's what's, that's really interesting. That's really interesting to me because that was a tornado out there. Yeah. It's like a dusty twister dust bin over the call. Went to that cross. God Damn Tornado, I better run for the hills. I think that's what hit us like, you know, before we came into Austin and we've got swiped, but I think it was one of those, we got hit by this huge Austin, Nevada, by the way, not Austin, Texas. I thought you locked doors too. I do. I like Austin, Texas. I Hate Boston, Nevada. I'm just fucking around phones. Um, but the place where we are at, um, is particularly unusual kind of nature cause it's, it's desert, but it's uh, it's got these sage plants everywhere.

Speaker 2:          00:15:46       We should really smell awesome when you step on them and break them. They have this cool, you know, say he just got a great smell to it. So you have this, the sage plants all over the place in these very small shrubs, occasional trees, not that many, but mostly like these like six foot high and most shrubs. And there was a few of those trees like those cedars and there's a, and these red Mahogany, so it's, it's high desert. So high elevation desert please. Big massive basins, flat basis with, uh, pretty, uh, sharp and tall mountains. Kind of, I mean, each of these basins in the valley and up to what, what was it, 12,500 or 13,000 feet? Yeah, just above where we were hunting. We were really high up there. We were above 9,000 feet and there's a rock slides everywhere where like the, the side of the mountains are eroding and we had to climb up that shit. It's all these like chunks of rock and especially problematic when you're trying to sneak up on these fucking awesome hearing mule deer. Cause everything's like clank client. It's like, like you're stepping on broken pottery everywhere. It's just weird. It almost looks like somebody made it, you know, when you see all the, it's like somebody decided to make like a giant runway filled with broken chips of rock.

Speaker 2:          00:17:10       Just really, really cool. But just like an alien landscape. I've never been to uh, the, the, the high country, the desert up there before. So for me it was a, it was a first and it was also, um, it's, it's beautiful, but it's, you don't want to live there, but it's, it's cool to visit. You know, it's like one of those things I don't want to, I'll dry it is, that's my only beef with it. I think it is beautiful, but it's, it just looks like it needs a bath. But it's interesting too because it's so perfect for these deer, the deer everywhere up there and they're fucking big and fat and healthy and all they're doing is eating these sage bushes and then taking naps and running from mountain lions and shit. Cause we found some big thick ropes of shit there were filled with hair that is either a giant fucking coyote or most likely a mountain lion or maybe bear.

Speaker 2:          00:18:08       That one seemed way too big to be coyote's. That's a, that's a, that was a mount lunch, right? Probably. Yeah. Woke up one more. Buy a pack of coyotes around us. Yeah. How they were fucking scream and they sounded so awesome. There was screaming. It's interesting. We only saw a deer and uh, we saw a couple of coyotes or scanning the horizon. But the landscape for people is death. If you lived out there, you'd be fucked. First of all, you never catch one of these deer. If he had a rifle, you have a really good chance because for some reason they know your bow hunting so they stay and like one 61 70 yards and just fucking stare at you. But anything you get inside of that they're like, fuck this. I'll be dear. Did you, did we get within a hundred yards of like maybe two groups, two groups?

Speaker 2:          00:19:03       The first day we got inside of 30 and I could have had a shot if it wasn't for it. We only had a tag for a buck. I should probably explain what a tag is. We're hung on public land. Do you may not know this because uh, most people don't, and I didn't until I started hunting, but we, the people of the United States of America own massive chunks of land is your land is my land. It's like that song, this land is, you know that. But it really is that it's not just in theory, it's public land and it's rare because most countries don't have what we have. We have these giant chunks of forest that you can hunt in and you could fish in and you can hike in and you can camp in. You can do all these different things, but to hunting them. Um, one thing that people don't know, especially people that are like down on hunting, is it hunting is closely regulated by wildlife agencies.

Speaker 2:          00:20:02       That's manned by biologists that are working on science and data for that particular area. So in the area where we were at, it's not that easy to get a tag. So Steve Rinella, how to use his points to get me in there as well. And what points are as you put in for a tag you have to put in every year and it takes like a few years. So if you can hunt in this place, you could probably only hunt here like every three years. But there's other places like the Nevada Strip, which is on the Utah, Nevada border. That is so awesome. There's some strip that's in Nevada, I'm sorry, Arizona Strip, which is on the border of Arizona and Utah, which is the most cherished place for mule deer. Where you can only hunt. They're like once in your life. Like literally it takes like 20 plus years to get a tag like area.

Speaker 2:          00:20:52       I think it's a 13 v. Yeah. So it's supposed to be the shit. So these places, um, it's not, there's not a lot of people there. Like we were like, we saw a few people while we were there that were also hunting. Uh, shout out to James Kawasaki. It gave us some, uh, some great tips. We met a really cool dude from Hawaii, James Kawasaki. We found him a hunting up there and he gave us some good tips about where to go and study. Know he's such a fucking good dude. It's cool when you meet someone like that is doing the same thing that you're doing. And then he was leaving and we were comments, be able for generous. Yeah. It wasn't a guy who was like, I'm not going to give you information, which happens. Yes. Yeah. You get people that want to hoard, hoard their honey holes.

Speaker 2:          00:21:38       But he gave us all this information so it still doesn't help. That's probably why he gave us the information. She's like, but shit, he ain't get county thing. So for us, trip Nevada folk have been incredibly generous. He was doing this and we're uh, we're right behind a truck pulling a trailer, but that belongs to remy Warren and his family. And they just hooked us up. The stuff in the trailer, two trucks, it was really incredibly generous. Maybe that's the thing about Nevada, maybe it's a big empty placement. Maybe everybody's really, I joke around about, you know, that place being a drug addled Shill, but I, I've met a lot of really nice people from Nevada. I mean it's, it has a bad reputation because vegas is linked to organized crime and gambling and all the other sorted shit that comes with that. People think of it as like, you know, it was horrible sin full place, but that's just a small area of Nevada.

Speaker 2:          00:22:30       Most of my friends that I know that live around Vegas that are involved in like the MMA business there, they're fucking the nicest people in the world. And they'll tell you like in Nevada is like what's outside of the Strip. It's a great town. Like Henderson Henderson's a great town. Yeah. It's really nice place to live. It's real safe. So there's a lot of good spots in Nevada. But uh, anyway, point being we're out here, um, in, uh, you know, it just a really fascinating, interesting landscape to spend seven days but bring a lot of fucking water, that's for sure. I'm impressed that you haven't been in a landscape like this before. To me, this is what the majority of the American West looks like. It's Brown. Yeah. Flat with know bumpy mountains, all of them. Well, um, the first place that we hunted in Montana was a little like this when we're, uh, in the Missouri breaks, which is a right on the banks of the Missouri River.

Speaker 2:          00:23:32       And that's, that's how I got hooked. It's Goddamn Steve Rinella. He was a little crack dealer with this hunting stuff. He gave me the first dose for free and then he got me. But it's the same sort of feeling in the Missouri breaks is that feeling of massiveness and also that you are completely insignificant. Invisible. Yeah. The universe or the world, the natural world around you. It really doesn't give a fuck. You could fall and smash your head open on a rock and those wheel dear will bounce on by you. Like nothing happened. You know, it's uh, it's just, it's, it's amazing. It's amazing like that. I think the place it's sunk that in the most was probably Prince of Wales, so uninviting Laska one of the harshest places I've been, I don't know. It's weird though because that, that one's like heaven. Hell. Like the sun comes out, it's, you don't want to be anywhere else.

Speaker 2:          00:24:31       But then most of the year when it is raining, because it does need most of the year, it's, it's just, it's fucking miserable. It rained every fucking day. We were there all day and Dan Dodi was warning us before we went, Damn. I was like, fuck that place. I don't want to go back to that place. And Steve and I was like, why you say that? I love that place, please. Awesome. So I swore twice in my life I would not go back and I broke that prompt us. But it is also just amazing. Just so as far as the, the, the animals both under the water and above the water. It's just a rich rich environment. Well then it's, it's also super unusual too. Like the way it looks. It's a rain forest. It is. Well it's close. I don't think it's quite maybe parts of the island art, I'd have to look that up, but he's like, he's a shit ton now.

Speaker 2:          00:25:21       Both what it, when it was really cool about it, there's a lake at the top that's so high up that beavers don't go there, so you can drink right out of the lake. So we would take our water bottles, we just dip it in the lake. It just drink right out of the way. So this place is almost the exact opposite of that. Whereas that place is all just rain and, and lush greenery and the occasional sunshine pops through and you're like, wow, look at this place. It's shines like a green emerald. Yeah, there you go. To, would you rather get dropped off making keep here and there have to make it there. There. You'd probably make it better. You wouldn't make it here naked. Your skin would peel off. You know, there you could, you would be cold as fuck until he figured out how to start a fire, how to kill something and where it's skin.

Speaker 2:          00:26:15       Yeah. You'd have to set it up to be a large thing, right? You have to kill a bunch of squirrels to sew them together, make a Dick Holster, because a lot of shit you can, but then again, if you just take it, that means you don't even have a gun or a bow and Arrow and that's not good. Then those things are good, but I think that Prince of Wales was like the most profound of all the that experience. Like I felt it. The Missouri breaks that, that feeling of like complete Ditto, not detachment, but like it doesn't give a fuck. Then the landscape does not give a fuck it. It's just completely oblivious to your presence and it has existed in this form for thousands and thousands and thousands of years. Did you get that feeling here too? Yeah. Yeah. Yeah, definitely.

Speaker 3:          00:27:03       I was curious because both of those aunts, both of Missouri breaks the Alaska one word. We're, we're a non motorized, you know, so like is there any breaks? We dropped the cars off and we voted and truly, you know you call that a true wilderness experience and same thing with Prince of Wales and we got dropped off by a plane, Andy, if we needed to get out there and in a pitch, you know, we get out of there and a picture it would have been. So I was wondering if that was a little bit of the of the feeling you got. But yeah, there's a little bit more of an ominous sitting set of situations.

Speaker 2:          00:27:34       Yeah. Here we had a truck that we would drive to the top of this hill and then for the top of the hill we walked and fuck did we walk Dan Dodi and I walked up hills at Dai thousand foot elevation, some steep fucking kills two hours and hours every day. Dude, I was hurting. But it was a great cardio though. Awesome workout. So you were telling me about these wilderness trips that you take people on,

Speaker 3:          00:28:04       you like wilderness therapy. So my, my first job out of college, um, I had been living in Panama with my ex girlfriend and we were moving to Utah and I just needed a job and I didn't know what I was going to do. And so I'm going to Craig's list and we looked at salt, the area around Salt Lake City and there was a job advertisement for a wilderness guide or wilderness instructor. They called it, I didn't know this shit existed at that point. So yeah, there's, there's a huge industry and most of it's in the western United States, but their therapeutic wilderness programs, which are tied to a bunch of therapeutic boarding schools. So in the most basic sense, there's kids from generally pretty wealthy families across the country that are having trouble. Their parents don't know what to do and they'll send them away, you know, as an intervention.

Speaker 3:          00:28:54       And usually the intention just to have these kids go to a boarding school where there's a therapeutic presence also. But in order to get into those schools, those schools require a wilderness stage. So, um, so I worked for a program and went out there and, and just kind of, it was, uh, it was, uh, uh, the type of program where everything was made by hands. He got out there, you will given a half of an elk hide, you were given a knife, and then you were taught some of the basic skills. So we had to make our own backpacks out of sticks and elk hide. We would sew our own moccasins, we would do all that kind of stuff. And then all the fire that we made, we had to make my hand, you know, with a boat drill too. Whoa. So, yeah, so it was, it was this amazing, it was really life changing for me because I you, I love the outdoors.

Speaker 3:          00:29:42       I love the wilderness and all that kind of stuff. And then I didn't know what I wanted to do with my life, but got out to this place where there's literally walked out into the, actually, it looks a lot like this where I work. So just these massive brown dry wilderness areas and got out there in these groups of kids. Um, some of these kids would stay in these programs for 90 to 120 days. And so literally, and here's the part that I still very much don't agree with and I don't like, is that these programs would literally kidnap you out of your bed. There's companies of yelling, but yeah, man. Yeah. So there's like, you can do that for a job. You can be kind of a heavier, a tough guy that literally goes for an intervention, flies to a family's whole, takes the kid out of their bed and flies them and drop them in the middle of the wilderness.

Speaker 3:          00:30:30       And it's, it's, as you can imagine, it's traumatic man. It's, it's not like you're, how old are these kids? Usually? 14 to 19 is low. 19. That's an adult. Yeah. Well that's where it gets sketchy as far. So that's sketchy. Maybe I should say 14 to 18 and the adult too. Yeah. So they have ways to sort of override the age system at, at times. Um, yeah. So these programs are meant to sort of give the kid a chance to look at their lives, how they've been behaving, and an opportunity to just kind of like we were talking about, but reflect and sort of explore and learn. And there's, there is actually, there's a lot of good, there's a lot of good that happened. It's like it really does help people. Um, and there, in my opinion, there's a lot of bad too. I don't think you can ever imagine that you could literally kidnapped the kid out of your house and not fuck up the trust you have with.

Speaker 3:          00:31:27       Yeah. It's, it's messed up. Um, yeah, but that's, so I did that for, I started there and then I started working in a more state run sort of correctional programs. So for a long time, and I lead the trips in Minnesota that were, um, it was a 21 day sentence, but it was basically an alternative to a 60 day Juvi sentence. So basically you steal a car, you could either go, the judge can either send you to Juvie for 60 days or send them to me and then we'd go on a a bad ass, like, you know, 200 mile hiking trip or something. Definitely take that over at Juvi. Oh yeah. Well, but yet big for obvious reasons. But then the other reasons too is that, um, you know, these programs are generally run by really like grounded good people that treat people well, at least the ones I always worked for.

Speaker 3:          00:32:19       I worked for programs with really like exemplary leadership and you know, I think what these kids could learn and those programs as opposed to go into Juvie, you know, being in the shit holes that doors are, it was a, it was a really bad, much better option, you know? Yeah. I would imagine that's a way, way better. But just to kidnapping part is crazy because the states, they've given up on discipline their kids so much that they just say, all right, I can't, I've, I fucked up raising this kid. It's time to just electro shock therapy. Jolt them with wilderness. Totally, totally. And it's a long, slow, uncomfortable shock, like 120 days in the desert like this and this. Oh my God. So when you get these kids, so like if they're kidnapped, how many days into this kidnapping do you meet them? Well, day one.

Speaker 3:          00:33:14       I mean the data right away. Yeah. So a lot of programs have kind of like a, an inbetween camps. So you come in and maybe the first two weeks, like a halfway house. Yeah, yeah. Like a wilderness halfway house, like a base camp, you know, like where you learn how to do some of the skills and maybe you start. So the other thing is is there's relationships with and therapists have these programs and that's how it works, you know? So there's the people that work with the kids directly are like what I did, which as an instructor, so it usually there'd be two of us, two adults with a group of 10 kids and it was all an all boy usually segregated into, into male and female. So I pretty much just work with dudes for a long, long, long, long time. So it's the instructors with lead the days and you'd usually hike or float or whatever you do and you know most of the day and then you would run, you call them.

Speaker 3:          00:34:06       Circles are like processing things where everybody would use will really, a lot of it was came down to learning how to communicate and communicating honestly and openly as really good. Actually I learned a lot by, by being there doing it. But then once a week or twice a week, a therapist would drop in somehow magically and have therapy sessions with everybody. Huh. So a therapist, they didn't even know, well they developed a relationship with them, you know, and they'd worked with him for, you know, three to four months that they were there. So they became a pretty fluffy, you know, usually they became pretty close with the therapist too. So did that, did it stick with many of these kids have so many questions, did it stick with them? Like wait, how many of them, like that experience actually changed their life so that, yeah.

Speaker 3:          00:34:54       Good, good question. And I don't think anybody has the actual hard numbers on that. Maybe some people are looking to get that and they call that recidivism. Right? Like if he ended up back in the morning are um, I know for a fact that I stay in contact with a ton of the kids that I worked with just cause you know, we've got to know each other really well and respect each other and became friends. And I know I've seen the benefit almost across the board. Like, like good things learned, a lot of growing up happened, you know, it's kind of like a forced right rite of passage in a sense. You know, the idea that forced, right? Yeah, of course. Read of passage, which I don't agree with the forest a lot of, I know a bunch of those kids I could point to 12 right now that I know just kind of turned around and maybe went to college or didn't go to college but ended up having good relationships with their family, are feeling good about life. But then there's probably far, far, I know there's far more where that didn't necessarily happen. I don't necessarily think it was a bad deal for them to go through that experience. Um, but it's, it's not, it's not a cure all, but what it does, I think it's self selects for, for people who really do kind of want to figure shit out cause it gives you a break and time to do that.

Speaker 3:          00:36:19       But yeah, no, I wish I had, I wish I had more time.

Speaker 2:          00:36:21       How much resistance did you experience? Like when these kids were getting kidnapped and all of a sudden they would come to you? Like how many of them were like, fuck this, get me home please? My mom. Many. I mean, yeah, I don't know. 30 40 50% of just like either shutting down completely and not compliant with anything. I'm more, you know, direct, direct sort of resistance or amy or things like that. Most of those come around. What's up? Did they come around? Oh, totally. Yeah. There's not, there's only a couple folks, a couple of dudes I ever knew that kept it up, you know, that kind of had the, had the stamina to keep that up at some point. It was, you know, it's just sort of like accepting the fact that you were there, you know, I mean cause fuck man, they get get literally dropped in the middle of a desert and you're told you're going to be there for three months or four months at some point.

Speaker 2:          00:37:12       You either have to accept it. Well not either. I think. I think you just do just kind of, you know face reality. Well for someone who's on a fucked up path, it really might be one of the only ways to correct it, to give yourself that chance. Like we were talking about being out there in the desert, the high country and you get kind of like a little bit of a reset. Like you get to relax and be alone with your thoughts and just experience a completely different set of, of the input of a set of data than you're used to. We're used to like certain kinds of data and the input. And for a lot of these kids they used to hanging around with fuck ups and being around their asshole friends and doing stupid shit together. And they get stuck in these patterns. These grooves get cut deep and the momentum of their life and their past is incredibly difficult to escape. So that's why I was really excited to hear about this when you were telling me about it. I was like, oh that, that might work like for some people. Right. Well, so, and then you asked, so how many does it work for? One of the tougher things is that even if it does work, so say you yanked out of your home and uh, like just said, so your, your

Speaker 3:          00:38:36       home and your friends and your community has so much to do with, with how you end up interacting in what you do. So even if you get sent away for four months or even years to these programs and then you may change, we pro club, not even me, you will change your a kickboard someone will change, but then no matter how much you change it, you go back to that situation that you came from the house, your family, just the culture that you're in. God, is it hard to, uh, to, to walk, to not slip back into old patterns, but then also even just to fit in that site. So that's, that's what I've been working with kids the Way Leon is that, you know, go away and have these big experiences that they, then they go home and mom and dad are still exactly how they were. And you know, as a try to be impartial. I don't think I'm good at being impartial, but I try looking in getting to know these kids and all the things that they went through. It's so fucking hard not to point. Every finger had the family and the pen.

Speaker 2:          00:39:38       And you know, what's hard is that the parents were raised by equally fucked up. So it's almost not even their fault. No. The, the line of blame, if you want to do that, can go back and really long. So the monkeys from the trees, if you believe in that. Yeah.

Speaker 3:          00:39:52       So that's the thing about a wilderness, like a long intervention like that at that, I think that's what I meant about self select because it's possible for somebody who really wants to change stuff, you know, to change, to change the momentum of your family, to change the momentum of your past. It takes a lot of energy to do it. It takes like a lot of dedication, a lot of letting go of a bunch of stuff. But it really is a pretty amazing thing to, to be a part of. And that kind of experience does facilitate that sort of thing if one

Speaker 2:          00:40:22       wants to. But then like I said, once you get home, it doesn't give you, it's not like it gets easier. But yeah, you certainly can grow a lot and you can change a lot. It's almost like we need that for parents too. Yeah, man. Yeah, totally. I agree. I mean, parenting is a very bizarre, it's sort of a, it's incredibly complicated, very difficult to do. And it's an unbelievably, she neutra responsibility to be in charge of the, the really the future of a life and all the people that life is going to touch. So if you're using your son is you want to grow up and all the things that you teach him and all the experiences that he has with you will reflect on how he interacts with other people. And that ripple effect carries on to thousands and millions of people potentially. It's, it's incredibly, it's so much responsibility and it's incredibly difficult to do correctly. And there's no fucking, there's no requirements. Anybody could do it. I mean, it's like one of the most important things in the world is to raise a person that's to affect other people in a positive way and

Speaker 3:          00:41:36       so fucking hard to do. So hard to do and yet so easy to be in that position. All you have to do is fuck it. Everybody fucks. No, I can't stop thinking about it. My, you know, my boy was born two months ago. My first kid and um, I feel all of a sudden saddled with this responsibility, not, it actually just go, it's going bond beyond him. I feel like. Yeah. I just think I feel so much less of a narcissist than I ever have that just that it's not about me and I need to clean my shit up. I need to, you know, get my act together. It should give him a as good as an example if I possibly can. You know, I think that, and I don't know, you know, I'm a very new dad. I don't know this, but I think one of the best things we could do as a people, as a culture is for, yeah, Pete, for parents who are put in that position with all that responsibility to somehow look at themselves real hard and take that time to, I don't know the best way to put it, but just improve themselves rather than trying to figure out how to parent a certain way or parent better.

Speaker 3:          00:42:50       I really think the best thing we could do is just be better people, would be better humans ourselves.

