Speaker 1:          00:00:00       Huh
Speaker 2:          00:11:24       That's right. And there somebody in Vancouver, these really cool rat park experiments. Yes, that's what you're referencing. And um, basically they thought that this was inevitably what happens. But in fact, if you give a rat a beautiful cage with some things to play with some other rats to hang out with some nature, you know, some shrubs and things, it will not take the cocaine. And that interesting. It tells us that environment has a lot to do with drug addiction. I think for sure with human beings too. I mean, oh, human beings in these really fruitless lives that are very, very frustrating. I think about the people who came back from Vietnam. I mean, I don't, I don't know if I should say most, but a very high percentage of, of the troops in Vietnam were on heroin when they were there. They were seemingly addicted.

Speaker 2:          00:12:07       They were using an all the time and they got back and only 10% had a problem. Um, the others were able to kick it really easily. It's very contextual. It's not all biology, it's about environment. Now, when you were researching this book, um, did you, did you start doing your own personal experimentation? Yeah. Um, I had a series of trips for the book. Um, I had become, for a couple of reasons I'd become very curious about the people I was interviewing, trying to make sense of how they could have these transformative trips on a drug, which seemed implausible to me. Um, and, uh, I also kind of got jealous of the experiences they were having. They were having these big spiritual experiences. And I swear, I don't think I've ever had a spiritual experience. I'm kind of spiritually retarded actually, or was, and um, so I, I realized at a certain point I had to see the experience from inside to describe it in a book.

Speaker 2:          00:13:06       It's also kind of my brand as a writer when I wrote about the cattle industry, I bought a steer when I wrote about architecture, I built a house. I like to get my hands dirty and see things from inside. There's a quality of wonder you can capture doing something for the first time. So in a way, the fact I was psychedelically naive, I saw as a positive because people who've, who really know the territory are not going to have quite the same first experience that was going to have. So that was really helpful. So I, um, I did a few things. I, I went, um, mushroom hunting with Paul stamets. Has he been on the show out there? Yeah, he's a very cool guy. He's crazy. He's totally crazy. And he took me to a spot where you can find the strongest silicide been known to man that he civic northwest.

Speaker 2:          00:13:53       It's near the mouth of the Columbia River. Um, I can't be more specific than that. Don't, you know, people would their mushroom spots. Yeah. So, uh, we went hunting. It was like this, you know, uh, for Lauren December weather and uh, he took me to this place and uh, we spent a couple days outside looking for these mushrooms and we found a salon Ossipee as your essence, which he, he found for the first time and named after his son is serious. Oh Wow. Who in turn is named after the color of mushrooms when they're bruised as your, so there's kind of an institute is committed to fungus.

Speaker 2:          00:14:31       He's all in. He is all in wood fungus. And I was very excited when we found a couple and they're hard. I mean, I would not recommend do, do it yourself with psilocybin just because it's not like looking for Chanterelles and morels. Right. There are mushrooms that look exactly like silicide been that can give you a, just an agonizing death. Yeah. But when you're with Paul stamets, you feel pretty confident. Right. And, uh, so we found these and, uh, he said to me after we'd found them, we were sitting around the campfire, we were cooking some dinner outside our Yurt. And, uh, he said, yes, I, these, these are almost too strong for me. I said, really? Why? He says, well, they have a side effect that bothers some people. I say, what's that? Temporary paralysis. Oh, I know why that would bother anybody. So weird.

Speaker 2:          00:15:19       Yeah, I know. I know. Piki Piki Oh my God. I was a little reluctant to take them, but I, I, so I did, I had, uh, my first deals I had been experienced since my twenties was a, and at the time I was like 60 or approaching 60. Actually, I have to be very vague on where all these things happened, when all these things happen. Um, uh, and I had a, a kind of a wonder, I didn't take a lot of them. I made a tea and I had a really powerful experience. It was very much about being in nature. I was at our house. We have a house in New England that we've had for many years and I was in my garden and you know, I've written a lot about plants and I've written about plant intelligence and planet consciousness and things like that. And I've always believed intellectually that plants, domesticated plants are acting on us.

Speaker 2:          00:16:05       It's, it's not just, it's, it's a two way street. We change plants, they change us. We have been, um, uh, in the same way that say the apple tree or the flower is manipulating the B, making it come, pay attention to it, offering it nectar and exchange for it, picking up pollen on its legs and doesn't even realize what it's really doing is being tricked by the plant into pollinating it and caring it's genes down the street or around the world. That's happening to us too. And plants work on us and I, it's a slightly trippy idea, but it's just co evolution. That's how co evolution works. So in, during this experience, I felt that in a way I never had that idea became flesh. And I felt that these plants were kind of looking back at me. Uh, and that they were very benign.

Speaker 2:          00:17:00       They had only good intentions, but that there were more subjectivities in my garden than I thought. You know, we go through the world thinking we're the only thinking subject. Everything else is an object. One of the things that happens on psychedelics is everything becomes, has, has life in it, has consciousness in it. And that was a powerful and beautiful experience. And so that was my dipping my toes in. And then after that I sought a guide because I was trying to simulate the experience I was hearing about at Hopkins and, uh, Nyu where they were doing these studies, uh, not just with the dying, they were doing it with smokers and alcoholics and meditators, all these different groups. But I didn't qualify to enter into those. So I had to go underground. And one of the things I learned is that there's this thriving network of underground guides all over the country.

Speaker 2:          00:17:49       I don't know how many there are. Um, but they're very professional people. They're not drug dealers. There are therapists and some of them are trained psychologists or mds in some cases actually. And they're so convinced of the healing value of these medicines that they're willing to risk their freedom, uh, and their livelihood to work underground. So I found my way into this community and um, uh, and, and interviewed a bunch of people and some of them were not the kind of people you want to trust your mind to. I mean, and no doubt there are lots of charlatans. Everyone I I interview is pretty professional, but some of them were just a little too casual about something I was kind of, um, you know, worried about. Uh, there was one guy, I remember this Romanian Psycho naut therapist in his seventies, who, uh, I said, well, what happens if something bad happens? You know, what if, what if somebody dies, you know, while they're with you getting this trip? And he said, you bury them with all the other people and that, that kind of casualness really troubled me. So I didn't work with him. Um, but eventually I found people that I, uh, I trusted and I had a bond with and I had some very powerful, uh, experiences with them and uh, that did change me, uh, in ways that I'm still kind of, you know, digesting

Speaker 3:          00:19:11       now. I would like to see you back to the garden thing when you're having this experience with these plants. I had a experience once on very high dose of marijuana edibles. I went into a grow room that uh, this, uh, local dispensary had set up. It's just big room filled with plants and it was the first time I like when I walked in, it's the first time I've ever been around pot plants where I felt like they are aware that I was there. It was very strange. It you, you had this weird feeling of them having much more sensitivity than you imagined that they are aware of you. But as you said, they're benign and they just sort of sitting there. But it was almost like they were saying hello to me or that they recognize that I could tune into them because I was so barbecue that I was, I was on their wavelength. When you're out there with those plants and you said that you felt consciousness from them now as an intelligent, rational person, did you start pondering whether or not you, we're just perceiving this because it was convenient and you were hallucinating and adding all this contextual weirdness to this situation?

Speaker 2:          00:20:24       I, you know, I'm sure I was projecting things. I went to them, but, but I've looked at this question and the science of it pretty closely. Right? And how you define consciousness matters here, but plants are conscious in the sense of they're aware of their environment. They have senses. They're not like our senses, right? They're picking up on chemicals in the air and in the soil and light in very specific ways. And they're reacting not just instinctually, but appropriately. There are experiments that show the plants can learn in some primitive way. So we have to understand that we have one kind of consciousness and other animals and even plants have another kind of consciousness. So it's real. It's a real thing. The idea that they're looking back at me, I'm being metaphorical, but I that they're aware of me, um, in the way that the, um, plan is aware of that the bee is nearby and does certain things sometimes to trap the be and hold it there for a longer amount of time to load it up with pollen.

Speaker 2:          00:21:26       Um, there are the world as we perceive it is dependent on the particular senses we have. We've got the big five senses that you always hear about and there's some other littler ones. Um, you know, how we locate ourselves in space. We're pretty good at that too. Um, but other creatures have a different set of senses and, and therefore they live in a different world. So the beef for example, can see ultraviolet light. We can't see. So if you could get inside of bees head, the world would look very different. And you'd see patterns like landing markings on flowers in ultraviolet colors that they can see that you, you've never seen before. Ditto. They also can experience electromagnetic radiation. We can't, you know, it's all around us. We don't feel it. They feel it. And the reason they do is a plant that has a strong electromagnetic field hasn't been visited recently by another b.

Speaker 2:          00:22:22       So they know this is a good, you're going to get a lot of nectar here. And, um, whereas if you, if you're going by, you know, you're flying by a flower and it's got a soft field, doesn't have a big field, it's probably just been visited by someone else. So skip it. So they're living in a world where they're perceiving cell phone radiation and all, all the kinds of crap we're putting into the electromagnetic spectrum. Um, so, so we have to realize that this is a very specific world that we're perceiving in our normal consciousness. That is the one that we need to perceive. It's good for us. [inaudible] we were designed for reflecting our bodies and our upright stance, everything about us. But other creatures are seeing a different world. And one of the interesting things about psychedelics is you get some insight into that.

Speaker 2:          00:23:08       You, you sort of feel it and uh, it's, it's real. I think in the sense of sure. You were imagining there's still a leap of imagination to understand the world or octopus world. That's a really weird, where their brains are distributed over eight arms. Right. And seeing that recent paper that was just put out, see if you could find it, they're hypothesizing that octopus, they might've come here from another planet, literally not, might've been seeded by another planets. Very controversial, but it's from legit scientist. And what they're trying to think of is if it's possible that the eggs of things traveled and

Speaker 4:          00:23:46       comments and somehow that came here hundreds of millions of years ago. And the reason being is that they can alter their rna and that this is very specific to a Octopi are octopuses. Yeah, here it is. Octopus's came to earth from space, frozen eggs billions of years ago. I don't know if they would put it that way, but it's, it's just a theory, but it's a theory that's being bandied about by legitimate scientists. It's crazy. You can do so many things that no other animal can do. Like instantaneously changed their outside. Yes. To blend into their area. Also each arm we can make its own decisions without referring to headquarters. Really? Yeah. They have this distributed intelligence. Wow. And regenerate as well. Yes. Now they are. They're really, they're really crazy. Um, so this idea that there's something relative about our everyday normal consciousness that there are other ways to experience the world is something that psychedelics puts you in touch with.

Speaker 4:          00:24:43       It was just reading this interview with this physicist named Carlo Ravelli. He's a theoretical physicist from Italy. He wrote this book a couple of years ago called seven brief lessons on physics, very prominent guy. And he was telling this interview or in the Guardian that he got turned on to physics, uh, during an lsd trip he had when he was 15. And the interviewer asked him why was that? And he said, well, I saw for the first time that there could be another way to think about time in instead of, uh, you know, past, present and future that it might all be simultaneous. And that's how it appeared to him during this lsd trip. And he's, when he, when he was back to baseline, he said, um, I, you know, I was asking myself, why am I so sure this is the real world? And that wasn't the real world and it was just an hallucination.

Speaker 4:          00:25:34       And he said, the world as it presents itself to us right now here actually physics tells us is not the real world that there are, you know, that space and time are curved. That particles don't exist until they're perceived by a consciousness. You know, all these crazy ideas of theoretical physics. He said, I, it suddenly seemed like worth exploring that, that the world as it presents itself to us is not the only world and, or necessarily the accurate world. And I was very interested that a scientist could develop that idea of a beyond in the way you would think of a religious person developing the idea of a beyond that there's a scientific beyond and there's a religious beyond and psychedelics at least gives us a hint that, that those worlds exist. And that was, um, that was very powerful, powerful idea for me. Have you looked into any of the connections between ancient religions and psychedelics? Like, uh, any of the John Marco Allegro stuff? Yeah, I did. I didn't go that deep into it. I went in deep enough to know that there are a lot of very serious scholars. Um, and, and he, allegro is one and Carl ruck another.

Speaker 2:          00:26:44       Um, and Gordon Wasson, the guy who kind of brought silicide been to the west who I write about at some length in the book, really believe that it was a experience of psychedelics, which has been in culture for thousands of years. Um, we know, um, whether you're talking about the Amazon or Africa or, and that these experiences may have nurtured the religious impulse, you know, where do you get the idea of, of, of, beyond where do you get the idea of a heaven or a hell, if not from some altered state of consciousness? You know, people talked about visiting the underworld in homer's time. Um, so how did they do that? Was it dreams? Uh, dreams don't have the authority that psychedelic experience has? Um, there's something about psychedelic experience that, that, uh, has this, it's not just an opinion, it's just not, it's not a fantasy. It's something real.

Speaker 2:          00:27:38       It's objective truth. This is William James called the noetic quality of the mystical experience. Um, and that's certitude, um, comes from psychedelics. And so it seems totally plausible to me that at the very earliest stages of, uh, humanity, if people were indeed taking psychedelics, this might explain how they came up with these ideas. Um, there are other alternative theories and it's not provable. I just don't know how we would begin to prove it, but it seems plausible. Um, and you know, the ancient Greeks had a psychedelic that they used, we think called the, they called it the Kiki on k, y, k, e, O, n. And they had an annual, a ritual ceremony and it was the only time in the year where you could use this drug. And it was a ritual to for diameter and harvest or planting time. And everybody in Greek society did this and people, it was, you had, it was secret, it was called the mysteries, the Eleusinian mysteries and you weren't supposed to talk about it, but there's a few accounts around and people talked about visiting the underworld, making contact with the dead and um, call ruck who's a classicist to be use as well.

Speaker 2:          00:28:50       That was a, that was a psychedelic potion and we don't know what they were using, whether it was mushrooms or something else. Um, the Greek use of drugs is very obscure. They only talked about wine, but the way they describe what wine did to you, there was clearly something added to it that they were adding other plant drugs to their wine because they would have these tiny little glasses. And they'd take these big trips so we don't know what it was. Yeah. Tiny glasses of one tiny glasses. And they were very careful about when you used it and, and you know, people would completely lose control and it was just like, no, this isn't wine. This is something else. Yeah. It is some sort of a psychic delicate from grapes or know it too. Well, I mean, we don't know some people, Albert Hofmann who discovered lsd or invented Lsd, he thought it was air, got that. They'd figured out a way. Air God is a, is a fungus grows on grain.

Speaker 4:          00:29:42       And it was uh, the, the precursor chemical to lsd comes from Aragon and uh, air. God is responsible for episodes of mass delirium and European history. You get a really wet year. The air got grows on the Rye. People eat bread made from it and they go crazy. Some people think the Salem witch trials was came after a wet year and people had absorbed, these women had eaten air, gotten, we're having visions and things like that, which was interpreted as witchcraft, which to them was a very thought there were saying that the men had absorbed that and thought they were under spells. Maybe, maybe, maybe that too. I just trip everybody's, yeah. So, um, anyway, so, so they just eat air. God, you're not going to be, you could get gang green. It's a myth. It's not a clean chemical. And, um, but the thinking of, uh, Gordon Wasson and call rock and they were collaborators on this theory, um, was that the Greeks perhaps had figured out a way to derive a pure chemical from Aragon that could be made into something very much like lsd.

Speaker 4:          00:30:49       But again, nobody has succeeded and they've tried for the last 20 or 30 years to take air, got and make something, you know, through simple processes that the Greeks could have mastered. So it may have been a mushroom. Um, you know, there's a lot of psychedelic plants out there. It's one of the mysteries of evolution that, you know, dmt is like coursing through the plant world, thousands of plants. So, so I, I do find it plausible that there is some links between psychedelics. I think psychedelics have have influenced cultural history at various points along the way. And one of those may have been to kind of nurture this religious impulse, but again, it can't prove it. The Greeks spent, uh, some of the great Greek scholar spent a lot of time in Egypt as well. Don't know anything about that really. I was wanting to try and figure it.

Speaker 4:          00:31:37       Yeah. That was, they were trying to figure out what psychedelics, if any, the uh, the Egyptians took and they'd never really figured it out. They made some connections to dmt that is sort of loosely connected to their worship of the pineal gland. Yeah. Right. Where we've found DMT and rats. Yeah. The, yeah, the Cottonwood Research Foundation. Yeah. So you did that film about DMT, right? Yeah. That's really interesting stuff that there's been very little follow up on that. I mean this idea that there might be an endogenous psychedelic like dmt I, as far as I know, we've only found it in the rat. It's hard to look for it and the amounts are really tiny. Well, they found dmt in people, but they haven't found it in the pineal gland. If they haven't, oh, is that right? Founded on the liver and the lungs and that it's being produced that they know that humans produce it and it's indogenous but they don't know whether or not the pineal gland does.

Speaker 4:          00:32:27       I said the pineal gland represents the third eye of eastern mysticism and that was what also they think what does it is the eye of horus that they connected to the pineal gland. If you ever seen those comparisons pull the comparison between the eye of horus and the pineal gland. It's essentially shaped like a cross section of the pineal gland and I'm in the temple and man, see if you look at it up there and they think somehow or another that this is the, the connection between these two. There's a bunch of different things have been written on this, this connection, because this appears in so many different, uh, Egyptian hieroglyphs and they think it might have some sort of a connection between the portal to the afterlife that they think the dmt experiences and the idea of the Dao. How would they, how would they know?

Speaker 4:          00:33:16       I mean, they didn't do they know about brains? I mean, they, well, I don't know how they know how to build pyramids. How'd they know a lot of things. I mean, they did some pretty incredible shit. Yeah. We don't know, you know, because of the burning of the library of Alexandria, we lost almost everything. We don't really know what they knew or how they knew it, but we do know that no, that scholars from around the world would go to Egypt to learn. Well in general, you know, I have a more open mind about many things since I've had these experiences now than I did before. I was a kind of staunch materialists. It's normal. I mean, most people see silliness and hippies and you know, all these people that are out there doing drugs, trying to air quote find themselves, you just see two seems like a foolish venture and then you do it and you go, oh okay.

Speaker 4:          00:34:03       There it's just being done by morons are being described by morons cause it's hard to describe. It's also illegal. So people shy away from it. You don't want to lose your family and get locked up in jail and all these different things that people are terrified of. So you'd like, look, I'm not going to, I'll have a glass of whiskey with dinner. And that's about it. And also, you know, there's a kind of embarrassment. I mean one of the really striking things that I've, I've been on the road now for, this is my second week out talking about this book and I have been struck by how many people have had powerful psychedelic experiences. They don't talk to anybody about. And I come along as a kind of, I dunno, credible person, uh, who's interested. And they, this is journalists too. They turn off the tape recorder and they say, can I tell you a story?

Speaker 4:          00:34:47       And they had something happened to them, might've been in their 20s or 30s or earlier that changed the course of their life. And either because there was a stigma attached to it or it was kind of had this sixties kind woo think about it. Or there were kids around, they didn't feel comfortable and they, so they kept it in this box labeled weird drug experience, but it's not just a drug experience. So this is your mind. You know, the drug may have started the process, but everything you see and in this experience is the, those are real psychological facts there from your unconscious or from your interpretation or your environment. Um, and you know, it's not the molecule that, that, that ordered that for in this experience. Um, as Stan Stanislav Grof, who was one of the pioneering psychedelic psychiatrist in the 60s said that, uh, lsd

Speaker 2:          00:35:38       is an unspecific amplifier of mental activity. There's nothing packaged with the drug. Um, and that's important to understand. So you had this big experience and you put it in this box thing. We're drug experience, but when you take it out, sometimes you find that there's, there's a real gold there. There's fool's gold too.

Speaker 3:          00:35:56       There's, it's an interesting quote that quote you just said cause because in actual studies of the human mind, under the influence of Psilocybin, it's actually been shown to shut off parts of the brain. And so the, the question is, are we blocking off these constant frequencies that are around us? So this experience that's around us, it is our own ego or our own mortality or own desire to stay alive and protect ourselves or whatever. The various blockades that we put up are those diminished by sales side and that allows this ever present experience to manifest itself.

Speaker 2:          00:36:34       It's exactly right. The most, the most interesting scientific finding a of this current generation of research is that when they image the brains of people on psilocybin or LSD or Iowasca, they expected to see fireworks, right? Lots of activity because the experience has lots of fireworks, but they found something that they didn't expect, which was a diminishment of activity in a very important brain network called the default mode network. This is in the midline and it connects parts of your cortex, which is the evolutionarily most recent part, two older, deeper sources of uh, emotion and memory. And it's a hub in the brain and the brain is a hierarchical system. And this, this, this is the orchestra conductor. It's one of the neuroscientists put it, it, it, it's a regulator. So what happens in the default mode network normally? Well, it's very involved in um, self reflection, self criticism, worry.

Speaker 2:          00:37:28       It's where your mind goes to wander. It's involved in time travel, thinking about the future or the past. It's involved in something scientists called theory of mind, the ability to imagine that another person has mental states and it's not just Iraq. Um, it is involved in what's called the experiential or autobiographical self. The way we kind of take what's happening to us and connect it to the story we tell ourselves about who we are based on the past. And the future. So it's, you know, if the ego has an address, it's in the default mode network. And what is the ego do for you? The ego kind of patrols the borders, right? It's the, it's what keeps out, um, you know, things that are threatening to you. It keeps, uh, it's responsible for the repression of subconscious thought or strong emotion. Um, and it, it, uh, it's a defense.

Speaker 2:          00:38:20       It's a set of defenses and psychedelics appear to turn this off, uh, to one degree or another. Take the default mode network offline. When that happens, to go back to your metaphor, um, the whatever is blocking the that's blocking lots of information from coming in, from outside or up from below in your subconscious that's allowed to flow. And so you are getting more information, um, than you might otherwise. And this is a metaphor that, um, aldous Huxley used indoors or perception that consciousness is a, is eliminating more than it's creating its it consciousness is, is reducing our experience to that thin trickle of information we need to get ahead to survive. Um, and that you, you opened the doors or perception on these drugs by turning off this network and lots more information comes in which can be overwhelming, uh, but also extraordinary. I mean there's, that's wonder

Speaker 3:          00:39:22       is there apprehension in writing a book like this and describing these things, like as you're writing it and you're thinking about all these other people that are sort of cynical straitlaced non drug using folks who might admire your previous work on agriculture architecture or whatever and, and you're sitting there going, how do I, how do I get this through without looking like a guy who's losing his fucking mind or it's going Super Woo Depok trope Ron, right? Like, how do you, how do you do this and maintain your position as a serious journalist? Well,

Speaker 2:          00:39:57       I was nervous about undertaking this project. Um, but I also came to think it was really important and um, that there was something here and that, you know, when I started this process, Stan Grof, the guy or I made reference to earlier, he had said in the 60 something I thought was really outrageous. He said that the psychedelics would be for the study of the mind, what the microscope was for biology or the telescope for us. Uh, astronomy. This is a really outrageous claim to make. Um, but as time's gone on, that idea seems less crazy to me that we are learning things about the mind that the, and that these drugs are teaching it in a scientific context and in an individual context. Um, so just because some people think it's embarrassing or Wu is not a way, is not a reason not to do it.

Speaker 2:          00:40:46       I have to find a way to describe it. And you know, I'm being a little speculative with you talking about origins of religion and stuff, but the book stays pretty close to here's what we really know and here's what I experienced. Um, I'm a science journalist, you know, and um, uh, so I try to draw the line between, now I'm speculating and now here's something that we really know with some, with some certitude, but without question, I had some misgivings about describing psychedelic experience, their legal issues there. Um, and that, yeah, I have a readership. I have a big readership that you know, is happy if I just keep writing books on food. But I had found something to, to interesting to pass up and I've been gratified that, um, you know, I've been talking about this book on like network television. I didn't think I would be talking to Steven Colbert about ego dissolution and here we are.

Speaker 2:          00:41:40       And he actually got the best line off on that whole appearance. He said, um, uh, he said, well, maybe the ego should be a controlled substance. I thought that was pretty good. It is a great line is fast. He's a clever boy. Oh yeah. So, um, so I found though that the, if I was willing to talk about these issues in my experiences, in a matter of fact way mainstream journalists would respond in kind. And so I've been on the CBS morning show and, uh, Terry Gross on fresh air and, and we've had a kind of, you know, conversation where we're looking at these as tools. What are they good for? What are they not good for without getting caught up in the usual, um, uh, craziness that's associated with these, with these drugs. And, um, so that's what I'm trying to do is take that sixties crust off these things and take a fresh look. Well,

