Speaker 1:          00:00:01       Joe rogan podcast all day, the Joe Rogan experience podcast all day.

Speaker 3:          00:04:59       The whole deal that like you detailed had left this guy with a significantly damaged brain before he was even 30 years old and he was running around functioning. Nobody had suspected this. He was behaving like a normal person. Correct. If you look at the suicides that have been happening in football, when they're between the ages of 25 and 35 that committing suicide, looking at their brain, you see that they're aging a lot more faster than normal person, and in fact a study that was performed by the nfl showed that there was an 18 times faster occurrence of Alzheimer's disease in people who have had traumatic brain injury playing in nfl. We've had boxers as patient. Two Thousand and seven did a espn outside the line with a two football players in a boxer, James, Tony, and we showed his hormone levels were down low. The laboratory read them all as being low.

Speaker 3:          00:05:54       I didn't have to interpret it. The lab did so that verified the fact that they were really low and he had a lot of difficulties with weight, with control and so forth. And as the host of the show said, how can you be testosterone growth hormone deficient and still be able to do that kind of functioning. You know, the personality takes over. You know, it's just the way that the person projects their life hormones help to stabilize it, to make it available, and then you as an individual get to decide what you do. And he was in the ring fighting as though there was nothing wrong, but he had a lot of problems outside the ring.

Speaker 4:          00:06:27       So what you're saying essentially is that is just his, his discipline and his will that kept him fighting, but he was significantly depleted. Correct.

Speaker 3:          00:06:34       He was unbelievably depleted. And then looking at a gentleman by the name of Brad legged, who was the mariners and the patriots, his hormone levels were incredibly low when he talks about how his, I'll use rejuvenation occurred where he improved in mental functioning, physical functioning and physiological functioning. When he had his hormones returned to normal and pat harlow was on the show and they all talked about their experience when from multiple head traumas. I think pat said he had double digit head traumas and um, you know, if we go back and start doing some of the new technology, like a dtm awry, which has an MRI that looks at the connectivity of nerves. Look at a pet scanner spect scan that looks at the flow of blood through the brain and you can find areas of deficit because they've been damaged and you can't get them back.

Speaker 4:          00:07:21       And Matthew, how did you get in touch with Dr Gordon and had this whole process start? I'll start with your shell. Actually, when he was on here last time I was in the hospital for a suicide attempt and was an avid listener. Was listening to that. He was on here talking about it. You know, I was at my last. I had no other options essentially. And you're a veteran explaining. Explain your history for the people listening to this. Sure. On the navy seal medic. I've been out since 2008. I live up in Washington, got out, started having all kinds of issues, just kind of down spiraled. Went into the va finally and said, this is going on. Immediately they diagnosed me with PTSD, handed me about 10 medications and then we did follow ups checkups can what kind of medications? The SSRI antidepressants, antianxiety meds. I have chronic pain, so they dosed me up on pain medications to cotton things along those lines. Fentanyl, morphine, oxycontin. It was on all three at one point. Jesus, by the way, how high did you get

Speaker 5:          00:08:32       the ground? Totally feel bad for them or jealous did he share?

Speaker 4:          00:08:43       Wow. And so, um, I was just having a lot of issues. I was really depressed. I started gaining weight. I couldn't get up out of bed. I was married at the time, really struggling all that. Then my wife left me because of what was going on and I just, I mean, I literally had no hope because it, I was thinking that I can't be fixed because they're giving me all these things saying this is going to make you better, this is going to make you better. And my mind wasn't getting any better. So, you know, I decided it was better that I just wasn't here. And ended up in the hospital, was there for a week. My wife actually brought me, um, my ipod and all my stuff. So I was able to listen because she knew that I and listened to the show. And he was on here, it literally, the day I got out, I went on and I applied, got a grant, had all my lab work done, got sent to him. Uh, he sent me all my results back and so we figured out kind of what kind of protocol I needed to do and then I flew down here to talk to him and started, uh, the trt.

Speaker 6:          00:09:46       So what do you think, I mean, if you could, do you have like a series of events that you can recall that caused your injuries or is it just a, just the entire entirety of your career in the military?

Speaker 4:          00:09:59       Well, I was in two IED explosions to the face, so I have six bolts in my jaw. I took shrapnel to the side of my face. I was shot in my leg. I'm just from all the damage of doing everything, not related to any mission, but I ended up having surgeries on my shoulder, arthritis and all my joints I have back issues. I mean, so it just all kind of compounded into one of damage. And then just, you know, shooting on fours all day, jumping out of things, rolling around, you know, even just, um, you know, just hand to hand combat when we're practicing things you can get thrown on the ground and, you know, over time it's just, that's essentially what it was, is just so much stuff happened over time. Then that just compounded.

Speaker 6:          00:10:41       And did you feel this coming on slowly or was it very quickly? Was it when you got home was when you were over there?

Speaker 4:          00:10:48       Um, that's a hard thing to answer because for me it wasn't very noticeable other than the fact that I just didn't feel good mentally. I wasn't there mentally. You learn to shut things off, you become desensitized to the world around you. It as a soldier, it's a survival mechanism. And so emotionally I was able to do that, to turn it off where everyone else around me could see something was wrong. I wasn't acknowledging it because to me there wasn't anything wrong. Um, but, you know, I just thought the pain that I had, that was just going to be the way it was. I was depressed with everything. I thought, hey, that's just life. Now I went and did this. Now I have to deal with that, and you have this stubborn mentality because you put all these goals in front of you and you've always accomplished them, so now here's something that they're saying, yeah, you have this, okay, I can beat this too, but as you're, you keep going. You're fine. Hey, I'm not doing. I can't beat this. What's going on here? So then you look at yourself when you go, this is just me.

Speaker 6:          00:11:50       And does it get to a point where it seems like life is

Speaker 4:          00:11:53       so painful and there's so much negativity involved in your day to day existence that it seems pointless and you just want to shut it off and ended. Is that like what's the mindset before you decided to try to take your life? That's exactly the mindset. I mean, for me the breaking point was I think when my wife left because she didn't leave because she didn't love me. She left because she couldn't live with me. And if this person that I love and who loves me back, he can't live with me, then what's the point in me being here and if she's begging me to get better and I'm going to counseling, I'm going on all these medications, they're switching my medications up every three months because the fucking not working and you're going, okay, I can't keep doing this. I can't keep going on meds. I can't keep being stoned out of my mind, I guess you could say with all the pain meds and just.

Speaker 4:          00:12:41       I mean I didn't even feel like a human being. There was this fog. I didn't have cognitive function. I could barely read. I'm an avid reader, I mean 10 minutes, 15 minutes. And I was like, fuck this, I can't do it. It just, even even sleeping and was like, alright, I guess I couldn't sleep. Struggled with that. So even sleep wasn't even giving me comfort. And so it was just, you know, there was no point to be here. And were you in contact still with a lot of the guys you served with and did they have similar issues? Some of them did, some of them had different kinds of issues. Um, I think there's a stigma that ptsd causes us huge aggression. That's, you know, anyone I discussed with a and I tell them, you know, I have ptsd like, oh, are you gonna you're worried you're going to fucking snap and kill everybody.

Speaker 4:          00:13:28       And I think, um, that's not, I don't know if that's as common as it's been made out to be. I think there's just been some huge cases and it's come out, but it definitely is an issue. But for me that, that wasn't the case. Excuse me. For me it was more just internalizing everything and shutting off and just, um, uh, but you know, having the ability. I was telling Dr Gordon this yesterday, you know, for like for my wife, she didn't know what Matthew, she was getting each morning and there was the matthew who was loving could listen or whatever, you know, the one she married or she was in get the math, you could rip your soul out and eat it right in front of her. And she didn't know. And I was never, I never hurt her, but um, there's definitely, when you shut off emotions, uh, there's a fierceness to that and it's scary, you know, she would tell me, you know, your, your face scares me and I wouldn't hurt her, but there it's a protection thing for me.

Speaker 4:          00:14:21       And you just, um, you just learn. So a protection thing, meaning, like your aggression, it was almost like to shut other people out. Yeah. Well, yeah, there's multiple things to that. One, I didn't want to deal with it. And two, if I could shut them out, then um, then I didn't have to acknowledge that I was interactions. I just don't want to interact. I don't want to talk to you. I don't even want to look at you just go away. And because you could see the pain, every time they look at you and it's just a reminder, it's that case of, you know, you can't, can't get better until you acknowledge it's wrong.

Speaker 3:          00:14:52       So you just don't acknowledge it in the same bucket. So you, you hear about Dr Gordon on the podcast. You hear about this, the treatment for traumatic brain injury, and you hear about hormone replacement and the damage to the pituitary gland that happens during these impacts. You, you get together and you start hormone replacement therapy. And then what are the results? Well, it sounds like an infomercial does. I mean, it almost sounds almost sounds like a miracle cure, but at this point, for me it was, um, within 10 days, the biggest thing for me was my cognitive function. Within 10 days the fog was lifted. I could think clearly I could do things again. Um, and even physically within those first 10 days, I was able to get out of bed, less pain, you know, I could move. Um, and then within like six weeks I started feeling like matthew started feeling like me, okay, I can go to the gym today, you know, and I can go do this today.

Speaker 3:          00:15:46       I can read today, I can interact today. I mean, it, it's so hard to describe because you got so used to how it felt that once it starts changing, you're like, Whoa, this is unreal. This is happening. So this, I'm a different person, my real, I'm the real me, but a different person than you know, or had been the last couple of years and so it's, it's almost an adjustment because now you've got to go back and try to just heal all the damage that you did around you. Wow. You know, so just replacing your hormones had that significant an effect on your wellbeing, how you interacted with people. She cope, changed everything. That's amazing. So what, what exactly did you. Well, what'd you put them on? Tell me what, what, how did it start as a medical issue of talk about that now he's given me the green light.

Speaker 3:          00:16:34       He gave me the green light for it. You know, we ran through a 28 point hormonal assessment and that 28 hormones assessment looks at brain regulation of the peripheral hormones, you know, in order to make testosterone signal comes from the pituitary and tells your testicles or a woman the ovaries to make Gastrin, stoss drone and then whatever. And in looking at his pattern, he had a very deep deficiency of the regulatory mechanism for production of testosterone. But testosterone is only one of the multitude of hormones that we focus on. There's Dht, dihydrotestosterone is Dah, da Di dehydroepiandrosterone sulfate. And what we're finding, you said we think of hormones as gender or sex hormones. Well, the sex aspect of it as baby 30 slash 40 percent. The roots, the remainder is on repair and maintenance of our body. One of the greatest things about testosterone's, anti inflammatory.

Speaker 3:          00:17:27       What happened to your joint pains in your back? Pains on testosterone. So reduced by half of that first week. That's incredible. And this is in the literature, you know, I won't get too technical because I won't understand it myself, but the issue is that the testosterone growth hormone like estrodial progesterone all regulate inflammatory chemistry in our body, our immune system. And we've also found in the past seven to 10 years that the brain makes its own hormones and its own hormones being testosterone, dihydrotestosterone, estrogen and so forth in the brain. And what they do is they regulate the ability of the nerves. And I just gave a lecture that we called, um, the non permissive environment which talks about when you have head trauma neurotrauma, where you've been hit or explosion and so forth were areas of the brain shut down in their ability to produce hormones that regulate how you feel in your ability to have cognitive functioning.

Speaker 3:          00:18:21       So not only on testosterone replacement, we use physiological dosing, which is, you know, an average 25 to 35 year old male makes about four to 10 milligrams a day. So we'll use 60 milligrams a week or 80 milligrams a week, which is about a fourth. The amount that's used out there by traditional physicians who are replacing testosterone. And he got phenomenal response without any of the side effects. So the hormone replacement includes I'm anti inflammatory medication, which are all natural things like Pqq, which is a form of Co q 10 that stopped the production of oxygen. They call it reactive oxygen species, which are oxidative chemistry oxidants. And that leads to death of cells. And there's an incredible amount of literature that has been out for many, many years. And now it's getting more focused that in order for us to heal the brain, not only do we have to replace the hormones, but we also have to protect it from this oxidative stress that the brain goes through.

Speaker 3:          00:19:17       Sounds like, you know, one of those trendy kind of statements, but it's actually factual and there's just thousands of articles coming out and how much we need glutathione or we need vitamin C dot Pqq, Co q 10, all the things that take the free radicals that are damaging the ability of the brain to regenerate. And uh, in this lecture I just gave back in 1911, there was a guy by the name of Italo who proved that we can generate our nerve cells or neurons. And then 19, 28, and then there's a guy in Canada who's like the guru and the ability to regenerate the brain, but you have to have the right environment. That right environment involves, you know, hormones. And also to help step up the system's ability to fight the oxidative stress.

Speaker 6:          00:20:02       Why is this a sort it, if not ignored? Why is this not commonly known by a lot of physicians or by a lot of people that talk about different neurochemicals that change behavior because we think of dopamine and Serotonin. Those are the two big ones, right? When you think of Serotonin reuptake inhibitors, when you think of antidepressants or when you think of people depleting that with drugs, you're thinking of dopamine and serotonin primarily. Well, very rarely does he do. The other ones get brought up. Well, I think

Speaker 3:          00:20:35       unfortunately there's a financial motivation to things. Matthew is on probably about 40 or 50 a month of medication. One of the medications that he was on was a couple hundred dollars a month and when you're talking about, I think you said 15 total medications that when you add up the cost per month, you're talking about thousands of dollars a month, so it was history and keeping these people in medical industry as well. As you know, the analogy that I make is, if you remember back in Legionella Pneumophila in Philadelphia, which was a lung infection, they went and gave these people know thousand dollars drugs and it turned out that it was a fifty cent drug. Erythromycin that treated it. We're looking for things that are so brand new that we've ignored the very basic fundamentals. My martial arts instructor always said back to basics, back to basics. Thank you young you. So,

Speaker 6:          00:21:33       so Jason Hall, uh, you're a screenwriter, you, you wrote American sniper, which has been directed by Clint Eastwood, which is a, uh, when is that coming out? It comes out at Christmas and it's about Chris Kyle, a famous story of the book, American sniper, of course, best selling book and a tragedy where he was killed while he was working with Ptsd sufferers and he was working with someone on the range who was suffering and he wound up getting killed by them. How did you get involved in all this?

Speaker 7:          00:22:06       I'll say first that you know, that's a, that's a pending trial. So we don't know if that guy had ptsd or you just had a screw loose or what it was. He got approached by a woman who is working to get that sucker right up to your mouth. Woman who was working in the parking lot at his kid's school said, you know, my, my kid is suffering and read your book, you serve. Can you help him out? And that's about all he got. And uh, he'd been helping out a lot of vets and uh, you know, this guy had it informed and uh, it was, it was a tragic story. I met Chris, uh, in 2010. He got out in 2009 and I'd heard his story and I went down to Texas to meet him. And, uh, I'd never been to Texas before either and had, hadn't met many navy seal snipers.

Speaker 7:          00:22:51       Welcome to America to access and navy seals altogether. I showed up and it's like 60 cops, 60 Texas cops, like half of all the Texas Rangers were in the room and uh, and I don't drink. So I wasn't real popular at first. The only way I could ingratiate myself to them was one of them was picking on me and call me Hollywood liberal and this and that and panty waist and, and uh, so I throw them in a front headlock and I had jacked him up a little bit and then Chris finally started talking to me. It was like a choke him out a little bit. Yeah. How did you get

Speaker 6:          00:23:28       involved in this? You, you read the story?

Speaker 7:          00:23:31       I heard this story. Yeah. I heard the story of this guy had shot, you know, you've got more confirmed kills in anyone US military history. And uh, I called a buddy of mine who was serving. He had a, he had been seal team six. He was working down at the CIA at the farm and I said, hey, this guy, this guys killed, got more confirmed kills than anybody. And he hit a shot from 2100 yards, confirmed, kill at 2100 yards. He's like, I got news for you buddy. Your guy's full of shit. You're full of shit. They're five guys on the planet who can hit that shot in your boys. Not One of them. I was like, all right, well look it up. So he calls back and he's like, so uh, Chris, cause one of the five. Wow. Yeah.

Speaker 2:          00:24:12       There's a vortex optics. Some, a friend of mine that are provided me with scopes and stuff for hunting. They, they actually got a call from someone in Afghanistan that was about to shoot somebody and they needed to know how to adjust their scope correctly. So they were talking over a sat phone with the guys at vortex and giving them the exact adjustments to make some fucking thousand yard shot. Yeah, thanks. Take care. It's great when you get to like real long distance, like a thousand yards plus, I mean a lot of it is just calculations and mathematics and understanding scopes and how much the bullet's gonna drop.

Speaker 7:          00:24:51       Yeah. And I think some of it is, some of it is instinct and I think some of it is, you know, he said God kissed the bullet. Yeah.

Speaker 2:          00:24:59       Jesus Christ. Amen. God's mean fuck or not either way kissed it or he blew on it. Whatever happened, it worked. Um, so you get involved with these guys. You start in just becoming immersed in the world of the soldiers and their issues. And how did you get connected to Matthew and to Dr Gordon?

Speaker 7:          00:25:24       Well, when I met Chris, you know, I walked in, I met him, I looked him in the eye and I was like, Oh shit, you know, this guy's not home yet. Like you could see it in his eyes. There was something going on and it felt, it felt like there was turmoil there. It felt like he was still fighting and I called my wife and I was, I was like, I don't know what I'm doing here. I don't know what's going to go on with this guy. I don't know, you know, how he's going to work it out. But he's, he's got some stuff to work out and it's, you know, it was hard to look at. It was hard to look into his eyes. And uh, thankfully his wife and his kid showed up the next day and I saw it change. I saw for a minute the fog kind of lifted and I saw him light up, his kids ran into his arms and, and I saw like, here's what this guy was like before the war, you know, this is the man who, who was there before the war and, and here's maybe the man that he could become again.

Speaker 2:          00:26:13       Wow. How many of these guys are just tough and they just deal with this new reality. I mean, it seems like that is a big part of what's going on when you're saying the guy wasn't back yet, but yet he was physically and he was going through emotions and living his life. But all the shit that probably was going on in his brain and certainly going on in his psyche, I think most come back that way. I think that's their first mentality is like, for me, you don't, you're not going to admit that

Speaker 4:          00:26:44       I've beaten things worse than this. I'm going to keep going. Especially seals, right? Yeah. Just to get through buds, just to get through any of it. That's what I said. But any, any challenge has been in front of me. It seems like I've completed it. And so this, that's all it was. And once I finally realized that I couldn't how broken, because then I, then I really felt broken because it's never happened. There's no light at the end of the tunnel. I just all dark. It goes dark to the end of time. Yeah. I mean the best parts about me were gone and had Chris Kyle, if he received any treatment for ptsd other than the standard dose of painkillers and Ssrs and what have you.

Speaker 7:          00:27:27       No, you know, I think Chris, I think Chris dealt with it, doing some drinking and then he finally kind of worked his way through it. Got a little, you know, got back into church and, and started actually helping these guys helping other veterans and he found peace in that he found peace and helping other guys. And you know, I can't speak to, to what he felt when he laid his head down on the pillow at night. But, uh, he found some real solace in, in helping these vats and they'd, you know, they'd bring them up and they'd go out shooting at the range or go hunting and uh, you know, and end up talking around the bed of a pickup truck for four hours with a couple of beers in and then you, you get a little bit of this comradery and, and they don't feel so alone. We had a purpose. Again, you have a purpose while you're in, you have a job

Speaker 4:          00:28:15       now and it's gone. It's ripped from you and there's not, you know, there's no clear goal or mission in front of you anymore. So you kind of searched for that. Like for me, I kind of was trying to figure out what, you know, what the fuck am I going to do with myself now? What mission can I accomplish? And it's not there anymore. There's no people, you know, there's the structure of things are gone, the command is gone. It's just you. And I think if it hadn't been for my wife, I've never even would have gone in to the va honestly because there's, there's just happened to be someone that lived with me the whole time who's like, you need to go in or I'm gone. And I mean if she hadn't been there, I'd probably still be that way. Now. Honestly, the UFC has done a lot of work for a traumatic brain injury and uh, in, in, in helping to fund the Intrepid Center for traumatic brain injury.

Speaker 4:          00:29:08       And one of the most shocking things to me when we got involved, we started doing these fights with the troops, was that there was no funding for this, that they had to get funding from other sources that they had to get funding from donations and they had to ask people to call in and donate. And just unbelievably shocking to me that we spend so much money to send these guys over there. So much money for weapons and so much money for the latest high tech ways to kill people. And so little on how to treat

Speaker 7:          00:29:42       these guys when they come back. And girls. I mean it's, it's an issue, so little money and also so little imagination and so little willingness to, to explore new things. We're talking about a fucking blood test. Yeah. He's talking about a blood test to test their hormones and it's like, oh, what a crazy idea. This guy's out of the box. He's crackers, you know, and it's, it's. You look at the, you look at, at the symptoms, they're having the same symptoms the guys in the nfl are having. It's the same symptoms that guys would. Low Testosterone or habit and it's not a huge mystery, you know, but it is a mystery to all these people and you know, we're also talking about Kris Carr who was the Achilles of Iraq and like that guy was having a hard time. That guy had to go through the same thing and go talk to somebody.

Speaker 7:          00:30:31       You know, there's a lot of guys out there who served and got no thanks for it. They've got no recognition. They got. They were anonymous soldiers in a, in a war that nobody wanted and they came home and they were messed up. Most, most of them. Most are like that, you know, and, and look, I'm sure there's guys who came home and they were okay. Like I, I haven't met a ton of those guys. I've, some of the seals are like that. They're fun, you know, God bless. But I spent the last year after writing sniper, I'm adapting a book called thank you for your service and this guy followed these guys home. He followed a battalion of army guys home from, uh, from Iraq and followed their wanderings into like how they were going to get back into their lives and how they, these guys were going to deal with their stress and dealing with the Va. And it was a nightmare man. And you meet these guys that just, they don't have any hope. They don't have any hope. And you know, some of them have, have, have the ptsd and some of them have additional injuries like matthew had and they've got nothing. They've got nothing in the va is like, you know, you're talking 22 soldiers a day kill themselves for soldiers who have killed themselves and have died. And they'll correct which is the first time in any war in us history.

Speaker 3:          00:31:47       Well, the thing we keep, we keep records of it now there's a website which is called prevention and awareness, suicide prevention awareness, which is a military site which keeps track of all the suicides and also things to prevent it. And they keep records of the dod in the 22 a day I think is, uh, is not an accurate number. and there was another report that came out where it's like 40 today where it's even more, but you're right in 2012, when they started really releasing the numbers, there were more people killed, more people committed suicide. Then people were killed in A year of fighting in 2000 unfucking. Believable from a patient standpoint going into the va. I liked the va and they've been nothing but very kind to me and very good to me. So I don't have anything in that regard to say. But when you go in there and you get diagnosed with ptsd, they you

Speaker 4:          00:32:40       one of the meds and to with all these appointments to talk to people who want, you're not gonna fucking relate to, I'm sorry, but ms dot susie over there, hasn't seen what I've seen or done what I've done and she's trying to engage me in this conversation and all I want to do a slim face on the floor because she's trying to act as if she's my friend and knows what I'm talking about and she doesn't. And I know she only has goodwill, but as a patient sitting there and this is supposed to help you and it's not helping you like this is fucking stupid. And that's what happens. Most people go to like one or two sessions and never go to counseling again. You cannot fix the mind when the body is not working. When it's physiologically not working correctly, the mind will never get better.

Speaker 4:          00:33:24       So that's essentially what's happening is they're trying to fix these ma, the mind and these mental issues without fixing the physiological aspect of it. And then wondering why none of these people are getting better. Okay, well, why are none of these medications working? How many more medications can we give you, you know, before you end up in a situation like mine. And that's what's happening. And it's that part of it is ridiculous. And that part of it angers me because it is such an easy fix. It's such a, it seems like an easy fix, you know, as a patient that was effective fix in effect the fix. But it's that, um, you know, I remember when I first was going in there for my chronic pain, you know, they started me off with like aspirin, tylenol. They went through this progression to where they were.

Speaker 4:          00:34:08       And I remember my doctor look at me saying, I know what you need, but I have to do it this way. So not only did I waste another six months to a year going on these ineffective because I did need something for my pain, probably not what they gave me, but that's just another, you know, um, example of sometimes I think they know that it's not working, but they're in this bureaucracy where they have to just, that's, you know, it's a federal institution. They have to do this. That's what they have to have, sort of a chain of prescriptions. There's, this just didn't work. We tried that and documentation of it. Is that what it is? Well, yeah, I mean it's, it's a rainbow of medications that everyone starts off on it seems like. And that's what everyone's getting when they go in there and then they're wondering while none of them are effect, you know, some of them are effective, but as a whole they're not.

Speaker 4:          00:34:55       And so you go in there. I mean, I was going in, you know, you know, I would go in after 30 days, it's, I really do anything. All right, let's try it another two months. Okay, here's three months. Well, let's either up your dose or let's just throw that shit in the garbage and give you something else. So noT only are you taking something, my body's been on for three months now and then just introducing it to something else. you know, that I was like, I was becoming worse. I was just becoming more just not when the frustration, frustration you need by the end of that you need a stronger medication just to deal with all the appointments you've been to. Oh yeah. It's ridiculous. I mean, I, I did stop going to all my mental counseling sessions because I knew that wasn't, was, wasn't what was going to help me.

Speaker 4:          00:35:37       I didn't need, especially not talking to them, you know, maybe maybe a friend or something, but a lot of that stuff that happens over there, I don't want to talk about it at all. It's very sacred. It's very personal and intimate and to me it's not a game. Most of the people around you talk to you and it's a fucking video game. It's cAlled a duty and they sit there and they talk, you know, they talk and he was at that like that and you're like, listen, this is not okay, so you just don't say anything. Not only that, I'm not going to tell my wife because she doesn't need to know any of this horror stuff that I went through. So you just internalize it. You internalize it, you're buddies. You almost don't want to talk about it because you know either you're still buddies or just anyone else she knew in the military because then you're bringing it up to the surface again so it just becomes this thing where you take the deepest aspect of your soul and you just shut the fuck in there and then you pray and walk away and that is part of the problem and it's a mental issue.

Speaker 4:          00:36:32       It's that mental issue of like, I think it progresses down this, this slope downhill because when your body just starts smell functioning, all this stuff that you're trying to deal with mentally goes with it. It just all goes down and then you then you can't start handling just the daily things of life around you can't handle, oh, they got my coffee wrong. All right, well now I'm fucking pissed and let's go break a ton of shit. You know, just simple things like that, that everyday it's like, no, it's not a big issue, you know, but you can't handle the little things around you and you don't have a buffer. Yeah, there's no buffer. There's no nothing. I mean, and you find things to do. I tried to find all kinds of hobbies to do and they work for a week, but then you're just, you realize you're right where you were and you just keep moving on and it just never gets better. And that's the thing that was so frustrating about it.

Speaker 6:          00:37:20       It's also got to be frustrating for you, Dr. Gordon, to know that there's sort of an ignorance involved in just treating the mind or just treating the symptoms of antidepressants with these kinds of medications when you're dealing with so many different things holistically. The entire body has so many issues that aren't being addressed and they just addressing this one thing because this is all these doctors know,

Speaker 3:          00:37:47       correct. It's really an a masking process that they're doing. The patient has complaints of isolation, which matthew had isolation, withdrawal, and hedonism. He weren't enjoying doing the things you were enjoying before. And that's classical depression. So we'll put them on an antidepressant. Uh, you're having difficulty sleeping and put them on tresona and put them on whatever medication in the frustration is. The literature is so clear. I mean, I didn't invent anything. I just sit in front of the computer for eight, nine hours a day and read the literature that's coming out from all over the planet and they're so compelling that I put it into clinical application, uh, with not only the veterans but with the civilians who have had traumatic brain injury from motor vehicle accidents, slip and fall, what have you, and the responses across the board. Once you find the laboratory proven deficiencies or insufficiencies and you replace it, you get these incredible responses.

Speaker 3:          00:38:46       A woman 32 years ago who had an motor vehicle accident head on we're neck, hit the steering wheel and crushed her karate and she had a stroke on the opposite side, 32 years of being on a multitude of medications and then she comes in and within a month she's feeling better. They had her on adderall to counteract the side effects of the five psychotropic drugs like the ssri is and whatever and whatever, and I'm at one month goes back to her psychiatrist in the south and she says to the doc, a female doc, she says, I'd like to get off these medications. The doc says, honey, I put people on antidepressants. I adam, take them off, and that's the mentality that we have to start educating that there are all our alternatives, but they're being told the quick fix is to put them on an antidepressant.

Speaker 3:          00:39:31       Listening to matthew story, in 10 days, the clouds started to lift. The fog started to dissipate and by six weeks he was coming back to who matthew remembered himself being. That's the place. Then that's the place where he can deal with the other stuff that has been suppressing. Yes, correct. Exact. Because these are. These things are not independent of each other. You know, in the past I started in 2004. I had four head traumas and when I was between 34 and 46, I think I shared this with you once before. Between 34 and 46 I started developing depression was depression was on paxil just wasn't a happy camper. What will your head traumas from, let's say at four years of age, playing jungle gym in New York during the winter, hit my head on the metal bars, landed up in the ground at, believe it or not, I was sitting,

Speaker 3:          00:40:20       dare you shut that off, shoot it. And then when I was riding my bicycle to a hebrew school at between twelVe and 13, I was hit by a car and knocked down or cut my face, cut my chin. let's see. At 18 years of age on the swim team, I was screwing around and hit my head on the swimming poured. And then in the February 9th, February 9th, 19, 71 sylmar earthquake, before you were born, a shelf, a large shelf fell on my head and knocked me out. So I was, you know, went through undergraduate medical school, residency. Everything was fine, but between 34 and 46 started developing all these symptoms and then I went to a facility and I had my hormones checked and I was thyroid, which you saw me take earlier, thyroid, testosterone growth hormone deficient and uh, started on it. And within a period, let's see, august to November 3rd, I woke up totally different person, similar to what matthew was stating.

