Speaker 1:          00:00:25       Bob auditing, leaning. Dong, Dong Ding Dong. Ding, Ding Dong. Ding Dong. Ding Dong Ding Ding Dong

Speaker 3:          00:04:21       I read this book. It was about being a comic. Oh really? About stand up? I think so. If I remember just living in like no apartment with his brother. I believed it been doing comedy. I remember

Speaker 2:          00:04:30       it's been so long. They're east coast guys. The comedy writer is what it's called. Do you got? Oh yeah. You've got to wash. Speaking of comedy, got to watch Denis Leary's new comedy central special. Oh is it? Must be that good. Wow. You're like, like didn't talk down to you like an actor who's never really done standup, has to write his own material and then play a standup in a movie. No, really just, is it just rusty? It's just death. There's just nothing funny there. It's just a missing. What's funny, would you ever have him on the podcast? A No, because I don't want them over my house and I would probably want to, you could always go to the desk squad to, he's the type of guy that would be like kind of threatened you and for talking the truth. He's not a good guy, you know, the, the whole, the whole scene is just ugly.

Speaker 2:          00:05:13       But it was fascinating watching it. You know, I, I've, I root for people, man. I wanted it to be good. You know, I would not get a work out and stuff beforehand. He's not in the same guy. He live in la? Yeah, I think so. I Dunno. I've never heard of been working on is actually, I think he lives in the east coast. Okay. I root for him, man. I swear to God, I root for everybody would be better and root for everybody to to get over their bullshit. You know everybody that's done shady shit in the past. If you even, you got to feel that this is shady. I root for, I swear to God, but fuck, fuck. It was just a void. It was a void. Know here's my favorite comic. When I first started, when I was an open microphone, like six months. Who's my favorite comic? Really? Oh, he was just killer. He was just Troyer and like so much more

Speaker 4:          00:05:58       aggressive than anybody I've ever seen on stage. So much more like my kind of comedy and like the type of people that I was hanging around with and like the, the shit that I was used to, I was, he's the hard people. You know, like the comedy that I was used to is all from mostly from boxing gems from my, my, my boxing coach, Joe Lake, the guy who had his finger bitten off a street fight and had a toe attached where his finger was and curled permanently so he could keep throwing right hooks. Not Kidding. He had his stroke. I had my belt put curled. I had it done like this, so I could fucking told her. Right. Yeah, he's crazy. He was on he, he's far fucking animal. I don't want to tell all the stories that I know because I don't know what he wants to get out there on the Internet, but these are the type of people I was hanging out with forms that kind of surgery.

Speaker 4:          00:06:41       There's bedroom, there's, did they do that finger back and he told the doctor what Craig or Dr Bunch, you know, he didn't want a straight finger. That would be terrible. It gets stuck in the boxing glove because I couldn't move. He couldn't articulate the finger anymore because the nerves are gone. Oh, they're all separate. Somebody bit his fucking finger off and it's true. Ah, how does it get to that move? Like at what point are you losing my friend Mike [inaudible] time? My friend Mike Blight was a bouncer at the rathskeller and he was a professional boxer and he wasn't, I mean he would drink occasionally, but we wasn't drinking when he was there and he didn't look like a killer. He looks like a very, he's a very smart guy too. And he's very well spoken, but he's a straight south Boston thug and he worked glasses and ship.

Speaker 4:          00:07:25       He's a pro boxer and so he would just totally get off on just lighting up drunk college dudes, you know, guides who would get stupid and guys that would get in his face and got and who would allow them to like literally almost pick on him before he would knock them unconscious. Yeah, it just, he would say, I'm a, I'm telling you this is, you guys are making a big mistake. You know, this is not the way to go. I don't know. I don't know how you're living your life. And then he would just turn on them whether you fucking figure you fucking pussy. Oh really? Oh, what, what the bank, it would just just tee off on him. He's a pro boxer who's fucking good ones. And then all their friends to be like, you got to knock out by a nerd. No, he was, he would knock them out.

Speaker 4:          00:08:03       So scary. They would all just slack jaw and wait for their animals, their animals. Nuke that whole era of us, I should knock it out and it's lost is the craziest place I've ever been. I've never, I mean in what I do shows there, like the last time I did a show there at that, uh, that, that theater and the, the, the what used to be the combat zone, I forgot the name of the theater. 10 action come. It used to be the common connection. Now it's a theater. The Wilbur, the Willard here. It's a beautiful theater. That was cool. I forgot that. But you realize they're savages. They're just wild. Or people, you know, they're more willing to fight. They're, they're more than, am I going to have complained about shit, they're less likely to deal with bullshit. Take your shit. You know, they're less likely to let you get away with anything. Like there's certain shit that people get away with in California that I didn't realize like when I came out here that people lived like this, that like act or talk, you know, like, you know when you eat here, people talking on the sad and just straight actor

Speaker 2:          00:08:56       talking. No one ever calls them on their bullshit and it's like, Ooh, when did you start sounding like that in Boston? Everybody calls everybody on everything. You don't ever get to put on airs. There's so many fights, but it's also why there's so many comedians come from that area. So many comics came from that spot, man. Whenever it happened to Dave Moore, Dell, I was thinking about him the other day. Is He still doing stand up? He's what? A show for awhile. Yeah. Funny. Had some sort of a comic standing for a little bit, right? Yeah. Good comment. A man. He's hilarious. I got to work with him in New York. I did a show with him in New York. He's really funny, man. He's, uh, he's, yeah, he's, he's like real, like solid professional, you know, really good timing. Good writing, good writing. What happened man? Yeah, there was a, I did stand up last night and it was an actress that was doing the, yeah, she was on the phone and she says like, yeah, I'm doing standup tonight.

Speaker 2:          00:09:50       It's my first time. It's going to be easy. He was doing it while she's gonna be so easy. Actually, I had just paid $15 and what it is, it's like 10 people go up in the audience votes and I'm going to fucking take this. It's, I mean it's, this is gonna be like, it's just never talking shit about how easy it's going to be. I wanted to stay, but that would be the worst comedy ever, so I'm not going to ever watch that. Yeah, that's fascinating. Know every talk you see someone you've never done, you're going to be awesome. Especially something that hard. Never done it jack. The owner was just out back around. They're just like, just cleaning at her, you know, like just laughing his ass off. There's people that think they're going to be awesome at everything before they ever do it.

Speaker 2:          00:10:29       Those are the Douche bags of the world because they've never really tested themselves and develop character where character comes from its failure and recognizing and being humble and you know and feeling the humility and knowing that, okay, you know what man that no one's perfect. This is crazy. Like all my Hubris of youth, that's all it a logical and it doesn't make any sense, but the people that keep it like forever and they have it in their thirties and shit and forties and they just, they think they could do anything. Richard Taylor of the old manager of the Congress remember? Yeah, at 39 he thought he could still play on some teams in the NFL and start a quarterback. I still got an arm for real. I've walked with be an all pro, but I can beat song guys out. We're like how cocky you have to be first of all, no, you've never been anything.

Speaker 2:          00:11:12       Second of all, you're 39 even if you were great, you still can't compete. Now, the only guys who can keep competing like when they're in their late thirties and forties and shit like the first of all, it's very, very recent. So you have to start thinking about chemicals. You have to start thinking about chemicals because we all want to think that everybody's doing everybody's natural and just doing squats. And I don't want to cast judgment on anyone, but when you look at like 40 year old athletes, there was no bread farms when I was a kid, they didn't exist. There's no 40 year old dudes playing professional football. What in the Super Bowl are you shitting me? That guy's got gray hair listening. Even register

Speaker 4:          00:11:54       like Bernard Hopkins, there's never been someone like Bernard Hopkins. See George Foreman when he won the title. He was 46 years old when he knocked out Michael Moore, but well that's kind of, he was getting his fucking ass kick before that and he hit him with like some legit old man strength. You know what I mean? Like the George Foreman was just an old strong tough dude. He never looked dug a young guy when he was older, he looked like a big ass strong old dude that could fuck you up. And he worked out real hard. You would push trucks and shit in his driveway and he was like one of the pioneers of like chopping logs. That was all like old, old, old school training shit. Back in the Joe Lewis days, he brought it all back. But if you look at like Bernard Hopkins, he's 46 man and he looks like he's 30 it's the craziest thing ever.

Speaker 4:          00:12:37       There's never been a professional boxer. I don't know. I can't, I can't say. But you're saying it's weird. It's fucking beyond weird. It doesn't make any sense. It's never existed before. Sugar Ray Leonard, when he got to his like late thirties it was a rap. You know everybody else. It's a wrap. Bernard Hopkins 46 not even 41 that even 40 almost 46 and he's out in super athletes. That means, what's the formatting like defendants title a few times. Yeah. Yeah. No, he really fought Tommy Marsy law said to Toni Morrison. So did he defend it? He might not have defended it. He knocked out my horse was a champion. Tommy Morrison had some wacky belt. He won, uh, from George Foreman. He beat George Foreman. I thought it was just a contender when he got, no, I'm pretty sure Tommy Marson won the title. I'm pretty sure. I know he'd beat George Foreman

Speaker 3:          00:13:28       decision. What were those belts that used to tie in and you're like, fold it around and then back of like as London fog coats, the belts, belts were on level. Fuck what are no, no, no, no, no, no, no. They were like the leather belts that like were really long and then you had to like kind of twirl it around. Oh, you got it on right now.

Speaker 4:          00:13:47       Yeah. Except this isn't that long. It's been that long. Wow. Yeah. I'm wearing it. I'm what citizen if becomes psychically more vacated. The title. That's bizarre. I don't even understand that. That's still where we're in the vacate a title, not retirement. I mean like I threw in the garbage can. Yeah. You know what the problem with boxing for real, super crooked. It's not just super crooked. There's so many organizations, there's not just one UFC style organization. You know a lot of people bitch about UFC beam and beat in a monopoly. But at least you know when you have a monopoly, at least you got white one clear world champion. There's a Wbo, the IBF, the WBA, the WBC, and a bunch of other ones that people weren't sure whether they should take seriously. Like there's a gang of the world champ and say somebody retires and make the belts open. It's like, well, who do we think is the most deserving of it? Yeah, they do that. They make guys fight, but they all make a decision on their own. Who would she be? Yeah, exactly. It's, I mean, that's how it is with the UFC and strike force too, because now we have, you know, strike forces, this big heavyweight

Speaker 2:          00:14:52       tournament that's coming up and they have failed over and over and we got a lot of good guys in their tournament, man. But it's, it's almost kind of annoying. You know, it's like, man, I want to see everyone fight everyone. I want it to be one big giant league. There's gotta be a way they can do that. They're pushing for that in baseball to have a Japanese versus American world champion really are we're real world or real world champion. That would be the shit that would be the one that would be dope. You know, it'd be dope. I hate to say it, but I would love if Japanese dudes came over here at kicked Americans, ask his son of a bitch, son of a bitch, communists tug. There you, there should be a, where were you? The problem is no one's going to be willing to do that.

Speaker 2:          00:15:26       I was going to say with UFC and strike force, no one's going to be willing to say, you know, then the guy rep or whoever the champion as he represents your organization and you know each guy fight it out for each weight class. Like that's like too much of a downside, you know? Then if you lose, you get that. You get our champions. And what if the UFC got all the champions then strike force. What they just go out of business then, you know, if that gets tricky, what are they going to, they can't have, it was just an new champion. I have a title. You can't have a title, you know, but it's weird. You know you got nick Diaz is a champion over there and George St Pierre was a champion over here. But I guess what? They're not fighting as long as they keep Nick Diaz happy and they keep paying them, you know, they're not going to fight.

Speaker 2:          00:16:04       Keep smoking. I was right in a way that 10 whites, a little wary of him too because he uh, he got in a fight with Joe rigs in the hospital after they were Africans. They argued when they were in the hospital and Nikki has jumped him in the hospital. They had IV bags on and shit and he's beating his ass in the hospital. Stockton guys out of their minds. It, him, him and his brother are there. Look how those guys are the real deal. They're not fucking around. Don't talk shit unless you want. You get your plan, your face bunch. We hung out in Stockton and we hung up that there was this chick at some bar were there and we had like a 45 minute drive to get back home. And the young guy and the tour and the monsters store was like, we were trying to get him some, the girl was like intuit, right?

Speaker 2:          00:16:42       So he was like, I don't know if I can get it. We were like, Hey, come on, you're gonna come back with us and shit. I was like, can you get back tomorrow? She goes, yeah, I'll find a ride. She just is weird girl at the bar. Let's go. You're coming. Let's go. So we got in the backseat and then he got really cold. Um, uh, she started rapping. Yeah, she started rapping randomly. He got really cold to where he goes, oh, I don't want to, I'm like, why? He goes, she told me she was autistic and I was like, what? I'm like, all right. Behavior. It makes complete sense now. I just thought she was weird and quirky. So autistic people are well aware that they have an issue. Yeah. And she was doing tons of blow. Oh my God, that sounds so owning it and then rapping 30 straight minutes, autistic and low and she's a wigger.

Speaker 2:          00:17:20       I drove her back to her. Um, I'm assuming it's not a black rooms at a black or white girl and what she rapping like a black girl. Yeah. Nice. That's what I assumed. All those things. It's kind of a painted for myself because that would be the most, this something very special about poor white people that act like poor black people. There's a weirdness to it man. Serious when like white dudes are like real serious about being street and acting pill. But like is it just a poor thing? No, no, not necessarily. I mean a little bit of it. Sure. I mean cause their

Speaker 4:          00:17:50       world interacts, you know that they're intertwined in other communities. The poor white and poor black communities. I mean poor people have to live where poor people live. And I'm like, and I lived in Jamaica Plain. There was a lot of poor white people and poor black people together. But it's just some weird, when a dude has a clear affectation, just takes it on and all sudden, you know, it's like he won't get crazy, you know, you won't get crazy. And yet like I've seen white guys talk like that and you're like, wow, okay. There's no part of the country where white people talk like that. You didn't see that on TV if this isn't like a rural Greensboro South Carolina thing and like, well everybody has his weird accent there. No, no, no, no, no, no, no, no. You're clearly urban, black, urban, black southern a little bit, you know, and then the, and due to New York do it too.

Speaker 4:          00:18:32       A lot of, a lot of white and from the north then. Okay. Yeah. Still talking like a southern. Yeah, yeah, yeah. Two Guy. I've seen guys do it, especially back in the, um, in the 90s, there was a lot of guys that would a especially involved in like when I was playing pool and I was going and watching guys gamble on pool, there was always a lot of like these sort of thug type characters who were white guys that talked like black guys that would even say nigger. They would say like this isn't a thing. You've got to come here and take all that shit. You're like, what's this Nigga think he going to come here and take out La Shit. Shut this motherfucker who's up. Shoulders are going to be like, wow, like this guys. It's like an alien personally. You're near not just saying these things.

Speaker 4:          00:19:09       You think then that guy's saying that line. Do you think he still feels it when he says the n word? You think he's still in charge at all? He's squirming a little and let, I mean he must be on Oxycontin's if he's hot, you know you're a white guy and you're, you're saying nigger and especially he's got like, he had like, you know, like a really shit short shaved head. Like almost like, like a almost like a skinhead but like little stubble on his head, you know, so it's like you were, you were just so much whiteness. There's whiteness everywhere. There's whiteness all over your head. You don't even have like a bunch of black hair. I look at you and it's curly hair and I'm like, man, this guy's like part black or something. No, no, nothing. He was like super white and I met Jason Kidd and he's doing these things with his fingers, you know, were guys like shake their hand in the air where they talk.

Speaker 4:          00:19:49       There's some weird thing like that when they hold their hand approximately forehead level and then they just shake it up and down like Paul, like knuckles out and certainly they shake their hand up and down. Yeah, it is almost like that. It's like a chip dad. His arms up in it's just progressed. Do you think there are black eyes like deep, deep in the hood who talks super upscale white? Yes, for sure. Yeah. There's a lot of black guys that would die to be white and a lot of white guys that would be die to be black. The most people in this world do not want to be who they are. I feel like everyone else has it so much easier. Cooler. We will let the easiness as an insult like, oh, your parents paid your worth through college. I know you're like, my parents worked hard to put me through college. Yeah. Is that bad? The people want us to leave. Everyone wanted me to be smoking. Having it harder as the way cooler way to be. Why? Yeah, you didn't get there for real. You ain't legit. You ain't just treat so it's like a stock and guys stuck with it for real. It's like even move he there. He gets a crazy place to live. You want to live where you can go to sleep and not worrying about fucking gunshots coming through your window.

Speaker 2:          00:20:49       It's nice. It's one thing you might be into something like that idea of thrills out of nowhere. Some people like like living in Silver Lake and hearing sirens all the time. You know, there's people that like that they feel like they're in the heart of some sort of an artist's colony. Arrieta's yeah, I drove use of Homea Dave Silver Lake and there's some of those streets that look like straight Gatto yeah, just straight like what Rick talks walking over across the street with no tags at all. Pitbulls yeah, several weeks. Tricky man. It's cause you got a bunch of hipsters and they're living with a bunch of gang bangers, you know? And I think a lot of them must get robbed, right? Don't they? Probably. You've got to have bars. I always worried about Dunkin Cause Dunkin is like super into like living in those kind of areas. He lives in that was anyone even broken into any, but he's like the first guy to wet his pants. If someone, you know, he's never been broken. It's pretty crazy. The history of his theory. What's the neighborhood?

Speaker 2:          00:21:43       Yeah, what's some famous guy that bad day? I can't really tell the story. It's pretty famous. I don't know if he's talked about it and I know he has and he doesn't want anybody to know where he lives. I just saw that with his girl now and I just saw that documentary. That guy, that Guy Jim Jeff. Well, I'll tell you after the show show's over, you know, you really can't say because it will, everyone will know exactly where he lives. He lives in a weird house. It's a long story. You know that it got a Kool aid guy. Jim Jeffries. Is that his name was Jim Jefferies. Yeah. Yeah. No, no, no, no. You're talking about the comedian? No, no, no. The guy that got Yana trategy, Jim Jones, Jim Jones. I was watching the documentary about that the other day and it mixes the ido in with the video and stuff with Gabby.

Speaker 2:          00:22:21       You guys seen this documentary? I highly recommend it. I think it was on Netflix or something like that and it showed videos and it talked to the guy's brother the whole time. He's like, yeah, my brother then told everybody to, you know, drink this and do that. No, it wasn't even cooler. Those poor Koolaid fucks. Right. It was like, couldn't even get grape drink. Right. There's like some drink. Yeah. And they were showing up there was shooting it in the kid's mouth with like tricky based or type things. Oh my God. And yeah, and the niche. I didn't know how many people also died from like NBC News, a senator or it was a senator died. All the got there. Got Shot. Killed, right? Yeah, yeah. They murdered them. A senator. We landed there. Yeah, a bunch of people. Well it got real tricky because you know, there was a lot of them and this guys, they basically were running sort of a paramilitary operation.

Speaker 2:          00:23:04       You had guns and shit and then guards and you know, whenever you get control of a group of people, the government is not going to let that happen. You get, you get a big group. Like what they tried to do in Waco, they had themselves fenced in and they basically started their own country. They started real a mini country and this we're going to talk to them and they just went in after him. The pro, they killed everybody. If you go look at rules of engagement, it's a documentary about the Waco tragedy where they just clearly show tanks blowing fire into buildings, tanks or knocking over buildings and blowing fire and the billings like a bunch of children and women died in this thing. He just, the dude, they sh apparently shots were exchanged, a few agents got hit and you know, and there's, there's video agents like getting

Speaker 4:          00:23:46       shot at and shooting people and jumping into buildings and shit and breaking into windows and one and one agent actually almost got shot and so friendly fire, use a video, you could watch it that where a guy, you know, it's craziness. They're breaking into windows and shit and trying to get, but at a certain point in time they got the go ahead use the tanks and so they are knocking over fucking buildings with these tanks and you see there these see the the gun, you know the, what is the gun turret? What does that part of the tank called? It's all going to turn to the barrel of the big long thing that looks at the bone Hakan death. It cock the cock of death is spraying fire into these buildings. Dude. It's gnarly. Gnarly. It's pretty gnarly because I mean it's clear cut, absolute unequivocal unequivocable evidence evidence that that fire was not an accidental fire that plays out.

Speaker 4:          00:24:35       That's how I remember they said it just caught fire. That's when we met up a tank or something. I mean, unless all this is completely fake footage. I mean I wasn't there. I don't know for sure, but it seems like that's what they did. I mean all those people died and burned to death, but it is fire happen all the time. How does fire happened? Just all of a sudden your house caught fire. Sorry. Oops. How rare is it that fucking, you know your got gigantic compound with filled with bullets. It's been around forever. Yeah. Where is it? Where is it? That shit just catches fire, you know, and there's videos of these tanks knocking over buildings, blowing fire. You can't be shooting at the government are the, they're Ruby Ridge Shit. Same Shit. They're gonna kill you man. I was in his room when that happened and I remember my uncle and I asked him, he looks, what's up with that?

Speaker 4:          00:25:14       What are the, I was like, I don't know, weird thing. I'm 18 I don't know anything you're supposed to know. Yeah. It represent your country. You're not allowed to do that, man. You're not allowed to start your own country inside our country. You can't just put up a fence and have a military vehicles and everyone's got, got like guns out in the open. They would walk around with like guns out rifles and shit. Nino because stock pile of weapons. They were just letting everybody know that they're are protected and that this is, you know, this is an arm community and this one guy, he's just banging everybody's wife. One guy who was, that's what it was all about. This one guy who would like play songs and it was to play the guitar and play music and he, he fucked everyone's wife like a different battle star Galactica.

Speaker 4:          00:25:53       He, it was basically a real sick, real similar that Balt is our guys. Is that what his name was? Who was his name? The the dark haired guy. I'm making it up his name. I might've made up his name. I forget what the British guy, yeah, the British guy was the real swarming guy, but this guy was a little bit more Jesus, like he was a little bit more, you know, Christ like, and he just fucking, everybody, just a brilliant guy who realized that he can manipulate people and he got a bunch of Dell people that were looking to find the way and he brought them all together and gave Balsam Dick. Oh, of course you want to fuck. That's what he did. Talk to my, you want to fuck him? It's just, it's a tricky thing, man. Where the government says, no, no, no, no.

Speaker 4:          00:26:29       You can't run that hustle, but what about your hustle? What about your crazy taxes and the Federal Reserve? Not really even being a federal institution and all privately owned and banks that control everything and Bilderberg group. What about your fucking hustle? All this guy's doing is getting some pussy. You know your hustling sees a lot worse than what they're doing. Oh, is it was just the guns. Was that, why are where they would want to do that? Yeah, because he's not for the guns and let them go ahead and do whatever. He got big. It got the compound was, you know, it was, they had resources, you know, people would leave the compound and come back. They would work in town and come back to the compound. It was like, it got tricky. It got to the point where, you know, hey, if they decided to just take over this community, who's going to be able to stop them?

Speaker 4:          00:27:11       You know, do, do we have to protect ourselves from this like armed group? It gets tricky. I don't know what the exact, you know what, what they used. I think probably they probably use like child abuse, which may or may not have been true because it's cool or something. That could have been that. It could have been sexual abuse. It could have been any, I mean it might have been true. I mean my own teasing. I'm not saying that this guy for sure you know, was a great guy and the government should have left them alone, you know? But if we're really going to go after people for child, why the fuck are we not going after the Catholic Church? Why is that not? Why aren't they arresting the pope? Why are they not going in to like guns drawn to these organizations to finding out, okay, how many of you have fuck kids?

Speaker 4:          00:27:50       How many of you are fucking kids? There was a document that got released that we were talking about before the podcast started from 1997 that said, the Vatican sent a letter out telling these churches to not report cases of child abuse to the police. That is some nasty shit, man. I mean if that was the case was like anyone who covered up and didn't report it when they knew it, like they should be arrested. Yeah. They'll be like, hey, you can't, you can't do that. You can't give up stuff like that. Exactly. Anyway, if it was anywhere else, if it was, if it was like, you know, any other business, any other, exactly. Let me tell my boss and then I won't say anything to the place. Let me ask my boss when he wants to do and the boss like, no, no, you can't just check it out loud.

Speaker 4:          00:28:27       If your boss is business was fucking kids, like that was their number one hobby. We're going to go play golf and they would say, go play golf with the finger quotes in the air and that meant they were going to go bang kids. I mean that's really almost what it's like. It seems for some of these, these priests, if you watch that, there's a terrible documentary about a guy, but he shipped them all over the place. Uh, I think it's called deliver us from evil. Let me tell you exactly what it's called. I like coloring and I like watching cartoons. I'm starting to think my age group is a kid. Deliver us from evil. That's what it is. It was that it don't watch it if you don't want to get depressed because if you want to get depressed it will get you depressed. It's fucking, it's gnarly shit man.

Speaker 4:          00:29:02       You know, you find out like their, their strategy of like keeping these guys from getting in trouble and how they could just move them instead of like strategy talk written out man. They're good. Praise. Let's, let's uh, yeah, let's just try to move around. That's what rats, the new guy. What does the name Raskin or what the fuck is his name? Poke poke county. Fuck. The fifth where a former Nazi. Yeah, the creepy guy was in the Hitler youth group. That guy literally like actively, like they know for sure he tried to shield child molesters like you know that the he did, they still move on to the top. There's, it's, it's an it's outstanding. No, no

Speaker 2:          00:29:42       debate, no debate about it. There's papers out there showing that they are actively trying to shield charm monsters and protect the church from lawsuits and litigation and, and just try to squash these claims. I mean they must have, it must be just an overwhelming amount of kid fuckers. I mean it must be like impossible. The man was there. No one else to promote to the top. I don't think so. When someone in the former heavily you have, they're all fucked up. I think if you, he's probably the one that can sit in his pants the best. I bet if you went digging into some of those other guys, he'd find he didn't fucking anyway, but he knew about a bunch of people who are good. Maybe flux him every now and then and the rest of them. It's a, it's a weekend party. Do you guys think it's most of those people do it or most not because I think it's like 99% was dump. Most dumb people are child molesters. Right? Like can you look at child molesters and has nothing to do with intelligence? You don't think like that's kind of retired.

Speaker 2:          00:30:31       No, no. Flip the baby. Most of most of what it is is from being abused yourself. That's what it is. They, they, they sort of replay what really fucked up and damaged them when they were young and then it just keeps going back and they did it because someone else had vampires. Yeah, exactly. It's a re recurring a problem. It's a killer. Had charm authored. Yeah. It's, it's really, it's really a crazy phenomenon. People that get sexually attracted to children and sexually attracted to the idea of raping and you know, and holding someone down against their will and that's where they get their rocks off. It's very, very tricky. It's really tricky than it happens to them and then for some reason they wanted to do it to other people, but there's been so many cases of that. Yeah. The best is that guy and I have to catch a predator.

Speaker 2:          00:31:13       They call it was like a second time or no, it wasn't that time. It was, they caught him and as soon as they call them they were like, he was like, can you just send the cops in here and have them execute me already? Oh yeah. Yeah. He was like, I don't want to do this, but this is all I want to do. Imagine that's all you wanted to do and I can't help myself just fuck. I know it's gross. Yeah. That's what I'm into. It's fucked. It's fucked. Yeah. He's, his brain was wired fucked up. No. Could you imagine if your brain was wired great in every other way except for this whole, except yeah. And so you're smart enough to be aware this is frowned upon. So it had to be some kind of therapy. Like they could have made like a fleshlight baby for them.

Speaker 2:          00:31:49       And then just, I tried this sink that's helping. I think that if it, if it helped them not fuck a kid and like get into this flashlight, real doll baby, there's pills you can take. Right? Give it a cute face. They give them pills to like, I don't have no, what they do. I don't know. I don't know. What's the, I mean how the and libido little comb, depress the Harrison. It's different for every person. What was trading at one dude, he's not going to treat down another dude does have lots. How much resources are going to do and straightening up pedophiles. You got to kill him. There's too many people in the world as it is. We know. We know that we, we just, that's sort of what I think in the grand scheme of things. Just a couple of numbers. You Shit you supposed to call it all agree. We don't want them around the dogs that do the same shit. When dogs go to bite people, man, I firmly believe that those dogs should be put down and I put down dogs that were aggressive to people. I've had dogs in my past that bit people and we had to put the dog down. It happened more

Speaker 4:          00:32:40       than once. Yeah. And uh, I think that's what you have to do. I really don't think if you train a dog and you, you know, you love them and you're around them, but something's still wrong with that dog. And that dog wants a bite. People like, what's going on? Why is this dog even associating people with danger and people with wanting to attack them. No one's been fucking with this dog. You've had it since he was a puppy. Every now and then, man, you get a nutty dog and you've got to kill him. You've got to kill those nuts. Yeah, because so look man, what the fuck I had the dog with this temporary, your dog had a doberman with to Stanford. He tried to bite me once and it was just, I didn't know he had to stand up.

Speaker 2:          00:33:11       My dog has an oral fixation that won't stop licking and biting and eating and on dogs. Dude, you got to give him Roger. I do, but it's nonstop. Like now it's like he, she self-medicating, he's like, she has this thing that like a squeaker toy that she just keeps her mouth 90% of the day. Like she knows like if I take this out, the rubber dog, Dick. Yeah, call the fleshlight people. You have to make a very firm rubber dog eat dog dick that has like a meat flavor to it. A fleshlight baby. Yeah, that'd be great. Flashlight babies for my dog.

