Speaker 1:          00:00:09       Experience.
Speaker 4:          00:08:56       opportunity. Give them some sort of a way to not be involved in a life of crime, not be involved in these horrible cyclical repeating relationships that seem to occur in these terrible areas. So many factors and, and in many cases, the areas themselves reinforce the behavior, uh, through various means. Like I used to watch the first 48 have you ever seen that show? And you get to see how like immediately after a crime takes place what the cops are working with, uh, as far as the, uh, the evidence, but also, uh, the witnesses and trying to get anybody to say anything about what happened, but kind of like a super core, fundamental level. If you don't want to tell the police that, you know, who killed somebody, is that really any different than participating? Like then being a part of it, it's so weird to me that that's considered to be an acceptable thing amongst that community right there. The no snitching thing and no snitching thing. It's like, hmm. That to me just sounds like you're afraid. That to me just sounds like the actual power within that group doesn't lie within, uh, the police or authority or whoever, but it lies somewhere else. But you're somehow justifying it to yourself by saying, oh, I really am participating because I chose not to snitch.

Speaker 2:          00:10:25       Well, if you live in that community though, and you did snitch, the consequences would be dire. I mean, it's not something that's like an easy thing to stand up for if you're living in a crime ridden.

Speaker 4:          00:10:35       Sure. But then you also shouldn't expect anything to change.

Speaker 2:          00:10:39       Boy, that's, it's weird to put the ownness on the, the, the people that are poor and they're living in these areas. I see.

Speaker 4:          00:10:47       I don't, I, it's not, it's not completely that way. Obviously there are things that could, could happen surrounding that world that could help it out, but ultimately to get yourself up out of there, it has, doesn't it have to be, I mean, who can really walk into that community who's not a part of it and change and change something. It's not like, it's not like you're wanted there, you know? It's not like when the police go in there, they're treated in a certain way because maybe the life they lead is so different than that of the individuals in that, in that lifestyle themselves, you know,

Speaker 2:          00:11:21       well also that US versus them mentality gets some printed. It gets cemented in, in terms of sports teams. So imagine how crazy it gets when you're dealing with crime ridden neighborhoods and police. It's so hard to break free of. I worked as a security guard for a very short period of time when I was a kid and um, it was a place called great woods. Uh, it's like a concert place in Massachusetts. And one of the things that I remember really clearly is realizing that we had all developed this us versus them mentality at the, there was these crazy drunk concert goers who would cause trouble and do all kinds of crazy shit. And then there was us and we had developed as very clear us versus them mentality that I saw people, I saw people act on this against people that weren't a problem, you know, and I remember watching it, you know, kind of step back from it, but a part of it as well because I'm wearing a security outfit.

Speaker 2:          00:12:19       I'm going, okay, we're doing like cop shit. This is like what cops do. Yeah. And then I was thinking like, man, I wonder if that's just like what happens. And you know that Stanford study that they did where they took, uh, they, they, they did like a prison study where they put people in jail and they made one group become security guards and one group become prisoners. I believe it was Stanford wasn't Stanford. Um, but they, they had to call it off. Like they had to cut it short because the people that were, the guards had been so shitty to the fucking people that were the prisoners. They were like, well, this is like inherent human behavior or something like that. It's almost like there's a pattern that people slide into that unless they're really consciously aware of not doing it. Yeah. The Stanford prison experiment.

Speaker 2:          00:13:07       Wow. Yeah. And it was a really eye opening to a lot of people that is power is a very corrupting thing. Right. Especially that kind of ultimate power. Like someone's in jail or you have a gun, you can shoot them and you're allowed to. Yeah. It's a, it's a, it's an unfortunate thing that that's the only way to govern ourselves that we're forced to to do so at the end of a gun, like, yeah. Right. You hope that that, that doesn't have, have to have to happen frequently, but ultimately that's part of what's holding this whole damn thing together. You know, I drive down the highway to get here and he's like, Jesus, everybody is in their lane. All of these different mechanisms at play to keep order to keep things happening and as smooth sort of way. And yeah, there's crazy shit going on elsewhere, but we've also done one hell of a job of having the vast majority of people comply.

Speaker 2:          00:14:03       Yes. Based on the system. That's something that people overlook when they think about chaos and mom society, like God is so safe and organized in comparison to the number of people. Yes. I was in Mexico City reasonably right for the UFC first time. Yeah. Wow. And Mexico City is first of all, everybody thinks like, oh my God, you don't get kidnapped on the God. He didn't get shot. First of all, they are the nicest people. Mexicans in Mexico City are so friendly, they're so nice. But their version of order and our version of order are very different there. You know what, stop lights, optional gridlock. You know how we have grid lock? Occasionally someone fucks up and they get stuck in an intersection when the light changes and everybody beeps at them. In Mexico there is only gridlock, like there's no getting out of it. The lights change

Speaker 4:          00:14:52       and it's just bumper to bumper in both directions. And I saw people that were trying to merge and they would just pull in, they would just pull in front of everybody and you're talking about six, seven lanes and these people just pull into the lane and, and people would just sort of stop and some people wouldn't stop them. They didn't have to pull forward. And it was fucking crazy and it, and I'm laughing, I'm talking to the guy that was driving and I was like, is this normal? And he's like, ah, these none, no. This way in America, no. In America, when it's a red light, people actually stop. It's amazing. It is amazing how well trained we actually are. I mean a light comes up and everyone complies. The odd, it's a, it's a very minor outlier that actually disobeys that even though it's a fairly simple thing and most of the time no one's probably going to die.

Speaker 4:          00:15:40       But we, it's just, it seems like when you're relatively well taken care of, it's so much easier to just fucking comply. Yes. And when you, when everything's okay, when your belly is full and you know your children are safe, the minute that you take away the necessities all it's like, yeah, let's go. There's a thin veneer. Yes. Oh they days and you get like these crazy people like Zombie apocalypse type people. Like it's all gonna crumble. But truthfully speaking, how much would it take? You know, I mean it's not like you need a complete collapse of the infrastructure to get people panicking. I remember that big blackout on the East Coast, uh, a few years back where it knocked gas stations out and knocked most people's houses out and you know, people were running their air conditioners too much and that the panic was real there. People were like, people had to talk to each other, a one to one and be like, you know which piece, which pizza place still has food?

Speaker 4:          00:16:38       Which ovens are running off propane? Like it was dipping quick and I was like a week, my friend Tommy was in Connecticut when that big snow storm hit and he was telling me how they had a drive hours just to use a cell phone. It'll drive like two hours to find a cell phone service. You had to find food like we went, he was saying that we went to, he, you know he and his girl had went to Dunkin donuts for food and there was a giant line outside of Dunkin donuts cause it was the only place to that end. Exactly. Putting your body exactly. Any calories. That's what happened at, that's exactly what happened in my area when it originally happened is essentially you had like one pizza place feeding the entire community until the, until they ran out. And, but it really exposes the fact that we have such, this kind of gets into the world of technology, but like basic skills like sort of just being a human skills, survival skills week.

Speaker 4:          00:17:33       Yeah. In general, in general. Oh across society. If we were forced to rely on our own beans to deal with like a B, c Jesus, take, take away the cell phone on its own. I mean, I'm not, I'm uh, we were talking about doing a video like 24 hours without technology. Like maybe we'll get a map and we'll have a set of challenges. Like, try not to use your phone, but having, being, you know, thinking about that as I was on my way out. I mean, I'm on Google maps, I'm analyzing traffic. I'm rerouting based on accidents. Right. It's like take that away. And how much more ineffective am I at participating in all of that? Yeah. I have a friend who doesn't use the navigation systems. He still uses maps. Wow. I looked in his car like, what? Where's your navigation system? And he goes out the old paper, Matt, when he's an author too.

Speaker 4:          00:18:22       I mean, he's, um, he's a wealthy guy and he goes, I just don't, I don't want to deal with it. I go, we want to do with what the things are awesome. Like, what the fuck are you talking about? Like you, you don't want to be a part of the new information that's coming your way. That tells you how to be more convenient, more, more efficient. You can get around this accident. Don't you want to know it's there? Like why would you, so what do you think that's about wanting to be like living in the fucking past, this longing for nostalgia. Like you know he wants to fucking fall smoke signals to find the village. I don't understand it. It's funny that anybody who's nostalgic like that or avoiding change, they only want to go back so far. They don't want, they don't want to go the caveman style.

Speaker 4:          00:19:07       It's like it's just a, everyone picks a point in their life. Even now I have friends who have picked that point like they're done. This is as far as they're going with technology and like, you know, you're showing them a smartwatch or whatever it might be in, or even even, not that like it could be a piece of software or social media, like they're on team Facebook, but Twitter's too much or something. It's funny how at some point people flip the switch and they're like, this is as far as I'm going with this damn thing. Yeah. Yeah. There's that weird thing that people do. Uh, you know, you have kids and I have kids who I've talked to many people at, man, I wouldn't want to bring kids up today in this world. I'm like, what are you talking about? People brought up kids when they were woolly mammoths when they're fucking saber tooth tigers and like one, one in a hundred infants survive.

Speaker 4:          00:19:55       What are you talking about? This is like the best time to have a kid ever. You know, they have amazing doctors. Yeah, you were. You really have very little to worry about and the kid has so many advantages of themselves from a learning perspective. I am amazed. I have a five and a three year old at how, you know, the unfiltered, maybe unfiltered is a bad word because I don't want them going everywhere that they want to go online maybe. Right, right. Yet. But the idea that they're in control of the information that they participate in, it's like a huge deal to me, that they're not just flipping on the TV and sitting through whatever is programmed for them. Instead they have the freedom to select whatever it is that's interesting to them. And I know that in my life, when I started to really identify the things that I liked, it was when I really started to progress in what I was capable of personally. That's the essence of

Speaker 3:          00:20:48       education, at least the best kind when you have a basic kind of draw to a particular topic and then you get there and then you retain it. That's, I mean that's really the whole package. And uh, I don't know, you know, if we talked about education the last time I was on here, but I mean, I remember growing up and not giving a shit about a particular topic. And then all of a sudden when the Internet was amazing, I find myself hours deep into a particular article or I'm on Wikipedia. It's like, what am I doing right? What am I doing? The old me would have thought that I was an idiot. You know, like, dude, get out and do something cool. Why are you, but it's amazing how the context shifts the entire conversation when you're doing it for yourself. When you're driving your own car, ship, whatever.

Speaker 3:          00:21:33       All of a sudden things become enticing and interesting that when there was like a dictator pointing down saying, this is the curriculum, it just wasn't the same way. It's also the enthusiasm of whoever's telling you about the subject too. Right. There's some people that can talk to you about like, I knew the grass. Tyson is my favorite example because he's so passionate about space and about astrophysics and when he's talking about these things, it becomes fascinating. Yeah. Whereas you can watch a lecture that's given by someone who's just has no interest in the subject, or excuse me, no interest in teaching this subject. They're just, they're just relaying information. They're just getting through it and they think that all they have to do is plow through it without any charisma, without any, that's what I was going to, I was going to use the exact same word, is I think charisma is not something that's abundant amongst people.

Speaker 3:          00:22:25       It's a very special thing that some have, some don't. And it's like, it's not a prerequisite for becoming a teacher. It's not like, wait, let's evaluate their charisma. Right. No, it's, it's, it's a, uh, an institutional kind of approach to how do you pump out, you know, how do you factory farm teachers, right. And, and so it's unfortunately not a very difficult thing. Well, I don't, I don't want to go that far. I mean, it, it does take work to become a teacher, but it's not like, it's not like you're, you're prequalifying them to be entertaining or do you do a good job of, of the things that lock a person's eyeballs onto you. And so there's the, the ratio of teachers that are charismatic versus ones that ended up there is, I don't know that you're ever going to be able to fix that.

Speaker 3:          00:23:12       No, I don't know. I don't know if you are either. It's like trying to find charismatic people to explain any subject to you. Charismatic people that, you know, our managers have an office arithmetic people that you know, talk to you at a hospital about what happened to your kid. You know what I mean? It's just like the charisma or none that, I didn't even know that's the word. But genuine enthusiasm, passion, passion is so contagious. When something happens in the world, uh, and you, you, you can, you can have two options. One is just the facts laid out to you in a very

Speaker 2:          00:23:46       bland, monotone way. And the other one is someone who's extremely passionate about the subject. Two talks about it with like great emotion and, and, and, and, and, and understands the significance of the information and how you are going to react to it and has this understanding of the interpersonal reaction or relationship that's so huge to, to taking in the information, to absorbing it.

Speaker 4:          00:24:08       I think that the enemy of that is the idea of curriculum. The idea that there is a, a very direct and concrete way of learning something like you have this list of things at, by the end of this course, this person's going to know this and that and that, and they're going to be tested on it. If I was at, uh, a teacher or a charismatic person or whatever, it's like, I don't, I don't want to just be your puppet, your robot up there following the set of guidelines that you set forth. They have very little freedom in what they can bring into that conversation against what's been approved by whatever body is responsible for producing that, that information. And you know, and oftentimes it's like the same guy who's standing up there as the guy who's, who's selling you the textbook. And there's like this weird, this weird kind of thing baked into it where it's not where it's about do. It's like the path of least resistance. It's about not ruffling any feathers. It's about just getting from a to B to c without really having a strong point of view.

Speaker 2:          00:25:13       But isn't it also about like you have to have the basic building blocks. Yes. And then from there you have to or you should find something that you're truly interested in and then pick a career. But at what point, at what point do you think that an individual has the basic building block? Right? Where does it happen?

Speaker 4:          00:25:32       Because my opinion it happens far too late. I don't think we were encouraged at a young age to really hyper focus on the things that are interesting to us.

Speaker 2:          00:25:40       Yeah, I think you've got a good point there because I think that kids that do find something that they really enjoy early, they have an an awesome headstart in like, like they have hope as to like what they would like to do, I guess. You know what I mean? Like if you talked to someone who is really involved in pick a field computer programming, they want to be a game developer and they're 14 years old and they already started coding and they're doing something like, well this kid is on a path. Whereas you know, some people are 20 and they're ne'er do wells and they're just fucking laying around eating chips and then trying to find their path. And I just got to find something I'm really interested in. Meanwhile, as 14 year old brother is reading coding magazines and already like reading, you know, reading about John Carmack and how you started off in software and you know, he's like, he's on a path, you know, and getting on a path can give you so much energy and momentum and it makes it so exciting. And

Speaker 4:          00:26:32       an argument would be that would be that, well maybe that's not really where their head was going to be at. Maybe you closed some door and that's, that's like the fear, right? That's what the, that's what like parents are

Speaker 3:          00:26:44       thinking and the kids themselves, that they need to have this vast array of subject matter that they're proficient in because God forbid they end up wanting to do something they're not prepared for. But that's like, that's like a weird way of looking at it in my opinion. I think some people, I think everybody at some point in their lives has a particular skill that's worth exploring, but oftentimes he doesn't fit into the window of, of what will be acceptable at that time. Right. And also your parents sometimes discourage you from that if it seems like it's a tricky subject or it's difficult to succeed in it. Like my parents were not into me being a comedian at hall. Right. You know, when I told my mom was going to be a comedian, she was like, you're not even funny. And I was like, Oh shit.

Speaker 3:          00:27:26       Oh mom, fucking brutal. You want to know something though? Think about the alternative of your mom saying, oh perfect, you're the funniest guy I've ever heard. Like, I know guys like that too where their moms or their biggest fans and it hasn't done very, they're very much about them. That's a good point. Like sometimes it's better if they present you with a challenge. Like I'll show you, you know, like you, if you get too much encouragement or a distorted version of your actual skillset, that can be bad too. Jamie, something's going on in my throat, man. Come on and make some tea. We have tea, tea back there fighting off something but not like a cold or something in my throat. Like I feel physically good but I'm going a lot and I know that shit is annoying as fuck to you folks out there.

Speaker 3:          00:28:13       I think we were a reading before we got going. Is that dude from CBC that was facing sexual assault charges. How do you say his name? John Gomez. Meshy that is a weird subject and a hard subject for me. I have three daughters. And when I read about dudes beaten up, women especially, um, this guy who's like this really left wing progressive, sweet voice guy who would do interviews and talk to people like this, pretty much the idea that that guy was beating women up and you know, and doing it under the guise, I mean, who the fuck knows what the reality is? But the allegations are that he was doing it under the guise of, um, fantasy or sexual fun. I mean, what would you call it? Bondage. Yeah, that's what it is. And it's funny because I remember when that craziness was going on, when 50 shades of grey came out, it's like everybody on the subway train had a copy and I didn't, obviously I didn't, but it blew up.

Speaker 3:          00:29:20       And I remember thinking like, this is the first time that bondage s and m has really permeated pop culture, like in a big way. And the movie is coming out soon too. And I know that he went so far as to reference 50 shades of grey in his argument. Meaning that in some way he felt that that enabled him, uh, some leeway. Yeah. Right. It's, that's, that's, that's, that was a really weird thing to me is like the, the acceptability of that way of doing things like between what somebody wants to do and doesn't want to do. I mean, when you're engaging with somebody sexually, how do you, if all of a sudden, culturally you have this huge book that x number of women reads or read, sorry, how much more likely are they to put up with that? Even if it's not, you know what I'm saying?

Speaker 3:          00:30:10       What I'm trying to get at? Yeah. I D is that book about beating them up a 50 shades of grey? I Dunno. I, I don't, I think it's just mostly just rough sex and bondage tying up a whipping, that kind of shit. But I think he did. I think it exposed a world of sexual fantasy that wasn't, I mean, that shit was so mainstream. Yeah. You know, I think for the average soccer mom or whatever, it wasn't in, in their lexicon, pre 50 shades of gray. Now I'm not, I'm not blaming the book or whatever. I mean, people are going to do what they're gonna do. And this guy was obviously behaving that way long before based on the accusations long before that book even came out. But, uh, it seems to me that he, his point is that, or at least his defense is that this was simply rough sex.

Speaker 3:          00:31:00       Right? Right. And that was working for him for a bit because the initial accusations, as far as I know, were sexual partners. He had had girlfriends, right. But then these other accusations started coming out about girls who wouldn't participate, who are just getting, showing up and getting beat up and being asked to leave. And there was no sexual element at all. So it, you know, it appears that the guy has some kind of, uh, issue. Uh, I don't know why it's so disturbing to me, but what, what gets me is these guys that are like these really sweet like, like, like soft-spoken, like you know, you, you, you just picture him cuddling. You couldn't even picture him fucking, you know what I mean? Like I couldn't picture that guy with stuffing a girl in the corner of a couch fucking hammering away. I wouldn't think of him being doing anything going down in that way.

Speaker 3:          00:31:53       In that way. You almost see them as more of a Predator like the printer because psycho fucking Ted Bundy type sociopath. Well there's something about someone who is like really like projects, an image and the image is like the like the Cosby situation. Perfect example projects. This image of this wholesome, super squeaky clean family man who doesn't swear admonishes of the comedians for swearing using bad words, talking about sex gets really angry. Them calls them up. The famous Eddie Murphy bit where Bill Cosby calls him up and tells him to stop swearing and then he calls up Richard Pryor and Richard Pryor tells him did, did people laugh? Did you get paid? Tell bill to have a coke and a smile and shut the fuck up. Classic. Right. Well you do. And when the guy and Richard Pryor who's just fucking, everything's on the table, man, everything's on the table and scold.

Speaker 3:          00:32:45       Yeah. Light himself on fire. Comfortable to know where you stand with it. Yeah, that's my dog. Yeah, yeah, yeah, yeah man. If you're willing to go that far on that, then you're probably not hiding anything. There's nothing scarier than somebody hiding shit. Exactly when you think about it. But the interesting thing about the Cosby situation is that it's the accusations or date rape, which to me is, well I don't, wouldn't even say date rape. I would say rape and I would say, well the war, the worst kind of race, sorry, I was referring just to the drug. Right? Like it wasn't date rape in the sense that like uh, he, you know, he was on a date or whatever. Like he held him down like he did the difference in that. I'm not saying it's any different in, it's not any more excusable or anything like that.

Speaker 3:          00:33:30       I know. All, I'm all I'm saying is that, uh, trying to prosecute that, oh, your, your point is the, what's the woman, what's the story? What's the, the, the accusation. I was, I was completely cognizant. I woke up in somebody else's clothes, like I read her, her account, the original, uh, accuser who nobody was listening to at least for the first few years after the accusation. Uh, I woke up in his apartment, don't know how I got there and I was wearing his clothing and I was throwing up. That's the accusation, right? Right. Well, what a woman has to do, well, I shouldn't say I shouldn't put it on the woman, but the only way to prove is to immediately get a drug test, uh, call the cops. And you know, I mean, but a lot of women in those scenarios are fucking terrified and scared.

Speaker 3:          00:34:19       And not only that you're dealing with like way back into the 60s. And there was, you know, like what kind of drug tests were even available back then? We, what could they test for? How could they please? So the drug itself and that happening to people was so new. Right. I don't even know that somebody would, we would realize the steps necessary and maybe he had the gun. But imagine you're that. What was, she was like 18 at the time. You're her and you're, you want to make an accusation against bill fucking Cosby and nobody wants to listen to nobody. I mean, he's a giant superstar. I mean, he was a superstar in the 60s I believe his first TV show us in 65 I think I spy. I mean, he was an Emmy award winner a lot before I was born. Crazy. You know, and that, the thing that kills me though is that like, like this Ghomeshi guy, he was this like sweet guy. Like you, you, you saw him as this, you know the father figure on the Huxtables and he had this, you can never imagine that guy dropping Queloz into a chick's drank and just, it's so fucked up and it's almost more fucked up than if the allegations are like, let's pick a guy like old dirty bastard. You know what I mean? Rest, rest in

Speaker 2:          00:35:38       peace. But if old dirty bastard did something awful, you would go, well let's, you know, like I was shocked because you know where you stand with old dirty. Yeah, right, right. You meet old dirty or like I already get it man. You know, and not to say that he was a rapist, but yeah, it's, there is something creepy about, uh, you know the whole Ted Bundy character, how old dirty bastard is probably less likely to do that too, which is more fucked up. Right. He was probably a guy who just like, because women knew what you mean. Look at his gold grill. You knew what the fuck because the creepiest people are the best actors. Right, right. The creepiest people or the guy who talked to you on the radio like this and then get you alone and you fucking cotton punch in the face like, whoa.

Speaker 2:          00:36:19       You imagine and up. Especially if you're a woman and you're into those like emo dudes and you see him and you're like, oh, this guy is sweet, he's going to cuddle and I'll be able to get really close to him before we have sex. Know he's punching you in the head, stuff in your head under a pillow and tried to suffocate you itself. It must be such a mind fuck to be in that scenario after the fact. You know, to find yourself there and be like, wow, that was not expected. STANDUP citizen, we're assuming he did this by the way. I mean we don't to be careful. He's tried to sue the CBC, but he did. He dropped, dropped it. Well, if you drop it, I mean if you're suing and you're in the middle of the stuff he's charged now. He's charged now as of a couple of days ago.

Speaker 2:          00:36:59       So yeah, I mean he's not, he's not convicted yet, but there are a number of accusations on the table and that's gonna that can't bode well for him. Yeah. Oh, who the fuck knows what actually happened in that particular case? But what just drives me up the wall is that someone's capable of doing that. It's, it's, it goes back and is sort of a very loose way. It goes back to what we're talking about with Ferguson. It's like our real issue when it comes to any kind of a crime, any kind of a horrible scenario, is what turns a person into the type of person that can do that. What turns what turns a person into the type of kid. But whatever Michael Brown did, we know he robbed a store. We know there's a photo of him grabbing some guy by the neck. He's a giant guy.

Speaker 2:          00:37:46       We know that. He did that. Oh, so what could you have done that when you were 18 I couldn't have, I wasn't a violent person. I was violent and it's right in the sense of us fighting. But you had an outlet. But yeah, my outlet, I mean I was never, I never, I hadn't, I haven't even gotten into a scuffle since I was in high school. Like I've had z maybe one time I'm fear factor, but the one time I fear factor. I didn't even hurt the guy. I just grabbed him. I didn't do anything to him. I just, I thought he was gonna hit me the question. Yeah. The question is what makes a person like that? How much of it is nature nurture, so almost it's huge chunk of it is nurture, right? Huge chunk, but nature and nurture are combined because of epic, epic genetics and there's learned behavior there.

Speaker 2:          00:38:32       There's, there's tendencies that a child, if they're in the womb of a mother who was under extreme stress and duress, a woman who's, it lives in a horrible neighborhood of deals with violence in the home. A woman who's being beaten while she's pregnant, that child will have a higher propensity for violence like this is, there's all these studies that have proven this are being done to prove this you, everyone's on equal. If your parents are super sweet and in love with each other and super supportive and you grew up and you're in the womb of that mom and then there's this kid who's mom is getting beat up by the dad who is a junkie who comes home every three days and it's just chaos and violence and fear and crying. You're a D, you're growing up a different person. So if you're in that circumstance and you're part of a greater group of people who have also had that same experience coming up, are you really, do you really have the capacity to understand how your actions are affecting the entire picture?

Speaker 2:          00:39:30       That's a great question. That's the real question, right? That's the real question. The real question is isn't whether or not that cop shot that guy in in a just way. The real question is how? How do we stop a kid like that from being kid? Like how do we stop an angry young man from, from developing into a criminal? How do you intervene? Is it possible to intervene? Is it possible to intervene with counseling? Is it possible to intervene with education or is there some sort of a medical pharmaceutical alternative that's on the horizon? I mean, who the fuck knows what, what, what turns someone into what's, well, you know, fill in the blank. There's a million instances all across the country, every day of people committing violent crimes and it's, and it, and, and to be fair, it's not just this, this part of the populous.

Speaker 2:          00:40:22       It's not just somebody who came up, uh, without very much, well, that's why this Ghomeshi guys kind of fuss. I mean, or I remember the kid in Santa Barbara, the rich kid, yes. Who had had it out for women or whatever. I read, read some stuff for regarding him when that happened. So yeah, it can happen anywhere, but it's obvious that violence among particular communities is vastly more, uh, consistent. Yeah. Impoverished communities. It's just more stress, more stress, more violence, more poverty. Did you hear this hope that they found that Mcdonald's is spending significantly more money advertising important neighborhoods recently? Yeah, they did a study. They're like, I don't even remember what the percentage was. I hate quoting things that I don't have the data on. Maybe Jamie can look it up. Yeah, Jamie could. Um, but yeah, that maybe runs even deeper than this. Right? As you, I mean, you know the like how does, how does nutrition play into it? Right. And that's a good point. You know what I mean? Sugar is a big part of the Diet of poor people. I mean not just sugar but sugar in refined form, whether whether it's candy or soda, but also in terms of like breads and carbohydrates. It's all like an alcohol upon those things. Meat Processing, the sugar.

