Speaker 1:          00:00:00       We smoke weed,
Speaker 3:          00:07:01       I think uh, you know, often we kind of take these disasters and we, we kind of hold them up, you know, cnn style, like where you play it over and over again when in reality there's an argument to be made that the amazing part is that it's held together as well as it is half the time. You know what I mean? That's the argument. There's a lot of arguments when it comes to that, but one of them about gun violence, you know, there's so many. Showed me a chart the other day of how much, how many people have guns, how many people actually get shot by guns and who are the people that are getting shot by guns and how many of the people that are getting shot by guns are involved in gang violence or criminal activity. And then it boils down to how many P, I mean that your chances of getting shot, your actual chance of getting shot.

Speaker 3:          00:07:47       Like do we really have a gun problem or do we have a numbers problem? And it really, if you look at the hard raw facts, it's way more of a numbers problem. It's a 300 million people problem. That's what it is. And if you look at the actual number of guns versus the number of gun incidents, it's shockingly low. But it's just we're dealing with so many human beings and that those numbers just seem. When I don't, I just don't think human beings are supposed to have access to 7 billion human beings on earth. Worth of drama and stories, you know? Yeah. You know, when, when it comes back to the, to the gun situation, I think that there's, you know, the issue there, the way I see it as like, it's a communication issue in that I think you've got these different groups picking a side on it. It is sort of relative to their personal, their personal experience and how they've been affected by it. Sure. As opposed to big picture like what's actually happening. And inevitably what will happen is you'll have some kind of a, some kind of columbine situation and all of a sudden everybody cares because of the type of people affected by it

Speaker 2:          00:08:56       of course. But then half the year when it's a different, a different group of people shooting each other, then it's not making headline news in the same fashion. So I think it's a lot more segmented. I think that those issues of affecting certain communities are more community issues than they are national issues. You know what I'm saying? Oh, they definitely are. Yeah. Like look at Chicago and Chicago is close to you guys. Yeah, very much so. Um, and, and the thing, the weird thing about Chicago is it's really nice, like beautiful if you're in the right spot. Yeah. It's like it's one, one set of circumstances and then on the other side of some imaginary line, it's a different set of circumstances. Murder rate is up more than 70 percent this year from last year. Last year was insane. At least that's what I read. I mean, it sounds, I, I keep hearing about it.

Speaker 2:          00:09:43       It's terrible. There was some kind of a blog I was reading which was like based on infographics and all this guy does the entire blog is just following Chicago violence as the whole thing. And he had it all mapped out. He had a every single shooting fatal shooting where the person was hit. It's like an amazing amount of detail that went into, on this particular blog. I'm 72 percent is soared. Seventy two percent. Two thousand 16 shootings up more than 80 percent. 80 eight percent. Wow. That is insane. So murder up 72 percent, shootings up 88 percent the first three months of 2016 compared to the same period last year. Fuck man. There was a video that this guy did. He was live his neighborhood and he got shot on video. Did you see that? It's fucked up. He just hanging out there, you know, walking around and I don't know what he was saying, but he was filming something and all of a sudden you see him drop and then you see the shooter standing over him shooting at somebody else. This is fucking crazy. Yeah. Know we look at it like Juarez. Mexico. Here it is. It. So this guy is hanging out here.

Speaker 2:          00:10:59       At least I'm going to duck for cover. Is that what he's saying? So he's listening to music.

Speaker 4:          00:11:03       Hey pops tobacco for the kid.

Speaker 2:          00:11:09       So He's wandering around. Yep. Someone just shot up what? The Sky on loaded the whole clip. Crazy. And that guy survived. Now that guy's dead as fuck. Oh right. Well that's weird watching somebody die. Not really into that. I mean I assume he's dead. I felt like if that guy kept shooting like that, it's probably, his work was done. That's what it sure seemed like. But the weird thing is it looked like he was shooting over top of him. Did he die? He was in critical condition. Oh. So by now you might be, but you might have also survive. That place is a war zone. Yeah, it's,

Speaker 3:          00:11:54       it's weird. And I think, I think at this point we've got enough evidence to realize that at some root level we are still animals and when it comes to vengeance or revenge, everybody's susceptible. If you brother, your neighbor gets killed or you're somebody you care about, you just want to go and do the same thing, you know, and whether it's in Chicago or it's in the Middle East or wherever it happens to be. People who have been doing it. You know, I was, um, I was, I don't remember who I was talking to about this, but uh, it was, it was regarding whether or not more humans were responsible for killing other humans in modern history or disease. Like which one was the bigger figure. And I'm sitting there thinking about it like I couldn't, I didn't know, but when I looked it up, it was like shocking figures in the direction of humans killing humans.

Speaker 3:          00:12:43       If you're including all the wars that have ever happened, millions of people that have died. But this is modern, modern history over time. Who knows? But I don't know if it was on a wikipedia page or something. No, the craziest, craziest statistics I've ever heard about a human's dying was that half of all the people that have ever died, ever were killed by malaria mosquitoes. The most dangerous animal on the planet. Fucking malaria, man. I know a dude is added more than twice. Justin's got it again. Justin wren, who got it again, got layer. He lives in the Congo, he spends time in the Congo. He's got this foundation called fight for the forgotten. And they go and they build a wells in the Congo for people. And uh, he's been over there many, many times and this is the second time he got malaria.

Speaker 3:          00:13:25       And one of the things that he was saying is there's different forms of malaria and some malaria will last six months, some malaria last five years, and some malaria last 30 years, 30 year malaria. That's Kinda like. I'm Kinda like that. Lyme disease hangs around. Well, lyme disease is devastating. That's some really bad stuff, especially if you don't catch it quick. There's a gigantic amount of people on the east coast that have lined to stuff just stays in your system, whether it's from deer ticks and they have to figure out what to do about that because there's a lot of places in the east coast that are just overwhelmed with deer because they don't have predators. So they have all these deer and the only predators that they're having now, the coyotes have kind of expanded their range. And there used to be a, an animal that was more in the, in the west and the prairies.

Speaker 3:          00:14:14       There's this amazing podcast right now, if anybody's interested in this, um, my friend Steve Rinella has this show called meat eater and it's on the sportsmans channel and there's a new podcast are not new, but he's been doing it for awhile. It's called the mediator podcasts and he's got this guy on named Dan Flores and Dan Flores is a historian and he was one of Steve's a former professors and he has this book coming out about coyotes and it is fucking fascinating. The knowledge that is guide drops about coyotes will blow you away. First of all, coyotes or wolves to kind of wolf. They used

Speaker 5:          00:14:52       to call them prairie wolves. That's what they used to call them, but it's like a type of wolf and they breed with wolves. Most wolves except gray wolves because gray wolves have a different genetic line. They had left North America millions of years ago and then came back like within, you know, x amount, thousands of years. And so they kill coyotes when they find them, but red wolves and some other North American wolves that still survived those wolves bread with coyotes, and they're creating this thing called a coil wolf, which is like a hybrid of coyotes and wolves.

Speaker 2:          00:15:27       Let me ask you something. Is this where geographically

Speaker 5:          00:15:30       all over the world, all over the country, rather all of this country, this country, like I said, it used to be a small range of coyotes, but due to persecution, they've expanded their range and part of it, the persecution is not by humans, but by the gray wolves, because the gray wolves are killing them. So what? What coyotes do. This is so fascinating. Coyotes, when they call out, when you hear coyotes and then other ones call out. What they're doing is they're doing a roll call. They're making sure that everybody's there and when coyote to get killed, when coyotes are under pressure, when carbs get killed, there's a reaction in the mother or the female. Coyotes have larger litters. So the normal litter, if nothing's disturbed, is between three and four pups. But if they get killed, if they noticed that their numbers are dwindling, they're numbers jack up to as many as 13 to 14 puppies per litter per litter, and doing that as a result of being persecuted, realtime upgrade realtime upgrades.

Speaker 5:          00:16:28       So one of the things that they've been studying, this is in yellowstone park, because yellowstone park for more than 70 years, had no wolves because they had eradicated wolves. They had extra paid them from yellowstone park. Then they reintroduced them in the 19 nineties. So they. The population of coyotes during that time was exactly the same. It was completely steady until they brought in wolves. And when the wolves started killing the coyotes, they're gray wolves that they brought in from Canada. The gray wolf started killing the coyote. The coyote is expanded like crazy and multiplied like nuts. And now the initial thing that happened when they brought in wolves was at the wolves killed a giant percentage of the coyote and the coyote population dropped by 50 percent. But then once the coyote started having much larger litters because there will be killed off by walls, their numbers went as high as they were before and now even higher and now they've expanded their range. So thanks to the reintroduction of wolves in Yellowstone Park. We've got coyotes all over the continental North America now. Wow. Fucking courageous. Interesting. You

Speaker 2:          00:17:28       brought this up. I had a very weird experience recently. I was, um, I live, uh, I live just north of the city in Toronto, like still completely urbanized area. It would be like here to downtown La, let's say. And um, I was going to visit my parents house. They live roughly in the same area and I went past a place where I went to elementary school in a neighborhood houses everywhere. A wolf came straight in front of my vehicle, limping, looked right at me and continued on into the back of that elementary school, a legit wolf. I was like, is this a coyote? And I'm sizing it up as I'm staring at it. So sure enough, I'm like, this couldn't, this can't be true. I'd never seen a wolf my whole life in this area, and then so what I ended up doing is I went online and I typed the town name along with wolf and sure enough people have been spotting wolves coming into that area. Look at this. My friends live outside of Edmonton, Alberta, and the big ones, a big wolf was in front of my friend's truck today. Just walking around the fucking thing. They just sent me this this morning, just walking around the street, staring at him.

Speaker 3:          00:18:39       Fuck that. Yeah. That's a different kind of animal. The way they look at you is there. They're fascinating, but coyotes are almost more fascinating because their ability to adapt. You know, they tried to wipe out the coyote during the 19 thirties. I don't want to give too much of this information because this is all Dan Flores is a information. It's all really much better distributed by him off of this mediator podcast. You really should. It's not the most recent mediator podcasts, but the one before that, and today's date is the 20, 20, 30th, 30th of April. So find it, find it, listen to it. It's amazing. You might not be into hunting and I get that if you're not a hunter, not a hunting podcasts. That one is not about hunting. It's all about the wild west and about the animals that used to exist on the planes and uh, they're actually trying to set aside a gigantic chunk, I think it's in Montana or something like that where they're trying to establish a new yellow stone type of situation where they bring in a lot of these animals and allow them to live in a natural way and some large sort of, um, you know, like a savannah type area.

Speaker 3:          00:19:49       Like, like that, like recreating sort of the African savannas. Wow. Yeah. What now that sounds dangerous to me. Well, they're just talking about animals that already exists of animals like wolves and bison and like local, local with. They're trying to have whatever would have texted large wild protected area where they can't develop and no one can frack. And you know, that kind of, you know, this is a video I put up the other day from a, I think it was in Sweden, I forget what town it was in, but they were lighting lighting a lake on fire. The lake has gotten so fucked up from fracking that you can light the lake on fire. So they go up to this lake with a blow torch and they blow it on the lake and the whole lake lights on fire. That's like, that's like a bigger version of what the people were doing on the taps, right? Yes. I don't know much about fracking. I know the tap thing is controversial only because some people say that some of that

Speaker 2:          00:20:48       natural gas that got into that water had already gotten into that water. And this is a common phenomenon that you could. You could actually document back, you know, decades before fracking every assistant. So it could be that the natural gas, which was already in the water, right? They're already trying to get. That's what they're trying to get out when they're fracking. Right. That it was already leaking into some water in some places, but that doesn't remove the possibility of fracking making more of that shit get into people's water supply. So it's real tricky because they want these people that are anti fracking, um, they, they want to point out the dangers of fracking and the people that are pro fracking, they want to pretend that there's no danger and it's like there's no middle ground. It's like the documentary on Netflix, merchants of doubt. Have you seen that?

Speaker 2:          00:21:36       Amazing. Yeah. It's like it's all about the agenda. Any amount of money you have to further that agenda and how much you can extract. If you can push your agenda, you extract the money and then you put it back in to continue to lobby or whatever it might be to continue that conversation. And it's like when he talks specifically about how individuals, they only need a fragment of information in order to, to, uh, confirm their preexisting bias. Yes. Like you don't need a whole story, just like just have to present the alternative argument. Make people think it's an argument in the first place. Yeah. And then they'll pick the side that's more convenient to them. Like climate change. That's a perfect one. I mean there's this young Republican kid from my Jujitsu class who's like, somebody brought up climate change. It was, it wasn't even a conversation that was involved in.

Speaker 2:          00:22:23       And he goes, that's the cycle. So there's always been a cycle of change. Are you a fucking earth scientists do like, what do you do? You know, you just got out of the marines and you know, I'm pretty sure you weren't studying earth science in Afghanistan. Like come on, man is like a super complicated issue that a lot of people that are, they have decades of science behind them and they're researching the, the numbers. They're trying to figure this out. They got a consensus. Yeah. How come you're not with them? You know, I think a part, I think part of it is the fact that the way we've sort of been conditioned via media is to feel empowered. You know? It's like you watch this, you watch this clip and you think you're getting information. But in reality you're getting a headline. You know what I mean?

Speaker 2:          00:23:08       Because that's the flow that will keep you engaged where you feel like you're getting smarter, but there's no way in hell you're putting in the time to be educated on certain subject matter. He getting just enough to, as I said before, confirm kind of what you thought already and then go out and pretend that as you mentioned, you're some kind of authority on, on the situation when there's other people out there that have invested so much more in their perspective, but instead of admitting like, Hey, yeah, I don't know too much about it, or it is a complicated issue or there's more to the conversation, there's something empowering about picking aside, even if you don't necessarily

Speaker 3:          00:23:46       know. Well, I think there's something very problematic about headlines to like these Gotcha clickbait headlines. Like there was a headline recently about Bill Nye the science guy, Bill Nye Bowtie. I grew up on that shit. Well, Bill Nye, the science guy has done a fantastic child. No, no, no. It's not a bad thing about him. He's fine. It wasn't him, but Bill Nye the science guy. He's done a fantastic job of trying to make science interesting to people and trying to educate people and trying to make science something that's compelling and make young people drawn to it. So Bill Nye the science guy was having a conversation with this guy and the article, the topic of the article or the, uh, the headline said, Bill Nye favors prison terms for climate deniers. So you're like, what the fuck? Because it was bill Nye lost his fucking mind. Is he gone crazy? So I, I read this piece and then I watched the actual interview with Bill Nye.

Speaker 3:          00:24:46       He never said such a thing ever. Someone suggested that climate deniers should go to jail because these energy ceos and these people that are spreading misinformation or directly harming the people that are, that are going to be affected by that. They know that they're saying something incorrect. They do it to, to distribute. And there's other people who are going to be affected by. So Bill Nye says, that's interesting when you're talking about these energy ceos and these people are making choices that are going to directly affect our quality of life. What do we do about it? That's all. I mean, that's literally all he said. The headline says, Bill Nye favors climate deniers going to jail. It's clickbait bullshit. So when you read that, you're like, he's a fucking fascist, you know, you don't even have scientists, Gino, where he got his degree and who's and who's the type of personality, who's most inclined to pick that as an individual who doesn't want to invest in discovering even the article they'll just take because it's easier.

Speaker 3:          00:25:48       It's easier to take the headline and form your perspective than it is to invest into. Also because the people that are putting that headline out, all they want to do is make people read it. That's it. Yeah. Watch it, read it, get the clicks to get the money. That's where they get the ad clicks. Impressions. Yeah. I mean that's the only thing they're trying to do and they're trying to make it as salacious and as inviting as possible. Yeah, and the thing is, the only way to really combat that is to bounce, is to get out of there as quickly as possible because. Because the way I understand it, not necessarily an expert in the field, kind of done a few things on youtube, but like as far as the Google page rank is concerned, if you, if a site is getting a quick bounce rate, like if people are landing on it and leaving really quickly, then it would, it would, it could potentially be ranked lower in the future because of that.

Speaker 3:          00:26:38       Oh, okay. So you have to have a certain amount of time that you hover on a site before. So the money. Yeah. So no, no, not for them to unlock money, but for them to surface in the future. Like Google will penalize sites that have low retention. Oh, just like videos that have low retention. That's very intelligent. Yeah. But the problem is that you probably had to read the whole damn thing to get to the conclusion that he didn't say it. Well, I watched the interview itself. Oh, it was video and yeah. Was opposed video and there was a. there's text along with the video. Let's, let's, let's, can we, we should name the site the piece of shit site that ruined your day. Well, it didn't ruin my day if you can find it on Jake because I defended Bill Nye on twitter and I said this is not his words, it's not what he was saying, but let's watch the video itself and if we watched the video itself, you can see how deceptive it is to say that he favors people who deny climate change to go to jail because it's not what he's saying at all.

Speaker 3:          00:27:37       Essentially he's saying that we should look at people that are ruining the earth, like these energy ceos that wantonly pollute these areas in order to gain profit. Here we go. Just it so we could hear it

Speaker 6:          00:27:53       near the environmentalist here at the people's climate march in 2014. However, he said that the climate deniers, his word entity ceos belong at the Hague with three square meals and a cot with all the other war criminals. What is your thought on that? Do you think some of the rhetoric on your side, as I'm sure both sides, but some of the rhetoric and just had to get too carried away? I mean, you know, what's your thought on jailing skeptics as war criminals? We'll see what happens. Uh, was it appropriate to jail the guys from Enron? Interesting. Okay. Right. So we'll see what happens if was it appropriate to jail people from the cigarette industry you insisted, insisted that this addictive product was not addictive and so on. And you think about in these cases, for me as a taxpayer and voter, uh, the doubting, the introduction of this extreme doubt, will you go with extreme doubt about climate change is affecting my quality of life as a public citizen. So I can see where people are very concerned about this and are pursuing criminal investigations as well as,

Speaker 7:          00:28:57       uh,

Speaker 6:          00:28:58       as well as engaging in discussions like this.

Speaker 3:          00:29:02       That is a very measured response. And he's essentially talking about people like the BP people that fucking polluted the golf. That's what he's talking about. He's not saying that you know someone who like the kid from my Jujitsu class that thinks it's a cycle of life, you should go to jail. Yeah, and even even if you look at the very end there, he made sure to say, I can see why people might think something like that instead of necessarily confirming that that's the outcome he wants to see. He's making good points and you if you do like that merchants of doubt movie, which is amazing movie. If you watch that movie, you realize that the same people that were working for the tobacco industry but they were denying the

Speaker 2:          00:29:42       addictive effects of tobacco are the same people that are denying climate change and human beings like not the same kind of people, but the exact same people. Yeah, that's a little bit much. Well, that's what they do and they get checks. There's direct checks from these tobacco companies as direct checks from these energy companies. They're getting paid for this. You know, coming back to the click bait subject. I don't thing they click bait is always bad. No, it's not always bad. Like I think there's a difference between click bait and lying. Right? You know, like I think sometimes click bait gets too much of a bad rap. Like I'm in a sense of. I think a headline should be intriguing. It should Pique your interest, should compel you to click yes. Which you could say is bait, you know, but like I feel like navigating the real world is full of clickbait.

Speaker 2:          00:30:36       Oh, coffee is clickbait. And when you see a girl on a tight skirt that sounded Toyota Click Bait, click bait. Yeah. So, so in that sense, I feel like, you know, there's a place for it, but I think people use the technique to, to essentially lie and it gives the whole kind of system of bad rap. Well, in that Bill Nye situation, there's not always a clickbait. I think it's like he should fucking sue. I mean, not really, but he goes, not employed anymore. It's not to get the ball rolling in that direction. But so many people on my timeline, we're calling him a fascist and these fucking left wingers are so far left now they're right there. Nobody had watched the video, nobody had read it, nobody had. It was just immediate reaction with his little information as possible for you to be upset. Yeah. Again, I just the knee jerk, they need jerk response of the web, you know, there's like a lot of stuff going on youtube right now.

Speaker 2:          00:31:32       I'm kind of immersed in the youtube world in a social media world, whenever there's like a lot of drama that's getting, getting rewarded recently. Like what kind of drama? Um, in like without going into too much detail, there's like a, there's a lot of, is a lot of channels that popped up kind of kind of hating on people. Yeah, that's all they do. Yeah. And that's like the entire agenda is to use other people's content as the vehicle for you to have a channel. So like today I'm going to shit on this video and tomorrow I'm gonna Shit on that video. And so there's this kind of conversation about, about whether or not that like is that still fair use in that environment because the understanding of meaning. It's not definitive, but the understanding I have a fair use is that like if you're compelling people to go look at the original, like you just did with the information about coyotes, you, you took a moment and you said, okay, this is this guy's research or whatever, like, so go check him out.

Speaker 2:          00:32:29       You actually did him a service there instead of the alternative have you could have just talked about and so on. Well, in the case of these types of videos, people are using actual clips from these that they're shitting on and that's making up their channel. Exactly. Yeah, and maybe more importantly there's, they don't, they don't compel you to go look at the original because essentially they're hating. Why would you go as a viewer and go source out this thing that this person that you like is telling you is a piece of shit anyways. You're not going to go watch the original, right? You're happier to, to listen to this guy shit on stuff. And so anyway, the problem is that a algorithmically it feels like drama cells, right? Just like, just like in the regular world and so some of these channels are rapidly growing rapidly growing on the backs of essentially making fun of people.

Speaker 2:          00:33:21       So there's some, some sort of feeling in the community, um, that youtube has changed or you get a lot of these people that are like make youtube great again, stuff like that. But I mean I don't necessarily agree with that, but I think that there is maybe a conversation to be had about, um, about how much freedom were willing to give individuals to essentially build their product on the back of other people's will. That is a, an important issue when it comes to free to fair use. Like if someone just decided to make an unbox unboxing, unbox therapy channel and all their shit is just shitting on what you do. Look at this fucking dummy talking about watches that. Yeah, that's not really fair use. I mean they're kind of stealing your content and becoming something with your content only exclusively or other people's content.

Speaker 2:          00:34:08       Like they don't really have content there. Content is other people's content and you get a few layers deep on that. And you realize it's kind of like, it's kind of a fucked up scenario and you wonder about what it breeds like a, there was this issue with the, the fine brothers. Do you know who they are? The fine brothers. I've heard the woo hoo. So they have just really popular channel, maybe like 10, 11, 12 million subscribers or something. Jesus. Yeah. And they do react videos. So. Oh, so they watched something and then they react to it? No, no, no, no. They don't personally. They have people on. So it'd be like kids react that it'll be like grandparents react and then it'll be like famous youtubers react or athletes react, somebody reacting, but essentially the core of their being, they've been doing this for a long time.

Speaker 2:          00:34:54       The core aspect of the model is that there's this thing you're reacting to whether it's a viral video, a trend, whatever it might be. While recently they tried to trademark the term react so that anybody who uploaded a video with the term react in it, that they could claim it and earn the ad revenue. Oh my God, they must be stopped. If you do know about this, Jamie, I tried to, I think I told you about this at one point when it first maybe like started online chat, kind of fucking cunt thinks that they can own the word sentence. So they launched this video so they launched this video where, um, where essentially they're explaining how this process will work for people. They're like, they're telling you that like you can sign up with us today and we'll license will license it back to you.

Speaker 2:          00:35:43       So you. So who the fuck are these guys? So they're out of their fucking mind. They are out of their fucking money, but here it gets better. Yeah. But here's the thing though, real quick. They're not the only ones. So there's other companies out there that have already been doing this in quiet. Um, there's a company called Juke and media and there was a story. This guy, uh, what was his name? Devin. Supertramp. He makes like action action videos. I don't know what you would call them. Action Videos. Sure. He used, he used a title called people are awesome. That was the title of his video for his demo reel for them. I've seen that. Yeah. And, and he, he didn't know that you can mediate, had already trademarked that title. People are awesome. They own it and have our own people are awesome. Exactly, exactly.

Speaker 2:          00:36:37       Because whoever's got enough money to pay the right lawyer, God knows how it happened, but they, the, the, the idea that you can trademark those three words together, that is so insane. So they were able to issue a copyright pulled down on his video and oh my. And uh, and so that was acting as his demo reel to get jobs and stuff like that. And so he did a follow up kind of explaining what had happened. But, uh, so anyway, getting back to kind of the drama component, it's like people are kind of looking at youtube now a little differently. Like wow, maybe here's this completely open space where people were allowed to do whatever they wanted, but like, what are the consequences of that? Well, it's, you're putting out a certain type of frequency, right? I mean, that's what you're putting out. If you're putting out a frequency, what you're saying is you want to own all the react videos.

Speaker 2:          00:37:26       That's the greedy can frequency throughout the greedy combat bat signal and you're letting everybody know you're a piece of shit. You're a piece of shit and you want to steal money. Well, you know, the best part is that stealing money, right? I mean, that's stealing money. If you make a reaction video, you want to watch two girls, one cup or guy getting run over by a buffalo, they want money from you watching that video, that stealing. What they've done is they've used lawyers to circumvent the system. They've jacked the system and they're going to try to steal. Have they actually copyrighted the word react. So is this valid? So they, they, uh, they retracted. What happened was the Internet lost its shit as you would expect. And these guys, there were videos on youtube which were live streams. These were so funny when this was going on. Essentially what they were is the subscriber count of their channel shortly after the controversy had hit and it will just like fell off a cliff, like it should go to zero. He never went to 100 percent, go to zero. It should go to zero. It never went to zero, don't deserve anything. That's what they want to do. You really want to reach out to everyone using the word react and the video and you want money from them. Fuck you. Fuck you. You're everything that's

Speaker 3:          00:38:36       wrong with distributing content over the internet. That's everything that's wrong with it. You've taken one of the sneakiest most diabolical fucking tricks and all of the legal system and you've applied it to this open free world of the Internet and you're a piece of shit. That's a parasitic behavior. Let me ask you something. That's cancer. I agree. They came back, retracted it. Apologize. Fuck them. Fuck them for even thinking that showed the, okay, now you're going to give them a second chance. Fucking chances. You can't think like that. You can't do that. You can't. You can't do that. You can't go after people. For some it's not like it has anything to do. Anything that you create, you're just stealing. There were, there were some stories going around that they had effectively shut down like these small time channel, Walmart completely like people who had the chance.

Speaker 3:          00:39:24       Again to define bro, you can't do that. Man is probably some lawyer talked him into doing that is going to be amazing. God, we got it. Dude. We have the copyright fuckers. It's a weird. That's so gross. The idea behind going after people. It's not like this something that you created and you know they came along. Something completely unique where you want to copy. Right. Then what happened was that they were. They went so far as trying to go after ellen because she did. She did reactions on TV. Oh mine. She would have kids, kids reacting, but you know what? The crazy Chicago jail, you should go to jail for that. Crazy. It's fucked up. The whole legal system. They didn't have format exist before that. Bill Cosby do that today. I did a react to two girls, one cup video, like in 2003 or way back that Brian and I did.

Speaker 3:          00:40:18       It should have copyright. So gross. It's so gross man. But anyway. Anyway, I don't know. I think um, I don't know. It's scary both ways because at the same time you're like, well, do you really want youtube to come in as this massive governing body to stop stuff like this from happening? Well, that, yeah, yeah, yeah, I agree. There's some clear cut shit like the word react. You can't use react or people are awesome. Fuck you, man. People are awesome. It's still there and still functioning. If we titled this video right here, people are awesome. We're gone. Take it down. They're ripping us down instantly. That doesn't seem right to me. That's just, that's like saying love the copywriting, the word love or you know, or action. Well, people are off, wasn't it? Didn't designate. People have said that. Disney copyright a happy birthday. Right? Well happy birthday to you. The song was copy written for a long time, but it's since been dissolved now because he used to go to a restaurant and they used to have to sing their own, like happy, happy birthday. He couldn't sing happy birthday to a song that we all know the iconic song. Somebody owned it. So if you wanted to sing that song in your restaurant when someone came

