Speaker 1:          00:00:00       I got to high four, three, two, one.
Speaker 2:          00:03:43       The worst by far is Alaska that I've experienced. Have you ever experienced. Totally shit man, you get out of the car and they just swarm you like huge, huge and super aggressive and they only live to be like three months old, so when they're going for it, they're just fucking going for it. It's like some Wolf Shit. It's like survival of the fittest with, but it's the weirdest thing ever. They're like, they're a different thing. Like we have an idea on mosquitoes. Yeah. They're annoying to get cheese slab. Oh No, no, no, no, no, no, no, no. This is a swarm is there's hundreds of them in your face and your eyes all over your mouth. Everywhere. Instantly. Yeah. We have no CMC. The pool was cool when we get that house. It's above ground, but it's on a slope, so there's a deck on one side, so it seems like an above ground pool because you're above the pool, but it's still an above ground pool and it's only four feet deep or something, but once monsoons hit look at that.

Speaker 2:          00:04:38       Oh my God. That's mosquitoes in Alaska. We're looking at what looks like a swarm of birds. That's the worst part about naked and afraid. If you ever watched that show is the bugs. Like I could go a month without eating. I do that anyway. I'm a drunk. I get my calories from the mixer. Are you? Do you have to stay naked? Like can you make clothes? I don't know how much they cheat. Oh No, they have made clothes. They were clothes. I don't know how much they have. The producer says, okay, you can make the beaver cloth but you can't make a full like Hoodie. They do it with every one of those shows. They'll call those shows reality shows, but there's a certain amount of like plotted out ideas and you could see them take place. You could see like the act you see acting in people. I have a whole chunk in the book that I'm here to promote, but about it's how I. I'm glued to reality just to find where they're lying. Alright. That's honestly. I like the name. Yeah. I don't know who came up with it. That's beautiful. Fuck yeah. Dude. You're an author like a legit author. How did that happen? I don't know, but you like, you've written too, like legitimate books. That's pretty fucking interesting, man. That's a different kind of person to do that. Like that's um,

Speaker 3:          00:05:58       I've always felt like an extra one on. One of the things that I love is. You actually wrote this to, you wrote, wrote this. There's no guy. Yeah. What? No, there's nothing wrong with those guys because that's probably the only way you're going to get a job, his book. Right, right. Yeah. If a guy's not going to write it right? Yeah. Get a guy, get a guy. Well, Joey Diaz could sit and tell you all their salaries. Yeah. He could tell them. Right. And if you have a guy, I'm just, I could never trust anyone to write so hard, so hard. I've talked to so many authors or writers or journalists even that they'll hand in a piece and then the editor tweaks and changes it. And the, uh, an editor got fired from the Daily News for doing that pretty recently because the guy had attribution's and his story, the different studies and shit where, where, where he got the information that was in the whatever the version.

Speaker 3:          00:06:49       And then he got accused of plagiarism when he has the original document that he sent to the publisher. So the editor was the plagiarist. The editor just decides we don't need to tell people about that. They made a weird judgment call and they removed the references, know interviews, how often they fuck up what you said. Like I remember I was the winner of the Montreal Comedy Festival. Like there's no winner in 1997. No one wins. Yeah. They don't understand what that means. But it. Yeah, if you, if you read, which I don't on purpose now you read an interview. You did. I didn't say that. Now you're making me look like a dick. And other comics are going to see this interview. And I didn't say it like that. You're like the only guy that ever won a comedy competition that people don't hate, you know, because you want San Francisco.

Speaker 3:          00:07:39       Like everybody that was after that was done. Like there was. It wasn't a big deal and it wasn't a hook, but we were both completely unknown at that point. But still, you weren't unknown in the comedy world, but they'll put up the mission itself in the late seventies. Eighties was a huge deal. That's when Robin Williams and Ellen degenerate. By the time I did it, it was me and an unknown. Dane Cook Bryant. I think competitions are fucking weird when it comes to comedy. Like that's a change in what it is. I like the festival idea festivals. Nice. We don't have to make it fucking star search or whatever. What are, you know America's got talent. It's, it's, it's a show. That's what the country wants to compete. But here's what it did. Introduce a lot of people, like when they started doing the standup show the fuck it is.

Speaker 3:          00:08:30       This comic standing last comic standing was the introduction of a lot of people got to a lot of good comics. You know, I mean that's how people found out about them. Yeah. But as long as you know going in that this is rigged. Yeah. When you're dealing with. I just did a seattle. I played up there while the Seattle competition was going on and a girl I know was in it and I had to know you first of all, play to yourself. The judges are going to be people like fucking morning show, hack a sports talk, Dj, whoever they can get. It's not real. Just do your best if it makes you work. That's why I liked him back in the day because it made me work. It made brevity important. I have seven minutes. Cut out the dead weight in this joke. Get hit your fucking beats and.

Speaker 3:          00:09:20       But I knew that it's bullshit, you know? Yeah man, it's, I'm, I'm sure I won because I was way cooler than Dane Cook. And I hung out and drank. Drank with the fucking producers. And what, wait a minute. Why would you say that? I mean, wouldn't you just win cause you did a great job. Really funny. Human beings aren't. Oh, utilizable what? San Francisco, aren't they a little bit more open minded and intelligent than the rest of the country where the people that hired the judges, that producer, I forget her name, that I hung out with the whole three weeks and we'd drink and have fun and it probably helped, but they appreciated you. Before that I was the judge a year or two later when I want to keep being self deprecating with James Inman. One, I was a judge Acadians. It bothers me when James Edmond one. I was a judge and he's still a good comic. He's a funny guy, eh?

Speaker 3:          00:10:14       I see. It's funny, but hey look, my point is last comic standing. Let a lot of people know Lonzo Bowden, you know, I'm half round was the first year he lost a Dat Phan, which I said on twitter is what killed him. He couldn't get over the shame even 20 years later or 15 is that fans still around? I've looked them up. Uh, every here and again. You remember Dat Phan and you search to see and those occasionally he'd be playing a casino. He was a guy that I felt like there's some really unbalanced hatred towards. It was very odd when he won last comic standing, people were really mad. There was a certain percentage of comics that were really mad and let me tell you something. I was there when he had a set and he fucking killed. He fucking killed whether or not you like that kind of material or not.

Speaker 3:          00:11:06       There was like he got up a bunch of hatred. Was wasn't just. He wasn't a young guy like, wow, what was it, Craig? Because Eliza one last comic standing when she was like three years in. Right. I think she said that she didn't. She said that three or four years in. I hope I don't say the wrong years, but I mean that's kind of the same thing along the same lines, right? Like you're getting in, but if you do it, you do it. Sure. You, when you've got eight minutes to kill, you can break it up and for whatever reason, man, people are so pissed at him because he was kind of fresh to comedy, right? Like he hadn't been ridiculous. He was one of those scientists that you hate. He sat down and he grabbed the laughs per minute. He's getting based on his recordings of his sets and really did that on last comic standing.

Speaker 3:          00:11:51       He'd have these graphs of laughs. That's interesting. Why do I hate that? I don't know. We were talking about this on a podcast yesterday where like the all the people that you were trained to hate. We're talking about like carrot top and the nineties. You hated carrot top as a comedian. You kinda had to hate him. And then he beat Bill Hicks for some comedy award back when they had comedy awards. Uh, what's also the prop thing, for whatever reason, a prop comic is a lesser man, right? But he's essentially, he's the last guy that's going to interfere with us. He no one's flipping a coin between carrot top and Joe Rogan. Well, yeah. And, but I think there's enough to go around even if they were like this shit, but I'm saying all that hatred. And we were talking about Dennis Leary, who I listened to on stern and I really loved the interview and I liked Denis leary and I realized it was just all that he stole Bill Hicks Persona thing, that I just hated him for that.

Speaker 3:          00:12:52       And you get old and you go, I don't really give a shit. Yeah. And when do you let it go? Yeah, Wendy let it go when we're old and go, fuck yeah. We were joking around before the show about how to send off an email and he's probably talking to someone on twitter or no, fuck your mother, like you imagine in that guy is still doing that all the time. Like God damn thatall right? I talked to Owen Benjamin and he's like, dude, sometimes I don't sleep. I'm like, listen to me man. You've got to stop doing that because Owen will fucking go to war on twitter all day. And Jamie Kilstein, Jamie Kilstein was on and he was pretty open about how he would be when he was all social justice, Warrior it out. He would get crazy with his phone and these arguments where he couldn't think of anything, but he was constantly pulling his phone out, checking and what did they say?

Speaker 3:          00:13:40       What they say, well, fuck them. You fucking cisgender piece of shit or whatever the fuck you get mad with it. You get obsessed. I just say, don't do it folks. Avoid arguments in real life, especially when you're arguing down. You might be, you know, you might be like going to war with someone who's on your own level. Yeah, I'd argue on A. There's a couple of recent things were friends of mine are arguing. You know that you look like a fucking open mic or when you, when you have these arguments in business with people who are far your underlings. Well it's just. I mean I just really feel like we should try for meaningful discussion with friendly people and just figure out what the fuck we disagree on, but that's where I get trapped is I'm the guy that when the Jehovah's witness comes to my door, you start to find them the mood I'm going to, I'm going to prove them wrong. And the less sense they make, the harder that fucking wood is to knock on how you store. They used to be my thing. I would always want to argue with people about. Especially about like if someone

Speaker 2:          00:14:52       had had some ridiculous religious belief, I would always argue with them about it. And now I don't. I don't care. Like as long as I'm nice, I think it's. I think it helps a lot of people I really do and it. And even if they're not right, here's the thing, if you live like it's true, it is right while you're alive, if you live like it's true. Like we look at it like almost from two dimensions when there's like multiple dimensions to the idea of religion. Because even though it probably, there was never a time where a guy came back from the dead. There's probably never a time where a guy walked on water. But if you buy the idea of this person and this person's goal for humanity and move toward the directions, like moving towards love and compassion and treating each other as equals.

Speaker 2:          00:15:39       I mean that's like the whole Jesus thing. So even if it's it never really weird superstition, that was the catalyst to make you a decent person. Yeah, I think like all human things, he gets poisoned along the way. But the idea behind it, if even if you don't think it's true, if you treat it like it's true, it is true. Like you really will make a better world. It sounds like super hippie. No, that's twisty shit. And if you have some mental illness that makes you believe you're driving a cadillac, you're driving a fucking Cadillac, but you know how we have laws and we have certain ways that we behave and we have agreements with how we dress and the words we use, the phrases. If there was a religion that was all super positive that we just all agreed to adopt just the same way we adopt all the other things that we do in our lives.

Speaker 2:          00:16:27       All the other normal shit we do with the way we decided to dress or cars we drive. Just adopt that in there too. Like this is. This is just how we behave. We behave as this as if we are souls in a vessel created by the great one who knows everything and has a plan for us all and we should be kind to each other and move in the direction of love and harmony. I mean, that's basically what all religions. Some Cock sucker that says, oh yeah, that a great entity just spoke to me directly in my bedroom and we're going to have a different sect of religion. There's a fucking funny show on Netflix about that. The unbreakable, Kimmy Schmidt was a woman who was in a sex cult who was in the backyard, like trapped in a basement for like months with some. I don't know.

Speaker 2:          00:17:10       I mean, I don't know how it's yours. I think it was supposed to be. It's a really funny show though, and she gets. Have you seen it? Wait, is it a show? A show? It's a sitcom on Netflix. It's called the unbreakable Kimmy Schmidt. I think Tina fey is one of the people, the creative people on it. Fucking funny show man. Like really funny. Like so overdue to get caught up on Netflix binges. Oh Man. Yeah, it seems like it's been two years of just as something I gotta do I need new ones? I need to catch up on old ones. A plug. Nathan, for you. Have you watched Nathan for you on comedy central? No. What is it? Is one of the funniest fucking shows ever.

Speaker 4:          00:17:50       Completely underrated. You have to understand what it is going in. It's basically like a bar rescue, but a fake a. it's basically a hidden camera show, but open hidden camera. It's like a bar rescue kitchen nightmares, Nathan. Uh, what's the God, goddammit? Google it. Nathan something Jewish. Uh, Nathan fielder. Nathan fielder. And he's A. Yes, he does for small business. He uh, he helps small businesses. This guy, it's, he's so uncomfortable to watch. I can't do it justice. You have to watch Nathan for you. So these people with small businesses think it's a real show and they come on and he helps them with their problems and it's, it's, it's so amazingly layered in watch the one with the, uh, the guy that has the, a TV shop that can't compete with best buy and there's so many layers.

Speaker 2:          00:18:57       I put it on my phone, I trusted implicitly pleased, watch it and then tweet about it because it's fucking brilliant and I'll just embarrass it by trying to explain it. If there's anything, any prominent, how with Netflix is that sometimes I don't know what I'm looking for. You know, like there's a lot of shows that turns out like, Whoa, this is a four seasons of this and you never heard of it. Like maybe it's just me. Maybe I'm that. And it's totally possible because there's always some fucking new musical artists. And I go, who the fuck is that? And I'll go to their instagram page. They have 14 million followers. And I'm like, oh, it's me. I'm that old man. I'm that old band. Doesn't know Jack Shit. We

Speaker 4:          00:19:32       had a uber coming here. Was this old prolly Armenian guy, probably sixties racist. Triggered a start the show. He uh, he's listening to what I assume he thinks people want to listen to and it's all this shit. I couldn't name you a fucking Jz from a that kind of shit. I don't know any of it. And I'm about to say, hey, you don't have to play this for us. But then I, I saw him lip sinking to the lyrics and tapping his fingers. Oh, on the steering wheel. I'm like, wow, how out of the loop of my fucking 60 year old for an uber, Uber drivers know all the words to these fucking songs. But you never been a music guy. No, you don't like music now that's, that's something that it's not possible. I mean, I have songs I like, wait, what's a great song like Doug, Stan hope here's. He goes, oh yeah, sits back. Most of the new songs that I've, I've learned I've either heard playing in a store or on a commercial and I go, ah, that's catchy. Do you latch, chat, chat, chat, chat? I don't know that I love you.

Speaker 4:          00:20:44       Chop chop chop by a Jimmy. Yeah, it's from like 1997 was on the soundtrack of the movie go. And then they disappeared. You can't even find where the band is now, but it was on a corona commercial and I love it and I use it as intro music all the time. That pumps me up. There you go. Sing a song.

Speaker 3:          00:21:09       Well, give me some volume. See, I'm just seeing the video on

Speaker 5:          00:21:15       mute. I'm into this song. This is great. Headphones. This is great. No, no, that. I love you always. Again, I like how these gals are dressed like they're 19 fifties.

Speaker 3:          00:21:42       Cover girls. What is about that look, right? That like cover, you know, pinup girl. That's what it's called. Nineteen fifties. Pinup girl type of. Look. What is it about that feeling? Maybe it makes fat chicks look good. Doug. Stan hope. Do you not realize it was a different day and age? You can't say that anymore. Those days are done. What's wrong with a fat girl looking good? What's wrong with you? You just need to just find out what able is to meet Dave Bliss. Ablest. I'd read. I saw someone write a bus. I'm like, do I really want to go in? And they say, it's got to be a handicapable. Exactly. You're your person that doesn't get the words, but if you are mocking someone who's like literally stupid or low watt Gurgler in a high back chair. Exactly. You're, you're, you're enabling, you call people idiots. You're enabling. Yup.

Speaker 4:          00:22:41       That was my last special. I did a whole bit about, it's called the euphemism treadmill where you can't say retarded because. But retarded was the clinical term because before that they were called imbeciles and morons or they were called Mongoloid idiots. Yeah. And that's what it was for kids with downs. They kept changing it and then we kept making fun of them with the new name so they had to change the new name to something else and then we'd make fun of what the new name under the punchline to the entire long bit was, you know, if you went straight clinical definition, American Medical Association and you said, Oh uh, and you made that stick. That's what I'm going to make fun of you for. When you slip on a banana peel. Oh, you just exhibited some of the Atlanto axial instability usually associated with the trisomy 21 genetic disorder. You fucking stage funny by seven was bored with the trisomy 21. Chromosomal imbalance.

Speaker 3:          00:23:43       Yeah. There's certain things can make fun of white people. White people are failure. Fair game. You can be racist as fuck. Sure. Especially if you're a white guy. You hate white people making fun of lawyers. They last long with you because they own everything. Yeah. Lawyers are good. One to make fun of, but he can't make fun of Jews. Well, yeah. Jew is just one of those words where it's all in the inflection as to whether or not he fucking Jew. Whoa. Right. It's all been. No. You know, the Jews are a people that that's fine, but if you say Joe. Yeah. Like you say, if you say I'm all about Jews, that's okay. Yeah. I'm all about Jews. Just like hanging out with Jews. That's a only Jews. People would go there in the town like you'd be okay. That's all right. People accept that, but it feel like, God, I'm tired of all these Jews.

Speaker 3:          00:24:33       Unacceptable. Unacceptable. Y, W. I overdosed on Jews. I was just around nothing but Jews for like months and there's too many one in Armenian in my life for a few days I talked to somebody I never do sets. If I come to town and I'm hanging at the comedy store, it's to talk to you and drinking the back bar and hang out. Hey, do you want to do is set no fucking way. Do I ever want to do a set for normal people? I. I paid my fucking dues. I made my bones to have a small niche fan base that are defendable. Doug, I got news for you. Okay. I hate to do this to you again, but they're here like your fans are here. Your fans or fans or in La, they would love it if you did a set. They're like, it's not like they wouldn't go through.

Speaker 3:          00:25:20       They're like, you have a lot of fans. You fuckhead doctor with this niche group. That's horseshit. People know you're funny. I'm tired of this. I'm talking about when it's just a mixed bill of fucking love. You scatter shot this 400 people. I bet 320 of them are your fans. First of all, you know this well. You still do some shit. I saw you last time I saw you. You were doing one of those weird shows where people just called out premises, stand up on the spot and you fucking destroyed it, and you told me afterwards, none of that was planned. You had none of that in your holster. All of that was off the top of your head, which is fantastic. I was high as a kite. I barely knew what I was saying. It's for me to do material. I can't do you. Fifteen minutes. One minute.

Speaker 3:          00:26:08       Give me a mental hugs. Come into the embrace of the comedy store to stop this. Why is, why would I do it outside of my own comfort zone? Don't you aren't in your comfort zone. Your comfort zone is everywhere. If I went up on stage, if I came to town, which I rarely do, I get to see you and a million people I never see all in one room and everybody loves to see you too, but if I went on stage, then I would have this whole anxiety, well, that sucked, and then I'd be apologizing for my set. Oh, great. Set says Greg proops or someone and then you're like, it wasn't good. I forgot this tag and that tag and I rather than just hanging out and enjoying myself, so fuck it. Bucket. So here's the thing though, and this is, I'm going to say this with all sincerity, there's more understanding and camaraderie at the store right now than any place I've ever been at any time.

Speaker 3:          00:27:04       And even when we have bad sets, like people have someone have a bad set and like, how was it dude? I could not connect with those people. Like someone will say, you know, we'll be fill Arkansas. Then the comedy store, the front of my peers somewhere. No one will see it. You talk about it and you learn something from it and you. It's like it's a weird environment, but it fosters new shit. It fosters new ideas and taglines and which I was going to say about twitter battles. I got so much good material out of fighting these, whatever it was at the time, my space, twitter, facebook before that news groups and getting into these angry, ugly arguments. When I'm writing, I'm writing paragraphs in defense of and guess what? Oh I have 15 minutes because some stooge annoyed me on a dot comedy standup news group and I spent all night fighting, accidentally wrote a new act.

Speaker 3:          00:28:05       That's actually probably a good use of it if you could see you and I are very different in that regard. I would rather just not talk to those people, but if you did want to go to war, which I used to do, you can get some material out of that for sure. Because you're forcing yourself to think again anytime you forced yourself to her. Like I've found that like the best shit that I ever write. I write completely free form where I don't know, I just like, I'll, I'll, I'll just start thinking about, uh, any subject and just start writing. I'm not specifically try to write jokes and on, on the way I can like Kinda suck those jokes out of there. Do you do that? How do you. It depends on the, the, the premise, but the best premises I have, I write like a defense attorney.

Speaker 3:          00:28:49       So. And then we can look at it, login the jokes afterwards, once the justice has left the courtroom, all rise. Then you put it in the fist fuck jokes. Yeah. There's, there's a gut. It's super important to have a balance. Right. And you got to find out where that balance is. Like when you can get away with a premise, you know, you've got to stack it just right. I could just stack it the wrong way one way. And you look like you're patronizing and you're full of shit. Stack at the wrong way the other way you look like, or a sexist or a Republican and secret man. Do I have notes? The new current current climate? Yeah, I'm sure. Right? Imagine working for a television show. I wanted to bring this up. I'm glad we just got to talking about this. Sam Cedar got fired yesterday. I missed this. So can I just saw someone on twitter deal?

Speaker 2:          00:29:42       Sam Cedar, who's a heavy leftwing fellow who um, was apparently in some sort of a dispute with the alt right. I don't know what was going on. I think it was about Roy Moore. Like there's one of those things and they pulled up a tweet of his and took it out of context from 2009 and that suite was. I'm going to paraphrase it, I don't want to fuck it up. Jane. Actually Jamie, pull it up so we can find the exact

Speaker 3:          00:30:09       tweet. You know that if you paraphrase it, you're going to sound funnier than he would. It wasn't that funny road interact. If I was going to edit your act, this is how you fight it. He just actually, here's one minute ago. Here's essentially what it is. If you can't find it, you got to find it and you've got to find the. Because I don't want to fuck this up. I can't tell you how many times I've told Hennigan about now this comment, you get to see this is a great comic. They do this bit and I do the bit for them and he's like, oh, that's funny. And then he sees them. Me, Oh, you do it so much better than the other guys. Got Too many words. Too many words. He's Irish. Guilted into retarded. Distracting you with admitted premise.

Speaker 2:          00:30:56       Um, but anyway, ms NBC got a swarm of emails like the, these people like attacked, know these alt right fellows attacked and started saying that this guy had tweeted a which essentially a rape joke and that we would never sponsored you and we're going to contact your sponsors. This is what he said. You got a thing covering over the, a picture of it. Don't care. Oh, I eat. Oh, go, don't care our, he polanski. But I hope if my daughter is ever raped by an older truly talented man with a great. Oh I. But I hope if my daughter is ever raped, it is by an older truly talented man with a great sense of Nissan Nissan scenes. I don't know. That's what it is, is a, this. Here's the part, here's the part of the problem. He deleted this which he regrets doing it, but it's a part of a series of tweets.

Speaker 2:          00:31:52       All of them that criticize people support of Roman Polanski because Roman Polanski had raped kids, but he did really good films and he was like, just fucking disgusting. That is. He was essentially saying, this is a horrific way to look at this. Like this guy raped a baby, right? He raped like a 13 year old. Yeah. Right. So this was a part of a series of tweets all expressing this and that was clearly satire and MSNBC capitulated and they fired him. And uh, I, you know, I don't know him. I know people who do know him, some that like, um, you know, and it's, uh, it is not, I don't have a dog in this fight, but that's crazy. That's crazy. If you look at what this, the joke was and that the fact that he deleted it and then on top of that, the. Is he apologizing for it?

Speaker 2:          00:32:43       No, he's not. He's not. What he did was he made a video explaining what the joke was, why he said it, and the fact that it was a part of a series of tweets that he said, but it doesn't matter. Once that fucking outrage machine, I was just asked if I regret my tweet from 2009, I regret. Laziness led me to delete it. I would never regret criticizing rape apologists. And I agree with that tactic. I don't know Sam Cedar. I don't either, but I know that he could probably start a podcast and make a decent living and not have to work for someone who's going to fire him. Well, he, I think he has his own show minority report, right? Isn't that his own show? He does that. His own Internet show because that's what he loved it. Yeah. And you know, and here's the other thing, he isn't.

Speaker 2:          00:33:32       He had a dispute more than once, I believe, with my good friend Sam Harris. And he accused Sam Harris of being the name. Sounds familiar, Sam Harrison, neuroscientists. Some people don't like that term. They don't. He's an author's runs, has a podcast. He's essentially an intellectual, very, very, very smart guy. Like one of the smartest guys I ever have my podcast. So what was their beef? Sam Harris believes that all ideologies are inherently dangerous and Islam is very problematic. And many people on the left think that when you criticize Islam that you are some sort of a racist. You're akin to a racist. Whereas if you criticize Christianity here, someone was just not a rube right against that weird thing because of brown skin and people's desire to not be perceived as racist so they go way overboard with it and which is what's happening with the me too thing where you go, I see all the benefits of people coming out and it's putting the fear in a fucking.

Speaker 2:          00:34:29       Everybody who let me die, fuck 20 years ago. Exactly. No, but I just wanted to just for Sam Sake, like he's not a racist by any stretch of the imagination. He doesn't like ideologies. He doesn't like something that makes you think that God wants you to kill people. He doesn't want. I mean, whether or not you interpret that the way the Christians do. I mean there's not a lot of people killing people over some shit from the Old Testament. You know, there's no one out there in the acting the rate the rates of God for people wearing two different types of cloth. Right. Because Christians are generally better off and yeah, once you get a lot of fucking toys and yeah. You Dismiss a lot of that. I should kill myself in the name of blank. That's a fucking good point. You know, and I've always wondered if you look at like the Middle East, you're not looking at like rushed, lush tropical forests and beautiful beaches like Brazil. You know where everybody's happy and they want to play fucking volleyball on the beach. Do Jujitsu. Everybody's having a party. No, it's not the Saudi princes, they will still wear the garb, but then once they get behind the gold plated palace doors. Yeah, there's dixit swinging and fucking champagne flowing, but outside it's all sand for people

Speaker 3:          00:35:38       that have nothing better. That's why Jesus works in the Mideast Midwest where you're in fucking Indiana and you have fields to plow and it's gonna be Shitty, great. Angry whether, and maybe Jesus is the only thing getting you through another year, another harvest and you put a marble on the highway and it just sits there. It doesn't keep rolling. There's no hills bitch. Snow hits the fucking worst. Indiana is the worst state in the country, but even in Indiana they found gold and it became like Qatar. Some shit. They just, you know, they found oil, they felt like some crazy new patch oil and all of a sudden they started building the world's tallest building there and the same kind of shit they do in Dubai. We do buy apparently is insane now. They have indoor surfing things in Dubai in the middle. Did you get a surfboard and your indoor surfing?

Speaker 3:          00:36:32       You could ski in doors. They've indoor skiing in Dubai and you're going to have that here in the compound. Do you have a name for this new uh, towns and it's kind of worn. Yeah. Plus I think Anthony Kumi, Anthony Kumina, who I have to give him his props to. He's probably the reason why I started a podcast. It was, first of all, because he was a part of opiod anthony, which was the first time I ever thought like, I really liked doing radio or the way opie and Anthony did it. It was great. We would come in. You, you have done it too, right? Yeah. But I remember first doing it going, wow, am I the shitty episode? Because no one really talked a lot. We just had fun. I know I, it took me a minute to, oh, they just decided to do what they wanted to do with radio.

Speaker 3:          00:37:15       I just thought I was boring because there's no bells and whistles and fake laughs and to this day I don't think opie and Anthony got the credit that it deserved because I think that they let us, they let us like they're the best show. They were the best show ever. They don't exist anymore, unfortunately, but they were the best show ever to go on today exist in their own world? They do. I know Anthony does and he still has. This was recently fired. I don't, I don't know what I just know. He started his own thing. Norton's still doing his thing with Sam Norton this still doing this thing with Sam and Norton does a thing with the UFC too. He does UFC uncensored with Matt Serra, which is hilarious. And Norton also does the chip chip person podcasts. He does all that on his own now. Yeah.

Speaker 3:          00:37:57       I've never listened to it, but I've been tweeted about it enough to know that it's a character. It's hilarious. It's so uncomfortable. It's so good. It's one of my favorite things that he does. It's fucking amazing. You want to see a video of it right now we're in a live broadcast. No, but I'll pull it up sometimes. I hated making people listen to 30 seconds of Chacho. It was good. I liked it. Good. Let people know. A lot of people don't know. There's a lot of shit people don't know. You know, there's only one way to find out. Someone has to tell you. I find out from commercials that a little help at work, you know? I know coronas still sucks as beer, but I liked the song that you use. Thank you, dear you. Are they a sponsor to corona with a lime feminine?

Speaker 3:          00:38:41       Some tropical climate and I want a beer, but I don't really want a beer. Yeah, that's. I want a soda, but I want to stay drunk. You know what a Moscow mule is? Yeah. What is that? It's some drink, but they, uh, there was a surplus of copper at the time. So the guy in order to get rid of copper said, oh, you have to drink it out of a copper cup, and it was just a big room and now copper and it's going to be in a copper cup and I don't know how they did that with corona and alive. Oh No. You put a lime in this beer. Yeah, that's true. Right? Why does it have a lime? And every now and then someone sticks alignment at Dos equis and you're like, what? What is this? What is this? Wow. You've become judgmental drinking years.

Speaker 3:          00:39:21       Yeah, I'll get weird. You know, get weird when it comes to drinks. But Corona is not a bad beer. It's just not a strong beer. It's fine. When I'm in a place that's dark, I like to drink real shit. I like to drink like an IPA or Guinness or Jack Daniels. That's what I like to drink in a darkened. I like a dark wood environment. This is Shitty neon lights. This. Your studio is a great dark. This is a bar they I would go to. I would go dark hardwood bar. It's a little bright. I'd be like, it's kind of annoying in this place. It's like if the cameras weren't on drinking, this is no. If you came out of that bright sunlight. Oh yeah, yeah, yeah. This would be common into this he brick, especially if it's hot outside, which by the way it might get hot here any minute now.

Speaker 3:          00:40:12       There is a fucking fire in Ventura and the winds are insane right now in the fire. V Through Ventura is just tearing things apart. Got The alert on my phone and the Uber drive over. Be careful warning warning's bad man. I mean it is bad and it scares the shit out of me because I left a kid somewhere. Yes, there's that for sure. Um, but what it scares the shit out of me is that in the short term, I think most people are going to get out of there if they prepare and move accordingly. But you gotta you gotta realize what this is like. This is something that when you get a fire of this size, it's burned back that up a little bit. So you get the numbers just in today is burned 45,000 acres destroyed at least 150 structures, force 20,000 people, 27,000 people to evacuate and they can't stop it. They don't have enough manpower. When when something is this big and it's this strong and the winds are this fucking crazy. You look at how those trees are blown over sideways and these fucking houses are up in flames and it's how do they even have enough water? I have no idea. I Live City Hall just burned down the city hall building and just them putting the fire out. Everyone's water went out. It was not enough water. You couldn't turn on your taps because they used it all to put out city all. I wonder

