Speaker 1:          00:00:01       Five, four, three, two.
Speaker 2:          00:02:31       Oh, Josh Zap. Zap, Zap. He fucking loved it. Of course it got crazy. But yeah, he loved the controversy, but you could see it was kind of gross even though I love Josh. You could see it while I was going on. They loved it. Yes, yes, yes, yes. He was. Yeah. He enjoyed it when you were teasing it out too, because I started getting messages. What is this crazy Hannibal? Sam Harris.

Speaker 3:          00:02:53       So I'm like, what the fuck is going on? Because I knew once I left I was like, yeah, that's going to be some weird shit in. And I was fine it. But then

Speaker 2:          00:02:59       I kept on getting messages, like, what is this? When is that coming out? And everybody saw it live, didn't they? No, they didn't. It was not a. right, because it was Josh Zaps podcast wasn't mine. Oh, that's right. Yeah, Fun Times. Fun Time. Last time steps was here. He was talking about killing babies. Remember that? Yeah. It was talking about like maybe she'll be able to board a baby six months after it's born. I was like, what the fuck are you talking about man? You. Did he have notes? No, no, no. See that's what he hasn't prepared. You don't have no notes. She was like, yeah, let's kill alive babies. Let's talk about it. Gay dudes feel very differently about babies. Like they can't make them as long as they're doing only gay things. There's no babies being made. So like, so detached from the idea of a baby.

Speaker 2:          00:03:46       Did you think that Taylor? I don't know. I'm just telling you that shit. Did he have strong points? No. Straight up. Killed a baby who's just being controversial. Okay. No, he, I think he enjoys controversy. Yeah. Yeah. Click Bait. Hey, if you're not a comedian, that's a good way to get attention. Clickbait. What else do you have? You know, I mean, everybody can have a good point, right? You know, like can you yell about it? Well, if. Yeah, can you make a meme about it? I mean we're, we're our whole society, like our news runs on click bait now. It's getting more and more slippery. You know, me and my friends would call everything fake news now. Call each other fake news like, yeah, I'm going back and forth with the Ra and Bert and Thompson girl because they wrote some article about Bert Kreischer and Bert is gonna swear off of Booze for 90 days?

Speaker 2:          00:04:40       Yeah, this is the new bed. He's going to run a marathon and swear off booze for 90 days with. Okay. I don't believe it. Where's he at now? Has He started yet? He gets drunk every day. That's what the point. You're going to die like amy winehouse. That's how amy winehouse died. Yeah, that's what I said, man, that's rough. You can't. You gotta be like, no, you got to be honest with your friends. Like going to die. Like amy winehouse can just go cold Turkey. I told them to lay off. I go, you've got to wean off the booze. No. Heroine, heroin. You die like that. No, no, no, no, no, no. You just get the shakes and you feel like shit, but heroin, you could live. Booze is one of the rare drugs that will kill you if you drop it cold Turkey if you're an alcoholic.

Speaker 2:          00:05:23       But do you think. I think there's a difference between heavy drinker. Oh yeah. Alcohol. Oh, well, yeah. Casual Boozer, you know, like if you booze, like maybe if you have like two or three drinks at night and then quit cold Turkey will be fine. But if you're one of those all day drinkers. Yeah. And then you quit cold Turkey, you will die. It's very common. It's a, it's one of the more common drugs that you die. I think there's, um, there's a like Benzos, those, those will kill you from withdrawal. There's a few different pharmaceuticals. It'll kill you from withdrawal,

Speaker 4:          00:05:58       but I don't believe heroines on that list. I think it's very rare that people die from heroin withdrawal or they get really sick.

Speaker 3:          00:06:06       You know, Carl Hart is Dr Carl Hart, the famous doctor who is trust all doctors with just two syllables in it. Full name.

Speaker 4:          00:06:14       Well, he's got dreadlocks. He trusted me more. It's cool. Um, but he, uh, he's a very, very interesting doctor because he talks about like drug use and drug with. He's like, for first of all, one of the things that he points out, it was like, oh, let's talk about a drug free society. It's like there's never been one. He goes, there's never been one. There's never been a drug for you and you don't normally want it. He goes when it comes to whether it's caffeine or alcohol and then pharmaceutical drugs, things that help people. He's like, we have this. We decided to demonize certain drugs and he's like, the drugs you've got to be worried about like alcohol's ones carries once because if you quit cold Turkey, if you're a hardcore drinker and you drink and all the time

Speaker 3:          00:06:52       you'll fucking die. Look baby cough syrup to wean yourself off or something like that. I don't think it helps. I don't think it activates the same part of your brain. You know, I was talking to a photographer, I was at this festival this weekend and she had a, uh, a film camera, you know, do you develop your fifth? She's, oh no, you can only develop black and white because if you develop your color pitches, the fumes, well it'll knock you right out. And so I said, so just a little bit of that would be a great time. It's a small, so just get a little bit of that and you can just huffing paint. Yeah, you can do a Goddamn job interview it. Maybe just a little bit of touch, just like crack a vial in front of Mike, grow dose of a little bit of that.

Speaker 3:          00:07:46       Have you ever tried poppers? Poppers are those little things where if they crack and they sniff it. Emile nitrate to thing it's called. No, I did whip us in college. Oh yeah, I did that when I worked at a creamery. I worked at Newport creamery. It was like a ice cream place and they had a there. The ice cream was a big vats that what is the gas? Nitrous oxide oxide, right? Yeah, that's what it is. Yeah. And we would, uh, we would do like socks off of it. That kills a lot of brands. That kills a lot of brands. I remember I did one weekend in college and then I think I did it on a Friday night and on the Sunday I was just walking on. I don't know if I was forced into Yale just because I was trying to justify how I felt or if it was a natural yell, but yelling was happening. Wow. Yeah, and you couldn't help it. I don't know, something you ever just tweak out by yourself. Just you ever. You never did. You absolutely do. After like a crazy workout after work, I'm usually spent a week out do Carter at the

Speaker 2:          00:08:56       way in. Was just tweaking out, but it was for show. So tell you, put a show for yourself. Change your state of mind just by yourself. Yeah. Like people say, if you smile, change your mind. Right? It will change the way your brain actually feels. Well, if you freak out, it probably does that too, right? Yeah, yeah, definitely. There's ways to do it. I mean why wildwood Indians, native Americans, when they would do those, those battle cries.

Speaker 3:          00:09:20       Why else are they doing that? Getting fired up? You get hyped up by yelling or singing a song. Viking. Is that a New Zealand New Zealand, isn't it? Yeah. Yeah. Where they, uh, they will play this video of them playing the USA team. Oh yeah. And they're doing this elaborate thing they're doing. It's very elaborate and just energetic and they cut to the USA team and they're kind of looking back, Kinda just con. Not Confused, but just what's going on. And they went through this whole thing. Is this right here? Yeah.

Speaker 2:          00:09:57       And they didn't a basketball game. Basketball, some volume. This is ridiculous.

Speaker 5:          00:10:01       Basketball and dusted by 45 points. You're playing NBA superstars. You fucked the dummies, but it's just for the culture. That's what they do all the time. But it's. But it's just, it seems so stupid. It seems stupid if you. Have you played basketball and stupid? No, I think if you. It's a performance art,

Speaker 2:          00:10:32       like the, the other players clapped. Clapped like good, good job. Children. And then that game. What was the final score that game? One hundred million to zero. Is that what it was weird. If you do all of that and then you're asking kit kid, that's, that is one of the most unfair things every day like nba superstars play in the Olympics. That is so fucked up. It was in our country country, but it's so fucked up. It's so fucked up. It's like, look, Andre Ward was an Olympic gold medalist, but if you let him boxing the Olympics right now, it will be so fucked up. It's just wrong.

Speaker 3:          00:11:09       Well, because, uh, just way better than the box in the Olympics. They don't let the professionals. Is it an age cap? It

Speaker 2:          00:11:17       was, it just. No, it's just, I don't think they allow professionals where, although that whole professional nonprofessional things very, very weird now, especially now that they let nba players play, you know, because like there was always talk of that. Like when they were talking about doing that, like it was back when Mike Tyson was a champion. Then we're like, well, what the fuck? What have you let Mike Tyson box the Olympics. Good luck.

Speaker 3:          00:11:38       Well, the, the players from the other teams I pros to. Yeah, I mean the, the uh, whenever that other countries, well, Spain had some solid plans and some of them are NBA players. Paula, all marcus saw a rudy guns [inaudible], a couple of other players that played in the NBA.

Speaker 2:          00:11:54       Australia actually put up a, a decent team. They got bogut. Maybe Patty Mills, I might be fucking out, but they have a handful of, a handful of pros from other countries and in those pro leagues that have been competitive against but not those guys, which there's pros and then there's American pros when it comes to basketball, there's no competition. It's kind of a joke, isn't it? It's getting close for a second for a little bit. Skinny Spain and Spain has some guys and spans a bunch of guys in the league. So it's within Spain plays a USA. It's basically like some NBA players playing against other nba players, you know what I mean? Versus random dudes. It instead of it being random dudes from Spain, it's actually, you know, they might be playing, one of the guys on USA might be playing against one of their real NBA teammates.

Speaker 2:          00:12:49       Interesting. Yeah. The rules are a little different to a international basketball. What's the, what's the difference? For instance, you can go 10, but once the ball hits the rim, you can swat it off and an MBA and an all American basketball pretty much. You can't even touch the ball if it's anywhere close to the rim or above it. It's like a. that's a whole act like that's a whole extra rule if you're like, if you're a seven foot tall, right. You can just snatch the ball every time I get to near the room. Basically. It's a couple of other little small ones like bumping into. It's interesting how other countries used to used to be a noncompetitive in certain sport. Like boxing is a perfect example. For the longest time, like the American boxers were head and shoulders above the rest of the world. Then?

Speaker 2:          00:13:27       Yeah, like especially like in the heavyweight division, it wasn't even close there. Like there was Henry Cooper who hurt Muhammad Ali real bad. That was an interesting story. This is back on. Muhammad Ali was still cassius clay before he became a home and wait, and Henry Cooper was like the big English heavyweight and he rocked Mohammed Ali with a left hook and you know what Angelo Dundee did. He cut Muhammad Ali's gloves. He went back to the corner and he sliced his gloves and he's like, Hey, we got to change these gloves. These gloves are fucked up. So they bought them all this time. They had an oh shit. Yeah, they had an undo the tape, get another pair of gloves, like the cut his fucking gloves because that's the type of tricks you can do in the sixties. Yeah, yeah, exactly. Yeah. That's what they did. But he, if you ever see the fight, he got cracked like more than he ever got cracked in his entire career.

Speaker 2:          00:14:18       But Google Henry Cooper a rocks Mohammed Ali. And so Mohammed Ali, it wasn't Muhammad Ali was Cassius clay back then, so he drops him with like the perfect left hook that was his big punch to and Ali just crashes down to his ass and he's like out and they, they gave them all sorts of time. He went back to the corner, they cut the gloves, they took the gloves off, then he went back and got new gloves. They had to, they sliced slices, gloves open with a razor blade, sliced him about 10 minutes. This whole lot of time. Anytime. A lot of time because they had to get gloves, you know, they don't have gloves is waiting.

Speaker 3:          00:14:57       What was a. I Wonder what the commentators stall game was. See it right here. What are these guys used to stolen right

Speaker 2:          00:15:03       here. Boom. Oh yeah. Like he is fucking out. Got His rock and it's end of the round. The very end of the rounds. Boom. I mean as a perfect left hook. It just got sat down. He's in deep trouble. So there's two things happen. One is the end of the round. See? He's like really out of it here. Like Shit. Yeah, they're throwing water on him and then when they go back they're like, oh, you know, oh, so they cut it out of this. They don't show. They changed the gloves. So he's super fresh year and he wound up to be stopping Henry Cooper by cut. See if there's a clip of the glove changing. That's funny. It's like, this is a Mike Tyson's old train. Not old trainer, but old manager. Goddammit. I forget his name, but he was a boxing historian and he put together all of these videos and he used to do the voiceover for a lot of these videos to like right when custom Otto died.

Speaker 2:          00:16:06       Him and Shelly Finkel took over. God Damn it. What the fuck is his name? Mike Tyson's old manager. What do you got there? Pulling it up, bobby? Nope. Nope. There's an old Jewish guy. I forget his name, but he was a. He had a tremendous library of films. Yeah, that's one of the things that uh, Mike Tyson used to go and watch, you know, obviously we're talking about the early eighties, so this is before vhs tapes or raw. I mean, those things weren't on vhs tapes, so he would watch them like on 16 millimeter film. Yeah, yeah, yeah. God Damn. I'm struggling to remember his fucking name. It's driving me crazy. Something with a J. Anyway, point being, he probably edited that out, who didn't want to show the controversy because it was plain straight cheating. They just cheated.

Speaker 3:          00:17:06       I want to hear the, what the commentators did during that stall point. Oh, we don't know what's going on. Or did they just veer off into other Ta sometimes how baseball commentators just start talking about some weird random shit about their family is downside, you know, went out fishing in lake is great, man. The mosquitoes get to you, but. Okay. Yeah. Hi. In a way, baseball players. It's an art to that, right? Because there's so much downtime. Yeah, it's A. Oh absolutely. It's so much downtime. I was watching one clip, I forget what Teva was, but it was a, just of the, it was

Speaker 5:          00:17:50       somebody at bat and then one of his teammates was just exactly Mike and his, his, uh, just imitating his batting style and ritual. Just each from like every little nuance to just what he would do with his left foot and just. And He, and then he was doing that for all his teammates because you got so much downside that you, him and you around them a 162 games and plus practice. So you're like, yeah, I know exactly all of your moves or your mannerisms. Exactly. Every one of your mannerisms down to the eye. Twitch, my high school wrestling coach refused to call baseball sport. He's like, it's not a sport skill, skills, game, skills game. But you do have to run, you have to run. This is not my favorite sport, but I respect it a lot. Um, I don't, I, you know, heavy biases from the cups.

Speaker 5:          00:18:46       I don't know anybody was playing baseball once they get arrested, that's a lot of you got to be arrested or you gonna fuck j Lo. That's how a lot of people found out. Hobby Baez is one of the best defenders and elite makes incredible plays. And where you like, that's, that's athletics. If somebody. Oh for sure. But it's, it's a lot of skill involved, but it's definitely it. Definitely athletes. I think. Yeah, they are, but it's like there's a big gap between dad and say like basketball, like you have to be in some extreme cardio, right? Basketball, you're running back and forth and back and forth and you know, those guys are always sore after games and you know, they got fucking plantar fasciitis and shoulder issues. Constant activity is no, you know, you can be in left field a couple of minutes and not do anything.

Speaker 5:          00:19:35       Just chilling out there with your own thoughts. Talking to the fans and shit. Yeah, it's none of that in basketball just standing around except for during free throws or downtime. But baseball players might go, especially if the pitcher is killing it. Yeah. You just, you just get into your fucking stands halfheartedly and. But you know, it might not be coming out there. That's the other thing about baseball fans will torture you if you're sitting out there. Oh yeah, that's a long time to be out there on a away game plus the drinking. There's 18 minutes of action. Your average major league baseball game, that's like less than one fight. Eighteen minutes actually, that's like one championship fight or less than less than one championship fight or basically one slash three round fight, which is 15 minutes of action. That's crazy. We acted like we made a big discovery in shit. Yo. Baseball borrowing. Yeah, we did it. Well. Baseball is one of those games, like if you tried to invent it today, they'd be like, get the fuck away from there with DNA. That shit is definitely old school. But the other thing about that 18 minutes of action, that's not even action of

Speaker 3:          00:20:48       everybody that's in that. Everybody moving at once, like a football game or basketball. That's maybe three or four people moving around. Yeah, depends. Usually if you turned on the double play then you know it was a handful of people involved in. But yeah, it's pretty boring. Shit, I ain't get paid a lot. A lot of games. I guess it's crazy how much money is involved in it. People I get mad, but it's gone to like Japan. Where else? What other countries adopted baseball adopted it took it a super popular in Japan. I know Cuba. Cuba, right. I take it maybe Mexico, Mexico on a career. I'm just saying stuff. Yeah. I don't know. Just guessing. It's amazing how little interest people here have for soccer. That's what's really amazing. When you say a soccer worldwide and see how little we give a fuck about it here, except those annoying white dudes that like to get really hyped up about it. When the World Cup comes around and they scream and yell at bars like they really give a fuck. This reportedly growing belief that Bryce Harper's next contract could be worth over $400,000,000.

Speaker 3:          00:22:06       I couldn't imagine Jesus just a that type of a serious scrutiny and attention on my finances like that. Brian has expectation. This is not even. Not The contract is set yet, but when people are talking about what you might make so much money, it's a lot of money. It's too much money, too much money to be resting over your head, sink full of hundreds to well say. It's about. I don't know. I mean it depends on what state he lives in, how much money it actually is. Well, it becomes a thing like with floyd mayweather, you know, like a big thing about floyd mayweather is how much money he makes is not just that he's a great boxer, it's that he's going to make $300,000,000. Apparently it's going to be even more than that. And you see the paper view numbers, they're talking about six point $5, million pay per view buys, so it's more than 2 million more than the manny Pacquiao fight.

Speaker 3:          00:23:05       That's insane. Does that include the potential refunds today? That's a good question. Well to be fair, he did nickname himself money mayweather. Well he did after he was pretty boy floyd. He changed it, but yeah. Then he built the persona around. I spend money. Yes. He doesn't have to do. I mean it is. It's cool and good for him, but he did make a big thing about spending money that one time he showed up like $100, million dollar check. Stupid. Like, wait, why is that? Unlike a regular ass check on a regular chase bank check. It wasn't even a big cardboard one night even net or print out

Speaker 2:          00:23:45       or print it out on a or even a wire or something. I will get that wired. Yeah. Laminate that thing is real. He's really holding onto a $100,000,000 check. But it was just a regular as check that you would buy groceries on in the eighties. Yeah. Yeah. That $100 million. Yeah. I guess he wrote it to himself. So it's made with it promotions general for. Yeah. Yeah. You got 100 million and a bank of America I guess. So it seems like he just holds onto it too. Hey, he doesn't catch it. That's a weird. Out of his book bag at one of the uh, yeah, but I mean why is he hanging on onto that? Why did you should probably catch that was his other account anyways. It's mainly where the promotions account. Who Cares? So the bay where the personal account, the checking. So he's probably gonna make more than $300. Million Dollars from this last fight. Sure. Yeah. Amazing. I can't imagine that they won't do that again. That him and connor won't do it again with a wet finger. Konica figure out how to not get tired.

Speaker 2:          00:24:51       If he could convince people like say if he fights Paulie Malignaggi he's beats the shit out of Paulie Malignaggi and then says Freud, let's do it one more fucking time. And I think Florida. Nah Man. Come on. We did that. Know, I know he starts thinking about that money could. If you could figure out a way to get people excited about it. Connor could get somehow somehow or another get more people to pay attention because it was an interesting fight for the first three or four rounds. It's made it. He made it look interesting, but it really wasn't interested. I thought it was interesting. But then when I thought back it wasn't interested. Well he caught clean. You know, he caught him with an upper cut in the first round. Nobody hits fully clean like that. Lloyd underestimated in my thoughts. So wasn't. He wasn't doing that shoulder roll?

Speaker 2:          00:25:38       No, he was. Because he wanted to. He didn't believe in Conexpo. So floyd usually boxes anything. That's what it is when you always see them boxing that like he blocked Canelo and he does that and and he goes off of that counter. I don't think that's what it was. I think he knew that conner was going to get tired if he was backing up. He knows that connor has a endurance problems and as long as he wasn't throwing a lot of punches, which floyd wasn't, and he's constantly faking and moving. He's got connor backing up. He could be. It's way easier to be defensive if you're not being authentic. So if you're not thinking about hitting the guy, if you're constantly like fainting and you've got your hands up, you're moving forward, but really what you're thinking about is what he's throwing. You can get away with a lot and you could press for it a lot more because you're going to see the punches coming because you're not really thinking too much about throwing your own punches unless he's like a clear wide opening.

Speaker 2:          00:26:29       So for the first couple of rounds he was mostly like putting pressure on them, sizing him up. When I watched it after the fight, it became way more obvious, like while you're watching it, you're like, what's gonna Happen? What's gonna happen once you already know what's what's happened then. Then I watched it and I said, oh, I could see exactly what he's doing. He's fainting, putting a lot of pressure on conor and he's making kind of backup a lot, which exists is exhausting. And then also connor's not very efficient. He's not a boxer. So like there's a lot of energy being wasted. Like he's going to get tired more easily and then he doesn't run so he doesn't have the same kind of endurance of floyd has. It's a lot. A lot of factors in there.

Speaker 3:          00:27:04       Yeah, it was 111 punches, but some of them were like, yeah, all the ones that connor landed. You mean there was a few of them. They were like little [inaudible] yeah. Yeah. There were also like weird ones like Patty Patty, patty punches to the side of the head in the back of the head. This is one main it kind of this and it just is this box and shit. Well, you know, you get used to that in mma, you know, you get used to hammer fists. Well I think that's what I saw. I was talking about the and a lot of other people were just wondering if muscle memory is going to just kick in and he was going to do some weird information and it did kick it a little bit, but not to the extreme.

Speaker 2:          00:27:46       Yeah, I think there was some massive penalties for any. So if he had any sort of a point deduction or anything that they did something illegal. I think he had a massive penalty more than a million dollars for each thing. He fucked up 10

Speaker 3:          00:28:00       mil. 10 Mil makes them for each one. That makes sense. At that 10 mil makes you get your shit together.

Speaker 2:          00:28:07       As long as he's not, doesn't get disqualified. It might be worth it like 10 million for one fucking needed of the body.

Speaker 3:          00:28:16       You know, I, I didn't know you used to fight until after the last time I did the podcast. I just thought you have got to work out a lot and just really liked mixed martial arts and combat. But I never fought in mixed martial arts because he wasn't around. But a kickboxing. Yeah, I did that. Yeah. Because I remember just seeing something. Somebody said, Oh, you talking about rogen like that. He'll kick you in your shit. And I'm like, what? And then I looked up Rogan. Kickboxing. Huh? What the fuck? This whole time she was kicking the shit out of her back. Yeah. Yeah. How'd that feel, man, to hit somebody feels weird. The bag. Oh, bags. Easy. Yeah. Bags don't hit back. When's the last time you hit somebody

Speaker 2:          00:29:00       in? In anger or in a competition? It's been a long fucking time. It was anger. Neither one. Neither one's in longer. Anger and anger is probably a highschool hold. Competitions when I was 22 or something like that, that was a taekwondo tournament. I was 19 then.

Speaker 3:          00:29:17       Oh, and that was you. The walk off those. Meet with the Walker.

Speaker 2:          00:29:24       Have you kicked so of the body like that? A spinning back kick to the body. So much bulletproof. Doesn't matter that thing. That's just moral protection.

Speaker 3:          00:29:31       Oh Man. So what was your at that moment when you saw him laying down and he's dead? I knew he was gone, but I'm not dead. And you know, taken Tam. He's not getting up.

Speaker 2:          00:29:42       Was it like. Yeah, you have to walk away and make it look like it's no big deal. That was how my thought process was. Don't get excited. Make lives like this is what I'm going to do to everybody. Just relax. Just walk off and have everybody so nervous. So you don't even care. Like this is just a normal thing for you. You kick people to go unconscious, they fall down, they can't get up that you gotta have that people because you're in a tournament. So you're going to be fighting a bunch of people and then watch it. Yeah. You might have to fight three or four times in a day. Who was there rooting for you to see my teammates because of the train with no, it doesn't even seem like even more I watch. That doesn't really feel like me so long ago. Just a hair.

Speaker 2:          00:30:21       Well, not only that, I mean I also have a head protector on the back of my hand. They would wear these a head protectors. Either you could wear a full one that covers your whole head, like over your ears or you were one that's just the back of your head, which is really just there. So when you get knocked out, your head doesn't need fucking bounce off the ground. Yeah, because we were fighting on a basketball court. You look at that, that's just a wood floor shit. Yeah, there's a lot of that fun on the hockey rink once where they put a plastic sheet down on a hockey rink. So it was a, not the ice but the cement underneath the hockey rink. So we were basically fighting on cement. So the eighties with terrible is fucking awful bad for brain damage, that's for sure. A lot of people who got fucked up, knocked out and bounce their head off the ground.

Speaker 2:          00:31:05       Jesus, I saw a lot of that. Oh not good. And for no money, that's the thing. There's no future, no future and no money for the love of the game. Well, I guess it prepares you for life and also you wanted to find out. I wanted to find out how I would. Do you know, I wanted to find out what it would be like to compete under high stress situations. Like worrying about someone kicking you in the face. Yeah. I'm glad that most people can't kick somebody in the face, so I'm glad that's whatever I go to UFC fight or even made the ad just whenever somebody gets kicked in the face and if I got kicked in the face. Have you sold disappointed? It's not good. It's not. It looks. It looks crazy. Yeah. It's terrible for you. The thing is more people can kick people in the face now than I think at any other time in human history.

Speaker 2:          00:31:57       I think there's a lot of fucking people that can kick people in the face now because of watching MMA and internet and classes training. I think more people training now than. Than ever before for sure. There's way more people that could strangle people than ever. Oh yeah. One hundred percent because the choke is easier to learn now. It's just more people doing Jujitsu than any other time in history. Like before, like in my early martial arts days, there was no one that was doing grappling really. Like I wrestled in high school and then there was no like Jujitsu classes. There was like you could take judo, like there was judo, but there was very few like actual submission grappling schools or anything like that. Even nationwide there was a small

Speaker 4:          00:32:40       handful. Nobody knew what the fuck they were doing. Now everywhere you look, there's a Jujitsu school. Like I was down in San Diego, just San Diego alone, which is not a big city. They must have 100 Jujitsu schools

Speaker 3:          00:32:51       just in San Diego. Shit. Crazy. I'm going to start sponsoring more fighters. Yeah. Are you remember? I sponsored a and she. Ms Dot wait. Yeah. And INVICTA, right? Yeah. She's going to do more. I am. Some other people reached out. I got to just get some new designs for the club. That's what's been holding me back. I gotta get some new designs that will. That was an okay design, but I had a mix up like your face on her ass or something like that. Is that the whole body? It wasn't just last day. It was, it was just in case, you know, just in case she got knocked out and fell on her face. Did Hannibal buress I come, yeah. Yeah. You could do it in some organizations still. There it is. Oh yeah. All over it. She didn't make weight. That didn't make weight. I think it's harder for girls to make weight.

Speaker 3:          00:33:40       Well she. Well she's. She's fighting next week at. I think she was trying to fight at 1:15 and she's fighting at 1:25 now or she was trying to fight. I think she's trying to fight at one. Oh, five and now fight. They want either. Was she cutting much weight? She's cutting this weight this time. That was the other thought about the conor fight. A lot of people thought that connor cut too much weight. That's one of the reasons why I burned out. Yeah, it's part of it. I think it was a factor. He does cut a lot of weight and that does drain your body and it's not like when he's training, he's cutting that Wayne because he's not, you know, like you only do it once, you do it right before the weigh ins

Speaker 4:          00:34:18       you weigh in and then you put the weight back on. So all that endurance training, all this hard rounds that you did, that's not after you're dehydrated

Speaker 3:          00:34:26       yourself severely. So your body's not used to operating exactly that level with this situation. Yeah, well he's used to it

Speaker 4:          00:34:35       because he fights in mma like that, but mma, you get more chances to take a break. You get. It's, it's different. You know, it's more exhausting, like it could potentially be more exhausting because there's grappling and there's kicks and there's just a lot more going on and you're fighting five minute rounds, like you have more of a chance to get tired in that five minute rounds, but when you clench with someone, you could actually hold onto them, like referee's not going to break it. You can take them to the ground and get on top of them. You couldn't hold your position and catch your breath. There's there's more opportunities to recover.

Speaker 3:          00:35:06       Right? At weight cutting is the worst part of fighting. One hundred percent seems. It was even the fighter that a judge was opposed to fight that day. She took a picture of herself and she made weight, but it looks terrible. It was definitely one. Oh, five. Not at our member [inaudible]. One 15 wouldn't look crazy, like, well it could if you were fine. It was just like, she's like, I waiting. I was like, Oh, you okay? It was just a. She put it phone on. I. I'm like, you know what, that she tried. She tried to make wait shit. Who Cares? A few pounds, but I guess those few pounds matter. Obviously somebody is overweight and didn't go through the strenuous process that you went to today.

Speaker 4:          00:35:58       Minute advantage. Yeah. You have an advantage if you're not dehydrating yourself as much, but that advantage is crazy. Like they should stop doing that. They really should figure out a way to stop fighters from cutting weight like that. What's the alternative? The alternative is to weigh them like randomly the same way they catch people that drugs like when like random drug tests do random weight tests, like they show up and they go, oh Hannah, but look, you're 175 pounds. You're supposed to be fighting at 1:55. What the fuck is that? Like, okay. And then they catch you again. Okay, well you're 176 pounds today. All you're definitely not fighting at 1:55. And they'll, they'll give you a way parameter. Like it says it's healthy for you to cut 10 pounds. You've got to fight at one 66. That's your weight class. So it'll force fighters to be more disciplined about their actual weight.

Speaker 4:          00:36:42       Like you can't balloon up in between rounds or in between competition. And you're also, you know, you have to think about how much weight you could actually dehydrate out of your body. Healthy California has some new Ra laws, like they only let you cut a certain amount of weight. Like they'll, uh, they, they periodically measure people like during their camp and give them an opportunity and they measure them during the camp. And those was one of the reasons I hadn't Barao who was the bantamweight champion. He fought aljamain sterling, but they wouldn't let him fight at 1:35. They made them fight at 1:40 [inaudible] like he cut too much weight

Speaker 3:          00:37:16       catch weight. Yeah, yeah, yeah. Uh, I think that should be the option for the crazy fired is just to whatever weight you want to be class, that'd be one like foot fires that might not be active on that on the bill. And we got the spot like guest but the guest, but guest by on the comedy. So you know, somebody just pops up, hey pop up fight. No matter what the way it is, these two fighters, they whatever the fuck wait, they want to be, they've agreed to fight. We got this guy coming in and one 65, this other guy coming in at 2:15. They agreed to fight each other. You're cool with that. Like old school? UFC One? Yeah, like the old school, but not crazy, you know that sumo wrestler versus you know, 100 pound dude. But

Speaker 4:          00:38:01       how much weight? Thirty pounds difference like that cat was the cap.

Speaker 3:          00:38:05       I think it's up to late. Leave it up to the person. A guest is the guest spot. Well, lot of

Speaker 4:          00:38:13       people do that in a grappling tournaments and grappling tournaments. They have the absolute division and the absolute division. Sometimes the lighter guys when the whole thing. Yeah, but there's no hitting. That's the thing about grappling, you know, it's like you can, you can get by and skill and technique and an understanding your positioning where like know you're fighting a guy like, like Francis

