Speaker 1:          00:00:06       Oh Shit.
Speaker 2:          00:05:27       Yes. They can always take it so easy. Yeah. Never hurting now. Sorry. You really big into anal. No, I don't do that. You think you would be though, cause that most girls that even with your small Dick wouldn't know because me if for me it's like I want them to have pleasure to, for some girls, like it likes anal with better than regular sex. She just wants anal all the time. Girls. And they're called broken. Yeah. And those are the ones who are also light your house on fire, by the way. I always have this. I also imagine if you do an anal and you don't have a condom on that the, the, the

Speaker 4:          00:05:58       poop goes into the whole my whole thoughts and I don't want, I don't need that in my life. We talked about a terrible scene. Did we talk about that on the podcast? The, the, uh, the naughty show thing. Yeah, we did it and I saw snakes are actually cool. If you're at a bar when you shut up, what's a pip stop when you pass or anal sex, then we will come down. No, I don't know. I don't need that in my life. You should try it. And he's just talking. He's a sense, he's been silly. He does this all the time. You can't take him. See, you've never had a poop snake poop smell though. Now with this worse, Ooh, there's a girl has sex with a long time ago, back when I was 21, I lost my boner because I was banging her style and I saw poop around her butthole.

Speaker 4:          00:06:33       I realized that she didn't really wiped that good. And then I started smelling it because the funk of the sax and the sweat. Yeah, my wet nap. Do you ever do that? My, but yeah, I went, not my baby. Flush those out by the way, that you cannot flush those. You gotta. You gotta wipe yourself first and then you've got to get the baby wipes and then you've got to throw the baby wipes away, which is kind of gross because you got a flood. Well if you live in an apartment, go flush away. If you live in a house, eventually they're going to get clogged up and you gonna have to have a group of dudes come in your backyard and fine. This pipe stuffed full of your shit. Me Know Bro. I'm, I'm used flushable wipes. The flexible ones, they don't, that's the thing. They pretend they do.

Speaker 4:          00:07:17       They don't really, they become like Goo, they don't dissolve toilet paper and they get tied up on things. Like if you have, like in my area we have issues with, cause we're kind of rural, we have issues with trees growing into your pipes. You know, it's an issue like will like there's so many trees out here, the trees will like grow through like a crack in the pipe and one of them became like a Goddamn tree. I mean I posted pictures of it on Twitter. It's so ridiculous. Nobody even fucking believes it. I was, my toilet was clogged. I couldn't figure out what was going on with it. So I had these plumbers come out, they pulled a fucking eight foot tree out of my, out of my toilet. Oh my God. Maybe not eight foot. How big was it? At least five feet. Yeah, like five feet long.

Speaker 4:          00:07:58       It was like, it was like you're high. It looked like a mumble shit. It looked like a muppet, like a swamp thing. Like some sort of an animal, like a, like somebody flushed. Uh, some, some would rat some, but we are you worried that if they opened up the pipe, they're stuffed with wet naps, but can't you just say it's my children's? No, it's mine. I would give up the fucking own it. I'm not gonna throw out to the bar. That's ridiculous. You're not supposed to be diaper wipes. You definitely don't flush. Cause they're really thick and course. I mean not course, but a strong that they would not break up. Definitely. But the flushable baby wipes, those bitches don't break our beat it. The guy told me no, they say they break up. People say he goes, I pulled them out of peoples' pipes all the time. So they had to like dig a hole, but it was really the issue more or less was that there was a, uh, there was walking part of the area, not as bad as the one that was in the toilet. The one that was in the toilet was fucking ridiculous. I'll find it and I'll repost that shit on Twitter because it's just so silly. It doesn't even make sense. It's just, it's so silly. It really, it didn't look real. Like I couldn't believe it. And

Speaker 2:          00:08:56       that was after I moved to Colorado, so I left the house for a couple of months and nobody was, nobody was flushing.

Speaker 5:          00:09:02       Yeah. I just wish I, I can, like masturbating lasted longer for me because it, to me, it's just like, I seriously have to focus on slowing it down. Oh, what are you trying to do? Their felon? No, that's with sex and everything. I just, I just masturbation though. Isn't that like just trying to get it over with, but I like to enjoy it, you know? I mean, it feels good when you're doing it right. So why not have it go for like 10 minutes?

Speaker 2:          00:09:25       Yeah. Well the other day I was in, I wasn't, when I was in New York, I tried to masturbate to porn on the Internet. I couldn't finish. Right. So then like I asked for about an hour, I finished half hard. And you always feel like a failure because it's like, it didn't see my orgasm was like 50% you know what I mean? And it just sat there with like, you know my hand like with this marshmallow in my hand, you know what I mean? Just sitting there naked, sweating. You're not going, I failed at that. I couldn't even finish that off. Wow. I do feel you,

Speaker 5:          00:09:55       me and Bobby were talking about how when we stay at hotels, we hate when the maid comes down. Come in my room, don't ever come to my room. And I didn't tell you that. But I did Spiderman at the last hotel we were at and it hit Musta hit the lamp because it starts smoking. What are you talking about? Where I do spider man. And a hotel where I throw Brian, people listening. Well, we've talked about Spiderman, the no worries. No one listens to every, I don't know what the fuck you're saying. And I masturbate masturbation hotels. I have just, I just, I'm like, fuck this, I'm in this hotel and I'd just like throw the sperm at the wallet. Spiderman. Right. Throw it across the room. And it still connects to your wrist? No, no. It doesn't connect to the room now. No, but it just so disrespectful because some poor Mexican lady has to clean up. So just, I'm so mad, rude, clear. They don't clean. It dries and then flakes and you don't know what it is. They think it's either mucus or you're mean or a load or the load. I can't even see where it goes. And once I hit a a picture frame and I was like, oh, I better clean that. So disrespectful. Once you hit a picture, like a picture on the wall. Yeah, I could go issue

Speaker 2:          00:11:01       masturbate and try to enjoy yourself when I masturbate. It's for maintenance to get it over with don joy and moving on even better a towel and she'll definitely touch the towels. The problem with, uh, with getting into masturbating and zen you like, you're like already had that joke about like having a bunch of windows open, trying to figure out what to jerk off to. You can get weird and obsessed. You can get kinda get a little caught up in it. There's some dudes who, you know, they get so caught up in porn. It becomes like a legit addiction where like they'll have a conversation with someone and they just can't wait to get, go into their computer real quick and just look at, look at porn videos I have to do. I could pay for my pawn now. Really? I can't do grainy. It has to be high def. Oh really? You got to be able to see the freckles. You're the last guy, the last guy buying porn. Yeah, I really am. I need to ask about a business that just got gutted. I know. I mean that used to be a multimillionaire business. I mean, there was some billion dollar business, right? There was so many people in my that were, uh,

Speaker 4:          00:11:54       the porn producers maybe driving around in Ferrari's living the good life. And I believe, look at this wild ass rebel just filming fucking and making $1 billion. It's crazy. You know, it's kind of a weird thing. You know the, it'd be like a curiosity in the community. You know, like all these mommy's would look at them. That's the porn guy that's worth of porn guy leaves the porn guy. But now those guys are making shit that that's done. Done son Sia. If you're lucky, you can get by now and if you're lucky you get Charlie sheen. Well look at this hookers. These hookers can't stop talking about Charlie Sheen. It just there doing interviews or heard someone on stern this morning. There's fucking good morning America interviewed one of the girls that Fuck Charlie Sheen. Way to go. Good Morning America. You whores, congratulations. You are now us magazine and he allows you in his house, gives you we cocaine course you get to watch, you know, movies that haven't even come out yet on DVD that you want to watch.

Speaker 4:          00:12:46       True Grit that's out in the theaters. But I have it right there doing cool to watch avatar two. I've got a rough cut David and made that thing. Get her mean and then the disrespect him by, you know, ratting them out course. Yeah, they're not as friends. Could you imagine if that was your friend? A massive, a dude came over your house. Forget about sex just to dude came over your house and have, you know, hey, we all watched a fucking TV at Bobby Lee's house. He got nutty, he takes his pants off, runs with and all a sudden this dude is on, you know, the radio on Monday and he's telling the whole story about what he did hanging out at your house when you got crazy. Blake, fuck is this guy. That guy will never hang out at my house again. This idiot.

Speaker 5:          00:13:22       Imagine how shit can you imagine being that little kid from two and a half men. How much tail Charlie? Thursdays way. Hey, I got this daughter, this girl I fuck 12 shuttle. Yeah, and I old now. It also, that kid is so mad. Probably because the shell k get canceled. All right. Oh yeah. Yeah. They could all lose it.

Speaker 4:          00:13:38       1 million. They're, they're trying to say all sorts of shit. Like, Oh, it was appendix Burger. He had a hernia. That kids, well, they all are, it's the biggest show on television. And by the way, this is only helping it. Yeah, helping it. People are not going to stop. Charlie Sheen is a fucking, for whatever reason, man, he's grandfathered in. All right. Johnny shitting ain't going nowhere. He could do coke all day. He could bang hookers. He could threaten his wife with a knife. It doesn't matter. It's fucking smiling on camera on Monday.

Speaker 5:          00:14:07       I like how the La Police won't even do any like investigations to these alleged cocaine. A briefcase charges. I was like, wait a second. If someone has a briefcase of cocaine, maybe you should find out what the fuck. No, no, no, no. That was the Ohio they would, first of all,

Speaker 4:          00:14:21       first of all, it's all, it's all hearsay. Okay. You can't take this hookers word for it. Okay. Or pornstar whoever's saying, first of all, there's that. And then second of all, what are you going to do? You're going to question him about whether or not he had cocaine for real and he's going to say no, and then he's going to say, where's your evidence? Where's this from? And then the evidence is just some girl talking about it. Unless I grow once. So like go in and talk to the government. And what does she know? She knows a guy came over with cocaine. You were doing cocaine, so you were doing something illegal to yeah, we'll start off. Just Charlie pay you to fuck. That's prostitution. Um, can I call my lawyer? Come on,

Speaker 6:          00:14:51       man. He was, he has this awesome article on yesterday. We're like Charlie Sheen's old friend or publicist or something like that. Used to hang in his life and get in a lot of trouble with them and then he'd, I kind of disappeared for a few years. Well lately he's been hanging out with this guy again. So they took up, they found him the other day while he's been hanging out with, yeah. Charlie's been hanging out with this guy again recently and so they found him yesterday, like walking on the street somewhere in sunset or something and uh, he had an enjoy coke shirt on and they're like, Huh, interesting. Oh my gosh, this is a testimonial. What a great actor Charlie Sheen is. Because just listen to my theory that you've listened to my theory. Okay. When you act, you have to, some actors get acting coaches, right? They get the script right.

Speaker 6:          00:15:31       They memorize their lines. They have to go to table reason rehearsals. This student just shows up, you know what I mean? Just after the two night bender, right. Once you've been on a sitcom for that long, it becomes very easily. Yeah. News radio, the last couple seasons was super easy news radio, we were working three days a week. It was so easy. Yeah. And you know, and we would get like a script and then we'd fuck around with it for a couple of days and then Friday a sweatshop and no one wants to. US worked hard. And you guys had like weird guidance man. We had nine Mexicans Watch those two dudes that were running it. Man, those guys odd tastes. It was the weirdest show I've ever hosted at once. And that's one of the Times I knew you before that though, right? Yeah, I, that's where I'm at. Barton County and a I hosted at once and I remember like talking to them about my, like they wanted me to do a monologue and you know, so I'm like, all right, well I'll talk about this and I'll talk about that.

Speaker 6:          00:16:21       And like, you know, all right. But it was just, it was a real awkward, I was like, how the fuck did these guys get to be running some sort of a sketch show? And it was the weirdest sketch show ever. And not only that, it's like no one, there was no like id like people could just walk in, you know? I mean, I just had people like walk and go, Hey, like in my hallway, what am I dressing rose? Right. Hey Man, what's up? Who are you? Oh, I didn't know. Watching the show. How are you back here? How'd they get back there? I don't know if there was like no security. I don't know.

Speaker 6:          00:16:50       I never met a security guard. No security? No. It was on Highland and Santa Monica. You know that one. It seemed like a factory was weird. Weird. Yeah. It didn't seem like a regular show. And then we would have big stuff sometimes. Like Jackie Chan did. It was like, what are you doing here? You're legitimate. You're an international superstar. And went on forever too. Yeah. And I behaved like a fucking asshole too. Then I pooped in. I pooped in London. Brown skis. Uh, um, office floor floor. I was so mad at her. Why are you mad at her? Because she just stayed to see view really worn. Dubroski did? Nope. She'd passed away. I know. I knew her from back in Boston when she was on a comedy team. She saved my life. Really? I love learning and their shit on her floor because you love me.

Speaker 6:          00:17:35       It was, it was as a joke and it was too raw actors writing in there. Right. I can Nicole Parker, we're riding and Iko stick this Tom's and your asshole just for tums. I stuck it in my butthole and then my butthole started foaming and then they both laughing like really loud. And then I shopped the Tom's out of my butthole and then a piece of poo came up after that. Right. It was a huge lab. And then Lauren Port Lauren, you know, walks in and she sees a toms that's foaming and a piece of poop on the floor and I had to clean it up. So it's stuff like that, you know what I mean? Because when no one watches it and we had free range is to act just as crazy as why was it so bad? What was bad? Just because there was no real boss.

Speaker 6:          00:18:16       Right. And also what happened was Fox didn't own it. The Warner Brothers did. Right. And it's still wonder brothers didn't care about it. Right. Fox didn't care about it and we just end. No one watched it and I don't know how it stayed on, but every year they would go, yeah, you're going to come back. I go, really? You know, I mean, you and I used to have these conversations in the back of the container store where you didn't know what to do. Kind of know what to do. I mean, they're giving me x amount of dollars a week and I, it's a steady job and it fucking is fucking terrible. Terrible. You fucking hated it. I hated it. I mean, if five of them, when you'd show up, no one's there, you would have this look on your face, man. Sometimes you would have this look in your face where you just like, you didn't know what to do and cried a lot.

Speaker 6:          00:18:55       You fucking hide cried so much. I'll let Joe. So at five in the morning, I mean, when you'd show up for work, five o'clock call, you should have a hook. There's no one there, no one. Yeah. And then at five 40 call, people started showing up. I go, why did you call me? Who runs this thing? You know, call times are always brewed or I hate it. I hate when they get you in early. Just in lies. They lie, they lie. They're liars. They're liars. To show up at five and then you shoot at eight at night. You know what I mean? Right. Because, well first of all, because comedians are responsible. You have to take that into account. You are. I am. Brian is an important story. Joey d is the most irresponsible person I've ever met in my fucking life. You are our, he's fairly responsible, but even the hamburger responsible, pretty nuts.

Speaker 6:          00:19:33       Another time I got in trouble, they get the, they had sued me. One of the actors to try to sue me really shows it was the first day of work, right. She finally gets on a sketch show, right, and she later became, she kind of, she's on mad men and she was on the cover of playboy, but when she, what's her name? Her name is Christa Flanagan. Hold on. We're going to look up to a playboy. Put that on Chris with a C or C r I. S. T. A. One of my best friends in the whole world. She is. Yeah, she is. How do you spell her last name? Flanagan. F. L. A. N. You guys, you have a very weird friendships. Why? Cause you know you're friends with somebody. People on their floor. You forget somebody who get sued. But no, no, she was in playboy, but Flanagan didn't know me.

Speaker 6:          00:20:09       Hurts a first day of work. Five in the morning. She shows up and we had rehearsals in the actors rehearsal hall and she's sitting on the couch. I had no idea who she was. She was eating yogurt. Okay. So I was so early, I'm delirious. I had like 30 minutes of sleep. I walked up to her, I grabbed the back of her head and he farther near her mouth was using yogurt. Right. She starts crying until she started crying. Right. So then Ron Peterson, who you know who Ron Peterson is, right? No, the guy that went out with Natasha, Laura, you know that whole thing. I don't know how it goes. You know what? The whole controversy with Ari, I know there was a controversial Natasha left with the mad TV. Good. Ron Peterson

Speaker 2:          00:20:48       is the guy. Okay, well that's very pretty her mouth. Yup. You're a confident man. What made you so confident? That part and it's pretty girls face. She's Oh, fart in her mouth. So then Ron Peterson physically attack me. Mike McDonald in the show while you farted are but no after that because she started crying. Right. So you farted in her mouth and her mouth with yogurt. Okay. She was eating. He's eating. You come by, you fart in her mouth when you grabbed your butt, touch your face. No, I had my jeans on full that you can go through two layers of underwear and jeans. That felt a strong ones like that. You know what I mean? A lot of push. It doesn't go, it doesn't go right. Go get your jeans. Come in contact with her skin. Really with her lips. Oh my God. Why in her mouth she started crying and the chicken out.

Speaker 2:          00:21:33       Who attacks you? So Ron Peterson attacks me. Right? What does this Ron Peterson, he is like, he is a Canadian comedian. So he comes after you and Mike McDonald puts him in a headlock, puts those Peterson punching you physically attacking. But they'll do that to me all the time. This is what it physically assault me. I'm just one of those guys. And then, you know, but um, so then two days later, and you know what my manager Abby, right? I mean we'd sit there in front of like the Mad TV lawyers and there was an awkward moment where like the, they have it on tape, they call explained to me what happened, right. So I go, I showed about work that again, and I'm like, I see this girl, I don't know where she's eating yogurt. And she opened her mouth anyway, I farted in her face and her mouth.

Speaker 2:          00:22:22       And then there was a 15 sentence, second awkward pause your main where people were like writing things down, you know what I mean? And, and then one guy says, wow, right. And I go, you know what I mean? And he showed up. So then I made a deal where I bought, I bought her a $500 gift certificate to Brooke Williams, gave a tour the next couple of days and I wrote her into it like a popular sketch that I did and everything was fine. It became very good friends foreign in my mouth and make it best buy. Wow Man. You know, so unfortunate thing when people try to fuck around on sets and just have fun. You never know right before you do something sometimes if it's too far. But Teresa Neal had a really funny point once we're, Patrice was talking about ims about a, when imus got in trouble for saying something about a black, people remember that nappy hair and he said that you can't, you can't.

Speaker 2:          00:23:19       No one knows exactly what the fuck they're going to say before. They say things like that. And sometimes sometimes you say things that are the line, but he's like, that's, but that's where all funny comes from. If it misses or it hits, it's still coming from the same place. It's just trying to get a laugh and he's totally right. That's what it is. Yeah. It's like people that aren't in the comedy businessman, they don't really understand that in order to be really funny you do, you can't really have very many. You got to go and you know where we're from, we're from the like, you know, I have so many pictures of you naked dude. Yeah. Yeah. I have pictures you tucked I think I didn't get in the middle of the there. I've been raped there. I've been all kinds of things have happened growing up in the, I have a series of pictures of you with your pants down at the comedy store from over the years where a bought most of them.

Speaker 2:          00:24:05       Most of them, he has his Dick Tucked in between his legs and his legs pinch together and your shirt is off the the help me on a Sunday to probably a Tuesday shit, but like, and then you show up at a corporate workplace, right? Like a network show and you bring that into there and they're like, no, no, no. Yeah. When we were on Newsradio there was a lot of chaos for a while because they would let us drink on the set. So we would be done with the show and we would get fucking hammered. We didn't get so hammered that no one knows us cause I'd never took, shouldn't have done this with blamed it on some band. We had a band that was, uh, at our, uh, at our studio or a on a stage, I forgot the ban was some like very heavy metal band.

Speaker 2:          00:24:50       So it was perfect. Like to blame it on them. And um, they uh, they were in a scene with us. God, I want to say anthrax. Was that a band? They were right one dude that shaved head. So, uh, anyway, we were all hanging around and it was me and Dave Foley and Maura Tierney just fucking smashed, smashed. And then we're hungry. And Margo is, we can only get in the craft service room and I'm like, I get in that room and I fucking a fucking taekwondo. The door kicked the door smashed. The doorframe really meant the fuck. Yeah. One kick, I kicked open the door and um, when inside and we fucking chowed down, open up the fridge and then they were so pissed. The next day they're blaming it on the band and we were like, Yo, that's fucked up. That's terrible. Those guys were fucking, and they were gonna like stop drinking on the set because of it.

Speaker 2:          00:25:39       And it would get smashed. Andy and Andy would bring these shady fucking characters over. She used to be strange smells coming out of this fucking dressing room. It was just a fun, fun set man. Yeah, those, the thing is you don't get real good comedy and unless you get the type of people that don't have that many boundaries, people that are, that will go out there. People that have pulled their fucking pants down. Like all my friends that are comics, they pull their pants down. They do, they do stupid shit. They'll say, I dare you to go do this. Like they probably going to do if it's funny. Yeah. I have seen like nine 10 comics penises over the last week. Chris Dahlia's Polly's I've seen Polly's shorts, penis. I'm not even lying 832 times over a lifetime. You know what I mean? And it's just, I didn't ask that Christy Lee, his penis looked like al magical.

Speaker 2:          00:26:27       His penis right away is very large. Okay. Anyway. Um, but it, but they don't, people don't know how magical wise Matt was. Magical as a penis. No, it's a pretty large too, I guess. No, I don't think it is, was not possible. That I'll magical has a big tech. Yeah, it's impossible. Really. I don't think so because he's a Hispanic. What are you talking about? Hispanics don't have little ducks. Huge moms. How many dicks? Mexicans. Are you blowing? No. No. Mexicans don't blowing any Mexican. What are you talking about? They have a big penis or not at once, but then at the black, big penis, people don't like black people, but neither are like Irish. Well, Irish people, I was supposed to be small penises. Dick Penis, Irish curse. Call it the only difference between and Mexican guy in Asian guy, except for culturally, but physically I'm talking about is the eyes.

Speaker 2:          00:27:15       What? Yeah, the eyes. You, you, if you take a Mexican guy, you get them really high. Right? You fucking from Okinawa, you're right. But they're, they're more, well, the, our Asian really, because what American Indians are its people that came down from the Bering strait. That's right. Well, some people have the tomato theory that mankind started in America and they went the other way. Hmm. Well, you know, that's also possible. We, human beings have been around so long they've, they've made a bunch of recent discoveries that have way, way, way pushed back the, the dates of civilization. Like we were talking about this on the podcast recently about creed. It's an island. It's 40 miles away from the shore and it's been that way for over 5 million years. And they found these stone tools that may be as old as 700,000 years old. There are at least 100,000 years old.

Speaker 2:          00:28:00       So they know a hundred thousand years ago, dudes were getting on boats and traveling 40 miles. I mean, that's amazing. Shovel. Yeah. You know, there's a lot of shit we don't know about people, man. There's a lot of shit we don't know about people, but as far as like what we do know is that the people that were in Asia are the same people that were North American Indians in North American. Indians got fucked by Spaniards and they created Mexicans. That's what it is. That's why some Mexicans look like Indians. They look like you could just make a fucking head dress and he'd be sitting bull, you know? And what else do people don't understand is that, you know, Japanese and Koreans, which I'm Korean, right? We have caucus away strains in our DNA because there's, you know, we're from Mongolia. Right. And they're so close to Russia, right. That it mixed a little bit.

Speaker 2:          00:28:41       Sure. So we have that, you know, I mean, so I'm kind of white. Well, Russia, there's a lot of parts of Russia, Siberia, especially where the people look very Asian. They looked like Bjork. Yeah. They're weird. You know, sort of an intuit look to them. Yeah. I'm really interested in that shit. Yeah, it's a trip, man. It's a trip when you start with really a trip about Asians that, I mean the real trip is the stereotype that they look exactly the same and they don't of course look exactly the same, but I don't have to tell you that, but, but it is kind of weird that you have an entire group of people with narrow eyes and the same color skin and black hair. I mean there's like zero variation. That's crazy that it was a billion people like that. Yeah. You know, a billion plus. Really. I mean, that's really amazing when you look at the, the very minute amount of variation as opposed to European countries and even African country. But let me say something to you. Okay. It's just that, okay, I ran into you and Eddie wants at the Sherman Oaks Galleria, you guys were working out at the, at the gym there, and I was maybe a hundred feet away from you. Right,

Speaker 6:          00:29:42       right. And there was probably 20 other agents in my area. Right, right. And you from a hundred yards go, Bobby and I turned around. Right. It wasn't like that too. Like, hey Bobby, you know, you yelled from like a hundred yards on. I talked to the gym. Yeah, no, it wasn't in the gym. It was outside of the gym. Right. He was outside of the gym. And so you recognize me from 100 yards away, one amongst Asian. So we don't look alike. Well Bobby, I know who you are, but what we are friends, we like lies are good. I understand that. What he's saying is, is that we do have differences. Sure. You have variations in the scene theme. The same theme is that one over again, the same skin color. Look, this is not racist. You know, there's a, there's a bunch of people right now. This is not, this is dedicated to the people that were, we'll start fucking complaining either on a message board or on Twitter.

Speaker 6:          00:30:27       And you heard that, you said about Asians are so racist. No, it's just an observation. I don't find it racist. To me it's a fascinating thing. It's not, it's, there's nothing negative about it, you know? But what's fascinating is that, especially like in China, in Japan, there are a gigantic group of people that look very, very similar and you know, there's not like a lot of black influence and it's not a lot of European influential. The fact that they were able to stay so pure for so long, it's really quite shocking when you look at the history of the human race. The human race had been around for, you know, however many hundreds and hundreds of thousands of years that they've been so concentrated in this area that it's been, you know, agents breeding with Asians. Yeah. Almost. Almost exclusively. But that's the, that's the reason why I've only did a one Asian guy.

Speaker 6:          00:31:13       He met a girl in my whole life. You said guidance slipped up, Patty, I heard you say guy, first girl, guy, girl, Patty. You're the power ranger in the space one when they went to space. Yes. Yes. Hot. Right. She was beautiful when I was in the bed with her. Right. You know how you're, you're, it's dark and your eyes get adjusted to the light a little bit. The darkness, right. Sorry. No, I didn't see herself. I saw the guy from heroes. I saw, I saw the lady from Grey's anatomy. I saw my uncle Hon, I saw Kim Jong Il. I saw, I saw everybody acute and after that I said, I can't do it anymore. Wow. Yeah. So the girls are always either six foot, two blond, Scandinavian looking lungs or like, you know, you know, skinny, Tall Mexicans that are, you know what I mean? But it cannot be Asians.

Speaker 6:          00:31:59       Wow. I knew a girl who was Chinese and she had a thing with her dad and just Asian guys may her throw up when she couldn't even imagine. She was so, so sad. Yeah. Poor kid. Yeah. I'm the same way if you're so exclude, just one group, just, just fucking whoever was the representative. That one group fucked up so hard. Yeah. But that's, you know, an Asian parents are really the the worst. Really. They are the worst because they come to this country and they just assume that they're going to have their children here and that they're going to be doctors and lawyers. I mean, that's flat out. There's like three options, right? So if you come home with seeds, you're getting an a beat. I got beat so hard, bro. Well, yeah, just beat because I got a c on my report card. Now.

Speaker 6:          00:32:43       How do your parents feel now that you're, you're real successful as a comedian? Do they accept them? When they first did started doing standup? They didn't talk to me for years, Bro. Whoa. Yeah. I mean, I would say that for birthdays I go blue today, the thanks dad. Okay, bye. That's it. Yeah. Wow. But I understand culturally what that's about. Right. And then when they saw me on the tonight show, Leno, like 12 years ago, I did it right. That was the first moment where they went, oh, we fuck up. He told really fuck up. So my dad called me emotionally and I had never seen the guy cry before and he started crying on the phone and goes, ah, he showed the supported you, but I never thought you couldn't make it. You know what I mean? Whoa. It made mistake. That's heavy, man.

Speaker 6:          00:33:28       It was like the bond, you know what I mean? That day, that day, you know what I mean? Discovered that they made a mistake the whole time. Like me getting bad grades in school, we get kicked out of school, you know what I mean? And all the behavioral problems you let out to be a comedian, comedian that got straight A's and fucking studied all the time. We get a lot of options. They could have good in school, I think. Yeah, I mean that's his parking problem and that's why can I just wave a last point is the reason why that guy chill song, we shut up Virginia Tech because it was parents were just super suppressive as parents. Okay. Only saw the kid talking to imaginary people in the park, you know, in, in like a park, right. No, normal parent would go dead is a mistake.

