Speaker 1:          00:00:00       Struggle,
Speaker 4:          00:16:32       It's really kind of interesting because Tucker kept pestering him like, we're talking about science. So I would like you to tell me how much of an impact have people had. What are the numbers? Is it a narrow range? Because you give me a narrow range. It's just what he does is he publicizes science for his own personal benefit. Is that terrible show on Netflix. Bill Nye saves the world, bitch, you're not saving shit then. Okay. You can't call your shell. Bill Nye saves the world. You're not saving the world with this crazy goddamn song about gender. And he has, oh my God. Did you see that? That was, that was stunning. Who The fuck greenlit dad? Like I love Netflix, but hey, a little quality controls. Not a bad thing. Just have somebody on set to go hope. What we'll say is this like this, like a sensor, like in the old, but that movie, good morning, Vietnam, you know somebody that sits there and reads through his material before he does it and I saw that.

Speaker 4:          00:17:26       Not that you know it clearly they don't have anybody who has to approve as content. That shows you where his mindset that he's willing to say yes to that. That's someone who wants to acquiesce with no uncertain terms to the left. Yeah. Like he just wants to. Every meanwhile he had a film out of a movie or a television show out years ago where he was describing gender and it was basically saying there's genders and it's about x and y chromosome, which is what everybody's been told in science and biology class. Then he has this show just a few years later where thou, the tide has turned politically where this is such a weird subject about gender and sexual identity and gender identity and so he's got these songs about, you know, like what that lady singing that song like, Hey, this is fucking terrible. Like what all you're doing. It's just like the same thing as president trump staring at the sun. Yeah. All you're doing is setting yourself up for rootless criticism. That's going to diminish any potential legitimate point that you actually have.

Speaker 3:          00:18:25       But I will say this, I don't think he really got pilloried for it. Right? I mean nobody really. Um, I mean there was some, some mine. Yeah. I think some people make fun of them, but I think Bill Knight for the most part, he knows it. It's a very comfortable place for him to do. Or for a lot of people, if they say, look, I just want to get the adulation of the left, the far left and then fine. I mean that's what you want to do, do it. But you see people that kind of shift their position and are happy to be there because they know they're going to be coddled. And I. So I, I get why he does it because it's a base of, of uh, it's an audience that he knows is gonna stick with them as long as he says the right things. And apparently he doesn't really give a shit about science. So he's happy to say anything. Well, I think he does give a shit about science.

Speaker 4:          00:19:11       He gives a shit more about people liking him and fitting in with this crowd of people. There's a weird thing that's going on in science and there's nothing like science is fantastic. It's critical for our civilization. I'm not a science criticizer, but there's a weird thing about people that are a part of science where their own egos and their own need for positive affirmation sort of supersede any critical thinking. So there's certain subjects that cannot be discussed. There's certain things that like, they're, they're almost like, it's almost like science, religion, you know. So there's certain subjects that are, aren't even open to scrutiny.

Speaker 3:          00:19:50       Well I think that's right. And I think part of it is, is also we have gotten to a point where you can't, and I don't know how you walk it back, but you can't have conflicting ideas in the same statement or the same sentence and an idea. Things conflict all the time. Right. And you can have a truths that collide with each other and don't. I don't necessarily make sense. So. But it seems as if now everything has to be an absolute and whether it's climate change, so you can't say, you know, if you, if you just have this middle of the road, you know, discussion where you're saying, well look, of course, you know, humans I'm sure have some impact. I don't know what that is. And then, and you know, this is a problem, then we do have to do our part and we do have to work to, to try to be the best we can be.

Speaker 3:          00:20:34       But that's not good enough. You've got to, you've got to be a sort of totalitarian about the whole issue. And it's not just that it's, it's any argument, it just seems as if, and it's not just a millennial, so I'm not wanting to, to beat on, you know, the young kids or the generation of whatever we want to call them nowadays because I know a lot of good kids that are out there that are working hard or they're in the military and it's a fantastic group of folks. So I think we're just fine in that regard. But there does seem to be something about each successive generation and we've gotten to a point where people have a hard time processing this dissenting opinion idea and that starts to shut down debate and it starts to shut down the idea that you can have a discussion about science, where you have, you know, these conflicting ideas and how do you, how do you resolve them? That used to be the whole concept about sciences to test theories and with little works and anyway,

Speaker 4:          00:21:27       what do I think? It's because we're attaching egos and personalities and virtue signaling to the actual hard data itself, but here's, here's the thing that we should all be concerned with. Pollution. We should all be concerned with human waste. We should all be concerned with the damage that we're doing to our water, the damage that we're doing to the environment, the. There's a host of different things that human beings are involved in that are creating irreparable harm to the environment. We should absolutely be concerned with that, but what's weird is that you hardly ever hear about that. You hardly ever hear about doing something to curb the plastic in the ocean and doing something to eliminate that. Some of the sewage waste that goes into the ocean doing the, oh, there's a ton of different things that we're doing that are huge issues, but instead you hear about climate change and it becomes this ideological left versus right battle, which is very weird to me. And I understand that climate change is a real issue and if the ocean water continues to rise, coastal cities really are fucked and if the temperature does rise, we really might have to migrate to more better climates. But there's a lot of other shit going on that seems to get ignored during this process. Just,

Speaker 3:          00:22:36       I mean, I, you know, I'm old enough to remember when a plastics that was an issue, right? Plastic bags or, or um, you know, keeping the oceans clean or you know, don't be a little bug. I mean, was, it was more of a, it was things that you could accomplish, right? It was things that you could do with the community. Could do. So you would have these community drive to pick up trash or to not use plastic bags or to whatever it is, and it was stuff that you could do and you could see some results and it felt good about it. And you know, who knows, maybe we've gone past that now. And so now, uh, that's not good enough because, you know, now we've got to save the planet. Will you save the planet these little steps at a time, right? If every, every community says, well, you know, I'm sorry I can't do anything about the polar bears, so fuck it. I'm just going to worry about myself. But if you, if you bring it back down to those little things like you would, you know, maybe implying that I think we're better off. Right? And eventually you, you do make a difference. But if all you do is talk about climate change and save the planet, people just get overwhelmed. It's like a lot of other things in life and you're just thinking, fuck it. I'm just gonna focus on other shit. It was just so strange to

Speaker 4:          00:23:45       climate change. It's become this weird ideological debate between the left and the right, and is it when it comes to plastic, there's a solution that's been around for years for plastic. There's biodegradable hemp plastic. It's existed for a long time. If they just legalized hemp farming nationwide, federally let people grow hemp in mass quantities. You could turn that into plastic. You would never have to worry about water bottles again. You'd never have to worry about garbage bags. He would never have to worry about anything because it's all be plant based plastic, which is real biodegradable. You put it in the ground, it becomes dirt. So what's the. What's the, what's the holdup? Well, federally hemp has been legal since the 19 thirties. Yeah, that's what it is. I mean, and all of that goes back to William Randolph hearst conning people into making it illegal so we didn't have to switch over his paper mills from wood son of a bitch. That son of a bitch. Yeah,

Speaker 2:          00:24:35       hearst. That's right. I forgot he's the guy to do that. Yeah. Wow.

Speaker 4:          00:24:39       Yeah. Amazing. Him and Harry Anslinger and you know, what they did is they organized an actual campaign against Hamp as a commodity by demonizing this thing that they called marijuana, which didn't even, it wasn't even the name of cannabis at the time that marijuana was a name for a wild Mexican tobacco. They applied that name to cannabis to say that there's this new drug that's making Mexicans and blacks rape white women and they, you know, he was a piece of Shit that William Randolph hearst and he printed all these articles and his papers and they made reefer madness and all that stuff. All those movies that they made back in the day.

Speaker 2:          00:25:16       Have you ever seen? Oh, it's wonderful. It's great. It makes me want to get high. And then, uh, and then of course they made citizen Kane and that turned her into a household name and uh, you know, relatively benign character, you, Orson Welles, I wonder what he did to Orson Welles. He must have fucked with them a little bit, don't you think? Yeah. Yeah, yeah. Interesting. When we did that movie come out, citizen Kane came out in a long time. You know, people are like, why are they talking? I want to say it was the fifties. Oh, it was earlier than that I think was 19, 19, 41. Forty one. Oh, Rko pictures. Still to this day, it's an airplane. I couldn't believe I was. I was on an airplane not too long ago when I was looking to the movies together. Am I going to watch anything or am I get up?

Speaker 2:          00:26:00       And Susan Cain was on. I couldn't put, which was strange. It was right there in the middle of all these typical marvel and DC comics movies that you would expect on a plane. That's odd. So I started watching it and the, uh, the dude next to me in the seat next to me kind of starts, you can tell when someone's watching your screen over there finally attachment of the show. And he says, what are you watching? And he was you. He was probably a couple of years younger than me, but not much. And I said, I watch citizen Kane. Never heard of it. Never, never heard of it. I wish, I guess no big deal. Fine. But you know, Jerry Lewis died and people are probably saying, who's that? He's like, probably one of those dudes at the gym. It talks too much. He's one of those guys that comes up to you while you're benching. I'm gonna. Ask a question,

Speaker 4:          00:26:44       am I doing this right? Or even where I still go, you should drop your shoulder a little bit with those fucking guys because what you'll do is you'll stress that and then that'll be better for you and you'll. Okay. Thank you. Love those guys. They use big words. Try to convince you they know what they're talking about. So speaking of a citizen Kane and Orson Welles and conspiracies, last night I rewatched the episode of Geraldo Rivera is good night America when they introduced the Zapruder because you know, Dick Gregory just died. Yeah, yeah, yeah. They introduced this approved or film to the American public, uh, 13 years or 12 years, 12 years after Kennedy's assassination. And uh, then I went and read that paper, the articles. That was the printed a couple of weeks ago that, uh, you even tweeted about it, about the CIA questioning the official story of the JFK assassination. Yeah. Yeah. That was interesting, wasn't it? Yeah. So the CIA guy, what do you think about that? Well, first of all, that's approved of film.

Speaker 2:          00:27:43       That's the most watched piece of film in history of film has a really, which is really interesting. Um, but, uh, yeah, it was interesting that the, you know, as typical with a lot of these things that the headline doesn't necessarily actually match once you get into the body of the story, but the idea being that the agency had some concerns over the idea that perhaps a Cuba was behind the assassination was the Russians to some degree or some more likely in a combination of the two. Um, look, I think, you know, I do, I think that, uh, that, uh, he could have taken that shot. Yeah, it was, it was. Yeah, it was not. I said I've been up in that book depository from that point of view, that vantage point. We did a story on the, on the, uh, the whole, uh, issue that conspiracy theory and what could have happened.

Speaker 2:          00:28:34       Then we tried to find some new witnesses and, you know, could he have made that shot? Yeah. That was, that was, it was a straightforward, you know, effort was someone who had some training. He was, you know, he wasn't the world's best shot, but he had sufficient training to make that shot. No, that's separate from his motivations and any potential support that he may have gotten a during the course of that. And, you know, I think that he, in his mind, he, he genuinely felt that this was going to get him into the revolution, right. That this was going to. It had a very unhappy experience in Russia when he was over there living, came back, um, saw what was happening in Cuba, desperately wanted to be part of that, uh, took an unexplained trip down to Mexico. Uh, which could well have been in an effort to find somebody who could support his, his desire to, to take some sort of action whether he had formed in his mind that's what he was going to do at the time or not. So, you know, is there a still a possibility that, um, the Cubans, which they're the Intel service there would have had to file on him. I mean, he was a very, very well known quantity, obviously by that time, for the Russians. The Russians

Speaker 3:          00:29:42       are solely responsible for training up the Cuban Intel service. So there's a massive file on him and they knew who they were dealing with. They knew his weaknesses, they knew his, um, they knew his motivations, they knew what to do in terms of trying to get leverageable, you know, uh, information on him. So I think that the jury's still out. I'm not, and I'm not a conspiracy guy, but I think there's enough there that says, you know, yes, it's Kinda like what we're talking about climate change. I believe this, but this also could be true. I think he could have taken that shot for sure. Uh, and, and, and succeeded, I think it's also possible that he may have had the encouragement of, in particular the Cuban Intel service through the Russians because at that time in particular they didn't do anything. The Cubans didn't do anything without the Russians support blessings and direction.

Speaker 3:          00:30:38       So that is entirely possible. Um, do I think that there were a variety of other things at play, you know, was, did they help him get the, the, the, uh, the weapon? Did they, I mean, you know, was her actual logistical support in there? I don't know. I don't think so, but that'd be on maybe. Yeah, it's, it's a, it's a fascinating thing. And you know, again, nobody wants to think that something that uh, impactful could have been just one guy who, you know, had a dream about being a hero of the revolution. And I think they just, it's, it's such an awful thing to think about. You want something bigger, you want something more behind it. And it's, it's, I will say the one thing that I think there was something else too was the Mlk, Martin Luther King assassination. Well, let's get to that for sure,

Speaker 4:          00:31:25       but here's the thing about the, the Lee Harvey Oswald assassination, you know, a lot of people think that there was people in the grassy knoll and that they shot at the president and there was more than one shooter. That's possible too. And here's the other problem with people saying that Oswald could have never made that shot. Of course he could have 100 percent he could have. Is it likely? Listen, people throw three point shots that have no fucking business on a basketball court and they hit nothing but net. It happens all the time. It doesn't mean it's not likely that a guy could get off three shots that quick, but it is possible.

Speaker 3:          00:31:58       There was more time in there than they originally thought. There been. There's some misinformation out there about how condensed that timeframe was. And now after they've, you know, research has seemed to have a fairly. Well at that timeframe extended a little bit, but he had more importantly he had. He worked up there. So he had the opportunity to see that site. Right? So he was like, he was sitting in a blind weight and then figuring out what am I going to be doing here, and that's a tremendous advantage and clear daylight targets moving right in line with you. There's no wind.

Speaker 4:          00:32:28       Not only that, it's not that far shot. No, it's not. It's not like everybody thinks it's like a half mile away or something like that. I mean how far was it? It was 150 yards or something like that to

Speaker 3:          00:32:37       go back and find that. But I've. But I've stood on that

Speaker 2:          00:32:40       spot where the limo was at the site and I stood up there and that down and it's not that far. And it's a total makeup was shot on a deer. Yeah. I'll give you. We're going to shoot a deer with a rifle. You'd be like, Oh yeah, that's definitely my effective range. No, there was no how far it would go. Two hundred and 60. Five feet. Eighty one meters. That ain't shit. That's a bowshot yeah. You could shoot an animal with a bow from 80 meters if you're really good and there's no wind. So that's a really close shot. So the idea that he couldn't make that shot, he's a bad shot. That is so fucking stupid. He absolutely could make that shot and that will look that he could make that shot from 81 meters. That's nothing. We looked at the grassy knoll issue. We looked at the end of that.

Speaker 2:          00:33:20       What, what the, the train yard engineer, um, reported seeing, um, with a sort of a puff of smoke that he thought he saw over by the fence line. And, and we're looking at like, yeah, you could, you know, from that position, they opened that place up and we were able to go back up there and you could see it. We ran a couple of tests and fired off a few shots and that's always fun if you want to have, I've got a good time to take a rifle to dealey plaza and fire off a few shots without the tourist knowing what the hell is happening. And The Dallas police by the way, were tremendous during the course of that. But, um, when did you guys do this? We did this a while back for a show called American declassified, which isn't running anymore, um, but it was on a, on the travel channel. Jesse Ventura did that. He went up there and with a mandolin incur carcanos same rifle. And I was looking for a possible shock. No one could make the shock camp.

Speaker 2:          00:34:11       I love Jesse. I think he's awesome. But you to be conspiracy significantly on that side to the point where, you know, that's he's leaning always toward the conspiracy. Yeah. Would you want to do is you want to do every investigation, and I know this company that I've got, we, we do a lot of investigations and you've got a bill just like with a homicide case or anything else. You've got to build it on stable ground, right? So you have to start from, you know, the very basics because if you start building ideas and investigative inquiries on something that's not sturdy underneath it, you know, not based on evidence and fact then you got a problem. The whole thing becomes suspect and usually comes toppling down. So, you know, I, you got to keep an open mind about all these things and I think it's important.

Speaker 2:          00:34:57       Um, right now people are like, Oh, well I'm sure that agency, the CIA was involved. So I'm a terrible source of information. I've, I've heard that before. So you can't talk credibly about this because you know, the CIA was involved in, I think he is a thing of the CIA was involved. It's not you, you weren't there. And I was 62 last time I checked. I was not there in 1962 and a. and also I will tell you this much. Or was it 63? It was 60 slash six slash 63. If the age, if the agency had been involved. This is the honest to God's truth. There's no way that secret is still kept. People can't keep their Yap shut. They can't. And secrets have a way of coming out and certainly a lot quicker now than they used to. So now. But I did

Speaker 3:          00:35:38       the secrets then. I mean we're talking about so long ago how much talking to them more than 50 years ago. Like get out. It's like the DB cooper issue, my biggest reason for believing db cooper died and his chute is hanging off a tree and that's a vast wilderness up there. Yeah. Is, is that people just, they can't help themselves at some point people talk or somebody talks somebody associated with or somebody nearby or somebody involved or somebody on their deathbed or somebody says something they shouldn't have. Um, it's, you know, the idea that they've maintained this sort of secret over a period of time. I find hard to believe I'm not discounting it. And again, you've got to leave a little space open for something that could be just amazing. But anyway, so that's, that was that. But I, yeah, I agree that shot was not, uh, was not a tough shot. One meters ain't shit and that's nothing in particular in those conditions. And I will say those conditions were ideal. Unfortunately for that event.

Speaker 4:          00:36:34       People are like, there's a video of me shooting a fucking hard drive at a hundred yards, a hard drive and you must have hit it that hard drive edge. Well, we getting rid of some hard yards, thought it'd be fun to take it to the rifle range, so I'd take it to the rifle and obviously we're dealing with modern rifles are probably more accurate, but I'm shooting something that's basically two inches high, laying it down on the ground at a hundred yards and blown to smithereens. That's how accurate a rifle is at a hundred yards. You tell me he couldn't get a headshot at 81 meters. That's crazy.

Speaker 3:          00:37:06       Again, no, she caught wind. Of course he could go to light. Did he go with he? That's really the question is, you know, we have some pretty good indication as to what he was thinking and what is obviously what his motivations were and that's important.

