Speaker 1:          00:00:04       Four, three, two, one.
Speaker 3:          00:05:45       That's cool. I said that would be awesome. So I said, well, this is the thing that people seem to be upset about. It seemed to be upset about very specific cases where people showed. I'm like, if people were right wing and they were posting things, they were banned. Whereas people who are left wing or maybe people of different races or allowed to post racist things or more offensive things and even docs people and didn't suffer any consequences for it. This is the argument, my problem is I don't spend enough time reading this stuff. I don't know. Like this is like when people get banned. Like Anthony Kumi is a friend of mine. I don't really know why he got banned. I don't know what happened. There was that incident with that, that woman that punched him and he ended up getting fired. He was drunk and he said a bunch of really stupid shit on twitter and then later apologized for it, but I don't know if that's what got him fired.

Speaker 3:          00:06:40       Kicked off twitter. But he's my friend. So what I'm saying is all these other guys that have problems, I don't know what the fuck happened, man. I'm busy. I really don't. I don't know. I don't even know what got Alex Jones kicked off, which is why I asked him because that was one of the last platforms for Alex Jones was twitter, but something got him kicked off their take on it was it. They never kicked him off before because he didn't violate their terms of service. And another thing that's very encouraging that Jack said, and I know it's, it's fun to get mad at things, it's fun to get mad at him. It's fun to get mad at me for it. I get it. I'd probably do the exact same thing. I totally understand it, but one of the things that he said was that he believes that the ability to communicate on the Internet through twitter or through these platforms is a basic human right.

Speaker 3:          00:07:30       That's how he looked. Like I said, do you think of it like a network like NBC, like if you're on NBC, they can decide what's on and what's not on, or do you look at it like a utility? And he specifically said that he looked at it more like that, that he thought it was a basic right. That's very encouraging. He also said that he would bring on whoever it is in his team that's responsible for these things so we could hear from the actual person who decides who's getting banned and why they're getting banned and what is. What's the decision making behind all of these things. So we can go over all of them. I didn't think the podcast would create such a controversy, but that's probably poor prior planning on my part because my thought about it was, hey, I want a fucking crazy to be running twitter.

Speaker 3:          00:08:22       Like it's crazy that this thing exists. The president uses it as a platform. I want to talk about the dude who created this and what does this like to have this thing evolve to become what it's become because it didn't start out that way. It started out like fun shit like at Brian red bands going to the movies, you know what I mean? Like that's what people used it for. And then along the way became this global method of distributing information where people use it in war zones, man, they use it to, to tell people where attacks are the user for all kinds of crazy shit. It's like a, it's a really powerful but strange medium. I didn't think about getting into the weeds with all the very specific people that got banned. I just wanted to find out why they banned people. That was my take on it.

Speaker 3:          00:09:05       I know there's a lot of conservative voices that have never been banned. I don't think Steven crowder has been banned. I don't think Cernovich has been banned as he'd been banned. There's a bunch that have not been banned. Right. So it's not like they banned all right wing voices. So what is it? I don't know what it is. I think it's what he said. People reporting the tweet and then somebody looking at it going, well this does violate our policy and maybe you know, all these people that that got banned violated the policy somehow. You know, it's probably as simple and clean as that. You know, it's, it's not that simple, right? Because they make their own policies and it's also not that simple. If people are allowed to say similar things that are very racist in vast generalizations about white people, which seems to have been the case and at least a few instances where people reported that people said fucked up things about white people, but there was no repercussions.

Speaker 3:          00:10:05       And you know, that's where the argument becomes. These people are more oppressed and so the white people were thought of as the oppressor, so you have this white privilege thing that people love to use now as a reason to to decide to like silence someone like check your white privilege. That's a. that's an interesting thing that's happening, so if, if there's this genuine movement where people think that it's okay to say things about one race, whether you like it or not, that's racism and if you're allowing that from any one side and not allowing it from another side, it seems hypocritical. Look, it's very distasteful. The idea of racism against black people in this country is very distasteful to everybody. Almost everybody who's not a racist, right? Because of the history of this country, because of slavery, because of all these things. It's a different connotation, but if you just allow people to say terrible things about any race, it's racism.

Speaker 3:          00:11:05       You are allowing a, like a predetermined attitude about a race. Some people have done this, they have made generalizations, generalizations, a racist statements about white people. The really weird thing that people are thrown around these days is that you can't be racist against white people because racism is about power and influence. It's about using your. You're in that black people are not powerful to white people or power from the white people were the ones who are oppressed, so it's impossible to be racist against them. That sounds like horse shit to me. I'm not buying that. That doesn't make any sense. It's not beneficial to anybody to generalize. This is what we got to get it in our head. It doesn't matter if you're black or you're white or if you're whatever the fuck you. It is not beneficial to generalize, to take a person out of the group that we think of as just human individuals that you have to be an individual.

Speaker 3:          00:12:05       I mean, I acknowledged the fact that people look different. They have different heritages as the heritage. Iss, they have different, different ancestry, the different occupations. There's different parts of the world. There's all these differences, but at the end of the day, the only way we're all going to get true equality and true kinship and comradery as human beings is that if we recognize we're just all a human being, that's it. There are very big differences in the way we look and the things we like. That's cool, but as soon as you. You can say shitty things about white people or white men, that leaves everybody who doesn't fit that description guilty in this weird way or presumed guilty because of a racist statement. That's all it is. It's not good for anybody. I get it that it's different than racism against black people in America, a country that was built essentially in a lot of ways by slavery.

Speaker 3:          00:13:03       There's a war for slavery in this country and that it is a crazy reality that it's not your responsibility. It's not mine. I didn't do it. You didn't do it, but it's real. Therefore, as a person who's aware of his history, the history of this country, racism against white people seems different, but it still sucks to be racist against a racist against black people. Rather, it seems different, but it still sucks to be racist against white people. Sucks to be racist against Puerto Ricans. It's not good. It's not good for anybody. It's that's what we have to understand about this social media thing. What actually did happen and what is happening, why is it happening, and if it's just some social justice warrior ethic that you're not debating, it doesn't seem fair. It seems like there should be a conversation about this and I bet they're super reasonable, really intelligent people and it's possible they can come to a good place that we can all agree to.

Speaker 3:          00:13:59       That is possible. I'm not a cynical person. I'm sorry. I know a lot of folks who just want those that just want the guests what they already have it. They have more money than they could ever spend and my dealings with Jack as a person, he seems like a very nice guy and a very smart guy and and a very empathetic guy. I just think he's in a crazy unmanageable situation to be running something like twitter. Yeah, and there's probably people that did something that they should have done in terms of silencing people moving things around. It's probably happened. It's a weird thing when people have influence over people and there have been videos had been proven. We're executives from a bunch of different social media corporations have talked about how to silence certain voices, how to push down certain voices. Um, this is something that needs to be discussed.

Speaker 3:          00:14:52       Like is this a policy as a whole? Is it, you know, is it because you think you're pushing the right message as soon as someone thinks they're pushing the right message but they don't have, there's no debate about that, right? They just decide our way's the right way and they're pushing this and there's a radical opposition to that message from half the country like that, but usually like, no, no, no, but this is the one that's in control. That narrative. This is the one that's in control of social media. It's this far left leaning ideology and the other part gets pushed aside. That's a very bad situation for all of us because there has to be conversation, there has to be debate because if there's not, it's just shores up the differences between two people and they fucking hate each other even more. I did not take that into account and I fucked up.

Speaker 3:          00:15:42       That's my mistake. That is my mistake when I made that podcast, but I didn't take it easy on them because I didn't want to discuss those issues. I just didn't think enough of it in advance. I'm not as involved in it as other people are. I'm aware that there censorship and social media. I'm aware my. My ideas going into that conversation were more about how insane this method is for distributing information for the people that have been banned and for the people that were fans of the people that are banned. I can understand whether it be upset at me. It has nothing to do with any preconceived notions that I had is just how the conversation took place, so all it is, and if you felt let down by that, you didn't feel like it was an extensive enough. I'm more than willing to do it and go further into it and we're going to and Jack offered it and he's going to bring someone else who's gonna explain things to us.

Speaker 3:          00:16:36       I think this will be very beneficial for everybody. I also think that there should be a road to redemption. I think if you've got something that's important as twitter or facebook or instagram, if you're not stealing someone stuff like, you know, using copyrighted music or something on an instagram page where you get banned over and over again for doing it, but you keep doing it. If it's not something like that, if it's, if it's, uh, an ideological difference. If you maybe you crossed a line that they, they decided was align, you should be able to work your way back. You the should. There should be a way where you can sign up again, meaning, like get a new email address. I don't mean that I be the same person. You should. You should be able to be the same person. There should be a way where there should be different levels.

Speaker 3:          00:17:23       Definitely everybody. People fuck up, man. They fuck up. And they make mistakes, right? And people also grow. I mean there's this guy that was on Sam Harris' podcast. I'm Christian ecoline I think is his name. He was a fucking white supremacist, a full on white supremacist and now he is the exact opposite. He's like this very progressive guy who gives speeches on the dangers of racism and that and the idle ideology, how it caught up with him now if he got banned when he was a young man and making terrible decisions and then became a better person. Shouldn't we give it a guy like that? A chance to get back in a platform? Right? And without making a whole new screen name, like maybe it would be. And I don't think there's anything wrong with the anonymous model. There's some things that are really good about it, right?

Speaker 3:          00:18:15       Like people like Jack even talked about this, that people can report news stuff and not worry about fear of retribution that they can. They can whistle blow and not worry about fear of retribution if someone's life is on the line, but they're trying to provide a service to the general public or they're trying to give people information that maybe might even save lives but could put them at risk, especially in like third world countries or war torn countries. That can be a huge problem if you have to post, you know Brian Red Band, this is the only way you can get this information out. You have to use your whole name, but it probably be better off for everybody if people had a way of communicating with each other like it's just person to person and I think the real problem is when people try to engineer these conversations, and this is another conversation about youtube.

Speaker 3:          00:19:10       People have said that we're deleting comments on Youtube. We're not deleting anything. We haven't deleted any comments. I don't know how it works. I don't read them. I'm sure people say mean things. Have a good time. The thumbs up, thumbs down thing. Look, we we, we don't have to have that on there. You don't have to have comments on their youtube gives you the option to have comments on and to have the thumbs up, thumbs down. I'm not taking those off. He could have a good time with it, but we're not fucking with that. There's something that they're doing that's not. It's not. I post at 3:41 and Jamie posts it 3:42 and this is the line of the comments. It's not like that. They've got their own way of doing it. The question is why does youtube do it? What's their what? What are they trying to do is are they trying to block out spam?

Speaker 3:          00:19:59       Are they trying to block out hate speech or are they trying to engineer conversation? Talking about comment, order comments on note, comments disappear. They go away. A lot of times it's automatic. If somebody flags a comment that just take the comment away until it's like looked over upon only one person. Yeah, on. I think on youtube that that happens quite often. Probably be as little as one or two people. Yeah, so that is probably what's happening to all you folks that think your comments are getting deleted. No one's deleting shit. Look, I'm. I'm not attached to what I do in the sense that I'm unwilling to look at what I do wrong. I tried to look at everything that I do wrong in concluding this, so if you were upset of this podcast because you thought somehow another I sold out because I didn't ask him anymore questions.

Speaker 3:          00:20:46       I just asked the questions I wanted to ask. I understand you have more costs, more questions, and I do too. I have more questions too, especially upon seeing people's reaction to it and upon making myself pay more attention to all these various stories. Matt sent us a list of them. Some of them are really fucking crazy. There's some crazy things people have said and not gotten in trouble for. Whereas other people said things that really weren't that bad and got in trouble for it. Why is that? That's a good question to ask, so we'll. We'll concentrate on that. We're just going to work out a date, so my humblest apologies to all of you. Don't not trying to let anybody down. I always try to do my best. That's it. And, and also here's another clear one. No one tells me what to do. There's no one, there's no secret person behind the scenes.

Speaker 3:          00:21:35       If I fuck up, it's because of me. It's my fuck up. I should've prepared more. I should have thought about it more, but I didn't realize like how upset people would be. I think he did a great. I thought it was a great interview and I didn't even think of that. I thought you kind of touched on it a little when you were talking about Alex Jones and I think that was like, okay, you know, this is what happens. Well, it's a very specific group of people that are upset. Right wing guys is, there's a lot of American flags, a lot of pepe the frog. It's all right. People, which look, man easily could've been me at many points in my life easily. Especially being a troll online. You know, if you're working in some fucking job and you make him pepe the frog memes and you're fucking with people, I get it.

Speaker 3:          00:22:16       I get it. It's one of the things I like about the internet, like I don't, I don't want to be comfortable. I'm like, I don't, I don't want to be comfortable all the time I want. I want a little bit of chaos. I like the fact that there's people like, they're like that fucking. I was upset that that radio, that podcast, they took it down where they were fucking with Shiela bu with those guys from four Chan and the way they took it down was they contacted radio lab and said those guys are white supremacists and they support white supremacy. You know, and then you just, you know, you made these people that are awful, terrible people that write terrible things. You, you, you gave them props. But the thing about something like four Chan is no, you might read some terrible things, but you've got to realize you're also reading terrible things from anonymous people that are working at their jobs most of the time and they're trying to fuck with people's heads and the trying to get people upset.

Speaker 3:          00:23:06       They're there. They're having a good time fucking with people if you want to take them as that, that's like them, like giving, giving a talk to a dear friend or them giving you an affidavit in court. Well, you're missing the whole thing. It's entertainment like half of the whole reason why they're doing it is entertainment. They didn't go steal shiela booze flag and go and go right into the camera and go fuck Shiela. Bu By using coordinates from photographs of the sky where they figured out where the fucking with the constellations lie and then drove around honking their horn so that they could locate where it was by using the Webcam and listening to how close they got to it. I mean it's fucking genius shit and it got taken down just by this accusation of them being racist. But the thing about a forum like four Chan or Reddit or anything, you have so many fucking people.

Speaker 3:          00:23:56       You have 3000 and thousands and thousands of people. If you have 10 clients posting jokes about black people, that's all you need to ruin the reputation of thousands of people. So for someone to say that everybody that was like, fuck Shiela, Bu is some racist and the white supremacist, that's a cheap way out. That's a cheap way out. I bet. More likely it's some duties board and he's sitting in front of his fucking computer and he works all day and this is where he escapes. He escapes and types in writes things. Then check some later and then it goes back to and type thing and checks and it keeps him sane and the stupid fucking cubicle. That's a lot of the people. So they pulled that whole amazing podcast down because of that. Look what He. The Shiloh booth thing was ridiculous. He will not divide us. Come on, stop.

Speaker 3:          00:24:50       Stop. We get a chance at everywhere. It's funny what they did. They mocked something that's their way of mocking it. Nobody got hurt. They made it out like it was really awful crime. They committed on this. This amazing person who's just trying to change the world. No, no. They prank Ceaila Boo. And they said, fuck Shiela bu this is that as of the above, whatever it is. Shiela buff special. He's a nice guy too. He probably did something silly. It's a little silly. He will not divide us. What they. What they did was funny. It's a funny reaction. I. I liked that. I like that this is an important part of this thing. If it wasn't for people like that, there would be no podcast. Now the like to dislike ratio that you see on youtube videos is fascinating, right? Because it's weaponized and they're thinking about trying to ban that now because so many people use it to fuck with people. I hate to say this about you folks, but every time we have a chicken here, they get fucking torture. The like to dislike, right? Like it's ruthless. Except Rhonda. Patrick said

Speaker 2:          00:25:56       Rhonda Patrick, but it's just like it's weaponized. It's the. They're just going to dislike it because. Because it's fun because it's fun because it's fun. It's also fun to throw a rock at a window.

Speaker 3:          00:26:06       It's fun. Yeah.

Speaker 2:          00:26:08       Some of them probably didn't even watch the podcasts like thumbs down gives them a disliking. It gives a little bit of power and the algorithm ofd ranking. It affected something and people who liked it, there's a probably a lot of them that didn't even watch it. There's a button you can press. People are weird, you know, but it's clearly it shows by the amount of dislike. The people moved on it and they were upset about it.

Speaker 3:          00:26:29       So it's basically it. We'll see.

Speaker 2:          00:26:32       There's a lot of cool, interesting questions that to ask him. Like I always thought shadow banning was a real thing, but I think he came out and said that that's not a real thing. I've, I've seen it in my, in person where I'll type

Speaker 4:          00:26:44       somebody's name in and usually it's splits to come up on the searches, but it doesn't in our

Speaker 3:          00:26:50       planning is if it is a real thing, like that's another one, like shadow banning for what? Like if it, if it's not something that is. If you're not doing something that you could get kicked off the platform for it. Right. You're not kicking them off, you just pushing them down. Weird place. But if you're doing that, like why are you doing that? Like what?

Speaker 4:          00:27:09       Because like, but what would be the justification from the ones that I have seen three used to even be a website that you could type in somebody's user name to see if there are shadow bands, so that's kind of interesting, but a lot of porn stars or shadow banned because they don't want. If you're looking up Christina applegate, they want Christina, you know, apple bottom or something like that. You know what I mean? So it's, it's, I, I, I still believe that's a thing, but I'm pretty sure he came out and said it wasn't a real thing. Technically shadow banning Justin Bieber from the trending topics. Right. I mean they have publicly said that that's not a shadow ban. That's a strategy.

Speaker 3:          00:27:41       Well, no, they were kind of forced into it because Justin Bieber was so. His fans trend so hard. They hashtag the shit out of that thing and they just took over the trending.

Speaker 4:          00:27:51       That's probably happening for other equally popular celebrities too, like Taylor swift's and beyond time.

Speaker 3:          00:27:56       Yeah, yeah, yeah. You're probably right. You're probably right. So whatever they're doing at youtube with comments and whatever they're doing with twitter, here's the real conversation, right? The real conversation is, do we want that? Do we want them to cure rate? Do we want them to decide whose youtube videos you can subscribe to and who do they unsubscribe people? Is that real or is that a glitch? I. Yeah. Who knows? I don't think they unsubscribe. I don't think so either, but people have. Well, let's listen. If they're willing to move justin bieber from the number one trending because he'd number one trends too hard and they think it's ridiculous. Not to just acknowledge that our culture, there's certain humans in our culture, we're spending an exorbitant amount of time thinking about that. Beautiful Man, right? There's a lot, but why do we want to lie and pretend that it's not as big. So if they just. I'm not saying they shouldn't, but if they did that just. If they did that, you go, okay, are we through the looking glass? Now you can change the data. Like what? What do you lend? When do you decide who gets pushed here? Who gets pushed there

Speaker 4:          00:29:05       side? Definitely the trending page on youtube is 100 percent controlled by a human. I don't know if they've said that, but there are videos that should be there that aren't based off of the data. You see Youtube has got some weird things going on with it. Like there's a. The video is that they go, you might like type thing. They did it. You might like to me a couple months ago where it was just videos of a guy towing cars in dallas like out of their parking lot and he made these funny cute little videos with a little commentary using videos from the security cameras. Anyways, I don't know why I it, but I started watching it and I was like, you know, this is interesting. So I tweeted it out like random video I just got addicted to on Youtube. Everybody was like hundreds of people who are like, I just started watching that.

Speaker 4:          00:29:52       Youtube recommended that to me. Like how did that happen? You know, this little guy with a tow truck company has now pushed on everybody's laps and now he just went over 100,000 subscribers the other day and it was like months ago that he was just had like 10 that, that. That's the argument some people have made that that's how fast the Paul brothers, they grew and they grew so fast on youtube that some people thought there was something up that game like millions of followers within a week or two of being on there and then they were coming from another platform.

Speaker 2:          00:30:18       Well it's also coming from another platform is giant, but it's also all it really takes is one person deciding that whatever the fuck you did was funny or weird or crazy. Like that cashew outside girl.

Speaker 4:          00:30:31       Yeah. Well there's that girls are managed by the same people that own tmz and that's why you see it on tmz every. I was going to bring up, if you want to fire the fire festival documentary, there's a, an explanation of this show. How this, uh, they spread of the Fuck Jerry guys, the marketing team spread that with the orange picture. It was a coordinated event over hundreds of different social media accounts for her, for the cash me outside girl. For the FYRE festival. Yeah. Firefox to catch everybody's. Because there are a team of people. There are agencies that have all this influence or accounts. They paid them. They don't have to accept the money or accept the offer except the campaign, but oftentimes they do. So it's like a talent agency. One hundred percent. Yeah. Yeah. Interesting. I don't need to share a new person, you know, launch the next, the next voice, and it's like, oh, here's a new song. There's a new movie. It's just a new way to suppress stuff. It's pretty cool watching how many people are unsubscribing to fuck Jerry and the fat Jew though. That's.

Speaker 2:          00:31:26       But are they? I looked at the other day was the day of like $14 million. 500,000 dollars a week. Weekend real estate, a significant amount of time. I was 14 point seven then it was 14 point one. Haven't looked today, but that's coming from I think of video. Someone to shared this week. I think vic Berger made a video that got spread around and they took his video. Right. I, maybe that's what he said. I think I saw it on burgers page. Here's a few comics I've posted videos like, hey, you know, fat Jews stole this, you know, and I tried to reach out and they never got back to me. He got 10 million. What do you think about this idea though? Like that's kind of piracy, you know? And so instagram's allowing twitter's allowing piracy. Well I think they're allowing these people to post videos because you don't really know where it came from.

Speaker 2:          00:32:15       There's no proof. Right? Like if you find a meme, like how many times he posted a Meme, I pee, I repost whoever sent it to me. If someone sends it to me, but sometimes I'll just find it in a google search and you've got to figure out who made that meme and if I find their instagram account that I'll try to find it and repost it, but some people don't and I haven't in the past. Like I did that one with a baked Alaska got mad at me because there was one with Alex Jones sitting in hot tub

Speaker 3:          00:32:40       and it's uh, it's like when your friends are trying to chill and, but you have to keep dropping truth bombs. It was hilarious. I didn't know it was his right. I just posted it because someone said to me, someone sent it to me in a text message, I think. But those things have a creator. Right. And I know Pete, like Eddie Bravo makes his own. He makes them sometimes, but he'll send some to me or post some online that he finds that are funny too. And everybody tries to credit the person who did it right. But now what they do is they, they take it and they credit the person, but they didn't

Speaker 4:          00:33:14       for so long. They only attempt. They're accrediting fake accounts. So they'll make, they have. So they're not getting busted in the way. You're just explaining. I've seen that too. Well, what is that about though? Because that seems like deception. It's just the way around the back door and that that qualification of it needs to be on an account. We need to point to somebody, okay, well we'll point to this account, but it's not even a real account and if they find like they'll post stuff and then later add the person because the person contacts them and they're almost like that's admitting to piracy like we did hire because if they just reposting it, a lot of folks including me do that. Yeah, but they're making the person making money or not.

Speaker 3:          00:33:51       Yeah, that's important. I don't make any money off my instagram. Right. They're making millions. I've been offered to post stuff up and I'm not saying that I wouldn't. If something was fucking killer and they wanted to give me money, I'm greedy. I'll take some money, but it wouldn't lie about it. I haven't yet. I've never accepted any money yet.

Speaker 4:          00:34:14       Yeah, because it's also, I think in instagram's a law that you have to put that it's an ad if you're making money off of it and so that's another thing that both fuck Jerry and fat Jew or not doing. They're not putting the cad is. I just wanted like to devil's advocate this though is is there a place for them for those accounts? Like is there a place to be the re tweeter have the means to be that guy to be that account, you know, like isn't that valuable source? It is a curator position.

Speaker 3:          00:34:42       Yeah. It's kind of valuable. But the question is like if it, if it is valuable and it becomes something almost like redistributing your standup. If you're doing a set, like if standup sets where you know something that you just, you could get everywhere and you could just repost it on your page but then your page becomes super popular because you are all these people stand up sets. You know like spotify, spotify gets ads right? But they don't really. They pay the artists a little bit, but mostly they make all the money.

Speaker 4:          00:35:08       Yeah. And you know like if it's, you use like say sorry later, you just do it and say I'm sorry, we'll figure it out after the fact. Or you figure it out. Business oriented things that have art in them as opposed to art

Speaker 3:          00:35:21       oriented, things that start making money. There are two very different things, so this is not an art thing. This is a. They find other people's art and they sell it. They're pushing it, they create these accounts. The accounts get giant. People pass it around because they're just finding funny things and then they start profiting, but all the people that created all the intellectual property gets zero money. Which is weird. I don't remember, but I only learned more about this when exit through the gift shop came out. Isn't that what Andy Warhol sort of did? I don't know and I don't care. I mean maybe he did. Maybe he did, but the thing about it is that this is happening right now on the Internet. It's a totally different animal. I mean, Andy Warhol wasn't running around taking exact photo duplicates and putting them on his website for sale like these.

Speaker 3:          00:36:08       This is when someone's doing on an instagram page is like you could within seconds take a piece and put it somewhere else. It's seconds. Brian posts something. I think it's funny. Ha, I go to copy, I go to the fucking repost at a APP, I put it in there, I'll repost it. It's seconds later. You could do that all day and if you hire kids, I don't know if he has people working for them, but if these guys do, they hire people for fucking 20 bucks an hour or whatever and these people just do it all day long. They just find funny shit all day long. They look for certain hashtags. Meme factories or what they're calling. Yeah, yeah, yeah. And there's some people like, you know, that have made some funny ones all their own, you know, a lot of people that are just doing that all. I know Dalea has done a bunch of them and then there's also one that they do where they steal people's act and make a meme out of it and then posted it on their page.

Speaker 3:          00:37:01       That's where it gets even more slippery because you're talking about like standups acts that you're, you're making money off it. How much are they making off each post? I mean, I don't know, but these are multimillion dollar business and the punchline, so now you have this 10 minute joke that everyone has the punchline because they saw it on facebook. That's like, spoiler alert one for sure if you're still doing that material because it wasn't on Netflix or a comedy central special or something. For sure. That sucks. I guess it's always happened though, hasn't it? TV shows have been accused of stealing a stolen. It's happened on. Do they did it to Kevin James? I saw it happen. Kevin James was at the uh, he had a development deal for NBC back in the, a back when we were young pups. Both of us were like 27 or some shit.

Speaker 3:          00:37:48       Maybe he's a little older than that. Maybe it was actually, that was like during the news radio days, so we're probably like in our thirties and he had this development deal, nice development deal. They're paying them a lot, a lot of gas, a lot of paper and they were setting up a sitcom around him. So they had him do a set at a theater in Hollywood and I was there. And he does this set and has all these writers from various sitcoms and the very next season, one of his best jokes is on an episode of a television show that's very popular. Very popular. Yeah, yeah, yeah. And uh, they fucking stole his bitmap. I guess that's where I was going because that was in the nineties. So like we're now 25, 20, 25 years later. The popular medium

Speaker 2:          00:38:36       is instagram and social media different is that.

Speaker 3:          00:38:39       Well, it's different because there's accountability now because now people know that if you wrote a meme and you put it up on your site and then fuck jerry comes along and steals your shit and doesn't credit you for it, just puts it up there. You know what they did, unless someone sent it to them and didn't attribute it to you, which is possible, but it seems much more likely that what they're doing, they were doing on purpose for the longest time. And they just did. They thought that's what you could do on the Internet. It's a wild west. You could just take memes and you can become famous and looked at fat Jewish guy, did it. I mean that guy became famous. What whether you agree with his methods or not. It worked. He got his crazy hair. He shows you, you know, like he's just crazy looking guy and he has all these funny memes that somebody else wrote and they're all up on his instagram page and it worked and people don't like him.

Speaker 3:          00:39:30       Now there's a lot of people that don't like him. People will get real shitty with them in person. They don't want them to do an appearance because they know what he did. So there's a certain number of people that go, hey man, you're a thief. Like this is not cool. Like what you did is not cool. But then there's certain people that don't care and then there's certain people that think, well, what he did was just what anybody did back then. It was the wild west. No one thought about it and once he established that business model and it was effective, it was probably very hard for him to slow it down or to attribute things to people or to admit that he didn't do it for all. That amount of time

