Speaker 1:          00:00:02       Uh,
Speaker 2:          00:04:19       It's way easier to do like an alien head, a thumbs up, and a smiley face that says everything. It's fun to, it's fun when someone sends you like an alien head and then a pile of shit, you know, like what, how do I decide? But yeah, it's a, it's such a, that's such a wonderful emerging language. It just needs to get animated. And you know, the animated gifts are amazing for really going deep into how you're feeling because some of them are awesome. Yeah, they're fantastic. They're fantastic. It's so fun to send those things, man. Yeah, it's memes. I mean like Internet memes. Really funny ones are really like a new kind of comedy. Yeah. It's like a short, it's like these are jokes. He's like punchlines, but sometimes better than someone saying anything because you're seeing it. Right. Like a Thomson, Aurora had one on his page today, uh, with this face and a, it's a, this is a popular one that keeps going around. Uh, when you nut, but she keeps sucking look at Thompson hours. I mean, this is in no way saying that he invented this because this is, I think he'd be the first admit he's, he's piggy backing on a meme that we all know. Right? Right. I don't know who wrote that first meme when you know, and she keeps looking at his face, look at his face. Oh my God. It's hilarious. But this, um, this meme when you nut and she keeps sucking, there's like fucking

Speaker 3:          00:05:58       hundreds of them. Have you seen them? Like just google when you not and she keeps sucking and then go to images and you'd be like, oh my God, there's so many. Wow, dude, there's hundreds of these.

Speaker 2:          00:06:12       Wow. I would like to know the percentage. I'd like to know the percentage of people who have created these that have never gotten a blow job. I wonder what it is like 15 20%.

Speaker 3:          00:06:27       It's a good one. It's superman was a good one. It's funny because you can put that on phases all throughout history, you know, and there's also versions of it, how you be when you bust. But she keeps sucking or she's still sucking. This guy's playing the cello when you finish, but she keeps sucking. He did so many of them. That might be like one of the most persistent jokes currently on the Internet. Oh my. Yeah

Speaker 2:          00:07:03       guys. A bill cosby one. Oh look, they've got the one at the Indian guy died during a speech. Had a stroke. What? Yeah. That guy just died. Oh, I saw them on the Internet. Is that what happened? Yeah, he had, he had a stroke as he was speaking. Yes. Oh, see, look. You can look right before and that will in the related images. Wow. It's incredible. Right before in the universe. Out of the universe and out. He died right there. Yeah. I think, well, I mean it depends on how you define death. Yup. Bye. Outta here. The bezdecki crazy best death. That's one of the best deaths you're witnessing. Like he said, he just made a great point that he thinks it's kind of funny and then he dies. God, wow. Bless it. Exit from this incarnation. That is a crazy image. Yeah. Um, who is that guy? Do you know who he is? Nope. Hmm. How'd you find him, Jamie? Just from the stack. Yeah. That's a crazy story. Who like, it's so funny, when he died he guaranteed did not think you would land in a, when you not in chic. It keeps me in the power of his death that he would shatter into a million things. And one of them is a meme. Well, here's the thing about these memes. There's guys who are like meme artists

Speaker 3:          00:08:27       and they're really, really funny. And then there's also people that, that

Speaker 2:          00:08:33       they kinda like Carlos man see a memes. Oh yeah, no, I probably should stop using that guys name like that. It's rude, but it's really sad as everyone knows that that means. Yeah. When you, there was just someone just tweeted that, uh, there's a, there's a product in the UK that stole Mitch Hedberg Joke. It's a product that has just written in the bag. His joke, like when you want to eat rice ice, when you want to eat 2000 of the same things or whatever. They like just pop that right in the back. But they didn't credit him. They credited the name of their mascot for the company. Well, let's, it's a problem with memes because people do it all the time. Like there's people that have pages where they're all their memes or someone else's that they don't give credit for, right. And then they get caught and then they have to start re, you know, retweeting stuff.

Speaker 2:          00:09:26       But sometimes you retweet the wrong person, know you, you retweet someone who just copied it from somebody else. Yeah. I've had that happen more than once. You don't know, but they're funny. So it's like what do you do? Do you just retweet it because you think it's funny and you laugh or should you hold onto it until you can find ownership of the meme? Yeah, I mean, I took good question, right? I think if you can give credit, give credit, but if we spend too much time getting caught up in meme distribution, then we're going to lose what is so beautiful about the thing, which is that I create some meme, upload it to the Internet and it either like just molders on injure or whatever, or it just scatters and a trillion pieces everywhere. There's something really cool and beautiful in that. And I don't think meme transmitters are, are thieves.

Speaker 2:          00:10:18       Mostly there's just a few scumbags who take people shit and don't credit them and then they get punished. Usually they get punished by the Internet. Well severely. Absolutely. But there have been a bunch of people that have done it and they're now make money off of it. Yeah. That, that's where it gets weird because there's a bunch of people that are just really funny and maybe they're introverts and they never were really good at cracking jokes socially cause they're, they're nervous, but they're funny. They have a funny mine. Yes. And so this is a form of joke writing and joke telling. Yeah, a really good one too. So somebody had to be the first person to come up with when she, you know when you come. But she keeps sucking. Someone has to be. So this is like this massive plagiarism that we're all laughing at.

Speaker 2:          00:11:07       Yeah. But you know, is that what it is? I don't think, I mean how do you like that guy deserves credit cause he is funny. Right? The guy who invented it burst. That's a funny guy. Like that was a good idea. It's funny he does. He definitely deserves credit for it. So I know what you're saying. But then eventually you're going to like, I guess you can watermark your meme, right? He could have watermark that you see that sometimes but eventually the watermark is going to get taken off cause you know your people were putting in new picks. Well yeah, I mean live. The second one is there's hundreds of different images. So like you could never watermark that. And what's very funny about it is they'll take the word com for example, there was a first human who for whatever reason decided to call his ejaculations calm.

Speaker 4:          00:11:54       He just decided on who the fuck was that guy. There is first. That's a huge point because it's universal. It's universal. Yeah. How do you trace it back? I mean, every single word that a human being uses, theoretically you could follow it backwards through time in the same way you follow any organic life form you can, it's called atomology. You can look at the weird a way that language mutates over time and you know that it's somewhere way, way back in the back of the line, there had to be somebody who's like, we'll call it a mountain or whatever. The precursor term for mountain was somebody who was like, it's a hood that someone does that, right? It has to, has to someone. So

Speaker 3:          00:12:40       isn't that the idea that one point in time we all had a universal language, but it became a giant issue because people were sort of conspiring and yeah, they were talking too much. So one of the ways that God has separated us, I might be butchering this.

Speaker 4:          00:12:54       You're talking about the Tower of Babel? Yeah. Yeah. They wanted to construct a coward or each heaven and God was I guess like fuck that. It's like when ants get in your house or whatever, they're getting too advanced. Do you think that's a reverse engine

Speaker 3:          00:13:09       mirrored idea? Like do you think that someone who may be has experienced like brief moments of human potential and realized like w we're missing out on what people are capable of? There's gotta be a way where we could all come together. Excuse me. But when there's people from one country like Japan and they're arguing with someone from Germany and how much of what the fuck each person is saying is even getting through, you know, I mean you're having translators. You were supposed to be going to war with people. You don't even understand what they're saying. Right. Imagine that. Yeah, we've, we get all speak to each other and we all could speak one language. What happened? Well, I mean, isn't that like maybe what that tower of Babel is all about? Sort of like a reverse engineered, like almost saying like the imagine the power, the God like power people could have if they get all openly and honestly communicate with each other freely and ex experience this idea that we're not, we're not, you're not my enemy because you were born over there. Right. This is nonsense. This is some crazy old shit that we should have abandoned.

Speaker 4:          00:14:12       I'm a go, you are looking in the Bible. Those stories. One thing that I just did, I'm so glad you brought this up just for fun. Uh, one of my favorite in the New Testament, my favorite Gospel is the book of John in the very beginning of the book of John is some of the trippiest shit you'll ever read. But I went back to that and so I did a find and replace, anyone can do this. It's so cool. Find and replace the word God with the programmer. And then you can start replacing words with modern day, a simulation theory ideas. So you know, um, when it talks about Jesus, it's like he was sent into the simulation to bring an upgrade and those that accepted the upgrade would be children of the programmer. You start doing that and suddenly you look at this like amazing. It gets really trippy, right?

Speaker 4:          00:15:10       So when you talk about the Tower of Babel and you look at it from the perspective of this is a simulation being run by some intelligent creator force, right? So you see again and again, well not again and again, but right now I can think of two times where the programmer looks at the simulation. It's like, Oh shit, they're about to wake up. Like the same way the Ilan musk is worried about ai becoming too powerful in the Bible of the programmer gets really fucking uncomfortable when the simulation appears to be gaining too much power and has to like shift the programming a little bit because there appears to be some kind of, in the mythology of the Bible, there seems to be a recurring nervousness that the sim, the programmer gets when it seems like the simulation is about to reach some certain level of power awareness.

Speaker 4:          00:16:04       This is in the book of Genesis. They say, you know, they ate of the tree of knowledge of good and evil, gain self awareness and there was another tree they weren't supposed to eat from the tree of life. And the uh, God says it's weird because in the Quran and in the Bible, God ref, it's referred to as the plural rather than the singular. So God doesn't, the versus something like, you know, if they eat from the tree of life, they will become like us, right? Not like, like us. So there's like a, we can't keep these. We have to keep these beings somewhat curtailed because we don't know what they're going to do if they gain too much power. That's in the mythology of the thing and it kind of works from the simulation theory perspective. If we're a simulation that's on the precipice of a kind of singularity, which would be the simulation somehow becoming self aware, then for whatever reason, whoever's running the show doesn't want that to happen or hasn't wanted it to happen throughout time, you know?

Speaker 5:          00:17:07       Well it's also if you're talking about like eating from the tree of life and becoming like them, uh, I mean that is about a psychedelic as you can get your literally talked about eating something and becoming a god. Yeah. You're talking about eating from the tree. Like what is the tree of life? Everybody's like, oh, whatever. Yeah, whatever. It's history. It's, you know what, God, there was trees back then. Sure. If you're a literal believer, the Bible, you have to think that there was not just an experience where God showed up. Right? Not just this, this, this thing that happened where God came down, he spoke to you an elevator, you know, you're saying people shouldn't eat from a tree. Oh yeah. Cause they could become a god. Yeah. I mean that's kind of where if you're translating stuff from ancient Hebrew to Greek to Latin into, to all these different languages to English, you know, that there's some weird shit being lost along the way.

Speaker 5:          00:18:03       In one of them was probably calling it a tree. Right? Because we didn't even know there's a fucking amazing radio lab out. It's out. It's out right now. It's about, um, about trees and the, the intelligence of trees and that trees communicate and that they share resources that they allocate resources toward the needier ones. Yeah. They have this interaction with fungus, this symbiotic relationship with fungus. It is fucking incredible man. Where the fungus are eating these microscopic bugs and getting their nutrients from these microscopic bugs and that's where the trees are getting their nutrients from. And some of them get him from, from salmon. There's trees that were like, they got 70% of their nitrogen from salmon because bears would eat under these trees. They would eat and they would leave like fish heads under the trees and like the bears would continue to return to the same trees and these trees would eat the fucking fish, the, the, the, the fungus inside their soil and the Miko rise will relationship that they have.

Speaker 5:          00:19:06       It's amazing man. It's amazing dude there if their old life form that we are sleeping on. Yeah. This plants like, and this is not a dig against anybody who's a vegetarian or anyone on the other end of the spectrum that only eats meat. Take the ideologies out. Like, cause everybody knows that I meet or everybody that listens to this podcast and I, I've had issues with people for that or proselytizing vegans and I understand that you're doing it for a good reason, then you're doing it for the right purposes. And I'm, I'm happy for everybody that that is living their life that way. If you're enjoying it and you're healthy, let's all just let that go. Just look at this for a second. Forget about what you're eating. What plants are is some strange, intelligent network of organisms. And when I say intelligent, I don't say it can fucking do math.

Speaker 5:          00:19:59       I'm not saying it can send emails and create fucking moon rockets, but they communicate with each other. There's something going on. They don't need to do all those other things. We defined intelligence far too frequently by what we have created and what what we can do with our fingers and when our mouths and with our ability to communicate with each other audibly and in a manner where I'm talking and you're hearing and we don't respect other forms of communication because this, we're so attached to our idea of what communicating is. We're ignoring some really basic shit with how these plants and these fungi communicate with each other. They're there. Fuck. They're not just communicating with each other. They're sending signals. If one of them is getting eaten, they're sending signals through the air and it's forcing the other plants to change the, they taste

Speaker 4:          00:20:48       to discourage predation. They're communicating when they're hurt. Wow. Do the allocate resources to more needy plants. They find out who in the network is needy and the allocate resources. This, this radio radiolab is fast and that's cool man. They share resources with these microbes or with uh, with these fungus you and also you, cause you were saying, well they can't send emails, but if you look at, I mean, and you separated the human biome somehow from the plant kingdom, which you can't do, we're completely connected to the plant kingdom because we need oxygen to live. So we are deeply, deeply woven into that fabric of intelligence that you're talking about to the point that we actually kind of grow out of that fabric of intelligence because we have a symbiotic relationship with plants, uh, just to exist on planet earth. So you're talking about, uh, the what is called, have you heard of the web of Indra?

Speaker 4:          00:21:51       No, the web of injury or it's also called the net of Indra or the web of Indra. What does his from a, this is hinduism. So the idea is that a way to explain this sort of inner connectedness, connectedness of all things is this like imagine like a web or a net where at every single nexus point there is a jewel, the jewel dinette avenger. That's what it's called. So then, uh, now imagine that every creature on earth are in this universe that has any kind of sentence at all, composes a tiny little jewel on this net. And so this net is every joule is connected via like whatever connects us to plants. Everything is connected that's alive it, which means that any slight movement in any of these jewels creates a vibration that rolls through infinity through the entire net of Indra affecting all o other sentient beings in some small way.

Speaker 4:          00:22:54       It's basically the idea is any third is the jewel net avenger. So anything that you do, it gets sort of vibrated through the rest of the thing. Anything that happens in the micro happens in the macro, macro happens in the micro. It's a beautiful idea, man. And, and, and it seems like this new discovery that's come out about plants has a, in some way really shined, shone a light on the complexity of that incredible net. You know, cause it's so complex because then it gets down to probably the quantum level too. I mean, if you think of the quantum reactions happening inside the plants to create these biochemical shifts, it's startling when you imagine all the weird chemical and atomic movement that's happening inside of the thing itself. It's overwhelmingly beautiful and hard to imagine that we get to be a piece of it, which is pretty cool.

Speaker 4:          00:23:51       But the plants are sending email, you know, because we are the plants, the plants are us, the plants are affecting rumor. Mccann always talked about x. So pheromones, remember that Xcel pheromones, you'd say that mirror that plants have pheromones that they put out to like what you're saying to discourage predation. Bring in bees. I liked that. I said per day session, like I'm smart, but it's a great word. But the um, uh, so, uh, he would say that psychedelics marijuana, dmt, these are Xo pheromones from the vegetable world. I gained deal on mckinna impression, but these are x o pheromones coming into our biome and shifting our consciousness in a way to try to manipulate our behavior a little bit. And, and also, you know, all this stuff coming out of the gut biome to like, not only is there this flourishing vegetable kingdom that is like clearly alive and has its own alien intelligence, but we've got fucking gut biomes filled with these bacteria that could theoretically be controlling our cravings, right? So we're being manipulated by these colonies of alien beings living in our guts, telling us, get another fucking candy bar, man. Wouldn't it be good? Isn't that cool? So true. Yeah. It's so true.

Speaker 2:          00:25:16       There's this darkness inside. You then want that sugar. Yeah. It's a little demon little demon that feeds off sugar. Well, it's a modern, it's a modern, it's a modern way of saying demonic possession. And the old days you'd be like, you got a demon motherfucker. Now it's like, well, your gut biome is craving carbohydrates to survive. Look, if you've got the plague, how's that any different than you being attacked by Vampires, right? Something's trying to kill you. We take comfort in the idea that it's some microscopic thing that we can even see because that makes you feel better. That's looks a lot weirder than a fucking vampire by the way. A lot

Speaker 4:          00:25:50       weirder. It's not a, it's not a well dressed man with a cape and things. You're looking at some kind of strange globular transforming bit of plasma that's swimming around inside of you

Speaker 2:          00:26:04       actively trying to destroy you. He came, he came to see it. We didn't even find them to like what, when, when did they invent microscopes? If you had a gas? 18 hundreds I couldn't guess that. And that's a sad thing man. I couldn't guess that. Let me, I'm going to guess. I think Brian Cowen was talking about this in relationship to them discovering bacteria with surgery. Oh No, it was Chris. I think it was Chris Ryan. I think Chris Ryan might've been the first one. I don't remember. I'm now I'm giving people credit. I'm not sure. But um, the idea was that they didn't know what, what bacteria was for like a long time and they didn't wash their hands. And people die of horrible infections when they were to do

Speaker 4:          00:26:44       surgery on people. It's like, Oh fuck the guy. So this is, I can't remember the guy's name. You may be confined to Jamie. It's the guy he was, he realized so doctors would apparently, uh, they would like do autopsies on corpses to try to understand how the human body worked. It used to be illegal. I was like a big deal to cut open a corpse says doctors are studying corpses and apparently they didn't know you should wash your hands after you handle a Corp. So you would like fuck around with a corpse and then go deliver a baby. Right. And, and the babies, there was a very high infant mortality rate, so I can't remember his name, but a doctor discovered, oh wow. Mind blowing idea. You should wash your hands before you deliver a baby. And there it is. Yeah. He ended up in a fucking mental asylum because they weren't listening to him. And uh, apparently what doctor said, gentlemen, do not need to wash their hands. Oh my God. Yeah. A gentleman, a gentleman does not wash his hands because they're just innately clean. Mm. So yeah, man, people had no idea. They thought that your com was filled with tiny little men, you know, like little humans were in. They're like tiny little, yeah. Yeah. Why did they think that until, until the microscope, I imagine until finally someone fucking came on. Yeah.

Speaker 6:          00:28:04       Microscopy.

Speaker 4:          00:28:07       How long after the invention of the microscope is someone shoot a load on one? Exactly. However long it took to reach orgasm after building it? Well, it's like we were talking about virtual reality. We're like, how long before they made a porn? I mean when the moment they came up with Oculus, we, we knew. Yeah, I think it's a matter of time. Yeah. Matter of time. And they did it and they did it.

Speaker 4:          00:28:38       Oh, it is going to create some fucking hilarious earthquakes and a lot of different relationships and marriages because people are going to have to define whether or not fucking a Hologram is a form of infidelity. Like you're going to have to make a rule for that and in your relationship, is it okay to fuck a Hologram? Not Alive, not a person, but looks like it's fucking you looking you right in the eyes, right in the fucking eyes. Oh my God, Dude. Yeah. It's pretty weird because your brain, when a Hologram is looking at you in the eyes in a loving way, your brain doesn't reject it. It's like, oh wow. I think this girl really likes me. Oh wait, it's a hologram. But in one millisecond you get this feeling of like strange connection, which is a, and again, we're in the most rudimentary parts of Vr, only apparently only.

Speaker 4:          00:29:42       I just read this, it might've been a dated article, but only 100,000 people or so own an htc vive if that's drastically off you guys. I'm sorry, but not a lot of people have vr goggles right now. So not a lot of people. And there's a lot of us who are fucking ear beating people at parties who had clearly just don't want to hear about it any more than you want to hear about someone talking about it dream. But there's a huge group of people right now that are having some of the most psychedelic mind bending experiences through technology and they can't even talk about it or describe it to people because when you describe it, it's like you're talking about a dream, but you're like, no, this is happening to a lot of us right now. We're going into alternate dimensions via technology and hanging out there, enjoying it, experiencing the freedom, uh, from the confines of being constantly in an infinitely located in whatever physical space your body happens to be inhabiting to suddenly remove that weights and how I can pop these things on and instantly translocate to some art universe that some geniuses created.

Speaker 4:          00:30:56       Fuck around. Shoot Arrows, wander through minecraft, have sex with two girls who I always apparently going to throw out of my house if they didn't fuck me. That's what the point is. I have, which by the way, never do that. But in this universe, I guess that's what I go. Yeah, so the kind of rapey what? It's not rapey. It's just like, please, I don't have money for the rent. Can I suck your Dick? Oh, you know, it's her idea. Oh yeah. You're not saying you're not raping her. It's not like, look, you gotta you gotta give up some posts the other, otherwise I'm kicking you in the street. You could say it if you want into the porn. I mean, you could say whatever you want. Wait a minute. You told me you have a microphone, a microphone, but you can talk to it if you want to be a Weirdo, but okay.

Speaker 4:          00:31:42       How long before you can talk to it? Hello? Four. It talks back to you. Well that's you're going to look, you're looking at like a, so we got to figure out a way to either, I mean I imagine that probably exists in some rudimentary way for some kind of CGI style porn, but to be able to like instantaneously communicate with live video porn, you're going to need some kind of ai that I don't think we probably have just yet or we are probably on the PR, but yes, that will ask come. Oh, that's definitely going to happen. I've watched x Mckenna again on a plane the other day. I watched it for the second time. That's cool. It was just as good the second time. That movie freaks me out, man. Why? Because the girl's so beautiful and she's so, she's so attractive. Like you, you know, that guy you could see as much as he knew that she was a robot. As much as he knew that he wasn't a robot, as much as he knew that she was artificial, he was in love with her and she was amazing and it like she cared about

Speaker 2:          00:32:40       him and when she was talking to him for real, like when the lights went out and the camera was down, spoiler alert, and she was like, don't trust him. I'm like, this is like a real person, a real person. She's thinking like a person. It's a person. Yeah. And he's like completely locked into this idea that it's a person he's hipped and tie. It's a person. I mean I don't, this whole distinction between artificial intelligence and intelligence is the same as the distinction between virtual reality and reality. It's just like another human attempt to be in control of something. You want it, you want to say, Oh, I'll tell you if this is fucking reality or not. Oh, this is virtual reality. This isn't reality reality. But it's like, oh really? So reality is compartmentalized into places where there's, if something is created by a human, oh no, that's not real reality.

Speaker 2:          00:33:26       Even though humans are reality. Reality is reality. Intelligence is intelligence because the intelligence is inhabiting something that isn't the human vessel. It goes back to what we were talking about earlier, what, cause it's not in a fucking meat body now it's artificial intelligence. How is why intelligence is intelligence? Yeah, and again I think it goes back to what we were talking about earlier that we try to define intelligence by our own measures, like the ability to write something down, the ability to move. How about that? We, we have that inexorably connected to intelligence. You have to be able to move to show me your thinking and communicating. Right? Like despite what this woman was saying, the scientist on this radiolab podcast is that she goes, I don't want to say that there. She's like, it's hard to say that if they're intelligent, it's hard to, but what's going on is their net work closely resembles a brain, right?

Speaker 2:          00:34:19       The way it looks and also the way it's operating. They, it's as neuron like responses. Yeah. There's, there's data being passed back and forth, right. That we're just not, we, not you, not me. For sure. We don't, we're not doing any research, but these people, we are somewhat, I'm saying we as in humans, they're just figuring this out really recently. I think everything has a conscience or a consciousness. I think every, everything that you eat, and I think that obviously plants for the most part are like way less violent than animals. You know, like when you are taking in plants, it's just sent, it seems to make sense that it would be like a more peaceful existence. Like the way you think about it. Like you're, you're just consuming plants. Like glue it, all the animals that only consume plants. Right. They're all like really peaceful. Yes. But then the animals that consume animals and plants, they've got to get dirty. Yes. Those animals and the ones that only meet those are the scary ones. Yeah, you're right. Yeah. Yeah. Well it kind of makes sense. I mean when a percent you need different tools for taking down a deer than you do for eating a piece of Broccoli. Well, it's just, I think people are trying to like move away from

Speaker 5:          00:35:37       the system that requires the violence and like a part of that. The idea of that is to eat plants because like even if you're eating a life form your, you're, you're, you're less involved in violent activity. Like if you're eating meat, you're involved in violent activity, right? Some way, even fish, you're involved in some sort of violent activity. Those fish have to be, they don't just instantaneously die. They've got to be yanked into another dimension, beat over the head with wooden clubs thrown into ice checks, chasse with, they'll flop and gasp for air until they finally go still. I mean that's what happens when you eat fish, man.

Speaker 4:          00:36:16       You know, it is one thing that is very, they're all this indicates is how there's so much compassion inside of human beings because whether you eat meat or whether you eat a vegetarian diet, if you're thinking about this, it's really cool. That's one of the cool things about us is that we have this sense of like, man, yeah, this does seem to be a violent thing that I'm doing here. I know this thing I'm eating has suffered to some degree that I would never want anyone I know to suffer or myself as you know, I th th so w there's compassion there, man. And we want to live in a world where we don't hurt things. And if you do want to live in a world where you hurt things, well then you're probably in a lot of pain yourself, right? Yeah. But so then, but you get this is it man, this is the fucking Bhagavad Gita because the Bhagavad Gita starts with a warrior are June looking out on this, uh, this fucking massive army and sang to God the charioteer.

Speaker 4:          00:37:22       I see my friends here. I see fathers and teachers and men that I respect, uh, by killing them. Don't I destroy my own soul? Wouldn't it be better to go off into the forest and live as it renunciate than to, to gain all the wealth in the world, but to have the blood of my teachers on my hands. And this is the beginning of the bug of I get in, you would think because it's one of Gandhi's favorite books that the response would be, you're right, let's not kill, let's not fight. We're going to go in the woods. But the response, God says, you speak words of wisdom, but you do not understand. That's the beginning of the Bhagavad Gita. That's where it starts is here's why you fight. Here's why you have to kill. Sometimes. Here's why. There is action in the universe that will result in pain and suffering.

Speaker 4:          00:38:17       And this, uh, is to me the best like answer to all of this is a, when Krishna reveals his universal form is this cause called, here comes this monstrous thing and arginine is describing what he's, and this is the oppenheimer quote, Oh, home become death destroyer of worlds. And Arjun is saying, I see in your teeth the limbs of all humans being chewed and eaten, your consuming everything, your eating, everything is basically what he's saying. And then he says, can you please turn back into my friends? Cause it's so fucking intense to see that. And so that response is okay, let's stop killing everything. But look, you're getting eaten by the universe. No matter what you do, you're being grounded dust by the force of time. There is no escape from this. You are in the digestive tract of a being that is gradually transforming you into nothingness depending on what you want to believe, unless you think there's some eternal, perpetual soul, in which case the digestive system is freeing you from the uh, uh, the terrible and limited in closure of the human body.

Speaker 4:          00:39:42       Either way, man, we are being shifted and dramatic and beautiful way. And as that's happening to think that you can somehow not realize what you are, which is you are one of the digestive organs in the universe. You are deaf. No matter what you do, man, you are completely wiping beings out of the universe. It every single fucking second. If your immune system's working, those sweeties of burrowed into your fucking skin and gotten into your mucous membranes, you're wiping them out, your blood cells are heartlessly fucking killing them. And then maybe you had an ant on your counter when you drove your car. I'd say there's a 60% to 90% chance. You probably ran over some tiny little fucking bug that was walking across the street. You can't live in this universe without killing things and um, uh, and you two are being killed. So you are like, uh, in the [inaudible] you're like, uh, a little bit of stomach acid helping to dissolve a steak.

Speaker 4:          00:40:46       You're a little bit of the digestive process of the universe killing and uh, out putting energy from that destruction. That's just what everything is really not to like justify a meat diet. If you could become a vegetarian, do it, be a vegetarian if it drawn, if you're drawn to it, it is a more peaceful thing. We'll for sure factory farming is a giant issue for anybody with a conscience. Then when you get into other forms of acquiring meat, then things get more complicated because a, if you're talking about hunting in particular, that's not easy for everybody to do. And so it's almost impossible for everybody to do. Um, so then you'd have to have ethical farming and then you'd have to decide what is ethical, how they, what does ethical mean? Free range chicken, free range cows, free range chickens.

Speaker 5:          00:41:34       Um, you know, and you didn't have to decide that there's certain cycle of life involved here and then you're willing to take part in it for your own health. You're going to decide I'd like this, my body functions better on this, so I'm going to, I'm going to allow this to happen or, or help it. Participant, yeah, he'll participate in it. But um, I think when you see a bear eat a salmon, that bear is not thinking for a fucking second about the feelings of that salmon. It's just holding it down and tearing it apart with no hesitation whatsoever. When we reap, let us from the ground. Are we doing a more complicated version of that? Are we pretending that this thing is this non feeling nonthinking thing because it doesn't move and it can't send emails. But is it possible that all these things that we call life, all these things have a consciousness. Everything does. Squirrels, people, monkeys, fucking Alfalfa.

Speaker 4:          00:42:30       Oh yeah. All that shit. It's, yeah, it's a, it's a, this is what I was thinking as I've been doing vr, having so many philosophical thoughts based on this incredible technology. So this is what I started thinking is that human, all living things are like organic virtual reality goggles, right? So like a squirrel is a, is like a kind of virtual reality goggle that the universe is gazing through in the form of a squirrel's reality, right? So this consciousness, this intelligence, it's like an omnipresent force. And every living thing is like a faucet that its life is this intelligence coming through and it's spreading itself based on the energetic system of the particular conduit that it's coming through. So a living squirrel is a portal that is opened up to the intelligence of the universe temporarily. And when that intelligence flows through the squirrel, the way electricity runs through a motherboard, uh, then it's odd.

