Speaker 1:          00:00:03       Five four, three, two, one.
Speaker 2:          00:06:56       So I have my office there and I moved all my portfolio managers, they all moved from California to Puerto Rico. That's going to be a tough sell. You know, they love it down there. But was it difficult to convince people to pack up to which essentially another country? It's not really, but it kind of it it's America. But yeah, technically it's not like that kind of a situation. Yeah, well it's the same status, but I've never been to Guam. But I mean you do feel, it does feel a little bit like a foreign country when, because English is the second language. Everybody is speaking Spanish. So in a way, you know, but all you look around, it's all the same restaurants. It's all the same stores. So it's American in, in all the malls, you know, the same malls. And so there's a lot of ex, not really ex pats because they were actually still in America.

Speaker 2:          00:07:42       Yeah. You do not renounce your citizenship when you move to Puerto Rico. You do not have to pay an exit tax. I you still travel on on an on a US passport. Everybody that lives there is an American. So it's like a sweeter deal than moving to Hawaii. Well Hawaii you got high taxes, you're still paying federal income taxes. Paradise. Yeah. Plus you're paying the state income taxes in Hawaii. So, but you know, my guys wanted to move there cause it basically almost meant that their income was going to double like pretty much overnight cause they can participate in these tax breaks. But you know, my, one of my guys is married, has some kids and you know, they really like it. My single employees, I have a few young guys you know, you know, good shape working out, you know, young portfolio managers but they've, you know, they quickly got Puerto Rican girlfriends.

Speaker 2:          00:08:28       You know, if you've got a job down there that's a big plus because most of the Puerto Rican guys and out of you know this, but I think five of the miss universes of kind of Puerto Rico. I mean it's, it's a small little island country, but they got some beautiful women down there in Puerto Rico. It sounds like you're a salesperson for Puerto Rico a lot. I should. I've said so many people down there. A lot of people have moved there because to me, I run into people all the time. They see me on the beach. You have to Hell Pete. You know that you're the reason that I'm here because they heard about it. But, but look, it's a, it's a good deal. And you know, I would love to see Puerto Rico succeed as a mecca of free market capitalism right now. You know, it's a poster child for the failures of socialism because they, it's the socialist that killed Puerto Rico, just like they're killing a lot of major cities in the United States.

Speaker 2:          00:09:15       But if we get more entrepreneurs, more business people are coming to Puerto Rico, you know, that is what Puerto Rico needs. They don't need to be a state, they don't need the irs. They don't need more government. They need the opposite of that. So you learn in Spanish or are you just sort of standing around? Well, I mean, we're doing it. They're all Americans. Americans. But I mean, I speak English. I mean, I, I took high school Spanish, so you know, if I go through a dry through, you know, I got to try to use my Spanish because a lot of times they don't speak. But, um, and no one, if you talk to someone from the police or the fire department of those guys speak any English. But most of the younger people, they've learned English. And where I live, it's everybody speaks English. I mean, nobody addresses me once I get out of the gates of the rich, you know, Rich Carlton, you know, I go out into a movie theater, they're, you know, they're speaking Spanish.

Speaker 2:          00:10:04       And then if I say, do you speak English, then they'll talk. But where I live, everybody addresses everybody in English. So in that respect, you know, you're still there. So you live in like a gated area that's a part of the Ritz Carlton. Yeah, it's a gated community, but it's very large. You know, we have a lot of golf course, so I think three or four golf courses were on the beach and there's, you know, a lot of different places to live there. Any resentment from the locals? Not that I can feel. I mean, because I mean, I know some of the locals could feel, hey, these guys are coming in here. They're not paying a lot of taxes, but I pay a lot of taxes as a, just a raw number. It's not a big percentage of what I earn, but it's a big number relative to what other people might be paying.

Speaker 2:          00:10:42       But you know, I'm doing all, I'm hiring people. As I said, I rented office space. I mean I bought a house, I bought a condo. I'm going out. So I mean they benefit, they like having, if you're, if you like having people doing stuff and in, so I don't, I don't, I don't see it at all. Now if it becomes a state status, if it changes status, will you move? I don't know. We'll see. I might have to, I mean, it might not. I mean, it won't be nearly as lucrative and see, here's going to be the problem. If they ever became a state, see people that live there pay a 30% income tax. Now you know, for to, not, not people like me, but the people that were already there. So it kind of like in California you have 10 13% income tax. But imagine if you had to pay a 30% local tax and the federal income tax on top of that.

Speaker 2:          00:11:25       I mean they have a 13% sales tax now, if they have a higher sales tax. So they have, if they became a state, they would be by far the highest tax state in the United States. They mean a disaster. Right now they have the lowest taxes in the United States. So why would you want to go from having the lowest taxes to having the highest taxes? It's, it'd be, it'd be suicide to become a state. Yeah. So they would have their local taxes and then on top of that they would have federal taxes. Local taxes are fairly high in terms of like a local state. Yes. As much higher. Right? But

Speaker 3:          00:11:54       then on top of that, they don't have federal taxes. Right.

Speaker 4:          00:11:56       And you know, the other thing is Puerto Rico has a lot of debt. I mentioned that, right? But on a per capita basis, they actually have a lot less debt than America does. I mean, your share of the national debt right, is much bigger than the average Puerto Rican share of the Puerto Rico debt. Because when you live in California, not only are you responsible for the state's debt, you're responsible for the national debt. The people in Puerto Rico, I'm not responsible for the national debt. So if they actually became a state, they would be in worse shape than they are now. They would actually have more debt. Right. So it's like it'd be like buying a ticket on the titanic after you've already, you know, it hit the iceberg yet you still want to buy tickets. So hopefully this is all a bunch of politics and it won't become, it won't become a state and it'll just continue, you know, they'll default on a lot of this debt. Hopefully they'll prioritize a lot of things. Uh, they'll shrink the government and more and more people like me will come in and start creating businesses and hiring people and you know, five to 10 years from now, maybe you'll be the wealthiest part of the united,

Speaker 3:          00:12:57       so correct me if I'm wrong, but the two possibilities are, it becomes a state and they get more welfare. They get more essentially more aid, more money. Yes. Or it stays where it is and more people like you have an incentive to go there and then entrepreneurs open a businesses and then there's more opportunities and then the general wealth of the island grows and that it helps people just by virtue of more.

Speaker 4:          00:13:22       Yeah, you got it. Becoming a state just means a bigger welfare state. It means a greater incentive not to work and a bigger punishment if you work because the taxes on people, that work will go sky high, you know? So that's going to be a huge problem if you know. So good. The problem that the appeal of being a state is that so many people don't work. But you know, one thing that we could do to help Puerto Rico is get rid of the minimum wage because they're stuck with our minimum wage, which is a disaster because the average income, the average wage in Puerto Rico is about half of what it is in the United States. And so the minimum wage of seven 25 is like having a minimum wage of $15 an hour. And if you're one of those people that likes a $15 minimum wage, look at how high the unemployment is down there because you can't, you know, you people can't get jobs at, at these, at these wages.

Speaker 4:          00:14:10       You know, the best example too of America destroying one of it's a possessions with the minimum wage was American Samoa. I don't know if you've ever read this, but a few years ago, uh, Congress applied the minimum wage to all the territories are minimum wage, which included American Samoa and in American Samoa, the biggest employers on the island where these tuna canners and so chicken, you know, chicken of the sea or star cast. And so all these people worked in these factories canning the tuna and they worked in, in, um, in American Samoa. Well, when the mirror and minimum wage was passed it, it made the island uncompetitive. And so the tuna factories closed down and fired everybody. And so all of a sudden there was like 30% unemployment. The island went into a massive depression and they still haven't come out of it. I mean, we destroyed them, we destroyed all their jobs.

Speaker 4:          00:14:59       And the, the, you know, the American Samoa didn't want the minimum wage, but you know, American politicians don't give a damn and all they care about is feeling good about themselves, not about the consequences of what they do. And so they, you know, they, they impose that minimum wage and it was like declaring war. Well, it had a lot of damage in Puerto Rico, just not as much as it did in American Samoa. But if we can get rid of that minimum wage in Puerto Rico, then there'd be a lot more employment opportunities for younger, unskilled people. They'd have the opportunity to climb up the job ladder to get some skills so they can earn more money in the future. But right now they're just permanently unemployed. Uh, because of that, so we could get rid of the minimum wage. Also, there's the Jones Act, which has really, really hurts Puerto Rico.

Speaker 4:          00:15:40       And what that Jones Act that says is that any ship, right. And that that's going to America. They can't stop in Puerto Rico, drop a few things off, and then continue on to the United States. They have to, they have to go all the way to the United States, unload their cargo, that's going to Puerto Rico, put it on a US flag ship with a u s crew, and then send it back to Puerto Rico. And it costs a fortune. Right. So that's one of the reasons that their tourism is not that competitive there. Because all the other Caribbean islands can get cheap stuff dropped off on boats. But you know, we have to wait for stuff to come on a Jones act boat. And so it, what was the incentive to pass the Jones act? It's for the unions, the Maritime Union, the merchant marine to try to, because you know American ships are uncompetitive.

Speaker 4:          00:16:27       Like if you ever go on a cruise on, if you go on a cruise, but none of these cruise ships are flagged in the United States and none of the crews are American. That's because if you had to use an American crew with our laws, nobody could afford to cruise. It would be too expensive. The only way that you can have a cruise line that anybody can afford the travel on is if you flag it in some other country. Well, so because the wages are just off the charts, but that Jones act means if people in Puerto Rico, you know, whatever they're going to buy, whatever they're going to consume in order to bring it to that island, you know, they're going to have to bring it on a, on a US flag ship. Now it that, that's a problem for Hawaii too. But the people in Hawaii are much richer on average and the people in Puerto Rico, so the poor you are, the more you're affected by, by higher food costs are higher, you know, costs of everything. So it's, you know, you have a lot of these, you know, liberal politicians, they refuse to get rid of these laws. But that would, would very much help Puerto Rico just more free markets cause they, they have no control over that federal minimum wage where the or that Jones Act.

Speaker 2:          00:17:27       So you don't think there should be any minimum wage at all? No, no, no. None boat. So someone working for a dollar an hour, it doesn't bother you. Well, I mean it's better than working for zero. I mean, people think that, um, you know, they, they want to impose their morals and say, well, it's not right for somebody to work for a dollar an hour. Well, you know, people make rational decisions, right? And so somebody

Speaker 4:          00:17:50       is accepting a dollar an hour and that must mean that nobody offered them a dollar 50. Nobody offered them $2. I mean, this is a competitive, a market. I mean, I know you have an employee over here. I mean, could you pay this guy a dollar an hour when he worked for you? I don't think so. Yeah. Well a got, because he could get more. Right. But he's, he's educated and skilled and he's an engineer and of course, right. But it's very difficult for people to get that sort of an education, particularly in wwe is Puerto Rico thought of as a third world environment and so country third world. But let's say some kid came in here that had no experience whatsoever, but he wanted to learn. He wanted to just get you coffee and just sit around and be around you. He's not that productive. Yeah. They use the interns, right?

Speaker 4:          00:18:30       A lot of radio stations do that and they don't pay them anything. I know that $0 million and I can't do that. Well then yeah, but maybe you pay him $5 now, whatever it is, but people, people are going to accept a job. That's the best one they can get, and so if somebody is working for a dollar an hour or $2 an hour, by default, I know that they couldn't find a higher job than that. And the reason is because they don't have a lot of skills. But if you don't have a lot of skills, the best thing you can do is get a job so you can get some skills. That's where you learn skills, you get more skills. You know there are people that pay to get skills, right? If you go to school, you actually have to pay tuition. If I'm getting paid a dollar an hour while I learned something that has value, that's better.

Speaker 4:          00:19:09       You have people now borrowing money to learn a skill. People Graduate College and they're in debt, right? It's not a weird, that's a weird argument, right? Because you're assuming that they're going to get a skill. I mean, they might just be handling packages and picking them up and moving to another location. That's a whole or well, even that's like show up on time, be responsible. So disciplines and showed a lot of work. There's a lot of stuff that you learn when you have a job, but the problem with the minimum wage is that the minimum wage basically hurts the very people that it's intended to help because the minimum wage basically says if you are a worker, if you cannot convince an employer to pay you seven 25 or $10 an hour, whatever the minimum wage, then you cannot accept that job. See, it doesn't hurt the employer.

Speaker 4:          00:19:54       It hurts the employee because it limits his options. It limits his ability to sell his Labor, uh, for the highest price that he can get. And it limits his access to the job market. It's a, you know, you can't get on that ladder. You, you know, you remove the lower rungs. And so I can't climb up because of this arbitrary minimum wage. Uh, because when you pass a minimum wage, you're not going to force an employer, right? If I'm an employer and there's a minimum wage of $10 an hour and somebody comes to me and they can deliver $5 an hour worth of productivity, meaning if I hire that person that will benefit me by $5 an hour, I'm not going to pay them $10 an hour because then I lose $5 an hour. The only way I'm going to hire somebody who's going to give me $5 an hour worth of productivity is if I can buy them.

Speaker 4:          00:20:39       If I can, you know, hire him for less than $5 an hour so I can make a profit. So it just, it sits like a floor. It's like if you cannot deliver enough productivity of whatever that minimum wages, then you can't get a job. And so it's basically making it illegal for people to work. It is the stupidest law that anybody has ever conceived. A, it should be obliterated. I mean, there are some countries, like Singapore does not have a minimum wage. And you know, the average income in Singapore is higher than it is here per capita. There's a lot more millionaires there. I mean, people have no problem. We didn't always have a minimum wage in the United States. I mean, this is a creation of government and you know, but the, the initial minimum wages, if you want to actually go to the origins of minimum wage in the United States, it was about trying to prevent employers from hiring the Chinese or hiring blacks.

Speaker 4:          00:21:28       They were trying to force them in ways as a way to create unemployment. It wasn't, there wasn't a, a good motivation. But yes, when they try to sell it to the voters, oh, it was all about, we don't want people to be exploited, but you know, it's not exploitation of people voluntarily accept the job because it's the best job they can find. The person who's offering the best job is not exploiting them. They're giving them an opportunity. And if you're denied an opportunity, I mean, there are a lot of people, oh great. You know they're going to get the minimum wage up to $15 an hour. Well, what good is it being unemployed at $15 an hour? It's better to be employed at $5 an hour than unemployed at 15 because being unemployed means you make nothing. Right. We're devil's advocate would be that if you can't afford to pay someone $15 an hour, then you probably shouldn't have employees in the first place.

Speaker 4:          00:22:14       Your Business doesn't function that well. No, there are plenty of sense. No, because there are plenty of jobs where you have entry level positions. I mean, if you think that there should be no entry level jobs, I mean you go back to the days of a full service gas stations right? Back in the day when you know you didn't have to pump your own gas till the case in New Jersey and a few other states, New Jersey, you know, they mandate it, but you still don't get the level of service. I mean, if you've pulled into a gas station 40 years ago, not only did they pump your gas, but they checked under your hood. They, I used to do it. Tires, you're, you're, you're, you're, you're, you know, they, they watched your windows, you know, they did all sorts of things. Uh, you know, with your car, they didn't make very much money.

Speaker 4:          00:22:56       They lived off of tips. By and large it was the minimum wage that eliminated almost all those jobs. It's a minimum wage. That is the reason that we have, you know, people sell so much self serve. But what happened, a lot of these people, these kids that worked in filling stations became mechanics because all these filling stations had a mechanic there and they, they learned auto mechanics and a lot of them went on to own their own gas stations. But of course a lot of them, this was their work experience that formed the basis for the rest of their life. A lot of young kids had these jobs, summer jobs. And so there's nothing wrong with a entry level employment. There's nothing wrong with people learning the responsibility of having a job of showing up of customer service of mean. My first jobs were all sales.

Speaker 4:          00:23:41       I was selling subscriptions door to door. I was telephone sales of this, the z channel and California. I sold, I was knocking on doors selling cable television. I worked in a shoe store selling shoes. I mean, but hustler. But you were talking about you as a young man, right? That's a lot of people think of the minimum wage as applied to adults. Adults that have to take care of children, that I have to have a roof over their head and food on the table. And you're saying that that, that they shouldn't be having those jobs. Well by the time you are an adult with kids, you should have accumulated the skills to earn a lot more than a minimum wage. So that's the argument when people say, Hey, you can't afford a family. You can't support a family on the minimum wage. Of course you shouldn't even be trying to support a family if you can only earn the minimum wage.

Speaker 4:          00:24:25       You shouldn't have a family. You, you should realize, hey, I can't afford a family yet. Let me acquire the skills before I start fathering children. Right? And, and getting married, let me make sure I can support myself. I mean, a lot of people who are having the minimum wage, they're living at home, they're there. They, you know, they don't need to pay the rent. They're living rent free. What they need is a job they need maybe gas money, get some money. So I could take a girl out on a date, but I gotta I gotta get some work experience. I got to get out there, I got to know what it's like to work. I got to see, you know, I've got to live in the real world and that's what used to happen. I mean, you don't have all these summer jobs anymore. Kids don't have the opportunity because the minimum wage has already priced them out.

Speaker 4:          00:25:04       A lot of older people now we're taking those, those jobs and so the, the employment opportunities aren't there. But when you just raised the in wage, all you're doing is raising the bar where you can get your job. You're not helping people. Now, there is always going to be some people that, yeah, there's going to be somebody who will make a little bit more because of the minimum wage. There's going to be those people, there's gonna be some winners, but you're going to have lots of people that make nothing because of the minimum wage. And then of course, because you're driving up the cost of labor prices are going up. And so who is affected the most by higher prices, poor people. People who are working on minimum wage. Uh, and not only that, you end up with less quality. I mean, you know, I hate it when, you know, I call up a company and I'm just in voice mail.

Speaker 4:          00:25:46       Hell and I'm going from one I would like a real person to deal with. But you know, with the minimum wage, those jobs don't exist. There's so many jobs that have been automated out of existence because not automated shipped overseas where there isn't any minimum that too. I mean that too. Yeah. You end up, if you actually get a real person there in India, right, right. But we have all these people in America who aren't working, why can't they do those jobs? Yes. You're not going to be able to support a family on those jobs. But before you even get a family, you can have that job and then maybe you know, five or 10 years later you'll work your way up the ladder, you'll get a skill, then you can support a family, but nobody is supposed to be able to support a family and if you try to tell an employer, hey, you gotta, you gotta pay your fry, Cook enough money to support a family, you can't do that. There's not enough productivity cooking French fries. You can't support a family family. If all you can do is cook a French fry, you need to learn how to do something else before you can support a family and you can't, you can't put that on the employer. Now when you say that Singapore has a

Speaker 2:          00:26:44       higher average income is, is that because and no minimum wage? Is that because there's a shitload of billionaires that have moved to Singapore because they don't have a minimum wage because they're getting explore. No lower class people or people that don't make much money. The millionaires and billionaires don't eve are really not even affected by the minimum wage. What you'd have to look at is the rate of unemployment rates in Singapore sentence for very rich people to move there. And doesn't that Jack up the minimum wage or not the minimum wage rather than the average income? Yeah. Well the fact that you have entrepreneurs that are succeeding in Singapore because they have small government and low taxes means that there's a lot of competition for workers. And so that's what bids up wages, right? Competition. I mean I've got no problem with a vibrant market bidding up wages.

Speaker 2:          00:27:29       You just don't want the government to try to artificially force wages above their productivity. Right. Because it's ultimately your productivity that determines your wages. You mentioned that you know, your, your, your employee here, he has a lot of ads, a lot of value because of his knowledge, because of his personal good. Look at, look at Samsung. Well that doesn't, that doesn't help me. But uh, but you know, and you're like, we're laughing. But there are a lot of people, look, there are a lot of people that earn more money because they're good to look at. Right? There are plenty of people that are paid more models, but you go to Puerto Rico and then Miss Universe and right. But even people hire receptionists or people hire people in certain positions because they look good and they get paid a little extra for that because that's added value to the customer experience and things like that.

Speaker 2:          00:28:11       So most of us can't live off of our looks. We gotta, we gotta have some something else, but it's all a function of your productivity. You want to earn more, you have to produce more. Did government just can't mandate that people pay you more than you're worth as far as the productivity that you can deliver because you're just not going to have a job. You're making a ton of sense. And uh, obviously I'm not a financial wizard like you are. What, when you'd start talking about like people making more money for their, looks not, that would be a hot button topic in America and people will get very upset about it and that people would say that that's a sexist viewpoint and you're objectifying these women that you have working in these positions. What would you say to that? Like a secretary or someone who's a receptionist who's super hot, like the year you're objectifying this woman?

Speaker 2:          00:28:54       Well, you know, there are a lot of men and women, men get hired for their looks too. I mean, it's not just a one way street, amy. It's like you said, but look, you know, people make the most of what they got right. I mean, people say, Hey, it's not fair. Why should this? Well, it's unfair to the unattractive people, but build the unattractive person could be really smart. Maybe she ends up making mom and ugly. Well look, you know, not everybody wins the lottery life can have them write a little bit. Isn't that the problem with socialism and the idea of we should even out the playing field? Yes. I mean the idea that competent and you're a competition guy, right? But you know, a famous Democrat, John Kennedy said that life is unfair and live in a different era, but it's not fair. Right. And he's just trying to bang a lot of checks and you can't, you know, you can't dwell on the things that you don't have. Hey, I wish I could've been born better looking. I could been born tall, taller.

Speaker 4:          00:29:42       You know, you've got to make the most, it's like playing poker. You got hand play it, you can have the worst hand and you can win the pot. Right? So, you know, obviously is it easier to win the hand if you got four lasers? Right. Right. But you know what, if you're a bad player, you'll win nothing cause everybody's going to drop. Right? And so even getting the best hand, it doesn't necessarily mean you're gonna, you're gonna, you're gonna play it. Right. But you know, it's not, I mean, if two people, if I want to hire somebody and the way they look, I believe is going to help me earn more money because I think that having a more attractive person and particularly business position is going to somehow lead to greater sales. I mean, that's really the only reason that you're going to pay somebody more money if they look good. Like look it on, you know, I go on Fox television or CNBC, it's not an accident that all these women interviewing me are pretty hot, right? I mean, unattractive women could read the news and ask me questions just as good as they can, but they're hoping and they're betting that more guys like us are going to tune in to watch a hot chick interview me. Then a home we won and they're probably right, right? Because probably lots of homely girls that are applying for these jobs, they're not getting hired.

Speaker 3:          00:30:46       No, I, I agree with you 100% but there's a fascinating thing that's going on today where our competition is thought to be in somehow some way, shape or form a negative thing. And that this kind of competition, whether it's co, even capitalism itself is criticized, right? Like there's a lot of people today that are in favor of socialism and it's one of the reasons why Bernie Sanders was so attractive is because like, Hey, you people that are not winning this crazy competition out there that don't have any desire, we're going to even out this playing field. And those people that are out there kicking ass and taking names, we're going to take some of that money and we're going to just give it to everybody else.

Speaker 4:          00:31:19       Yeah. That is the appeal of socialism because it appeals to the lowest common denominator. Downloads his appeal to ignorance, but it appeals to greed because an envy like, oh, this person has so much more than me and it's not fair. But here's the beauty of competition because this is why we want competition. We all want stuff, right? And and so I want people competing to sell me stuff, right? I want to have as much as I can as far as consumer goods. That's what we all want. We want products and services that enhance our lives and the way we get the best products with the highest quality that deliver the most value at the lowest price is to have lots of competition. All kinds of people competing for my business. Hey, I've got some money to spend. Oh, buy my product, buy my product. Competition is what's made is what makes sure that I get the best thing.

Speaker 4:          00:32:11       Right? You go back to the old Soviet Union and uh, you know, there was no competition. Let's say you wanted a phone in the Soviet Union in the 1960s. Well you went on a waiting list and maybe three or four years later, if you were lucky enough you had the right connections. Somebody gave you this big fat black phone, you know, and, and you had one phone and it was very expensive. You know, that's, that's phones under co under capitalism. Look at the phones we have, I got a fallen and I could take movies with it. It's a kit. It's a computer. It's a camera. I used

Speaker 2:          00:32:40       it to get here with its GPS. I mean, do you think I would have a phone like this if the government was, had a monopoly on phones? Absolutely. I had a by any government phone that they were going to put in my place. So we all to say the competition isn't good. All the things that we value wouldn't exist if people weren't competing with one another. No, I'm, well, I'm, I'm a big believer in competition, but one of the weird arguments is happening now is that competition is bad and it's a very blinders argument. And I, I saw you battle against that argument when you were with occupy Wall Street, when you went down to the park and talk to those people. That's how I, for a lot of these very aggressive, very passionate people with a limited amount of understanding about capitalism itself. They had no underst hilarious.

Speaker 2:          00:33:20       And it was, it was a wonderful exposing, but they were there, which was weird, right? Well, they were in there. They have signs, they're screaming, they're yelling, they're angry, but yet, yeah, and you know, is very little understanding of what the system that they're rallying against. One of the reasons I went there, and if you haven't seen it, you're plenty of youtube videos of it. The law there, there's one that's like two and a half hours. Right. That's the whole, I talked until we ran out of power. Right. I've seen them all, but I seen about 10 videos of you talking to these people, but somebody just recently resurrected. It, made a copy of it and got another two and a half million views just a few months ago. So I know people are watching it, but you know, I went down there because I sympathized with the fact that people are upset and, and that I know that the economy is not as productive as it should be.

Speaker 2:          00:34:05       I know there's a lot of people that don't have jobs that should have jobs. I think that we should have a much more vibrant economy. We should have a much higher standard of living. There should be a lot more opportunity. But it's not because we don't have enough government is because we have too much. And it's the problems that we have on Wall Street. We're not a function of capitalism, but a function of the government's failure to allow capitalism. And the reason that I was predicting the 2008 financial crisis and they were calling me doctor doom. The reason I, I knew about the housing bubble in advance and I was able to see the financial crisis coming was because I understood the dynamics at play. I understood how the government, how the Federal Reserve, how their policies we're working to inflate these bubbles. And I understood the moral hazards and the consequences of what was going on.

Speaker 2:          00:34:49       And so when I went down as a Cottey Park, the point I was trying to make, and not even so much the people that were protesting, but to the people who I knew would watch the interaction all around the world was to make the point that you are right to be upset, but you're, you're, you're, you're venting your anger in the wrong direction. They're inventing, they're angry or people at you like you and a successful, the quote unquote one 1% capitalism. And I would say, look, it's the Federal Reserve that is the source of your problems. It's congress. It's the White House. It's not the financial district in New York City. I mean the free market people in the free market are there to help you write anyone in anyone that has a business, all they're trying to do is win your business as a customer there. They're competing to get you to buy things and anything that you buy, right? If choose to buy something,

Speaker 4:          00:35:38       if I buy something for 20 bucks, I must value what I'm buying more than 20 bucks or I wouldn't make the exchange. So to the extent that there's a business out there trying to convince me to buy something that I value more than money, that's not going to hurt me. The problem is government. Government has power, government has brute force. The government can force me to do things that I don't want to do. The government can make my life worse. A private business, it's just going to make my life better, right? Because if they're not going to make my life better, I don't do business with them. But the government is a different story. They can pass laws, they can pass taxes, they can best regulations. And as it so happens, the laws and regulations that they're passing are making people's lives worse. And you know, the problem wasn't that big banks failed.

