Speaker 1:          00:00:03       Three. Two one. Yeah.
Speaker 3:          00:10:07       Yeah. There's so many variables still. There's still some some variables, but when it comes to like the guys that get paid big bucks to train top level athletes, they seem to all be kind of on the same page, correct? No, Lauren Endo is one of my best friends at plyometric stuff. A lot of plyometrics. They all, usually they all agree on similar things. Like they might have this variation here, this variation here, but most of them agree on the same fucking thing. Potatoes. No one's saying you need to be power lifting only and no one's, yeah, no one's doing anything stupid. A lot of them are saying, you know, doing like Max reps and and multiple days and all this stuff, like that's not the way to go anymore. [inaudible] days are over, but I say fuck that noise. I still do the meat head days like sometimes like whatever fun to be a mean Italian, get those jeans shorts out.

Speaker 3:          00:10:57       Yeah. Nice. Three hour workout for Ross was looking for Deca. Frost was given us some insight into that, that like his philosophy on training, what he said it was the most interesting thing. He's a smart, smart man by the smartest people get, but one of the more interesting things that he said was that you should never feel sore. He's like, you should work out. You should build yourself up to the point where you never feel sore. It never push yourself past your limit should never be like, ah, never. It's like working out or training too. He was talking about training and talking about everything he was talking about. Just do more, do more of a day. Interesting. Yeah. He was saying that if you do like sets it like do a set at like here, here's a for instance, I'm taking it out of context.

Speaker 3:          00:11:43       This is example. Yeah. It was like if you did um, certain amount, I forget the numbers he was talking about, but if you did a certain amount of work, let's just to paraphrase, say if you do a 20 ups and do two sets of 20 chin ups, he like barely can get 20 and you're burnt out afterwards and your wrecked or instead of that you're doing 40 reps, right. Either way, do 40 of them throughout the day, but do it five reps at a time, but do the same amount of work. How would hold your stamina? It's a good question but the idea being, well I think it's a different thing, but the, the idea being like to get yourself into this position where you can train hard, especially with like physical fitness type stuff shouldn't break your body down totally. You should just give your body enough of a chance to fully recover and then build up.

Speaker 3:          00:12:29       I think we have to be a little careful with it because for us specialize in mixed martial arts where there so many disciplines, right? Where you can't go balls to the wall and strength condition. You can't just break yourself with wrestling. You can't just go hard and sworn. You have to kind of monitor those things and figure it out. So I think it's a little bit of bias thing. He's right. I think as far as it goes, as mixed martial arts, Loren Landow has been saying that forever cause I'd go super hard in the weight room. He's like, I'm telling you tonight you have wrestling, you'd be screwed, man. Got To figure this out. You've got to figure out this form with a man. That was a long time ago. Yeah. They think that doing weightlifting and lower reps more often is a way to do it.

Speaker 3:          00:13:04       Yes. It's fucking interesting man. But when you train for a fight, you're going to have to push yourself, right? If you're going to, there's going to be certain things like whether it's hill sprints or whatever it is. I mean, you're going to push yourself to the limit and I remember [inaudible] is Bisbing NGS. We had the same concept and trading with both of them are busy being, he would go so hard in practice. I kissed his, his, when he would warm up his repetition, striking, hitting Mitts, wrestling, Jujitsu, everything was super high and they come, this is where I get my card here from. I'm doing the actual sport of it. I'm not going to go run fucking sprints. Right. Just gonna do more wrestling rounds and GSP was very similar. You'd go super hard in that aspect. Yeah. GSP was a wizard with that stuff, man.

Speaker 3:          00:13:47       I mean, he was always at the cutting edge and it came to doing gymnastics member who was really into gymnastics with them, meaning Mark Hart and him would do it together. So interested in big ass. I'd watch them do all these flips, flops, iron man, let me try this bullshit. Fucking cartwheel. And they're like, very good man. It's good. You're getting better. You're better than fuck you guys. Does anybody your size do that stuff? It's gotta be some the biggest one in there for sure. And the rest were all eight year old girls who are just monsters. Nate and just pee. I should look like this big Shrek character in the gymnastics is probably like the sport that gets dudes the most jacked when you see like ring guys tiny though. Right? But there.

Speaker 3:          00:14:29       Well, do you ever seen a skinny midget, you're skinny, small person I've ever seen. Like a real thin, small person. Just how, sorry. Small Person. Uh, they're all jacked. Are they? No fat asses. They're all jagged bat houses, Bro. I don't think it's the same thing we're talking about here. I'm saying the smaller, I know they're small though. Third Jack. Like if like if Lebron got in gymnastics, he's not going to be Jack. Well what's the average size of a like an Olympic gymnast? Five three or the really tiny, tiny, stocky Jack Jack. But they've also been lifting like that since like four months old. All I was getting at, sorry, before your horrific, no, I correct this scale. Herbalist rant. Uh, do you know what a Buddhist is? The newest thing? No. What to say? If you make fun of someone who has a disability, you're able ablest including stupid people.

Speaker 3:          00:15:24       Tall gymnast is no oxymoron. Okay. The average height for adult male gymnast is around five four to five. Seven. Johnathan Horton is listed as five one five six five eight five. The tallest one is my height. Five, eight. I mean he's like the Dikembe Mutombo tall [inaudible]. Who's the tallest? This is like the tallest girl was like five. Two. Oh Jesus. So that makes sense. I mean, our stud, does it say gymnastics stunts growth? Is that really what they think? They start super young, said that bright pillow that there was an article. Does gymnastics stunt growth? Is that a real question? Whether it's done script, right. That's what I'm saying. Is that a real question? Let's see. Click it. Well, they say lifting young stunt your growth. Right? I heard that. But how do they know that they don't even listen? Why aren't you in fourth grade?

Speaker 3:          00:16:13       Why aren't you maybe you'd be fucking super giant if you did. I should have been fucking with the gymnastics. What does it say? Hold on a second. Stunts growth explained. Hmm. I don't remember tall. Maybe there's drawn to it. You know, maybe the short people are drawn to it. Makes Sense. Well for it's absolutely a myth says u s gymnastics scientific community is an entirely sure, but the idea that gymnast's would have grown to be a foot taller for they'd only hadn't spent the time on the parallel bars is absolutely a myth. The best in the world is four eight that's Simon Bio biles is four eight Simone, some girl bro. Simone, don't Miss Gender. Her friends call her assignments son talking about Sim sims four April essentially see that recovery. That's a crazy sport man. When like everything is like ready, set, go. It's all about doing it in one moment, right?

Speaker 3:          00:17:11       Someone says go, you know it's there and then you have to nail it and every a foot you have a routine is you've got to hit a cop at all. Came over, so over a little slip, all those bunts and you watched gymnastics. I'll watch a little bit. You won't watch World Cup. I watch World Cup. I'm just fucking with you. I'm just sent you understand. Look, if you, if I find out something you like, I'm going to start mocking it. That's how we do tell. We do, I'll tell me do, I'm just kind of make fun. If you can make fun of some shit that I like, man. I like a lot of dumb shit. You know how much dumb shit you did bring back fanny pack. So I brought them back strong. [inaudible] says, yeah, you're will get credit for you and cro cop though. Let's be real.

Speaker 3:          00:17:50       You got to give Kroger Europeans less courageous because they'd been doing it forever over there. But as far as you as, as far as the u s is me and Hulk Cogan no hope. Got Rid of a long time ago. Okay, well we, we cross bridges. He had it and I had at the same time, it's like a coke relaying. What did he let it Tom? Oh, years ago. Let it go. Know that sex date. Can we said fuck that. I bet he's still got one. No, no way. I bet he does. Back in the day at Gold's guys would have them, they'd be steroids in those. They would shoot up what? Their little bag? Yeah, he could buy it off of him. Look at that, the hot seat and have one there. That's pretty recent. Those four GTECH had a shitload of back surgeries, man. Yeah. No Shit.

Speaker 3:          00:18:32       Would you expect was going to happen the wrestling he is. I believe so. Ww eating. I heard that. Yeah. Probably for like Wrestlemania appearance or something. Yeah. Well that's amazing. And Chuck Liddell and Tito are fighting, so what else you got? What do you think of that? Not My cup of tea, but you know I used to watch it. I for sure. Well, to watch it, we'll watch campaign for it. There's some people say it shouldn't happen, right? No, I see. I don't think it shouldn't happen. I look at it more like if I see, I think if Chuck Liddell was still employee of the UFC getting paid $400,000 just to chill or whatever he was doing for the USC, he would not be fighting. I think it's more of a money play, which bums me out because I think chuck Liddell and Tito Ortiz, what they did for the sports should be compensated for the rest of their lives.

Speaker 3:          00:19:14       I you bumps me out. They have to fight to make money. That bumps me up. I don't know if Tito does so much cause he was very smart. Chuck, you know it, it seems like maybe that's the what's going on there, but, but he also has been saying, no, you got to wonder what, where this is coming from. But he has been saying that he misses it and it's the who was his favorite thing. I miss that. He misses it. Yeah, but it's different. Like if, if we're going to live forever, if we're going to live forever, I would say, yeah, definitely don't do it because you're just going to keep damaging yourself if you're not going to live forever.

Speaker 3:          00:19:50       He's 48 so let's say we're going to live to a hundred let's say chuck lives a hundred homes. He's halfways and being friendly right now. Let's say he's going to live to a hundred never know. Athletes don't let us in brother. Oh, I have another one. Am I? I'm 35 30 solid years left to be. So let's say chuck is going to Madison's Sun Science. I knew shit. I'm big though. Great hands. Great Danes Bro. So let's say he lives to a hundred he's basically halfway there. Dude, at the halfway mark fighting. It's just, it can't be healthy man. Like imagine me in 50 fighting Joe. And you're the exception, you know, like you're in phenomenal shape it. Yeah, but I don't want to get hit. You don't get hit in the face. It's not going to be pretty. Not In the head. Especially if you had all those years of, listen, I'm not hating on it. There's a market for it. Do your thing. I took, like I said, to me it's more of a sad story. I think they should be compensated or like I want them to parlay their careers like a Michael Stray Han or Kobe Bryant, you know, where through legends and

Speaker 2:          00:20:48       then they move on to do great things. I agree. But I also, if they wanted to compete, it was because they wanted to compete. I wonder where it makes sense to tell them they can't or they shouldn't because if they want to do it, if they both want to do it, like if they had money and they're like, oh, so what is it about? Is it the motivation that bothers me? Like what is it about a fight like that is the fee. I think it's the motivation. Yeah. I cringe a little bit right half a little bit because see, I think Tito did better financially. You know? I think Tito is fine. He did really well in Bella Torah. He might actually want this fight just to fight chuck again. I think so. I think Tito Tito's a different trajectory. Correct? Yeah. I mean he's been fighting and doing well any last few years, you know?

Speaker 2:          00:21:40       Yeah. He's, he's still a formidable guy. Yeah. He's a beast to those. A big fella. Yeah. Both. Great guys. Now, I will say this, everyone who's fighting in these older leagues or if they, if golden boy, if that's your thing to do like these, this master league, every one fight in that league, better pray to the MMA. God's view Bell Balfour. It does not enter that fucking thing. Juice to the gills. Yes, you better. She's amazing. Fantastic. So happy with, we'll, we'll kick the fuck out of all those old dudes at the same time. He really, well dude, I was looking at his Instagram the other day. I was like, oh my God. Yeah, there's something happens to veto or when he fills up with super unleaded dude, it's like he a butter and Jelly. He's a different and doing roids bro. Like some people don't, don't, don't do well with Roy to get all red and shit.

Speaker 2:          00:22:27       He looks great. His skin vibrant is tits or popping. He's all tans teeth get wider. He's doing straight testosterone. He's not mean when he was on, see, think about this, right? We know for sure. We all know absolutely 100% that people have cheated and taking steroids and got away with it. We know that. I know you know that especially in fighting, especially when the weigh ins where the only day you had a pee and there was no randoms, they didn't just come by. We know for a fact, but when you watch someone who's just doing testosterone and what else is doing with a tumor growth hormone and plead fucking gigantic now. I love that. I love it too. But what you get there, it's a different thing. Like for Vituro like something happens with him. Like when you, when they allowed him to take it, like during the Rockhold fight, Bisping fight dude, his body ate it up.

Speaker 2:          00:23:21       But that's it. It's a kind of a different thing because you're, it's like it's above board. Right. Let me let them do it so he doesn't feel guilty about it. You feel me? Cause he still, he's finding a way where it's still legal. Yeah. When he was doing it, yeah, he was doing it legally. It was doing it leaving. He got permission from the UFC to do it. Yeah. The commission. So it as much you want to say if you go back before he did it like a, you see when he sexy Yama. Yes. Dude. His, his body didn't look nothing like that. It looked like a welterweight. Right? And everyone wants to go. A lot of people go, oh, he did steroids with whatever sports. Sammy Sosa, Mark McGuire, Barry Bonds. You take steroids. Try hitting those fucking homeruns. Everyone was doing it in fighting. A lot of people were doing, I'm, I can say names if so when Jon Jones tested hot against DC, right?

Speaker 2:          00:24:09       Whatever he does hot for. If DC was doing the same stuff, would he have beat John? The answer's no. What was a very close fight up until that head kick, right? It was a good fight. You don't, you really never know what could have happened. I'm just saying about high level fighting. Right? Correct. However, but however that's what happens. We have to judge it based on that. If they are taking the same stuff, whatever you want to say, John took. But if DC was saying, do you think the outcome would've been any different? My answer's no. If they were taking the same stuff. I see the John Thing, we've gone over this, but we probably should go over this again. If anybody doesn't know the actual, the numbers, he tested negative, then he tested positive for a minuscule amount, was really small and then he tested negative again.

Speaker 2:          00:24:52       So whatever happened happened in a very short window and it was incredibly small amount of whatever that stuff was. Some call it micro dosing. Yeah. It could be that. Maybe we don't, we don't know really. Yeah. The thing about it is that stuff is supposed to stay in your system for a long time. It would be a stupid thing to take because supposedly it's in your system for weeks, but we don't, we don't. Yeah. And also the micro dosing Shit is real folks. That's real. I mean that's what they were doing in baseball. They were taking testosterone, gummy bears and they would only last like three or four hours and decided we arrived, belies it today. Or I would eat them during the game. Yeah. Yeah. And then by the time the game was over, it's out of the system. Yeah. And baseball with that was the testing baseball players was that dumb as shit, but it was one of those weird American things like everybody's [inaudible] but if we had the Russians attitude about this, just be cool man.

Speaker 2:          00:25:48       If, I mean, what is it like, like how do the Russians feel about like that documentary Icarus where that guy came on and claim that all the Russian athletes were on steroids. They don't get to dress like, yeah, no shit buddy. Anyways, whatever. Let it go over it. Get over it man. Kill a few whistleblowers over here. Don't mind us. Come over here. Let me know how it works out for you. Yeah, yeah. Um, but wonder, but that's the stuff was steroids. I think we put too much, we almost put too much emphasis on the steroids. They don't get wrong and get fucking helps and helps a lot of guys. But if, if everyone was on the same thing, John Jones is still be the grace all time. He'd still on being defeated. Brock Lesnar. It's still be Brock Lesnar. I think Kane would still be canes. They'd still be it. I think everything would be the exact same. I gotta I gotta be serious here, man. I think you're right. If everybody was on, the results would be the same if everybody was on. The problem is like some people like the tour, just, it just, his body

Speaker 3:          00:26:44       loves it. He's made for his body's made for TRT replacement. It's crazy. Yeah. So I mean, you know, good luck. Good luck. Good luck. Do that. Now that he's in the wild west of Brazil and he's looking for stuff on his Instagram, we talked on his Instagram, he finds his fan and you're like, how long have you been a fan? He's all begin and Brown. If you want to see me fighting, those gets goes, let's do it. Like gives them a wink. I'm like, yeah, who's going to sign up to fight that fucking monster? But here's the thing. How does he get out of his contract? Does UFC still have them under contract or did he retire? He retired, but that, but just because you retired and I know, cause I retired. Your contract isn't void. It's frozen. They're very smart, but it's veto. Balfour.

Speaker 3:          00:27:27       I highly doubt all he's done for the UFC. I guarantee you can talk to let them go. I would let them go out. Assume yeah, that would be nice if they did. The scary thing about chuck is Dana, who's obviously very close with chuck for a long time. I don't know if they're so close anymore. Dana, this is Dana gone. She says, I don't think he should be fighting like I don't want to see him fight again. I sure as fuck went limp fight here. I hope he stopped and went on close to the situation. So then I'm like, Oh God, but he's going to do what he's gonna do. Chuck versus Vituro was one of the first fights I ever called completed his contract with the UFC last month and a lost Liotta Machita but it doesn't mean he's retiring. The phenom took to social media to hint a return as fans who they would like to see him fight next.

Speaker 3:          00:28:10       Always. He's good then. That's usual free tour though. His choices were a bit curious. Who is he asking a fight? Vandelay. He asked the fan, so he said [inaudible] Chuck, Tito, Bisbing or handle? Well, hand on business, not happening. Truck t door. Manderly you're telling me you wouldn't watch fan ugly Vitorin I would go for that. I would watch that. What if, so imagine of Tito and chuck fight and chuck wins. Chuck wants to fight again. He wants to fight Vituro again. Pete v tour in UFC 37 and a half and now it's like we're back to the future. Yeah. Text. Chuck might please don't fight via tour. He's a fucking I fee. I feel like it's different with, but wait a minute, we don't know. Chuck was clean. How about get chuck on the super soft, the ultimum iceman sets truck in a round 48 years old sound.

Speaker 3:          00:29:02       You can't be eating mangoes and dates and fucking almond butter and think you're going to compete with a sauce Dot v tour. I didn't think of that. Come on golden boy. Yeah, you get that fucking, yeah. You can't fuck with any legitimate organizations. All these with all these organizations that want to sneak up on you in the middle of the night and test your key now plan, come on golden stairs. Take a break. How about, how about, uh, there's guys like Josh Barnett and even Leo. Leo said, this goes with signed with the UFC because of you sada enough. See they've all been busted previously so that they have a little different. You have an agreement with them, but they're saying, listen. Well Josh Barnett was not bust by right.

Speaker 2:          00:29:41       They came out. He never took anything. We lost a year of his career. Yeah. I don't understand the Josh Barnett case. I'd like to have him explain it cause it sounds like what I've read sounds like he got fucked. No, he did tell me what you know, they admit it. They know for a fact he did not write like they came out that same thing. Like they've had other guys, right? Like the, the, the dirty bird. What's his name? Tim means he means they came out that are bad over the counter or something. Yeah. It's all good. Right. It took like some protein powder that was slightly contaminated and that came out as true and with Josh Barnett, it took a year to figure this out and then they go my bad bro. Yeah, yeah. I know he missed a year. And in your, you know, older fighter, it's a year of not getting paid.

Speaker 2:          00:30:23       My Bat, you're back, you're welcome back now and Barnett's gone fuck this man. I'm out. Is that really what they did? I promise you that's what they did. See, that seems to me to be a case where you've made an error that should be, you should compensate that fight. That's what I'm saying. He should be fully compensated that he should have went force a guy. If you made the mistake, that's that's like a, I mean I'm not a business person, but if I was a business person I'd be like, well this is a clear case of someone owing someone money because you fucked up. But what, what the you saw, I was going to say it was an investigation took us that long to figure it to get to the bottom of it. That's the process. But they were wrong. Right. So if they were wrong, so all their investigation stuff they did that took so long to get to the bottom of you accused the guy who's innocent, right?

Speaker 2:          00:31:10       Yeah. But see they say potentially flagged for PDS, right? They don't say what you're flagged for and then it goes into investigation, but they're not, they don't say he was, he suspended, he taught test pilots for this. They say potentially flagged and there's an investigation then took a year to figure that out. I think that they, the, you sought a like, especially, uh, under the whatever guidelines that they had coming in here had a lot to work with. Right. There's a lot of fighters. You got to figure out who's he got to test this one more tonight. I mean, it must be crazy, but it must be a nightmare. I'm not saying it's an easy job. I, I, I think it's too much a very hard job and I'm thinking it's too much to this 500 fighters on roster, but with a legend like Josh Barnett, he deserves respect.

Speaker 2:          00:31:58       That's the youngest ever heavyweight champion. Agreed. Joanie's. He's one of my favorite fighters and he's probably one of the smartest maneuver. Grace the octagon. He's such a smart, very smart. I love Judge Brennan. However, if you're Novitsky and you look at the history of Josh Barnett, there's a reason to have skeptical golden snitch eyes on him because he's tested positive previously. Right. That's what's going on. See what you're saying. You know what I'm saying? Like if you have a track record, like I'm going to test over him a tad more Vittorio, tad more than steeple. You DC, like I just look at DC, be like, no, you're good dude. You're fucking super unleaded. DC. DC's 40 years old son, DC's 40 years old on the Nash, which is some powerful fucking genetics. Just to get him on that super sauce kid, Bro. Get them on that v Tour Shit that gives you veins in your teeth. [inaudible]

Speaker 2:          00:32:49       phase in your ears. Got here, dude, killer dude. When he was, there was a time when [inaudible] was a, there were had to face off with him and Rockhold and you look at Vitara like how he was when he was doing the Mohawk to get a sting ray hanging off the back of his neck like a fucking sting ray with back then. His traps were like, they look so scary, dude. And this is even at the Wayans man. This was when, the way is where the real way in, which I called told me, he goes, you looked right at him. He's like, what the fuck is this? But just one straw coming out of the eyeballs. Just fucking tears of wind strong. It was just testosterone. It was just whatever they let her take was on other things too. Oh my God. I don't know what he was on.

Speaker 2:          00:33:29       It's hard to tell from that picture cause he's an actual one 85 right there. Oh my favorite fighters deflated. It's amazing the difference between some guys like when they weigh in, like Joelle, when he weighs in at one 85 he's still looks super ridiculous. Uber jacked at one 85 you can't believe he only weighs one 85 and he gets a note scale, but then he fucking, he mean he just puts all that meat back on your boy, your boy a Whitaker was like that mother fuckers. Yeah. Here's interview is like, [inaudible] said it was magic. He's like, it's magic. See that man. Go from that to that. And he goes, I honestly find them before and he's aging and this time he was even harder. He's like, something's up their son. Yeah. Um, here's the thing. Maybe, but you know what else may be may be crazy.

Speaker 2:          00:34:17       Cuban genetics. I think that shit would be crazy. There's young genetics, but how much more impressive whether whatever it is on, let's say is on something where it could beat him twice. Yeah. There should not be a third fight. I don't think this decision was just in the second fight. Now you're crazy. I think there should have been 10 eights. No, I think I did. The new rules I think should've been a draw that I don't think you all won that fight. If any. If you're going to give you all a ten eight then that's a draw or draw them and I don't think they give drawls out enough. I will draw them, find her because then they're forced to have that trust in him saying that I'm fine with. I didn't think that a decision. I thought like there's too many moments in the fight where Yo el hurt Whitaker like really hurt.

Speaker 2:          00:34:58       There was no moments in the fight where Widdick really hurt you. Well like really hurt him. Like had them in deep trouble. There was one that head kick the wobbling a little bit [inaudible] the head cake was when Dow, I don't think that even fucking did much it why would his legs a tad bit. But if you go round by round, watch that fight a bunch. I think I was a good, that was like he landed with the foot right [inaudible] face top of the head. But also like you go round by round. I just stylistically, I had Whitaker winning three, two and I, let's say I gave you out when he fucked him up that there was a fourth, a fifth in that I think it was both rounds. You have him in trouble. I gave one to 10 90 you all and then if you give a ten eight youth, it would still be a draw.

Speaker 2:          00:35:38       Right? Which I'm fine with, which makes more sense to me. People have a hard time with decisions when the guy at the end of the fight is fucking the guy up. Now obviously this is coming from someone who's a professional commentator, so I understand this is a ridiculous argument, but the ridiculous argument is if we're going to judge what a fighter is, we all know if you're watching a fight fight, right? If you and I are in a fight and you're on top of me beating the shit out of me in the last few seconds when the cops come in, that doesn't matter if I, if I've ran around this room and kicked your legs for the first two minutes and then you got on top of me and we're beating the fuck out of me for the last 20 seconds when the cops can talk in prison rules, you won the fight.

