Speaker 1:          00:00:04       Five, three, two, one go.
Speaker 2:          00:06:12       You don't have to make an appointment. You don't have to park no. That nonsense. You could do 99% of all that stuff at legal, zoom.com legal zoom.com. Make sure you enter the code word Rogan in the referral box at checkout and save yourself some cash. All right. Without further ado, uh, I try to keep these things in the minimum. Ladies and gentlemen, I know people say to really get you fucking commercials takes so much time. They don't necessarily have to take so much time. They take time only because I bullshit during the commercials and also because I really do try to only have things on the podcast that we use. Legal Zoom was used by us to start on it. The death squad. Dot. TV legals. You zoom was used by Brian to start that. Um, I only bring things on the podcast as a sponsor that I use legal zoom to get dolce diet renders the years ago. Legal Zone. You fucks. Come on now. All right. That's it. Boom. Schelok lock. Boom. Cuban music experience.

Speaker 2:          00:07:20       Fitness Guru to the stars. Mike Dolce my friends. What's up? Good to see you brother coming back here. Cheers to you. Thanks John. Thanks for coming on man. We got a lot of questions. Got a lot of questions. Die Questions, nature box questions. Granola, keen Bois chocolate please, please do good. There we go. It's Yummy. Tell you that it's Yummy as fuck. You don't have to check that out. But I want to talk to you about, um, a lot of people who don't understand mixed martial arts, uh, or, or maybe they're casual fans. They don't know that there's a lot going on in a MMA and one of the things that's going on besides the fact that it's a very dangerous, very, uh, it's a highly charged sport with a lot on the line for the competitors. But one of the things that's on the line that a lot of people aren't aware of is a thing that we call weight cutting.

Speaker 2:          00:08:10       And so I can feel people in that may just not know much about MMA. If a fighter is going to fight at, say, 145 pounds, that's one of our weight classes. Um, they probably don't really weigh 145 pounds. It's very rare that you get a guy like Frankie Edgar who was the lightweight champion who lightweight in the UFC as 155 pounds. That's what he actually used to way he was in Rio. He was really fit and uh, he walked around at one 55. He didn't cut any weight to uh, to weigh in for the weight class and it was always smaller than almost anyone in his division. He still won and beat some of the best guys in the planet just cause he's really tough and very highly skilled. But that's the rarity. The only division where that doesn't take place is in the heavyweight division, which guys don't have to cut any weight at all.

Speaker 2:          00:08:56       Generally speaking. There was a few exceptions. Like Tim Sylvia in his hay day used to be a little bit bigger or Brock Lesnar might've caught a little or a Alistair Overeem when he first fought in the UFC. Cut a little. But for the most part, those guys get to eat whatever the fuck they want for everybody else. There's essentially, there's two different events going on. There's the event where there's a fight where you're training to compete against the best mixed martial arts fighters in the world. But then there's also the way in and the way in is an event in and of itself is a huge thing because you get guys like a perfect example of extreme examples is glace and t bow. I don't think glycines missed weight. Has He ever missed way? Not that I know of. You figured out a way to do it. They get it done, but in is fucking enormous. He fights at one 55 I weigh in the high one nineties and he's bigger than me, so I don't know how the fuck he does it. I really don't know how the guy does. It suffers. He suffers and he gets down to one 55 for a very brief window of time and then rehydrates the shit out of himself.

Speaker 3:          00:09:57       Yeah, and that's the goal. Ultimately what we're trying to do is trying to be on wait for the shortest time possible to minimize the ill effects of being at that weight. Guy Like Nick Lynch, one 45 pound, you're brought up 40 fives so nick lens, he does most of his training camp around one 75 now. Whoa, that's so crazy. Massive and we want to touch down at 45 and be there for really under an hour. I want my athletes still kind of dripping that last sweat when they step on the scale so they can just graze the contract weight and immediately we hydrate them right back up again. And when you say nick lense walks around at 175 pounds for folks that are listening to this, you're like, oh, he gets fat. No, he does not know at 10% body fat. Okay. That is so crazy. How is it possible that a guy can be one 75 at 10% body fat, by the way, I'm a fat fuck.

Speaker 3:          00:10:43       I'm about 17% body fat. Okay, look leaner than that. I don't know. I'm maybe a little self deprecating. Maybe 15 that's be nice. Say I'm 15% body fat. So this guy has 5% less body fat than me and he's going to cut 30 fucking pounds. Yeah. How does a guy do that? It's through the multistage process. So when I back up, when I talk to an athlete or when I talk about weight cutting, I say number one, it's not the best case scenario. Wait, come. Weight cutting is something that unfortunately has to be done by a lot of athletes in order to minimize advantage as opposed to gaining an advantage. But the weight cut should start 52 weeks before competition, which means it should be a lifestyle. These athletes, and this is what they need to understand and hopefully we can spread this message, is they need to be training and living and eating and breathing like professional athletes 365 days out of the year so they can minimize the downside of the weight cutting practice.

Speaker 3:          00:11:36       They need to be eating the proper foods training intelligently, resting completely so their body's able to endure the grueling practice of cutting weight. So with Nick Lens, he's fresh in the mind right now is just with him in Connecticut last week he made weight one 46 Charles Allavara his opponent, he weight by four pounds, which was absolutely ridiculous. Unprofessional. But there's a saying and that, you know, the first fight is with the scale. So the athletes, when they get to, you know, the, the, the fight week or when they get the, the, the location, they're focused on the scale. They don't even think about the fight for the most part. Is that a good thing? Does it keep them from getting distracted about the fight? That's, yeah, and that's actually a, uh, one in the positive benefits of it is that they're not focused on the fight. They're not burning, you know, all that nervous energy thinking about the fight. But that sets in pretty quick. As soon as they step off the scale and they have that first face off, in that case, maybe every fighter should have just a really fucking crazy girlfriend, right.

Speaker 2:          00:12:30       The vans all their time and the only hook up with, or the week of the fight so that she just demands all your, you know, your all you fucking care about is what you eat. You don't even care about me. I'm not even the most important thing to you and just have like the most crazy narcissistic, psychotic relationship when the girls should have ridiculous guys. Wanna check your phone, check your phone. Who's fucking touched in you? You're fucking trainers. Too little too comfortable with you. That actually happens. I'm sure it does. I'm sure it does. And for men and for women right now that we have a lot of women in the UFC, I bet it happens for them more. Sure. I bet guys are more psycho with their popular star women girlfriends, those fucking weird guys that are in the background that aren't famous and they have famous girlfriends. Ill mean muggin all the coaches, partners, all the reporters, three free press each and every one of them. Not really. I don't do whatever you want to do. Okay. But the point is that this is a, this is a genuine issue and it's a genuine physical issue as well as a genuine

Speaker 3:          00:13:31       logical issue. Yeah. And the amazing training camp, eight week, 12 week training camp can be blown during fight week or the 24 40 hours, 48 hours before they step in the octagon or you know, in the competition because they blew their weight cut. And then even if they do make weight, typically most athletes, a large majority, even at the high level, they blow their rehydration, they step on weight. They think, oh my God, I made it. And they grab a sandwich from the Deli or they go and get, you know, Pasta Fettuccini Alfredo from the local Italian restaurant and they eat food that they haven't eaten in weeks or months before. They totally screw up their digestive system. Body goes to shit and they, you know, they're a shadow of their former selves.

Speaker 2:          00:14:08       Well, I know Chris Leben talked pretty openly about how he did that and one of his weight cuts, he ate a bunch of gummy bears. Yeah. And he went into shock, like his body literally like went into like some sort of a sugar shock because he just couldn't help himself.

Speaker 3:          00:14:21       Yeah. I live in, I've known Levinson's Oh four when I started working up at team quest in Oregon. So I was his coach for a long time, work with them for a few fights, not many of the fights recently. The Vandelay Silva fight was the most recent fight I worked with them. That was when it was most spectacular victories of all time. It was, and that's when he was so motivated. And that's the Chris I would have loved to have seen in all of his fights because he was lean, he was sharp, he was ready, he was confident. He chased away a lot of the demons and a quick leaving story. So we backup to a fight. Previous years before that, and I had lost contact with him, hadn't seen him in awhile and I'd see him, I'm with another athlete in the casino. I see Lieben and he's, you know, he's partying and this is right before the fight. I'm like, Bro, how many hours before the flight? That's like the day before. So he's drinking and he's, well, he, he's, he's reeking of it, you know, I, yeah, I partying and whatever, whatever, you know you're going to fight. God, I don't know. Hopefully by the end of the show I'll remember who it was and I think he actually won the fight, which is insane. I mean, I've got multiple leaving stories, but I was like, Chris, what are you doing? And he's like, dolce sometimes he's just got a dance with the girl you came with.

Speaker 3:          00:15:31       And I was like, motherfucker. All right. All right Chris. You know, high five, good luck. And I'm pretty positive he did go out there and win that fight. Oh,

Speaker 2:          00:15:38       I would imagine he did. He's a wild motherfucker for real. That's a, that's a great quote from leaving because that is literally how he got there. He got there being a wild man.

Speaker 3:          00:15:46       It's exactly what gave him his edge and what got them to the top. Yeah. Yeah. Is this a weird, yeah.

Speaker 2:          00:15:50       Maturing process, isn't it? For some fighters where they got into fighting because there were so wild and reckless and somewhere along the line they have to be cautious and calculated. They have to really think of themselves as pro athletes. And I say that not just about their training and diet, but also about their approach to fighting itself. You know, I think I'm a huge Forrest Griffin fan. I love forest it just as a person and I'm a huge fan of his as a fighter. But I think that one of the best and worst things that ever happened to him was that fight. With that. Like I would say it's one of the greatest, most important fights in MMA, but the fight with Stephan Bonner in the finals of the ultimate fighter the first season, which was such a crazy fight, people don't realize how bananas this situation was.

Speaker 2:          00:16:36       Spike TV was a new network. It was like some fucking country music channel or something before that, right? It, wasn't it the country station or some shit and it became spike, which was like a the the guys channel and then they put on this thing, the ultimate fighter and then, you know, people watched it. It was a good show. But in the finals, Stephan Bonner and Forrest Griffin went on it one and it's so hard that the ratings went through the roof. Like they can monitor the ratings while the fights going on. And it went from, you know, like a million people watching it when first started to like 10 million people at its peak, which is insane, which they can track is directly related to people calling each other up and go and dude, you got to fucking see this turn on channel two 48 these motherfuckers are throwing down.

Speaker 2:          00:17:23       And then people started calling each other and then the see through the fight as the, it was a while fives because you got two guys who knew each other super well trained together for, you know, the six weeks they were in the house and then went to war. And they were so evenly matched that it was, there was no winner in that fight at the end. Forrest Griffin one, he got the decision, but it was so close that we, we actually talked about it inside the cage. I said, why don't you give you the both these guys a fucking contract? And they would, and they talked about it and Lorenzo and Dan like, let's get both these guys a fucking contract. And then boom, they both got this, this big six figure contract with the UFC. But that kind of style was so rewarded that it became how Stephan Bonner fought.

Speaker 2:          00:18:06       Sure. And I think he's, he's, you know, he's still kind of fights like that. Um, but as Forrest Griffin, I think that it turned out to be his downfall in a lot of ways. Like this face for charging aggressive style. And that's how he lost to Keith Jardeen. And that's, you know, I believe like the more strategic Forrest Griffin was the one who beat Shogun. Yeah. You know, he, he made some calculations, he made some adjust adjustments in his career, but that, that style that he like, he learned how to be this wild reckless motherfucker because that was so rewarding.

Speaker 3:          00:18:40       Exactly. Now, yeah. And it's hard for an athlete sometimes to change their natural instinct, I think. And you see that in the gym where an athlete, either they're very tentative and calculating when they first get into the gym and they kind of have to bring out that monster a little bit, learn to be a finisher and they tend to look a little bit boring and maybe like an underachiever where you get a guy like forest or leaving that goes out there and they just go balls to the wall throwing big shots and sometimes they get knocked out and sometimes they get their hand raised and the, you have to walk that fine line and you know, unfortunately they're playing with their brains, you know, they're putting all of their going all in, you know, every, every fight they're going all in and they don't know how they're going to walk out of it. Um, so it's really interesting. It's interesting to see how far the sport's evolved. I mean, every couple of years is sport evolves to a brand new level. You see these young kids coming in now that are better equipped and better skilled than the champions of 10 years ago. Glenn, they're not even contenders. Yeah. They're not even outside the top 20. Right? Yeah.

Speaker 2:          00:19:38       Yeah. There's guys that are just coming up that are 21 years old that have a better skillset than world champions of 10 years ago. Yeah. It's amazing. Insanity. It is amazing. Um, one of the issues when it comes to weight cutting and rehydration or dehydration rather is head trauma. Yeah. And it's one of the reasons why rehydrating with an IV is so critical because if you look at boxing, the majority of the instances of men suffering, uh, in fight brain damage, Gerald Mcclellan, Duk Koo, Kim, like there's a lot of these cases in almost all of them involves someone weight cutting. Yup. And because of that boxing and now MMA has adjusted schedule where the fighters way in the day before where they used to weigh in the day of the match, old school boxing matches, you would see them way in the day of the match, they, and they would still cut weight and then they would try to rehydrate and they didn't know what the fuck they were doing back then.

Speaker 2:          00:20:33       And guys had dry brains. I mean, literally. Yep. And because of that, made them more susceptible to cerebral hemorrhages and brain damage and all sorts of different things. Uh, very few heavyweight fighters suffered from brain in, in an actual fight. It was usually, you know, years and years of repeated head trauma that got them, but not like one event, like a general McClellan event. Sure. And, uh, for folks who don't know, Gerald McClellan was, he was one of the great light heavyweights of, uh, while he was a, he was a light heavyweight and he was a super middleweight as well. It was, um, and he was one of the guys who was eventually gonna fight. Roy Jones Jr fought Nigel Benn in, uh, you know, an epic contest had been really badly hurt. They collided heads, uh, and he was all fucked up and he went back to his corner and he took a knee and wound up bowing out of the fight and then immediately went into a coma.

Speaker 2:          00:21:30       And, uh, had some horrible, horrible brain injuries because of that. And that was a fight that, uh, changed a lot of people's ideas about a weight cutting and about the dangers of head trauma. Because before that fight, Gerald Mcclellan was taught to be like an invincible destroyer. I mean, people had seen him, he was just knocking everybody out. He was one of the crunk stars, Cronk boxing being a manual Stuart's team that produced Tommy Hearns. And you know, so many great, great fighters came out of that gym and they all were just assassins. And he was one of the best. Gerald McClellan was a fucking vicious, vicious killer. And, uh, everybody had to wash that. And, uh, you know, and he's still alive to this day. He's blind and he's all fucked up and sad shit directly related to dehydration,

Speaker 3:          00:22:16       right? Yeah. Hydration. I would say so. I mean, it certainly contributed, right? It, it assisted in the, uh, the damage and that's something that I pound, you know, my, my soapbox when I talk to athletes when I talked to anybody is about help you gotta be healthy. If you're not healthy, you can't perform. You can't compete. If your body is healthy, then you can do absolutely anything. It'll do anything you ask of it. If you maintain its health for a long period of time, not just fight week, not just start eating organic and green fight week. When you start cutting weight or two or three weeks beforehand, it has to be before training camp even starts. You have to be eating a lot of food, the proper food at the right times consistently get your body weight down to a, you know, a, your body mass down to a solid ratio. Somewhere around that 10% range. If you're a male mixed martial arts for females, anywhere between 18 20%, let's say

Speaker 2:          00:23:05       dip below 10% is that dangerous?

Speaker 3:          00:23:07       It's not, but that's really for competition time because like with, with lance and all my, all my male athletes, I try and keep them right around 10% the bigger guys, maybe we get a little closer to the 12% the littler guys, a leaner guys maybe you know between eight and 10 but right around 10 is the sweet spot. So we keep them around 10 that means they have weight to work off because they need that for the first few phases. When I work with training camps and such, we break the training camp down in the multiple three week phases so we can actually go through the proper training protocols and then peak towards the very end. So we can deal with the rigors of the training, the bumps, the bruises, the bangs of slams. We have the extra body fat to kind of insulate us so we can keep our joints and ligaments strong and pliable.

Speaker 4:          00:23:46       Um, so body extra body fat actually does that. It does, absolutely it does. It's just another layer of insulation when you're constantly grinding on guys and being, you know, wrenched against the wall and picked up and slammed, you know, 50 times because you're drilling, whatever move you need, that little bit of insulation, the leaner you get, the dryer your joints get, the more susceptible to injury you become. So is that a scientific fact, like your joints get dryer when you're leaner, when you're leaner? Absolutely. Huh. How does that work? I mean, is there a fat in between your joints? I'm not gonna I don't think I can speak intelligently enough to break down the true science of it, but it's something that certainly remains a, I know when I was a power lifter we would increase our body fat in order to increase the leverage points within our joints.

Speaker 4:          00:24:28       So you can have, um, you know, when I was a a power lift out and intentionally increase my body fat to like, you know, 15, 18% and my numbers would absolutely go through the roof. I would get less joint pain, less injuries. So call it, you know, bro Science, if some people like to throw that term around there, but you just feel better, feel stronger and the leaner you get specifically when you start heading into the peaking phase, which is now mild dehydration, as we get closer to fight week sets in, the entire body becomes drier. So there's less, less tricity within the muscles. You're more susceptible to those, um, injuries, overuse injuries and such. Bro, science is a very tricky word, right? It's, yeah, absolutely. It's fucking, it's, it's very limiting. Like they hit you with that bro Science and they gotcha as if it's an accusation, but I don't, it's almost a, it means experience unless you're just throwing shit at the wall.

Speaker 4:          00:25:20       But there's a lot of throwing shit at the wall too. I think more, more than the experience. You know, there's certain like things that you would say maybe would be bro Science that turned out to be like legit, like, um, things along the line. It's like we want to talk about experience, things like ancient training methods that have turned out to be the right way to do it. Like all those old school rocky methods and everyone rocky was training in Siberia and he was running through the snow and dragging logs. A lot of times people would, if it wasn't for all the data that we have now, people would consider that kind of bro Science cause that's like, you know, oh you don't fucking have to chop logs. You'd dummy. Actually, it's a really good way to exercise. So literally, you know, but for the longest time most people thought no, you had to use a nautilus machine and you had a fucking do everything.

Speaker 4:          00:26:05       Dre Go with the fucking heart monitors and all that stuff. That computers hooked up to him. But Bro, science is a nice way. They can shut you down and make you look stupid. I know. It's fucking pisses me off because I get this shit all the time. You know, everyone's always growling. You're a bro. I'm a bro. And even a bro, like you could call someone a bro and you limit there any, anything that they have to say? Anything they have to say about culture or anything they have to say about society? Any opinions, any thoughts, any philosophies they might have. You're a bro Bro. And that's, I will wear that proudly, but it's, we're evidence based so we can say evidence-based Bro Science that, you know, don't do anything unless

Speaker 5:          00:26:44       it's been proven. If we have a concept or an idea. And I, you know, obviously in my office I have a team that works with me, so it's not just me and the black and gold shirt running around. I have a team, I've, you know, employees that have um, degrees, masters in exercise physiology. I've registered dieticians on staff, so it's a complete team within the dolce diet that puts this information out there and looks after the athletes. So it's not just me running around with my stop watching my clipboard handed people bottles of water. So it truly is a scientific process, but it's also based upon the experience. And I've been doing this for 25 years, you know, since shit 93 professionally getting paid to do this. And I have tremendous amounts of data. I have almost all the data I've ever had collected on athletes and students and clients that I've worked with.

Speaker 2:          00:27:28       Anecdotal data as well. Athletes telling you how good they feel good after, what did they, it makes them feel bad.

Speaker 5:          00:27:34       Yep. What did they eat today? What did they waited? They were their bowel movements. What was the training systems like? When did they get sick? What's your sense of humor like? I mean I speak with the wives. I speak with the husbands, I speak with the coaches. I speak with the training partners. I know everything about the athlete, the time they wake up, the time they have that bowel movement, all the way through the day. I know the intensity of the training and of the volume and the training under the amount of rounds that they put in. I know there, you know, caloric breakdown. I know their lean mass ratios. Oftentimes I know what their blood work looks like. We have a lot of data and based upon this data is how we come up with our methodology and how we continue to evolve. Because every time, I mean it's like every week you see me at the UFC is quite often, well that's not just, I'm not sure throwing shit at the wall.

Speaker 5:          00:28:14       I'm taking what I did on Friday, Saturday of that weekend. On Sunday, I'm looking at the numbers and I'm retooling it because Monday I'm going to another fight week somewhere and we're continuing to evolve this process as we move forward. So we, it, it's, it's evidence based scientific principles that's also battle tested and proven viable with experience because there's a lot of science out there that, you know, the, the guys in the suits in the lab coats, they're going to point to and say that's the way they do it. But they've never actually done it in the human element. They've never actually seen it work. They just sit in the classroom and they talk about it and they pontificate on it. But it's never truly been proven in the real world. And that's what we do also. So we have the benefit of that. Plus we have the benefit of all the scientific evidence. That's that that's out there also. And that's kind of what we wrote roll into this also

Speaker 2:          00:29:01       makes and MMA are so much higher than the stakes in any other sport when it comes to proven concepts in the real world in quotes, because the real world and MMA you're, you're fucking consciousness is on the line. Your health isn't the line. Your body is getting get hit by things that would ordinarily, like if you were in uh, any sort of a real life situation and someone kicked you in the head, that person would go to jail. Meanwhile, in this scenario they're rewarded for being able to kick you in the head. They got a bonus, they get a fucking bed jet bonus. Yeah, they get a k o the night when that's its performance of the night now. But um, do you think, and this is a really touchy subject, but I think it's an important one to bring up. Do you think that a lot our ideas about what's physically possible when it comes to training and when it comes to fighting are distorted because of performance enhancing drugs?

Speaker 2:          00:29:51       Absolutely. Absolutely. I think performance enhancing drugs, drugs have set the bar in all sports, in, in a culture, whether it's looking at the movies, looking at the magazine, cover, track and field track and field everywhere. Golf, Nascar, anywhere you look that there's money on the line where you get rewarded for performance. There's some sort of ancillary, you know, good or you know, commodity being used or purchased or consumed to improve your performance specific. It's very evident in the world of mixed martial arts because these guys and girls are getting punched and kicked in the head in there losing consciousness and they're breaking bones and getting limbs torn off. So now you have these advanced superhumans out. They're able to, you know, rip joints and, and punch brains and do all these other things. So it, it does, I think the odds are much greater, you know, for the risk is certainly much greater for anybody who competes.

Speaker 2:          00:30:46       Yeah. That's where I took exception to a lot of people saying like, who cares if someone juices, you know, I don't give a fuck. I'm gonna kick their ass anyway. You're like, Chris Weidman said that about Vito Belfort and I appreciate the fact that he thinks that way cause he's a champion and that's how the champion feels. Yeah. But the reality is there are punches that can be landed when you are on EPO and test and Jack to the fucking gills and whatever the fuck else you're doing that you wouldn't have the energy to land in a normal scenario. Like it's very rare that a guy can do like what Tj Dillashaw does and go balls to the walls for five fucking rounds. Yeah. Tj can do it as a natural athlete because he's got a fucking tireless work ethic. He's unbelievably dedicated and focused and he's 145 pounds.

Speaker 2:          00:31:34       Yeah. That's another big factor. Huge. The difference between that and a guy like Overeem. Yeah. Who Alster Overeem came into the UFC against Brock Lesnar. He was two 65 shredded to the tits, looked like a fucking superhero out of a comic book. Pissed hot and has never been the same guy again. Yeah. And that's the reality is now he's being tested. He shrunk, he'd lost body mass. Is it just seems to affect a guy's chin as well. The the, the thing about taking performance enhancing drugs is it, it doesn't just seem to affect your cardio, but it seems to also affect your ability to take a shot. Yeah, we saw that in Mark Hunt versus big foot, big foot Silva and Mark Hunt had one of the greatest heavyweight fights ever as far as like from a fan's perspective, like watching an entertaining fight. What a fucking war. These guys went to a war and big foot absorbed everything that Mark Hunt hit him with one of the greatest knockout artists in the history of kickboxing and MMA.

Speaker 2:          00:32:33       Hey, mark Hunt's awesome. He's a monster. Big Foot absorbed it. They tested them after the fight and he apparently he tested before the fight. Thought that was it. I don't have to worry about this anymore. And they jacked him with a fucking giant hit. Like they took a fucking big gulp full of test and just shoved it right in his ass. He was just fucking just completely juiced up when he fought his, his levels were through the roof after the fight. And because of that he was able to absorb. I mean I'm speculating as to why he was able to absorb those shots, but I've got to think that it has something to do with it. It definitely increases aggression. It increases tenacity. It brings out that killer instinct and maybe an athlete in that state, they can walk through punches more because they have more of that primal urge and instinct and those elevated hormones pumping through their body because that's really what testosterone does and God knows what else is out there.

Speaker 2:          00:33:27       I mean, I don't even think we're aware in this room of all the drugs and performance enhancers that are truly out there and these, you know, evil geniuses around the world are creating and sticking into the athletes and putting them back out there to see what the effect is. No big foot got popped on a simple urine test, which is quite fascinating because the UFC has taken a lot of flack about their stance on performance enhancing drugs and people like, oh, it's just lip service. UFC doesn't give a shit. This is how much the UFC gives a shit. They've tested all of their best athletes with blood tests in a way that is fucked up. A lot of performances, like they've stepped in and it costs more than $40,000 every time they do this. So every single athletes, they're doing this outside of the jurisdiction of the athletic commissions.

Speaker 2:          00:34:17       So the athletic commissions has their own specific protocol for how they testified her. Then the UFC steps in and brings in like the, the highest, most stringent Olympic testing that they can find. You know, they bring in the best guys that not only that they have a chain of command, they have a chain of evidence rather of um, uh, possession where like say if you have Mike Dolce comes to the gym and you test Jamie, you fucking carry that shit on a plane to wherever the lab is. Like you have it in your possession. It never leaves you. When you take a shit, that fucking suitcase sits right in front of you. Nobody can come into your hotel room, grab it. No, it goes directly from your hands to the lab. They ha they are very, very, very specific about that. The reason being is because there's no shenanigans with these blood tests.

Speaker 2:          00:35:03       And because of that, a guy like Chael Sonnen got popped for EPO, elevated levels of test, human growth hormone, all this, I mean he's got, he's been popped for a bunch of different things. Actually the elevated test was the urine thing, but when they got him with the blood, they found him with all, they've got him with some anti, uh, there's some thing that they use for fertility. They hit, he was, uh, he was on Clomid, which is what you, uh, you take when they take you off of human growth hormone or testosterone to try to restart your body system. It's, everyone's a fucking chemical factory. It's crazy. It's crazy.

Speaker 4:          00:35:38       It's not everyone, obviously it's some, it's some, and I think it's a smaller percentage than a lot of the articles and interviews come out with, you know, a lot of athletes out. There's 90% of the guys who are 50%. That's what he, one of his famous statements after he got caught, he's like, everyone's using in camp. Everyone. It depends on which camp is talking about, you know, cause there's, I know that there's, there's a ton of great athletes out there. Ronda Rousey's, one of them, you know, lifelong drug free athlete, Johny Hendricks, he's one of them. Nick Lens is one of the Penn. Bj Penn is one of them. Um, there's John Fitch, John Fitch is one of them. So there's a, there's a lot of them, huge list of top tier athletes that are clean and lifelong clean and we have no reason to suspect otherwise. Right. And they beat the piss out of a lot of the ped users.

Speaker 4:          00:36:22       But you know, to the guys and girls that are using these, maybe they wouldn't be a top five, top 10, top 20 even. Maybe they wouldn't even make an interview view. See if not for some sort of enhancement. I would love to go back to pride. The pride days. I'm a huge pride fans or don't get me wrong, some of my greatest moments as a fan, as an MMA fan, absolutely. Watching the, just the best fights of pride fade or versus Cro cop. Well, he's just absorbing every shot cro cop hits him with and plowing forward and blasting him fade or beat cro cop in a fucking kickboxing about. So a lot of people don't realize. And fader was the first guy that ever made me want to be fat. He make that sexy, didn't it? Bald bastard beat the fuck out of everybody with this floppy gut.

