Speaker 1:          00:00:03       Three. Two. One. Okay.
Speaker 2:          00:09:45       Here is the pressure from the other three guys got to be too much at tired of buying shampoo and all that bullshit. Yeah, yeah, yeah. The upkeep is ridiculous. Outrageous. Do to condition their hair. And they have to leave it in for 10 minutes. Oh, that's a big bowl of, come on man. Come on Bro. Yeah, but for something, there's some reason why it is okay in a band, but it's not okay for comic like a comic with long like led Zepplin here because you know what happens when a comic does that. Their whole act becomes about it and it's like, dude, that's just boring. You remember Jackson Purdue? I do remember Jackson. Pretty crazy long hair. Like a band guy. A lot of material about his hair. He did. I know I just, you know, I used to, when I was younger I went for the obvious, I did a lot of material about having a big head. Ah, now it's of no interest to me.

Speaker 2:          00:10:39       You couldn't also do like the Robert Plant shirt thing either. I have, I have a Robert Plant shirt but not him or like let it open now. I think it's called nurses do it better or nurses and some of nursing on its powder blue. Uh, he wore it on one of the zipline tours in the early seventies, and I saw it for sale on Amazon and I bought one. It doesn't give off the same pie. Yeah. It's different with different people, right? Yeah. But I always, one of my non sequiturs to tell people all the time is, you love the nursing industry. I just said to people, hey, you know what you love? You love the nursing industry. I've said that to nurses. They say people just chuckle. They don't know how to make, what are, they don't know. You know? Nonsequitors laughter, nervous laughter is a certain things or certain looks that came and went and people tried to bring back.

Speaker 2:          00:11:28       Like, do you remember a few years back they were trying to bring back bell bottoms? No. Yes. That's how much of a failure it was. Bill Mary was actually photographed a couple of days ago at a golf course with some fabulous bell bottoms. You see? That's delightful because it's so wrong that it's beautiful and perfect. Bill Murray picture look at them. Oh, see that. It's a big ball. He's so fun that dude, and he's wonderful. He is just, he is so fun. Look at him. Rang up South Carolina. I think it's because of his kids. That's what it is. Yeah. I think it was a family thing. Oh, he's a, a beautiful shot Bourdain's show. And uh, bordain interviewed him in his small town where he lives and it's like, wow, look at this guy. Just kinda hanging out, being normal. No girlfriend, no wife, just, just being himself. Now he doesn't have a girlfriend or he was talking to him.

Speaker 2:          00:12:23       It. Oh, he was talking about, yeah. I don't think he was talking about on that show was talking about in an interview and he just doesn't want to do it anymore. Please leave me alone. Leave me alone. Stop. Delightful. That's why I liked staying home. It's nice. As a matter of fact, at the end of my shows, I always thank the audience for actually leaving their homes to come see me because I know what an effort that is, and I'm so appreciative of it. So you're just a homebody type character. Yeah. Well, you know, it's like my life was extraordinary, so I want to live an ordinary, ordinary life as I can. That makes sense. You know, just calm. It doesn't have to be ordinary down chilling man. Yeah. You need that, right? Yeah, I chaos. I'm not big shows. Like tonight I'm going to an opening of a movie.

Speaker 2:          00:13:09       My friend wrote it and you know. Yeah. Prepare yourself for it. Here we go. I'll be cool with it. Like if I know I'm doing it and why I'm doing it, I do it. You know we saw party whose party? Jeff Ross, but you know, I'd go to a dinner party if he had one. Again, I'm, I'm done though with the Jeff Ross parties. Jeff at all was a lot of parts. I know I love Jeff Ross, but I am not going to anymore of his parties. Tell him I'll go by myself. There was house, I did have them put two hands on his shoulders. Tell him you love him, but the way I will, I'm going to talk to him about the man bun in the pool or like who? Who are you friends with it as a man? He's a producer, bro. He's helping me with a project.

Speaker 2:          00:13:54       He didn't look like a producer. Just snap the shoulders go, I love you. I can't come to your fucking pool parties anymore, Bro. Yeah. Well it wasn't even a pool party. That was a thing. Somebody went, I'm going to bring my suit and getting the pool and he got in the pool with these two other people. I didn't even really notice that man. But that's unfortunate. If it's not a pool party and you decide to get in the pool, that's always awkward as fuck. I just didn't belong. Yeah. You gotta be like a really comfortable person to take off your clothes when everybody else has theirs. Only. I'm pro naked. Good for you. I'm pro naked. I mean for me, I'm all comfortable. Well, you're fit. The fact that I'm prone to the kid, you're angry at me. No. By the way, I saw your little festival here.

Speaker 2:          00:14:35       You're really, your passions are comedy and fitness. That's one thing. Let's, yeah, it's one thing hard. Yeah. Well, I'm just an American Werewolf in London. That's the thing. In the middle of the day, I recognize that. I love that movie, but that's when he was in, uh, Trafalgar Square. Yes. Yes. I remember that moment of scary. I'm not happy unless I'm a exercising. I've tried both ways. Not Happy unless I'm napping. So we both have our ways about us. Yeah. Well everybody's bodies by the way. But I do exercise. I eat well. I eat gluten free, I eat dairy free and I eat sugar free. That's awesome. That's a good combination. Yeah. And I aspire to be more of a vegetarian, but I'm not obsessed with it. Do you read books on nutrition? I have read many books on nutrition. Yes. Some that Brian Cowen even recommended to me once. Uh, I couldn't think of the name I probably have and where they want to know.

Speaker 2:          00:15:33       Ryan counts a big recommender books. Kindle. Hold on, I'll tell you what he recommended and they were good. I like, you know, every one of those kind of books, even if they're not well written or whatever. I learned something from, I picked him. I read uh, a ton. That's what I do when I'm at home. I read a lot. I listened to albums and I read music and a, a platelet Tasi albums. Do you have like a record player? I have a record player and I have a thousand albums. Okay. Wow. I'm one of those good thousand albums, right? About a thousand. Holy Shit. Yeah, I enjoy it. Do you have like a room that you go to and you know, I'm going to, I'm moving into a new house which will be able to, a specific room that I will go into districtly play guitar and listened to analog watches.

Speaker 2:          00:16:16       Yeah. If you, uh, do you know Henry Rollins at all? I do know Henry rounds. Great friends. I mean, but I do know him. He's an acquaintance of mine. He's a fascinating guy. He's a fascinating guy. Good man. Very good dude. Very inspirational guy to inspires me. I dig him. I did an interview with them at Largo. Dig Him big time. He's got these crazy quarter million dollar speakers in his house. You know like there's this speaker room. Yeah, you look at this, this is the room is all these albums and those, those gigantic things. That dude on the right I think as Robert Hilburn who was the critic for the La Times. That's how much I do music. I think that's Robert Hilburn. I'm pretty sure. So Henry gets it. Henry who obviously became famous, very Johnny Cash. He wrote the Great Johnny Cash Book that came out of here. It's cause, cause I saw you dig Johnny Cash by the pictures on the wall.

Speaker 2:          00:17:11       I love Johnny Cash. I had a dog named Johnny Cash just died recently. Unfortunately. My granddaughter's name is Johnny Kin. That those still speakers are fucking crazy. Look at these speakers he's got, yeah, I just got new speakers and they were like 8,000 for a pair and I thought I was nuts. Look at the size of that. That's ridiculous. That's like who underground. It says like 2001 a space odyssey looking speakers. I want to go over his house, but I don't want to ask. I don't want to be like henry, come on Bro. Let me call your house. I don't want to be that weird guy. I'm looking for the day of voids cause I know I downloaded them. I didn't want to own them. But how many people do you think owns those speakers? I mean, I thought yesterday, but that person, if you have to be wealthy

Speaker 3:          00:17:50       or that's where you want to put your money, click on the yellow one that you just, what's that? Oh, that's the same speaker except in yellow. Those are a big ballroom because they look like plumbing supplies. Do. They don't look good. I don't think they look, oh, I think they look good. I think they look futuristic again. So here we go. Why we get fat. I was that by on, I can't remember the guy's name, why we get fat and the four hour body. Oh yeah. Okay. Tonight. It's embarrassed and I learned stuff from both, but I'm, so I learned stuff about nutrition and stuff and I'm in my, at my most, I was three 20 and I'm currently in the two forties that's nine. I'm making the transition now to hopefully low to 30 somewhere in that two twenties and then building up muscle and I'll never be fit like you.

Speaker 3:          00:18:40       And I'm not, I'm, that's, I'm not saying that to insult myself in terms of like, you know, but you, this is a passion of yours. It's not a passion of mine. I just want to live life at a higher level and a better level. So I feel good. I want to feel great and I already do. So if I can improve on this, delightful, the big things, cutting carbohydrates, most people eat far too much for me. That's where the gluten and the sugar came from and the dairy. I, and I feel good when my body not having those things. I react positively my, so anything else is okay for me. Can I exercise to do, I do. [inaudible] I bodies is fucking hard. Really hard. Yeah. Was Great. Polonius teacher is great. I do, I swim, I work with a trainer. I play tennis, playing tennis.

Speaker 3:          00:19:31       Uh, tomorrow morning, today's Wednesday. Yeah. Tomorrow morning I'll be playing with my tennis teacher. I play golf, which is not that physical. However, like I went, it was at the store buying stuff the other day, you know, at the golf story. And he wasn't, the guy was very nice guy helping me, wanted to sell me something that I have to bend over to get the ball. I go, I think that bending over and as matter of fact, stretching my hamstrings, really, I don't know the benefit I'd get from golf if I didn't at leats bend, he's telling you not to bend well that they have these things so people don't have to bend. Well, that's for people that are like really bad back. No, no, no. It's for lazy people. That's why I think a lot of people, so for me it's a matter of pride to bend.

Speaker 3:          00:20:10       If you have a bad back, you probably can't swing either. You can't swing a lot of you back. Um, but I do a lot of different things. I love sports. I used to play when I was younger, I played baseball and football. Do you ever play golf or tennis rather with Callan cause he's a tenant's freak. No, I should actually, by the way, I just started again and played tennis since I was a kid. I'm actually going to talk to him about that. Hopefully we can play some. The thing about tennis though is it's a lot of like going left and right and left and right and putting weird strains and pressures on rainier. It's, but it's great for a bone mass. Oh, okay. It's good for it. Bone mass. That makes sense. Yeah. It pushes you pushing you pushing. Yeah. I dig it

Speaker 2:          00:20:48       and by the way, I'm not going to play competitive with them. I'm going to hit with him. Right. Because he could probably beat me. Also weighs about 70 pounds less than me. Yes. So he can move better. Brian's been playing, he's very spry. He's his. He takes his physical fitness very seriously. He doesn't tell you about it. Oh yeah. Listen, I know. Yeah. He gets very serious about half thing. Everything. It gets very serious. You know what I'm saying? Like he's never going to get, he's never going to like commit to being like a professional tennis player. Right. It'll get pretty serious about kind of getting into tennis.

Speaker 2:          00:21:26       Who needs the stress? Yeah. When no, I'm saying it's like a good balance. I guess he's, I get obsessed about things. He gets obsessed about kind of getting into things, but then it doesn't go like those started out doing through. Exactly. Exactly. You are a follow through fucking motherfucking follow through. All purchases do as a walk around here and go or look at you. You're a fucking specimen. You booked her. You're a specimen. Just trying to stay sane. Jess. Right. Do you, are you married? You have a girlfriend, you're married. Yup. Yeah. Your wife must appreciate that. What the, the, the physical illness. You're a good man but, but being looking over and going, my husband's not a fat piece of shit. He's a fit mother fucker and I'm going to fuck his brains out tonight. Does she ever say that? No, not around me.

Speaker 2:          00:22:15       At least she should. Maybe I should start bugging the house. You Sharon. When she says when I'm not there. When you're not there, I bet you that's what she says to her friend. He married. Um, I can't answer. Hmm. Yeah. Okay. Yeah. I don't want to pressure you. Don't pressure me. That's like a, I can't, I can't talk about that right now. Yeah. That's probably good. Transitions. Healthy. Yeah, I like it. Yeah. Things are in flux there. Fluxing I'm going to flux festival. It's not bad. Yeah, it's, no, it's bad. There's no winning. Oh yeah. There was no one in hand before. I love my wife, but I don't want to go home and I love being alone, but being alone blows. So there's no winning. There's no winning. I'm a sad young man, but I'm really happy cause I'm functioning at a high level on eye level.

Speaker 2:          00:23:03       I'm rising and rising up. You know what I mean? I'm, I'm facing adversity had, had, had on, but uh, yeah, my wife is a lovely woman. Lovely woman. Go down. That's one of the things that are going on the road. You appreciate people when you come back. Oh my God. Yeah. When you're with them. I appreciate you buddy. Yeah. If you're there with them every day staring at each other. I mean, no, I don't care who it is. Could be your best friend on the planet. Too much time with somebody except for rare exception. Right? Wow. Is that bad? Yeah. It can be terrible. Yeah. We terrible. Almost everybody. People will, you know, you need to be around variety in terms of like different files. Most of them. By the way, I don't stay home because I'm not like I'm staying home because I want to avoid experiences.

Speaker 2:          00:23:56       I like experiences and I'll go have an experience, but when I, when I deem that experience, like Jeff's party not good for me, I leave. Yeah. But if I'm, if I'm having an experience that's new and I'm digging it, I'll stay. Does that make sense? Yeah. Well, you know what? You liked? 56 years old, man. I know. You're a man. I'm a man. I am a man. Yeah, man. I'm, I'm Jeff Garlin and actualize command. I'm an actual, actually, I'm aspiring to grow all the time. That's when, that's my thing to be a wise man. I aspire. My goal is to be a wise man and I'll never breach it. Not that I'm be stupid, but I'm saying it's always evolving. I have a friend

Speaker 4:          00:24:37       and many, many years ago it was at her house and she had the sign that said enlightenment is possible in this lifetime. When I saw that and I went, Whoa,

Speaker 2:          00:24:44       wow, that's, that's a deep by bobby levels and putting you at a higher place than you are. I agree with but true enlightenment. I, I'm just Kinda, I'm not cynical. I'm, I'm have more of a critical eye. There you go. Right. That's possible. I'm not saying I've never seen it, I've not seen it, but it's like I'm not going to deem it impossible. Cause then who am I and saw me saying there's no god. That's like me saying, I'll tell you who killed Kennedy. I don't know. Right. And it's also what exactly is enlightenment and by whose standard by definition was. So maybe if you have a very low standard for enlightenment and your reach, whatever that level is, you go, I did it in my lifetime. Look at me.

Speaker 4:          00:25:28       If you are, if you're smoking, Endeca, listen to great music and having fantastic sex after a great meal, and then someone says, no, no, no, you're just supposed to meditate and just sit in a room and, and, and, you know, be mindful. Okay. How about fuck you?

Speaker 2:          00:25:44       How about a big ball of fuck you. Yeah. By the way, can we make that happen for me that I smoked some Minika listen to some music, have some great sex after a great meal. Totally. It seems that this, it can be done. Should, it can be done. Garlin it should be done. Yeah. That's what a Tony says to me. You're Jeff Garlin. Tony Hawk. Hinchcliffe yeah, yeah, he's right. Yeah. Well, I, I, I tend to be, I'm confident in my comedic skills, but he should be. Yeah. Funny Guy. Yeah. But outside of that, I am not lacking in confidence, but leaving my house is, like I said, uh, uh, quite the effort. What I'm saying is like, by whose definition is enlightenment? Because like say if you wanted to go to a concert or you wanted to go to a great movie, what an enlightened person. Enjoy a great movie.

Speaker 2:          00:26:30       I would think my version of an enlightened person would in fact enjoy a great movie. I, I've been enlightened to the concert. I saw James Brown when he first got out of prison and I've found that that that performance he gave was the most enlightened performance I'd ever seen. Was this when he was in the car chase, was that that prison? Yeah, it was the, what was the last prison he shot at cops because I believe so. Yeah. That one was someone else used his bathroom, right? Isn't that what happened? Someone took a shit. Don't know. I know that he got in trouble with the cops, but maybe it was that, I don't know. There's a big difference, but to someone using this toileting is that he had gotten out of prison and just the idea that James Brown was in prison. I think w maybe I remembering this incorrectly, but I think someone used his toilet and then he got mad at that person and shot at something like either shot the wall or something.

Speaker 2:          00:27:26       I don't remember that story, but I assume you're looking it up right now, so we'll find out. I feel like he was in a high speed chase. They shot his tires out. They shit. I don't remember it this way. Show something in a car though. Maybe. I'm pretty sure they shot his tires out and he was driving around on my rims. He had to have been doing a lot of blowers and making that agitated. You know what I mean? No. Normal Human Doug. And we're talking about James Brown. Is that agitated? I mean, who gets that? And he was Finna fucking phenomenal. When does he or she was young to state chase that went up to 85 miles an hour, involve 14 cars. He said he didn't stop because he feared for his life though. I don't try to see why it started and I don't see that.

Speaker 2:          00:28:07       I feel like that that's what started it. He was, he fired off a gun because someone used his toilet, by the way, a two stage chase. I'm guessing he lived near the border. I probably lived in what I was wacky states. We live it. We live in Georgia. Oh, okay. Well maybe it's like Georgia, Florida. Yeah. It could be close to each other. Georgia, Florida line. It's not a band. It is, right. It doesn't know. Wheeler Walker make fun of them. It says you've failed a, a Beta pullover. That's all it is. But I'm pretty sure that's why they were pulling them over. I think they were going after him. Um, I might be wrong about that. Maybe. Maybe I'm confusing him with. Okay. Chuck Berry was the one who was filming people go into the bathroom. Right. I think he liked to go in the piece like the PM ladies, I'm pretty sure.

Speaker 2:          00:28:53       Interesting. I'm pretty sure, interesting, genuine. When I enjoy James Brown's music, I'm not thinking about his car, thinking about his other side, you know, let's say that your story. Oh, really? It was right. Oh, here it goes. Okay. He carrying a deadly weapon in a public gathering and attempt to fleet perise driving under the influence of drugs. Okay. He reportedly stormed into the insurance company next to his office waiting a shotgun and complaining. That's trainers. We using his bathroom as time reported for six miles. There you go. Are you kidding me? Years later this episode would frame the 2014 j brown bio pic. Okay. 88 on up. I'm guessing that I saw him after this cause it was right after

Speaker 4:          00:29:42       that. It would be, uh, it would be late eighties, early nineties. Jesus Christ. He did six years. Yeah. He was in there for a while. Six fucking years. Yeah. How about just sober him up? He was on PCP pay. They gave him a year for each mile. He drove on his Mac. Rumors of a PCP habit already surfaced by the time his erratic behavior came to a head in September. Wow. PCPS, a tricky one. Sang in the prison choir. I bet he did. Shit. Imagine you'd go to jail for like stealing the car and you're fucking, sally is James Brown. Like, hey buddy, what do you want to do? Something that's a hell of a story. Yeah. Help him write some songs, you know, get on up. Yeah. Did you ever see, um, when he opened up for, um, the Mohammed Ali fight with George Foreman documentary? Holy Shit. Was that incredible? That was incredible.

Speaker 4:          00:30:37       Yeah. Incredible. Yeah. He had so much power. There was something about him, man. He would get on deck age. It was just power. Give you an idea. How much power prince wished for that power fuck yet. Well, prince had it, but he had another way, different way. But prince looked up yet. Oh No. James Brown was ridiculous and I looked up to it. Yeah. I don't have any musical talent. It just tells you what a waste all of this was because Elvis had that power and he didn't use it. He had it early on and then w w he could never dance like James Brown though. Or if he did, he never showed it. It would be different. It's a different kind of power if he just took and harness. Here it is. Look at this. Look at his dress to get an ice chest, the fucking pants, and they show you is God damn.

Speaker 4:          00:31:26       Drop it down doing splits. I know. No, he was not human. And by the way, he, he's not even really flexible enough to do a full split and yet he's still dropping down on stage. You know, he was wearing a turtle neck that night and I said to him, cut that baby out. Let's leave a little bit. Let's put your initials on there. I think that that was done in advance what the girls was hanging around with fucking shame around. Oh yeah, look at these giant ass band. I don't envy those people. Do you know when you see people with bands, Torin got all those people, all those working pieces have to fall into place. Yeah, they got all that though. Yeah, but God damn would a performance. When I saw him and I saw him, it blew my mind. It literally blew my mind. Well, what's interesting too is that, you know, prince who died of painkillers, he died from fentanyl. He blew his hips out. Dancing like that was, that was the thing, you know, and that that apparently is a very common thing. My friend Maynard Maynard Keenan from tool lead Santa tool, he just recently had his hip replaced and he was doing, he's, he's big into Jujitsu, loves Jujitsu and he was having a really hard time doing certain things. So I went to a doctor to see what's going on

Speaker 3:          00:32:40       with his hip and they're like, dude, your hip is gone. Sign. Like it's just two hours. He functioning at a high level. Yeah, yeah, yeah, he's fine. That's the hip replacement is one of the most unusual ones in terms of like its ability to restore you back to a, a fairly normal state other than a bride being a comedian as delightful. And we don't have to do any of that shit. No, there's no up. And by the way, when you see someone moving around like that on stage, I will bet you every penny I have, they're not funny. Callen moves a lot on stage. He's very funny. I hate as a move, like like 20 throws kicked upstairs in the, in the telly room and know the Improv upstairs. You know that Green Room thing? Okay. There's a monitor on stage with a thing and I will turn to our own weather go funny.

Speaker 3:          00:33:27       Not Funny because like I can watch and tell how, whether the comedy is coming to them or whether they're pushing it and most of the move around people are pushing it. But Jim Carrey was a move around guy. He was always really funny, but move around in a different sort of way. Characters. Well there's exceptions to all stuff like that. The all things, but in this sort of way I'm done. But when someone just stands there and talks and then they're doing some sort of movement, it's not good. Jim Carrey, there was a purpose, right Brian? It's part of who we is. That's not what I'm talking about. I'm talking about people that just oversell shit by physicalizing. What should be just funny the way you say it, not even what you're saying. The way you say it, Thompson or calls it dance moves it. His dance moves thompson girls.

Speaker 3:          00:34:19       Right. I'm sick. Girl is funny. He's a genius. He uh, I used to call it English putting like English on the two bar. Yes. Totally unnecessary. As is better dance moves. Damn moves. And that's what I'm talking about. So Jim Carrey and Brian Cowen do not have danced with. Right. They just are funny. And they also move. Yeah, there's a, there's a reason for their moving moves. Oh, come on man. And you're always so funny. Years ago, I remember anytime I saw someone miming having sex, you know, pumping air, I would just go. Not Funny. No, it was just like, it was a sign of like, well what if there's a bit where you have to mime pumping, pumping air. There's gotta be a bit pumping air. You mean like it's gotta be some, yeah, some bits. What? But who doesn't know what that looks like? Why do you need to pump? Maybe there's a reason it's something. Unless like you're imitating someone having a heart attack pumping, right. Or you know, if there, if the content is about your physicality, that's not dancing. Dancing's when you, when you put like English, like when you, when you're doing this to accentuate what you're saying, it's like screw that. We don't need that. Well you ever go to open mic nights? I used to do them up until recently. Really? I would just show up and

Speaker 2:          00:35:38       say, can I go up and do 10 you know, and, and what was really fun was when the person who had them didn't know who I was. Oh that's great. And then I watched as other people explained and it was cool cause I didn't have an attitude, you know, and I would do my sets and the audience has an open, Mike nights are really, they're terrible. Lot of times, yeah, they're there to see their friends or they're tired or whatever or they've been beaten down by totally unfunny shit. Totally unfunny shit over and over and over again. So yes, up until about four or five years ago, I used to go to open my, what's fascinating about open Mike nights is you're watching people try to figure out how to be funny. Like you're watching people like, and you go to the store like tonight and you'll, you'll, you'll go there.

Speaker 2:          00:36:22       It's going to be a packed house. It's all Chris Delea and fucking Andrew Santina. No and Allie Wong, it's all killers. You know, and you, you're seeing high level comedy over and over again. And so you get you into that vibe and you're like, oh this is a great place to be. But if you go to an open mic night, you're seeing this like primordial ooze. You're seeing single celled organisms, things that you really shouldn't be seeing sometimes. You know, because every now and then you see a little, I explained to people, get as much state when you start, get as much stage time as you can without people seeing you. That's good too. That's very good advice. But you need to go on stage over and over and over again. But don't go on stage at any popular places. Go onstage at the suckiest cause you only learn from when you suck.

Speaker 2:          00:37:08       That's a big part of it for sure. That's why I really admired, uh, Charlie Murphy. Cause Charlie Murphy was essentially a famous open miker and well when he started mean when he started, he'd never done standup comedy ever. And then he was just a really funny actor who is the brother of one of the greatest comics of all time who got on the Chappelle show and then started doing stand up. And you know, Charlie would just just fucking do it. Just go and do it. And you know, he had some rough sets too when he was famous, like really famous. Are you think when I did, did those things that I didn't eat it plenty of times open mike nights everybody. But, but what I had was I was in control of myself and it didn't fall apart. Right. If you're an amateur would fall apart. Yeah, it does.

Speaker 2:          00:37:56       It doesn't mean I did well, but of course I remember, I remember one time dice came into the store, this is probably four or five years ago, maybe five years ago. And uh, he came up to me, goes, oh, go up after you, you know, it was very respectful, very nice. And I said, no, I really want to follow you. I want to see what that's like. I've never followed you. Please go up there and go for broke. Go for fucking broke. How long are you doing? He goes, oh, maybe a half hour. I go, great. Go up there for a half hour. I've got nowhere to be. I'm going to watch and the I want you to just to fucking hold nothing back. And then I went up after him. You know how I did fine, didn't do good, didn't do fine

