Speaker 1:          00:00:04       That's fresh.

Speaker 2:          00:04:09       And if you land, you're landing with your heel and your heel can, it's not like a knuckle at breaks and he never break your, he'll never, I did hit somebody wants so hard that my foot was sore and I was limping for a couple days where the heel kick with a heel kiss was horrible. It was hit the hell out of them. He went to sleep for a long time. They took him to the house. It was scary. I was 19. That's bad. I think I didn't tell you this story is a fucked up story because it made me reconsider. Fighting wrote and killed. He guy was this a thing I said to my instructor because my instructor wasn't there cause he's in California. I was in, I was in Boston and uh, he goes, I heard you had a really good knockout, you know, exact same.

Speaker 2:          00:04:46       Yeah. And I go, yeah, it was, it was scary. I go a condom with a wheel kick and I go and he just didn't get up and I thought he was dead. He goes, sometimes they die. And walks away. Dead serious. Dead serious. Yeah. He was training troops. Old School. Yeah. He didn't care at all and I was like, but wait a minute. They died. I'm them. I'm, hey man. I got for sure disposable. I wasn't the best for sure. Somebody get a fuck me. I never got head kicked, but I saw people that I was close to get head kicked in. Ever get killed in tournaments. Just Tko. Tko boxing match and kickboxing match where they stopped. You got rock, then he came in and stopped it. Yeah. I got rock with a left hook. I got my legs just shut off point. Where does that, it's the weirdest feeling of all time. What people think is that like it hurts. No liver shot hurts. Like if you get kicked to the liver or punched in the liver and your whole body will die and your legs kind of give out, that hurts. But this is a weird thing about getting hit on the chin. It's like everything just goes surreal feeling. Yeah. Just stops working and let my body would get hot.

Speaker 2:          00:05:59       It's a weird word. The worst man. What is it like to get completely flatlined? Um, it, it's nothing because you don't, you don't feel anything. Right. So you don't feel anything. You don't, when you come out of it. What's your, what's your most recent memory? Not much. Everything's a little, a little like fuzzy. And then someone tells you what happened and then you remember certain parts of the fight. Like God, I remember doing that and that and then what happened? You know what I'm saying? Like you have to piece it, like puzzle it together. This is one. And then you get in the back, cause there's, there's two type of people that when you get concussed or flatline in my experiences, you react to it two ways. One, you get really emotional, like heartbroken, sat like super, Super Sad. The other gets really, really upset, like mad super mad.

Speaker 2:          00:06:47       And I, I, I've always seen those two opposites new thing. It is this from concussed or is this from the emotions of losing and realizing you lost after it's all over? I think it's a combination of both. You know what I'm saying? Yeah. But this is one of the reasons why I want to bring this up is because everybody always wants to talk about the power of belief, you know, and how important the power of belief is. And it's super important. You know, instead it's a big factor. And Connor success is this like insane belief he has in himself. But even with the power of belief at 10 you still have to deal with the limitations to the body. Correct. And you still have to deal with like what is the reality of getting hit on the chin? Correct. But that, that self belief that Connor has got him into the biggest fight in combat sports history on her feet and had a little bit of doubt.

Speaker 2:          00:07:36       We're not here. You're 100% you're talking about them. I know. So it's a fine line say ah, self belief only goes so far, man. Even myself, I myself belief was so high private match my skills, but I was so confident I could beat anyone in the world. I beat a lot of guys that probably had no business beating or just getting through the beat cro cop. He's a legend and you beat him by knockout. Yeah, but like get getting through golden gloves. Man. I thought I was the next Mike Tyson. I brought, probably not, but I beat most of those guys. Just stuff. Sure. Whale. But I believed in my heart of hearts I was going to be the best of all time. No, you were a competitor. And there's some people that have a hard time with the big moment. Conor obviously shines in the big moment, but at the end of the day, even with that insane belief, you get to see his physical limitations.

Speaker 2:          00:08:23       But what you got to see though is, well, you got to see a lot in that fight, but you don't know what's going to happen until they do it. That's why I didn't fight. So he has this amazing, uh, belief in himself and he had a really interesting style man, that whole thing where he was doing like putting his hands out there and, and pap pap pap and them. Yeah. And then throwing off offspeed punches and then drop out. And his ankles were so good, so good and and so exaggerated in big huge get Floyd's back and Floyd. Scary, smart. He wouldn't turn into him. They give him more of an angle. He just cover up because you had the ref was going to stop it. The real MVP of that fight, granted, you know Conor and Floyd, that Raf, oh, I read them fine.

Speaker 2:          00:09:06       You're the real MVP. Panted he came, his opening dialogue with the hell was that he was just staring at Mcgregor like now we don't want to know that that gay Raslan in just like students. I don't think he said that. I think I thought he was way over the top. I wanted the fight to start, so I thought he was over the top because I wanted to fight. Come on, let's go with this fucking national anthem. Do you do that in a locked room? But I just thought it was off to the wrong foot, but I think he, granted, I don't think Connor was going to win that fight as it went on. However he, the Connor did have an advantage if they went in tight heat, even let it get there yet grappling under hooks. What, and that was where Conor was going to get his rest.

Speaker 2:          00:09:48       He didn't have that opportunity as soon as they got to that ref separated. Yeah, it was good. He was gonna let him fight it. Yeah, he was in London fight though. He was the perfect rest. However, I think Connor thought you'd be able to get his rest in those moments and just never was capable of doing it cause the ref would, I think he got more tired than he ever thought it was going to or down to. Also the efficiency of Floyd. Here's what I did. I watched it live from the third round on. I got offstage, Washington DC, the first two I ran upstate. I did last yesterday. I watched it yesterday when I get home, but I flew home. Um, our mayor flew upstairs. It was that they had it on paper view in the upstairs green rooms. So we ran upstairs type move.

Speaker 2:          00:10:25       Yeah, it was, but I caught on the third round and yell and Ian Edwards, I'm like, I'm like, how's it going? He goes, the fights. Great. This is a great fight. So I got in there like writing it. I didn't want to give, this is people waiting in line a long time. The show started late. People bought tickets months in advance and I'm like, I'm not cut my show short. Yeah, I'm going to do the full show and then I'm gonna thank everybody good night and then watch the fight for a better person. So I ran upstairs and uh, I got in the third round so I didn't see all the, the speech until I heard about it afterwards so that I heard it. I tried to watch from the time they were both walking out, but the national and um, stop. I love America. I'm not mad at Demi Lovato. She can sing when ever she would go to a concert. It's an American flag. It's on my phone. Okay. I love America. Love it. I'm a big proponent in the best aspects of America, but to see, I like the rocket's red glare and the bumps.

Speaker 2:          00:11:24       I couldn't get enough. I was standing ovation. Bravo. She's a beautiful singer. No doubt in her shit from a teleprompter though. Well, it's probably a good move. You don't want to fuck it up. Like who fucked it up? Miley Cyrus and she fucked it up. There's been some people that fucking, somebody forgot the words. Somebody fucked, fucked up the words. Oh, Christina Aguilera. That's who it was that her, that was Christina when she was, she was going through a tough time, which got a little heavy back then. Remember that? Yeah. She got heavy. Christina, like unsexy,

Speaker 3:          00:11:54       thick. Like she got a little over the line to like, what's going on to too many supersizes. It's not just that like when someone gets that big that quick, you start thinking about depression. You know that wasn't Roseanne Barr. Well, you know what she did though? That was back in the day when Roseanne was on top of the world. She grabbed a pussy and spit, which is hilarious. Yeah. She's so sad. As a savage of savages and people got Super Mad at her and this was pre social media, but, but click on the youtube link to that. Find out what or if it says there, when Roseanne did it, [inaudible] year was 1990 and nine Diego. Yeah. See totally before the Internet spits on the ground right before. Why not? She's an animal. She's an adult. She's an animal. I love her. You know Whitney is like executive producing her new show.

Speaker 3:          00:12:40       That makes sense. Totally makes sense. Yeah. And Whitney's like, she's a great joke writer to phenomenal writer and probably, I mean I got a fee. I don't, I don't remember really talking to her too much about Roseanne. Maybe we did. I look at that. She grabbed her pussy. It's Spanish traces. I maintained she one of the top most important comedians of all time after I said that to her when she was here, I said, you changed the face of women's comedy. She did. She changed the face of women's College. She got her start in Denver son. Yes, she did. Comedy works, comedy works. She's a beast with kids at all. Those kids graduated and a dad moving out hit the whole deal and the animal fucking animal. I like her. Yeah. Oh, we're talking about they're doing a show together. But I got, what I was going to say is that I gotta think that Whitney must think about it the same way most of most of the comics do.

Speaker 3:          00:13:28       She's super respected. Rosanna mean super respect. That's a big job for Whitney. Fuck yeah, that's huge. That has a potential, especially right now, like what the Hell is on TV? I agree. You know, you got Kevin. James has a sitcom name and others had come. Ready, go. I got nothing. I got nothing. Goldberg's I'll tell you what. I did start watching. I started watching Ozark. Oh my God. It's good. Those are, what was arc on Netflix? Oh, Justin Bateman chasing, chasing, chasing baby. He gets involved with the cartel. Yep. Seen it. I just saw the dude, dude, I'll hold up. I'm on season four of game of Thrones balls deep and who don't, I cannot get the Dragon Tattoo. And I was talking all that stay offline. Uh, people try to send me spoilers. Ain't happening son. I don't even look at them. Yeah, you gotta be an engine.

Speaker 3:          00:14:18       Just the biggest Khaleesi fan. I will just wait. Oh, I can't wait. The queen of dragons. Just wait. Those dragons. John's know this. I know I'm going to say anything but this season finale, just Jesus Christ and then I see people online where the g game of Thrones lost its way. I'm like, how about you fuck off. How about you, him haters. Everyone's going to hate on anything, man. I'll tell you what. The white walkers though, I'm on season three. Them graphics were tough on, see it looked like a tare out there. That's like white things. Get to season seven I saw can fund. I saw one. They look like some super beast. Oh yeah. They've got that wired. They know how to do it at an ice wall and the game is that real? There's like a shut the fuck up. It's like the flat earth, right?

Speaker 3:          00:14:59       Let me start there. The same thing or it's not the same across the wall. I mean, I think it's in the north. In the north. You've got to keep a war. How good is it? It's fucking phenomenal. I'm so happy I was. I'm telling you I could not sleep. I was so happy that King Joffrey died. That little bitch. Spoiler alert. Hey Bro, they're on season seven, five years. Three alert. People will get mad. How dare you Shab I'm on season one. If it's more than three years old, I'm allowed to talk about it for sure. People get mad if you talk about something that happened 10 years ago though. They get mad like if they haven't seen it, it's like you're not supposed to discuss things. Hey Bro. How to, yeah. Yeah. I love it though. I'm obsessed with game of Thrones. All I watch right now, it's the best show of all time. I think the writing, but I'll say that about other shows to me to say that I get excited. Me Too. I'll throw that out no matter what. If I get enthusiastic, don't hold me to it. I'm not some fucking ranking committee. You know what I mean? He's like the UFC ranking. You know what? We're like to use rings. We just throw up whatever you want.

Speaker 3:          00:16:11       However I feel I'm just going to do that. All right. Give it to us number one next week. I don't know. We'll see. I think Max Kellerman is walking around today. How many people are fucking with him? I saw him this morning. Hundred Mcgregor will not land a single punch. Meanwhile, he landed more punches on Floyd Mayweather. An any boxer ever than many Pacquiao and Miguel Cotto. Yeah. And then people go, oh, this is a fricking Max is a debate. Oh, well that's because Floyd led them. That was his style. Hey man, let's give Connor sub credit some credit. His pace was so high. I think cottage pace was so high and he thought it was me landing more shots. He just wore himself out. He's a little bit of that. I think there's a little bit of an efficiency issue that you know, John, Donna, her go to John Donahoe, his Instagram page, please.

Speaker 3:          00:16:57       John Donner, who's, um, you know, one of the best grapplers you to master World Jujitsu mastermind. He's also a brilliant guy. He's like Elon Musk of Jujitsu, basically cap, super smart, innovative guy. But on top of that, he wrote an assessment of how he thinks the fight's going to play out. And it was to at t spot on about the cardio. Is that um, Donna her said that he was gonna um, stop him sometime, uh, after the fifth round. What does it say? Yeah. Tonight is the biggest night BP. BP. Oh Man. It's the way to long John. Well, he does that. He's just too small. Well, it's hey, but create a blog though, huh? You know? Yeah. I mean basically he said here I consider a fine a victory for Mr Mcgregor if he survived 12 rounds. Yeah. See, scroll up a little bit and he'll explain how he said that it usually works. Yeah. Here it goes. They are quite competitive. The first three to four

Speaker 2:          00:17:50       rounds and he surprisingly, well then around the fifth round, the elite boxer begins to figure out the unorthodox were awkward movement and begins to employ ring craft tactics, attire, the MMA athlete by making more harder than he is making mispunches et cetera. Around the eighth round. A very noticeable shift occurs where the elite boxer takes over. I expect a similar pattern tonight though. Probably taking less time given the incredible skill lever, Mr Mayweather. But it was the exact thing around the eighth round May, whether it was clearly shaken over the ninth round May, whether it was getting was fucking Connor off was teeing off on Connor and I actually texted to my friend in between rounds. I'm like, he's done. They're going to stop. I gotta stop last round. They threatened to go to the, to the back to do some for showtime. I was like, it's over.

Speaker 2:          00:18:32       They wouldn't let you know. They did. That made you go, you gotta go back. You miss some of it. Well, I didn't want to see it really. I knew it was over. Yeah. So then, but then they put me Kate side. I was, wait, weren't, you didn't want to see it? Uh, not really. I knew what was happening. I just, I dunno. I Dunno. How could you not want to see it? I knew what I was going to happen. I then she would watch rocky movies, Bro. I wish, man, but I'm glad they stopped it early. I wasn't mad at the stoppage. I wasn't either. I wasn't mad cause for number of reasons, but he has a lot more fight left in and there's no, we got it. You got it. Connor did well. He wants some rounds. He's going to get fucked up in the next round if he made it.

Speaker 2:          00:19:07       If he made into 11th Floyd Mayweather was going to fuck him up. Correct. Like real bad. He was gas in. But you're Connor and even Floyd afterwards he goes, Floyd, they go, what was the most surprising thing about this fight? And he goes, collars, box and skills. Honestly, I thought I'd be able to take over early, but I wasn't able to because of his boxing skills. He goes, I wasn't surprised by his power. There wasn't much power there, which is, you know, whatever. He ate that upper flow straight up flush up or kept from Connor. But Conor did not seem like he was putting a lot of power in its punches. It looks like he was trying to be like real active, but then also he was like kind of winging them too while he was hitting him with some weird stuff like this. And he'd even did a bunch of Hammerfest and stuff. Did you know for every illegal shot that he, if he got [inaudible] for $10 million out of his purse, 10 Mil. So when everyone's like, how do you know he's just not going to throw a knee or an elbow, like a savage, like, well, there's 10 million reasons why I get mail hairdresser that that was the media I dealt with a media row. All how, you know, he's just not going to throw a knee and flip out.

Speaker 2:          00:20:11       How do you know Brendon? How do you know he's not going to need him? Right. And then people saw it and I'd have to go from having now, even now, isn't it funny that there's no idea as a gay voice, like if you do that voice, everyone knows it's a game. There's not a lesbian. There's, well, there's really not a butch lesbian. Oh, that seems to be a female truck driver that loves Dick Smokes. Marlboro is every hour. Leroy's it doesn't necessarily mean she's a lesbian. Yeah. Large March. March, March, March. Yes. Greg Roberts

Speaker 3:          00:20:48       large. That's what I was Sturge bars. Sencha I was terrified. A large march. You really, the big blue balls poke out dude. Peewee's big adventure, right? First one. First one yet. God Damn. If she was scary. Great movie. Yeah, man. Oh, we can hear it. He's all freaked out and when they finally pulled the drivers, Johnny, I love that movie. I'm so glad you got that reference dude. Peewee's big adventure was one of my favorite movies when I was a kid. I went with my high school girlfriend. We went and we were fucking crying. We just couldn't believe how hard we were laughing. It was so good, man. It was so silly. Then the next one after that was a big Top, big top pee. Wee pig is a little pig. That was his best friend. Feed them sandwiches and shit while he's trying to get with that girl.

Speaker 3:          00:22:07       Is he silly fucking movie? If you've never seen that movie and you smoke weed, you are in luck. Large March. Just fire one up. Makes a cameo though. She's not there for long. Long enough. It'd be nice. We're still talking to that movie came out in like 84 right? 1989 that's when the show came out because I was born in 83 pull it up, pull it up because I was in high school, say early nineties man, my mom had the VHS. It's all we'd watch. I graduated high school in [inaudible] 85 and this is, uh, my high school girlfriend and I went to see it. Mm. Maybe she was in high school. Whoa. Oh Damn. Joe Rogan. 1985 c Sun. I was, I 100% remember being in high school and she was in high school. We were both in school and we went to see it. Wow. Powerful Giotto.

Speaker 3:          00:22:59       His bike was sick. Was that was before the TV show or, I don't know, man. I think the TV show was out before that. A kid show, I guess. I mean the kids that a HBO special. Oh yeah. That was later. That was later. I think he does that show up like straight up ABC though. Remember? I would watch it in the mornings. Why? I was saying I was, I thought it was after that he was house and then he got caught like jacking off to the theater. Right. That was actually after all that he got caught Jackin off after he stopped doing the TV show. Really? I thought it was like in the middle of the nineties I was like 90 rolling. How's this crew going to take an l? Just cause he jacked off in a movie theater. Yeah. That was back in the day where we already had VHS.

Speaker 3:          00:23:36       Like if you jacked off and it was in a movie theater, that was the only way to jack off. Everybody's like, Eh, we understand. Yeah, that's what I'm saying. Give the guy a break. But if you jack off in a movie theater when we have VHS, well you're a pervert. 91 damn arrested for masturbating and an adult theater in [inaudible] 91 that's so crazy. What was the movie? Sarasota. Florida is the problem. They had a fucking thing in Sarasota and how do they know that he really did jack off. He was right. Really? We're turning up the heat and tiger shark. Nancy nurse was another one. Then he went to see, uh Oh, okay, well that's what people do in those days. He was only 38 at the time. 38 he's the most shot out. 38 year old ever seen. Look at that picture. This picture, it looks like it's like, I like the blogger at the set of hair on him too.

Speaker 3:          00:24:23       It looks like a blogger. Jack's off the guys in a band. He could totally be like a bass player. Was He smart? Is he just loaded or what? Because he was a big deal when I was a kid. Dad Merchandise and everything man. Well, he took a big hit from this. I think if it happened today it would be no big deal. But also part of the problem was that he was like a childhood idol thing because you know his show was a kid show even though it was kind of adult themed in a lot of a way. A lot of ways. So word of the day. Yeah. See the HBO Cable Television Show popularized by [inaudible] in 1982. Yeah. He would look up girls skirts with the aid of mirror as attached to his shoes. He was like, your regional character. He's a creep. Why QE? We taught kids how to do that.

Speaker 3:          00:25:10       Basically. That's fucked up. But everybody already knew back then. Start a fire with a match. Yeah. It's all good, man. Do you know what I think people get figured out how to put a fucking mirror on your shoe. That was an old movies man. But then he just, uh, he just shot a show for Netflix. Did it like they made a movie like periods back, right? Yup. Yup. Wow. That's a long hiatus. They took them that long to recover. You know what? That little too late. You know, like way too late. That's like entourage came with that movie like 10 years after the finale. Come on, man. Why they do that? It'd take a long time to make the movie. I don't know. Personalities didn't show. We do really well though. I don't think so. The entourage movie rotten tomatoes gives it like a zero bad but didn't do as good as they needed it to or did not do well.

Speaker 3:          00:25:57       The critics destroyed that thing. It was just too late. Men yet turtle. He's 50 on that bitch. It's like sex and the city can go back today and chicks were flocked to it weren't people piss it a six and the city movie, they might have been, well you don't like cause they can do it with them. They go through like menopause and shit the name right, right, right. Like the young chicks anymore chasing Dick. Well you know it was weird. It was like that one character of the, what's her name? Samantha? Yeah, the slutty character. Straight up whore. Yeah. It gave like a lot of women like they can go. Yeah, she could do it and I love her. Why can't I do it? That's why everyone can relate to that shit. Like was the smart one. There's one that career driven was the whore and you had one of your friends was one of them I feel like. But they loved their horror friend. Yeah. So it was like, it gave her it like it was opposite of slut shaming.

Speaker 2:          00:26:45       Be Yourself. Let your freak flag fly. Be like, Samantha, everybody's not Samantha, but Samantha's not everybody like B or whoever the fuck you are. Who are you? If you're, if you're a super freak and you're around a bunch of squares and then he was holding it back, get some strange deck. I'll give you this, that check. So once it go, just drink a couple of cosmopolitans. Throw some guy. You're fucking kidding. Go. Let's go. Yeah man. What's wrong with that? So let's rock songs. Yeah. As long as it's not your daughter, you're good. Yeah. Well it's also, as long as you don't run into the wrong dude, that would be the big fear of being a woman, running into some fucking scary guy, sending bad murderers, rapists, terrible person. Like you're way more likely to run into that person as a woman, then you are sure.

Speaker 2:          00:27:30       Male predators, predators drank on Samantha, dropping, shitting your drinks, you know, dropping shit into drinks. That's so rampant. If I was a girl, I would be terrified of that. I've met so many people that have told me stories about a guy drug in them or drug and one of their friends or drug drugging someone they know. I thought it was like an old school thing, but still goes on kind of a friend. She told me, yeah, she was out at the club and she goes, and then I woke up. Luckily nothing happened, but I woke up no memory of what happened before. I'm like, yeah man in La, like that's still happening. She's like, yeah, 100% why the fuck would you take a drink from a dude though? Like you should be. You know what I'm saying? Well, it should be like friendly people. Like, Hey, would you like a beer?

Speaker 2:          00:28:13       Yeah, sure. Give you a beer. It should be. That's how it should be. Should be. I mean, I, ideal circumstances, she should be able to, but there's just too many creeps. The world we live in. Like what'd you tell your daughters when they're old enough? Like, Hey, do not take a drink unless you're, you know what I'm saying? Of course. That's what the world we live in. You can't just, it's not, it's not worth the risk. I mean, hopefully you're going to run into only nice people who give you a drink and they just want to have some drinks with friends and have some laughs. Have you ever heard of girls Roofie to dude? Never, but I'm sure it's happened. I did. Here we will. You always heard that story about like the fake urban myth about the Russian girl who, uh, gets you drank and it takes you back to your own kidney and then you wake up.

Speaker 2:          00:28:50       Yeah. Such a bag of ice. You wake up with a bag of ice on your side and stitches. It tells you to get to a hospital immediately. Like what is that an urban legend could be. I mean, when never happened. That's brings up Jamie's point early today before the podcast that we need a more reliable Snopes. Yeah. Not that Snopes is a reliable cause apparently it's pretty, pretty reliable, but nobody is what the problem is. Nobody wants to listen to Snopes anymore because it turned out that the dude who rants Snopes is a freak and like one of the chicks that is like his number one employee was a woman who was an escort until like 2015 and now she's married to him and he's just a freak. He's just partying all the time, having a good old time. But why is that so bad? Like why does that affect, and also they have a left lane left wing bias that a lot of people, a lot of people think they have a left wing bias at least.

Speaker 2:          00:29:44       Yeah, I guess sort of maybe, but I mean if they're just relaying facts you can rely on them I think for the most part. But that's not enough. Who can you rely on? Like even on the New York Times you post on Instagram, do you see they changed their headache, they changed it, they changed it. I went out of my way. I was like, this is crazy. I read the New York Times basically every day. It should be me too. It should be pretty reliable. I have it on my app, on my phone, my phone. Yeah. That's where I go in the morning. Yeah. I get notifications from them. Take time to anything happens in the news. So I read tons of articles from the New York Times. Do you see the guy I looked up that explains to them? No, I didn't. Wanna I didn't wanna like get personal.

Speaker 2:          00:30:22       No, I just wanted to see what was going on. It just a giant fuck up. You can't do that. He's also not a sports writer. He writes more about race. He's a young guy, you know. I doubt it. Flight. Yeah. He Goes New York Times writer for race. Why? Yeah. That seems like it would be within your best interest to keep things fucked up, you know? I'm not saying maybe that's why he's here. You know, like who the hell maybe. I mean, look you, all you had to know was say what happened is that after, uh, you know, just say Floyd Maguire, Mcgregor, Floyd Mayweather out classes and stops Conor McGregor, it stops and exhausted Conor McGregor and the 10th round. That's what happened. He was exhausted. And he got tagged over and over again, and Floyd was teeing off on him and his brilliant performances that really paint the f the fight though I, I dunno if I'll put it in the hallway for sure.

Speaker 2:          00:31:09       Use your words better. And the headline, you can't say completely, his face was completely bloodied and he always went way ropes. Bidell things are not true. I don't think you actually watched it. Reading the headline. He probably looked at the maybe photos or someone else's narrative of the fight photos. Even the of the bloody, well, you know, I guess a photo of Connor outside the ring and Willie's live outside the ring for God's sakes. I saved the photo man. Like here's no, no one's face was bloody. There was no bloody period. I mean, it just, it just wasn't bloody like you could see his face. Like I got a photo of the actual stoppage itself, Bro. At the moment the stoppage happened. He was a, I mean, you know, you have like a little bit of two best under his left eye. There was an affair.

Speaker 2:          00:31:51       No blood. Yeah. He had a mouse from the right hand land. Again, up. No blood. Neither guy was. Yeah, the, you don't see the mouse there. You see his right cheek. It's under his, let's just read his eyes were rolling a little bit. Did you hear 100 million illegal streaming downloads? What? 100 million illegal streams. Holy Shit. How much revenue they lose. How about this? How crazy is this Floyd to warm up in the back? Someone from his team goes, Yo Floyd, the systems in California, Florida down. He goes, God, damn, those are huge markets here. I'm going to delay till they figure it out. That's how conscious this mother before this huge fight. That's good. He goes, I'm going to wait. I'm going to wait and it's worth millions and millions of John Saying, how brilliant is he? That was my takeaway with working with showtime and get so close to Floyd and doing all this stuff. He's

Speaker 4:          00:32:40       so God damn brilliant man. Like I had preconceived notions. I am. He's a good boxer. Outbid good of a businessman. How involved is he known and he doesn't let anything go on touch without overseeing everything. Both everything. He's brilliant. He's brilliant as a producer or as a promoter and he's brilliant as a fighter. Brilliant. Then they asked him about, uh, so I was in the fighters meetings and they have all the serious showtime guys there and were miked up and all, all access crew and Floyd's grew and they go, hey, be careful. Cause last time we did this with Floyd, he didn't really know the guys and he kicked him out in front of everyone was super embarrassing. So I'm like, oh that sucks. Some of my suits sitting there and everyone's so serious. I'm like, this is so serious, so stuffy in here. So the guy goes, Jim Gray, Tim gray goes, hey, up Floyd.

Speaker 4:          00:33:27       They're like writing the notes down to send there, like staring down. And they go, uh, you know, you always walk out with like an entourage usually for your fights. There's usually some big celebrity or something like that. Who's it going to be this time? And I know previously you had beef with Justin Bieber, so I was like, well better now than never. I just went out of turn, not the beads, the beads and the FOI laugh Floyd, he's talking dead to that. Jim Gray, his glasses on. He takes the glasses off and goes, damn dog. I'm trying to be positive up in here. We're trying to be positive. And I go, I start laughing. I know all the same. Him walking out with you man, what's wrong with that? He started laughing after that. Everyone was literally like on pins and needles and I was like, come on man.

Speaker 4:          00:34:15       So bebes is all about Church now, Huh? Is that the thing? Like he unfollowed Floyd and Floyd got mad at him. Yeah. And that that guy can unfollow your boy. CanNot follow your boy ever and that guy never unfollow you ever bro. If we do then there's some serious not happening for me. Where there clap back at Justin Bieber to try and be positive. He's just a pop star. Floyd says, well, it's got to a point which is just a pop star who is probably the biggest pop store on the planet. He canceled his tour like he stopped his tour because of this Jesus thing, that pretty sky. I know that guy in the Bible study with a guy. I've been to dinner with that guy. He's an interesting dude. If you're both demon Jesus, he's your guy. Keep talking. Tell me more. I don't, I don't want to be out. I don't wanna I don't want no bad juju on me. I don't want to be the golden snitch for pop stars. I, I don't know what's going on there.

Speaker 4:          00:35:08       There were saying that Justin Bieber already made $93 million this year before he cancelled the tour. How fucking nuts is that? They kid is balling so hard. Even him and then I think, yes, I'm do with Kyrie Irving too. And Kyrie was like, yeah, I want out of Cleveland. Like this motherfucker has some power. He's like, Jesus wants you to play for Boston. You know that, right? Right. So what is he doing to them? Trying to get them to, well look, look, maybe he's doing something. Maybe I'm looking at the wrong way. Right. So if he has a positive influence on them, maybe saying, man, you're, you're,

Speaker 2:          00:35:38       you're so involved in show business and some of them you got to think about living and life taking a moment. Not only that, like, here's the thing man, once you make $93 million, it's basically over. I've changes button, but I'm saying it's over. Just relax. It's over. You put that fucking money in the bank. You don't have to work anymore so I can't work. Yeah. All the work you do from here on out is gravy. This is what you do now. You do what you want to do. Do you want to go out and do a bunch of concerts in front of these people or are you doing too much? Because if you're working, like if you, if you had to go and, uh, do theaters my now you've been doing a lot of stand up. If you had to do theaters Wednesday, Thursday, Friday, Saturday, every week, flying everywhere.

