Speaker 1:          00:00:03       We're good.
Speaker 4:          00:07:48       Yes, you look goofy, you look really goofy when you play. There's a boxing game though, that you can get a great workout in like a legitimate, great workout because this dude comes at you, you see me throwing punches and every time he hits her, you see a bright white spark. You feel like you're getting hit. It's wild, man. You're moving around and bobbing and ducking punches, throwing combinations. If your feet start hurting, right, your hands get tired.

Speaker 3:          00:08:10       Is that going to catch on for real, Joe? Is this like the Nintendo? We when it first came out, no, he's getting bored. You're going to lose calories with the Nintendo wee and then you're just a fat bastard on the couch and learning how I learned how to bowl sitting down with the we

Speaker 4:          00:08:24       Ken, you can get in shape with this for real. Like if you wanted to do multiple rounds of boxing with this thing, you would get in some serious fucking shape because it feels real. When you put that headset on and you're that dudes in front of you and he comes towards you and he's got his hands up and then throw a punch. It's like, Oh shit, and you're moving around. He's swinging at you. You see the punches flying over your head. It's awesome.

Speaker 3:          00:08:45       Now, this isn't something that's predictive in a sense, or is it like different types of workouts at different types of sparring sessions? Because eventually you can predict if you knew the patterns, it's still a workout.

Speaker 4:          00:08:56       Yeah, it's a good workout, but either way you're fucking this dude up. That's the whole idea. The whole idea is to keep it on them. It's not like you hit, you don't feel anything. If he hits you, you just see the spark that's next. Ain't no, they'll have a vis that vibrates it and then it gets electrolysis and, yeah, yeah, yeah. There's a haptic feedback vest that you wear. There's a place called the void. He'd go there and as a star Wars game and the storm troopers are shooting you and they hit you in the chest. He feel like my shit hurt. Like does it hurt or is it like just a sensation? Just a sensation. Like laser tag. Yeah, exactly like it, but it'll get bores. Yeah. It's again, they're, they're doing these warehouses now. When you go into a warehouse and it's all virtual reality and so they have everything planned out and like you walk on a cross as beam, there's fire to the left you and fire to the rights. You feel heat. It's all, it's gone now. That's dope. They have it set up to make it, you know, really sort of mimic whatever sensation you're supposed to.

Speaker 3:          00:09:46       No, the guy that I would be, I would be all in for, you know, when I was listening to you coming up, like you started talking about the sensory deprivation chambers and I'm like, that's always been something that's in the back of my head if we want to do it. It's like, do you have any time today? You could do it. Um, I don't know how much time I have after let, let's see. It's it, I know, cause I know it's a mind fuck. It's a little bit of a mind fuck. Yeah. But it's, it's, it's one of those things where I go, when I get a house, I'm getting a grill and I'm getting one of those goddamn Joe Rogan boxes. That's what I call them. Getting one of them Joe Rogan boxes and I'm putting that shit in my fucking man-cave. Everybody should have an isolation tank.

Speaker 3:          00:10:24       It's a, it's a fucking beautiful thing to have man. It just, it settles your mind like nothing else. Yeah. That's, that's the thing that I always struggle with is just too many. I got too many tabs open, of course, at all times. And so is comics too. Yeah. And the only thing that slows me down is video games and puzzles. Puzzles. Yeah. My putting pictures, jigsaw and Sudoku. Ah, does it, like those are the three things that I can do that I know immediately the moment I start the activity, everything closes and I'm just focusing on one thing. That's the only thing I can do when I need to get my mind off of stuff. I was dating this girl one time and get on. You're not, you're in the middle of an argument and so you're trying not to, you're trying not to be a Dick in the moment. So I just start doing the puzzle and just trying to stay calm and then she walks over and just starts undoing the puzzle as I'm doing. Oh my goodness. Oh fuck. Oh my goodness. I'm doing, Oh, the anger

Speaker 4:          00:11:24       sign. That's a sign of someone's intentions. When someone's fun doing your puzzle, like, Oh, you're one of those things.

Speaker 3:          00:11:30       This is my place. This is the one place I can go and just be escalate. Deescalate. Yeah.

Speaker 4:          00:11:37       Yeah. Well that's bad intentions. Yeah. That's like seriously bad intentions. Someone trying to undo your puzzle. Yeah. That's some shitty kids will fight to the death over that. I'm gonna say the place to start [inaudible] like

Speaker 3:          00:11:47       when we eat smokers say you fucking up. They're high. Right, I understand that now. Yeah, that's, that's the one thing. I'm not with her anymore. No, no, no, no. I crashed that. You can't, I'll, I'll take responsibility on that. We got puzzles. That's my thing. Man. Puzzles and a little bit of video again and bad and cages. I'd love to help Mark Ellison and Craig. That would be amazing. But you need a lot of space. You need like Ellie yard? Yeah, I'm in New York right now. There's nowhere to put a few live in the city. There's no way to fucking, do you like living in the city? No. Why are you there? Cause the daily show, it's gonna work. So that's where the fucking job is. I take the train to Brooklyn. Yeah, I thought about it at first, but then I had a kid the same year I got the show, so I needed to be closer.

Speaker 3:          00:12:31       So we got to Harlem. So Harlem is at least the shorter commute to the studio. How far? Where's the studio studios on West side Hills kitchen on the water. So it's like 53rd 54th street and we're liking the one thirties so no, it's, yeah, it's closer than Brooklyn. Right. Which was where I was originally when I first got to New York. Did you take the subway from Brooklyn? Like yay. I tried to be a city boy. The problem is that I've gotten more done career wise in New York and four years and then I did the eight years I was in LA probably because of the show. Yeah, it's just New York. It's just more, I just, there's more of a hustle mentality. Really. Yeah, I think so. I think that I'm more prone to run into comics that are going, going, going, going, going. And so when you're around that it makes you want to, Glenn makes you want to write, cause you see so-and-so working on a new bit and doing all of that.

Speaker 3:          00:13:22       And I didn't see as much of that in LA. Now granted you don't get to do as many sets in LA because of the logistics of the city. But I just felt like there was more of a go, go, go mentality that just rubs off on you more because of that. You don't get to socialize. Uh, all of my friends are in LA, so a lot of social relationships have suffered because New York is go, go, go and you're trying to get the next career thing done. And then you also got to go home and be a dad. Yeah. That's gotta be weird raising kids in LA or in New York too, rather. Um, I talked to, um, Gaffigan about that. He's raised all his kids in New York city. Yeah. And they're in like Manhattan or they're in Jersey. Where in Manhattan? He's been in Manhattan forever.

Speaker 3:          00:14:02       Yeah, I don't, I don't know if that's something not for the long run. How old your kid is three now. So he's young enough so that it will leave him. Come on back out to LA Roy. Either LA or I would go to Atlanta or the last grade or some shit. That's a good move. Nate BARR gas, he's shown us the recipe. What's he live in? Well, you know, he's, I know he's, I think he's got a place down South in Atlanta. No, in Nashville. Oh no shit. Yeah. Listen, those are both great cities. If you, if you're traveling on the road all the time and you just need a base, you know, and look man, you live, I have a buddy of mine lives outside of Nashville. He fucking takes pictures of his yards. It's all green. I hear birds chirping, shit, you know. Yeah. You knew rateable. You need yard man. I grew up with a yard and you know, so that, and then family and it's just, it's a, I feel like New York is a great place to go, but it's not the best place to start necessarily. Yeah. As a child.

Speaker 2:          00:14:59       But I mean like guys start in LA, people can start anywhere. I mean, it's better starting and it's better start in there than like a place that doesn't have much of a scene. Like maybe Phoenix. Phoenix has like a little bit of a scene.

Speaker 3:          00:15:10       Oh yeah. My first nine years were all Southern. I was a road guy at Alabama. I started in Tallahassee and Birmingham where like those days I can, 98 open mic was once a month per city. Wow. So every week if you wanted to get on, you had to get on the Greyhound and go to another fucking city. That's commitment. So that's the only way. And then we started creating stages, like in the panhandle life from Fort Walton over to Jacksonville. You started meeting? Yeah. You form a little fucking network and this guy's got a Monday night at a shit hole. This guy's got a Tuesday night at another shit hole and looking back on it, it was all trashed age time. That's the best you could do until you move.

Speaker 2:          00:15:47       It is amazing though. How many guys have crafted careers? Just doing that, like the will, the will to do, do time and defined spots and to find place to work out.

Speaker 3:          00:15:58       I wouldn't make the argument that I'm better off now as a comic 20 years in having started on the road instead of starting in a major market. Just because I feel like when you're a road guy you meet every version of what your career could end up being when you're young. Because if you're, if you're San Fran, if you're a big city comic, you only hanging with your peers. You run into the big wigs every now and then, but at some high end Bible shit at the comedy club and then they go on their way. But when you do a weekend with Ron white and you get to watch him properly night after night after night, that's a fucking tutorial and that's a fucking gift. And then you can do what weekend? The very next weekend with a guy who's been doing it 30 years, hadn't written a new joke and 15 burnout, alcoholic hates his kids, hates his wife.

Speaker 3:          00:16:50       And once I got to LA you start seeing, well, no, I know to avoid that because I'll end up like that dude. I know not to do that because I'll end up like that. That was a comic, goddamn, I can't name names. There was a comic that used to, he won custody of his child and the one thing in the court order was that she could not be around the comedy club. So you know what he did if I, William brought her around the comedy club. So as this feature, I watched his seven year old while he would go out and do his set. Oh Jesus. Yeah, but that, that's the last that he was kid because of that. I don't know. I haven't seen him since. Fuck,

Speaker 2:          00:17:30       you can't bring your kids seven year olds. I brought my kids when they were like a nine and seven outside a comedy club and I let them, I let them peek in. It was at the improv in Irvine. And I said, cause we were all down there having dinner together. And I did my show. And uh, they, they were like around the corner. I said, come on,

Speaker 4:          00:17:50       let me take you backstage. I'll show you what it's like. And I, and the show was about to start and I had my daughter like come on, peak out peak out there. And she's like, Oh my God, look at all those people. I would say on stage, I was like, Oh Ron stage. It's like, should I no, don't run on stage. Come back. And that's safe. That's safe. But to have them listen to your shit. Nope.

Speaker 3:          00:18:07       What that taught me was the importance of how important it is who you end up with as it relates to your career. How's it can choke your career. Cause a lot of the guys that I started with, you know, a lot of road guys, they're not doing it anymore or they're doing it at the same level that they were at 98 and a lot of them I can point to dating the wrong person who attacked their psyche and their self esteem in that three, four year window. Cause I feel like every year you get another opportunity to skip a level. Right? Right. And if you don't skip that level, you go back down to levels. And so these guys are trying to go from here to here and you're with someone that's attack. Why are you doing that? You shouldn't be doing that. There was a guy that used to take me on the road with him down South, um, kind of want some mentorship type shit.

Speaker 3:          00:18:56       And we would go do gigs. And if it was within four hours of the city, his wife would roll, his wife would roll. And both kids are in the back seat, car seat age. It's like nine o'clock in Georgia and we're just riding together to a fucking gig. We would do the show and then in exchange for an opportunity for stage time, I would drive this family back home and then I would go home and sleep in my bed. But we didn't spend the night. The family would stay at the hotel while we did the show, and then we would get back in the car and drive the fuck back home. Knowing what I know now, he was fucking chicks on the road.

Speaker 4:          00:19:34       Ah. And the only way she was comfortable with him still doing standup was if she got the role. Interesting. And that's gotta be stressful. He fucked up. He fucked up. But he tried to have both. He tried to say that both he tried to save to career and tried to save the marriage. Yeah.

Speaker 3:          00:19:51       And I think who you deal with outside the business is as important as how you handle yourself in the business.

Speaker 4:          00:19:57       I understand that her position and that one, I understand that her more than I understand the lady who was undoing your puzzle. I don't understand that. I don't understand that mindset. That's a different mindset. A woman, Alicia solution. That makes sense. Yeah. She's trying to figure out a problem. Well the solutions problem. You still want to do comedy or I'm coming with you. That makes sense. You shouldn't have a three year old in a car seat for eight hours on no Wednesday night. No, no, no. Just cruising the freeway. Yeah. Oof.

Speaker 3:          00:20:23       But if that's the proposition she presents to you in order for you to continue doing your career, then you know, you either got to take it or leave it.

Speaker 4:          00:20:30       Yeah. Comedy is a tricky one man, because in order to do it correctly, you have to do it almost all the time. You gotta be up all the time. I got a good situation where my kids are in bed by like, you know, eight o'clock on a week night and that's when I leave. Yeah.

Speaker 2:          00:20:48       I kiss them goodnight, you know, and uh, I, my spots in the store usually around 10, so, uh, I'll just roll in, you know, I'll hang up my wife for a little bit and then I'll drive into town. It's perfect.

Speaker 3:          00:20:59       But when do you evil sense? Cause that's where I start running into overlap and time is figuring out the execution of comedy versus the preparation to do comedy.

Speaker 2:          00:21:10       Mm. So reviewing the set, watching tapes, well a big one. Yeah. A big one for me is the drive there and home. So it's 35 minutes to the store, 35 minutes home. So that's when I'm reviewing material. I listen to recordings so they have it Bluetooth on my phone. So I do that through the speakers of the, of the car and that helps a lot. That helps a lot. That's gigantic. You know, like uh, it also puts me into mind. I feel like the more sets you do, right, the tidy your standup is, but the more focus you put on your set, like it's almost as good as like a half a set. Like listening to a full set is like a doing a half a set. That's how I think about it. I feel like the same way you found all the extra that you found all the fat to trim.

Speaker 2:          00:21:52       Yeah. You find the fat to trim and you also find like a spark. Like, Oh, why did I say that? Ooh, there might be something there. And then, and then you've got to write that down. And then, and then I spent time just going over scribbles like right here, you know, like straight pride parade, like a little, okay. A little scribbles. You know what I mean? Like, okay, what was I thinking there? Oh, that's right, that's right. It's right there. And then I'll start adding stuff together and then I spend time just straight out writing the straight out writing times. Almost always when everyone's asleep. So like when I come home from the store, it's like midnight or something like that that everyone has to pass time, spark up a joint, fire up the old fucking laptop. And that's when I ride.

Speaker 3:          00:22:31       There's, there's a time, the thing that I struggled with the most in writing is consumption. Um, Chappelle says something years ago in a magazine about how every comedian needs to understand how their joke machine works and identifying the stimuli that you were encountering during the time when you are having a creative high in your, in the writing cycle, when ideas are just popping in, coming to you, document what was happening, what was going on during that time and do your best to recreate those situations and scenarios to inspire writing when you have writer's block. So I know for me it's stuff that bores me or stuff that annoys me, be it reading, magazines, TV, whatever. So I have to find time to watch it that I don't like or can't stand because I know my mind will wander into a place where I can write some stuff but like to physically just sit and consume television and that's what I have to start doing on the go. Like I get it now. Like, I used to think these people were stupid, and now I'm one of those people who walks around staring at the fucking phone, watching my DVR on the train or something because I have to constantly take in so that when it is time to write that there's something that there's something writing there.

Speaker 2:          00:23:46       I had a conversation with Theo Von about this last night where he, uh, he's burnt out and he had a cancel some shows and I said, what's going on? And he said, man, he goes, I just been going too hard, too hard, too much, too many weekends, you know, nine shows a week over and over and over again. Seven, eight, nine, 10 weeks in a row. He goes, I just, I need to stop. He goes, I'm not taking anything in recovery. He goes, everything I'm putting, I'm just putting everything out. He goes, I didn't know. I had nothing to say. Everything seems fake when I'm saying it. Like I feel, I've felt, you know, that, you know, you laugh when you felt that spot where you feel like everything you're saying feels fake. Like you're just bullshitting.

Speaker 3:          00:24:22       Yeah. I, I'm trying to, I'm still working on a lot more stuff that has more teeth to it and I'm starting to become obsessed as in the word, but there's something noodle in at me about veterans and the trajectory of veterans when they come back from war and all of that shit. And I was trying to work on a bit about Vietnam and started watching this Ken burns documentary that's on Netflix right now. And it's like, it's fucking crazy. Like they, they interviewed North Vietnamese soldiers as well. Like I ain't never, ain't never in my life. So you know shit like, cause normally Vietnam is always told from our POV and they're sitting down with just straight out via Carla. Yeah. We was trying to get them motherfuckers, we'd set them up like an remorseful in the sense of speaking about the war from their perspective and going and, and it tells the story from both sides and so it changed, it altered how I want to tell the joke. And that's the stuff that you have to do from time to time to make sure that your jokes aren't weighted to one to one side that's black,

Speaker 2:          00:25:27       but level material, man, if you're gonna make some jokes about war and Vietnam and soldiers and soldiers returning, you're just, you're, you're entering into the trickiest of balancing beams. Right.

Speaker 3:          00:25:37       That's where the reward, that's that Gabby Douglas, double, triple, whatever. I'm sorry, some of them Biles. Pardon me, Simone Biles, and yet she did, what did she do? I don't know. Something they'll make illegal and competition next year because black women did. And you're like, no, don't do that shit no more bitch. It's like when Syria Bonelli was figure skating and she did a back flip on the ice and they were like, yeah, no more. Backflips they said, no more back. Yeah. They were like, you know, yeah, there's French chick did a back flip and immediately the ILC was like, no more backflips it was too amazing.

Speaker 2:          00:26:12       Wow. Maybe they're worried about like those BMX dudes, BMX dudes and they started doing double flips and they started doing flip, triple flips. A bunch of them started crashing and breaking their necks.

Speaker 3:          00:26:23       Oh, that fucking snowboard shit. That's insane. Yeah. Snowboard freestyle.

Speaker 2:          00:26:30       You're stuck on that thing too. It's not like skis where your legs move.

Speaker 3:          00:26:34       That one in the snowmobile where they're coming over the handlebars of the snowmobile and coming back down. I'm like, no man, no

Speaker 2:          00:26:41       anything with BMX or

Speaker 4:          00:26:44       motocross or any of those crazy white dudes that are doing flips. It's all just how many flips can you do landing on your front tire and the Rex man, I spent an hour one night just watching Rex, just watching guys try to do flips and land wrong. It's like picturing nerves getting ruined for life. Spinal cord injury, compound fractures. There's a birth of big air 30 for 30 where he'd talk about when he started this shit in the 80s in Oklahoma and it would just doing it for the love, like there's just a dude with a ramp in his yard and just work traveled. No email, no nothing. Just word of mouth does a dude with a ramp. So when we're in town to do that race, we're going to go over to this dude yard do for that ward. Dangerous shit. You gotta be like a trapeze guy.

Speaker 4:          00:27:32       Like before there was motorcross and bikes and shit. What did you do? Like if you are a crazy person, you gotta be a trapeze guy. Yeah, we'll real options. You have winning with skateboarding. Skateboarding wasn't really, they weren't thrashing like that in the 80s you know, they were just rolling around like assholes. Like we're on a sidewalk, move it pedestrian. The crazy shit they did is get in a pool. We're in a bottom of a pool. This is nuts man. We're on the edge. The shit they do not like kids like in general athletics wise, like the stuff they're doing now. Like you see it and in jujitsu and an MMA, the kids that are coming up now, they're though they're so advanced in there, they're all doing flying triangles and flying armbars on each other. It's like God damn like humans are evolving. So I came up playing baseball.

Speaker 4:          00:28:15       Is there, are there certain maneuver like in baseball before you turn like 15, I think they try to limit you throwing breaking balls. Mm. Cause it'll fuck with ya. Um, elbow Tommy, John and all that shit. Right? So are there MMA moves where you just as a child, you just, you're not allowed to do this yet. You have to be your grown man leg locks. As a beginner, they generally try to get you to stay the fuck away from leg locks cause leg locks. I don't know if you're familiar like heel hooks. There's, there's techniques that you do that are going against the edge of your knee. So like, here's your knee, your knee bends like this, right? They're going against it this way, trying to bend or back that way. And it just, you're, there's not much give in your knees, man. And so when you get a heel hook, it's like your leg, your leg is like in front of like wrapped around a guy and they've got their heel trap like this and they're pulling on your knees sideways and your knee just gets ripped apart.

Speaker 4:          00:29:11       And it happens. It's very, very common that guys get knee injuries from being overzealous and uh, not, not, not like giving a guy a chance to get out of a technique. There's a heel hook right there. I see that guy screaming at his fucking face, bro. I'm telling you it is some fucking horrific pain. You get your [inaudible] tear it apart, your fucking ligaments pop. You know, it's, it's a terrible, terrible feeling. And there's not much room for like in an arm bar does like your arm is locked out. You can kind of take it a little bit before you have to tap. But with your knee, the moment you feel pain, it's too late. Your for, yeah, look at that right there. Whoo. Look how bad it is. Ripped apart. That's Dean Lister, Dean Lister's up fucking gorilla. That dude on the bottom. He's like one of the leg lock pioneers in jujitsu. He's fucked up many dudes. Future walking. I'll say this about MMA. It's definitely leveled bar fights. Oh yeah, a little bit more now. I've seen some scrawny guys like really fuck a big dude that know what they're doing. Yeah.

Speaker 3:          00:30:15       Like at five and you'd just see the D and it's funny because there's all the shit talking before the fight and then the fight starts. And then of course the big dude is like tapping and does the scrawny do to still go on. I'm like, dude, there's no riff. You're, you're at a bar. Like this isn't, you don't get to tap out. You get your shit

Speaker 4:          00:30:34       broken. Yeah. There's a lot of people that get in fights, don't know what they're doing. It's strange. It's like, imagine if you challenged the guy to a basketball game. You've never played basketball. We were ridiculous. Like, I know how to do it. I've watched it on TV, but there's a lot of people that do that with fights, but the consequences of a fight are way more grave than the consequences of a basketball game. Somebody kicks your ass in basketball. You just look like a fool. Somebody kicks your ass in a fight. You're you, you getting fucked up. Maybe permanently. Maybe your face is gonna be scarred up for life and ain't no fighter man. I'm Oh one in one lifetime. Oh one and one one draw. What happened with the draw teacher show

Speaker 3:          00:31:08       and got in a fight and got in a fight in the eighth grade at a stop. The violence rally. No, that's real shit cause I figured that'd be the best place to talk. Shit. What's, what's a better spot? Talk your shit than at a stop the violence rally because presumably someone will come in and go, Hey man, right, let's not do we brothers and our Mario Brown slept the shit out of me. Mario Brown. Where are you at Mario? Mario Brown is uh, air force retired. We'll still, we're cool. We'll pull it to this day now. But on that day he slipped. It dug shit out of me in the gym in front of everybody. That's the worst. And you take your ill in front of everybody.

Speaker 4:          00:31:54       Ooh, that's a hard one. That's a hard L thought I was going to get off on that one wrong. You know, I didn't know how to fight at all until I learned how to fight. I was terrified of fights and never, never, never was. Never was the guy who like, I was just trying to get away from everybody cause I grew up in different places. We moved around a lot when I was a kid, so I didn't grow up like with a bunch of friends where everybody knew everybody. It's like I was always the new kid so, so you always had to always, always. And so then when I was 14, I was like, all right, fuck this. I moved to a new city, new town. And I was like, I gotta learn how to fight. And so I take, started taking martial arts. I just became obsessed with it. Do you teach your kids? Yeah. Yeah. I teach them, but they're not into it anymore. They uh, they were into it for a little while,

Speaker 2:          00:32:40       but they, they like doing other stuff. Mostly gymnastics and shit.

Speaker 3:          00:32:43       But do you, are you teaching them, did you think to it? Cause I'm trying to say it with my son. You know how to approach self-defense. How he's three, he's three. I noticed that early. Yeah.

Speaker 2:          00:32:54       But it's not, it's, it's not a bad thing to get it to be a part of his body when he's really [inaudible]

Speaker 3:          00:32:58       black daughter started when she was five. But the question becomes about teaching proper conflict resolution. Cause I also, I'm wired a little weird in the sense that I feel like because he's a black kid, he's not going to get judged the same if he throws the first punch. So I don't want them in a position where he might get expelled or some shit, you know? Right. But if you've got to get him out the fuck off, you gone on bend that knee sideways. You got to guess.

Speaker 2:          00:33:24       Well that's the beautiful thing about kids learning jujitsu too is that also the really used to conflict because you have conflict in the gym all the time. Not conflict in a negative way, but when you're sparring, you know you slap hands and you just do it and you go full blast. You try to get each other as hard as you can and you can do that in jujitsu cause you're not hitting each other. You just choking each other and getting an arm bars and then when some gets you you just tap and then you move on to the next thing. And the, the thing about doing that is then you're not worried about conflict. It doesn't seem as scary to you. Like for me, until I started learning martial arts, I was fucking terrified of everybody. I thought everybody was going to kick my ass. Like fuck. I was like every, I'd seen some do that bullied me and like Schiff and I'd go around the whole opposite way of school. I'd walk the total way around the school to get to the

Speaker 3:          00:34:10       ah bro, how much longer was that? 15 extra minutes. I didn't care. I have to walk 20 extra minutes home if I didn't want to cut through the South park projects cause there was this dude Spencer that was always every week for sure. Go on, give me the damn business. Those people would ruin your lives every week. Like they would sit on the porch and watch me walk in the corner store and then would come and take my fucking now ladies and laughing and mind you, I've set aside lunch on my, I ate less at lunch so I can eat candy and chips on the way home and they were snatched that shit right out. My only thing you say me growing up, I had an ad, a good ass basketball goal. So all the gang bangers in the neighborhood would come to our yard to shoot ball.

Speaker 3:          00:34:53       So I essentially learned every, every terrible person in my neighborhood, shot ball at my house. So you can't fuck with me because then you won't be able to shoot ball. Oh that's nice. So I don't know if my mom did that by design. I know she did it to keep me from going up to Powderly park to shoot ball where, you know, that's why the bullshit would go down. But all the bullshit came to her house. But out of respect to my mom and my dad, like they never started shit and I just walk around the neighborhood perfectly fine. Now at school I can still get fucked with, but on the walk home it was gravy. That's very nice. Once she got the basketball that was good.

Speaker 2:          00:35:28       That's very nice. Yeah, it's hard. A kid who's really mean who's like bullying you in high school and and junior high school and that could fuck whole lives up. Sometimes people never recover from that shit. You know, it's a natural inclination that people have to fuck with someone who's scared and weak to just you see it in animals man. You see in dog.

Speaker 3:          00:35:47       Yeah we are animals. That's what we forget. We get like clothes and automobiles of civilizes. No it still, I'm trying to take your woman and reproduce and I'm trying to, if I can spread my genes and I'm going to take your food. Like that's the basic of bullying is that

