Speaker 1:          00:00:03       Three,
Speaker 4:          00:05:15       Yeah, it's the. It's one of the funniest stories you'll ever hear in your real. I swear to God he's talking about fucking pussy and he's like, oh, it felt like frozen gummy bears. That's the only thing I can describe because I think I can get rid of all the dick meat. They just like, so I'm fucking. And he goes, no. If I tell you this pussy just looked like a sloppy mess. You should have seen the asshole, but I couldn't get any friction in the pussy because I guess the doctor didn't do a good job, so I'm pinching the pussy down and I'm fucking fuck this guy and his asshole. He did everything. Oh my God, Jesus Christ and he's not even gay. Not at all. What the fuck is that about? Told a story about how he led a guy below him one time because he was out with this and he's.

Speaker 4:          00:05:57       He's not a good looking dude. He was out with this like supermodel chick, like really hot, like famous playboy model and they were out and they were all doing coke and partying and she goes, I'll let you do anything you want to me if you let this guy suck your Dick. And he went, well, he goes, what do I have to lose? He goes, if I, if I like it, then I'm gay because that solves a lot of problems for me in life. He's like, so I, I let the guy do it, and apparently the guy that did it's this famous writer for Vanity Fair and he let the guy suck his dick and he said, as soon as he goes, as soon as I felt the growth, the stubble of his beard hit the base of my cock. He goes, I've never gone so limp in my life.

Speaker 4:          00:06:35       And he goes, I went, I'm not gay now. Did he fucked a chick afterwards? He did. Fuck the chick afterwards. Maybe it was two coked up the fucker that night. But he got to afterwards. But so the guy went, he went limp. Meaning that he was hard before the stubble hit him. He, yeah, he, well, he was, she got them hard or something. It was a crazy fucking story. This dude knows how to party. You know? He doesn't know. I do not want to know how to put it as an idiot. She sucked. Had a guy suck his dick. That's not a guy who knows how to party now. Silly. He's A. I would rather not. Fuck that girl has a lot of outrageous demands. You know, he's friends with, he's friends with the dude who's a pretty amazing dude to me, to that own consumption junction.

Speaker 4:          00:07:16       Do you remember that? Yeah. Well I went to Arizona to do crazy stuff, right? And assumption junctions all around. I don't know if it is, but the dude sold the website and made millions of dollars but powerful. I went, he's his best friend and I went to Arizona to Scottsdale or whatever tempe to do, shows that. Right. And he's like, let me call my friend. He'll show up at your show. So the dude shows up and sits down and starts telling me stories. He's like, so I'm in Panama and uh, because you know, there was no extradition laws there and we're doing mountains at coke and we're fucking these girls and I'm pissing all over them and we're all in the shower and there's eight girls for me and eight girls from my friend. And like, these guys just live in a world that like they make movies about and shit and they tell me these stories and I'm like, are they just, are they lying to me?

Speaker 4:          00:07:59       That impress me because comic and then you see his website and you go, oh, okay. There's guys that are doing that. There's Joe Frances type characters that are like that guy. He's notorious. I think these guys are beyond that. This deal now owns a website called sugar sugar. It depends on how much money you have. It really does. If you're a sociopath and you got a billion dollars, you can do some damage. You can just go out there and, and ball all the time. I know some people that are, uh, that are big finance people that I'm back in the early days of the UFC and these guys are tons and tons of money and Scott was ugly as fuck. This guy used to travel all over the country, just banging chicks and he was always telling me stories about being in a Baeza and being in Russia and being here and he's just a fucking 20th century baller. Sky was just roaming the country. Roman the world rather just everywhere party. And it, especially if you go to other countries in other countries, people just fuck. I toured. America is a different rap and you know that because you, you go to Australia like six months a year. I toured

Speaker 5:          00:08:56       for about six years extensively around the world, like doing China and Dubai and all these South Africa and I saw some shady shady shit, like you just start finding out like a prostitutes or $50 around the world. And I was at a party one night in Dubai where everyone was so fucked up. They went all, let's get hookers. And when we found out they were $50, we're like, well let's get 10 each. And uh, and it was like we didn't even want to have sex with them. It was like, just to like, you know, like it, it started with, well I don't know, $50. I just want them to come over and listen to my jokes, like creating your own audience. And then everybody gets 10. We've got 30 people. That's a decent night in the are. Imagine having the audience you could fuck afterwards. That's awesome.

Speaker 5:          00:09:39       Well, that's, that's what happened. I'm not going to mention the names because some of them are, you know, comics that work here, but there was a whole bunch of comics and everybody started upping the ante. They're like, I want to just have them come over and fucking poor maple syrup all over them and we're going to swim around the fucking bathroom floor. I want to put pringles on this is in Dubai. And Dubai's, you guys worried about being arrested because they have some really crazy laws from the minute we got there until the minute we left on this trip, we were so fucked up that it never occurred to me. And then my next trip over I, I got fucked up in customs and thought I was never coming back. What happen? I, uh, I had, didn't have the proper visa and I tried to leave. Uh, I missed my flight because I was all fucked up.

Speaker 5:          00:10:20       Oh, this was the same trip on the way back. Uh, I tried to leave like the other two comics got on, got on the plane. I missed the plane out of just being so fucked up. I was in an Internet cafe, I missed the plane and then I'm like, fuck, the next flight's not for 24 hours to London, so I try to leave the airport to go to a hotel and my, my visa was only good for like three or four days or whatever. So they checked my visa, they checked my, my passport and they didn't match because my agent fucked up. Oh my agent put my, put my middle name or something on it somehow. And you easily could be a spy to look at you and spy looked to him. God just took my passport, walked away and I never saw my passport again till 24 hours later.

Speaker 5:          00:11:06       So I'm without a passport. The next thing I know I'm in an office next. I know fucking strip search I've done. They've gone through everything in my bag. They've gone through my computer. When they opened up my computer on my heart started beating so fast that I'm like, because pornography is illegal in the Middle East and they tell you don't buy. The guys are going to try to sell it to you in the streets. Don't buy it, they can be spa. So they looked on an every folder and your laptop, they opened my laptop and when they opened it I was just like, this is it. I'm going to be in fucking prison and be a Middle Eastern prison for the rest of my life because I downloaded like topless carwash angels, you know, like that's like, this is fucked. And uh, I had called my girlfriend at the time because they kept making me go like before they, like Kinda held me in this office.

Speaker 5:          00:11:50       They were like, go to this office and I'd go to this office, they'd be like, go to this office. And I kept walking down hallways and they're like, go down this hallway and they make me walk down this hallway and there's a big sign that says like nobody is allowed past this point. No one at all. Like whatever in English it said it. And I'm like, they told me go down that hall and I'm like, I'm not going down that hall. Like they're setting me up or something. Right. So I call her on the phone, I've got my cell phone. Oh, that's crazy. And I go, listen, I'm in, I'm fucked. I don't know what's going on, but if you don't hear from me in two hours, call the US embassy and tell them I'm in trouble. I said something's fucked up here. And Dubai's supposed to be like the most progressive place in the world. What? But I know it's not in the world, but I mean in the middle of the Middle East countries, just because they want the money. Exactly. Want tourism and need to be the biggest of the desert. Yeah. They look the other way. You see shit like Russian hookers barbecuing sausages on the beach like topless. And you're like, wait a minute, there's Muslim. Come. Yeah, tried it.

Speaker 2:          00:12:50       People been arrested. They were making out there. So it is just subjective. They decide when to enforce with sex and the city, wasn't it? No, no it was real. Real couple real. A couple of weeks.

Speaker 5:          00:12:58       Weird fucking shit. Like we had, we had drinks, beers on our van and uh, I was over there another time shooting a documentary and we had beers on the van after we shot one night and we had a, uh, a female like that worked for the, for the Emirates with us. And the next day we find out like we're in big trouble. We drank around a female. Uh, we were swearing, uh, there was all kinds of shit in there. Like they're like, you broke every, like sharia law possible, don't you fuck those evidence of this? Well, it was kind of like I was over there with like a guy who's really his, his father is like the attorney for the Emirates. And so it was Kinda like, you guys are okay but don't fuck up again like you. So do you have a mark against you now?

Speaker 5:          00:13:43       So if you go to Dubai now not, I'm not, I'm never going again. We filmed one thing where I put on a dish dash, which is the Islamic will, not Islamic, but just the garb that they were in Dubai and you know, it's the white gown and the hat and they gave me one of those when I did the UFC and I with abby. Yeah. And a buddy of mine just wore them around town. We thought it was kind of funny and we're just. And we kept asking. People were like, well, we're okay, right? We're not breaking any law. And they're like, no, no, it's not religious. It's just the clothing that people wear. And then the girl that worked for the Emirates left the Emirates and sent me an email telling me that there were spies watching us the whole time. I was like, fuck this shit. I don't need to go back there. Yeah. Who was, who's

Speaker 2:          00:14:24       there was telling us. Pete Johansen was telling us that he did gigs in Dubai and there was members of the secret police would sit in the audience and watch. Yeah, yeah, yeah. And it will be in the front row and they'd be totally obvious, I think is actually, I don't remember if he said the front row, he might've said that back row, whatever he said. They were super obvious and they were standing there with their arms crossed just staring at him the whole time. So He's trying not to cross any lines. Try not to say anything. The lines. You can't cuss. No, no. You can say they don't want you making fun of Islam. They don't remember when we had. What's his face, how sparks. And he was talking about almost getting arrested who's doing gigs with Jon Lovitz and he made the mistake of calling the speaking of the.

Speaker 2:          00:15:06       One of the sultans or one of the shakes and he called them. What do you call Ms Dot Moore? Ms Dot Moore. Ms Dot Moore. I think he said that. I called them the French name for Mr. and apparently one guy got incredibly offended and called the religious police and people showed up and they were going to fuck him and put them in jail for this. I seriously think I could make a movie about my weekend. The one weekend I went there, the risk area when there's other parts of the country where you travel like that where the dues, we get used to behaving and thinking you have a certain amount of freedom. You know what you do here. This is an entirely free country. You know, we'd still illegal. You can't say I want to kill the president or if you do, they'll lock you up. You know, obviously it was in character when I said that the president of the Kentucky Fried Chicken, you know, you can't do certain things.

Speaker 2:          00:15:49       You can say it's not completely and totally free, but for the most part it's pretty easy to get along here. But if you go to other parts of the world, they're incredibly suppressive. Incredible. Especially the Middle East. Terrifying. You know? That's one of the things like when people like, you know, I am most certainly not for war and not into this war, which I think is a fucking shady war and shady as fuck her. We got into it. But you have to be very careful about the rise of Islamic power all around the world. The rise of [inaudible] was sharia, sharia law. We have to be careful of any kind of religious zealots, whether Christian zealots are Muslims, Muslims, ups or anytime. People that think they can lock you up and they have the right to because you were having fun, you know, you were out dancing when you were out drinking.

Speaker 2:          00:16:32       I have to say that's some scary shit. I've always been, not anti American, but I always rebel against the government on all things when I get over there and this should happen. That's when you start to really appreciate your country that you go, you know, I could call the embassy and they would take care like they fight for you at the shore. That's what they're supposed to do. And they're United States citizens, you know, I mean, we pay taxes. That's what it's all about. You know, that's the benefits of being a part of the team, but it's just fucked up that we have to think about that anywhere. You know? I mean, yeah, it's not perfect. It's fuck corruptive shit, you know, super corrupt. The fucking, the business of government is gigantic. You know, there's a billion different jobs out there that are literally don't need to exist.

Speaker 2:          00:17:10       They exist to keep jobs going to keep the business of government going and it creates quagmires and fucking complex little social situations. That's very. That's why I always say to people, I think it's funny when people criticize the president. I'm like, I'm not an Obama Fan, but I'm not against them. I don't believe in the whole political system, but I love people that criticize, but he's the one who's in charge now. He fucked everything up. He's so silly. He's like ww raw, that whole political system and Vince Mcmahon's, the corporations running it all and. But, but people that criticize like a guy like, you know, a Baldwin is healthcare Douglas. I'm like, dude, you can't even fucking return your videos to blockbuster on time. How

Speaker 4:          00:17:50       it's a general lack of understanding of what the system, which I think most people have. And even me, I, I'll, I'll get into it, we'll focus on for like a couple of months and then I'll go, what am I doing? What am I paying attention to on paying attention to this stupid hustle, this fake thing that barely know what goes on in Washington, barely affects your day to day life. What goes on in your neighborhood, what goes on with your friends? It goes on in your world, the people that you interact with, that's it affects your life. If you get really too hung up and dealing with like Washington and politics and Democrats and Republicans and and thinking. You understand that system. That's what's ridiculous. Used to work for a senator and yeah, it was my first job where I worked for Ireland. Specter, get the fuck out of here to God that evil cunt.

Speaker 4:          00:18:29       You know, that guy was on the warrant commission. I can tell you, I just, I started interning for him in college and it was like I thought I wanted to go into politics or something and then I realized like I'm the. I thought that I had the shady side that was good for politics, but I was like, there's no fun involved. It's just a fucking torture is horrible, and they are that like everyone says it's poor man's Hollywood specter had like hair plugs, facelift, fucking horse. You have to appear virile too. And it was just like. And he was the ugliest dude in the world and he was over evil. Fuck man. But when he would explain his, his single bullet theory, if he would sit and explain it to you after he does it, you would believe him? No, I wouldn't. You know, I wouldn't because I've seen the bullet.

Speaker 4:          00:19:12       The dumbest thing about the single bullet is the bullet itself, but there's almost no damage went through to people. Shattered bone and it's barely dentist, but I'm telling you in his presence, he has this way of Cain. Correct. Incorrect. I would not be amused or affected by that dummy, but it's no way that guy's an evil. Fuck. There's no way I would listen to him and being charming or is he not in the least. It was one of those things where I was like, how the fuck did this guy get into politics? He was on her and all you have to do is be in dude, once you're in, it's like being a writer on a Sitcom. You know when you work on a Sitcom, one of the things you find out about working on sitcoms is there's usually a few brilliant writers and these fucking fakes.

Speaker 4:          00:19:49       These people that aren't really funny at all, like they would never stand up comedian someone somehow or another got them a job as a comedy writer and now here they are on sitcoms and I would you deal with them over and over and over again and you realize all you have to do is just get into the system. Once you get into the system, then you get other jobs. I gave that speech once. I got a deal a long time ago with a for to do a sitcom and it was going to be about my life and I used to live with my sister in New York for awhile and they thought that was funny. You know, to the point of view will make a show about it. And um, so I met with writers or first I met with the all the development guys and they were like showing me the writers.

Speaker 4:          00:20:23       They were gonna give me and they gave me the script of these guys and I went, this is shit, this is shit. And my manager at the time was like, shut the fuck up, take the money. Who's your man? Got Up the time it was kary Hoffman Carry Hoffman had in New York. He owned standup New York. Oh my God. Stand up. New York didn't carry, like he would get, like people would get sitcoms and he would want a piece of the Sitcom because they used to work out in this club. Do that. Yeah. And that's hilarious. He listened to the

Speaker 2:          00:20:48       stouffer's or listen to that guy was a manager of a fucking calm or owned a comedy club. Comics would go up and then performance club and they've got to develop. One guy got a development deal and he wanted like a certain percentage of this Guy Sitcom because he used to practice at his club. Oh, that's fucking stupid. So amazing. Of course not. Of course. Try really hard. Amazing that he would even chase after that. So I'm sorry. So this guy tells you to shut the fuck up, shut the fuck up and take the money and I'm sitting in the meeting. No offense. I said, I understand, you know that you think these guys are good writers and everything. I said, but I know this whole system, what goes on, guys get in and they'd get their buddy in and he can't write and. But then they've been there for 10 years and you don't realize they never wrote anything good.

Speaker 2:          00:21:29       They were just there and now they get to be a show runner. I said, I've got millions of friends that write funnier than this, can I? Can I just go out and get one of them? And we're. Jim and I are in that situation right now where they're trying to do a show with us right now and it's like we feel like we, we, we could write the show. There was a time when, uh, I had a development deal where there's two guys that were, uh, uh, writing for friends. They were the creators of friends and one of them branched out on his own and uh, I got this development deal and it was for Fox and was, it was a good amount of money. And so they really wanted this guy to do it because this guy has such as great background will. Often what happens is when there's a team of writers, you got one brilliant guy and the other guys, this fucking buddy that you bounce shit off of, you know.

Speaker 2:          00:22:11       And so the brilliant guys bouncing shit off the other guy and then they put it all together like maybe the other guy types and they become a team. So you didn't want. Somewhere along the line the other guy says, you know what? I think I'm unrecognized. My talent from a much broader. So this fucking idiot decides he's going to go out on his own. So he gets his giant development deal. It was for um, it was Michael Eisner's company and it was a fucking huge development deal. Millions and millions of dollars. Everybody was like banking on this guy. And so I go to meet with the guy. They wanted me to meet with them. I meet with them and he's wearing bowling shoes. And whenever I see a guy who was trying to be wacky, you know, you're wearing bone bone shoes aren't comfortable. Those are uncomfortable as fuck.

Speaker 2:          00:22:50       Like why you wearing those and wearing those to let me know that you're nutty. You know, I might be a multimillionaire, but I were bowling shoes to the office. Did you just get done bowling? No. You're trying to send a message. The message is you're dressing like you think a funny person would dress. That tells me you're probably not fucking funny. So I immediately get terrified and I'm like, Oh, this guy is a fucking faker. He snuck through and there's no way. There's no way. How can you get this fucking gigantic multi-multi million dollar dear if you snuck through? So I meet with the guy, um, we talk, he has an idea. He wants me to be a part of it. And Bubba Bubba, we meet and then they give me one of the scripts. The script that I read is fucking terrible. I mean, it was just God awful. There's nothing funny in there at all. And I'm like, well, maybe this is just, you know, just a shit script. Maybe he's got some other ones, maybe there's a Spec, maybe they had him write this, you know, and it wasn't a subject that he was interested in. So this guy comes up with the, uh, this is this idea for a sitcom. Sitcom is about an immortal. It's about a man who's immortal. Okay. And uh, he, uh,

Speaker 4:          00:23:46       existence like Egyptian days and all he does is like get laid. It's fucking devoid of comedy. Who wants to watch a sitcom about an immortal, a guy who was in mortal has been a more general sense the Egyptian days. And all he does is try to get. I don't understand all these hooks and these sitcoms when you look at like the best sitcoms that have ever existed, that the jobs or whatever they do it. It's, it's so like superifilous. It's all you need is a group of people that hang out together and have relationships with each other and the interesting relationships. If you look at like taxi and cheers and you could move them to any other setting and they would be funny. You put them in an office if you didn't matter what this guy did. Oh, this guy was not funny. It doesn't matter if he wrote about three people hanging out at a laundromat or three people who work on the moon just in that.

Speaker 4:          00:24:36       He's a fucking idiot. He just snuck in. That show never made it out though, right? Oh, of course it didn't. And I, I had to tell them we had a meeting and it was a real controversial meaning. It was like they were upset at me because I was like, this guy sucks, and they're like, this guy does not suck. This guy is Bubba Bubba. He's this, he's that. He's done all these things and I'm like, he's not funny. I'm telling you, this guy is not funny. This is a mistake. They'll like you don't understand. There's more to writing and just being funny. There's character development and story arts and he's a guy who really understands that and we can bring in more funny later, but what he's really concerned with is what we're concerned. We want a really good story. The story was deaf. It was terrible.

Speaker 4:          00:25:10       It was stupid. It didn't make any sense. It was just like a guy who's pretending to be a comedy writer who got a job writing comedy. I like if you took some fucking guy, worked for a fence company and I was. I'm tired of renting Francis other organ. I think I'm a good writer. I've done it. I've been doing standup for 15 years and I. It only, it took me 15, 14 and about 14 and a half years to finally realize that 95 percent of the people in the business don't know anything about comedy. Like, well, you can't really truly understand unless you're doing it. I mean, I and I've lately been putting them to the test where I'll say, well, explain to me why and when you put them, like when you put them on the hotspot anymore or like I'll say something like, why is that comic doing that?

Speaker 4:          00:25:52       Or why should he, why do you think he's good at what he does? Or why isn't he, you asking agents, managers with development people, talent scouts. I always do it and I put them to it and they'll go, well, you know, he does this really interesting thing where he's kind of like, not really observational, but he's kind of political buddies. He's more on a surreal. I'm like, you have no fucking idea. You have no idea. You all are sheep and you just file. It's not that I don't think they, I think agents and managers are really important, but I think they really can't truly understand what common is all about unless they do it. You know, unless you do it, you really never going to be an expert on it. You might know a lot about it, but you're never going to really truly understand it unless you can recreate it. I have an agent out of Australia, I think you might have. I think he might've worked with you when you were down there already, Lang. Yeah. Yeah. Same name as the Howard's Guy, but st

Speaker 2:          00:26:44       already is fucking like the greatest agent that has been a great guy. He's fucking amazing and he knows comedy comedy a little bit and like you'll do a bit and he'll go, why don't you say this? And you're like, yeah, that, that would actually work better and I'll run my sets by him before I go on TV. And he's like, no, no. Take that out. Put that in any shit. We're not saying that he can have some understanding of comedy without doing it. You just can't really truly understand it. You know? You're never gonna understand it. The way it comic understands it. It's all theoretical until you put it in practice. It's like a guy who does caught it and the gym is pretty sure he could farewell in a street fight. Yeah. Yeah. No, but really he's not really sure it's theoretical. You know, a guy who was actually fought a bunch of times was like, yeah, I've been through this shit before.

Speaker 2:          00:27:22       I know what I'm going to do. You know, there's, there's a difference and, but there's nothing wrong with agents and managers that don't understand it totally because they do a great job. You know, I wouldn't do it and you wouldn't do it. We're not going to sell ourselves or we're not going to go out and get development deals. We can't do it anyway. You can't negotiate for yourself. It's impossible, especially that end be creative like it's important to have managers and agents, you know, but they don't have to know everything. They just have to shut the fuck up and push in the right direction. If you're talented, you know what the problem is when you're not that talented or when you're not doing that, well, you haven't become successful yet. Then they start tweaking you. Then they start, well, we've got to figure out what's going on here.

Speaker 2:          00:28:00       Well, you need as a new look. You know, the Jamie Masada told my friend Todd Parker that, uh, he had to be the generation x guy. That's what he was saying by the younger generation x guy. This is your new hook. You go on stage, everything come out of your mouth that gen x, I am generation x guy. Have you imdbs that guy now? Lately that got the friends writer it just to see what. I don't even remember his name. I don't remember his name, but I've met a couple of those guys. I, I wrote something with one of those guys, a guy who wrote on Seinfeld. It was fucking terrible. He couldn't write anything funny and wound up meeting me writing the funny stuff and him writing it down. It was a terrible relationship with Carrie Hoffman. Did that to uh, to me that once he tried to change me, it's like I could have no idea.

Speaker 2:          00:28:40       Oh, you never see comedy duos anymore. You and a girl and a girl and you'd do like stiller in Mira. Oh God. Oh my God. What an idiot. Yeah. But uh, what does that guy still in the business? I think actually he's doing really well because he's got Mike Royce and Tom hurt to a really good writers and I think, I think tom might be on. I always liked the guy I'm doing. This club is always nice to me. Tom, I heard that shit about him to 15 percent from. He was kind of like a father to me. He was that. He was really good and he actually did shit. That was amazing. Some of the shit he did was the best stuff a manager ever did for me. When I went to Montreal to do new faces, he sent a tape of me to every single person that wasn't going to Montreal and I bombed at Montreal, bombed and so I was fucked and then all the people that didn't go to Montreal saw a tape. That was great and we're like, he's all. What year was this? This is 2000 or so. People were stopping and going to Montreal. By then it was Montreal kind of died either on my. My Year of new

Speaker 5:          00:29:42       faces was listening to this. It was me. Tony Rock, I believe was in it. A Dean Edwards who got Saturday night live that year, Demitri Martin, Mike Birbiglia, a Russman, neve like everybody got something big out of it. And uh, and it was like the last year though. It was the last year because chicken was

Speaker 2:          00:30:01       the year before. Yeah, that was when I was going to bring up, when we're talking about this, I think we brought up chicken on the podcast before, didn't we? Well, chicken, God rest his soul is the most amazing phenomenon. And this is the proof that agents and managers have no fucking idea. They just don't get it. They don't know what's funny and what's not funny. This was, some of them don't. I should say this guy, um, he was this young kid who was just real boyishly handsome and he had this really wacky act like there was, there's a screw loose in them and he had this like really, like completely over the top act. It just would baffle comedian. So we'll go. This is not funny at all. I don't get it too. It was all like, give you one. I remember

Speaker 5:          00:30:38       I auditioned for snl with them. He, uh, he went on stage and said so and so when they hit a home run, do you ever see him? They just jog around the bases. He's like, they just casually jog around. If they hit a home run, he's like, that was me. If I hit a home run, it'd be like what the fuck? And he'd like do like flips on stage and run around the audience and like throw his arms in the air and be like, I'd be flicking shit in the air out of my life. Would almost like if you just see a crazy man jumping up and down in a nightclub, a dude's pretty crazy. That's what he was.

Speaker 2:          00:31:13       Awesome. Yeah, he wasn't, it wasn't that talented. We tried really hard anyway. He wound up getting this giant development deal and just being a complete total bust like they couldn't do anything with was just not talented. It was just awful. And so um, he went into this sort of dark depression and then comics hated them. Like he was a punchline for Comedians, a bunch of them who just shit all over him, you know, I mean, come, you know, comics are, if one guy's doing better than you and you think he's not as good as you, it's just fucking phantom is the. So this kid one up killing himself in front of a school. We hung himself on a tree in front of us.

Speaker 5:          00:31:46       Cool. I know that. I'm pretty sure that part of it. I know I heard the story when he was at Montreal though, like there was so much hype on them going into Montreal that uh, like that they were bidding on him before he even went on stage. And I think he did as he was going on stage, someone said to his manager, like, one of the networks goes like, we'll give you a million dollars if he doesn't step on that stage because they knew his price would even go up once he went on stage and a million dollars. His development deal was a half a million. Oh, that was pretty sure that's what he got. So they said, we'll give you half a million for lease. That's what the rumor was. Go on stage because they didn't want the bidding to even go up further. So I don't say

Speaker 2:          00:32:27       lot of hype. Yeah. I don't think that really happened. That doesn't really. Nobody does that. But there was a lot of people that were into this kid and comics. We'd be standing in the back of the room watching this kid who flail around on stage and you know, like literally flail,

Speaker 4:          00:32:41       you know, and like he was on fire and go, what the fuck is going on? Let's look at clips of him online. You think that's a good question? Michael Ruth was his name. I think I've met him the night we did snl. We're, we were auditioning at Carolina and we're all in the green room and he comes into the green room and all the comics kind of know each other and then he shows up in the green room and he's got this energy, you know those energy vampires that just suck all the energy away from everyone else. He started bouncing around the room going fucking crazy. I don't know what I'm fucking doing here. This is like snls here and I'm fucking like, I'm not even a comedian. I don't know what, like this is crazy. You guys like do your shit and I just get up on stage and I'm like wacky and fucking crazy.

Speaker 4:          00:33:22       And, and everyone was just kind of, you know, comics were all looking at each other like did you. It was almost like he was psyching us out too because we're all trying to, you know, this is a big deal for us. We're all trying to get on and uh, he's bringing you into his head. Yeah. And I thought that's what he was doing and I'm like, you're fucking with me right now and I'm about to punch you in the face like that. So you thought he was doing it on purpose? Yeah. And I'm, I'm like, I'm not going to put someone really do that. I think there are guys that are, they kind of do that railing. Yeah. How would that work though? That's a weird strategy to go out and do anything. I've found some videos if you want to listen to one. Yeah, no one. I don't like comics that go. Yeah, that's him, man. You go to the room. Does it say anything about him? How He's dead. He didn't say how he killed himself. No,

Speaker 6:          00:34:04       you guys got a lot of white suburban gangster kids here. I ain't got a voice. You guys got little white suburb against your kids here. Not a gangster kids. Seventeen year old Caucasian boys that looked like me. Fuck you there. A black girl walking around the mall here. They got the pants hanging off their ass. Got The adults were going. Oh Shit.

Speaker 7:          00:34:34       He pulled his pants down. It looked like a thong he had on

Speaker 6:          00:34:44       dangerous, but she 45 pounds of gold. Gold chain. Three gold to go in the whole fucking time. His name's Bradley. Cue The plane that rap music loud as shit. Driving his mom minivan. No thank you. To want them to dance clubs. Doing all those boody dances. You know. Fuck you, dude. You can't do it.

Speaker 7:          00:35:31       He pulled his pants down again.

Speaker 2:          00:35:39       His name is Michael Roof. R O f. So anyway, that's enough of that. Anyway, that's not terrible. I mean that's. Yeah, I mean it's not the worst comment I've ever heard.

