Speaker 1:          00:00:02       Four, three, two, one. Boom.
Speaker 3:          00:16:25       Yeah. Bad quarter. Yeah. I, I'm a, I met three years right now and I just kind of like, I had to shut it down because it's kind of an overwhelming point. Yeah. Like it's a good problem, but it's overwhelming because it's a fuck, I can imagine. Yeah. And balancing, doing the work with now the, you know, like the marketing and branding, maintaining relevance through social media and taking the time to create content on top of all of that. It, I mean, especially when you're first starting to do it, the content part side of it, it fucking time, time consuming.

Speaker 2:          00:16:57       Crazy like long waiting lists, man. Three years.

Speaker 3:          00:17:01       Yeah. And realistic. My hair, it's actually in the, at least in the knife making world, it's not uncommon for people to actually wait longer than that.

Speaker 2:          00:17:09       This is the same thing with the pool cue world. Right. This is really the exact same thing. A lot of these, uh, famous pool cue manufacturers like southwest or sugar tree and then they have 10 year waiting lists and it's just because they do it right. It takes a long time. Everything's done by hand. They're highly sought after. And because of that, like you could buy a pool cue from a, you know, a company that makes them through, you know, computerized process and they're fine. They play really good. Just like a knife that you'd buy from a store that's made by a machine and saw all done mass manufacturing, it'll cut your meat. It works great.

Speaker 3:          00:17:46       Yeah, it gets the job done, but it doesn't feel the same thing. It doesn't feel, it's crazy. Like you can feel the difference between a handmade thing and a machine made thing. It's, it's bizarre. It trips me out every time.

Speaker 2:          00:18:01       Well, there's a little something that people leave and things that they make. I mean, there really is. I mean, I, I think it exists in everything that people make, whether it's clothing or jewelry or furniture or anything. Let me just think there's a little something that people leave when they in, in a thing that they make.

Speaker 3:          00:18:16       Okay. What do there's something that you talk about sometimes about how animals inherit, like, uh, passed down through genes. Like, watch out for this plant and watch out for these predators and shit like that. Like the passing something on like that kind of in a way like where I'm toiling over something like that for, you know, 40 dedicated, solid fucking hours. Right. Making sure it's as perfect as I possibly can make that thing at this point in my life with the skills I got. And I think

Speaker 2:          00:18:45       there's something to that. I mean, even if it's just a thought, even if you just know when you touch it, like if I touch this knife, I know that you made this, you know, when I'm, when I'm cutting something with this and I'm cooking, I know that you made this. So maybe it's just, even if it's only in my head, it's still, it just feels different, you know? And I, I, I don't know. I mean there's, there's rupert sheldrake who's a, I don't know what exactly kind of scientist he is, but he has this bizarre theory and he's a really interesting guy to talk to. So I would never discount it. He thinks that everything has memory. He thinks he just, you just can't access that memory. But he thinks there's things that have memories and he thinks that our idea that memory is something that only animals and humans possess is, is just, it's probably not true.

Speaker 2:          00:19:35       And that, that's probably one of the reasons why people don't want to buy a house where someone was murdered. You know what I mean? Like the idea is that a haunted house, even if it's not really a ghost, like maybe that home has memories, you know, maybe like my dad went to Gettysburg and uh, he's not woo woo at all. He's like as fucking straight laced across the board. No bullshit as it gets. And he said, man, you could feel sadness. There. He goes. He's just think of how many thousands of people died at Gettysburg. And he said, when you were there, it's just, it feels sad. Like you feel death. Yeah. Yeah. I don't know if that's real or if it's maybe the knowledge that you have that there was a war there. I mean, I don't know.

Speaker 3:          00:20:20       I used to do the thing where I would walk through cemeteries. I'm just interested like looking at people's names and like when, when did they live and what did people have to say about them or what, you know, what's left behind and just walking through cemeteries. Like sometimes I would even do it on Halloween attraction, my answer. And it definitely feels weird in there.

Speaker 2:          00:20:43       I used to run through some guitars. I used to run through them because I would, uh, I would want to be reminded that life is short. Get something done, make something happen that all these people that aren't here anymore. But the thing about cemeteries, it's like 30 dead when they get in there. Right? I think like the memory thing is like, you know, if you're on a boat and somebody gets murdered on that boat and you're in the boat and you're like fucking freaking out, like, hey man, there's something about like, things like if you had a thing, if you had a wallet that Mike Tyson owned, you know what I mean? You'd hold it. You're like, damn, you know, there's something to it. Morphic resonance. Okay. That's Rupert sheldrake's theory, uh, to theory developed by Rupert Sheldrake, British biologist, a paranormal influenced by which a pattern of events or behavior can facilitate subsequent occurrences of similar patents.

Speaker 2:          00:21:38       Oh, that's right. That is, um, that is not about it. Memory, that is, that was his other theories referred to in a lot of the other ways about memory is inherent in nature and yeah. Yeah, I think that's part of it. Like I think what I was talking about as part of his theory of morphic residence, but morphic residence, I think he's, he, yeah, he's here. It says that, hold on, scroll back, scroll down. So the process whereby self organizing systems inherent a memory from previous similar systems. So when he was talking about with morphic residence was um, how mice if they learn, um, like say if you have a pattern and there's like cheese at the end of this pattern and then they go through a maze, if one mouse figures out that pattern, other mouse can figure it out quicker and there's something somehow or another, they learn from each other.

Speaker 2:          00:22:27       And when chimpanzees were observed using tools, other chimpanzees on the other side of the world started mimicking that behavior without any interaction with those chimpanzees at all. Yeah, yeah, yeah. Very strange. That's like fucking butterfly effects shelter more intense than butterfly effect because it implies that there's some sort of collective information pool that they're sharing, um, through the ether that there's some, something that they are sharing through some unknown method has crazy. Yeah. Well it's been a pr, it's, it's actually been shown that there is some sort of a, there, there's something to this and there's a lot of criticism of it. So if you're one of those people right now that's like a strict materialist and you're screaming out, I get it. I get it. If someone who's a real rationalist who just wants only science, provable. The thing is, it is kind of provable because there's, there is, there has been some tasks and there's fierce opposition to this, which is anything that has like some woo attached to it, it's going to have some fierce opposition.

Speaker 2:          00:23:35       But Rupert was a really fascinating guy and he's also a rare scientists. That's he, he, he was, he was Christian. Is that what it was? He's really into, he has a certain level of Christianity that he accepts and adopts cause he feels like it's beneficial to him. Very interesting guy. Yeah, that's, yeah. I did a podcast, you know, a few years back. Yeah. He's a trip him and um, uh, there was a mathematician and Terence Mckenna, who was the other gentlemen, they were the, it was the trial logs. They had these fantastic recordings. It was sheldrake Mckenna and one other guy was also brilliant and they would go back and forth. They had these, I'm Ralph Abraham, Abraham Abrams or Abraham, Abraham, Abraham. And they, um, they did these series of talks and a, this is one of the things that came up, like Mckenna was the most woowoo. Ralph Abraham was the least woo woo. And sheldrick was kind of in the middle, right? Yeah. Interesting stuff. If you've ever been around. Yeah. The trial logs. There it is. There. The recordings is still available somewhere, I think. Um, our friend, a psychedelic salon, I think Lorenzo has them. Are they available on line? Oh, there you go. Bam. Sound Fun. Yeah, they're fucking cool man. Actually play it. I don't know why you can't play it.

Speaker 4:          00:25:04       It was there. I got to take him down now that yeah, that is the case. Looks I got removed.

Speaker 2:          00:25:08       Hmm. Yeah. Someone's probably selling it. Yeah. It's really cool though. You know, you get to see these guys in the 1990s pre-internet, was it pre internet might not have been. It might be like 98 I think Mckenna died around 2000 ish. He died posts to hold a site. Say he died like 2003 or something. When did he die? Why am I asking this? This is all about memory and things as we went on the fucking deep road off to the woods here. But anybody who's listening, 2000. Yeah. So he made it to y two K and then he kicked the bucket. Um, anybody who's just interested in really cool conversations, it's something to listen to. That sounds very interesting. Yeah. Just three super smart dudes kinda debating ideas and bouncing around off each other.

Speaker 4:          00:26:02       You know, what I've actually gotten into recently is listening to old recordings of like, uh, Alan Watts. Oh yeah. Oh, he was great reading Joseph Campbell and just like, yeah. I don't know. Just absorbing it and trying to figure out what that means to me today in this like the hero different world. Yeah.

Speaker 2:          00:26:22       Yeah. Watson is a fascinating guy. Plus that accent made him sound so much cooler. Yeah.

Speaker 4:          00:26:28       Drone [inaudible] yeah. His actually, the first time I ever gotten to a good, uh, like, uh, like a meditative space was a meditation led by Alan Watts from like, I don't know when the fuck

Speaker 3:          00:26:44       it was like 60 seventies. And just the way he explained it for me, like it was the first time I'd ever made sense how meditation should, he's like, don't try to not think of anything, but just accept them that the there and, but also ignore them at the same time. Yeah. It was weird. And then I just totally like, I felt like I was above myself watching me. So just sitting there listening to this recording, it was a trip.

Speaker 2:          00:27:09       Well, he was such a heady guy. There's the sound of his voice and just hearing his thoughts. When you, when you hear a really deep thinker like him, one of the things that it does is kind of gets you into that pattern of thought and you realize like, oh, I can probably kind of sorta think that way too. We'll just allow myself to be guided by his words and sort of try to pay attention to how he's doing this. Yeah, he's, um, he was an interesting guy because not just was he a deep thinker, but his, the, the influences of those people. It's, it's very different. Like there's very few recordings even back then for them to listen to, you know, this stuff was based on reading, um, and their education and their actual life experiences. So they were very unique and original. They were the really the cornerstones for a lot of these deep philosophical ideas, you know. And so then when you hear an Alan Watts recording today, you know, maybe someone like me or some other people that listen to that, they'll might, might share those ideas or reflect on those ideas. But clearly these are not my ideas. These are ideas that have come from these intense cornerstone people, whether it's Mckenna, Alan Watts or something like that. Do you get a chance while you're, when you're working, do you listen to shit or do you just,

Speaker 3:          00:28:27       yeah, I got all the time to sit in. The headphones are cause it seems like it'd be loud as fuck. Yeah, so I just got Ahold of these like Bluetooth head head and like earbuds and they have this memory phone so they are memory foam, ear bud like tips. So that helps reduce the amount of noise it's actually coming in. So it helps protect it in that way. Just kinda in general, like a normal, like a inner ear plug would work. But also because it's reducing the amount of noise that's getting in. You can also listen at a lower volume so you're not like blowing out your ears to be able to hear whatever you're listening to. Like you wouldn't through normal earbuds. Right. So loud in your shop. So much noise. It's whenever I'm working, like especially if somebody happens to pop by the shop and they want to see and like they're just curious and so we have stuff going on or we can heat some steel up real quick and do a quick demonstration. Usually I don't take the time to throw all that stuff in and fuck it is so loud. I actually feel like my hearing is become more sensitive since I started making knives than it was before. Um, probably your years of getting beat up. Well you always have earplugs in. I always have hearing protection and so, so my hearing is always protected so I feel like it's become more sensitive. I've a sense

Speaker 4:          00:29:42       of hearing. I don't know if that's possible to get your hearing back or whatever, but uh, maybe your protect doing better because of that. Yeah, I just, I hear a lot of things, like all the things it feels like whenever I take my hearing or that you in a hearing protection out, I'll be at home or something and I'm picking what the Lux, that noise and my wife's looking at me like I'm fucking crazy. I'm sorry,

Speaker 2:          00:30:02       one us the case. I wonder if like, maybe it's like, you know, people don't use their hands and then the hands get soft. I don't know. You can't gain it back. Okay. But you might be protecting it longer and since your habit sensitivity issue, maybe since it's quiet or all day. So if you blow it out from like concerts and shit like that, that's it. I tell it was while you can do is get a hearing aid. Oh yeah. What about the little hairs? The stem cells or some shit. They don't do that yet because it's literally what you hearing. What is, uh, like a hair follicle. It's vibrating. Blow that shit out. They haven't synthetically made those yet. Throw him yet. I feel so bad for those old rock stars. It didn't know any better and now they, they're just fucking, yeah.

Speaker 5:          00:30:46       [inaudible] happened to him.

Speaker 2:          00:30:47       Huey Lewis can't play anymore. All of a sudden. That's the Lord's work. Just kidding. Just kidding. Anyway, it's hip to be square. Um, yeah, man. It's fucked up. Like the dude from ACDC. Who else? Yeah, Angus has gone. Oh Jesus. Yeah. Fucking, everybody's going deaf. Yeah. Probably didn't protect themselves. I think you should have nobody knew any better back then.

Speaker 4:          00:31:10       Have you ever seen that documentary? It's an older one. Older one. It was like from the early two thousands but this woman, she progressively got deafer and deafer as she grew older until like I think she in high school or something and like she was like practically completely deaf. But she's a percussionist and she's like a world renowned percussionists. There's this awesome documentary is called a touch the sound and she hears through her body, which is a fun trips me out, but the tones that she's able to achieve that control, she has over everything, whatever kind of instrument she's playing. It's an awesome documentary. Wow. But she has almost literally no hearing. She hears everything through her body too. So it's kind of interesting to think like if angus could figure that shit out then, I mean he's holding the fucking thing is the whole time he's standing in front of the angus, the lead singer. Right, right, right. Who's the, what's the lead singer's name? Fuck's his name? Second lead singer. Brian Johnson. And I forget that he's gone deaf too.

Speaker 2:          00:32:19       Hang, listen, Brian and, and angus is like always headbanging what kind of cte does that guy have? No, Jesus fucking Christ. He shouldn't be doing that.

Speaker 4:          00:32:29       You were talking about dee dee about that the other day. I was, I was thinking like all through high school, like I played football from seventh grade all through high and like all this stuff they're learning now. I'm just like, Jesus, what the fuck was happening to me to ct? We always lead with our head. Of course. Yeah. My neck was always all kinds of fucked up and you know, I definitely had some serious concussions. Well I'm sure and yeah, uh, sometimes it scares me and worries me a little bit. Like what does that mean for how old are you now? 34. Yeah, man. Just turned 34.

Speaker 2:          00:33:06       Um, it's scary. You know, you're lucky you stopped when you did. I know, I know a lot of people with brain damage meat too. I, I'm sure I have some guaranteed. I must, I mean, I don't think anybody rides for free. I think you get hit in the head enough, you got some brain damage. You know, I got hit in the head on a regular basis for most, most of my younger years from like 15 to like 22 yeah, I got to hit in the head all the time. It's just nobody knew any better, you know. And back then you thought that like once you got like once you were slurring your words and stuff, if he just stopped like, oh he's a little punchy, you should stop. Right? Like that's how people thought, but they didn't realize that it's regressive and then like you don't even really show brain damage like 10 years after the initial injuries. Right. That's when you really start showing damage. So some, some cte just compounds it until it just becomes unmanageable for these poor people.

Speaker 4:          00:34:08       Yeah. And it's, I actually, I can't, especially after watching concussion and, and seeing and reading like articles about the real life people that this shit's happened to. I like, I have a hard time watching football and like I used to watch football time. I've never been like crazy in a sports. Knowing all the stats and every stuff. I enjoyed watching like a good contest. I never really rooted for anybody. But now when I see like even kids signing the draft or signing up from high school to go to a certain college, I'm like, man, that's somebody who's fucking baby. I'll fucking tearing themselves up. Like, is that worth it? Yeah, that worth I would like Aye.

Speaker 2:          00:34:44       Port kids fighting way before I would support kids. Um, doing football, both of them. I'd be nervous about it. And you know, I mean there's other stuff like x games type shit. People that are into extreme sports and you know, people that are in the snowboarding, snowboarders wipe out all the time and crack their head open ledger. Can you get a scholarship and martial arts of any kind? College, just wrestling. I mean, that's like a big, that's a big driver right there though. Right? Wrestling, that's where the money is. Certainly a martial art. It's probably one of the most important martial arts. That's probably it, right? Yeah. That's it. I mean, judo maybe. Is there a school that has judo? They used to have boxing in schools. I mean back in like fifties and sixties and shit, there was, boxing was a a legitimate sport in college but not anymore. Yeah,

Speaker 4:          00:35:30       yeah, yeah. It just, I can't really watch it anymore.

Speaker 2:          00:35:34       I mean you have to be careful with your hand eye and your fingers

Speaker 4:          00:35:38       and shit now you know, I mean you gotta think like when you're working with hammers and hot metal and you, you must always have to be [inaudible]. Everybody that works in machine shops missing that fingertip. Something's fucked up. This crazy story is to buffer the buffer. Like the fluffy little thing is like one of the most dangerous things because it catches an edge. If you're snowboarding, you catch a bad edge and just plan. It bites the blade bites into that and it acts as a hand and just rips it, flings it wherever it's throwing knives right back into guys and fucking killed him. Oh fuck. My wife probably hating me. Say that. Right? Yeah. This is reality. I've done, I've actually done a lot of work to get away from using buffers because of that. And I'm still like doing great work. I just, I have a lot of friends who just, they'll never touch a fucking buffer and terrifying.

Speaker 4:          00:36:34       It's scary. What does it look like for pizza put up? Like what, what would you call it? Maybe she didn't like it. Buffing. Wash it. I don't know what usually, usually it's like a, a bench top thing, like a bench grinder. Usually it has like the hard wheat round stone wheel on one size at it. That's it right there. Those mother fuckers, that's just not one fucking day was going to kick this going to go. It's not making me nervous. That look, that looks like something. So if you fucked up and you got that blade to close and kick it and then that one is what's called a sizable wheels. So it's, it's made from a t that type of rope, but the, the ones that are the most dangerous or the softer cotton wheels because they want to grab that much easier. They have more give.

Speaker 4:          00:37:19       Um, but yeah, it's, and what's interesting is I've actually been cut less working in a, in a metal shop than I ever did working in and burned less than I ever did working in, in kitchens. I worked in restaurants back at house like for seven years collectively. And most of that has to do with other people not calling like hot coming across and fucking, I turned around, they don't call it, I turned around there, there with this fucking saute pan right in the side of my arm. I'm ready to fucking drop it. Right. But it's being in a metal shop, like you said, you do have to pay so much attention. You have to be focused at what you're doing because literally everything in that fucking shop wants to hurt you or kill you. The second you're not paying attention to the second you're not paying attention, it's going to grab you like their horror stories of people working next to machines and they have long hair and it just fucking scalps and like just straight heritable stuff. Arable cider in the power tool last week. Oh yeah. He got a power tool stuck in his balls. Who was that poor bastard? Yeah. Got It. Brian Wilson. Yeah. Drill that uh, he lost his hearing due to not

Speaker 2:          00:38:36       plot, putting in earplugs at a car race, not music specifically. There was a quote Brian Wilson from the beach boys. Uh, Brian Wilson from the beach boy or I'm sorry, he, this article has him at the top. Brian Johnson. Johnson from cars. Yeah. Well, how the fuck does he know mother fuckers in AC DC? Yeah. Wouldn't you think that'd be loud too, Bro? Angus young says it. He lost a little bit, but he's, his quote says that he never really had a problem with it because that's why he was running around on stage so much too. He's never in one place so long. The room, that's hilarious. Wisconsin or ever saw ICDS. ACDC. I wonder if people were more susceptible, just like some people are more susceptible to cte. Yeah. Remember Rhonda, Patrick was talking about certain genes that you have. What does it apropos, I forget what it was called, but whatever genes that make you more susceptible and more likely to get cte from concussions problem. Probably not to be something that probably makes sense. Now, when you're in that shop and you're, you're, you're, you're doing all this grinding, is there any concern about chemicals like dessert, chemical ingestion or smells in the air? I think that because you're, you're dipping things and you've got all this stuff that using,

