Speaker 1:          00:00:48       Right now, here we go.
Speaker 3:          00:06:15       You can't even do it on the dl. Everybody's gonna know you're gonna. Be Out there scanning people with your little Webcam. No. What if it snapped on the front? So you're on the Webcam and starbucks and what? Starbucks. It has to have a laptop at starbucks has a thing that you had already has attachments for like a card reader as next week. Be At starbucks. We're going to be at the coffee. No, but that's what I'm saying. It doesn't have a camera, but yet it has an attachment that he said, well, have accessories like microphones and cameras and on the fucking thing, bitch, you want to be super special and wanted to be the bomb. I think they're trying to keep it down. Price, supply zone under $500 because here's the thing. If you're going to buy a book reader right now, you're on Amazon.com. You're looking at the kindle, the kindle, that's $10 cheaper than this thing.

Speaker 3:          00:07:01       That makes a lot of sense actually, and it's backlit. I have a sony reader, but it's. I read in bed, so when my girlfriend's sleeping I want to read. I can't. I have to have a light on and it can't even just be a dim light. It has to be a bright light for me to read it. So now I got a little lip on soccer. Get to sleep right next to you, especially if you've got a kindle. I love the cover. He put the light here. Bam. You can read right next to him. So this thing will be great for the married dudes talking right next to me when I was single. I'd be like, well, I guess you can't sleep, you know,

Speaker 2:          00:07:37       I can't sleep while you're reading a book. Well maybe the couch would be a better place for you to sleep.

Speaker 3:          00:07:41       Totally. What the fuck are you talking about? Totally. So that's like $10 more. What did you get that? And if you didn't have one already, if you are getting a book reader, would you get $10 more? Would you pay for the tablets?

Speaker 2:          00:07:51       That's the best argument I've ever heard. If I had to choose between the kindle and the IPAD, would for sure take the time.

Speaker 3:          00:07:57       And now the argument on the other side yard man on the other side, e ink, uh, is less stressful on the eyes. But here's what I'm thinking. Is that true? It might be something to sell that technology, but. And here's what I'm thinking. I'm on the computer 11 hours a day, 10 hours a day. I'm doing 99 percent reading and I've never gone, oh my foods once in a while.

Speaker 2:          00:08:19       Notice that I think, well, it could be also because I'm getting older, but my eyesight is not as good. Meaning like say if I have to read a vitamin bottle or it tells me how many supposed to take. I struggled with that Shit, right? No, I have to try to focus. It's not what it used to be,

Speaker 3:          00:08:35       so I don't read more than like an hour, two hours. I'm going to eat book anyways a day and so I'm thinking if I'm on the computer 12 hours already a day, now you use two hours of that. I don't think it's caught. Flaco says everything. Apple makes us perfect. Steve Jobs is God and Bill Gates is a Nazi. Was obviously no,

Speaker 2:          00:08:57       those are strong words. Do you think that's the real flop on the real flap or is a craziest? If you don't only as well the craziest characters on the Internet and he's just nutty dude from England and let's get fucked up all day and he's got a lot of money so he doesn't have to work. So the dude just gets online, just trolls. People in flux with them all day. He's really hilarious. He's crazy. You can find at your website, [inaudible] dot net on the forums and slept for flap out and he just picks fights with people. He finds somebody just insults them over and over again and everybody's discussing assholes. Guy's an asshole and yeah. Yeah. But there's something about it that's so endearing is he's really doing it for entertainment. He's a character. He's like an internet character that's like running through this, uh, this show we're doing in the show is the website, the forums, and he's like, this character.

Speaker 2:          00:09:45       He's like, one of the ideas is this insane won't meet us, either won't meet us. He's kind of a shut in, but I understand that, you know, I mean if you're some crazy dudes just stays on the Internet all day. I wouldn't even care what he looks like. He could be totally trouble over this whole story. I don't care. I just think he's an interesting dude. Be Nice to say hi, but he doesn't want us to take pictures of it and put it online because then everybody will have evidence. They'll have weapons and ammunition to go against him. And his Internet wars and they're supposedly one picture of him. Yeah. But who the fuck knows if not smiling and he's never met anybody. How do we know it can be a boyfriend. Could be one of your ex. It's vicious. And who the hell knows?

Speaker 2:          00:10:30       We have no idea. It's a guy. No idea about the internet. The fastest meeting people that are cool. I have so many friends. You are one of them. I met on the Internet, but there's so many people that we've met from your message board and in other places. That seems like a crazy thing to say. It seems like you're an idiot. What are you doing? Fucking people from your message board, but you know when you're either. Bottom line is for real. It's like you're meeting people all over the country. Anyone when you're doing standup, what are the differences that make give you meet them online first and wouldn't that be smarter? You know, the only way to interact with people is. I mean the Internet is the greatest for that. Like there's people that could never have relationships that didn't have any friends that are nothing going on in their real life, but they developed the whole Internet worlds, man, quick player buddies of mine when I was like, seriously addicted to playing quake.

Speaker 2:          00:11:20       There's like lived their whole life on the Internet and that's where all their friendships came from. And you get to know people like they're in, you know, it's, it's, it's a little more, it sounds crazy saying that you meet people from the Internet, but it's really probably pretty intelligent. Uh, girls that like use dating sites. They used to be thought of as losers, you know, you'd hear about like, oh, her sister, she's on a fucking match.com or wherever the fuck it is. Like, Oh, poor girl, what the fuck? Then you think about being a chick. Oh, the fucking scumbags out there when you want to like, listen to them talk for awhile first, see what they have, what nutty shit they want to say in their email. See how they say you're in your. Do you use that apostrophe? You fucking Cretin you cave person. You know, you know what I mean?

Speaker 3:          00:12:08       It's funny. That's that dating sites, how many different ones? They are like j date. That's for Jewish people. They have one for the people that just have herpes. I forget the name of it. They have one for like anything you could possibly want. All girls is suck. Magic Johnson

Speaker 2:          00:12:22       the folder. That was funny. I listen to this guy and this guy says, Joe ever heard about reverse speech? Everything you say says something in reverse. Now. Ordinarily I would say that's retarded bullshit, but I smoked some marijuana right before we did this broadcast and I'm like, man, who the hell knows? Maybe. Maybe we just don't know that in language you can reverse it and it can show true intention. Is that possible by the way, your intonations and. No, I mean I don't think it is, but maybe it is. What the fuck do I know? Well, you know, things that are possible are so nutty. You know? Why? Why do you think that? I mean, that could be just some weird side effect or speech that when you reverse things, it says the opposite of what the person or the person really means is possible.

Speaker 2:          00:13:13       Shit. What the fuck knows? The world is so nutty as it is. The fact that we're on this sphere that hovers around this gigantic nuclear explosion. It flies to the galaxy, but everybody wants to talk about the cast of Jersey shore renegotiating their deal. I mean that's like the number one conversation and or how many, you know, how many more millions they're going to give Conan O'brien at Fox or you know, how many more checks that tiger woods fuck [inaudible] his wife's going to get back together with them. It's like we get so caught up in nonsense and I've been trying to figure that out more and more as I get older, like what it is, because it's not just you. I say, you know people. I say, we, I get caught up in that stupid shit too. I was wondering what was going to happen to John when he left kate because he wasn't making any money anymore and all of a sudden he has to pay Matt Alimony, you know, because I think they're probably negotiate that shit when he was on the show and he's making good money, but they kicked them off that show and then they're going to sue him and he was the poor dude, you know?

Speaker 2:          00:14:10       I mean he just fell apart in front of the whole world. First he fell apart in front of the whole world because he was married to that chick who was just treating him like shit. Like it would. You would watch that show and like, wow, that bitch is harsh, but then you realize, God damn. Could you imagine having eight kids with that week? Dude, that guy such a bitch that you would be like, oh, I can't count on this motherfucker. Come on, get up. You have to work. Come on. We were just lazy and soft and dol minded, but he got on TV and when he got on tv, I think girls just start saying, you shouldn't take that from him. She's a bitch. She doesn't appreciate you. I see on that show. Thank you so high. I think you're so cool. Next thing you know he's in there. Oh Shit. I'm hot and cool. Oh Shit. He didn't realize that he himself had been tricked by fame. It's just like those poor girls that fuck them. That's how powerful famous fame tricks. Even the person that has the fame.

Speaker 3:          00:15:05       The worst is that Tila? Tequila girl. Oh, she's the worst. Every time I hear about I just get sick to my stomach. I'm just waiting for a baby right now. Listen, that's all. Just to get you to pay attention. She's crafty. Little little winch. Yeah. She's going to do a porn I would imagine. I think she already has. I remember having. It's amazing when they like.

Speaker 2:          00:15:27       Just totally. I'm like, orchestrate sex tapes, you know? Is there any doubt that the Kim Kardashians sex tape. Have you ever watched a I? Yeah. You. There's different cameras.

Speaker 3:          00:15:37       Yeah, I mean time. Is it really different? There's different angles that I knew it was tentative. I thought that the company does

Speaker 2:          00:15:47       and she keeps her bra, which is very disturbing. Some Tutsis free. Then mtds free like, oh, come on. Just let 'em free. She probably doesn't like her nipples. She looks like she's probably got some big ones. What do you think? You got to guess? Oh, definitely be picture one punch. Can pictures of her nipples. Other something. Watch your whole video. I watched a few seconds skip right time to beat off and have a very hard time beating off to black guys. Fucking white girls because I don't feel like that's me. I don't know how much fantasy can I have to what?

Speaker 3:          00:16:25       To me, it just bleed off in front of my new kitten for the first time today, today and how much in front of them? How far was I was beating off and the cat jumped right up on my laptop and I'm like, oh, well I guess you're going to see it eventually. So there it is. Like it feel like you. It's like I really hope like my grandparents are like, you find out later that you're like, you're your, your, your ancestors come back as like animals or something that they can watch you like to talk to build that bridge.

Speaker 2:          00:16:57       Yeah. Talk. Remember Joe, his joke about chuck it off for the cat is about to come and the kids doing this

Speaker 3:          00:17:06       move. Move. Oh, it's weird how like a cats used to be worshiped back in the day. Yeah. What do you think? That's. I mean what if there is something to a cat that we just don't know and it was lost in transition, you know, like no one ever wrote it down. Like, oh by the way, if you look at the cat's eyes every day at midnight, you can talk to we know what just

Speaker 2:          00:17:24       about like Egypt worshiping cats. It's like they were so good at making things like how I wonder what they were really like because we don't really have any idea about their cultural. Translating their language over the English. It's also tricky and the hieroglyphs and they don't really know how far back there their history goes because there's like John Anthony West, that guy thinks that their history goes back like 30,000 years and he even has hieroglyphs that prove it, but they were so smart when it came to constructing things. I wonder what they would like, you know, socially, you know. Yeah. Like, like, just sitting around talking to them, you know, it's really kind of crazy when you think about what those, those people pulled off. And that was like supposedly a 22,000, 500 years before Christ before zero. That's incredible. And they were working with seven cats, like maybe they, maybe they know.

Speaker 2:          00:18:17       Yeah, there's something with fucking smart where they, I mean I would like to know how smart they were. Maybe they were just completely retarded and just didn't really know how to build things and they will just write and that's why they're there. Culture to suck. But I don't think so because people like, like, um, I think socrates and no Hurghada this Hurghada just went over from um, no, there's the, there's the uh, there's the charge for this cat is very emotional. Sometimes can manage. She would get mad because we've got another cat to. She started peeing on Shit. Speaking of the other cat just walks in. Right. And you said that Oliver, come here buddy. All of this cool. I liked him. He's a cool little dude. I like cats. You know, when I like cats because I'm not starving to death. That's why I don't understand like when you people are living in Egypt, I mean how fucking smart were they?

Speaker 2:          00:19:10       They must've had a pretty sophisticated culture because they were really into keep animals as pets and feeding. The dogs are going to protect your house. They're gonna do the campaigns doing shit. You rubbed them. That's all you get. You get ipr and I like, you're robbing me. That's all it is. So they were smart enough to build pyramids, but yet they worshiped cats because there's. There's something to the captain we don't know about spazz. Is there something to cats? You ever see a cat when the light hits their eyes in a certain way and it looks like a Hologram or something going on in their eyes. That shit's weird. Well, their eyesight is insane there. I started some insane amount better than ours. Is it? Oh yeah. Their eyesight is incredible and it's dark and darkens vision is incredible and their hearing is incredible. That cat hears everything.

Speaker 2:          00:19:53       She'll hear shit like that. Her. She'll be sleeping and then you'll see her all curled up and then I'll move something in the room. You see her little ears just go. You know, it's like they're, they're tuning in to like specific locations where mice are trying to sneak by, you know, that they got this killer. Fuck it. It's really weird to see because the bottom line is she only respects me and loves me and everything first of all because I feed her and pet her, but also because I'm so much bigger than in her because if that was smaller than her, she would fuck me up. Cats don't give a fuck about little things. You can't keep a pet journal around your cat. They don't have that agreement. You can train a dog to not kill a durable. You cannot train a cat. No, you can't do it.

Speaker 2:          00:20:33       You leave that job around that cat is gonna. Fuck that thing up. It's crazy. They cannot avoid it. They love it. They love killing things, man. Yeah, I was. When I was growing up, when I was a kid, we had a big ass black tomcat and he used to kill and he used to kill squirrels. We lived right across the street from this river and there was like, oh, a whole. A lot of wooded areas. Like many, many acres. As soon as a lot of animals around there and these fucking girls would be all over this tree and this cat, which is creep through the grass, he's a fucking monster. One pause and hover and I would watch him from the window across the street from our house dude who said it was like National Geographic. He fucking chases him and that squirrels trying to leave and he pounds on their back and get the back and sink their teeth into the neck and dragged this thing in between his legs. That was what was really crazy. He had this girl's body, which was almost as big as him. It was pretty fucking big, like half the size of his body and he's dragging it in between his legs and taking this girl across the street to our house. I was like

Speaker 3:          00:21:35       nutty as APP. What if I went out and killed a dog? What if I went out and killed a dog with a knife in front of you? Wouldn't you like look at me different? Would it be like, Bro, what the fuck did you. But you know, he came in. I'm like, what's up? I'm like rubbing his head. What's up? Little Buddy. When you gotta sell you gotta you gotTa score. But I didn't. I didn't feel bad. He murdered this poor little animal because his girl, probably a little squirrel family was scrub mother. He's not even hungry. I feed his fat ass everyday. He would come and I'd give him a fucking Kenneth Dog, cat, little cat food. He would be fine. Maybe that square was trying to help you to like ricky ticky. Timbo remember that old, that old story where he's trying to save the family from the snake.

Speaker 3:          00:22:13       Maybe the square was trying to think. Squirrels. Little animals I liked, but I'm a. I discriminate when it comes to rodents, like squirrels, they make the grade. I never feel bad when I see them, but if I see a rat that's close, you know, Iran is that close. Like say if you're sitting with your kid at the park and there's a tree and the tree is literally right there and the trees go scrub. Like, oh look at this girl and this girl. He's right there. But if that was a rat, like, oh, get the fuck back. The rats, they're so rad. Fucking stick gonna wrap it up. You just start freaking out and yelling. Shit the fuck out of here. Fucking rat. But I'm scared of rats, dude. That's what that big. And I'm scared of him in Jersey. Devil come at, you know you've got to be careful. Like don't bite your ass man. I got a came after by a skunk last week and they charged me and the dog and Chris, my dogs. It's like kill, kill, kill. Well listen to me but doesn't know it's going to spray him. And then that's going to be like five hours of my time of trying to use vinegar and imagine to a dog. Dogs have these insane. They like it or not.

Speaker 2:          00:23:15       Oh my God. Of course you don't like it would be funny if they did, would. That would be like an animal that's trying to commit suicide. You know, if that was the evolutionary thing with met the dogs loved it and you spray your shit. The dog liked it. Did want you to spray so they'd want to kill you all the time.

Speaker 3:          00:23:33       Psychiatric catnip. Why does catnip not working on any other animal? No,

Speaker 2:          00:23:36       these guys are weird. Look at this guy. Joe, what's your favorite way to smoke? Like some people get nutty about it. Just smoke your weed. People did because there's a certain group of people that follow you that are so burned out that they just like, you know, maybe he's young to the game. Well there's a lot of young health was the vaporizer is certainly your best bet. Bonds are nice. I like a bond, right? Glass. Anything. Brian doesn't give a fuck. It goes right to the Dick joints, joints because you only have to light at once. No, but really if you want to do it the healthiest way of vaporizers, way to go and don't think that eating and it's just as healthy. People think that eating pot is just as healthy. It is. I mean it's not going to kill you, but it will freak you out.

Speaker 2:          00:24:20       And one of the reasons why it freaks you out because it produces this thing called 11 hydroxy. It's a metabolite that your liver produces when you eat marijuana and apparently it's not psychoactive when you smoke it, like it's so you don't get the same effect, but when you eat marijuana it becomes like four times more psychoactive than if you smoke it. So if you have like a lot of weed and you make brownies with them, that's the problem with these things. You, you eat a Brownie and you're like, what the fuck are. You can't believe how much weed is in it. You have to sit down and it's because as it's going through your system, it's creating this 11 hydroxy metabolite, which I like. And one of the reasons why I like it is because it's, it makes me very self critical. It makes me examine all sorts of things about myself.

Speaker 2:          00:25:02       Like there's anything about myself that I don't like. If I'm being lazy, if I'm being a douchebag, if I'm being short with people, if I'm not, you know, if I'm not focused on what I really should be focused on in my life, anything that might be bugging me, my subconscious mind. This 11 hydroxy makes you think about it like in depth and they can really freak people out if you've got some shit that you're pushing in the back of your head. You know? It's like what people call. I was paranoid. I was paranoid. I think what paranoia is is people that when you get high on marijuana, I think we're paranoid is people who just are there, they're getting too much information for them to manage and they haven't done such a good job of managing their consciousness in the first place and so when this stuff is hitting them, what's happening is they're just.

Speaker 2:          00:25:45       It's overload and they can't control it and they freak out and they say, I can't smoke weed. It gets me paranoid, but I think it's more indicative of this year. You don't really know how you feel about yourself. You don't really know how you feel about life. You're. You're looking at life through barriers because you're trying to not see everything because you're trying to focus on one particular thing with your life or try and get your shit together and you don't realize how many things about your life really are freaking you out and bothering you until you smoke. Pot and pot just makes you examine them. You know, we as, as, as people, we like to avoid shit that bugs us. And so I like when people like overeat to get over some childhood molestation. They don't even fucking realize what they're doing. They're just distracting themselves with something else. You know? I think. I think we do shit like that all the time. Anything I kind of lost in near halfway.

Speaker 2:          00:26:40       Listen, be careful with your weed. That's all I'm. I'm being paranoid is a good thing. It's for real. It is. I mean, the experience of being paranoid. When you smoke weed, it's to get you to look at yourself. It's to get you to look at life. It's, you're not, you're not. You're not looking at it all as clearly as you could and those jolts of perception. You misinterpret as paranoia like what you're doing is just dealing with the information that's already been there. Just the fact that you're this fleshy, temporary, soft, mushy creature that is literally connected with nothing above your head except gases and air and then fucking space and above that there's asteroids and planets and fucking giant nuclear explosions and sons and it's all right there and you're just this thing that doesn't exactly know what it's doing is kind of going along with the flow of everybody else and sit in traffic like everybody else hoping that someone of us is like guiding this thing, but they're not the ones guiding shit, and that is if you're not thinking about that, if you don't, you have an address that as a human being and you start eating fucking pot brownies, that shit will pull up you over the head.

Speaker 2:          00:27:50       You'll freak out, you'll, you'll be scared. You'll, you'll curl into a fetal position. You know like what? What life really is is frightening to people and marijuana will expose the fuck out of that. Expose what it really is. You know, this is not a goddamn moving. That's the problem we are living life like it is a movie because we're fucking. We really are programmed by culture. I think. I mean, I love movies. Don't get me wrong. I love cds. I love songs I love. I love all forms of expression, all entertaining forms of expression except dance, dance, like a, like musicals. That doesn't mean shit to me. I see choreographed dancing like, oh, you're moving together. You know, you don't like a musical movies at all. Or South Park's uh, yeah. That was beautiful.

Speaker 3:          00:28:40       Beautiful. Musical was beautiful. I need to make a new south park movie. What the fuck? It's accept. Canadians must have been very first, right? They're always right now. Have you seen that? That ginger video knows that when people are beaten up, know this kid. He's a redhead and I thought, man, this kid is a redheaded. Has come from. Where did you park? That's crazy. That's sad because there's an episode where like gingers were like some, some kid was like right there. South Park was like head a ginger day. You're hitting them all day. They're mimicking sapper. What? I mean, that's nothing new when you're in high school. She used to beat the fuck out. So that video is this, this redheaded guy that gives like a speech for four minutes and it's kind of like leave Brittany alone style and it's just, it's you don't want your brings up God and religion through it and stuff and it just sit there like terrified of this guy. Not Bad for him. I was just terrified. And you got to watch it and maybe we'll set up for break or something.

Speaker 2:          00:29:39       He's fucking up the whole cause. Yeah. For other redheads, redheads and one love crazy bitch. That's the problem is by the time you know, you're, you're out there looking for love. You're probably so God damn damaged. Yes. Most of us are fucking damaged. Right? I mean if you had to, if you had to guess like what amount of people are still working on issues from a childhood? It's 100. It's 100.

Speaker 3:          00:30:00       Yeah. Timing really damaged. It's just, that's what happens, you know?

Speaker 2:          00:30:03       Well, it's also you have to reprogram the way you look at the world. You know, you look at the world a certain way because you think, you know, that's how you were taught by your parents and you know when you're like in your teen years, you start having to restructure things. Your teen years, you start looking at things like they don't even know what the fuck they're talking about. They're talking crazy shit and you realize God damn it. My parents are just some fucking people. Just like all the other idiots. I mean all day they just fucked. Let's see. There are no different than my idiot friends. They're no different than my idiot teachers. They just fucked, they fucked and they made me and sell shit. And so when those teenage years, when you're trying to like reformulate the view, that's when it starts and it continues through your whole life, you know? Do you think that you would be the same dude though? If you had like A. Oh, I don't want to watch that stuff sold. Do you think you would be the same dude if you had a perfect childhood? No, I think it's just like that

Speaker 3:          00:30:54       you're a whole theory about like you are. How you lived, you know, everyone starts off at the same person pretty much and just every single little thing you've got to believe that, you know, it's like if you wrote down the hill, you're going to in a mud, you're going to look different than yeah,

Speaker 2:          00:31:10       person next to you. Yeah. That's why people really have to have compassion because, you know, if you, if we really are all the same thing, this is my theory, if you haven't heard it before. And I had this when I was eight some pot and it was on a boat in Hawaii and uh, I was um, on this boat and we were, we were fishing and there was dolphins that were next to the book. The dolphins were playing with us. They would get by the boat and they would jump up in the air and we would go, whoa. And every time they jump up there and we go, what's up, what's up, what's up top? And when we would do that, they would get excited. And so they were like showing off. They were like communicating with us. I was like, God damn, there's so conscious.

Speaker 2:          00:31:50       And I started thinking about it like they're responding to us. I'm like, I wonder what life must be like, what consciousness wants to be like for the Dolphin. And I wonder if it's similar to humans and I wonder if it's the same. I was thinking, I wonder if they have the exact same consciousness. It's just filtered through an entirely different environment. It totally different skin. You know, you're in a fish's body and a totally different way of communicating and totally different language that's almost indecipherable. But what if it's exactly the same thing, the inside the consciousness. And then I thought about it, I'm like, oh my God. Like what if that's the case with people? What if we are all exactly the same thing? We just are transmitted through different biological filters, different life experiences, different childhoods, different everything, different bad genetic rolls of the dice.

Speaker 2:          00:32:35       I mean people are born with different ailments and diseases and people are born crippled. You know what, what? The reason why I supposed to have compassionate is that easily could have been you. It's, it's just a like a filter that the consciousness is going through. But the consciousness is one thing, it's all the same. You are just like me. It's just like any of your uniqueness has to do with your biology and your interpretations of your experiences as you're growing up. You know, your unique personality, your unique personality that everybody talks about when were a child could easily be attributed to what kind of machine you're running. You know, only take something. Everybody's biology is different. You know that if you watch porn, right? There's people that we're blessed with gigantic decks and there's poor dudes with little tiny decks and there's girls with incredible bodies and there's other girls that like whatever, no matter what they do, they can't lose that last 20 pounds.

Speaker 2:          00:33:25       That's just fact that that is what it is you're born with. There's variables like this variables with oranges, you'll see one orange as big and another one that's not so big. They're not all the same and these various chemicals and then on top of these various chemicals that are all in balance, all these different hormones. When a top of that, then it's like, how does this particular model interact with its environment, your own unique experiences? I mean, how many times have you seen something that your friends didn't and it fucked you up for the rest of the day. You know, you know, like you see somebody get hit by a car, you see something and then you have the same friends. You go to the same and all of a sudden you don't want to hang out with them anymore. You think that things are frivolous.

Speaker 2:          00:34:05       You think they're being retarded. You know, you hear about a girl getting raped and you're the one who freaks out and it's what you see one thing and it will set you off in a certain direction and it's like, so who the fuck knows what your personality is? You know who the fuck knows how much of it is your body? How much of it is your experiences? How much of it is what you learned from your parents and how much of theirs is the same shit? How much of your personalities is really just you reacting and saying what you have to say and doing what you have to do to get by in your environment, but at the core of everybody from fucking serial killers to to the most compassionate people on Earth, it's very likely that the consciousness is the same male, female. That's all biological.

Speaker 2:          00:34:44       It's very logical that the thinking. It's very possible that the, the root of it all. When you think about yourself as you, that it's all the same. That's nuts. That's nuts. Somehow cats involved with that shit. Some shit. And it's really interesting because then when there's like personality test on websites, like there's dating websites we're talking about. So like there's, you take personality tests so you're all trying to take a test that's based on what, you know the person, you know, like, you know, how did they know it's personal interests or stupid as fuck. I just like same people that have glitter tags on their mind space, you know, what are you taking it? You don't know what you're fucking personalities like once you go sit down in the grass by yourself. And think about shit, you know, take a goddamn meditation class at a certain point in time as a human being human being to become responsible for your own biology, you know, and that's what we don't teach people well, we need to teach kids in school.

Speaker 2:          00:35:39       There needs to be, you know, you have math and you have English and these are all very important subjects, but we also need is how to manage your mind, how to think, how to think correctly, how to, when something comes up in your life, how to deal with it and turn it into something, to your advantage. How not to go into a negative spiral and have your whole fucking life fall apart because of one thing and that that's. These are very important that people learn how to think, how to control your mind. You know, and how many people actually do that. It's not that many, right? I mean there's not that many people really know how to think. You know, how to think positively, how to effect the people around you as positively as you can. How to move your life into the way you move your life into a healthy place.

Speaker 2:          00:36:20       Very hard to do. It's because we're all starting from scratch. You know, we're all starting from scratch where I'll try to read books. We were never taught that shit in school. They'd be, if they really want to teach you how to be a good employee, how to, you know, make a good living. That's you being a better person. Being better at being a person, being better at managing your life is very important. They should be teaching kids how to think correctly, like early in school and they should have discipline and I don't mean discipline by like, you know, do what everybody tells you to do. That's not discipline with discipline is, is you have to do a certain amount. You have to do something like do anything. Anything that's really hard, like whether it's swimming or archery or playing chess or you know, doing Jujitsu for kids, having something that's difficult to do is very important.

Speaker 2:          00:37:06       They need to be pushed. You know, it's very, very important. You could develop so much more of who you are if you've already pushed your boundaries. If you're been lazy, your whole life is so hard to get out of not being lazy anymore, and this is all shit that they should be teaching in school, man. It should totally be teaching that shit in school, you know, and it's not just history. You know, when I was a kid, they fucking taught us. Columbus discovered America, you know, that was still being taught and now we know for a fact he didn't it. I think it still is, isn't it? I don't think so. Really. I mean he's, he's still, we celebrate Columbus Day, but I think now they say he landed in the West indies. That's what your question was. Was the gentlemen, are we serious about our dolphin stuff?

Speaker 2:          00:37:46       Yeah, man. Dolphins rape other dolphins. Oh, I know they do. They do. They rape other dolphins. They eat dolphin babies. It's that, you know, infanticide and dolphins. I think that's what it's called is what they do is the female dolphins try to fuck as many male dolphins as they can because if they run across a male dolphin that they haven't fucked and they have babies, the male might kill the babies to get the female to breed because the females won't breed while they're taking care of the young, so they have to fuck as many male dolphins as they can so that when they do come across a male dolphin and he's, he sees him with the baby. If she fucked him, he won't kill the babies because he doesn't know if they're his. It's crazy humans, you know, rape and kill babies too. Yeah. Yeah.

