Speaker 1:          00:00:00       And three, two, one. No.
Speaker 2:          00:04:34       What's the big thing here with keeping these guys? Is it that they would just have to go back and relook at every history book? Well, in the beginning there was nothing, right? So when these guys were proposing this, there was very little evidence, but now that evidence is stacking up and there's all these ancient structures that they're finding like go Beckley Tepi yeah. If once they found that one and they realize that it was intentionally covered up 12,000 years ago. So this is like, this is undeniable. Everyone agrees on it. Yeah. And so then they have to say, okay, well then hunter gatherers must've made this cause 12,000 years ago. That's all we had was a hunter gatherers. But it's really sophisticated construction and it's very difficult to do. And they're enormous. And they have three dimensional animals that are carved into them, which means they actually had to carve away the outside to create the animal.

Speaker 2:          00:05:22       Instead of carving the animal into the stone, they actually carved the stone out around the animal. So these animals are like climbing on the outside of these stone columns. It's really weird stuff. Yeah, but who the fuck knows I, I'm, I lean more towards cataclysmic disaster because there's so many of them that we know for sure have happened. Right. But between the one 65 million years ago in the Yucatan that killed the dinosaurs, just reading about the ARkStorm that's going to hit la, which he'll just be 60 days of rain Wednesday, it happens every 200 years. I mean, I, you know, this is an article I read every 200 years. La in the area

Speaker 3:          00:05:58       gets 60 90 days of rain and everybody has to move and things. This is supposedly what somebody sang, somebody with a bunch of panicked comedians who are all thinking about, they're worried about the ARkStorm now it's fun to think about stupid the best. It's thinking about like conspiracies and big foot. Yeah. Ufo shows and shit like that. It teaches you how to think a little, like when I was a teenager, I was smoking weed with my buddies. Like we would, you'd have to research these things. You'd have to cross reference information. You couldn't just swallow the narrative. You had to literally go well and then you'd have to use critical thinking to go, does this make sense? Would this have happened? Could maybe could Lee Harvey Oswald at? What about, you know, would he have acted alone? Hah. You know, you have to think about all these things.

Speaker 3:          00:06:47       I mean, I, I do think since Trump got elected, conspiracy theorist had been demonized and nobody talks about that. This is a little bit, well, it was always going on. It was even before that there were being demonized. But yeah, for sure. Cause worried about the other groups, which is fair. I get that there's the people in the cages. No good. I'm not for any of that. People in the cage, they will. The kids in the cages is not good. What do you mean the family separation? Oh, all the course. Real stop. But I think that people think that conspiracy theories got Trump elected, so now it's like cool to hate conspiracy theorists or people that are like, let's take another look at this. There's so many factors that got Trump elected, right? And it was a perfect storm of people getting, getting fed up of political correctness.

Speaker 3:          00:07:31       Someone coming along that's not a politician. You know, the system is so rigged that after a while you just like Jesus Christ. How many more of these fake puppets were going to put an office? There's, I say this to comics. I'm like, everybody's done a show where everybody goes out and bombs with their material and then one guy gets up and just goes, fuck this and screams and yells and destroys because that's what the room wanted the whole night. They wanted somebody to come up and just realize how fucked everything was and how nobody was having a good time. And that's kind of what Trump was. Trump was the guy that came out and just riffed. He went out there with no material. He just went out there and rift and he went and, and I, when I heard, and I'm sure you've seen this speech where he talks about Ben Carson going after his mother with a hammer and trying to stab his friend.

Speaker 3:          00:08:19       This was one of the funniest things. He was speaking and he was given a stump speech. I don't know where it was. I think it was, wasn't in I will, but he was referencing Iowa and he's talking about Ben Carson's book and that Ben Carson had admitted to going after his mother with a hammer and trying to stab his friend with an, I mean, these are, these are in and Trump is talking about it. Me and my friend would driving, uh, at in New York City. We were laughing so hard. I said this guys, I said, he's going to win. I said, I'll tell you why he's going to win. I cannot stop watching this. I can't, I am so fixated by the idea that there's a guy like this on the national stage and he sang whatever he won. There was something intoxicating about that. And a lot of the things you were saying were horrible, but he was saying them.

Speaker 3:          00:09:11       And then on the other side you had Hillary Clinton who was just, they scripted Oh, careful person. And I'm like, it's just boring to me. I'm like sometimes he entertaining person wins because you can't take your eyes off them. Well in this case for sure, I mean in the that it was a perfect, you know, polar opposite between him and her, you know, no experience versus vast amounts of experience. No real experience in the real world versus vast amount of experiences. Yeah. I mean there was a lot going on between the two of them. It was a, it was, it's, it's a bad way to choose runs really. It's very bad to look at candidates and go, who's the most entertaining? Well, it's also a bad idea to have one person, right? It's a bad idea to have this, this same system that was in place back when there was fucking, you know, a thousand people here.

Speaker 3:          00:10:08       But I think we've really dealt, like we have one person that seems like we have one figurehead, but we have kind of this permanent political class of people. Yeah, a nexus of powerful institutions where you have career politicians, career diplomats, career military service people that kind of don't leave. So I think that's one of the reasons that we haven't changed the system is because one person can't ever do that much. Even though Trump is wild and crazy and he's done a lot of bad things. I don't think he would be allowed to deviate from many of the policies like that. His predecessors had kind of established, I think that like the American government, and that's why this the like the deep state, which a lot of people ridicule. It's an undeniably true thing. I mean, our policies are not just one guy gets into office and he goes, here's how it is.

Speaker 3:          00:11:01       Right? I mean it's the result of a lot of, you know, private corporations lobbying, forming, all kinds of forming an agenda and a non democratic way. You know, they're not accountable at a lot of these people that work at the CIA or the FBI or the NSA. A lot of them are appointed. They're not elected. Right. We have no oversight. Um, we have, I think it's 22 intelligence agencies now. It's really that money. I mean, it's something absurd. How many could you name the FBI? CIA, NSA? Uh, probably DEA, DEA, and intelligence. I wouldn't say it's an intelligence that they probably have intelligence capabilities. I would imagine. FBI, CIA, NSA, uh, there's one and yet the dia, director of intelligence, the Pentagon. I mean, I don't know if that's an entire agency, but I think it, I mean, I think it has the capabilities, but we have all of these different, I don't know if it's 22,

Speaker 2:          00:11:54       but it's a lot. And they're all competing with each other. They're all competing because they all want money. They want budget. They all want, and that's the thing that people talking about, the deep state. It's like we got them all. Yeah. Look at these guys who they are. Jesus. Here are all the people that are, you know, what? Listening. Excited. Yeah. The fucking space troops that we have space that's going to be good and why not? Why not a space for it will eventually, right? Eventually you're going to have to have it. Oh yes. Why not have it? Now we have, I don't know what the national geospatial intelligence thing does. They can't be any more relevant than space force. Click on that one. National Geospatial Intelligence Agency shouldn't be any less important than the space force. Who the fuck knows how many people were working on employs 16,000 thousand look at it.

Speaker 2:          00:12:38       Look at their motto. Scroll down a little bit. Scroll down. No earth show the way. Understand the world what that's founded in [inaudible] 96 yeah, Clinton probably did. It's probably where he keeps his chicks. I mean this, right, but this is, this is what I mean. Like what the hell are these people doing now? What is it? 16,000 employees with their motto? No, the earth show the way. Understand the world. That sounds like a year like on a yoga studios, you know? I mean, it's absurd, but they get billions of dollars to do whatever. Listen, put that back up there with the description. Look at, we're good. It says there, it's a, it's under the United States Department of Defense and Intelligence Agency of the United States intelligence community with the primary mission of collecting, analyzing and distributing geospatial intelligence in support of national security, which is why, what does that mean?

Speaker 2:          00:13:29       What the Hell is geospatial intelligence? I mean this is what I mean. This is insane. And if any, if you ask a question, if you go, well, what do these guys do? People yell at you and they started with, Oh, you're the, you're a conspiracy theorist and you don't know this. I just want to know what geospatial intelligence is. It's probably something simple and now I'm going to look like an idiot. It says it's intelligence about the human activity on earth derive from the exploitation and analysis of imagery and geospatial information that describes, assesses and visually depicts physical features and geographically referenced activities on the Earth. I mean this is, I think that's how we would know like that North Korea has a bomb size of satellites. Satellite Imagery I think. I guess, well, there's probably a satellite agency too. I think we've uncovered a scam. I think we've uncovered a pretend agency that nobody in, that there's a guy right now panicked in the table. Spatial 16,000 other employees going, shit, we're going to have to find a real job. We would study and shipping docs from space. Yeah, we just got outed. Yeah. What did they just got outed on? Rogan is completely [inaudible]. It's not really there. That was an actress. 100%. That's an actress. But this is what I mean, if you could, if you look into this stuff, it starts to get crazy. The amount of people that are doing

Speaker 3:          00:14:52       things, we have no idea what they're, I mean, 10. I just did a private Gig at the Bethesda country club in Maryland. Okay. It's, you know, I'm still doing it. Private gigs say, but you gotta you know, it is got to do what you gotta do. How to do what you gotta do. I go to the Bethesda Contra called Maryland. Um, it's the entire 10 counties around Washington DC are the wealthiest counties in the world. I mean, in, in our country, they, and it's not because they're selling crab cakes, you know what I mean? It's all defense industry, Raytheon, uh, you know, DynCorp things you've never heard of. And they're all there. And they were, it was a good gig. They were funny. I got up and I was like, what are we, oh, we a carving up Venezuela. They all, after all clapping there in new way, you know, they liked it.

Speaker 3:          00:15:32       They, some people get mad. I was, like I said, last week I did a fundraiser for human trafficking victims. This week I'm with the traffickers. You guys were a lot more fun. And they're clapping. They're clean, they love it. They're leaning in to being good. They're, they're, you know, they're morally compromise. Well, there also hired a comedian to fuck with them. Yes, that's a good point. I mean, they expected, it's not like that came out of nowhere. Well, you know, I mean, it's like, so that's the thing. It's like Trump bad, but I don't know what the geospatial people are too. I don't have to, I don't want to throw my hat in with geospatial intelligence. Yeah. I don't know what that means. I mean, maybe we need it, you know? But listen again to standup comedians talking about what the world needs. Yeah, it's not great.

Speaker 3:          00:16:16       It's fucking terrible, right? I mean, I've been trying to stress this more than ever because of the fact that I have a microphone. Right. And people are listening. Don't fucking pay attention to me. Okay. I am not right. Well, the best thing is, listen, you don't, you don't know. You might be right. You're right. But I'm definitely not an expert. The best thing is if you go on Twitter and a comedian will tweet something really, you know, it's like we're living in fascism and then again, like 400,000 likes and then the next tweet, have you ever seen this to go? And while you guys are here, check out my web series and he'd go, are we, are we living in fat? If we're living in fascism, you too. I have a web series. You can't have a Webster's. And do I have the time to luxuriate in your web series or should I start arming myself?

Speaker 3:          00:17:03       Throw the gun? What should I, what should I look at my phone? I'm like, which way should I go? But that's all they do. They go by, by the way, while you're here, I have a patriot. We're doing a project. I'd like you to throw a few bucks there, but we're living in fascism and you know, well the signal to noise ratio in terms of like people tweeting, it's almost mostly noise. Oh, it's nice. There's a few people that are great. You could fall a few people that are really posting about real news. And for some journalists, 17 of them, I think journalists are maybe the best people to follow on Twitter right now it seems like. But the problem is who's a journalist? There's very few real journalism takes a long time. It's expensive. Like real investigative journalism. And I've had some of these guys, my podcast, they come on, they go, they've ruined their life.

Speaker 3:          00:17:52       They spend five years looking into something. Nobody cares about it. They figured out it was true. And, and nobody wants to talk to them. They will have white hair. They're families hate them. They live in a little apartment in New York City. That's a journalist. Well, sometimes people do journalism, right, and they, they do spend a long time working on a project and it's in something like the New York Times and no one cares. No one cares. Like the thing about Trump, like the report on Trump, this scathing report, they thought it was going to bring them down. Literally it was in and out of the news cycle on a day or two. Yeah. They don't care. That guy just pops an extra Adderall and doesn't give up. He doesn't care. He doesn't give a fuck. He is the only guy that should ever write a motivational HealthSouth hop the secret.

Speaker 3:          00:18:31       Right. Whenever the secret is, he's got it. I think it's speed. It's speed. You think he's really, yeah. Yeah, I do. Yeah. I think it's speed. I think he's on something. I mean, I think this is the only way that it makes sense to me that a 70 plus year old man has that much energy. A guy doesn't exercise, eats fast food, and he's fucking bouncing off the walls and he can campaign for days and days. Just, Ooh, KFC, double downs and flay a fishes. And let me ask you this, how often, if he gets his dick sucked and question, who's doing it? Great question and not asked enough, right? Probably not that much. I don't think a guy like that is driven by sex. I don't get that. Maybe he'd be, but Milania seems to be not into it as much. It seems a little upset with them.

Speaker 3:          00:19:16       She seems a bit cold, but there she Slovenian or something, something like that. They're cold. I don't know. That's, well that's some of the generalizations. They're white, so I can generally say what I want about them. Ciao. Okay. Let me say what the Hell I want. And Eastern Europeans. Can I not have Slovenians you can. Okay, thank you. Ah, she's called. Well, she, I think she's a little annoyed with them, you know what I mean? She was very humiliating for her. They had the pest life. Yeah. Up until he ran for president. He, I mean, imagine telling his kids, he's like, I know you got world billionaires, you'll party every day. You do coke with impunity. It's some New York City nightclub. When you boarded that, you go to Europe, do it on a boat when you bought it that you go to some origene Athens, that's all done right.

Speaker 3:          00:19:57       But we're going to Canton, Ohio and I'm giving a speech and you can stand there because, and every camera, every news reporter is going to watch every move you make the rest of your life you're going to crawl up your ass with a microscope to and everyone hates you and some of them might be going to jail. I mean, we don't, we really don't know what's going on with this Mueller investigation. And I think a lot, I mean, I think it's going to be disappointing. Everybody's preparing anything for disappointment. Everybody has prepared us for disappointment. Yeah. CNN is actually was saying that that don't expect much. It's like when you get a report card and you'd tell your parents, you're like, no, I've changed but I'm still me still know what I mean. I'm still the guy who gets high before he goes into school and was caught smoking by the priests.

Speaker 3:          00:20:40       Like I used to get caught smoking weed by the priest who driving it in my Catholic school and he would drive me to the school. So I would be like, yeah, I've made some changes, but I'm still very much that person that you guys raised. So that I think is what the Mueller report is going to be like Trump. But the thing about Trump is he's corrupt. He's a con man, you know, he said he had this whole wall that there was no wall. Well, this is not coming. Little links, the walls, not in some wall. There's no wall. This is a little signs. It's a finished the wall. But this part, this part of a wall, there's more, there's more of a wallet around houses in Belair, right. Then there is at the border. But you know, it's a smaller area, a pillar. It's, yeah.

Speaker 3:          00:21:23       And there's probably more of a reason to have a wall, you know, and the people that run bel air or probably more serious. Yeah, yeah. That's definitely something that, you know, I, I don't know, uh, about this whole wall thing. I really feel like it was one of those campaigns, slogans that he got stuck with, you know, build that wall. And then once he got in he was like, oh Christ, I really got to build this fucking thing. It's his slogan, someone whispered into his ear, you think he and culture probably said, get out there and say build the wall. And he goes, that's good. And then you just went out there, build that wall. I love the, one of the speeches, he doesn't really build things. He lent his name to be franchised. Yeah, he definitely does that. He's not a bit like this idea that he's like a bit the things he's built or disgusting.

Speaker 3:          00:22:06       If you go to Atlantic city, what can any building he has built it is to, Chris Hedges wrote a book, he's an interesting guy. He wrote a book called America, the farewell tour and he goes, he went, he went to Trump tower in Atlantic city. He goes, there's junkies in the bathrooms, does like rats running around is falling apart. And he's like, that's kind of what you know America will be, but no anything he's built. He's not nice. Did you watch it? There was a documentary about an architect called Costas carry on us and he had, and a lot of the documentary is about him convincing Trump to not make his building gold in New York City and I, and it's like, is it Golden New York City? But it's Golden Vegas gold a lot of places. But like he was going to ruin the, the downtown of Manhattan with a gold building.

Speaker 3:          00:22:56       Why is that ruining it though? A gold building. Why not? You've spent too much time on the west coast, but why is that bad? Why is it bad for it to be one car? Is it better if it's all black or all white or silver? It's a look. It has a feel. You can't come in with a gold building. It's not Vegas. It's not Atlantic city. This is not right. You know, like Mandalay Bay, what goes on in a gold building. I've never looked at a gold building and said, I bet what goes on there is honest, like decent gold buildings should be for doing coke and losing money. That's what it's about. You don't walk in with a building and get a checkup. That's good point. Yeah. Yeah. That was a very good point. Gaudy. It's disgusting. Yeah. God, he is a weird thing, right?

Speaker 3:          00:23:37       Like who's that? Who's that good for? Like when you go to a place and it's got opulent Chandelier's guilded furniture, sociopaths who sacrifice human beings. That's the way they want to lift. They want to live in a, uh, a palatial opulent environment. And then just, you know, I think Matt, he be, he said this, he said that Trump is a poor person's idea of a rich person. Absolutely. That's what a rich person thinks. When a poor person thinks about a rich person, they think, oh, he's got his name on his jet and he's got his name on his building. And the guys I grew up with in long island, if somebody went to them and said, hey, you could own the Miss Universe pageant. You could have a building with your name on it. You could be in the WWE, that would be amazing. You'd be a winner.

Speaker 3:          00:24:23       They would be a winner. Where I grew up in long island, that would be, that is the highest you can go. So I think that's kind of what it is. It's a very, what's, see what's appealing. That's also what's appealing about them. What's appealing about him is there is no veneer, right? You don't get the idea that you're being played, you get the idea, you know you're kind of being played, but you're being played on a level that you accept. It's like when you go buy a car and you know the salesman, I used to be in sales, so like when I'll go to buy something, sometimes I know the salesman needs the sale because I used to. So like sometimes it'd be like, yeah, whatever it is what it is, you know, I just, I'll do it. That's kind of with Trump, you know you're being sold, but you're okay with it.

Speaker 3:          00:25:01       You let it happen. What do you think is going to come after him? It seems like he's throwing a giant monkey wrench into the gears. Twitter is any indication, a prolonged civil conflict, uh, where there will be, where some will emerge as a few different nation. States will barter with each other. Um, I don't know, maybe Joe Biden and then nothing. He's got no chance. He's, he's who do you, who's coming. She's got no chance. Bernie. They hate now. They hate me. Know a lot of people hate Bernie. What happened? I don't know it, some kind of staff was accused of sexual assault. Oh, and now they hate burning. He's a rapist. Well, that's, you know, that's what happens. Bernie's, he's a white, straight male. He doesn't get it. He doesn't get it. Plus he has like two houses. He's worth like $300,000. You know, that offends people.

Speaker 3:          00:25:55       Yeah. How'd you get that money off the backs of poor people in a country, by the way, where people make that a in and hour on youtube. You know, some people do Logan, Paul and all those guys. Those guys, you know, you see people in la. I'll see a kid in la on a skateboard. I'm like, he's a millionaire. He owns three houses because he used youtube live streamer. Yeah. He's probably playing video games on twitch. Yeah. Everything my parents told me to do go to school. That implies impoverished my generation, everything they told us not to do, which is play video games, watch TV, get high is making people billionaires. It's amazing. Yeah, they were wrong. They were definitely wrong. Boomers were wrong about everything. Well they didn't see this coming. They didn't see this craziness come in and see any of that come in. You know what concerns me is, uh, the rise of people that think that everyone owes them something.

Speaker 3:          00:26:45       Sure. You know, that's, that's the door. That's the weird one. Like we were talking about AOC who, you know, said she seems like a nice girls cause looking woman. She's young, she's got energy, she wants to do good things. She wants to do some good ones. But I saw the one thing that said give money to people who are unable or unwilling to work. Yeah. That's, I saw that and I'm like, I'm going to work. Well it's not, and they pulled that out. They pulled that part out. The unwilling park in her unable to work makes total sense. You know, we, we as a community, we should take care of the people. Most of the people that are now in comedy or unable to work, most of us, most of us, yes. This is the only thing we can do. But her thing was a weird one because that, that thing, unwilling to work.

Speaker 3:          00:27:24       It's like, hey, hey. He just, he just crossed over into crazy town like this is, but that means that crazy town was always in the back. You always had that. Yeah. When you put that on paper, that means this is something that's been discussed, like part of the appeal and she just, I don't know how influential she wasn't getting Amazon to drop out in New York, but I live in Queens, so everyone is paranoid. Amazon was coming, was a Bagel. I, no carbs, no good. But I was in a Bagel shop. I gave up dairy two weeks ago. I'm turning it around, trying to get around. I was in a Bagel shop. It was paranoid about Amazon. Amazon is going to come. We're all going to get priced out of my little shoebox is it we live in or the, some of the people that own those shoe boxes were like, I'm a millionaire now because Amazon's coming and the, but here's the thing, it's hard to have a rational discussion about a co inequality right now because in a place like New York City, it's so expensive to live and the reason for that is that it's a destination for foreign capital.

Speaker 3:          00:28:20       So essentially a lot of the buildings in New York City, foreign people buy apartments. They don't live in them. They use it to like launder money and they buy them not even under their real name. They buy them under the name of a Shell Corp like an LLC and then they have like these investments and it, it really makes everything insanely expensive. That's what's making everything. That's what's making a lot of real estate in New York City. Expensive. What do you what like what if you got to guess what percentage of like expensive apartments are owned by? I'll tell you, between 2008 and 2014 I think 50% of apartments going into contract were cause I do a shell, but I, I used to be a double decker tour guide in New York City and so I do a show, like a funny comedy show where I take, I sell tickets, I put people on a tour bus and then we'd go around to these building, just scream at these buildings.

Speaker 3:          00:29:03       It's fun. It should be illegal, but it's fun and, and no one cares because they're not home because there somewhere, I mean it feeling, if you look at who owns these buildings, just a guy who like is maybe a guy who owns a mining company and he poisoned to river in Zambia. The a lot of these guys are doing things they shouldn't be doing and they want to stash their money in real estate. London is insane. It's more expensive than New York because London is all essentially shell corporations. You know these phantom buyers buying up real estate in London, in New York. So you have people in New York that know the system is fucked. They know the markets being artificially manipulated. Bloomberg thought it was great. Bloomberg is, we want all of the billionaires. He said it, that was his quote. We want all the bay. It's like some of those billionaires have done things that would make you would keep you up at night.

Speaker 3:          00:29:50       They've, you know, numbers like bring them in, they eat shrimp and steak, they'll go to Peter Luger's. We love him as a businessman. Right? That's a thing. So people get fed up with death and dude, and when I was, had my tour bus, people would get on from regular places like Pennsylvania now just point and go 10 million, 20 million, 30 minute. And these people just shift uncomfortably in their seats. Like what the Hell is going on here? This is the, you know, I saw Trump getting elected during those tours because I'm like $100 million and they're like sitting there like, what? I can't afford a knee operation. Well, the idea that Trump's not a part of that as he increases, listen in his bit, his building was a huge destination. Russians love his building. They love it. They love a brand name. They love the plaza. They love his building, and a lot of interesting characters lived in Trump tower.

Speaker 3:          00:30:38       Didn't they take the Trump tower name off of it in New York? Yeah. Wasn't, no, I don't want to else. There was one of the buildings where the people that own the co op decided to take the name off of it. Maybe there's another, there's a lot of shitty like Trump nursing homes too, as I've been in New York. Oh yes. Nursing homes, you know those elderly people getting beaten. It's hard to say Joe. You know, they're getting fleeced. The beaten. You go by, you see like Trump pavilion. It's like a Soviet era architecture. Horrible like old age home that's been there since the 70s and I'm like, man, I feel for the people in there, the screams, it must other New York condo votes to remove Trump from name. Yeah, New York City condominium. On Thursday, we removed president Trump's name from the buildings facade. The second time at four months, his name has been removed from a condo in the city.

Speaker 3:          00:31:27       55% of Trump plays condo owners at 120 Riverside Boulevard in Manhattan. Voted in favor of removing the large sign above the front door, the buildings. I mean that crazy. Who Cares? These are self important people, but when care is, they're worried about their, their secure attachment. Oh, that's a good point. Yeah. I think if you try to sell it and it's Trump place and you know you're going to eliminate 50% of your buyers dictators that are buying those apartments, I think it's great. They die. Maybe they don't. Maybe they're like, you know, probably we'll probably go down the street to this no name building. We'll be better off. But a lot of his condos were sold to, you know, Mafia and you know, Russian business guys and he's always hide that, you know, he did deals. It was his firm located in Trump tower called Bay rock financial, which was a, it was headed by this guy, Felix Sader.

Speaker 3:          00:32:17       Felix Sater was a guy who the FBI, uh, convicted in like a Russian pump and dumps stock scam. And he worked in Trump tower with Trump. Like he worked very closely with Trump and Felix had like informed, I think on the Russian mob for the feds and the feds kind of let him earn. And so Trump has had this labyrinth of shady connections forever. Wow. And I don't know if that means that he's ness. I don't think he's an asset or of Putin or anything like that. I don't believe that. I think that's kind of just, you know, I think it's, a lot of people would like to believe that, but he's a shady guy. So if you have all these people pouring over his business deals for the last 50 years, it can't be good. There could be an amazing movie about him. Oh, there will be.

Speaker 3:          00:32:58       And who would play him? Ah, good question. Hopefully not a white man. Christian Bale. Uh, let them get fat. Just like he did with Dick Cheney. We played Dick. If he could play Dick Cheney, he can do Trump. He can put a truck. He was a great Cheney. I thought I heard. I haven't seen him yet. I heard it was amazing. I, you know the movie with like a lot of people, the movie was good. It was not, you know, it's like the big short to me was amazing. I don't think it was as good as that, but Christian Bale is phenomenal. He's a phenomenal act. I mean, to gain that much weight, to become another person. That's all thing with Jesse Small. It's like they're all, all these actors are sociopaths. They're all sociopaths. Watches Good Morning America interview and try not to laugh. Well now it's, it's crazy what he said.

Speaker 3:          00:33:42       He's the gay Tupac like 85 back and great. Those guys like, oh my God, crisis PR firm is telling him to do that. The Gay Tupac, no one's telling them to do that. This is all so this is Bridget Fetisi said it best. She says she's hilarious. She said, this is what happens when you let actors write the script. Well, that's true. See the plot twist coming a mile away. I had dinner the other night. I was in La and an act was at the table and he was talking and I'm like, I don't know who this guy is, but he's not even the person he is at this table. Right, right. He's trying out a person right now. Have you ever been in that situation? I don't know who he is, but he's not this guy. He doesn't know who he is either. He says no clue.

Speaker 3:          00:34:24       It's just good looking guy that vapid. He's full of nothing. He wants to get famous asap and they say things. Oh yeah. Other people are saying, here's one good to see you. Yes. When they meet you, they say, good to see you because they might have met you and they don't want to forget 100% so I've said that before. Nice to me and they're like, actually we met before. I'm like fuck. They'll ask in a very strange way, they'll be like, what's going on? Like what's up? What's going on? Like you want it, they want it. You want, they want you, they want to be fed. They want to be fed information. Yeah. It's like what's going on? And I'm like, wow, you know, a lot of projects. He Shit Bro, guest spotted flappers Ah, lots of things happening and uh, cause you're always trying to move.

Speaker 3:          00:35:05       That's the thing about La New York is just pound yourself into the ground until you get funny. That's kind of what the New York scene, the New York scene is like two 57 shows a day. Give up on your life, don't speak to your family, they're losers are holding it back. Go hard. La is like make a friend, have lunch, see what happens. I talked to some of the people out here and I'm like, what's the plan? I get nervous for them. I'm like, they're getting high. It's mid day. I'm like, okay, it's Wednesday too. They're like, we just had a meeting. I'm like, what'd you do? They go, we're talking about starting a podcast. I'm like, that's not a meeting. You're just friends with someone else. You're talking about stuff that's nothing. But here's the thing, it does work here and there are people that I know who've made the right friend and then their life changes.

Speaker 3:          00:35:54       Yeah, there's a little of that. But those people were super transparent and if you don't have any talent that's never going to never work. And then everybody resents you. There's a few of those people that really don't have any talent, but they made the right friends and they cling on to folks and everybody gets real uncomfortable. And that was thing, I think the first time we spoke is I've written, I think about Louis and after Louise and the whole news, but Louie happened, you had all this love that piece by the accurate an honest, yeah, it was on Facebook, which where I did a lot of my best work. Blame what you were saying. [inaudible] didn't read it after Louis. A lot of people were rightly criticized and conduct and you know the whole me too thing. That's all valid in short. 100% needs to happen.

Speaker 3:          00:36:32       But then there were people that were like, you know, Louie was never funny or Louie was just, you know, of course he got all these things. He was a white guy or, and I'm like, wait, what? And they were like, well, he said this word I don't like. Well look at this joke and I'm like, guys, a week ago he was a comic genius. We all agreed on that. That was a widely held belief. Now out of nowhere, he's not that funny. And, and these people are tweeting this from parking lots where they're performing some of these shows in la or in like someone's driveway, you know, and which is fine. I do them, I've no problem with that. But they're getting on Twitter and, and knocking Louis from the back of a parking lot where they're doing a show. But what the reason you gave for why, well, because these, there's, in any industry, people are going to get ahead by being agreeable, by having the right opinions, by crowd sourcing their opinions, by taking the temperature of the room and going, how does everyone feel?

