Speaker 1:          00:00:00       To to, to, to do.
Speaker 2:          00:03:40       You get to look at that like they're on this lake. It's about 100 feet deep and you could see the ground like it's glass. You see the bottom of that lake. You could see the logs that are down there, the sticks. I'm like, that is crazy. It's crystal clear wildlife up there. It's fantastic. It's just, yeah, it is in this place. Places like that all around the state, you know, and, and the Nice thing about Idaho is, I mean, again, everybody says, oh, what if we turn it into the pbs, Idaho, our, it's a, it gives you a different look everywhere you go. Eastern Idaho, west, you know, up north, it's. Yeah. So there's a lot going for it. And the hunting's great. The fishing's fantastic. Fly fishing is amazing. Whitewater Whitewater is gonna be insane. This year because of the snow, it's good. It's a great place to be.

Speaker 2:          00:04:20       The climbing is good and a giant chunk of that is public land. Folks. That's your land and this is something that I put on my instagram yesterday and the day before as well because there's a bill that got introduced that's being proposed to sell off public lands. And uh, there's this one representative. What's that fellow's name? They got Jason [inaudible] from Utah. He introduces bill. How dare you, Jason, to try to sell it. Look, as a young fellow, he doesn't fucking know what he's doing. Look, he looks like he's in his thirties. Just people don't realize how lucky we have it to have so much of this country. Public land like that where you can. And it's not just hunting folks when you know, people say, oh, we're both living. No, listen to me. You could hike this. You could fish, you can camp. You could just go lie down and stare at the stars.

Speaker 2:          00:05:08       It's your land. This is all ours and it's unprecedented in this world. There's no other country that has anything remotely like our public land system. We can't let them give it away. You can't let them sell it. And if anybody wants to like, you know, uh, you know, give a kick in the ass to hunting. I don't understand that either because you know, what a lot of the land is maintained by hunting, you know, and, and, and you know, both in the fees and also just the hunting itself is doing a great service. You know, so I, I don't, I don't quite get that. I mean I understand it and I suppose on an emotive level because how could you kill that thing? I think because he's tasty because I like to eat, you know, it's, I, I get it. It's a kind way to go to the R, m, e, f page. You want to see money for conservation, for hunting. You want to see some staggering numbers. The twitter page, a Rocky Mountain Elk Federation r, m, e, and they post

Speaker 3:          00:05:58       these charts that show the billions and billions of dollars that go towards conservation every year. All because of people who fish and hunt. It's, it's the numbers are staggering. You go to Cabela's and you know, I always wondered about this. You go to buy something at a Cabela's or bass pro or wherever you got in your local area and you know routinely they're saying, well, how would you like to donate a dollar to conservation fund? Would you like to donate a dollar to a course? You would, because that's a percentage of your sale goes directly to it anyway. If you're hunting equipment, a certain percentage, I forget what the number is, but it's a good healthy percentage. It turns out to be millions and millions of dollars every year. There we go. Just Minnesota, look at this. More people hunt or fish in Minnesota, one point six, $5 million than doubled the combined populations of Minneapolis, St Paul, Rochester and Duluth, and three point one, $7 billion is the amount spent by 1 million, 649,000 hunters and anglers in a single year in Minnesota.

Speaker 3:          00:06:55       That's an incredibly large part of the economy folks and a giant chunk of that goes to preserving wildlife habitat to preserving wetlands to make ensure that animal populations are kept healthy, to make sure that Predator populations are kept in balance and that ranchers aren't, you know, impeded upon by mountain lions and wolves and shit like that. That's a, it's an incredible number. Yeah. That's great. Just for Minnesota, right? Yeah. Jasmine, you know, and then you think of the other states all combining together. You know, it's the reason why we have more white tail deer in America today than when Columbus landed. That's a fact. Support. We'll get this Michigan $576 million in state and local tax revenue enough to support the average salaries of nearly 11,000 police and sheriff's officers. It's incredible. I didn't know we could still mentioned in Columbus. I didn't know that was allowed.

Speaker 3:          00:07:43       What's allowed. We can talk about them. It's Kinda, it's kinda crazy. Columbus Day when you find out what a savage. He was like a terrible person. Columbus was Columbus Day. What do we have any Stevia, Jay? This tastes like shit together. I'm not. I'm not a fan of this the way it is with the butter. I liked that. Emulsified mct oil, but I don't like it blended into. It's just that I'm expecting the other kinds of coffee and it comes out like this. I'm like, what is this? It's all. It's all. It's not the best at what do I know? I'm going back to the old way. You know what I'm saying? We think it's okay. That's pretty good. Just a little different. Tastes sweeter. Something we need less of it or something. I don't know. Maybe I'm just a bitch. How much do you drink a day?

Speaker 3:          00:08:24       Let's have coffee. I don't even count it. I just keep going. I really don't. I'm used to. I used to worry about it. He said, man, maybe I should back up off the coffee, but coffee is an excellent source of antioxidants. It if you're not, you're not dehydrated. If you're drinking plenty of water on top of that. I always drink water with it and I don't see any negative effects when I go get my health stuff done and get blood work done so I don't fucking back off at at all. Yeah, but sometimes I do get a little too jazzed up. There's this company that we have a sponsor, just my friend's company. Caveman coffee.

Speaker 2:          00:08:56       Yeah. Yeah. And they make these nitros. They're these little tiny things there. Nitrogenated coffee that's 270 milligrams of caffeine and one little can. Holy Shit. Get Mr Baker and Baker nitro. We should show them all these things. I've got a busy day tomorrow in the morning. First thing and these little fuckers. I take these four, I lift weights and I want to throw things through the fucking walls and I do say so. Good. It's so good. That little tiny thing is 270 milligrams of caffeine and it's nitrogenated, which that's fine. That's good. Well, you know I'm going to start. I'm seriously. I gotta I gotTa. I got an early call in the morning. I got an early start. A lot of activity going on. I'm just going to pop this in the morning. We'll give you a few of them. See what you can do. I'll give them to the team. Yeah, good. That'll be good. Have you liked the taste of actual coffee? It's really good coffee. It's like there's a whole story behind the company, but it's this one farm in Columbia. Single source, single family. It is Columbia. Right?

Speaker 2:          00:09:56       Even things that I know for a fact. I'll say them and I'll go. Are you sure? Like right away I question myself. I think I've got. I've got to erase some of my data. I've done that. I've paired it down. I'm, I'm streamlining now thinking of the bar again, maybe just a little kick boxing, sparring. Just to trim down some of my memories. Few too many in there. I might have to take a couple of jabs. It says my boys, two of my boys, actually all three of them. That, what am I saying? All three of them. Uh, my, my, uh, my kids, a scooter and sluggo and mugsy or nine, five hilarious names and they're hilarious. Former CIA operatives, kids. But like the three stooges and so they uh, but they in, they're in taekwondo now. We looked around, we checked out a few places and we found this one that we really like.

Speaker 2:          00:10:42       And then also to be fair, part of it is just timing. They, they, they're, they're, they're structuring their classwork or their timing works well with other things kids are doing, but they're in there. How old are they? They're nine, seven and five. That's a good age to start taekwondo because then you'll learn the dexterity and the flexibility and stuff like that. And if they really get serious about martial arts, you can transition them to something like Jujitsu or kickboxing or something. But I think, I think the middle one will stick with it. He has is supremely focused. The only one is does very well, but he's got a variety of other interests. Right? And right now he sees focused on, on other sports, Lacrosse and basketball. But that, that middle one, um, he, you could just kind of watch them and see, you know, it's like everything else, right?

Speaker 2:          00:11:21       Your kids spark on different things and he seems to have really sparked on this. The one, the five year old, you know, he does great, but he's got a sparked on candy bars and things like that. Yeah. That's one of the fascinating things about having kids is to realize there's only so much that you do to shape their personality. They come out of the box unique in a weird way. Like I have two daughters that are young. I was six and an eight and they are so different. I mean, so different. Six year old thinks farts are hilarious. She's so funny. But she'll say, can I tell you something? Can I tell you so she just on you and then she'll fall to the ground laughing. She's got to meet my five-year-old. Those still get along like a house on fire. Everybody gets mad at her and just can't do that.

Speaker 2:          00:12:05       You just can't be farting. And I'm laughing. They're like, don't laugh at her. I'm like, that is hilarious. Just farted on you. What's the goal? Is more of a girly girl. Yeah. Much more of a girly girl. Six year olds is savage. He's like a little gorilla. She's really hilarious. She's very, very funny. Yeah. Well my three disbanded. They spend all their time just like every other kid, right? But boys in particular, they spend all their time beating the shit out of each other. And so we thought, you know what we've been looking for awhile to find the right place for them to channel that physical side of things. And uh, and now it's good because now they focus on, you know, if they're gonna, if they're gonna hurt each other, they're going to hurt them each other in the proper way as get some spartan and get some sports.

Speaker 2:          00:12:42       One of the good things about Jujitsu, you know, we had talked about getting your kids in Jujitsu. The good thing about Jujitsu is you can go full blast. The thing about kicking each other in the head is, boy, you could really only do that a couple of times and then, uh, yeah, that's right. You just not the same person anymore. That's the reality. My kids are allowed to kick me and punch me full blast as long as they tell me they're going to do it. So I like let them throw full power leg kicks because I'm trying to teach them how to like really sink the Shin into the meat, you know. So like my daughter will throw a left hook to the body, right leg kick combination. She's going to do it right now. I go, okay, go ahead. It's like boom, like it's getting harder, man.

Speaker 2:          00:13:18       As you get eight and 10 around like 12. I'm going to have to tell them to stop. Okay. That's enough. Now that is going to have to pat up, put a chest pat on. But that's a difference between boys and girls. Girls, you can say you're gonna have to tell them, hey, you can do this, but you have to tell me. My guys are like Keto from, you know, I walk in the house and they're like lurking somewhere. And then the whole goal is to try to punch me in the junk. And they think that's hilarious. With the, the, the uh, the middle one again in the middle one, he a sluggo he caught me one time when I came in the door, the front door of the house and I was carrying a bag. I just gotten off a plane carrying it back and before I could even put the bag down and sale and the kids were kind of coming down the stairs, you know, I thought it was like a Norman Rockwell thing, you know, they're going to come hug their dad and adore me a little bit, you know, Daddy's home and sluggo comes around the corner and nowhere and says dad and just punches me square in the nuts and it was so hard that I literally, because you know, what happens?

Speaker 2:          00:14:11       I mean, you know, you just dropped it. I dropped and he and the other to stand there and laugh in my face. And I thought, what the end. My wife is coming around the corner and she looks. She goes, what the hell happened? I said, I couldn't, you know. How old was he at that time? He was six. That's what happens. So raise a little six year old and the mountains, a bunch of wolves and you start punching you in the Dick as soon as they see you. That's a larry. It's Idaho hope rating all do it. But Jan is out there. So. So, so, um, what's your take on this? Trump versus the intelligence community? Jazz. That seems to be going on right now because I couldn't to get you in here to

Speaker 3:          00:14:52       get an insider's perspective on this because I've never seen anything like it. I mean I've never seen anything like what he was talking shit about flu shots today. He's like flu shots and the biggest scam ever. Like, are you sure you've done research? Are you a doctor? Wow.

Speaker 4:          00:15:08       Well yeah, I know that whole and he's. And he's kind of a point that not appointed, but he's brought somebody in as an advisor on that who is against vaccinations when that term is and know that the Intel thing. There's so many ways you can take this. It was a. basically it was a self inflicted wound. It was unnecessary. There was no reason for him in the early stage of this, when that narrative started to build about, oh, there's this rift building between trump and the intel community. It was because of his tweets, right, and it was because of him questioning the, the intelligence about Russian meddling in our election system, and now to talk about that just for a second, of course, the Russians were meddling. The Russians have been meddling in US politics and campaigning over here in a way since they've been around as have the Chinese, as have the Chinese.

Speaker 4:          00:16:00       You could go back to when people should. This was a fascinating period of time and in history back to like 1941 go back to when the Russians were still in an alliance and a pact with the Nazis, and so from the Russian perspective, their goal, their, their point was to keep the US out of the war and so what did they do? There's an isolation is wing in the States and Roosevelt was under a lot of pressure. Roosevelt was was becoming very close to Churchill. He understood that threat. He was one of the few people that did at the time he understood how important it was going to be for America to get into this battle. The UK was about ready to fall and so the British were actually running their intelligence operations out of New York. They had a place over in Rockville Rockefeller Center and because they were worried they were the island was going to be run over by the Nazis, so you have this going on.

Speaker 4:          00:16:50       The dynamic with the Russians was that they were still in this packed, you know, with the Nazi. Stalin didn't see this coming and he didn't see that on the Nazis were running a very large propaganda campaign, a diversion effort to ensure that the Russians wouldn't know that they will go about to invade. So the Russian spent a great deal of time and money and resource here in the US influencing us public opinion about staying out of the war. There's no reason to be in a boy. Why would you want to get into another war in Europe? And they bought journalists and placed a newspaper articles. They paid off journalists. They were setting up associations that were supposedly independent, but we're run by the Soviets. They were influencing unions, dumping money into unions and bing basically to get them to steer their membership to isolation as you know, a agenda. So to say that, oh, I don't know if the Russians were men. Like of course they'd been doing it. That's the way. And then all the way through the Cold War, you know, that's, this is what they do, so you know, but it, it the narrative because it always has to be simplified. I think as far as the media is concerned, the narrative was that they influenced the election will. No, they were meddling but they weren't hacking into election systems. They weren't hacking into voting booths and changing these things. So.

Speaker 2:          00:18:04       So we say meddling. What they were doing is essentially they were getting information that was private that was being distributed between the Democratic convention. They were definitely involved in, in the DNC hacking for instance. They were definitely involved in how were they involved with they involve. Were they, did they directly did the hacking to the Democrats or were they privy to. The information because someone sold it to them or got it to them, as with most of these things that usually those cutouts, right? So there's, there's, there's a plot, plausible deniability. And so, um, but the Russians have been very. Oh, I'm sorry. No worries. The Russians have been very. We

Speaker 4:          00:18:41       adapt over the years at creating a mayhem, creating chaos around democratic institutions. Their whole goal is to chip away at public trust in, in a democracy and not just here in the US, but everywhere. I mean, you know, and obviously that played out in proxy wars out in Africa. And so again, I guess what I'm trying to say is it should have shocked no one that the Russians would be engaged in this sort of thing. But, um, trump, again, a self inflicted wound. He hadn't gotten the full briefings yet. He hadn't seen the intelligence about this. Uh, and prior to that then he sending out a handful of tweets saying, I don't know, I question. It didn't make any sense. You have all the opportunity in the world to question the intelligence and the time to do that. You know, you're sitting there, you're getting the briefings from the heads of the agencies, which happened, and then if you, if you notice after that briefing, his, his tone changed completely and he came out and you know, okay, well the Russians were involved, right?

Speaker 4:          00:19:44       Um, and it didn't make it. Now he had to walk that back. So then he goes out to the agency and in any, as a meeting, which I think was a great thing, I was really happy to see that he did that. And so soon in the administration he goes out to, to our headquarters out out there in Virginia. Um, and you know, he got sidetracked, but that's his personality. He starts talking about the inauguration numbers. You start talking about the media, you know, the unfair media. Well, you know what, you could just go out there. Thank you. People say you're looking forward to working with them to protect national security interests, shake some hands and leave, but it's not in his nature. Right? So he's going to get sidetracked and it's got to talk about other things. And then that becomes the story, you know, not, not other things that he's doing, he's talking about, uh, spending more resources on, on, on human intelligence, right?

Speaker 4:          00:20:31       Because, and that's something that gets talked about and is done in cycles. So after nine slash 11, what happened? Well, suddenly George Tenet, the director at the time was instructed, you got to get more officers, you've got to get more Kadra. We gotta recruit people. We can't just rely on signals in intercepts and, you know, technology. So that happens over a period of time. He's talking about revamping the Dni or maybe you know, taking it apart. Well, that's been talked about for many years. You know, the Dni was put together after nine slash 11. And you know, it's a big layer of bureaucracy, frankly. So some of the things he's told, what does that stand for? Dni, director of national intelligence. Okay. So, uh, James Clapper was the previous guy going in there. I'm a run of that and it's going to be interesting because the Dni was no, from Mike Flynn, who is now the national security guy.

Speaker 4:          00:21:19       Um, he had a rocky relationship with, with the Dni and it feels like they basically pushed him out of his last position in the Intel community. So it'll be interesting to see how he deals with this issue of, do we restructure. But I guess my point being is that, you know, and I don't, I don't really have a dog in the hunt, you know, was trump my preferred candidate? Well, no, but now he's the president and we from my point of view, now you want it to work now you do everything possible. But just like with anybody else, you look for the good and you say that's great and if something, you know, you don't agree with whether you can say that too. We got that right in this country, you know, we don't have to agree with every single thing that any president does.

Speaker 4:          00:21:56       We can disagree with the policies, but we don't have to slag people off. And if I veer off and say, well, I don't think a president trump should have veered off and talked about inauguration numbers in the media, what he was standing there in our lobby in front of the stars on the wall, you know, I get, I get a, you know, a couple of hundred tweets, you know, say, you know, you're a fucking idiot. How could you say that? Well, I say it because, you know, what, what, how, how, how is that somehow insulting. I, you know, I'm going to like some of the things that he does. I'm not going to like some of the things he does. That's the way it works, right? You find it. But I don't know. I'm very down a rabbit hole right now, but I think it's because I get, I'm getting pissed off because, you know, we've seem to have gotten away from the idea that, you know, nobody's perfect.

Speaker 4:          00:22:39       Right? And everybody that's a, that's a dyed in the wool trump supporter right now, uh, who for the past eight years, hated the fact that Obama supporters were adoring of him and said, everything he does is brilliant. Now they're, you know, some of those folks doing the same thing with the new president and, you know, like I said, I, I'll be honest with you, I'm happy she didn't win. I'm ecstatic that Hillary Clinton didn't win frankly. Um, but that doesn't mean that I've got to now stand up and say everything Donald Trump does is great. I wouldn't do that with any troubling for you about her. Well, let's see. Where do we begin? Um, I felt like, you know, and again, I'm obviously, I'm trying to pick my words carefully here, um, because I'm trying to be diplomatic. I think she, I didn't, I didn't like what I perceived as, as a, uh, a lack of, of, uh, of character.

Speaker 4:          00:23:40       I didn't like what I perceived as not again, and here's the problem. I didn't like either of the candidates. Neither candidate was my choice. Now the candidate was, I didn't really have a choice. Now the candidate was my, I'd have a dog in the hunt, but if I looked at her, I just felt like there was, there wasn't anything there. And I felt like we had the past eight years, I felt like with the previous president again, I liked some of the things he did. I didn't like some of the stuff that he did, but I was always concerned that he didn't have a principles that he stood on that he said, you know what, this is, this is where I draw the line and this is what, these are my principles, this is what I believe in. Um, and I felt like she was similar in that way.

Speaker 4:          00:24:20       And I think we've just had enough of sort of that bend in the wind and do whatever we're going to do. This country's lost a lot of leverage overseas. And if, and I know people say, well, that's good. We shouldn't be the police person around the world. You know what the fucking truth is? Somebody has got to be. And if we're not at the top of the food chain, that's fine. We can step off because we want to build more roads here and we want to spend our money here. And I get that. And that's important. But if we're not, if somebody is not at the top of the food chain, somebody else will try or it'll be chaos. And what's a vacuum? And it's not a community of nations that gathers together and acts in a global community spirit. You know, our, our, our interests don't align very often with other countries.

Speaker 4:          00:24:58       We have certain allies where it does, um, but no, that's not how it works. It's chaos out there and it's pretty nasty at times. And so I'm a big believer in yes, we shouldn't be out there policing everything, but we're going to need to and we should want to be at the top of the heap. Well definitely doesn't seem as any benevolent superpower that's looking out for the world's best interests outside of us know. And, uh, and, and, and people raise their eyes, you know, when you say something like that. And I agree with that percent. People roll their eyes and they go, I bullshit. You know, it's out there and then what? Right. We're, who are they? Right, right. And I know. Yeah.

Speaker 3:          00:25:32       And I get those feelings. I understand where those people are coming from. I get this idea of anti-globalization, I'd get this idea, you know, the, they're, they're anti the whole idea of the military industrial complex, controlling all the resources of the world. I get it. I totally understand, but know this, there are some bad countries out there, not, not bad people, but countries that are run by dictators, countries that are run by extremely ruthless people and a lot of them have access to some significant military power.

Speaker 4:          00:26:05       Yeah. And you're absolutely right. I mean, a course. We make mistakes. Obviously we make mistakes, but I, you know, I spent almost all my life overseas and you know, I spent a long time peeking behind the curtain and we see, we try to self correct. We may take a wrong turn, we may do something that, you know, okay, fine that the site doesn't work it out, but we, we tend to try to do the things for the right reason regardless of which administration it is, you know. Um, and just as, as a, as a, as a, as a principle guiding principle, I, and maybe people hear that and they think you don't want a fucking idiot. You know, that's not how it works, but that's how it works. Um, to um, that's everybody has to speak according to their own experience. My experience is that most of my childhood and adult life overseas and I've seen a lot of weird shit and I've been to a lot of difficult places and America stands.

Speaker 4:          00:26:59       Um, again, a few allies. The Brits, I'm partial. I'm a dual citizen, but the Brits are right there with us. Uh, Canadians who doesn't let the Canadians, um, New Zealand, Australia, you know, there's a small community there that tries to be principal, tries to do the right thing, uh, everybody else out there as acting purely on their own best interest and our interest and there's almost never align whether it's Russia or in parts of Europe or wherever it may be, Latin America. Um, so yeah, somebody got somebody to be at the top of the food chain and I just prefer to be us.

Speaker 2:          00:27:35       Yeah. The, I mean, there's massive criticisms. The United States and a lot of them are valid. It makes a lot of sense, but there's human beings are just flawed. This is, this is the most recent country, this is the newest country, and this is the only country that exists like this, this experiment in self government that exists today. There's nothing like it out there and the more you look into it, you have a much more intense and deep understanding of it than I ever will because of your experience in life and all the different places that you've been in, all the things that you've seen, but there's no way. If you look at the rest of the world, there's nothing. There's nothing remotely similar to what's going on over here. This is a crazy place. It's a crazy place as far as innovation, crazy places as far as creativity and art and film and comedy and music and just.

Speaker 2:          00:28:23       There's so much bubbling in this one part of the world and, and, and, and liberties and freedoms and exactly what to do. I made it great. You know, like the protest on inauguration day. Great. Go Out and protest that. Don't fucking go blow up a limo to no fucking chairs through starbucks and shit like that. They did a lot of stupid shit and that's, you know, that's a small, you know, a small group and that's fine and it's going to happen I suppose, but you know, when they, when they're out there talking about oppression and being oppressed in America, my thought is always the same. I always think, you know, what we should do, we should reenact a, the standard

Speaker 4:          00:28:55       Tori service. Everybody should have to serve two years, whether it's in the military or some international component where you go overseas and you spent a little bit of time in some shit hole and you see, see

Speaker 2:          00:29:07       how bad it is and how bad it can be, but all these people that walk around here and talk but, and I get it, you know, we could do better with better course. We can do better in that sense, in that sense, but we need perspective. Right. That's it. That's, I guess what I'm saying, a balanced perspective. How did it happen? Because this was what was confusing to me. How did the FBI in and now originally, eventually the FBI came around to the CIA's conclusions, but for a long time the FBI was disagreeing with the CIA about whether or not the Russians had anything to do with hacking the DNC. Yeah, the big. I think the big disagreement was really over

Speaker 4:          00:29:42       right. I mean it was a big part. It was an evidence based thing that they didn't see any evidence that the Russians were involved, which eventually became clear and now there was a arrest. There was an arrest, an unprecedented arrest a couple of days ago, right? Yeah. Well I think. But you also talked about two different groups, so the bureau is the FBI as a law enforcement, so when they look at something, they're looking at it from a law enforcement perspective. They're looking at gathering sufficient evidence to prove a case. Basically that's how they look at the agencies and Intel operation and so they are get Gavin pieces of information that, you know, it's not an evidentiary chain thing, so let's just get the preponderance of Intel. Let's see where it leads as some of it's going to be conflicting, some of it's not well, well sourced, but let's all see what it tells us, you know, and so part of it is how they approach a reaching a conclusion, but you know, they were both going to get to the same place because he eventually there they sit down and they compare notes.

Speaker 4:          00:30:34       Uh, but part of it was the difference of opinion over the motivation and motivation is the toughest thing. One of the toughest things approved in, in, uh, in this business and intelligence, you know, that you can say, okay, they did this, but you know, unless you've got a sore sitting in the tent, who was there and part of the conversation when somebody said, well, you know, this is why, or this is how we're going to do this and this is a reason to it without that sort of sourcing or, you know, intercepts, um, it's, it's tough to prove motivation. So it took a while to kind of get around to that notion. And it's still, to be honest, you know, it's still a little bit up in the air, we're probably never going to get, unless again, we get our hands on a really quality good source, uh, that may still be a little bit up in the air, but the bottom line is the restaurant you have, the Russians were engaged in doing what they always do, covert action, propaganda campaigns, whatever it may be.

Speaker 4:          00:31:21       There's the 30,000 foot view was always the same. They want it, they want to. So a sense of, of, uh, of mistrust. They want to create some chaos. They want to kind of chip away at the belief that democracy is a great thing. And they did look how much time was spent talking about the integrity of the election system and whether we actually had a legitimate president or not. That's a win. So you've got a couple of colonels in the FSB, which was the old kgb, who undoubtedly have been promoted as a result of that operation. And who got someone got arrested from the FSB, who was that guy? Yeah. Interested. I don't have those details in front of me. I just did some token guy that pistol potent exactly when the fucking hall for Awhile. He just said the wrong thing, you know, but that's unprecedented.

Speaker 4:          00:32:05       Right. Then they never have politically arrest there guys like um, well they, they have for certain things, for corruption issues. If they get sideways, you know, from a internal arguments, you know, then you'll, you'll, yeah. It usually doesn't make the news because nobody really gives a shit outside of Russia and they do now because of this, because of. Because people want to talk about it. And what bothered me about this, sorry to interrupt you, but what bothered me about this was the narrative because the narrative was Russia hacked the elections. That's what everybody kept saying and that's what all these Democrats, these left wing people were saying to try to pump up this idea that trump was not a legitimate president. Russia hacked

Speaker 2:          00:32:40       the election. Russia hacked the election, will know someone, maybe Russia, whoever it was, put that information out that the DNC had sent through private emails, but the information was what they sent new. I mean, it wasn't, they didn't hack anything. They didn't get into any election machines. They didn't, they didn't get into the voting machines. They didn't do anything other than release information that was supposed to be private. That indicated a bunch of really shady shit. Yeah, exactly. I mean, all those, all those Bernie Sanders, how pissed off once you'd be if, if you're a Bernie sanders supporter and you're burning himself fucked over. He got. Yeah. Well, he seemed to have made peace. I guess he's, he's a politician that even though he says he's not, I mean it, it's just a weirdly principled one. Yeah, exactly. I mean, I know Bernie would have been a better candidate.

Speaker 2:          00:33:27       I think Bernie would have won a Joe Biden would have been a better candidate. You know, you always liked the person sitting on the bench and then they get in the race and they're not, you know, that's true too. Right? They might have dug up some shit about both of those guys, but Bernie was an interesting guy and not a whole lot of people that are in his position for as long as he is that have the kind of principles he has. When he was able to say, you know, why don't you release the transcripts of all these different speeches you gave to all these banks that you got paid a quarter million dollars and he goes, I will happily release mine because I don't have any because I wouldn't take a penny from those people. I was on a whole lot of people can say stuff like that in a big debate and you know, they rallied, they got together and they, they decided to rig the primaries and they've rigged it.

Speaker 2:          00:34:08       They really did. That was what the Russians exposed, but it Debbie Wasserman Schultz, who was a real piece of work, you know. Incredible. Yeah. So, so I think there's, and you're right now, I guess what obviously what people on that on, on the, on the far left side are saying is well, but without that, if they hadn't released that information then it would have been a different ballgame. And you know, because we wouldn't know how fucking corrupt she was. You wouldn't know the Debbie Wasserman Schultz had done what she'd done and Debbie Wasserman Schultz wouldn't have gotten fired from the DNC and then immediately got hired by Hillary's campaign. Yeah, I mean they picked her up in a couple of minutes while she obviously they want to keep her happy. You know, when somebody's walking out of that organization with a chip on their shoulder talking. So especially after what she did for you.

Speaker 2:          00:34:50       I mean they rigged the primaries. They really did. And people should be upset about that way more than anything else. This idea that Russia did something when you expose something that you should, that we should have known. We should've known about it because it's a crime. You know, that kind of corruptions essentially. Collusion. It's a crime. It's a conspiracy. It's a real conspiracy to, they're, they're, they're interrupting a democratic process and that's what they're doing. Right, right. Well that was far more so than an outside force doing what you expect them to do anyway, frankly. But the Russians did. They always do. Yeah. So I think it would've been a great. How interesting would those conversations, so in, uh, in, in the Kremlin or at FSB headquarters where they're talking about this and they're thinking about and they're planning it. Someone had to write a note, right?

Speaker 2:          00:35:40       Someone had to sit and say, you know, I got an idea for an operation and they had it because they're a bureaucracy like everything else. And so they would have had to sit and figure this out and then it would have made its way to Putin because, you know, this obviously the concern over the blowback and the publicity of it all. So Putin clearly knew what was going on, but again, that's just the way it works. Stalin new back in the day knew exactly what they were doing, trying to influence public opinion here back during the early world war one or two. So yeah, I, there's no surprise the Chinese do the same thing every, you know, every nation that's got the resources. I mean hell, we. Of course we do it too. People always say, well, but wait, do it. Well, yeah, of course we do it, you know, I'm not saying we don't all do it.

