Speaker 1:          00:00:00       Doom, doom, dum, dum, dum, three, two, one.
Speaker 3:          00:06:47       Mamas. Yeah. So did you live with him? I did, I did. Uh, I would bounce back and forth. I lived with my mom. I live with my mom in California until I was about a seven or eight. And then I lived. Then we, did she move, she packed up this kind of run the time when they split, was your mom and actress to. No, no, no, no, no. She was just a normal person. Yeah, flight attendant. Uh, she had two kids with my dad and uh, we, we, she packed up, I think when they sort of split and she moved to Hawaii, she had lived there when she was a lot younger and so she had always loved Hawaii and so I had gone to Hawaii to live, uh, probably from about eight to about 16. Wow. Yeah. And then they ultimately moved back with my dad for like the last couple of years of high school.

Speaker 3:          00:07:37       And so yeah, it was, it was an interesting upbringing, right? I mean, you know, one hand, I was with my dad for some time and when I was in Hawaii, a living there and you know, if you know anything about Hawaii as, as a white boy growing up, uh, you're, you're the minority. Yeah. So it was, it was a lot of, um, a lot of fist you just show up with a Harley tee shirt on. Rewarding. I mean, that's, that's, you know, a lot of people don't realize that it's pretty, you know, Hawaii's very from like a warrior society still. And, and that's a great thing kind of because it's still, it's very primal. Uh, and it's also, you know, sort of, it's one of those things where, um, there's not a lot of tolerance for someone that you don't know or part of your family.

Speaker 3:          00:08:23       Um, and so, you know, for me it was, it was, it was tough. It was, it was. Did they accept you eventually? You know, sports, Sports, sports really bridged that gap. A football. I played football and that was, that really. It was tough because the first year they were like, no, they were like, no, get the fuck outta here. Suck. Um, yeah, you know, I was, I was a kid then I was probably, I don't know, I can't remember 10 or so playing pee wee football. Right. And then as, as you know, as I would, you know, prove myself that I was down for hard work and uh, you know, down to throw hits that, you know, that sort of, you know, a bridged the gap and then ultimately they were part of my team and then so we would go to other schools and play other schools and then I was still the, the Halle boy to everybody else, but they had my back now.

Speaker 3:          00:09:19       So that was cool to be a bizarre time man, to be a 10 year old and all of a sudden be in that environment. Sure, sure. That was, um, it was different. It was A. Yeah, I didn't know any better, so I'm going, okay, well this is what I got to deal with now is the cards are got dealt, so they're going to man up. Yeah. I have a bunch of buddies live in Hawaii and you know, they say that if you're respectful and you're, you know, you're not a Douche bag like after awhile you just fit right in and everybody's cool with it. Yeah, I mean it's, it's, it's uh, I grew up also as a surfer, you know, as grownups, grownups surfing and so there's definitely a pecking order and a respect there that you have to learn or you're going to learn the hard way.

Speaker 3:          00:09:58       Um, and, and that's, I think that was a good thing, you know, ultimately because it kind of humbles you and makes you, makes you know your place, which is good. Did you start training Jujitsu there? Uh, I started, uh, you know, actually I'm not. One of my good buddies who passed away, Paul Walker got me into a Jujitsu. Um, he got me about six years ago. Six maybe, maybe more now. Yeah. He was like a purple belt. Right, or a brown belt, brown belt when he died. Um, and so yeah, he, he was, I mean he was a diehard. I mean he had a place in Hawaii actually and he had uh, he would, he would go get matt and he would get his place outfitted so he could practice at home. I don't know. Um, and he got me, he got me involved and that's, you know, that's another thing that's great about a over there.

Speaker 3:          00:10:48       It's like you really realize like obviously, you know, a jets is like the ultimate humbling, you know, for people especially for I think for men carry a lot of ego around or carry a lot of, you know, you know, I think as men we're trying to figure out who we are, especially when we're young, it really calms your ego down because you always know, you know, I'm going to choke some people out and people are going to choke me out. And it's just, no matter what level you're at, you also get it out of your system. Like the one, the big part of what men do, they puff their chest up because they weren't prove themselves and they haven't yet and they don't know. And so they want to like put up this air, like there's some bad mother fucker because they're insecure, they don't know. And once you've done it a bunch of times and you know, trained for a few years, it just, it all comes down. Yeah. You notice all the, all the guys who do it consistently or the high level guys, just Socom, socom. And that's actually one thing I noticed about cameron too. He's like, he's a calm motherfucker because he's spends a lot of time out in the wilderness and I think that as a big, uh, you know, with the world we live in now, today. Yeah, we were.

Speaker 2:          00:11:57       Yeah. And we talked about, we talked about this, some, some of the experiences, the stressful experiences and the hard, I mean, life here is never hard. Really the challenges we face in the regular everyday traffic dude, sometimes the line at starbucks is huge. I know that. Okay, that's hard. Okay. So aside from that tough cam with a k, right, but so I mean it puts it in perspective, it's just Kinda like what you're saying. But yeah, you need to experiences like that. Just you kind of simulate those in training or, and you know, the hunts that I do or the races that I do and it keeps it in perspective so you don't get wound up over the little stuff. It's like no Biggie, but it's also like there's a humbling just being in the woods. Yeah. You just realize like, oh this, this doesn't matter if I never existed now, like if human beings would never invented these woods would be exactly like this.

Speaker 2:          00:12:48       Now that I've thought about that a lot, I've been in the mountains and united say if something happens, if you know, who knows, you die for whatever reason, nothing, their changes and I oda, I mean it's nothing. So it's like your existence doesn't even matter and I think we need to, we feel too self important sometimes. I think some people do. And so in that situation and you're like, okay, this I'm, I'm, you know, nothing really. My friend Ryan Callahan, you know Ryan from firstlight? Yeah. He was out in the woods with a two friend of his and they, uh, they, they work for the park rangers or something and they found a human skull and they're like, whoa. And it just, just puts it all in perspective, like deep deep in the back country and you find a human skull and it's just like, okay, yeah, this is real, this was a person and something went wrong and they just never really ever found them. And you know, just happens to be a bear. Could be a cat, could be a tricky one. Yeah. Yeah. I mean lightening happens a lot to people. Yeah. Yeah. But

Speaker 3:          00:13:54       I was, I was uh, I was telling you the other day, Cameron about a, I've been here a lot of reading about, um, about like circadian rhythms and in our inner body because a, I've had chronic, a sleepwalking chronic night terrors, uh, since I was a little kid. What does night terrors, what's the difference in night terrors and sleep parking? Uh, I dunno, I mean I've had both. So what is the night terrors? Night terror would be, you know, sort of, you wake up in the middle of night to scream, yelling, well, that's in the middle of the bedroom. Um, uh, and they can sort of, I think they can coincide with sleepwalking probably, you know, so stress related. I think so, um, it's hard to say I got him, uh, when I was young, when I started getting them. Uh, I think when I was about in sixth grade, um, so I don't know if it was, if it was a, if a stress related or what it was, um, but I started getting them and then, um, you know, I've had, I've had them in 31 now.

Speaker 3:          00:14:54       And so I've been reading a lot about that and I obviously listened to your podcast a lot about, um, just about the way humans are supposed to operate in the natural life cycle. Right? And you know, you, you wake up in the morning because it gets light and you go to bed because it gets dark and we're screwing it all up with the TVS and the phones and, and all the stuff. And anytime I've ever been willingness to do a lot of backpacking and been a lot of hunting trips and fishing and stuff, it's, it really calms my body down a lot. And uh, what they said was in all the reading I've done is, is that um, your, your creation of Melatonin is in your optics because of assimilation of light. So when it gets dark, you're, your mind supposed to create more Melatonin, which obviously puts you to sleep. But because we don't have that or we're, we're manipulating that, it's uh, it's changed everything.

Speaker 5:          00:15:53       That's why they invented ambien. Yeah, works great. I mean, it's just a lot of people out there that are taken pills that just knocked them out just nor to deal with the fact that we're constantly surrounded by lights and staring at your phone before you go to bed and watching TV and go to the bathroom and the light's bright. Your body doesn't know what that is. And that's when we were talking about this yesterday. It's, like I said, I've never been born at peace and relaxed and slept as well as I have in the mountains. You know, once there's an adjustment period, it seems like, sure. But once I'm there, it's just like I've never been at a, I don't want to make it sound like anything bad at home, but I've never been more. Uh, I don't. I don't know if it's happy or just more content content.

Speaker 5:          00:16:38       That's exactly right. More content than I am in the mountains. It feels like that's just natural. That's how it's supposed to be. Well, people really are supposed to interface with the wild, with the wilderness the same way all animals are. We've just created these weird structures over the past few thousand years when you really think about civilization that we only figured out how to talk 40,000 years ago, you know, either we'll write. That was, you know, I'm in. Yeah, I think the wheel is five. 10. No. Yeah, it's a little little longer than that. At somewhere around 6,000 years ago. They figured out the wheel, which is just hilarious with here's, here's the best way to put that in perspective. Like, so let's say it's 50 slash 500 years ago. That's essentially a person lives to be 100. That's 55 people. 50th five people go. They were just dragging shit around. That's. That's insane. That's insane. Yeah. People go and then before that, you know, you just go back a few more people and they were grunting. Yeah. I mean they, they, they hadn't even figured out how to write things down. They know it's really important

Speaker 3:          00:17:44       even, you know, what's, what's even crazier to think about is how we've taken airplanes and perfected that in the last

Speaker 4:          00:17:50       50 years. You know, before that it was, you know, you didn't, you couldn't just get on an airplane and be anywhere in the world in 24 hours. Oh yeah. Totally. Parents 19. Oh three. You want to hear the craziest fucking statistics. Emer. Okay. Between the time that plane was invented, the, between the invention of the airplane and someone dropping an atomic bomb out of the airplane, it was less than 50 years. Yeah, that's crazy. What we do to each other. It was like somewhere like 44 years or something like that. Between the invention of the airplane by the Wright brothers. The first flight and then a bomb dropping on Hiroshima. Yeah. And then now they're fast and furious. Eight bombs wise plug. There is good. You should go.

Speaker 4:          00:18:40       Just totally unrelated. Just thought of that. How many of those have you done? No, this is the first one that I've done. This is the first one. Yeah, this is the eighth. This will be the eighth one and they're going to do 10. Right. So they're doing them back to back because what they're doing, I didn't. That's the plan. Uh, you know, I'm not, I'm not sure. Vin, vin diesel and the producers have, you know, the plan set. But I mean that's the whispers. I hear that we do a couple more. I think we have tended to be cool. We made it this far. Might as well go to 10 right now. Can you tell us, does your character survive? Can you give us a spoiler alert?

Speaker 4:          00:19:13       I saw the movie. He said, you can tell us then you're not obviously if you didn't have to sign anything. Did you? Was it was good last night. I mean, Scott had a big role. It was, it was cool because I didn't know, you know, you never know, didn't, didn't ask, didn't anything. But yeah, he's all over it the whole time. So it was cool. He did a good job. Let's just say it's a good one and everyone will like it. Or you also car guide. Do you like muscle cross? Yeah, I'm a, I'm a classic car guy. I like classics. I love the old sixties Ferrari between Ferrari and for that whole rivalry back then. So the GTS. Exactly, exactly. I'm actually getting a, getting the opportunity to purchase a one of the new GTS, a coming out in 2017. Really do that thing looks insane.

Speaker 4:          00:19:57       Insane. And they're making only 100 this year. Punch I hundred, 100. One hundred and 7 billion people. You're gonna make 100 cars as collectibles. Well what so, so what? I mean, how much do they charge for those? For 100 bucks or 100 of them or. I mean, I think the price is about three. Three slash 50. Three hundred $50,000 collected. It's a beast. Look at that thing. That's the new one. Sanity configurator, you can fit why they let and you configure it. If you can't even fucking buy it. Just bunch of teases forward. What are you doing that doesn't even look like a Ford? I mean that looks. That looks like a Ford on planet Mars. Change in the code that lets you can crap. It was better than a Ferrari.

Speaker 5:          00:20:48       You know? That sounds bad. Ass Car. Let me see the. See if you got some other angles on it. Is there any other angles? We'll look at a pretty good. Oh my God. So cammo on reaper option. Look at that. Fucking God. Oh my God. What a beast. I think I might get one to actually. Wow, go for it dude. Go for it. My whole life of a salary, but that's $350,000. But meanwhile the way they're making cars today, that thing is going to be insane. But that'll be like a piece of art. You know that that will be, you know, like the GTA, knowing the older gts that have gone up in value because they just don't, you know, it's hard to say that. What about new cars though? So much plastic and stuff. They just don't seem to. People don't want them. You know, like if you get a 19 sixties car, it's worth a shitload of money today.

Speaker 5:          00:21:47       But in the 19 nineties, current worth shit. You know what I mean? It's like there's no classics from Nineteen Ninety is a couple Porsha's like 99, six floors from the nineties or the last of the air cooled cars. They're still worth some money there. They're classics, but that's kind of it. Like maybe a few classic Ferrari's from that day, but like a Camaro from 1990. Push that thing off a cliff and shoot at it while it's on its way down. Hey, don't let your girl drive that car. She got issues were saying before she crashes things. A little bit of a history of a long history. Let's leave it at that. Listen, people can't be great at everything, you know? That's true. Have you seen the new Acura Nsx? No. Jesus Christ. Look at this thing. Jamie. Pull that up. If you're into cars, you know, accurate built the last Nsx in 2005.

Speaker 5:          00:22:39       So there's like 12 years off before the, they came out with a new one, they just came up with a new one this year. It's just this spaceship, this monster, a spaceships. You'll find a silver one. So I that when they do that with cars, they sort of wait a long time to get, you know, come up with a whole new concept. Not just a every three or four years. Four wheel drive. Yeah, totally. Yeah. No, I like it to four wheel drive, electric wheels on the front. It's at. It's tough looking at that one. After the Ford is. Well that's not a good angle. Same Angle here with Ford, but no, love that for. What are you talking about? Get off the site, the site bullshit. They get you with the Kelley Blue Book. That's it. Click save. You can see a three quarter view in the upper left hand side right there. Nope. Yeah, look at that too. Dope car man. When you see one in real life, it looks like a spaceship. It really does. Yeah. It looks cool. This first today, ma'am. But that's like looking at, uh, the new hoyt, then looking at the Ross, Beau, really you think that you don't think that looks as good but not as good as a four? Does it pretty close? I don't know, Dude. Everybody's got different tastes campaigns.

Speaker 5:          00:23:56       I just can't wait for the self driving because people just are terrible drivers. So let's just, let's just get on with that. We've figured that out. Everyone's talking about these kinds of cars. Well that's fine. Just let him be self taught or you know, that's not going to be self driving. They'll be ridiculous. Imagine if you have a car like that, like a Ford gt, but it's self driving. Unless you're on a race track, you'd be like, what am I going to live on a race track? So stupid. There's something that happening as we're making things autonomous, we're going to lose a little bit of something. Sure, sure. Sort of the one of the reasons why people like handmade stuff now, like you'd get a pair of handmade boots or something like that. It was like, Ooh, it feels different. You know, I got, these are handmade.

Speaker 5:          00:24:34       Lou Casey's Casey's handmade. They know me like 11 days to do, to do from start to finish. Well, not the lettering and stuff they do. I mean they do at different stages, but I mean they're the best place in the market and it doesn't that feel different. Like when you have them, like there's something knowing that person made it too. Yep. Well they're just so comfortable. Yeah. I made cowboy boots. Cowboy boots normally aren't that comfortable, but those. That's what my boots were yesterday too. So Nice. I was reading this podcast, reading a podcast or listening to podcasts, listening to a book about a horseback riding, and this guy was explaining how people try to wear like hiking boots when they go horseback riding and they jam their fruit. He's like, there's a reason why cowboy boots fall off so easy. It's so you don't get dragged behind a frightened horse like it's supposed to happen that way.

Speaker 5:          00:25:25       That's why they're pointed. So they slide in and slide out. They slide in and slide out and they slip right off your feet. Yeah. Yep. And you have, you get a good pair of these. I mean they'll last 10, 20 and it lasts a lifetime. You know what I mean? It could. I just bought, I got my, the ones I had yesterday which were like a thousand bucks and I just got them resoled because I'd worn them so much. Seventy, 70 4:50 brand new soles on. I mean brand new boots. I've heard that since you have your own under armour sneaker, that you're the Kanye west of bad assets. Is this true? I don't know what that means. None of the Kanye west of bowhunting. Oh, well, because Kanye West has yeezys. Do you know what Yeezys on his shoe? Jamie buys them. Look, he's on yet.

Speaker 5:          00:26:09       He's such a Weirdo. He's got like five pairs on this Weirdo. So I don't even know what. Hey, see, that's what the kids are. Gaming aren't. Those are a lot like expensive, stupid, expensive. He can't get them when they come on sale. They are a lot like how much are they reading the gate? Uh, the ones that are going to resale that come out this month, they're reselling for 2000 right now. They're 200 retail, 200 retail and they sell for $2,000 because they make what, 100 pair like that. Goddamn. You can get a free one with the Ford Gt. Yeah, so I think so. Anyway. I think that's how Brendan's references tied. It's shoot Kanye shoe. Yes. That's what it is. Yeah. It's not that you're an egotistical autistic rapper. Not that I see him at. He was at the UFC fight. I don't know. I was at college there.

Speaker 5:          00:26:54       Yeah. Yeah. I don't know which one it was, but yeah, that's right. He was there with a boyfriend that j lo dumped because he went to the UFC. It was one of conner's fights. Oh, was it? That's what it was. Yeah. The boyfriend wanted to go to the, to the Mcgregor fight and Jayla was like, fuck that. She's staying with me. Jamie got a picture with them. Kanye hearsay. But here's Kanye West. Even at the UFC fight just like this. Well, I saw him smile a few times when you met some people. Really? Yeah, but he's. He needs a hug. A smile. Did Dee did you. What'd you do? He didn't smile. Not your picture. Did he pulled up? What'd you do to get them to smile or to go? Well, he's uh, he needs a hug. That's what I think needs a hug and some good friends.

Speaker 5:          00:27:40       Something to calm them down. I think so, yeah. Settled down. Dude. When we talk to you about your Prenup, you got one right? That's what I would say. Areas that is not smile will smart. No, not really. No, it's not. You're just the smile from Tony Hinchcliffe is bouncing off. You didn't smile. So he was like, why am I fucking smile off? This dude isn't smiling. You didn't even happen to meet me. Fuck why even taken a picture? Hashtag blessed at least he's got to clock on his, on his shirt. He's got 10 minutes in that regard. That's the best thing about that. Other than Jamie and Tony. Yes, I agree. The Tupac shirts. Good move. Good move. If you're, you know, I don't know. The rapper world is a very fucking strange world. I can't even imagine. I can't even imagine now. But Hey, I did want to ask something. So when you were growing up, was there a pressure because your dad was Clint Eastwood, did you get, and then you said you wanted to be an actor, you knew was that, was that we're going back to it, but I just want. It's good. Good question.

Speaker 4:          00:28:41       Well, I think, I think I always wanted to be a tell stores. I don't know if I necessarily knew I wanted to be an actor. I think as I get older I realize it's more about telling stories. Um, I just sort of fell into the acting. I was like, okay, well this could be a way I could get in. I could, I could go into that. You just enjoy the entertainment process, like creating something that people are entertained by and enjoy. Yeah, exactly. Telling a story that people can relate to, laugh, cry, whatever. Do you think you'll go the route of your dad and maybe do some directing and writing things on the plan. That's the plan. That's the plan. You know, taking control of your own career, uh, is, is good. And it's also, you know, you tell the stories you want to tell and we were talking about this before the podcast that the world of the actor, it's very difficult and a lot of people like accused actors of being fake. And I think one of the reasons for narcissistic, yeah, that for sure, but one of the reasons for the accusing them of being fake is that they always have to put on

Speaker 5:          00:29:42       the best show, like as far as their behavior and the way they act and think and their opinions because they're constantly trying to get cast in things and it's all about getting people to like you and politicking. And, and we were talking also about like, you kinda have to have liberal sensibilities like in this town if you, if you are a right going together, does that even make sense? It seems like they contradict each other a liberal sensibilities as well.

Speaker 3:          00:30:07       The reason I moved, uh, moved out to La is, you know, years ago, uh, I just, I got sick of either are great. They're great people in La, you know, I'm, I'm from California, so I feel have a, you know, as a place in my heart here. Um, but I got to la because, you know, if you meet 100 people in La, you might meet in [inaudible] 95 that are full of Shit and you know, five good ones. Uh, and, and that

Speaker 5:          00:30:34       generous that. Yeah, it's a problem. Right? And everyone's always.

Speaker 3:          00:30:39       I always judge it when, when I meet somebody and I'm having a conversation with them and I asked how they're doing, you know, meet an actor or something. How have you been working on a cool. And you know, a lot of times they're just waiting for their turn to talk. You're not even listening to you, you're just sort of, you know, did you, you know, they're not going to return that and say hello, what are you doing? What you know, what's going on?

Speaker 5:          00:30:57       Yeah. You don't feel like it's sincere conversation? No, not, not at all. Yeah. That's a big issue with people in general. But in la it's, I think this is the magnet for all the narcissists and all the people that want attention and the people that have a whole, they have a whole, they need to fill up for whatever their childhood, whatever, whatever the fuck it is. And they, they gravitate here and then they just communicate with each other the same way and everybody kinda like pretends to be someone who they're not. And then hopefully they make it and then once they make it then they just become some fucking Weirdo. Just, it's, it's weird how many of them are like almost like cookie cutter. Like, Oh, I've met that guy before. He just looked different. You know what I mean? It's like, it's like the same person living a different life.

Speaker 5:          00:31:44       I know this assembly line before they fell asleep or something, but the actor world is like, I've met a lot of comedians that are similar, but there are a lot. They're very so much. But the actors, boy, there's a lot that are super similar. Just a lot of you know. But then again, you'll meet some of them who've like figured it out and made it through and they're super normal and real. Like Adam Sandler is one of the nicest guys you've ever met. Your lovely. Oh my God. He couldn't be nicer. Totally. Like if you didn't know he was Adam Sandler and you met him, you'd be like, ah, someone's dad. Fucking super normal dude. Yeah. Tom Hanks, you said super normal. That's what people say, you know, like, because they asked me, Oh, how's Scott? You know, seems normal. So that's why. That's why. So you must not know me yet because it actor is like, I don't know who am I to say who's normal?

Speaker 5:          00:32:39       Right. But to me it seems like a normal guy. And you said Adam Sandler over completely normal. So that's Kinda puts it in perspective. My normal is like the, you could talk to them and they're really, they're, they're real sincere. The president president having a real conversation with you and there's a lot of people that just don't do that. You talked to them and they're just putting on some. He definitely no trust people who are too nice. I'm like, why are they so nice like this? This isn't right. It's just a tough world for these people anyway, especially with the ones that haven't made it out here. It's so psychologically devastating because you're constantly going on auditions and you constantly getting rejected so you're insecure in the first place and then you are hoping someone likes you so you'd go to this thing and you're kind of like putting on your best behavior and you're dressing good.

Speaker 5:          00:33:28       Like hi, pleased to meet you a nice. Alright. Alright. Hey. Hey, thanks guys. Thanks for the opportunity. And we've like, you know, like they said you sucked at the audition. I didn't suck. Yeah, they just really didn't like you. They said you didn't make eye contact. Fuck man. People get weirder and weirder. And if you meet an actor, say like, uh, like one year and then you meet them 10 years later and they're still swinging and nothing's happening. They might be like, almost ready to crack. Like right at that, falling down with that Michael Douglas when he's fucking and he's got the briefcase and he goes and traffic starts shooting people like that, like a couple of days before the. They're like, take it anymore. It's a fucking devastating business. Right.

Speaker 4:          00:34:14       It's tough. It's tough. But you know, like, I mean we were talking about before, it's, it's all, it's all built on hard work and your reputation. Yeah. Because like you said, you know, and you can get a reputation for being an asshole or, or you know, showing up late to work or this down the other and you know, everyone's gonna know about it. So it's a small place. La or being a diva in a diva.

Speaker 5:          00:34:37       That's a big one. Right. That's not a good. That's not a good additive for. Can't shake that one. Yeah. That happens to people. Like in Hollywood, they'll be doing a lot of big movies and you hear like, oh, she's difficult to work with. They just fucking disappear. Sure. And it's almost seems like Hollywood delights and shutting those people out there. They're written for you to fail. Yeah. They kinda. But one you prove to be like ungrateful in some way or like here's a perfect example where he kind of made it on television, but you remember David Caruso when David Caruso was on Nyp de blue and what he was like, wow, this guy's a great actor. And then he quit and ypd blue and it was this massive hit show and then went and started doing like some real shitty movies and everybody was like, why the fuck would you quit a big show like Nyp de blue and do a bunch of movies.

Speaker 5:          00:35:26       Like boy, I hope he fails. And then the movies failed. And then everybody's like, Yay. And then never did a movie again. You never saw him in a good mood. Like he like had this of this amazing career. Yeah. Danny became this caricature because then he was doing that stupid cop show where we take his glasses off and say some stupid pun. Well it looks like he got nailed in your tickets. Remember that? It was like CSI Miami or something like that. And it was a fucking caricature of a cop show. Whereas nyt PD blue when he was on it was groundbreaking. I mean, it was fucking fantastic. So what happened? It just became an, I don't know, I don't know who he is being recognized as a diva, whether or not he was actually a diva. I don't know the guy, you'd have to meet him and talk to them and hang out with them, but he had that stink and you get that steak on it.

Speaker 3:          00:36:19       That's the other thing too, is it's not even, you know, in Hollywood is not even what's true sometimes it's just perceived. It's so, it's [inaudible]. My Dad used to always say he say, uh, believe half of what you see and none of what you're here. And, and that always stuck with me because, you know, you sit down with people in the industry or whatever and you just hear, know a lot of Hollywood gossip, right? It's a full of gossip queens. Everybody wants to talk shit about someone they worked with or tell some story, tell how difficult somebody was or this, that. And you don't even, you know, it's a business built on, you know, it's a, it's just a house of cards, you know, you're like, well that how didn't even know that that's even true, you know, so it's Kinda fucked up. It's, you know, I mean, I don't feel like that happens in other businesses, but may, May. Maybe it does with coworkers. I don't know.

Speaker 5:          00:37:06       I don't. Maybe it does. It's also, there's a weird thing because when you're a movie star like yourself in, you're on the screen, like you get all the adulation and all the love. There's a whole crew of people behind you. This special effects people and lighting and sound and its directors and Jamie, Jamie, Jamie is 100 people to everyone that's on the screen. Right? And so, and they get no love,

Speaker 3:          00:37:36       right? They get no, they're going to 11. And that's where the business side of the businesses. So delusion because the agents and the people around us, they're not the ones they're putting in the sweat every day for five months to make a film, you know, pulling the creative ideas, pulling the hard work. You know, the, the, the grips and all the, all the guys who are underpaid in or you know, working just to make money to feed their families. Uh, so it's, it's interesting because I saw it from a very different Lens. I saw it from my father's Lens, which is, you know, my, my dad show up on time, get the movie done, shoot a fast, treat everybody good and you know, work with the same people over and over again. You'll do the right thing by people have integrity, whereas people don't see that side of, of, of the business. There's so much other stuff that you never. The people never get love for. And in the film industry.

Speaker 5:          00:38:33       Yeah. Well the long hours. That's another thing that people don't

